Fp1   2,1362 1,8927 1,5351 1,1040 0,6565 0,2504 -0,0709 -0,2813 -0,3618 -0,2980 -0,1028 0,1625 0,4061 0,5489 0,5594 0,4590 0,2941 0,0992 -0,1261 -0,4129 -0,7894 -1,2465 -1,7405 -2,2213 -2,6491 -2,9979 -3,2555 -3,4206 -3,4910 -3,4585 -3,3220 -3,1000 -2,8198 -2,4963 -2,1282 -1,7056 -1,2080 -0,6040 0,1301 0,9849 1,9020 2,7758 3,4784 3,9130 4,0647 3,9940 3,7784 3,4653 3,0765 2,6408 2,2186 1,9061 1,7999 1,9223 2,1851 2,4430 2,5791 2,5562 2,4240 2,2851 2,2332 2,3127 2,5214 2,8279 3,1757 3,4811 3,6499 3,6124 3,3487 2,8909 2,3130 1,7180 1,2053 0,8310 0,5964 0,4668 0,3981 0,3523 0,3046 0,2464 0,1888 0,1606 0,1850 0,2522 0,3237 0,3612 0,3436 0,2718 0,1785 0,1184 0,1310 0,1975 0,2260 0,0913 -0,2792 -0,8473 -1,4932 -2,0945 -2,5827 -2,9526 -3,2327 -3,4339 -3,5305 -3,4855 -3,2717 -2,8724 -2,3005 -1,6286 -0,9916 -0,5510 -0,4314 -0,6627 -1,1657 -1,7937 -2,4056 -2,9290 -3,3697 -3,7667 -4,1300 -4,4205 -4,5801 -4,5648 -4,3522 -3,9387 -3,3387 -2,5865 -1,7414 -0,8873 -0,1160 0,4888 0,8551 0,9312 0,7044 0,2131 -0,4556 -1,1767 -1,8068 -2,2193 -2,3460 -2,2021 -1,8725 -1,4616 -1,0291 -0,5562 0,0261 0,7769 1,7135 2,8212 4,0583 5,3363 6,5148 7,4400 8,0058 8,1896 8,0482 7,7052 7,3201 7,0188 6,8476 6,8005 6,8626 7,0226 7,2630 7,5459 7,8063 7,9679 7,9675 7,7628 7,3339 6,7092 5,9870 5,3169 4,8476 4,6642 4,7425 4,9600 5,1646 5,2569 5,2257 5,1195 4,9934 4,8913 4,8660 4,9878 5,3089 5,8152 6,4026 6,9046 7,1764 7,1661 6,9021 6,4348 5,8176 5,1209 4,4167 3,7477 3,1308 2,5815 2,1280 1,8087 1,6633 1,7180 1,9642 2,3300 2,6711 2,8341 2,7665 2,5596 2,3760 2,3334 2,4448 2,6348 2,7898 2,8032 2,6010 2,1545 1,4869 0,6738 -0,1628 -0,8654 -1,2757 -1,3008 -0,9601 -0,3724 0,2885 0,8498 1,2041 1,3452 1,3431 1,2840 1,2202 1,1535 1,0529 0,8852 0,6256 0,2512 -0,2481 -0,8468 -1,4727 -2,0093 -2,3192 -2,3002 -1,9347 -1,2965 -0,5174 0,2638 0,9419 1,4562 1,7756 1,8873 1,8037 1,5723 1,2827 1,0597 1,0086 1,1407 1,3533 1,4915 1,4370 1,1482 0,6494 0,0199 -0,6132 -1,1112 -1,3836 -1,4279 -1,3257 -1,2022 -1,1793 -1,3379 -1,6900 -2,1697 -2,6503 -2,9873 -3,0674 -2,8412 -2,3239 -1,5717 -0,6581 0,3356 1,3218 2,2104 2,9236 3,4237 3,7246 3,8708 3,9066 3,8488 3,6704 3,3183 2,7691 2,0696 1,3189 0,6191 0,0489 -0,3302 -0,4806 -0,3987 -0,0944 0,4189 1,0941 1,8432 2,5768 3,2203 3,6808 3,8375 3,5961 2,9543 2,0139 0,9361 -0,1156 -1,0166 -1,6996 -2,1490 -2,3819 -2,4260 -2,3027 -2,0281 -1,6244 -1,1104 -0,4873 0,2434 1,0356 1,7877 2,3815 2,7389 2,8540 2,7721 2,5391 2,1806 1,7240 1,2178 0,7191 0,2738 -0,0874 -0,3485 -0,5203 -0,6465 -0,7916 -1,0198 -1,3718 -1,8338 -2,3261 -2,7492 -3,0417 -3,1767 -3,1235 -2,8460 -2,3411 -1,6638 -0,9052 -0,1518 0,5350 1,1134 1,5485 1,8100 1,8993 1,8725 1,8007 1,7106 1,5909 1,4388 1,2865 1,1867 1,1820 1,2781 1,4307 1,5580 1,5985 1,5708 1,5608 1,6566 1,9105 2,3328 2,8855 3,4929 4,0699 4,5355 4,8185 4,8821 4,7461 4,4669 4,0890 3,6237 3,0727 2,4633 1,8611 1,3493 0,9932 0,8171 0,8013 0,8928 1,0330 1,1968 1,4030 1,6655 1,9464 2,1723 2,2773 2,2299 2,0481 1,7925 1,5205 1,2352 0,8766 0,3608 -0,3714 -1,3197 -2,4007 -3,4598 -4,3315 -4,8947 -5,0844 -4,8886 -4,3465 -3,5323 -2,5230 -1,3770 -0,1500 1,0658 2,1379 2,9487 3,4525 3,6824 3,7233 3,6762 3,6117 3,5280 3,3612 3,0585 2,6353 2,1622 1,7171 1,3597 1,1285 1,0355 1,0590 1,1443 1,2108 1,1787 1,0094 0,7293 0,4145 0,1477 -0,0236 -0,1059 -0,1515 -0,2218 -0,3467 -0,5183 -0,7194 -0,9477 -1,2057 -1,4743 -1,7013 -1,8170 -1,7753 -1,6024 -1,4145 -1,3748 -1,6101 -2,1470 -2,9142 -3,7908 -4,6554 -5,4138 -6,0135 -6,4564 -6,7903 -7,0584 -7,2616 -7,3707 -7,3364 -7,0747 -6,4827 -5,5021 -4,1826 -2,6831 -1,2032 0,0934 1,1097 1,8175 2,2626 2,5585 2,8356 3,1712 3,5752 4,0242 4,4817 4,9012 5,2311 5,4167 5,4158 5,2295 4,9033 4,4877 4,0080 3,4747 2,9086 2,3385 1,7843 1,2658 0,8174 0,4672 0,2132 0,0424 -0,0349 0,0204 0,2589 0,7273 1,4442 2,3575 3,3342 4,2141 4,8891 5,3442 5,6387 5,8511 6,0335 6,1945 6,3105 6,3676 6,4102 6,5319 6,7997 7,2063 7,7023 8,2305 8,7236 9,1118 9,3556 9,4479 9,3837 9,1541 8,7775 8,3050 7,7847 7,2266 6,5954 5,8273 4,8676 3,7217 2,4892 1,3412 0,4637 0,0126 0,0737 0,6273 1,5551 2,6877 3,8596 4,9514 5,8973 6,6580 7,1873 7,4134 7,2588 6,6899 5,7520 4,5685 3,3073 2,1201 1,0999 0,2933 -0,2671 -0,5530 -0,5358 -0,1879 0,4828 1,3938 2,3893 3,2738 3,8598 4,0238 3,7418 3,0739 2,1127 0,9432 -0,3537 -1,6734 -2,8827 -3,8578 -4,5226 -4,8546 -4,8660 -4,5802 -4,0181 -3,2042 -2,1902 -1,0847 -0,0581 0,7057 1,0908 1,1037 0,8589 0,5234 0,2567 0,1557 0,2177 0,3420
Fz    -0,5134 -0,3627 -0,2790 -0,2353 -0,2046 -0,1775 -0,1684 -0,2012 -0,2773 -0,3549 -0,3698 -0,2854 -0,1280 0,0218 0,0759 -0,0176 -0,2619 -0,6214 -1,0388 -1,4560 -1,8312 -2,1400 -2,3724 -2,5319 -2,6255 -2,6459 -2,5797 -2,4328 -2,2331 -2,0044 -1,7464 -1,4349 -1,0395 -0,5560 -0,0264 0,4713 0,8555 1,0800 1,1689 1,2159 1,3323 1,5807 1,9580 2,4234 2,9245 3,4055 3,8164 4,1243 4,3147 4,3839 4,3451 4,2446 4,1527 4,1212 4,1555 4,2273 4,3014 4,3477 4,3453 4,2919 4,2100 4,1337 4,0875 4,0719 4,0557 3,9816 3,7993 3,5063 3,1530 2,8060 2,5080 2,2642 2,0569 1,8674 1,6892 1,5215 1,3587 1,1933 1,0253 0,8604 0,7004 0,5451 0,4079 0,3218 0,3248 0,4375 0,6438 0,8900 1,1062 1,2352 1,2422 1,1054 0,8022 0,3101 -0,3699 -1,1864 -2,0378 -2,8073 -3,4042 -3,7893 -3,9751 -4,0110 -3,9713 -3,9408 -3,9882 -4,1387 -4,3665 -4,6107 -4,8073 -4,9073 -4,8725 -4,6789 -4,3404 -3,9166 -3,4897 -3,1340 -2,8893 -2,7507 -2,6822 -2,6414 -2,5900 -2,5008 -2,3716 -2,2245 -2,0764 -1,9151 -1,7120 -1,4552 -1,1598 -0,8546 -0,5648 -0,3010 -0,0557 0,1842 0,4197 0,6467 0,8772 1,1367 1,4361 1,7540 2,0498 2,2916 2,4798 2,6469 2,8344 3,0771 3,4081 3,8614 4,4615 5,2095 6,0751 7,0004 7,9085 8,7084 9,3091 9,6569 9,7694 9,7253 9,6163 9,5021 9,3939 9,2679 9,0913 8,8416 8,5091 8,0956 7,6173 7,1073 6,6063 6,1501 5,7602 5,4400 5,1868 5,0069 4,9129 4,9088 4,9861 5,1313 5,3309 5,5723 5,8408 6,1143 6,3680 6,5869 6,7708 6,9330 7,0974 7,2922 7,5407 7,8512 8,2039 8,5461 8,8046 8,8983 8,7458 8,2933 7,5542 6,6191 5,6216 4,6871 3,9000 3,3020 2,9077 2,7131 2,6747 2,6960 2,6677 2,5341 2,3149 2,0757 1,8907 1,8235 1,9221 2,2128 2,6791 3,2465 3,8006 4,2347 4,4983 4,6167 4,6670 4,7182 4,7810 4,8169 4,7846 4,6693 4,4792 4,2362 3,9805 3,7660 3,6261 3,5428 3,4652 3,3545 3,1995 2,9978 2,7415 2,4243 2,0503 1,6340 1,2043 0,8067 0,4911 0,2978 0,2577 0,3984 0,7273 1,2005 1,7157 2,1551 2,4352 2,5253 2,4470 2,2696 2,0799 1,9344 1,8329 1,7343 1,5960 1,4049 1,1840 0,9782 0,8242 0,7281 0,6674 0,6088 0,5201 0,3771 0,1760 -0,0589 -0,2841 -0,4555 -0,5448 -0,5496 -0,4859 -0,3666 -0,1997 -0,0031 0,1971 0,3852 0,5615 0,7270 0,8692 0,9667 1,0053 1,0043 1,0303 1,1660 1,4528 1,8665 2,3344 2,7649 3,0680 3,1754 3,0623 2,7599 2,3414 1,8987 1,5237 1,2877 1,2161 1,2889 1,4655 1,6962 1,9221 2,0918 2,1834 2,2029 2,1589 2,0457 1,8511 1,5704 1,2090 0,7861 0,3461 -0,0401 -0,2932 -0,3535 -0,1918 0,1978 0,7998 1,5626 2,3956 3,1921 3,8628 4,3521 4,6322 4,6827 4,4773 4,0010 3,2852 2,4264 1,5569 0,7876 0,1718 -0,2914 -0,6333 -0,8906 -1,0848 -1,2222 -1,3145 -1,3873 -1,4578 -1,5069 -1,4816 -1,3232 -1,0018 -0,5371 0,0061 0,5536 1,0648 1,5448 2,0244 2,5316 3,0744 3,6380 4,1885 4,6839 5,0894 5,3841 5,5553 5,5973 5,5141 5,3191 5,0340 4,6868 4,3043 3,9071 3,5210 3,1878 2,9523 2,8366 2,8392 2,9524 3,1683 3,4677 3,8116 4,1517 4,4604 4,7521 5,0757 5,4849 6,0028 6,6006 7,2068 7,7355 8,1122 8,2878 8,2444 7,9972 7,5904 7,0852 6,5429 6,0130 5,5337 5,1285 4,7976 4,5226 4,2778 4,0383 3,7806 3,4860 3,1429 2,7462 2,2973 1,8074 1,2937 0,7783 0,2983 -0,0914 -0,3509 -0,4939 -0,5859 -0,6908 -0,8146 -0,8948 -0,8403 -0,5761 -0,0696 0,6578 1,5395 2,4874 3,4070 4,2054 4,8111 5,1971 5,3819 5,4134 5,3545 5,2747 5,2341 5,2676 5,3809 5,5499 5,7232 5,8428 5,8795 5,8599 5,8582 5,9461 6,1359 6,3707 6,5620 6,6316 6,5367 6,2731 5,8569 5,3060 4,6458 3,9317 3,2500 2,6854 2,2807 2,0170 1,8281 1,6412 1,4068 1,1026 0,7262 0,2919 -0,1681 -0,6078 -0,9875 -1,2893 -1,5202 -1,7065 -1,8798 -2,0584 -2,2395 -2,4010 -2,5153 -2,5691 -2,5657 -2,5083 -2,3922 -2,2108 -1,9593 -1,6241 -1,1669 -0,5356 0,2885 1,2595 2,2895 3,3032 4,2655 5,1685 6,0115 6,7926 7,5046 8,1315 8,6457 9,0116 9,2064 9,2378 9,1303 8,9074 8,5915 8,2041 7,7554 7,2396 6,6480 5,9924 5,3161 4,6829 4,1514 3,7551 3,4959 3,3539 3,3130 3,3880 3,6242 4,0674 4,7340 5,6017 6,6175 7,7168 8,8453 9,9584 11,0032 11,9108 12,6164 13,0840 13,3135 13,3282 13,1566 12,8218 12,3476 11,7692 11,1318 10,4825 9,8634 9,3071 8,8292 8,4307 8,1097 7,8625 7,6738 7,5220 7,3949 7,2863 7,1808 7,0569 6,9013 6,7048 6,4478 6,1035 5,6611 5,1494 4,6475 4,2662 4,1047 4,2059 4,5369 5,0016 5,4763 5,8531 6,0736 6,1378 6,0914 6,0087 5,9694 6,0186 6,1404 6,2717 6,3347 6,2540 5,9716 5,4703 4,7899 4,0154 3,2393 2,5115 1,8100 1,0635 0,2139 -0,7302 -1,6934 -2,5794 -3,3126 -3,8478 -4,1675 -4,2813 -4,2168 -4,0086 -3,6851 -3,2598 -2,7382 -2,1400 -1,5086 -0,8926 -0,3222 0,1967 0,6753 1,1268 1,5476 1,9131 2,1932 2,3615 2,3938 2,2714
F3    -1,2754 -0,9621 -0,6523 -0,3160 0,0616 0,4597 0,8207 1,0705 1,1612 1,1077 0,9776 0,8419 0,7316 0,6293 0,4906 0,2736 -0,0377 -0,4214 -0,8280 -1,2079 -1,5285 -1,7705 -1,9223 -1,9870 -1,9841 -1,9335 -1,8490 -1,7465 -1,6442 -1,5483 -1,4399 -1,2745 -1,0012 -0,6065 -0,1433 0,2823 0,5589 0,6231 0,4986 0,2951 0,1567 0,1924 0,4423 0,8840 1,4484 2,0386 2,5615 2,9580 3,2069 3,3070 3,2763 3,1675 3,0592 3,0143 3,0510 3,1515 3,2797 3,3899 3,4393 3,4133 3,3375 3,2560 3,1998 3,1742 3,1524 3,0767 2,8865 2,5700 2,1843 1,8165 1,5246 1,3123 1,1454 0,9862 0,8157 0,6277 0,4115 0,1532 -0,1495 -0,4823 -0,8224 -1,1463 -1,4211 -1,5946 -1,6043 -1,4071 -1,0120 -0,4904 0,0498 0,5070 0,8123 0,9316 0,8517 0,5689 0,0973 -0,5116 -1,1729 -1,8007 -2,3372 -2,7602 -3,0723 -3,2913 -3,4531 -3,6143 -3,8348 -4,1449 -4,5221 -4,8975 -5,1866 -5,3157 -5,2279 -4,8979 -4,3621 -3,7252 -3,1210 -2,6608 -2,3956 -2,3076 -2,3395 -2,4326 -2,5393 -2,6277 -2,6982 -2,7833 -2,9120 -3,0732 -3,2189 -3,2947 -3,2574 -3,0811 -2,7651 -2,3348 -1,8261 -1,2729 -0,7043 -0,1395 0,4185 0,9685 1,4930 1,9574 2,3241 2,5671 2,6856 2,7099 2,6909 2,6932 2,7948 3,0691 3,5630 4,2852 5,1972 6,2144 7,2248 8,1084 8,7578 9,1113 9,1831 9,0593 8,8518 8,6443 8,4654 8,2974 8,1070 7,8698 7,5751 7,2156 6,7836 6,2822 5,7333 5,1759 4,6507 4,1779 3,7577 3,4003 3,1448 3,0449 3,1414 3,4418 3,9133 4,4953 5,1200 5,7266 6,2646 6,6921 6,9811 7,1308 7,1758 7,1779 7,2081 7,3240 7,5519 7,8751 8,2331 8,5243 8,6171 8,3886 7,7869 6,8712 5,7916 4,7211 3,7878 3,0495 2,5175 2,1868 2,0263 1,9545 1,8638 1,6828 1,4105 1,1039 0,8437 0,7111 0,7812 1,1065 1,6825 2,4286 3,2115 3,8959 4,3894 4,6667 4,7637 4,7334 4,5999 4,3670 4,0622 3,7421 3,4510 3,1964 2,9723 2,7904 2,6678 2,5968 2,5471 2,4926 2,4225 2,3275 2,1926 2,0077 1,7735 1,4904 1,1537 0,7655 0,3478 -0,0507 -0,3506 -0,4537 -0,2886 0,1309 0,6934 1,2500 1,6870 1,9479 2,0274 1,9664 1,8277 1,6591 1,4774 1,2820 1,0771 0,8812 0,7267 0,6491 0,6685 0,7763 0,9329 1,0764 1,1434 1,0957 0,9350 0,7007 0,4553 0,2656 0,1780 0,2008 0,3131 0,4913 0,7139 0,9504 1,1672 1,3447 1,4776 1,5619 1,5829 1,5132 1,3300 1,0577 0,7965 0,6825 0,8073 1,1744 1,7126 2,3074 2,8259 3,1471 3,1998 2,9900 2,5967 2,1357 1,7151 1,4001 1,2009 1,0943 1,0556 1,0661 1,1033 1,1453 1,1848 1,2294 1,2836 1,3344 1,3541 1,3068 1,1550 0,8791 0,5043 0,1037 -0,2249 -0,3928 -0,3422 -0,0505 0,4697 1,1570 1,9046 2,5989 3,1635 3,5739 3,8373 3,9496 3,8700 3,5422 2,9501 2,1609 1,3055 0,5083 -0,1671 -0,7174 -1,1673 -1,5361 -1,8198 -2,0003 -2,0765 -2,0757 -2,0262 -1,9249 -1,7398 -1,4397 -1,0191 -0,5128 0,0053 0,4598 0,8285 1,1531 1,4965 1,9015 2,3812 2,9200 3,4690 3,9598 4,3416 4,5998 4,7369 4,7521 4,6443 4,4212 4,1038 3,7213 3,2934 2,8208 2,3087 1,7963 1,3515 1,0325 0,8599 0,8270 0,9223 1,1324 1,4310 1,7818 2,1674 2,6045 3,1260 3,7500 4,4619 5,2129 5,9372 6,5745 7,0758 7,3926 7,4753 7,2917 6,8499 6,2057 5,4414 4,6384 3,8708 3,2057 2,6876 2,3205 2,0701 1,8874 1,7336 1,5870 1,4374 1,2808 1,1195 0,9604 0,8038 0,6411 0,4824 0,3694 0,3280 0,3108 0,2039 -0,0901 -0,5667 -1,1101 -1,5624 -1,7978 -1,7570 -1,4469 -0,9139 -0,2146 0,5856 1,4041 2,1548 2,7782 3,2573 3,6082 3,8595 4,0409 4,1765 4,2834 4,3720 4,4372 4,4500 4,3716 4,1887 3,9459 3,7389 3,6555 3,7179 3,8807 4,0680 4,2037 4,2280 4,1090 3,8379 3,4171 2,8642 2,2302 1,6027 1,0750 0,7017 0,4739 0,3266 0,1747 -0,0498 -0,3796 -0,8089 -1,2962 -1,7735 -2,1706 -2,4460 -2,5995 -2,6628 -2,6851 -2,7108 -2,7577 -2,8151 -2,8606 -2,8840 -2,9019 -2,9404 -3,0073 -3,0827 -3,1305 -3,1138 -2,9923 -2,7042 -2,1817 -1,4088 -0,4535 0,5692 1,5598 2,4670 3,2816 4,0178 4,6969 5,3368 5,9484 6,5243 7,0298 7,4214 7,6735 7,7792 7,7426 7,5816 7,3225 6,9820 6,5600 6,0514 5,4646 4,8302 4,1936 3,5977 3,0662 2,5989 2,1861 1,8353 1,5917 1,5295 1,7242 2,2257 3,0386 4,1211 5,4083 6,8375 8,3439 9,8350 11,1837 12,2595 12,9703 13,2789 13,1930 12,7549 12,0359 11,1303 10,1418 9,1635 8,2629 7,4842 6,8558 6,3888 6,0748 5,8930 5,8148 5,8029 5,8274 5,8865 5,9864 6,1003 6,1671 6,1311 5,9578 5,6218 5,1082 4,4311 3,6440 2,8413 2,1417 1,6467 1,3999 1,3767 1,5094 1,7223 1,9566 2,1836 2,4067 2,6549 2,9746 3,4103 3,9620 4,5587 5,0820 5,4089 5,4391 5,1096 4,4098 3,3928 2,1757 0,9113 -0,2741 -1,3304 -2,2758 -3,1428 -3,9270 -4,5826 -5,0622 -5,3468 -5,4445 -5,3826 -5,2011 -4,9409 -4,6293 -4,2724 -3,8609 -3,3897 -2,8824 -2,3898 -1,9572 -1,5952 -1,2752 -0,9478 -0,5757 -0,1670 0,2195 0,5021 0,6105 0,5076 0,2000
F7    4,0950 3,9545 3,7777 3,5305 3,1458 2,5792 1,8621 1,1045 0,4635 0,0982 0,1073 0,4751 1,0691 1,6868 2,1299 2,2759 2,1054 1,6833 1,1171 0,5041 -0,1074 -0,7141 -1,3330 -1,9747 -2,6053 -3,1307 -3,4525 -3,5369 -3,4188 -3,1593 -2,8144 -2,4253 -2,0246 -1,6509 -1,3542 -1,1880 -1,1891 -1,3463 -1,5714 -1,7185 -1,6642 -1,3793 -0,9215 -0,3737 0,2029 0,7664 1,2624 1,6114 1,7505 1,6954 1,5487 1,4285 1,3766 1,3317 1,1962 0,9280 0,5733 0,2183 -0,0712 -0,2648 -0,3574 -0,3643 -0,3070 -0,1874 0,0139 0,3080 0,6732 1,0655 1,4337 1,7069 1,7937 1,6224 1,1823 0,5247 -0,2744 -1,1426 -2,0155 -2,8394 -3,5607 -4,0988 -4,3577 -4,2772 -3,8697 -3,2266 -2,4893 -1,7818 -1,1660 -0,6521 -0,2190 0,1512 0,4172 0,4733 0,2175 -0,3707 -1,1902 -2,0423 -2,7172 -3,0796 -3,1001 -2,8442 -2,4411 -2,0425 -1,7849 -1,7536 -1,9395 -2,2198 -2,4054 -2,3452 -2,0224 -1,5717 -1,1904 -1,0364 -1,1954 -1,6749 -2,3950 -3,2126 -3,9777 -4,5908 -5,0308 -5,3275 -5,4945 -5,4915 -5,2644 -4,8091 -4,1786 -3,4365 -2,6286 -1,7996 -1,0182 -0,3748 0,0439 0,1880 0,0664 -0,2680 -0,7545 -1,3304 -1,9057 -2,3773 -2,6796 -2,7992 -2,7376 -2,4717 -1,9534 -1,1441 -0,0525 1,2611 2,7065 4,1867 5,6153 6,9101 7,9677 8,6761 8,9720 8,8622 8,4038 7,7021 6,9011 6,1286 5,4630 4,9471 4,5919 4,3724 4,2446 4,1726 4,1500 4,2107 4,3928 4,6549 4,8570 4,8650 4,6502 4,2990 3,9753 3,8395 3,9322 4,1383 4,2750 4,2130 3,9386 3,5411 3,1566 2,9064 2,8608 3,0315 3,3843 3,8611 4,3920 4,9119 5,3947 5,8574 6,3121 6,7272 7,0386 7,1735 7,0636 6,6863 6,1035 5,4283 4,7658 4,1986 3,7758 3,5000 3,3461 3,2714 3,1878 2,9709 2,5481 1,9727 1,3845 0,9093 0,6090 0,4874 0,5091 0,6293 0,8144 1,0331 1,2422 1,3883 1,4244 1,3404 1,1813 1,0251 0,9375 0,9378 0,9784 0,9638 0,8280 0,5881 0,3112 0,0528 -0,1679 -0,3590 -0,5290 -0,6711 -0,7791 -0,8707 -0,9807 -1,1320 -1,3231 -1,5367 -1,7412 -1,8933 -1,9553 -1,9043 -1,7182 -1,3568 -0,7759 0,0378 1,0373 2,0984 3,0317 3,6442 3,8240 3,5926 3,0803 2,4293 1,7080 0,9283 0,1130 -0,6863 -1,4102 -1,9972 -2,3838 -2,5257 -2,4207 -2,1038 -1,6391 -1,1271 -0,6983 -0,4689 -0,4827 -0,6861 -0,9586 -1,1807 -1,2742 -1,1865 -0,8816 -0,3722 0,2626 0,9009 1,4145 1,7028 1,7317 1,5467 1,2470 0,9741 0,8920 1,0968 1,5428 2,0805 2,5495 2,8321 2,8551 2,5868 2,0547 1,3529 0,6064 -0,0806 -0,6418 -1,0311 -1,2109 -1,1561 -0,8590 -0,3548 0,2459 0,7759 1,0851 1,1118 0,9019 0,5578 0,1675 -0,2263 -0,6142 -1,0015 -1,3812 -1,7002 -1,8783 -1,8799 -1,7287 -1,4339 -0,9561 -0,2723 0,5588 1,3985 2,0749 2,4504 2,4811 2,2250 1,7928 1,2944 0,8154 0,4139 0,1223 -0,0633 -0,1899 -0,3177 -0,4831 -0,6938 -0,9290 -1,1307 -1,2275 -1,1914 -1,0571 -0,8799 -0,6825 -0,4467 -0,1494 0,1921 0,4958 0,6342 0,5149 0,1681 -0,2541 -0,5631 -0,6225 -0,3939 0,0649 0,6367 1,1872 1,6074 1,8572 1,9643 1,9542 1,7932 1,4281 0,8744 0,2550 -0,2442 -0,4676 -0,3502 0,0853 0,7662 1,6042 2,4905 3,2696 3,7636 3,8511 3,5366 2,9575 2,3189 1,8099 1,5576 1,6003 1,8733 2,2377 2,5410 2,6771 2,6406 2,5433 2,5400 2,7020 2,9659 3,2021 3,3168 3,2904 3,1376 2,8578 2,4411 1,8975 1,2566 0,5686 -0,0809 -0,5917 -0,9128 -1,0741 -1,1602 -1,2800 -1,5344 -1,9562 -2,4757 -2,9741 -3,3619 -3,5943 -3,6380 -3,4663 -3,0895 -2,5585 -1,9323 -1,2704 -0,6497 -0,1464 0,2162 0,4796 0,7073 0,9514 1,2299 1,4982 1,6576 1,6214 1,3878 1,0662 0,8329 0,8265 1,0640 1,4489 1,8422 2,1322 2,2708 2,2606 2,1122 1,8226 1,3835 0,7995 0,1060 -0,6263 -1,3187 -1,9349 -2,5035 -3,0805 -3,6743 -4,2124 -4,5814 -4,6807 -4,4476 -3,8916 -3,1238 -2,3256 -1,6688 -1,2629 -1,1497 -1,3128 -1,6848 -2,1734 -2,7037 -3,2330 -3,7290 -4,1537 -4,4860 -4,7445 -4,9602 -5,1417 -5,2778 -5,3471 -5,3194 -5,1688 -4,9001 -4,5581 -4,1937 -3,8065 -3,3426 -2,7592 -2,0693 -1,3334 -0,6156 0,0770 0,8165 1,7020 2,7741 3,9646 5,1084 6,0060 6,5070 6,5806 6,3290 5,9183 5,4842 5,0859 4,7165 4,3384 3,9062 3,3777 2,7547 2,1237 1,6168 1,3183 1,2150 1,2357 1,3178 1,4412 1,6282 1,9138 2,3081 2,7879 3,3050 3,7920 4,1920 4,4923 4,7044 4,8185 4,8131 4,7186 4,6466 4,7319 5,0357 5,5015 6,0044 6,4348 6,7410 6,9160 6,9708 6,9302 6,8291 6,6722 6,4171 6,0352 5,5574 5,0363 4,5043 3,9823 3,4889 3,0224 2,5706 2,1532 1,8332 1,6884 1,7747 2,0772 2,4962 2,9115 3,2528 3,4977 3,6415 3,6909 3,6673 3,5923 3,4647 3,2613 2,9622 2,5684 2,1018 1,6092 1,1603 0,8292 0,6656 0,6731 0,8148 1,0630 1,4310 1,9315 2,5216 3,1084 3,5923 3,8969 3,9724 3,7917 3,3559 2,6863 1,8129 0,7887 -0,2897 -1,2890 -2,0783 -2,5741 -2,7595 -2,6697 -2,3673 -1,9342 -1,4643 -1,0403 -0,7186 -0,5388 -0,5223 -0,6525 -0,8802 -1,1595 -1,4664 -1,7892 -2,1204 -2,4443 -2,7153
