Fp1   -0,1332 -1,5348 -2,8922 -3,9568 -4,4051 -3,9205 -2,3227 0,3080 3,5703 6,7795 9,1646 10,1878 9,7384 8,0654 5,6036 2,8294 0,1325 -2,2497 -4,2134 -5,7375 -6,8201 -7,4217 -7,4539 -6,7883 -5,2955 -2,9627 -0,0272 3,0098 5,5103 6,8907 6,8016 5,2573 2,6891 -0,1791 -2,6578 -4,3921 -5,3821 -5,7876 -5,7655 -5,4337 -4,8603 -4,0331 -2,8952 -1,4455 0,2206 1,9629 3,6462 5,1375 6,3199 7,1418 7,5999 7,6508 7,1607 5,9589 3,9884 1,4637 -1,1281 -3,2182 -4,3517 -4,2727 -2,9691 -0,7316 1,8525 4,0798 5,4052 5,6149 4,8667 3,6317 2,4917 1,8599 1,8285 2,2071 2,6485 2,8058 2,5015 1,8451 1,2128 1,0478 1,5260 2,3151 2,7214 2,1764 0,6601 -1,2525 -2,6925 -2,9081 -1,6016 0,9204 3,9039 6,5359 8,2703 8,9179 8,5582 7,4194 5,8366 4,2260 2,9532 2,1529 1,6927 1,3179 0,8165 0,0992 -0,7710 -1,6167 -2,2622 -2,6301 -2,7603 -2,7790 -2,8461 -3,1053 -3,6234 -4,3185 -4,9658 -5,3084 -5,1495 -4,3775 -3,0038 -1,2124 0,6623 2,2312 3,1663 3,3099 2,7181 1,6066 0,2681 -0,9561 -1,6995 -1,6713 -0,7752 0,8732 3,0055 5,2299 7,0634 8,0885 8,1785 7,5666 6,6675 5,7785 4,9037 3,8816 2,7067 1,6720 1,1516 1,2965 1,9926 3,0342 4,2302 5,3749 6,2484 6,7247 6,8614 6,8409 6,8172 6,8510 6,9479 7,0483 6,9658 6,4447 5,3647 3,9087 2,5186 1,6821 1,7249 2,6922 4,3210 6,1300 7,5960 8,3123 8,0616 6,8247 4,8018 2,4464 0,3839 -0,8327 -0,9549 -0,0742 1,5216 3,5219 5,6837 7,8487 9,9168 11,7623 13,1628 13,8567 13,6931 12,7293 11,2110 9,4719 7,7923 6,2685 4,7721 3,0415 0,8826 -1,6229 -4,0861 -6,0353 -7,1961 -7,5668 -7,2814 -6,4493 -5,1154 -3,3330 -1,2439 0,8890 2,6911 3,7611 3,8436 2,9544 1,3509 -0,6108 -2,6311 -4,5328 -6,1963 -7,4675 -8,1731 -8,2183 -7,6666 -6,7652 -5,8768 -5,2897 -5,0526 -5,0002 -4,9279 -4,7242 -4,3663 -3,8652 -3,2639 -2,6719 -2,2731 -2,2547 -2,6781 -3,4065 -4,1542 -4,6092 -4,5757 -4,0615 -3,2207 -2,2387 -1,2910 -0,5511 -0,1442 -0,0331 0,0238 0,3243 0,9933 1,8670 2,5895 2,8861 2,7780 2,5018 2,2600 2,1120 2,0362 1,9731 1,7953 1,3169 0,3707 -1,1183 -3,0693 -5,1624 -6,8364 -7,4839 -6,7146 -4,4738 -1,0234 3,0928 7,1158 10,2512 11,9067 11,8559 10,2454 7,4722 4,0609 0,5829 -2,4361 -4,6043 -5,6865 -5,5816 -4,3419 -2,2425 0,2290 2,5330 4,2373 5,0668 4,9247 3,9104 2,2705 0,3089 -1,6712 -3,3873 -4,5857 -5,0887 -4,9064 -4,2822 -3,5163 -2,7138 -1,7372 -0,3945 1,3585 3,3685 5,3497 6,9818 8,0244 8,3966 8,1882 7,6408 7,0876 6,8240 6,9990 7,5939 8,4441 9,3260 10,1407 11,0075 12,0986 13,3964 14,6544 15,5771 16,0217 16,0613 15,8998 15,7188 15,5679 15,3739 15,0299 14,4704 13,7162 12,8980 12,2189 11,8372 11,7427 11,7419 11,5948 11,1988 10,6561 10,1881 10,0189 10,3435 11,3175 12,9607 15,0330 17,0179 18,2773 18,3312 17,1135 15,0125 12,6701 10,7058 9,5254 9,2488 9,7469 10,7701 12,0937 13,5922 15,2282 17,0010 18,9234 21,0089 23,1963 25,2799 26,9740 28,0634 28,4906 28,3407 27,7820 27,0003 26,1498 25,3424 24,6677 24,2071 24,0377 24,2341 24,8255 25,7080 26,6232 27,2659 27,4329 27,1174 26,5102 25,8933 25,4799 25,3524 25,5299 26,0062 26,6951 27,4069 27,9278 28,1318 28,0442 27,8338 27,7329 27,9210 28,4504 29,2534 30,1811 31,0153 31,5105 31,5380 31,1973 30,7437 30,4379 30,4377 30,6909 30,8908 30,6610 29,8489 28,6397 27,4473 26,7157 26,7206 27,4251 28,4720 29,3808 29,8720 30,0707 30,4071 31,3035 32,8744 34,8149 36,5869 37,7937 38,3755 38,4459 38,0503 37,1524 35,7840 34,1191 32,4223 31,0043 30,2281 30,4409 31,7936 34,1077 36,9114 39,5743 41,4158 41,8302 40,5334 37,7879 34,3561 31,1838 29,0450 28,3001 28,8180 30,1078 31,6016 32,8837 33,7328 34,0498 33,7970 32,9795 31,6516 29,9241 27,9631 25,9936 24,2743 23,0052 22,2215 21,7648 21,3857 20,9440 20,5430 20,4462 20,8592 21,7779 23,0039 24,2695 25,3393 26,0221 26,1869 25,8419 25,1708 24,4359 23,8188 23,3327 22,8627 22,3116 21,7544 21,4494 21,6670 22,4709 23,6237 24,7223 25,4794 25,8970 26,1910 26,5889 27,2111 28,0832 29,1783 30,4172 31,6494 32,6677 33,2886 33,4580 33,2765 32,9144 32,5169 32,1619 31,8441 31,4585 30,8166 29,7646 28,3403 26,7840 25,3772 24,2941 23,5883 23,2474 23,2441 23,5717 24,2361 25,1981 26,3317 27,4500 28,3915 29,1093 29,6874 30,2569 30,8631 31,3956 31,6312 31,3446 30,4396 29,0136 27,2874 25,4853 23,7611 22,1554 20,5787 18,8534 16,8382 14,5778 12,3486 10,5489 9,5395 9,5520 10,6671 12,8036 15,7144 19,0143 22,2296 24,8538 26,4096 26,5404 25,1249 22,3476 18,6826 14,7983 11,3775 8,9069 7,5698 7,3041 7,9543 9,3606 11,3104 13,4480 15,2979 16,4656 16,8693 16,7577 16,5096 16,4407 16,6932 17,1570 17,4917 17,3302 16,5593 15,4463 14,4823 14,0609 14,2381 14,7295 15,1139 15,0778 14,5442 13,6636 12,7461 12,1887 12,3742 13,4973 15,3971 17,5888 19,5041 20,7050 20,9364 20,1485 18,5788 16,7449 15,2134 14,2932 13,9164 13,7523 13,4145 12,6596 11,5278 10,3388 9,4990 9,2698 9,7043
Fz    0,3906 -0,6995 -1,5610 -2,1197 -2,3180 -2,1104 -1,4856 -0,4846 0,7937 2,1704 3,3872 4,1790 4,3709 3,9345 2,9970 1,7890 0,5469 -0,5550 -1,4204 -2,0345 -2,4432 -2,7032 -2,8366 -2,8074 -2,5398 -1,9866 -1,1880 -0,2658 0,6236 1,3290 1,7358 1,7962 1,5473 1,0984 0,5865 0,1312 -0,1889 -0,3494 -0,3848 -0,3665 -0,3568 -0,3769 -0,4179 -0,4608 -0,4700 -0,3921 -0,1829 0,1687 0,6554 1,2749 2,0113 2,7890 3,4633 3,8696 3,8980 3,5505 2,9389 2,2168 1,5068 0,8884 0,4265 0,1745 0,1408 0,2726 0,4865 0,7137 0,9293 1,1517 1,4103 1,7037 1,9830 2,1646 2,1618 1,9275 1,4955 1,0018 0,6628 0,6874 1,1420 1,8656 2,5367 2,8516 2,6918 2,1983 1,7184 1,6388 2,1706 3,2161 4,4533 5,5745 6,4392 7,0443 7,4093 7,4978 7,2264 6,5355 5,4424 4,0323 2,4208 0,7460 -0,8223 -2,0927 -2,8872 -3,0896 -2,6920 -1,8049 -0,6298 0,5762 1,5449 2,0561 1,9994 1,4045 0,4128 -0,7909 -2,0326 -3,1619 -4,0587 -4,6550 -4,9355 -4,9047 -4,5677 -3,9498 -3,1276 -2,2299 -1,3959 -0,7214 -0,2254 0,1409 0,4322 0,6395 0,6898 0,5237 0,1739 -0,2130 -0,4068 -0,1716 0,6158 1,8797 3,3662 4,7570 5,7935 6,3435 6,3923 6,0041 5,3104 4,5018 3,7644 3,1969 2,7965 2,5298 2,4120 2,5135 2,8938 3,5516 4,4272 5,4030 6,2975 6,9194 7,1681 7,0880 6,8267 6,5348 6,2877 6,0665 5,7843 5,3483 4,7424 4,0771 3,5503 3,3344 3,4801 3,9268 4,5871 5,3982 6,2972 7,1818 7,9139 8,3738 8,5163 8,3836 8,0626 7,6204 7,0717 6,4088 5,6607 4,9240 4,3337 3,9983 3,9462 4,1132 4,3707 4,5696 4,5873 4,3784 3,9984 3,5644 3,1794 2,8948 2,7326 2,7261 2,9262 3,3567 3,9554 4,5597 4,9598 4,9889 4,5980 3,8628 2,9282 1,9384 0,9869 0,1021 -0,7118 -1,4032 -1,8449 -1,8886 -1,4628 -0,6398 0,3874 1,4069 2,2856 2,9905 3,5447 3,9899 4,3768 4,7384 5,0442 5,1869 5,0268 4,4859 3,6297 2,6406 1,7036 0,9288 0,3643 0,0498 0,0409 0,3643 0,9553 1,6761 2,4157 3,1782 4,0732 5,2132 6,5899 8,0134 9,1635 9,7387 9,6026 8,8209 7,5951 6,1677 4,7369 3,4023 2,1741 1,0413 0,0398 -0,7289 -1,1307 -1,0582 -0,4899 0,4789 1,6676 2,8951 4,0501 5,0789 5,9132 6,4312 6,4922 6,0035 4,9668 3,4958 1,8093 0,1948 -1,0645 -1,7761 -1,8823 -1,4367 -0,5571 0,6034 1,8770 3,1110 4,1721 4,9266 5,2557 5,0913 4,4195 3,2825 1,8155 0,2641 -1,0652 -1,9033 -2,1170 -1,7478 -0,9580 0,0689 1,1935 2,3290 3,4125 4,3658 5,0899 5,5052 5,5946 5,4060 5,0287 4,5817 4,2039 4,0234 4,1254 4,5359 5,2072 6,0262 6,8749 7,6765 8,3695 8,8715 9,1036 9,0368 8,7030 8,1764 7,5592 6,9827 6,5942 6,5027 6,7136 7,1068 7,4821 7,6447 7,4816 6,9964 6,2936 5,5391 4,9171 4,5854 4,6275 5,0171 5,6278 6,2973 6,9016 7,3837 7,7293 7,9211 7,9191 7,6921 7,2632 6,7215 6,2115 5,9203 6,0358 6,6623 7,7478 9,0937 10,4402 11,5650 12,3488 12,7860 12,9434 12,8982 12,6888 12,3180 11,7995 11,1873 10,5653 10,0303 9,6756 9,5548 9,6477 9,8739 10,1553 10,4646 10,8263 11,2925 11,9074 12,6462 13,3683 13,8550 13,9106 13,4560 12,5657 11,4326 10,2774 9,2608 8,4487 7,8336 7,3900 7,1200 7,0578 7,2395 7,6614 8,2622 8,9363 9,5545 10,0056 10,2544 10,3473 10,3454 10,2710 10,1311 9,9662 9,8419 9,8033 9,8598 9,9871 10,1170 10,1483 9,9984 9,6456 9,1322 8,5441 7,9801 7,5157 7,1742 6,9320 6,7572 6,6485 6,6343 6,7400 6,9646 7,2813 7,6597 8,1032 8,6507 9,3093 9,9870 10,5138 10,7377 10,6078 10,1818 9,5763 8,9153 8,2930 7,7590 7,3421 7,0828 7,0140 7,1020 7,2462 7,3675 7,4937 7,7525 8,2933 9,1978 10,4216 11,7793 12,9836 13,7403 13,8585 13,3047 12,1839 10,6874 9,0280 7,3794 5,8408 4,4388 3,1740 2,0765 1,2187 0,6836 0,5294 0,7794 1,4381 2,4962 3,8906 5,4513 6,9176 8,0337 8,6415 8,7165 8,3437 7,6609 6,8193 5,9845 5,3280 4,9726 4,9336 5,1122 5,3604 5,5808 5,7683 5,9580 6,1514 6,3052 6,3914 6,4615 6,6322 6,9966 7,5559 8,2446 9,0085 9,8289 10,6714 11,4452 12,0268 12,3273 12,3427 12,1403 11,7983 11,3625 10,8397 10,2166 9,4907 8,6968 7,9178 7,2774 6,9120 6,9194 7,3003 7,9431 8,6771 9,3552 9,9001 10,2822 10,4677 10,4135 10,1144 9,6479 9,1753 8,8874 8,9054 9,2168 9,7041 10,2125 10,5864 10,6902 10,4455 9,8617 9,0351 8,1204 7,2867 6,6671 6,3258 6,2574 6,4075 6,6954 7,0355 7,3547 7,6050 7,7803 7,9231 8,1058 8,3965 8,8336 9,4143 10,0809 10,7073 11,1147 11,1347 10,6971 9,8882 8,9321 8,0966 7,5859 7,4872 7,7816 8,3720 9,1031 9,7944 10,2937 10,5274 10,5204 10,3744 10,2226 10,1866 10,3331 10,6297 10,9485 11,1520 11,1980 11,1703 11,2244 11,4919 11,9894 12,5882 13,0725 13,2502 13,0455 12,5229 11,8461 11,2088 10,7678 10,5922 10,6475 10,8379 11,0660 11,2523 11,3269 11,2401 10,9949 10,6534 10,2882 9,9102 9,4505 8,8167 7,9652 6,9374 5,8623 4,9174 4,2461 3,9029 3,8797
F3    0,4183 -0,5562 -1,1655 -1,3447 -1,0686 -0,3461 0,7444 2,0500 3,3759 4,4917 5,1297 5,0540 4,1741 2,6116 0,6749 -1,2604 -2,8919 -4,0472 -4,6710 -4,8192 -4,6491 -4,3537 -4,0448 -3,6726 -3,0681 -2,0949 -0,7840 0,6449 1,8669 2,5833 2,6569 2,1827 1,4189 0,6342 0,0037 -0,4166 -0,6644 -0,8175 -0,9414 -1,0508 -1,0860 -0,9411 -0,5581 0,0052 0,6207 1,1844 1,6570 2,0488 2,3895 2,6924 2,9350 3,0821 3,1110 2,9813 2,6004 1,8817 0,8605 -0,2761 -1,2860 -1,9828 -2,2697 -2,1412 -1,6863 -1,0508 -0,3706 0,2795 0,9140 1,6081 2,3925 3,1621 3,6915 3,7451 3,2155 2,1917 0,9123 -0,3214 -1,2107 -1,5381 -1,2859 -0,7090 -0,2381 -0,2488 -0,8340 -1,7020 -2,3007 -2,1225 -1,0032 0,7610 2,6001 4,0486 4,9819 5,5457 5,9190 6,1376 6,0994 5,6826 4,8332 3,5732 1,9701 0,1356 -1,7370 -3,3622 -4,4388 -4,7940 -4,4693 -3,6568 -2,5789 -1,4412 -0,4542 0,1601 0,2286 -0,2741 -1,1853 -2,2322 -3,1560 -3,7948 -4,1056 -4,1350 -3,9722 -3,7071 -3,3922 -3,0256 -2,5875 -2,0934 -1,6085 -1,2210 -0,9880 -0,8983 -0,9021 -0,9722 -1,1150 -1,3220 -1,5123 -1,5191 -1,1425 -0,2537 1,1193 2,7885 4,4781 5,9056 6,8307 7,0872 6,6012 5,4062 3,6812 1,7609 0,0392 -1,1844 -1,8057 -1,9072 -1,6379 -1,0881 -0,2794 0,7811 2,0736 3,5345 5,0127 6,2867 7,1663 7,5922 7,6274 7,3525 6,7878 5,9050 4,6925 3,2341 1,7444 0,5150 -0,1964 -0,2648 0,2623 1,2173 2,4232 3,7524 5,0970 6,3088 7,1971 7,6043 7,4897 6,9462 6,1447 5,2494 4,3524 3,4780 2,6574 1,9922 1,6258 1,6461 2,0044 2,5138 2,9330 3,0768 2,8865 2,4442 1,9205 1,4527 1,0447 0,6002 0,0566 -0,5256 -0,9947 -1,1996 -1,0601 -0,5943 0,0941 0,8525 1,5114 1,9008 1,8648 1,2916 0,1479 -1,4867 -3,3932 -5,2287 -6,6035 -7,1926 -6,8501 -5,6703 -3,9413 -2,0146 -0,1786 1,3926 2,6217 3,5018 4,0863 4,4459 4,6003 4,4906 4,0163 3,1170 1,8569 0,4154 -1,0200 -2,3240 -3,4085 -4,1587 -4,4153 -4,0594 -3,1250 -1,7963 -0,2845 1,2808 2,8561 4,4161 5,8698 7,0020 7,5159 7,2076 6,1268 4,5704 2,9235 1,4740 0,3102 -0,6453 -1,5093 -2,3123 -2,9608 -3,2993 -3,2029 -2,6373 -1,6788 -0,4996 0,6934 1,7508 2,6428 3,4142 4,0635 4,4879 4,5498 4,1604 3,3024 2,0502 0,6031 -0,7535 -1,7759 -2,3501 -2,4561 -2,0842 -1,2379 -0,0273 1,2929 2,4213 3,1304 3,3064 2,9626 2,2377 1,3079 0,2792 -0,7924 -1,7999 -2,5677 -2,9301 -2,8186 -2,2985 -1,5418 -0,7472 -0,0518 0,5200 1,0306 1,5443 2,0628 2,5287 2,8794 3,0965 3,2130 3,2921 3,4077 3,6243 3,9858 4,5196 5,2234 6,0382 6,8690 7,6339 8,2639 8,6700 8,7547 8,4640 7,8209 6,9176 5,9014 4,9853 4,4345 4,4636 5,0863 6,0659 7,0200 7,5792 7,5117 6,8016 5,6665 4,4822 3,6355 3,3922 3,8461 4,9271 6,4212 8,0292 9,4761 10,5949 11,3188 11,5932 11,3197 10,4214 8,9554 7,1534 5,3986 4,1525 3,7935 4,4489 5,9612 8,0041 10,2317 12,3579 14,1753 15,5538 16,4304 16,7931 16,6540 16,0298 14,9545 13,4992 11,7791 9,9778 8,3646 7,2395 6,8240 7,1876 8,2433 9,7843 11,5426 13,2725 14,8081 16,0379 16,8496 17,1397 16,8809 16,1621 15,1529 14,0122 12,8247 11,6277 10,4767 9,4624 8,6845 8,2135 8,0673 8,2294 8,6627 9,2907 10,0106 10,7448 11,4707 12,2173 13,0157 13,8108 14,4376 14,7176 14,5777 14,0726 13,3323 12,5187 11,7888 11,2413 10,8931 10,7099 10,6391 10,6212 10,5970 10,5132 10,3366 10,0821 9,8166 9,6244 9,5830 9,7503 10,1288 10,6483 11,2020 11,6991 12,1062 12,4553 12,7956 13,1377 13,4373 13,6253 13,6661 13,5847 13,4277 13,2083 12,8891 12,4193 11,8062 11,1640 10,6754 10,4662 10,5227 10,7644 11,1649 11,7612 12,5848 13,6224 14,8035 15,9882 16,9874 17,6247 17,7893 17,4466 16,6279 15,4094 13,8741 12,0933 10,1484 8,1629 6,3107 4,7772 3,6841 3,0477 2,8098 2,9134 3,3667 4,2387 5,5773 7,3054 9,1799 10,8505 11,9919 12,4481 12,2832 11,6920 10,8751 9,9992 9,2181 8,6794 8,4713 8,5407 8,6983 8,7773 8,7916 8,8932 9,1806 9,5966 10,0132 10,3667 10,6884 11,0231 11,3503 11,6138 11,8349 12,1489 12,6978 13,5025 14,4376 15,3064 15,9482 16,2997 16,3884 16,2822 16,0220 15,5839 14,9112 13,9841 12,8775 11,7752 10,9176 10,4913 10,5289 10,9048 11,4206 11,9085 12,2854 12,5235 12,5838 12,4087 11,9942 11,4567 11,0369 11,0187 11,5721 12,6351 13,9396 15,1272 15,8594 15,9122 15,2397 13,9613 12,2981 10,5122 8,8573 7,5250 6,6044 6,0704 5,8085 5,6788 5,5909 5,5402 5,5967 5,8637 6,4224 7,3032 8,5013 9,9885 11,6915 13,4656 15,0926 16,3027 16,8252 16,4788 15,2885 13,5399 11,6695 10,0442 8,8226 7,9786 7,3939 6,9341 6,5087 6,1113 5,8124 5,6982 5,8101 6,1494 6,7217 7,5346 8,5491 9,6618 10,7530 11,7563 12,6876 13,6130 14,5671 15,4757 16,1428 16,3083 15,7568 14,4539 12,6146 10,6315 8,9239 7,8061 7,4164 7,7113 8,5136 9,5716 10,6001 11,3387 11,6450 11,5423 11,1589 10,6316 10,0527 9,4557 8,8196 8,0961 7,2619 6,3770 5,5796 4,9887 4,6460 4,5769
F7    0,4153 0,3853 0,4133 0,3998 0,2855 0,1080 -0,0088 0,0852 0,4963 1,2212 2,1219 2,9679 3,5117 3,5717 3,1091 2,2412 1,1683 0,0870 -0,8558 -1,5831 -2,0824 -2,3746 -2,4778 -2,3896 -2,0985 -1,6204 -1,0300 -0,4567 -0,0471 0,0814 -0,1177 -0,5945 -1,2168 -1,8131 -2,2002 -2,2028 -1,7223 -0,8282 0,2302 1,1222 1,5911 1,5680 1,1700 0,6072 0,0826 -0,2743 -0,4274 -0,4049 -0,2472 0,0327 0,4442 0,9774 1,5777 2,1555 2,6077 2,8363 2,7709 2,3908 1,7381 0,9261 0,1227 -0,5037 -0,8625 -0,9870 -0,9953 -0,9887 -0,9851 -0,9278 -0,7239 -0,2942 0,3637 1,1347 1,8088 2,1599 2,0479 1,4932 0,6752 -0,1614 -0,8344 -1,2883 -1,5684 -1,7564 -1,8848 -1,8599 -1,4948 -0,6534 0,6082 2,0263 3,2751 4,1534 4,6473 4,8570 4,8834 4,7565 4,4392 3,8788 3,0556 2,0019 0,7970 -0,4498 -1,6157 -2,5618 -3,1358 -3,2199 -2,7939 -1,9507 -0,8680 0,2314 1,1308 1,6825 1,8414 1,6541 1,2116 0,5964 -0,1381 -0,9510 -1,7919 -2,5930 -3,2685 -3,7316 -3,9277 -3,8472 -3,5235 -3,0515 -2,5975 -2,3370 -2,3391 -2,4951 -2,5724 -2,3806 -1,9136 -1,3269 -0,7779 -0,2942 0,2157 0,8522 1,6271 2,4473 3,1709 3,6685 3,8527 3,6895 3,2029 2,4639 1,5727 0,6389 -0,2537 -1,0736 -1,8150 -2,4234 -2,7489 -2,6085 -1,9210 -0,7748 0,6239 2,0420 3,2802 4,2030 4,7552 4,9700 4,9477 4,7977 4,5872 4,3334 4,0215 3,6346 3,1924 2,7755 2,5165 2,5511 2,9423 3,6369 4,5005 5,3913 6,1895 6,7688 6,9984 6,8169 6,2993 5,6262 4,9840 4,4813 4,1244 3,8436 3,5407 3,1352 2,5981 1,9619 1,2946 0,6568 0,0763 -0,4521 -0,9471 -1,4117 -1,8263 -2,1754 -2,4681 -2,7132 -2,8788 -2,8924 -2,6891 -2,2680 -1,7133 -1,1563 -0,7210 -0,5088 -0,5911 -0,9773 -1,5976 -2,3287 -3,0553 -3,7221 -4,3188 -4,8248 -5,1925 -5,3700 -5,3224 -5,0545 -4,6354 -4,1834 -3,7990 -3,5073 -3,2719 -3,0574 -2,8736 -2,7662 -2,7791 -2,9310 -3,2123 -3,5740 -3,9200 -4,1507 -4,2293 -4,1972 -4,1312 -4,0885 -4,0818 -4,1033 -4,1707 -4,3295 -4,5923 -4,8824 -5,0510 -4,9648 -4,5935 -4,0235 -3,4073 -2,9026 -2,6210 -2,5918 -2,7664 -3,0637 -3,4157 -3,7819 -4,1376 -4,4525 -4,6787 -4,7551 -4,6267 -4,2691 -3,7117 -3,0476 -2,4115 -1,9151 -1,5767 -1,3206 -1,0553 -0,7532 -0,4701 -0,3128 -0,3780 -0,6928 -1,1844 -1,6893 -2,0076 -1,9866 -1,5797 -0,8490 0,0684 1,0007 1,7845 2,3047 2,5054 2,3634 1,8745 1,0664 -0,0015 -1,2307 -2,4453 -3,3853 -3,7916 -3,5428 -2,7397 -1,6478 -0,5450 0,3795 1,0342 1,4070 1,5463 1,5392 1,4906 1,4957 1,6150 1,8639 2,2022 2,5493 2,8407 3,0725 3,3019 3,6180 4,0901 4,7305 5,5123 6,4012 7,3489 8,2619 8,9924 9,3871 9,3730 8,9997 8,4136 7,8205 7,4472 7,4642 7,9010 8,6382 9,4716 10,1845 10,6075 10,6632 10,3814 9,8745 9,2861 8,7491 8,3631 8,1759 8,1732 8,2959 8,4728 8,6446 8,7653 8,7978 8,7192 8,5260 8,2308 7,8735 7,5514 7,4196 7,6296 8,2413 9,1732 10,2357 11,2176 11,9548 12,3686 12,4701 12,3331 12,0575 11,7355 11,4318 11,1868 11,0190 10,9274 10,9189 11,0122 11,1984 11,4119 11,5561 11,5572 11,4150 11,2095 11,0583 11,0622 11,2662 11,6246 12,0012 12,2376 12,2558 12,1057 11,9122 11,7860 11,7709 11,8297 11,8628 11,7773 11,5675 11,3352 11,2177 11,2767 11,4475 11,5904 11,5898 11,4315 11,2128 11,0714 11,0870 11,2385 11,4415 11,6198 11,7356 11,7652 11,6885 11,4966 11,1764 10,7087 10,1104 9,4598 8,8689 8,4374 8,2260 8,2562 8,5174 8,9650 9,5197 10,0860 10,5856 10,9840 11,2963 11,5602 11,8014 12,0411 12,3230 12,6931 13,1436 13,5871 13,9008 14,0030 13,8887 13,6031 13,2011 12,7318 12,2532 11,8565 11,6604 11,7503 12,1149 12,6653 13,3189 14,0510 14,8694 15,7476 16,5886 17,2636 17,6708 17,7317 17,3682 16,5439 15,3240 13,8755 12,4054 11,0775 9,9590 9,0274 8,2191 7,4948 6,8868 6,4835 6,3778 6,6368 7,2933 8,3357 9,6854 11,1708 12,5298 13,4802 13,8299 13,5426 12,7276 11,5680 10,2428 8,9109 7,7449 6,9362 6,6534 6,9874 7,9075 9,2517 10,7844 12,2819 13,5702 14,5253 15,0872 15,2847 15,2261 15,0421 14,8147 14,5543 14,2577 13,9862 13,8570 13,9432 14,1981 14,4875 14,6925 14,7775 14,7655 14,6743 14,4923 14,1892 13,7389 13,1513 12,4829 11,8183 11,2494 10,8712 10,7674 10,9686 11,4174 11,9834 12,5222 12,9358 13,1929 13,2996 13,2664 13,0920 12,7666 12,3096 11,7962 11,3094 10,8897 10,5564 10,3422 10,2738 10,3281 10,4219 10,4451 10,3054 9,9691 9,4838 8,9583 8,5100 8,2230 8,1259 8,1898 8,3430 8,4994 8,5953 8,6140 8,5721 8,4765 8,3140 8,0862 7,8292 7,5850 7,3709 7,1733 6,9470 6,6220 6,1411 5,5216 4,8810 4,3893 4,1854 4,3088 4,6854 5,1763 5,6491 6,0221 6,2720 6,4172 6,4986 6,5626 6,6362 6,7016 6,6945 6,5401 6,2250 5,8511 5,6095 5,6772 6,1014 6,7531 7,3824 7,7419 7,7024 7,2965 6,6848 6,0855 5,6968 5,6233 5,8365 6,2009 6,5567 6,7832 6,7985 6,5385 5,9758 5,1688 4,2692 3,4552 2,8248 2,3394 1,8623 1,2542 0,4628 -0,4323 -1,2431 -1,7470 -1,7541 -1,1457
