Fp1   0,0375 0,0702 0,3036 0,5766 0,7617 0,8577 0,9494 1,1610 1,6547 2,5935 4,0508 5,9355 7,9785 9,8069 11,0716 11,5189 10,9682 9,3159 6,6356 3,2780 -0,1879 -3,2065 -5,4373 -6,7778 -7,2636 -6,9655 -5,9773 -4,4834 -2,7639 -1,0917 0,3415 1,4115 2,0404 2,1899 1,8315 0,9476 -0,3843 -1,9151 -3,2931 -4,2468 -4,6794 -4,6426 -4,3123 -3,9448 -3,7693 -3,8888 -4,2470 -4,6755 -5,0044 -5,1301 -4,9856 -4,5317 -3,8162 -2,9895 -2,2210 -1,5998 -1,1157 -0,7462 -0,5478 -0,6272 -1,0141 -1,5975 -2,1910 -2,6408 -2,8788 -2,8977 -2,7126 -2,3980 -2,1264 -2,1046 -2,4569 -3,1402 -3,9405 -4,5702 -4,8141 -4,6186 -4,0577 -3,2390 -2,2644 -1,2255 -0,1911 0,7580 1,4645 1,7086 1,3023 0,2013 -1,4263 -3,2590 -4,9890 -6,4168 -7,4027 -7,8440 -7,7677 -7,3624 -6,8533 -6,3756 -5,9668 -5,6356 -5,4289 -5,4339 -5,6913 -6,1256 -6,6170 -7,1525 -7,8499 -8,8090 -9,9906 -11,2411 -12,3784 -13,2560 -13,7957 -13,9942 -13,8994 -13,5677 -13,0468 -12,4136 -11,7936 -11,2986 -10,9759 -10,8125 -10,6978 -10,4175 -9,7999 -8,8611 -7,7577 -6,6307 -5,5139 -4,3646 -3,1597 -1,9434 -0,7707 0,3673 1,5511 2,8763 4,3667 5,9430 7,5155 9,0931 10,7293 12,3549 13,7287 14,6034 14,9133 14,7731 14,3468 13,7783 13,2376 12,9383 13,0177 13,3938 13,7851 13,8859 13,5398 12,7936 11,8146 10,7644 9,7606 8,9080 8,3105 8,0426 8,0838 8,2668 8,3243 8,0155 7,2262 6,0154 4,6051 3,2982 2,3724 2,0126 2,2660 3,0236 4,0731 5,2037 6,2655 7,1269 7,5897 7,4132 6,4880 5,0150 3,4864 2,4211 2,0671 2,3339 2,9478 3,6467 4,2793 4,7836 5,1241 5,2906 5,3191 5,2260 4,9297 4,3190 3,3900 2,2750 1,1637 0,2073 -0,5228 -1,0035 -1,2277 -1,2355 -1,1573 -1,1617 -1,3096 -1,4986 -1,5867 -1,5192 -1,3058 -0,9377 -0,4003 0,2197 0,7089 0,8948 0,8051 0,5725 0,2050 -0,4635 -1,5785 -3,0733 -4,6834 -6,1048 -7,1327 -7,7047 -7,8801 -7,8105 -7,6939 -7,6824 -7,8098 -8,0120 -8,1927 -8,2415 -8,0178 -7,3846 -6,2888 -4,8041 -3,1086 -1,4230 0,0912 1,4074 2,5871 3,6812 4,7091 5,6696 6,4973 7,0398 7,1438 6,7357 5,8078 4,4183 2,7094 0,8823 -0,8053 -2,0418 -2,5292 -2,0620 -0,5891 1,7322 4,5361 7,3398 9,6965 11,3382 12,2257 12,4508 12,0953 11,2572 10,1879 9,2535 8,7053 8,5555 8,6320 8,6636 8,4394 8,0326 7,7657 7,8720 8,2575 8,5858 8,5344 8,0366 7,3868 7,0445 7,1969 7,5445 7,6160 7,2769 6,8570 6,7761 7,1234 7,6438 8,0676 8,3713 8,7399 9,3382 10,1163 10,8161 11,1517 10,9467 10,1452 8,8243 7,2333 5,7469 4,7243 4,3682 4,6602 5,3862 6,2250 6,8711 7,1582 7,0977 6,7956 6,3801 5,9972 5,7976 5,9026 6,3757 7,1746 8,1154 8,9121 9,2979 9,1620 8,5969 7,8179 7,0430 6,4601 6,2649 6,5987 7,3942 8,3604 9,1625 9,6018 9,6737 9,5304 9,3991 9,4954 9,9233 10,5639 11,0791 11,1233 10,5633 9,4729 8,0156 6,4180 4,9745 3,9688 3,5724 3,8080 4,5797 5,6935 6,8408 7,6568 7,8971 7,5524 6,7895 5,8232 4,8608 4,1161 3,7731 3,8580 4,1897 4,5193 4,6970 4,7059 4,6328 4,6474 4,9190 5,4763 6,1542 6,6708 6,7691 6,3795 5,7180 5,1710 5,0013 5,1352 5,2232 4,9365 4,2475 3,4097 2,6955 2,1967 1,8120 1,3703 0,7906 0,1466 -0,4135 -0,7891 -0,9475 -0,8697 -0,5523 -0,0436 0,5759 1,2273 1,8178 2,2097 2,2671 1,9699 1,4439 0,8666 0,3922 0,1614 0,3117 0,9318 1,9745 3,2078 4,2928 4,9641 5,1749 5,0992 5,0150 5,1359 5,4647 5,7682 5,7149 5,0886 3,9471 2,6092 1,4607 0,7290 0,4288 0,4823 0,8146 1,3331 1,9062 2,3968 2,7052 2,7978 2,7058 2,4752 2,1292 1,6928 1,2368 0,8688 0,6744 0,7135 1,0909 1,9442 3,3044 5,0033 6,7387 8,2063 9,1988 9,6388 9,5636 9,1176 8,5205 7,9769 7,6105 7,4573 7,4710 7,5492 7,5717 7,4136 6,9897 6,3227 5,5008 4,5924 3,6823 2,9298 2,4908 2,3953 2,5414 2,7859 3,0321 3,2573 3,4444 3,4834 3,1992 2,5151 1,5553 0,5521 -0,3127 -0,9668 -1,4212 -1,7356 -2,0105 -2,3869 -2,9999 -3,9136 -5,1004 -6,4207 -7,6046 -8,3537 -8,5229 -8,1984 -7,6201 -7,0254 -6,5511 -6,2766 -6,2846 -6,6005 -7,1216 -7,6668 -8,0963 -8,3747 -8,5322 -8,5989 -8,5744 -8,4094 -7,9833 -7,1308 -5,7545 -3,9372 -1,9305 -0,0424 1,4870 2,5837 3,3553 4,0069 4,7343 5,6678 6,8582 8,2550 9,6768 10,8335 11,4179 11,2452 10,3732 9,0810 7,7048 6,4777 5,4687 4,6348 3,9256 3,3185 2,7794 2,2706 1,8222 1,5240 1,4269 1,5047 1,7120 2,0420 2,5252 3,1680 3,8523 4,2707 4,0377 2,9586 1,1957 -0,8273 -2,6262 -3,7914 -4,0820 -3,5289 -2,4743 -1,4520 -0,9491 -1,2086 -2,1824 -3,6102 -5,1396 -6,4539 -7,3833 -7,9307 -8,1896 -8,2414 -8,1040 -7,7566 -7,2168 -6,5810 -5,9835 -5,5624 -5,4650 -5,8071 -6,5854 -7,6575 -8,8277 -9,9454 -10,9198 -11,6521 -11,9962 -11,8296 -11,1569 -10,1358 -9,0343 -8,1721 -7,8162 -8,0422 -8,6938 -9,4851 -10,1542 -10,5547 -10,6774 -10,6564 -10,7066 -10,9249 -11,1565 -11,1282 -10,6618 -9,7118 -8,3078 -6,5811 -4,8248 -3,4335 -2,7304 -2,8147 -3,5336 -4,5761 -5,6170
Fz    -0,0321 -0,1108 -0,1243 -0,1202 -0,1355 -0,1561 -0,1309 -0,0029 0,2700 0,7000 1,2623 1,8959 2,5078 2,9952 3,2810 3,3243 3,0958 2,5704 1,7654 0,7814 -0,2143 -1,0577 -1,6457 -1,9447 -1,9685 -1,7511 -1,3414 -0,8202 -0,2912 0,1596 0,4872 0,6810 0,7521 0,7150 0,5658 0,2923 -0,0853 -0,4972 -0,8544 -1,0961 -1,2035 -1,1925 -1,1176 -1,0604 -1,0885 -1,2205 -1,4244 -1,6437 -1,8278 -1,9433 -1,9633 -1,8690 -1,6730 -1,4258 -1,1866 -0,9933 -0,8597 -0,7972 -0,8267 -0,9574 -1,1607 -1,3816 -1,5738 -1,7194 -1,8205 -1,8722 -1,8507 -1,7494 -1,6144 -1,5259 -1,5489 -1,6973 -1,9292 -2,1705 -2,3527 -2,4348 -2,3937 -2,2175 -1,9265 -1,5795 -1,2427 -0,9693 -0,8045 -0,7856 -0,9346 -1,2460 -1,6734 -2,1389 -2,5689 -2,9166 -3,1516 -3,2578 -3,2556 -3,1963 -3,1189 -3,0310 -2,9329 -2,8411 -2,7922 -2,8296 -2,9761 -3,2135 -3,5046 -3,8427 -4,2636 -4,7966 -5,4176 -6,0593 -6,6491 -7,1288 -7,4574 -7,6084 -7,5687 -7,3409 -6,9511 -6,4608 -5,9535 -5,4968 -5,1308 -4,8806 -4,7384 -4,6419 -4,5128 -4,3190 -4,0766 -3,8049 -3,5023 -3,1530 -2,7423 -2,2638 -1,7106 -1,0674 -0,3156 0,5537 1,5230 2,5407 3,5455 4,4962 5,3615 6,0885 6,6065 6,8774 6,9364 6,8706 6,7626 6,6710 6,6517 6,7620 7,0166 7,3472 7,6203 7,7049 7,5397 7,1628 6,6844 6,2265 5,8807 5,7002 5,7013 5,8621 6,1182 6,3671 6,5010 6,4526 6,2137 5,8299 5,3911 5,0057 4,7597 4,6850 4,7525 4,8951 5,0527 5,2061 5,3670 5,5279 5,6185 5,5254 5,1792 4,6328 4,0537 3,6298 3,4734 3,5904 3,9093 4,3327 4,7758 5,1761 5,4896 5,6937 5,7896 5,7793 5,6331 5,3098 4,8143 4,2170 3,6160 3,0875 2,6697 2,3800 2,2267 2,1962 2,2396 2,2879 2,2938 2,2524 2,1812 2,0984 2,0229 1,9735 1,9559 1,9535 1,9395 1,9125 1,9102 1,9619 2,0248 1,9923 1,7769 1,3852 0,9148 0,4928 0,2131 0,1076 0,1507 0,2727 0,3810 0,4000 0,3046 0,1206 -0,1028 -0,3194 -0,4848 -0,5446 -0,4439 -0,1566 0,3007 0,8793 1,5259 2,1995 2,8674 3,5011 4,0825 4,5960 5,0069 5,2633 5,3344 5,2289 4,9718 4,5907 4,1218 3,6118 3,1235 2,7382 2,5406 2,6021 2,9566 3,5682 4,3230 5,0661 5,6640 6,0590 6,2817 6,3976 6,4377 6,4064 6,3417 6,3142 6,3629 6,4614 6,5372 6,5014 6,3055 6,0059 5,7342 5,5822 5,5391 5,5326 5,5022 5,4504 5,4514 5,5861 5,8382 6,0634 6,0957 5,8954 5,5839 5,3257 5,1871 5,1167 5,0407 4,9521 4,9111 4,9726 5,1206 5,2743 5,3499 5,2945 5,0766 4,6940 4,2034 3,7140 3,3438 3,1729 3,2190 3,4327 3,7153 3,9623 4,1136 4,1662 4,1473 4,0911 4,0416 4,0569 4,2001 4,5069 4,9462 5,4155 5,7840 5,9560 5,9162 5,7258 5,4742 5,2288 5,0306 4,9197 4,9262 5,0270 5,1429 5,1956 5,1575 5,0592 4,9716 4,9784 5,1473 5,4961 5,9579 6,3833 6,6104 6,5525 6,2144 5,6554 4,9727 4,2971 3,7635 3,4703 3,4531 3,6793 4,0557 4,4418 4,6870 4,6949 4,4613 4,0476 3,5373 3,0238 2,6144 2,4026 2,4118 2,5728 2,7732 2,9257 3,0016 3,0316 3,0870 3,2345 3,4870 3,7922 4,0654 4,2278 4,2393 4,1274 3,9807 3,8843 3,8447 3,7796 3,5906 3,2479 2,8060 2,3534 1,9555 1,6230 1,3218 1,0211 0,7339 0,5069 0,3780 0,3556 0,4292 0,5788 0,7757 0,9935 1,2139 1,4153 1,5582 1,5994 1,5244 1,3572 1,1406 0,9300 0,7971 0,8154 1,0263 1,4136 1,9027 2,3869 2,7705 3,0046 3,0978 3,1009 3,0736 3,0399 2,9654 2,7843 2,4586 2,0255 1,5907 1,2634 1,0849 1,0166 0,9932 0,9697 0,9265 0,8574 0,7668 0,6672 0,5747 0,5027 0,4506 0,4037 0,3593 0,3458 0,4072 0,5753 0,8636 1,2805 1,8250 2,4618 3,1149 3,6999 4,1558 4,4535 4,5931 4,5985 4,5084 4,3624 4,1886 4,0059 3,8290 3,6623 3,4983 3,3236 3,1180 2,8627 2,5624 2,2393 1,9162 1,6308 1,4439 1,3991 1,4855 1,6537 1,8564 2,0630 2,2542 2,4085 2,4844 2,4246 2,1948 1,8222 1,3868 0,9825 0,6849 0,5337 0,5258 0,6108 0,6922 0,6549 0,4125 -0,0624 -0,7277 -1,4780 -2,1821 -2,7374 -3,1053 -3,3100 -3,4039 -3,4274 -3,4092 -3,3862 -3,3914 -3,4295 -3,4846 -3,5490 -3,6308 -3,7363 -3,8577 -3,9777 -4,0661 -4,0634 -3,8875 -3,4799 -2,8548 -2,0975 -1,3155 -0,5887 0,0534 0,6247 1,1622 1,7074 2,2906 2,9228 3,5879 4,2362 4,7914 5,1796 5,3632 5,3624 5,2462 5,0935 4,9509 4,8103 4,6322 4,3931 4,1042 3,7939 3,4986 3,2685 3,1567 3,1908 3,3630 3,6429 3,9929 4,3740 4,7378 5,0103 5,0858 4,8647 4,3245 3,5492 2,6829 1,8731 1,2515 0,9169 0,8904 1,0805 1,3127 1,4143 1,2866 0,9232 0,3946 -0,1792 -0,6714 -1,0058 -1,1870 -1,2723 -1,3159 -1,3407 -1,3504 -1,3563 -1,3861 -1,4623 -1,5836 -1,7367 -1,9130 -2,1006 -2,2782 -2,4315 -2,5716 -2,7205 -2,8756 -2,9924 -3,0076 -2,8770 -2,5984 -2,2198 -1,8362 -1,5611 -1,4704 -1,5653 -1,7841 -2,0484 -2,3005 -2,5131 -2,6912 -2,8616 -3,0255 -3,1213 -3,0656 -2,8181 -2,3867 -1,8002 -1,1123 -0,4251 0,1199 0,3919 0,3223 -0,0674 -0,6718 -1,3410
F3    0,1195 -0,1942 -0,4194 -0,5852 -0,7035 -0,7335 -0,6162 -0,3204 0,1445 0,7408 1,4153 2,1032 2,7297 3,2225 3,5288 3,6116 3,4202 2,8855 1,9757 0,7680 -0,5433 -1,7216 -2,5803 -3,0306 -3,0779 -2,7809 -2,2200 -1,4989 -0,7379 -0,0388 0,5343 0,9468 1,1930 1,2877 1,2358 1,0245 0,6602 0,2032 -0,2494 -0,6154 -0,8546 -0,9633 -0,9770 -0,9642 -0,9893 -1,0732 -1,1922 -1,3030 -1,3734 -1,3936 -1,3627 -1,2822 -1,1719 -1,0709 -1,0063 -0,9638 -0,8982 -0,7824 -0,6454 -0,5486 -0,5211 -0,5363 -0,5506 -0,5503 -0,5541 -0,5740 -0,5935 -0,6021 -0,6300 -0,7335 -0,9548 -1,2904 -1,6830 -2,0397 -2,2708 -2,3215 -2,1718 -1,8286 -1,3386 -0,7949 -0,3069 0,0315 0,1600 0,0632 -0,2372 -0,7012 -1,2733 -1,8824 -2,4542 -2,9189 -3,2031 -3,2479 -3,0564 -2,7029 -2,2853 -1,8858 -1,5717 -1,4052 -1,4431 -1,7209 -2,2203 -2,8547 -3,5120 -4,1236 -4,6871 -5,2216 -5,7184 -6,1408 -6,4533 -6,6421 -6,7145 -6,6856 -6,5679 -6,3702 -6,1083 -5,8204 -5,5584 -5,3519 -5,1983 -5,0819 -4,9684 -4,7896 -4,4819 -4,0441 -3,5352 -3,0217 -2,5381 -2,0890 -1,6712 -1,2834 -0,9102 -0,5060 -0,0061 0,6415 1,4422 2,3505 3,3103 4,2908 5,2645 6,1625 6,8765 7,3185 7,4732 7,3918 7,1507 6,8345 6,5514 6,4197 6,5025 6,7545 7,0422 7,2178 7,1900 6,9549 6,5772 6,1432 5,7315 5,4087 5,2306 5,2318 5,3994 5,6491 5,8483 5,8786 5,6850 5,2986 4,8290 4,4179 4,1781 4,1555 4,3196 4,5861 4,8697 5,1287 5,3572 5,5352 5,5903 5,4187 4,9612 4,2800 3,5628 3,0307 2,8234 2,9508 3,3278 3,8398 4,3862 4,8855 5,2712 5,5045 5,5835 5,5159 5,2815 4,8505 4,2430 3,5527 2,9072 2,4051 2,0893 1,9617 2,0007 2,1591 2,3603 2,5212 2,5977 2,5980 2,5441 2,4404 2,2853 2,0896 1,8712 1,6365 1,3787 1,1073 0,8685 0,7032 0,5826 0,4161 0,1391 -0,2178 -0,5483 -0,7459 -0,7658 -0,6396 -0,4486 -0,2920 -0,2606 -0,4023 -0,6949 -1,0567 -1,3923 -1,6294 -1,7192 -1,6240 -1,3263 -0,8448 -0,2273 0,4726 1,2137 1,9692 2,7101 3,3958 3,9891 4,4704 4,8230 5,0156 5,0227 4,8466 4,5070 4,0329 3,4657 2,8581 2,2842 1,8480 1,6629 1,8159 2,3286 3,1302 4,0702 4,9705 5,6831 6,1292 6,3086 6,2692 6,0607 5,7377 5,3959 5,1501 5,0575 5,0880 5,1633 5,2014 5,1642 5,1097 5,1587 5,3719 5,6787 5,9278 5,9923 5,8521 5,6135 5,4345 5,3877 5,3949 5,3160 5,1036 4,8526 4,6920 4,6525 4,6612 4,6468 4,6203 4,6564 4,8113 5,0529 5,2674 5,3350 5,1855 4,8011 4,2121 3,4998 2,7856 2,1987 1,8373 1,7402 1,8771 2,1570 2,4665 2,7257 2,9129 3,0356 3,1049 3,1430 3,1938 3,3145 3,5475 3,8833 4,2495 4,5443 4,6880 4,6638 4,5240 4,3526 4,2142 4,1448 4,1760 4,3265 4,5532 4,7450 4,7851 4,6205 4,2893 3,9018 3,6004 3,5169 3,7206 4,1637 4,6802 5,0732 5,2210 5,0986 4,7383 4,2098 3,6195 3,0807 2,6691 2,4027 2,2588 2,1968 2,1610 2,0895 1,9525 1,7757 1,6133 1,5073 1,4760 1,5315 1,6807 1,8987 2,1213 2,2885 2,3853 2,4369 2,4884 2,5905 2,7715 3,0036 3,2103 3,3098 3,2518 3,0379 2,7385 2,4738 2,3388 2,3301 2,3466 2,2738 2,0749 1,8031 1,5401 1,3387 1,1977 1,0732 0,9203 0,7319 0,5320 0,3423 0,1721 0,0348 -0,0487 -0,0560 0,0335 0,2228 0,4710 0,6924 0,8036 0,7799 0,6605 0,5057 0,3740 0,3338 0,4567 0,7777 1,2639 1,8223 2,3352 2,7033 2,8820 2,8958 2,8209 2,7414 2,6918 2,6301 2,4747 2,1789 1,7827 1,3986 1,1330 1,0084 0,9622 0,9144 0,8231 0,6866 0,5222 0,3534 0,2010 0,0810 0,0043 -0,0308 -0,0405 -0,0311 0,0258 0,1818 0,4750 0,9119 1,4797 2,1505 2,8636 3,5252 4,0487 4,3896 4,5457 4,5395 4,4051 4,1812 3,9067 3,6165 3,3436 3,1161 2,9454 2,8241 2,7291 2,6155 2,4328 2,1599 1,8086 1,4071 1,0082 0,6889 0,5048 0,4531 0,4962 0,6087 0,7912 1,0502 1,3654 1,6644 1,8378 1,8046 1,5627 1,1806 0,7560 0,3836 0,1296 0,0097 -0,0199 -0,0500 -0,1788 -0,4704 -0,9412 -1,5637 -2,2690 -2,9648 -3,5695 -4,0364 -4,3596 -4,5565 -4,6426 -4,6360 -4,5755 -4,5006 -4,4191 -4,3202 -4,2139 -4,1371 -4,1183 -4,1545 -4,2214 -4,2810 -4,2667 -4,0902 -3,6961 -3,1131 -2,4334 -1,7445 -1,0846 -0,4400 0,2279 0,9495 1,7271 2,5361 3,3370 4,0817 4,7094 5,1562 5,3750 5,3523 5,1216 4,7644 4,3821 4,0499 3,7872 3,5731 3,3912 3,2458 3,1410 3,0693 3,0290 3,0316 3,0889 3,2057 3,3795 3,5954 3,8231 4,0166 4,1065 3,9943 3,5831 2,8490 1,8793 0,8297 -0,1359 -0,8660 -1,2379 -1,2142 -0,8920 -0,4770 -0,1909 -0,1771 -0,4600 -0,9554 -1,5073 -1,9474 -2,1709 -2,1783 -2,0393 -1,8238 -1,5693 -1,2969 -1,0419 -0,8642 -0,8209 -0,9373 -1,2091 -1,6112 -2,0926 -2,5816 -3,0208 -3,3956 -3,7171 -3,9700 -4,0863 -3,9814 -3,6182 -3,0427 -2,3774 -1,7907 -1,4403 -1,4034 -1,6436 -2,0413 -2,4594 -2,8001 -3,0257 -3,1554 -3,2402 -3,3030 -3,2999 -3,1576 -2,8360 -2,3369 -1,6845 -0,9346 -0,1978 0,3782 0,6657 0,6126 0,2646 -0,2548 -0,7971
F7    -0,6039 -0,4733 -0,2622 -0,0593 0,0744 0,1295 0,1246 0,0861 0,0592 0,1168 0,3364 0,7558 1,3397 1,9821 2,5428 2,8913 2,9271 2,5927 1,9022 0,9697 -0,0146 -0,8665 -1,4738 -1,8061 -1,8897 -1,7711 -1,4963 -1,1191 -0,7067 -0,3205 0,0042 0,2548 0,4278 0,5174 0,5055 0,3705 0,1171 -0,2019 -0,5060 -0,7274 -0,8302 -0,8124 -0,7126 -0,6001 -0,5377 -0,5491 -0,6113 -0,6754 -0,7052 -0,6954 -0,6533 -0,5865 -0,5126 -0,4599 -0,4490 -0,4792 -0,5351 -0,6090 -0,7222 -0,9139 -1,2009 -1,5473 -1,8738 -2,0969 -2,1730 -2,1104 -1,9507 -1,7563 -1,6022 -1,5468 -1,6004 -1,7206 -1,8325 -1,8644 -1,7834 -1,6091 -1,3899 -1,1632 -0,9343 -0,6773 -0,3561 0,0312 0,4229 0,7189 0,8285 0,7054 0,3624 -0,1396 -0,7211 -1,2989 -1,7838 -2,1042 -2,2525 -2,2902 -2,2959 -2,3210 -2,3843 -2,4848 -2,6163 -2,7794 -2,9722 -3,1744 -3,3644 -3,5612 -3,8294 -4,2264 -4,7535 -5,3556 -5,9509 -6,4655 -6,8628 -7,1530 -7,3700 -7,5324 -7,6271 -7,6347 -7,5545 -7,3915 -7,1412 -6,8018 -6,3759 -5,8587 -5,2560 -4,6133 -4,0038 -3,4805 -3,0481 -2,6775 -2,3366 -1,9958 -1,6161 -1,1488 -0,5575 0,1583 0,9469 1,7134 2,3756 2,9179 3,3789 3,7906 4,1421 4,4012 4,5587 4,6369 4,6632 4,6543 4,6278 4,6107 4,6261 4,6790 4,7515 4,8039 4,7911 4,6887 4,4997 4,2365 3,9109 3,5433 3,1731 2,8544 2,6381 2,5467 2,5604 2,6225 2,6603 2,6187 2,4890 2,3025 2,1004 1,9184 1,7825 1,7047 1,6837 1,7133 1,7876 1,8891 1,9705 1,9603 1,8060 1,5300 1,2360 1,0438 1,0137 1,1310 1,3370 1,5668 1,7719 1,9197 1,9888 1,9748 1,8879 1,7196 1,4242 0,9641 0,3661 -0,2739 -0,8386 -1,2466 -1,4797 -1,5661 -1,5525 -1,4965 -1,4663 -1,5238 -1,6916 -1,9400 -2,2134 -2,4616 -2,6454 -2,7297 -2,6924 -2,5520 -2,3750 -2,2297 -2,1291 -2,0415 -1,9554 -1,9112 -1,9624 -2,1244 -2,3675 -2,6482 -2,9339 -3,2032 -3,4375 -3,6257 -3,7739 -3,9009 -4,0253 -4,1556 -4,2870 -4,4030 -4,4729 -4,4502 -4,2901 -3,9784 -3,5423 -3,0352 -2,5055 -1,9714 -1,4289 -0,8817 -0,3486 0,1519 0,5967 0,9395 1,1226 1,1130 0,9173 0,5746 0,1387 -0,3331 -0,7719 -1,0928 -1,2128 -1,0760 -0,6776 -0,0759 0,6216 1,2920 1,8273 2,1553 2,2533 2,1402 1,8530 1,4476 1,0199 0,6892 0,5371 0,5790 0,7804 1,0682 1,3585 1,6164 1,8620 2,0992 2,2701 2,2880 2,1054 1,7591 1,3672 1,0661 0,9171 0,8675 0,8153 0,7188 0,6372 0,6558 0,7827 0,9389 1,0354 1,0434 1,0032 0,9776 0,9896 0,9983 0,9343 0,7506 0,4465 0,0723 -0,2798 -0,5046 -0,5290 -0,3480 -0,0247 0,3407 0,6491 0,8379 0,9046 0,8937 0,8511 0,8000 0,7500 0,7114 0,7016 0,7423 0,8384 0,9562 1,0265 0,9741 0,7632 0,4260 0,0487 -0,2730 -0,4593 -0,4473 -0,2101 0,2085 0,7001 1,1480 1,4800 1,6846 1,7952 1,8624 1,9248 1,9812 1,9713 1,7998 1,4110 0,8429 0,2048 -0,3847 -0,8347 -1,0945 -1,1598 -1,0701 -0,8914 -0,6869 -0,4993 -0,3603 -0,2984 -0,3248 -0,4265 -0,5821 -0,7704 -0,9586 -1,0948 -1,1345 -1,0840 -1,0035 -0,9534 -0,9477 -0,9603 -0,9517 -0,8832 -0,7328 -0,5142 -0,2702 -0,0483 0,1125 0,1921 0,2089 0,2102 0,2196 0,1941 0,0403 -0,3054 -0,8023 -1,3174 -1,7108 -1,9162 -1,9622 -1,9326 -1,9037 -1,9102 -1,9537 -2,0242 -2,1013 -2,1462 -2,1152 -1,9866 -1,7688 -1,4942 -1,2166 -1,0101 -0,9485 -1,0648 -1,3306 -1,6711 -1,9905 -2,1972 -2,2329 -2,0884 -1,7969 -1,4182 -1,0213 -0,6626 -0,3627 -0,0970 0,1883 0,5337 0,9230 1,2702 1,4466 1,3400 0,9198 0,2681 -0,4584 -1,1038 -1,5638 -1,7957 -1,8142 -1,6801 -1,4682 -1,2383 -1,0247 -0,8433 -0,7045 -0,6204 -0,5937 -0,6009 -0,5978 -0,5498 -0,4523 -0,3105 -0,1030 0,2150 0,6633 1,1990 1,7242 2,1227 2,3030 2,2276 1,9178 1,4454 0,9121 0,4170 0,0339 -0,1958 -0,2689 -0,2184 -0,1028 0,0071 0,0544 0,0263 -0,0534 -0,1542 -0,2452 -0,2907 -0,2698 -0,1986 -0,1194 -0,0756 -0,0993 -0,2068 -0,4029 -0,6958 -1,0936 -1,5701 -2,0509 -2,4507 -2,7212 -2,8626 -2,9101 -2,9179 -2,9490 -3,0664 -3,3136 -3,6949 -4,1816 -4,7231 -5,2484 -5,6862 -5,9990 -6,2008 -6,3469 -6,5043 -6,7197 -7,0160 -7,3932 -7,8043 -8,1409 -8,2733 -8,1249 -7,7191 -7,1640 -6,6006 -6,1504 -5,8717 -5,7342 -5,6384 -5,4776 -5,1975 -4,8065 -4,3464 -3,8584 -3,3589 -2,8354 -2,2625 -1,6208 -0,9019 -0,1076 0,7380 1,5681 2,2757 2,7466 2,9051 2,7480 2,3442 1,8023 1,2283 0,6976 0,2540 -0,0716 -0,2578 -0,3074 -0,2472 -0,1090 0,0758 0,2611 0,3872 0,4069 0,3106 0,1361 -0,0472 -0,1855 -0,2945 -0,4607 -0,7739 -1,2607 -1,8735 -2,5170 -3,0768 -3,4508 -3,5895 -3,5255 -3,3641 -3,2355 -3,2371 -3,4003 -3,6911 -4,0348 -4,3552 -4,6204 -4,8579 -5,1189 -5,4216 -5,7248 -5,9445 -6,0075 -5,9064 -5,7108 -5,5336 -5,4845 -5,6228 -5,9226 -6,2864 -6,6083 -6,8315 -6,9529 -6,9842 -6,9238 -6,7633 -6,5092 -6,1964 -5,8886 -5,6600 -5,5611 -5,5908 -5,7021 -5,8325 -5,9374 -6,0096 -6,0738 -6,1717 -6,3385 -6,5606 -6,7576 -6,8287 -6,7153 -6,4156 -5,9673 -5,4411 -4,9351 -4,5472 -4,3438 -4,3435 -4,5105 -4,7634 -5,0036
