Fp1   -1,1107 -1,4486 -1,6260 -1,5927 -1,3535 -0,9937 -0,6454 -0,4227 -0,3745 -0,4747 -0,6545 -0,8482 -1,0133 -1,1187 -1,1269 -0,9993 -0,7297 -0,3690 -0,0039 0,2900 0,4725 0,5370 0,5062 0,4307 0,3722 0,3784 0,4657 0,6134 0,7791 0,9331 1,0733 1,2058 1,3230 1,4039 1,4276 1,3818 1,2591 1,0549 0,7769 0,4567 0,1515 -0,0765 -0,1928 -0,1964 -0,1067 0,0301 0,1391 0,1525 0,0435 -0,1793 -0,4858 -0,8184 -1,1000 -1,2695 -1,3097 -1,2479 -1,1308 -0,9952 -0,8647 -0,7672 -0,7261 -0,7263 -0,7146 -0,6400 -0,4741 -0,2038 0,1586 0,5499 0,8683 1,0286 1,0050 0,8344 0,5836 0,3034 0,0034 -0,3407 -0,7625 -1,2828 -1,9031 -2,6083 -3,3723 -4,1623 -4,9420 -5,6728 -6,3134 -6,8237 -7,1709 -7,3306 -7,2920 -7,0686 -6,7056 -6,2743 -5,8515 -5,4958 -5,2380 -5,0905 -5,0508 -5,0831 -5,1085 -5,0368 -4,8177 -4,4579 -3,9958 -3,4851 -2,9956 -2,6022 -2,3486 -2,2182 -2,1577 -2,1424 -2,1876 -2,2911 -2,4062 -2,4854 -2,5229 -2,5479 -2,5961 -2,6875 -2,8015 -2,8628 -2,7726 -2,4637 -1,9340 -1,2503 -0,5325 0,0937 0,5500 0,8169 0,9103 0,8788 0,8180 0,8518 1,0739 1,4986 2,0518 2,6083 3,0561 3,3404 3,4658 3,4814 3,4674 3,5156 3,6964 4,0242 4,4474 4,8747 5,2113 5,3830 5,3546 5,1438 4,8125 4,4359 4,0812 3,7994 3,6074 3,4843 3,4026 3,3390 3,2562 3,1120 2,8889 2,6099 2,3314 2,1113 1,9670 1,8621 1,7343 1,5269 1,2042 0,7756 0,3116 -0,0910 -0,3648 -0,4911 -0,4831 -0,3693 -0,1879 0,0211 0,2319 0,4443 0,6832 0,9925 1,4129 1,9511 2,5684 3,1942 3,7449 4,1397 4,3092 4,2115 3,8668 3,3772 2,8893 2,5248 2,3381 2,3241 2,4473 2,6581 2,9090 3,1737 3,4445 3,7200 4,0080 4,3243 4,6677 5,0027 5,2785 5,4562 5,5112 5,4371 5,2639 5,0500 4,8447 4,6638 4,4944 4,3091 4,0793 3,7977 3,4978 3,2378 3,0640 2,9965 3,0402 3,1928 3,4411 3,7638 4,1479 4,6012 5,1343 5,7352 6,3643 6,9656 7,4838 7,8773 8,1175 8,1794 8,0367 7,6718 7,0943 6,3512 5,5181 4,6875 3,9487 3,3641 2,9628 2,7470 2,6896 2,7429 2,8615 3,0142 3,1933 3,4133 3,6853 3,9932 4,2978 4,5620 4,7713 4,9373 5,0797 5,2063 5,3083 5,3782 5,4356 5,5246 5,6709 5,8505 6,0020 6,0586 5,9794 5,7726 5,4894 5,1866 4,8968 4,6265 4,3689 4,1190 3,8803 3,6613 3,4633 3,2782 3,1080 2,9725 2,8835 2,8250 2,7694 2,6963 2,5870 2,4148 2,1564 1,8169 1,4382 1,0847 0,8051 0,5963 0,4078 0,1809 -0,1178 -0,4908 -0,9184 -1,3571 -1,7291 -1,9431 -1,9435 -1,7275 -1,3272 -0,8070 -0,2773 0,1250 0,2959 0,2154 -0,0566 -0,4396 -0,8770 -1,3269 -1,7420 -2,0721 -2,2691 -2,2955 -2,1511 -1,8866 -1,5808 -1,3104 -1,1295 -1,0577 -1,0854 -1,1872 -1,3319 -1,4970 -1,6826 -1,9069 -2,1803 -2,4854 -2,7817 -3,0285 -3,1996 -3,2964 -3,3605 -3,4509 -3,6000 -3,8028 -4,0337 -4,2490 -4,3860 -4,3944 -4,2769 -4,0938 -3,9277 -3,8383 -3,8276 -3,8352 -3,7750 -3,5857 -3,2570 -2,8282 -2,3699 -1,9543 -1,6297 -1,4200 -1,3410 -1,4024 -1,5970 -1,8933 -2,2435 -2,6004 -2,9287 -3,2035 -3,3984 -3,4800 -3,4205 -3,2215 -2,9254 -2,6036 -2,3270 -2,1473 -2,1013 -2,2170 -2,5078 -2,9486 -3,4536 -3,8971 -4,1768 -4,2543 -4,1452 -3,8924 -3,5632 -3,2569 -3,0790 -3,0903 -3,2843 -3,5984 -3,9264 -4,1376 -4,1274 -3,8700 -3,4218 -2,8912 -2,4071 -2,0675 -1,8881 -1,8209 -1,8170 -1,8544 -1,9269 -2,0339 -2,1596 -2,2543 -2,2708 -2,2153 -2,1361 -2,0763 -2,0531 -2,0582 -2,0542 -1,9833 -1,7972 -1,4785 -1,0375 -0,5105 0,0369 0,5268 0,9025 1,1490 1,2938 1,3922 1,4943 1,6109 1,7081 1,7251 1,5955 1,2670 0,7298 0,0459 -0,6528 -1,2059 -1,4838 -1,4384 -1,1154 -0,6325 -0,1435 0,2142 0,3804 0,3904 0,3293 0,2737 0,2696 0,3274 0,4194 0,4974 0,5191 0,4532 0,2888 0,0688 -0,1150 -0,1886 -0,1487 -0,0385 0,1068 0,2645 0,3941 0,4486 0,4118 0,3004 0,1488 0,0168 -0,0107 0,1288 0,4148 0,7384 0,9672 1,0214 0,8928 0,6211 0,2774 -0,0416 -0,2415 -0,2662 -0,1059 0,2132 0,6312 1,0692 1,4602 1,7658 1,9651 2,0441 2,0009 1,8504 1,6117 1,2940 0,9004 0,4422 -0,0581 -0,5700 -1,0682 -1,5430 -1,9840 -2,3631 -2,6431 -2,7976 -2,8184 -2,7123 -2,4924 -2,1727 -1,7804 -1,3716 -1,0057 -0,7036 -0,4528 -0,2447 -0,0819 0,0405 0,1396 0,2434 0,3919 0,6161 0,9073 1,2255 1,5410 1,8477 2,1450 2,4350 2,7363 3,0785 3,4801 3,9467 4,4824 5,0879 5,7457 6,4090 7,0058 7,4664 7,7557 7,8874 7,9108 7,8736 7,7901 7,6460 7,4316 7,1589 6,8525 6,5417 6,2724 6,1110 6,1179 6,2985 6,5756 6,8213 6,9217 6,8166 6,4980 6,0031 5,4121 4,8288 4,3388 3,9709 3,6936 3,4538 3,2143 2,9616 2,7038 2,4626 2,2490 2,0480 1,8415 1,6310 1,4285 1,2472 1,1113 1,0511 1,0797 1,1843 1,3403 1,5230 1,7150 1,9093 2,1047 2,3049 2,5257 2,7880 3,1025 3,4591 3,8297 4,1843 4,5013 4,7507 4,8705 4,7820 4,4521 3,9361 3,3524 2,8248 2,4456 2,2712 2,3144 2,5266 2,8043 3,0263 3,0966 2,9711 2,6568 2,1974
Fz    -3,2860 -3,4991 -3,5518 -3,4382 -3,2042 -2,9384 -2,7298 -2,6312 -2,6440 -2,7220 -2,7948 -2,7931 -2,6624 -2,3642 -1,8803 -1,2226 -0,4461 0,3525 1,0646 1,6171 1,9937 2,2132 2,3028 2,2943 2,2288 2,1536 2,1027 2,0759 2,0449 1,9834 1,8861 1,7615 1,6180 1,4545 1,2595 1,0221 0,7486 0,4684 0,2252 0,0635 0,0165 0,0970 0,2914 0,5653 0,8761 1,1824 1,4516 1,6676 1,8236 1,9018 1,8754 1,7382 1,5163 1,2524 0,9860 0,7403 0,5161 0,3008 0,0836 -0,1375 -0,3593 -0,5738 -0,7653 -0,9082 -0,9694 -0,9168 -0,7460 -0,5109 -0,3121 -0,2372 -0,3155 -0,5212 -0,8010 -1,1043 -1,4077 -1,7242 -2,0875 -2,5229 -3,0321 -3,5997 -4,2044 -4,8234 -5,4275 -5,9767 -6,4212 -6,7160 -6,8384 -6,7936 -6,6024 -6,2839 -5,8493 -5,3123 -4,7019 -4,0630 -3,4363 -2,8332 -2,2311 -1,5888 -0,8711 -0,0649 0,8161 1,7342 2,6315 3,4378 4,0851 4,5348 4,7973 4,9228 4,9580 4,9072 4,7434 4,4529 4,0588 3,6099 3,1633 2,7729 2,4801 2,3043 2,2456 2,2989 2,4565 2,6963 2,9740 3,2243 3,3722 3,3609 3,1764 2,8385 2,3756 1,8237 1,2410 0,7009 0,2609 -0,0625 -0,2940 -0,4791 -0,6522 -0,8217 -0,9801 -1,1167 -1,2169 -1,2586 -1,2131 -1,0609 -0,8143 -0,5248 -0,2637 -0,0966 -0,0619 -0,1561 -0,3394 -0,5649 -0,7998 -1,0240 -1,2275 -1,4051 -1,5397 -1,6035 -1,5795 -1,4691 -1,2873 -1,0549 -0,7890 -0,4982 -0,1917 0,1055 0,3558 0,5297 0,6261 0,6773 0,7325 0,8295 0,9823 1,1908 1,4522 1,7593 2,0996 2,4598 2,8338 3,2263 3,6445 4,0871 4,5411 4,9787 5,3564 5,6215 5,7291 5,6576 5,4090 5,0039 4,4906 3,9477 3,4523 3,0387 2,6942 2,3911 2,1160 1,8664 1,6405 1,4449 1,2947 1,1979 1,1485 1,1340 1,1388 1,1434 1,1359 1,1238 1,1208 1,1293 1,1457 1,1702 1,2040 1,2417 1,2671 1,2515 1,1598 0,9708 0,6932 0,3590 0,0049 -0,3395 -0,6526 -0,9207 -1,1410 -1,3164 -1,4373 -1,4735 -1,3862 -1,1472 -0,7607 -0,2803 0,2005 0,5880 0,8228 0,8909 0,8158 0,6408 0,4121 0,1727 -0,0340 -0,1596 -0,1602 -0,0158 0,2620 0,6354 1,0432 1,4114 1,6751 1,8004 1,7992 1,7234 1,6355 1,5778 1,5649 1,5946 1,6611 1,7565 1,8629 1,9507 1,9985 2,0207 2,0737 2,2296 2,5297 2,9565 3,4434 3,9046 4,2614 4,4572 4,4613 4,2650 3,8809 3,3462 2,7174 2,0583 1,4284 0,8680 0,3840 -0,0383 -0,3951 -0,6463 -0,7526 -0,7205 -0,6039 -0,4698 -0,3648 -0,3068 -0,2923 -0,3093 -0,3465 -0,3964 -0,4583 -0,5459 -0,6773 -0,8488 -1,0303 -1,1935 -1,3366 -1,4744 -1,6092 -1,7190 -1,7675 -1,7161 -1,5303 -1,1997 -0,7676 -0,3361 -0,0281 0,0673 -0,0710 -0,4005 -0,8378 -1,2823 -1,6418 -1,8555 -1,8970 -1,7647 -1,4822 -1,0985 -0,6767 -0,2804 0,0439 0,2856 0,4687 0,6348 0,8214 1,0384 1,2583 1,4355 1,5348 1,5427 1,4651 1,3211 1,1378 0,9404 0,7355 0,5061 0,2280 -0,1113 -0,5049 -0,9266 -1,3389 -1,7084 -2,0214 -2,2821 -2,4989 -2,6768 -2,8089 -2,8665 -2,8118 -2,6317 -2,3532 -2,0257 -1,6934 -1,3839 -1,1169 -0,9114 -0,7830 -0,7385 -0,7709 -0,8540 -0,9504 -1,0357 -1,1108 -1,1923 -1,2977 -1,4299 -1,5688 -1,6839 -1,7577 -1,8019 -1,8532 -1,9583 -2,1586 -2,4809 -2,9306 -3,4793 -4,0583 -4,5776 -4,9631 -5,1780 -5,2222 -5,1254 -4,9336 -4,6877 -4,4058 -4,0893 -3,7475 -3,4058 -3,0804 -2,7570 -2,4086 -2,0298 -1,6468 -1,3041 -1,0487 -0,9076 -0,8632 -0,8617 -0,8530 -0,8188 -0,7713 -0,7387 -0,7373 -0,7511 -0,7517 -0,7343 -0,7187 -0,7315 -0,7940 -0,9172 -1,0943 -1,2981 -1,4937 -1,6549 -1,7715 -1,8530 -1,9281 -2,0277 -2,1670 -2,3394 -2,5184 -2,6669 -2,7598 -2,8025 -2,8257 -2,8659 -2,9517 -3,1018 -3,3172 -3,5723 -3,8176 -3,9864 -4,0012 -3,8001 -3,3718 -2,7711 -2,1020 -1,4732 -0,9547 -0,5645 -0,2857 -0,0885 0,0557 0,1637 0,2283 0,2207 0,1089 -0,1259 -0,4740 -0,8870 -1,2994 -1,6695 -1,9990 -2,3092 -2,6098 -2,9061 -3,2253 -3,6099 -4,0850 -4,6445 -5,2519 -5,8349 -6,2900 -6,5258 -6,5206 -6,3332 -6,0514 -5,7376 -5,4242 -5,1364 -4,8948 -4,7010 -4,5399 -4,3991 -4,2751 -4,1684 -4,0883 -4,0548 -4,0793 -4,1489 -4,2358 -4,3188 -4,3909 -4,4523 -4,5020 -4,5374 -4,5557 -4,5596 -4,5660 -4,5997 -4,6762 -4,7855 -4,8898 -4,9396 -4,9037 -4,7852 -4,6144 -4,4317 -4,2706 -4,1485 -4,0745 -4,0578 -4,0980 -4,1753 -4,2668 -4,3667 -4,4818 -4,6215 -4,7981 -5,0151 -5,2452 -5,4383 -5,5568 -5,5873 -5,5290 -5,3928 -5,2101 -5,0208 -4,8481 -4,6900 -4,5288 -4,3392 -4,0922 -3,7610 -3,3292 -2,8027 -2,2128 -1,6040 -1,0112 -0,4505 0,0761 0,5711 1,0388 1,4904 1,9386 2,3792 2,7768 3,0791 3,2544 3,3179 3,3265 3,3450 3,4056 3,4948 3,5721 3,5941 3,5286 3,3711 3,1514 2,9195 2,7210 2,5729 2,4590 2,3518 2,2323 2,0903 1,9258 1,7489 1,5623 1,3504 1,0939 0,7769 0,3787 -0,1155 -0,6873 -1,2769 -1,8081 -2,2219 -2,4993 -2,6614 -2,7506 -2,8079 -2,8544 -2,8821 -2,8631 -2,7752 -2,6161 -2,4014 -2,1594 -1,9215 -1,7119 -1,5517 -1,4716 -1,5040 -1,6502 -1,8626 -2,0740 -2,2433 -2,3681 -2,4610 -2,5277 -2,5704 -2,5975 -2,6277 -2,6872 -2,7976 -2,9688 -3,1970
F3    -1,8155 -1,7629 -1,6931 -1,6102 -1,5118 -1,3995 -1,2873 -1,2008 -1,1568 -1,1415 -1,1249 -1,0928 -1,0470 -0,9796 -0,8557 -0,6281 -0,2740 0,1857 0,6992 1,2032 1,6303 1,9235 2,0590 2,0498 1,9251 1,7176 1,4597 1,1719 0,8603 0,5351 0,2256 -0,0291 -0,2018 -0,2916 -0,3245 -0,3432 -0,3847 -0,4533 -0,5121 -0,5095 -0,4139 -0,2275 0,0257 0,3171 0,6161 0,8878 1,1017 1,2383 1,2737 1,1660 0,8802 0,4319 -0,1048 -0,6287 -1,0488 -1,3156 -1,4374 -1,4698 -1,4878 -1,5513 -1,6794 -1,8556 -2,0520 -2,2423 -2,3916 -2,4513 -2,3790 -2,1752 -1,8982 -1,6373 -1,4633 -1,3945 -1,4051 -1,4619 -1,5546 -1,7031 -1,9437 -2,3021 -2,7779 -3,3440 -3,9485 -4,5257 -5,0112 -5,3512 -5,5130 -5,5036 -5,3716 -5,1849 -4,9989 -4,8379 -4,6980 -4,5657 -4,4368 -4,3192 -4,2198 -4,1274 -3,9999 -3,7663 -3,3501 -2,7042 -1,8444 -0,8570 0,1312 0,9998 1,6693 2,1145 2,3510 2,4060 2,3018 2,0575 1,7004 1,2744 0,8416 0,4675 0,1974 0,0415 -0,0255 -0,0497 -0,0617 -0,0486 0,0251 0,1673 0,3412 0,4889 0,5632 0,5494 0,4713 0,3668 0,2566 0,1459 0,0502 0,0055 0,0426 0,1450 0,2394 0,2409 0,1114 -0,1259 -0,4192 -0,7147 -0,9611 -1,1146 -1,1494 -1,0654 -0,8943 -0,7030 -0,5791 -0,5955 -0,7729 -1,0670 -1,3974 -1,6910 -1,8943 -1,9580 -1,8495 -1,5836 -1,2134 -0,7879 -0,3292 0,1536 0,6359 1,0656 1,3846 1,5586 1,5825 1,4660 1,2269 0,8992 0,5413 0,2295 0,0352 -0,0053 0,1015 0,3260 0,6355 0,9985 1,3804 1,7433 2,0531 2,2944 2,4856 2,6715 2,8897 3,1449 3,4136 3,6601 3,8451 3,9318 3,8910 3,7084 3,3968 3,0016 2,5839 2,1986 1,8863 1,6738 1,5715 1,5690 1,6398 1,7525 1,8712 1,9606 2,0043 2,0075 1,9788 1,9144 1,8009 1,6239 1,3795 1,0943 0,8228 0,6038 0,4340 0,2956 0,1923 0,1433 0,1488 0,1758 0,1780 0,1285 0,0368 -0,0677 -0,1666 -0,2592 -0,3452 -0,4143 -0,4494 -0,4266 -0,3194 -0,1084 0,2066 0,5894 0,9665 1,2648 1,4543 1,5507 1,5896 1,6073 1,6287 1,6532 1,6569 1,6170 1,5363 1,4376 1,3485 1,2980 1,3115 1,3945 1,5273 1,6815 1,8467 2,0443 2,3061 2,6352 2,9949 3,3371 3,6361 3,8907 4,0954 4,2222 4,2420 4,1556 3,9989 3,8218 3,6675 3,5705 3,5564 3,6268 3,7472 3,8604 3,9175 3,9011 3,8311 3,7538 3,7155 3,7335 3,7812 3,7956 3,7034 3,4572 3,0600 2,5590 2,0217 1,5182 1,1123 0,8528 0,7551 0,7933 0,9172 1,0755 1,2274 1,3535 1,4529 1,5238 1,5545 1,5345 1,4638 1,3473 1,1786 0,9393 0,6213 0,2471 -0,1337 -0,4550 -0,6425 -0,6342 -0,4162 -0,0455 0,3738 0,7503 1,0447 1,2554 1,3945 1,4910 1,5936 1,7398 1,9274 2,1216 2,2856 2,4028 2,4724 2,4878 2,4370 2,3281 2,1957 2,0834 2,0236 2,0226 2,0630 2,1212 2,1794 2,2224 2,2341 2,1998 2,1133 1,9724 1,7650 1,4792 1,1322 0,7700 0,4366 0,1583 -0,0501 -0,1838 -0,2605 -0,3160 -0,3808 -0,4697 -0,5867 -0,7173 -0,8207 -0,8469 -0,7581 -0,5346 -0,1828 0,2474 0,6706 1,0044 1,2005 1,2538 1,2066 1,1443 1,1553 1,2773 1,4808 1,6963 1,8543 1,9135 1,8606 1,6944 1,4218 1,0621 0,6447 0,1999 -0,2471 -0,6819 -1,1037 -1,5178 -1,9177 -2,2817 -2,5830 -2,7873 -2,8414 -2,6903 -2,3304 -1,8391 -1,3287 -0,8752 -0,5085 -0,2521 -0,1412 -0,1994 -0,4041 -0,6732 -0,8966 -0,9960 -0,9562 -0,7987 -0,5467 -0,2278 0,1115 0,4136 0,6322 0,7448 0,7563 0,6917 0,5690 0,3844 0,1450 -0,1045 -0,3059 -0,4230 -0,4445 -0,3725 -0,2238 -0,0341 0,1542 0,3105 0,4257 0,5055 0,5566 0,5844 0,6028 0,6312 0,6736 0,7078 0,7018 0,6396 0,5285 0,3842 0,2106 0,0042 -0,2219 -0,4221 -0,5358 -0,5217 -0,3771 -0,1320 0,1689 0,4815 0,7751 1,0378 1,2680 1,4617 1,6131 1,7223 1,7953 1,8340 1,8263 1,7459 1,5742 1,3328 1,0819 0,8736 0,7076 0,5397 0,3332 0,0837 -0,1986 -0,5090 -0,8519 -1,2381 -1,6728 -2,1356 -2,5732 -2,9214 -3,1437 -3,2520 -3,2809 -3,2517 -3,1732 -3,0616 -2,9351 -2,7885 -2,5894 -2,3058 -1,9337 -1,5049 -1,0782 -0,7164 -0,4622 -0,3339 -0,3295 -0,4346 -0,6387 -0,9446 -1,3493 -1,8207 -2,3067 -2,7656 -3,1783 -3,5355 -3,8299 -4,0520 -4,1861 -4,2153 -4,1380 -3,9765 -3,7718 -3,5672 -3,3933 -3,2591 -3,1571 -3,0816 -3,0354 -3,0142 -2,9976 -2,9675 -2,9205 -2,8488 -2,7273 -2,5347 -2,2736 -1,9706 -1,6656 -1,3998 -1,2054 -1,1017 -1,0981 -1,1924 -1,3692 -1,6019 -1,8404 -2,0010 -1,9918 -1,7571 -1,2992 -0,6730 0,0324 0,7179 1,3008 1,7407 2,0518 2,2815 2,4710 2,6368 2,7840 2,9194 3,0395 3,1162 3,1160 3,0322 2,8941 2,7443 2,6085 2,4880 2,3809 2,2992 2,2577 2,2556 2,2721 2,2831 2,2849 2,2966 2,3300 2,3647 2,3575 2,2679 2,0737 1,7808 1,4208 1,0346 0,6587 0,3131 -0,0093 -0,3416 -0,7280 -1,2009 -1,7529 -2,3241 -2,8236 -3,1706 -3,3184 -3,2515 -2,9764 -2,5156 -1,9054 -1,2027 -0,4875 0,1454 0,6071 0,8451 0,8673 0,7319 0,5041 0,2358 -0,0301 -0,2658 -0,4681 -0,6432 -0,7788 -0,8459 -0,8383 -0,8039 -0,8257 -0,9693 -1,2407 -1,5755 -1,8704 -2,0454
F7    -0,4428 -0,5029 -0,4888 -0,3789 -0,1780 0,0712 0,3037 0,4610 0,5103 0,4502 0,3055 0,1151 -0,0792 -0,2392 -0,3371 -0,3619 -0,3225 -0,2482 -0,1797 -0,1488 -0,1654 -0,2200 -0,2940 -0,3624 -0,3970 -0,3762 -0,2990 -0,1910 -0,0869 -0,0016 0,0786 0,1770 0,3015 0,4358 0,5494 0,6185 0,6384 0,6159 0,5576 0,4688 0,3581 0,2382 0,1230 0,0274 -0,0372 -0,0774 -0,1180 -0,1824 -0,2793 -0,4092 -0,5682 -0,7408 -0,9011 -1,0296 -1,1254 -1,2039 -1,2826 -1,3673 -1,4492 -1,5176 -1,5706 -1,6148 -1,6562 -1,6890 -1,6858 -1,6038 -1,4174 -1,1484 -0,8591 -0,6178 -0,4711 -0,4320 -0,4790 -0,5732 -0,6837 -0,8053 -0,9545 -1,1559 -1,4299 -1,7819 -2,1962 -2,6423 -3,0883 -3,5092 -3,8862 -4,2049 -4,4562 -4,6321 -4,7204 -4,7096 -4,5998 -4,4100 -4,1759 -3,9387 -3,7327 -3,5804 -3,4935 -3,4660 -3,4649 -3,4386 -3,3441 -3,1619 -2,8924 -2,5557 -2,1966 -1,8719 -1,6228 -1,4591 -1,3731 -1,3656 -1,4433 -1,5946 -1,7854 -1,9766 -2,1367 -2,2419 -2,2737 -2,2207 -2,0822 -1,8656 -1,5838 -1,2530 -0,8940 -0,5397 -0,2392 -0,0438 0,0212 -0,0328 -0,1664 -0,3244 -0,4457 -0,4767 -0,3888 -0,1882 0,0871 0,3813 0,6404 0,8251 0,9120 0,8986 0,8137 0,7157 0,6757 0,7488 0,9458 1,2226 1,4992 1,6978 1,7775 1,7471 1,6436 1,4994 1,3338 1,1686 1,0324 0,9535 0,9570 1,0544 1,2291 1,4398 1,6421 1,8089 1,9391 2,0458 2,1333 2,1853 2,1769 2,0929 1,9368 1,7317 1,5130 1,3096 1,1339 0,9906 0,8865 0,8280 0,8149 0,8431 0,9133 1,0350 1,2219 1,4851 1,8270 2,2326 2,6629 3,0614 3,3739 3,5646 3,6161 3,5224 3,2973 2,9876 2,6601 2,3709 2,1466 1,9944 1,9186 1,9202 1,9901 2,1102 2,2533 2,3844 2,4770 2,5281 2,5487 2,5448 2,5157 2,4661 2,4041 2,3328 2,2548 2,1792 2,1177 2,0768 2,0523 2,0270 1,9781 1,8942 1,7847 1,6674 1,5555 1,4589 1,3904 1,3605 1,3643 1,3809 1,3904 1,3872 1,3797 1,3816 1,4021 1,4411 1,4966 1,5740 1,6806 1,8124 1,9455 2,0387 2,0470 1,9404 1,7198 1,4238 1,1141 0,8500 0,6755 0,6147 0,6649 0,8010 0,9930 1,2149 1,4487 1,6885 1,9347 2,1819 2,4166 2,6219 2,7810 2,8790 2,9076 2,8720 2,7962 2,7191 2,6799 2,6976 2,7541 2,8010 2,7906 2,7020 2,5468 2,3628 2,1942 2,0615 1,9525 1,8408 1,7106 1,5647 1,4197 1,2957 1,2041 1,1465 1,1287 1,1645 1,2590 1,3955 1,5443 1,6801 1,7883 1,8580 1,8769 1,8366 1,7397 1,6014 1,4415 1,2694 1,0790 0,8559 0,5876 0,2653 -0,1098 -0,5098 -0,8720 -1,1186 -1,1935 -1,0807 -0,7982 -0,3903 0,0723 0,5041 0,8306 1,0151 1,0651 1,0153 0,9050 0,7726 0,6555 0,5886 0,5999 0,7028 0,8858 1,1159 1,3559 1,5760 1,7578 1,8898 1,9564 1,9381 1,8292 1,6488 1,4262 1,1850 0,9398 0,7004 0,4717 0,2532 0,0463 -0,1457 -0,3321 -0,5349 -0,7674 -1,0201 -1,2679 -1,4827 -1,6415 -1,7349 -1,7720 -1,7727 -1,7544 -1,7256 -1,6790 -1,5858 -1,4122 -1,1536 -0,8476 -0,5515 -0,3112 -0,1472 -0,0567 -0,0231 -0,0288 -0,0654 -0,1303 -0,2120 -0,2859 -0,3288 -0,3313 -0,2936 -0,2196 -0,1149 0,0156 0,1641 0,3142 0,4427 0,5303 0,5666 0,5406 0,4334 0,2280 -0,0662 -0,3976 -0,6894 -0,8844 -0,9746 -0,9919 -0,9795 -0,9754 -1,0111 -1,1091 -1,2763 -1,5021 -1,7535 -1,9711 -2,0809 -2,0289 -1,8148 -1,5004 -1,1862 -0,9729 -0,9163 -0,9992 -1,1500 -1,2937 -1,3829 -1,3994 -1,3463 -1,2336 -1,0638 -0,8415 -0,5930 -0,3621 -0,1893 -0,0985 -0,0911 -0,1401 -0,1945 -0,1996 -0,1183 0,0595 0,3134 0,5966 0,8590 1,0697 1,2220 1,3290 1,4164 1,5053 1,5935 1,6555 1,6594 1,5797 1,4019 1,1323 0,8105 0,5087 0,3140 0,2983 0,4825 0,8190 1,2079 1,5369 1,7271 1,7619 1,6831 1,5600 1,4554 1,4077 1,4254 1,4857 1,5482 1,5767 1,5495 1,4670 1,3620 1,2839 1,2541 1,2464 1,2206 1,1680 1,1060 1,0374 0,9356 0,7709 0,5359 0,2497 -0,0437 -0,2795 -0,3964 -0,3744 -0,2508 -0,0948 0,0319 0,0925 0,0729 -0,0162 -0,1362 -0,2339 -0,2670 -0,2135 -0,0695 0,1466 0,3944 0,6313 0,8269 0,9616 1,0205 0,9930 0,8755 0,6754 0,4178 0,1453 -0,0989 -0,2947 -0,4529 -0,6038 -0,7788 -0,9871 -1,2029 -1,3814 -1,4861 -1,5046 -1,4455 -1,3279 -1,1699 -0,9899 -0,8148 -0,6715 -0,5675 -0,4921 -0,4336 -0,3830 -0,3284 -0,2573 -0,1590 -0,0194 0,1725 0,4085 0,6636 0,9147 1,1483 1,3525 1,5139 1,6255 1,6903 1,7222 1,7491 1,8109 1,9435 2,1596 2,4405 2,7472 3,0428 3,3072 3,5309 3,7007 3,7994 3,8139 3,7423 3,5953 3,3903 3,1442 2,8774 2,6262 2,4390 2,3538 2,3753 2,4695 2,5842 2,6800 2,7420 2,7675 2,7551 2,7055 2,6285 2,5449 2,4724 2,4103 2,3465 2,2740 2,1928 2,1056 2,0117 1,8961 1,7291 1,4918 1,1930 0,8558 0,5067 0,1798 -0,0855 -0,2603 -0,3378 -0,3368 -0,2908 -0,2226 -0,1270 0,0202 0,2405 0,5379 0,8967 1,2862 1,6653 1,9932 2,2454 2,4170 2,5086 2,5103 2,4054 2,1955 1,9168 1,6274 1,3793 1,2040 1,1166 1,1206 1,2044 1,3412 1,4955 1,6290 1,7060 1,6990 1,5993
