Fp1   -3,8114 -3,6432 -3,3922 -3,0498 -2,6350 -2,1843 -1,7089 -1,1865 -0,5956 0,0616 0,7595 1,4452 2,0396 2,4685 2,6965 2,7352 2,6475 2,5408 2,5111 2,5697 2,6473 2,6694 2,5947 2,4147 2,1636 1,9110 1,7126 1,5753 1,4664 1,3416 1,1759 0,9712 0,7262 0,4197 0,0244 -0,4720 -1,0474 -1,6357 -2,1457 -2,4958 -2,6421 -2,5837 -2,3471 -1,9841 -1,5901 -1,2811 -1,1102 -1,0262 -0,9350 -0,7860 -0,5898 -0,3687 -0,1162 0,1891 0,5477 0,9338 1,3289 1,7402 2,1712 2,5859 2,9166 3,1146 3,1878 3,1806 3,1459 3,1429 3,2215 3,3935 3,6264 3,8468 3,9516 3,8487 3,4988 2,9205 2,1768 1,3705 0,6287 0,0630 -0,2707 -0,3980 -0,4153 -0,4196 -0,4455 -0,4828 -0,5266 -0,5848 -0,6625 -0,7574 -0,8574 -0,9368 -0,9682 -0,9395 -0,8590 -0,7473 -0,6170 -0,4647 -0,2878 -0,1097 0,0233 0,0845 0,0943 0,0876 0,0538 -0,0750 -0,3578 -0,7740 -1,2449 -1,7138 -2,1745 -2,6292 -3,0531 -3,4149 -3,7075 -3,9480 -4,1589 -4,3477 -4,4981 -4,5732 -4,5244 -4,3160 -3,9450 -3,4315 -2,8082 -2,1292 -1,4653 -0,8665 -0,3383 0,1377 0,5792 1,0074 1,4575 1,9704 2,5654 3,2162 3,8663 4,4685 5,0019 5,4663 5,8833 6,2902 6,7208 7,1879 7,6705 8,1145 8,4695 8,7242 8,8827 8,9129 8,7582 8,4054 7,9067 7,3347 6,7601 6,2601 5,9044 5,7312 5,7316 5,8367 5,9367 5,9374 5,8073 5,5828 5,3483 5,1978 5,1743 5,2404 5,3200 5,3485 5,2872 5,1306 4,9178 4,7105 4,5500 4,4400 4,3594 4,2805 4,1745 4,0081 3,7502 3,3953 2,9825 2,5778 2,2310 1,9662 1,8090 1,7890 1,9010 2,0697 2,1665 2,0945 1,8645 1,5595 1,2423 0,9424 0,6886 0,4879 0,3038 0,1063 -0,0810 -0,2124 -0,2749 -0,2989 -0,3332 -0,4086 -0,5019 -0,5436 -0,4745 -0,2926 -0,0439 0,2060 0,3842 0,4202 0,2625 -0,0979 -0,5907 -1,0780 -1,4397 -1,6315 -1,6685 -1,5918 -1,4441 -1,2568 -1,0569 -0,8814 -0,7728 -0,7492 -0,7834 -0,8200 -0,8047 -0,7107 -0,5603 -0,4092 -0,2995 -0,2524 -0,2850 -0,3949 -0,5325 -0,6167 -0,5846 -0,4321 -0,1952 0,1157 0,5302 1,0396 1,5485 1,9323 2,1172 2,1093 1,9727 1,7776 1,5547 1,3090 1,0768 0,9284 0,9130 1,0358 1,2779 1,5963 1,9076 2,1083 2,1259 1,9596 1,6862 1,4254 1,2738 1,2577 1,3377 1,4376 1,4802 1,4150 1,2309 0,9757 0,7539 0,6712 0,7776 1,0609 1,4731 1,9613 2,4732 2,9483 3,3358 3,6155 3,7941 3,9071 4,0155 4,1665 4,3653 4,5825 4,7605 4,8295 4,7485 4,5208 4,1770 3,7571 3,2944 2,8113 2,3301 1,8678 1,4287 1,0355 0,7412 0,5768 0,5181 0,5242 0,5796 0,6997 0,9141 1,2427 1,6644 2,1011 2,4435 2,6009 2,5336 2,2642 1,8697 1,4452 1,0653 0,7709 0,5719 0,4474 0,3596 0,2852 0,2316 0,2183 0,2408 0,2591 0,2189 0,0768 -0,1750 -0,4830 -0,7378 -0,8274 -0,6965 -0,3678 0,0794 0,5431 0,9225 1,1367 1,1518 0,9926 0,7278 0,4431 0,2137 0,0811 0,0511 0,1103 0,2405 0,4201 0,6212 0,8099 0,9456 0,9830 0,8815 0,6249 0,2418 -0,1911 -0,5824 -0,8734 -1,0583 -1,1722 -1,2699 -1,4085 -1,6372 -1,9750 -2,3760 -2,7296 -2,9166 -2,8712 -2,6086 -2,2171 -1,8209 -1,5294 -1,3975 -1,4221 -1,5727 -1,8200 -2,1294 -2,4413 -2,6759 -2,7599 -2,6427 -2,3079 -1,7993 -1,2355 -0,7719 -0,5275 -0,5251 -0,6818 -0,8574 -0,9415 -0,9115 -0,8173 -0,7322 -0,7135 -0,7829 -0,9262 -1,1089 -1,2976 -1,4793 -1,6634 -1,8561 -2,0353 -2,1610 -2,2065 -2,1765 -2,1153 -2,1036 -2,2268 -2,5374 -3,0366 -3,6700 -4,3332 -4,8938 -5,2346 -5,3087 -5,1536 -4,8482 -4,4692 -4,0782 -3,7077 -3,3497 -2,9698 -2,5355 -2,0375 -1,5069 -1,0257 -0,7092 -0,6433 -0,8137 -1,1093 -1,4055 -1,6277 -1,7436 -1,7470 -1,6708 -1,5886 -1,5696 -1,6252 -1,7225 -1,8409 -1,9802 -2,1203 -2,2127 -2,2228 -2,1601 -2,0686 -2,0090 -2,0358 -2,1618 -2,3345 -2,4552 -2,4393 -2,2736 -2,0294 -1,8167 -1,7200 -1,7742 -1,9744 -2,2937 -2,7088 -3,2087 -3,7464 -4,2018 -4,4434 -4,4271 -4,2216 -3,9650 -3,7968 -3,7940 -3,9445 -4,1679 -4,3650 -4,4782 -4,5201 -4,5494 -4,6287 -4,7791 -4,9501 -5,0720 -5,1536 -5,2784 -5,5098 -5,8510 -6,2763 -6,7648 -7,3250 -7,9986 -8,7988 -9,6402 -10,3679 -10,8627 -11,0984 -11,1096 -10,9328 -10,5778 -10,0440 -9,3438 -8,5059 -7,5873 -6,6651 -5,7829 -4,9484 -4,1962 -3,5793 -3,0736 -2,5692 -1,9895 -1,3526 -0,6963 -0,0379 0,5693 1,0508 1,4056 1,7248 2,1202 2,6429 3,2265 3,7185 3,9967 4,0624 4,0399 4,0746 4,2064 4,3701 4,5076 4,6112 4,6808 4,7131 4,7216 4,7184 4,6874 4,5969 4,4304 4,2015 3,9554 3,7569 3,6648 3,7062 3,8703 4,1185 4,4024 4,6752 4,8798 4,9349 4,7736 4,4108 3,9533 3,5438 3,2808 3,1557 3,0625 2,8735 2,5075 1,9502 1,2454 0,4829 -0,2166 -0,7308 -0,9750 -0,9493 -0,7648 -0,5936 -0,5728 -0,7462 -1,0605 -1,3890 -1,5836 -1,5582 -1,3573 -1,1355 -1,0433 -1,1299 -1,3525 -1,6385 -1,9225 -2,1496 -2,2720 -2,2659 -2,1422 -1,9139 -1,5733 -1,1210 -0,5893 -0,0424 0,4055 0,6251 0,5822 0,3600 0,0592 -0,2556 -0,5177 -0,6455 -0,5992 -0,4183 -0,1872 0,0002 0,0502 -0,0979 -0,4320 -0,8728
Fz    -1,8125 -1,6917 -1,5359 -1,3340 -1,1028 -0,8725 -0,6517 -0,4205 -0,1536 0,1594 0,5102 0,8736 1,2139 1,4994 1,7099 1,8378 1,8957 1,9228 1,9632 2,0279 2,0944 2,1356 2,1289 2,0534 1,9018 1,6835 1,4142 1,1114 0,7925 0,4707 0,1594 -0,1271 -0,3895 -0,6478 -0,9214 -1,2126 -1,5026 -1,7617 -1,9640 -2,0932 -2,1357 -2,0771 -1,9071 -1,6344 -1,3031 -0,9789 -0,7012 -0,4581 -0,2143 0,0454 0,3066 0,5552 0,8045 1,0814 1,3875 1,6921 1,9650 2,2000 2,3979 2,5425 2,6052 2,5727 2,4597 2,2985 2,1316 2,0113 1,9791 2,0394 2,1592 2,2766 2,3109 2,1916 1,8920 1,4324 0,8633 0,2580 -0,2926 -0,7017 -0,9201 -0,9585 -0,8774 -0,7400 -0,5748 -0,3894 -0,1978 -0,0242 0,1059 0,1734 0,1808 0,1588 0,1496 0,1821 0,2588 0,3592 0,4538 0,5175 0,5350 0,4969 0,3931 0,2226 0,0090 -0,2135 -0,4364 -0,6846 -0,9752 -1,2792 -1,5457 -1,7540 -1,9248 -2,0880 -2,2606 -2,4510 -2,6676 -2,9164 -3,2005 -3,5189 -3,8597 -4,1962 -4,4959 -4,7365 -4,9063 -4,9868 -4,9514 -4,7864 -4,4991 -4,1049 -3,6200 -3,0678 -2,4770 -1,8657 -1,2312 -0,5575 0,1646 0,9177 1,6617 2,3549 2,9658 3,4761 3,8882 4,2268 4,5233 4,7987 5,0529 5,2671 5,4248 5,5301 5,5951 5,6135 5,5631 5,4375 5,2554 5,0452 4,8418 4,6912 4,6373 4,7031 4,8798 5,1224 5,3602 5,5265 5,5880 5,5540 5,4744 5,4165 5,4212 5,4794 5,5556 5,6198 5,6542 5,6497 5,6102 5,5507 5,4785 5,3843 5,2575 5,1020 4,9317 4,7567 4,5752 4,3823 4,1877 4,0172 3,8894 3,8001 3,7390 3,7029 3,6865 3,6628 3,5815 3,4060 3,1498 2,8539 2,5371 2,1987 1,8452 1,4824 1,1034 0,7124 0,3409 0,0256 -0,2198 -0,4098 -0,5735 -0,7314 -0,8725 -0,9533 -0,9298 -0,7920 -0,5679 -0,3101 -0,0834 0,0608 0,1055 0,0680 -0,0038 -0,0429 -0,0055 0,1040 0,2491 0,3885 0,5002 0,5879 0,6616 0,7125 0,7139 0,6454 0,5154 0,3586 0,2164 0,1175 0,0679 0,0577 0,0734 0,1002 0,1240 0,1419 0,1737 0,2605 0,4439 0,7309 1,0895 1,4896 1,9241 2,3749 2,7808 3,0619 3,1703 3,1163 2,9508 2,7243 2,4577 2,1550 1,8386 1,5525 1,3287 1,1770 1,1009 1,0928 1,1152 1,1088 1,0279 0,8651 0,6558 0,4592 0,3225 0,2520 0,2133 0,1514 0,0202 -0,1970 -0,4835 -0,7867 -1,0244 -1,1238 -1,0584 -0,8550 -0,5682 -0,2454 0,0890 0,4215 0,7412 1,0401 1,3160 1,5797 1,8515 2,1366 2,4163 2,6634 2,8426 2,9094 2,8341 2,6240 2,3187 1,9674 1,6037 1,2390 0,8832 0,5550 0,2753 0,0702 -0,0308 -0,0204 0,0737 0,2072 0,3404 0,4492 0,5329 0,6059 0,6746 0,7234 0,7284 0,6759 0,5639 0,3981 0,1997 0,0039 -0,1619 -0,2936 -0,4096 -0,5443 -0,7308 -0,9720 -1,2335 -1,4692 -1,6510 -1,7758 -1,8581 -1,9207 -1,9774 -2,0085 -1,9606 -1,7847 -1,4750 -1,0753 -0,6571 -0,2943 -0,0468 0,0501 -0,0030 -0,1697 -0,3936 -0,6148 -0,7841 -0,8713 -0,8598 -0,7386 -0,5064 -0,1836 0,1862 0,5474 0,8445 1,0279 1,0624 0,9392 0,6847 0,3546 0,0122 -0,2959 -0,5523 -0,7684 -0,9728 -1,1992 -1,4788 -1,8272 -2,2195 -2,5844 -2,8345 -2,9124 -2,8223 -2,6256 -2,4069 -2,2415 -2,1724 -2,2008 -2,3006 -2,4386 -2,5779 -2,6705 -2,6646 -2,5237 -2,2358 -1,8149 -1,3143 -0,8354 -0,5008 -0,4000 -0,5474 -0,8744 -1,2582 -1,5806 -1,7795 -1,8538 -1,8381 -1,7735 -1,6873 -1,5903 -1,4848 -1,3723 -1,2659 -1,1960 -1,1965 -1,2830 -1,4448 -1,6540 -1,8866 -2,1424 -2,4427 -2,8028 -3,2137 -3,6445 -4,0467 -4,3605 -4,5275 -4,5053 -4,2897 -3,9246 -3,4756 -3,0029 -2,5548 -2,1620 -1,8299 -1,5457 -1,2899 -1,0419 -0,7916 -0,5572 -0,3847 -0,3115 -0,3217 -0,3471 -0,3206 -0,2188 -0,0542 0,1471 0,3500 0,5151 0,6212 0,6832 0,7338 0,7870 0,8351 0,8746 0,9141 0,9585 0,9985 1,0117 0,9625 0,8155 0,5657 0,2591 -0,0228 -0,2113 -0,2875 -0,2813 -0,2431 -0,2174 -0,2336 -0,3069 -0,4395 -0,6337 -0,8946 -1,1990 -1,4782 -1,6607 -1,7266 -1,7192 -1,7191 -1,8025 -2,0020 -2,2926 -2,6060 -2,8621 -3,0070 -3,0393 -3,0059 -2,9737 -2,9906 -3,0577 -3,1515 -3,2749 -3,4586 -3,7234 -4,0683 -4,4837 -4,9570 -5,4771 -6,0429 -6,6450 -7,2365 -7,7475 -8,1382 -8,4225 -8,6343 -8,7818 -8,8378 -8,7683 -8,5575 -8,2096 -7,7495 -7,2158 -6,6356 -6,0257 -5,4208 -4,8604 -4,3384 -3,8069 -3,2409 -2,6613 -2,0931 -1,5509 -1,0672 -0,6783 -0,3742 -0,0990 0,2067 0,5662 0,9419 1,2516 1,4283 1,4711 1,4508 1,4585 1,5327 1,6458 1,7529 1,8234 1,8372 1,7868 1,6852 1,5558 1,4224 1,3100 1,2428 1,2357 1,2935 1,4136 1,5862 1,7960 2,0285 2,2754 2,5336 2,7985 3,0505 3,2476 3,3469 3,3438 3,2786 3,2078 3,1683 3,1513 3,1068 2,9780 2,7323 2,3695 1,9163 1,4228 0,9583 0,5893 0,3513 0,2291 0,1571 0,0570 -0,1182 -0,3749 -0,6928 -1,0307 -1,3305 -1,5433 -1,6637 -1,7369 -1,8234 -1,9566 -2,1359 -2,3428 -2,5531 -2,7401 -2,8759 -2,9439 -2,9474 -2,8901 -2,7585 -2,5384 -2,2371 -1,8863 -1,5505 -1,3135 -1,2186 -1,2376 -1,3106 -1,3842 -1,4093 -1,3447 -1,1863 -0,9781 -0,7848 -0,6650 -0,6648 -0,8061 -1,0684 -1,3861
F3    -2,5345 -2,4881 -2,3985 -2,2575 -2,0749 -1,8655 -1,6219 -1,3183 -0,9388 -0,4912 -0,0023 0,4879 0,9340 1,2984 1,5594 1,7143 1,7833 1,8086 1,8308 1,8583 1,8738 1,8619 1,8140 1,7224 1,5907 1,4380 1,2859 1,1459 1,0152 0,8804 0,7352 0,5840 0,4196 0,2162 -0,0483 -0,3730 -0,7292 -1,0712 -1,3563 -1,5558 -1,6520 -1,6312 -1,4846 -1,2237 -0,8964 -0,5697 -0,2765 0,0058 0,3191 0,6764 1,0529 1,4159 1,7559 2,0797 2,3793 2,6251 2,7982 2,9101 2,9784 2,9984 2,9506 2,8277 2,6459 2,4368 2,2416 2,1152 2,1066 2,2252 2,4310 2,6469 2,7792 2,7509 2,5305 2,1329 1,6028 1,0083 0,4385 -0,0179 -0,3095 -0,4454 -0,4854 -0,4920 -0,4920 -0,4875 -0,4834 -0,4884 -0,5106 -0,5564 -0,6192 -0,6711 -0,6800 -0,6307 -0,5299 -0,3971 -0,2527 -0,1101 0,0243 0,1365 0,1928 0,1586 0,0320 -0,1570 -0,3892 -0,6791 -1,0391 -1,4352 -1,8085 -2,1332 -2,4264 -2,7128 -2,9986 -3,2808 -3,5616 -3,8457 -4,1321 -4,4093 -4,6566 -4,8500 -4,9717 -5,0203 -5,0046 -4,9228 -4,7588 -4,5058 -4,1791 -3,8016 -3,3889 -2,9538 -2,5099 -2,0562 -1,5713 -1,0292 -0,4235 0,2226 0,8701 1,4861 2,0488 2,5478 2,9925 3,4110 3,8304 4,2612 4,6905 5,0856 5,4166 5,6795 5,8806 6,0039 6,0192 5,9224 5,7454 5,5332 5,3332 5,1956 5,1620 5,2514 5,4506 5,7059 5,9370 6,0768 6,1005 6,0246 5,8968 5,7767 5,7008 5,6632 5,6400 5,6184 5,5977 5,5792 5,5703 5,5818 5,6101 5,6290 5,6079 5,5317 5,4010 5,2226 5,0050 4,7599 4,5104 4,2887 4,1165 3,9960 3,9272 3,9181 3,9672 4,0399 4,0647 3,9757 3,7680 3,4835 3,1532 2,7915 2,4241 2,0745 1,7462 1,4473 1,2073 1,0518 0,9742 0,9382 0,8970 0,8198 0,7170 0,6384 0,6340 0,7162 0,8620 1,0304 1,1684 1,2246 1,1664 0,9913 0,7429 0,5060 0,3531 0,3035 0,3358 0,4182 0,5277 0,6555 0,7930 0,9161 0,9868 0,9762 0,8827 0,7325 0,5674 0,4278 0,3349 0,2885 0,2784 0,2894 0,3043 0,3158 0,3386 0,4071 0,5559 0,7916 1,0930 1,4487 1,8709 2,3471 2,8040 3,1418 3,2965 3,2712 3,1180 2,8951 2,6331 2,3430 2,0502 1,8001 1,6262 1,5412 1,5518 1,6497 1,7892 1,8974 1,9136 1,8210 1,6559 1,4857 1,3679 1,3213 1,3224 1,3170 1,2442 1,0662 0,7880 0,4696 0,2149 0,1197 0,2216 0,4925 0,8671 1,2844 1,7059 2,1061 2,4638 2,7606 2,9839 3,1427 3,2705 3,3984 3,5353 3,6718 3,7763 3,7973 3,6953 3,4663 3,1371 2,7482 2,3289 1,8899 1,4421 1,0064 0,6069 0,2792 0,0693 -0,0004 0,0511 0,1844 0,3631 0,5629 0,7785 1,0164 1,2690 1,4962 1,6425 1,6673 1,5588 1,3362 1,0489 0,7590 0,5085 0,3065 0,1416 -0,0069 -0,1617 -0,3307 -0,4967 -0,6330 -0,7275 -0,7888 -0,8374 -0,8962 -0,9716 -1,0284 -0,9961 -0,8179 -0,4941 -0,0815 0,3375 0,6830 0,8895 0,9188 0,7776 0,5178 0,2123 -0,0691 -0,2740 -0,3725 -0,3511 -0,2063 0,0528 0,3946 0,7666 1,1102 1,3729 1,5122 1,5006 1,3332 1,0343 0,6557 0,2622 -0,0939 -0,3930 -0,6496 -0,8954 -1,1624 -1,4781 -1,8554 -2,2651 -2,6264 -2,8410 -2,8483 -2,6579 -2,3396 -1,9877 -1,6876 -1,4924 -1,4145 -1,4397 -1,5444 -1,6948 -1,8405 -1,9223 -1,8873 -1,6977 -1,3432 -0,8628 -0,3555 0,0492 0,2471 0,2061 -0,0201 -0,3179 -0,5765 -0,7414 -0,8176 -0,8392 -0,8444 -0,8621 -0,9068 -0,9716 -1,0325 -1,0758 -1,1184 -1,1891 -1,2971 -1,4255 -1,5497 -1,6619 -1,7861 -1,9689 -2,2477 -2,6299 -3,0895 -3,5704 -3,9974 -4,2954 -4,4069 -4,3138 -4,0490 -3,6734 -3,2465 -2,8191 -2,4258 -2,0730 -1,7435 -1,4171 -1,0809 -0,7357 -0,4092 -0,1582 -0,0334 -0,0296 -0,0837 -0,1292 -0,1394 -0,1190 -0,0825 -0,0529 -0,0615 -0,1260 -0,2262 -0,3179 -0,3726 -0,3868 -0,3607 -0,2906 -0,1824 -0,0588 0,0459 0,0889 0,0303 -0,1403 -0,3807 -0,6113 -0,7647 -0,8258 -0,8303 -0,8319 -0,8673 -0,9489 -1,0760 -1,2449 -1,4591 -1,7252 -2,0207 -2,2793 -2,4351 -2,4722 -2,4304 -2,3768 -2,3711 -2,4376 -2,5577 -2,6812 -2,7502 -2,7312 -2,6372 -2,5200 -2,4442 -2,4490 -2,5177 -2,6030 -2,6909 -2,8107 -2,9924 -3,2479 -3,5821 -3,9940 -4,4802 -5,0467 -5,6922 -6,3726 -7,0104 -7,5482 -7,9767 -8,3122 -8,5560 -8,6804 -8,6494 -8,4462 -8,0830 -7,6039 -7,0647 -6,4925 -5,8867 -5,2643 -4,6584 -4,0676 -3,4546 -2,8101 -2,1750 -1,5892 -1,0650 -0,6178 -0,2660 0,0081 0,2607 0,5513 0,9083 1,3015 1,6531 1,8948 2,0203 2,0939 2,1987 2,3615 2,5422 2,6937 2,7938 2,8293 2,7928 2,6978 2,5674 2,4127 2,2376 2,0581 1,9070 1,8234 1,8371 1,9569 2,1681 2,4394 2,7342 3,0201 3,2735 3,4711 3,5733 3,5409 3,3798 3,1546 2,9535 2,8367 2,8019 2,7861 2,7045 2,4976 2,1512 1,6920 1,1824 0,7094 0,3528 0,1544 0,1015 0,1268 0,1413 0,0793 -0,0823 -0,3272 -0,6053 -0,8469 -0,9998 -1,0672 -1,1064 -1,1819 -1,3177 -1,4960 -1,6850 -1,8593 -2,0016 -2,0955 -2,1289 -2,1036 -2,0246 -1,8873 -1,6882 -1,4374 -1,1631 -0,9250 -0,7972 -0,8078 -0,9208 -1,0844 -1,2563 -1,3865 -1,4215 -1,3394 -1,1650 -0,9481 -0,7453 -0,6153 -0,6003 -0,7002 -0,8658
F7    -2,6859 -2,7100 -2,6765 -2,5729 -2,4060 -2,1925 -1,9414 -1,6526 -1,3262 -0,9632 -0,5652 -0,1442 0,2725 0,6540 0,9785 1,2348 1,4272 1,5795 1,7169 1,8403 1,9314 1,9784 1,9823 1,9450 1,8670 1,7528 1,6112 1,4494 1,2693 1,0698 0,8583 0,6514 0,4556 0,2600 0,0506 -0,1766 -0,4126 -0,6378 -0,8303 -0,9737 -1,0542 -1,0522 -0,9475 -0,7425 -0,4822 -0,2358 -0,0478 0,0860 0,1971 0,3105 0,4329 0,5643 0,7115 0,8842 1,0809 1,2861 1,4856 1,6778 1,8601 2,0135 2,1136 2,1510 2,1378 2,0975 2,0583 2,0529 2,1084 2,2305 2,3964 2,5595 2,6665 2,6795 2,5888 2,4096 2,1693 1,9007 1,6422 1,4295 1,2788 1,1754 1,0804 0,9625 0,8239 0,6875 0,5673 0,4627 0,3677 0,2780 0,1962 0,1335 0,1038 0,1150 0,1633 0,2359 0,3209 0,4117 0,5048 0,5934 0,6652 0,7075 0,7132 0,6787 0,5930 0,4379 0,2103 -0,0584 -0,3212 -0,5528 -0,7639 -0,9840 -1,2389 -1,5383 -1,8721 -2,2118 -2,5224 -2,7770 -2,9645 -3,0844 -3,1365 -3,1195 -3,0345 -2,8850 -2,6764 -2,4160 -2,1119 -1,7689 -1,3867 -0,9692 -0,5303 -0,0847 0,3622 0,8157 1,2866 1,7804 2,2928 2,8122 3,3205 3,7976 4,2356 4,6418 5,0226 5,3701 5,6613 5,8666 5,9715 5,9950 5,9776 5,9444 5,8899 5,8006 5,6781 5,5371 5,3989 5,2917 5,2460 5,2826 5,4001 5,5670 5,7319 5,8474 5,8904 5,8689 5,8193 5,7858 5,7921 5,8339 5,8988 5,9792 6,0624 6,1248 6,1504 6,1434 6,1132 6,0570 5,9625 5,8223 5,6427 5,4390 5,2206 4,9868 4,7383 4,4836 4,2298 3,9777 3,7315 3,5018 3,2966 3,1049 2,8943 2,6379 2,3432 2,0423 1,7605 1,5069 1,2804 1,0710 0,8678 0,6720 0,4958 0,3465 0,2182 0,0981 -0,0286 -0,1728 -0,3297 -0,4759 -0,5851 -0,6473 -0,6668 -0,6532 -0,6220 -0,5966 -0,6030 -0,6580 -0,7548 -0,8658 -0,9652 -1,0417 -1,0887 -1,0982 -1,0649 -0,9923 -0,8951 -0,7931 -0,7007 -0,6225 -0,5546 -0,4912 -0,4283 -0,3648 -0,3057 -0,2578 -0,2187 -0,1798 -0,1371 -0,0893 -0,0299 0,0538 0,1733 0,3315 0,5246 0,7548 1,0210 1,2923 1,5104 1,6276 1,6332 1,5513 1,4287 1,3170 1,2506 1,2375 1,2707 1,3343 1,4024 1,4540 1,4904 1,5269 1,5688 1,6053 1,6226 1,6209 1,6210 1,6542 1,7358 1,8513 1,9663 2,0491 2,0865 2,0812 2,0429 1,9924 1,9669 2,0063 2,1296 2,3247 2,5588 2,8044 3,0487 3,2785 3,4732 3,6139 3,6916 3,7096 3,6796 3,6138 3,5256 3,4325 3,3416 3,2377 3,0985 2,9146 2,6922 2,4415 2,1641 1,8593 1,5444 1,2550 1,0214 0,8606 0,7803 0,7702 0,8038 0,8615 0,9428 1,0544 1,1990 1,3724 1,5597 1,7359 1,8772 1,9707 2,0140 2,0135 1,9871 1,9552 1,9239 1,8848 1,8302 1,7611 1,6817 1,5990 1,5256 1,4748 1,4504 1,4450 1,4442 1,4311 1,3934 1,3359 1,2845 1,2685 1,3007 1,3765 1,4807 1,5860 1,6518 1,6381 1,5299 1,3446 1,1194 0,8955 0,7121 0,5997 0,5714 0,6220 0,7362 0,8935 1,0701 1,2390 1,3702 1,4319 1,3984 1,2580 1,0163 0,6950 0,3317 -0,0302 -0,3624 -0,6606 -0,9329 -1,1856 -1,4241 -1,6527 -1,8622 -2,0271 -2,1210 -2,1334 -2,0739 -1,9672 -1,8426 -1,7247 -1,6252 -1,5411 -1,4653 -1,3963 -1,3326 -1,2625 -1,1671 -1,0307 -0,8454 -0,6107 -0,3429 -0,0846 0,1074 0,1922 0,1673 0,0706 -0,0398 -0,1153 -0,1378 -0,1155 -0,0628 0,0078 0,0791 0,1267 0,1322 0,0930 0,0141 -0,1010 -0,2450 -0,4021 -0,5563 -0,7033 -0,8528 -1,0221 -1,2263 -1,4740 -1,7665 -2,0914 -2,4164 -2,6992 -2,9031 -3,0062 -3,0082 -2,9279 -2,7885 -2,6084 -2,4014 -2,1779 -1,9418 -1,6922 -1,4287 -1,1537 -0,8702 -0,5902 -0,3494 -0,1942 -0,1446 -0,1814 -0,2754 -0,4135 -0,5880 -0,7789 -0,9588 -1,1097 -1,2274 -1,3114 -1,3594 -1,3759 -1,3747 -1,3682 -1,3602 -1,3563 -1,3761 -1,4429 -1,5632 -1,7233 -1,8964 -2,0442 -2,1217 -2,0983 -1,9778 -1,7981 -1,6122 -1,4702 -1,4073 -1,4339 -1,5350 -1,6850 -1,8600 -2,0285 -2,1472 -2,1810 -2,1277 -2,0182 -1,8940 -1,7882 -1,7187 -1,6853 -1,6718 -1,6602 -1,6481 -1,6491 -1,6752 -1,7286 -1,8018 -1,8771 -1,9414 -2,0130 -2,1376 -2,3551 -2,6829 -3,1189 -3,6427 -4,2256 -4,8510 -5,5097 -6,1719 -6,7836 -7,2974 -7,6945 -7,9788 -8,1575 -8,2262 -8,1727 -7,9898 -7,6815 -7,2663 -6,7723 -6,2187 -5,6123 -4,9719 -4,3372 -3,7387 -3,1749 -2,6304 -2,0979 -1,5709 -1,0443 -0,5372 -0,0877 0,2884 0,6169 0,9445 1,3034 1,6782 2,0098 2,2464 2,3890 2,4873 2,5924 2,7087 2,8022 2,8492 2,8506 2,8127 2,7458 2,6734 2,6196 2,5870 2,5581 2,5188 2,4743 2,4410 2,4312 2,4471 2,4886 2,5615 2,6702 2,8063 2,9461 3,0529 3,0780 2,9853 2,7860 2,5382 2,3128 2,1592 2,0832 2,0483 2,0032 1,9119 1,7621 1,5587 1,3214 1,0841 0,8883 0,7706 0,7413 0,7692 0,8003 0,7922 0,7280 0,6194 0,5059 0,4325 0,4167 0,4313 0,4171 0,3261 0,1578 -0,0506 -0,2568 -0,4314 -0,5604 -0,6441 -0,6943 -0,7252 -0,7403 -0,7315 -0,6883 -0,5995 -0,4593 -0,2927 -0,1557 -0,0937 -0,1164 -0,2117 -0,3566 -0,5162 -0,6524 -0,7432 -0,7884 -0,7986 -0,7947 -0,8144 -0,8959 -1,0496 -1,2481
