Fp1   -0,3372 -0,9411 -0,9222 -0,3565 0,4549 1,0919 1,1958 0,6319 -0,4892 -1,9309 -3,4392 -4,7629 -5,6493 -5,8819 -5,3695 -4,2280 -2,7605 -1,3275 -0,2000 0,5210 0,8852 0,9992 0,9403 0,7532 0,5315 0,4669 0,7471 1,3918 2,2184 2,9532 3,3682 3,3596 2,9713 2,3773 1,8007 1,3874 1,1321 0,9507 0,8218 0,8110 0,9713 1,2681 1,5826 1,7435 1,5758 0,9908 0,0783 -0,8950 -1,6138 -1,8679 -1,6019 -0,8597 0,2801 1,7224 3,3139 4,7869 5,7765 5,9456 5,1644 3,6352 1,8274 0,2236 -0,9044 -1,4979 -1,5669 -1,0980 -0,0894 1,3465 2,9350 4,3470 5,3798 5,9819 6,1096 5,6617 4,5934 3,0322 1,2511 -0,4338 -1,7241 -2,3903 -2,3708 -1,7976 -0,8834 0,1773 1,2002 1,9783 2,3212 2,1568 1,5753 0,7633 -0,0728 -0,7444 -1,1081 -1,0794 -0,6638 -0,0015 0,6612 1,0688 1,0438 0,5385 -0,3526 -1,4494 -2,6099 -3,8196 -5,1238 -6,4797 -7,7265 -8,7016 -9,3529 -9,7188 -9,8145 -9,5784 -8,9479 -7,9691 -6,8127 -5,6841 -4,7237 -3,9810 -3,4277 -2,9699 -2,5028 -1,9835 -1,4043 -0,6732 0,4108 1,9826 3,9329 5,9729 7,8635 9,5459 11,1068 12,6684 14,2752 15,8371 17,1718 18,0991 18,5158 18,4609 18,1685 17,9957 18,2185 18,8853 19,8214 20,7239 21,3135 21,4718 21,2714 20,8925 20,4812 20,0550 19,5128 18,7175 17,6030 16,2604 14,9564 14,0347 13,7358 14,0859 14,9114 15,9220 16,8284 17,4546 17,7498 17,7024 17,2945 16,5521 15,6109 14,7172 14,1404 14,0422 14,3924 14,9860 15,5428 15,8395 15,8136 15,5694 15,2932 15,1584 15,2519 15,5488 15,9507 16,3353 16,5926 16,6584 16,5194 16,1841 15,6649 14,9732 14,0850 12,9085 11,3502 9,4369 7,3384 5,2716 3,4141 1,8976 0,8378 0,3285 0,3892 0,9306 1,7823 2,7381 3,5954 4,2093 4,5338 4,6000 4,4629 4,2072 3,9923 4,0075 4,3269 4,8378 5,3631 5,8447 6,3868 7,1711 8,3423 9,8851 11,5793 13,1210 14,2785 14,9230 14,9990 14,5157 13,5349 12,1709 10,6205 9,1354 7,9176 7,0426 6,4925 6,2359 6,2641 6,5763 7,1465 7,8998 8,7177 9,4770 10,1078 10,6083 11,0095 11,3507 11,6709 11,9915 12,3033 12,5660 12,7195 12,7105 12,5278 12,2217 11,8886 11,6308 11,5072 11,4904 11,4838 11,4134 11,3158 11,3331 11,6037 12,1302 12,7506 13,2605 13,5721 13,7566 13,9413 14,1618 14,3022 14,1806 13,7226 13,0545 12,4130 11,9809 11,7948 11,7517 11,7009 11,5581 11,3347 11,0674 10,7710 10,4826 10,2819 10,2017 10,1555 10,0137 9,7352 9,4075 9,1864 9,2125 9,5459 10,1482 10,9241 11,7604 12,5170 13,0317 13,2179 13,1545 13,0076 12,8641 12,7220 12,6020 12,5570 12,5793 12,5612 12,3556 11,8835 11,2094 10,5181 9,9926 9,7178 9,7004 9,9196 10,3293 10,8680 11,5029 12,2433 13,0887 13,9816 14,8326 15,5794 16,1869 16,5904 16,6953 16,4557 15,9428 15,3542 14,9437 14,8745 15,1143 15,4844 15,7920 15,9164 15,8230 15,5396 15,1249 14,6417 14,1262 13,5813 13,0243 12,5109 12,0821 11,7246 11,4045 11,1323 10,9962 11,1310 11,6286 12,4512 13,4536 14,5303 15,6996 17,0230 18,4931 19,9823 21,2663 22,1353 22,5023 22,4230 22,0461 21,5178 20,9081 20,2212 19,4287 18,4846 17,4007 16,3269 15,4885 15,0475 15,0453 15,4152 16,0178 16,6874 17,2361 17,4372 17,1021 16,2306 15,0510 13,8746 12,9198 12,2954 12,0547 12,1546 12,4384 12,7473 13,0094 13,2260 13,4293 13,6561 13,9422 14,3132 14,7540 15,2033 15,6000 15,9229 16,1731 16,3299 16,3554 16,2536 16,0979 15,9731 15,8938 15,7889 15,5688 15,2063 14,7512 14,3093 14,0389 14,0861 14,4385 14,8873 15,1824 15,1874 14,8941 14,3737 13,7426 13,1446 12,7331 12,5991 12,7053 12,9505 13,2892 13,7471 14,3324 14,9511 15,4320 15,6745 15,7522 15,8044 15,8491 15,7757 15,4850 14,9736 14,3160 13,5951 12,8231 11,9413 10,9262 9,8822 9,0073 8,4745 8,3437 8,5416 8,8872 9,1632 9,2260 9,0874 8,8861 8,7771 8,8518 9,1258 9,5634 10,1044 10,6651 11,1201 11,3240 11,1970 10,7899 10,2591 9,7904 9,5140 9,4482 9,5038 9,5248 9,3695 9,0295 8,6912 8,6516 9,0980 9,8961 10,6291 10,8876 10,5114 9,6085 8,4350 7,2512 6,2183 5,3849 4,7421 4,2707 3,9443 3,6923 3,3675 2,8143 2,0273 1,2097 0,6208 0,3858 0,4831 0,8471 1,4126 2,0778 2,6853 3,0704 3,1226 2,8040 2,1516 1,2992 0,4682 -0,1087 -0,2743 0,0217 0,7281 1,6966 2,7164 3,6103 4,3218 4,9183 5,5245 6,2177 6,9512 7,6018 8,0946 8,4445 8,7033 8,8906 8,9723 8,9429 8,9150 9,0787 9,6061 10,5954 12,0302 13,7876 15,7179 17,6826 19,5112 20,9721 21,8174 21,8986 21,2743 20,1735 18,8475 17,4852 16,2302 15,2142 14,5470 14,2518 14,2092 14,2100 14,0836 13,7642 13,2565 12,5932 11,8551 11,1986 10,8170 10,8318 11,2030 11,7441 12,2135 12,3896 12,1071 11,2893 9,9722 8,3057 6,5328 4,9310 3,7257 3,0426 2,9147 3,3016 4,1179 5,2868 6,7510 8,3856 9,9172 10,9830 11,2741 10,6503 9,2352 7,4217 5,6573 4,1768 2,9724 1,9643 1,1366 0,5310 0,1435 -0,1144 -0,3248 -0,4902 -0,5476 -0,3800 0,1552 1,1175 2,3854 3,6957 4,7910 5,5239 5,8444 5,7472 5,2637 4,4913 3,6003 2,7915 2,2313 2,0125 2,1348 2,4956 2,9319 3,2984
Fz    1,3193 1,1926 1,2098 1,3369 1,4613 1,4446 1,1892 0,6863 0,0169 -0,6983 -1,3514 -1,8650 -2,1836 -2,2692 -2,1153 -1,7628 -1,2931 -0,7980 -0,3490 0,0158 0,2837 0,4452 0,4816 0,3826 0,1865 -0,0037 -0,0751 0,0164 0,2258 0,4629 0,6455 0,7310 0,7261 0,6710 0,6090 0,5589 0,5105 0,4535 0,4068 0,4030 0,4472 0,5076 0,5321 0,4590 0,2278 -0,1813 -0,7082 -1,2246 -1,6004 -1,7674 -1,7242 -1,4920 -1,0833 -0,5117 0,1754 0,8798 1,4679 1,8089 1,8274 1,5485 1,0904 0,5912 0,1342 -0,2630 -0,5984 -0,8385 -0,9213 -0,8076 -0,5198 -0,1262 0,3051 0,7124 1,0147 1,1174 0,9583 0,5426 -0,0611 -0,7461 -1,3883 -1,8674 -2,1034 -2,0808 -1,8368 -1,4416 -0,9889 -0,5862 -0,3273 -0,2521 -0,3372 -0,5250 -0,7506 -0,9525 -1,0808 -1,0997 -1,0002 -0,8202 -0,6409 -0,5569 -0,6453 -0,9459 -1,4479 -2,0976 -2,8348 -3,6263 -4,4552 -5,2826 -6,0388 -6,6558 -7,1031 -7,3884 -7,5191 -7,4799 -7,2540 -6,8557 -6,3304 -5,7257 -5,0720 -4,3908 -3,7062 -3,0382 -2,4029 -1,8263 -1,3272 -0,8680 -0,3540 0,2926 1,0687 1,9068 2,7425 3,5587 4,3818 5,2471 6,1547 7,0551 7,8734 8,5464 9,0442 9,3817 9,6248 9,8687 10,1823 10,5624 10,9376 11,2138 11,3339 11,3061 11,1846 11,0344 10,8998 10,7873 10,6718 10,5238 10,3370 10,1431 10,0115 10,0206 10,2023 10,5148 10,8684 11,1752 11,3846 11,4973 11,5431 11,5402 11,4799 11,3530 11,1846 11,0356 10,9666 11,0048 11,1358 11,3110 11,4573 11,5069 11,4429 11,3091 11,1720 11,0776 11,0340 11,0195 11,0048 10,9658 10,8848 10,7546 10,5807 10,3716 10,1271 9,8381 9,4891 9,0574 8,5283 7,9211 7,2872 6,6835 6,1536 5,7232 5,4037 5,2030 5,1233 5,1500 5,2513 5,3907 5,5366 5,6662 5,7658 5,8259 5,8354 5,7979 5,7597 5,7979 5,9612 6,2337 6,5634 6,9152 7,2933 7,7283 8,2447 8,8215 9,3871 9,8622 10,2005 10,3858 10,4115 10,2770 9,9937 9,5998 9,1698 8,7938 8,5339 8,4039 8,3843 8,4446 8,5604 8,7233 8,9338 9,1845 9,4569 9,7321 10,0028 10,2671 10,5134 10,7222 10,8779 10,9699 10,9845 10,9073 10,7348 10,4835 10,1914 9,9134 9,7052 9,6039 9,6174 9,7207 9,8643 10,0002 10,1069 10,1937 10,2858 10,3991 10,5208 10,6158 10,6583 10,6559 10,6340 10,5967 10,5110 10,3383 10,0848 9,8152 9,6118 9,5221 9,5344 9,5841 9,5894 9,5030 9,3367 9,1307 8,9157 8,7231 8,6026 8,5930 8,6815 8,8132 8,9319 9,0097 9,0539 9,0943 9,1568 9,2468 9,3597 9,4906 9,6194 9,7025 9,7064 9,6468 9,5719 9,5120 9,4698 9,4542 9,4888 9,5824 9,7080 9,8115 9,8399 9,7729 9,6376 9,4912 9,3870 9,3585 9,4161 9,5454 9,7148 9,8952 10,0761 10,2635 10,4648 10,6810 10,9103 11,1401 11,3283 11,4080 11,3276 11,0941 10,7860 10,5191 10,3811 10,3842 10,4710 10,5567 10,5697 10,4768 10,2921 10,0630 9,8427 9,6552 9,4846 9,3060 9,1181 8,9337 8,7616 8,6119 8,5105 8,5026 8,6371 8,9331 9,3589 9,8492 10,3512 10,8479 11,3396 11,8147 12,2325 12,5293 12,6555 12,6067 12,4211 12,1568 11,8651 11,5754 11,3000 11,0342 10,7513 10,4270 10,0777 9,7550 9,5108 9,3780 9,3622 9,4374 9,5578 9,6635 9,6792 9,5429 9,2616 8,9217 8,6291 8,4452 8,3846 8,4417 8,5891 8,7789 8,9758 9,1706 9,3613 9,5415 9,7041 9,8522 10,0018 10,1642 10,3343 10,4997 10,6515 10,7810 10,8758 10,9269 10,9435 10,9526 10,9731 10,9938 10,9812 10,9045 10,7484 10,5099 10,2030 9,8820 9,6334 9,5160 9,5133 9,5543 9,5667 9,5057 9,3637 9,1703 8,9815 8,8526 8,8017 8,8004 8,8134 8,8429 8,9257 9,0909 9,3210 9,5518 9,7195 9,8064 9,8255 9,7704 9,6115 9,3389 8,9850 8,6083 8,2568 7,9382 7,6277 7,3106 7,0143 6,7966 6,7057 6,7522 6,9054 7,1034 7,2768 7,3805 7,4095 7,3844 7,3237 7,2310 7,1018 6,9400 6,7705 6,6281 6,5277 6,4538 6,3856 6,3216 6,2754 6,2652 6,3044 6,3896 6,4977 6,5897 6,6230 6,5799 6,4962 6,4538 6,5258 6,7065 6,9072 7,0248 7,0053 6,8570 6,6289 6,3722 6,1090 5,8364 5,5507 5,2615 4,9866 4,7344 4,4809 4,1794 3,8181 3,4509 3,1512 2,9496 2,8271 2,7492 2,6916 2,6401 2,5831 2,5139 2,4298 2,3190 2,1633 1,9653 1,7609 1,6019 1,5309 1,5723 1,7299 1,9793 2,2725 2,5697 2,8695 3,2048 3,6106 4,0903 4,6061 5,1024 5,5406 5,9152 6,2457 6,5489 6,8159 7,0339 7,2213 7,4255 7,7019 8,0899 8,5859 9,1444 9,7152 10,2682 10,7810 11,2169 11,5231 11,6564 11,6181 11,4511 11,2029 10,9074 10,5987 10,3222 10,1204 10,0014 9,9285 9,8499 9,7395 9,6063 9,4717 9,3512 9,2574 9,2041 9,2007 9,2429 9,3083 9,3621 9,3685 9,2914 9,0969 8,7731 8,3450 7,8660 7,3969 6,9895 6,6765 6,4712 6,3707 6,3643 6,4474 6,6304 6,9241 7,3005 7,6747 7,9391 8,0093 7,8507 7,5002 7,0634 6,6442 6,2668 5,8876 5,4726 5,0435 4,6578 4,3540 4,1260 3,9519 3,8250 3,7579 3,7837 3,9513 4,2847 4,7376 5,2069 5,5941 5,8463 5,9473 5,8951 5,7006 5,3959 5,0344 4,6752 4,3665 4,1368 3,9874 3,8869 3,7900 3,6732
F3    0,9741 0,6476 0,5066 0,5597 0,7199 0,8391 0,7791 0,4884 0,0165 -0,5433 -1,1138 -1,6415 -2,0684 -2,3205 -2,3391 -2,1253 -1,7435 -1,2821 -0,8109 -0,3658 0,0394 0,3931 0,6762 0,8671 0,9643 1,0065 1,0507 1,1204 1,1865 1,1927 1,0932 0,8786 0,5807 0,2582 -0,0310 -0,2538 -0,4074 -0,4919 -0,4834 -0,3518 -0,1052 0,1993 0,4817 0,6604 0,6690 0,4896 0,1802 -0,1494 -0,3946 -0,4961 -0,4398 -0,2352 0,0956 0,5115 0,9478 1,3228 1,5497 1,5513 1,2982 0,8596 0,3972 0,0743 -0,0386 0,0230 0,1809 0,3836 0,6237 0,9000 1,1788 1,4104 1,5724 1,6629 1,6509 1,4683 1,0607 0,4357 -0,3319 -1,1210 -1,7848 -2,1781 -2,2106 -1,8838 -1,2775 -0,5154 0,2541 0,8715 1,2011 1,1849 0,8637 0,3455 -0,2342 -0,7393 -1,0612 -1,1427 -0,9910 -0,6811 -0,3314 -0,0620 0,0365 -0,0785 -0,3928 -0,8558 -1,4294 -2,1168 -2,9292 -3,8263 -4,7086 -5,4687 -6,0491 -6,4499 -6,6853 -6,7469 -6,6155 -6,2943 -5,8182 -5,2335 -4,5791 -3,8903 -3,2054 -2,5519 -1,9394 -1,3710 -0,8350 -0,2779 0,3795 1,1719 2,0480 2,9078 3,6760 4,3420 4,9529 5,5767 6,2513 6,9545 7,6180 8,1667 8,5548 8,7902 8,9403 9,1004 9,3316 9,6254 9,9241 10,1665 10,3244 10,4141 10,4818 10,5671 10,6641 10,7165 10,6522 10,4257 10,0454 9,5807 9,1511 8,8827 8,8440 9,0146 9,3101 9,6270 9,8834 10,0480 10,1330 10,1532 10,1025 9,9768 9,8068 9,6609 9,6128 9,7065 9,9398 10,2569 10,5526 10,7144 10,6885 10,5101 10,2664 10,0386 9,8686 9,7603 9,7011 9,6758 9,6689 9,6612 9,6222 9,5112 9,2948 8,9680 8,5499 8,0590 7,5069 6,9184 6,3343 5,7888 5,2976 4,8649 4,4981 4,2154 4,0345 3,9553 3,9613 4,0329 4,1507 4,2903 4,4249 4,5269 4,5679 4,5429 4,5042 4,5423 4,7087 4,9748 5,2741 5,5720 5,8866 6,2641 6,7407 7,3003 7,8629 8,3319 8,6543 8,8310 8,8869 8,8395 8,6873 8,4272 8,0907 7,7458 7,4612 7,2792 7,2204 7,2939 7,4962 7,8051 8,1777 8,5563 8,8874 9,1452 9,3406 9,5036 9,6581 9,8138 9,9633 10,0754 10,1024 10,0013 9,7559 9,3865 8,9521 8,5384 8,2336 8,0996 8,1514 8,3496 8,6176 8,8824 9,1077 9,2973 9,4724 9,6404 9,7778 9,8445 9,8206 9,7260 9,5981 9,4502 9,2598 9,0012 8,6937 8,4099 8,2300 8,1858 8,2378 8,2877 8,2265 8,0023 7,6530 7,2692 6,9409 6,7468 6,7549 6,9840 7,3728 7,8083 8,1804 8,4191 8,5118 8,4984 8,4410 8,3884 8,3678 8,3865 8,4186 8,4037 8,2891 8,0794 7,8250 7,5716 7,3470 7,1870 7,1342 7,2047 7,3687 7,5648 7,7314 7,8361 7,8863 7,9125 7,9402 7,9804 8,0365 8,1060 8,1864 8,2894 8,4415 8,6637 8,9507 9,2738 9,5994 9,8932 10,1049 10,1632 10,0085 9,6451 9,1685 8,7338 8,4732 8,4241 8,5225 8,6518 8,7033 8,6201 8,4120 8,1387 7,8753 7,6745 7,5472 7,4845 7,4796 7,5169 7,5622 7,5843 7,5828 7,6000 7,7018 7,9346 8,2869 8,6968 9,1010 9,4702 9,8013 10,0978 10,3514 10,5358 10,6338 10,6644 10,6745 10,7071 10,7704 10,8272 10,8150 10,6725 10,3579 9,8808 9,3230 8,8040 8,4219 8,2263 8,2113 8,3172 8,4541 8,5297 8,4647 8,2197 7,8329 7,4154 7,0859 6,9084 6,8917 7,0158 7,2314 7,4681 7,6735 7,8341 7,9600 8,0676 8,1698 8,2787 8,4111 8,5747 8,7497 8,8951 8,9729 8,9646 8,8743 8,7272 8,5720 8,4715 8,4727 8,5729 8,7195 8,8418 8,8862 8,8270 8,6698 8,4631 8,2855 8,1888 8,1571 8,1331 8,0683 7,9440 7,7685 7,5699 7,3886 7,2625 7,2043 7,1964 7,2235 7,2979 7,4413 7,6498 7,8784 8,0597 8,1516 8,1661 8,1362 8,0617 7,9119 7,6749 7,3800 7,0798 6,8150 6,5893 6,3783 6,1644 5,9610 5,8050 5,7314 5,7551 5,8599 5,9983 6,1158 6,1884 6,2339 6,2871 6,3667 6,4635 6,5471 6,5831 6,5555 6,4717 6,3415 6,1623 5,9398 5,7086 5,5213 5,4230 5,4292 5,5168 5,6351 5,7240 5,7334 5,6562 5,5515 5,5218 5,6391 5,8746 6,1077 6,2110 6,1228 5,8585 5,4799 5,0518 4,6159 4,1936 3,7997 3,4464 3,1408 2,8753 2,6098 2,2876 1,8981 1,5104 1,2174 1,0598 1,0146 1,0349 1,0810 1,1237 1,1399 1,1204 1,0726 1,0029 0,9081 0,7952 0,6975 0,6618 0,7228 0,8922 1,1572 1,4768 1,7936 2,0692 2,3148 2,5838 2,9334 3,3801 3,8789 4,3472 4,7133 4,9483 5,0681 5,1108 5,1110 5,1091 5,1674 5,3531 5,7134 6,2629 6,9741 7,7866 8,6373 9,4713 10,2290 10,8441 11,2589 11,4459 11,4219 11,2308 10,9122 10,4957 10,0195 9,5412 9,1203 8,7849 8,5162 8,2751 8,0416 7,8203 7,6185 7,4359 7,2783 7,1653 7,1210 7,1576 7,2606 7,3923 7,5089 7,5673 7,5213 7,3366 7,0170 6,6077 6,1764 5,7887 5,4915 5,3046 5,2239 5,2342 5,3277 5,5142 5,8014 6,1489 6,4514 6,5849 6,4670 6,0849 5,5110 4,8916 4,3658 3,9752 3,6698 3,3879 3,1176 2,8878 2,7189 2,6004 2,5147 2,4600 2,4489 2,5142 2,7072 3,0556 3,5178 3,9980 4,4031 4,6776 4,7930 4,7319 4,4974 4,1266 3,6836 3,2369 2,8437 2,5430 2,3496 2,2516 2,2251 2,2573
F7    0,4870 0,2860 0,1845 0,1714 0,1981 0,2004 0,1309 -0,0118 -0,1921 -0,3734 -0,5370 -0,6650 -0,7161 -0,6342 -0,3944 -0,0422 0,3175 0,5726 0,6564 0,5685 0,3588 0,0906 -0,1877 -0,4473 -0,6554 -0,7557 -0,6924 -0,4596 -0,1198 0,2224 0,4675 0,5592 0,5058 0,3757 0,2602 0,2148 0,2282 0,2546 0,2731 0,3025 0,3660 0,4596 0,5453 0,5588 0,4322 0,1358 -0,2901 -0,7465 -1,1227 -1,3409 -1,3700 -1,2168 -0,9156 -0,5175 -0,0859 0,2985 0,5437 0,5745 0,3677 -0,0208 -0,4683 -0,8421 -1,0541 -1,0722 -0,9011 -0,5681 -0,1270 0,3351 0,7157 0,9445 1,0237 1,0080 0,9378 0,8044 0,5740 0,2234 -0,2458 -0,7979 -1,3547 -1,8165 -2,1130 -2,2316 -2,1950 -2,0281 -1,7495 -1,3867 -0,9840 -0,5902 -0,2505 -0,0080 0,1103 0,1153 0,0520 -0,0250 -0,0779 -0,1084 -0,1544 -0,2624 -0,4614 -0,7504 -1,0969 -1,4529 -1,7912 -2,1410 -2,5774 -3,1628 -3,8969 -4,7167 -5,5324 -6,2575 -6,8163 -7,1454 -7,2136 -7,0497 -6,7347 -6,3517 -5,9483 -5,5430 -5,1417 -4,7345 -4,2966 -3,8054 -3,2467 -2,6054 -1,8657 -1,0399 -0,1921 0,5895 1,2558 1,8301 2,3891 3,0095 3,7135 4,4509 5,1352 5,6933 6,0872 6,3155 6,4182 6,4666 6,5286 6,6459 6,8363 7,0873 7,3514 7,5765 7,7520 7,9115 8,0832 8,2460 8,3341 8,2783 8,0501 7,6841 7,2750 6,9422 6,7723 6,7825 6,9285 7,1344 7,3236 7,4489 7,5006 7,4783 7,3643 7,1381 6,8136 6,4581 6,1704 6,0313 6,0596 6,1991 6,3466 6,4074 6,3422 6,1703 5,9461 5,7376 5,6110 5,6128 5,7520 5,9931 6,2647 6,4791 6,5605 6,4794 6,2646 5,9685 5,6161 5,1878 4,6493 3,9975 3,2671 2,5022 1,7378 1,0079 0,3612 -0,1362 -0,4175 -0,4444 -0,2302 0,1494 0,5710 0,9084 1,0865 1,0984 0,9810 0,7959 0,6317 0,5819 0,6894 0,9181 1,1935 1,4680 1,7472 2,0819 2,5379 3,1360 3,8028 4,4049 4,8330 5,0424 5,0391 4,8523 4,5163 4,0782 3,6209 3,2451 3,0111 2,9094 2,8919 2,9228 2,9981 3,1341 3,3430 3,6160 3,9251 4,2377 4,5264 4,7682 4,9479 5,0687 5,1488 5,2000 5,2156 5,1795 5,0822 4,9316 4,7563 4,5985 4,4974 4,4751 4,5319 4,6488 4,7965 4,9484 5,0933 5,2416 5,4106 5,5826 5,6886 5,6593 5,4939 5,2698 5,0881 5,0054 5,0042 5,0194 4,9961 4,9245 4,8287 4,7329 4,6409 4,5359 4,3997 4,2377 4,0779 3,9358 3,7980 3,6564 3,5340 3,4571 3,4209 3,4068 3,4146 3,4578 3,5436 3,6726 3,8470 4,0671 4,3209 4,5746 4,7725 4,8590 4,8189 4,6945 4,5462 4,4026 4,2677 4,1585 4,1088 4,1380 4,2295 4,3364 4,4070 4,4116 4,3512 4,2412 4,0967 3,9372 3,7869 3,6629 3,5808 3,5744 3,6931 3,9674 4,3746 4,8411 5,2772 5,6106 5,7993 5,8313 5,7196 5,4964 5,2189 4,9712 4,8300 4,8220 4,9215 5,0809 5,2533 5,4031 5,5141 5,5857 5,6202 5,6096 5,5363 5,3961 5,2107 5,0091 4,8048 4,5963 4,3870 4,2028 4,0886 4,0794 4,1770 4,3565 4,5996 4,9079 5,2859 5,7197 6,1619 6,5357 6,7726 6,8504 6,8032 6,7050 6,6278 6,6029 6,6214 6,6478 6,6303 6,5308 6,3572 6,1495 5,9472 5,7800 5,6657 5,6047 5,5790 5,5492 5,4556 5,2458 4,9185 4,5362 4,1915 3,9599 3,8832 3,9668 4,1623 4,3794 4,5423 4,6204 4,6171 4,5556 4,4732 4,4152 4,4224 4,5112 4,6634 4,8376 4,9873 5,0768 5,0913 5,0452 4,9798 4,9431 4,9574 5,0010 5,0273 5,0029 4,9277 4,8209 4,7037 4,6084 4,5824 4,6478 4,7660 4,8654 4,8946 4,8392 4,7108 4,5398 4,3747 4,2698 4,2489 4,2791 4,3010 4,2812 4,2302 4,1762 4,1278 4,0678 3,9863 3,9070 3,8666 3,8758 3,9179 3,9711 4,0182 4,0459 4,0400 3,9803 3,8532 3,6779 3,5114 3,4167 3,4204 3,4961 3,5803 3,6025 3,5137 3,3077 3,0273 2,7462 2,5348 2,4347 2,4505 2,5567 2,7145 2,8861 3,0341 3,1239 3,1389 3,0905 3,0089 2,9294 2,8765 2,8479 2,8171 2,7466 2,6051 2,3945 2,1744 2,0499 2,1106 2,3628 2,7240 3,0760 3,3131 3,3635 3,2004 2,8392 2,3220 1,7075 1,0636 0,4535 -0,0779 -0,5168 -0,8925 -1,2605 -1,6506 -2,0336 -2,3539 -2,5810 -2,7160 -2,7631 -2,7168 -2,5793 -2,3820 -2,1788 -2,0191 -1,9352 -1,9407 -2,0257 -2,1538 -2,2759 -2,3454 -2,3248 -2,1908 -1,9459 -1,6200 -1,2470 -0,8439 -0,4133 0,0397 0,4895 0,8845 1,1739 1,3484 1,4537 1,5707 1,7721 2,0799 2,4719 2,9219 3,4132 3,9309 4,4624 4,9972 5,5245 6,0364 6,5276 6,9858 7,3791 7,6534 7,7567 7,6801 7,4610 7,1471 6,7716 6,3610 5,9540 5,6040 5,3507 5,1939 5,0967 5,0112 4,8951 4,7151 4,4539 4,1241 3,7739 3,4684 3,2556 3,1420 3,0980 3,0815 3,0509 2,9632 2,7761 2,4636 2,0374 1,5547 1,0957 0,7258 0,4752 0,3415 0,3051 0,3467 0,4613 0,6498 0,8881 1,1119 1,2451 1,2389 1,0924 0,8609 0,6414 0,5109 0,4729 0,4722 0,4538 0,3984 0,3121 0,1915 0,0109 -0,2466 -0,5604 -0,8774 -1,1271 -1,2374 -1,1662 -0,9305 -0,5917 -0,2136 0,1527 0,4479 0,5950 0,5313 0,2516 -0,1785 -0,6488 -1,0492 -1,3069 -1,4003 -1,3475 -1,1841 -0,9485
