Fp1   -1,0876 -0,9873 -0,9269 -0,8883 -0,8447 -0,7774 -0,6851 -0,5848 -0,5073 -0,4871 -0,5458 -0,6796 -0,8634 -1,0659 -1,2609 -1,4276 -1,5466 -1,6048 -1,5987 -1,5309 -1,4094 -1,2580 -1,1173 -1,0211 -0,9720 -0,9431 -0,9019 -0,8287 -0,7167 -0,5636 -0,3674 -0,1292 0,1430 0,4345 0,7250 0,9918 1,2180 1,3983 1,5376 1,6478 1,7469 1,8551 1,9845 2,1295 2,2687 2,3780 2,4421 2,4572 2,4253 2,3461 2,2183 2,0496 1,8588 1,6704 1,5060 1,3740 1,2587 1,1280 0,9608 0,7648 0,5694 0,4048 0,2918 0,2435 0,2707 0,3794 0,5621 0,7946 1,0462 1,2894 1,5013 1,6671 1,7850 1,8670 1,9354 2,0153 2,1245 2,2675 2,4389 2,6282 2,8177 2,9819 3,0966 3,1535 3,1684 3,1766 3,2146 3,3032 3,4375 3,5893 3,7213 3,8036 3,8243 3,7890 3,7154 3,6269 3,5438 3,4736 3,4084 3,3340 3,2394 3,1202 2,9754 2,8025 2,5948 2,3479 2,0649 1,7501 1,4018 1,0186 0,6073 0,1815 -0,2453 -0,6622 -1,0580 -1,4175 -1,7200 -1,9424 -2,0644 -2,0798 -2,0072 -1,8834 -1,7407 -1,5915 -1,4312 -1,2471 -1,0213 -0,7376 -0,3963 -0,0215 0,3472 0,6731 0,9384 1,1515 1,3398 1,5379 1,7759 2,0707 2,4190 2,7962 3,1648 3,4908 3,7517 3,9328 4,0258 4,0382 4,0009 3,9636 3,9784 4,0754 4,2457 4,4459 4,6224 4,7375 4,7789 4,7557 4,6905 4,6070 4,5239 4,4547 4,4126 4,4134 4,4771 4,6201 4,8456 5,1470 5,5161 5,9415 6,4000 6,8530 7,2539 7,5640 7,7692 7,8837 7,9374 7,9571 7,9547 7,9232 7,8416 7,6907 7,4667 7,1833 6,8603 6,5138 6,1573 5,8046 5,4685 5,1565 4,8697 4,6065 4,3653 4,1452 3,9490 3,7828 3,6473 3,5342 3,4335 3,3404 3,2582 3,1946 3,1550 3,1353 3,1246 3,1146 3,0992 3,0712 3,0239 2,9575 2,8769 2,7806 2,6582 2,5013 2,3131 2,1012 1,8653 1,5968 1,2871 0,9344 0,5444 0,1253 -0,3147 -0,7643 -1,2046 -1,6114 -1,9635 -2,2521 -2,4829 -2,6713 -2,8357 -2,9911 -3,1446 -3,2928 -3,4234 -3,5188 -3,5611 -3,5353 -3,4356 -3,2748 -3,0846 -2,8993 -2,7395 -2,6066 -2,4905 -2,3770 -2,2485 -2,0829 -1,8604 -1,5712 -1,2205 -0,8293 -0,4277 -0,0452 0,2993 0,6037 0,8823 1,1555 1,4339 1,7096 1,9634 2,1746 2,3264 2,4114 2,4361 2,4188 2,3771 2,3151 2,2259 2,1018 1,9381 1,7343 1,5012 1,2653 1,0653 0,9369 0,8915 0,9114 0,9679 1,0426 1,1266 1,2084 1,2684 1,2871 1,2573 1,1911 1,1162 1,0609 1,0384 1,0414 1,0467 1,0287 0,9755 0,9002 0,8367 0,8148 0,8341 0,8695 0,8988 0,9176 0,9342 0,9586 0,9951 1,0423 1,0972 1,1563 1,2152 1,2674 1,3072 1,3373 1,3703 1,4194 1,4888 1,5720 1,6585 1,7450 1,8371 1,9410 2,0586 2,1907 2,3378 2,4920 2,6326 2,7334 2,7752 2,7558 2,6930 2,6202 2,5737 2,5780 2,6398 2,7486 2,8821 3,0176 3,1448 3,2685 3,3997 3,5446 3,7023 3,8691 4,0393 4,2036 4,3498 4,4620 4,5255 4,5409 4,5311 4,5258 4,5377 4,5577 4,5693 4,5603 4,5212 4,4448 4,3310 4,1882 4,0302 3,8741 3,7398 3,6450 3,5988 3,5949 3,6075 3,6008 3,5467 3,4378 3,2920 3,1479 3,0423 2,9867 2,9660 2,9566 2,9426 2,9229 2,9072 2,9084 2,9361 2,9890 3,0472 3,0791 3,0597 2,9828 2,8571 2,6940 2,5022 2,2945 2,0966 1,9449 1,8726 1,8944 2,0045 2,1830 2,4032 2,6335 2,8430 3,0123 3,1418 3,2486 3,3553 3,4806 3,6358 3,8221 4,0287 4,2374 4,4272 4,5773 4,6712 4,7053 4,6956 4,6736 4,6673 4,6808 4,6895 4,6597 4,5734 4,4322 4,2514 4,0604 3,8972 3,7859 3,7208 3,6746 3,6187 3,5357 3,4159 3,2568 3,0724 2,8951 2,7596 2,6838 2,6655 2,6910 2,7442 2,8119 2,8873 2,9703 3,0640 3,1711 3,2883 3,4040 3,5041 3,5809 3,6351 3,6718 3,6951 3,7033 3,6905 3,6551 3,6050 3,5492 3,4929 3,4425 3,4067 3,3901 3,3952 3,4280 3,4926 3,5790 3,6581 3,6928 3,6570 3,5419 3,3498 3,0914 2,7862 2,4594 2,1363 1,8319 1,5459 1,2686 0,9983 0,7519 0,5554 0,4247 0,3597 0,3531 0,3991 0,4964 0,6514 0,8736 1,1634 1,5026 1,8576 2,1931 2,4827 2,7102 2,8644 2,9399 2,9385 2,8625 2,7106 2,4812 2,1757 1,7991 1,3672 0,9124 0,4733 0,0750 -0,2760 -0,5772 -0,8186 -0,9868 -1,0786 -1,1071 -1,0911 -1,0432 -0,9692 -0,8704 -0,7465 -0,5974 -0,4166 -0,1874 0,1032 0,4473 0,8186 1,1901 1,5439 1,8690 2,1589 2,4101 2,6214 2,7964 2,9410 3,0531 3,1156 3,1032 2,9958 2,7864 2,4894 2,1438 1,8016 1,5041 1,2702 1,1007 0,9853 0,9026 0,8260 0,7380 0,6375 0,5326 0,4318 0,3427 0,2653 0,1860 0,0834 -0,0540 -0,2206 -0,4015 -0,5821 -0,7524 -0,9111 -1,0661 -1,2311 -1,4163 -1,6222 -1,8366 -2,0382 -2,2054 -2,3246 -2,3882 -2,3885 -2,3250 -2,2148 -2,0853 -1,9540 -1,8202 -1,6761 -1,5170 -1,3458 -1,1767 -1,0372 -0,9601 -0,9680 -1,0601 -1,2141 -1,4021 -1,5994 -1,7853 -1,9454 -2,0763 -2,1846 -2,2791 -2,3644 -2,4447 -2,5313 -2,6424 -2,7908 -2,9710 -3,1571 -3,3144 -3,4167 -3,4597 -3,4623 -3,4505 -3,4382 -3,4251 -3,4043 -3,3669 -3,3042 -3,2143 -3,1072 -3,0020
Fz    -0,5412 -0,4938 -0,4929 -0,5137 -0,5260 -0,5144 -0,4850 -0,4550 -0,4452 -0,4765 -0,5655 -0,7145 -0,9069 -1,1156 -1,3172 -1,5010 -1,6667 -1,8193 -1,9620 -2,0845 -2,1578 -2,1490 -2,0434 -1,8489 -1,5872 -1,2867 -0,9797 -0,7031 -0,4892 -0,3491 -0,2649 -0,1991 -0,1101 0,0341 0,2418 0,4885 0,7302 0,9295 1,0746 1,1871 1,3187 1,5294 1,8570 2,2942 2,7863 3,2516 3,6122 3,8201 3,8621 3,7478 3,5001 3,1537 2,7510 2,3351 1,9445 1,6053 1,3193 1,0671 0,8339 0,6287 0,4751 0,3893 0,3710 0,4119 0,5063 0,6496 0,8273 1,0151 1,1930 1,3519 1,4911 1,6167 1,7421 1,8841 2,0592 2,2770 2,5343 2,8195 3,1202 3,4205 3,6920 3,8980 4,0126 4,0415 4,0257 4,0219 4,0739 4,1966 4,3722 4,5569 4,7003 4,7664 4,7443 4,6520 4,5303 4,4288 4,3853 4,4059 4,4615 4,5088 4,5154 4,4685 4,3681 4,2131 3,9903 3,6807 3,2742 2,7734 2,1913 1,5512 0,8857 0,2291 -0,3891 -0,9473 -1,4305 -1,8245 -2,1115 -2,2752 -2,3127 -2,2402 -2,0898 -1,8997 -1,7011 -1,5158 -1,3586 -1,2337 -1,1219 -0,9767 -0,7404 -0,3760 0,1126 0,6864 1,2923 1,8810 2,4138 2,8684 3,2452 3,5697 3,8772 4,1887 4,4979 4,7821 5,0196 5,1982 5,3174 5,3921 5,4507 5,5257 5,6406 5,8001 5,9896 6,1861 6,3698 6,5288 6,6594 6,7626 6,8360 6,8690 6,8517 6,7911 6,7161 6,6741 6,7216 6,9029 7,2323 7,6971 8,2700 8,9120 9,5686 10,1688 10,6395 10,9345 11,0620 11,0812 11,0647 11,0557 11,0537 11,0281 10,9386 10,7566 10,4794 10,1263 9,7203 9,2757 8,8030 8,3202 7,8549 7,4372 7,0899 6,8170 6,5965 6,3874 6,1519 5,8762 5,5719 5,2640 4,9834 4,7601 4,6125 4,5429 4,5384 4,5760 4,6368 4,7187 4,8279 4,9562 5,0778 5,1644 5,1943 5,1465 4,9995 4,7449 4,3998 4,0001 3,5811 3,1645 2,7562 2,3488 1,9237 1,4591 0,9466 0,4005 -0,1523 -0,6884 -1,1948 -1,6663 -2,0977 -2,4802 -2,8061 -3,0745 -3,2889 -3,4487 -3,5462 -3,5712 -3,5186 -3,3873 -3,1779 -2,8989 -2,5752 -2,2436 -1,9361 -1,6642 -1,4215 -1,1946 -0,9654 -0,7042 -0,3758 0,0411 0,5397 1,0865 1,6331 2,1326 2,5552 2,8970 3,1771 3,4260 3,6720 3,9316 4,2123 4,5103 4,8031 5,0529 5,2211 5,2845 5,2406 5,1008 4,8835 4,6116 4,3067 3,9851 3,6646 3,3729 3,1422 2,9929 2,9191 2,8952 2,8996 2,9297 2,9867 3,0547 3,1009 3,0943 3,0202 2,8877 2,7332 2,6104 2,5642 2,6023 2,6864 2,7544 2,7617 2,7094 2,6357 2,5765 2,5327 2,4788 2,3988 2,2947 2,1717 2,0299 1,8719 1,7148 1,5933 1,5491 1,6085 1,7633 1,9772 2,2104 2,4344 2,6305 2,7857 2,8900 2,9389 2,9386 2,9087 2,8815 2,8951 2,9833 3,1619 3,4205 3,7244 4,0230 4,2590 4,3864 4,3933 4,3140 4,2137 4,1548 4,1691 4,2523 4,3741 4,4996 4,6118 4,7205 4,8536 5,0376 5,2851 5,5925 5,9404 6,2935 6,6047 6,8247 6,9156 6,8674 6,7045 6,4755 6,2321 6,0124 5,8346 5,7010 5,5988 5,5027 5,3820 5,2145 4,9978 4,7542 4,5247 4,3542 4,2729 4,2776 4,3252 4,3542 4,3163 4,1971 4,0206 3,8428 3,7243 3,6953 3,7418 3,8184 3,8756 3,8809 3,8233 3,7104 3,5670 3,4252 3,3065 3,2158 3,1478 3,0907 3,0216 2,9063 2,7146 2,4448 2,1399 1,8805 1,7515 1,8031 2,0304 2,3792 2,7686 3,1159 3,3634 3,4991 3,5576 3,5946 3,6566 3,7678 3,9302 4,1264 4,3279 4,5092 4,6597 4,7848 4,8928 4,9842 5,0557 5,1069 5,1357 5,1305 5,0709 4,9410 4,7424 4,4950 4,2303 3,9914 3,8220 3,7396 3,7190 3,7067 3,6531 3,5321 3,3377 3,0745 2,7585 2,4165 2,0743 1,7495 1,4602 1,2342 1,1026 1,0864 1,1889 1,3922 1,6588 1,9433 2,2089 2,4342 2,6097 2,7365 2,8224 2,8774 2,9085 2,9149 2,8877 2,8215 2,7251 2,6110 2,4833 2,3466 2,2216 2,1388 2,1220 2,1751 2,2771 2,3866 2,4541 2,4401 2,3350 2,1572 1,9326 1,6784 1,4018 1,1078 0,8045 0,5000 0,1976 -0,1025 -0,3938 -0,6563 -0,8649 -1,0067 -1,0843 -1,1026 -1,0579 -0,9383 -0,7279 -0,4155 -0,0092 0,4577 0,9372 1,3841 1,7636 2,0456 2,2030 2,2198 2,0950 1,8342 1,4447 0,9447 0,3741 -0,2084 -0,7402 -1,1712 -1,4801 -1,6783 -1,8008 -1,8855 -1,9541 -2,0087 -2,0461 -2,0702 -2,0894 -2,1056 -2,1074 -2,0751 -1,9915 -1,8433 -1,6142 -1,2882 -0,8694 -0,3937 0,0899 0,5490 0,9754 1,3671 1,7118 1,9876 2,1769 2,2797 2,3127 2,2952 2,2331 2,1159 1,9277 1,6616 1,3302 0,9646 0,6030 0,2743 -0,0072 -0,2343 -0,4000 -0,5039 -0,5582 -0,5798 -0,5806 -0,5686 -0,5517 -0,5368 -0,5364 -0,5760 -0,6811 -0,8565 -1,0857 -1,3427 -1,5961 -1,8155 -1,9896 -2,1385 -2,3031 -2,5194 -2,8000 -3,1278 -3,4594 -3,7406 -3,9286 -4,0022 -3,9617 -3,8313 -3,6606 -3,5050 -3,3964 -3,3330 -3,2939 -3,2531 -3,1880 -3,0921 -2,9886 -2,9255 -2,9471 -3,0622 -3,2422 -3,4441 -3,6273 -3,7586 -3,8233 -3,8374 -3,8398 -3,8659 -3,9270 -4,0170 -4,1333 -4,2830 -4,4731 -4,6972 -4,9298 -5,1320 -5,2681 -5,3255 -5,3257 -5,3129 -5,3266 -5,3846 -5,4800 -5,5831 -5,6557 -5,6702 -5,6244 -5,5401
F3    -0,5886 -0,5683 -0,5779 -0,5783 -0,5349 -0,4400 -0,3202 -0,2199 -0,1789 -0,2195 -0,3443 -0,5403 -0,7814 -1,0363 -1,2803 -1,5040 -1,7098 -1,9023 -2,0795 -2,2244 -2,3058 -2,2944 -2,1796 -1,9736 -1,7042 -1,4045 -1,1054 -0,8326 -0,6012 -0,4084 -0,2357 -0,0571 0,1526 0,4052 0,6839 0,9454 1,1454 1,2656 1,3203 1,3480 1,4008 1,5310 1,7706 2,1118 2,5057 2,8840 3,1842 3,3644 3,4053 3,3073 3,0897 2,7922 2,4681 2,1720 1,9468 1,8114 1,7504 1,7244 1,7004 1,6730 1,6542 1,6483 1,6464 1,6429 1,6507 1,6914 1,7705 1,8704 1,9664 2,0388 2,0740 2,0691 2,0415 2,0345 2,1056 2,2996 2,6273 3,0657 3,5709 4,0860 4,5431 4,8759 5,0458 5,0622 4,9799 4,8704 4,7874 4,7522 4,7561 4,7704 4,7636 4,7157 4,6255 4,5124 4,4139 4,3749 4,4250 4,5527 4,7063 4,8223 4,8555 4,7909 4,6398 4,4208 4,1391 3,7862 3,3542 2,8452 2,2723 1,6553 1,0152 0,3741 -0,2375 -0,7795 -1,2115 -1,5056 -1,6585 -1,6954 -1,6615 -1,6020 -1,5460 -1,5000 -1,4503 -1,3765 -1,2670 -1,1209 -0,9352 -0,6923 -0,3667 0,0587 0,5822 1,1824 1,8206 2,4498 3,0255 3,5167 3,9155 4,2385 4,5123 4,7543 4,9646 5,1354 5,2634 5,3551 5,4284 5,5142 5,6483 5,8528 6,1211 6,4193 6,7006 6,9232 7,0642 7,1231 7,1169 7,0652 6,9770 6,8456 6,6611 6,4271 6,1737 5,9645 5,8870 6,0195 6,3988 7,0145 7,8159 8,7201 9,6211 10,4083 10,9920 11,3309 11,4420 11,3880 11,2473 11,0815 10,9140 10,7293 10,4899 10,1653 9,7557 9,2956 8,8316 8,3958 8,0038 7,6719 7,4224 7,2658 7,1834 7,1255 7,0268 6,8300 6,5108 6,0902 5,6214 5,1676 4,7898 4,5308 4,3965 4,3572 4,3691 4,3936 4,4117 4,4294 4,4658 4,5296 4,6098 4,6860 4,7352 4,7281 4,6347 4,4418 4,1598 3,8139 3,4279 3,0083 2,5458 2,0322 1,4680 0,8582 0,2183 -0,4166 -1,0002 -1,4930 -1,8773 -2,1606 -2,3622 -2,4947 -2,5652 -2,5873 -2,5811 -2,5610 -2,5341 -2,5079 -2,4872 -2,4604 -2,4002 -2,2835 -2,1096 -1,8971 -1,6715 -1,4561 -1,2642 -1,0890 -0,8971 -0,6352 -0,2571 0,2476 0,8497 1,4981 2,1367 2,7102 3,1742 3,5132 3,7448 3,9053 4,0280 4,1351 4,2460 4,3767 4,5274 4,6771 4,7951 4,8591 4,8634 4,8156 4,7325 4,6343 4,5332 4,4278 4,3095 4,1716 4,0167 3,8609 3,7266 3,6308 3,5821 3,5777 3,5909 3,5720 3,4791 3,3084 3,0911 2,8725 2,7020 2,6297 2,6903 2,8771 3,1317 3,3681 3,5154 3,5481 3,4864 3,3703 3,2333 3,0978 2,9846 2,9096 2,8724 2,8560 2,8411 2,8220 2,8135 2,8427 2,9290 3,0692 3,2435 3,4298 3,6080 3,7576 3,8593 3,8984 3,8694 3,7815 3,6630 3,5596 3,5235 3,5907 3,7630 4,0096 4,2819 4,5264 4,6977 4,7698 4,7441 4,6510 4,5409 4,4643 4,4513 4,4990 4,5758 4,6411 4,6752 4,6967 4,7522 4,8854 5,1161 5,4369 5,8189 6,2176 6,5799 6,8497 6,9787 6,9447 6,7707 6,5208 6,2682 6,0642 5,9275 5,8512 5,8119 5,7801 5,7319 5,6568 5,5622 5,4739 5,4294 5,4596 5,5670 5,7157 5,8414 5,8798 5,7954 5,5972 5,3365 5,0886 4,9190 4,8502 4,8585 4,9001 4,9405 4,9682 4,9923 5,0314 5,0986 5,1875 5,2675 5,2967 5,2430 5,0938 4,8508 4,5244 4,1369 3,7289 3,3621 3,1100 3,0372 3,1723 3,4904 3,9197 4,3717 4,7748 5,0960 5,3462 5,5632 5,7823 6,0120 6,2317 6,4033 6,4869 6,4601 6,3309 6,1346 5,9232 5,7546 5,6783 5,7151 5,8468 6,0230 6,1766 6,2414 6,1740 5,9775 5,7057 5,4445 5,2811 5,2713 5,4119 5,6345 5,8304 5,8986 5,7854 5,4892 5,0439 4,5026 3,9274 3,3763 2,8947 2,5179 2,2759 2,1863 2,2457 2,4322 2,7133 3,0511 3,4075 3,7507 4,0577 4,3142 4,5120 4,6458 4,7110 4,7056 4,6336 4,5052 4,3374 4,1513 3,9660 3,7958 3,6551 3,5585 3,5145 3,5245 3,5852 3,6847 3,8010 3,9052 3,9666 3,9573 3,8603 3,6792 3,4356 3,1545 2,8537 2,5485 2,2542 1,9808 1,7293 1,4993 1,2974 1,1329 1,0104 0,9340 0,9142 0,9670 1,1059 1,3312 1,6219 1,9382 2,2381 2,4960 2,7038 2,8573 2,9504 2,9802 2,9537 2,8860 2,7846 2,6342 2,4038 2,0748 1,6623 1,2143 0,7882 0,4242 0,1372 -0,0753 -0,2244 -0,3262 -0,4030 -0,4840 -0,5931 -0,7315 -0,8737 -0,9785 -1,0054 -0,9306 -0,7477 -0,4585 -0,0723 0,3817 0,8519 1,2874 1,6696 2,0147 2,3443 2,6561 2,9232 3,1155 3,2209 3,2499 3,2194 3,1342 2,9853 2,7654 2,4831 2,1635 1,8426 1,5607 1,3469 1,2045 1,1159 1,0613 1,0323 1,0300 1,0545 1,0979 1,1435 1,1726 1,1744 1,1432 1,0673 0,9293 0,7201 0,4482 0,1418 -0,1535 -0,3926 -0,5614 -0,6912 -0,8373 -1,0410 -1,3108 -1,6260 -1,9471 -2,2238 -2,4109 -2,4880 -2,4686 -2,3941 -2,3219 -2,3009 -2,3461 -2,4341 -2,5231 -2,5740 -2,5638 -2,4949 -2,3967 -2,3197 -2,3165 -2,4144 -2,6003 -2,8274 -3,0335 -3,1624 -3,1869 -3,1217 -3,0149 -2,9188 -2,8632 -2,8559 -2,8993 -2,9957 -3,1402 -3,3167 -3,4991 -3,6611 -3,7864 -3,8733 -3,9386 -4,0101 -4,1081 -4,2340 -4,3740 -4,5035 -4,5922 -4,6158 -4,5669 -4,4585
F7    -0,9005 -0,8349 -0,7756 -0,7142 -0,6444 -0,5698 -0,5057 -0,4689 -0,4699 -0,5119 -0,5897 -0,6916 -0,8026 -0,9077 -0,9962 -1,0664 -1,1266 -1,1869 -1,2479 -1,2964 -1,3094 -1,2674 -1,1650 -1,0105 -0,8185 -0,6079 -0,4025 -0,2292 -0,1071 -0,0382 -0,0081 0,0051 0,0260 0,0780 0,1712 0,2950 0,4266 0,5483 0,6594 0,7748 0,9188 1,1179 1,3882 1,7193 2,0680 2,3760 2,5976 2,7149 2,7312 2,6551 2,4954 2,2686 2,0051 1,7440 1,5216 1,3578 1,2468 1,1648 1,0901 1,0136 0,9358 0,8600 0,7898 0,7309 0,6940 0,6907 0,7228 0,7813 0,8562 0,9413 1,0322 1,1298 1,2409 1,3746 1,5383 1,7363 1,9656 2,2176 2,4801 2,7351 2,9565 3,1158 3,1952 3,1991 3,1540 3,0968 3,0579 3,0514 3,0730 3,1033 3,1185 3,1020 3,0532 2,9883 2,9339 2,9167 2,9512 3,0300 3,1263 3,2061 3,2425 3,2240 3,1556 3,0495 2,9092 2,7250 2,4813 2,1664 1,7824 1,3471 0,8864 0,4245 -0,0172 -0,4178 -0,7557 -1,0121 -1,1751 -1,2466 -1,2447 -1,1974 -1,1301 -1,0565 -0,9764 -0,8845 -0,7805 -0,6685 -0,5456 -0,3939 -0,1871 0,0943 0,4523 0,8730 1,3334 1,8053 2,2594 2,6710 3,0274 3,3297 3,5845 3,7939 3,9550 4,0669 4,1371 4,1778 4,2002 4,2190 4,2543 4,3204 4,4147 4,5213 4,6222 4,7076 4,7799 4,8484 4,9185 4,9847 5,0307 5,0351 4,9834 4,8815 4,7589 4,6623 4,6417 4,7310 4,9366 5,2429 5,6244 6,0489 6,4789 6,8746 7,1993 7,4254 7,5462 7,5829 7,5741 7,5505 7,5172 7,4519 7,3225 7,1123 6,8314 6,5066 6,1609 5,8026 5,4347 5,0703 4,7321 4,4388 4,1949 3,9904 3,8063 3,6222 3,4241 3,2119 2,9991 2,8067 2,6554 2,5554 2,4982 2,4623 2,4282 2,3896 2,3554 2,3410 2,3525 2,3770 2,3890 2,3647 2,2908 2,1638 1,9855 1,7607 1,4996 1,2180 0,9317 0,6477 0,3629 0,0692 -0,2430 -0,5804 -0,9363 -1,2889 -1,6144 -1,8988 -2,1398 -2,3423 -2,5115 -2,6493 -2,7606 -2,8575 -2,9492 -3,0295 -3,0832 -3,1036 -3,0956 -3,0614 -2,9900 -2,8687 -2,7022 -2,5158 -2,3388 -2,1862 -2,0534 -1,9210 -1,7635 -1,5591 -1,2975 -0,9828 -0,6303 -0,2621 0,0941 0,4069 0,6500 0,8131 0,9082 0,9667 1,0261 1,1158 1,2503 1,4313 1,6465 1,8695 2,0683 2,2190 2,3139 2,3628 2,3859 2,3989 2,3989 2,3694 2,2992 2,1933 2,0693 1,9486 1,8472 1,7692 1,7114 1,6720 1,6505 1,6416 1,6337 1,6136 1,5719 1,5107 1,4486 1,4165 1,4402 1,5200 1,6266 1,7197 1,7766 1,8042 1,8265 1,8601 1,9013 1,9341 1,9476 1,9433 1,9288 1,9095 1,8888 1,8750 1,8809 1,9168 1,9873 2,0914 2,2204 2,3570 2,4838 2,5904 2,6720 2,7233 2,7420 2,7360 2,7232 2,7255 2,7630 2,8483 2,9785 3,1340 3,2855 3,4047 3,4718 3,4797 3,4349 3,3580 3,2800 3,2308 3,2249 3,2534 3,2889 3,3044 3,2930 3,2722 3,2690 3,3044 3,3894 3,5268 3,7092 3,9166 4,1168 4,2727 4,3550 4,3545 4,2856 4,1775 4,0606 3,9562 3,8743 3,8175 3,7826 3,7600 3,7350 3,6954 3,6405 3,5818 3,5374 3,5240 3,5475 3,5963 3,6431 3,6592 3,6303 3,5638 3,4864 3,4329 3,4291 3,4792 3,5666 3,6603 3,7263 3,7441 3,7143 3,6526 3,5804 3,5161 3,4710 3,4470 3,4370 3,4288 3,4064 3,3527 3,2593 3,1353 3,0089 2,9224 2,9186 3,0188 3,2100 3,4542 3,7072 3,9324 4,1086 4,2353 4,3327 4,4291 4,5445 4,6807 4,8224 4,9461 5,0343 5,0840 5,1023 5,1018 5,0998 5,1130 5,1486 5,2008 5,2536 5,2865 5,2803 5,2222 5,1137 4,9715 4,8226 4,6988 4,6279 4,6189 4,6543 4,6957 4,7024 4,6489 4,5286 4,3470 4,1181 3,8617 3,5981 3,3455 3,1227 2,9514 2,8506 2,8264 2,8711 2,9718 3,1151 3,2882 3,4779 3,6675 3,8400 3,9850 4,1023 4,1976 4,2773 4,3448 4,3990 4,4368 4,4555 4,4524 4,4249 4,3762 4,3206 4,2787 4,2686 4,2987 4,3643 4,4477 4,5210 4,5520 4,5172 4,4098 4,2362 4,0081 3,7402 3,4552 3,1807 2,9328 2,7067 2,4860 2,2617 2,0397 1,8340 1,6579 1,5223 1,4394 1,4224 1,4822 1,6236 1,8391 2,1054 2,3896 2,6651 2,9189 3,1471 3,3437 3,4961 3,5890 3,6098 3,5492 3,3998 3,1597 2,8360 2,4522 2,0525 1,6903 1,4043 1,2062 1,0830 1,0064 0,9442 0,8713 0,7742 0,6531 0,5203 0,3941 0,2939 0,2404 0,2540 0,3446 0,5089 0,7355 1,0068 1,2976 1,5862 1,8670 2,1437 2,4103 2,6451 2,8215 2,9237 2,9549 2,9371 2,8975 2,8539 2,8090 2,7567 2,6930 2,6206 2,5490 2,4876 2,4388 2,3970 2,3549 2,3105 2,2656 2,2192 2,1666 2,1039 2,0295 1,9415 1,8355 1,7020 1,5295 1,3119 1,0547 0,7765 0,5028 0,2587 0,0596 -0,0964 -0,2325 -0,3826 -0,5698 -0,7921 -1,0259 -1,2403 -1,4086 -1,5126 -1,5437 -1,5075 -1,4299 -1,3521 -1,3066 -1,2982 -1,3084 -1,3140 -1,3005 -1,2664 -1,2238 -1,1971 -1,2156 -1,2994 -1,4472 -1,6345 -1,8222 -1,9690 -2,0416 -2,0248 -1,9300 -1,7947 -1,6673 -1,5853 -1,5657 -1,6074 -1,6979 -1,8207 -1,9588 -2,0942 -2,2070 -2,2777 -2,2943 -2,2618 -2,2032 -2,1452 -2,1025 -2,0732 -2,0431 -1,9936 -1,9124 -1,8032 -1,6874
