Fp1   0,2332 0,3381 0,4285 0,4792 0,4854 0,4563 0,4032 0,3391 0,2742 0,2048 0,1177 0,0070 -0,1201 -0,2462 -0,3490 -0,4075 -0,4101 -0,3596 -0,2714 -0,1649 -0,0542 0,0565 0,1694 0,2849 0,3976 0,4960 0,5637 0,5891 0,5723 0,5170 0,4202 0,2774 0,0945 -0,1086 -0,3043 -0,4715 -0,6051 -0,7076 -0,7776 -0,8103 -0,8022 -0,7520 -0,6631 -0,5451 -0,4034 -0,2319 -0,0222 0,2190 0,4674 0,6959 0,8846 1,0200 1,0979 1,1303 1,1450 1,1761 1,2513 1,3781 1,5337 1,6734 1,7561 1,7660 1,7109 1,6046 1,4567 1,2749 1,0699 0,8626 0,6873 0,5807 0,5564 0,5948 0,6610 0,7323 0,8005 0,8594 0,9033 0,9357 0,9687 1,0120 1,0664 1,1290 1,2003 1,2855 1,3896 1,5173 1,6708 1,8412 2,0011 2,1132 2,1512 2,1161 2,0298 1,9168 1,7933 1,6718 1,5673 1,4940 1,4532 1,4256 1,3805 1,2999 1,1886 1,0588 0,9107 0,7351 0,5276 0,2932 0,0403 -0,2252 -0,5002 -0,7795 -1,0546 -1,3191 -1,5727 -1,8156 -2,0431 -2,2453 -2,4078 -2,5102 -2,5317 -2,4634 -2,3195 -2,1325 -1,9364 -1,7557 -1,6065 -1,4985 -1,4271 -1,3711 -1,3046 -1,2153 -1,1066 -0,9912 -0,8843 -0,7924 -0,7032 -0,5935 -0,4480 -0,2677 -0,0635 0,1570 0,3940 0,6483 0,9151 1,1861 1,4525 1,7048 1,9342 2,1276 2,2615 2,3052 2,2399 2,0733 1,8337 1,5523 1,2542 0,9610 0,6980 0,4969 0,3826 0,3551 0,3889 0,4503 0,5129 0,5602 0,5849 0,5887 0,5795 0,5660 0,5544 0,5440 0,5226 0,4725 0,3763 0,2241 0,0216 -0,2068 -0,4235 -0,5910 -0,6876 -0,7147 -0,6869 -0,6183 -0,5250 -0,4286 -0,3505 -0,3031 -0,2926 -0,3249 -0,4047 -0,5269 -0,6696 -0,7999 -0,8891 -0,9233 -0,8985 -0,8121 -0,6652 -0,4749 -0,2782 -0,1185 -0,0325 -0,0464 -0,1756 -0,4154 -0,7363 -1,0950 -1,4489 -1,7655 -2,0282 -2,2351 -2,3982 -2,5428 -2,6966 -2,8708 -3,0527 -3,2151 -3,3323 -3,3902 -3,3860 -3,3230 -3,2051 -3,0300 -2,7915 -2,4917 -2,1469 -1,7768 -1,3879 -0,9664 -0,4956 0,0244 0,5724 1,1181 1,6312 2,0881 2,4768 2,8012 3,0814 3,3397 3,5772 3,7665 3,8749 3,8900 3,8258 3,7163 3,5994 3,5011 3,4275 3,3649 3,2827 3,1436 2,9246 2,6360 2,3161 2,0044 1,7219 1,4724 1,2531 1,0594 0,8834 0,7178 0,5615 0,4163 0,2784 0,1395 -0,0024 -0,1382 -0,2575 -0,3619 -0,4668 -0,5855 -0,7161 -0,8387 -0,9224 -0,9391 -0,8774 -0,7484 -0,5764 -0,3828 -0,1849 -0,0043 0,1382 0,2366 0,3014 0,3458 0,3762 0,3975 0,4203 0,4560 0,5080 0,5701 0,6309 0,6808 0,7138 0,7288 0,7331 0,7391 0,7573 0,7962 0,8650 0,9672 1,0950 1,2337 1,3691 1,4878 1,5766 1,6232 1,6229 1,5854 1,5364 1,5089 1,5263 1,5892 1,6793 1,7725 1,8458 1,8769 1,8478 1,7577 1,6318 1,5116 1,4293 1,3815 1,3326 1,2469 1,1132 0,9438 0,7563 0,5631 0,3778 0,2253 0,1336 0,1187 0,1797 0,3042 0,4699 0,6485 0,8168 0,9661 1,0995 1,2237 1,3423 1,4542 1,5589 1,6576 1,7478 1,8204 1,8704 1,9068 1,9523 2,0253 2,1180 2,1959 2,2222 2,1790 2,0609 1,8644 1,5939 1,2723 0,9407 0,6449 0,4217 0,2892 0,2401 0,2422 0,2487 0,2111 0,0934 -0,1104 -0,3725 -0,6502 -0,9045 -1,1047 -1,2254 -1,2491 -1,1781 -1,0387 -0,8704 -0,7090 -0,5723 -0,4523 -0,3219 -0,1583 0,0453 0,2864 0,5584 0,8471 1,1324 1,3948 1,6182 1,7912 1,9088 1,9728 1,9961 2,0049 2,0262 2,0731 2,1436 2,2273 2,3101 2,3727 2,3912 2,3443 2,2252 2,0459 1,8295 1,6009 1,3859 1,2109 1,0936 1,0326 1,0090 0,9953 0,9657 0,9120 0,8533 0,8254 0,8522 0,9295 1,0298 1,1214 1,1898 1,2484 1,3228 1,4229 1,5369 1,6460 1,7347 1,7951 1,8284 1,8429 1,8487 1,8565 1,8773 1,9172 1,9699 2,0145 2,0259 1,9918 1,9277 1,8728 1,8665 1,9225 2,0175 2,1023 2,1255 2,0533 1,8770 1,6130 1,2999 0,9860 0,7122 0,5004 0,3567 0,2805 0,2674 0,3082 0,3872 0,4853 0,5847 0,6782 0,7773 0,9065 1,0845 1,3177 1,6017 1,9190 2,2380 2,5226 2,7436 2,8854 2,9472 2,9375 2,8676 2,7507 2,6046 2,4478 2,2906 2,1367 1,9970 1,8891 1,8200 1,7773 1,7363 1,6769 1,5980 1,5165 1,4496 1,4017 1,3652 1,3294 1,2888 1,2429 1,1870 1,1135 1,0275 0,9531 0,9184 0,9391 1,0097 1,1053 1,1945 1,2560 1,2823 1,2725 1,2270 1,1520 1,0670 1,0007 0,9707 0,9705 0,9743 0,9512 0,8805 0,7607 0,6085 0,4545 0,3379 0,2930 0,3349 0,4531 0,6187 0,7976 0,9551 1,0566 1,0732 0,9979 0,8516 0,6708 0,4899 0,3308 0,1995 0,0891 -0,0048 -0,0769 -0,1231 -0,1536 -0,1898 -0,2515 -0,3490 -0,4877 -0,6692 -0,8888 -1,1316 -1,3737 -1,5898 -1,7696 -1,9249 -2,0815 -2,2625 -2,4772 -2,7159 -2,9471 -3,1256 -3,2207 -3,2357 -3,1971 -3,1278 -3,0374 -2,9329 -2,8307 -2,7532 -2,7171 -2,7251 -2,7609 -2,7963 -2,8108 -2,7959 -2,7436 -2,6425 -2,4910 -2,3042 -2,1085 -1,9328 -1,8000 -1,7170 -1,6672 -1,6213 -1,5609 -1,4930 -1,4424 -1,4354 -1,4853 -1,5877 -1,7252 -1,8737 -2,0099 -2,1173 -2,1863 -2,2112 -2,1890 -2,1242 -2,0327 -1,9407 -1,8795 -1,8755 -1,9397 -2,0590 -2,1966
Fz    0,9004 1,0357 1,1558 1,2512 1,3212 1,3723 1,4162 1,4663 1,5268 1,5812 1,5976 1,5499 1,4348 1,2689 1,0724 0,8575 0,6300 0,3966 0,1675 -0,0431 -0,2148 -0,3228 -0,3475 -0,2906 -0,1811 -0,0650 0,0127 0,0239 -0,0372 -0,1620 -0,3404 -0,5650 -0,8249 -1,0996 -1,3599 -1,5791 -1,7435 -1,8499 -1,8952 -1,8741 -1,7815 -1,6160 -1,3861 -1,1137 -0,8264 -0,5468 -0,2903 -0,0676 0,1173 0,2683 0,3902 0,4814 0,5422 0,5883 0,6479 0,7425 0,8724 1,0182 1,1508 1,2431 1,2807 1,2677 1,2220 1,1621 1,0987 1,0343 0,9684 0,9055 0,8549 0,8192 0,7856 0,7346 0,6552 0,5540 0,4504 0,3626 0,2978 0,2574 0,2427 0,2548 0,2934 0,3588 0,4512 0,5682 0,7043 0,8544 1,0132 1,1706 1,3119 1,4225 1,4939 1,5263 1,5241 1,4882 1,4167 1,3121 1,1869 1,0633 0,9628 0,8912 0,8355 0,7784 0,7120 0,6361 0,5443 0,4209 0,2544 0,0473 -0,1892 -0,4487 -0,7348 -1,0523 -1,3947 -1,7429 -2,0741 -2,3707 -2,6215 -2,8186 -2,9558 -3,0257 -3,0226 -2,9518 -2,8399 -2,7294 -2,6600 -2,6529 -2,7116 -2,8243 -2,9639 -3,0917 -3,1740 -3,1969 -3,1682 -3,1091 -3,0403 -2,9681 -2,8802 -2,7555 -2,5803 -2,3526 -2,0804 -1,7775 -1,4580 -1,1313 -0,8012 -0,4702 -0,1440 0,1689 0,4654 0,7518 1,0371 1,3247 1,6113 1,8872 2,1345 2,3342 2,4765 2,5655 2,6203 2,6716 2,7489 2,8649 3,0106 3,1650 3,3106 3,4429 3,5694 3,7056 3,8649 4,0498 4,2486 4,4346 4,5689 4,6112 4,5305 4,3169 3,9910 3,6025 3,2139 2,8786 2,6256 2,4572 2,3580 2,3102 2,2992 2,3102 2,3216 2,3075 2,2511 2,1513 2,0152 1,8509 1,6699 1,4867 1,3119 1,1514 1,0131 0,9136 0,8706 0,8891 0,9525 1,0295 1,0803 1,0611 0,9358 0,6970 0,3695 -0,0074 -0,3921 -0,7437 -1,0315 -1,2452 -1,4008 -1,5361 -1,6902 -1,8803 -2,0936 -2,2953 -2,4446 -2,5119 -2,4868 -2,3753 -2,1907 -1,9437 -1,6387 -1,2804 -0,8793 -0,4462 0,0177 0,5181 1,0523 1,6041 2,1520 2,6727 3,1410 3,5361 3,8518 4,0994 4,3035 4,4889 4,6596 4,7939 4,8661 4,8701 4,8232 4,7557 4,6942 4,6483 4,6099 4,5606 4,4748 4,3259 4,0999 3,8033 3,4570 3,0838 2,6993 2,3093 1,9169 1,5352 1,1914 0,9201 0,7471 0,6725 0,6650 0,6746 0,6562 0,5853 0,4535 0,2595 0,0110 -0,2700 -0,5526 -0,8051 -0,9986 -1,1124 -1,1436 -1,1093 -1,0349 -0,9403 -0,8397 -0,7517 -0,6965 -0,6830 -0,7000 -0,7207 -0,7199 -0,6865 -0,6232 -0,5381 -0,4399 -0,3414 -0,2590 -0,2035 -0,1749 -0,1643 -0,1561 -0,1343 -0,0908 -0,0244 0,0650 0,1763 0,3039 0,4388 0,5705 0,6878 0,7822 0,8516 0,9039 0,9603 1,0491 1,1921 1,3912 1,6261 1,8598 2,0495 2,1560 2,1558 2,0518 1,8778 1,6895 1,5417 1,4639 1,4504 1,4706 1,4884 1,4759 1,4193 1,3194 1,1877 1,0482 0,9365 0,8844 0,9053 0,9941 1,1333 1,2984 1,4668 1,6284 1,7883 1,9595 2,1518 2,3617 2,5691 2,7464 2,8751 2,9569 3,0108 3,0620 3,1323 3,2342 3,3648 3,4994 3,5959 3,6147 3,5365 3,3624 3,1087 2,8049 2,4874 2,1870 1,9236 1,7072 1,5406 1,4142 1,3035 1,1766 1,0044 0,7689 0,4725 0,1354 -0,2207 -0,5798 -0,9223 -1,2184 -1,4400 -1,5767 -1,6372 -1,6369 -1,5898 -1,5068 -1,3948 -1,2582 -1,1038 -0,9380 -0,7550 -0,5356 -0,2627 0,0635 0,4261 0,7992 1,1559 1,4736 1,7357 1,9366 2,0871 2,2091 2,3233 2,4449 2,5809 2,7250 2,8528 2,9238 2,8966 2,7556 2,5232 2,2449 1,9674 1,7260 1,5429 1,4301 1,3909 1,4179 1,4853 1,5512 1,5810 1,5697 1,5414 1,5245 1,5304 1,5483 1,5554 1,5347 1,4891 1,4389 1,4047 1,3926 1,3936 1,3910 1,3697 1,3262 1,2720 1,2283 1,2170 1,2541 1,3469 1,4874 1,6493 1,7975 1,9076 1,9758 2,0118 2,0273 2,0274 2,0038 1,9335 1,7927 1,5754 1,2987 0,9984 0,7173 0,4893 0,3272 0,2229 0,1558 0,1023 0,0477 -0,0051 -0,0385 -0,0308 0,0352 0,1725 0,3948 0,7118 1,1170 1,5834 2,0706 2,5323 2,9216 3,2037 3,3701 3,4393 3,4423 3,4031 3,3314 3,2274 3,0909 2,9243 2,7304 2,5167 2,3039 2,1206 1,9834 1,8830 1,7894 1,6722 1,5202 1,3440 1,1626 0,9878 0,8209 0,6603 0,5045 0,3496 0,1860 0,0056 -0,1859 -0,3656 -0,5031 -0,5726 -0,5659 -0,4966 -0,3916 -0,2802 -0,1906 -0,1470 -0,1593 -0,2163 -0,2903 -0,3541 -0,3958 -0,4216 -0,4538 -0,5229 -0,6493 -0,8278 -1,0320 -1,2307 -1,3948 -1,4987 -1,5275 -1,4843 -1,3909 -1,2791 -1,1828 -1,1350 -1,1597 -1,2552 -1,3907 -1,5262 -1,6320 -1,6901 -1,6946 -1,6515 -1,5697 -1,4506 -1,2940 -1,1100 -0,9194 -0,7448 -0,6032 -0,5070 -0,4672 -0,4939 -0,5899 -0,7415 -0,9200 -1,0991 -1,2717 -1,4456 -1,6286 -1,8215 -2,0183 -2,2036 -2,3505 -2,4360 -2,4612 -2,4486 -2,4210 -2,3871 -2,3479 -2,3109 -2,2912 -2,3020 -2,3473 -2,4174 -2,4951 -2,5661 -2,6205 -2,6424 -2,6088 -2,5036 -2,3316 -2,1195 -1,9093 -1,7454 -1,6558 -1,6383 -1,6666 -1,7138 -1,7719 -1,8532 -1,9768 -2,1546 -2,3865 -2,6645 -2,9758 -3,3007 -3,6062 -3,8470 -3,9800 -3,9847 -3,8747 -3,6911 -3,4871 -3,3167 -3,2234 -3,2267 -3,3101 -3,4294
F3    0,9193 1,0420 1,1205 1,1392 1,1084 1,0526 0,9964 0,9575 0,9408 0,9316 0,9028 0,8349 0,7268 0,5935 0,4567 0,3367 0,2484 0,1950 0,1664 0,1464 0,1249 0,1063 0,1069 0,1404 0,2055 0,2818 0,3341 0,3251 0,2311 0,0485 -0,2109 -0,5251 -0,8634 -1,1873 -1,4567 -1,6435 -1,7427 -1,7673 -1,7322 -1,6463 -1,5122 -1,3271 -1,0920 -0,8215 -0,5372 -0,2517 0,0312 0,3003 0,5367 0,7283 0,8744 0,9750 1,0323 1,0652 1,1085 1,1949 1,3351 1,5114 1,6809 1,7915 1,8071 1,7255 1,5754 1,3978 1,2300 1,0934 0,9908 0,9174 0,8730 0,8585 0,8650 0,8753 0,8755 0,8655 0,8539 0,8440 0,8324 0,8210 0,8193 0,8330 0,8598 0,8957 0,9424 1,0079 1,1023 1,2343 1,4028 1,5898 1,7599 1,8720 1,9006 1,8530 1,7589 1,6439 1,5197 1,3927 1,2761 1,1893 1,1416 1,1161 1,0802 1,0152 0,9271 0,8320 0,7385 0,6421 0,5331 0,4033 0,2426 0,0349 -0,2385 -0,5838 -0,9823 -1,3970 -1,7908 -2,1355 -2,4125 -2,6127 -2,7352 -2,7810 -2,7468 -2,6326 -2,4597 -2,2703 -2,1054 -1,9895 -1,9327 -1,9327 -1,9681 -2,0025 -2,0069 -1,9770 -1,9312 -1,8936 -1,8773 -1,8757 -1,8650 -1,8177 -1,7186 -1,5683 -1,3784 -1,1620 -0,9243 -0,6625 -0,3697 -0,0434 0,3080 0,6671 1,0160 1,3384 1,6169 1,8342 1,9822 2,0646 2,0898 2,0670 2,0112 1,9452 1,9000 1,9105 2,0030 2,1778 2,4072 2,6505 2,8770 3,0765 3,2558 3,4291 3,6058 3,7809 3,9326 4,0257 4,0190 3,8807 3,6011 3,1994 2,7253 2,2496 1,8405 1,5429 1,3677 1,2979 1,3086 1,3801 1,4938 1,6228 1,7315 1,7846 1,7582 1,6453 1,4514 1,1925 0,8955 0,5888 0,2933 0,0257 -0,1926 -0,3369 -0,3948 -0,3768 -0,3139 -0,2457 -0,2119 -0,2469 -0,3711 -0,5801 -0,8477 -1,1391 -1,4181 -1,6515 -1,8196 -1,9240 -1,9916 -2,0708 -2,2080 -2,4187 -2,6817 -2,9557 -3,1960 -3,3646 -3,4377 -3,4109 -3,2950 -3,1005 -2,8299 -2,4914 -2,1076 -1,7021 -1,2834 -0,8474 -0,3906 0,0862 0,5770 1,0621 1,5064 1,8752 2,1569 2,3718 2,5601 2,7561 2,9620 3,1458 3,2675 3,3083 3,2805 3,2219 3,1805 3,1889 3,2468 3,3221 3,3621 3,3104 3,1320 2,8330 2,4539 2,0464 1,6511 1,2863 0,9520 0,6426 0,3572 0,1065 -0,0895 -0,2169 -0,2820 -0,3115 -0,3345 -0,3665 -0,4122 -0,4804 -0,5878 -0,7480 -0,9600 -1,1998 -1,4227 -1,5794 -1,6386 -1,5984 -1,4801 -1,3128 -1,1305 -0,9718 -0,8680 -0,8267 -0,8286 -0,8416 -0,8401 -0,8152 -0,7677 -0,6985 -0,6097 -0,5124 -0,4249 -0,3611 -0,3271 -0,3217 -0,3335 -0,3442 -0,3401 -0,3153 -0,2666 -0,1931 -0,1009 -0,0013 0,0916 0,1635 0,2042 0,2074 0,1740 0,1253 0,1064 0,1692 0,3428 0,6137 0,9329 1,2425 1,4945 1,6572 1,7199 1,6984 1,6321 1,5628 1,5115 1,4701 1,4118 1,3093 1,1483 0,9312 0,6708 0,3855 0,1088 -0,1070 -0,2151 -0,2022 -0,0880 0,0913 0,2979 0,5048 0,7022 0,8913 1,0738 1,2472 1,4050 1,5363 1,6295 1,6804 1,6958 1,6902 1,6817 1,6869 1,7191 1,7848 1,8727 1,9526 1,9935 1,9792 1,9047 1,7697 1,5810 1,3548 1,1165 0,8950 0,7143 0,5849 0,5014 0,4414 0,3696 0,2476 0,0477 -0,2334 -0,5767 -0,9583 -1,3560 -1,7391 -2,0638 -2,2872 -2,3931 -2,4016 -2,3510 -2,2737 -2,1843 -2,0807 -1,9575 -1,8161 -1,6562 -1,4595 -1,1976 -0,8584 -0,4576 -0,0310 0,3778 0,7290 0,9971 1,1742 1,2700 1,3117 1,3358 1,3750 1,4525 1,5771 1,7364 1,8957 2,0044 2,0154 1,9110 1,7109 1,4585 1,2015 0,9804 0,8226 0,7403 0,7336 0,7935 0,8954 0,9963 1,0561 1,0670 1,0526 1,0403 1,0378 1,0324 1,0039 0,9452 0,8776 0,8418 0,8698 0,9662 1,1102 1,2643 1,3871 1,4493 1,4459 1,4000 1,3536 1,3494 1,4127 1,5376 1,6855 1,8031 1,8526 1,8339 1,7810 1,7372 1,7305 1,7572 1,7836 1,7657 1,6726 1,4981 1,2597 0,9916 0,7326 0,5110 0,3372 0,2092 0,1185 0,0558 0,0163 0,0013 0,0151 0,0619 0,1474 0,2848 0,4967 0,8008 1,1940 1,6470 2,1075 2,5125 2,8116 2,9868 3,0539 3,0445 2,9878 2,9041 2,8072 2,7072 2,6078 2,5008 2,3763 2,2428 2,1281 2,0553 2,0184 1,9827 1,9090 1,7790 1,5979 1,3830 1,1539 0,9280 0,7213 0,5494 0,4217 0,3329 0,2674 0,2140 0,1741 0,1599 0,1865 0,2616 0,3757 0,5015 0,6028 0,6440 0,6032 0,4829 0,3092 0,1238 -0,0324 -0,1387 -0,2030 -0,2568 -0,3419 -0,4877 -0,6913 -0,9247 -1,1556 -1,3549 -1,4952 -1,5576 -1,5418 -1,4654 -1,3548 -1,2396 -1,1563 -1,1431 -1,2128 -1,3380 -1,4732 -1,5869 -1,6673 -1,7138 -1,7260 -1,6951 -1,6050 -1,4510 -1,2510 -1,0366 -0,8382 -0,6797 -0,5810 -0,5585 -0,6206 -0,7602 -0,9497 -1,1519 -1,3439 -1,5266 -1,7104 -1,8991 -2,0868 -2,2616 -2,4048 -2,4906 -2,5026 -2,4506 -2,3620 -2,2574 -2,1415 -2,0209 -1,9235 -1,8884 -1,9430 -2,0867 -2,2880 -2,4990 -2,6788 -2,8014 -2,8462 -2,7956 -2,6451 -2,4126 -2,1315 -1,8397 -1,5737 -1,3608 -1,2091 -1,1120 -1,0639 -1,0695 -1,1398 -1,2806 -1,4835 -1,7278 -1,9938 -2,2698 -2,5435 -2,7890 -2,9690 -3,0517 -3,0277 -2,9146 -2,7494 -2,5757 -2,4350 -2,3595 -2,3656 -2,4451 -2,5662
F7    0,4224 0,6243 0,8023 0,9199 0,9639 0,9441 0,8831 0,8103 0,7536 0,7234 0,7066 0,6802 0,6310 0,5609 0,4779 0,3891 0,3012 0,2165 0,1311 0,0397 -0,0571 -0,1479 -0,2143 -0,2449 -0,2433 -0,2275 -0,2253 -0,2591 -0,3279 -0,4138 -0,5034 -0,5979 -0,7063 -0,8317 -0,9601 -1,0670 -1,1348 -1,1560 -1,1259 -1,0430 -0,9116 -0,7396 -0,5396 -0,3306 -0,1288 0,0642 0,2565 0,4475 0,6225 0,7651 0,8648 0,9119 0,9012 0,8482 0,7920 0,7726 0,8064 0,8806 0,9602 1,0021 0,9798 0,9007 0,7953 0,6922 0,6037 0,5267 0,4537 0,3874 0,3422 0,3258 0,3229 0,3045 0,2590 0,2071 0,1790 0,1857 0,2210 0,2806 0,3647 0,4698 0,5873 0,7088 0,8310 0,9559 1,0899 1,2432 1,4215 1,6086 1,7596 1,8204 1,7631 1,6060 1,3986 1,1877 1,0005 0,8534 0,7624 0,7376 0,7696 0,8224 0,8486 0,8230 0,7567 0,6771 0,5960 0,5024 0,3837 0,2397 0,0744 -0,1126 -0,3248 -0,5621 -0,8145 -1,0627 -1,2850 -1,4667 -1,6040 -1,7009 -1,7642 -1,7969 -1,7928 -1,7449 -1,6610 -1,5652 -1,4801 -1,4140 -1,3652 -1,3256 -1,2794 -1,2074 -1,1020 -0,9755 -0,8525 -0,7581 -0,7102 -0,7077 -0,7233 -0,7182 -0,6686 -0,5748 -0,4560 -0,3359 -0,2270 -0,1208 0,0058 0,1707 0,3699 0,5820 0,7837 0,9558 1,0786 1,1363 1,1309 1,0854 1,0283 0,9787 0,9442 0,9222 0,9070 0,9016 0,9163 0,9535 1,0026 1,0492 1,0853 1,1120 1,1397 1,1907 1,2879 1,4355 1,6150 1,7923 1,9257 1,9791 1,9328 1,7891 1,5740 1,3301 1,1007 0,9160 0,7852 0,7021 0,6621 0,6669 0,7141 0,7883 0,8595 0,8919 0,8640 0,7764 0,6428 0,4825 0,3177 0,1667 0,0350 -0,0801 -0,1740 -0,2249 -0,2079 -0,1202 0,0111 0,1437 0,2357 0,2530 0,1755 0,0055 -0,2336 -0,5072 -0,7776 -1,0110 -1,1888 -1,3112 -1,3916 -1,4502 -1,5003 -1,5430 -1,5787 -1,6149 -1,6602 -1,7149 -1,7633 -1,7817 -1,7519 -1,6609 -1,5002 -1,2760 -1,0113 -0,7323 -0,4519 -0,1654 0,1411 0,4779 0,8471 1,2367 1,6187 1,9591 2,2339 2,4409 2,5993 2,7327 2,8447 2,9173 2,9349 2,9013 2,8343 2,7595 2,7053 2,6919 2,7226 2,7825 2,8390 2,8484 2,7764 2,6184 2,3991 2,1534 1,9063 1,6667 1,4380 1,2312 1,0604 0,9346 0,8558 0,8157 0,7907 0,7480 0,6663 0,5476 0,4080 0,2585 0,0991 -0,0697 -0,2345 -0,3627 -0,4102 -0,3437 -0,1653 0,0861 0,3579 0,6124 0,8261 0,9732 1,0309 1,0034 0,9265 0,8476 0,8007 0,7969 0,8312 0,8909 0,9608 1,0263 1,0787 1,1160 1,1365 1,1425 1,1486 1,1703 1,2060 1,2452 1,2857 1,3315 1,3812 1,4315 1,4819 1,5316 1,5764 1,6070 1,6120 1,5897 1,5542 1,5285 1,5314 1,5666 1,6225 1,6815 1,7262 1,7377 1,6960 1,5930 1,4483 1,2999 1,1748 1,0684 0,9510 0,7918 0,5806 0,3315 0,0678 -0,1901 -0,4121 -0,5523 -0,5768 -0,4883 -0,3174 -0,1052 0,1038 0,2724 0,3879 0,4647 0,5269 0,5927 0,6715 0,7654 0,8713 0,9797 1,0767 1,1565 1,2279 1,3086 1,4170 1,5615 1,7254 1,8677 1,9499 1,9601 1,9052 1,7941 1,6349 1,4407 1,2334 1,0414 0,8923 0,8057 0,7834 0,8009 0,8131 0,7712 0,6414 0,4205 0,1363 -0,1708 -0,4646 -0,7120 -0,8770 -0,9282 -0,8610 -0,7090 -0,5287 -0,3729 -0,2695 -0,2132 -0,1765 -0,1343 -0,0682 0,0482 0,2443 0,5252 0,8617 1,2043 1,4998 1,7065 1,8044 1,7990 1,7251 1,6394 1,5937 1,6129 1,6944 1,8202 1,9668 2,1087 2,2166 2,2630 2,2379 2,1498 2,0120 1,8357 1,6325 1,4186 1,2143 1,0371 0,8961 0,7877 0,6984 0,6184 0,5588 0,5478 0,6052 0,7217 0,8614 0,9828 1,0648 1,1228 1,1918 1,2954 1,4326 1,5822 1,7067 1,7663 1,7419 1,6472 1,5202 1,4064 1,3453 1,3597 1,4435 1,5605 1,6585 1,6981 1,6824 1,6574 1,6733 1,7463 1,8490 1,9257 1,9233 1,8133 1,5969 1,3010 0,9713 0,6582 0,4029 0,2316 0,1551 0,1639 0,2309 0,3245 0,4212 0,5092 0,5861 0,6590 0,7466 0,8754 1,0646 1,3173 1,6193 1,9345 2,2118 2,4081 2,5066 2,5173 2,4652 2,3759 2,2689 2,1591 2,0591 1,9740 1,8941 1,7998 1,6830 1,5559 1,4370 1,3329 1,2336 1,1238 1,0005 0,8777 0,7716 0,6846 0,6068 0,5313 0,4615 0,4029 0,3486 0,2841 0,2113 0,1572 0,1552 0,2234 0,3526 0,5058 0,6369 0,7143 0,7259 0,6729 0,5667 0,4271 0,2829 0,1659 0,0940 0,0619 0,0472 0,0194 -0,0448 -0,1465 -0,2687 -0,3895 -0,4843 -0,5315 -0,5220 -0,4590 -0,3509 -0,2094 -0,0556 0,0737 0,1332 0,0960 -0,0223 -0,1755 -0,3171 -0,4169 -0,4655 -0,4710 -0,4438 -0,3851 -0,2968 -0,1942 -0,1028 -0,0450 -0,0338 -0,0767 -0,1808 -0,3521 -0,5853 -0,8568 -1,1332 -1,3960 -1,6489 -1,9009 -2,1497 -2,3823 -2,5824 -2,7284 -2,7955 -2,7773 -2,7023 -2,6148 -2,5365 -2,4555 -2,3542 -2,2412 -2,1480 -2,1053 -2,1239 -2,1882 -2,2667 -2,3343 -2,3764 -2,3776 -2,3223 -2,2121 -2,0698 -1,9220 -1,7851 -1,6681 -1,5765 -1,5066 -1,4468 -1,3916 -1,3510 -1,3446 -1,3852 -1,4651 -1,5600 -1,6457 -1,7100 -1,7510 -1,7697 -1,7656 -1,7363 -1,6797 -1,6010 -1,5116 -1,4241 -1,3537 -1,3215 -1,3451 -1,4210 -1,5187
