Fp1   -4,6124 -5,6408 -5,9530 -5,4847 -4,2834 -2,4940 -0,3427 1,8550 3,7201 4,9043 5,1797 4,4798 2,9350 0,8937 -1,1699 -2,8534 -3,9559 -4,4484 -4,3912 -3,8910 -3,0677 -2,0257 -0,8890 0,1399 0,8076 0,9334 0,5272 -0,1869 -0,8616 -1,1901 -1,0469 -0,5269 0,1338 0,7160 1,1628 1,6188 2,3223 3,4095 4,7787 6,1123 7,0028 7,1007 6,2495 4,5466 2,2984 -0,0828 -2,1823 -3,6681 -4,3527 -4,2262 -3,4511 -2,3090 -1,0829 0,0820 1,2092 2,3629 3,4989 4,4395 4,9636 4,9173 4,2743 3,1485 1,7813 0,4782 -0,5169 -1,1300 -1,4578 -1,6632 -1,8507 -1,9870 -1,9105 -1,4552 -0,6262 0,3347 1,0657 1,2919 0,9936 0,4410 0,0715 0,2816 1,2349 2,7621 4,4157 5,6565 6,0677 5,5180 4,2147 2,5909 1,0873 -0,0210 -0,6662 -0,9263 -0,9225 -0,7257 -0,3461 0,1836 0,7617 1,2928 1,7678 2,2196 2,6222 2,8573 2,7614 2,2019 1,1452 -0,3105 -1,9497 -3,4944 -4,6920 -5,4026 -5,6074 -5,3422 -4,6767 -3,7802 -2,9507 -2,5197 -2,6907 -3,4378 -4,5262 -5,6077 -6,3383 -6,4925 -6,0250 -5,0510 -3,7849 -2,4847 -1,4026 -0,7180 -0,4741 -0,5726 -0,8344 -1,0839 -1,1913 -1,0640 -0,6561 -0,0077 0,7589 1,4772 1,9634 2,0757 1,7995 1,2607 0,6319 0,0174 -0,5867 -1,2405 -1,9785 -2,7673 -3,5275 -4,1771 -4,6466 -4,8672 -4,7549 -4,2128 -3,1818 -1,7128 0,0032 1,6755 3,0234 3,8874 4,2521 4,1943 3,8407 3,3368 2,7820 2,1660 1,3936 0,4028 -0,7203 -1,7473 -2,4374 -2,6732 -2,5081 -2,1468 -1,8840 -1,9896 -2,5756 -3,5565 -4,7297 -5,8741 -6,7928 -7,3442 -7,4800 -7,2502 -6,7541 -6,0706 -5,2241 -4,2397 -3,2431 -2,4589 -2,0850 -2,1799 -2,6382 -3,2322 -3,6944 -3,8147 -3,5172 -2,8764 -2,0685 -1,3134 -0,8426 -0,8429 -1,3606 -2,2588 -3,2917 -4,2350 -4,9658 -5,4671 -5,7763 -5,9124 -5,8348 -5,4640 -4,7533 -3,7682 -2,7047 -1,8171 -1,3154 -1,3097 -1,8039 -2,7115 -3,8756 -5,0933 -6,1628 -6,9363 -7,3477 -7,4190 -7,2301 -6,8135 -6,0523 -4,7348 -2,7630 -0,3144 2,1782 4,1795 5,2589 5,2442 4,2088 2,3542 -0,0493 -2,6538 -5,0673 -6,9625 -8,1748 -8,6958 -8,5922 -7,9399 -6,7904 -5,1767 -3,1901 -1,0624 0,8762 2,3430 3,1996 3,4238 3,0515 2,1887 1,0486 -0,0667 -0,8360 -1,0216 -0,5702 0,3663 1,5195 2,6119 3,4068 3,7308 3,4984 2,7186 1,5018 0,0714 -1,2769 -2,2670 -2,7288 -2,6544 -2,1904 -1,5527 -0,9406 -0,5021 -0,2957 -0,2407 -0,1269 0,2713 1,0284 1,9856 2,8285 3,2508 3,0994 2,4312 1,4617 0,4618 -0,3260 -0,7483 -0,7750 -0,4864 -0,0466 0,3157 0,3843 0,0978 -0,3731 -0,7091 -0,6346 -0,0685 0,8791 2,0068 3,0851 3,8605 4,0873 3,6302 2,5502 1,0972 -0,3664 -1,4554 -1,8248 -1,2155 0,4587 2,9851 5,8150 8,2264 9,5990 9,6029 8,2347 5,7822 2,7676 -0,1668 -2,4246 -3,5895 -3,4953 -2,2625 -0,2750 1,9523 3,9683 5,5433 6,6911 7,5308 8,0954 8,2447 7,7341 6,3802 4,2153 1,5526 -1,0674 -3,0320 -3,8454 -3,2657 -1,3847 1,3552 4,2728 6,6844 8,1163 8,3794 7,5263 5,7690 3,4268 0,9127 -1,2953 -2,7247 -3,0306 -2,1492 -0,3545 1,8556 3,9476 5,5188 6,4094 6,7158 6,6724 6,4739 6,1822 5,7588 5,1402 4,2833 3,1793 1,8773 0,5414 -0,5165 -0,9246 -0,4379 0,9309 2,9352 5,2177 7,4187 9,2170 10,3368 10,5590 9,7443 7,8974 5,2645 2,3630 -0,1402 -1,6807 -2,0362 -1,3885 -0,1737 1,1636 2,3564 3,3413 4,1631 4,8676 5,4434 5,8155 5,8670 5,4863 4,6386 3,4273 2,0784 0,8391 -0,1110 -0,6663 -0,7687 -0,3933 0,4746 1,8264 3,5380 5,3115 6,7610 7,5621 7,5570 6,8042 5,5540 4,1420 2,8654 1,9092 1,3383 1,1392 1,2710 1,6957 2,3987 3,3749 4,5709 5,8566 7,0533 7,9593 8,3622 8,0782 7,0331 5,3268 3,2225 1,0839 -0,6948 -1,7601 -1,8766 -1,0109 0,5943 2,4392 3,9349 4,6263 4,3470 3,2525 1,7463 0,3373 -0,5246 -0,5684 0,2671 1,8508 3,8848 5,9591 7,6657 8,7405 9,1390 8,9745 8,3637 7,3349 5,8827 4,0723 2,0722 0,0834 -1,7640 -3,3998 -4,6640 -5,2251 -4,7319 -3,0632 -0,4200 2,7791 6,0371 8,8527 10,7790 11,5078 10,9459 9,2437 6,7467 3,8955 1,1332 -1,1701 -2,7745 -3,5763 -3,5757 -2,8717 -1,6800 -0,3034 0,9509 1,8606 2,3643 2,5897 2,7652 3,0307 3,3096 3,3758 3,0243 2,1829 0,9341 -0,5150 -1,8999 -2,9927 -3,6767 -3,9489 -3,8614 -3,4784 -2,8878 -2,2067 -1,5422 -0,9627 -0,5200 -0,2719 -0,2463 -0,3740 -0,4816 -0,3919 -0,0359 0,5272 1,1586 1,6957 1,9963 1,9822 1,6704 1,1632 0,6104 0,1616 -0,1061 -0,2184 -0,2399 -0,2289 -0,2639 -0,4240 -0,7014 -0,9953 -1,2035 -1,2461 -0,9860 -0,2219 1,1658 3,0452 4,9856 6,3963 6,7876 5,9840 4,1807 1,8309 -0,5698 -2,6465 -4,1704 -5,0374 -5,2727 -4,9990 -4,3462 -3,3995 -2,2306 -0,9528 0,2600 1,2161 1,7809 1,9160 1,6568 1,0651 0,1977 -0,9088 -2,2401 -3,7678 -5,3665 -6,7576 -7,5623 -7,4635 -6,3708 -4,4752 -2,1733 0,0651 1,8188 2,8125 2,9690 2,3906 1,2996 -0,0370 -1,3971 -2,6620 -3,8068 -4,8539 -5,8321 -6,7402 -7,5249 -8,0992 -8,3712 -8,2612 -7,7276 -6,7903 -5,5327 -4,0945 -2,6541 -1,3793 -0,3703 0,3439 0,7576
Fz    -0,8959 -0,8544 -1,0254 -1,3862 -1,8927 -2,4854 -3,0985 -3,6648 -4,1114 -4,3600 -4,3481 -4,0621 -3,5501 -2,8969 -2,1840 -1,4684 -0,7898 -0,1854 0,3047 0,6481 0,8346 0,8831 0,8324 0,7300 0,6317 0,6016 0,6913 0,9000 1,1584 1,3625 1,4330 1,3559 1,1787 0,9738 0,8059 0,7200 0,7338 0,8392 1,0183 1,2571 1,5394 1,8388 2,1223 2,3559 2,5152 2,6003 2,6314 2,6271 2,5946 2,5400 2,4732 2,3975 2,2954 2,1268 1,8513 1,4625 1,0078 0,5733 0,2442 0,0650 0,0246 0,0725 0,1435 0,1786 0,1470 0,0688 0,0121 0,0504 0,2138 0,4766 0,7805 1,0640 1,2847 1,4355 1,5402 1,6253 1,6963 1,7379 1,7317 1,6701 1,5601 1,4210 1,2762 1,1422 1,0270 0,9377 0,8862 0,8861 0,9397 1,0291 1,1288 1,2261 1,3183 1,3996 1,4656 1,5226 1,5770 1,6152 1,5964 1,4698 1,2059 0,8121 0,3220 -0,2175 -0,7569 -1,2638 -1,7360 -2,1888 -2,6332 -3,0745 -3,5227 -3,9960 -4,5064 -5,0386 -5,5371 -5,9234 -6,1382 -6,1726 -6,0612 -5,8520 -5,5796 -5,2581 -4,8946 -4,5077 -4,1256 -3,7596 -3,3908 -2,9937 -2,5570 -2,0733 -1,5299 -0,9273 -0,3052 0,2620 0,7007 0,9727 1,0897 1,1111 1,1228 1,2013 1,3846 1,6624 1,9887 2,3151 2,6233 2,9262 3,2345 3,5288 3,7695 3,9335 4,0355 4,1108 4,1766 4,2132 4,1839 4,0674 3,8729 3,6311 3,3705 3,0990 2,8123 2,5152 2,2288 1,9742 1,7607 1,5886 1,4556 1,3518 1,2527 1,1259 0,9421 0,6830 0,3522 -0,0172 -0,3708 -0,6454 -0,7783 -0,7284 -0,5107 -0,2020 0,0934 0,2878 0,3368 0,2417 0,0292 -0,2732 -0,6451 -1,0584 -1,4603 -1,7800 -1,9558 -1,9550 -1,7818 -1,4806 -1,1290 -0,8131 -0,5998 -0,5209 -0,5728 -0,7245 -0,9313 -1,1495 -1,3491 -1,5255 -1,7011 -1,9089 -2,1659 -2,4604 -2,7683 -3,0799 -3,4122 -3,7968 -4,2487 -4,7407 -5,2017 -5,5493 -5,7347 -5,7613 -5,6629 -5,4750 -5,2215 -4,9180 -4,5827 -4,2487 -3,9597 -3,7478 -3,6222 -3,5785 -3,5995 -3,6494 -3,6875 -3,6889 -3,6453 -3,5467 -3,3644 -3,0598 -2,6123 -2,0355 -1,3746 -0,6983 -0,0868 0,3869 0,6727 0,7487 0,6192 0,3122 -0,1174 -0,5856 -0,9952 -1,2709 -1,3836 -1,3514 -1,2258 -1,0642 -0,9012 -0,7410 -0,5766 -0,4115 -0,2753 -0,2229 -0,3039 -0,5201 -0,8160 -1,1134 -1,3559 -1,5267 -1,6383 -1,7066 -1,7350 -1,7205 -1,6757 -1,6397 -1,6641 -1,7800 -1,9718 -2,1787 -2,3210 -2,3319 -2,1853 -1,9173 -1,6209 -1,4101 -1,3741 -1,5380 -1,8397 -2,1498 -2,3392 -2,3423 -2,1768 -1,9176 -1,6527 -1,4450 -1,3215 -1,2859 -1,3291 -1,4281 -1,5486 -1,6582 -1,7443 -1,8219 -1,9245 -2,0840 -2,3172 -2,6222 -2,9690 -3,2920 -3,5111 -3,5719 -3,4713 -3,2541 -2,9957 -2,7775 -2,6613 -2,6690 -2,7808 -2,9480 -3,1073 -3,1931 -3,1514 -2,9583 -2,6330 -2,2345 -1,8428 -1,5365 -1,3727 -1,3700 -1,5018 -1,7055 -1,9061 -2,0442 -2,0990 -2,0906 -2,0581 -2,0264 -1,9818 -1,8753 -1,6517 -1,2853 -0,8037 -0,2955 0,1114 0,2985 0,2084 -0,1298 -0,6102 -1,0901 -1,4381 -1,5682 -1,4485 -1,0929 -0,5559 0,0674 0,6602 1,1226 1,3976 1,4723 1,3762 1,1790 0,9652 0,7899 0,6612 0,5621 0,4749 0,3814 0,2707 0,1692 0,1448 0,2600 0,5234 0,8912 1,2987 1,6816 1,9800 2,1428 2,1382 1,9609 1,6321 1,1989 0,7303 0,3008 -0,0295 -0,2199 -0,2498 -0,1220 0,1348 0,4681 0,8113 1,0992 1,2826 1,3393 1,2815 1,1473 0,9785 0,8055 0,6439 0,4956 0,3516 0,2089 0,0929 0,0585 0,1598 0,4185 0,8202 1,3247 1,8695 2,3758 2,7664 2,9860 3,0126 2,8592 2,5708 2,2148 1,8603 1,5580 1,3386 1,2253 1,2400 1,3929 1,6656 2,0074 2,3540 2,6551 2,8912 3,0723 3,2210 3,3516 3,4539 3,4963 3,4438 3,2827 3,0363 2,7610 2,5240 2,3812 2,3654 2,4834 2,7137 3,0077 3,3008 3,5320 3,6663 3,7098 3,7055 3,7064 3,7459 3,8223 3,9030 3,9438 3,9119 3,7867 3,5510 3,2032 2,7822 2,3649 2,0286 1,8077 1,6841 1,6154 1,5633 1,5086 1,4603 1,4489 1,5029 1,6309 1,8267 2,0801 2,3669 2,6322 2,8048 2,8372 2,7326 2,5290 2,2619 1,9451 1,5861 1,2042 0,8282 0,4798 0,1678 -0,1085 -0,3597 -0,6096 -0,8833 -1,1838 -1,4847 -1,7524 -1,9677 -2,1233 -2,2111 -2,2196 -2,1409 -1,9857 -1,7965 -1,6316 -1,5234 -1,4565 -1,3812 -1,2433 -1,0133 -0,7102 -0,3999 -0,1636 -0,0551 -0,0820 -0,2166 -0,4141 -0,6277 -0,8190 -0,9631 -1,0531 -1,1027 -1,1367 -1,1716 -1,1974 -1,1761 -1,0589 -0,8135 -0,4436 0,0046 0,4563 0,8404 1,1166 1,2790 1,3475 1,3596 1,3586 1,3761 1,4191 1,4667 1,4771 1,4100 1,2575 1,0496 0,8317 0,6408 0,4873 0,3397 0,1340 -0,1875 -0,6415 -1,1934 -1,7590 -2,2208 -2,4802 -2,5164 -2,3937 -2,2115 -2,0498 -1,9506 -1,9297 -1,9968 -2,1668 -2,4549 -2,8643 -3,3827 -3,9855 -4,6292 -5,2440 -5,7449 -6,0700 -6,2153 -6,2279 -6,1622 -6,0466 -5,8887 -5,6974 -5,4877 -5,2713 -5,0579 -4,8663 -4,7275 -4,6669 -4,6897 -4,7861 -4,9385 -5,1207 -5,3015 -5,4550 -5,5744 -5,6750 -5,7758 -5,8819 -5,9913 -6,1100 -6,2578 -6,4644 -6,7490 -7,0988 -7,4757 -7,8425 -8,1749 -8,4576 -8,6790 -8,8279 -8,8954 -8,8843 -8,8207 -8,7439 -8,6740 -8,5899
F3    2,4996 3,2202 3,1562 2,2822 0,6812 -1,4447 -3,8133 -6,1018 -7,9748 -9,1273 -9,3485 -8,5811 -6,9580 -4,7873 -2,4619 -0,3282 1,3898 2,5722 3,1669 3,1952 2,7642 2,0436 1,2317 0,5418 0,1878 0,3291 0,9780 1,9308 2,8133 3,2634 3,1229 2,5013 1,6792 0,9301 0,3829 -0,0064 -0,3920 -0,9172 -1,5881 -2,2313 -2,5722 -2,3714 -1,5402 -0,1852 1,4431 3,0593 4,4274 5,3792 5,8174 5,7408 5,2579 4,5407 3,7221 2,8052 1,6864 0,3022 -1,2337 -2,6380 -3,5972 -3,9188 -3,5996 -2,8115 -1,8439 -1,0110 -0,5183 -0,3491 -0,2836 -0,0651 0,4287 1,1291 1,8329 2,3204 2,4939 2,4468 2,3918 2,4986 2,7703 3,0336 3,0313 2,5582 1,5760 0,2624 -1,0482 -2,0023 -2,3554 -2,0495 -1,2293 -0,1724 0,8347 1,5937 2,0342 2,1989 2,1712 2,0000 1,6952 1,2859 0,8422 0,4154 -0,0261 -0,5622 -1,2133 -1,8898 -2,4441 -2,7550 -2,7797 -2,5685 -2,2430 -1,9495 -1,8166 -1,9324 -2,3506 -3,1080 -4,1960 -5,4859 -6,6999 -7,5011 -7,6598 -7,1667 -6,2223 -5,1367 -4,2033 -3,5997 -3,3675 -3,4655 -3,8118 -4,2654 -4,6225 -4,7001 -4,4273 -3,8415 -3,0321 -2,1129 -1,2302 -0,5576 -0,2427 -0,3373 -0,7652 -1,3302 -1,7654 -1,8320 -1,4279 -0,6242 0,4057 1,5118 2,6403 3,7998 4,9682 6,0479 6,9175 7,5156 7,8675 8,0246 7,9718 7,5934 6,7591 5,4598 3,8654 2,2519 0,8500 -0,2567 -1,0958 -1,7061 -2,1046 -2,3125 -2,3491 -2,1919 -1,7853 -1,1280 -0,3540 0,2923 0,5691 0,3452 -0,3406 -1,2807 -2,1738 -2,7320 -2,7603 -2,2043 -1,1723 0,0931 1,2921 2,1609 2,5548 2,4753 2,0034 1,2038 0,1054 -1,2125 -2,5368 -3,5674 -4,0547 -3,8949 -3,1563 -2,0677 -0,9597 -0,1578 0,1261 -0,1442 -0,8325 -1,6898 -2,4375 -2,8562 -2,8682 -2,5744 -2,1975 -1,9569 -1,9453 -2,0938 -2,2627 -2,3836 -2,5364 -2,9071 -3,6546 -4,7733 -6,0493 -7,1548 -7,8156 -7,9192 -7,5087 -6,7207 -5,7252 -4,6919 -3,7748 -3,0998 -2,7407 -2,6880 -2,8592 -3,1881 -3,7036 -4,4982 -5,6115 -6,9391 -8,2283 -9,1462 -9,3894 -8,7914 -7,3564 -5,2259 -2,6557 -0,0018 2,3490 4,0899 5,0654 5,2640 4,7697 3,7126 2,2351 0,4915 -1,3259 -2,9810 -4,2424 -4,9593 -5,1046 -4,7472 -3,9955 -2,9802 -1,8708 -0,8750 -0,2161 -0,0900 -0,5837 -1,5946 -2,8397 -3,9775 -4,7570 -5,0946 -5,0405 -4,6778 -4,0670 -3,2888 -2,4967 -1,8982 -1,6764 -1,8995 -2,4788 -3,2100 -3,8515 -4,1916 -4,1185 -3,6990 -3,1849 -2,8943 -3,0391 -3,6079 -4,3572 -4,9197 -4,9933 -4,4915 -3,5556 -2,4621 -1,5041 -0,8885 -0,6861 -0,8478 -1,2394 -1,6668 -1,9356 -1,9506 -1,7806 -1,6199 -1,6711 -2,0403 -2,7191 -3,6245 -4,6143 -5,4702 -5,9383 -5,8478 -5,2018 -4,1671 -3,0086 -2,0257 -1,5063 -1,6755 -2,6157 -4,1805 -5,9784 -7,4811 -8,2097 -7,8886 -6,5066 -4,3004 -1,6940 0,7981 2,6917 3,6435 3,5283 2,4687 0,7947 -1,0764 -2,7948 -4,1861 -5,2460 -6,0264 -6,5039 -6,5279 -5,8892 -4,4639 -2,3392 0,1491 2,4855 4,1251 4,6557 3,9162 2,0612 -0,4458 -2,9616 -4,8850 -5,8308 -5,6727 -4,5050 -2,5951 -0,3248 1,8867 3,6544 4,6747 4,7901 4,0740 2,8196 1,3997 0,1196 -0,8471 -1,4670 -1,8308 -2,0743 -2,2432 -2,2338 -1,8830 -1,1033 0,0730 1,5358 3,1229 4,5960 5,6434 5,9671 5,4060 4,0007 1,9737 -0,3434 -2,5943 -4,4530 -5,6527 -6,0143 -5,4653 -4,0552 -1,9983 0,3029 2,3365 3,6559 4,0503 3,6089 2,6368 1,4756 0,3514 -0,6589 -1,5768 -2,4543 -3,2982 -4,0064 -4,3737 -4,1924 -3,3699 -1,9728 -0,1961 1,6986 3,4407 4,7852 5,5430 5,6139 5,0009 3,8075 2,2401 0,5834 -0,8710 -1,8902 -2,3232 -2,1160 -1,3366 -0,1711 1,1251 2,2979 3,1620 3,6379 3,7425 3,5437 3,1016 2,4439 1,5838 0,5460 -0,6027 -1,7121 -2,5459 -2,8589 -2,5052 -1,4916 0,0357 1,8225 3,5407 4,8477 5,4715 5,3047 4,4819 3,3692 2,4245 2,0085 2,2526 3,0366 4,0689 5,0046 5,5297 5,4098 4,5459 3,0302 1,1460 -0,7254 -2,2567 -3,2799 -3,7907 -3,8815 -3,6409 -3,0838 -2,1813 -0,9454 0,5330 2,1309 3,7631 5,3580 6,7326 7,5483 7,4678 6,3763 4,4442 2,0065 -0,5798 -2,9820 -4,8915 -6,0660 -6,3981 -5,9416 -4,8840 -3,5060 -2,1404 -1,0909 -0,5367 -0,5071 -0,9325 -1,6885 -2,6111 -3,5182 -4,2424 -4,6609 -4,7466 -4,6180 -4,4847 -4,4794 -4,5406 -4,4580 -4,0103 -3,0884 -1,7656 -0,2893 1,0186 1,8986 2,2376 2,0619 1,4835 0,6550 -0,2559 -1,0970 -1,7792 -2,3008 -2,7054 -3,0106 -3,1845 -3,1891 -3,0242 -2,7170 -2,2942 -1,7941 -1,2875 -0,8504 -0,5116 -0,2395 0,0265 0,3341 0,6927 1,0748 1,4410 1,7492 1,9373 1,9468 1,7886 1,5354 1,2366 0,8932 0,5012 0,0357 -0,6169 -1,6317 -3,1049 -4,9240 -6,7400 -8,0726 -8,5313 -8,0267 -6,8076 -5,2938 -3,8459 -2,6585 -1,8116 -1,3554 -1,3343 -1,7676 -2,6386 -3,8977 -5,4579 -7,1741 -8,8277 -10,1652 -11,0013 -11,3065 -11,1837 -10,7589 -10,1038 -9,2410 -8,1776 -6,9301 -5,5651 -4,2500 -3,2529 -2,8449 -3,1609 -4,1300 -5,5216 -7,0312 -8,3471 -9,2142 -9,5003 -9,2358 -8,5947 -7,8067 -7,0470 -6,3924 -5,8666 -5,5013 -5,3420 -5,4074 -5,6691 -6,0863 -6,6492 -7,3738 -8,2591 -9,2644 -10,3162 -11,3169 -12,1619 -12,7821 -13,1706 -13,3453 -13,2833
F7    -1,9908 -2,2953 -2,4026 -2,2990 -1,9854 -1,4620 -0,7596 0,0149 0,6890 1,0928 1,1196 0,7493 0,0595 -0,7759 -1,5403 -2,0682 -2,3019 -2,2702 -2,0413 -1,6897 -1,2717 -0,8150 -0,3428 0,0874 0,3855 0,4776 0,3567 0,0950 -0,1875 -0,3756 -0,4069 -0,2916 -0,0914 0,1295 0,3566 0,6419 1,0601 1,6328 2,2913 2,9080 3,3475 3,5012 3,3149 2,8055 2,0578 1,2113 0,4304 -0,1503 -0,4684 -0,5329 -0,3991 -0,1470 0,1437 0,4238 0,6889 0,9576 1,2329 1,4809 1,6399 1,6479 1,4696 1,1164 0,6541 0,1788 -0,2298 -0,5399 -0,7643 -0,9304 -1,0442 -1,0672 -0,9289 -0,5785 -0,0474 0,5313 0,9676 1,1040 0,9064 0,4996 0,1198 0,0065 0,2915 0,9423 1,7833 2,5738 3,1050 3,2777 3,1235 2,7620 2,3273 1,9150 1,5700 1,2969 1,0770 0,8921 0,7398 0,6217 0,5325 0,4747 0,4680 0,5284 0,6395 0,7414 0,7411 0,5380 0,0629 -0,6790 -1,5891 -2,5049 -3,2720 -3,8101 -4,1175 -4,2222 -4,1491 -3,9430 -3,7046 -3,5707 -3,6364 -3,8911 -4,2279 -4,5014 -4,5813 -4,3924 -3,9345 -3,2770 -2,5344 -1,8327 -1,2733 -0,9069 -0,7280 -0,6853 -0,7064 -0,7269 -0,7004 -0,5892 -0,3684 -0,0537 0,2954 0,6028 0,8004 0,8473 0,7472 0,5460 0,3083 0,0871 -0,0934 -0,2358 -0,3566 -0,4750 -0,6027 -0,7349 -0,8473 -0,9024 -0,8588 -0,6778 -0,3289 0,2044 0,9063 1,7008 2,4591 3,0555 3,4255 3,5800 3,5796 3,4912 3,3467 3,1251 2,7694 2,2348 1,5432 0,7982 0,1441 -0,3010 -0,4892 -0,4531 -0,2972 -0,1580 -0,1397 -0,2759 -0,5478 -0,9114 -1,3072 -1,6763 -1,9792 -2,1963 -2,3194 -2,3458 -2,2641 -2,0577 -1,7463 -1,4063 -1,1321 -0,9835 -0,9642 -1,0308 -1,1182 -1,1655 -1,1313 -0,9982 -0,7699 -0,4772 -0,1954 -0,0314 -0,0675 -0,3116 -0,7013 -1,1476 -1,5756 -1,9340 -2,1890 -2,3224 -2,3342 -2,2375 -2,0573 -1,8414 -1,6594 -1,5744 -1,6209 -1,8058 -2,1150 -2,5124 -2,9418 -3,3368 -3,6457 -3,8530 -3,9670 -3,9892 -3,9023 -3,6694 -3,2354 -2,5544 -1,6453 -0,6215 0,3348 1,0328 1,3458 1,2593 0,8524 0,2316 -0,5167 -1,3279 -2,1336 -2,8516 -3,4100 -3,7631 -3,8754 -3,7146 -3,2676 -2,5573 -1,6594 -0,7117 0,1222 0,7252 1,0647 1,1595 1,0315 0,7106 0,2690 -0,1723 -0,4775 -0,5623 -0,4422 -0,2095 0,0442 0,2694 0,4299 0,4703 0,3301 -0,0204 -0,5527 -1,1750 -1,7542 -2,1582 -2,3022 -2,1858 -1,8946 -1,5550 -1,2804 -1,1417 -1,1480 -1,2332 -1,2756 -1,1632 -0,8784 -0,5256 -0,2685 -0,2284 -0,4255 -0,7884 -1,2053 -1,5709 -1,8066 -1,8709 -1,7720 -1,5643 -1,3325 -1,1810 -1,2015 -1,4119 -1,7240 -1,9840 -2,0635 -1,9300 -1,6372 -1,2634 -0,8813 -0,5701 -0,4141 -0,4605 -0,6859 -1,0061 -1,3121 -1,5037 -1,5056 -1,2626 -0,7451 0,0034 0,8262 1,4956 1,8145 1,6820 1,0996 0,1665 -0,9230 -1,9215 -2,6085 -2,8537 -2,6332 -2,0238 -1,1832 -0,3017 0,4671 1,0618 1,5153 1,8899 2,1964 2,3691 2,3049 1,9275 1,2425 0,3568 -0,5411 -1,2370 -1,5592 -1,4272 -0,8746 -0,0483 0,8324 1,5541 1,9759 2,0537 1,8243 1,3600 0,7383 0,0561 -0,5505 -0,9226 -0,9334 -0,5480 0,1479 0,9666 1,6785 2,1008 2,1723 1,9696 1,6507 1,3680 1,2058 1,1647 1,1761 1,1365 0,9513 0,5730 0,0313 -0,5488 -0,9822 -1,1129 -0,8843 -0,3446 0,3878 1,1683 1,8638 2,3660 2,5760 2,4023 1,8096 0,8821 -0,1699 -1,0756 -1,6103 -1,6869 -1,3750 -0,8387 -0,2467 0,2959 0,7616 1,1651 1,5158 1,7975 1,9785 2,0247 1,9015 1,5908 1,1234 0,5864 0,0839 -0,3062 -0,5413 -0,6101 -0,5217 -0,2765 0,1404 0,7099 1,3352 1,8709 2,1880 2,2269 2,0207 1,6762 1,3254 1,0805 1,0008 1,0783 1,2561 1,4655 1,6567 1,8224 1,9988 2,2297 2,5234 2,8444 3,1319 3,3124 3,3012 3,0308 2,5044 1,8154 1,1061 0,5164 0,1586 0,1040 0,3565 0,8281 1,3492 1,7256 1,8109 1,5656 1,0795 0,5402 0,1578 0,0764 0,3296 0,8618 1,5671 2,3055 2,9241 3,3067 3,4254 3,3456 3,1626 2,9208 2,5966 2,1489 1,5744 0,9164 0,2360 -0,4193 -1,0080 -1,4514 -1,6176 -1,3816 -0,7101 0,3170 1,5500 2,8056 3,8830 4,5927 4,7992 4,4556 3,6202 2,4421 1,1109 -0,1917 -1,3143 -2,1409 -2,5933 -2,6374 -2,2972 -1,6713 -0,9212 -0,2226 0,2977 0,6116 0,7954 0,9739 1,2285 1,5337 1,7824 1,8704 1,7532 1,4431 0,9800 0,4134 -0,2108 -0,8607 -1,5091 -2,1091 -2,5944 -2,9124 -3,0483 -3,0171 -2,8462 -2,5719 -2,2457 -1,9297 -1,6662 -1,4484 -1,2354 -0,9960 -0,7371 -0,5022 -0,3513 -0,3361 -0,4725 -0,7227 -1,0074 -1,2358 -1,3337 -1,2782 -1,1091 -0,8914 -0,6831 -0,5418 -0,5197 -0,6318 -0,8407 -1,0781 -1,2649 -1,3055 -1,0946 -0,5655 0,2458 1,1743 1,9702 2,3958 2,3147 1,7412 0,8316 -0,1942 -1,1477 -1,9153 -2,4583 -2,7996 -2,9905 -3,0669 -3,0300 -2,8655 -2,5835 -2,2371 -1,9022 -1,6430 -1,4966 -1,4732 -1,5637 -1,7480 -2,0056 -2,3230 -2,6812 -3,0293 -3,2746 -3,3109 -3,0742 -2,5833 -1,9371 -1,2722 -0,7179 -0,3688 -0,2722 -0,4276 -0,7896 -1,2745 -1,7874 -2,2618 -2,6787 -3,0571 -3,4292 -3,8057 -4,1545 -4,4235 -4,5907 -4,6810 -4,7318 -4,7555 -4,7350 -4,6441 -4,4730 -4,2379 -3,9643 -3,6682 -3,3595 -3,0598
