Fp1   0,2128 0,3130 0,4631 0,5938 0,6551 0,6357 0,5568 0,4600 0,3909 0,3878 0,4655 0,5797 0,6149 0,4487 0,0471 -0,5021 -1,0474 -1,4606 -1,6817 -1,7050 -1,5486 -1,2424 -0,8328 -0,3886 0,0128 0,3197 0,5194 0,6252 0,6598 0,6401 0,5688 0,4449 0,2748 0,0785 -0,1041 -0,2338 -0,3101 -0,3753 -0,4701 -0,5928 -0,7025 -0,7517 -0,7008 -0,5228 -0,2236 0,1561 0,5664 0,9573 1,2743 1,4739 1,5396 1,4735 1,2779 0,9600 0,5555 0,1390 -0,1948 -0,3660 -0,3312 -0,0782 0,3855 1,0199 1,7297 2,3601 2,7439 2,7986 2,5937 2,3041 2,0960 2,0514 2,1596 2,3497 2,5422 2,6949 2,8008 2,8487 2,8145 2,6809 2,4403 2,1081 1,7557 1,4975 1,4238 1,5490 1,8206 2,1701 2,5528 2,9384 3,2795 3,4949 3,5047 3,3112 3,0320 2,8199 2,7624 2,8587 3,0568 3,2969 3,5292 3,6870 3,6604 3,3453 2,7388 1,9710 1,2425 0,7225 0,4823 0,4982 0,6880 0,9310 1,0878 1,0537 0,8153 0,4510 0,0799 -0,1835 -0,2512 -0,0880 0,2611 0,6862 1,0584 1,2692 1,2638 1,0637 0,7490 0,4092 0,0994 -0,1732 -0,4276 -0,6668 -0,8595 -0,9685 -0,9834 -0,9133 -0,7674 -0,5547 -0,2994 -0,0530 0,1139 0,1432 0,0305 -0,1566 -0,3216 -0,4080 -0,4267 -0,4337 -0,4778 -0,5556 -0,6065 -0,5517 -0,3423 0,0167 0,4784 0,9862 1,5100 2,0473 2,5819 3,0598 3,4257 3,6665 3,8074 3,8699 3,8398 3,6851 3,4043 3,0488 2,6903 2,3727 2,0931 1,8202 1,5331 1,2571 1,0704 1,0750 1,3239 1,7587 2,2370 2,6309 2,8896 3,0137 3,0003 2,8405 2,5471 2,1602 1,7383 1,3552 1,0899 1,0065 1,1393 1,4819 1,9744 2,4991 2,9021 3,0392 2,8389 2,3578 1,7652 1,2546 0,9575 0,9080 1,0527 1,2862 1,4999 1,6267 1,6531 1,6038 1,5134 1,3921 1,2179 0,9773 0,6926 0,4037 0,1410 -0,0867 -0,2917 -0,4899 -0,6863 -0,8876 -1,1166 -1,3969 -1,7125 -1,9821 -2,1022 -2,0356 -1,8393 -1,5981 -1,3607 -1,1370 -0,9263 -0,7268 -0,5350 -0,3643 -0,2584 -0,2681 -0,4268 -0,7476 -1,2091 -1,7278 -2,1762 -2,4546 -2,5493 -2,5277 -2,4952 -2,5505 -2,7448 -3,0655 -3,4609 -3,8658 -4,1985 -4,3638 -4,2985 -4,0268 -3,6510 -3,2791 -2,9713 -2,7549 -2,6640 -2,7481 -3,0500 -3,5749 -4,2708 -5,0281 -5,6948 -6,1188 -6,2141 -5,9982 -5,5736 -5,0769 -4,6134 -4,2089 -3,8252 -3,4244 -3,0060 -2,5898 -2,1905 -1,8227 -1,5230 -1,3483 -1,3352 -1,4644 -1,6786 -1,9255 -2,1764 -2,4164 -2,6159 -2,7169 -2,6747 -2,5101 -2,3038 -2,1372 -2,0460 -2,0282 -2,0839 -2,2266 -2,4416 -2,6409 -2,6976 -2,5482 -2,2439 -1,9030 -1,6455 -1,5491 -1,6115 -1,7391 -1,7977 -1,6937 -1,4190 -1,0393 -0,6536 -0,3566 -0,2150 -0,2587 -0,4818 -0,8462 -1,2818 -1,6987 -2,0218 -2,2246 -2,3305 -2,3864 -2,4439 -2,5543 -2,7534 -3,0373 -3,3605 -3,6510 -3,8278 -3,8267 -3,6320 -3,2890 -2,8961 -2,5741 -2,4014 -2,3530 -2,3196 -2,2008 -1,9806 -1,7247 -1,5173 -1,3957 -1,3414 -1,3314 -1,3797 -1,5171 -1,7424 -2,0081 -2,2650 -2,5121 -2,7804 -3,0758 -3,3615 -3,5886 -3,7216 -3,7474 -3,6817 -3,5642 -3,4310 -3,2939 -3,1469 -2,9687 -2,7213 -2,3942 -2,0652 -1,8778 -1,9267 -2,1750 -2,4862 -2,7286 -2,8630 -2,9545 -3,1040 -3,3595 -3,6886 -4,0259 -4,3219 -4,5439 -4,6550 -4,6080 -4,3596 -3,9033 -3,3030 -2,6712 -2,0894 -1,5622 -1,0630 -0,6085 -0,2611 -0,0733 -0,0656 -0,2526 -0,6456 -1,2164 -1,8844 -2,5549 -3,1583 -3,6430 -3,9557 -4,0560 -3,9400 -3,6472 -3,2515 -2,8350 -2,4660 -2,1938 -2,0359 -1,9764 -1,9954 -2,0951 -2,2784 -2,5047 -2,6981 -2,8080 -2,8308 -2,7654 -2,5923 -2,3041 -1,9178 -1,4643 -1,0026 -0,6360 -0,4647 -0,5051 -0,6914 -0,9650 -1,3139 -1,7172 -2,1005 -2,3763 -2,5101 -2,5197 -2,4312 -2,2661 -2,0590 -1,8588 -1,7119 -1,6384 -1,6119 -1,5699 -1,4541 -1,2386 -0,9377 -0,6077 -0,3263 -0,1571 -0,1335 -0,2635 -0,5342 -0,9111 -1,3363 -1,7329 -2,0321 -2,2094 -2,2930 -2,3314 -2,3494 -2,3349 -2,2595 -2,1149 -1,9319 -1,7668 -1,6721 -1,6776 -1,7849 -1,9749 -2,2145 -2,4519 -2,6098 -2,6062 -2,4066 -2,0648 -1,7033 -1,4414 -1,3285 -1,3295 -1,3665 -1,3872 -1,4006 -1,4522 -1,5838 -1,8215 -2,1598 -2,5415 -2,8788 -3,0956 -3,1504 -3,0411 -2,7964 -2,4569 -2,0711 -1,7017 -1,4113 -1,2305 -1,1577 -1,1945 -1,3553 -1,6445 -2,0432 -2,5082 -2,9719 -3,3578 -3,6199 -3,7755 -3,8801 -3,9632 -4,0108 -3,9989 -3,9085 -3,7191 -3,4250 -3,0627 -2,6977 -2,3769 -2,1032 -1,8635 -1,6732 -1,5810 -1,6334 -1,8409 -2,1575 -2,4795 -2,6859 -2,7050 -2,5601 -2,3478 -2,1614 -2,0279 -1,9160 -1,7915 -1,6574 -1,5433 -1,4670 -1,4125 -1,3473 -1,2523 -1,1180 -0,9395 -0,7468 -0,6200 -0,6403 -0,8318 -1,1569 -1,5496 -1,9386 -2,2645 -2,4977 -2,6379 -2,7004 -2,7210 -2,7506 -2,8093 -2,8539 -2,8055 -2,6109 -2,2883 -1,9121 -1,5473 -1,2085 -0,8854 -0,5862 -0,3439 -0,1993 -0,1866 -0,3075 -0,4986 -0,6437 -0,6410 -0,4702 -0,2076 0,0247 0,1359 0,1044 -0,0335 -0,2011 -0,3006 -0,2587 -0,0752 0,1760 0,3957 0,5069 0,4704 0,2896 0,0137 -0,2770 -0,5084 -0,6483 -0,7021 -0,6725 -0,5446 -0,3084 0,0231 0,4081 0,7732 1,0363 1,1492 1,1197 0,9981 0,8442 0,6940 0,5512 0,4012
Fz    0,1064 0,3198 0,6017 0,8807 1,0912 1,1951 1,1875 1,0907 0,9407 0,7819 0,6602 0,5805 0,4796 0,2704 -0,0768 -0,4983 -0,8748 -1,1059 -1,1576 -1,0505 -0,8237 -0,5151 -0,1639 0,1823 0,4743 0,6801 0,7891 0,8029 0,7315 0,5869 0,3787 0,1221 -0,1601 -0,4346 -0,6529 -0,7738 -0,8033 -0,7982 -0,8208 -0,8927 -0,9878 -1,0591 -1,0574 -0,9439 -0,7120 -0,3912 -0,0250 0,3384 0,6468 0,8595 0,9587 0,9425 0,8092 0,5612 0,2290 -0,1156 -0,3805 -0,4914 -0,4126 -0,1372 0,3250 0,9392 1,6292 2,2674 2,7018 2,8376 2,7084 2,4520 2,2198 2,1058 2,1263 2,2432 2,4060 2,5853 2,7659 2,9169 2,9906 2,9456 2,7582 2,4366 2,0493 1,7164 1,5472 1,5785 1,7719 2,0656 2,4175 2,7930 3,1261 3,3100 3,2481 2,9392 2,5031 2,1031 1,8554 1,7984 1,9064 2,1159 2,3487 2,5083 2,4734 2,1526 1,5696 0,8757 0,2781 -0,0548 -0,0595 0,2167 0,6553 1,1052 1,4189 1,5032 1,3586 1,0720 0,7690 0,5633 0,5264 0,6628 0,9008 1,1303 1,2621 1,2531 1,1065 0,8670 0,6031 0,3731 0,1929 0,0302 -0,1584 -0,3809 -0,6000 -0,7682 -0,8631 -0,8836 -0,8294 -0,7005 -0,5133 -0,3168 -0,1896 -0,2054 -0,3789 -0,6384 -0,8695 -0,9906 -0,9914 -0,9201 -0,8401 -0,7823 -0,7268 -0,6201 -0,4119 -0,0877 0,3191 0,7502 1,1716 1,5912 2,0155 2,4109 2,7244 2,9261 3,0187 3,0125 2,9046 2,6930 2,4058 2,1061 1,8620 1,7090 1,6353 1,5962 1,5510 1,5008 1,5001 1,6344 1,9542 2,4081 2,8616 3,1901 3,3473 3,3522 3,2366 3,0228 2,7271 2,3649 1,9647 1,5845 1,3011 1,1845 1,2782 1,5855 2,0552 2,5783 3,0140 3,2341 3,1713 2,8607 2,4317 2,0373 1,7777 1,6740 1,6888 1,7569 1,8149 1,8339 1,8273 1,8265 1,8461 1,8596 1,8150 1,6875 1,5024 1,3075 1,1387 1,0061 0,8996 0,8066 0,7208 0,6304 0,5122 0,3465 0,1443 -0,0385 -0,1276 -0,0882 0,0580 0,2746 0,5438 0,8545 1,1796 1,4838 1,7410 1,9290 2,0178 1,9811 1,8039 1,4778 1,0213 0,5127 0,0773 -0,1791 -0,2345 -0,1573 -0,0589 -0,0343 -0,1249 -0,3214 -0,5948 -0,9083 -1,1991 -1,3796 -1,3848 -1,2255 -0,9809 -0,7334 -0,5220 -0,3605 -0,2788 -0,3260 -0,5444 -0,9464 -1,5047 -2,1493 -2,7657 -3,2188 -3,4139 -3,3431 -3,0770 -2,7204 -2,3517 -1,9768 -1,5472 -1,0297 -0,4464 0,1479 0,7014 1,1683 1,4946 1,6228 1,5266 1,2384 0,8338 0,3892 -0,0438 -0,4309 -0,7268 -0,8696 -0,8267 -0,6381 -0,3953 -0,1810 -0,0314 0,0514 0,0657 0,0011 -0,1297 -0,2575 -0,2862 -0,1764 0,0208 0,2111 0,3165 0,3040 0,2043 0,1092 0,1210 0,2922 0,6061 0,9943 1,3655 1,6312 1,7251 1,6123 1,2959 0,8243 0,2882 -0,2062 -0,5783 -0,8058 -0,9286 -1,0269 -1,1880 -1,4722 -1,8840 -2,3660 -2,8266 -3,1735 -3,3312 -3,2569 -2,9597 -2,5097 -2,0279 -1,6507 -1,4603 -1,4342 -1,4724 -1,4782 -1,4205 -1,3351 -1,2704 -1,2309 -1,1765 -1,0821 -0,9816 -0,9455 -1,0148 -1,1654 -1,3459 -1,5378 -1,7559 -2,0048 -2,2588 -2,4811 -2,6405 -2,7172 -2,7160 -2,6721 -2,6278 -2,6072 -2,6158 -2,6390 -2,6388 -2,5870 -2,5206 -2,5297 -2,6605 -2,8519 -2,9837 -2,9780 -2,8572 -2,7254 -2,6956 -2,8165 -3,0542 -3,3372 -3,6066 -3,8209 -3,9420 -3,9354 -3,7782 -3,4690 -3,0431 -2,5650 -2,0847 -1,6138 -1,1583 -0,7633 -0,5000 -0,4097 -0,4921 -0,7381 -1,1340 -1,6321 -2,1506 -2,6150 -2,9871 -3,2534 -3,4006 -3,4203 -3,3276 -3,1645 -2,9851 -2,8297 -2,7162 -2,6486 -2,6181 -2,6041 -2,5940 -2,5968 -2,6249 -2,6624 -2,6738 -2,6460 -2,5934 -2,5177 -2,3911 -2,1835 -1,8846 -1,5116 -1,1262 -0,8343 -0,7283 -0,8128 -1,0122 -1,2597 -1,5414 -1,8467 -2,1194 -2,2878 -2,3253 -2,2596 -2,1321 -1,9697 -1,7883 -1,6019 -1,4254 -1,2689 -1,1233 -0,9601 -0,7484 -0,4729 -0,1486 0,1728 0,4212 0,5412 0,5064 0,3124 -0,0319 -0,4996 -1,0368 -1,5607 -1,9859 -2,2674 -2,4209 -2,4959 -2,5315 -2,5352 -2,4939 -2,4043 -2,2989 -2,2360 -2,2617 -2,3803 -2,5583 -2,7568 -2,9526 -3,1250 -3,2350 -3,2324 -3,0944 -2,8632 -2,6354 -2,5042 -2,5047 -2,6042 -2,7383 -2,8610 -2,9694 -3,0932 -3,2707 -3,5300 -3,8611 -4,1992 -4,4567 -4,5716 -4,5283 -4,3513 -4,0843 -3,7691 -3,4428 -3,1428 -2,8988 -2,7192 -2,5983 -2,5422 -2,5735 -2,7107 -2,9477 -3,2511 -3,5706 -3,8624 -4,1114 -4,3406 -4,5819 -4,8268 -5,0236 -5,1240 -5,1068 -4,9671 -4,7187 -4,4107 -4,1101 -3,8578 -3,6500 -3,4679 -3,3188 -3,2429 -3,2870 -3,4736 -3,7748 -4,1022 -4,3399 -4,4103 -4,3230 -4,1568 -3,9907 -3,8507 -3,7180 -3,5763 -3,4399 -3,3376 -3,2807 -3,2504 -3,2158 -3,1548 -3,0490 -2,8840 -2,6824 -2,5162 -2,4620 -2,5459 -2,7392 -2,9905 -3,2502 -3,4770 -3,6441 -3,7394 -3,7650 -3,7470 -3,7298 -3,7353 -3,7378 -3,6822 -3,5229 -3,2624 -2,9510 -2,6374 -2,3353 -2,0468 -1,7934 -1,6075 -1,5086 -1,5018 -1,5766 -1,6899 -1,7639 -1,7272 -1,5683 -1,3548 -1,1947 -1,1636 -1,2690 -1,4647 -1,6715 -1,7969 -1,7782 -1,6253 -1,4173 -1,2510 -1,1902 -1,2539 -1,4237 -1,6465 -1,8444 -1,9440 -1,9113 -1,7607 -1,5231 -1,2221 -0,8801 -0,5246 -0,1897 0,0756 0,2150 0,1918 0,0083 -0,2921 -0,6423 -0,9815 -1,2744 -1,5098
F3    0,4623 0,5150 0,6640 0,8661 1,0758 1,2634 1,4182 1,5419 1,6382 1,7122 1,7724 1,8065 1,7556 1,5413 1,1340 0,5909 0,0207 -0,4835 -0,8766 -1,1423 -1,2655 -1,2349 -1,0617 -0,7912 -0,4880 -0,2079 0,0192 0,1887 0,3145 0,4072 0,4548 0,4262 0,2957 0,0715 -0,1935 -0,4330 -0,6208 -0,7873 -0,9750 -1,1875 -1,3879 -1,5348 -1,5993 -1,5594 -1,4078 -1,1602 -0,8495 -0,5195 -0,2165 0,0269 0,2016 0,3147 0,3735 0,3807 0,3435 0,2870 0,2555 0,2910 0,4120 0,6211 0,9256 1,3314 1,8076 2,2592 2,5534 2,6059 2,4525 2,2210 2,0390 1,9751 2,0329 2,1705 2,3359 2,5047 2,6794 2,8539 2,9985 3,0695 3,0232 2,8465 2,5987 2,3982 2,3448 2,4570 2,6788 2,9341 3,1731 3,3778 3,5292 3,5712 3,4274 3,0854 2,6514 2,2870 2,1023 2,1139 2,2679 2,4847 2,6990 2,8574 2,8854 2,7085 2,3258 1,8327 1,3642 1,0322 0,8969 0,9633 1,1840 1,4652 1,6912 1,7712 1,6844 1,4868 1,2729 1,1326 1,1313 1,2937 1,5852 1,9259 2,2289 2,4214 2,4531 2,3125 2,0331 1,6729 1,2835 0,8867 0,4777 0,0630 -0,3090 -0,5692 -0,6770 -0,6356 -0,4681 -0,2032 0,1159 0,4283 0,6639 0,7593 0,6927 0,5229 0,3649 0,3042 0,3404 0,4039 0,4178 0,3538 0,2496 0,1778 0,1981 0,3338 0,5746 0,8882 1,2391 1,6064 1,9748 2,3234 2,6366 2,9177 3,1724 3,3776 3,4753 3,4123 3,1937 2,8883 2,5771 2,3048 2,0791 1,8963 1,7631 1,7046 1,7614 1,9747 2,3445 2,7936 3,1967 3,4571 3,5538 3,5262 3,4206 3,2549 3,0231 2,7196 2,3653 2,0213 1,7706 1,6848 1,7994 2,0993 2,5151 2,9375 3,2483 3,3577 3,2387 2,9491 2,6065 2,3252 2,1699 2,1553 2,2644 2,4568 2,6756 2,8684 3,0039 3,0759 3,1002 3,0939 3,0535 2,9688 2,8498 2,7206 2,5970 2,4771 2,3500 2,2124 2,0721 1,9256 1,7466 1,5131 1,2462 1,0177 0,9021 0,9109 0,9910 1,0877 1,1891 1,3106 1,4643 1,6543 1,8875 2,1605 2,4420 2,6779 2,8013 2,7340 2,4204 1,8892 1,2702 0,7261 0,3544 0,1471 0,0238 -0,1088 -0,3081 -0,5768 -0,8831 -1,1867 -1,4368 -1,5660 -1,5212 -1,3095 -0,9959 -0,6465 -0,2870 0,0753 0,4042 0,6221 0,6373 0,3835 -0,1384 -0,8309 -1,5162 -2,0153 -2,2360 -2,1958 -1,9798 -1,6856 -1,3758 -1,0523 -0,6757 -0,2197 0,3027 0,8601 1,4260 1,9707 2,4407 2,7606 2,8745 2,7894 2,5650 2,2654 1,9306 1,5853 1,2687 1,0441 0,9575 0,9933 1,0878 1,1836 1,2596 1,3145 1,3406 1,3304 1,3105 1,3577 1,5480 1,8801 2,2721 2,6292 2,8768 2,9557 2,8447 2,5960 2,3190 2,1216 2,0647 2,1441 2,2963 2,4354 2,4936 2,4392 2,2771 2,0465 1,8152 1,6607 1,6332 1,7172 1,8304 1,8661 1,7387 1,4074 0,8901 0,2697 -0,3310 -0,7932 -1,0329 -1,0164 -0,7635 -0,3360 0,1701 0,6345 0,9590 1,1296 1,2118 1,2802 1,3615 1,4305 1,4472 1,4090 1,3619 1,3433 1,3314 1,2658 1,1081 0,8770 0,6204 0,3644 0,1086 -0,1394 -0,3528 -0,5052 -0,5843 -0,5915 -0,5415 -0,4607 -0,3716 -0,2821 -0,1896 -0,0825 0,0690 0,2925 0,5625 0,7866 0,8686 0,7859 0,6038 0,4162 0,2649 0,1129 -0,0987 -0,3797 -0,6873 -0,9780 -1,2323 -1,4273 -1,5137 -1,4305 -1,1352 -0,6309 0,0102 0,6637 1,2195 1,6360 1,9262 2,1064 2,1783 2,1499 2,0364 1,8286 1,4960 1,0344 0,4920 -0,0609 -0,5621 -0,9531 -1,1812 -1,2245 -1,0957 -0,8250 -0,4564 -0,0496 0,3234 0,6015 0,7698 0,8562 0,8813 0,8352 0,7118 0,5473 0,4015 0,3071 0,2625 0,2706 0,3542 0,5349 0,8145 1,1644 1,5133 1,7619 1,8400 1,7587 1,5903 1,3884 1,1587 0,9144 0,7184 0,6407 0,6917 0,8213 0,9666 1,0810 1,1354 1,1165 1,0282 0,8951 0,7679 0,7117 0,7777 0,9820 1,2924 1,6286 1,8975 2,0361 2,0201 1,8536 1,5612 1,1871 0,7941 0,4524 0,2136 0,0890 0,0514 0,0558 0,0687 0,0880 0,1365 0,2265 0,3325 0,4011 0,3865 0,2832 0,1279 -0,0379 -0,1982 -0,3498 -0,4695 -0,5114 -0,4441 -0,2871 -0,1072 0,0238 0,0731 0,0585 0,0234 -0,0003 -0,0113 -0,0293 -0,0822 -0,2071 -0,4378 -0,7723 -1,1576 -1,5011 -1,6990 -1,6787 -1,4337 -1,0207 -0,5318 -0,0658 0,3036 0,5486 0,6727 0,6740 0,5427 0,2865 -0,0650 -0,4716 -0,8816 -1,2379 -1,5074 -1,7047 -1,8674 -2,0088 -2,1159 -2,1839 -2,2203 -2,2161 -2,1434 -1,9913 -1,7843 -1,5517 -1,2982 -1,0227 -0,7589 -0,5723 -0,5169 -0,6008 -0,7835 -0,9912 -1,1468 -1,2070 -1,1845 -1,1310 -1,0899 -1,0563 -0,9876 -0,8525 -0,6661 -0,4775 -0,3283 -0,2269 -0,1561 -0,0916 0,0006 0,1619 0,3956 0,6315 0,7673 0,7422 0,5685 0,3082 0,0348 -0,1979 -0,3731 -0,5033 -0,6125 -0,7274 -0,8650 -1,0047 -1,0836 -1,0314 -0,8176 -0,4779 -0,0954 0,2554 0,5473 0,7828 0,9490 1,0065 0,9206 0,6894 0,3568 0,0198 -0,1960 -0,2045 -0,0150 0,2772 0,5541 0,7395 0,8175 0,8112 0,7681 0,7529 0,8183 0,9652 1,1348 1,2439 1,2309 1,0710 0,7765 0,4046 0,0594 -0,1445 -0,1468 0,0271 0,3064 0,6280 0,9519 1,2505 1,4952 1,6532 1,7016 1,6438 1,5123 1,3601 1,2393 1,1776 1,1720 1,1987
F7    -0,0708 0,2298 0,6105 0,9677 1,2283 1,3637 1,3804 1,3060 1,1757 1,0196 0,8442 0,6098 0,2514 -0,2494 -0,8185 -1,3262 -1,6593 -1,7659 -1,6606 -1,4039 -1,0702 -0,7148 -0,3573 0,0044 0,3673 0,7157 1,0239 1,2468 1,3235 1,2047 0,8863 0,4202 -0,1129 -0,6327 -1,0698 -1,3733 -1,5216 -1,5145 -1,3629 -1,0978 -0,7730 -0,4431 -0,1448 0,1040 0,2984 0,4396 0,5296 0,5641 0,5424 0,4854 0,4304 0,4010 0,3933 0,3929 0,3947 0,4018 0,4203 0,4601 0,5281 0,6210 0,7324 0,8545 0,9704 1,0500 1,0659 1,0238 0,9697 0,9594 1,0294 1,1846 1,3985 1,6297 1,8478 2,0447 2,2136 2,3218 2,3285 2,2202 2,0120 1,7343 1,4347 1,1715 1,0013 0,9752 1,1376 1,5119 2,0664 2,6886 3,2180 3,5190 3,5325 3,2834 2,8537 2,3411 1,8349 1,4106 1,1282 1,0164 1,0457 1,1370 1,2143 1,2430 1,2295 1,2214 1,2862 1,4499 1,6648 1,8643 2,0277 2,1647 2,2583 2,2652 2,1673 1,9862 1,7568 1,5199 1,3293 1,2348 1,2476 1,3220 1,3618 1,2688 1,0199 0,6914 0,3983 0,2131 0,1334 0,1201 0,1586 0,2699 0,4596 0,6753 0,8352 0,8894 0,8400 0,7248 0,5895 0,4522 0,2940 0,0908 -0,1486 -0,3890 -0,6028 -0,7694 -0,8522 -0,8075 -0,6114 -0,2719 0,1836 0,7271 1,3326 1,9672 2,5829 3,1291 3,5772 3,9200 4,1371 4,1872 4,0490 3,7581 3,3995 3,0631 2,7976 2,5986 2,4371 2,2972 2,1865 2,1144 2,0709 2,0296 1,9694 1,8986 1,8678 1,9496 2,1750 2,4941 2,8241 3,1214 3,3690 3,5037 3,4204 3,0782 2,5717 2,0787 1,7430 1,6125 1,6656 1,8560 2,1352 2,4752 2,8690 3,2899 3,6596 3,8628 3,8152 3,5386 3,1684 2,8831 2,8106 2,9567 3,2008 3,3718 3,3501 3,1230 2,7738 2,4202 2,1385 1,9258 1,7406 1,5668 1,4086 1,2505 1,0699 0,8765 0,7087 0,6045 0,5907 0,6859 0,8867 1,1445 1,3887 1,5922 1,7810 1,9620 2,0884 2,1110 2,0299 1,8748 1,6580 1,3686 1,0085 0,6092 0,2101 -0,1635 -0,4959 -0,7586 -0,8918 -0,8190 -0,5127 -0,0530 0,4019 0,7072 0,7900 0,6523 0,3569 -0,0006 -0,3290 -0,5596 -0,6481 -0,5816 -0,3924 -0,1566 0,0390 0,1328 0,0926 -0,0960 -0,4250 -0,8555 -1,3199 -1,7351 -2,0330 -2,1975 -2,2519 -2,2112 -2,0729 -1,8472 -1,5737 -1,3074 -1,0809 -0,8811 -0,6749 -0,4497 -0,2183 0,0046 0,2195 0,4310 0,6258 0,7762 0,8647 0,8869 0,8397 0,7361 0,6228 0,5591 0,5830 0,7028 0,9032 1,1431 1,3545 1,4657 1,4388 1,2849 1,0444 0,7575 0,4496 0,1503 -0,0872 -0,2119 -0,2167 -0,1398 -0,0297 0,0905 0,2318 0,4207 0,6797 1,0112 1,3863 1,7571 2,0798 2,3214 2,4527 2,4467 2,2860 1,9740 1,5409 1,0369 0,5178 0,0388 -0,3483 -0,6032 -0,7054 -0,6622 -0,5213 -0,3575 -0,2240 -0,1193 -0,0070 0,1399 0,3116 0,4658 0,5563 0,5590 0,4882 0,4048 0,3902 0,4862 0,6682 0,8855 1,1116 1,3383 1,5352 1,6413 1,5996 1,3950 1,0680 0,6977 0,3578 0,0852 -0,1192 -0,2749 -0,4131 -0,5661 -0,7434 -0,9234 -1,0816 -1,2142 -1,3207 -1,3815 -1,3630 -1,2211 -0,9183 -0,4858 -0,0559 0,2246 0,3194 0,3147 0,3237 0,4035 0,5405 0,6737 0,7252 0,6410 0,4261 0,1343 -0,1689 -0,4268 -0,5970 -0,6546 -0,5942 -0,4357 -0,2240 -0,0008 0,2363 0,5327 0,9094 1,3063 1,6168 1,7689 1,7512 1,5883 1,3197 0,9954 0,6716 0,3966 0,1873 0,0322 -0,0724 -0,1134 -0,0904 -0,0340 0,0119 0,0270 0,0226 0,0056 -0,0397 -0,1161 -0,1869 -0,2125 -0,1974 -0,1766 -0,1756 -0,2075 -0,2781 -0,3651 -0,4176 -0,3896 -0,2466 0,0460 0,4909 1,0107 1,4769 1,7999 1,9583 1,9545 1,7859 1,4578 1,0109 0,5294 0,1097 -0,1780 -0,3039 -0,2837 -0,1720 -0,0294 0,1073 0,2233 0,3182 0,4072 0,5104 0,6351 0,7768 0,9233 1,0442 1,0954 1,0481 0,9042 0,6787 0,3761 0,0011 -0,4056 -0,7630 -0,9935 -1,0639 -0,9817 -0,7696 -0,4556 -0,0795 0,3081 0,6601 0,9472 1,1482 1,2213 1,1090 0,7936 0,3369 -0,1461 -0,5361 -0,7449 -0,7441 -0,5803 -0,3559 -0,1797 -0,1109 -0,1331 -0,1818 -0,2067 -0,2148 -0,2542 -0,3641 -0,5374 -0,7057 -0,7586 -0,6031 -0,2288 0,2645 0,7091 0,9724 1,0273 0,9256 0,7202 0,4364 0,1050 -0,2203 -0,4963 -0,7198 -0,9168 -1,1067 -1,2774 -1,3941 -1,4295 -1,3850 -1,2933 -1,1919 -1,0894 -0,9689 -0,8048 -0,5633 -0,2255 0,1680 0,5230 0,7497 0,8084 0,7153 0,5224 0,2873 0,0517 -0,1671 -0,3667 -0,5286 -0,6015 -0,5227 -0,2672 0,1116 0,4959 0,7726 0,8940 0,8884 0,8266 0,7700 0,7439 0,7559 0,8272 0,9885 1,2481 1,5716 1,8850 2,1000 2,1539 2,0361 1,7824 1,4392 1,0412 0,6273 0,2549 -0,0239 -0,1809 -0,2061 -0,1181 0,0112 0,0771 0,0064 -0,1997 -0,4866 -0,7915 -1,0544 -1,2027 -1,1709 -0,9467 -0,5766 -0,1282 0,3285 0,7204 1,0002 1,1818 1,3242 1,4765 1,6370 1,7447 1,7146 1,5000 1,1270 0,6723 0,2272 -0,1231 -0,3150 -0,3276 -0,1925 0,0242 0,2463 0,4098 0,4896 0,5030 0,4767 0,4235 0,3609 0,3353 0,4067 0,6066 0,9244 1,3345 1,8113 2,3107 2,7591 3,0667 3,1413 2,9121 2,3738 1,6056 0,7456 -0,0478
