Fp1   -1,4955 -1,1087 -0,7441 -0,4469 -0,2763 -0,2613 -0,3648 -0,5076 -0,6330 -0,7351 -0,8405 -0,9737 -1,1306 -1,2962 -1,4737 -1,6735 -1,8916 -2,1069 -2,2906 -2,4272 -2,5177 -2,5507 -2,4949 -2,3272 -2,0574 -1,7310 -1,4103 -1,1437 -0,9509 -0,8344 -0,7982 -0,8475 -0,9671 -1,1125 -1,2281 -1,2839 -1,3019 -1,3475 -1,4927 -1,7739 -2,1672 -2,6047 -3,0189 -3,3671 -3,6366 -3,8444 -4,0233 -4,1939 -4,3524 -4,4849 -4,5963 -4,7198 -4,8829 -5,0583 -5,1732 -5,1683 -5,0338 -4,7959 -4,4907 -4,1544 -3,8312 -3,5690 -3,3832 -3,2342 -3,0571 -2,8081 -2,4939 -2,1760 -1,9376 -1,8313 -1,8525 -1,9614 -2,1238 -2,3206 -2,5232 -2,6744 -2,7021 -2,5558 -2,2430 -1,8341 -1,4203 -1,0644 -0,7932 -0,6324 -0,6331 -0,8301 -1,1652 -1,4950 -1,6981 -1,7638 -1,7763 -1,8247 -1,9256 -2,0181 -2,0300 -1,9519 -1,8480 -1,8066 -1,8973 -2,1587 -2,5953 -3,1843 -3,8896 -4,6668 -5,4712 -6,2701 -7,0368 -7,7511 -8,4199 -9,0767 -9,7406 -10,3778 -10,9186 -11,3017 -11,4852 -11,4425 -11,1832 -10,7725 -10,3140 -9,9027 -9,5782 -9,3144 -9,0448 -8,6920 -8,1906 -7,5117 -6,6769 -5,7516 -4,7949 -3,8116 -2,7881 -1,7742 -0,8800 -0,1922 0,2765 0,5665 0,7376 0,8621 1,0142 1,2327 1,5019 1,7883 2,0783 2,3611 2,5955 2,7276 2,7452 2,6875 2,6016 2,5186 2,4574 2,4191 2,4026 2,4364 2,5589 2,7674 3,0143 3,2529 3,4792 3,7182 3,9736 4,2108 4,3906 4,5088 4,5978 4,6926 4,8037 4,9184 5,0116 5,0506 5,0154 4,9211 4,8192 4,7803 4,8750 5,1449 5,5631 6,0233 6,3891 6,5647 6,5369 6,3643 6,1264 5,8856 5,6749 5,4886 5,2903 5,0410 4,7130 4,2932 3,7967 3,2665 2,7422 2,2405 1,7701 1,3491 0,9979 0,7318 0,5718 0,5478 0,6685 0,8929 1,1466 1,3765 1,5846 1,8020 2,0353 2,2469 2,3753 2,3664 2,2014 1,9224 1,6234 1,3866 1,2259 1,0931 0,9181 0,6464 0,2702 -0,1589 -0,5508 -0,8320 -0,9916 -1,0704 -1,1208 -1,1929 -1,3389 -1,5903 -1,9271 -2,2935 -2,6336 -2,9062 -3,0998 -3,2378 -3,3497 -3,4362 -3,4725 -3,4423 -3,3627 -3,2841 -3,2739 -3,3770 -3,5664 -3,7447 -3,8096 -3,7120 -3,4629 -3,1125 -2,7353 -2,4171 -2,2311 -2,2179 -2,3842 -2,7020 -3,1177 -3,5821 -4,0657 -4,5321 -4,9292 -5,2243 -5,4129 -5,4817 -5,4075 -5,2008 -4,9157 -4,6134 -4,3245 -4,0396 -3,7259 -3,3520 -2,9064 -2,3971 -1,8456 -1,2932 -0,7964 -0,3976 -0,1156 0,0424 0,0957 0,1019 0,1185 0,1558 0,1766 0,1332 -0,0050 -0,2443 -0,5598 -0,8933 -1,1870 -1,4228 -1,6149 -1,7694 -1,8633 -1,8587 -1,7306 -1,4887 -1,1941 -0,9470 -0,8363 -0,8927 -1,0820 -1,3337 -1,5840 -1,8003 -1,9761 -2,1129 -2,2028 -2,2169 -2,1074 -1,8363 -1,4110 -0,8853 -0,3281 0,2104 0,7072 1,1517 1,5430 1,8935 2,2080 2,4608 2,6135 2,6531 2,6042 2,5112 2,4085 2,3006 2,1689 1,9957 1,7773 1,5317 1,3022 1,1370 1,0540 1,0237 0,9981 0,9718 0,9914 1,1038 1,3140 1,5856 1,8703 2,1413 2,3970 2,6337 2,8294 2,9420 2,9297 2,7910 2,5673 2,2976 2,0142 1,7826 1,6844 1,7416 1,8993 2,0773 2,1989 2,2024 2,0739 1,8548 1,6030 1,3695 1,1904 1,0663 0,9682 0,8778 0,8019 0,7477 0,7028 0,6487 0,5935 0,5838 0,6694 0,8563 1,1033 1,3507 1,5413 1,6360 1,6256 1,5260 1,3510 1,0936 0,7435 0,3237 -0,1072 -0,4873 -0,7740 -0,9381 -0,9527 -0,7998 -0,4966 -0,1111 0,2663 0,5700 0,7763 0,8952 0,9647 1,0359 1,1342 1,2365 1,2975 1,2811 1,1663 0,9480 0,6402 0,2810 -0,0650 -0,3182 -0,4238 -0,3953 -0,3045 -0,2083 -0,0980 0,0728 0,3289 0,6505 0,9898 1,2975 1,5441 1,7233 1,8359 1,8770 1,8400 1,7284 1,5547 1,3352 1,0885 0,8311 0,5677 0,2847 -0,0424 -0,4248 -0,8312 -1,1718 -1,3270 -1,2147 -0,8330 -0,2578 0,3819 0,9521 1,3675 1,6035 1,6735 1,6110 1,4652 1,2956 1,1509 1,0348 0,9111 0,7602 0,6095 0,5015 0,4517 0,4369 0,4084 0,3199 0,1629 -0,0155 -0,1467 -0,1873 -0,1119 0,1146 0,5141 1,0445 1,6004 2,0801 2,4442 2,7027 2,8606 2,8926 2,7816 2,5638 2,3086 2,0756 1,8978 1,7701 1,6527 1,5124 1,3517 1,1821 0,9911 0,7410 0,3807 -0,1344 -0,8220 -1,6715 -2,6455 -3,6800 -4,7040 -5,6673 -6,5434 -7,3133 -7,9518 -8,4255 -8,7015 -8,7569 -8,5910 -8,2452 -7,8059 -7,3608 -6,9354 -6,4834 -5,9493 -5,3273 -4,6645 -4,0230 -3,4304 -2,8586 -2,2533 -1,5698 -0,7828 0,1048 1,0360 1,9051 2,6070 3,0803 3,3307 3,4290 3,4605 3,4718 3,4773 3,4832 3,4799 3,4210 3,2390 2,8965 2,4144 1,8468 1,2443 0,6442 0,0740 -0,4491 -0,9164 -1,3194 -1,6410 -1,8555 -1,9481 -1,9253 -1,8042 -1,6100 -1,3817 -1,1630 -0,9920 -0,8920 -0,8455 -0,7796 -0,6108 -0,3094 0,0886 0,5230 0,9385 1,2767 1,4758 1,5010 1,3607 1,0922 0,7494 0,3853 0,0290 -0,3200 -0,6873 -1,0979 -1,5324 -1,9295 -2,2389 -2,4498 -2,5751 -2,6306 -2,6325 -2,6158 -2,6422 -2,7740 -3,0396 -3,4327 -3,9341 -4,5184 -5,1427 -5,7407 -6,2339 -6,5586 -6,6927 -6,6660 -6,5413 -6,3705 -6,1619 -5,8884 -5,5253 -5,0867 -4,6380 -4,2780 -4,0931 -4,1024 -4,2403 -4,3945 -4,4705 -4,4431 -4,3574 -4,2793 -4,2481 -4,2750
Fz    0,8856 1,0446 1,0981 1,0340 0,8450 0,5517 0,2186 -0,0709 -0,2631 -0,3508 -0,3560 -0,3032 -0,2054 -0,0774 0,0517 0,1527 0,2114 0,2335 0,2396 0,2473 0,2653 0,3105 0,4130 0,5974 0,8658 1,1975 1,5620 1,9337 2,2945 2,6275 2,9106 3,1181 3,2338 3,2595 3,2108 3,1029 2,9356 2,6933 2,3660 1,9701 1,5506 1,1632 0,8565 0,6663 0,6098 0,6737 0,8189 1,0008 1,1839 1,3379 1,4301 1,4264 1,3095 1,0997 0,8524 0,6251 0,4492 0,3240 0,2336 0,1675 0,1218 0,0872 0,0575 0,0462 0,0814 0,1878 0,3714 0,6103 0,8668 1,1128 1,3418 1,5559 1,7482 1,9013 2,0025 2,0582 2,0926 2,1343 2,1968 2,2678 2,3165 2,3147 2,2487 2,1081 1,8739 1,5398 1,1469 0,7744 0,4874 0,2969 0,1684 0,0645 -0,0151 -0,0328 0,0466 0,2148 0,4172 0,5848 0,6623 0,6215 0,4661 0,2185 -0,1025 -0,4888 -0,9365 -1,4359 -1,9649 -2,5028 -3,0538 -3,6456 -4,2966 -4,9866 -5,6651 -6,2775 -6,7765 -7,1297 -7,3343 -7,4193 -7,4323 -7,4171 -7,3859 -7,3101 -7,1391 -6,8258 -6,3467 -5,7108 -4,9543 -4,1266 -3,2694 -2,4005 -1,5322 -0,7051 0,0161 0,5840 0,9932 1,2727 1,4675 1,6333 1,8282 2,0879 2,4094 2,7687 3,1416 3,5028 3,8199 4,0667 4,2405 4,3607 4,4558 4,5531 4,6685 4,7978 4,9315 5,0778 5,2510 5,4479 5,6487 5,8378 6,0169 6,1935 6,3580 6,4851 6,5598 6,5983 6,6393 6,7207 6,8633 7,0653 7,3050 7,5500 7,7748 7,9749 8,1684 8,3864 8,6570 8,9873 9,3483 9,6795 9,9172 10,0235 9,9997 9,8806 9,7091 9,5157 9,3149 9,1037 8,8689 8,6042 8,3081 7,9732 7,5959 7,1907 6,7838 6,3978 6,0499 5,7556 5,5254 5,3655 5,2855 5,2934 5,3719 5,4699 5,5259 5,5036 5,4071 5,2621 5,0886 4,8893 4,6499 4,3481 3,9747 3,5562 3,1472 2,7927 2,5042 2,2680 2,0639 1,8798 1,7256 1,6362 1,6544 1,7998 2,0509 2,3634 2,6965 3,0084 3,2405 3,3362 3,2778 3,0893 2,8158 2,5088 2,2077 1,9240 1,6505 1,3850 1,1398 0,9332 0,7759 0,6625 0,5730 0,4895 0,4189 0,3935 0,4429 0,5691 0,7463 0,9396 1,1175 1,2534 1,3242 1,3137 1,2144 1,0307 0,7790 0,4788 0,1490 -0,1814 -0,4755 -0,7067 -0,8591 -0,9120 -0,8507 -0,6900 -0,4676 -0,2148 0,0591 0,3621 0,7060 1,0975 1,5314 1,9939 2,4681 2,9321 3,3592 3,7266 4,0187 4,2267 4,3619 4,4590 4,5513 4,6442 4,7123 4,7197 4,6428 4,4826 4,2660 4,0352 3,8219 3,6307 3,4541 3,2988 3,1931 3,1706 3,2488 3,4177 3,6382 3,8579 4,0364 4,1540 4,2064 4,2035 4,1684 4,1277 4,0981 4,0819 4,0716 4,0607 4,0562 4,0760 4,1304 4,2103 4,2946 4,3684 4,4326 4,4967 4,5731 4,6749 4,8009 4,9244 5,0087 5,0314 4,9984 4,9368 4,8731 4,8116 4,7340 4,6212 4,4720 4,3103 4,1785 4,1160 4,1367 4,2213 4,3351 4,4642 4,6290 4,8584 5,1581 5,5013 5,8483 6,1759 6,4851 6,7781 7,0389 7,2335 7,3300 7,3251 7,2435 7,1135 6,9666 6,8539 6,8305 6,9149 7,0825 7,2932 7,5051 7,6767 7,7808 7,8097 7,7654 7,6626 7,5260 7,3676 7,1785 6,9502 6,6885 6,4064 6,1126 5,8114 5,5131 5,2428 5,0308 4,8939 4,8332 4,8434 4,9095 4,9978 5,0643 5,0777 5,0260 4,9025 4,7008 4,4264 4,1026 3,7614 3,4369 3,1657 2,9844 2,9166 2,9555 3,0589 3,1743 3,2697 3,3378 3,3843 3,4237 3,4751 3,5422 3,6031 3,6284 3,5991 3,5007 3,3195 3,0509 2,7135 2,3576 2,0553 1,8633 1,7888 1,7946 1,8414 1,9179 2,0342 2,2014 2,4207 2,6825 2,9718 3,2764 3,5893 3,9035 4,2047 4,4716 4,6825 4,8208 4,8807 4,8696 4,8011 4,6837 4,5163 4,2908 4,0060 3,6846 3,3828 3,1780 3,1333 3,2675 3,5469 3,8995 4,2461 4,5318 4,7333 4,8504 4,8968 4,8899 4,8456 4,7741 4,6723 4,5306 4,3534 4,1594 3,9603 3,7504 3,5180 3,2610 2,9951 2,7510 2,5689 2,4773 2,4741 2,5402 2,6699 2,8673 3,1140 3,3577 3,5491 3,6793 3,7714 3,8396 3,8657 3,8217 3,7116 3,5735 3,4501 3,3644 3,3102 3,2558 3,1685 3,0370 2,8611 2,6318 2,3271 1,9183 1,3840 0,7236 -0,0423 -0,8805 -1,7523 -2,6226 -3,4634 -4,2471 -4,9423 -5,5160 -5,9411 -6,2030 -6,3016 -6,2505 -6,0794 -5,8289 -5,5294 -5,1805 -4,7620 -4,2709 -3,7383 -3,2136 -2,7354 -2,3077 -1,8989 -1,4660 -0,9768 -0,4165 0,2082 0,8622 1,4869 2,0230 2,4333 2,7193 2,9202 3,0834 3,2350 3,3815 3,5202 3,6353 3,6904 3,6445 3,4788 3,2065 2,8587 2,4711 2,0784 1,7064 1,3656 1,0565 0,7783 0,5347 0,3369 0,1975 0,1254 0,1257 0,1950 0,3169 0,4682 0,6256 0,7696 0,8995 1,0466 1,2569 1,5519 1,9081 2,2745 2,6009 2,8422 2,9607 2,9416 2,7974 2,5539 2,2404 1,8827 1,4934 1,0716 0,6065 0,0927 -0,4486 -0,9757 -1,4561 -1,8770 -2,2378 -2,5382 -2,7749 -2,9527 -3,0949 -3,2330 -3,3896 -3,5745 -3,7902 -4,0356 -4,3072 -4,5946 -4,8727 -5,1050 -5,2607 -5,3355 -5,3558 -5,3540 -5,3382 -5,2937 -5,2101 -5,1047 -5,0244 -5,0276 -5,1537 -5,3934 -5,6841 -5,9392 -6,0936 -6,1326 -6,0866 -5,9987 -5,8968 -5,7921
F3    -1,1995 -0,8696 -0,6270 -0,5134 -0,5652 -0,7818 -1,1045 -1,4430 -1,7279 -1,9303 -2,0492 -2,0901 -2,0536 -1,9509 -1,8149 -1,6812 -1,5711 -1,4897 -1,4282 -1,3762 -1,3283 -1,2701 -1,1732 -1,0136 -0,7908 -0,5303 -0,2674 -0,0259 0,1863 0,3646 0,4954 0,5610 0,5586 0,5049 0,4218 0,3177 0,1816 -0,0048 -0,2496 -0,5408 -0,8479 -1,1336 -1,3643 -1,5125 -1,5641 -1,5315 -1,4509 -1,3624 -1,2971 -1,2801 -1,3362 -1,4852 -1,7242 -2,0107 -2,2776 -2,4715 -2,5796 -2,6251 -2,6424 -2,6522 -2,6619 -2,6752 -2,6830 -2,6514 -2,5389 -2,3222 -2,0106 -1,6444 -1,2733 -0,9317 -0,6346 -0,3941 -0,2294 -0,1590 -0,1833 -0,2727 -0,3717 -0,4224 -0,3961 -0,3102 -0,2126 -0,1476 -0,1371 -0,1942 -0,3388 -0,5796 -0,8797 -1,1624 -1,3618 -1,4647 -1,5034 -1,5135 -1,4952 -1,4156 -1,2509 -1,0264 -0,8124 -0,6861 -0,7003 -0,8740 -1,1940 -1,6307 -2,1551 -2,7419 -3,3675 -4,0093 -4,6387 -5,2319 -5,7941 -6,3632 -6,9752 -7,6238 -8,2618 -8,8280 -9,2637 -9,5279 -9,6219 -9,5914 -9,5024 -9,4107 -9,3341 -9,2430 -9,0795 -8,7855 -8,3258 -7,7033 -6,9556 -6,1381 -5,2968 -4,4463 -3,5891 -2,7572 -2,0106 -1,3949 -0,9175 -0,5635 -0,3128 -0,1330 0,0273 0,2126 0,4349 0,6839 0,9456 1,1973 1,4038 1,5372 1,5976 1,6084 1,6002 1,6051 1,6503 1,7437 1,8840 2,0824 2,3511 2,6766 3,0213 3,3475 3,6355 3,8771 4,0599 4,1691 4,2066 4,2013 4,1982 4,2392 4,3470 4,5152 4,7118 4,8956 5,0393 5,1431 5,2322 5,3464 5,5230 5,7766 6,0819 6,3796 6,6088 6,7358 6,7644 6,7253 6,6490 6,5504 6,4323 6,2872 6,1029 5,8753 5,6047 5,2833 4,9024 4,4696 4,0084 3,5493 3,1255 2,7666 2,4878 2,2930 2,1926 2,1989 2,2974 2,4363 2,5510 2,6031 2,5967 2,5592 2,5085 2,4383 2,3229 2,1332 1,8619 1,5417 1,2323 0,9783 0,7847 0,6314 0,4943 0,3589 0,2315 0,1434 0,1370 0,2323 0,4041 0,5990 0,7681 0,8696 0,8552 0,6843 0,3601 -0,0688 -0,5322 -0,9600 -1,3080 -1,5713 -1,7661 -1,9008 -1,9697 -1,9690 -1,9124 -1,8345 -1,7818 -1,7874 -1,8423 -1,8994 -1,9142 -1,8759 -1,8010 -1,7110 -1,6273 -1,5793 -1,5999 -1,7134 -1,9309 -2,2450 -2,6239 -3,0251 -3,4098 -3,7380 -3,9696 -4,0851 -4,0901 -3,9941 -3,8074 -3,5566 -3,2810 -3,0097 -2,7502 -2,4903 -2,2082 -1,8836 -1,5095 -1,0910 -0,6409 -0,1855 0,2332 0,5784 0,8334 0,9998 1,1005 1,1779 1,2694 1,3811 1,4870 1,5488 1,5364 1,4398 1,2766 1,0870 0,9087 0,7564 0,6293 0,5352 0,5002 0,5539 0,7073 0,9418 1,2091 1,4466 1,6043 1,6542 1,5909 1,4336 1,2188 0,9847 0,7618 0,5724 0,4340 0,3613 0,3700 0,4724 0,6658 0,9264 1,2193 1,5168 1,8058 2,0797 2,3381 2,5888 2,8304 3,0356 3,1664 3,2074 3,1803 3,1285 3,0868 3,0577 3,0178 2,9420 2,8223 2,6788 2,5565 2,5003 2,5239 2,6011 2,6909 2,7779 2,8844 3,0429 3,2648 3,5329 3,8174 4,1017 4,3855 4,6594 4,8904 5,0310 5,0443 4,9345 4,7468 4,5319 4,3327 4,2000 4,1809 4,2779 4,4445 4,6194 4,7478 4,7864 4,7177 4,5520 4,3162 4,0538 3,8176 3,6360 3,4944 3,3581 3,1999 3,0102 2,7940 2,5678 2,3601 2,2085 2,1401 2,1542 2,2281 2,3357 2,4511 2,5458 2,5962 2,5955 2,5453 2,4345 2,2420 1,9648 1,6296 1,2766 0,9466 0,6804 0,5167 0,4792 0,5590 0,7120 0,8858 1,0489 1,1928 1,3167 1,4267 1,5395 1,6632 1,7789 1,8555 1,8687 1,7990 1,6289 1,3542 1,0000 0,6247 0,3054 0,0991 0,0060 -0,0218 -0,0287 -0,0188 0,0361 0,1649 0,3737 0,6418 0,9363 1,2294 1,5033 1,7433 1,9317 2,0501 2,0848 2,0290 1,8862 1,6736 1,4166 1,1380 0,8473 0,5395 0,2116 -0,1138 -0,3763 -0,4988 -0,4307 -0,1746 0,2162 0,6567 1,0618 1,3745 1,5719 1,6604 1,6678 1,6294 1,5745 1,5151 1,4378 1,3162 1,1429 0,9371 0,7216 0,5020 0,2690 0,0145 -0,2568 -0,5222 -0,7393 -0,8626 -0,8682 -0,7505 -0,5005 -0,1160 0,3627 0,8461 1,2443 1,5193 1,6843 1,7653 1,7702 1,7015 1,5864 1,4730 1,4006 1,3806 1,3895 1,3790 1,3105 1,1792 0,9990 0,7757 0,4963 0,1333 -0,3402 -0,9315 -1,6232 -2,3789 -3,1537 -3,9104 -4,6265 -5,2874 -5,8792 -6,3844 -6,7841 -7,0656 -7,2272 -7,2755 -7,2283 -7,1143 -6,9520 -6,7265 -6,4021 -5,9639 -5,4395 -4,8822 -4,3416 -3,8381 -3,3557 -2,8603 -2,3217 -1,7229 -1,0686 -0,3943 0,2394 0,7692 1,1508 1,3826 1,5122 1,6020 1,6890 1,7839 1,8853 1,9791 2,0318 2,0045 1,8783 1,6612 1,3720 1,0293 0,6561 0,2812 -0,0669 -0,3641 -0,5928 -0,7429 -0,8131 -0,8141 -0,7630 -0,6685 -0,5337 -0,3707 -0,2025 -0,0548 0,0531 0,1221 0,1845 0,2883 0,4605 0,6867 0,9249 1,1289 1,2547 1,2691 1,1677 0,9732 0,7145 0,4183 0,1047 -0,2204 -0,5671 -0,9565 -1,4016 -1,8803 -2,3429 -2,7489 -3,0829 -3,3462 -3,5437 -3,6814 -3,7788 -3,8748 -4,0103 -4,2082 -4,4727 -4,7946 -5,1544 -5,5279 -5,8885 -6,2011 -6,4244 -6,5274 -6,5074 -6,3912 -6,2117 -5,9820 -5,6953 -5,3500 -4,9745 -4,6322 -4,4014 -4,3354 -4,4282 -4,6126 -4,7925 -4,8909 -4,8869 -4,8154 -4,7260 -4,6420 -4,5595
F7    -2,0590 -2,0092 -1,9980 -2,0539 -2,1871 -2,3761 -2,5763 -2,7392 -2,8302 -2,8372 -2,7692 -2,6405 -2,4614 -2,2534 -2,0544 -1,8950 -1,7854 -1,7270 -1,7194 -1,7606 -1,8423 -1,9396 -2,0115 -2,0187 -1,9421 -1,7918 -1,6017 -1,4105 -1,2455 -1,1213 -1,0485 -1,0338 -1,0665 -1,1101 -1,1245 -1,1049 -1,0927 -1,1401 -1,2721 -1,4792 -1,7268 -1,9729 -2,1837 -2,3358 -2,4155 -2,4243 -2,3839 -2,3274 -2,2853 -2,2763 -2,3077 -2,3812 -2,4914 -2,6159 -2,7164 -2,7586 -2,7298 -2,6358 -2,4911 -2,3144 -2,1267 -1,9458 -1,7791 -1,6206 -1,4575 -1,2801 -1,0897 -0,9018 -0,7407 -0,6250 -0,5607 -0,5427 -0,5589 -0,5970 -0,6477 -0,6997 -0,7362 -0,7401 -0,7034 -0,6264 -0,5117 -0,3636 -0,1950 -0,0302 0,1022 0,1842 0,2240 0,2572 0,3263 0,4505 0,6145 0,7897 0,9609 1,1270 1,2846 1,4171 1,4961 1,4950 1,3992 1,2088 0,9347 0,5898 0,1800 -0,2903 -0,8090 -1,3586 -1,9221 -2,4903 -3,0673 -3,6676 -4,2964 -4,9312 -5,5247 -6,0208 -6,3685 -6,5426 -6,5645 -6,4896 -6,3712 -6,2372 -6,0900 -5,9106 -5,6676 -5,3283 -4,8742 -4,3172 -3,6999 -3,0760 -2,4801 -1,9103 -1,3429 -0,7666 -0,1933 0,3606 0,8847 1,3699 1,8050 2,1839 2,5066 2,7722 2,9802 3,1435 3,2869 3,4246 3,5460 3,6300 3,6687 3,6710 3,6519 3,6298 3,6248 3,6496 3,7078 3,8023 3,9308 4,0769 4,2183 4,3421 4,4491 4,5427 4,6189 4,6721 4,7077 4,7445 4,8046 4,8983 5,0138 5,1240 5,2020 5,2310 5,2074 5,1452 5,0755 5,0360 5,0563 5,1409 5,2609 5,3680 5,4208 5,3983 5,3020 5,1512 4,9728 4,7934 4,6364 4,5149 4,4270 4,3605 4,2991 4,2271 4,1366 4,0276 3,9045 3,7740 3,6472 3,5379 3,4564 3,4100 3,4071 3,4535 3,5370 3,6245 3,6797 3,6876 3,6609 3,6212 3,5779 3,5262 3,4607 3,3776 3,2705 3,1386 2,9967 2,8610 2,7307 2,5912 2,4313 2,2508 2,0623 1,8912 1,7685 1,7123 1,7131 1,7415 1,7612 1,7334 1,6266 1,4366 1,1925 0,9403 0,7211 0,5580 0,4516 0,3841 0,3353 0,2958 0,2667 0,2457 0,2216 0,1798 0,1038 -0,0186 -0,1772 -0,3362 -0,4581 -0,5224 -0,5235 -0,4677 -0,3813 -0,3126 -0,3110 -0,4055 -0,6015 -0,8852 -1,2269 -1,5880 -1,9280 -2,2059 -2,3879 -2,4622 -2,4417 -2,3489 -2,2070 -2,0416 -1,8772 -1,7278 -1,5896 -1,4360 -1,2286 -0,9434 -0,5871 -0,1874 0,2270 0,6319 1,0064 1,3368 1,6165 1,8413 2,0140 2,1489 2,2610 2,3490 2,3980 2,3970 2,3516 2,2797 2,1995 2,1218 2,0485 1,9786 1,9199 1,8888 1,8996 1,9585 2,0684 2,2235 2,3950 2,5364 2,6083 2,5935 2,4967 2,3399 2,1522 1,9598 1,7839 1,6443 1,5574 1,5336 1,5799 1,6995 1,8854 2,1170 2,3633 2,5956 2,8000 2,9773 3,1404 3,3072 3,4827 3,6447 3,7564 3,7936 3,7602 3,6788 3,5729 3,4534 3,3177 3,1633 2,9999 2,8504 2,7433 2,6985 2,7126 2,7555 2,7892 2,7957 2,7853 2,7783 2,7843 2,7985 2,8153 2,8392 2,8724 2,9005 2,9019 2,8628 2,7826 2,6758 2,5658 2,4743 2,4245 2,4491 2,5712 2,7776 3,0240 3,2642 3,4605 3,5797 3,6014 3,5292 3,3886 3,2142 3,0368 2,8700 2,7092 2,5457 2,3798 2,2157 2,0519 1,8865 1,7341 1,6231 1,5717 1,5723 1,6048 1,6547 1,7133 1,7734 1,8324 1,8905 1,9391 1,9559 1,9176 1,8181 1,6728 1,5051 1,3363 1,1883 1,0891 1,0671 1,1317 1,2612 1,4176 1,5744 1,7229 1,8596 1,9805 2,0869 2,1820 2,2639 2,3258 2,3584 2,3489 2,2861 2,1686 2,0054 1,8163 1,6344 1,4942 1,4104 1,3748 1,3786 1,4274 1,5315 1,6897 1,8842 2,0891 2,2831 2,4602 2,6290 2,7986 2,9624 3,0927 3,1530 3,1170 2,9808 2,7626 2,4934 2,2055 1,9218 1,6534 1,4050 1,1821 0,9972 0,8728 0,8305 0,8745 0,9838 1,1186 1,2374 1,3110 1,3281 1,2956 1,2358 1,1766 1,1417 1,1407 1,1632 1,1847 1,1824 1,1446 1,0713 0,9733 0,8655 0,7565 0,6476 0,5405 0,4480 0,3910 0,3851 0,4416 0,5789 0,8137 1,1300 1,4678 1,7546 1,9498 2,0548 2,0911 2,0763 2,0213 1,9421 1,8612 1,7998 1,7698 1,7642 1,7574 1,7255 1,6618 1,5678 1,4402 1,2689 1,0394 0,7378 0,3607 -0,0831 -0,5754 -1,0914 -1,6049 -2,0939 -2,5446 -2,9520 -3,3150 -3,6295 -3,8863 -4,0703 -4,1642 -4,1577 -4,0543 -3,8641 -3,5913 -3,2352 -2,8021 -2,3113 -1,7917 -1,2721 -0,7673 -0,2714 0,2325 0,7586 1,3134 1,8909 2,4649 2,9907 3,4203 3,7178 3,8775 3,9323 3,9362 3,9351 3,9534 3,9964 4,0516 4,0872 4,0627 3,9542 3,7681 3,5266 3,2478 2,9432 2,6243 2,3054 2,0016 1,7329 1,5222 1,3840 1,3126 1,2848 1,2760 1,2677 1,2467 1,2072 1,1533 1,0932 1,0379 1,0098 1,0398 1,1458 1,3147 1,5092 1,6833 1,7933 1,8096 1,7331 1,5898 1,4125 1,2308 1,0691 0,9397 0,8361 0,7351 0,6110 0,4555 0,2804 0,1046 -0,0565 -0,1944 -0,3090 -0,4072 -0,5011 -0,6079 -0,7437 -0,9125 -1,1051 -1,3115 -1,5299 -1,7615 -1,9992 -2,2219 -2,4015 -2,5170 -2,5646 -2,5551 -2,5024 -2,4088 -2,2620 -2,0487 -1,7748 -1,4766 -1,2093 -1,0170 -0,9079 -0,8566 -0,8273 -0,7954 -0,7593 -0,7380 -0,7496 -0,7876 -0,8252
