Fp1   0,0179 -0,1868 -0,4731 -0,7630 -0,9820 -1,0888 -1,0796 -0,9792 -0,8291 -0,6701 -0,5254 -0,3952 -0,2625 -0,1067 0,0835 0,3045 0,5339 0,7261 0,8229 0,7810 0,5938 0,2942 -0,0579 -0,3982 -0,6770 -0,8697 -0,9800 -1,0389 -1,0905 -1,1629 -1,2516 -1,3278 -1,3523 -1,2857 -1,1013 -0,8007 -0,4167 -0,0050 0,3693 0,6519 0,8266 0,9232 0,9992 1,1157 1,3173 1,6161 1,9890 2,3891 2,7588 3,0438 3,2112 3,2631 3,2285 3,1460 3,0520 2,9671 2,8803 2,7522 2,5382 2,2146 1,8014 1,3659 0,9954 0,7557 0,6704 0,7220 0,8592 1,0125 1,1195 1,1452 1,0898 0,9899 0,9080 0,9103 1,0408 1,3050 1,6748 2,1047 2,5418 2,9312 3,2347 3,4546 3,6299 3,8050 4,0030 4,2174 4,4156 4,5552 4,5997 4,5224 4,3148 4,0017 3,6387 3,2875 2,9931 2,7715 2,6066 2,4557 2,2694 2,0140 1,6772 1,2620 0,7881 0,3002 -0,1384 -0,4728 -0,6847 -0,7988 -0,8653 -0,9351 -1,0350 -1,1507 -1,2280 -1,1948 -0,9925 -0,6093 -0,0908 0,4857 1,0485 1,5535 1,9908 2,3817 2,7688 3,1991 3,7056 4,2970 4,9631 5,6815 6,4165 7,1258 7,7754 8,3510 8,8561 9,3070 9,7225 10,1086 10,4469 10,7040 10,8511 10,8808 10,8151 10,6991 10,5845 10,5183 10,5351 10,6425 10,8111 10,9882 11,1212 11,1749 11,1387 11,0303 10,8903 10,7681 10,7041 10,7139 10,7799 10,8548 10,8770 10,7943 10,5900 10,2949 9,9765 9,7129 9,5637 9,5446 9,6201 9,7189 9,7645 9,6986 9,4884 9,1301 8,6523 8,1102 7,5620 7,0443 6,5657 6,1140 5,6667 5,2027 4,7147 4,2152 3,7339 3,3066 2,9555 2,6726 2,4245 2,1719 1,8858 1,5543 1,1841 0,8027 0,4563 0,1945 0,0476 0,0157 0,0687 0,1573 0,2344 0,2729 0,2731 0,2574 0,2644 0,3371 0,5013 0,7466 1,0256 1,2711 1,4198 1,4325 1,3081 1,0904 0,8606 0,7097 0,7018 0,8473 1,0957 1,3533 1,5233 1,5435 1,3997 1,1218 0,7719 0,4276 0,1543 -0,0164 -0,0900 -0,0988 -0,0877 -0,0955 -0,1361 -0,1902 -0,2144 -0,1591 0,0154 0,3256 0,7512 1,2354 1,7042 2,0907 2,3495 2,4646 2,4559 2,3815 2,3226 2,3474 2,4760 2,6745 2,8775 3,0172 3,0518 2,9877 2,8797 2,8061 2,8286 2,9627 3,1758 3,4098 3,6057 3,7259 3,7722 3,7862 3,8266 3,9387 4,1316 4,3799 4,6467 4,9042 5,1339 5,3235 5,4725 5,5964 5,7201 5,8660 6,0426 6,2362 6,4134 6,5345 6,5695 6,5150 6,4012 6,2825 6,2180 6,2607 6,4429 6,7547 7,1372 7,5059 7,7822 7,9115 7,8744 7,6936 7,4244 7,1308 6,8638 6,6546 6,5184 6,4572 6,4568 6,4850 6,5007 6,4735 6,4038 6,3268 6,2915 6,3282 6,4241 6,5287 6,5869 6,5682 6,4720 6,3167 6,1302 5,9506 5,8257 5,7953 5,8651 6,0016 6,1477 6,2512 6,2912 6,2887 6,2928 6,3600 6,5360 6,8361 7,2341 7,6714 8,0809 8,4085 8,6281 8,7454 8,7892 8,7969 8,7989 8,8062 8,8045 8,7633 8,6571 8,4837 8,2668 8,0410 7,8355 7,6695 7,5543 7,4927 7,4775 7,4909 7,5054 7,4895 7,4213 7,3039 7,1633 7,0323 6,9346 6,8769 6,8439 6,8026 6,7180 6,5676 6,3488 6,0830 5,8143 5,5914 5,4428 5,3681 5,3484 5,3581 5,3711 5,3711 5,3631 5,3762 5,4521 5,6326 5,9456 6,3897 6,9252 7,4840 7,9944 8,4046 8,6923 8,8638 8,9480 8,9859 9,0155 9,0543 9,0875 9,0728 8,9637 8,7393 8,4235 8,0805 7,7885 7,6125 7,5877 7,7061 7,9171 8,1501 8,3457 8,4660 8,4922 8,4254 8,2897 8,1256 7,9724 7,8491 7,7502 7,6555 7,5402 7,3842 7,1825 6,9462 6,6955 6,4596 6,2759 6,1705 6,1355 6,1267 6,0870 5,9778 5,8026 5,6103 5,4712 5,4374 5,5182 5,6894 5,9119 6,1347 6,2910 6,3178 6,1929 5,9492 5,6573 5,3962 5,2270 5,1755 5,2330 5,3689 5,5454 5,7306 5,9051 6,0636 6,2112 6,3607 6,5304 6,7356 6,9707 7,2055 7,4024 7,5364 7,6016 7,6081 7,5803 7,5540 7,5653 7,6309 7,7367 7,8436 7,9056 7,8847 7,7569 7,5201 7,2032 6,8542 6,5125 6,1888 5,8624 5,4928 5,0444 4,5037 3,8829 3,2133 2,5381 1,9058 1,3598 0,9295 0,6304 0,4653 0,4244 0,4902 0,6468 0,8840 1,1964 1,5813 2,0271 2,5052 2,9751 3,4014 3,7670 4,0780 4,3576 4,6319 4,9137 5,1925 5,4434 5,6400 5,7573 5,7718 5,6703 5,4563 5,1468 4,7715 4,3773 4,0246 3,7705 3,6490 3,6607 3,7760 3,9438 4,1110 4,2437 4,3324 4,3815 4,4019 4,4067 4,4035 4,3841 4,3253 4,1971 3,9748 3,6547 3,2640 2,8516 2,4645 2,1303 1,8546 1,6269 1,4302 1,2522 1,0958 0,9791 0,9237 0,9414 1,0275 1,1629 1,3263 1,5000 1,6606 1,7652 1,7606 1,6082 1,3014 0,8648 0,3432 -0,2161 -0,7823 -1,3423 -1,8900 -2,4249 -2,9514 -3,4684 -3,9607 -4,4031 -4,7681 -5,0395 -5,2240 -5,3489 -5,4490 -5,5561 -5,6927 -5,8678 -6,0777 -6,3073 -6,5354 -6,7448 -6,9317 -7,0995 -7,2415 -7,3404 -7,3906 -7,4129 -7,4424 -7,5068 -7,6093 -7,7296 -7,8433 -7,9422 -8,0397 -8,1542 -8,2892 -8,4229 -8,5109 -8,4965 -8,3302 -7,9923 -7,5062 -6,9280 -6,3276 -5,7749 -5,3270 -5,0068 -4,8012 -4,6834 -4,6304 -4,6252 -4,6566 -4,7205 -4,8206 -4,9620 -5,1329
Fz    0,5831 0,3846 0,1186 -0,1744 -0,4466 -0,6604 -0,7959 -0,8507 -0,8355 -0,7638 -0,6476 -0,5003 -0,3372 -0,1710 -0,0073 0,1547 0,3133 0,4510 0,5358 0,5386 0,4496 0,2848 0,0797 -0,1261 -0,3053 -0,4472 -0,5567 -0,6524 -0,7587 -0,8900 -1,0403 -1,1875 -1,2997 -1,3421 -1,2857 -1,1175 -0,8457 -0,4984 -0,1224 0,2273 0,5113 0,7227 0,8839 1,0350 1,2173 1,4523 1,7344 2,0415 2,3431 2,6037 2,7945 2,9039 2,9368 2,9097 2,8490 2,7790 2,7017 2,5931 2,4199 2,1648 1,8476 1,5251 1,2667 1,1212 1,1017 1,1916 1,3535 1,5379 1,6967 1,7938 1,8144 1,7732 1,7108 1,6754 1,7013 1,8006 1,9681 2,1917 2,4488 2,7014 2,9131 3,0795 3,2282 3,3895 3,5740 3,7728 3,9670 4,1393 4,2759 4,3599 4,3754 4,3229 4,2223 4,0961 3,9568 3,8071 3,6396 3,4358 3,1742 2,8470 2,4622 2,0340 1,5797 1,1283 0,7229 0,4061 0,1977 0,0851 0,0318 -0,0057 -0,0596 -0,1340 -0,2006 -0,2086 -0,1054 0,1327 0,4847 0,9013 1,3324 1,7424 2,1157 2,4614 2,8113 3,2072 3,6793 4,2355 4,8679 5,5619 6,2967 7,0466 7,7870 8,4993 9,1710 9,7967 10,3744 10,8987 11,3549 11,7263 12,0082 12,2142 12,3720 12,5111 12,6508 12,8016 12,9727 13,1669 13,3685 13,5448 13,6638 13,7100 13,6920 13,6427 13,6090 13,6332 13,7358 13,9065 14,1057 14,2770 14,3602 14,3057 14,0912 13,7363 13,3003 12,8607 12,4854 12,2089 12,0268 11,9052 11,7954 11,6490 11,4269 11,1064 10,6879 10,1956 9,6656 9,1255 8,5857 8,0459 7,5030 6,9546 6,4020 5,8516 5,3182 4,8250 4,3930 4,0244 3,6990 3,3865 3,0611 2,7063 2,3142 1,8936 1,4792 1,1209 0,8623 0,7241 0,7008 0,7650 0,8828 1,0289 1,1910 1,3679 1,5693 1,8101 2,0929 2,3960 2,6765 2,8857 2,9864 2,9634 2,8259 2,6066 2,3582 2,1423 2,0105 1,9854 2,0491 2,1472 2,2114 2,1886 2,0574 1,8295 1,5468 1,2697 1,0549 0,9355 0,9152 0,9736 1,0740 1,1744 1,2444 1,2791 1,2985 1,3373 1,4356 1,6260 1,9171 2,2848 2,6822 3,0569 3,3637 3,5732 3,6826 3,7249 3,7604 3,8461 4,0031 4,2094 4,4176 4,5770 4,6548 4,6517 4,6057 4,5732 4,5971 4,6823 4,7984 4,9030 4,9628 4,9663 4,9287 4,8873 4,8850 4,9488 5,0782 5,2530 5,4554 5,6815 5,9336 6,2088 6,4984 6,7938 7,0876 7,3736 7,6451 7,8917 8,0988 8,2541 8,3554 8,4138 8,4521 8,4991 8,5843 8,7348 8,9675 9,2717 9,6001 9,8880 10,0813 10,1504 10,0912 9,9256 9,6925 9,4325 9,1777 8,9551 8,7906 8,7041 8,6975 8,7479 8,8158 8,8610 8,8645 8,8375 8,8101 8,8064 8,8257 8,8436 8,8328 8,7779 8,6770 8,5368 8,3697 8,1959 8,0465 7,9539 7,9340 7,9762 8,0449 8,0966 8,1059 8,0815 8,0594 8,0848 8,1968 8,4155 8,7335 9,1201 9,5343 9,9358 10,2898 10,5740 10,7826 10,9238 11,0120 11,0586 11,0640 11,0169 10,9048 10,7270 10,4978 10,2368 9,9593 9,6779 9,4094 9,1733 8,9881 8,8654 8,8034 8,7827 8,7736 8,7522 8,7084 8,6452 8,5747 8,5108 8,4572 8,4046 8,3386 8,2469 8,1206 7,9601 7,7823 7,6167 7,4914 7,4228 7,4144 7,4568 7,5280 7,6035 7,6736 7,7510 7,8638 8,0423 8,3093 8,6706 9,1057 9,5680 9,9998 10,3528 10,5986 10,7320 10,7687 10,7382 10,6728 10,5945 10,5052 10,3864 10,2127 9,9720 9,6802 9,3778 9,1155 8,9384 8,8757 8,9278 9,0628 9,2345 9,4040 9,5439 9,6335 9,6585 9,6180 9,5267 9,4082 9,2847 9,1673 9,0525 8,9246 8,7658 8,5687 8,3371 8,0799 7,8139 7,5691 7,3751 7,2404 7,1478 7,0685 6,9797 6,8808 6,7970 6,7664 6,8157 6,9442 7,1313 7,3496 7,5639 7,7212 7,7603 7,6426 7,3782 7,0244 6,6651 6,3798 6,2180 6,1902 6,2756 6,4388 6,6458 6,8684 7,0843 7,2806 7,4596 7,6411 7,8521 8,1059 8,3901 8,6768 8,9367 9,1458 9,2882 9,3637 9,3924 9,4081 9,4423 9,5077 9,5934 9,6741 9,7192 9,6989 9,5955 9,4172 9,1944 8,9561 8,7111 8,4432 8,1202 7,7111 7,2022 6,6035 5,9433 5,2596 4,5956 3,9948 3,4953 3,1258 2,9010 2,8173 2,8566 2,9948 3,2085 3,4787 3,7929 4,1395 4,4991 4,8460 5,1552 5,4100 5,6075 5,7594 5,8860 6,0003 6,0978 6,1652 6,1939 6,1809 6,1210 6,0072 5,8358 5,6088 5,3392 5,0554 4,7988 4,6146 4,5364 4,5748 4,7156 4,9241 5,1568 5,3778 5,5672 5,7173 5,8276 5,9007 5,9369 5,9281 5,8591 5,7150 5,4893 5,1906 4,8469 4,4975 4,1762 3,8998 3,6721 3,4897 3,3469 3,2428 3,1861 3,1902 3,2622 3,3954 3,5693 3,7558 3,9292 4,0726 4,1675 4,1829 4,0821 3,8429 3,4672 2,9789 2,4144 1,8075 1,1774 0,5363 -0,0986 -0,7077 -1,2790 -1,8066 -2,2876 -2,7204 -3,1016 -3,4285 -3,7059 -3,9470 -4,1698 -4,3897 -4,6139 -4,8404 -5,0650 -5,2857 -5,5028 -5,7205 -5,9478 -6,1911 -6,4426 -6,6842 -6,9054 -7,1149 -7,3318 -7,5691 -7,8209 -8,0640 -8,2716 -8,4305 -8,5465 -8,6314 -8,6874 -8,7025 -8,6576 -8,5337 -8,3151 -7,9955 -7,5819 -7,0956 -6,5711 -6,0571 -5,6044 -5,2439 -4,9816 -4,8159 -4,7470 -4,7710 -4,8737 -5,0307 -5,2140 -5,3976 -5,5560
F3    0,5096 0,3398 0,0812 -0,2139 -0,4844 -0,6852 -0,7941 -0,8133 -0,7651 -0,6764 -0,5656 -0,4415 -0,3062 -0,1585 0,0043 0,1811 0,3580 0,5038 0,5805 0,5613 0,4427 0,2499 0,0283 -0,1780 -0,3451 -0,4720 -0,5734 -0,6733 -0,7963 -0,9525 -1,1281 -1,2940 -1,4159 -1,4583 -1,3910 -1,2019 -0,9057 -0,5422 -0,1696 0,1568 0,4122 0,6109 0,7905 0,9918 1,2447 1,5578 1,9165 2,2909 2,6449 2,9437 3,1610 3,2869 3,3234 3,2794 3,1695 3,0098 2,8070 2,5570 2,2554 1,9071 1,5367 1,1923 0,9284 0,7793 0,7481 0,8124 0,9328 1,0649 1,1755 1,2468 1,2734 1,2652 1,2522 1,2769 1,3764 1,5669 1,8420 2,1823 2,5594 2,9321 3,2567 3,5128 3,7097 3,8653 3,9888 4,0793 4,1300 4,1383 4,1107 4,0494 3,9479 3,8060 3,6416 3,4803 3,3380 3,2141 3,0904 2,9360 2,7213 2,4361 2,0934 1,7154 1,3230 0,9383 0,5899 0,3053 0,0942 -0,0586 -0,1848 -0,3170 -0,4699 -0,6268 -0,7449 -0,7742 -0,6756 -0,4392 -0,0938 0,3061 0,7076 1,0774 1,4082 1,7224 2,0681 2,5003 3,0523 3,7209 4,4735 5,2641 6,0432 6,7704 7,4257 8,0140 8,5585 9,0865 9,6125 10,1272 10,5979 10,9873 11,2769 11,4778 11,6215 11,7391 11,8486 11,9594 12,0802 12,2126 12,3419 12,4431 12,4945 12,4852 12,4209 12,3310 12,2618 12,2539 12,3262 12,4709 12,6535 12,8179 12,9003 12,8500 12,6512 12,3364 11,9789 11,6619 11,4424 11,3322 11,3020 11,2987 11,2647 11,1495 10,9180 10,5599 10,0951 9,5651 9,0150 8,4763 7,9608 7,4644 6,9725 6,4702 5,9529 5,4294 4,9186 4,4446 4,0234 3,6504 3,3021 2,9497 2,5695 2,1494 1,6948 1,2337 0,8142 0,4873 0,2828 0,2006 0,2171 0,2975 0,4076 0,5231 0,6352 0,7470 0,8692 1,0145 1,1874 1,3744 1,5450 1,6628 1,6978 1,6369 1,4916 1,3007 1,1250 1,0293 1,0551 1,2012 1,4216 1,6445 1,7997 1,8395 1,7444 1,5256 1,2273 0,9149 0,6487 0,4615 0,3584 0,3269 0,3436 0,3792 0,4140 0,4501 0,5082 0,6165 0,8022 1,0818 1,4470 1,8625 2,2791 2,6493 2,9330 3,1045 3,1664 3,1570 3,1382 3,1635 3,2490 3,3740 3,5015 3,5979 3,6448 3,6515 3,6562 3,7081 3,8371 4,0345 4,2591 4,4624 4,6079 4,6835 4,7094 4,7324 4,8029 4,9497 5,1661 5,4204 5,6821 5,9363 6,1773 6,4007 6,6029 6,7861 6,9608 7,1440 7,3497 7,5782 7,8108 8,0185 8,1754 8,2719 8,3199 8,3491 8,3980 8,5035 8,6851 8,9266 9,1774 9,3797 9,4954 9,5097 9,4246 9,2587 9,0469 8,8251 8,6164 8,4326 8,2850 8,1874 8,1452 8,1450 8,1589 8,1586 8,1322 8,0936 8,0743 8,0989 8,1597 8,2163 8,2249 8,1623 8,0272 7,8316 7,6010 7,3775 7,2126 7,1435 7,1723 7,2665 7,3759 7,4561 7,4900 7,4942 7,5090 7,5825 7,7523 8,0285 8,3863 8,7783 9,1564 9,4876 9,7578 9,9666 10,1209 10,2289 10,2989 10,3372 10,3430 10,3026 10,1967 10,0155 9,7713 9,4940 9,2166 8,9663 8,7615 8,6117 8,5204 8,4868 8,5019 8,5444 8,5855 8,6020 8,5852 8,5384 8,4716 8,3932 8,3013 8,1802 8,0123 7,7906 7,5215 7,2242 6,9316 6,6847 6,5143 6,4286 6,4179 6,4648 6,5470 6,6426 6,7413 6,8530 7,0023 7,2173 7,5182 7,9074 8,3601 8,8278 9,2545 9,5952 9,8276 9,9533 9,9939 9,9830 9,9531 9,9189 9,8686 9,7723 9,6019 9,3525 9,0553 8,7690 8,5532 8,4477 8,4671 8,5951 8,7881 8,9994 9,1976 9,3610 9,4675 9,4996 9,4545 9,3446 9,1917 9,0178 8,8382 8,6588 8,4738 8,2723 8,0512 7,8197 7,5921 7,3850 7,2196 7,1120 7,0565 7,0225 6,9699 6,8736 6,7424 6,6240 6,5829 6,6644 6,8697 7,1627 7,4925 7,8024 8,0237 8,0882 7,9657 7,6884 7,3362 7,0025 6,7602 6,6410 6,6352 6,7063 6,8153 6,9398 7,0765 7,2296 7,3987 7,5756 7,7550 7,9447 8,1568 8,3927 8,6414 8,8879 9,1186 9,3238 9,5025 9,6652 9,8253 9,9854 10,1308 10,2354 10,2764 10,2378 10,1049 9,8723 9,5606 9,2120 8,8620 8,5179 8,1604 7,7627 7,3108 6,8086 6,2706 5,7136 5,1560 4,6208 4,1373 3,7351 3,4345 3,2400 3,1413 3,1204 3,1624 3,2599 3,4131 3,6286 3,9095 4,2435 4,6006 4,9414 5,2322 5,4620 5,6478 5,8192 5,9945 6,1679 6,3182 6,4243 6,4703 6,4442 6,3409 6,1631 5,9201 5,6330 5,3414 5,0972 4,9475 4,9176 5,0064 5,1917 5,4363 5,6930 5,9185 6,0850 6,1831 6,2205 6,2185 6,2016 6,1819 6,1509 6,0837 5,9545 5,7560 5,5071 5,2416 4,9859 4,7493 4,5289 4,3203 4,1268 3,9634 3,8532 3,8171 3,8646 3,9913 4,1813 4,4072 4,6314 4,8127 4,9095 4,8794 4,6894 4,3337 3,8405 3,2622 2,6584 2,0726 1,5158 0,9749 0,4359 -0,1048 -0,6422 -1,1659 -1,6642 -2,1247 -2,5317 -2,8697 -3,1345 -3,3407 -3,5196 -3,7061 -3,9237 -4,1809 -4,4764 -4,8013 -5,1367 -5,4584 -5,7497 -6,0038 -6,2142 -6,3729 -6,4824 -6,5659 -6,6577 -6,7814 -6,9355 -7,1016 -7,2630 -7,4186 -7,5806 -7,7565 -7,9309 -8,0646 -8,1086 -8,0223 -7,7893 -7,4270 -6,9814 -6,5071 -6,0498 -5,6429 -5,3060 -5,0382 -4,8253 -4,6617 -4,5565 -4,5199 -4,5511 -4,6369 -4,7586 -4,8971 -5,0276
F7    -0,2883 -0,2810 -0,3342 -0,4362 -0,5569 -0,6601 -0,7137 -0,7016 -0,6299 -0,5132 -0,3620 -0,1857 0,0033 0,1912 0,3651 0,5130 0,6228 0,6788 0,6631 0,5647 0,3904 0,1677 -0,0621 -0,2618 -0,4131 -0,5163 -0,5814 -0,6233 -0,6615 -0,7094 -0,7627 -0,8029 -0,8089 -0,7643 -0,6620 -0,5081 -0,3190 -0,1142 0,0839 0,2510 0,3745 0,4616 0,5332 0,6171 0,7400 0,9150 1,1373 1,3925 1,6595 1,9083 2,1062 2,2320 2,2771 2,2381 2,1181 1,9286 1,6818 1,3840 1,0421 0,6704 0,2984 -0,0265 -0,2545 -0,3629 -0,3678 -0,3104 -0,2371 -0,1860 -0,1783 -0,2180 -0,2953 -0,3845 -0,4423 -0,4205 -0,2865 -0,0352 0,3141 0,7327 1,1862 1,6275 2,0081 2,3065 2,5306 2,6925 2,7954 2,8390 2,8263 2,7710 2,6986 2,6279 2,5568 2,4745 2,3802 2,2819 2,1877 2,1014 2,0181 1,9182 1,7713 1,5530 1,2575 0,8961 0,4945 0,0931 -0,2599 -0,5291 -0,7088 -0,8232 -0,9131 -1,0194 -1,1607 -1,3161 -1,4337 -1,4549 -1,3339 -1,0552 -0,6441 -0,1538 0,3580 0,8419 1,2648 1,6245 1,9553 2,3123 2,7434 3,2720 3,8943 4,5790 5,2740 5,9226 6,4830 6,9407 7,3149 7,6501 7,9875 8,3347 8,6613 8,9238 9,0966 9,1844 9,2145 9,2169 9,2099 9,2066 9,2256 9,2813 9,3667 9,4573 9,5285 9,5672 9,5751 9,5689 9,5736 9,6110 9,6902 9,8078 9,9475 10,0771 10,1499 10,1185 9,9593 9,6921 9,3750 9,0759 8,8425 8,6849 8,5767 8,4760 8,3491 8,1808 7,9717 7,7280 7,4550 7,1572 6,8423 6,5196 6,1946 5,8668 5,5284 5,1693 4,7837 4,3737 3,9512 3,5368 3,1472 2,7832 2,4327 2,0855 1,7411 1,4082 1,0982 0,8222 0,5930 0,4227 0,3160 0,2671 0,2637 0,2886 0,3230 0,3529 0,3727 0,3847 0,4005 0,4403 0,5242 0,6586 0,8298 1,0059 1,1447 1,2079 1,1768 1,0635 0,9093 0,7709 0,6950 0,6964 0,7500 0,8005 0,7871 0,6685 0,4397 0,1343 -0,1877 -0,4684 -0,6784 -0,8196 -0,9073 -0,9526 -0,9607 -0,9367 -0,8849 -0,8050 -0,6916 -0,5380 -0,3380 -0,0880 0,2067 0,5264 0,8414 1,1157 1,3074 1,3775 1,3145 1,1530 0,9659 0,8275 0,7763 0,8079 0,8925 0,9889 1,0588 1,0917 1,1174 1,1867 1,3321 1,5455 1,7873 2,0107 2,1806 2,2843 2,3387 2,3830 2,4547 2,5709 2,7236 2,8932 3,0657 3,2334 3,3823 3,4927 3,5532 3,5691 3,5595 3,5558 3,5953 3,7029 3,8717 4,0631 4,2278 4,3320 4,3707 4,3639 4,3481 4,3688 4,4639 4,6363 4,8450 5,0292 5,1404 5,1529 5,0646 4,8974 4,6878 4,4685 4,2596 4,0753 3,9298 3,8317 3,7771 3,7535 3,7487 3,7557 3,7764 3,8206 3,9009 4,0218 4,1640 4,2825 4,3313 4,2896 4,1648 3,9811 3,7697 3,5689 3,4235 3,3724 3,4317 3,5865 3,7943 4,0027 4,1739 4,2989 4,3955 4,4974 4,6385 4,8355 5,0791 5,3396 5,5793 5,7637 5,8722 5,9042 5,8764 5,8106 5,7229 5,6228 5,5144 5,3977 5,2721 5,1432 5,0278 4,9491 4,9274 4,9734 5,0798 5,2202 5,3644 5,4944 5,6033 5,6825 5,7193 5,7070 5,6514 5,5649 5,4590 5,3393 5,1998 5,0228 4,7928 4,5110 4,1969 3,8840 3,6144 3,4253 3,3359 3,3469 3,4522 3,6408 3,8886 4,1610 4,4290 4,6841 4,9376 5,2086 5,5107 5,8427 6,1833 6,4987 6,7581 6,9443 7,0548 7,0953 7,0781 7,0250 6,9623 6,9069 6,8573 6,7997 6,7164 6,5969 6,4504 6,3098 6,2180 6,2107 6,3041 6,4847 6,7082 6,9231 7,0939 7,1987 7,2213 7,1606 7,0414 6,9045 6,7830 6,6841 6,5898 6,4732 6,3133 6,1035 5,8583 5,6086 5,3879 5,2209 5,1205 5,0825 5,0818 5,0767 5,0249 4,9072 4,7446 4,5964 4,5331 4,5975 4,7815 5,0406 5,3251 5,5914 5,7911 5,8737 5,8135 5,6316 5,3895 5,1620 5,0055 4,9381 4,9458 4,9997 5,0740 5,1532 5,2314 5,3082 5,3863 5,4740 5,5871 5,7429 5,9447 6,1739 6,3994 6,5926 6,7351 6,8219 6,8637 6,8858 6,9174 6,9747 7,0537 7,1347 7,1922 7,2011 7,1379 6,9931 6,7835 6,5437 6,2977 6,0458 5,7702 5,4503 5,0728 4,6351 4,1429 3,6107 3,0644 2,5378 2,0651 1,6725 1,3725 1,1623 1,0278 0,9562 0,9473 1,0132 1,1670 1,4143 1,7465 2,1363 2,5428 2,9243 3,2511 3,5176 3,7410 3,9442 4,1335 4,2928 4,4003 4,4466 4,4377 4,3887 4,3216 4,2585 4,2081 4,1649 4,1242 4,0925 4,0857 4,1163 4,1861 4,2885 4,4089 4,5244 4,6130 4,6667 4,6936 4,7118 4,7374 4,7751 4,8129 4,8259 4,7839 4,6614 4,4503 4,1676 3,8478 3,5270 3,2321 2,9782 2,7668 2,5891 2,4371 2,3142 2,2337 2,2077 2,2373 2,3089 2,3958 2,4662 2,4939 2,4593 2,3431 2,1304 1,8222 1,4333 0,9816 0,4891 -0,0155 -0,5056 -0,9679 -1,4004 -1,8083 -2,1999 -2,5797 -2,9446 -3,2848 -3,5845 -3,8311 -4,0287 -4,2002 -4,3742 -4,5690 -4,7858 -5,0140 -5,2403 -5,4525 -5,6406 -5,8013 -5,9414 -6,0714 -6,1907 -6,2911 -6,3774 -6,4735 -6,6009 -6,7527 -6,8928 -6,9815 -7,0036 -6,9803 -6,9576 -6,9757 -7,0425 -7,1303 -7,1912 -7,1759 -7,0493 -6,8011 -6,4507 -6,0370 -5,6051 -5,2003 -4,8589 -4,5908 -4,3804 -4,2126 -4,0907 -4,0268 -4,0251 -4,0757 -4,1604 -4,2624 -4,3661
