Fp1   1,9776 1,1830 0,2757 -0,5252 -1,0078 -1,0777 -0,7769 -0,2361 0,3891 0,9896 1,5393 2,0457 2,4646 2,6845 2,5991 2,1892 1,5528 0,8725 0,3389 0,0664 0,0480 0,1817 0,3458 0,4494 0,4267 0,2193 -0,2154 -0,8721 -1,6612 -2,4054 -2,8938 -2,9493 -2,4840 -1,5496 -0,3390 0,8946 1,9389 2,6641 2,9953 2,8754 2,2774 1,2482 -0,0604 -1,4086 -2,5368 -3,2511 -3,4821 -3,2800 -2,7465 -1,9740 -1,0502 -0,1049 0,6848 1,1775 1,3667 1,3755 1,3295 1,2308 0,9707 0,4797 -0,1410 -0,6432 -0,7880 -0,5098 0,0254 0,5170 0,6969 0,4215 -0,3299 -1,4609 -2,7413 -3,8401 -4,4288 -4,2821 -3,3526 -1,8291 -0,1050 1,3821 2,3379 2,6952 2,5643 2,1200 1,5156 0,8452 0,1381 -0,6095 -1,3751 -2,0649 -2,5221 -2,6006 -2,2584 -1,5787 -0,6975 0,2634 1,2007 2,0283 2,7008 3,2141 3,5775 3,8056 3,9288 3,9793 3,9600 3,8618 3,7221 3,6312 3,6556 3,7673 3,8600 3,8067 3,4978 2,8695 1,9284 0,7570 -0,4937 -1,6325 -2,4988 -3,0297 -3,2400 -3,1569 -2,8196 -2,3264 -1,8291 -1,4690 -1,3043 -1,2764 -1,2565 -1,1291 -0,8250 -0,3165 0,3722 1,1485 1,8765 2,4425 2,7994 2,9519 2,9258 2,7681 2,5376 2,2744 1,9955 1,7245 1,5081 1,3946 1,3932 1,4471 1,4521 1,3167 1,0305 0,6930 0,4803 0,5735 1,0958 2,0890 3,5212 5,2748 7,1041 8,6570 9,6188 9,8546 9,4209 8,5066 7,3765 6,2870 5,3950 4,7514 4,3738 4,2994 4,5691 5,1722 6,0191 6,9622 7,8394 8,5371 9,0385 9,3910 9,6014 9,5670 9,1387 8,2747 7,1107 5,8708 4,7299 3,7442 2,8774 2,0980 1,4698 1,1544 1,3207 2,0306 3,1823 4,5526 5,9022 7,0465 7,8609 8,2636 8,1922 7,6070 6,5571 5,2309 3,8873 2,7227 1,8266 1,2382 0,9807 1,0186 1,2204 1,4279 1,5906 1,7961 2,1486 2,6492 3,1903 3,6151 3,7847 3,6292 3,1662 2,4976 1,7911 1,2280 0,9308 0,9278 1,1707 1,5786 2,0875 2,6578 3,2368 3,7415 4,0965 4,2762 4,2872 4,1062 3,6588 2,8769 1,7844 0,5474 -0,5602 -1,2739 -1,4562 -1,1263 -0,4093 0,5222 1,4778 2,2713 2,7541 2,8583 2,6306 2,2188 1,7977 1,4923 1,3404 1,2926 1,2543 1,1519 0,9734 0,7589 0,5605 0,4205 0,3807 0,4782 0,7068 0,9816 1,1740 1,2094 1,1164 0,9860 0,8994 0,8625 0,8012 0,6655 0,5130 0,4447 0,4966 0,6281 0,7649 0,8283 0,7772 0,6498 0,5369 0,4926 0,4926 0,4828 0,4287 0,3164 0,1657 0,0530 0,0820 0,3186 0,7462 1,2622 1,7302 2,0643 2,2668 2,3900 2,4690 2,4802 2,3538 2,0258 1,4937 0,8348 0,1746 -0,3815 -0,8081 -1,1517 -1,4587 -1,7082 -1,7934 -1,5632 -0,9095 0,1693 1,5660 3,0843 4,4549 5,3914 5,6990 5,3627 4,5327 3,4121 2,1397 0,7647 -0,6805 -2,0853 -3,2271 -3,8417 -3,7414 -2,8899 -1,4250 0,3722 2,1867 3,7832 5,0432 5,9460 6,5218 6,7996 6,7953 6,5075 5,8935 4,9079 3,6183 2,2514 1,0952 0,3633 0,1178 0,2486 0,5187 0,6969 0,6798 0,4799 0,1290 -0,3531 -0,9036 -1,3944 -1,6966 -1,7420 -1,5122 -1,0083 -0,2538 0,6967 1,7579 2,8008 3,6374 4,0590 3,9292 3,2533 2,1848 0,9744 -0,1327 -1,0004 -1,6268 -2,0855 -2,4400 -2,6812 -2,7327 -2,5253 -2,0620 -1,4044 -0,6190 0,2357 1,0856 1,8392 2,4224 2,8069 3,0045 3,0329 2,8917 2,5796 2,1207 1,5599 0,9539 0,3766 -0,0914 -0,3742 -0,3996 -0,1093 0,4965 1,3091 2,1215 2,7226 2,9823 2,8596 2,3890 1,6868 0,9273 0,2762 -0,1571 -0,3304 -0,2724 -0,0807 0,1104 0,2027 0,2026 0,2251 0,4138 0,8188 1,3432 1,8217 2,1443 2,2944 2,3125 2,2560 2,1666 2,0471 1,8530 1,5084 0,9577 0,2343 -0,5269 -1,1629 -1,5689 -1,7213 -1,6485 -1,3879 -0,9555 -0,3514 0,4026 1,2265 1,9793 2,5154 2,7616 2,7439 2,5539 2,2890 1,9956 1,6545 1,2107 0,6241 -0,0893 -0,8519 -1,5508 -2,0724 -2,3305 -2,2932 -1,9970 -1,5325 -1,0147 -0,5491 -0,1993 0,0148 0,0896 0,0273 -0,1363 -0,3050 -0,3465 -0,1714 0,2036 0,6548 1,0013 1,0752 0,7985 0,2215 -0,5083 -1,2249 -1,8037 -2,1632 -2,2475 -2,0497 -1,6349 -1,0999 -0,5051 0,1373 0,8094 1,4437 1,9301 2,1446 1,9694 1,3299 0,2592 -1,0730 -2,4165 -3,5379 -4,2855 -4,6032 -4,5152 -4,1092 -3,5316 -2,9758 -2,6349 -2,6270 -2,9427 -3,4484 -3,9473 -4,2653 -4,3140 -4,1083 -3,7403 -3,3108 -2,8599 -2,3597 -1,7828 -1,1782 -0,6637 -0,3424 -0,2488 -0,3623 -0,6281 -0,9378 -1,1217 -1,0271 -0,6248 -0,0185 0,6333 1,1880 1,5441 1,6442 1,4894 1,1698 0,8626 0,7549 0,9269 1,3013 1,7069 1,9885 2,0687 1,9444 1,6598 1,2802 0,8733 0,5143 0,3114 0,4157 0,9549 1,9121 3,0645 4,0540 4,5428 4,3490 3,4827 2,0929 0,4104 -1,2760 -2,6540 -3,4611 -3,5698 -3,0279 -2,0126 -0,7405 0,5737 1,7101 2,4444 2,5982 2,1147 1,0738 -0,3510 -1,9174 -3,3434 -4,3882 -4,9357 -5,0061 -4,7004 -4,1484 -3,4915 -2,8621 -2,3249 -1,8307 -1,2476 -0,4652 0,4948 1,4446 2,1026 2,2242 1,7034 0,6070 -0,8539 -2,4099 -3,8371 -5,0034 -5,8465 -6,3417 -6,4761 -6,2310 -5,5986 -4,6330 -3,4616 -2,2209 -0,9861 0,2133 1,3098 2,1451 2,5193 2,3006
Fz    1,0481 1,3248 1,5991 1,8177 1,9306 1,9102 1,7663 1,5397 1,2754 0,9987 0,7130 0,4114 0,0954 -0,2114 -0,4638 -0,6133 -0,6287 -0,5091 -0,2870 -0,0190 0,2340 0,4262 0,5412 0,5941 0,6099 0,5967 0,5429 0,4363 0,2817 0,1008 -0,0808 -0,2475 -0,3991 -0,5471 -0,6940 -0,8146 -0,8694 -0,8395 -0,7472 -0,6501 -0,6188 -0,7058 -0,9109 -1,1743 -1,4133 -1,5668 -1,6097 -1,5473 -1,4058 -1,2200 -1,0251 -0,8486 -0,6964 -0,5500 -0,3850 -0,1957 -0,0074 0,1371 0,2107 0,2249 0,2217 0,2395 0,2781 0,2944 0,2419 0,1116 -0,0719 -0,2816 -0,5017 -0,7203 -0,9224 -1,0907 -1,2085 -1,2565 -1,2117 -1,0691 -0,8676 -0,6841 -0,5943 -0,6378 -0,8111 -1,0733 -1,3584 -1,6025 -1,7719 -1,8662 -1,9071 -1,9185 -1,8971 -1,8025 -1,5847 -1,2205 -0,7251 -0,1521 0,4141 0,8932 1,2514 1,5042 1,6864 1,8241 1,9214 1,9634 1,9302 1,8151 1,6347 1,4260 1,2222 1,0285 0,8219 0,5632 0,2095 -0,2658 -0,8528 -1,5009 -2,1340 -2,6689 -3,0360 -3,2015 -3,1782 -3,0120 -2,7587 -2,4667 -2,1743 -1,9123 -1,7000 -1,5358 -1,3971 -1,2498 -1,0668 -0,8416 -0,5889 -0,3323 -0,0873 0,1458 0,3735 0,5949 0,7952 0,9563 1,0709 1,1454 1,1979 1,2563 1,3523 1,5083 1,7318 2,0166 2,3417 2,6721 2,9716 3,2143 3,3880 3,5006 3,5873 3,6988 3,8764 4,1335 4,4474 4,7729 5,0762 5,3614 5,6610 6,0046 6,3976 6,8203 7,2369 7,6032 7,8771 8,0399 8,1093 8,1296 8,1481 8,1936 8,2649 8,3454 8,4314 8,5391 8,6803 8,8363 8,9568 8,9832 8,8826 8,6708 8,4043 8,1365 7,8835 7,6391 7,4087 7,2129 7,0662 6,9628 6,8772 6,7748 6,6296 6,4347 6,2046 5,9723 5,7708 5,6080 5,4665 5,3275 5,1824 5,0173 4,7991 4,4897 4,0786 3,6006 3,1239 2,7222 2,4544 2,3520 2,4034 2,5470 2,6946 2,7760 2,7672 2,6838 2,5495 2,3757 2,1673 1,9346 1,6950 1,4747 1,3076 1,2264 1,2455 1,3483 1,4878 1,6119 1,6901 1,7150 1,6842 1,5916 1,4384 1,2471 1,0570 0,9086 0,8295 0,8279 0,8964 1,0268 1,2131 1,4327 1,6304 1,7330 1,6888 1,4960 1,1965 0,8475 0,4942 0,1544 -0,1758 -0,4963 -0,7771 -0,9665 -1,0222 -0,9294 -0,7056 -0,4012 -0,0865 0,1762 0,3477 0,4152 0,4013 0,3662 0,3802 0,4833 0,6665 0,8838 1,0796 1,2208 1,3138 1,3939 1,4979 1,6424 1,8112 1,9500 1,9887 1,8807 1,6216 1,2422 0,7981 0,3601 -0,0076 -0,2666 -0,4018 -0,4118 -0,3094 -0,1261 0,0940 0,3087 0,4920 0,6377 0,7570 0,8676 0,9776 1,0779 1,1458 1,1542 1,0820 0,9233 0,6925 0,4278 0,1851 0,0101 -0,0925 -0,1543 -0,1968 -0,2043 -0,1437 0,0021 0,2183 0,4559 0,6444 0,7212 0,6618 0,4852 0,2359 -0,0360 -0,2788 -0,4409 -0,4815 -0,3826 -0,1534 0,1688 0,5266 0,8632 1,1369 1,3210 1,4031 1,3891 1,3041 1,1930 1,1082 1,0808 1,1051 1,1479 1,1670 1,1310 1,0383 0,9191 0,8196 0,7760 0,7915 0,8299 0,8425 0,8100 0,7495 0,6821 0,6048 0,5000 0,3589 0,1855 -0,0171 -0,2510 -0,5139 -0,7907 -1,0481 -1,2383 -1,3221 -1,2939 -1,1837 -1,0388 -0,9066 -0,8249 -0,8146 -0,8714 -0,9597 -1,0221 -1,0076 -0,8962 -0,7033 -0,4709 -0,2610 -0,1400 -0,1478 -0,2812 -0,5054 -0,7688 -1,0148 -1,2042 -1,3324 -1,4169 -1,4632 -1,4467 -1,3342 -1,1211 -0,8464 -0,5722 -0,3475 -0,1874 -0,0780 0,0099 0,1076 0,2343 0,3923 0,5711 0,7455 0,8808 0,9461 0,9279 0,8325 0,6854 0,5291 0,4085 0,3474 0,3426 0,3778 0,4336 0,4895 0,5285 0,5442 0,5373 0,5060 0,4398 0,3259 0,1664 -0,0163 -0,1975 -0,3705 -0,5433 -0,7211 -0,8954 -1,0528 -1,1910 -1,3129 -1,4094 -1,4649 -1,4822 -1,4872 -1,5033 -1,5254 -1,5241 -1,4707 -1,3586 -1,2087 -1,0585 -0,9441 -0,8866 -0,8900 -0,9512 -1,0606 -1,1976 -1,3359 -1,4552 -1,5489 -1,6205 -1,6778 -1,7330 -1,8010 -1,8890 -1,9952 -2,1171 -2,2526 -2,3944 -2,5286 -2,6383 -2,7091 -2,7313 -2,7051 -2,6437 -2,5650 -2,4766 -2,3811 -2,2908 -2,2222 -2,1773 -2,1405 -2,0907 -2,0129 -1,9059 -1,7893 -1,6967 -1,6540 -1,6582 -1,6753 -1,6645 -1,6142 -1,5576 -1,5500 -1,6265 -1,7755 -1,9498 -2,1035 -2,2199 -2,3120 -2,4070 -2,5289 -2,6869 -2,8743 -3,0815 -3,3055 -3,5483 -3,8132 -4,1066 -4,4345 -4,7914 -5,1555 -5,4986 -5,8063 -6,0825 -6,3344 -6,5600 -6,7528 -6,9069 -7,0118 -7,0424 -6,9638 -6,7510 -6,4077 -5,9669 -5,4747 -4,9689 -4,4703 -3,9934 -3,5598 -3,1952 -2,9124 -2,7028 -2,5440 -2,4132 -2,2949 -2,1770 -2,0449 -1,8918 -1,7344 -1,6043 -1,5179 -1,4562 -1,3727 -1,2183 -0,9714 -0,6583 -0,3427 -0,0917 0,0533 0,0839 0,0149 -0,1275 -0,3086 -0,4834 -0,6043 -0,6442 -0,6137 -0,5527 -0,5074 -0,5019 -0,5238 -0,5428 -0,5472 -0,5571 -0,6106 -0,7397 -0,9556 -1,2510 -1,6054 -1,9829 -2,3329 -2,6032 -2,7640 -2,8192 -2,7933 -2,7205 -2,6497 -2,6373 -2,7194 -2,9017 -3,1801 -3,5596 -4,0438 -4,6094 -5,1977 -5,7354 -6,1630 -6,4476 -6,5813 -6,5725 -6,4404 -6,2248 -5,9917 -5,8020 -5,6686 -5,5550 -5,4122 -5,2174 -4,9907 -4,7857 -4,6629 -4,6628 -4,7889 -5,0074 -5,2731 -5,5539 -5,8242 -6,0407 -6,1443 -6,0927 -5,8845 -5,5566 -5,1664 -4,7740
F3    1,3029 1,7434 2,0951 2,2834 2,2584 2,0126 1,5940 1,0979 0,6298 0,2657 0,0316 -0,0913 -0,1353 -0,1137 -0,0182 0,1652 0,4371 0,7625 1,0643 1,2554 1,2836 1,1548 0,9329 0,7105 0,5698 0,5565 0,6690 0,8607 1,0508 1,1443 1,0660 0,7893 0,3424 -0,1918 -0,6920 -1,0480 -1,2166 -1,2370 -1,2025 -1,2103 -1,3229 -1,5533 -1,8668 -2,1997 -2,4923 -2,7087 -2,8289 -2,8329 -2,7067 -2,4610 -2,1338 -1,7700 -1,3991 -1,0283 -0,6551 -0,2839 0,0634 0,3607 0,5984 0,7731 0,8545 0,7847 0,5160 0,0470 -0,5641 -1,2134 -1,7869 -2,1954 -2,3899 -2,3665 -2,1683 -1,8738 -1,5665 -1,3074 -1,1296 -1,0471 -1,0692 -1,2047 -1,4523 -1,7921 -2,1841 -2,5702 -2,8868 -3,0867 -3,1504 -3,0902 -2,9519 -2,7930 -2,6367 -2,4516 -2,1825 -1,7981 -1,3140 -0,7860 -0,2846 0,1419 0,4894 0,7783 1,0232 1,2242 1,3677 1,4281 1,3785 1,2069 0,9317 0,6016 0,2770 0,0070 -0,1872 -0,3230 -0,4511 -0,6333 -0,9102 -1,2789 -1,6887 -2,0505 -2,2708 -2,3028 -2,1713 -1,9461 -1,6936 -1,4512 -1,2350 -1,0588 -0,9454 -0,9233 -1,0085 -1,1850 -1,4020 -1,5923 -1,6953 -1,6721 -1,5149 -1,2457 -0,9013 -0,5198 -0,1339 0,2333 0,5722 0,8864 1,1891 1,4873 1,7700 2,0200 2,2328 2,4197 2,5943 2,7633 2,9287 3,0885 3,2329 3,3529 3,4501 3,5322 3,6051 3,6712 3,7334 3,8019 3,9057 4,1018 4,4590 5,0106 5,7214 6,5034 7,2505 7,8608 8,2571 8,4119 8,3541 8,1511 7,8805 7,6019 7,3479 7,1464 7,0423 7,0838 7,2842 7,5991 7,9382 8,1992 8,3012 8,2132 7,9656 7,6303 7,2827 6,9705 6,7003 6,4481 6,1874 5,9118 5,6339 5,3704 5,1294 4,9029 4,6781 4,4628 4,2920 4,2045 4,2171 4,3189 4,4718 4,6046 4,6226 4,4440 4,0364 3,4380 2,7531 2,1113 1,6143 1,3116 1,2039 1,2499 1,3817 1,5292 1,6307 1,6280 1,4809 1,2058 0,8833 0,6100 0,4357 0,3440 0,2890 0,2478 0,2376 0,2831 0,3786 0,4889 0,5772 0,6207 0,6097 0,5464 0,4435 0,3201 0,1991 0,1073 0,0685 0,0923 0,1819 0,3481 0,5958 0,8984 1,1937 1,3947 1,4140 1,2061 0,7913 0,2362 -0,3798 -0,9881 -1,5443 -2,0198 -2,3869 -2,6179 -2,6890 -2,5844 -2,3150 -1,9380 -1,5453 -1,2204 -1,0057 -0,8994 -0,8664 -0,8583 -0,8421 -0,8155 -0,7892 -0,7567 -0,6945 -0,5824 -0,4108 -0,1829 0,0796 0,3360 0,5323 0,6102 0,5252 0,2686 -0,1258 -0,5973 -1,0705 -1,4670 -1,7283 -1,8400 -1,8331 -1,7595 -1,6568 -1,5325 -1,3776 -1,1861 -0,9591 -0,7033 -0,4342 -0,1809 0,0193 0,1326 0,1399 0,0430 -0,1369 -0,3698 -0,6244 -0,8653 -1,0555 -1,1829 -1,2743 -1,3632 -1,4477 -1,4867 -1,4323 -1,2777 -1,0723 -0,8861 -0,7713 -0,7526 -0,8223 -0,9352 -1,0298 -1,0607 -1,0016 -0,8323 -0,5464 -0,1640 0,2578 0,6260 0,8438 0,8571 0,6690 0,3271 -0,0963 -0,5259 -0,8948 -1,1416 -1,2157 -1,1036 -0,8442 -0,5092 -0,1697 0,1288 0,3712 0,5544 0,6741 0,7233 0,6927 0,5764 0,3953 0,2060 0,0622 -0,0345 -0,1353 -0,2926 -0,5164 -0,7822 -1,0700 -1,3875 -1,7570 -2,1784 -2,6077 -2,9768 -3,2389 -3,3956 -3,4711 -3,4756 -3,4047 -3,2581 -3,0446 -2,7784 -2,4709 -2,1221 -1,7257 -1,2863 -0,8404 -0,4660 -0,2658 -0,3209 -0,6467 -1,1911 -1,8613 -2,5491 -3,1467 -3,5635 -3,7537 -3,7344 -3,5629 -3,2899 -2,9394 -2,5239 -2,0709 -1,6304 -1,2523 -0,9603 -0,7556 -0,6258 -0,5476 -0,5007 -0,4814 -0,4991 -0,5660 -0,6832 -0,8218 -0,9220 -0,9284 -0,8262 -0,6424 -0,4259 -0,2317 -0,1108 -0,0963 -0,1889 -0,3561 -0,5520 -0,7429 -0,9171 -1,0743 -1,2056 -1,2893 -1,3156 -1,3143 -1,3530 -1,4989 -1,7777 -2,1596 -2,5757 -2,9454 -3,1941 -3,2598 -3,1024 -2,7258 -2,1920 -1,6090 -1,0961 -0,7457 -0,6005 -0,6538 -0,8619 -1,1657 -1,5091 -1,8482 -2,1533 -2,4051 -2,5865 -2,6890 -2,7271 -2,7344 -2,7296 -2,6858 -2,5483 -2,2899 -1,9433 -1,5847 -1,2995 -1,1633 -1,2338 -1,5341 -2,0355 -2,6626 -3,3073 -3,8504 -4,1990 -4,3296 -4,2913 -4,1583 -3,9801 -3,7685 -3,5153 -3,2199 -2,9012 -2,5917 -2,3250 -2,1212 -1,9847 -1,9190 -1,9272 -1,9921 -2,0709 -2,1183 -2,1198 -2,1070 -2,1430 -2,2868 -2,5533 -2,8931 -3,2144 -3,4302 -3,4969 -3,4302 -3,2939 -3,1697 -3,1279 -3,2087 -3,4171 -3,7362 -4,1377 -4,5936 -5,0820 -5,5653 -5,9697 -6,2258 -6,3288 -6,3445 -6,3677 -6,4740 -6,6932 -7,0107 -7,3821 -7,7433 -8,0153 -8,1210 -8,0215 -7,7390 -7,3277 -6,8268 -6,2444 -5,5812 -4,8587 -4,1266 -3,4502 -2,8931 -2,5006 -2,2884 -2,2446 -2,3313 -2,4793 -2,6027 -2,6415 -2,5924 -2,4989 -2,4115 -2,3525 -2,3101 -2,2609 -2,1975 -2,1343 -2,0884 -2,0568 -2,0090 -1,9095 -1,7571 -1,5934 -1,4695 -1,4117 -1,4070 -1,4161 -1,4076 -1,3767 -1,3338 -1,2771 -1,1834 -1,0371 -0,8647 -0,7376 -0,7465 -0,9574 -1,3734 -1,9437 -2,6064 -3,3070 -3,9768 -4,5174 -4,8276 -4,8502 -4,5933 -4,1250 -3,5580 -3,0251 -2,6447 -2,4990 -2,6315 -3,0461 -3,7035 -4,5258 -5,4120 -6,2575 -6,9766 -7,5156 -7,8505 -7,9785 -7,9203 -7,7218 -7,4295 -7,0547 -6,5843 -6,0335 -5,4706 -4,9891 -4,6669 -4,5482 -4,6423 -4,9258 -5,3485 -5,8528 -6,3899 -6,9098 -7,3477 -7,6429 -7,7663 -7,7162 -7,5017 -7,1393 -6,6518 -6,0661
F7    -0,3760 -0,8307 -1,0843 -1,0408 -0,6662 0,0114 0,9028 1,8678 2,7455 3,3871 3,6844 3,5919 3,1320 2,3815 1,4546 0,4815 -0,4145 -1,1293 -1,5815 -1,7209 -1,5408 -1,0849 -0,4418 0,2646 0,8823 1,2476 1,2263 0,7784 0,0105 -0,8388 -1,4912 -1,7467 -1,5608 -1,0493 -0,4140 0,1671 0,6072 0,9080 1,1106 1,2271 1,2022 0,9517 0,4402 -0,2788 -1,0941 -1,8933 -2,5833 -3,0844 -3,3456 -3,3722 -3,2243 -2,9760 -2,6672 -2,2909 -1,8315 -1,3238 -0,8767 -0,6290 -0,6653 -0,9573 -1,3602 -1,6610 -1,6691 -1,3092 -0,6524 0,1165 0,7554 1,0385 0,8420 0,1962 -0,7283 -1,6914 -2,4750 -2,9479 -3,0713 -2,8745 -2,4387 -1,8844 -1,3448 -0,9330 -0,7193 -0,7107 -0,8425 -1,0163 -1,1721 -1,3263 -1,5317 -1,7912 -2,0150 -2,0700 -1,8647 -1,3939 -0,7388 -0,0454 0,5202 0,8435 0,9146 0,8196 0,6936 0,6677 0,8095 1,0847 1,3794 1,5686 1,5838 1,4447 1,2386 1,0710 1,0250 1,1287 1,3371 1,5543 1,6905 1,6980 1,5560 1,2370 0,6971 -0,0923 -1,0846 -2,1317 -3,0357 -3,6287 -3,8203 -3,6077 -3,0748 -2,3640 -1,6146 -0,9175 -0,3261 0,1234 0,4241 0,6152 0,7662 0,9321 1,1172 1,2756 1,3434 1,2806 1,0954 0,8486 0,6395 0,5641 0,6583 0,8748 1,1200 1,3211 1,4690 1,6083 1,7933 2,0406 2,3162 2,5786 2,8374 3,1526 3,5733 4,0939 4,6576 5,1758 5,5555 5,7350 5,7052 5,5034 5,1969 4,8785 4,6555 4,6058 4,7422 5,0424 5,5028 6,1324 6,9007 7,7088 8,3996 8,7972 8,7707 8,2893 7,4422 6,4094 5,3979 4,5694 3,9943 3,6596 3,5177 3,5204 3,6165 3,7636 3,9694 4,2994 4,8178 5,5154 6,2882 6,9814 7,4554 7,6238 7,4546 6,9592 6,1800 5,1828 4,0676 2,9862 2,1169 1,5825 1,3879 1,4460 1,6626 1,9861 2,3876 2,8305 3,2746 3,6879 4,0286 4,2240 4,1934 3,9086 3,4380 2,9252 2,5124 2,2654 2,1584 2,1135 2,0541 1,9359 1,7522 1,5244 1,2939 1,1127 1,0253 1,0510 1,1786 1,3757 1,6103 1,8681 2,1454 2,4301 2,6916 2,8829 2,9566 2,8834 2,6617 2,3216 1,9208 1,5152 1,1359 0,8089 0,5937 0,5787 0,8270 1,3199 1,9480 2,5523 2,9812 3,1448 3,0438 2,7430 2,3289 1,8896 1,4887 1,1357 0,8038 0,4742 0,1505 -0,1556 -0,4165 -0,5715 -0,5524 -0,3433 -0,0088 0,3327 0,5612 0,6006 0,4369 0,1102 -0,2921 -0,6354 -0,7739 -0,6305 -0,2415 0,2753 0,7870 1,1919 1,4395 1,5233 1,4620 1,2880 1,0534 0,8267 0,6718 0,6257 0,6857 0,8143 0,9702 1,1416 1,3368 1,5445 1,7178 1,7968 1,7385 1,5272 1,1722 0,7069 0,1993 -0,2383 -0,4746 -0,4316 -0,1543 0,2044 0,4872 0,6198 0,6156 0,5461 0,5261 0,6710 1,0278 1,5472 2,1178 2,6118 2,9073 2,9071 2,5721 1,9538 1,1936 0,4752 -0,0424 -0,2758 -0,2253 0,0592 0,5194 1,1084 1,7846 2,4841 3,1071 3,5559 3,7813 3,7938 3,6497 3,4275 3,1987 3,0156 2,9193 2,9379 3,0654 3,2490 3,3964 3,3857 3,0937 2,4611 1,5543 0,5490 -0,3675 -1,0810 -1,5518 -1,7744 -1,7585 -1,5376 -1,1741 -0,7413 -0,2783 0,2336 0,8250 1,4710 2,0744 2,4979 2,6144 2,3628 1,7799 0,9879 0,1458 -0,6114 -1,2191 -1,6698 -1,9511 -2,0070 -1,7746 -1,2527 -0,5171 0,3260 1,1866 2,0042 2,7340 3,3239 3,7121 3,8477 3,7154 3,3491 2,8260 2,2416 1,6770 1,1770 0,7558 0,4199 0,1827 0,0721 0,1272 0,3710 0,7854 1,3126 1,8709 2,3652 2,6912 2,7519 2,5081 2,0337 1,5081 1,1262 0,9941 1,0983 1,3446 1,6102 1,7853 1,8121 1,7072 1,5534 1,4640 1,5251 1,7439 2,0546 2,3742 2,6446 2,8354 2,9386 2,9714 2,9644 2,9224 2,7949 2,5061 2,0182 1,3616 0,6204 -0,0857 -0,6105 -0,8134 -0,6130 -0,0227 0,8570 1,8615 2,7939 3,4870 3,8765 4,0156 4,0145 3,9682 3,9165 3,8377 3,6665 3,3289 2,7837 2,0542 1,2385 0,4962 -0,0073 -0,1944 -0,1228 0,0756 0,2939 0,4866 0,6390 0,7374 0,7784 0,7859 0,7984 0,8565 1,0031 1,2599 1,5925 1,9232 2,1853 2,3512 2,4176 2,3892 2,2622 2,0080 1,5921 1,0266 0,4059 -0,0999 -0,3027 -0,0902 0,4998 1,2829 2,0100 2,4749 2,5905 2,3937 1,9879 1,4788 0,9452 0,4396 -0,0061 -0,3903 -0,7447 -1,0981 -1,4324 -1,6927 -1,8505 -1,9470 -2,0654 -2,2619 -2,5364 -2,8503 -3,1295 -3,2546 -3,1111 -2,6813 -2,0721 -1,4499 -0,9467 -0,6007 -0,3521 -0,0951 0,2419 0,6430 1,0224 1,2775 1,3183 1,0810 0,5659 -0,1261 -0,8131 -1,3003 -1,4578 -1,2727 -0,8413 -0,3095 0,1896 0,5769 0,8534 1,0916 1,3805 1,7616 2,2052 2,6323 2,9563 3,1141 3,0779 2,8552 2,4858 2,0356 1,5918 1,2570 1,1271 1,2509 1,6004 2,0825 2,5723 2,9386 3,0778 2,9537 2,6026 2,1017 1,5515 1,0648 0,7388 0,6229 0,7083 0,9394 1,2346 1,4999 1,6387 1,5591 1,1929 0,5260 -0,3851 -1,4214 -2,4069 -3,1292 -3,4177 -3,2309 -2,6661 -1,8966 -1,0979 -0,3897 0,1823 0,6141 0,9011 1,0373 1,0394 0,9424 0,7577 0,4449 -0,0632 -0,8053 -1,7438 -2,7489 -3,6318 -4,2243 -4,4536 -4,3594 -4,0490 -3,6301 -3,1704 -2,7030 -2,2513 -1,8253 -1,3960 -0,9056 -0,3281 0,2825 0,8138 1,1638 1,2779
