Fp1   -2,0524 -1,4790 -1,1019 -0,8764 -0,6873 -0,4347 -0,0931 0,2797 0,5431 0,5187 0,0937 -0,7138 -1,7715 -2,8639 -3,7239 -4,0986 -3,8403 -2,9885 -1,7858 -0,5710 0,3914 1,0135 1,3548 1,5061 1,4880 1,2614 0,8320 0,3073 -0,1740 -0,5237 -0,6794 -0,5522 -0,0717 0,7159 1,6191 2,3702 2,7613 2,7430 2,3869 1,7914 1,0613 0,3367 -0,2114 -0,4379 -0,2881 0,1800 0,8210 1,4571 1,9477 2,2393 2,3558 2,3373 2,2090 2,0097 1,7931 1,5664 1,2963 1,0153 0,8595 0,9681 1,3869 2,0642 2,8860 3,7064 4,3933 4,8653 5,0728 4,9483 4,4059 3,4208 2,1092 0,7072 -0,5255 -1,3932 -1,7972 -1,7181 -1,2004 -0,3749 0,5382 1,3113 1,8087 1,9971 1,8843 1,4697 0,7471 -0,2441 -1,3508 -2,3082 -2,8622 -2,9198 -2,5931 -2,1083 -1,6629 -1,3431 -1,1527 -1,1102 -1,2823 -1,7005 -2,2720 -2,7955 -3,0550 -2,9170 -2,3819 -1,5679 -0,6529 0,1728 0,7229 0,8322 0,4108 -0,4866 -1,6366 -2,7129 -3,4360 -3,7156 -3,6614 -3,4568 -3,2138 -2,9266 -2,5395 -2,0487 -1,5367 -1,1222 -0,9109 -0,9731 -1,2990 -1,7717 -2,2305 -2,5617 -2,7273 -2,7455 -2,6570 -2,5029 -2,3159 -2,1180 -1,9240 -1,7371 -1,5327 -1,2730 -0,9586 -0,6478 -0,4369 -0,4362 -0,7030 -1,1549 -1,5854 -1,7913 -1,6803 -1,2821 -0,6780 0,0899 1,0380 2,1654 3,3713 4,4711 5,3009 5,8059 6,0294 6,0309 5,8246 5,3950 4,7706 4,0689 3,4317 2,9208 2,5084 2,1574 1,8796 1,7190 1,7194 1,9285 2,4037 3,1618 4,1042 5,0213 5,6853 5,9390 5,7347 5,1589 4,4235 3,7730 3,3566 3,1722 3,1252 3,1466 3,2513 3,4755 3,7897 4,0847 4,2162 4,0737 3,6602 3,1103 2,5966 2,2075 1,9213 1,6912 1,5287 1,4782 1,5271 1,5669 1,4282 0,9774 0,2163 -0,7186 -1,6351 -2,3556 -2,7552 -2,7804 -2,4303 -1,6979 -0,5496 0,9929 2,7653 4,4878 5,8750 6,7222 6,9343 6,5344 5,6575 4,5124 3,3200 2,2689 1,5219 1,2243 1,4500 2,1459 3,1570 4,2802 5,2888 5,9662 6,1850 5,9707 5,4815 4,9143 4,3931 3,9235 3,4645 3,0318 2,7220 2,6534 2,8845 3,3756 4,0181 4,6964 5,3279 5,8793 6,3585 6,7784 7,1329 7,4206 7,6586 7,8472 7,9383 7,8483 7,4982 6,8817 6,1160 5,3786 4,7829 4,3580 4,1233 4,1037 4,2653 4,4894 4,6347 4,6199 4,4541 4,2049 3,9489 3,7239 3,4939 3,1800 2,7523 2,2692 1,8110 1,4073 1,0399 0,6707 0,2691 -0,1620 -0,5958 -1,0241 -1,4556 -1,8504 -2,0843 -2,0087 -1,5507 -0,7620 0,2182 1,2439 2,2110 3,0721 3,8468 4,5995 5,3760 6,1677 6,9243 7,5704 8,0138 8,1738 8,0238 7,6339 7,1585 6,7520 6,5048 6,4415 6,5229 6,6608 6,7761 6,8522 6,9359 7,0886 7,3154 7,5285 7,5830 7,3270 6,6398 5,5151 4,1373 2,8274 1,8732 1,3748 1,2209 1,1975 1,1402 1,0364 1,0083 1,1861 1,6000 2,1873 2,8414 3,4242 3,8024 3,9344 3,8776 3,6755 3,2914 2,7039 2,0338 1,5197 1,3766 1,6971 2,4632 3,5945 4,9504 6,3345 7,5520 8,4541 8,9323 8,9329 8,5001 7,7544 6,8163 5,7848 4,7544 3,8065 3,0053 2,4291 2,1718 2,2732 2,6520 3,1316 3,5357 3,7656 3,8133 3,7260 3,5692 3,4042 3,2642 3,1527 3,0783 3,0740 3,1665 3,3353 3,5258 3,7022 3,8605 3,9848 4,0286 3,9576 3,7829 3,5237 3,1371 2,5190 1,6202 0,5333 -0,5842 -1,6304 -2,5626 -3,3278 -3,8285 -3,9488 -3,6294 -2,9455 -2,1089 -1,3701 -0,8909 -0,6752 -0,6005 -0,5315 -0,4201 -0,2946 -0,1815 -0,0860 -0,0300 -0,0505 -0,1579 -0,3181 -0,4480 -0,4120 -0,0781 0,5842 1,4712 2,3906 3,1315 3,5462 3,6105 3,4034 3,0260 2,5594 2,0860 1,7014 1,4692 1,3617 1,2561 1,0107 0,5906 0,1491 -0,0429 0,2300 1,0114 2,1545 3,3659 4,3162 4,7957 4,8164 4,5722 4,2806 4,0458 3,8507 3,6257 3,3212 2,9651 2,6552 2,4746 2,4510 2,6010 2,9346 3,4127 3,9703 4,5781 5,2306 5,8885 6,4624 6,8296 6,8637 6,5150 5,8809 5,1417 4,4238 3,7698 3,2167 2,8297 2,6580 2,7049 2,9237 3,2089 3,4323 3,5008 3,3377 2,8365 1,9152 0,6475 -0,6818 -1,6861 -2,0640 -1,7270 -0,8260 0,3196 1,3867 2,1887 2,6667 2,8061 2,6212 2,1957 1,6722 1,1657 0,7105 0,3162 0,0548 0,0563 0,4183 1,1419 2,1389 3,2544 4,2727 4,9484 5,0811 4,5883 3,5396 2,1375 0,6456 -0,6741 -1,5860 -1,9380 -1,7717 -1,3420 -0,9541 -0,7724 -0,7839 -0,8787 -0,9386 -0,8895 -0,6961 -0,3263 0,2505 1,0187 1,8737 2,6425 3,1750 3,4374 3,5158 3,5279 3,5594 3,6666 3,8787 4,1934 4,5897 5,0097 5,3208 5,3381 4,9158 4,0419 2,8782 1,7023 0,7944 0,3383 0,3525 0,6891 1,1359 1,5391 1,8488 2,0982 2,3732 2,7845 3,4187 4,2681 5,1911 5,9495 6,2960 6,0772 5,3144 4,1767 2,8656 1,5484 0,3662 -0,5568 -1,1427 -1,3973 -1,4143 -1,3275 -1,2351 -1,1530 -1,0261 -0,7787 -0,3684 0,1874 0,8102 1,3578 1,6382 1,4779 0,8188 -0,2143 -1,3488 -2,3091 -2,9536 -3,2988 -3,4248 -3,3697 -3,1343 -2,7616 -2,3555 -2,0331 -1,8779 -1,8883 -1,9540 -1,9367 -1,7855 -1,5429 -1,2816 -1,0905 -1,0719 -1,2818 -1,6729 -2,1196 -2,5033 -2,7723 -2,9454 -3,1004 -3,3602
Fz    -1,0683 -0,3470 0,1414 0,4171 0,5689 0,6857 0,8064 0,9035 0,8701 0,5557 -0,1327 -1,1687 -2,4152 -3,6379 -4,5389 -4,8506 -4,4474 -3,4186 -2,0534 -0,7126 0,3400 1,0253 1,4122 1,6051 1,6464 1,5102 1,1864 0,7386 0,2527 -0,2264 -0,6527 -0,9086 -0,8549 -0,4633 0,1217 0,6487 0,9161 0,8887 0,6542 0,3108 -0,0607 -0,3592 -0,4565 -0,2401 0,3312 1,1947 2,1899 3,1119 3,7962 4,1840 4,3114 4,2384 4,0088 3,6774 3,3112 2,9301 2,5115 2,0979 1,8440 1,9210 2,4028 3,2363 4,2632 5,2685 6,0608 6,5331 6,6476 6,3704 5,6443 4,4510 2,8941 1,1943 -0,3997 -1,6970 -2,5899 -3,0243 -2,9837 -2,5323 -1,8471 -1,1452 -0,5716 -0,1747 0,0302 0,0097 -0,2819 -0,8484 -1,5728 -2,2026 -2,4720 -2,2679 -1,6848 -0,9388 -0,2363 0,3104 0,6709 0,8142 0,6803 0,2600 -0,3274 -0,8639 -1,1316 -1,0076 -0,5058 0,2498 1,0914 1,8534 2,3792 2,5272 2,2108 1,4623 0,4718 -0,4571 -1,0583 -1,2609 -1,2052 -1,1081 -1,1020 -1,1763 -1,2447 -1,2546 -1,2245 -1,2049 -1,2524 -1,4202 -1,7041 -2,0049 -2,1945 -2,2059 -2,0454 -1,7516 -1,3575 -0,8831 -0,3485 0,2201 0,7898 1,3196 1,7760 2,1412 2,3954 2,5056 2,4266 2,1051 1,5330 0,8262 0,2080 -0,1129 -0,0442 0,3868 1,1061 2,0717 3,2804 4,6934 6,1719 7,5036 8,5015 9,0898 9,3037 9,2159 8,8761 8,3204 7,6257 6,9269 6,3485 5,9205 5,5912 5,3173 5,1204 5,0620 5,1922 5,5424 6,1416 6,9838 7,9592 8,8596 9,4752 9,6807 9,4645 8,9367 8,3017 7,7677 7,4415 7,2924 7,2158 7,1448 7,1008 7,1363 7,2567 7,4008 7,4669 7,3621 7,0680 6,6646 6,2640 5,9189 5,6128 5,3382 5,1554 5,1384 5,2730 5,4309 5,4286 5,1349 4,5619 3,8431 3,1432 2,6021 2,3191 2,3398 2,6639 3,2976 4,2796 5,6027 7,1207 8,5729 9,6980 10,3181 10,3627 9,8778 9,0132 7,9698 6,9353 6,0536 5,4463 5,2272 5,4442 6,0266 6,8180 7,6348 8,2822 8,5782 8,4296 7,8952 7,1627 6,4525 5,9015 5,5153 5,2423 5,0874 5,1415 5,5140 6,2409 7,2525 8,4200 9,6155 10,7347 11,7053 12,4943 13,0904 13,4853 13,6903 13,7442 13,6758 13,4708 13,0827 12,4622 11,6093 10,6273 9,6822 8,8899 8,2827 7,8677 7,6477 7,5798 7,5637 7,4948 7,3215 7,0607 6,7718 6,5172 6,3189 6,1270 5,8516 5,4575 5,0116 4,6165 4,3203 4,0992 3,8867 3,6189 3,2766 2,8795 2,4497 2,0155 1,6592 1,5245 1,7423 2,3423 3,2266 4,2283 5,1992 6,0473 6,7370 7,2975 7,8082 8,3377 8,8951 9,4358 9,8822 10,1403 10,1283 9,8190 9,2814 8,6718 8,1560 7,8455 7,7836 7,9331 8,1855 8,4174 8,5540 8,5974 8,5995 8,5847 8,4932 8,2106 7,6228 6,6500 5,3118 3,7930 2,4018 1,4173 0,9406 0,8663 0,9835 1,1199 1,2455 1,4612 1,8753 2,5027 3,2794 4,1097 4,8596 5,3774 5,5918 5,5492 5,3134 4,8801 4,2477 3,5331 2,9549 2,7108 2,8900 3,4772 4,3907 5,4913 6,5953 7,5294 8,1660 8,4122 8,2256 7,6601 6,8430 5,9009 4,9392 4,0527 3,3067 2,7347 2,3858 2,3323 2,5937 3,0724 3,5917 3,9919 4,1935 4,1958 4,0424 3,7997 3,5487 3,3554 3,2547 3,2800 3,4824 3,8927 4,4665 5,0916 5,6566 6,0961 6,3766 6,4820 6,4298 6,2647 5,9995 5,5559 4,8015 3,6869 2,3274 0,9167 -0,4004 -1,5420 -2,4320 -2,9682 -3,0459 -2,6312 -1,8312 -0,8769 -0,0145 0,6162 1,0368 1,3812 1,7680 2,2014 2,5984 2,8832 3,0175 2,9723 2,7390 2,3668 1,9629 1,6688 1,6418 2,0031 2,7624 3,8006 4,9123 5,8640 6,4720 6,6701 6,5017 6,0568 5,4415 4,7872 4,2334 3,8597 3,6260 3,3810 2,9571 2,3209 1,6674 1,3313 1,5739 2,4341 3,7127 5,0411 6,0233 6,4176 6,2566 5,7978 5,3332 5,0215 4,8703 4,8134 4,7848 4,7632 4,7695 4,8146 4,8881 5,0048 5,1988 5,4711 5,8044 6,2164 6,7443 7,3809 8,0440 8,5841 8,8275 8,6791 8,2060 7,5780 6,9304 6,3301 5,8471 5,5774 5,5806 5,8388 6,2595 6,6932 6,9964 7,0916 6,9218 6,3813 5,3783 3,9877 2,5104 1,3501 0,8136 0,9901 1,7395 2,7639 3,7603 4,5532 5,0840 5,3303 5,2908 5,0235 4,6404 4,2316 3,8188 3,4175 3,1237 3,0920 3,4311 4,1427 5,1345 6,2425 7,2386 7,8682 7,9319 7,3595 6,2397 4,7872 3,2511 1,8518 0,7874 0,2089 0,1096 0,2794 0,4462 0,4611 0,3417 0,2056 0,1887 0,3839 0,8298 1,5361 2,4927 3,6392 4,8323 5,8690 6,5803 6,9338 7,0374 7,0350 7,0182 7,0252 7,0664 7,1504 7,3011 7,5173 7,7088 7,7079 7,3549 6,5974 5,5533 4,4794 3,6572 3,2744 3,3497 3,7392 4,2382 4,6935 5,0420 5,2953 5,5203 5,8205 6,2838 6,9059 7,5521 8,0004 8,0231 7,4770 6,3814 4,9007 3,2451 1,6142 0,1971 -0,8432 -1,4152 -1,5390 -1,3414 -0,9929 -0,6169 -0,2405 0,1820 0,7073 1,3490 2,0643 2,7638 3,3118 3,5398 3,3096 2,5965 1,5419 0,4131 -0,5305 -1,1572 -1,4766 -1,5543 -1,4283 -1,1217 -0,7080 -0,3091 -0,0409 0,0257 -0,0975 -0,2938 -0,4126 -0,3799 -0,2185 -0,0045 0,1486 0,1092 -0,1933 -0,7023 -1,2715 -1,7698 -2,1466 -2,4199 -2,6518 -2,9477
F3    -0,3888 0,1945 0,4788 0,5097 0,4289 0,3772 0,4203 0,5271 0,5677 0,3593 -0,2297 -1,2089 -2,4538 -3,7092 -4,6359 -4,9312 -4,4540 -3,2901 -1,7382 -0,1988 0,9964 1,7131 2,0118 2,0289 1,8544 1,5107 1,0251 0,4740 -0,0681 -0,5780 -1,0309 -1,3253 -1,3221 -0,9710 -0,3843 0,2068 0,5943 0,7090 0,5927 0,3108 -0,0606 -0,3975 -0,5254 -0,2802 0,3983 1,4101 2,5264 3,4884 4,1140 4,3532 4,2639 3,9394 3,4635 2,9237 2,4069 1,9434 1,5079 1,1214 0,9061 1,0063 1,4862 2,3028 3,3299 4,3937 5,3246 5,9975 6,3239 6,2160 5,5832 4,4020 2,7971 1,0320 -0,5991 -1,8801 -2,7008 -3,0200 -2,8462 -2,2727 -1,4943 -0,7273 -0,0997 0,3616 0,6490 0,7137 0,4808 -0,0749 -0,8346 -1,5197 -1,8279 -1,6264 -1,0253 -0,2821 0,3582 0,7641 0,9095 0,7893 0,3873 -0,2465 -0,9359 -1,4368 -1,5504 -1,2089 -0,4995 0,3871 1,2444 1,9061 2,2444 2,1556 1,5856 0,5908 -0,6196 -1,7268 -2,4555 -2,7286 -2,6734 -2,4837 -2,2822 -2,0853 -1,8676 -1,6432 -1,4838 -1,4745 -1,6749 -2,0966 -2,6664 -3,2275 -3,6197 -3,7579 -3,6429 -3,3261 -2,8674 -2,3159 -1,7173 -1,1185 -0,5617 -0,0785 0,3138 0,6053 0,7755 0,7991 0,6557 0,3189 -0,2136 -0,8413 -1,3594 -1,5760 -1,4243 -0,9671 -0,3096 0,4978 1,4732 2,6188 3,8300 4,9058 5,6626 6,0402 6,1009 5,9368 5,5942 5,0840 4,4475 3,7923 3,2381 2,8374 2,5750 2,4348 2,4349 2,5995 2,9292 3,4199 4,0888 4,9287 5,8311 6,5930 7,0127 6,9761 6,4957 5,7235 4,9127 4,3060 4,0161 3,9827 4,0386 4,0450 3,9761 3,8785 3,7845 3,6810 3,5207 3,2492 2,8533 2,3907 1,9450 1,5480 1,1682 0,7832 0,4380 0,1985 0,0607 -0,0706 -0,3365 -0,8366 -1,5479 -2,3416 -3,0660 -3,5944 -3,8374 -3,7542 -3,3454 -2,6089 -1,5225 -0,1086 1,4905 3,0292 4,2461 4,9345 4,9795 4,3930 3,3207 1,9935 0,6529 -0,4962 -1,2702 -1,5008 -1,1059 -0,1601 1,1326 2,5123 3,7039 4,4605 4,6525 4,3422 3,7666 3,2197 2,8918 2,7864 2,7979 2,8652 3,0426 3,4442 4,1307 5,0482 6,0697 7,0655 7,9379 8,6352 9,1561 9,5247 9,7669 9,9238 10,0499 10,1624 10,2112 10,1055 9,7596 9,1556 8,3984 7,6627 7,0627 6,6185 6,3267 6,1928 6,1921 6,2520 6,2937 6,2855 6,2565 6,2646 6,3532 6,5051 6,6089 6,5008 6,0830 5,3949 4,5672 3,7388 3,0143 2,4414 2,0045 1,6515 1,3203 0,9547 0,5327 0,1088 -0,1851 -0,2015 0,1380 0,7944 1,6437 2,5531 3,4154 4,1557 4,7652 5,3092 5,8503 6,3829 6,8607 7,2434 7,4902 7,5482 7,3876 7,0580 6,6895 6,4230 6,3542 6,5157 6,8517 7,2243 7,4905 7,5940 7,5923 7,5920 7,6384 7,6602 7,5107 7,0369 6,1377 4,8423 3,3540 1,9871 1,0238 0,5809 0,5740 0,8000 1,0758 1,3413 1,6530 2,0822 2,6374 3,2715 3,9036 4,3977 4,5864 4,3755 3,7930 2,9129 1,7977 0,5682 -0,5269 -1,1912 -1,2254 -0,5936 0,6110 2,2181 3,9989 5,6980 7,1071 8,0981 8,5927 8,5617 8,0648 7,2303 6,1871 5,0473 3,9150 2,8699 1,9696 1,2882 0,9153 0,8812 1,0955 1,3772 1,5466 1,5053 1,2602 0,8927 0,5108 0,2076 0,0309 -0,0117 0,0910 0,3752 0,8536 1,4552 2,0521 2,5531 2,9438 3,2417 3,4493 3,5568 3,5570 3,4194 3,0550 2,3507 1,2832 -0,0212 -1,3726 -2,6347 -3,7398 -4,6326 -5,2306 -5,4310 -5,1754 -4,5265 -3,6698 -2,8192 -2,0985 -1,4808 -0,8362 -0,0618 0,8142 1,6596 2,3410 2,7672 2,8754 2,6465 2,1301 1,4383 0,7351 0,2319 0,1268 0,5030 1,2877 2,2876 3,2474 3,9310 4,2055 4,0683 3,6018 2,9234 2,1728 1,4986 1,0057 0,6920 0,4368 0,0802 -0,4224 -0,8986 -1,0510 -0,6683 0,2480 1,4914 2,7274 3,6237 4,0038 3,9317 3,6471 3,3878 3,2505 3,1957 3,1385 3,0242 2,8589 2,6898 2,5551 2,4826 2,5289 2,7516 3,1431 3,6484 4,2330 4,8875 5,5759 6,1991 6,5943 6,5820 6,0785 5,1846 4,1160 3,0478 2,0748 1,2909 0,8153 0,7236 0,9974 1,5302 2,1519 2,6908 3,0317 3,0802 2,7066 1,8061 0,4427 -1,0896 -2,3757 -3,0812 -3,0955 -2,5517 -1,7382 -0,9354 -0,3015 0,0963 0,2096 0,0222 -0,3967 -0,9061 -1,3872 -1,8080 -2,1670 -2,3984 -2,3745 -1,9979 -1,2643 -0,2610 0,8493 1,8422 2,4759 2,5637 2,0330 0,9495 -0,5050 -2,0969 -3,5812 -4,7035 -5,2601 -5,2256 -4,7922 -4,2319 -3,7212 -3,2942 -2,8986 -2,4628 -1,9374 -1,2993 -0,5327 0,3681 1,3594 2,3111 3,0407 3,4225 3,4841 3,3839 3,2906 3,3007 3,4457 3,7183 4,0919 4,5351 4,9849 5,3028 5,3003 4,8335 3,9030 2,6915 1,5009 0,6355 0,3057 0,5528 1,2293 2,0830 2,8773 3,4591 3,7754 3,8807 3,9205 4,0591 4,3689 4,7722 5,0851 5,1072 4,7112 3,9108 2,8366 1,6364 0,4302 -0,6681 -1,5432 -2,1106 -2,3518 -2,3269 -2,1444 -1,8989 -1,6235 -1,2912 -0,8577 -0,3105 0,3174 0,9554 1,4852 1,7398 1,5572 0,8704 -0,2241 -1,4869 -2,6511 -3,5431 -4,1187 -4,4082 -4,4402 -4,2397 -3,8759 -3,4601 -3,1010 -2,8800 -2,8283 -2,9032 -3,0234 -3,1346 -3,2149 -3,2563 -3,2921 -3,4100 -3,6844 -4,0957 -4,5441 -4,9400 -5,2642 -5,5492 -5,8552 -6,2777
F7    -0,4481 -0,2236 -0,2027 -0,3178 -0,4543 -0,5118 -0,4449 -0,2800 -0,1199 -0,0985 -0,2915 -0,6807 -1,1924 -1,7273 -2,1523 -2,2980 -2,0038 -1,2278 -0,1356 0,9568 1,7604 2,1511 2,1711 1,9305 1,5104 0,9529 0,3203 -0,2866 -0,7898 -1,1729 -1,4248 -1,4780 -1,2524 -0,7553 -0,1243 0,4221 0,6992 0,6508 0,3449 -0,0873 -0,5004 -0,7669 -0,7921 -0,5208 0,0398 0,7991 1,6088 2,3293 2,8796 3,2355 3,3966 3,3565 3,1035 2,6604 2,1043 1,5227 0,9842 0,5738 0,3973 0,5171 0,9116 1,4937 2,1330 2,6819 3,0367 3,1863 3,1862 3,0801 2,8432 2,4031 1,7255 0,8772 0,0124 -0,6885 -1,0818 -1,1062 -0,8025 -0,2925 0,2814 0,8156 1,2632 1,6057 1,8010 1,7545 1,3549 0,5770 -0,4242 -1,3375 -1,8616 -1,8777 -1,4838 -0,8856 -0,2623 0,2976 0,7739 1,1383 1,3218 1,2783 1,0617 0,8207 0,7246 0,8816 1,2948 1,8713 2,4648 2,9134 3,0605 2,7829 2,0409 0,9217 -0,3649 -1,5474 -2,4024 -2,8530 -2,9741 -2,9006 -2,7294 -2,4980 -2,2300 -1,9638 -1,7326 -1,5489 -1,4330 -1,4281 -1,5506 -1,7441 -1,9152 -2,0010 -1,9938 -1,9157 -1,7825 -1,5924 -1,3336 -1,0018 -0,6213 -0,2410 0,0898 0,3257 0,4203 0,3495 0,1220 -0,2539 -0,7717 -1,3635 -1,8777 -2,1518 -2,0939 -1,6921 -0,9734 0,0306 1,2777 2,6723 4,0318 5,1189 5,7570 5,9411 5,8194 5,5561 5,2221 4,8041 4,2886 3,7186 3,1713 2,7103 2,3820 2,2314 2,2817 2,5012 2,8224 3,2052 3,6651 4,2161 4,7985 5,2892 5,5775 5,6047 5,3581 4,8835 4,3152 3,8466 3,6209 3,6300 3,7379 3,8092 3,7994 3,7282 3,6101 3,4279 3,1423 2,7246 2,2003 1,6560 1,1784 0,7875 0,4452 0,1265 -0,1336 -0,2753 -0,2859 -0,2358 -0,2596 -0,4654 -0,8360 -1,2587 -1,6418 -1,9592 -2,2106 -2,3754 -2,3958 -2,1804 -1,6354 -0,7263 0,4661 1,7479 2,8723 3,6239 3,8930 3,7052 3,1913 2,5279 1,8865 1,4126 1,2330 1,4432 2,0470 2,9207 3,8559 4,6383 5,1142 5,2341 5,0632 4,7458 4,4464 4,2813 4,2540 4,2519 4,1408 3,8755 3,5379 3,2901 3,2821 3,5721 4,1083 4,7630 5,3874 5,8700 6,1759 6,3446 6,4520 6,5661 6,7137 6,8599 6,9222 6,8178 6,5147 6,0649 5,5941 5,2302 5,0333 4,9928 5,0645 5,1864 5,2778 5,2662 5,1305 4,9150 4,7034 4,5829 4,6222 4,8375 5,1546 5,4397 5,5920 5,5917 5,4675 5,2582 5,0055 4,7407 4,4646 4,1437 3,7236 3,1593 2,4670 1,7602 1,2140 0,9750 1,0952 1,5280 2,1795 2,9640 3,8111 4,6590 5,4840 6,3090 7,1407 7,9244 8,5863 9,0821 9,3806 9,4453 9,2733 8,9377 8,5535 8,2059 7,9415 7,8055 7,8429 8,0736 8,4937 9,0795 9,7756 10,4907 11,1068 11,4867 11,4985 11,0563 10,1624 8,9414 7,6272 6,4816 5,6870 5,2686 5,0992 4,9979 4,8588 4,7116 4,6589 4,7536 4,9484 5,1488 5,2686 5,2299 4,9728 4,5148 3,9594 3,4048 2,8712 2,3552 1,9284 1,7388 1,9258 2,5516 3,5926 4,9492 6,4463 7,8754 9,0757 9,9561 10,4570 10,5407 10,2192 9,5570 8,6475 7,5989 6,5241 5,5264 4,6969 4,1172 3,8387 3,8413 4,0248 4,2640 4,4664 4,5843 4,6085 4,5598 4,4713 4,3681 4,2533 4,1187 3,9780 3,8752 3,8397 3,8464 3,8411 3,8003 3,7475 3,7117 3,6937 3,6814 3,6684 3,6294 3,4876 3,1369 2,5247 1,7076 0,8092 -0,0493 -0,7711 -1,2888 -1,5729 -1,6198 -1,4479 -1,1158 -0,7340 -0,4326 -0,2866 -0,2659 -0,2699 -0,2141 -0,0852 0,0820 0,2571 0,4124 0,4891 0,4156 0,1663 -0,2009 -0,5455 -0,6876 -0,5011 0,0013 0,6824 1,3654 1,8999 2,1887 2,1946 1,9324 1,4555 0,8587 0,2811 -0,1363 -0,3210 -0,3151 -0,2543 -0,2811 -0,4340 -0,6049 -0,6260 -0,3967 0,0632 0,6318 1,1298 1,3860 1,3163 0,9756 0,5263 0,1259 -0,1602 -0,3449 -0,4608 -0,5225 -0,5025 -0,3422 -0,0173 0,4295 0,9374 1,4617 1,9591 2,3922 2,7651 3,1222 3,4946 3,8424 4,0406 3,9434 3,5117 2,8846 2,2780 1,8186 1,5083 1,3177 1,2440 1,2824 1,3959 1,5130 1,5296 1,3447 0,9197 0,2775 -0,5497 -1,5183 -2,5118 -3,3248 -3,7397 -3,6283 -3,0077 -2,0433 -0,9882 -0,0690 0,5872 0,9248 0,9230 0,6190 0,1317 -0,3865 -0,8426 -1,2361 -1,5832 -1,8319 -1,8802 -1,6649 -1,2075 -0,6017 0,0125 0,4763 0,6488 0,4412 -0,1596 -1,0701 -2,1240 -3,1346 -3,9396 -4,3948 -4,4033 -3,9955 -3,3490 -2,6829 -2,1267 -1,6853 -1,2915 -0,8902 -0,4871 -0,1174 0,2209 0,5846 1,0251 1,5083 1,9164 2,1509 2,2267 2,2486 2,3123 2,4557 2,6771 2,9620 3,3111 3,7485 4,2693 4,7746 5,0804 4,9995 4,4440 3,4901 2,3562 1,3106 0,5678 0,2106 0,1857 0,3834 0,7105 1,0915 1,4547 1,7655 2,0676 2,4578 2,9899 3,5999 4,1290 4,4044 4,3215 3,8983 3,2404 2,4444 1,5652 0,6600 -0,1774 -0,8397 -1,2633 -1,4717 -1,5606 -1,6346 -1,7451 -1,8647 -1,9155 -1,8265 -1,5637 -1,1357 -0,6101 -0,1196 0,1749 0,1535 -0,1895 -0,7332 -1,3069 -1,7854 -2,1302 -2,3576 -2,4754 -2,4809 -2,4118 -2,3493 -2,3702 -2,5058 -2,7137 -2,8820 -2,9062 -2,7684 -2,5211 -2,2248 -1,9377 -1,7297 -1,6574 -1,7221 -1,8743 -2,0545 -2,2274 -2,3957 -2,6107 -2,9685
