Fp1   1,6960 2,2072 2,3508 2,1290 1,6053 0,9098 0,2137 -0,3351 -0,6785 -0,8559 -0,9457 -1,0030 -1,0361 -1,0248 -0,9496 -0,7967 -0,5508 -0,2135 0,1718 0,5275 0,7659 0,8072 0,6090 0,2082 -0,2746 -0,6847 -0,9034 -0,9011 -0,7468 -0,5565 -0,4098 -0,3026 -0,1759 0,0173 0,2792 0,5837 0,8971 1,1708 1,3358 1,3178 1,0559 0,5317 -0,1866 -0,9260 -1,4712 -1,6792 -1,5478 -1,1859 -0,7358 -0,3133 0,0044 0,1713 0,1769 0,0551 -0,1347 -0,3423 -0,5390 -0,7076 -0,8271 -0,8628 -0,7822 -0,5826 -0,2930 0,0308 0,3056 0,4447 0,4010 0,1950 -0,0917 -0,3543 -0,5035 -0,4930 -0,3334 -0,0894 0,1512 0,3252 0,4191 0,4414 0,3904 0,2574 0,0446 -0,2347 -0,5595 -0,8856 -1,1418 -1,2581 -1,1995 -0,9745 -0,6263 -0,2272 0,1280 0,3516 0,4074 0,3294 0,1957 0,0773 0,0042 -0,0425 -0,1225 -0,3122 -0,6690 -1,1899 -1,7763 -2,2551 -2,4762 -2,4025 -2,0984 -1,6447 -1,0841 -0,4388 0,2543 0,9376 1,5362 1,9625 2,1449 2,0726 1,8009 1,4041 0,9391 0,4558 0,0007 -0,4175 -0,8336 -1,2759 -1,7278 -2,1382 -2,4480 -2,6170 -2,6470 -2,5790 -2,4550 -2,2705 -1,9637 -1,4712 -0,8029 -0,0665 0,5848 1,0392 1,2682 1,2885 1,1067 0,7207 0,1639 -0,4731 -1,0639 -1,5058 -1,7773 -1,9284 -2,0130 -2,0422 -1,9982 -1,8766 -1,7027 -1,5081 -1,3128 -1,1290 -0,9618 -0,8171 -0,7325 -0,7698 -0,9448 -1,1794 -1,3409 -1,3150 -1,0462 -0,5477 0,0948 0,7285 1,1661 1,2442 0,8896 0,1601 -0,7828 -1,7499 -2,5776 -3,1273 -3,2920 -3,0505 -2,5143 -1,8976 -1,4242 -1,2327 -1,3293 -1,6112 -1,9398 -2,2045 -2,3496 -2,3781 -2,3386 -2,2950 -2,2879 -2,3088 -2,3198 -2,2998 -2,2658 -2,2596 -2,3261 -2,4991 -2,8081 -3,2756 -3,8777 -4,5150 -5,0568 -5,4204 -5,6024 -5,6459 -5,5949 -5,4702 -5,2598 -4,9339 -4,4849 -3,9583 -3,4548 -3,1024 -3,0003 -3,1646 -3,5189 -3,9361 -4,2883 -4,4610 -4,3615 -3,9693 -3,3812 -2,7753 -2,3170 -2,0846 -2,0573 -2,1540 -2,2838 -2,3812 -2,4224 -2,4270 -2,4517 -2,5691 -2,8168 -3,1543 -3,4837 -3,7061 -3,7606 -3,6389 -3,3760 -3,0299 -2,6729 -2,3752 -2,1780 -2,1053 -2,2068 -2,5517 -3,1501 -3,8900 -4,5746 -5,0309 -5,1955 -5,1330 -4,9849 -4,8667 -4,7971 -4,7298 -4,6294 -4,4944 -4,3243 -4,0869 -3,7223 -3,1738 -2,4268 -1,5470 -0,6841 -0,0215 0,2960 0,2126 -0,2364 -0,9661 -1,8640 -2,7748 -3,5273 -4,0134 -4,2211 -4,1911 -3,9699 -3,5887 -3,0731 -2,4793 -1,9116 -1,4927 -1,3166 -1,4171 -1,7562 -2,2376 -2,7366 -3,1429 -3,4131 -3,5841 -3,7214 -3,8763 -4,1056 -4,4777 -5,0125 -5,6380 -6,2331 -6,7005 -6,9922 -7,0910 -6,9871 -6,6785 -6,1985 -5,6383 -5,1261 -4,7658 -4,5919 -4,5682 -4,6314 -4,7452 -4,9089 -5,1130 -5,3099 -5,4329 -5,4289 -5,2720 -4,9573 -4,4987 -3,9383 -3,3453 -2,7995 -2,3780 -2,1509 -2,1749 -2,4633 -2,9487 -3,5017 -4,0065 -4,4010 -4,6525 -4,7146 -4,5210 -4,0314 -3,2886 -2,4174 -1,5634 -0,8398 -0,3157 -0,0294 0,0156 -0,1339 -0,3819 -0,6142 -0,7399 -0,7198 -0,5705 -0,3575 -0,1750 -0,0888 -0,0945 -0,1498 -0,2299 -0,3465 -0,5431 -0,8715 -1,3535 -1,9491 -2,5484 -3,0124 -3,2538 -3,2878 -3,2078 -3,1141 -3,0548 -3,0191 -2,9833 -2,9625 -3,0005 -3,1225 -3,3174 -3,5408 -3,7202 -3,7912 -3,7498 -3,6621 -3,6128 -3,6409 -3,7269 -3,8184 -3,8296 -3,6544 -3,2447 -2,6726 -2,0986 -1,6879 -1,5365 -1,6361 -1,8937 -2,1908 -2,4345 -2,5806 -2,6358 -2,6389 -2,6398 -2,6818 -2,7619 -2,8039 -2,7189 -2,4994 -2,2360 -2,0537 -2,0470 -2,2510 -2,6381 -3,1261 -3,5798 -3,8314 -3,7441 -3,2862 -2,5589 -1,7556 -1,0811 -0,6827 -0,6305 -0,9274 -1,5231 -2,3117 -3,1300 -3,7949 -4,1763 -4,2488 -4,0850 -3,8207 -3,6124 -3,5809 -3,7529 -4,0439 -4,3024 -4,3828 -4,2122 -3,8268 -3,3453 -2,8885 -2,5171 -2,2290 -1,9875 -1,7597 -1,5390 -1,3341 -1,1550 -1,0186 -0,9499 -0,9677 -1,0695 -1,2241 -1,3877 -1,5438 -1,7099 -1,8846 -2,0068 -1,9781 -1,7234 -1,2477 -0,6446 -0,0452 0,4437 0,7612 0,9068 0,9470 0,9632 0,9875 1,0174 1,0533 1,0708 0,9805 0,6549 0,0116 -0,9164 -1,9808 -2,9844 -3,7522 -4,1754 -4,2423 -4,0481 -3,7536 -3,5031 -3,3595 -3,3097 -3,3035 -3,2780 -3,1821 -3,0110 -2,8258 -2,7327 -2,8180 -3,0855 -3,4694 -3,9124 -4,4044 -4,9358 -5,4450 -5,8257 -5,9698 -5,8026 -5,2981 -4,4843 -3,4535 -2,3721 -1,4526 -0,8649 -0,6501 -0,7280 -0,9792 -1,3059 -1,6365 -1,9004 -2,0113 -1,8920 -1,5238 -0,9760 -0,3961 0,0256 0,1197 -0,1717 -0,7455 -1,3945 -1,9315 -2,2819 -2,4967 -2,7056 -3,0302 -3,4946 -4,0075 -4,4261 -4,6295 -4,5658 -4,2752 -3,8731 -3,4878 -3,1986 -3,0108 -2,8736 -2,7395 -2,6315 -2,6541 -2,9334 -3,5443 -4,4757 -5,6209 -6,7646 -7,6121 -7,9130 -7,6057 -6,8452 -5,9010 -5,0307 -4,3953 -4,0251 -3,8425 -3,7309 -3,6066 -3,4518 -3,2966 -3,1754 -3,0998 -3,0568 -3,0157 -2,9474 -2,8523 -2,7686 -2,7551 -2,8685 -3,1306 -3,4844 -3,7881 -3,8848 -3,7144 -3,3710 -3,0481 -2,9318 -3,1343 -3,6784 -4,4949 -5,4382 -6,3320 -7,0157 -7,3681 -7,3277 -6,9213 -6,2793 -5,6092 -5,1089 -4,8669 -4,8411 -4,9375 -5,0938 -5,2919 -5,5265 -5,7780 -6,0092 -6,1911 -6,3233 -6,4151 -6,4741 -6,5224 -6,5910 -6,6821 -6,7414
Fz    0,6701 0,9360 1,1177 1,1787 1,1073 0,9273 0,6906 0,4491 0,2275 0,0254 -0,1491 -0,2637 -0,2853 -0,2105 -0,0706 0,0957 0,2668 0,4305 0,5649 0,6380 0,6173 0,4747 0,2007 -0,1750 -0,5834 -0,9435 -1,1919 -1,3015 -1,2870 -1,1931 -1,0678 -0,9378 -0,8029 -0,6523 -0,4848 -0,3060 -0,1188 0,0711 0,2460 0,3803 0,4488 0,4347 0,3405 0,1933 0,0380 -0,0859 -0,1611 -0,1892 -0,1771 -0,1323 -0,0716 -0,0211 0,0045 0,0190 0,0523 0,1192 0,2081 0,2956 0,3654 0,4184 0,4653 0,5157 0,5787 0,6617 0,7554 0,8342 0,8710 0,8564 0,8095 0,7719 0,7874 0,8771 1,0196 1,1628 1,2594 1,2913 1,2640 1,1852 1,0539 0,8714 0,6542 0,4258 0,2028 -0,0075 -0,1961 -0,3518 -0,4689 -0,5500 -0,6002 -0,6236 -0,6288 -0,6277 -0,6241 -0,6029 -0,5376 -0,4079 -0,2119 0,0311 0,2805 0,4860 0,6091 0,6430 0,6253 0,6278 0,7127 0,8865 1,1025 1,3074 1,4746 1,5966 1,6658 1,6754 1,6259 1,5189 1,3555 1,1468 0,9112 0,6613 0,4028 0,1505 -0,0729 -0,2631 -0,4405 -0,6230 -0,8082 -0,9788 -1,1116 -1,1861 -1,2000 -1,1764 -1,1488 -1,1260 -1,0685 -0,9088 -0,6018 -0,1618 0,3445 0,8349 1,2389 1,5056 1,6070 1,5459 1,3575 1,0987 0,8342 0,6154 0,4579 0,3494 0,2819 0,2693 0,3329 0,4779 0,6869 0,9283 1,1627 1,3521 1,4753 1,5302 1,5130 1,4102 1,2257 1,0021 0,8021 0,6785 0,6665 0,7948 1,0780 1,4891 1,9466 2,3398 2,5827 2,6552 2,5932 2,4445 2,2447 2,0325 1,8660 1,7999 1,8479 1,9686 2,0828 2,1146 2,0399 1,8976 1,7459 1,6156 1,4998 1,3684 1,1854 0,9289 0,6117 0,2789 -0,0253 -0,2903 -0,5397 -0,8134 -1,1480 -1,5598 -2,0446 -2,5888 -3,1628 -3,7095 -4,1585 -4,4588 -4,5950 -4,5773 -4,4306 -4,1931 -3,9062 -3,6011 -3,2945 -2,9933 -2,7105 -2,4777 -2,3245 -2,2435 -2,1891 -2,1080 -1,9629 -1,7279 -1,3830 -0,9348 -0,4365 0,0334 0,4121 0,6691 0,7983 0,8099 0,7392 0,6482 0,6016 0,6313 0,7215 0,8225 0,8892 0,9154 0,9275 0,9524 0,9972 1,0505 1,1001 1,1480 1,2000 1,2495 1,2804 1,2731 1,1948 1,0041 0,6855 0,2763 -0,1499 -0,5238 -0,8093 -1,0143 -1,1748 -1,3136 -1,4193 -1,4706 -1,4683 -1,4339 -1,3894 -1,3437 -1,2902 -1,2200 -1,1352 -1,0460 -0,9608 -0,8830 -0,8146 -0,7568 -0,7126 -0,6971 -0,7251 -0,7801 -0,8175 -0,8061 -0,7522 -0,6858 -0,6273 -0,5629 -0,4541 -0,2802 -0,0594 0,1645 0,3409 0,4256 0,3974 0,2717 0,0970 -0,0662 -0,1798 -0,2486 -0,3029 -0,3726 -0,4852 -0,6669 -0,9245 -1,2365 -1,5692 -1,8937 -2,1889 -2,4382 -2,6293 -2,7632 -2,8638 -2,9688 -3,1064 -3,2786 -3,4602 -3,6122 -3,7050 -3,7414 -3,7558 -3,7855 -3,8445 -3,9126 -3,9435 -3,8888 -3,7193 -3,4341 -3,0608 -2,6454 -2,2337 -1,8646 -1,5730 -1,3878 -1,3119 -1,3024 -1,2869 -1,2095 -1,0575 -0,8519 -0,6233 -0,3922 -0,1663 0,0489 0,2434 0,4129 0,5685 0,7278 0,8976 1,0727 1,2489 1,4313 1,6282 1,8367 2,0359 2,1955 2,2859 2,2859 2,1953 2,0433 1,8719 1,7148 1,5884 1,4810 1,3519 1,1569 0,8782 0,5416 0,2097 -0,0535 -0,2182 -0,2947 -0,3113 -0,2894 -0,2292 -0,1245 0,0061 0,1158 0,1607 0,1234 0,0167 -0,1216 -0,2481 -0,3378 -0,3926 -0,4282 -0,4508 -0,4602 -0,4651 -0,4669 -0,4351 -0,3273 -0,1326 0,1144 0,3528 0,5294 0,6270 0,6656 0,6764 0,6825 0,7017 0,7492 0,8303 0,9278 1,0030 1,0281 1,0158 1,0015 1,0064 1,0295 1,0594 1,0791 1,0704 1,0240 0,9490 0,8722 0,8292 0,8534 0,9612 1,1404 1,3523 1,5453 1,6716 1,6970 1,6015 1,3768 1,0332 0,6063 0,1445 -0,3099 -0,7262 -1,0832 -1,3741 -1,6143 -1,8328 -2,0506 -2,2647 -2,4471 -2,5544 -2,5487 -2,4252 -2,2173 -1,9641 -1,6820 -1,3689 -1,0242 -0,6579 -0,2879 0,0654 0,3809 0,6350 0,8045 0,8804 0,8790 0,8420 0,8245 0,8710 0,9993 1,2032 1,4625 1,7517 2,0484 2,3330 2,5891 2,8098 2,9916 3,1158 3,1623 3,1432 3,0927 3,0276 2,9431 2,8381 2,7162 2,5697 2,3769 2,1144 1,7727 1,3647 0,9254 0,5061 0,1603 -0,0802 -0,2245 -0,3198 -0,4202 -0,5529 -0,7165 -0,9035 -1,1114 -1,3359 -1,5670 -1,8031 -2,0685 -2,3985 -2,7993 -3,2366 -3,6602 -4,0207 -4,2565 -4,2960 -4,0940 -3,6642 -3,0738 -2,4050 -1,7182 -1,0413 -0,3896 0,2123 0,7328 1,1504 1,4594 1,6620 1,7597 1,7575 1,6815 1,5911 1,5580 1,6280 1,7966 2,0169 2,2184 2,3292 2,3126 2,1929 2,0363 1,9034 1,8113 1,7259 1,5851 1,3463 1,0231 0,6733 0,3526 0,0883 -0,1129 -0,2593 -0,3794 -0,5225 -0,7381 -1,0474 -1,4277 -1,8362 -2,2486 -2,6653 -3,0885 -3,5084 -3,9113 -4,2876 -4,6107 -4,8149 -4,8220 -4,6021 -4,1968 -3,6895 -3,1655 -2,6883 -2,2864 -1,9532 -1,6650 -1,4083 -1,1927 -1,0387 -0,9582 -0,9433 -0,9668 -0,9908 -0,9846 -0,9449 -0,9008 -0,8995 -0,9878 -1,1931 -1,5036 -1,8566 -2,1532 -2,3057 -2,2867 -2,1349 -1,9216 -1,7210 -1,5946 -1,5774 -1,6680 -1,8377 -2,0449 -2,2420 -2,3799 -2,4244 -2,3805 -2,2987 -2,2423 -2,2459 -2,3082 -2,4161 -2,5602 -2,7265 -2,8940 -3,0428 -3,1591 -3,2362 -3,2707 -3,2507 -3,1587 -2,9981 -2,8036 -2,6130 -2,4312
F3    0,0435 0,2133 0,3402 0,4133 0,4302 0,3985 0,3332 0,2479 0,1458 0,0259 -0,0915 -0,1632 -0,1556 -0,0711 0,0624 0,2226 0,4074 0,6156 0,8248 0,9917 1,0637 0,9925 0,7569 0,3839 -0,0554 -0,4745 -0,8014 -0,9969 -1,0616 -1,0249 -0,9238 -0,7904 -0,6480 -0,5109 -0,3878 -0,2780 -0,1704 -0,0587 0,0443 0,1145 0,1347 0,1041 0,0354 -0,0492 -0,1218 -0,1619 -0,1635 -0,1299 -0,0677 0,0117 0,0884 0,1425 0,1724 0,2008 0,2520 0,3235 0,3851 0,4002 0,3477 0,2355 0,0992 -0,0113 -0,0469 0,0236 0,1924 0,4148 0,6323 0,7992 0,9007 0,9524 0,9882 1,0342 1,0885 1,1293 1,1444 1,1456 1,1531 1,1659 1,1511 1,0714 0,9147 0,6919 0,4237 0,1399 -0,1238 -0,3417 -0,5072 -0,6194 -0,6718 -0,6606 -0,6006 -0,5192 -0,4334 -0,3332 -0,1935 0,0000 0,2371 0,4820 0,6814 0,7888 0,7924 0,7189 0,6240 0,5813 0,6581 0,8781 1,2105 1,5947 1,9668 2,2636 2,4252 2,4207 2,2703 2,0289 1,7533 1,4840 1,2322 0,9769 0,6893 0,3688 0,0472 -0,2413 -0,4803 -0,6629 -0,7817 -0,8325 -0,8177 -0,7465 -0,6360 -0,5108 -0,3939 -0,2887 -0,1681 0,0092 0,2659 0,5873 0,9344 1,2640 1,5293 1,6731 1,6466 1,4434 1,1125 0,7391 0,4107 0,1843 0,0675 0,0323 0,0461 0,0886 0,1537 0,2458 0,3724 0,5317 0,6990 0,8329 0,8998 0,8865 0,7916 0,6233 0,4109 0,2007 0,0315 -0,0792 -0,1183 -0,0560 0,1422 0,4771 0,8934 1,3017 1,6361 1,8891 2,0864 2,2402 2,3398 2,3818 2,3896 2,3967 2,4197 2,4508 2,4596 2,4074 2,2809 2,1131 1,9612 1,8648 1,8246 1,8050 1,7505 1,6124 1,3751 1,0626 0,7159 0,3642 0,0189 -0,3256 -0,6892 -1,0903 -1,5329 -2,0058 -2,4783 -2,9008 -3,2249 -3,4287 -3,5216 -3,5313 -3,4955 -3,4591 -3,4551 -3,4848 -3,5223 -3,5403 -3,5367 -3,5373 -3,5601 -3,5795 -3,5343 -3,3687 -3,0625 -2,6229 -2,0667 -1,4323 -0,7962 -0,2530 0,1276 0,3246 0,3595 0,2771 0,1322 -0,0182 -0,1314 -0,1930 -0,2143 -0,2174 -0,2122 -0,1820 -0,1036 0,0238 0,1705 0,2929 0,3671 0,4086 0,4493 0,5007 0,5480 0,5642 0,5132 0,3565 0,0802 -0,2828 -0,6668 -1,0098 -1,2778 -1,4729 -1,6206 -1,7397 -1,8227 -1,8480 -1,8005 -1,6787 -1,4940 -1,2656 -1,0137 -0,7610 -0,5348 -0,3564 -0,2297 -0,1462 -0,0934 -0,0548 -0,0130 0,0359 0,0846 0,1416 0,2349 0,3805 0,5574 0,7156 0,8090 0,8309 0,8163 0,8061 0,8205 0,8634 0,9263 0,9843 1,0040 0,9610 0,8511 0,6892 0,4958 0,2840 0,0639 -0,1502 -0,3526 -0,5582 -0,7885 -1,0490 -1,3258 -1,5939 -1,8255 -2,0015 -2,1230 -2,2198 -2,3462 -2,5592 -2,8861 -3,3049 -3,7519 -4,1471 -4,4275 -4,5752 -4,6181 -4,6022 -4,5618 -4,5019 -4,3974 -4,2142 -3,9357 -3,5747 -3,1701 -2,7673 -2,3978 -2,0775 -1,8231 -1,6588 -1,5952 -1,6000 -1,6012 -1,5271 -1,3466 -1,0810 -0,7861 -0,5161 -0,2936 -0,1088 0,0633 0,2488 0,4679 0,7277 1,0193 1,3274 1,6418 1,9599 2,2805 2,5933 2,8709 3,0746 3,1677 3,1249 2,9436 2,6536 2,3097 1,9710 1,6768 1,4253 1,1770 0,8892 0,5506 0,1932 -0,1284 -0,3761 -0,5485 -0,6636 -0,7302 -0,7389 -0,6749 -0,5438 -0,3930 -0,2921 -0,2859 -0,3709 -0,5070 -0,6392 -0,7235 -0,7457 -0,7201 -0,6712 -0,6171 -0,5783 -0,5898 -0,6766 -0,8164 -0,9480 -1,0105 -0,9725 -0,8395 -0,6393 -0,3983 -0,1334 0,1342 0,3746 0,5649 0,7008 0,7891 0,8325 0,8239 0,7650 0,6840 0,6215 0,6061 0,6488 0,7409 0,8498 0,9291 0,9466 0,9060 0,8430 0,7994 0,7980 0,8364 0,8994 0,9706 1,0335 1,0709 1,0739 1,0423 0,9689 0,8346 0,6238 0,3341 -0,0268 -0,4428 -0,8869 -1,3285 -1,7463 -2,1311 -2,4769 -2,7729 -3,0061 -3,1620 -3,2238 -3,1803 -3,0312 -2,7782 -2,4193 -1,9634 -1,4440 -0,9152 -0,4373 -0,0557 0,2132 0,3775 0,4576 0,4796 0,4738 0,4744 0,5177 0,6303 0,8165 1,0630 1,3482 1,6489 1,9456 2,2229 2,4684 2,6766 2,8408 2,9393 2,9506 2,8842 2,7723 2,6310 2,4581 2,2586 2,0515 1,8483 1,6361 1,3847 1,0693 0,6872 0,2590 -0,1785 -0,5820 -0,9127 -1,1496 -1,2974 -1,3766 -1,4043 -1,3938 -1,3699 -1,3698 -1,4241 -1,5423 -1,7214 -1,9690 -2,3037 -2,7286 -3,2134 -3,7038 -4,1328 -4,4145 -4,4540 -4,1940 -3,6598 -2,9593 -2,2310 -1,5742 -1,0102 -0,5047 -0,0191 0,4560 0,9031 1,2938 1,6038 1,8192 1,9361 1,9638 1,9285 1,8644 1,7942 1,7216 1,6381 1,5268 1,3704 1,1777 1,0012 0,9072 0,9200 0,9887 1,0054 0,8651 0,5304 0,0603 -0,4259 -0,8199 -1,0698 -1,1790 -1,1890 -1,1671 -1,1933 -1,3336 -1,6087 -1,9849 -2,4052 -2,8281 -3,2334 -3,6084 -3,9410 -4,2304 -4,4875 -4,7075 -4,8443 -4,8330 -4,6389 -4,2772 -3,7946 -3,2463 -2,6847 -2,1512 -1,6652 -1,2258 -0,8288 -0,4864 -0,2297 -0,0881 -0,0649 -0,1303 -0,2361 -0,3369 -0,4091 -0,4605 -0,5283 -0,6622 -0,9004 -1,2470 -1,6558 -2,0322 -2,2723 -2,3185 -2,1800 -1,9066 -1,5589 -1,1992 -0,8899 -0,6875 -0,6358 -0,7584 -1,0466 -1,4532 -1,9050 -2,3349 -2,7064 -3,0093 -3,2402 -3,3961 -3,4829 -3,5131 -3,4963 -3,4386 -3,3501 -3,2444 -3,1341 -3,0233 -2,8995 -2,7402 -2,5422 -2,3342 -2,1503 -1,9942
F7    0,7866 0,8859 0,8734 0,7611 0,5849 0,3896 0,2157 0,0944 0,0425 0,0577 0,1124 0,1536 0,1357 0,0582 -0,0393 -0,1014 -0,0743 0,0658 0,2839 0,4922 0,5967 0,5392 0,3108 -0,0491 -0,4663 -0,8564 -1,1495 -1,3082 -1,3324 -1,2458 -1,0746 -0,8373 -0,5451 -0,2025 0,1816 0,5747 0,9203 1,1619 1,2593 1,1856 0,9299 0,5153 0,0126 -0,4703 -0,8277 -0,9966 -0,9712 -0,7948 -0,5422 -0,2965 -0,1333 -0,1098 -0,2437 -0,4926 -0,7725 -1,0039 -1,1390 -1,1595 -1,0705 -0,8941 -0,6625 -0,4102 -0,1672 0,0382 0,1760 0,2239 0,1807 0,0781 -0,0150 -0,0133 0,1400 0,4294 0,7589 1,0047 1,0883 1,0087 0,8171 0,5719 0,3152 0,0726 -0,1485 -0,3570 -0,5601 -0,7372 -0,8399 -0,8234 -0,6763 -0,4220 -0,1050 0,2165 0,4751 0,6115 0,6017 0,4698 0,2748 0,0923 0,0000 0,0428 0,1936 0,3613 0,4497 0,4125 0,2706 0,0989 -0,0142 -0,0188 0,0785 0,2427 0,4401 0,6458 0,8432 1,0246 1,1756 1,2565 1,2246 1,0818 0,8780 0,6678 0,4850 0,3516 0,2776 0,2459 0,2159 0,1427 -0,0110 -0,2620 -0,5847 -0,9094 -1,1635 -1,3201 -1,4055 -1,4563 -1,4718 -1,4197 -1,2786 -1,0588 -0,7931 -0,5253 -0,3074 -0,1911 -0,2093 -0,3605 -0,6113 -0,9006 -1,1460 -1,2849 -1,3237 -1,3218 -1,3285 -1,3521 -1,3708 -1,3587 -1,3087 -1,2431 -1,2059 -1,2352 -1,3284 -1,4431 -1,5360 -1,5928 -1,6185 -1,6062 -1,5295 -1,3574 -1,0677 -0,6559 -0,1526 0,3653 0,7871 1,0095 0,9862 0,7485 0,3751 -0,0534 -0,4692 -0,8009 -0,9763 -0,9640 -0,7968 -0,5413 -0,2623 -0,0139 0,1680 0,2769 0,3326 0,3590 0,3684 0,3597 0,3228 0,2458 0,1317 0,0112 -0,0781 -0,1321 -0,1895 -0,3016 -0,4978 -0,7792 -1,1395 -1,5692 -2,0358 -2,4856 -2,8798 -3,2177 -3,5233 -3,8177 -4,1008 -4,3414 -4,4812 -4,4715 -4,3185 -4,0860 -3,8561 -3,6925 -3,6227 -3,6374 -3,6996 -3,7566 -3,7508 -3,6328 -3,3836 -3,0356 -2,6611 -2,3325 -2,0895 -1,9280 -1,8216 -1,7539 -1,7204 -1,7077 -1,7001 -1,7017 -1,7395 -1,8431 -2,0149 -2,2183 -2,4056 -2,5503 -2,6487 -2,7052 -2,7208 -2,6902 -2,6129 -2,4981 -2,3524 -2,1816 -2,0184 -1,9274 -1,9642 -2,1347 -2,3956 -2,6824 -2,9363 -3,1233 -3,2324 -3,2544 -3,1774 -3,0064 -2,7718 -2,5175 -2,2839 -2,0930 -1,9443 -1,8267 -1,7303 -1,6456 -1,5706 -1,5231 -1,5364 -1,6331 -1,8038 -2,0140 -2,2181 -2,3623 -2,3972 -2,3074 -2,1245 -1,9030 -1,6828 -1,4692 -1,2455 -1,0141 -0,8156 -0,6953 -0,6657 -0,7111 -0,8095 -0,9442 -1,1043 -1,2831 -1,4816 -1,7147 -2,0066 -2,3771 -2,8330 -3,3609 -3,9170 -4,4366 -4,8626 -5,1611 -5,3166 -5,3337 -5,2395 -5,0740 -4,8850 -4,7310 -4,6653 -4,6997 -4,7959 -4,8984 -4,9757 -5,0384 -5,1183 -5,2294 -5,3552 -5,4610 -5,5095 -5,4710 -5,3300 -5,0942 -4,7991 -4,4902 -4,1986 -3,9419 -3,7410 -3,6232 -3,6041 -3,6655 -3,7547 -3,8075 -3,7666 -3,5890 -3,2579 -2,7951 -2,2638 -1,7526 -1,3378 -1,0439 -0,8467 -0,7184 -0,6565 -0,6599 -0,6937 -0,6953 -0,6047 -0,3917 -0,0737 0,2835 0,5884 0,7584 0,7528 0,5826 0,2917 -0,0664 -0,4468 -0,8334 -1,2375 -1,6662 -2,1016 -2,5072 -2,8457 -3,1016 -3,2924 -3,4547 -3,6170 -3,7797 -3,9135 -3,9845 -3,9888 -3,9539 -3,9126 -3,8937 -3,9201 -3,9916 -4,0761 -4,1261 -4,1077 -4,0152 -3,8632 -3,6841 -3,5244 -3,4087 -3,3078 -3,1697 -2,9759 -2,7619 -2,5931 -2,5147 -2,5096 -2,5068 -2,4340 -2,2689 -2,0477 -1,8309 -1,6572 -1,5288 -1,4374 -1,3833 -1,3698 -1,4002 -1,4811 -1,6175 -1,8059 -2,0319 -2,2635 -2,4543 -2,5622 -2,5622 -2,4414 -2,1986 -1,8572 -1,4740 -1,1239 -0,8812 -0,8052 -0,9229 -1,2185 -1,6487 -2,1610 -2,6972 -3,2059 -3,6608 -4,0569 -4,3890 -4,6502 -4,8462 -4,9889 -5,0739 -5,0816 -4,9969 -4,8136 -4,5378 -4,1981 -3,8446 -3,5220 -3,2481 -3,0174 -2,8148 -2,6235 -2,4333 -2,2513 -2,1011 -2,0115 -2,0007 -2,0595 -2,1453 -2,1965 -2,1591 -2,0139 -1,7868 -1,5265 -1,2649 -0,9982 -0,7074 -0,3877 -0,0557 0,2652 0,5458 0,7427 0,8230 0,7989 0,7107 0,5860 0,4351 0,2658 0,0738 -0,1706 -0,5095 -0,9689 -1,5345 -2,1447 -2,7116 -3,1584 -3,4468 -3,5847 -3,6185 -3,6112 -3,6061 -3,6050 -3,5801 -3,5028 -3,3679 -3,1991 -3,0417 -2,9548 -2,9961 -3,1795 -3,4511 -3,7267 -3,9557 -4,1345 -4,2656 -4,3303 -4,3001 -4,1491 -3,8593 -3,4355 -2,9163 -2,3642 -1,8502 -1,4417 -1,1814 -1,0672 -1,0581 -1,0964 -1,1273 -1,1196 -1,0732 -0,9957 -0,8814 -0,7303 -0,5762 -0,4800 -0,5014 -0,6694 -0,9587 -1,2922 -1,5769 -1,7548 -1,8407 -1,9185 -2,0956 -2,4410 -2,9429 -3,5180 -4,0638 -4,4996 -4,7756 -4,8803 -4,8520 -4,7659 -4,6969 -4,6817 -4,7094 -4,7474 -4,7771 -4,8091 -4,8788 -5,0258 -5,2664 -5,5722 -5,8613 -6,0183 -5,9516 -5,6499 -5,1871 -4,6759 -4,2146 -3,8607 -3,6283 -3,4949 -3,4199 -3,3702 -3,3324 -3,3000 -3,2554 -3,1705 -3,0278 -2,8365 -2,6246 -2,4221 -2,2585 -2,1697 -2,1900 -2,3259 -2,5322 -2,7166 -2,7866 -2,7147 -2,5622 -2,4381 -2,4333 -2,5889 -2,9033 -3,3427 -3,8456 -4,3376 -4,7548 -5,0558 -5,2229 -5,2655 -5,2221 -5,1508 -5,1094 -5,1307 -5,2078 -5,3121 -5,4260 -5,5473 -5,6647 -5,7511 -5,7855 -5,7706 -5,7188 -5,6309 -5,5069 -5,3700 -5,2630 -5,2190 -5,2330
