Fp1   1,0398 1,0734 1,0720 1,0572 1,0391 1,0055 0,9341 0,8161 0,6717 0,5428 0,4745 0,4963 0,6097 0,7876 0,9874 1,1728 1,3273 1,4492 1,5364 1,5742 1,5346 1,3932 1,1526 0,8438 0,5089 0,1863 -0,0948 -0,3192 -0,4937 -0,6350 -0,7469 -0,8201 -0,8469 -0,8315 -0,7945 -0,7695 -0,7859 -0,8522 -0,9567 -1,0776 -1,1922 -1,2885 -1,3716 -1,4531 -1,5367 -1,6143 -1,6759 -1,7147 -1,7225 -1,6922 -1,6269 -1,5407 -1,4491 -1,3577 -1,2641 -1,1655 -1,0566 -0,9273 -0,7698 -0,5860 -0,3924 -0,2191 -0,0999 -0,0580 -0,0923 -0,1723 -0,2521 -0,2959 -0,2882 -0,2252 -0,1056 0,0667 0,2761 0,4935 0,6816 0,8036 0,8351 0,7774 0,6609 0,5308 0,4308 0,3900 0,4090 0,4563 0,4856 0,4605 0,3751 0,2549 0,1336 0,0338 -0,0345 -0,0744 -0,1027 -0,1362 -0,1766 -0,2156 -0,2515 -0,2937 -0,3555 -0,4528 -0,5986 -0,7922 -1,0233 -1,2846 -1,5669 -1,8453 -2,0836 -2,2504 -2,3321 -2,3436 -2,3296 -2,3375 -2,3870 -2,4676 -2,5556 -2,6296 -2,6807 -2,7071 -2,7037 -2,6613 -2,5755 -2,4569 -2,3254 -2,1946 -2,0680 -1,9398 -1,7905 -1,5920 -1,3309 -1,0253 -0,7129 -0,4282 -0,1935 -0,0182 0,1038 0,1850 0,2288 0,2310 0,1926 0,1222 0,0278 -0,0826 -0,1909 -0,2691 -0,2965 -0,2721 -0,2163 -0,1613 -0,1382 -0,1730 -0,2825 -0,4641 -0,6967 -0,9547 -1,2227 -1,5020 -1,8033 -2,1309 -2,4714 -2,7973 -3,0788 -3,2943 -3,4367 -3,5108 -3,5295 -3,5126 -3,4776 -3,4212 -3,3148 -3,1223 -2,8228 -2,4288 -1,9918 -1,5840 -1,2620 -1,0408 -0,8999 -0,8055 -0,7303 -0,6644 -0,6094 -0,5576 -0,4910 -0,4085 -0,3388 -0,3211 -0,3801 -0,5212 -0,7316 -0,9766 -1,2051 -1,3705 -1,4563 -1,4837 -1,4956 -1,5279 -1,5916 -1,6823 -1,7971 -1,9399 -2,1131 -2,3105 -2,5138 -2,6931 -2,8122 -2,8425 -2,7793 -2,6479 -2,4980 -2,3831 -2,3324 -2,3436 -2,4022 -2,4973 -2,6214 -2,7673 -2,9292 -3,1027 -3,2815 -3,4560 -3,6093 -3,7197 -3,7688 -3,7390 -3,6131 -3,3895 -3,0803 -2,6919 -2,2296 -1,7219 -1,2199 -0,7727 -0,4117 -0,1574 -0,0209 0,0094 -0,0233 -0,0556 -0,0324 0,0679 0,2326 0,4269 0,6033 0,7169 0,7405 0,6685 0,5101 0,2852 0,0210 -0,2603 -0,5544 -0,8662 -1,1932 -1,5277 -1,8654 -2,2026 -2,5315 -2,8408 -3,1206 -3,3653 -3,5702 -3,7308 -3,8444 -3,9088 -3,9243 -3,8998 -3,8454 -3,7618 -3,6502 -3,5268 -3,4120 -3,3094 -3,2057 -3,0863 -2,9472 -2,7918 -2,6223 -2,4404 -2,2548 -2,0817 -1,9401 -1,8543 -1,8448 -1,9063 -2,0064 -2,1120 -2,2064 -2,2810 -2,3235 -2,3195 -2,2574 -2,1304 -1,9416 -1,7090 -1,4616 -1,2302 -1,0338 -0,8737 -0,7480 -0,6600 -0,6088 -0,5758 -0,5256 -0,4239 -0,2613 -0,0580 0,1492 0,3172 0,4031 0,3834 0,2758 0,1353 0,0200 -0,0375 -0,0295 0,0412 0,1675 0,3329 0,5113 0,6800 0,8264 0,9421 1,0182 1,0445 1,0156 0,9456 0,8744 0,8508 0,9033 1,0193 1,1516 1,2438 1,2592 1,1910 1,0547 0,8772 0,6887 0,5161 0,3848 0,3201 0,3345 0,4133 0,5146 0,5880 0,6019 0,5513 0,4399 0,2671 0,0334 -0,2488 -0,5526 -0,8427 -1,0901 -1,2804 -1,4162 -1,5153 -1,6062 -1,7041 -1,7863 -1,8036 -1,7198 -1,5379 -1,2908 -1,0180 -0,7433 -0,4689 -0,1867 0,1058 0,3967 0,6576 0,8538 0,9649 0,9902 0,9343 0,7943 0,5651 0,2519 -0,1254 -0,5400 -0,9651 -1,3741 -1,7421 -2,0497 -2,2873 -2,4552 -2,5584 -2,5989 -2,5791 -2,5104 -2,4102 -2,2942 -2,1796 -2,0983 -2,0894 -2,1605 -2,2620 -2,3137 -2,2575 -2,0886 -1,8441 -1,5691 -1,2992 -1,0625 -0,8824 -0,7733 -0,7273 -0,7084 -0,6702 -0,5811 -0,4364 -0,2630 -0,1105 -0,0240 -0,0259 -0,1187 -0,2893 -0,5057 -0,7277 -0,9241 -1,0797 -1,1928 -1,2681 -1,3055 -1,3009 -1,2654 -1,2384 -1,2676 -1,3748 -1,5451 -1,7394 -1,9052 -1,9897 -1,9652 -1,8460 -1,6729 -1,4872 -1,3196 -1,1815 -1,0541 -0,8982 -0,6807 -0,3972 -0,0792 0,2155 0,4283 0,5313 0,5390 0,4891 0,4175 0,3484 0,2903 0,2322 0,1510 0,0262 -0,1473 -0,3527 -0,5569 -0,7240 -0,8323 -0,8857 -0,9131 -0,9533 -1,0310 -1,1478 -1,2923 -1,4563 -1,6345 -1,8154 -1,9858 -2,1410 -2,2861 -2,4280 -2,5698 -2,7136 -2,8694 -3,0539 -3,2760 -3,5313 -3,8098 -4,0970 -4,3680 -4,5951 -4,7672 -4,8928 -4,9805 -5,0253 -5,0129 -4,9282 -4,7594 -4,5024 -4,1678 -3,7910 -3,4266 -3,1204 -2,8810 -2,6732 -2,4396 -2,1333 -1,7367 -1,2569 -0,7125 -0,1406 0,3898 0,7905 0,9910 0,9679 0,7505 0,4069 0,0159 -0,3584 -0,6765 -0,9236 -1,1078 -1,2578 -1,4127 -1,5962 -1,8024 -2,0131 -2,2221 -2,4323 -2,6440 -2,8564 -3,0729 -3,2954 -3,5191 -3,7383 -3,9500 -4,1534 -4,3416 -4,4903 -4,5644 -4,5435 -4,4359 -4,2691 -4,0790 -3,9077 -3,8022 -3,8026 -3,9237 -4,1463 -4,4239 -4,6966 -4,9109 -5,0389 -5,0856 -5,0776 -5,0423 -4,9952 -4,9401 -4,8744 -4,7957 -4,7062 -4,6108 -4,5167 -4,4353 -4,3785 -4,3482 -4,3311 -4,3029 -4,2402 -4,1315 -3,9771 -3,7842 -3,5687 -3,3560 -3,1702 -3,0190 -2,8893 -2,7625 -2,6256 -2,4684 -2,2858 -2,0889 -1,9118 -1,8008 -1,7896 -1,8839 -2,0615 -2,2781 -2,4885 -2,6698 -2,8200 -2,9492 -3,0793 -3,2369 -3,4410 -3,7004 -4,0175 -4,3825 -4,7629 -5,1124 -5,4000 -5,6263 -5,8094 -5,9621 -6,0822 -6,1555 -6,1680 -6,1203 -6,0293
Fz    1,4606 1,5051 1,5268 1,5047 1,4243 1,2843 1,0960 0,8859 0,6977 0,5828 0,5781 0,6888 0,8856 1,1195 1,3417 1,5182 1,6345 1,6952 1,7156 1,7026 1,6423 1,5137 1,3135 1,0614 0,7854 0,5041 0,2217 -0,0647 -0,3542 -0,6328 -0,8739 -1,0549 -1,1735 -1,2467 -1,2980 -1,3463 -1,4011 -1,4601 -1,5140 -1,5568 -1,5885 -1,6148 -1,6510 -1,7148 -1,8051 -1,8957 -1,9549 -1,9638 -1,9147 -1,8098 -1,6617 -1,4859 -1,2919 -1,0849 -0,8701 -0,6510 -0,4244 -0,1841 0,0709 0,3338 0,5912 0,8180 0,9774 1,0368 0,9920 0,8780 0,7541 0,6763 0,6778 0,7638 0,9202 1,1238 1,3465 1,5572 1,7320 1,8627 1,9507 2,0006 2,0227 2,0343 2,0528 2,0822 2,1043 2,0878 2,0092 1,8663 1,6803 1,4832 1,2961 1,1193 0,9416 0,7551 0,5647 0,3852 0,2318 0,1095 0,0109 -0,0793 -0,1790 -0,3078 -0,4816 -0,7055 -0,9754 -1,2807 -1,5979 -1,8895 -2,1184 -2,2593 -2,3021 -2,2613 -2,1820 -2,1201 -2,1148 -2,1804 -2,3095 -2,4781 -2,6552 -2,8091 -2,9124 -2,9479 -2,9168 -2,8416 -2,7534 -2,6695 -2,5835 -2,4734 -2,3122 -2,0774 -1,7649 -1,3984 -1,0196 -0,6701 -0,3850 -0,1917 -0,1030 -0,1102 -0,1851 -0,2859 -0,3690 -0,4047 -0,3833 -0,3073 -0,1823 -0,0149 0,1839 0,3935 0,5816 0,7173 0,7879 0,7966 0,7473 0,6347 0,4469 0,1789 -0,1565 -0,5329 -0,9182 -1,2782 -1,5760 -1,7772 -1,8602 -1,8272 -1,7092 -1,5512 -1,3872 -1,2282 -1,0696 -0,8970 -0,6862 -0,4091 -0,0512 0,3675 0,7877 1,1330 1,3507 1,4367 1,4267 1,3729 1,3260 1,3211 1,3698 1,4647 1,5820 1,6802 1,7112 1,6412 1,4613 1,1867 0,8544 0,5190 0,2363 0,0446 -0,0501 -0,0767 -0,0840 -0,1142 -0,1834 -0,2852 -0,4090 -0,5529 -0,7214 -0,9145 -1,1211 -1,3183 -1,4732 -1,5507 -1,5286 -1,4120 -1,2370 -1,0540 -0,9003 -0,7921 -0,7408 -0,7637 -0,8743 -1,0715 -1,3382 -1,6443 -1,9545 -2,2373 -2,4649 -2,6140 -2,6721 -2,6374 -2,5176 -2,3308 -2,0899 -1,7813 -1,3767 -0,8711 -0,3010 0,2712 0,7810 1,1767 1,4285 1,5399 1,5533 1,5416 1,5797 1,7096 1,9223 2,1661 2,3747 2,4959 2,5061 2,4054 2,2095 1,9457 1,6488 1,3465 1,0450 0,7334 0,4022 0,0502 -0,3223 -0,7180 -1,1330 -1,5503 -1,9479 -2,3138 -2,6452 -2,9418 -3,2032 -3,4286 -3,6189 -3,7757 -3,8923 -3,9487 -3,9289 -3,8410 -3,7166 -3,5913 -3,4908 -3,4291 -3,4071 -3,4084 -3,3980 -3,3338 -3,1881 -2,9625 -2,6906 -2,4293 -2,2376 -2,1508 -2,1718 -2,2756 -2,4156 -2,5302 -2,5580 -2,4583 -2,2193 -1,8502 -1,3759 -0,8418 -0,3120 0,1502 0,5099 0,7702 0,9549 1,0872 1,1851 1,2684 1,3627 1,4883 1,6465 1,8235 2,0031 2,1676 2,2938 2,3604 2,3635 2,3179 2,2426 2,1538 2,0666 1,9985 1,9714 2,0077 2,1189 2,2991 2,5242 2,7515 2,9262 3,0004 2,9512 2,7903 2,5619 2,3303 2,1536 2,0581 2,0300 2,0280 2,0071 1,9351 1,7973 1,5984 1,3626 1,1243 0,9178 0,7708 0,6951 0,6763 0,6731 0,6363 0,5348 0,3650 0,1362 -0,1416 -0,4528 -0,7739 -1,0793 -1,3462 -1,5563 -1,7018 -1,7940 -1,8646 -1,9481 -2,0516 -2,1435 -2,1780 -2,1275 -1,9909 -1,7844 -1,5366 -1,2815 -1,0417 -0,8136 -0,5726 -0,2964 0,0109 0,3142 0,5671 0,7332 0,7909 0,7313 0,5567 0,2823 -0,0678 -0,4677 -0,8905 -1,3055 -1,6814 -1,9950 -2,2399 -2,4252 -2,5640 -2,6603 -2,7083 -2,6998 -2,6303 -2,5057 -2,3487 -2,2003 -2,1054 -2,0849 -2,1165 -2,1472 -2,1281 -2,0414 -1,8991 -1,7228 -1,5284 -1,3261 -1,1270 -0,9400 -0,7612 -0,5710 -0,3511 -0,1019 0,1572 0,3960 0,5781 0,6673 0,6349 0,4680 0,1840 -0,1623 -0,4976 -0,7637 -0,9324 -1,0050 -1,0051 -0,9649 -0,9138 -0,8787 -0,8886 -0,9642 -1,1031 -1,2810 -1,4693 -1,6435 -1,7828 -1,8762 -1,9300 -1,9602 -1,9793 -1,9947 -2,0023 -1,9769 -1,8822 -1,6962 -1,4257 -1,1044 -0,7824 -0,5116 -0,3267 -0,2360 -0,2238 -0,2566 -0,2944 -0,3096 -0,2968 -0,2688 -0,2452 -0,2395 -0,2507 -0,2641 -0,2622 -0,2390 -0,2064 -0,1930 -0,2312 -0,3356 -0,4960 -0,6918 -0,9096 -1,1453 -1,3929 -1,6418 -1,8854 -2,1291 -2,3826 -2,6511 -2,9371 -3,2486 -3,5982 -3,9898 -4,4115 -4,8431 -5,2609 -5,6349 -5,9406 -6,1751 -6,3518 -6,4831 -6,5752 -6,6284 -6,6357 -6,5781 -6,4295 -6,1741 -5,8256 -5,4249 -5,0161 -4,6232 -4,2419 -3,8518 -3,4312 -2,9631 -2,4372 -1,8571 -1,2555 -0,7031 -0,2867 -0,0702 -0,0706 -0,2570 -0,5625 -0,9080 -1,2278 -1,4848 -1,6762 -1,8289 -1,9843 -2,1733 -2,3966 -2,6245 -2,8180 -2,9526 -3,0284 -3,0666 -3,1016 -3,1738 -3,3166 -3,5442 -3,8471 -4,1946 -4,5440 -4,8513 -5,0815 -5,2149 -5,2504 -5,2055 -5,1115 -5,0040 -4,9115 -4,8509 -4,8322 -4,8637 -4,9518 -5,0942 -5,2675 -5,4268 -5,5288 -5,5535 -5,5019 -5,3803 -5,1971 -4,9693 -4,7231 -4,4919 -4,3108 -4,2052 -4,1782 -4,2068 -4,2537 -4,2830 -4,2648 -4,1715 -3,9838 -3,7033 -3,3557 -2,9771 -2,6031 -2,2666 -1,9934 -1,7942 -1,6640 -1,5869 -1,5371 -1,4862 -1,4224 -1,3619 -1,3426 -1,4057 -1,5734 -1,8369 -2,1596 -2,4892 -2,7771 -2,9986 -3,1592 -3,2922 -3,4476 -3,6648 -3,9469 -4,2632 -4,5726 -4,8397 -5,0409 -5,1699 -5,2422 -5,2899 -5,3453 -5,4282 -5,5408 -5,6659 -5,7736 -5,8374 -5,8488
F3    1,1294 1,1748 1,1943 1,1867 1,1537 1,0962 1,0090 0,8907 0,7641 0,6772 0,6780 0,7902 1,0036 1,2787 1,5616 1,8039 1,9760 2,0670 2,0759 1,9999 1,8300 1,5652 1,2280 0,8587 0,4964 0,1662 -0,1204 -0,3627 -0,5709 -0,7554 -0,9121 -1,0300 -1,1075 -1,1534 -1,1797 -1,2011 -1,2307 -1,2692 -1,3059 -1,3336 -1,3550 -1,3817 -1,4355 -1,5394 -1,6963 -1,8800 -2,0543 -2,1931 -2,2800 -2,3079 -2,2797 -2,2026 -2,0807 -1,9143 -1,7038 -1,4516 -1,1618 -0,8462 -0,5270 -0,2275 0,0358 0,2453 0,3762 0,4057 0,3335 0,1932 0,0393 -0,0816 -0,1502 -0,1708 -0,1546 -0,1104 -0,0492 0,0118 0,0575 0,0865 0,1061 0,1242 0,1507 0,2016 0,2940 0,4302 0,5837 0,7064 0,7567 0,7250 0,6385 0,5399 0,4526 0,3658 0,2536 0,1007 -0,0839 -0,2704 -0,4237 -0,5229 -0,5721 -0,5985 -0,6423 -0,7439 -0,9294 -1,1999 -1,5376 -1,9150 -2,2906 -2,6084 -2,8176 -2,8917 -2,8328 -2,6742 -2,4785 -2,3149 -2,2308 -2,2403 -2,3264 -2,4524 -2,5785 -2,6701 -2,7027 -2,6681 -2,5793 -2,4718 -2,3877 -2,3491 -2,3485 -2,3535 -2,3134 -2,1755 -1,9159 -1,5565 -1,1500 -0,7543 -0,4188 -0,1773 -0,0383 0,0127 0,0021 -0,0370 -0,0720 -0,0858 -0,0822 -0,0719 -0,0535 -0,0082 0,0894 0,2530 0,4681 0,6960 0,8921 1,0179 1,0430 0,9466 0,7225 0,3885 -0,0122 -0,4327 -0,8427 -1,2228 -1,5493 -1,7928 -1,9284 -1,9467 -1,8616 -1,7041 -1,5087 -1,3036 -1,1036 -0,9050 -0,6862 -0,4169 -0,0752 0,3278 0,7334 1,0584 1,2440 1,2856 1,2268 1,1364 1,0869 1,1273 1,2657 1,4780 1,7252 1,9595 2,1298 2,1957 2,1375 1,9567 1,6792 1,3556 1,0459 0,7966 0,6247 0,5153 0,4326 0,3400 0,2142 0,0441 -0,1811 -0,4748 -0,8404 -1,2591 -1,6905 -2,0810 -2,3737 -2,5239 -2,5158 -2,3711 -2,1438 -1,8993 -1,6865 -1,5281 -1,4346 -1,4183 -1,4911 -1,6565 -1,9056 -2,2171 -2,5575 -2,8855 -3,1581 -3,3404 -3,4152 -3,3777 -3,2325 -2,9964 -2,6828 -2,2811 -1,7753 -1,1828 -0,5604 0,0292 0,5406 0,9382 1,1892 1,2822 1,2494 1,1617 1,0945 1,0923 1,1546 1,2452 1,3203 1,3555 1,3460 1,2865 1,1663 0,9840 0,7567 0,5035 0,2264 -0,0857 -0,4355 -0,8089 -1,1838 -1,5376 -1,8488 -2,1039 -2,3081 -2,4825 -2,6476 -2,8133 -2,9808 -3,1450 -3,2947 -3,4142 -3,4807 -3,4694 -3,3749 -3,2247 -3,0656 -2,9367 -2,8566 -2,8298 -2,8546 -2,9174 -2,9821 -2,9991 -2,9330 -2,7813 -2,5766 -2,3791 -2,2531 -2,2317 -2,3059 -2,4404 -2,5870 -2,6920 -2,7116 -2,6301 -2,4579 -2,2131 -1,9121 -1,5727 -1,2166 -0,8662 -0,5342 -0,2201 0,0726 0,3245 0,5118 0,6296 0,7055 0,7855 0,9030 1,0670 1,2715 1,4945 1,6931 1,8228 1,8711 1,8648 1,8427 1,8301 1,8350 1,8573 1,8997 1,9677 2,0640 2,1882 2,3365 2,4928 2,6224 2,6820 2,6404 2,4983 2,2938 2,0915 1,9527 1,8995 1,8996 1,8887 1,8090 1,6350 1,3745 1,0583 0,7290 0,4299 0,1981 0,0599 0,0234 0,0701 0,1572 0,2379 0,2844 0,2881 0,2402 0,1283 -0,0480 -0,2715 -0,5188 -0,7673 -0,9972 -1,1952 -1,3609 -1,5111 -1,6689 -1,8359 -1,9773 -2,0451 -2,0169 -1,9055 -1,7427 -1,5618 -1,3849 -1,2124 -1,0248 -0,7977 -0,5218 -0,2181 0,0653 0,2773 0,3842 0,3710 0,2366 -0,0074 -0,3355 -0,7125 -1,1012 -1,4680 -1,7869 -2,0440 -2,2396 -2,3840 -2,4865 -2,5469 -2,5574 -2,5154 -2,4295 -2,3150 -2,1887 -2,0735 -2,0029 -2,0084 -2,0875 -2,1871 -2,2281 -2,1519 -1,9513 -1,6653 -1,3493 -1,0510 -0,8022 -0,6203 -0,5075 -0,4431 -0,3840 -0,2909 -0,1532 0,0147 0,1850 0,3218 0,3855 0,3387 0,1553 -0,1598 -0,5525 -0,9381 -1,2443 -1,4397 -1,5319 -1,5484 -1,5128 -1,4356 -1,3302 -1,2299 -1,1758 -1,1915 -1,2764 -1,4160 -1,5818 -1,7296 -1,8184 -1,8354 -1,7955 -1,7269 -1,6601 -1,6093 -1,5534 -1,4437 -1,2378 -0,9251 -0,5346 -0,1268 0,2271 0,4738 0,5986 0,6271 0,6122 0,6057 0,6283 0,6647 0,6808 0,6460 0,5489 0,4053 0,2515 0,1288 0,0621 0,0454 0,0433 0,0094 -0,0891 -0,2590 -0,4892 -0,7672 -1,0783 -1,3971 -1,6946 -1,9560 -2,1812 -2,3739 -2,5363 -2,6745 -2,8043 -2,9462 -3,1151 -3,3184 -3,5597 -3,8341 -4,1195 -4,3877 -4,6252 -4,8332 -5,0061 -5,1234 -5,1591 -5,0908 -4,9015 -4,5854 -4,1629 -3,6889 -3,2364 -2,8645 -2,5908 -2,3858 -2,1903 -1,9449 -1,6111 -1,1769 -0,6560 -0,0961 0,4175 0,7868 0,9424 0,8690 0,6058 0,2295 -0,1773 -0,5548 -0,8743 -1,1355 -1,3581 -1,5720 -1,8018 -2,0464 -2,2717 -2,4340 -2,5161 -2,5388 -2,5450 -2,5786 -2,6713 -2,8378 -3,0781 -3,3822 -3,7310 -4,0925 -4,4241 -4,6815 -4,8307 -4,8594 -4,7787 -4,6172 -4,4147 -4,2159 -4,0665 -4,0075 -4,0661 -4,2452 -4,5198 -4,8384 -5,1335 -5,3451 -5,4453 -5,4383 -5,3416 -5,1749 -4,9638 -4,7386 -4,5292 -4,3617 -4,2541 -4,2040 -4,1858 -4,1645 -4,1087 -3,9921 -3,7934 -3,5092 -3,1643 -2,8011 -2,4592 -2,1696 -1,9550 -1,8265 -1,7721 -1,7580 -1,7435 -1,6911 -1,5708 -1,3740 -1,1268 -0,8877 -0,7261 -0,6925 -0,8033 -1,0415 -1,3605 -1,6960 -1,9916 -2,2182 -2,3862 -2,5413 -2,7331 -2,9797 -3,2677 -3,5762 -3,8852 -4,1688 -4,4002 -4,5731 -4,7055 -4,8211 -4,9310 -5,0320 -5,1134 -5,1665 -5,1931 -5,2055
F7    0,3570 0,3318 0,3036 0,2998 0,3299 0,3793 0,4147 0,4054 0,3516 0,2894 0,2634 0,3008 0,4038 0,5561 0,7331 0,9140 1,0874 1,2466 1,3818 1,4746 1,4988 1,4357 1,2899 1,0839 0,8428 0,5895 0,3432 0,1117 -0,1150 -0,3497 -0,5842 -0,7934 -0,9544 -1,0538 -1,0926 -1,0909 -1,0778 -1,0716 -1,0721 -1,0665 -1,0380 -0,9773 -0,8959 -0,8206 -0,7732 -0,7605 -0,7826 -0,8333 -0,8907 -0,9256 -0,9249 -0,8988 -0,8617 -0,8157 -0,7568 -0,6902 -0,6285 -0,5832 -0,5581 -0,5420 -0,5172 -0,4854 -0,4758 -0,5207 -0,6216 -0,7408 -0,8278 -0,8515 -0,8101 -0,7181 -0,5924 -0,4474 -0,3005 -0,1760 -0,0976 -0,0749 -0,1021 -0,1639 -0,2424 -0,3169 -0,3596 -0,3446 -0,2721 -0,1752 -0,0962 -0,0628 -0,0751 -0,1070 -0,1303 -0,1346 -0,1252 -0,1175 -0,1286 -0,1648 -0,2208 -0,2879 -0,3613 -0,4425 -0,5393 -0,6635 -0,8187 -0,9938 -1,1766 -1,3628 -1,5425 -1,6917 -1,7866 -1,8164 -1,7851 -1,7161 -1,6538 -1,6383 -1,6786 -1,7561 -1,8427 -1,9200 -1,9887 -2,0581 -2,1273 -2,1787 -2,1902 -2,1584 -2,1045 -2,0534 -2,0142 -1,9728 -1,8917 -1,7309 -1,4819 -1,1796 -0,8805 -0,6375 -0,4865 -0,4311 -0,4385 -0,4655 -0,4843 -0,4851 -0,4709 -0,4590 -0,4743 -0,5296 -0,6081 -0,6696 -0,6708 -0,5880 -0,4399 -0,2840 -0,1850 -0,1826 -0,2781 -0,4438 -0,6441 -0,8493 -1,0390 -1,2125 -1,3912 -1,6004 -1,8493 -2,1204 -2,3687 -2,5425 -2,6161 -2,5986 -2,5190 -2,4149 -2,3202 -2,2443 -2,1603 -2,0164 -1,7675 -1,4146 -1,0167 -0,6555 -0,3823 -0,1967 -0,0666 0,0405 0,1427 0,2394 0,3244 0,4050 0,4970 0,5964 0,6712 0,6837 0,6060 0,4265 0,1675 -0,1097 -0,3366 -0,4731 -0,5170 -0,4985 -0,4679 -0,4734 -0,5403 -0,6744 -0,8806 -1,1638 -1,5124 -1,8906 -2,2481 -2,5326 -2,6962 -2,7074 -2,5693 -2,3256 -2,0509 -1,8241 -1,6946 -1,6739 -1,7511 -1,9043 -2,1054 -2,3246 -2,5348 -2,7182 -2,8746 -3,0145 -3,1390 -3,2354 -3,2928 -3,3014 -3,2484 -3,1334 -2,9608 -2,7122 -2,3603 -1,9149 -1,4295 -0,9639 -0,5621 -0,2623 -0,0980 -0,0726 -0,1426 -0,2360 -0,2900 -0,2798 -0,2182 -0,1367 -0,0626 -0,0041 0,0419 0,0661 0,0429 -0,0519 -0,2248 -0,4646 -0,7528 -1,0671 -1,3812 -1,6744 -1,9376 -2,1648 -2,3468 -2,4796 -2,5744 -2,6532 -2,7285 -2,7983 -2,8565 -2,8995 -2,9264 -2,9372 -2,9234 -2,8670 -2,7654 -2,6478 -2,5552 -2,5073 -2,4931 -2,4848 -2,4603 -2,4137 -2,3441 -2,2432 -2,1052 -1,9361 -1,7546 -1,5969 -1,5076 -1,5060 -1,5757 -1,6911 -1,8353 -1,9923 -2,1423 -2,2669 -2,3454 -2,3494 -2,2566 -2,0684 -1,8133 -1,5371 -1,2775 -1,0468 -0,8444 -0,6757 -0,5481 -0,4520 -0,3481 -0,1890 0,0373 0,3003 0,5540 0,7517 0,8467 0,8058 0,6402 0,4122 0,1994 0,0570 0,0092 0,0569 0,1863 0,3666 0,5560 0,7242 0,8603 0,9561 0,9971 0,9743 0,8934 0,7758 0,6595 0,5904 0,5977 0,6688 0,7496 0,7786 0,7278 0,6088 0,4503 0,2818 0,1235 -0,0219 -0,1605 -0,2861 -0,3800 -0,4293 -0,4394 -0,4222 -0,3788 -0,3101 -0,2437 -0,2277 -0,2919 -0,4339 -0,6359 -0,8711 -1,1000 -1,2786 -1,3835 -1,4296 -1,4614 -1,5138 -1,5797 -1,6250 -1,6252 -1,5750 -1,4748 -1,3291 -1,1512 -0,9579 -0,7610 -0,5618 -0,3565 -0,1555 0,0103 0,1139 0,1514 0,1323 0,0585 -0,0792 -0,2862 -0,5527 -0,8568 -1,1678 -1,4538 -1,6971 -1,9051 -2,0988 -2,2923 -2,4774 -2,6261 -2,7066 -2,6992 -2,5958 -2,3998 -2,1423 -1,8932 -1,7367 -1,7132 -1,7861 -1,8705 -1,8963 -1,8466 -1,7480 -1,6381 -1,5421 -1,4697 -1,4213 -1,3918 -1,3607 -1,2897 -1,1509 -0,9556 -0,7455 -0,5681 -0,4613 -0,4479 -0,5372 -0,7292 -1,0031 -1,3068 -1,5808 -1,7954 -1,9552 -2,0769 -2,1674 -2,2109 -2,1789 -2,0660 -1,9131 -1,7846 -1,7285 -1,7617 -1,8724 -2,0190 -2,1370 -2,1746 -2,1236 -2,0081 -1,8611 -1,7173 -1,5974 -1,4897 -1,3605 -1,1823 -0,9502 -0,6837 -0,4211 -0,2076 -0,0742 -0,0218 -0,0269 -0,0607 -0,1021 -0,1442 -0,1963 -0,2754 -0,3905 -0,5328 -0,6785 -0,7979 -0,8679 -0,8833 -0,8644 -0,8564 -0,9045 -1,0214 -1,1865 -1,3779 -1,5934 -1,8361 -2,0884 -2,3128 -2,4777 -2,5785 -2,6351 -2,6719 -2,7090 -2,7610 -2,8326 -2,9150 -2,9964 -3,0785 -3,1776 -3,3066 -3,4644 -3,6450 -3,8380 -4,0180 -4,1498 -4,2063 -4,1757 -4,0545 -3,8469 -3,5750 -3,2901 -3,0594 -2,9294 -2,8919 -2,8796 -2,8038 -2,6059 -2,2792 -1,8459 -1,3302 -0,7704 -0,2427 0,1537 0,3368 0,2694 -0,0240 -0,4588 -0,9272 -1,3439 -1,6642 -1,8784 -2,0041 -2,0841 -2,1777 -2,3278 -2,5308 -2,7471 -2,9374 -3,0818 -3,1761 -3,2281 -3,2555 -3,2754 -3,2983 -3,3326 -3,3910 -3,4885 -3,6321 -3,8081 -3,9809 -4,1059 -4,1472 -4,0915 -3,9520 -3,7614 -3,5706 -3,4423 -3,4295 -3,5497 -3,7771 -4,0488 -4,2874 -4,4330 -4,4674 -4,4141 -4,3126 -4,1936 -4,0759 -3,9719 -3,8891 -3,8278 -3,7805 -3,7351 -3,6807 -3,6126 -3,5307 -3,4329 -3,3111 -3,1610 -2,9912 -2,8188 -2,6622 -2,5379 -2,4554 -2,4140 -2,3999 -2,3868 -2,3478 -2,2643 -2,1291 -1,9526 -1,7621 -1,5961 -1,4913 -1,4675 -1,5281 -1,6658 -1,8567 -2,0625 -2,2484 -2,3954 -2,5086 -2,6200 -2,7711 -2,9840 -3,2548 -3,5684 -3,9028 -4,2164 -4,4578 -4,6036 -4,6743 -4,7034 -4,7058 -4,6765 -4,6020 -4,4773 -4,3217 -4,1767
