Fp1   1,4446 0,8269 0,0353 -0,7830 -1,4815 -1,9584 -2,1834 -2,1907 -2,0524 -1,8459 -1,6237 -1,4039 -1,1987 -1,0450 -0,9927 -1,0483 -1,1371 -1,1598 -1,0840 -0,9471 -0,7940 -0,6367 -0,4437 -0,1551 0,2709 0,8173 1,4219 2,0265 2,5899 3,0519 3,3333 3,4019 3,3113 3,1384 2,8986 2,5439 2,0239 1,3428 0,5914 -0,0688 -0,4895 -0,6349 -0,6082 -0,5852 -0,7008 -0,9595 -1,2314 -1,3544 -1,2634 -1,0097 -0,6727 -0,3003 0,0644 0,3497 0,4732 0,3882 0,1005 -0,3389 -0,8349 -1,2606 -1,5010 -1,5014 -1,2838 -0,9077 -0,4121 0,1847 0,8223 1,3878 1,7956 2,0433 2,1663 2,1702 2,0292 1,7314 1,3121 0,8450 0,4050 0,0483 -0,1739 -0,2086 -0,0225 0,3673 0,8753 1,3603 1,6884 1,8169 1,8164 1,8058 1,8756 2,0473 2,2565 2,3772 2,2919 1,9624 1,4478 0,8606 0,3165 -0,0848 -0,2869 -0,3011 -0,1709 0,0724 0,3940 0,7364 1,0384 1,2481 1,3215 1,2411 1,0391 0,7714 0,4612 0,0895 -0,3678 -0,9170 -1,5436 -2,2011 -2,8033 -3,2535 -3,4886 -3,5084 -3,3754 -3,1703 -2,9305 -2,6273 -2,2081 -1,6534 -0,9873 -0,2527 0,5048 1,2457 1,9341 2,5131 2,9083 3,0801 3,0598 2,9207 2,7351 2,5631 2,4450 2,3834 2,3443 2,2917 2,2274 2,1990 2,2756 2,5016 2,8538 3,2512 3,6157 3,9082 4,1149 4,2196 4,2027 4,0670 3,8386 3,5334 3,1536 2,7281 2,3276 2,0087 1,7495 1,4665 1,1138 0,7609 0,5578 0,6168 0,9302 1,3876 1,8451 2,1780 2,3173 2,2826 2,1640 2,0379 1,9127 1,7619 1,5847 1,4172 1,2961 1,2292 1,2030 1,1933 1,1569 1,0334 0,7774 0,4018 -0,0154 -0,3923 -0,7051 -0,9597 -1,1294 -1,1719 -1,0970 -0,9791 -0,9031 -0,9104 -0,9959 -1,1431 -1,3346 -1,5210 -1,6056 -1,4872 -1,1415 -0,6660 -0,2175 0,1073 0,3060 0,3967 0,3676 0,2077 -0,0517 -0,3299 -0,5243 -0,5618 -0,4464 -0,2533 -0,0448 0,1981 0,5208 0,9027 1,2627 1,5162 1,5918 1,4363 1,0375 0,4366 -0,2763 -0,9724 -1,5197 -1,8338 -1,8872 -1,6772 -1,2275 -0,6263 -0,0254 0,4263 0,6443 0,6037 0,3126 -0,1682 -0,7109 -1,1740 -1,4659 -1,5629 -1,4902 -1,2813 -0,9516 -0,5182 -0,0390 0,3850 0,6530 0,7125 0,5739 0,2902 -0,0666 -0,4387 -0,8119 -1,1883 -1,5451 -1,8659 -2,1831 -2,5399 -2,9147 -3,2021 -3,2685 -3,0419 -2,5721 -2,0071 -1,4954 -1,1195 -0,9184 -0,9066 -1,0357 -1,1926 -1,2717 -1,2329 -1,0851 -0,8373 -0,4841 -0,0353 0,4532 0,8824 1,1436 1,1529 0,8669 0,2946 -0,4850 -1,3437 -2,1640 -2,8541 -3,3075 -3,4011 -3,0733 -2,4044 -1,6066 -0,9195 -0,5034 -0,4048 -0,5777 -0,9063 -1,2256 -1,3836 -1,3212 -1,0876 -0,7796 -0,4828 -0,2623 -0,1687 -0,2318 -0,4558 -0,8252 -1,3121 -1,8843 -2,5099 -3,1378 -3,6826 -4,0383 -4,1141 -3,8804 -3,4021 -2,8114 -2,2312 -1,7243 -1,3004 -0,9512 -0,6869 -0,5438 -0,5574 -0,7362 -1,0548 -1,4499 -1,8301 -2,1164 -2,2725 -2,2852 -2,1333 -1,8021 -1,3250 -0,7933 -0,3284 -0,0524 -0,0531 -0,3321 -0,7822 -1,2356 -1,5428 -1,6303 -1,5184 -1,2990 -1,0861 -0,9701 -0,9947 -1,1518 -1,3776 -1,5537 -1,5434 -1,2731 -0,7856 -0,2120 0,3019 0,6549 0,8057 0,7517 0,5028 0,0850 -0,4444 -1,0082 -1,5376 -1,9801 -2,2973 -2,5008 -2,6770 -2,9046 -3,1449 -3,2640 -3,1448 -2,7518 -2,1368 -1,4197 -0,7397 -0,1909 0,2063 0,4732 0,6226 0,6463 0,5336 0,2841 -0,0800 -0,5035 -0,9136 -1,2478 -1,4619 -1,5332 -1,4828 -1,3805 -1,3003 -1,2682 -1,2485 -1,1637 -0,9349 -0,5261 0,0461 0,7339 1,4623 2,1252 2,6169 2,8734 2,8846 2,6781 2,2990 1,8027 1,2553 0,7234 0,2489 -0,1653 -0,5365 -0,8746 -1,1694 -1,3906 -1,5140 -1,5662 -1,6211 -1,7288 -1,8620 -1,9365 -1,8721 -1,6534 -1,3653 -1,1625 -1,1735 -1,4090 -1,7422 -1,9760 -1,9594 -1,6700 -1,2069 -0,7176 -0,3281 -0,1153 -0,1037 -0,2595 -0,5107 -0,7911 -1,0452 -1,2015 -1,1828 -0,9595 -0,5796 -0,1424 0,2584 0,5799 0,8406 1,0827 1,3139 1,4841 1,5201 1,3806 1,0801 0,6745 0,2339 -0,1854 -0,5505 -0,8293 -0,9712 -0,9232 -0,6681 -0,2523 0,2242 0,6477 0,9375 1,0716 1,0753 0,9891 0,8465 0,6651 0,4499 0,2004 -0,0850 -0,3935 -0,6610 -0,7733 -0,6489 -0,3140 0,1090 0,4629 0,6182 0,5307 0,2456 -0,1762 -0,7179 -1,3812 -2,1321 -2,8849 -3,5325 -3,9886 -4,2040 -4,1698 -3,9251 -3,5424 -3,0880 -2,6064 -2,1284 -1,6707 -1,2356 -0,8352 -0,5222 -0,3734 -0,4291 -0,6551 -0,9573 -1,2114 -1,2908 -1,1143 -0,6987 -0,1468 0,4259 0,9487 1,4040 1,8038 2,1468 2,3915 2,4661 2,3070 1,9062 1,3386 0,7484 0,3010 0,1188 0,2438 0,6541 1,3070 2,1437 3,0548 3,8651 4,3772 4,4482 4,0399 3,2167 2,1155 0,9049 -0,2579 -1,2343 -1,8890 -2,1150 -1,8958 -1,3406 -0,6612 -0,1070 0,1247 -0,0318 -0,5028 -1,1445 -1,8095 -2,3574 -2,6611 -2,6632 -2,4282 -2,1082 -1,8550 -1,7581 -1,8138 -1,9338 -2,0252 -2,0770 -2,1506 -2,3013 -2,5252 -2,7579 -2,9071 -2,9051 -2,7693 -2,6139 -2,5645 -2,6557 -2,8233 -2,9766 -3,0588 -3,0498 -2,9439 -2,7388 -2,4468 -2,1165 -1,8377 -1,6913 -1,6871 -1,7744 -1,9018 -2,0286 -2,0876 -1,9820 -1,6446 -1,0976 -0,4447 0,1843 0,6810 0,9721 1,0155 0,7960 0,3397 -0,2604
Fz    0,4154 0,0199 -0,3729 -0,6869 -0,8646 -0,8837 -0,7585 -0,5312 -0,2574 0,0130 0,2516 0,4521 0,6151 0,7309 0,7726 0,7213 0,6006 0,4646 0,3485 0,2520 0,1614 0,0695 -0,0122 -0,0539 -0,0320 0,0459 0,1483 0,2473 0,3314 0,3890 0,3987 0,3503 0,2655 0,1746 0,0837 -0,0246 -0,1712 -0,3635 -0,5756 -0,7432 -0,7983 -0,7166 -0,5295 -0,3023 -0,1033 0,0247 0,0859 0,1145 0,1267 0,1063 0,0393 -0,0643 -0,1886 -0,3302 -0,4926 -0,6727 -0,8580 -1,0276 -1,1510 -1,1903 -1,1089 -0,8889 -0,5484 -0,1339 0,3076 0,7377 1,1041 1,3417 1,4177 1,3596 1,2296 1,0842 0,9583 0,8684 0,8198 0,8108 0,8286 0,8525 0,8709 0,8944 0,9524 1,0719 1,2509 1,4478 1,6052 1,6946 1,7366 1,7794 1,8621 1,9880 2,1186 2,1905 2,1498 1,9893 1,7618 1,5547 1,4428 1,4501 1,5324 1,5990 1,5821 1,4868 1,3723 1,2962 1,2744 1,2720 1,2305 1,1148 0,9350 0,7198 0,4801 0,2064 -0,1132 -0,4873 -0,9227 -1,4126 -1,9208 -2,3895 -2,7644 -3,0119 -3,1194 -3,0849 -2,9074 -2,5853 -2,1257 -1,5546 -0,9121 -0,2367 0,4422 1,1057 1,7388 2,3154 2,7965 3,1539 3,3897 3,5313 3,6219 3,7154 3,8566 4,0498 4,2540 4,4199 4,5304 4,6050 4,6793 4,7745 4,8699 4,9165 4,8860 4,7950 4,6847 4,5837 4,4912 4,3907 4,2655 4,0997 3,8815 3,6165 3,3292 3,0414 2,7485 2,4277 2,0778 1,7501 1,5304 1,4843 1,6177 1,8825 2,2033 2,4981 2,7010 2,7934 2,8029 2,7599 2,6677 2,5193 2,3295 2,1445 2,0194 1,9848 2,0365 2,1451 2,2666 2,3509 2,3574 2,2773 2,1412 1,9876 1,8247 1,6458 1,4701 1,3381 1,2713 1,2583 1,2750 1,3044 1,3361 1,3576 1,3571 1,3383 1,3230 1,3350 1,3761 1,4185 1,4284 1,4018 1,3638 1,3313 1,2912 1,2178 1,0962 0,9323 0,7523 0,5894 0,4621 0,3649 0,2896 0,2491 0,2574 0,3003 0,3523 0,4048 0,4584 0,5077 0,5450 0,5604 0,5424 0,4952 0,4479 0,4360 0,4832 0,6006 0,7801 0,9865 1,1649 1,2682 1,2801 1,2079 1,0649 0,8784 0,6987 0,5770 0,5338 0,5515 0,5931 0,6367 0,6918 0,7732 0,8645 0,9195 0,8983 0,7939 0,6296 0,4411 0,2621 0,1130 -0,0074 -0,1062 -0,1736 -0,1933 -0,1704 -0,1355 -0,1222 -0,1454 -0,1960 -0,2536 -0,3081 -0,3651 -0,4258 -0,4772 -0,5149 -0,5509 -0,5829 -0,5791 -0,5091 -0,3719 -0,1833 0,0529 0,3464 0,6934 1,0545 1,3628 1,5546 1,5952 1,4853 1,2568 0,9669 0,6773 0,4241 0,2181 0,0747 0,0276 0,1068 0,3052 0,5702 0,8250 0,9993 1,0490 0,9653 0,7859 0,5925 0,4684 0,4495 0,5171 0,6235 0,7151 0,7477 0,6976 0,5668 0,3759 0,1514 -0,0894 -0,3557 -0,6796 -1,0774 -1,5167 -1,9267 -2,2313 -2,3811 -2,3765 -2,2638 -2,1069 -1,9597 -1,8551 -1,8054 -1,8101 -1,8642 -1,9535 -2,0496 -2,1200 -2,1419 -2,1064 -2,0194 -1,8970 -1,7514 -1,5805 -1,3742 -1,1299 -0,8596 -0,5930 -0,3807 -0,2826 -0,3317 -0,5011 -0,7112 -0,8704 -0,9137 -0,8223 -0,6203 -0,3551 -0,0766 0,1741 0,3658 0,4831 0,5428 0,5919 0,6760 0,8145 1,0058 1,2387 1,4971 1,7580 1,9842 2,1241 2,1348 2,0124 1,7975 1,5553 1,3501 1,2245 1,1740 1,1424 1,0765 0,9875 0,9317 0,9417 1,0019 1,0724 1,1160 1,1141 1,0781 1,0462 1,0581 1,1311 1,2560 1,4051 1,5438 1,6484 1,7232 1,7921 1,8702 1,9544 2,0305 2,0794 2,0790 2,0185 1,9098 1,7865 1,6955 1,6858 1,7904 2,0198 2,3657 2,7904 3,2204 3,5710 3,7838 3,8385 3,7450 3,5332 3,2413 2,9047 2,5556 2,2266 1,9449 1,7197 1,5378 1,3762 1,2240 1,0877 0,9670 0,8439 0,7134 0,6073 0,5777 0,6658 0,8774 1,1715 1,4742 1,7157 1,8633 1,9289 1,9523 1,9740 2,0137 2,0671 2,1139 2,1255 2,0707 1,9311 1,7163 1,4625 1,2130 1,0112 0,9029 0,9271 1,0954 1,3855 1,7519 2,1435 2,5222 2,8727 3,1907 3,4624 3,6670 3,7977 3,8714 3,9147 3,9465 3,9720 3,9818 3,9576 3,8908 3,7975 3,7122 3,6705 3,6897 3,7603 3,8526 3,9330 3,9761 3,9644 3,8902 3,7655 3,6203 3,4834 3,3654 3,2497 3,1069 2,9345 2,7739 2,6721 2,6384 2,6377 2,6039 2,4686 2,2037 1,8380 1,4197 0,9781 0,5266 0,0834 -0,3247 -0,6695 -0,9291 -1,0910 -1,1581 -1,1582 -1,1334 -1,1160 -1,1197 -1,1454 -1,1766 -1,1719 -1,0858 -0,9084 -0,6789 -0,4572 -0,2870 -0,1752 -0,0926 0,0107 0,1755 0,4037 0,6611 0,9086 1,1281 1,3301 1,5434 1,7876 2,0470 2,2718 2,4066 2,4219 2,3322 2,1958 2,0926 2,0788 2,1583 2,3005 2,4861 2,7263 3,0374 3,4006 3,7487 3,9937 4,0665 3,9400 3,6335 3,1989 2,6920 2,1607 1,6560 1,2341 0,9418 0,7961 0,7702 0,7990 0,8119 0,7682 0,6669 0,5303 0,3889 0,2785 0,2298 0,2471 0,3027 0,3589 0,3888 0,3739 0,3050 0,1972 0,0858 -0,0053 -0,0768 -0,1376 -0,1912 -0,2316 -0,2424 -0,2040 -0,1190 -0,0277 0,0192 -0,0003 -0,0761 -0,1860 -0,3074 -0,4135 -0,4697 -0,4492 -0,3503 -0,1991 -0,0384 0,0945 0,1834 0,2233 0,2049 0,1282 0,0278 -0,0298 0,0180 0,1946 0,4816 0,8389 1,2193 1,5739 1,8563 2,0303 2,0807 2,0230
F3    -0,0469 -0,3887 -0,7268 -0,9854 -1,1088 -1,0782 -0,9062 -0,6259 -0,2850 0,0665 0,3935 0,6817 0,9268 1,1229 1,2546 1,3062 1,2838 1,2163 1,1302 1,0378 0,9414 0,8419 0,7457 0,6644 0,6019 0,5451 0,4725 0,3705 0,2398 0,0847 -0,0913 -0,2684 -0,4034 -0,4607 -0,4447 -0,3915 -0,3445 -0,3389 -0,3860 -0,4641 -0,5368 -0,5820 -0,6005 -0,6077 -0,6246 -0,6596 -0,6900 -0,6790 -0,6258 -0,5768 -0,5832 -0,6707 -0,8481 -1,1155 -1,4546 -1,8284 -2,1963 -2,5208 -2,7624 -2,8796 -2,8353 -2,6072 -2,2002 -1,6478 -0,9974 -0,3074 0,3359 0,8282 1,0974 1,1443 1,0334 0,8555 0,6934 0,6024 0,6024 0,6805 0,7999 0,9197 1,0212 1,1184 1,2452 1,4263 1,6492 1,8618 2,0038 2,0456 2,0025 1,9201 1,8510 1,8319 1,8645 1,9139 1,9325 1,8920 1,7999 1,6906 1,6003 1,5399 1,4768 1,3522 1,1398 0,8831 0,6689 0,5684 0,5925 0,6824 0,7427 0,7017 0,5449 0,2947 -0,0247 -0,3919 -0,7813 -1,1760 -1,5814 -2,0083 -2,4431 -2,8455 -3,1742 -3,4036 -3,5205 -3,5139 -3,3782 -3,1239 -2,7761 -2,3620 -1,8993 -1,3899 -0,8252 -0,1969 0,4860 1,1812 1,8219 2,3517 2,7526 3,0415 3,2559 3,4444 3,6470 3,8639 4,0502 4,1549 4,1692 4,1312 4,0949 4,0912 4,1038 4,0854 4,0033 3,8653 3,7053 3,5506 3,4038 3,2544 3,0964 2,9275 2,7453 2,5501 2,3456 2,1255 1,8686 1,5589 1,2183 0,9138 0,7258 0,7015 0,8362 1,0917 1,4187 1,7657 2,0858 2,3538 2,5693 2,7356 2,8426 2,8757 2,8356 2,7454 2,6405 2,5487 2,4808 2,4350 2,4044 2,3761 2,3320 2,2610 2,1662 2,0487 1,8913 1,6792 1,4303 1,1902 1,0011 0,8840 0,8371 0,8417 0,8690 0,8881 0,8800 0,8555 0,8528 0,9062 1,0109 1,1192 1,1767 1,1657 1,1022 0,9924 0,8142 0,5500 0,2209 -0,1164 -0,3970 -0,5759 -0,6449 -0,6285 -0,5552 -0,4344 -0,2742 -0,1060 0,0386 0,1565 0,2595 0,3519 0,4284 0,4746 0,4699 0,4079 0,3131 0,2311 0,2093 0,2852 0,4680 0,7224 0,9784 1,1678 1,2581 1,2533 1,1735 1,0512 0,9330 0,8628 0,8571 0,8943 0,9243 0,9044 0,8302 0,7239 0,5922 0,4081 0,1408 -0,2028 -0,5713 -0,8980 -1,1318 -1,2539 -1,2789 -1,2319 -1,1196 -0,9371 -0,6991 -0,4525 -0,2620 -0,1801 -0,2191 -0,3506 -0,5350 -0,7447 -0,9556 -1,1391 -1,2819 -1,3916 -1,4665 -1,4834 -1,4251 -1,3028 -1,1382 -0,9317 -0,6595 -0,3023 0,1262 0,5769 0,9869 1,3036 1,4940 1,5444 1,4624 1,2712 0,9967 0,6697 0,3404 0,0725 -0,0854 -0,1195 -0,0522 0,0721 0,2024 0,2909 0,3026 0,2348 0,1266 0,0285 -0,0351 -0,0691 -0,0901 -0,1181 -0,1735 -0,2685 -0,4005 -0,5522 -0,6995 -0,8263 -0,9470 -1,1107 -1,3699 -1,7425 -2,2011 -2,6855 -3,1272 -3,4772 -3,7134 -3,8302 -3,8338 -3,7447 -3,5956 -3,4298 -3,2979 -3,2342 -3,2317 -3,2460 -3,2246 -3,1346 -2,9751 -2,7733 -2,5687 -2,3949 -2,2709 -2,2002 -2,1796 -2,2115 -2,3132 -2,5062 -2,7850 -3,0953 -3,3494 -3,4658 -3,4014 -3,1605 -2,7856 -2,3377 -1,8769 -1,4535 -1,1051 -0,8501 -0,6802 -0,5687 -0,4887 -0,4192 -0,3379 -0,2248 -0,0718 0,1118 0,2963 0,4355 0,4853 0,4251 0,2652 0,0410 -0,1987 -0,4083 -0,5737 -0,7248 -0,8929 -1,0588 -1,1711 -1,2104 -1,2062 -1,1988 -1,2048 -1,2160 -1,2118 -1,1675 -1,0591 -0,8747 -0,6273 -0,3565 -0,1147 0,0592 0,1654 0,2351 0,2935 0,3400 0,3584 0,3322 0,2528 0,1290 -0,0070 -0,1066 -0,1195 -0,0128 0,2153 0,5468 0,9640 1,4410 1,9253 2,3467 2,6405 2,7613 2,6934 2,4619 2,1223 1,7277 1,3095 0,8905 0,5013 0,1745 -0,0805 -0,2880 -0,4825 -0,6786 -0,8740 -1,0666 -1,2466 -1,3784 -1,4108 -1,3080 -1,0744 -0,7562 -0,4162 -0,1039 0,1544 0,3476 0,4741 0,5409 0,5594 0,5382 0,4793 0,3795 0,2325 0,0332 -0,2159 -0,5010 -0,7912 -1,0299 -1,1441 -1,0845 -0,8558 -0,5048 -0,0885 0,3429 0,7508 1,1103 1,4029 1,6084 1,7158 1,7415 1,7314 1,7372 1,7895 1,8865 1,9940 2,0573 2,0306 1,9029 1,7023 1,4812 1,2895 1,1499 1,0607 1,0164 1,0127 1,0313 1,0388 1,0115 0,9546 0,8929 0,8458 0,8078 0,7552 0,6817 0,6128 0,5775 0,5818 0,6095 0,6272 0,5960 0,4981 0,3470 0,1611 -0,0586 -0,3180 -0,6127 -0,9293 -1,2513 -1,5543 -1,8062 -1,9880 -2,1174 -2,2397 -2,3966 -2,6048 -2,8488 -3,0749 -3,1993 -3,1457 -2,8945 -2,5022 -2,0735 -1,7060 -1,4443 -1,2715 -1,1343 -0,9876 -0,8304 -0,6978 -0,6195 -0,5881 -0,5592 -0,4766 -0,3084 -0,0685 0,1902 0,4038 0,5237 0,5333 0,4569 0,3497 0,2622 0,2165 0,2233 0,3112 0,5226 0,8762 1,3322 1,7919 2,1335 2,2610 2,1373 1,7918 1,2992 0,7421 0,1907 -0,2957 -0,6726 -0,9123 -1,0019 -0,9533 -0,8120 -0,6428 -0,5046 -0,4391 -0,4633 -0,5613 -0,6933 -0,8259 -0,9562 -1,1006 -1,2633 -1,4280 -1,5792 -1,7082 -1,7971 -1,8250 -1,7991 -1,7586 -1,7422 -1,7622 -1,8028 -1,8284 -1,8010 -1,7075 -1,5793 -1,4750 -1,4414 -1,4943 -1,6204 -1,7830 -1,9260 -1,9899 -1,9373 -1,7735 -1,5496 -1,3469 -1,2356 -1,2400 -1,3411 -1,4989 -1,6580 -1,7455 -1,6873 -1,4432 -1,0303 -0,5102 0,0450 0,5711 1,0127 1,3249 1,4833 1,4938 1,3917
F7    0,7253 0,4883 0,1949 -0,1070 -0,3814 -0,6045 -0,7649 -0,8721 -0,9552 -1,0370 -1,1074 -1,1389 -1,1230 -1,0814 -1,0423 -1,0097 -0,9522 -0,8300 -0,6360 -0,4059 -0,1886 -0,0088 0,1478 0,3198 0,5383 0,8029 1,0872 1,3688 1,6438 1,9030 2,1093 2,2178 2,2066 2,0706 1,8038 1,4098 0,9225 0,4061 -0,0581 -0,3889 -0,5351 -0,5045 -0,3677 -0,2333 -0,2132 -0,3763 -0,7113 -1,1421 -1,5896 -2,0002 -2,3247 -2,5125 -2,5402 -2,4350 -2,2653 -2,1138 -2,0514 -2,1026 -2,2193 -2,3039 -2,2737 -2,1077 -1,8381 -1,5048 -1,1233 -0,7011 -0,2677 0,1296 0,4568 0,7073 0,8828 0,9714 0,9521 0,8183 0,5973 0,3533 0,1620 0,0729 0,0923 0,1991 0,3708 0,5931 0,8467 1,0954 1,3004 1,4513 1,5792 1,7288 1,9213 2,1308 2,2819 2,2825 2,0827 1,7122 1,2641 0,8378 0,4920 0,2425 0,0791 -0,0192 -0,0636 -0,0506 0,0180 0,1218 0,2290 0,3078 0,3350 0,3003 0,2064 0,0678 -0,0926 -0,2487 -0,3809 -0,4922 -0,6148 -0,7873 -1,0159 -1,2641 -1,4882 -1,6744 -1,8334 -1,9589 -2,0030 -1,8998 -1,6101 -1,1462 -0,5667 0,0504 0,6389 1,1687 1,6393 2,0488 2,3767 2,5950 2,6880 2,6632 2,5546 2,4144 2,2913 2,2199 2,2230 2,3048 2,4430 2,6010 2,7513 2,8763 2,9478 2,9329 2,8274 2,6692 2,5144 2,3995 2,3271 2,2775 2,2256 2,1541 2,0637 1,9725 1,9023 1,8620 1,8384 1,8072 1,7594 1,7175 1,7199 1,7910 1,9297 2,1201 2,3416 2,5678 2,7650 2,9074 2,9880 3,0058 2,9544 2,8432 2,7144 2,6242 2,6023 2,6309 2,6572 2,6318 2,5374 2,3881 2,2172 2,0741 2,0094 2,0299 2,0790 2,0848 2,0179 1,8903 1,7209 1,5215 1,3053 1,0896 0,8886 0,7096 0,5637 0,4769 0,4820 0,6011 0,8206 1,0712 1,2507 1,2854 1,1729 0,9727 0,7630 0,5965 0,4786 0,3907 0,3313 0,3217 0,3763 0,4813 0,6127 0,7652 0,9397 1,1138 1,2522 1,3377 1,3704 1,3535 1,2965 1,2230 1,1616 1,1348 1,1570 1,2339 1,3637 1,5430 1,7583 1,9773 2,1594 2,2728 2,2922 2,1806 1,9012 1,4716 0,9923 0,5956 0,3719 0,3408 0,4650 0,6743 0,8890 1,0445 1,1068 1,0758 0,9785 0,8532 0,7211 0,5760 0,4091 0,2220 0,0089 -0,2368 -0,4948 -0,7325 -0,9439 -1,1533 -1,3851 -1,6287 -1,8278 -1,9145 -1,8618 -1,6991 -1,4811 -1,2559 -1,0601 -0,9153 -0,8105 -0,7084 -0,5841 -0,4496 -0,3363 -0,2609 -0,2066 -0,1310 0,0086 0,2258 0,4942 0,7605 0,9682 1,0790 1,0798 0,9654 0,7267 0,3754 -0,0224 -0,3567 -0,5313 -0,5206 -0,3774 -0,1947 -0,0628 -0,0490 -0,1867 -0,4578 -0,7870 -1,0742 -1,2412 -1,2538 -1,1211 -0,8898 -0,6301 -0,4128 -0,2875 -0,2729 -0,3611 -0,5324 -0,7756 -1,0953 -1,4941 -1,9546 -2,4355 -2,8677 -3,1643 -3,2674 -3,1890 -2,9952 -2,7648 -2,5665 -2,4485 -2,4328 -2,5159 -2,6735 -2,8687 -3,0653 -3,2349 -3,3531 -3,3994 -3,3588 -3,2211 -2,9817 -2,6494 -2,2560 -1,8548 -1,5134 -1,2992 -1,2569 -1,3851 -1,6294 -1,9029 -2,1223 -2,2385 -2,2499 -2,1920 -2,1094 -2,0299 -1,9681 -1,9381 -1,9365 -1,9156 -1,8080 -1,5872 -1,2866 -0,9656 -0,6726 -0,4323 -0,2524 -0,1362 -0,0928 -0,1355 -0,2744 -0,5120 -0,8439 -1,2512 -1,6932 -2,1251 -2,5252 -2,8799 -3,1452 -3,2528 -3,1681 -2,9284 -2,6259 -2,3569 -2,1796 -2,1022 -2,0938 -2,1085 -2,1109 -2,0886 -2,0498 -2,0203 -2,0331 -2,1036 -2,2170 -2,3395 -2,4291 -2,4500 -2,3983 -2,3037 -2,1989 -2,0919 -1,9680 -1,8038 -1,5807 -1,2994 -0,9775 -0,6373 -0,3074 -0,0263 0,1727 0,2720 0,2628 0,1411 -0,0798 -0,3579 -0,6342 -0,8631 -1,0365 -1,1826 -1,3427 -1,5436 -1,7830 -2,0373 -2,2826 -2,5170 -2,7592 -3,0143 -3,2494 -3,4113 -3,4597 -3,3907 -3,2393 -3,0605 -2,9034 -2,7888 -2,7002 -2,5994 -2,4576 -2,2731 -2,0719 -1,8958 -1,7823 -1,7505 -1,8034 -1,9340 -2,1302 -2,3731 -2,6235 -2,8187 -2,8948 -2,8170 -2,5912 -2,2579 -1,8763 -1,5053 -1,1931 -0,9764 -0,8762 -0,8890 -0,9851 -1,1140 -1,2227 -1,2800 -1,2932 -1,3045 -1,3669 -1,5120 -1,7308 -1,9769 -2,1839 -2,2968 -2,3003 -2,2228 -2,1079 -1,9779 -1,8248 -1,6389 -1,4410 -1,2855 -1,2347 -1,3290 -1,5764 -1,9494 -2,3688 -2,7071 -2,8486 -2,7595 -2,5002 -2,1833 -1,9213 -1,7836 -1,7830 -1,8982 -2,1008 -2,3606 -2,6376 -2,8829 -3,0515 -3,1187 -3,0908 -3,0094 -2,9413 -2,9477 -3,0542 -3,2522 -3,5133 -3,7910 -4,0226 -4,1490 -4,1376 -3,9902 -3,7402 -3,4436 -3,1574 -2,9108 -2,6932 -2,4755 -2,2453 -2,0144 -1,7996 -1,6067 -1,4295 -1,2525 -1,0587 -0,8473 -0,6480 -0,5137 -0,4975 -0,6256 -0,8692 -1,1400 -1,3396 -1,4165 -1,3645 -1,1852 -0,8873 -0,5213 -0,1865 0,0150 0,0282 -0,1489 -0,4887 -0,9444 -1,4494 -1,9320 -2,3336 -2,6011 -2,6901 -2,5979 -2,3847 -2,1547 -2,0148 -2,0332 -2,2205 -2,5401 -2,9277 -3,3003 -3,5655 -3,6445 -3,5123 -3,2262 -2,8993 -2,6338 -2,4784 -2,4339 -2,4751 -2,5753 -2,7221 -2,9109 -3,1285 -3,3479 -3,5323 -3,6402 -3,6376 -3,5190 -3,3236 -3,1223 -2,9820 -2,9414 -3,0185 -3,2188 -3,5218 -3,8705 -4,1846 -4,3912 -4,4538 -4,3865 -4,2342 -4,0369 -3,8196 -3,6018 -3,3893 -3,1561 -2,8520 -2,4388 -1,9254 -1,3720 -0,8594 -0,4533 -0,1917 -0,0870 -0,1268 -0,2711 -0,4580
