Fp1   -2,0983 -2,3294 -2,5455 -2,7144 -2,8150 -2,8567 -2,8566 -2,8055 -2,6730 -2,4399 -2,1162 -1,7368 -1,3543 -1,0353 -0,8397 -0,7844 -0,8312 -0,9056 -0,9241 -0,8211 -0,5738 -0,2027 0,2481 0,7208 1,1445 1,4503 1,5981 1,5961 1,5031 1,4170 1,4441 1,6442 1,9809 2,3257 2,5355 2,5347 2,3309 1,9803 1,5597 1,1539 0,8420 0,6809 0,6848 0,8125 0,9870 1,1366 1,2090 1,1607 0,9608 0,6172 0,1785 -0,3090 -0,8295 -1,3671 -1,8612 -2,2216 -2,3893 -2,3736 -2,2321 -2,0295 -1,8251 -1,6834 -1,6612 -1,7820 -2,0343 -2,3849 -2,7928 -3,2161 -3,6081 -3,9117 -4,0693 -4,0416 -3,8223 -3,4389 -2,9496 -2,4298 -1,9340 -1,4579 -0,9392 -0,3032 0,4715 1,3150 2,0940 2,6817 3,0137 3,1019 3,0149 2,8483 2,6990 2,6414 2,7183 2,9427 3,3033 3,7642 4,2501 4,6427 4,8254 4,7507 4,4678 4,0845 3,6959 3,3426 3,0365 2,8080 2,7016 2,7225 2,8141 2,9015 2,9538 3,0005 3,0926 3,2594 3,5025 3,8036 4,1260 4,4220 4,6459 4,7636 4,7589 4,6284 4,3783 4,0444 3,6939 3,3837 3,1312 2,9283 2,7693 2,6645 2,6399 2,7260 2,9332 3,2295 3,5444 3,7978 3,9278 3,9127 3,7873 3,6227 3,4807 3,4000 3,4193 3,5689 3,8280 4,1083 4,2844 4,2491 3,9751 3,5331 3,0403 2,5959 2,2572 2,0386 1,9296 1,9257 2,0380 2,2739 2,6168 3,0334 3,5041 4,0216 4,5523 5,0278 5,3824 5,5842 5,6457 5,6297 5,6366 5,7635 6,0583 6,4992 7,0077 7,4740 7,7899 7,8925 7,7903 7,5491 7,2664 7,0417 6,9438 7,0051 7,2356 7,6036 8,0180 8,3668 8,5796 8,6560 8,6577 8,6727 8,7620 8,9146 9,0533 9,0953 8,9990 8,7505 8,3374 7,7565 7,0373 6,2485 5,4843 4,8441 4,4045 4,1875 4,1500 4,2079 4,2719 4,2771 4,2031 4,0710 3,9217 3,7958 3,7194 3,6968 3,7178 3,7651 3,8188 3,8622 3,8845 3,8824 3,8612 3,8263 3,7846 3,7630 3,8028 3,9147 4,0565 4,1756 4,2601 4,3400 4,4600 4,6582 4,9475 5,3000 5,6611 5,9868 6,2641 6,4994 6,7003 6,8764 7,0553 7,2832 7,5875 7,9352 8,2438 8,4393 8,5096 8,5110 8,5315 8,6511 8,9186 9,3347 9,8425 10,3506 10,7704 11,0363 11,1119 10,9956 10,7304 10,3958 10,0674 9,7802 9,5243 9,2593 8,9308 8,4909 7,9188 7,2235 6,4358 5,6206 4,8900 4,3639 4,0963 4,0458 4,1160 4,2143 4,2758 4,2496 4,0890 3,7732 3,3301 2,8228 2,3143 1,8520 1,4746 1,2135 1,0758 1,0299 1,0136 0,9590 0,8291 0,6468 0,4732 0,3436 0,2466 0,1616 0,0834 0,0135 -0,0442 -0,0805 -0,0805 -0,0260 0,0883 0,2499 0,4454 0,6604 0,8688 1,0396 1,1495 1,1882 1,1520 1,0429 0,8891 0,7518 0,6873 0,7015 0,7511 0,7934 0,8371 0,9488 1,2047 1,6266 2,1662 2,7361 3,2288 3,5316 3,5701 3,3493 2,9399 2,4339 1,9204 1,4711 1,1113 0,8087 0,5212 0,2526 0,0361 -0,1253 -0,2670 -0,4175 -0,5664 -0,6854 -0,7706 -0,8475 -0,9506 -1,1191 -1,3911 -1,7806 -2,2530 -2,7229 -3,0846 -3,2624 -3,2359 -3,0282 -2,6890 -2,2768 -1,8421 -1,4341 -1,1172 -0,9515 -0,9534 -1,0941 -1,3348 -1,6573 -2,0674 -2,5724 -3,1513 -3,7501 -4,3034 -4,7591 -5,0837 -5,2501 -5,2314 -5,0234 -4,6670 -4,2367 -3,8094 -3,4409 -3,1563 -2,9502 -2,7916 -2,6338 -2,4352 -2,1912 -1,9590 -1,8401 -1,9177 -2,2051 -2,6493 -3,1633 -3,6496 -4,0140 -4,1721 -4,0677 -3,7139 -3,2091 -2,7013 -2,3230 -2,1341 -2,1092 -2,1732 -2,2517 -2,3008 -2,3000 -2,2263 -2,0401 -1,7059 -1,2370 -0,7111 -0,2292 0,1324 0,3256 0,3240 0,1326 -0,2136 -0,6667 -1,1657 -1,6249 -1,9454 -2,0571 -1,9518 -1,6742 -1,2936 -0,8860 -0,5210 -0,2549 -0,1260 -0,1409 -0,2692 -0,4610 -0,6772 -0,9115 -1,1862 -1,5215 -1,9085 -2,3050 -2,6562 -2,9283 -3,1221 -3,2497 -3,3057 -3,2705 -3,1447 -2,9739 -2,8304 -2,7623 -2,7642 -2,8019 -2,8566 -2,9305 -3,0255 -3,1405 -3,2916 -3,5134 -3,8245 -4,1956 -4,5618 -4,8644 -5,0756 -5,1905 -5,2119 -5,1517 -5,0476 -4,9765 -5,0443 -5,3341 -5,8373 -6,4387 -6,9688 -7,2758 -7,2722 -6,9487 -6,3684 -5,6515 -4,9430 -4,3746 -4,0410 -3,9807 -4,1622 -4,4954 -4,8706 -5,1972 -5,4174 -5,5000 -5,4380 -5,2529 -4,9875 -4,6882 -4,3861 -4,0885 -3,7936 -3,5115 -3,2735 -3,1308 -3,1312 -3,2850 -3,5570 -3,8957 -4,2542 -4,5852 -4,8368 -4,9587 -4,9185 -4,7237 -4,4210 -4,0563 -3,6367 -3,1380 -2,5537 -1,9259 -1,3222 -0,7923 -0,3547 -0,0077 0,2624 0,4762 0,6474 0,7744 0,8561 0,9073 0,9413 0,9550 0,9392 0,8836 0,7629 0,5379 0,1997 -0,1960 -0,5605 -0,8236 -0,9435 -0,8977 -0,6915 -0,3664 0,0081 0,3505 0,5886 0,6849 0,6530 0,5567 0,4933 0,5514 0,7591 1,0726 1,4098 1,6815 1,8117 1,7522 1,4930 1,0749 0,5904 0,1531 -0,1459 -0,2721 -0,2617 -0,2027 -0,1805 -0,2284 -0,3262 -0,4371 -0,5360 -0,6193 -0,7028 -0,8059 -0,9386 -1,1002 -1,2791 -1,4503 -1,5700 -1,5822 -1,4522 -1,1943 -0,8642 -0,5308 -0,2620 -0,1202 -0,1445 -0,3280 -0,6226 -0,9694 -1,3233 -1,6602 -1,9654 -2,2286 -2,4594 -2,6969 -2,9843 -3,3353 -3,7270 -4,1138 -4,4436 -4,6754 -4,7973 -4,8282 -4,7959 -4,7171 -4,6052 -4,4871 -4,3901 -4,3170 -4,2476 -4,1644
Fz    -1,4251 -1,7620 -2,0492 -2,2882 -2,4759 -2,6070 -2,6736 -2,6623 -2,5605 -2,3677 -2,0970 -1,7644 -1,3900 -1,0110 -0,6750 -0,4124 -0,2209 -0,0750 0,0609 0,2183 0,4079 0,6185 0,8329 1,0367 1,2099 1,3225 1,3501 1,2984 1,2119 1,1627 1,2202 1,4120 1,6977 1,9782 2,1432 2,1253 1,9190 1,5649 1,1294 0,6945 0,3420 0,1305 0,0769 0,1542 0,3102 0,4901 0,6413 0,7080 0,6382 0,4107 0,0491 -0,3959 -0,8728 -1,3309 -1,7158 -1,9809 -2,1080 -2,1128 -2,0279 -1,8853 -1,7230 -1,5927 -1,5344 -1,5491 -1,6123 -1,7088 -1,8494 -2,0608 -2,3622 -2,7444 -3,1619 -3,5416 -3,8065 -3,9102 -3,8588 -3,6992 -3,4783 -3,2095 -2,8727 -2,4413 -1,9141 -1,3311 -0,7633 -0,2832 0,0576 0,2343 0,2546 0,1669 0,0529 0,0004 0,0776 0,3176 0,7194 1,2551 1,8661 2,4568 2,9163 3,1709 3,2244 3,1419 2,9911 2,8053 2,5979 2,3890 2,1992 2,0237 1,8341 1,6097 1,3584 1,1127 0,9135 0,7960 0,7841 0,8861 1,0885 1,3586 1,6555 1,9446 2,2080 2,4431 2,6578 2,8721 3,1104 3,3808 3,6679 3,9504 4,2174 4,4643 4,6757 4,8133 4,8193 4,6386 4,2558 3,7135 3,0909 2,4669 1,8986 1,4142 1,0143 0,6957 0,4832 0,4169 0,5024 0,6807 0,8466 0,8935 0,7640 0,4675 0,0550 -0,4140 -0,8817 -1,2981 -1,6274 -1,8485 -1,9521 -1,9408 -1,8337 -1,6621 -1,4482 -1,2023 -0,9407 -0,6810 -0,4196 -0,1331 0,2035 0,6074 1,0849 1,6240 2,1933 2,7528 3,2648 3,6932 4,0072 4,1953 4,2751 4,2891 4,2943 4,3444 4,4656 4,6518 4,8812 5,1226 5,3317 5,4613 5,4882 5,4391 5,3844 5,3797 5,4062 5,3685 5,1572 4,7203 4,0874 3,3372 2,5528 1,7934 1,0862 0,4403 -0,1307 -0,5958 -0,9172 -1,0808 -1,1116 -1,0586 -0,9711 -0,8925 -0,8627 -0,9168 -1,0752 -1,3314 -1,6510 -1,9829 -2,2770 -2,5034 -2,6554 -2,7351 -2,7456 -2,6942 -2,5918 -2,4514 -2,2812 -2,0748 -1,8239 -1,5482 -1,2986 -1,1237 -1,0388 -1,0251 -1,0468 -1,0685 -1,0742 -1,0750 -1,0889 -1,1127 -1,1242 -1,1099 -1,0823 -1,0676 -1,0761 -1,0848 -1,0573 -0,9803 -0,8764 -0,7798 -0,7028 -0,6211 -0,4940 -0,2949 -0,0222 0,3026 0,6399 0,9422 1,1660 1,2795 1,2689 1,1426 0,9301 0,6746 0,4186 0,1939 0,0203 -0,0983 -0,1776 -0,2455 -0,3298 -0,4511 -0,6209 -0,8315 -1,0456 -1,2150 -1,3187 -1,3763 -1,4250 -1,4947 -1,6054 -1,7740 -2,0110 -2,3095 -2,6413 -2,9694 -3,2645 -3,5010 -3,6407 -3,6371 -3,4691 -3,1721 -2,8279 -2,5200 -2,2886 -2,1162 -1,9556 -1,7726 -1,5555 -1,2998 -1,0036 -0,6756 -0,3304 0,0173 0,3515 0,6590 0,9383 1,2048 1,4870 1,8085 2,1736 2,5703 2,9748 3,3576 3,6869 3,9329 4,0785 4,1262 4,0927 3,9976 3,8586 3,6994 3,5624 3,5096 3,5978 3,8446 4,2194 4,6645 5,1039 5,4439 5,6031 5,5535 5,3262 4,9823 4,5881 4,2027 3,8610 3,5647 3,3051 3,0967 2,9755 2,9653 3,0537 3,2016 3,3617 3,4809 3,5013 3,3833 3,1279 2,7675 2,3403 1,8843 1,4447 1,0693 0,7885 0,5997 0,4701 0,3585 0,2320 0,0704 -0,1375 -0,4009 -0,7334 -1,1502 -1,6549 -2,2270 -2,8243 -3,4064 -3,9544 -4,4658 -4,9353 -5,3404 -5,6401 -5,7947 -5,7949 -5,6643 -5,4372 -5,1420 -4,8016 -4,4368 -4,0670 -3,7141 -3,4073 -3,1797 -3,0545 -3,0348 -3,1030 -3,2267 -3,3733 -3,5267 -3,6913 -3,8788 -4,0950 -4,3286 -4,5501 -4,7210 -4,7991 -4,7469 -4,5583 -4,2781 -3,9936 -3,8053 -3,7896 -3,9725 -4,3304 -4,8034 -5,3093 -5,7539 -6,0463 -6,1218 -5,9634 -5,6129 -5,1612 -4,7071 -4,3131 -3,9989 -3,7587 -3,5770 -3,4396 -3,3366 -3,2527 -3,1622 -3,0361 -2,8581 -2,6381 -2,4070 -2,1967 -2,0259 -1,8999 -1,8206 -1,7913 -1,8074 -1,8555 -1,9278 -2,0290 -2,1720 -2,3628 -2,5839 -2,7937 -2,9431 -2,9969 -2,9492 -2,8222 -2,6459 -2,4408 -2,2166 -1,9837 -1,7619 -1,5747 -1,4331 -1,3328 -1,2701 -1,2512 -1,2811 -1,3522 -1,4526 -1,5871 -1,7844 -2,0723 -2,4428 -2,8535 -3,2589 -3,6309 -3,9548 -4,2227 -4,4355 -4,6089 -4,7793 -5,0024 -5,3306 -5,7753 -6,2915 -6,8013 -7,2322 -7,5397 -7,7112 -7,7627 -7,7333 -7,6735 -7,6297 -7,6382 -7,7227 -7,8854 -8,0980 -8,3088 -8,4650 -8,5302 -8,4836 -8,3165 -8,0337 -7,6525 -7,1993 -6,7096 -6,2295 -5,8124 -5,5071 -5,3465 -5,3435 -5,4886 -5,7449 -6,0548 -6,3610 -6,6223 -6,8156 -6,9277 -6,9482 -6,8778 -6,7448 -6,5985 -6,4723 -6,3539 -6,1920 -5,9357 -5,5721 -5,1311 -4,6656 -4,2247 -3,8298 -3,4645 -3,0891 -2,6697 -2,2011 -1,7073 -1,2286 -0,8093 -0,4857 -0,2708 -0,1465 -0,0750 -0,0187 0,0489 0,1420 0,2626 0,4080 0,5766 0,7637 0,9563 1,1335 1,2665 1,3209 1,2662 1,0856 0,7811 0,3847 -0,0330 -0,3830 -0,5973 -0,6500 -0,5588 -0,3812 -0,1950 -0,0716 -0,0612 -0,1804 -0,4008 -0,6651 -0,9269 -1,1718 -1,4079 -1,6438 -1,8756 -2,0898 -2,2773 -2,4423 -2,5975 -2,7537 -2,9140 -3,0644 -3,1792 -3,2379 -3,2327 -3,1681 -3,0574 -2,9142 -2,7533 -2,6047 -2,5146 -2,5287 -2,6733 -2,9492 -3,3324 -3,7842 -4,2739 -4,7946 -5,3567 -5,9693 -6,6240 -7,2925 -7,9452 -8,5709 -9,1712 -9,7466 -10,2963 -10,8128 -11,2617 -11,5784 -11,6988 -11,5910 -11,2569 -10,7113 -9,9754 -9,0868 -8,1043 -7,0951 -6,1224 -5,2459
F3    -1,3726 -1,7185 -2,1560 -2,6327 -3,0872 -3,4515 -3,6606 -3,6634 -3,4336 -2,9811 -2,3527 -1,6197 -0,8708 -0,2111 0,2616 0,4968 0,5076 0,3579 0,1420 -0,0422 -0,1269 -0,0893 0,0623 0,2976 0,5661 0,8182 1,0383 1,2551 1,5147 1,8394 2,2065 2,5561 2,8166 2,9359 2,9006 2,7281 2,4417 2,0575 1,5941 1,0855 0,5808 0,1390 -0,1803 -0,3415 -0,3473 -0,2201 0,0082 0,2747 0,4898 0,5861 0,5510 0,4023 0,1572 -0,1631 -0,5175 -0,8556 -1,1535 -1,4321 -1,7310 -2,0657 -2,4206 -2,7698 -3,0795 -3,3083 -3,4373 -3,4934 -3,5315 -3,5919 -3,6719 -3,7313 -3,7189 -3,6020 -3,3860 -3,1122 -2,8315 -2,5820 -2,3794 -2,2093 -2,0325 -1,8086 -1,5209 -1,1835 -0,8318 -0,5053 -0,2424 -0,0785 -0,0276 -0,0592 -0,1038 -0,0853 0,0471 0,3042 0,6617 1,0744 1,4827 1,8228 2,0558 2,1967 2,2980 2,3950 2,4716 2,4823 2,3987 2,2329 2,0212 1,7891 1,5362 1,2560 0,9593 0,6737 0,4259 0,2306 0,0936 0,0210 0,0230 0,1086 0,2827 0,5549 0,9465 1,4760 2,1361 2,8858 3,6588 4,3755 4,9561 5,3374 5,4968 5,4621 5,2873 5,0124 4,6506 4,2092 3,7154 3,2203 2,7798 2,4341 2,1973 2,0553 1,9708 1,9038 1,8354 1,7739 1,7361 1,7270 1,7317 1,7279 1,7108 1,7009 1,7198 1,7618 1,7904 1,7556 1,6214 1,3859 1,0791 0,7478 0,4375 0,1826 0,0145 -0,0350 0,0536 0,2849 0,6624 1,1853 1,8327 2,5623 3,3234 4,0633 4,7285 5,2722 5,6657 5,9034 5,9979 5,9722 5,8617 5,7181 5,5966 5,5258 5,4848 5,4236 5,3095 5,1453 4,9521 4,7502 4,5553 4,3897 4,2899 4,2868 4,3716 4,4887 4,5675 4,5580 4,4444 4,2390 3,9741 3,6946 3,4438 3,2403 3,0708 2,9057 2,7172 2,4853 2,2040 1,8847 1,5497 1,2236 0,9302 0,6902 0,5194 0,4210 0,3791 0,3756 0,4106 0,4906 0,5978 0,6834 0,6895 0,5791 0,3565 0,0672 -0,2227 -0,4548 -0,5993 -0,6596 -0,6648 -0,6541 -0,6554 -0,6645 -0,6401 -0,5275 -0,3003 0,0196 0,3842 0,7536 1,1000 1,3923 1,5904 1,6596 1,5945 1,4330 1,2476 1,1142 1,0872 1,1964 1,4493 1,8183 2,2331 2,6097 2,8947 3,0773 3,1767 3,2264 3,2541 3,2624 3,2328 3,1497 3,0239 2,8979 2,8182 2,8005 2,8318 2,8948 2,9764 3,0551 3,0915 3,0422 2,8890 2,6560 2,3969 2,1617 1,9640 1,7738 1,5472 1,2591 0,9123 0,5329 0,1665 -0,1323 -0,3146 -0,3522 -0,2473 -0,0358 0,2199 0,4534 0,6227 0,7189 0,7513 0,7379 0,7193 0,7607 0,9122 1,1654 1,4640 1,7492 1,9909 2,1914 2,3721 2,5545 2,7528 2,9733 3,2117 3,4569 3,6950 3,9012 4,0496 4,1366 4,1781 4,1887 4,1701 4,1184 4,0411 3,9626 3,9132 3,9168 3,9847 4,1131 4,2899 4,5086 4,7793 5,1162 5,5138 5,9356 6,3120 6,5498 6,5722 6,3676 5,9961 5,5573 5,1474 4,8266 4,6104 4,4778 4,3826 4,2747 4,1301 3,9632 3,8070 3,6819 3,5859 3,4985 3,3828 3,1925 2,9043 2,5515 2,2112 1,9614 1,8542 1,9071 2,0946 2,3463 2,5694 2,6933 2,7027 2,6233 2,4823 2,2830 2,0023 1,6083 1,0944 0,5051 -0,0758 -0,5687 -0,9290 -1,1419 -1,2029 -1,1199 -0,9351 -0,7289 -0,5888 -0,5552 -0,5968 -0,6413 -0,6258 -0,5238 -0,3501 -0,1523 0,0152 0,1234 0,1788 0,2056 0,2222 0,2342 0,2332 0,1948 0,0917 -0,0717 -0,2495 -0,3905 -0,4792 -0,5338 -0,5777 -0,6236 -0,6700 -0,6952 -0,6710 -0,6047 -0,5581 -0,6051 -0,7724 -1,0246 -1,2836 -1,4448 -1,4006 -1,0891 -0,5334 0,1604 0,8443 1,3809 1,6836 1,7333 1,5703 1,2679 0,8988 0,5150 0,1498 -0,1754 -0,4461 -0,6512 -0,7773 -0,8014 -0,6980 -0,4586 -0,1034 0,3161 0,7191 1,0156 1,1425 1,0935 0,9115 0,6426 0,3099 -0,0602 -0,4095 -0,6640 -0,7763 -0,7549 -0,6559 -0,5416 -0,4430 -0,3579 -0,2721 -0,1785 -0,0767 0,0364 0,1615 0,2744 0,3208 0,2487 0,0501 -0,2413 -0,5952 -1,0051 -1,4631 -1,9349 -2,3684 -2,7208 -2,9819 -3,1780 -3,3477 -3,5073 -3,6394 -3,7204 -3,7625 -3,8215 -3,9556 -4,1768 -4,4379 -4,6647 -4,8060 -4,8609 -4,8743 -4,9106 -5,0092 -5,1539 -5,2935 -5,3875 -5,4181 -5,3696 -5,2193 -4,9507 -4,5672 -4,0929 -3,5690 -3,0505 -2,5873 -2,2041 -1,8997 -1,6604 -1,4777 -1,3624 -1,3425 -1,4403 -1,6483 -1,9258 -2,2160 -2,4740 -2,6870 -2,8668 -3,0195 -3,1246 -3,1520 -3,1088 -3,0560 -3,0603 -3,1229 -3,1620 -3,0695 -2,7813 -2,2985 -1,6723 -0,9860 -0,3261 0,2520 0,7352 1,1376 1,4769 1,7582 1,9681 2,0793 2,0703 1,9520 1,7774 1,6119 1,4878 1,3904 1,2827 1,1420 0,9844 0,8583 0,8119 0,8657 1,0017 1,1665 1,2945 1,3391 1,2812 1,1230 0,8881 0,6185 0,3541 0,1182 -0,0703 -0,1834 -0,1935 -0,1000 0,0568 0,2010 0,2460 0,1342 -0,1315 -0,4931 -0,8706 -1,2008 -1,4617 -1,6752 -1,8833 -2,1178 -2,3844 -2,6654 -2,9294 -3,1376 -3,2575 -3,2843 -3,2374 -3,1319 -2,9624 -2,7127 -2,3717 -1,9483 -1,4880 -1,0746 -0,7998 -0,7225 -0,8501 -1,1452 -1,5534 -2,0345 -2,5792 -3,2026 -3,9176 -4,7031 -5,4980 -6,2254 -6,8220 -7,2601 -7,5611 -7,7889 -8,0133 -8,2600 -8,4845 -8,5975 -8,5215 -8,2236 -7,7163 -7,0560 -6,3378 -5,6605 -5,0838 -4,6266 -4,2969
F7    -2,2501 -2,4075 -2,4863 -2,4738 -2,3804 -2,2380 -2,0827 -1,9356 -1,7979 -1,6588 -1,5076 -1,3394 -1,1576 -0,9788 -0,8255 -0,7045 -0,5958 -0,4646 -0,2855 -0,0592 0,1865 0,4141 0,5988 0,7340 0,8223 0,8698 0,8883 0,8934 0,9022 0,9388 1,0337 1,2053 1,4366 1,6713 1,8412 1,9019 1,8463 1,6954 1,4849 1,2562 1,0466 0,8831 0,7787 0,7290 0,7158 0,7155 0,7014 0,6420 0,5077 0,2887 0,0026 -0,3237 -0,6719 -1,0201 -1,3254 -1,5369 -1,6271 -1,6047 -1,4987 -1,3369 -1,1452 -0,9601 -0,8227 -0,7579 -0,7690 -0,8468 -0,9811 -1,1641 -1,3853 -1,6239 -1,8501 -2,0327 -2,1466 -2,1813 -2,1475 -2,0706 -1,9658 -1,8184 -1,5927 -1,2590 -0,8198 -0,3197 0,1683 0,5721 0,8476 0,9879 1,0198 0,9914 0,9509 0,9305 0,9482 1,0220 1,1738 1,4153 1,7207 2,0099 2,1758 2,1465 1,9306 1,6050 1,2612 0,9656 0,7580 0,6637 0,6896 0,8095 0,9713 1,1260 1,2539 1,3650 1,4804 1,6178 1,7943 2,0230 2,2991 2,5983 2,8911 3,1541 3,3722 3,5327 3,6247 3,6459 3,6061 3,5198 3,4011 3,2656 3,1308 3,0134 2,9288 2,8888 2,8913 2,9139 2,9283 2,9197 2,8873 2,8385 2,7872 2,7462 2,7159 2,6917 2,6865 2,7302 2,8380 2,9803 3,0861 3,0798 2,9289 2,6593 2,3242 1,9712 1,6362 1,3508 1,1453 1,0454 1,0625 1,1907 1,4124 1,7093 2,0729 2,4968 2,9569 3,4100 3,8135 4,1407 4,3855 4,5653 4,7134 4,8592 5,0105 5,1545 5,2727 5,3476 5,3629 5,3091 5,1914 5,0341 4,8795 4,7762 4,7513 4,8020 4,9136 5,0689 5,2414 5,3961 5,5045 5,5577 5,5675 5,5522 5,5150 5,4332 5,2752 5,0331 4,7310 4,3991 4,0515 3,6910 3,3233 2,9654 2,6505 2,4270 2,3375 2,3907 2,5514 2,7572 2,9416 3,0532 3,0726 3,0140 2,9092 2,7907 2,6790 2,5773 2,4756 2,3605 2,2225 2,0592 1,8703 1,6569 1,4292 1,2067 1,0152 0,8843 0,8366 0,8668 0,9415 1,0301 1,1319 1,2682 1,4565 1,6948 1,9556 2,1906 2,3546 2,4311 2,4367 2,4068 2,3789 2,3804 2,4248 2,5168 2,6536 2,8168 2,9696 3,0704 3,0997 3,0831 3,0829 3,1681 3,3836 3,7306 4,1651 4,6169 5,0163 5,3153 5,4982 5,5749 5,5679 5,5050 5,4076 5,2814 5,1180 4,9013 4,6118 4,2336 3,7684 3,2399 2,6848 2,1486 1,6902 1,3675 1,2045 1,1790 1,2424 1,3434 1,4372 1,4863 1,4625 1,3555 1,1809 0,9734 0,7688 0,5956 0,4792 0,4419 0,4884 0,5921 0,7012 0,7640 0,7594 0,7100 0,6600 0,6374 0,6435 0,6702 0,7090 0,7451 0,7620 0,7514 0,7191 0,6829 0,6613 0,6633 0,6900 0,7396 0,8112 0,9045 1,0158 1,1327 1,2332 1,2959 1,3202 1,3349 1,3794 1,4735 1,6079 1,7609 1,9266 2,1266 2,3880 2,7104 3,0561 3,3656 3,5739 3,6256 3,4980 3,2137 2,8256 2,3942 1,9791 1,6316 1,3733 1,1863 1,0384 0,9158 0,8265 0,7760 0,7536 0,7440 0,7430 0,7568 0,7915 0,8519 0,9447 1,0690 1,2038 1,3129 1,3676 1,3654 1,3269 1,2748 1,2198 1,1643 1,1081 1,0524 1,0028 0,9658 0,9414 0,9233 0,9057 0,8849 0,8562 0,8096 0,7310 0,6129 0,4634 0,3027 0,1596 0,0644 0,0393 0,0933 0,2231 0,4099 0,6185 0,8068 0,9405 1,0024 0,9933 0,9297 0,8409 0,7635 0,7278 0,7398 0,7732 0,7816 0,7241 0,5846 0,3735 0,1209 -0,1323 -0,3459 -0,4829 -0,5144 -0,4358 -0,2722 -0,0658 0,1410 0,3214 0,4717 0,6004 0,7108 0,7972 0,8571 0,9063 0,9782 1,1047 1,2965 1,5421 1,8255 2,1372 2,4576 2,7374 2,9088 2,9133 2,7267 2,3754 1,9363 1,5091 1,1792 0,9919 0,9514 1,0302 1,1821 1,3555 1,5057 1,6009 1,6307 1,6053 1,5442 1,4626 1,3661 1,2525 1,1209 0,9799 0,8521 0,7699 0,7540 0,7970 0,8693 0,9408 0,9968 1,0345 1,0477 1,0218 0,9491 0,8403 0,7139 0,5816 0,4485 0,3184 0,1915 0,0548 -0,1180 -0,3481 -0,6268 -0,9142 -1,1617 -1,3352 -1,4225 -1,4304 -1,3835 -1,3205 -1,2876 -1,3278 -1,4627 -1,6765 -1,9173 -2,1170 -2,2149 -2,1737 -1,9880 -1,6840 -1,3118 -0,9338 -0,6106 -0,3875 -0,2854 -0,2986 -0,3995 -0,5456 -0,6899 -0,7891 -0,8044 -0,7076 -0,4933 -0,1849 0,1743 0,5385 0,8720 1,1510 1,3629 1,5034 1,5695 1,5603 1,4859 1,3675 1,2240 1,0678 0,9124 0,7767 0,6827 0,6485 0,6765 0,7530 0,8662 1,0232 1,2415 1,5242 1,8459 2,1671 2,4590 2,7136 2,9400 3,1537 3,3675 3,5844 3,7979 3,9973 4,1678 4,2826 4,3065 4,2159 4,0135 3,7237 3,3794 3,0164 2,6720 2,3808 2,1711 2,0636 2,0637 2,1548 2,3035 2,4700 2,6151 2,7053 2,7211 2,6670 2,5800 2,5230 2,5532 2,6849 2,8867 3,1052 3,2860 3,3860 3,3828 3,2732 3,0718 2,8133 2,5416 2,2883 2,0598 1,8415 1,6108 1,3557 1,0850 0,8235 0,5968 0,4199 0,2938 0,2093 0,1603 0,1530 0,1968 0,2945 0,4389 0,6156 0,8094 1,0095 1,2129 1,4201 1,6272 1,8192 1,9691 2,0490 2,0414 1,9418 1,7570 1,5016 1,1962 0,8669 0,5440 0,2500 -0,0117 -0,2537 -0,4934 -0,7483 -1,0256 -1,3057 -1,5462 -1,7103 -1,7905 -1,8016 -1,7603 -1,6768 -1,5599 -1,4203 -1,2678 -1,1118 -0,9684
