Fp1   1,5651 1,1258 0,6960 0,3864 0,2602 0,2890 0,3672 0,3754 0,2475 -0,0014 -0,3038 -0,5985 -0,8679 -1,1323 -1,4176 -1,7361 -2,0854 -2,4457 -2,7739 -2,9999 -3,0323 -2,7908 -2,2551 -1,4918 -0,6447 0,1020 0,5852 0,7314 0,5822 0,2621 -0,0775 -0,3092 -0,3688 -0,2716 -0,0903 0,1043 0,2978 0,5242 0,8077 1,1292 1,4453 1,7131 1,9014 2,0059 2,0486 2,0422 1,9584 1,7513 1,4081 0,9813 0,5811 0,3298 0,2959 0,4601 0,7446 1,0625 1,3359 1,4886 1,4472 1,1646 0,6497 -0,0312 -0,7846 -1,5185 -2,1565 -2,6414 -2,9361 -3,0363 -2,9789 -2,8317 -2,6725 -2,5657 -2,5376 -2,5646 -2,5981 -2,6212 -2,6763 -2,8197 -3,0421 -3,2458 -3,3042 -3,1286 -2,6854 -1,9972 -1,1576 -0,3180 0,3813 0,8825 1,2177 1,4490 1,6007 1,6473 1,5565 1,3251 0,9676 0,4983 -0,0514 -0,6135 -1,1177 -1,5428 -1,9248 -2,3349 -2,8534 -3,5375 -4,4083 -5,4524 -6,6055 -7,7601 -8,8144 -9,6996 -10,3653 -10,7743 -10,9231 -10,8640 -10,6945 -10,5109 -10,3685 -10,2803 -10,2223 -10,1290 -9,9261 -9,5949 -9,1982 -8,8376 -8,6006 -8,5416 -8,6763 -8,9617 -9,2838 -9,4875 -9,4358 -9,0611 -8,3727 -7,4207 -6,2652 -4,9795 -3,6378 -2,2783 -0,9146 0,4088 1,6070 2,6029 3,3569 3,8552 4,1090 4,1707 4,1080 3,9652 3,7765 3,5896 3,4375 3,2941 3,0862 2,7502 2,2663 1,6509 0,9470 0,2261 -0,4247 -0,9259 -1,2184 -1,2804 -1,1494 -0,9106 -0,6480 -0,4063 -0,1926 -0,0152 0,0816 0,0369 -0,1617 -0,4464 -0,7040 -0,8262 -0,7452 -0,4655 -0,0673 0,3408 0,6851 0,9446 1,1139 1,1653 1,0551 0,7572 0,2856 -0,3043 -0,9218 -1,4438 -1,7438 -1,7468 -1,4499 -0,8998 -0,1709 0,6448 1,4453 2,1312 2,6211 2,8630 2,8389 2,5703 2,1141 1,5470 0,9527 0,4077 -0,0383 -0,3655 -0,5668 -0,6355 -0,5721 -0,3980 -0,1551 0,1123 0,3761 0,6151 0,7962 0,8855 0,8867 0,8583 0,8752 0,9704 1,1154 1,2506 1,3218 1,2875 1,1143 0,7892 0,3397 -0,1687 -0,6595 -1,0678 -1,3387 -1,4191 -1,2730 -0,9050 -0,3617 0,2957 1,0136 1,7362 2,3875 2,8852 3,1685 3,2097 3,0172 2,6344 2,1229 1,5478 0,9764 0,4759 0,1069 -0,0774 -0,0474 0,1664 0,4671 0,7376 0,8917 0,8875 0,7235 0,4383 0,1090 -0,1614 -0,2761 -0,1915 0,0580 0,3795 0,6836 0,9354 1,1492 1,3430 1,5054 1,6014 1,6049 1,5218 1,3929 1,2869 1,2800 1,4188 1,6969 2,0640 2,4576 2,8285 3,1527 3,4415 3,7443 4,1087 4,5204 4,8961 5,1548 5,2930 5,3762 5,4601 5,5439 5,6002 5,6117 5,5741 5,4986 5,4144 5,3453 5,2807 5,1777 4,9928 4,7170 4,3891 4,0762 3,8325 3,6666 3,5444 3,4281 3,3132 3,2295 3,2095 3,2594 3,3537 3,4391 3,4429 3,2911 2,9396 2,4061 1,7827 1,2062 0,7964 0,6214 0,7083 1,0416 1,5540 2,1602 2,7973 3,4283 4,0310 4,5777 5,0067 5,2453 5,2829 5,1895 5,0464 4,8768 4,6435 4,2919 3,7877 3,1361 2,3855 1,6107 0,8879 0,2880 -0,1279 -0,3362 -0,3742 -0,3162 -0,2205 -0,0973 0,0798 0,3388 0,6696 1,0175 1,3240 1,5635 1,7320 1,8200 1,8189 1,7496 1,6700 1,6458 1,7196 1,9080 2,2084 2,5854 2,9630 3,2580 3,4286 3,4942 3,5296 3,6429 3,9331 4,4390 5,1073 5,8076 6,3991 6,8013 7,0235 7,1389 7,2242 7,3035 7,3427 7,2875 7,1021 6,7823 6,3434 5,8133 5,2372 4,6718 4,1778 3,8342 3,7407 3,9799 4,5683 5,4353 6,4349 7,3778 8,0855 8,4624 8,5366 8,4179 8,2059 7,9361 7,6041 7,2092 6,7559 6,2297 5,6088 4,9209 4,2677 3,7752 3,5340 3,5851 3,9283 4,5202 5,2694 6,0464 6,7032 7,1090 7,1947 6,9578 6,4352 5,7101 4,9334 4,2794 3,8519 3,6583 3,6650 3,8322 4,1113 4,4611 4,8563 5,2566 5,5987 5,8474 6,0353 6,2371 6,5147 6,8866 7,3297 7,7989 8,2483 8,6471 8,9772 9,2133 9,3102 9,2206 8,9310 8,4880 8,0053 7,6269 7,4483 7,4648 7,5871 7,6775 7,6010 7,3096 6,8854 6,4847 6,2497 6,2476 6,4362 6,6816 6,8366 6,8126 6,6058 6,2963 6,0117 5,8503 5,8235 5,8658 5,8877 5,8255 5,6611 5,3987 5,0331 4,5705 4,0770 3,6783 3,5030 3,6240 4,0258 4,5998 5,1735 5,5691 5,6744 5,4850 5,0859 4,5885 4,0775 3,5945 3,1588 2,8051 2,5838 2,5198 2,5968 2,7898 3,0851 3,4562 3,8343 4,1126 4,1850 3,9881 3,5257 2,8694 2,1319 1,4293 0,8699 0,5470 0,5072 0,7358 1,1784 1,7571 2,3732 2,9264 3,3482 3,6240 3,7898 3,9084 4,0367 4,1922 4,3540 4,5012 4,6341 4,7623 4,8966 5,0418 5,1875 5,3193 5,4365 5,5448 5,6382 5,6956 5,7018 5,6688 5,6240 5,5725 5,4754 5,2741 4,9328 4,4386 3,7670 2,8958 1,8651 0,7924 -0,1836 -0,9725 -1,5620 -1,9924 -2,2938 -2,4402 -2,3617 -2,0001 -1,3592 -0,5122 0,4399 1,4037 2,2874 2,9953 3,4478 3,6078 3,4910 3,1482 2,6436 2,0575 1,4896 1,0379 0,7656 0,6880 0,7800 0,9932 1,2861 1,6368 2,0149 2,3562 2,5859 2,6736 2,6665 2,6624 2,7384 2,8912 3,0475 3,1296 3,0945 2,9204 2,5953 2,1274 1,5615 0,9744 0,4460 0,0419 -0,1840 -0,1989 -0,0144 0,3123 0,6925 1,0279 1,2604 1,4278 1,6654
Fz    2,3576 1,7111 1,0730 0,5170 0,0774 -0,2653 -0,5736 -0,9204 -1,3474 -1,8378 -2,3266 -2,7425 -3,0431 -3,2218 -3,2932 -3,2843 -3,2338 -3,1852 -3,1703 -3,1928 -3,2182 -3,1811 -3,0130 -2,6720 -2,1633 -1,5384 -0,8728 -0,2322 0,3458 0,8503 1,2930 1,7003 2,0931 2,4633 2,7717 2,9731 3,0463 3,0012 2,8647 2,6690 2,4525 2,2576 2,1192 2,0547 2,0571 2,0909 2,1029 2,0461 1,8947 1,6457 1,3237 0,9808 0,6791 0,4673 0,3695 0,3811 0,4644 0,5554 0,5858 0,5054 0,2946 -0,0319 -0,4291 -0,8352 -1,1932 -1,4680 -1,6553 -1,7786 -1,8715 -1,9552 -2,0345 -2,1087 -2,1757 -2,2280 -2,2586 -2,2774 -2,3175 -2,4115 -2,5556 -2,7007 -2,7785 -2,7333 -2,5333 -2,1775 -1,7067 -1,1997 -0,7403 -0,3783 -0,1120 0,0922 0,2645 0,4140 0,5378 0,6351 0,7061 0,7455 0,7390 0,6652 0,4984 0,2153 -0,1942 -0,7253 -1,3655 -2,0970 -2,9000 -3,7531 -4,6189 -5,4426 -6,1749 -6,7862 -7,2562 -7,5659 -7,7129 -7,7329 -7,7013 -7,7065 -7,8196 -8,0751 -8,4627 -8,9292 -9,3993 -9,8058 -10,1124 -10,3149 -10,4279 -10,4752 -10,4827 -10,4573 -10,3679 -10,1504 -9,7316 -9,0553 -8,1006 -6,8857 -5,4608 -3,9008 -2,2871 -0,6830 0,8687 2,3246 3,6335 4,7555 5,6769 6,4054 6,9639 7,3904 7,7221 7,9769 8,1604 8,2842 8,3624 8,3921 8,3473 8,1992 7,9375 7,5747 7,1445 6,6982 6,2910 5,9666 5,7528 5,6624 5,6876 5,7974 5,9496 6,1077 6,2454 6,3338 6,3316 6,2051 5,9682 5,6961 5,4936 5,4521 5,6143 5,9536 6,3831 6,7994 7,1254 7,3217 7,3755 7,2906 7,0839 6,7804 6,4052 5,9779 5,5175 5,0597 4,6602 4,3712 4,2247 4,2397 4,4267 4,7759 5,2485 5,7824 6,3042 6,7397 7,0241 7,1210 7,0394 6,8295 6,5583 6,2800 6,0150 5,7521 5,4726 5,1747 4,8811 4,6304 4,4608 4,3968 4,4431 4,5797 4,7628 4,9431 5,0938 5,2241 5,3620 5,5245 5,7084 5,9032 6,1002 6,2841 6,4246 6,4808 6,4203 6,2394 5,9691 5,6662 5,4010 5,2438 5,2474 5,4312 5,7755 6,2290 6,7282 7,2134 7,6365 7,9647 8,1822 8,2879 8,2945 8,2252 8,0994 7,9234 7,6951 7,4171 7,1038 6,7854 6,5018 6,2824 6,1273 6,0137 5,9176 5,8222 5,7068 5,5413 5,3033 4,9997 4,6755 4,3986 4,2337 4,2154 4,3407 4,5825 4,9039 5,2633 5,6199 5,9457 6,2396 6,5256 6,8352 7,1896 7,5924 8,0237 8,4386 8,7840 9,0250 9,1606 9,2233 9,2682 9,3552 9,5225 9,7640 10,0325 10,2749 10,4686 10,6281 10,7803 10,9434 11,1218 11,3068 11,4795 11,6218 11,7262 11,7896 11,8049 11,7672 11,6857 11,5861 11,4990 11,4409 11,4058 11,3713 11,3126 11,2151 11,0804 10,9202 10,7461 10,5669 10,3906 10,2240 10,0691 9,9145 9,7326 9,4959 9,2082 8,9174 8,6884 8,5761 8,6218 8,8419 9,2124 9,6828 10,2021 10,7236 11,2000 11,5821 11,8168 11,8612 11,7128 11,4142 11,0197 10,5608 10,0369 9,4302 8,7258 7,9294 7,0799 6,2459 5,5081 4,9436 4,6119 4,5338 4,6745 4,9575 5,3017 5,6490 5,9678 6,2414 6,4564 6,5935 6,6286 6,5383 6,3088 5,9496 5,5046 5,0498 4,6718 4,4348 4,3638 4,4573 4,7045 5,0791 5,5224 5,9556 6,3143 6,5713 6,7398 6,8638 7,0006 7,1995 7,4814 7,8288 8,1933 8,5206 8,7765 8,9536 9,0562 9,0842 9,0327 8,9019 8,7061 8,4741 8,2337 7,9981 7,7725 7,5655 7,3960 7,2998 7,3304 7,5408 7,9542 8,5453 9,2418 9,9381 10,5206 10,9058 11,0697 11,0381 10,8499 10,5353 10,1200 9,6349 9,1062 8,5370 7,9112 7,2271 6,5228 5,8688 5,3412 4,9988 4,8681 4,9343 5,1436 5,4160 5,6624 5,8062 5,8078 5,6712 5,4266 5,1171 4,7954 4,5074 4,2688 4,0634 3,8653 3,6564 3,4352 3,2211 3,0443 2,9196 2,8365 2,7819 2,7588 2,7775 2,8382 2,9271 3,0276 3,1347 3,2574 3,4102 3,6057 3,8478 4,1177 4,3708 4,5565 4,6509 4,6791 4,7019 4,7734 4,9120 5,0994 5,2817 5,3823 5,3441 5,1622 4,8745 4,5381 4,2146 3,9538 3,7827 3,7100 3,7288 3,8171 3,9478 4,0995 4,2513 4,3747 4,4402 4,4366 4,3805 4,3048 4,2298 4,1456 4,0312 3,8871 3,7388 3,6163 3,5353 3,4936 3,4695 3,4234 3,3089 3,0987 2,8036 2,4578 2,0921 1,7245 1,3639 1,0165 0,6959 0,4253 0,2205 0,0791 -0,0104 -0,0600 -0,0874 -0,1196 -0,1881 -0,3188 -0,5204 -0,7735 -1,0315 -1,2419 -1,3670 -1,3819 -1,2680 -1,0193 -0,6444 -0,1575 0,4202 1,0491 1,6689 2,2155 2,6458 2,9534 3,1633 3,3128 3,4356 3,5600 3,7173 3,9345 4,2111 4,5115 4,7771 4,9523 5,0129 4,9775 4,8895 4,7897 4,7005 4,6253 4,5555 4,4682 4,3217 4,0634 3,6532 3,0874 2,3971 1,6239 0,8079 -0,0026 -0,7429 -1,3468 -1,7731 -2,0180 -2,1082 -2,0806 -1,9604 -1,7525 -1,4508 -1,0572 -0,5968 -0,1144 0,3390 0,7137 0,9675 1,0760 1,0404 0,8871 0,6566 0,3942 0,1450 -0,0482 -0,1537 -0,1601 -0,0787 0,0650 0,2463 0,4510 0,6734 0,8995 1,0949 1,2178 1,2481 1,2025 1,1220 1,0504 1,0137 1,0153 1,0447 1,0829 1,1045 1,0875 1,0274 0,9432 0,8710 0,8466 0,8985 1,0566 1,3478 1,7710 2,2842 2,8186 3,3072 3,7158 4,0575 4,3823
F3    2,7701 2,1929 1,6472 1,2114 0,9092 0,6975 0,4898 0,1972 -0,2282 -0,7688 -1,3514 -1,8889 -2,3242 -2,6419 -2,8516 -2,9757 -3,0498 -3,1091 -3,1623 -3,1804 -3,1084 -2,8927 -2,5120 -1,9910 -1,3952 -0,8135 -0,3283 0,0160 0,2267 0,3503 0,4513 0,5919 0,8070 1,0841 1,3693 1,6065 1,7731 1,8776 1,9302 1,9331 1,8962 1,8417 1,7919 1,7627 1,7560 1,7461 1,6882 1,5499 1,3336 1,0744 0,8270 0,6475 0,5720 0,6031 0,7138 0,8578 0,9732 0,9929 0,8627 0,5603 0,1049 -0,4452 -1,0095 -1,5105 -1,8957 -2,1425 -2,2541 -2,2521 -2,1670 -2,0333 -1,8961 -1,8083 -1,8054 -1,8835 -2,0073 -2,1462 -2,3001 -2,4824 -2,6776 -2,8280 -2,8681 -2,7572 -2,4749 -2,0199 -1,4315 -0,7975 -0,2186 0,2406 0,5747 0,8167 0,9957 1,1170 1,1819 1,2053 1,1997 1,1539 1,0464 0,8702 0,6280 0,3158 -0,0748 -0,5523 -1,1303 -1,8202 -2,6209 -3,5094 -4,4248 -5,2780 -5,9936 -6,5343 -6,8866 -7,0486 -7,0420 -6,9255 -6,7835 -6,6935 -6,7065 -6,8514 -7,1260 -7,4775 -7,8164 -8,0673 -8,2106 -8,2814 -8,3388 -8,4388 -8,6104 -8,8303 -9,0184 -9,0698 -8,8967 -8,4475 -7,7072 -6,6875 -5,4223 -3,9731 -2,4191 -0,8312 0,7329 2,2069 3,5172 4,6172 5,5056 6,2064 6,7508 7,1782 7,5208 7,7849 7,9678 8,0872 8,1668 8,1944 8,1170 7,8832 7,4842 6,9566 6,3684 5,8036 5,3391 5,0257 4,8860 4,9179 5,0885 5,3386 5,6091 5,8655 6,0932 6,2696 6,3434 6,2553 5,9927 5,6187 5,2461 4,9917 4,9364 5,0926 5,4002 5,7675 6,1202 6,4144 6,6179 6,6965 6,6186 6,3673 5,9497 5,3992 4,7781 4,1824 3,7209 3,4656 3,4261 3,5704 3,8573 4,2469 4,6954 5,1520 5,5605 5,8621 6,0018 5,9481 5,7128 5,3517 4,9406 4,5390 4,1693 3,8286 3,5186 3,2611 3,0917 3,0412 3,1177 3,2999 3,5448 3,7979 4,0039 4,1256 4,1704 4,1941 4,2642 4,4092 4,6035 4,7966 4,9475 5,0294 5,0144 4,8732 4,5961 4,2076 3,7605 3,3176 2,9425 2,6958 2,6238 2,7461 3,0531 3,5137 4,0847 4,7098 5,3203 5,8479 6,2386 6,4582 6,5015 6,3996 6,2067 5,9770 5,7527 5,5588 5,4010 5,2767 5,1916 5,1503 5,1326 5,0988 5,0184 4,8856 4,7073 4,4898 4,2442 4,0021 3,8153 3,7361 3,7931 3,9781 4,2527 4,5689 4,8857 5,1760 5,4225 5,6099 5,7283 5,7843 5,8060 5,8391 5,9310 6,1035 6,3367 6,5860 6,8191 7,0367 7,2632 7,5312 7,8687 8,2782 8,7116 9,0840 9,3327 9,4618 9,5239 9,5648 9,5991 9,6245 9,6348 9,6173 9,5594 9,4621 9,3369 9,1888 9,0146 8,8190 8,6284 8,4838 8,4210 8,4499 8,5452 8,6563 8,7341 8,7540 8,7190 8,6494 8,5701 8,4962 8,4172 8,2975 8,0905 7,7575 7,2886 6,7257 6,1639 5,7093 5,4354 5,3789 5,5394 5,8741 6,3196 6,8225 7,3442 7,8545 8,3189 8,6809 8,8725 8,8615 8,6714 8,3465 7,9121 7,3699 6,7153 5,9538 5,1119 4,2415 3,4086 2,6751 2,0999 1,7414 1,6344 1,7644 2,0791 2,5216 3,0491 3,6247 4,2031 4,7253 5,1288 5,3696 5,4334 5,3299 5,0861 4,7462 4,3734 4,0411 3,8064 3,6918 3,6951 3,8099 4,0244 4,3035 4,5926 4,8493 5,0656 5,2679 5,5022 5,8154 6,2332 6,7405 7,2755 7,7525 8,1035 8,3074 8,3848 8,3676 8,2703 8,0845 7,7953 7,4038 6,9338 6,4176 5,8822 5,3559 4,8732 4,4708 4,1909 4,0834 4,1945 4,5428 5,0997 5,7850 6,4795 7,0564 7,4316 7,5967 7,6033 7,5099 7,3427 7,1019 6,7872 6,4033 5,9458 5,4041 4,7939 4,1781 3,6498 3,2966 3,1714 3,2774 3,5696 3,9692 4,3829 4,7180 4,8981 4,8856 4,6903 4,3568 3,9545 3,5720 3,2858 3,1168 3,0318 2,9842 2,9434 2,9033 2,8888 2,9409 3,0739 3,2589 3,4570 3,6507 3,8423 4,0362 4,2256 4,3921 4,5187 4,6027 4,6592 4,7126 4,7736 4,8224 4,8193 4,7351 4,5782 4,4043 4,2938 4,2975 4,4013 4,5397 4,6250 4,5800 4,3805 4,0698 3,7232 3,4035 3,1402 2,9264 2,7341 2,5422 2,3468 2,1567 2,0008 1,9274 1,9716 2,1216 2,3231 2,5153 2,6625 2,7581 2,7981 2,7615 2,6346 2,4460 2,2616 2,1474 2,1407 2,2375 2,3868 2,5020 2,4925 2,3090 1,9702 1,5445 1,1081 0,7168 0,3977 0,1593 0,0140 -0,0197 0,0562 0,2086 0,3956 0,5851 0,7504 0,8654 0,9041 0,8379 0,6425 0,3174 -0,0969 -0,5284 -0,8971 -1,1269 -1,1566 -0,9616 -0,5635 -0,0139 0,6232 1,2766 1,8781 2,3785 2,7596 3,0340 3,2309 3,3782 3,4903 3,5754 3,6521 3,7414 3,8452 3,9483 4,0347 4,0942 4,1283 4,1531 4,1889 4,2444 4,3124 4,3808 4,4425 4,4901 4,4971 4,4118 4,1810 3,7857 3,2398 2,5617 1,7700 0,9061 0,0453 -0,7228 -1,3290 -1,7467 -1,9885 -2,0791 -2,0258 -1,8151 -1,4308 -0,8791 -0,2044 0,5209 1,2198 1,8218 2,2663 2,5110 2,5450 2,3940 2,1089 1,7462 1,3588 0,9986 0,7116 0,5262 0,4488 0,4737 0,5935 0,8000 1,0772 1,3876 1,6753 1,8940 2,0394 2,1482 2,2659 2,4159 2,5859 2,7416 2,8555 2,9115 2,8929 2,7865 2,5992 2,3660 2,1406 1,9752 1,9113 1,9801 2,1897 2,5060 2,8621 3,1903 3,4543 3,6654 3,8722 4,1360
F7    0,4717 0,0746 -0,3500 -0,7258 -0,9759 -1,0629 -1,0062 -0,8655 -0,7049 -0,5637 -0,4556 -0,3843 -0,3545 -0,3770 -0,4634 -0,6062 -0,7710 -0,9142 -1,0034 -1,0204 -0,9567 -0,8109 -0,5901 -0,3132 -0,0226 0,2185 0,3566 0,3813 0,3311 0,2728 0,2673 0,3380 0,4622 0,5832 0,6375 0,5941 0,4854 0,3930 0,3898 0,4867 0,6348 0,7753 0,8825 0,9625 1,0203 1,0400 1,0001 0,8994 0,7552 0,5844 0,4081 0,2678 0,2164 0,2897 0,4895 0,7845 1,1224 1,4433 1,6868 1,7945 1,7257 1,4846 1,1255 0,7330 0,3881 0,1354 -0,0316 -0,1520 -0,2525 -0,3258 -0,3582 -0,3618 -0,3610 -0,3568 -0,3216 -0,2338 -0,1112 -0,0051 0,0424 0,0412 0,0455 0,1110 0,2663 0,5042 0,7813 1,0353 1,2291 1,3865 1,5719 1,8200 2,0863 2,2831 2,3574 2,3245 2,2390 2,1561 2,1154 2,1375 2,2081 2,2586 2,1827 1,8913 1,3584 0,6288 -0,2052 -1,0310 -1,7392 -2,2575 -2,5772 -2,7453 -2,8315 -2,8928 -2,9556 -3,0287 -3,1237 -3,2528 -3,4234 -3,6388 -3,8858 -4,1317 -4,3480 -4,5294 -4,6903 -4,8510 -5,0230 -5,1990 -5,3541 -5,4546 -5,4696 -5,3772 -5,1546 -4,7708 -4,1953 -3,4089 -2,4131 -1,2399 0,0501 1,3848 2,6954 3,9169 4,9846 5,8425 6,4654 6,8767 7,1423 7,3356 7,4952 7,6163 7,6934 7,7525 7,8208 7,8815 7,8781 7,7564 7,4891 7,0823 6,5798 6,0549 5,5822 5,2134 4,9717 4,8521 4,8240 4,8501 4,9169 5,0403 5,2280 5,4413 5,6010 5,6290 5,4953 5,2361 4,9343 4,6865 4,5710 4,6156 4,7894 5,0336 5,3022 5,5699 5,8034 5,9405 5,9063 5,6531 5,1858 4,5549 3,8431 3,1608 2,6290 2,3362 2,3065 2,5117 2,9040 3,4270 4,0078 4,5667 5,0426 5,3958 5,5924 5,6120 5,4665 5,1984 4,8606 4,4986 4,1496 3,8501 3,6347 3,5224 3,5054 3,5527 3,6217 3,6681 3,6575 3,5753 3,4296 3,2544 3,1082 3,0506 3,1076 3,2619 3,4775 3,7255 3,9825 4,2188 4,4022 4,5148 4,5593 4,5512 4,5076 4,4457 4,3846 4,3411 4,3279 4,3613 4,4636 4,6535 4,9290 5,2593 5,5969 5,8988 6,1324 6,2730 6,3140 6,2801 6,2152 6,1602 6,1420 6,1709 6,2396 6,3295 6,4191 6,4824 6,4822 6,3790 6,1529 5,8208 5,4250 5,0082 4,6092 4,2816 4,0870 4,0593 4,1863 4,4262 4,7340 5,0740 5,4138 5,7146 5,9417 6,0875 6,1744 6,2289 6,2611 6,2823 6,3291 6,4516 6,6772 6,9917 7,3488 7,6925 7,9790 8,1930 8,3479 8,4631 8,5382 8,5605 8,5356 8,4904 8,4434 8,3857 8,2921 8,1390 7,9130 7,6201 7,2958 6,9979 6,7740 6,6324 6,5402 6,4458 6,3141 6,1529 6,0043 5,9131 5,9041 5,9774 6,1137 6,2867 6,4745 6,6592 6,8180 6,9178 6,9263 6,8297 6,6401 6,3905 6,1242 5,8813 5,6855 5,5327 5,4079 5,3182 5,2865 5,3185 5,4024 5,5303 5,7026 5,9149 6,1349 6,2891 6,2999 6,1478 5,8839 5,5840 5,3011 5,0421 4,7796 4,4812 4,1336 3,7576 3,4096 3,1517 3,0193 3,0135 3,1077 3,2558 3,4064 3,5262 3,6105 3,6743 3,7355 3,8008 3,8610 3,9001 3,9071 3,8835 3,8397 3,7891 3,7535 3,7604 3,8189 3,9102 4,0112 4,1191 4,2487 4,4134 4,6157 4,8529 5,1255 5,4432 5,8234 6,2740 6,7735 7,2639 7,6633 7,9022 7,9636 7,8937 7,7724 7,6665 7,5878 7,4881 7,3027 7,0115 6,6563 6,3009 5,9856 5,7250 5,5241 5,3816 5,2929 5,2689 5,3498 5,5842 5,9836 6,4943 7,0066 7,3979 7,5966 7,6130 7,5025 7,3072 7,0383 6,7016 6,3220 5,9354 5,5602 5,1869 4,8089 4,4571 4,1990 4,0977 4,1743 4,4069 4,7512 5,1580 5,5754 5,9401 6,1784 6,2326 6,0946 5,8105 5,4624 5,1405 4,9092 4,7845 4,7419 4,7428 4,7590 4,7901 4,8663 5,0225 5,2617 5,5549 5,8776 6,2320 6,6293 7,0599 7,4834 7,8414 8,0840 8,1917 8,1854 8,1221 8,0696 8,0663 8,0996 8,1212 8,0892 8,0069 7,9155 7,8458 7,7887 7,7071 7,5548 7,2995 6,9579 6,5975 6,2874 6,0596 5,9166 5,8474 5,8327 5,8508 5,8820 5,9069 5,9130 5,8994 5,8649 5,7963 5,6732 5,4844 5,2417 4,9770 4,7182 4,4733 4,2499 4,0758 3,9857 3,9949 4,0803 4,1852 4,2449 4,2051 4,0255 3,6930 3,2436 2,7542 2,3070 1,9590 1,7304 1,6211 1,6420 1,8156 2,1391 2,5704 3,0544 3,5360 3,9452 4,2045 4,2557 4,0704 3,6519 3,0542 2,3961 1,8234 1,4508 1,3393 1,4987 1,8835 2,4006 2,9493 3,4576 3,8858 4,2172 4,4573 4,6337 4,7837 4,9316 5,0757 5,1988 5,2919 5,3699 5,4539 5,5444 5,6257 5,6864 5,7214 5,7309 5,7286 5,7354 5,7593 5,7930 5,8285 5,8665 5,9091 5,9397 5,9075 5,7522 5,4505 5,0228 4,5035 3,9316 3,3635 2,8698 2,5057 2,2840 2,1734 2,1230 2,0972 2,0946 2,1361 2,2430 2,4195 2,6465 2,8968 3,1539 3,4059 3,6310 3,7967 3,8743 3,8540 3,7482 3,5855 3,4120 3,2859 3,2502 3,3035 3,4056 3,5131 3,6091 3,6999 3,7925 3,8807 3,9493 3,9915 4,0241 4,0785 4,1805 4,3386 4,5350 4,7243 4,8557 4,8936 4,8233 4,6472 4,3835 4,0702 3,7586 3,4864 3,2652 3,1007 2,9988 2,9459 2,9102 2,8742 2,8443 2,8260 2,8113 2,8159
