Fp1   0,4549 0,3844 0,2272 0,0457 -0,1246 -0,2830 -0,4338 -0,5700 -0,6791 -0,7528 -0,7915 -0,8041 -0,7967 -0,7657 -0,7025 -0,5931 -0,4213 -0,1943 0,0360 0,1948 0,2299 0,1377 -0,0472 -0,2833 -0,5394 -0,7923 -1,0205 -1,1942 -1,2624 -1,1572 -0,8363 -0,3326 0,2541 0,8220 1,3172 1,7428 2,1287 2,4692 2,6864 2,6868 2,4496 2,0282 1,4798 0,8352 0,1292 -0,5780 -1,2087 -1,6821 -1,9358 -1,9575 -1,7920 -1,5022 -1,1336 -0,7143 -0,2668 0,1824 0,5977 0,9389 1,1720 1,2965 1,3668 1,4491 1,5513 1,6266 1,6249 1,5117 1,2606 0,8661 0,3627 -0,1744 -0,6586 -1,0361 -1,3104 -1,5400 -1,8124 -2,2034 -2,7374 -3,3700 -4,0012 -4,5127 -4,8151 -4,8798 -4,7278 -4,4011 -3,9511 -3,4375 -2,9146 -2,4213 -1,9894 -1,6536 -1,4419 -1,3492 -1,3279 -1,3197 -1,2919 -1,2454 -1,2046 -1,2008 -1,2477 -1,3138 -1,3196 -1,1671 -0,7801 -0,1350 0,7201 1,6728 2,5784 3,3069 3,7838 3,9997 3,9876 3,7974 3,4908 3,1465 2,8389 2,5991 2,4163 2,2764 2,1786 2,1200 2,0787 2,0136 1,8957 1,7370 1,5728 1,4353 1,3518 1,3373 1,3788 1,4419 1,4885 1,4844 1,4135 1,3071 1,2405 1,2814 1,4394 1,6675 1,8952 2,0613 2,1242 2,0599 1,8614 1,5520 1,1932 0,8593 0,5906 0,3768 0,1809 -0,0252 -0,2410 -0,4471 -0,6268 -0,7549 -0,7783 -0,6411 -0,3400 0,0569 0,4479 0,7582 0,9668 1,0935 1,1743 1,2416 1,3153 1,4099 1,5526 1,7779 2,0933 2,4553 2,7935 3,0533 3,2171 3,3063 3,3702 3,4548 3,5805 3,7599 4,0227 4,3904 4,8223 5,2085 5,4303 5,4319 5,2464 4,9598 4,6470 4,3404 4,0512 3,7936 3,5831 3,4376 3,3933 3,4887 3,7234 4,0467 4,3775 4,6372 4,7850 4,8287 4,8074 4,7765 4,7956 4,9102 5,1347 5,4449 5,7835 6,0905 6,3398 6,5331 6,6525 6,6494 6,4965 6,2309 5,9291 5,6506 5,4144 5,2168 5,0602 4,9502 4,8718 4,7975 4,7147 4,6237 4,5214 4,4031 4,2676 4,1125 3,9328 3,7354 3,5549 3,4451 3,4483 3,5764 3,8166 4,1362 4,4788 4,7791 4,9958 5,1191 5,1507 5,1000 4,9923 4,8725 4,7925 4,7769 4,8057 4,8377 4,8290 4,7372 4,5365 4,2250 3,8147 3,3301 2,8166 2,3356 1,9395 1,6458 1,4343 1,2556 1,0351 0,7013 0,2414 -0,2775 -0,7517 -1,1027 -1,2987 -1,3449 -1,2766 -1,1443 -0,9929 -0,8587 -0,7650 -0,7096 -0,6783 -0,6782 -0,7448 -0,9107 -1,1780 -1,5230 -1,9153 -2,3225 -2,7087 -3,0475 -3,3326 -3,5572 -3,6949 -3,7160 -3,6232 -3,4558 -3,2515 -3,0279 -2,8048 -2,6196 -2,5122 -2,4994 -2,5604 -2,6552 -2,7520 -2,8419 -2,9358 -3,0483 -3,1731 -3,2651 -3,2557 -3,0955 -2,7894 -2,4035 -2,0387 -1,7766 -1,6530 -1,6768 -1,8448 -2,1262 -2,4588 -2,7829 -3,0769 -3,3576 -3,6446 -3,9207 -4,1329 -4,2342 -4,2193 -4,1106 -3,9172 -3,6388 -3,3197 -3,0580 -2,9410 -2,9861 -3,1361 -3,2932 -3,3786 -3,3761 -3,3225 -3,2755 -3,2935 -3,4205 -3,6644 -3,9931 -4,3661 -4,7626 -5,1760 -5,5997 -6,0251 -6,4326 -6,7754 -6,9948 -7,0613 -6,9944 -6,8477 -6,6797 -6,5364 -6,4521 -6,4480 -6,5204 -6,6405 -6,7732 -6,8974 -7,0124 -7,1227 -7,2084 -7,2154 -7,0906 -6,8293 -6,4930 -6,1814 -5,9780 -5,9047 -5,9193 -5,9531 -5,9491 -5,8698 -5,6919 -5,4021 -5,0014 -4,5164 -4,0129 -3,5895 -3,3424 -3,3281 -3,5505 -3,9709 -4,5159 -5,0854 -5,5833 -5,9656 -6,2550 -6,5018 -6,7367 -6,9470 -7,0929 -7,1501 -7,1274 -7,0502 -6,9455 -6,8347 -6,7223 -6,5927 -6,4243 -6,2069 -5,9465 -5,6613 -5,3754 -5,1086 -4,8723 -4,6763 -4,5371 -4,4689 -4,4556 -4,4466 -4,3999 -4,3239 -4,2663 -4,2681 -4,3336 -4,4307 -4,5153 -4,5656 -4,5974 -4,6436 -4,7181 -4,7900 -4,7967 -4,6825 -4,4281 -4,0537 -3,6046 -3,1279 -2,6696 -2,2988 -2,1067 -2,1457 -2,3796 -2,7071 -3,0203 -3,2425 -3,3429 -3,3386 -3,2701 -3,1587 -2,9891 -2,7334 -2,3847 -1,9656 -1,5096 -1,0348 -0,5286 0,0381 0,6725 1,3235 1,8895 2,2729 2,4270 2,3625 2,1324 1,8109 1,4794 1,2024 0,9939 0,8204 0,6488 0,4833 0,3618 0,3284 0,3952 0,5162 0,6122 0,6348 0,6067 0,6019 0,6836 0,8597 1,0924 1,3328 1,5361 1,6664 1,7121 1,6934 1,6337 1,5250 1,3487 1,1287 0,9340 0,8253 0,8130 0,8596 0,9168 0,9533 0,9572 0,9273 0,8620 0,7499 0,5766 0,3457 0,0914 -0,1388 -0,3242 -0,4796 -0,6079 -0,6640 -0,5857 -0,3490 0,0162 0,4460 0,8637 1,1915 1,3632 1,3484 1,1772 0,9387 0,7387 0,6554 0,7267 0,9517 1,2949 1,6989 2,1028 2,4559 2,7202 2,8611 2,8440 2,6494 2,2896 1,8092 1,2715 0,7447 0,2945 -0,0171 -0,1446 -0,0936 0,0604 0,2133 0,3045 0,3500 0,4167 0,5657 0,8050 1,0866 1,3501 1,5705 1,7554 1,9076 2,0064 2,0226 1,9437 1,7818 1,5658 1,3314 1,1150 0,9564 0,8985 0,9619 1,1088 1,2463 1,2745 1,1376 0,8552 0,5197 0,2392 0,0550 -0,0790 -0,2375 -0,4554 -0,6970 -0,8751 -0,9101 -0,7702 -0,4688 -0,0556 0,3923 0,8049 1,1502 1,4150 1,5729 1,5943 1,4693 1,2012 0,8030 0,3179 -0,1945 -0,7063 -1,2258 -1,7460 -2,2116 -2,5440 -2,6920 -2,6633 -2,5217 -2,3544 -2,2241 -2,1421 -2,0831 -2,0256 -1,9683 -1,9030 -1,7892 -1,5757 -1,2460 -0,8418
Fz    3,9714 3,6271 3,2314 2,8075 2,3645 1,9099 1,4673 1,0666 0,7180 0,4031 0,0908 -0,2384 -0,5778 -0,9009 -1,1797 -1,3936 -1,5318 -1,6007 -1,6248 -1,6296 -1,6309 -1,6363 -1,6434 -1,6359 -1,5910 -1,4968 -1,3591 -1,1896 -0,9889 -0,7423 -0,4350 -0,0739 0,3117 0,6908 1,0439 1,3606 1,6306 1,8230 1,8763 1,7330 1,3915 0,9090 0,3565 -0,2122 -0,7553 -1,2378 -1,6307 -1,8997 -2,0070 -1,9416 -1,7340 -1,4293 -1,0623 -0,6595 -0,2436 0,1682 0,5622 0,9199 1,2128 1,4178 1,5416 1,6078 1,6249 1,5894 1,5061 1,3782 1,1954 0,9557 0,6898 0,4508 0,2751 0,1535 0,0394 -0,1179 -0,3476 -0,6482 -0,9863 -1,3045 -1,5404 -1,6462 -1,6019 -1,4133 -1,0996 -0,6855 -0,2066 0,2899 0,7591 1,1721 1,5128 1,7639 1,9039 1,9242 1,8429 1,6980 1,5323 1,3800 1,2549 1,1488 1,0471 0,9521 0,8914 0,9058 1,0282 1,2670 1,5960 1,9547 2,2692 2,4892 2,6161 2,6935 2,7682 2,8637 2,9842 3,1297 3,2914 3,4350 3,5171 3,5262 3,5005 3,5027 3,5736 3,6994 3,8238 3,8893 3,8611 3,7375 3,5550 3,3716 3,2347 3,1682 3,1694 3,2031 3,2136 3,1696 3,0959 3,0488 3,0650 3,1377 3,2307 3,3036 3,3274 3,2930 3,2080 3,0885 2,9576 2,8436 2,7646 2,7143 2,6617 2,5627 2,3825 2,1114 1,7679 1,4072 1,1177 0,9798 1,0158 1,1779 1,3814 1,5482 1,6388 1,6637 1,6733 1,7286 1,8671 2,0954 2,4093 2,8052 3,2641 3,7442 4,1981 4,5971 4,9446 5,2749 5,6310 6,0374 6,4952 7,0005 7,5509 8,1270 8,6763 9,1317 9,4435 9,5955 9,6034 9,4996 9,3140 9,0662 8,7769 8,4736 8,1810 7,9114 7,6674 7,4471 7,2487 7,0723 6,9117 6,7482 6,5640 6,3564 6,1426 5,9569 5,8392 5,8153 5,8838 6,0128 6,1427 6,2037 6,1504 5,9832 5,7289 5,4149 5,0718 4,7411 4,4578 4,2294 4,0400 3,8739 3,7352 3,6366 3,5735 3,5162 3,4285 3,2870 3,0933 2,8788 2,6947 2,5859 2,5711 2,6473 2,8071 3,0376 3,3055 3,5563 3,7349 3,8037 3,7446 3,5570 3,2611 2,8966 2,5145 2,1629 1,8761 1,6821 1,6113 1,6750 1,8465 2,0795 2,3262 2,5366 2,6646 2,6804 2,5774 2,3783 2,1354 1,9098 1,7410 1,6336 1,5739 1,5470 1,5325 1,5048 1,4620 1,4447 1,5113 1,6953 1,9885 2,3564 2,7546 3,1389 3,4726 3,7283 3,8928 3,9781 4,0172 4,0406 4,0600 4,0702 4,0605 4,0205 3,9477 3,8556 3,7696 3,7064 3,6669 3,6578 3,7042 3,8285 4,0230 4,2531 4,4872 4,7055 4,8819 4,9803 4,9725 4,8551 4,6540 4,4085 4,1481 3,8835 3,6127 3,3322 3,0403 2,7406 2,4489 2,1935 2,0059 1,9024 1,8716 1,8827 1,9025 1,9084 1,8975 1,8978 1,9627 2,1416 2,4452 2,8362 3,2517 3,6371 3,9582 4,1926 4,3270 4,3690 4,3512 4,3135 4,2784 4,2516 4,2390 4,2520 4,2971 4,3646 4,4195 4,4111 4,3000 4,0641 3,6876 3,1726 2,5642 1,9448 1,3934 0,9516 0,6201 0,3764 0,1992 0,0919 0,0856 0,2112 0,4619 0,7828 1,1005 1,3627 1,5499 1,6640 1,7248 1,7669 1,8173 1,8743 1,9131 1,9091 1,8576 1,7857 1,7469 1,7879 1,9118 2,0691 2,1871 2,2165 2,1580 2,0529 1,9531 1,8988 1,9099 1,9850 2,1074 2,2533 2,3914 2,4801 2,4767 2,3524 2,1008 1,7351 1,2782 0,7614 0,2304 -0,2598 -0,6693 -0,9933 -1,2602 -1,5051 -1,7307 -1,8967 -1,9531 -1,8735 -1,6640 -1,3620 -1,0248 -0,7042 -0,4297 -0,2125 -0,0617 0,0090 -0,0107 -0,1129 -0,2627 -0,4010 -0,4678 -0,4295 -0,2912 -0,0852 0,1457 0,3553 0,4991 0,5515 0,5248 0,4591 0,3925 0,3373 0,2698 0,1435 -0,0771 -0,3864 -0,7324 -1,0386 -1,2369 -1,2913 -1,2105 -1,0438 -0,8532 -0,6874 -0,5873 -0,6008 -0,7659 -1,0839 -1,5152 -1,9915 -2,4359 -2,7955 -3,0594 -3,2370 -3,3206 -3,2767 -3,0676 -2,6751 -2,1124 -1,4208 -0,6529 0,1465 0,9414 1,6907 2,3368 2,8179 3,1067 3,2338 3,2690 3,2775 3,2910 3,3119 3,3250 3,2953 3,1770 2,9447 2,6108 2,2180 1,8217 1,4669 1,1680 0,9103 0,6753 0,4657 0,3060 0,2151 0,1779 0,1529 0,1092 0,0478 -0,0042 -0,0084 0,0677 0,2260 0,4207 0,5884 0,6990 0,7756 0,8716 1,0336 1,2696 1,5532 1,8524 2,1486 2,4348 2,7072 2,9564 3,1689 3,3319 3,4361 3,4710 3,4189 3,2646 3,0220 2,7383 2,4582 2,1905 1,9147 1,6133 1,2936 0,9792 0,6849 0,4045 0,1236 -0,1571 -0,4182 -0,6300 -0,7555 -0,7598 -0,6324 -0,3996 -0,1155 0,1598 0,3811 0,5244 0,5810 0,5548 0,4721 0,3870 0,3605 0,4262 0,5791 0,7880 1,0112 1,2061 1,3368 1,3884 1,3846 1,3829 1,4430 1,5937 1,8171 2,0535 2,2323 2,3091 2,2768 2,1477 1,9363 1,6585 1,3350 0,9811 0,5942 0,1610 -0,3151 -0,7922 -1,1952 -1,4526 -1,5416 -1,5006 -1,4007 -1,3098 -1,2697 -1,2797 -1,3092 -1,3383 -1,3716 -1,4121 -1,4436 -1,4298 -1,3250 -1,0974 -0,7491 -0,3204 0,1139 0,4661 0,6786 0,7466 0,6992 0,5732 0,4044 0,2205 0,0289 -0,1753 -0,3818 -0,5598 -0,6900 -0,7893 -0,8933 -1,0188 -1,1541 -1,2790 -1,3761 -1,4299 -1,4291 -1,3668 -1,2379 -1,0417 -0,7895 -0,5025 -0,1963 0,1301 0,4827 0,8520 1,2013
F3    2,6520 2,5746 2,3743 2,0718 1,7082 1,3370 1,0081 0,7444 0,5365 0,3501 0,1356 -0,1504 -0,5150 -0,9252 -1,3294 -1,6760 -1,9233 -2,0520 -2,0722 -2,0133 -1,9039 -1,7569 -1,5728 -1,3639 -1,1706 -1,0400 -0,9840 -0,9655 -0,9297 -0,8417 -0,6937 -0,4928 -0,2511 0,0158 0,2932 0,5741 0,8585 1,1321 1,3494 1,4591 1,4439 1,3196 1,1047 0,8193 0,5066 0,2259 0,0255 -0,0639 -0,0314 0,0982 0,2694 0,4338 0,5760 0,7030 0,8333 0,9984 1,2279 1,5159 1,8123 2,0592 2,2337 2,3381 2,3662 2,3059 2,1656 1,9716 1,7483 1,5157 1,2938 1,0930 0,9004 0,6857 0,4295 0,1446 -0,1324 -0,3689 -0,5528 -0,6884 -0,7827 -0,8381 -0,8619 -0,8795 -0,9267 -1,0222 -1,1447 -1,2347 -1,2204 -1,0553 -0,7498 -0,3767 -0,0404 0,1791 0,2631 0,2435 0,1695 0,0870 0,0364 0,0498 0,1423 0,2980 0,4674 0,5907 0,6329 0,5996 0,5212 0,4320 0,3626 0,3412 0,3980 0,5580 0,8248 1,1802 1,6053 2,0905 2,6117 3,1101 3,5188 3,8005 3,9493 3,9716 3,8804 3,7032 3,4848 3,2672 3,0601 2,8494 2,6341 2,4436 2,3261 2,3173 2,4076 2,5372 2,6318 2,6506 2,6042 2,5343 2,4840 2,4805 2,5332 2,6312 2,7370 2,7975 2,7714 2,6488 2,4502 2,2153 1,9892 1,8134 1,7134 1,6889 1,7176 1,7634 1,7864 1,7674 1,7274 1,7117 1,7518 1,8340 1,9007 1,8892 1,7724 1,5720 1,3419 1,1421 1,0230 1,0216 1,1557 1,4184 1,7766 2,1822 2,5928 2,9878 3,3681 3,7434 4,1141 4,4624 4,7671 5,0226 5,2397 5,4332 5,6196 5,8215 6,0600 6,3399 6,6447 6,9413 7,1909 7,3595 7,4230 7,3673 7,1899 6,9048 6,5485 6,1722 5,8291 5,5672 5,4128 5,3525 5,3421 5,3326 5,2961 5,2388 5,1950 5,2074 5,3175 5,5511 5,8960 6,2944 6,6691 6,9541 7,1004 7,0703 6,8500 6,4679 5,9894 5,4848 5,0013 4,5616 4,1850 3,8965 3,7174 3,6584 3,7111 3,8364 3,9775 4,0907 4,1548 4,1604 4,1090 4,0240 3,9465 3,9175 3,9673 4,1095 4,3305 4,5926 4,8515 5,0636 5,1871 5,2001 5,1198 4,9932 4,8785 4,8375 4,9148 5,0955 5,2900 5,3764 5,2647 4,9387 4,4621 3,9509 3,5255 3,2672 3,1992 3,2905 3,4767 3,6839 3,8486 3,9187 3,8504 3,6284 3,2957 2,9440 2,6540 2,4491 2,3059 2,1931 2,0960 2,0220 1,9905 2,0151 2,1092 2,3029 2,6273 3,0783 3,6016 4,1179 4,5647 4,9176 5,1778 5,3471 5,4202 5,3926 5,2754 5,1090 4,9510 4,8380 4,7583 4,6702 4,5503 4,4149 4,2919 4,1838 4,0656 3,9135 3,7317 3,5470 3,3857 3,2612 3,1724 3,1099 3,0709 3,0675 3,1186 3,2324 3,3968 3,5794 3,7366 3,8356 3,8683 3,8422 3,7705 3,6774 3,5992 3,5650 3,5780 3,6176 3,6568 3,6817 3,7028 3,7427 3,8157 3,9176 4,0278 4,1201 4,1769 4,2018 4,2183 4,2487 4,2957 4,3462 4,3785 4,3669 4,2944 4,1589 3,9630 3,7132 3,4314 3,1516 2,9006 2,6896 2,5143 2,3587 2,2076 2,0662 1,9676 1,9500 2,0224 2,1506 2,2786 2,3666 2,4085 2,4214 2,4345 2,4838 2,5982 2,7776 2,9812 3,1370 3,1791 3,0931 2,9299 2,7764 2,7029 2,7152 2,7516 2,7314 2,6103 2,3959 2,1336 1,8927 1,7505 1,7585 1,9093 2,1402 2,3694 2,5217 2,5375 2,3857 2,0766 1,6622 1,2257 0,8606 0,6424 0,5980 0,6952 0,8588 0,9974 1,0302 0,9198 0,6933 0,4303 0,2232 0,1320 0,1600 0,2717 0,4264 0,5933 0,7505 0,8775 0,9514 0,9501 0,8632 0,7087 0,5384 0,4163 0,3916 0,4898 0,7162 1,0524 1,4496 1,8402 2,1741 2,4356 2,6170 2,6987 2,6654 2,5150 2,2478 1,8689 1,4225 1,0173 0,7931 0,8461 1,1813 1,7129 2,2978 2,7930 3,1048 3,1974 3,0790 2,7904 2,3890 1,9304 1,4595 1,0088 0,5911 0,2077 -0,1149 -0,3054 -0,2846 -0,0183 0,4738 1,1375 1,8931 2,6417 3,2921 3,7885 4,1107 4,2558 4,2301 4,0620 3,8146 3,5733 3,4124 3,3595 3,3912 3,4582 3,5113 3,5207 3,4872 3,4258 3,3375 3,2027 2,9955 2,6986 2,3159 1,8841 1,4748 1,1748 1,0448 1,0864 1,2465 1,4450 1,5977 1,6386 1,5447 1,3411 1,0848 0,8406 0,6605 0,5693 0,5605 0,6082 0,6791 0,7415 0,7800 0,8083 0,8600 0,9666 1,1364 1,3515 1,5811 1,7956 1,9748 2,1205 2,2457 2,3411 2,3728 2,3182 2,1776 1,9456 1,5995 1,1339 0,5985 0,0931 -0,2800 -0,4689 -0,4842 -0,3773 -0,2160 -0,0628 0,0529 0,1415 0,2310 0,3474 0,5197 0,7818 1,1437 1,5577 1,9283 2,1604 2,2005 2,0469 1,7369 1,3267 0,8702 0,4069 -0,0364 -0,4430 -0,7984 -1,0723 -1,2111 -1,1619 -0,9125 -0,5036 -0,0079 0,4951 0,9378 1,2834 1,5290 1,6944 1,8086 1,8993 1,9879 2,0847 2,1759 2,2164 2,1461 1,9267 1,5728 1,1536 0,7527 0,4167 0,1430 -0,0889 -0,2806 -0,4099 -0,4619 -0,4503 -0,4054 -0,3565 -0,3374 -0,3833 -0,5005 -0,6496 -0,7675 -0,8052 -0,7462 -0,5964 -0,3650 -0,0637 0,2688 0,5546 0,7081 0,6783 0,4598 0,0842 -0,3832 -0,8625 -1,2992 -1,6833 -2,0266 -2,3299 -2,5770 -2,7510 -2,8490 -2,8827 -2,8665 -2,7997 -2,6598 -2,4301 -2,1371 -1,8484 -1,6255 -1,4847 -1,4009 -1,3366 -1,2648
F7    1,5755 1,4624 1,2576 1,0077 0,7540 0,5221 0,3296 0,1911 0,1127 0,0846 0,0784 0,0537 -0,0256 -0,1760 -0,3876 -0,6255 -0,8419 -0,9970 -1,0729 -1,0687 -0,9954 -0,8788 -0,7597 -0,6834 -0,6810 -0,7576 -0,8940 -1,0554 -1,1985 -1,2797 -1,2695 -1,1652 -0,9858 -0,7544 -0,4810 -0,1566 0,2311 0,6612 1,0630 1,3531 1,4905 1,4875 1,3761 1,1832 0,9368 0,6739 0,4388 0,2802 0,2427 0,3438 0,5618 0,8555 1,1883 1,5332 1,8704 2,1837 2,4598 2,6857 2,8463 2,9346 2,9677 2,9726 2,9559 2,9053 2,8146 2,6828 2,5031 2,2723 2,0073 1,7482 1,5403 1,4066 1,3307 1,2619 1,1363 0,9062 0,5679 0,1669 -0,2257 -0,5459 -0,7601 -0,8692 -0,8926 -0,8503 -0,7612 -0,6481 -0,5345 -0,4360 -0,3607 -0,3171 -0,3139 -0,3469 -0,3939 -0,4273 -0,4278 -0,3934 -0,3418 -0,3022 -0,2963 -0,3191 -0,3379 -0,3094 -0,1956 0,0266 0,3581 0,7724 1,2201 1,6449 2,0040 2,2775 2,4632 2,5718 2,6258 2,6555 2,6818 2,7000 2,6905 2,6458 2,5833 2,5352 2,5246 2,5480 2,5877 2,6378 2,7071 2,8042 2,9293 3,0702 3,2000 3,2836 3,2884 3,1921 2,9936 2,7297 2,4758 2,3120 2,2816 2,3753 2,5417 2,7125 2,8319 2,8743 2,8397 2,7418 2,6084 2,4772 2,3753 2,3050 2,2501 2,1894 2,1103 2,0113 1,8923 1,7590 1,6341 1,5441 1,4941 1,4653 1,4359 1,3965 1,3511 1,3107 1,2886 1,2940 1,3231 1,3606 1,3992 1,4496 1,5234 1,6180 1,7231 1,8340 1,9549 2,0936 2,2540 2,4311 2,6198 2,8340 3,1101 3,4746 3,9056 4,3324 4,6709 4,8659 4,9185 4,8770 4,8003 4,7266 4,6693 4,6243 4,5746 4,5016 4,4048 4,3060 4,2339 4,2054 4,2141 4,2358 4,2551 4,2784 4,3217 4,3980 4,5155 4,6739 4,8588 5,0450 5,2070 5,3305 5,4166 5,4714 5,4900 5,4552 5,3580 5,2099 5,0305 4,8312 4,6168 4,3996 4,2049 4,0598 3,9733 3,9337 3,9214 3,9179 3,9071 3,8811 3,8396 3,7788 3,6875 3,5611 3,4164 3,2875 3,2068 3,1900 3,2338 3,3225 3,4364 3,5612 3,6870 3,8010 3,8857 3,9258 3,9130 3,8538 3,7786 3,7254 3,7139 3,7405 3,7828 3,8087 3,7935 3,7253 3,5920 3,3774 3,0761 2,7082 2,3163 1,9470 1,6345 1,3915 1,2022 1,0342 0,8690 0,7205 0,6211 0,5965 0,6551 0,7937 0,9986 1,2435 1,4931 1,7101 1,8684 1,9720 2,0523 2,1409 2,2452 2,3501 2,4298 2,4564 2,4084 2,2886 2,1273 1,9611 1,8120 1,6903 1,6055 1,5614 1,5478 1,5505 1,5683 1,6056 1,6483 1,6604 1,6061 1,4747 1,2867 1,0781 0,8768 0,6898 0,5074 0,3178 0,1239 -0,0487 -0,1556 -0,1508 -0,0103 0,2513 0,5854 0,9353 1,2532 1,4993 1,6440 1,6814 1,6342 1,5363 1,4087 1,2570 1,0861 0,9105 0,7454 0,5948 0,4549 0,3277 0,2269 0,1650 0,1355 0,1175 0,0976 0,0807 0,0816 0,1091 0,1493 0,1678 0,1322 0,0249 -0,1592 -0,4121 -0,7043 -0,9905 -1,2275 -1,3892 -1,4664 -1,4647 -1,4040 -1,3089 -1,1947 -1,0641 -0,9209 -0,7817 -0,6718 -0,6088 -0,5959 -0,6246 -0,6784 -0,7359 -0,7827 -0,8229 -0,8760 -0,9662 -1,1060 -1,2814 -1,4528 -1,5800 -1,6489 -1,6768 -1,6974 -1,7372 -1,8006 -1,8691 -1,9126 -1,9002 -1,8079 -1,6272 -1,3685 -1,0553 -0,7180 -0,3967 -0,1429 -0,0024 0,0090 -0,0899 -0,2609 -0,4562 -0,6217 -0,7162 -0,7425 -0,7474 -0,7849 -0,8816 -1,0260 -1,1778 -1,2953 -1,3598 -1,3840 -1,4046 -1,4556 -1,5376 -1,6158 -1,6477 -1,6097 -1,5035 -1,3462 -1,1569 -0,9489 -0,7263 -0,4910 -0,2555 -0,0416 0,1362 0,2816 0,4050 0,5065 0,5811 0,6384 0,7063 0,8120 0,9601 1,1204 1,2412 1,2765 1,2082 1,0521 0,8467 0,6345 0,4499 0,3142 0,2374 0,2222 0,2608 0,3190 0,3414 0,2911 0,1806 0,0539 -0,0459 -0,0894 -0,0672 0,0041 0,0968 0,2015 0,3338 0,5138 0,7466 1,0187 1,3070 1,5976 1,8953 2,2112 2,5409 2,8507 3,0840 3,1863 3,1305 2,9265 2,6145 2,2485 1,8840 1,5652 1,3071 1,0977 0,9204 0,7695 0,6501 0,5754 0,5576 0,5925 0,6579 0,7327 0,8111 0,8987 0,9927 1,0704 1,1018 1,0765 1,0087 0,9198 0,8239 0,7241 0,6048 0,4318 0,1847 -0,1073 -0,3696 -0,5248 -0,5356 -0,4202 -0,2279 -0,0033 0,2222 0,4176 0,5470 0,5821 0,5193 0,3865 0,2355 0,1189 0,0604 0,0513 0,0789 0,1461 0,2576 0,3992 0,5405 0,6514 0,7141 0,7193 0,6579 0,5242 0,3343 0,1350 -0,0185 -0,0938 -0,0850 0,0000 0,1407 0,3072 0,4718 0,6172 0,7343 0,8155 0,8530 0,8406 0,7803 0,6880 0,5856 0,4844 0,3854 0,2923 0,2166 0,1654 0,1280 0,0843 0,0306 -0,0094 -0,0015 0,0744 0,2117 0,3818 0,5509 0,7013 0,8335 0,9512 1,0527 1,1343 1,1971 1,2485 1,2964 1,3442 1,3951 1,4565 1,5349 1,6201 1,6746 1,6454 1,4948 1,2200 0,8557 0,4653 0,1124 -0,1790 -0,4289 -0,6641 -0,8896 -1,0844 -1,2131 -1,2514 -1,2009 -1,0801 -0,9161 -0,7437 -0,5976 -0,5016 -0,4717 -0,5203 -0,6508 -0,8520 -1,1051 -1,3880 -1,6724 -1,9346 -2,1733 -2,4049 -2,6397 -2,8678 -3,0658 -3,2094 -3,2787 -3,2676 -3,1910 -3,0734 -2,9336 -2,7790 -2,6114 -2,4305 -2,2300 -1,9963 -1,7219 -1,4216 -1,1358
