Fp1   2,3897 1,9224 1,4602 1,0152 0,5933 0,1972 -0,1751 -0,5286 -0,8687 -1,1980 -1,5128 -1,8037 -2,0547 -2,2445 -2,3558 -2,3858 -2,3442 -2,2432 -2,0927 -1,9004 -1,6705 -1,4014 -1,0898 -0,7388 -0,3638 0,0126 0,3699 0,6970 0,9916 1,2546 1,4839 1,6715 1,8057 1,8783 1,8923 1,8615 1,8036 1,7293 1,6381 1,5217 1,3693 1,1705 0,9201 0,6203 0,2795 -0,0855 -0,4474 -0,7733 -1,0379 -1,2323 -1,3617 -1,4396 -1,4826 -1,5072 -1,5289 -1,5602 -1,6036 -1,6510 -1,6930 -1,7280 -1,7587 -1,7802 -1,7746 -1,7167 -1,5835 -1,3575 -1,0327 -0,6210 -0,1508 0,3437 0,8276 1,2640 1,6190 1,8729 2,0203 2,0617 1,9987 1,8358 1,5817 1,2494 0,8589 0,4356 0,0026 -0,4247 -0,8346 -1,2165 -1,5603 -1,8547 -2,0903 -2,2643 -2,3835 -2,4624 -2,5188 -2,5716 -2,6393 -2,7348 -2,8594 -3,0040 -3,1504 -3,2686 -3,3214 -3,2832 -3,1574 -2,9723 -2,7633 -2,5586 -2,3762 -2,2216 -2,0884 -1,9653 -1,8485 -1,7464 -1,6760 -1,6572 -1,7053 -1,8231 -1,9970 -2,2035 -2,4229 -2,6444 -2,8576 -3,0455 -3,1841 -3,2479 -3,2167 -3,0824 -2,8499 -2,5305 -2,1331 -1,6578 -1,0967 -0,4444 0,2882 1,0706 1,8600 2,6156 3,3139 3,9514 4,5327 5,0617 5,5372 5,9466 6,2632 6,4592 6,5209 6,4551 6,2860 6,0489 5,7774 5,4925 5,2053 4,9299 4,6890 4,5116 4,4282 4,4631 4,6236 4,8921 5,2300 5,5892 5,9256 6,2054 6,4067 6,5176 6,5339 6,4564 6,2924 6,0593 5,7816 5,4849 5,1957 4,9403 4,7369 4,5864 4,4741 4,3808 4,2919 4,1990 4,0981 3,9849 3,8494 3,6764 3,4521 3,1725 2,8439 2,4796 2,0929 1,6884 1,2543 0,7651 0,1975 -0,4541 -1,1693 -1,9064 -2,6169 -3,2614 -3,8160 -4,2700 -4,6237 -4,8870 -5,0755 -5,2063 -5,2925 -5,3411 -5,3533 -5,3239 -5,2414 -5,0921 -4,8650 -4,5551 -4,1697 -3,7332 -3,2848 -2,8646 -2,5014 -2,2116 -2,0015 -1,8672 -1,7964 -1,7756 -1,7971 -1,8626 -1,9800 -2,1542 -2,3750 -2,6160 -2,8454 -3,0402 -3,1962 -3,3274 -3,4540 -3,5893 -3,7332 -3,8760 -4,0092 -4,1312 -4,2418 -4,3389 -4,4199 -4,4808 -4,5138 -4,5083 -4,4525 -4,3368 -4,1601 -3,9323 -3,6689 -3,3824 -3,0812 -2,7701 -2,4481 -2,1113 -1,7619 -1,4104 -1,0737 -0,7702 -0,5170 -0,3254 -0,1967 -0,1193 -0,0730 -0,0353 0,0102 0,0742 0,1634 0,2804 0,4216 0,5796 0,7482 0,9229 1,0982 1,2642 1,4052 1,5013 1,5341 1,4960 1,3963 1,2594 1,1180 1,0023 0,9312 0,9098 0,9329 0,9885 1,0599 1,1315 1,1988 1,2700 1,3551 1,4562 1,5664 1,6743 1,7717 1,8567 1,9283 1,9800 2,0009 1,9804 1,9135 1,8067 1,6820 1,5665 1,4751 1,4045 1,3449 1,2907 1,2393 1,1873 1,1333 1,0834 1,0525 1,0603 1,1239 1,2504 1,4291 1,6332 1,8312 1,9987 2,1250 2,2139 2,2783 2,3334 2,3906 2,4552 2,5281 2,6085 2,6955 2,7880 2,8821 2,9707 3,0493 3,1183 3,1791 3,2280 3,2542 3,2477 3,2097 3,1527 3,0899 3,0236 2,9456 2,8449 2,7119 2,5447 2,3595 2,1906 2,0764 2,0425 2,0926 2,2077 2,3543 2,4995 2,6204 2,7040 2,7442 2,7421 2,7065 2,6478 2,5724 2,4799 2,3677 2,2382 2,0994 1,9585 1,8213 1,6958 1,5931 1,5254 1,5039 1,5365 1,6243 1,7597 1,9252 2,0997 2,2696 2,4309 2,5815 2,7184 2,8418 2,9573 3,0699 3,1791 3,2748 3,3432 3,3772 3,3828 3,3749 3,3699 3,3784 3,4021 3,4357 3,4719 3,5049 3,5304 3,5479 3,5625 3,5828 3,6148 3,6585 3,7087 3,7588 3,8031 3,8385 3,8611 3,8602 3,8176 3,7160 3,5540 3,3481 3,1230 2,8998 2,6911 2,5000 2,3187 2,1306 1,9214 1,6871 1,4296 1,1525 0,8611 0,5619 0,2604 -0,0380 -0,3278 -0,6059 -0,8702 -1,1155 -1,3306 -1,5007 -1,6133 -1,6628 -1,6512 -1,5909 -1,5086 -1,4388 -1,4085 -1,4260 -1,4820 -1,5602 -1,6456 -1,7243 -1,7843 -1,8218 -1,8453 -1,8700 -1,9110 -1,9782 -2,0763 -2,2031 -2,3465 -2,4840 -2,5916 -2,6517 -2,6548 -2,5989 -2,4887 -2,3312 -2,1339 -1,9077 -1,6674 -1,4267 -1,1992 -1,0048 -0,8699 -0,8162 -0,8462 -0,9375 -1,0459 -1,1177 -1,1084 -0,9966 -0,7847 -0,4931 -0,1570 0,1788 0,4700 0,6850 0,8086 0,8394 0,7841 0,6523 0,4509 0,1840 -0,1408 -0,5092 -0,9020 -1,3008 -1,6949 -2,0871 -2,4901 -2,9159 -3,3696 -3,8471 -4,3356 -4,8141 -5,2537 -5,6243 -5,9056 -6,0901 -6,1769 -6,1736 -6,0975 -5,9680 -5,7944 -5,5752 -5,3044 -4,9774 -4,5900 -4,1378 -3,6172 -3,0239 -2,3541 -1,6102 -0,8067 0,0321 0,8823 1,7291 2,5630 3,3688 4,1192 4,7801 5,3213 5,7230 5,9813 6,1063 6,1134 6,0139 5,8154 5,5278 5,1674 4,7554 4,3141 3,8633 3,4154 2,9774 2,5532 2,1410 1,7321 1,3164 0,8885 0,4536 0,0325 -0,3437 -0,6506 -0,8813 -1,0422 -1,1418 -1,1874 -1,1887 -1,1606 -1,1215 -1,0919 -1,0921 -1,1336 -1,2125 -1,3109 -1,4026 -1,4580 -1,4523 -1,3763 -1,2401 -1,0657 -0,8750 -0,6783 -0,4704 -0,2377 0,0325 0,3427 0,6776 1,0093 1,3137 1,5746 1,7775 1,9098 1,9624 1,9254 1,7848 1,5262 1,1396 0,6225 -0,0182 -0,7655 -1,5983 -2,5024 -3,4719 -4,4967 -5,5517 -6,5969 -7,5837 -8,4666 -9,2178 -9,8370 -10,3473 -10,7823 -11,1715 -11,5266 -11,8354 -12,0704 -12,2028 -12,2132
Fz    5,1424 4,6229 4,1003 3,5649 2,9998 2,4005 1,7790 1,1564 0,5511 -0,0251 -0,5650 -1,0649 -1,5219 -1,9264 -2,2625 -2,5186 -2,6949 -2,7988 -2,8353 -2,8038 -2,7006 -2,5214 -2,2679 -1,9569 -1,6212 -1,2938 -0,9917 -0,7132 -0,4450 -0,1705 0,1204 0,4237 0,7198 0,9830 1,1922 1,3369 1,4169 1,4371 1,4035 1,3214 1,1950 1,0260 0,8115 0,5420 0,2074 -0,1874 -0,6116 -1,0153 -1,3511 -1,5890 -1,7161 -1,7336 -1,6559 -1,5084 -1,3213 -1,1197 -0,9133 -0,6951 -0,4547 -0,1922 0,0814 0,3574 0,6387 0,9361 1,2638 1,6368 2,0634 2,5358 3,0305 3,5194 3,9766 4,3759 4,6918 4,9068 5,0156 5,0211 4,9284 4,7460 4,4884 4,1748 3,8254 3,4575 3,0809 2,6997 2,3180 1,9432 1,5895 1,2790 1,0316 0,8534 0,7325 0,6407 0,5405 0,3946 0,1782 -0,1124 -0,4589 -0,8296 -1,1865 -1,4903 -1,7061 -1,8144 -1,8198 -1,7480 -1,6356 -1,5157 -1,4056 -1,3017 -1,1855 -1,0347 -0,8355 -0,5849 -0,2885 0,0387 0,3711 0,6809 0,9515 1,1765 1,3477 1,4546 1,4968 1,4890 1,4525 1,4059 1,3694 1,3691 1,4353 1,5973 1,8815 2,3099 2,8974 3,6420 4,5138 5,4548 6,3916 7,2557 8,0046 8,6299 9,1491 9,5891 9,9690 10,2844 10,5076 10,6062 10,5669 10,3990 10,1269 9,7852 9,4148 9,0507 8,7143 8,4202 8,1810 8,0081 7,9149 7,9173 8,0263 8,2410 8,5478 8,9219 9,3310 9,7406 10,1163 10,4264 10,6464 10,7621 10,7742 10,7051 10,5957 10,4906 10,4277 10,4333 10,5124 10,6415 10,7756 10,8651 10,8732 10,7859 10,6078 10,3495 10,0153 9,6020 9,1055 8,5283 7,8815 7,1858 6,4720 5,7729 5,1025 4,4465 3,7744 3,0597 2,2896 1,4663 0,6055 -0,2663 -1,1159 -1,9063 -2,6033 -3,1843 -3,6455 -3,9978 -4,2575 -4,4347 -4,5284 -4,5296 -4,4292 -4,2206 -3,8990 -3,4653 -2,9350 -2,3438 -1,7407 -1,1754 -0,6852 -0,2915 -0,0004 0,1947 0,3120 0,3772 0,4142 0,4325 0,4214 0,3562 0,2113 -0,0269 -0,3528 -0,7416 -1,1619 -1,5897 -2,0089 -2,4043 -2,7613 -3,0727 -3,3458 -3,5978 -3,8404 -4,0660 -4,2523 -4,3734 -4,4061 -4,3347 -4,1577 -3,8913 -3,5635 -3,2011 -2,8174 -2,4113 -1,9767 -1,5082 -0,9986 -0,4437 0,1480 0,7524 1,3374 1,8704 2,3262 2,6917 2,9669 3,1589 3,2770 3,3307 3,3269 3,2723 3,1810 3,0779 2,9947 2,9647 3,0168 3,1686 3,4188 3,7420 4,0914 4,4099 4,6497 4,7908 4,8462 4,8559 4,8733 4,9488 5,1154 5,3791 5,7190 6,0950 6,4664 6,8100 7,1305 7,4543 7,8090 8,2008 8,6083 8,9959 9,3357 9,6153 9,8312 9,9797 10,0561 10,0590 9,9959 9,8873 9,7663 9,6620 9,5791 9,4989 9,3974 9,2564 9,0640 8,8158 8,5205 8,2015 7,8925 7,6315 7,4541 7,3811 7,4078 7,5067 7,6440 7,7967 7,9593 8,1378 8,3397 8,5656 8,8041 9,0336 9,2314 9,3874 9,5091 9,6153 9,7252 9,8542 10,0193 10,2347 10,4958 10,7692 11,0055 11,1668 11,2462 11,2635 11,2431 11,1947 11,1083 10,9604 10,7222 10,3790 9,9514 9,4955 9,0791 8,7568 8,5556 8,4708 8,4736 8,5259 8,5894 8,6258 8,6005 8,4921 8,2987 8,0376 7,7420 7,4531 7,2085 7,0340 6,9390 6,9169 6,9526 7,0331 7,1537 7,3178 7,5325 7,8035 8,1281 8,4898 8,8549 9,1781 9,4200 9,5634 9,6125 9,5819 9,4913 9,3640 9,2242 9,0888 8,9585 8,8217 8,6713 8,5173 8,3828 8,2908 8,2542 8,2794 8,3717 8,5344 8,7601 9,0282 9,3140 9,5988 9,8730 10,1295 10,3604 10,5602 10,7264 10,8538 10,9280 10,9240 10,8127 10,5752 10,2166 9,7698 9,2869 8,8216 8,4107 8,0673 7,7831 7,5335 7,2854 7,0132 6,7116 6,3887 6,0553 5,7243 5,4135 5,1390 4,9035 4,6926 4,4822 4,2513 3,9944 3,7264 3,4764 3,2724 3,1284 3,0383 2,9761 2,9024 2,7810 2,5975 2,3648 2,1126 1,8729 1,6685 1,5090 1,3918 1,3052 1,2347 1,1685 1,1009 1,0345 0,9807 0,9561 0,9800 1,0690 1,2310 1,4625 1,7537 2,0936 2,4743 2,8922 3,3410 3,8049 4,2611 4,6875 5,0615 5,3512 5,5175 5,5332 5,4033 5,1725 4,9149 4,7138 4,6346 4,7047 4,9114 5,2121 5,5475 5,8565 6,0913 6,2281 6,2658 6,2143 6,0858 5,8892 5,6222 5,2743 4,8439 4,3517 3,8369 3,3411 2,8908 2,4914 2,1370 1,8209 1,5355 1,2692 1,0076 0,7387 0,4573 0,1671 -0,1220 -0,3951 -0,6383 -0,8471 -1,0291 -1,1950 -1,3480 -1,4782 -1,5636 -1,5709 -1,4604 -1,1958 -0,7570 -0,1455 0,6173 1,4925 2,4282 3,3717 4,2856 5,1537 5,9738 6,7425 7,4460 8,0603 8,5576 8,9113 9,1003 9,1133 8,9530 8,6378 8,2029 7,6968 7,1739 6,6846 6,2658 5,9328 5,6730 5,4517 5,2297 4,9775 4,6825 4,3487 3,9921 3,6352 3,3006 3,0026 2,7435 2,5217 2,3423 2,2141 2,1368 2,0940 2,0613 2,0202 1,9639 1,8894 1,7922 1,6723 1,5432 1,4347 1,3883 1,4420 1,6151 1,9020 2,2760 2,6978 3,1329 3,5649 3,9965 4,4451 4,9288 5,4491 5,9841 6,4973 6,9471 7,2917 7,4934 7,5212 7,3533 6,9822 6,4164 5,6761 4,7844 3,7598 2,6147 1,3607 0,0101 -1,4212 -2,9034 -4,3904 -5,8268 -7,1561 -8,3286 -9,3137 -10,1095 -10,7427 -11,2591 -11,7086 -12,1310 -12,5424 -12,9307 -13,2626 -13,4942
F3    3,8926 3,3387 2,7674 2,1903 1,6143 1,0497 0,5118 0,0155 -0,4302 -0,8244 -1,1703 -1,4716 -1,7264 -1,9225 -2,0435 -2,0822 -2,0432 -1,9362 -1,7734 -1,5679 -1,3321 -1,0751 -0,8047 -0,5294 -0,2599 -0,0060 0,2296 0,4528 0,6724 0,8929 1,1098 1,3076 1,4630 1,5517 1,5605 1,4929 1,3648 1,1942 0,9939 0,7715 0,5313 0,2739 -0,0016 -0,2966 -0,6095 -0,9328 -1,2484 -1,5284 -1,7452 -1,8817 -1,9355 -1,9182 -1,8524 -1,7671 -1,6897 -1,6356 -1,6034 -1,5787 -1,5478 -1,5053 -1,4511 -1,3803 -1,2815 -1,1431 -0,9585 -0,7229 -0,4320 -0,0866 0,3012 0,7089 1,1065 1,4606 1,7417 1,9325 2,0277 2,0277 1,9335 1,7479 1,4756 1,1245 0,7116 0,2678 -0,1714 -0,5782 -0,9361 -1,2369 -1,4744 -1,6432 -1,7439 -1,7884 -1,8004 -1,8143 -1,8685 -1,9921 -2,1943 -2,4639 -2,7771 -3,1059 -3,4209 -3,6893 -3,8794 -3,9756 -3,9889 -3,9485 -3,8820 -3,8056 -3,7240 -3,6305 -3,5097 -3,3462 -3,1365 -2,8905 -2,6262 -2,3642 -2,1267 -1,9333 -1,7945 -1,7108 -1,6795 -1,6969 -1,7508 -1,8150 -1,8566 -1,8460 -1,7638 -1,6019 -1,3587 -1,0321 -0,6156 -0,1019 0,5103 1,2069 1,9539 2,7047 3,4150 4,0552 4,6182 5,1152 5,5629 5,9740 6,3525 6,6878 6,9555 7,1280 7,1893 7,1395 6,9896 6,7535 6,4428 6,0671 5,6415 5,1951 4,7696 4,4106 4,1558 4,0289 4,0373 4,1702 4,3990 4,6839 4,9870 5,2781 5,5336 5,7348 5,8680 5,9240 5,8988 5,7953 5,6256 5,4113 5,1810 4,9610 4,7652 4,5900 4,4216 4,2486 4,0696 3,8901 3,7162 3,5488 3,3790 3,1901 2,9656 2,6980 2,3900 2,0512 1,6922 1,3167 0,9142 0,4621 -0,0643 -0,6774 -1,3696 -2,1141 -2,8719 -3,6011 -4,2641 -4,8321 -5,2887 -5,6317 -5,8712 -6,0263 -6,1161 -6,1540 -6,1485 -6,1060 -6,0286 -5,9120 -5,7453 -5,5148 -5,2145 -4,8560 -4,4683 -4,0863 -3,7412 -3,4564 -3,2477 -3,1221 -3,0786 -3,1085 -3,1982 -3,3325 -3,4964 -3,6746 -3,8524 -4,0200 -4,1763 -4,3241 -4,4635 -4,5912 -4,7039 -4,8019 -4,8886 -4,9678 -5,0416 -5,1090 -5,1659 -5,2071 -5,2272 -5,2172 -5,1598 -5,0351 -4,8320 -4,5566 -4,2303 -3,8831 -3,5429 -3,2257 -2,9309 -2,6438 -2,3431 -2,0122 -1,6485 -1,2642 -0,8769 -0,5037 -0,1604 0,1376 0,3780 0,5560 0,6778 0,7610 0,8269 0,8944 0,9765 1,0777 1,1937 1,3177 1,4480 1,5903 1,7523 1,9344 2,1243 2,2998 2,4386 2,5276 2,5704 2,5850 2,5966 2,6286 2,6961 2,8043 2,9506 3,1276 3,3245 3,5299 3,7361 3,9421 4,1472 4,3446 4,5229 4,6729 4,7913 4,8780 4,9319 4,9488 4,9225 4,8506 4,7404 4,6125 4,4987 4,4286 4,4136 4,4423 4,4903 4,5299 4,5363 4,4941 4,4029 4,2802 4,1567 4,0682 4,0450 4,1038 4,2434 4,4459 4,6847 4,9340 5,1748 5,3984 5,6056 5,8027 5,9956 6,1857 6,3712 6,5494 6,7183 6,8764 7,0207 7,1491 7,2670 7,3866 7,5192 7,6669 7,8214 7,9709 8,1077 8,2251 8,3098 8,3379 8,2818 8,1212 7,8529 7,4942 7,0847 6,6809 6,3415 6,1070 5,9850 5,9515 5,9651 5,9875 5,9946 5,9756 5,9266 5,8489 5,7485 5,6334 5,5121 5,3925 5,2821 5,1865 5,1075 5,0436 4,9943 4,9649 4,9651 5,0026 5,0786 5,1873 5,3229 5,4811 5,6531 5,8223 5,9728 6,0952 6,1845 6,2412 6,2752 6,3025 6,3361 6,3797 6,4264 6,4613 6,4688 6,4404 6,3784 6,2940 6,2013 6,1107 6,0288 5,9640 5,9279 5,9298 5,9753 6,0661 6,1987 6,3606 6,5313 6,6897 6,8208 6,9181 6,9821 7,0151 7,0144 6,9694 6,8680 6,7099 6,5107 6,2934 6,0757 5,8647 5,6550 5,4324 5,1808 4,8912 4,5642 4,2050 3,8218 3,4299 3,0490 2,6928 2,3634 2,0536 1,7553 1,4666 1,1957 0,9588 0,7769 0,6691 0,6430 0,6873 0,7707 0,8504 0,8880 0,8645 0,7854 0,6750 0,5621 0,4680 0,4050 0,3771 0,3782 0,3916 0,3969 0,3783 0,3310 0,2588 0,1705 0,0776 -0,0062 -0,0685 -0,1008 -0,0973 -0,0525 0,0385 0,1782 0,3616 0,5720 0,7872 0,9908 1,1726 1,3175 1,4005 1,3964 1,2947 1,1104 0,8849 0,6751 0,5350 0,4992 0,5740 0,7389 0,9569 1,1896 1,4076 1,5921 1,7298 1,8118 1,8364 1,8073 1,7277 1,5989 1,4240 1,2101 0,9665 0,7010 0,4131 0,0907 -0,2836 -0,7247 -1,2392 -1,8233 -2,4630 -3,1359 -3,8113 -4,4533 -5,0292 -5,5132 -5,8861 -6,1381 -6,2747 -6,3132 -6,2737 -6,1688 -5,9985 -5,7534 -5,4224 -4,9986 -4,4814 -3,8741 -3,1839 -2,4235 -1,6123 -0,7726 0,0782 0,9317 1,7833 2,6223 3,4250 4,1562 4,7766 5,2527 5,5684 5,7293 5,7544 5,6660 5,4835 5,2227 4,9001 4,5335 4,1382 3,7218 3,2844 2,8224 2,3316 1,8091 1,2582 0,6906 0,1213 -0,4346 -0,9599 -1,4353 -1,8436 -2,1723 -2,4121 -2,5585 -2,6198 -2,6208 -2,5960 -2,5776 -2,5896 -2,6470 -2,7543 -2,9022 -3,0690 -3,2259 -3,3411 -3,3856 -3,3400 -3,1996 -2,9778 -2,7019 -2,4010 -2,0933 -1,7835 -1,4671 -1,1363 -0,7871 -0,4237 -0,0569 0,2946 0,6023 0,8344 0,9656 0,9771 0,8540 0,5869 0,1732 -0,3823 -1,0685 -1,8695 -2,7681 -3,7511 -4,8078 -5,9212 -7,0634 -8,1973 -9,2805 -10,2700 -11,1343 -11,8661 -12,4839 -13,0203 -13,5041 -13,9444 -14,3257 -14,6170 -14,7869 -14,8133
F7    2,4890 1,9765 1,4707 0,9950 0,5661 0,1961 -0,1150 -0,3817 -0,6257 -0,8635 -1,0990 -1,3238 -1,5171 -1,6476 -1,6869 -1,6221 -1,4572 -1,2074 -0,8987 -0,5657 -0,2428 0,0458 0,2912 0,4992 0,6830 0,8526 1,0079 1,1388 1,2304 1,2709 1,2591 1,2067 1,1320 1,0507 0,9737 0,9079 0,8528 0,7943 0,7079 0,5697 0,3675 0,1049 -0,1978 -0,5121 -0,8160 -1,1009 -1,3649 -1,6038 -1,8102 -1,9803 -2,1206 -2,2507 -2,3930 -2,5569 -2,7383 -2,9268 -3,1098 -3,2723 -3,4019 -3,4937 -3,5492 -3,5703 -3,5514 -3,4787 -3,3344 -3,1047 -2,7901 -2,4109 -2,0009 -1,5940 -1,2178 -0,8935 -0,6343 -0,4423 -0,3147 -0,2536 -0,2662 -0,3613 -0,5484 -0,8337 -1,2084 -1,6432 -2,0963 -2,5245 -2,8898 -3,1661 -3,3462 -3,4431 -3,4831 -3,4957 -3,5059 -3,5309 -3,5799 -3,6546 -3,7520 -3,8669 -3,9938 -4,1275 -4,2605 -4,3783 -4,4592 -4,4836 -4,4452 -4,3500 -4,2075 -4,0305 -3,8375 -3,6479 -3,4749 -3,3292 -3,2237 -3,1706 -3,1741 -3,2285 -3,3211 -3,4360 -3,5586 -3,6814 -3,8081 -3,9450 -4,0882 -4,2177 -4,3001 -4,2943 -4,1654 -3,8996 -3,5107 -3,0290 -2,4861 -1,9064 -1,3072 -0,7030 -0,1031 0,4956 1,1047 1,7319 2,3725 3,0096 3,6143 4,1549 4,6100 4,9707 5,2336 5,3975 5,4683 5,4619 5,4001 5,3003 5,1665 4,9902 4,7637 4,4939 4,2059 3,9372 3,7252 3,5977 3,5685 3,6327 3,7617 3,9087 4,0271 4,0861 4,0765 4,0103 3,9163 3,8267 3,7596 3,7140 3,6779 3,6394 3,5925 3,5340 3,4597 3,3628 3,2377 3,0827 2,9001 2,6971 2,4863 2,2816 2,0879 1,8971 1,6965 1,4797 1,2483 1,0069 0,7572 0,4940 0,2002 -0,1547 -0,6043 -1,1658 -1,8250 -2,5350 -3,2339 -3,8669 -4,3989 -4,8195 -5,1429 -5,3980 -5,6085 -5,7810 -5,9043 -5,9629 -5,9532 -5,8847 -5,7688 -5,6126 -5,4212 -5,1972 -4,9398 -4,6499 -4,3368 -4,0162 -3,7063 -3,4261 -3,1915 -3,0080 -2,8729 -2,7846 -2,7427 -2,7434 -2,7815 -2,8533 -2,9506 -3,0586 -3,1610 -3,2443 -3,3003 -3,3284 -3,3373 -3,3410 -3,3505 -3,3657 -3,3747 -3,3642 -3,3275 -3,2659 -3,1847 -3,0887 -2,9773 -2,8421 -2,6693 -2,4480 -2,1799 -1,8839 -1,5883 -1,3146 -1,0678 -0,8406 -0,6234 -0,4085 -0,1920 0,0264 0,2433 0,4532 0,6491 0,8216 0,9607 1,0607 1,1253 1,1679 1,2053 1,2540 1,3278 1,4321 1,5587 1,6902 1,8100 1,9097 1,9898 2,0541 2,1019 2,1256 2,1147 2,0633 1,9770 1,8746 1,7813 1,7161 1,6815 1,6690 1,6719 1,6898 1,7237 1,7722 1,8347 1,9126 2,0028 2,0946 2,1712 2,2176 2,2280 2,2080 2,1669 2,1106 2,0386 1,9448 1,8240 1,6815 1,5360 1,4141 1,3368 1,3094 1,3216 1,3540 1,3850 1,3965 1,3800 1,3406 1,2957 1,2687 1,2835 1,3604 1,5081 1,7159 1,9563 2,1951 2,4026 2,5610 2,6685 2,7377 2,7893 2,8415 2,9031 2,9742 3,0510 3,1271 3,1932 3,2403 3,2665 3,2793 3,2935 3,3234 3,3731 3,4363 3,5053 3,5711 3,6152 3,6082 3,5213 3,3405 3,0752 2,7585 2,4385 2,1662 1,9823 1,9071 1,9358 2,0413 2,1828 2,3191 2,4210 2,4729 2,4713 2,4248 2,3518 2,2705 2,1893 2,1056 2,0159 1,9251 1,8432 1,7792 1,7408 1,7347 1,7611 1,8124 1,8737 1,9257 1,9528 1,9485 1,9127 1,8520 1,7835 1,7312 1,7112 1,7272 1,7785 1,8648 1,9800 2,1095 2,2384 2,3606 2,4770 2,5872 2,6863 2,7663 2,8177 2,8296 2,7948 2,7182 2,6159 2,5064 2,4068 2,3332 2,2984 2,3056 2,3469 2,4060 2,4641 2,5063 2,5283 2,5372 2,5431 2,5467 2,5397 2,5181 2,4840 2,4350 2,3601 2,2512 2,1131 1,9561 1,7831 1,5885 1,3648 1,1024 0,7907 0,4266 0,0214 -0,4006 -0,8081 -1,1692 -1,4614 -1,6773 -1,8212 -1,9013 -1,9243 -1,8957 -1,8228 -1,7155 -1,5907 -1,4791 -1,4184 -1,4350 -1,5274 -1,6658 -1,8102 -1,9301 -2,0116 -2,0528 -2,0586 -2,0387 -2,0049 -1,9681 -1,9414 -1,9445 -1,9989 -2,1127 -2,2697 -2,4356 -2,5746 -2,6596 -2,6764 -2,6269 -2,5278 -2,4048 -2,2892 -2,2107 -2,1838 -2,2029 -2,2541 -2,3281 -2,4224 -2,5389 -2,6809 -2,8440 -3,0043 -3,1186 -3,1424 -3,0518 -2,8523 -2,5759 -2,2705 -1,9836 -1,7497 -1,5867 -1,5002 -1,4872 -1,5393 -1,6446 -1,7877 -1,9527 -2,1289 -2,3127 -2,5068 -2,7200 -2,9680 -3,2690 -3,6367 -4,0737 -4,5709 -5,1126 -5,6807 -6,2494 -6,7817 -7,2387 -7,5886 -7,8114 -7,9064 -7,8954 -7,8114 -7,6793 -7,5067 -7,2882 -7,0170 -6,6930 -6,3233 -5,9184 -5,4838 -5,0147 -4,4971 -3,9184 -3,2759 -2,5742 -1,8174 -1,0117 -0,1764 0,6487 1,4090 2,0526 2,5532 2,9205 3,1871 3,3821 3,5124 3,5641 3,5179 3,3656 3,1150 2,7857 2,4047 2,0003 1,5932 1,1915 0,7935 0,3932 -0,0137 -0,4289 -0,8515 -1,2713 -1,6666 -2,0114 -2,2887 -2,4959 -2,6461 -2,7674 -2,8933 -3,0491 -3,2403 -3,4569 -3,6838 -3,9061 -4,1064 -4,2685 -4,3831 -4,4510 -4,4784 -4,4687 -4,4180 -4,3155 -4,1455 -3,8928 -3,5513 -3,1308 -2,6562 -2,1594 -1,6725 -1,2213 -0,8198 -0,4773 -0,2071 -0,0243 0,0598 0,0387 -0,0917 -0,3305 -0,6719 -1,1071 -1,6245 -2,2092 -2,8484 -3,5399 -4,2916 -5,1107 -5,9905 -6,9050 -7,8124 -8,6611 -9,4021 -10,0039 -10,4603 -10,7908 -11,0299 -11,2081 -11,3362 -11,4062 -11,4024 -11,3128
