Fp1   1,0016 -0,2097 -1,5861 -3,0946 -4,5630 -5,6909 -6,1807 -5,9226 -5,0602 -3,8872 -2,7309 -1,8927 -1,5748 -1,7847 -2,3151 -2,8433 -3,0926 -2,9819 -2,6437 -2,2450 -1,8335 -1,3831 -0,8692 -0,2401 0,6211 1,8291 3,3512 4,9590 6,3696 7,4257 8,1368 8,5840 8,7830 8,6028 7,8379 6,4085 4,5194 2,6096 1,1112 0,2214 -0,1417 -0,2293 -0,3252 -0,6387 -1,2433 -2,0581 -2,8716 -3,4278 -3,5592 -3,2515 -2,5814 -1,6334 -0,5072 0,6385 1,6222 2,3534 2,8894 3,3674 3,9067 4,5656 5,3598 6,2657 7,1745 7,9069 8,3328 8,5042 8,6636 9,0894 9,9109 11,0117 12,0533 12,6366 12,5308 11,7948 10,6989 9,5543 8,5935 7,9262 7,5595 7,4765 7,6792 8,1323 8,6665 8,9737 8,7540 7,8942 6,5100 4,8683 3,2950 2,0794 1,3901 1,2511 1,5352 1,9713 2,2525 2,1799 1,7253 1,0262 0,3546 0,0533 0,4083 1,5042 3,1854 5,1416 7,0261 8,5320 9,4099 9,4721 8,6529 7,1110 5,2729 3,6805 2,6746 2,1783 1,7903 1,0929 -0,0662 -1,4815 -2,7185 -3,3255 -2,9923 -1,6833 0,2867 2,3684 4,0503 5,0575 5,3459 4,9935 4,1408 3,0015 1,8634 1,0091 0,5913 0,5891 0,8782 1,3377 1,9270 2,6582 3,4727 4,1964 4,6347 4,6583 4,2131 3,3417 2,2293 1,1912 0,5504 0,4767 0,9249 1,6620 2,3012 2,4051 1,6938 0,2363 -1,5035 -2,8632 -3,3516 -2,9106 -1,8720 -0,6729 0,3894 1,1568 1,5001 1,3163 0,5967 -0,5640 -2,0162 -3,5895 -5,0963 -6,3732 -7,3543 -8,0578 -8,4729 -8,4941 -7,9990 -6,9767 -5,5677 -4,0094 -2,5679 -1,4867 -0,9679 -1,1790 -2,1885 -3,8617 -5,8813 -7,8713 -9,5065 -10,5901 -11,0788 -11,0512 -10,6516 -10,0269 -9,3032 -8,5811 -7,9139 -7,3214 -6,8276 -6,4342 -6,0782 -5,6981 -5,3575 -5,2270 -5,3996 -5,7682 -6,1247 -6,3305 -6,3590 -6,2314 -5,9901 -5,7480 -5,6935 -5,9794 -6,6048 -7,4364 -8,3244 -9,1556 -9,8045 -10,1258 -10,0580 -9,6912 -9,2025 -8,7655 -8,5094 -8,5059 -8,7642 -9,2124 -9,6847 -9,9756 -9,9344 -9,5471 -8,9665 -8,4052 -7,9527 -7,5515 -7,1194 -6,6077 -5,9924 -5,2771 -4,4888 -3,6927 -3,0284 -2,6907 -2,8580 -3,6115 -4,8840 -6,4689 -8,0703 -9,3656 -10,0815 -10,0770 -9,3749 -8,1117 -6,4622 -4,6191 -2,7987 -1,2132 -0,0250 0,6933 0,9824 0,9804 0,8549 0,7103 0,5569 0,3785 0,1869 -0,0026 -0,2181 -0,5295 -1,0068 -1,7154 -2,7180 -3,9953 -5,3495 -6,4267 -6,8948 -6,6069 -5,5549 -3,7689 -1,4417 0,9087 2,6096 3,1804 2,4650 0,5576 -2,2570 -5,5053 -8,5705 -10,8699 -12,0752 -12,1841 -11,4361 -10,2001 -8,8481 -7,6479 -6,7610 -6,2650 -6,1055 -6,1095 -6,1420 -6,2100 -6,3948 -6,7297 -7,1340 -7,4214 -7,3609 -6,7475 -5,5085 -3,8615 -2,3169 -1,3732 -1,1998 -1,6233 -2,3157 -2,9752 -3,4246 -3,5904 -3,4061 -2,7929 -1,7843 -0,6651 0,0641 -0,0685 -1,2330 -3,1935 -5,4272 -7,4009 -8,8176 -9,6372 -9,9225 -9,7030 -8,9266 -7,5078 -5,4399 -2,8522 0,0073 2,8079 5,1803 6,7703 7,3156 6,7470 5,2244 3,0518 0,5833 -1,8070 -3,7524 -4,9487 -5,2248 -4,6080 -3,3172 -1,6782 -0,0163 1,4361 2,5549 3,2543 3,4535 3,1181 2,3043 1,1754 -0,0131 -0,9682 -1,4658 -1,4876 -1,2369 -0,9365 -0,5955 0,0277 1,2605 3,2437 5,7439 8,2658 10,3312 11,6021 11,8527 10,9976 9,2052 6,9418 4,8317 3,3813 2,7459 2,6995 2,8478 2,9164 2,8552 2,7338 2,6163 2,5149 2,4159 2,3239 2,2510 2,1877 2,1062 1,9558 1,6728 1,2445 0,7750 0,4826 0,5685 1,0257 1,6027 1,9454 1,7453 0,8517 -0,6395 -2,4213 -4,1336 -5,4696 -6,1582 -5,9496 -4,7505 -2,8186 -0,7474 0,8166 1,5095 1,3894 0,8179 0,2268 -0,0655 0,0761 0,6166 1,4110 2,3092 3,2506 4,2590 5,3370 6,3885 7,2648 7,8247 7,9307 7,4639 6,3761 4,7009 2,5363 0,0613 -2,4354 -4,5726 -5,9856 -6,5123 -6,2842 -5,6021 -4,7525 -3,9535 -3,4009 -3,2495 -3,4864 -3,8701 -4,0640 -3,8856 -3,4600 -3,1037 -3,0455 -3,2951 -3,7567 -4,3632 -5,0371 -5,6055 -5,9178 -6,0749 -6,4115 -7,2132 -8,4984 -10,0359 -11,4840 -12,4966 -12,8125 -12,3961 -11,5124 -10,5719 -9,8339 -9,2728 -8,7212 -8,1103 -7,5803 -7,3701 -7,6145 -8,2314 -8,9120 -9,2239 -8,8524 -7,7907 -6,2952 -4,7063 -3,3370 -2,4303 -2,0930 -2,2437 -2,6439 -2,9899 -3,0692 -2,9477 -2,9848 -3,5637 -4,7646 -6,3006 -7,7386 -8,7332 -9,1090 -8,8282 -7,8932 -6,2865 -4,0606 -1,4866 0,9256 2,5713 2,9773 1,9979 -0,1189 -2,8570 -5,6946 -8,2885 -10,4550 -12,0776 -13,0787 -13,4473 -13,2773 -12,7578 -12,0393 -11,0830 -9,7111 -7,8298 -5,5898 -3,3556 -1,5538 -0,5459 -0,5541 -1,5889 -3,4243 -5,7024 -8,1194 -10,5107 -12,7734 -14,7984 -16,5058 -17,8683 -18,8938 -19,6309 -20,1318 -20,3409 -20,0527 -19,0632 -17,4146 -15,4697 -13,7489 -12,6847 -12,4295 -12,8380 -13,6368 -14,6149 -15,6883 -16,8192 -17,9222 -18,8892 -19,6322 -20,0620 -20,0849 -19,6146 -18,5525 -16,8228 -14,5139 -12,0001 -9,8683 -8,6651 -8,6971 -9,9985 -12,3510 -15,2897 -18,1999 -20,5266 -21,9116 -22,1725 -21,3125 -19,6082 -17,5711 -15,7321 -14,4201 -13,7058 -13,4831 -13,5549 -13,7022 -13,7787 -13,7790 -13,8376 -14,1456 -14,7666 -15,5078 -16,0240 -16,0436 -15,5078 -14,5578 -13,4188 -12,3246 -11,5577 -11,4503 -12,1998 -13,6584 -15,3719 -16,8138 -17,5760 -17,4529 -16,4911 -14,9946
Fz    1,4737 0,5141 -0,6378 -1,9082 -3,1642 -4,2232 -4,8994 -5,0788 -4,7679 -4,0814 -3,1973 -2,3055 -1,5426 -0,9382 -0,4223 0,1048 0,6968 1,3168 1,8407 2,1304 2,1210 1,8358 1,3562 0,8100 0,3631 0,1743 0,3188 0,7507 1,3503 2,0143 2,7119 3,4644 4,2508 4,9178 5,2044 4,8993 3,9999 2,7191 1,3470 0,1129 -0,8575 -1,5226 -1,9006 -2,0466 -2,0308 -1,9158 -1,7347 -1,4932 -1,2067 -0,9246 -0,7154 -0,6408 -0,7420 -1,0150 -1,3846 -1,7061 -1,8158 -1,6076 -1,0738 -0,2851 0,6588 1,6530 2,5821 3,3511 3,9512 4,4894 5,1397 6,0393 7,1913 8,4193 9,4081 9,8470 9,6006 8,7707 7,6068 6,3769 5,2973 4,5063 4,0569 3,9343 4,0678 4,3209 4,5018 4,4284 4,0176 3,3234 2,5036 1,7547 1,2391 1,0198 1,0530 1,2473 1,5147 1,7768 1,9629 2,0238 1,9449 1,7498 1,5129 1,3810 1,5441 2,1295 3,1125 4,3119 5,4488 6,2371 6,4774 6,1201 5,2778 4,1980 3,1995 2,5566 2,3576 2,4394 2,4772 2,1809 1,4585 0,4481 -0,5795 -1,3432 -1,6126 -1,2608 -0,3359 0,9478 2,3237 3,5769 4,5593 5,1653 5,3586 5,2321 4,9946 4,8605 4,9300 5,1496 5,3582 5,3993 5,2420 4,9962 4,7887 4,6464 4,4974 4,2371 3,7922 3,1745 2,4976 1,9324 1,6200 1,5948 1,7705 1,9790 2,0199 1,7300 1,0625 0,1267 -0,8329 -1,5179 -1,7057 -1,3522 -0,5938 0,3649 1,3763 2,3709 3,3020 4,1079 4,7082 5,0132 4,9481 4,4910 3,6996 2,6871 1,5697 0,4565 -0,5088 -1,1465 -1,3283 -1,0637 -0,4921 0,2021 0,8806 1,4891 2,0146 2,4041 2,5672 2,4734 2,2019 1,8747 1,5636 1,2539 0,8774 0,3717 -0,2616 -0,9282 -1,4826 -1,8091 -1,8616 -1,6631 -1,3042 -0,9307 -0,7020 -0,7432 -1,1318 -1,8956 -2,9664 -4,1449 -5,1734 -5,8626 -6,1360 -5,9837 -5,4292 -4,5565 -3,5271 -2,5387 -1,7634 -1,3276 -1,3247 -1,7865 -2,6170 -3,6023 -4,5263 -5,2650 -5,7673 -5,9976 -5,9328 -5,6021 -5,1087 -4,5871 -4,1237 -3,7238 -3,3410 -2,9510 -2,6177 -2,4596 -2,5348 -2,7813 -3,0519 -3,1876 -3,0929 -2,7731 -2,3124 -1,8397 -1,4974 -1,3983 -1,5896 -2,0520 -2,7103 -3,4341 -4,0563 -4,4377 -4,5273 -4,3567 -3,9956 -3,5114 -2,9333 -2,2424 -1,3969 -0,3816 0,7490 1,8725 2,8486 3,5647 3,9398 3,8969 3,3636 2,3499 1,0239 -0,3323 -1,4731 -2,3059 -2,8851 -3,3290 -3,7250 -4,0566 -4,1937 -3,9546 -3,2070 -1,9390 -0,2424 1,7260 3,7230 5,4063 6,4306 6,5786 5,8114 4,2540 2,1592 -0,1560 -2,3819 -4,2769 -5,7012 -6,6064 -7,0077 -6,9774 -6,6350 -6,1290 -5,6308 -5,3007 -5,2127 -5,3188 -5,5068 -5,6795 -5,7830 -5,8004 -5,7361 -5,5935 -5,3511 -4,9500 -4,3243 -3,4886 -2,5841 -1,7861 -1,1863 -0,7974 -0,6074 -0,5805 -0,6465 -0,7048 -0,6258 -0,2883 0,3239 1,0491 1,5870 1,6427 1,0777 -0,0188 -1,3701 -2,6535 -3,6642 -4,3662 -4,8051 -5,0062 -4,9411 -4,5565 -3,8168 -2,7223 -1,3118 0,3250 2,0251 3,5461 4,6190 5,0474 4,7698 3,8643 2,5367 1,0783 -0,2228 -1,1603 -1,6294 -1,6092 -1,1562 -0,4129 0,4192 1,1553 1,6670 1,8738 1,7505 1,3360 0,7169 0,0246 -0,5506 -0,7914 -0,5543 0,1288 1,0571 1,9990 2,8343 3,6041 4,4699 5,5763 6,8927 8,2120 9,2951 9,9550 10,0402 9,4462 8,1837 6,4189 4,4456 2,6049 1,1786 0,3062 -0,0152 0,1321 0,6178 1,2531 1,8126 2,0973 2,0120 1,6164 1,0910 0,6305 0,3455 0,2281 0,1979 0,1828 0,1701 0,2022 0,3120 0,4472 0,4757 0,2644 -0,2486 -1,0203 -1,9119 -2,7581 -3,4421 -3,8978 -4,0568 -3,8321 -3,1975 -2,2864 -1,3675 -0,6963 -0,3651 -0,2712 -0,1967 0,0864 0,7370 1,7983 3,1970 4,7762 6,3453 7,7362 8,8362 9,5739 9,8980 9,7866 9,2518 8,3315 7,0953 5,6419 4,0762 2,4960 1,0075 -0,2554 -1,1441 -1,5625 -1,5585 -1,3344 -1,1311 -1,0948 -1,2470 -1,5447 -1,9245 -2,2788 -2,4449 -2,2684 -1,7072 -0,8830 -0,0086 0,7512 1,3400 1,7482 1,9453 1,9050 1,6620 1,2631 0,6668 -0,2269 -1,4298 -2,7934 -4,0836 -5,0935 -5,6950 -5,8552 -5,6564 -5,2837 -4,9377 -4,7137 -4,5443 -4,2715 -3,7975 -3,1822 -2,6098 -2,2765 -2,2811 -2,5446 -2,8183 -2,8278 -2,4442 -1,7449 -0,9502 -0,3205 -0,0758 -0,3285 -1,0342 -2,0028 -2,9705 -3,7148 -4,1679 -4,4293 -4,6435 -4,8600 -5,0090 -4,9806 -4,6925 -4,1076 -3,2366 -2,1230 -0,8247 0,5662 1,8963 2,9701 3,5982 3,6464 3,0848 2,0144 0,6392 -0,8134 -2,1661 -3,3039 -4,1495 -4,6585 -4,8383 -4,7605 -4,5233 -4,1682 -3,6486 -2,9013 -1,9245 -0,7836 0,4178 1,5495 2,4515 2,9609 2,9761 2,5041 1,6529 0,5791 -0,5770 -1,7314 -2,8592 -3,9723 -5,0787 -6,1563 -7,1613 -8,0271 -8,6449 -8,8805 -8,6551 -8,0375 -7,2469 -6,5594 -6,2016 -6,2683 -6,7006 -7,3595 -8,1231 -8,9174 -9,6814 -10,3452 -10,8546 -11,1947 -11,3794 -11,4126 -11,2418 -10,7509 -9,8368 -8,5388 -7,1076 -5,9207 -5,2897 -5,3356 -6,0145 -7,1922 -8,6722 -10,2174 -11,6063 -12,6503 -13,1618 -12,9970 -12,1732 -10,9125 -9,5409 -8,3292 -7,4027 -6,7558 -6,3169 -6,0213 -5,8518 -5,8291 -5,9854 -6,3457 -6,8859 -7,5027 -8,0452 -8,3757 -8,4079 -8,1125 -7,5200 -6,7467 -6,0123 -5,5945 -5,7015 -6,3501 -7,3599 -8,4559 -9,3691 -9,8963 -9,9384 -9,5232
F3    2,0684 1,2468 0,1683 -1,1068 -2,4331 -3,5896 -4,3532 -4,6074 -4,3875 -3,8264 -3,0869 -2,3352 -1,7087 -1,2546 -0,8968 -0,4931 0,0537 0,7142 1,3413 1,7742 1,9375 1,8396 1,5343 1,1228 0,7661 0,6377 0,8219 1,2578 1,8036 2,3537 2,8962 3,4781 4,1037 4,6393 4,8317 4,4713 3,5601 2,3194 1,0397 -0,0727 -0,9352 -1,5438 -1,9309 -2,1468 -2,2441 -2,2585 -2,1966 -2,0451 -1,8062 -1,5222 -1,2597 -1,0793 -1,0195 -1,0952 -1,2868 -1,5092 -1,6158 -1,4610 -0,9661 -0,1453 0,9129 2,0734 3,1686 4,0436 4,6448 5,0776 5,5651 6,3100 7,3512 8,5094 9,4456 9,8205 9,4749 8,5027 7,1634 5,7450 4,4828 3,5243 2,9314 2,7130 2,8231 3,1204 3,3732 3,3585 2,9836 2,3156 1,5221 0,7972 0,2968 0,0886 0,1529 0,4300 0,8487 1,3154 1,7130 1,9355 1,9287 1,7079 1,3753 1,1324 1,2104 1,7278 2,6235 3,7104 4,7636 5,5770 5,9886 5,9106 5,3735 4,5478 3,7138 3,1603 3,0225 3,1681 3,2584 2,9631 2,1625 0,9979 -0,2338 -1,2179 -1,6894 -1,4879 -0,6384 0,6434 2,0630 3,3667 4,3793 4,9902 5,1700 5,0176 4,7486 4,5831 4,6190 4,8000 4,9847 5,0518 4,9837 4,8568 4,7374 4,6060 4,3850 3,9975 3,4121 2,6821 1,9564 1,4309 1,2552 1,4446 1,8613 2,2664 2,3942 2,0429 1,1711 -0,0472 -1,2571 -2,0597 -2,1923 -1,6426 -0,6182 0,6131 1,8698 3,0627 4,1232 4,9810 5,5835 5,8916 5,8596 5,4583 4,7167 3,7083 2,5074 1,2054 -0,0302 -0,9668 -1,4269 -1,3979 -1,0195 -0,4811 0,0788 0,6118 1,1008 1,4655 1,5811 1,4106 1,0635 0,7093 0,4556 0,2984 0,1597 -0,0401 -0,3267 -0,6465 -0,9008 -1,0184 -0,9821 -0,8154 -0,5801 -0,3783 -0,3262 -0,5205 -1,0278 -1,8686 -2,9598 -4,0843 -4,9744 -5,4451 -5,4515 -5,0515 -4,3611 -3,5349 -2,7312 -2,0673 -1,6100 -1,4143 -1,5514 -2,0542 -2,8278 -3,6633 -4,3713 -4,8821 -5,2111 -5,3746 -5,3697 -5,2131 -4,9608 -4,6726 -4,3610 -3,9894 -3,5152 -2,9518 -2,4153 -2,0783 -2,0508 -2,3097 -2,7240 -3,1295 -3,4045 -3,4987 -3,4202 -3,2247 -3,0088 -2,8811 -2,9275 -3,1943 -3,6730 -4,2743 -4,8341 -5,1915 -5,2706 -5,0913 -4,7192 -4,2078 -3,5713 -2,8065 -1,9196 -0,9405 0,0596 0,9774 1,7221 2,2418 2,5098 2,4901 2,1292 1,4109 0,4268 -0,6272 -1,5473 -2,2327 -2,7198 -3,1224 -3,5272 -3,9107 -4,1303 -3,9853 -3,3214 -2,1133 -0,4470 1,5293 3,5740 5,3249 6,4140 6,6269 5,9372 4,4510 2,3709 -0,0195 -2,3827 -4,3945 -5,8361 -6,6340 -6,8340 -6,5744 -6,0443 -5,4325 -4,9138 -4,6248 -4,5964 -4,7372 -4,9174 -5,0642 -5,1825 -5,3038 -5,4205 -5,4727 -5,3760 -5,0382 -4,3872 -3,4573 -2,4366 -1,5523 -0,9115 -0,4875 -0,2090 -0,0177 0,1261 0,2652 0,4728 0,8311 1,3509 1,9036 2,2392 2,1029 1,3689 0,1131 -1,4004 -2,8397 -3,9764 -4,7490 -5,1788 -5,2774 -5,0260 -4,4021 -3,4066 -2,0652 -0,4331 1,3848 3,2154 4,8134 5,9033 6,2731 5,8493 4,7170 3,1166 1,3854 -0,1657 -1,3395 -2,0452 -2,2625 -2,0408 -1,5036 -0,8068 -0,0800 0,5762 1,0689 1,3350 1,3635 1,1885 0,8904 0,6028 0,4893 0,6676 1,1111 1,6408 2,0710 2,3622 2,6459 3,1562 4,0904 5,4455 7,0010 8,4612 9,5516 10,0285 9,7292 8,6604 7,0167 5,1159 3,2991 1,8314 0,8498 0,3870 0,4184 0,8591 1,5357 2,2046 2,6220 2,6497 2,3311 1,8504 1,4061 1,1099 0,9545 0,8624 0,7765 0,7213 0,7861 1,0142 1,2977 1,4131 1,1665 0,5047 -0,4721 -1,5717 -2,6058 -3,4660 -4,1165 -4,5139 -4,5548 -4,1543 -3,3915 -2,5293 -1,8551 -1,4989 -1,3853 -1,3211 -1,1096 -0,6134 0,2323 1,4177 2,8429 4,3384 5,7408 6,9381 7,8412 8,3642 8,4579 8,1263 7,4119 6,3939 5,1760 3,8438 2,4441 1,0264 -0,2901 -1,3041 -1,8256 -1,8361 -1,5456 -1,2571 -1,1765 -1,3466 -1,7058 -2,1527 -2,5511 -2,7348 -2,5657 -2,0193 -1,2253 -0,3935 0,3242 0,8872 1,2903 1,4872 1,4305 1,1511 0,7103 0,0772 -0,8522 -2,1011 -3,5324 -4,9134 -6,0089 -6,6347 -6,7081 -6,3049 -5,6470 -4,9936 -4,4933 -4,1017 -3,6554 -3,0521 -2,3591 -1,7598 -1,4415 -1,5002 -1,8528 -2,2352 -2,3528 -2,0639 -1,4381 -0,6854 -0,0554 0,2374 0,0801 -0,4807 -1,2451 -1,9400 -2,3548 -2,4747 -2,4899 -2,6327 -2,9804 -3,4094 -3,7113 -3,7216 -3,3676 -2,6504 -1,5993 -0,2568 1,2698 2,7604 3,9225 4,4959 4,3389 3,4676 2,0585 0,3936 -1,2535 -2,7073 -3,8775 -4,6994 -5,1295 -5,1955 -5,0203 -4,7565 -4,4724 -4,1138 -3,5700 -2,7624 -1,6986 -0,4730 0,7690 1,8482 2,5711 2,7891 2,4587 1,6545 0,5249 -0,7824 -2,1735 -3,6095 -5,0714 -6,5048 -7,7942 -8,8006 -9,4069 -9,5366 -9,1754 -8,4023 -7,4000 -6,4156 -5,6909 -5,4013 -5,5894 -6,1421 -6,8720 -7,6278 -8,3297 -8,9345 -9,4184 -9,7921 -10,0780 -10,2649 -10,2979 -10,0818 -9,4943 -8,4639 -7,0879 -5,6728 -4,6092 -4,1660 -4,4009 -5,2355 -6,5445 -8,1638 -9,8748 -11,4346 -12,5995 -13,1291 -12,8622 -11,8409 -10,3419 -8,7636 -7,4421 -6,5274 -5,9865 -5,6916 -5,5177 -5,3970 -5,3307 -5,3794 -5,6183 -6,0549 -6,5962 -7,1099 -7,4923 -7,6860 -7,6712 -7,4607 -7,1149 -6,7697 -6,6252 -6,8488 -7,4522 -8,2728 -9,0696 -9,6246 -9,7961 -9,5443 -8,9319
F7    2,4642 1,4635 0,3219 -0,8995 -2,0844 -3,0761 -3,7297 -3,9713 -3,8195 -3,3604 -2,7150 -2,0158 -1,3680 -0,8060 -0,2880 0,2502 0,8323 1,4057 1,8543 2,0670 2,0050 1,7012 1,2327 0,7210 0,3325 0,2285 0,4770 1,0114 1,6862 2,3766 3,0412 3,7007 4,3449 4,8453 4,9759 4,5504 3,5643 2,2071 0,7449 -0,6067 -1,7226 -2,5432 -3,0507 -3,2648 -3,2435 -3,0647 -2,7862 -2,4282 -2,0045 -1,5569 -1,1510 -0,8534 -0,7138 -0,7437 -0,8969 -1,0694 -1,1308 -0,9810 -0,5912 0,0001 0,7203 1,4835 2,1964 2,7936 3,2892 3,7898 4,4440 5,3519 6,4858 7,6631 8,5934 9,0031 8,7727 7,9829 6,8431 5,5855 4,4035 3,4293 2,7358 2,3536 2,2689 2,3979 2,5815 2,6426 2,4761 2,0944 1,6036 1,1528 0,8725 0,8135 0,9357 1,1632 1,4317 1,6876 1,8736 1,9363 1,8438 1,6046 1,2923 1,0669 1,1298 1,6107 2,4839 3,5770 4,6361 5,4075 5,7154 5,5115 4,8847 4,0407 3,2525 2,7630 2,6509 2,7593 2,7750 2,4201 1,6206 0,5389 -0,5315 -1,2999 -1,5515 -1,1962 -0,3195 0,8441 2,0254 3,0193 3,7035 4,0165 3,9672 3,6717 3,3375 3,1638 3,2338 3,4841 3,7611 3,9241 3,9378 3,8749 3,8229 3,8007 3,7593 3,6290 3,3642 2,9791 2,5546 2,2045 2,0165 2,0010 2,0879 2,1568 2,0656 1,6950 1,0157 0,1264 -0,7581 -1,3755 -1,5274 -1,1707 -0,4182 0,5555 1,6145 2,6723 3,6452 4,4363 4,9553 5,1317 4,9139 4,2892 3,3173 2,1198 0,8297 -0,4224 -1,4779 -2,1625 -2,3704 -2,1325 -1,5937 -0,9300 -0,2714 0,3276 0,8480 1,2361 1,4056 1,3268 1,0751 0,7764 0,5178 0,3056 0,0850 -0,2112 -0,6115 -1,0675 -1,4699 -1,7159 -1,7574 -1,6075 -1,3302 -1,0244 -0,7977 -0,7372 -0,9075 -1,3559 -2,0716 -2,9356 -3,7588 -4,3824 -4,7247 -4,7467 -4,4260 -3,7912 -2,9557 -2,0892 -1,3559 -0,8844 -0,7717 -1,0577 -1,6712 -2,4349 -3,1588 -3,7276 -4,1011 -4,2729 -4,2564 -4,0978 -3,8767 -3,6697 -3,5035 -3,3470 -3,1429 -2,8625 -2,5557 -2,3247 -2,2347 -2,2701 -2,3561 -2,4018 -2,3476 -2,1910 -1,9759 -1,7762 -1,6864 -1,7915 -2,1303 -2,6806 -3,3641 -4,0510 -4,5827 -4,8324 -4,7615 -4,4208 -3,9038 -3,2933 -2,6265 -1,8945 -1,0682 -0,1387 0,8458 1,7812 2,5484 3,0519 3,2343 3,0661 2,5330 1,6668 0,5950 -0,4715 -1,3401 -1,9368 -2,3139 -2,5806 -2,8202 -3,0278 -3,0989 -2,8743 -2,2266 -1,1303 0,3452 2,0679 3,8233 5,2998 6,1777 6,2563 5,5061 4,0499 2,1203 0,0043 -2,0134 -3,7037 -4,9339 -5,6643 -5,9145 -5,7483 -5,2735 -4,6361 -4,0043 -3,5234 -3,2528 -3,1507 -3,1333 -3,1365 -3,1233 -3,0691 -2,9598 -2,7949 -2,5787 -2,3000 -1,9355 -1,4982 -1,0678 -0,7266 -0,4872 -0,3156 -0,1844 -0,0740 0,0433 0,2131 0,5065 0,9955 1,6787 2,4168 2,9514 3,0238 2,5097 1,4821 0,1820 -1,0957 -2,1489 -2,9264 -3,4619 -3,7816 -3,8641 -3,6548 -3,1032 -2,1908 -0,9450 0,5447 2,1090 3,5032 4,4704 4,8382 4,5705 3,7568 2,5886 1,3258 0,2288 -0,5109 -0,7996 -0,6324 -0,0822 0,7033 1,5281 2,2114 2,6282 2,7100 2,4519 1,9147 1,1989 0,4313 -0,2263 -0,6006 -0,5835 -0,2121 0,3402 0,8784 1,3094 1,6915 2,2016 3,0066 4,1064 5,3189 6,4111 7,1930 7,5170 7,2828 6,4830 5,2364 3,7737 2,3784 1,3008 0,6856 0,5641 0,8913 1,5562 2,3702 3,0943 3,5092 3,4998 3,1137 2,5305 1,9594 1,5493 1,3521 1,3391 1,4503 1,6385 1,8845 2,1601 2,3769 2,4055 2,1514 1,6054 0,8497 0,0303 -0,7090 -1,2862 -1,6729 -1,8371 -1,7214 -1,3080 -0,7056 -0,1336 0,2057 0,2518 0,1011 -0,0691 -0,0803 0,1989 0,8223 1,7565 2,8928 4,0821 5,1853 6,1040 6,7705 7,1341 7,1698 6,8813 6,2916 5,4469 4,4154 3,2675 2,0666 0,8878 -0,1553 -0,9117 -1,2544 -1,1876 -0,8790 -0,5551 -0,3675 -0,3534 -0,4841 -0,7052 -0,9283 -1,0275 -0,8854 -0,4689 0,1319 0,7584 1,2902 1,6867 1,9393 2,0193 1,8971 1,5876 1,1151 0,4367 -0,5256 -1,7588 -3,1046 -4,3325 -5,2453 -5,7291 -5,7665 -5,4468 -4,9470 -4,4540 -4,0639 -3,7348 -3,3471 -2,8269 -2,2272 -1,7012 -1,4119 -1,4401 -1,7106 -1,9956 -2,0370 -1,7002 -1,0385 -0,2433 0,4517 0,8483 0,8405 0,4508 -0,1754 -0,8250 -1,3128 -1,5819 -1,7179 -1,8439 -1,9995 -2,1173 -2,0884 -1,8255 -1,2874 -0,4916 0,4974 1,5973 2,7043 3,6721 4,3294 4,5289 4,1873 3,3118 2,0162 0,5019 -1,0066 -2,3267 -3,3365 -3,9669 -4,2043 -4,0986 -3,7523 -3,2765 -2,7280 -2,0907 -1,3255 -0,4231 0,5867 1,6422 2,6435 3,4427 3,8738 3,8252 3,2925 2,3718 1,2103 -0,0499 -1,3079 -2,5158 -3,6680 -4,7650 -5,7867 -6,6966 -7,4447 -7,9568 -8,1456 -7,9603 -7,4497 -6,7744 -6,1511 -5,7733 -5,7365 -6,0048 -6,4627 -6,9993 -7,5423 -8,0348 -8,4218 -8,6744 -8,8038 -8,8342 -8,7599 -8,5122 -7,9708 -7,0449 -5,7884 -4,4550 -3,4141 -2,9660 -3,2124 -4,0787 -5,4030 -6,9834 -8,5989 -10,0524 -11,1832 -11,8304 -11,8566 -11,2490 -10,1712 -8,8916 -7,6533 -6,5939 -5,7478 -5,0895 -4,5832 -4,2146 -3,9907 -3,9335 -4,0683 -4,3837 -4,8030 -5,2163 -5,5330 -5,7037 -5,7146 -5,5815 -5,3639 -5,1883 -5,2256 -5,5956 -6,2641 -7,0481 -7,7222 -8,1175 -8,1546 -7,8350 -7,2257
