Fp1   -0,7039 -0,9131 -1,1159 -1,2881 -1,4239 -1,5278 -1,5935 -1,5932 -1,4975 -1,3033 -1,0404 -0,7507 -0,4652 -0,1971 0,0512 0,2778 0,4746 0,6265 0,7198 0,7542 0,7454 0,7147 0,6773 0,6392 0,6048 0,5802 0,5659 0,5569 0,5565 0,5738 0,6024 0,6156 0,5874 0,5126 0,4064 0,2894 0,1746 0,0660 -0,0333 -0,1150 -0,1652 -0,1696 -0,1187 -0,0109 0,1479 0,3424 0,5473 0,7368 0,8903 0,9884 1,0096 0,9425 0,7988 0,6181 0,4597 0,3803 0,4072 0,5251 0,6874 0,8412 0,9485 0,9945 0,9844 0,9332 0,8533 0,7491 0,6240 0,4935 0,3819 0,3050 0,2637 0,2533 0,2644 0,2766 0,2638 0,2129 0,1346 0,0612 0,0317 0,0756 0,2011 0,3995 0,6609 0,9806 1,3510 1,7478 2,1235 2,4151 2,5683 2,5605 2,4134 2,1880 1,9614 1,7910 1,6840 1,5958 1,4676 1,2737 1,0335 0,7904 0,5845 0,4388 0,3554 0,3185 0,3041 0,2923 0,2735 0,2397 0,1755 0,0620 -0,1139 -0,3569 -0,6608 -0,9999 -1,3271 -1,5838 -1,7218 -1,7275 -1,6299 -1,4853 -1,3508 -1,2563 -1,1849 -1,0871 -0,9204 -0,6739 -0,3681 -0,0438 0,2558 0,5054 0,7042 0,8667 1,0066 1,1332 1,2587 1,3983 1,5613 1,7419 1,9151 2,0440 2,0984 2,0728 1,9886 1,8839 1,7966 1,7522 1,7648 1,8410 1,9790 2,1690 2,3966 2,6468 2,9075 3,1687 3,4153 3,6271 3,7946 3,9302 4,0553 4,1819 4,3080 4,4225 4,5107 4,5605 4,5703 4,5502 4,5106 4,4502 4,3607 4,2370 4,0804 3,9031 3,7291 3,5836 3,4769 3,4065 3,3725 3,3803 3,4247 3,4836 3,5333 3,5632 3,5717 3,5567 3,5112 3,4225 3,2759 3,0703 2,8328 2,6129 2,4613 2,4128 2,4757 2,6342 2,8651 3,1497 3,4698 3,7995 4,1068 4,3581 4,5229 4,5824 4,5431 4,4433 4,3337 4,2473 4,1881 4,1434 4,1005 4,0462 3,9618 3,8293 3,6540 3,4799 3,3724 3,3778 3,4978 3,7027 3,9568 4,2276 4,4846 4,7043 4,8734 4,9808 5,0130 4,9593 4,8223 4,6236 4,3993 4,1878 4,0202 3,9213 3,9149 4,0135 4,2023 4,4365 4,6542 4,7994 4,8459 4,8063 4,7159 4,6114 4,5208 4,4570 4,4177 4,3986 4,4040 4,4417 4,5101 4,5914 4,6627 4,7141 4,7537 4,7979 4,8604 4,9496 5,0647 5,1919 5,3081 5,3934 5,4411 5,4599 5,4679 5,4788 5,4893 5,4825 5,4385 5,3372 5,1620 4,9191 4,6487 4,4066 4,2313 4,1314 4,0953 4,1075 4,1586 4,2456 4,3667 4,5180 4,6909 4,8676 5,0208 5,1217 5,1508 5,1090 5,0190 4,9184 4,8479 4,8391 4,9057 5,0393 5,2159 5,4066 5,5901 5,7592 5,9130 6,0413 6,1189 6,1132 5,9975 5,7681 5,4548 5,1151 4,8175 4,6268 4,5951 4,7473 5,0619 5,4691 5,8779 6,2125 6,4341 6,5420 6,5639 6,5398 6,5072 6,4942 6,5176 6,5788 6,6607 6,7360 6,7839 6,8011 6,7984 6,7851 6,7577 6,7017 6,6029 6,4651 6,3163 6,1931 6,1215 6,1138 6,1715 6,2855 6,4366 6,5971 6,7358 6,8273 6,8617 6,8469 6,8011 6,7444 6,6925 6,6536 6,6281 6,6106 6,5933 6,5707 6,5473 6,5359 6,5488 6,5935 6,6709 6,7678 6,8590 6,9239 6,9554 6,9530 6,9099 6,8128 6,6577 6,4637 6,2720 6,1319 6,0755 6,0986 6,1694 6,2547 6,3363 6,4080 6,4658 6,5107 6,5546 6,6121 6,6860 6,7640 6,8218 6,8313 6,7725 6,6436 6,4661 6,2841 6,1518 6,1139 6,1876 6,3509 6,5448 6,6984 6,7641 6,7342 6,6297 6,4756 6,2813 6,0418 5,7581 5,4509 5,1555 4,9088 4,7360 4,6389 4,5900 4,5487 4,4899 4,4147 4,3395 4,2807 4,2491 4,2499 4,2835 4,3440 4,4210 4,5073 4,6032 4,7117 4,8302 4,9520 5,0758 5,2061 5,3450 5,4884 5,6311 5,7741 5,9281 6,1021 6,2849 6,4417 6,5270 6,5064 6,3784 6,1780 5,9546 5,7451 5,5647 5,4107 5,2754 5,1578 5,0636 4,9945 4,9423 4,8967 4,8575 4,8326 4,8244 4,8296 4,8462 4,8679 4,8768 4,8526 4,7913 4,7119 4,6423 4,5975 4,5740 4,5586 4,5369 4,4964 4,4291 4,3351 4,2269 4,1287 4,0665 4,0532 4,0783 4,1137 4,1351 4,1350 4,1188 4,0972 4,0813 4,0756 4,0770 4,0807 4,0822 4,0666 4,0035 3,8648 3,6492 3,3833 3,1022 2,8293 2,5713 2,3218 2,0688 1,8123 1,5754 1,3923 1,2884 1,2737 1,3435 1,4779 1,6443 1,8057 1,9362 2,0273 2,0760 2,0691 1,9912 1,8487 1,6790 1,5354 1,4645 1,4898 1,6125 1,8145 2,0568 2,2848 2,4529 2,5497 2,5993 2,6427 2,7176 2,8420 3,0010 3,1588 3,2883 3,3848 3,4566 3,5202 3,6020 3,7337 3,9360 4,2039 4,5042 4,7884 5,0080 5,1270 5,1316 5,0390 4,8964 4,7660 4,7050 4,7465 4,8915 5,1153 5,3733 5,6095 5,7716 5,8269 5,7677 5,6153 5,4186 5,2382 5,1221 5,0912 5,1398 5,2409 5,3519 5,4267 5,4363 5,3785 5,2686 5,1271 4,9736 4,8222 4,6778 4,5363 4,3848 4,2095 4,0131 3,8215 3,6703 3,5820 3,5581 3,5937 3,6911 3,8538 4,0713 4,3155 4,5483 4,7277 4,8159 4,7984 4,6960 4,5508 4,3997 4,2600 4,1304 4,0003 3,8591 3,7030 3,5320 3,3419 3,1238 2,8773 2,6249 2,4091 2,2774 2,2671 2,3867 2,6005 2,8339 3,0027 3,0489 2,9663 2,8006 2,6242 2,5060 2,4905
Fz    0,5057 0,2216 -0,0670 -0,3288 -0,5428 -0,6976 -0,7830 -0,7853 -0,7004 -0,5488 -0,3684 -0,1906 -0,0261 0,1235 0,2473 0,3251 0,3410 0,2963 0,2146 0,1373 0,1050 0,1380 0,2337 0,3793 0,5615 0,7630 0,9543 1,1000 1,1791 1,1859 1,1116 0,9436 0,6853 0,3664 0,0296 -0,2899 -0,5743 -0,8176 -1,0138 -1,1538 -1,2286 -1,2324 -1,1614 -1,0126 -0,7798 -0,4586 -0,0556 0,4076 0,8966 1,3644 1,7598 2,0436 2,1997 2,2410 2,2072 2,1473 2,0933 2,0470 1,9882 1,8922 1,7439 1,5460 1,3161 1,0749 0,8343 0,5939 0,3490 0,1027 -0,1310 -0,3358 -0,4966 -0,5963 -0,6207 -0,5689 -0,4546 -0,2967 -0,1059 0,1165 0,3692 0,6390 0,8968 1,1120 1,2796 1,4290 1,6010 1,8132 2,0412 2,2313 2,3330 2,3233 2,2108 2,0320 1,8418 1,6943 1,6112 1,5657 1,5072 1,4074 1,2758 1,1390 1,0175 0,9206 0,8487 0,7934 0,7378 0,6653 0,5683 0,4451 0,2946 0,1154 -0,0986 -0,3618 -0,6870 -1,0676 -1,4666 -1,8237 -2,0793 -2,2024 -2,2030 -2,1228 -2,0143 -1,9143 -1,8253 -1,7248 -1,5936 -1,4315 -1,2554 -1,0941 -0,9771 -0,9141 -0,8852 -0,8506 -0,7705 -0,6203 -0,3898 -0,0786 0,3006 0,7188 1,1331 1,4935 1,7567 1,9046 1,9569 1,9632 1,9785 2,0417 2,1737 2,3815 2,6582 2,9818 3,3221 3,6529 3,9625 4,2526 4,5250 4,7743 4,9981 5,2081 5,4228 5,6507 5,8842 6,1085 6,3136 6,4975 6,6619 6,8076 6,9253 6,9885 6,9629 6,8223 6,5597 6,1948 5,7722 5,3453 4,9557 4,6288 4,3854 4,2400 4,1849 4,1892 4,2182 4,2491 4,2710 4,2779 4,2663 4,2328 4,1742 4,0931 4,0044 3,9321 3,8999 3,9215 3,9943 4,1051 4,2486 4,4353 4,6780 4,9723 5,2884 5,5796 5,8005 5,9244 5,9538 5,9192 5,8609 5,8029 5,7423 5,6616 5,5482 5,4010 5,2252 5,0278 4,8204 4,6287 4,4896 4,4284 4,4411 4,5040 4,5919 4,6850 4,7696 4,8410 4,8989 4,9369 4,9417 4,9020 4,8184 4,7074 4,5963 4,5096 4,4571 4,4342 4,4323 4,4472 4,4780 4,5210 4,5649 4,5930 4,5958 4,5804 4,5644 4,5646 4,5931 4,6525 4,7330 4,8212 4,9086 4,9899 5,0563 5,0964 5,1085 5,1066 5,1118 5,1393 5,1969 5,2892 5,4127 5,5503 5,6792 5,7869 5,8765 5,9608 6,0533 6,1544 6,2426 6,2811 6,2354 6,0841 5,8250 5,4840 5,1171 4,7908 4,5540 4,4258 4,4014 4,4654 4,6033 4,7993 5,0277 5,2527 5,4388 5,5579 5,5933 5,5452 5,4333 5,2944 5,1731 5,1099 5,1301 5,2429 5,4442 5,7200 6,0490 6,4087 6,7811 7,1541 7,5130 7,8290 8,0590 8,1578 8,0946 7,8689 7,5198 7,1163 6,7393 6,4672 6,3638 6,4593 6,7295 7,0995 7,4774 7,7931 8,0157 8,1515 8,2304 8,2877 8,3521 8,4389 8,5501 8,6742 8,7894 8,8691 8,8922 8,8512 8,7553 8,6227 8,4732 8,3238 8,1889 8,0876 8,0467 8,0870 8,2051 8,3748 8,5615 8,7377 8,8889 9,0101 9,0967 9,1422 9,1399 9,0822 8,9643 8,7951 8,6054 8,4383 8,3292 8,2900 8,3084 8,3605 8,4255 8,4889 8,5461 8,6067 8,6845 8,7716 8,8339 8,8372 8,7714 8,6490 8,4854 8,2914 8,0838 7,8915 7,7493 7,6862 7,7118 7,8076 7,9395 8,0784 8,2082 8,3175 8,3898 8,4122 8,3915 8,3551 8,3321 8,3332 8,3425 8,3296 8,2702 8,1611 8,0215 7,8883 7,8050 7,8059 7,9011 8,0660 8,2464 8,3869 8,4618 8,4769 8,4488 8,3873 8,2886 8,1431 7,9519 7,7343 7,5196 7,3327 7,1827 7,0564 6,9195 6,7363 6,4987 6,2363 5,9970 5,8183 5,7163 5,6887 5,7187 5,7782 5,8382 5,8821 5,9130 5,9493 6,0129 6,1204 6,2839 6,5105 6,7944 7,1160 7,4513 7,7859 8,1200 8,4552 8,7762 9,0457 9,2153 9,2469 9,1340 8,9052 8,6030 8,2634 7,9114 7,5634 7,2303 6,9239 6,6600 6,4545 6,3138 6,2336 6,2054 6,2160 6,2440 6,2688 6,2817 6,2788 6,2500 6,1824 6,0748 5,9445 5,8151 5,6960 5,5810 5,4640 5,3469 5,2343 5,1262 5,0191 4,9115 4,8059 4,7050 4,6056 4,4975 4,3720 4,2326 4,0927 3,9636 3,8500 3,7532 3,6715 3,5984 3,5261 3,4446 3,3346 3,1667 2,9149 2,5741 2,1663 1,7333 1,3196 0,9561 0,6463 0,3663 0,0891 -0,1897 -0,4538 -0,6831 -0,8660 -1,0020 -1,1001 -1,1719 -1,2226 -1,2453 -1,2264 -1,1617 -1,0714 -0,9965 -0,9779 -1,0367 -1,1616 -1,3095 -1,4198 -1,4358 -1,3266 -1,1025 -0,8126 -0,5181 -0,2576 -0,0319 0,1851 0,4272 0,7153 1,0421 1,3807 1,7152 2,0547 2,4173 2,8117 3,2338 3,6725 4,1099 4,5162 4,8552 5,0995 5,2405 5,2882 5,2671 5,2147 5,1756 5,1921 5,2978 5,5130 5,8369 6,2394 6,6572 7,0058 7,2099 7,2332 7,0830 6,8021 6,4546 6,1072 5,8106 5,5898 5,4442 5,3517 5,2771 5,1865 5,0647 4,9155 4,7483 4,5706 4,3930 4,2281 4,0835 3,9545 3,8246 3,6798 3,5279 3,3998 3,3306 3,3382 3,4155 3,5425 3,7045 3,8921 4,0918 4,2818 4,4322 4,5021 4,4520 4,2745 4,0104 3,7232 3,4578 3,2247 3,0165 2,8263 2,6474 2,4675 2,2717 2,0479 1,7890 1,4988 1,2017 0,9412 0,7681 0,7269 0,8368 1,0726 1,3664 1,6332 1,8059 1,8624 1,8292 1,7616 1,7149 1,7293
F3    0,0213 -0,2982 -0,5996 -0,8557 -1,0596 -1,2125 -1,3077 -1,3262 -1,2524 -1,0933 -0,8798 -0,6479 -0,4200 -0,2048 -0,0067 0,1687 0,3121 0,4121 0,4621 0,4708 0,4607 0,4557 0,4720 0,5177 0,5950 0,6985 0,8100 0,9051 0,9704 1,0037 0,9946 0,9213 0,7688 0,5450 0,2783 0,0021 -0,2568 -0,4789 -0,6465 -0,7426 -0,7564 -0,6884 -0,5509 -0,3607 -0,1285 0,1396 0,4315 0,7270 1,0021 1,2282 1,3754 1,4253 1,3845 1,2876 1,1877 1,1352 1,1579 1,2558 1,4036 1,5608 1,6852 1,7490 1,7449 1,6775 1,5517 1,3674 1,1257 0,8413 0,5439 0,2636 0,0206 -0,1733 -0,3168 -0,4268 -0,5319 -0,6501 -0,7692 -0,8499 -0,8470 -0,7351 -0,5198 -0,2259 0,1243 0,5200 0,9526 1,4003 1,8175 2,1431 2,3237 2,3373 2,2015 1,9699 1,7150 1,4995 1,3421 1,2099 1,0532 0,8530 0,6318 0,4272 0,2659 0,1572 0,0968 0,0693 0,0508 0,0209 -0,0294 -0,1054 -0,2178 -0,3791 -0,5988 -0,8817 -1,2200 -1,5833 -1,9201 -2,1739 -2,3041 -2,3044 -2,2066 -2,0661 -1,9354 -1,8382 -1,7575 -1,6549 -1,5052 -1,3117 -1,0971 -0,8898 -0,7122 -0,5687 -0,4427 -0,3072 -0,1402 0,0671 0,3138 0,5938 0,8940 1,1943 1,4691 1,6888 1,8290 1,8836 1,8737 1,8443 1,8452 1,9127 2,0659 2,3110 2,6392 3,0248 3,4328 3,8326 4,2107 4,5689 4,9082 5,2178 5,4849 5,7096 5,9016 6,0686 6,2116 6,3296 6,4254 6,5029 6,5645 6,6112 6,6381 6,6264 6,5500 6,3869 6,1267 5,7814 5,3889 4,9999 4,6550 4,3762 4,1771 4,0655 4,0323 4,0506 4,0926 4,1414 4,1856 4,2112 4,1986 4,1271 3,9854 3,7852 3,5675 3,3900 3,3035 3,3340 3,4767 3,7049 3,9897 4,3115 4,6570 5,0099 5,3463 5,6370 5,8518 5,9675 5,9815 5,9191 5,8204 5,7141 5,6023 5,4708 5,3075 5,1112 4,8863 4,6370 4,3727 4,1217 3,9286 3,8275 3,8201 3,8843 3,9929 4,1181 4,2332 4,3221 4,3808 4,4023 4,3694 4,2664 4,0940 3,8763 3,6536 3,4652 3,3378 3,2881 3,3250 3,4434 3,6189 3,8130 3,9840 4,0984 4,1428 4,1273 4,0768 4,0202 3,9850 3,9885 4,0321 4,1066 4,2007 4,3021 4,3966 4,4692 4,5140 4,5400 4,5651 4,6036 4,6635 4,7514 4,8700 5,0093 5,1485 5,2704 5,3704 5,4567 5,5427 5,6319 5,7056 5,7292 5,6693 5,5043 5,2288 4,8644 4,4636 4,0911 3,7956 3,5976 3,4984 3,4935 3,5798 3,7504 3,9855 4,2525 4,5155 4,7417 4,9039 4,9818 4,9657 4,8626 4,7030 4,5374 4,4227 4,4046 4,5066 4,7269 5,0440 5,4269 5,8430 6,2613 6,6504 6,9745 7,1946 7,2762 7,1973 6,9593 6,5977 6,1818 5,7990 5,5317 5,4382 5,5375 5,7991 6,1493 6,5007 6,7870 6,9808 7,0895 7,1404 7,1655 7,1903 7,2307 7,2927 7,3711 7,4499 7,5084 7,5335 7,5273 7,5031 7,4731 7,4390 7,3937 7,3307 7,2572 7,1974 7,1770 7,2060 7,2783 7,3800 7,4951 7,6099 7,7145 7,8019 7,8672 7,9053 7,9100 7,8751 7,8014 7,7026 7,5995 7,5090 7,4394 7,3914 7,3632 7,3560 7,3753 7,4288 7,5261 7,6707 7,8455 8,0147 8,1448 8,2192 8,2308 8,1670 8,0102 7,7590 7,4441 7,1256 6,8729 6,7336 6,7098 6,7667 6,8635 6,9734 7,0793 7,1639 7,2168 7,2463 7,2726 7,3098 7,3562 7,3961 7,4065 7,3688 7,2798 7,1567 7,0359 6,9624 6,9739 7,0856 7,2776 7,4935 7,6663 7,7521 7,7399 7,6391 7,4645 7,2262 6,9313 6,5965 6,2540 5,9425 5,6920 5,5120 5,3876 5,2825 5,1569 4,9914 4,7956 4,5935 4,4079 4,2575 4,1602 4,1284 4,1607 4,2431 4,3617 4,5120 4,6961 4,9136 5,1590 5,4252 5,7035 5,9819 6,2488 6,4987 6,7332 6,9587 7,1776 7,3770 7,5290 7,6003 7,5691 7,4435 7,2593 7,0534 6,8442 6,6343 6,4188 6,1923 5,9573 5,7282 5,5230 5,3520 5,2173 5,1203 5,0572 5,0118 4,9626 4,8981 4,8143 4,7061 4,5710 4,4185 4,2726 4,1592 4,0911 4,0622 4,0570 4,0610 4,0639 4,0573 4,0366 4,0063 3,9798 3,9712 3,9825 3,9950 3,9774 3,9084 3,7891 3,6364 3,4737 3,3244 3,2050 3,1209 3,0679 3,0340 2,9949 2,9161 2,7694 2,5523 2,2893 2,0154 1,7567 1,5224 1,3059 1,0907 0,8644 0,6313 0,4081 0,2138 0,0661 -0,0205 -0,0406 -0,0042 0,0634 0,1327 0,1814 0,1929 0,1467 0,0231 -0,1801 -0,4386 -0,7059 -0,9259 -1,0500 -1,0494 -0,9211 -0,6926 -0,4174 -0,1524 0,0710 0,2589 0,4411 0,6507 0,9051 1,1887 1,4612 1,6921 1,8819 2,0524 2,2293 2,4376 2,7007 3,0331 3,4263 3,8462 4,2453 4,5796 4,8200 4,9600 5,0216 5,0484 5,0904 5,1881 5,3615 5,6027 5,8764 6,1260 6,2899 6,3267 6,2287 6,0163 5,7297 5,4241 5,1585 4,9773 4,8980 4,9105 4,9825 5,0674 5,1207 5,1208 5,0725 4,9919 4,8910 4,7759 4,6469 4,4979 4,3160 4,0832 3,7908 3,4593 3,1399 2,8917 2,7527 2,7283 2,8031 2,9600 3,1840 3,4556 3,7476 4,0245 4,2402 4,3473 4,3233 4,1885 3,9907 3,7705 3,5455 3,3200 3,0971 2,8776 2,6541 2,4107 2,1286 1,7953 1,4187 1,0354 0,7017 0,4755 0,4018 0,4956 0,7245 1,0109 1,2607 1,4027 1,4140 1,3202 1,1753 1,0394 0,9640
F7    -0,9569 -1,0978 -1,1953 -1,2432 -1,2574 -1,2627 -1,2697 -1,2623 -1,2129 -1,1075 -0,9521 -0,7582 -0,5332 -0,2893 -0,0485 0,1665 0,3395 0,4605 0,5289 0,5576 0,5689 0,5793 0,5917 0,6024 0,6118 0,6195 0,6136 0,5755 0,5033 0,4155 0,3327 0,2637 0,2066 0,1558 0,1098 0,0743 0,0544 0,0481 0,0518 0,0687 0,1065 0,1657 0,2370 0,3130 0,3983 0,5056 0,6440 0,8128 0,9978 1,1658 1,2752 1,2984 1,2380 1,1262 1,0107 0,9341 0,9173 0,9533 1,0132 1,0624 1,0760 1,0446 0,9736 0,8739 0,7495 0,5958 0,4105 0,2094 0,0263 -0,1077 -0,1782 -0,1868 -0,1471 -0,0843 -0,0304 -0,0113 -0,0333 -0,0781 -0,1102 -0,0966 -0,0242 0,1015 0,2728 0,4875 0,7428 1,0244 1,2996 1,5228 1,6541 1,6757 1,5985 1,4615 1,3220 1,2275 1,1848 1,1544 1,0816 0,9399 0,7461 0,5423 0,3651 0,2282 0,1232 0,0325 -0,0594 -0,1593 -0,2657 -0,3786 -0,5039 -0,6494 -0,8211 -1,0209 -1,2407 -1,4598 -1,6525 -1,7958 -1,8734 -1,8822 -1,8368 -1,7644 -1,6940 -1,6387 -1,5811 -1,4874 -1,3392 -1,1462 -0,9356 -0,7371 -0,5704 -0,4388 -0,3275 -0,2087 -0,0556 0,1435 0,3833 0,6497 0,9241 1,1857 1,4127 1,5841 1,6852 1,7152 1,6946 1,6618 1,6551 1,6958 1,7885 1,9285 2,1049 2,3013 2,4988 2,6837 2,8548 3,0244 3,2059 3,4037 3,6190 3,8563 4,1164 4,3860 4,6418 4,8628 5,0357 5,1545 5,2196 5,2363 5,2074 5,1274 4,9910 4,8018 4,5723 4,3246 4,0889 3,8909 3,7392 3,6299 3,5621 3,5398 3,5564 3,5865 3,6013 3,5864 3,5412 3,4670 3,3580 3,2032 2,9972 2,7521 2,5004 2,2858 2,1492 2,1161 2,1879 2,3460 2,5659 2,8270 3,1120 3,4023 3,6777 3,9150 4,0882 4,1743 4,1675 4,0881 3,9721 3,8479 3,7211 3,5824 3,4238 3,2440 3,0435 2,8197 2,5751 2,3327 2,1352 2,0220 2,0095 2,0939 2,2580 2,4667 2,6722 2,8364 2,9417 2,9800 2,9436 2,8279 2,6390 2,3993 2,1428 1,9054 1,7191 1,6137 1,6118 1,7130 1,8829 2,0656 2,2068 2,2751 2,2734 2,2329 2,1891 2,1636 2,1665 2,2037 2,2784 2,3918 2,5422 2,7217 2,9136 3,0937 3,2412 3,3506 3,4315 3,4969 3,5546 3,6071 3,6525 3,6838 3,6925 3,6734 3,6258 3,5514 3,4530 3,3319 3,1879 3,0221 2,8410 2,6559 2,4769 2,3150 2,1885 2,1182 2,1113 2,1558 2,2304 2,3165 2,4030 2,4854 2,5628 2,6360 2,7050 2,7672 2,8166 2,8436 2,8393 2,8008 2,7368 2,6676 2,6220 2,6304 2,7134 2,8720 3,0881 3,3322 3,5757 3,8026 4,0070 4,1789 4,2965 4,3330 4,2708 4,1124 3,8832 3,6258 3,3898 3,2222 3,1596 3,2192 3,3894 3,6255 3,8622 4,0404 4,1291 4,1281 4,0594 3,9540 3,8429 3,7555 3,7171 3,7380 3,8050 3,8904 3,9701 4,0346 4,0839 4,1171 4,1251 4,0924 4,0058 3,8678 3,7031 3,5475 3,4353 3,3962 3,4492 3,5930 3,8016 4,0339 4,2481 4,4119 4,5079 4,5342 4,5002 4,4205 4,3126 4,1961 4,0927 4,0247 4,0087 4,0459 4,1229 4,2209 4,3254 4,4329 4,5465 4,6648 4,7795 4,8822 4,9661 5,0198 5,0258 4,9681 4,8455 4,6812 4,5175 4,3961 4,3335 4,3138 4,3075 4,2952 4,2754 4,2528 4,2266 4,1958 4,1704 4,1677 4,1996 4,2660 4,3564 4,4526 4,5326 4,5753 4,5685 4,5209 4,4633 4,4372 4,4767 4,5906 4,7550 4,9251 5,0590 5,1335 5,1461 5,1057 5,0166 4,8740 4,6777 4,4452 4,2061 3,9881 3,8065 3,6582 3,5221 3,3718 3,1953 2,9981 2,7919 2,5899 2,4131 2,2909 2,2481 2,2888 2,3962 2,5460 2,7190 2,9029 3,0851 3,2519 3,3952 3,5140 3,6093 3,6849 3,7520 3,8291 3,9335 4,0692 4,2225 4,3685 4,4784 4,5263 4,5009 4,4109 4,2761 4,1171 3,9503 3,7886 3,6458 3,5380 3,4777 3,4647 3,4842 3,5152 3,5439 3,5633 3,5661 3,5462 3,5047 3,4450 3,3647 3,2604 3,1400 3,0296 2,9611 2,9470 2,9698 2,9965 3,0029 2,9846 2,9530 2,9242 2,9108 2,9208 2,9571 3,0136 3,0697 3,0979 3,0820 3,0275 2,9560 2,8937 2,8595 2,8563 2,8716 2,8855 2,8801 2,8367 2,7326 2,5531 2,3110 2,0501 1,8207 1,6545 1,5562 1,5082 1,4784 1,4391 1,3828 1,3193 1,2642 1,2320 1,2319 1,2612 1,3028 1,3345 1,3434 1,3307 1,2970 1,2284 1,1067 0,9331 0,7373 0,5684 0,4734 0,4797 0,5898 0,7870 1,0377 1,2977 1,5259 1,7037 1,8399 1,9608 2,0946 2,2553 2,4302 2,5884 2,7068 2,7810 2,8192 2,8394 2,8741 2,9639 3,1373 3,3920 3,6957 4,0016 4,2615 4,4352 4,5014 4,4704 4,3846 4,3029 4,2775 4,3342 4,4676 4,6506 4,8450 5,0123 5,1271 5,1823 5,1821 5,1389 5,0773 5,0280 5,0126 5,0363 5,0886 5,1458 5,1779 5,1625 5,0985 5,0034 4,8963 4,7856 4,6710 4,5476 4,4078 4,2407 4,0306 3,7658 3,4569 3,1453 2,8876 2,7275 2,6818 2,7471 2,9139 3,1660 3,4741 3,7980 4,0953 4,3252 4,4547 4,4724 4,3982 4,2711 4,1284 3,9975 3,8951 3,8256 3,7796 3,7363 3,6685 3,5476 3,3539 3,0933 2,8059 2,5521 2,3859 2,3378 2,4085 2,5672 2,7601 2,9257 3,0158 3,0161 2,9497 2,8588 2,7814 2,7418
