Fp1   -0,4999 -0,1836 0,0896 0,2560 0,3080 0,2752 0,1950 0,1062 0,0508 0,0546 0,1014 0,1428 0,1416 0,0960 0,0307 -0,0256 -0,0608 -0,0830 -0,1045 -0,1281 -0,1554 -0,1982 -0,2678 -0,3591 -0,4467 -0,4918 -0,4547 -0,3111 -0,0650 0,2535 0,6019 0,9230 1,1372 1,1659 0,9747 0,5953 0,1187 -0,3280 -0,6205 -0,6878 -0,5462 -0,2895 -0,0346 0,1354 0,1865 0,1172 -0,0563 -0,3038 -0,5729 -0,7824 -0,8418 -0,6900 -0,3267 0,1862 0,7507 1,2751 1,7070 2,0418 2,3024 2,5058 2,6511 2,7360 2,7699 2,7633 2,7192 2,6429 2,5509 2,4639 2,3911 2,3191 2,2139 2,0409 1,7924 1,5065 1,2523 1,0897 1,0402 1,0829 1,1671 1,2262 1,2018 1,0786 0,8950 0,7106 0,5603 0,4381 0,3106 0,1402 -0,0954 -0,3946 -0,7369 -1,0961 -1,4553 -1,8109 -2,1605 -2,4855 -2,7473 -2,9064 -2,9421 -2,8542 -2,6569 -2,3773 -2,0562 -1,7455 -1,5008 -1,3659 -1,3544 -1,4506 -1,6244 -1,8433 -2,0788 -2,3179 -2,5669 -2,8388 -3,1328 -3,4281 -3,6963 -3,9146 -4,0638 -4,1222 -4,0688 -3,8906 -3,5820 -3,1410 -2,5754 -1,9146 -1,2071 -0,4968 0,1954 0,8737 1,5607 2,2872 3,0799 3,9501 4,8954 5,9048 6,9507 7,9817 8,9415 9,7981 10,5506 11,2134 11,7946 12,2837 12,6604 12,9133 13,0471 13,0844 13,0669 13,0387 13,0199 12,9958 12,9350 12,8157 12,6460 12,4599 12,2835 12,1123 11,9367 11,7671 11,6097 11,4372 11,2033 10,8781 10,4599 9,9671 9,4366 8,9216 8,4732 8,1178 7,8491 7,6347 7,4341 7,2186 6,9760 6,6963 6,3679 5,9920 5,5950 5,2244 4,9281 4,7297 4,6196 4,5631 4,5166 4,4430 4,3201 4,1429 3,9194 3,6638 3,3991 3,1587 2,9758 2,8647 2,8168 2,8102 2,8185 2,8148 2,7851 2,7459 2,7333 2,7636 2,8072 2,8012 2,6843 2,4266 2,0421 1,5798 1,1042 0,6730 0,3171 0,0407 -0,1596 -0,2851 -0,3395 -0,3274 -0,2494 -0,1154 0,0415 0,1771 0,2637 0,3084 0,3474 0,4218 0,5537 0,7415 0,9738 1,2371 1,5080 1,7501 1,9242 2,0024 1,9668 1,7978 1,4795 1,0243 0,4863 -0,0537 -0,5167 -0,8489 -1,0361 -1,1051 -1,1065 -1,0779 -1,0203 -0,9148 -0,7615 -0,5958 -0,4675 -0,4093 -0,4193 -0,4653 -0,5070 -0,5284 -0,5536 -0,6281 -0,7788 -0,9979 -1,2616 -1,5489 -1,8434 -2,1342 -2,4221 -2,7191 -3,0354 -3,3608 -3,6599 -3,8866 -4,0057 -4,0105 -3,9241 -3,7744 -3,5692 -3,3061 -3,0020 -2,7063 -2,4900 -2,4141 -2,4894 -2,6581 -2,8260 -2,9264 -2,9537 -2,9428 -2,9223 -2,8851 -2,7972 -2,6332 -2,3969 -2,1152 -1,8169 -1,5188 -1,2232 -0,9284 -0,6432 -0,3924 -0,2091 -0,1187 -0,1206 -0,1828 -0,2643 -0,3456 -0,4321 -0,5283 -0,6123 -0,6404 -0,5776 -0,4224 -0,2048 0,0391 0,2972 0,5910 0,9553 1,4049 1,9162 2,4277 2,8586 3,1452 3,2700 3,2565 3,1408 2,9496 2,6929 2,3654 1,9587 1,4795 0,9579 0,4410 -0,0263 -0,4239 -0,7591 -1,0500 -1,3109 -1,5496 -1,7658 -1,9524 -2,0936 -2,1621 -2,1353 -2,0220 -1,8580 -1,6727 -1,4729 -1,2597 -1,0535 -0,8942 -0,8117 -0,8012 -0,8287 -0,8520 -0,8360 -0,7629 -0,6361 -0,4670 -0,2598 -0,0163 0,2466 0,4909 0,6682 0,7419 0,7093 0,6055 0,4836 0,3906 0,3588 0,3984 0,4915 0,6080 0,7324 0,8737 1,0540 1,2839 1,5462 1,7978 1,9869 2,0724 2,0377 1,8963 1,6913 1,4868 1,3420 1,2803 1,2868 1,3352 1,4064 1,4840 1,5526 1,6067 1,6566 1,7230 1,8284 1,9842 2,1799 2,3896 2,5903 2,7772 2,9732 3,2179 3,5292 3,8618 4,1173 4,2102 4,1230 3,8913 3,5489 3,1029 2,5548 1,9308 1,2857 0,6877 0,2018 -0,1216 -0,2474 -0,1657 0,0864 0,4273 0,7748 1,0875 1,3618 1,6003 1,7984 1,9516 2,0576 2,1060 2,0898 2,0397 2,0226 2,0926 2,2501 2,4457 2,6146 2,7128 2,7336 2,6954 2,6230 2,5417 2,4739 2,4263 2,3878 2,3497 2,3173 2,2993 2,3001 2,3229 2,3684 2,4342 2,5180 2,6230 2,7603 2,9444 3,1796 3,4462 3,7103 3,9555 4,1991 4,4745 4,8027 5,1755 5,5477 5,8459 6,0022 5,9939 5,8555 5,6597 5,4907 5,4149 5,4547 5,5856 5,7564 5,9124 6,0051 5,9924 5,8382 5,5206 5,0418 4,4280 3,7257 3,0047 2,3507 1,8348 1,4854 1,2884 1,2140 1,2453 1,3755 1,5796 1,8020 1,9684 2,0013 1,8395 1,4679 0,9300 0,3102 -0,3028 -0,8489 -1,3006 -1,6439 -1,8608 -1,9288 -1,8441 -1,6437 -1,3875 -1,1189 -0,8548 -0,5995 -0,3477 -0,0779 0,2349 0,6002 1,0001 1,3835 1,6767 1,8246 1,8331 1,7726 1,7421 1,8237 2,0533 2,4174 2,8774 3,4014 3,9765 4,5993 5,2594 5,9294 6,5731 7,1610 7,6734 8,0989 8,4382 8,7109 8,9570 9,2208 9,5227 9,8469 10,1605 10,4344 10,6426 10,7499 10,7156 10,5193 10,1762 9,7190 9,1679 8,5267 7,8015 7,0115 6,1792 5,3191 4,4397 3,5540 2,6812 1,8374 1,0237 0,2280 -0,5573 -1,3239 -2,0496 -2,7064 -3,2766 -3,7721 -4,2309 -4,6801 -5,1102 -5,4902 -5,7977 -6,0266 -6,1711 -6,2165 -6,1523 -5,9899 -5,7649 -5,5203 -5,2879 -5,0815 -4,9046 -4,7617 -4,6533 -4,5657 -4,4844 -4,4134 -4,3741 -4,3892 -4,4760 -4,6495 -4,9239 -5,3023 -5,7582 -6,2279 -6,6253 -6,8683 -6,8960 -6,6817 -6,2449 -5,6475 -4,9725 -4,2972 -3,6784 -3,1590 -2,7725
Fz    1,2868 1,5364 1,7668 1,9406 2,0585 2,1378 2,1919 2,2343 2,2863 2,3564 2,4109 2,3808 2,2099 1,8937 1,4776 1,0273 0,5948 0,2038 -0,1408 -0,4425 -0,7213 -1,0120 -1,3326 -1,6596 -1,9332 -2,0795 -2,0395 -1,7963 -1,3878 -0,8905 -0,3895 0,0325 0,2916 0,3186 0,0910 -0,3479 -0,8971 -1,4220 -1,7886 -1,9073 -1,7710 -1,4606 -1,1041 -0,8158 -0,6599 -0,6485 -0,7576 -0,9419 -1,1344 -1,2465 -1,1928 -0,9279 -0,4692 0,1095 0,7092 1,2478 1,6916 2,0606 2,4044 2,7620 3,1403 3,5231 3,8827 4,1834 4,3935 4,5036 4,5300 4,5001 4,4359 4,3428 4,2108 4,0292 3,8081 3,5863 3,4119 3,3138 3,2915 3,3197 3,3506 3,3172 3,1544 2,8367 2,4019 1,9234 1,4568 1,0137 0,5773 0,1292 -0,3350 -0,8056 -1,2697 -1,7204 -2,1589 -2,5929 -3,0292 -3,4589 -3,8535 -4,1811 -4,4228 -4,5685 -4,6038 -4,5133 -4,2992 -3,9992 -3,6801 -3,4092 -3,2276 -3,1508 -3,1749 -3,2749 -3,4116 -3,5552 -3,7029 -3,8714 -4,0740 -4,3072 -4,5622 -4,8354 -5,1166 -5,3710 -5,5423 -5,5743 -5,4258 -5,0735 -4,5108 -3,7521 -2,8370 -1,8222 -0,7582 0,3282 1,4347 2,5700 3,7389 4,9364 6,1560 7,3921 8,6228 9,8032 10,8895 11,8665 12,7451 13,5410 14,2554 14,8675 15,3475 15,6752 15,8475 15,8812 15,8153 15,6998 15,5700 15,4282 15,2489 15,0040 14,6873 14,3172 13,9152 13,4927 13,0654 12,6620 12,3006 11,9691 11,6419 11,3035 10,9494 10,5763 10,1869 9,7969 9,4276 9,0944 8,8018 8,5434 8,3013 8,0550 7,7898 7,4956 7,1668 6,8118 6,4578 6,1387 5,8768 5,6756 5,5266 5,4201 5,3468 5,2925 5,2340 5,1442 5,0016 4,8025 4,5730 4,3651 4,2275 4,1808 4,2161 4,3035 4,3982 4,4582 4,4686 4,4509 4,4401 4,4465 4,4424 4,3796 4,2143 3,9252 3,5248 3,0598 2,5945 2,1861 1,8621 1,6225 1,4650 1,3947 1,4150 1,5249 1,7181 1,9725 2,2500 2,5186 2,7714 3,0224 3,2899 3,5826 3,8956 4,2181 4,5441 4,8737 5,1999 5,4973 5,7269 5,8582 5,8822 5,8015 5,6190 5,3444 5,0028 4,6310 4,2663 3,9365 3,6530 3,4093 3,1913 2,9956 2,8372 2,7333 2,6787 2,6413 2,5815 2,4781 2,3401 2,1990 2,0857 2,0061 1,9290 1,8001 1,5741 1,2378 0,8063 0,3079 -0,2241 -0,7605 -1,2851 -1,7963 -2,3002 -2,7916 -3,2399 -3,5991 -3,8353 -3,9496 -3,9737 -3,9386 -3,8556 -3,7329 -3,5983 -3,5015 -3,5009 -3,6408 -3,9150 -4,2508 -4,5464 -4,7372 -4,8243 -4,8421 -4,8063 -4,6945 -4,4735 -4,1338 -3,6976 -3,2010 -2,6755 -2,1397 -1,6033 -1,0789 -0,5941 -0,1925 0,0810 0,2008 0,1799 0,0681 -0,0795 -0,2352 -0,4021 -0,5862 -0,7673 -0,8995 -0,9388 -0,8634 -0,6741 -0,3797 0,0237 0,5550 1,2221 1,9933 2,7967 3,5405 4,1348 4,5150 4,6622 4,5986 4,3599 3,9771 3,4745 2,8714 2,1888 1,4585 0,7236 0,0260 -0,6055 -1,1590 -1,6341 -2,0308 -2,3423 -2,5587 -2,6817 -2,7349 -2,7533 -2,7562 -2,7372 -2,6866 -2,6043 -2,4873 -2,3269 -2,1304 -1,9405 -1,8213 -1,8150 -1,9144 -2,0703 -2,2151 -2,2831 -2,2307 -2,0545 -1,7845 -1,4593 -1,1126 -0,7793 -0,4981 -0,3031 -0,2140 -0,2292 -0,3223 -0,4504 -0,5667 -0,6296 -0,6187 -0,5456 -0,4355 -0,2951 -0,1076 0,1434 0,4480 0,7683 1,0530 1,2484 1,3099 1,2224 1,0155 0,7559 0,5193 0,3569 0,2773 0,2565 0,2635 0,2712 0,2484 0,1656 0,0172 -0,1703 -0,3503 -0,4720 -0,4966 -0,4141 -0,2442 -0,0192 0,2338 0,5000 0,7722 1,0357 1,2527 1,3671 1,3359 1,1559 0,8540 0,4581 -0,0168 -0,5559 -1,1286 -1,6911 -2,1970 -2,5993 -2,8524 -2,9184 -2,7886 -2,5038 -2,1422 -1,7745 -1,4329 -1,1189 -0,8282 -0,5646 -0,3393 -0,1703 -0,0841 -0,0934 -0,1631 -0,2172 -0,1941 -0,0894 0,0463 0,1421 0,1500 0,0647 -0,0944 -0,3051 -0,5373 -0,7470 -0,8973 -0,9778 -0,9944 -0,9547 -0,8706 -0,7537 -0,6066 -0,4285 -0,2264 -0,0124 0,2097 0,4532 0,7409 1,0847 1,4673 1,8473 2,1865 2,4742 2,7260 2,9642 3,1958 3,3988 3,5251 3,5234 3,3715 3,0966 2,7678 2,4674 2,2568 2,1571 2,1552 2,2164 2,2945 2,3427 2,3242 2,2150 2,0022 1,6854 1,2792 0,8125 0,3322 -0,1017 -0,4346 -0,6416 -0,7358 -0,7483 -0,6952 -0,5735 -0,3915 -0,1900 -0,0333 0,0038 -0,1464 -0,5155 -1,0794 -1,7664 -2,4867 -3,1614 -3,7297 -4,1428 -4,3652 -4,3822 -4,2136 -3,9230 -3,5905 -3,2666 -2,9607 -2,6609 -2,3445 -1,9799 -1,5414 -1,0290 -0,4762 0,0529 0,4728 0,7101 0,7463 0,6336 0,4746 0,3799 0,4259 0,6335 0,9880 1,4718 2,0745 2,7809 3,5606 4,3680 5,1545 5,8831 6,5305 7,0862 7,5578 7,9744 8,3769 8,7969 9,2376 9,6736 10,0680 10,3885 10,6086 10,7034 10,6502 10,4397 10,0875 9,6217 9,0582 8,3952 7,6309 6,7767 5,8536 4,8841 3,8916 2,9055 1,9589 1,0811 0,2872 -0,4248 -1,0657 -1,6473 -2,1835 -2,6904 -3,1860 -3,6954 -4,2434 -4,8327 -5,4336 -6,0009 -6,4959 -6,8890 -7,1498 -7,2516 -7,1902 -6,9943 -6,7180 -6,4239 -6,1653 -5,9734 -5,8604 -5,8288 -5,8683 -5,9490 -6,0362 -6,1118 -6,1761 -6,2353 -6,3003 -6,3974 -6,5692 -6,8495 -7,2283 -7,6426 -8,0023 -8,2267 -8,2703 -8,1326 -7,8527 -7,4922 -7,1107 -6,7462 -6,4171 -6,1423 -5,9489
F3    0,4252 0,3876 0,3957 0,4459 0,5240 0,6101 0,7030 0,8296 1,0189 1,2698 1,5383 1,7524 1,8451 1,7837 1,5738 1,2532 0,8761 0,4891 0,1166 -0,2340 -0,5573 -0,8379 -1,0454 -1,1471 -1,1343 -1,0328 -0,8895 -0,7565 -0,6783 -0,6768 -0,7382 -0,8176 -0,8661 -0,8645 -0,8334 -0,8036 -0,7794 -0,7363 -0,6446 -0,4964 -0,3116 -0,1237 0,0369 0,1453 0,1790 0,1223 -0,0223 -0,2278 -0,4465 -0,6194 -0,6851 -0,5942 -0,3360 0,0445 0,4682 0,8696 1,2236 1,5390 1,8411 2,1489 2,4494 2,6933 2,8270 2,8331 2,7343 2,5669 2,3636 2,1531 1,9526 1,7614 1,5739 1,4018 1,2760 1,2226 1,2430 1,3230 1,4536 1,6292 1,8245 1,9806 2,0262 1,9189 1,6705 1,3288 0,9372 0,5142 0,0651 -0,3966 -0,8403 -1,2317 -1,5604 -1,8546 -2,1571 -2,4878 -2,8315 -3,1550 -3,4269 -3,6262 -3,7461 -3,7914 -3,7656 -3,6585 -3,4524 -3,1423 -2,7468 -2,3019 -1,8637 -1,5108 -1,3142 -1,2868 -1,3748 -1,5062 -1,6437 -1,7910 -1,9657 -2,1781 -2,4320 -2,7329 -3,0730 -3,4106 -3,6828 -3,8377 -3,8477 -3,7008 -3,3920 -2,9297 -2,3412 -1,6536 -0,8671 0,0415 1,0832 2,2348 3,4475 4,6663 5,8409 6,9293 7,9017 8,7508 9,5017 10,1984 10,8751 11,5346 12,1499 12,6796 13,0862 13,3436 13,4404 13,3845 13,2066 12,9581 12,6999 12,4700 12,2592 12,0351 11,7870 11,5308 11,2718 10,9892 10,6645 10,3051 9,9318 9,5573 9,1878 8,8412 8,5467 8,3177 8,1348 7,9584 7,7566 7,5243 7,2746 7,0141 6,7358 6,4378 6,1353 5,8505 5,6002 5,3999 5,2702 5,2287 5,2682 5,3391 5,3639 5,2831 5,0906 4,8302 4,5584 4,3113 4,1036 3,9502 3,8693 3,8623 3,8990 3,9285 3,9069 3,8189 3,6843 3,5506 3,4799 3,5255 3,6999 3,9584 4,2168 4,3833 4,3819 4,1680 3,7433 3,1597 2,5032 1,8694 1,3494 1,0207 0,9248 1,0397 1,2845 1,5580 1,7780 1,9033 1,9410 1,9348 1,9412 2,0144 2,1991 2,5137 2,9311 3,3797 3,7716 4,0427 4,1754 4,1876 4,1079 3,9694 3,8158 3,6937 3,6319 3,6279 3,6540 3,6699 3,6305 3,4865 3,1975 2,7595 2,2198 1,6594 1,1587 0,7705 0,5106 0,3602 0,2825 0,2515 0,2729 0,3749 0,5754 0,8548 1,1533 1,3933 1,5131 1,4842 1,3078 1,0072 0,6184 0,1721 -0,3159 -0,8374 -1,3846 -1,9441 -2,4854 -2,9520 -3,2725 -3,3881 -3,2783 -2,9716 -2,5418 -2,0854 -1,6861 -1,3884 -1,2004 -1,1165 -1,1290 -1,2207 -1,3577 -1,5016 -1,6234 -1,6966 -1,6796 -1,5218 -1,1990 -0,7432 -0,2341 0,2413 0,6275 0,9138 1,1174 1,2585 1,3424 1,3597 1,2980 1,1564 0,9545 0,7275 0,5066 0,3052 0,1290 0,0008 -0,0322 0,0700 0,3009 0,6036 0,9071 1,1747 1,4314 1,7474 2,1815 2,7262 3,2970 3,7785 4,0835 4,1791 4,0733 3,7870 3,3344 2,7259 1,9921 1,2022 0,4478 -0,2007 -0,7213 -1,1314 -1,4575 -1,7167 -1,9161 -2,0559 -2,1318 -2,1437 -2,1108 -2,0816 -2,1180 -2,2540 -2,4684 -2,6978 -2,8728 -2,9432 -2,8850 -2,7022 -2,4308 -2,1315 -1,8678 -1,6828 -1,5825 -1,5281 -1,4477 -1,2762 -0,9967 -0,6422 -0,2672 0,0732 0,3317 0,4798 0,5164 0,4657 0,3706 0,2880 0,2708 0,3389 0,4720 0,6392 0,8267 1,0384 1,2859 1,5812 1,9278 2,3094 2,6886 3,0143 3,2350 3,3132 3,2354 3,0119 2,6722 2,2614 1,8352 1,4506 1,1534 0,9696 0,8981 0,9063 0,9377 0,9316 0,8474 0,6854 0,4864 0,3052 0,1830 0,1375 0,1652 0,2434 0,3274 0,3580 0,2861 0,0947 -0,1961 -0,5398 -0,8838 -1,1983 -1,4937 -1,8121 -2,1968 -2,6657 -3,2035 -3,7640 -4,2837 -4,7007 -4,9696 -5,0650 -4,9820 -4,7308 -4,3271 -3,7940 -3,1728 -2,5259 -1,9261 -1,4393 -1,1038 -0,9194 -0,8567 -0,8783 -0,9571 -1,0861 -1,2746 -1,5337 -1,8634 -2,2407 -2,6162 -2,9353 -3,1645 -3,2899 -3,2981 -3,1797 -2,9506 -2,6587 -2,3687 -2,1342 -1,9672 -1,8294 -1,6655 -1,4493 -1,1945 -0,9267 -0,6575 -0,3854 -0,1097 0,1572 0,3918 0,5826 0,7478 0,9244 1,1429 1,4007 1,6431 1,7787 1,7313 1,4883 1,1120 0,7116 0,3946 0,2194 0,1742 0,1928 0,1953 0,1224 -0,0481 -0,3037 -0,6054 -0,9021 -1,1456 -1,3070 -1,3886 -1,4194 -1,4365 -1,4673 -1,5235 -1,6063 -1,7152 -1,8478 -2,0003 -2,1775 -2,3949 -2,6628 -2,9779 -3,3306 -3,7087 -4,0979 -4,4844 -4,8553 -5,1940 -5,4802 -5,6950 -5,8250 -5,8577 -5,7783 -5,5807 -5,2783 -4,8940 -4,4484 -3,9744 -3,5236 -3,1362 -2,8063 -2,4903 -2,1463 -1,7683 -1,3893 -1,0476 -0,7465 -0,4568 -0,1556 0,1491 0,4361 0,6960 0,9352 1,1707 1,4299 1,7403 2,1053 2,4917 2,8511 3,1604 3,4430 3,7536 4,1422 4,6210 5,1547 5,6800 6,1353 6,4881 6,7488 6,9556 7,1390 7,2931 7,3706 7,3073 7,0548 6,5919 5,9213 5,0708 4,0928 3,0477 1,9822 0,9272 -0,0866 -1,0210 -1,8367 -2,5048 -3,0176 -3,3970 -3,6958 -3,9909 -4,3682 -4,8927 -5,5816 -6,4030 -7,2905 -8,1626 -8,9437 -9,5829 -10,0626 -10,3909 -10,5865 -10,6701 -10,6625 -10,5844 -10,4581 -10,3067 -10,1457 -9,9776 -9,7970 -9,6062 -9,4244 -9,2753 -9,1678 -9,0949 -9,0533 -9,0539 -9,1137 -9,2468 -9,4632 -9,7605 -10,1064 -10,4322 -10,6510 -10,6927 -10,5386 -10,2286 -9,8409 -9,4546 -9,1162 -8,8285 -8,5698 -8,3207 -8,0734
F7    -1,0279 -0,6952 -0,4623 -0,3846 -0,4483 -0,5911 -0,7385 -0,8301 -0,8335 -0,7550 -0,6415 -0,5562 -0,5391 -0,5828 -0,6448 -0,6777 -0,6560 -0,5827 -0,4785 -0,3639 -0,2509 -0,1450 -0,0472 0,0432 0,1248 0,1992 0,2815 0,4004 0,5799 0,8172 1,0739 1,2844 1,3828 1,3313 1,1341 0,8346 0,5040 0,2193 0,0418 -0,0001 0,0777 0,2197 0,3612 0,4607 0,5024 0,4808 0,3926 0,2430 0,0569 -0,1145 -0,2066 -0,1680 0,0149 0,3086 0,6444 0,9477 1,1675 1,2864 1,3131 1,2701 1,1851 1,0888 1,0056 0,9402 0,8773 0,7988 0,7031 0,6107 0,5485 0,5249 0,5162 0,4766 0,3679 0,1876 -0,0288 -0,2276 -0,3599 -0,4040 -0,3803 -0,3440 -0,3515 -0,4248 -0,5431 -0,6668 -0,7656 -0,8307 -0,8726 -0,9176 -0,9985 -1,1354 -1,3198 -1,5256 -1,7388 -1,9662 -2,2121 -2,4540 -2,6499 -2,7673 -2,7973 -2,7400 -2,5882 -2,3337 -1,9849 -1,5744 -1,1532 -0,7773 -0,4947 -0,3360 -0,3134 -0,4213 -0,6440 -0,9633 -1,3545 -1,7720 -2,1546 -2,4541 -2,6551 -2,7667 -2,7986 -2,7478 -2,6066 -2,3765 -2,0682 -1,6951 -1,2766 -0,8403 -0,4088 0,0139 0,4397 0,8813 1,3448 1,8363 2,3705 2,9691 3,6514 4,4219 5,2577 6,1082 6,9162 7,6456 8,2937 8,8790 9,4117 9,8775 10,2500 10,5131 10,6712 10,7482 10,7869 10,8362 10,9211 11,0172 11,0644 11,0139 10,8649 10,6592 10,4453 10,2510 10,0905 9,9782 9,9161 9,8753 9,8063 9,6718 9,4654 9,2038 8,9115 8,6137 8,3347 8,0966 7,9100 7,7659 7,6406 7,5133 7,3736 7,2139 7,0266 6,8141 6,5938 6,3902 6,2212 6,0879 5,9677 5,8203 5,6111 5,3337 5,0134 4,6886 4,3860 4,1119 3,8653 3,6524 3,4817 3,3500 3,2373 3,1153 2,9633 2,7806 2,5884 2,4232 2,3234 2,3095 2,3659 2,4404 2,4637 2,3792 2,1611 1,8132 1,3610 0,8432 0,3069 -0,1924 -0,5947 -0,8532 -0,9538 -0,9130 -0,7611 -0,5329 -0,2746 -0,0477 0,0889 0,1113 0,0482 -0,0306 -0,0475 0,0470 0,2591 0,5611 0,9074 1,2448 1,5173 1,6775 1,6952 1,5558 1,2588 0,8295 0,3250 -0,1794 -0,6066 -0,8947 -1,0164 -0,9893 -0,8625 -0,6948 -0,5350 -0,4115 -0,3351 -0,3052 -0,3170 -0,3639 -0,4350 -0,5109 -0,5705 -0,6050 -0,6215 -0,6296 -0,6293 -0,6160 -0,5925 -0,5737 -0,5815 -0,6357 -0,7487 -0,9238 -1,1512 -1,4021 -1,6303 -1,7889 -1,8527 -1,8325 -1,7687 -1,7037 -1,6577 -1,6266 -1,5940 -1,5430 -1,4646 -1,3598 -1,2316 -1,0764 -0,8861 -0,6619 -0,4228 -0,1984 -0,0106 0,1429 0,2831 0,4242 0,5571 0,6585 0,7153 0,7387 0,7571 0,7978 0,8700 0,9594 1,0346 1,0630 1,0265 0,9254 0,7730 0,5873 0,3888 0,2058 0,0746 0,0291 0,0881 0,2526 0,5111 0,8462 1,2413 1,6843 2,1599 2,6366 3,0618 3,3755 3,5313 3,5132 3,3393 3,0473 2,6743 2,2461 1,7801 1,2945 0,8087 0,3383 -0,1081 -0,5287 -0,9267 -1,3035 -1,6521 -1,9550 -2,1919 -2,3527 -2,4398 -2,4580 -2,4076 -2,2875 -2,1052 -1,8835 -1,6552 -1,4487 -1,2767 -1,1412 -1,0456 -0,9976 -0,9943 -1,0121 -1,0176 -0,9842 -0,8974 -0,7590 -0,5916 -0,4236 -0,2662 -0,1113 0,0506 0,2171 0,3749 0,5091 0,6155 0,7101 0,8172 0,9509 1,1108 1,2886 1,4723 1,6477 1,8039 1,9457 2,0998 2,3010 2,5615 2,8548 3,1290 3,3362 3,4509 3,4730 3,4238 3,3352 3,2309 3,1112 2,9582 2,7582 2,5190 2,2662 2,0237 1,8034 1,6073 1,4345 1,2840 1,1531 1,0397 0,9487 0,8959 0,9051 1,0029 1,2066 1,4991 1,8035 2,0002 1,9939 1,7639 1,3473 0,7925 0,1436 -0,5489 -1,2241 -1,8176 -2,2710 -2,5464 -2,6399 -2,5775 -2,3989 -2,1490 -1,8729 -1,6039 -1,3523 -1,1110 -0,8711 -0,6332 -0,4104 -0,2274 -0,1115 -0,0746 -0,0989 -0,1457 -0,1849 -0,2134 -0,2492 -0,3153 -0,4203 -0,5438 -0,6460 -0,6970 -0,6983 -0,6778 -0,6682 -0,6830 -0,7066 -0,7062 -0,6573 -0,5595 -0,4319 -0,2946 -0,1559 -0,0134 0,1378 0,3047 0,4986 0,7307 0,9990 1,2905 1,5996 1,9278 2,2637 2,5812 2,8547 3,0605 3,1710 3,1666 3,0562 2,8806 2,6944 2,5436 2,4499 2,4053 2,3812 2,3526 2,3150 2,2731 2,2153 2,1113 1,9396 1,7083 1,4453 1,1748 0,9096 0,6563 0,4194 0,1966 -0,0202 -0,2346 -0,4345 -0,5961 -0,7024 -0,7574 -0,7883 -0,8391 -0,9540 -1,1586 -1,4529 -1,8136 -2,2010 -2,5684 -2,8702 -3,0710 -3,1520 -3,1087 -2,9462 -2,6851 -2,3630 -2,0245 -1,7094 -1,4454 -1,2386 -1,0699 -0,9063 -0,7175 -0,4913 -0,2428 -0,0096 0,1745 0,3074 0,4276 0,5971 0,8678 1,2550 1,7355 2,2647 2,8016 3,3261 3,8378 4,3364 4,8020 5,1986 5,4993 5,7059 5,8445 5,9466 6,0332 6,1158 6,2081 6,3260 6,4767 6,6520 6,8302 6,9810 7,0722 7,0724 6,9545 6,7046 6,3272 5,8373 5,2520 4,5894 3,8690 3,1127 2,3445 1,5854 0,8461 0,1289 -0,5702 -1,2659 -1,9847 -2,7529 -3,5737 -4,4125 -5,2041 -5,8826 -6,4122 -6,7999 -7,0812 -7,2950 -7,4665 -7,6083 -7,7234 -7,8053 -7,8385 -7,8086 -7,7184 -7,5950 -7,4771 -7,3905 -7,3364 -7,3037 -7,2867 -7,2808 -7,2702 -7,2346 -7,1658 -7,0740 -6,9777 -6,8947 -6,8443 -6,8542 -6,9518 -7,1441 -7,4057 -7,6842 -7,9131 -8,0254 -7,9731 -7,7457 -7,3726 -6,9056 -6,3988 -5,8977 -5,4411 -5,0611
