Fp1   4,2873 4,2047 3,9872 3,6595 3,2508 2,7950 2,3261 1,8682 1,4333 1,0230 0,6321 0,2556 -0,1015 -0,4218 -0,6822 -0,8622 -0,9502 -0,9436 -0,8459 -0,6726 -0,4594 -0,2575 -0,1137 -0,0522 -0,0688 -0,1337 -0,2017 -0,2281 -0,1899 -0,0979 0,0128 0,1020 0,1332 0,0822 -0,0508 -0,2383 -0,4431 -0,6371 -0,8090 -0,9609 -1,1050 -1,2586 -1,4347 -1,6350 -1,8527 -2,0783 -2,2990 -2,5005 -2,6695 -2,7975 -2,8836 -2,9401 -2,9902 -3,0548 -3,1416 -3,2450 -3,3471 -3,4241 -3,4615 -3,4616 -3,4422 -3,4299 -3,4467 -3,4926 -3,5373 -3,5337 -3,4426 -3,2480 -2,9578 -2,5971 -2,1990 -1,7981 -1,4282 -1,1196 -0,8954 -0,7685 -0,7366 -0,7789 -0,8615 -0,9520 -1,0339 -1,1107 -1,1977 -1,3091 -1,4474 -1,6027 -1,7596 -1,9056 -2,0359 -2,1558 -2,2778 -2,4126 -2,5632 -2,7242 -2,8828 -3,0187 -3,1117 -3,1533 -3,1502 -3,1166 -3,0670 -3,0171 -2,9853 -2,9882 -3,0324 -3,1092 -3,2024 -3,3063 -3,4349 -3,6147 -3,8758 -4,2418 -4,7178 -5,2813 -5,8847 -6,4670 -6,9704 -7,3513 -7,5823 -7,6499 -7,5529 -7,3031 -6,9207 -6,4253 -5,8246 -5,1106 -4,2651 -3,2712 -2,1252 -0,8440 0,5387 1,9831 3,4496 4,8978 6,2869 7,5854 8,7783 9,8649 10,8504 11,7366 12,5161 13,1677 13,6579 13,9540 14,0418 13,9362 13,6776 13,3203 12,9184 12,5107 12,1119 11,7165 11,3096 10,8768 10,4150 9,9370 9,4656 9,0222 8,6171 8,2466 7,8937 7,5328 7,1397 6,7033 6,2328 5,7541 5,3019 4,9080 4,5824 4,3036 4,0323 3,7318 3,3742 2,9403 2,4266 1,8536 1,2629 0,7001 0,1923 -0,2608 -0,6722 -1,0510 -1,3999 -1,7251 -2,0376 -2,3462 -2,6516 -2,9468 -3,2225 -3,4727 -3,7024 -3,9338 -4,2019 -4,5339 -4,9326 -5,3764 -5,8264 -6,2375 -6,5721 -6,8108 -6,9593 -7,0450 -7,1017 -7,1532 -7,2100 -7,2719 -7,3298 -7,3679 -7,3724 -7,3424 -7,2932 -7,2497 -7,2323 -7,2446 -7,2717 -7,2888 -7,2708 -7,1976 -7,0618 -6,8753 -6,6656 -6,4596 -6,2705 -6,0968 -5,9262 -5,7409 -5,5310 -5,2989 -5,0488 -4,7751 -4,4679 -4,1257 -3,7620 -3,4011 -3,0650 -2,7585 -2,4612 -2,1408 -1,7778 -1,3754 -0,9509 -0,5223 -0,1055 0,2858 0,6439 0,9665 1,2496 1,4843 1,6623 1,7808 1,8409 1,8486 1,8221 1,7881 1,7634 1,7436 1,7104 1,6449 1,5368 1,3887 1,2103 1,0086 0,7858 0,5445 0,2921 0,0417 -0,1865 -0,3670 -0,4778 -0,5133 -0,4890 -0,4359 -0,3929 -0,3955 -0,4595 -0,5743 -0,7154 -0,8598 -0,9895 -1,0868 -1,1354 -1,1283 -1,0650 -0,9402 -0,7414 -0,4624 -0,1166 0,2626 0,6306 0,9465 1,1824 1,3266 1,3847 1,3750 1,3232 1,2606 1,2193 1,2227 1,2756 1,3606 1,4454 1,4996 1,5093 1,4806 1,4328 1,3912 1,3787 1,4139 1,5086 1,6604 1,8470 2,0304 2,1652 2,2113 2,1496 1,9897 1,7680 1,5342 1,3327 1,1893 1,1110 1,0916 1,1168 1,1706 1,2449 1,3460 1,4905 1,6915 1,9470 2,2396 2,5403 2,8085 2,9960 3,0625 2,9934 2,8074 2,5490 2,2727 2,0244 1,8296 1,6898 1,5884 1,4983 1,3871 1,2286 1,0167 0,7674 0,5082 0,2675 0,0679 -0,0828 -0,1934 -0,2843 -0,3780 -0,4871 -0,6075 -0,7223 -0,8135 -0,8702 -0,8931 -0,8921 -0,8844 -0,8903 -0,9218 -0,9674 -0,9958 -0,9751 -0,8841 -0,7100 -0,4514 -0,1251 0,2335 0,5788 0,8686 1,0775 1,2035 1,2668 1,3028 1,3436 1,4008 1,4647 1,5169 1,5389 1,5198 1,4646 1,3958 1,3441 1,3373 1,3933 1,5150 1,6918 1,9105 2,1596 2,4239 2,6846 2,9276 3,1482 3,3497 3,5378 3,7112 3,8598 3,9679 4,0221 4,0200 3,9737 3,9078 3,8495 3,8160 3,8060 3,8019 3,7804 3,7225 3,6208 3,4798 3,3153 3,1507 3,0097 2,9065 2,8379 2,7845 2,7171 2,6047 2,4264 2,1841 1,9061 1,6380 1,4310 1,3259 1,3340 1,4301 1,5666 1,6948 1,7763 1,7892 1,7380 1,6560 1,5891 1,5698 1,6010 1,6624 1,7318 1,8006 1,8708 1,9428 2,0136 2,0859 2,1735 2,2932 2,4500 2,6264 2,7855 2,8884 2,9120 2,8558 2,7367 2,5849 2,4377 2,3307 2,2866 2,3020 2,3474 2,3835 2,3781 2,3136 2,1908 2,0331 1,8849 1,7990 1,8173 1,9599 2,2236 2,5846 3,0075 3,4614 3,9294 4,4060 4,8855 5,3478 5,7533 6,0523 6,1972 6,1505 5,8945 5,4414 4,8369 4,1478 3,4426 2,7753 2,1765 1,6489 1,1752 0,7353 0,3210 -0,0609 -0,3895 -0,6308 -0,7444 -0,6949 -0,4667 -0,0770 0,4243 0,9713 1,5103 2,0243 2,5339 3,0786 3,7001 4,4299 5,2770 6,2231 7,2294 8,2487 9,2390 10,1685 11,0127 11,7533 12,3793 12,8835 13,2544 13,4749 13,5323 13,4270 13,1748 12,8060 12,3627 11,8912 11,4324 11,0126 10,6359 10,2827 9,9212 9,5287 9,1036 8,6631 8,2316 7,8341 7,4959 7,2403 7,0786 6,9993 6,9661 6,9285 6,8416 6,6816 6,4490 6,1636 5,8561 5,5583 5,2936 5,0712 4,8863 4,7222 4,5530 4,3587 4,1423 3,9317 3,7569 3,6249 3,5153 3,3989 3,2578 3,0903 2,9035 2,7083 2,5172 2,3436 2,1964 2,0712 1,9488 1,8036 1,6123 1,3591 1,0380 0,6544 0,2232 -0,2288 -0,6621 -1,0355 -1,3300 -1,5570 -1,7444 -1,9175 -2,0902 -2,2662 -2,4420 -2,6091 -2,7540 -2,8579 -2,8991 -2,8619 -2,7508 -2,5903 -2,4146 -2,2562 -2,1374 -2,0629 -2,0148 -1,9622 -1,8786 -1,7524
Fz    5,1603 5,3191 5,3184 5,1563 4,8453 4,4269 3,9573 3,4767 3,0004 2,5293 2,0613 1,5996 1,1586 0,7624 0,4426 0,2328 0,1567 0,2195 0,4071 0,6784 0,9570 1,1529 1,2018 1,0882 0,8423 0,5287 0,2307 0,0240 -0,0593 -0,0468 -0,0079 -0,0231 -0,1611 -0,4600 -0,9091 -1,4470 -1,9900 -2,4711 -2,8585 -3,1536 -3,3838 -3,5886 -3,8007 -4,0346 -4,2876 -4,5415 -4,7661 -4,9303 -5,0123 -5,0016 -4,8987 -4,7240 -4,5234 -4,3518 -4,2484 -4,2178 -4,2226 -4,2024 -4,1102 -3,9324 -3,6921 -3,4416 -3,2345 -3,0840 -2,9474 -2,7496 -2,4256 -1,9475 -1,3319 -0,6307 0,0936 0,7857 1,3990 1,8912 2,2284 2,3919 2,3855 2,2412 2,0141 1,7624 1,5230 1,2997 1,0693 0,8009 0,4797 0,1165 -0,2634 -0,6409 -1,0117 -1,3834 -1,7628 -2,1444 -2,5124 -2,8474 -3,1291 -3,3362 -3,4502 -3,4661 -3,3998 -3,2794 -3,1329 -2,9857 -2,8644 -2,7939 -2,7872 -2,8341 -2,9129 -3,0204 -3,1835 -3,4428 -3,8347 -4,3809 -5,0738 -5,8685 -6,6956 -7,4836 -8,1749 -8,7349 -9,1509 -9,4205 -9,5384 -9,4976 -9,2998 -8,9593 -8,4898 -7,8800 -7,0891 -6,0715 -4,8087 -3,3264 -1,6854 0,0401 1,7796 3,4665 5,0411 6,4683 7,7477 8,9017 9,9576 10,9318 11,8178 12,5815 13,1666 13,5105 13,5741 13,3686 12,9601 12,4523 11,9595 11,5666 11,2978 11,1214 10,9790 10,8171 10,6113 10,3704 10,1235 9,8990 9,7099 9,5493 9,3945 9,2187 9,0054 8,7595 8,5094 8,3013 8,1889 8,2139 8,3745 8,6151 8,8513 9,0019 8,9973 8,7808 8,3254 7,6623 6,8887 6,1335 5,4969 5,0106 4,6482 4,3622 4,1103 3,8615 3,5930 3,2911 2,9500 2,5647 2,1305 1,6457 1,1034 0,4794 -0,2614 -1,1348 -2,1203 -3,1685 -4,2137 -5,1856 -6,0262 -6,7051 -7,2269 -7,6238 -7,9330 -8,1814 -8,3880 -8,5674 -8,7223 -8,8376 -8,8925 -8,8836 -8,8417 -8,8226 -8,8764 -9,0161 -9,2087 -9,3933 -9,5081 -9,5083 -9,3757 -9,1275 -8,8109 -8,4776 -8,1582 -7,8576 -7,5589 -7,2315 -6,8500 -6,4075 -5,9098 -5,3698 -4,8129 -4,2784 -3,8053 -3,4173 -3,1186 -2,8851 -2,6588 -2,3685 -1,9721 -1,4776 -0,9275 -0,3769 0,1180 0,5135 0,7874 0,9361 0,9629 0,8730 0,6775 0,3998 0,0733 -0,2625 -0,5623 -0,7868 -0,9257 -1,0016 -1,0487 -1,0892 -1,1244 -1,1425 -1,1344 -1,1078 -1,0868 -1,0994 -1,1644 -1,2788 -1,4139 -1,5239 -1,5653 -1,5178 -1,3941 -1,2350 -1,0982 -1,0397 -1,0836 -1,2084 -1,3727 -1,5479 -1,7253 -1,9027 -2,0778 -2,2508 -2,4252 -2,5956 -2,7356 -2,8034 -2,7665 -2,6230 -2,4024 -2,1509 -1,9187 -1,7506 -1,6739 -1,6928 -1,7895 -1,9230 -2,0421 -2,1067 -2,1038 -2,0552 -2,0084 -2,0016 -2,0353 -2,0759 -2,0810 -2,0209 -1,8847 -1,6694 -1,3712 -0,9958 -0,5734 -0,1545 0,2038 0,4551 0,5849 0,6217 0,6235 0,6554 0,7688 0,9860 1,2919 1,6398 1,9742 2,2582 2,4914 2,7068 2,9512 3,2593 3,6366 4,0582 4,4754 4,8163 4,9930 4,9341 4,6251 4,1209 3,5265 2,9550 2,4838 2,1346 1,8880 1,7100 1,5629 1,4061 1,2055 0,9482 0,6402 0,3033 -0,0253 -0,3047 -0,5152 -0,6667 -0,7916 -0,9304 -1,1093 -1,3227 -1,5372 -1,7068 -1,7897 -1,7657 -1,6471 -1,4789 -1,3213 -1,2151 -1,1519 -1,0796 -0,9352 -0,6673 -0,2495 0,3024 0,9239 1,5210 1,9976 2,2839 2,3621 2,2700 2,0823 1,8846 1,7456 1,6902 1,6988 1,7261 1,7202 1,6435 1,4917 1,2925 1,0891 0,9240 0,8247 0,7894 0,7938 0,8159 0,8484 0,8911 0,9499 1,0420 1,1937 1,4312 1,7704 2,2016 2,6826 3,1471 3,5328 3,8133 4,0077 4,1682 4,3522 4,5953 4,8987 5,2324 5,5458 5,7869 5,9167 5,9121 5,7660 5,4940 5,1323 4,7224 4,2951 3,8593 3,4053 2,9179 2,3921 1,8438 1,3090 0,8339 0,4674 0,2456 0,1693 0,2027 0,2917 0,3779 0,4015 0,3148 0,1112 -0,1607 -0,4193 -0,5941 -0,6607 -0,6398 -0,5667 -0,4629 -0,3327 -0,1770 0,0003 0,2012 0,4381 0,7262 1,0645 1,4160 1,7103 1,8758 1,8751 1,7138 1,4293 1,0834 0,7541 0,5162 0,4116 0,4291 0,5137 0,5992 0,6284 0,5564 0,3608 0,0638 -0,2612 -0,5159 -0,6173 -0,5215 -0,2314 0,2059 0,7212 1,2591 1,7977 2,3444 2,9132 3,4995 4,0717 4,5773 4,9473 5,1081 5,0062 4,6315 4,0243 3,2622 2,4322 1,6078 0,8388 0,1471 -0,4710 -1,0322 -1,5543 -2,0475 -2,4966 -2,8511 -3,0411 -3,0058 -2,7163 -2,1917 -1,5040 -0,7554 -0,0348 0,6179 1,2153 1,7986 2,4191 3,1233 3,9296 4,8130 5,7125 6,5557 7,2906 7,9063 8,4284 8,8982 9,3484 9,7857 10,1884 10,5158 10,7224 10,7704 10,6399 10,3378 9,9041 9,4054 8,9150 8,4888 8,1448 7,8540 7,5589 7,2086 6,7811 6,2821 5,7349 5,1792 4,6732 4,2772 4,0234 3,8993 3,8510 3,8015 3,6781 3,4407 3,0959 2,6882 2,2762 1,9084 1,6064 1,3614 1,1430 0,9050 0,5963 0,1867 -0,3033 -0,8040 -1,2348 -1,5512 -1,7562 -1,8728 -1,9174 -1,9035 -1,8592 -1,8280 -1,8490 -1,9294 -2,0430 -2,1560 -2,2501 -2,3280 -2,4085 -2,5176 -2,6809 -2,9189 -3,2408 -3,6325 -4,0469 -4,4187 -4,7018 -4,8957 -5,0365 -5,1710 -5,3344 -5,5368 -5,7597 -5,9604 -6,0875 -6,1019 -5,9914 -5,7768 -5,5098 -5,2571 -5,0796 -5,0184 -5,0869 -5,2658 -5,5005 -5,7151 -5,8444 -5,8547
F3    4,0743 4,0700 3,9653 3,7624 3,4688 3,1041 2,6964 2,2703 1,8422 1,4238 1,0256 0,6599 0,3417 0,0861 -0,0911 -0,1735 -0,1513 -0,0271 0,1834 0,4476 0,7146 0,9271 1,0432 1,0496 0,9622 0,8191 0,6698 0,5585 0,5029 0,4850 0,4631 0,3928 0,2391 -0,0162 -0,3630 -0,7628 -1,1668 -1,5383 -1,8603 -2,1329 -2,3688 -2,5897 -2,8152 -3,0549 -3,3068 -3,5607 -3,8012 -4,0111 -4,1752 -4,2818 -4,3240 -4,3074 -4,2552 -4,1989 -4,1625 -4,1494 -4,1381 -4,0949 -3,9979 -3,8492 -3,6710 -3,4965 -3,3531 -3,2438 -3,1406 -2,9993 -2,7837 -2,4777 -2,0869 -1,6338 -1,1518 -0,6779 -0,2502 0,0959 0,3339 0,4517 0,4553 0,3697 0,2339 0,0859 -0,0527 -0,1835 -0,3258 -0,5042 -0,7339 -1,0113 -1,3199 -1,6430 -1,9708 -2,3005 -2,6322 -2,9624 -3,2814 -3,5759 -3,8298 -4,0239 -4,1385 -4,1614 -4,0967 -3,9625 -3,7827 -3,5860 -3,4075 -3,2815 -3,2283 -3,2460 -3,3224 -3,4547 -3,6557 -3,9431 -4,3313 -4,8273 -5,4216 -6,0794 -6,7467 -7,3675 -7,8994 -8,3199 -8,6207 -8,7969 -8,8426 -8,7535 -8,5314 -8,1833 -7,7119 -7,1027 -6,3239 -5,3446 -4,1561 -2,7803 -1,2656 0,3264 1,9342 3,5020 4,9842 6,3533 7,6043 8,7475 9,7951 10,7505 11,5993 12,3071 12,8255 13,1077 13,1296 12,9043 12,4821 11,9399 11,3617 10,8131 10,3244 9,8941 9,5047 9,1376 8,7833 8,4445 8,1302 7,8479 7,5984 7,3737 7,1592 6,9388 6,7022 6,4509 6,2022 5,9837 5,8271 5,7583 5,7786 5,8536 5,9268 5,9428 5,8551 5,6272 5,2425 4,7201 4,1174 3,5109 2,9617 2,4936 2,0999 1,7642 1,4705 1,2014 0,9368 0,6602 0,3629 0,0416 -0,3035 -0,6684 -1,0544 -1,4791 -1,9733 -2,5581 -3,2289 -3,9579 -4,7024 -5,4131 -6,0471 -6,5807 -7,0146 -7,3665 -7,6573 -7,9011 -8,1072 -8,2830 -8,4314 -8,5467 -8,6190 -8,6454 -8,6398 -8,6282 -8,6337 -8,6618 -8,6996 -8,7228 -8,7052 -8,6247 -8,4706 -8,2510 -7,9901 -7,7149 -7,4427 -7,1789 -6,9177 -6,6455 -6,3489 -6,0185 -5,6443 -5,2169 -4,7376 -4,2277 -3,7220 -3,2531 -2,8387 -2,4729 -2,1239 -1,7503 -1,3281 -0,8652 -0,3899 0,0657 0,4713 0,8024 1,0468 1,2036 1,2765 1,2709 1,1985 1,0814 0,9462 0,8187 0,7250 0,6862 0,7048 0,7610 0,8275 0,8859 0,9334 0,9785 1,0277 1,0757 1,1065 1,1028 1,0524 0,9552 0,8263 0,6944 0,5938 0,5503 0,5726 0,6499 0,7532 0,8439 0,8923 0,8907 0,8464 0,7672 0,6602 0,5375 0,4155 0,3082 0,2254 0,1792 0,1880 0,2695 0,4265 0,6398 0,8731 1,0868 1,2495 1,3443 1,3726 1,3486 1,2924 1,2279 1,1796 1,1650 1,1874 1,2307 1,2635 1,2586 1,2093 1,1307 1,0501 0,9961 0,9902 1,0467 1,1737 1,3669 1,6028 1,8416 2,0365 2,1454 2,1473 2,0541 1,9052 1,7524 1,6440 1,6137 1,6736 1,8118 1,9992 2,2058 2,4170 2,6375 2,8827 3,1639 3,4786 3,8071 4,1151 4,3557 4,4758 4,4331 4,2184 3,8647 3,4366 3,0036 2,6155 2,2912 2,0243 1,7983 1,5924 1,3814 1,1407 0,8597 0,5462 0,2215 -0,0860 -0,3509 -0,5626 -0,7267 -0,8600 -0,9846 -1,1162 -1,2533 -1,3770 -1,4624 -1,4904 -1,4574 -1,3784 -1,2822 -1,1993 -1,1457 -1,1109 -1,0619 -0,9618 -0,7805 -0,5005 -0,1250 0,3127 0,7552 1,1381 1,4107 1,5510 1,5677 1,4940 1,3778 1,2635 1,1718 1,0969 1,0189 0,9154 0,7713 0,5893 0,3927 0,2185 0,1037 0,0695 0,1113 0,2061 0,3330 0,4808 0,6413 0,8070 0,9777 1,1616 1,3712 1,6157 1,8911 2,1773 2,4427 2,6600 2,8207 2,9386 3,0406 3,1556 3,3022 3,4804 3,6691 3,8314 3,9286 3,9356 3,8466 3,6737 3,4440 3,1920 2,9448 2,7119 2,4840 2,2398 1,9557 1,6180 1,2361 0,8440 0,4880 0,2151 0,0605 0,0312 0,1011 0,2260 0,3586 0,4535 0,4761 0,4183 0,3070 0,1930 0,1249 0,1260 0,1886 0,2898 0,4098 0,5384 0,6690 0,7977 0,9306 1,0853 1,2805 1,5187 1,7763 2,0076 2,1662 2,2260 2,1865 2,0666 1,9002 1,7303 1,5993 1,5358 1,5409 1,5873 1,6337 1,6415 1,5824 1,4461 1,2496 1,0411 0,8879 0,8517 0,9689 1,2416 1,6381 2,1075 2,6019 3,0906 3,5605 4,0061 4,4140 4,7567 4,9979 5,1004 5,0317 4,7717 4,3213 3,7097 2,9922 2,2361 1,5030 0,8342 0,2429 -0,2814 -0,7597 -1,2118 -1,6483 -2,0595 -2,4081 -2,6384 -2,6968 -2,5539 -2,2193 -1,7406 -1,1858 -0,6119 -0,0394 0,5482 1,1840 1,9030 2,7312 3,6714 4,6941 5,7437 6,7565 7,6799 8,4851 9,1649 9,7289 10,1950 10,5753 10,8655 11,0482 11,1062 11,0349 10,8446 10,5575 10,2040 9,8182 9,4315 9,0641 8,7160 8,3649 7,9773 7,5302 7,0229 6,4736 5,9105 5,3679 4,8861 4,5017 4,2299 4,0566 3,9398 3,8217 3,6495 3,3973 3,0728 2,7080 2,3413 2,0043 1,7131 1,4678 1,2536 1,0387 0,7796 0,4472 0,0537 -0,3491 -0,7005 -0,9671 -1,1547 -1,2887 -1,3913 -1,4760 -1,5517 -1,6250 -1,6984 -1,7660 -1,8183 -1,8549 -1,8892 -1,9407 -2,0271 -2,1604 -2,3444 -2,5740 -2,8361 -3,1110 -3,3703 -3,5818 -3,7296 -3,8250 -3,8981 -3,9806 -4,0937 -4,2429 -4,4171 -4,5892 -4,7243 -4,7927 -4,7774 -4,6761 -4,5046 -4,2945 -4,0845 -3,9090 -3,7895 -3,7280 -3,7013 -3,6686 -3,5931 -3,4576
F7    3,4297 3,3206 3,1339 2,8716 2,5466 2,1776 1,7809 1,3703 0,9623 0,5781 0,2384 -0,0404 -0,2470 -0,3725 -0,4094 -0,3586 -0,2358 -0,0671 0,1208 0,3027 0,4560 0,5656 0,6293 0,6537 0,6479 0,6216 0,5861 0,5503 0,5147 0,4692 0,4000 0,2985 0,1631 -0,0026 -0,1891 -0,3832 -0,5749 -0,7647 -0,9596 -1,1636 -1,3725 -1,5799 -1,7842 -1,9891 -2,2013 -2,4273 -2,6713 -2,9322 -3,2016 -3,4615 -3,6859 -3,8513 -3,9505 -3,9946 -4,0042 -3,9984 -3,9869 -3,9701 -3,9470 -3,9208 -3,8972 -3,8801 -3,8673 -3,8493 -3,8111 -3,7389 -3,6250 -3,4672 -3,2677 -3,0308 -2,7631 -2,4745 -2,1791 -1,8970 -1,6501 -1,4555 -1,3205 -1,2418 -1,2073 -1,2039 -1,2247 -1,2698 -1,3444 -1,4594 -1,6269 -1,8504 -2,1176 -2,4065 -2,6960 -2,9733 -3,2338 -3,4770 -3,7007 -3,8986 -4,0603 -4,1744 -4,2319 -4,2318 -4,1825 -4,0993 -3,9968 -3,8877 -3,7862 -3,7078 -3,6619 -3,6483 -3,6658 -3,7238 -3,8382 -4,0190 -4,2648 -4,5680 -4,9191 -5,3037 -5,6985 -6,0733 -6,3965 -6,6397 -6,7804 -6,8041 -6,7072 -6,4981 -6,1891 -5,7852 -5,2779 -4,6478 -3,8742 -2,9462 -1,8695 -0,6673 0,6232 1,9605 3,3094 4,6398 5,9204 7,1210 8,2220 9,2185 10,1155 10,9181 11,6212 12,2036 12,6321 12,8766 12,9232 12,7786 12,4691 12,0370 11,5312 10,9934 10,4516 9,9248 9,4314 8,9902 8,6120 8,2926 8,0135 7,7502 7,4804 7,1859 6,8529 6,4731 6,0487 5,5961 5,1443 4,7232 4,3531 4,0411 3,7773 3,5310 3,2632 2,9461 2,5655 2,1144 1,5943 1,0219 0,4274 -0,1578 -0,7148 -1,2405 -1,7353 -2,1938 -2,6066 -2,9693 -3,2887 -3,5816 -3,8657 -4,1521 -4,4391 -4,7135 -4,9615 -5,1842 -5,4011 -5,6379 -5,9129 -6,2329 -6,5906 -6,9643 -7,3238 -7,6444 -7,9190 -8,1558 -8,3649 -8,5465 -8,6908 -8,7822 -8,8056 -8,7552 -8,6385 -8,4740 -8,2873 -8,1045 -7,9430 -7,8064 -7,6880 -7,5738 -7,4435 -7,2744 -7,0516 -6,7775 -6,4697 -6,1497 -5,8315 -5,5181 -5,2041 -4,8847 -4,5639 -4,2495 -3,9388 -3,6139 -3,2551 -2,8567 -2,4301 -1,9947 -1,5672 -1,1528 -0,7410 -0,3140 0,1363 0,6007 1,0624 1,5083 1,9288 2,3174 2,6718 2,9905 3,2654 3,4849 3,6461 3,7617 3,8543 3,9461 4,0532 4,1824 4,3262 4,4633 4,5658 4,6095 4,5841 4,4971 4,3648 4,2007 4,0128 3,8088 3,5977 3,3870 3,1810 2,9837 2,8034 2,6508 2,5333 2,4509 2,3936 2,3432 2,2830 2,2084 2,1270 2,0512 1,9913 1,9540 1,9424 1,9613 2,0231 2,1473 2,3485 2,6224 2,9415 3,2614 3,5337 3,7216 3,8117 3,8189 3,7850 3,7627 3,7899 3,8755 4,0015 4,1384 4,2607 4,3500 4,3902 4,3700 4,2922 4,1780 4,0571 3,9531 3,8756 3,8263 3,8051 3,8090 3,8272 3,8392 3,8148 3,7193 3,5285 3,2431 2,8895 2,5084 2,1439 1,8390 1,6286 1,5306 1,5415 1,6441 1,8155 2,0319 2,2686 2,5009 2,7081 2,8775 3,0033 3,0817 3,1084 3,0783 2,9892 2,8485 2,6735 2,4819 2,2829 2,0794 1,8737 1,6708 1,4751 1,2822 1,0786 0,8517 0,5981 0,3239 0,0395 -0,2451 -0,5211 -0,7805 -1,0170 -1,2280 -1,4104 -1,5568 -1,6558 -1,7005 -1,6952 -1,6578 -1,6148 -1,5904 -1,5965 -1,6296 -1,6711 -1,6956 -1,6834 -1,6258 -1,5202 -1,3652 -1,1637 -0,9292 -0,6826 -0,4438 -0,2279 -0,0491 0,0815 0,1639 0,2075 0,2163 0,1850 0,1082 -0,0110 -0,1613 -0,3239 -0,4716 -0,5732 -0,6035 -0,5532 -0,4331 -0,2665 -0,0741 0,1322 0,3436 0,5531 0,7577 0,9564 1,1489 1,3316 1,4935 1,6186 1,6955 1,7254 1,7217 1,7028 1,6840 1,6762 1,6830 1,6993 1,7129 1,7087 1,6752 1,6131 1,5353 1,4603 1,4045 1,3751 1,3646 1,3506 1,3029 1,1963 1,0202 0,7844 0,5207 0,2725 0,0758 -0,0508 -0,1039 -0,0933 -0,0389 0,0376 0,1208 0,2012 0,2705 0,3225 0,3603 0,3986 0,4552 0,5370 0,6379 0,7496 0,8714 1,0081 1,1600 1,3208 1,4862 1,6564 1,8312 2,0044 2,1657 2,3051 2,4171 2,5012 2,5575 2,5855 2,5870 2,5690 2,5443 2,5291 2,5343 2,5561 2,5766 2,5758 2,5441 2,4860 2,4183 2,3684 2,3673 2,4379 2,5868 2,8054 3,0777 3,3896 3,7313 4,0910 4,4517 4,7924 5,0882 5,3091 5,4235 5,4075 5,2505 4,9546 4,5322 4,0094 3,4260 2,8239 2,2361 1,6826 1,1688 0,6863 0,2222 -0,2289 -0,6579 -1,0427 -1,3535 -1,5580 -1,6274 -1,5437 -1,3044 -0,9252 -0,4382 0,1205 0,7294 1,3865 2,0988 2,8737 3,7140 4,6115 5,5457 6,4902 7,4189 8,3060 9,1257 9,8546 10,4794 10,9970 11,4011 11,6707 11,7787 11,7132 11,4908 11,1525 10,7493 10,3270 9,9170 9,5335 9,1748 8,8263 8,4657 8,0715 7,6340 7,1618 6,6796 6,2194 5,8115 5,4798 5,2372 5,0828 5,0031 4,9746 4,9652 4,9426 4,8821 4,7720 4,6130 4,4122 4,1773 3,9169 3,6443 3,3776 3,1269 2,8856 2,6443 2,4115 2,2104 2,0569 1,9386 1,8180 1,6585 1,4492 1,2076 0,9666 0,7600 0,6107 0,5230 0,4789 0,4412 0,3688 0,2374 0,0441 -0,2020 -0,4849 -0,7816 -1,0661 -1,3181 -1,5270 -1,6922 -1,8227 -1,9333 -2,0371 -2,1408 -2,2464 -2,3552 -2,4689 -2,5868 -2,7027 -2,8054 -2,8803 -2,9117 -2,8873 -2,8050 -2,6732 -2,5079 -2,3263 -2,1410 -1,9546 -1,7659 -1,5810 -1,4118
