Fp1   0,4085 0,9305 1,4042 1,7167 1,8205 1,7490 1,6060 1,5026 1,4820 1,5135 1,5389 1,5090 1,4022 1,2296 1,0203 0,7962 0,5670 0,3434 0,1448 -0,0105 -0,1189 -0,1962 -0,2723 -0,3792 -0,5404 -0,7669 -1,0495 -1,3440 -1,5727 -1,6599 -1,5799 -1,3697 -1,0971 -0,8267 -0,6111 -0,4886 -0,4745 -0,5519 -0,6704 -0,7671 -0,8050 -0,7865 -0,7386 -0,6972 -0,6909 -0,7139 -0,7164 -0,6345 -0,4326 -0,1217 0,2521 0,6319 0,9710 1,2380 1,4112 1,4796 1,4557 1,3732 1,2705 1,1770 1,1034 1,0435 0,9950 0,9680 0,9678 0,9859 1,0115 1,0367 1,0484 1,0285 0,9637 0,8498 0,6883 0,4899 0,2787 0,0883 -0,0515 -0,1268 -0,1352 -0,0755 0,0510 0,2315 0,4388 0,6364 0,7949 0,9140 1,0217 1,1477 1,3000 1,4702 1,6500 1,8341 2,0064 2,1357 2,1995 2,2115 2,2206 2,2805 2,4147 2,5928 2,7384 2,7632 2,6089 2,2746 1,8126 1,3015 0,8178 0,4207 0,1447 -0,0033 -0,0419 -0,0108 0,0401 0,0686 0,0572 0,0121 -0,0546 -0,1347 -0,2215 -0,3140 -0,4246 -0,5672 -0,7378 -0,9212 -1,1149 -1,3258 -1,5383 -1,7075 -1,7880 -1,7631 -1,6487 -1,4773 -1,2805 -1,0862 -0,9208 -0,7958 -0,6932 -0,5740 -0,4065 -0,1917 0,0320 0,2109 0,3141 0,3536 0,3703 0,4023 0,4658 0,5566 0,6606 0,7608 0,8401 0,8867 0,9033 0,9076 0,9199 0,9517 1,0040 1,0730 1,1515 1,2277 1,2847 1,3028 1,2640 1,1594 0,9932 0,7824 0,5580 0,3676 0,2627 0,2748 0,3978 0,5899 0,7922 0,9502 1,0332 1,0459 1,0219 0,9944 0,9705 0,9362 0,8808 0,8043 0,7052 0,5720 0,3924 0,1696 -0,0754 -0,3157 -0,5325 -0,7295 -0,9374 -1,1951 -1,5233 -1,9127 -2,3305 -2,7279 -3,0445 -3,2204 -3,2157 -3,0260 -2,6859 -2,2588 -1,8174 -1,4305 -1,1579 -1,0409 -1,0857 -1,2555 -1,4841 -1,7027 -1,8619 -1,9411 -1,9553 -1,9469 -1,9564 -1,9957 -2,0517 -2,1032 -2,1302 -2,1156 -2,0529 -1,9552 -1,8557 -1,7924 -1,7900 -1,8482 -1,9375 -2,0091 -2,0258 -1,9888 -1,9329 -1,8961 -1,8927 -1,9099 -1,9243 -1,9139 -1,8606 -1,7542 -1,6056 -1,4499 -1,3299 -1,2777 -1,3141 -1,4566 -1,7113 -2,0522 -2,4172 -2,7325 -2,9462 -3,0442 -3,0448 -2,9897 -2,9337 -2,9270 -2,9936 -3,1168 -3,2417 -3,3017 -3,2526 -3,0953 -2,8795 -2,6835 -2,5834 -2,6292 -2,8299 -3,1501 -3,5277 -3,9005 -4,2183 -4,4426 -4,5504 -4,5406 -4,4315 -4,2577 -4,0656 -3,8895 -3,7271 -3,5466 -3,3213 -3,0534 -2,7665 -2,4801 -2,1975 -1,9198 -1,6634 -1,4542 -1,3133 -1,2532 -1,2796 -1,3865 -1,5571 -1,7726 -2,0194 -2,2914 -2,5847 -2,8867 -3,1721 -3,4102 -3,5758 -3,6527 -3,6395 -3,5613 -3,4680 -3,4030 -3,3731 -3,3465 -3,2794 -3,1498 -2,9672 -2,7561 -2,5373 -2,3224 -2,1168 -1,9277 -1,7682 -1,6458 -1,5476 -1,4458 -1,3197 -1,1709 -1,0200 -0,8896 -0,7896 -0,7206 -0,6857 -0,6906 -0,7317 -0,7878 -0,8268 -0,8234 -0,7729 -0,6929 -0,6112 -0,5470 -0,4987 -0,4425 -0,3468 -0,1931 0,0128 0,2428 0,4515 0,5916 0,6388 0,6038 0,5243 0,4501 0,4284 0,4869 0,6194 0,7892 0,9500 1,0667 1,1239 1,1254 1,0870 1,0247 0,9493 0,8692 0,7914 0,7158 0,6386 0,5606 0,4853 0,4142 0,3510 0,3098 0,3172 0,4082 0,6109 0,9224 1,2966 1,6598 1,9439 2,1153 2,1824 2,1846 2,1711 2,1750 2,1984 2,2211 2,2180 2,1634 2,0388 1,8461 1,6071 1,3483 1,0991 0,8968 0,7793 0,7652 0,8391 0,9619 1,1051 1,2661 1,4529 1,6730 1,9353 2,2419 2,5731 2,8851 3,1291 3,2764 3,3328 3,3330 3,3238 3,3519 3,4586 3,6657 3,9619 4,3029 4,6264 4,8707 4,9938 4,9834 4,8580 4,6590 4,4307 4,2001 3,9751 3,7505 3,5091 3,2245 2,8821 2,5033 2,1418 1,8499 1,6487 1,5296 1,4773 1,4782 1,5131 1,5577 1,5949 1,6269 1,6801 1,7978 2,0169 2,3465 2,7646 3,2261 3,6670 4,0119 4,1987 4,2116 4,0915 3,9144 3,7523 3,6435 3,5885 3,5644 3,5403 3,4885 3,3894 3,2344 3,0319 2,8132 2,6229 2,4971 2,4493 2,4717 2,5438 2,6349 2,7089 2,7366 2,7068 2,6286 2,5279 2,4393 2,3953 2,4154 2,4958 2,6019 2,6812 2,6880 2,6034 2,4414 2,2373 2,0237 1,8115 1,5960 1,3775 1,1716 1,0004 0,8819 0,8322 0,8707 1,0126 1,2498 1,5416 1,8277 2,0467 2,1447 2,0844 1,8660 1,5356 1,1648 0,8250 0,5704 0,4238 0,3677 0,3549 0,3373 0,2875 0,1994 0,0773 -0,0630 -0,1899 -0,2701 -0,2910 -0,2681 -0,2336 -0,2233 -0,2637 -0,3635 -0,5097 -0,6717 -0,8137 -0,9073 -0,9417 -0,9261 -0,8875 -0,8579 -0,8508 -0,8447 -0,7958 -0,6706 -0,4666 -0,2107 0,0547 0,2872 0,4531 0,5354 0,5476 0,5327 0,5360 0,5806 0,6738 0,8180 0,9976 1,1652 1,2580 1,2292 1,0644 0,7750 0,3866 -0,0587 -0,4990 -0,8627 -1,0971 -1,1967 -1,2053 -1,1883 -1,2020 -1,2781 -1,4148 -1,5707 -1,6797 -1,6929 -1,6115 -1,4801 -1,3536 -1,2725 -1,2577 -1,3102 -1,4074 -1,5069 -1,5605 -1,5296 -1,4062 -1,2294 -1,0736 -1,0114 -1,0814 -1,2788 -1,5657 -1,8929 -2,2111 -2,4719 -2,6332 -2,6720 -2,5973 -2,4517 -2,2936 -2,1641 -2,0672 -1,9828 -1,8915 -1,7845 -1,6595 -1,5220 -1,3881 -1,2771 -1,2021 -1,1688 -1,1693 -1,1747 -1,1466 -1,0629 -0,9293 -0,7714
Fz    2,2589 2,7358 3,1490 3,3736 3,3353 3,0405 2,5835 2,0959 1,6688 1,3277 1,0577 0,8296 0,6222 0,4348 0,2745 0,1328 -0,0132 -0,1774 -0,3488 -0,5009 -0,6121 -0,6775 -0,7099 -0,7374 -0,7985 -0,9305 -1,1458 -1,4083 -1,6363 -1,7466 -1,7043 -1,5339 -1,2931 -1,0477 -0,8578 -0,7631 -0,7718 -0,8604 -0,9773 -1,0590 -1,0620 -0,9870 -0,8712 -0,7653 -0,7059 -0,6874 -0,6590 -0,5544 -0,3304 0,0132 0,4391 0,8922 1,3162 1,6600 1,8804 1,9541 1,8950 1,7526 1,5868 1,4388 1,3192 1,2228 1,1542 1,1310 1,1614 1,2306 1,3103 1,3703 1,3801 1,3148 1,1674 0,9494 0,6793 0,3755 0,0584 -0,2460 -0,5100 -0,7125 -0,8376 -0,8651 -0,7797 -0,5881 -0,3206 -0,0209 0,2666 0,5150 0,7214 0,8935 1,0382 1,1702 1,3185 1,5069 1,7264 1,9315 2,0710 2,1302 2,1467 2,1874 2,2996 2,4734 2,6415 2,7159 2,6340 2,3855 2,0051 1,5502 1,0861 0,6765 0,3748 0,2063 0,1558 0,1769 0,2205 0,2579 0,2884 0,3248 0,3698 0,4101 0,4305 0,4185 0,3544 0,2171 0,0061 -0,2574 -0,5568 -0,8857 -1,2228 -1,5193 -1,7181 -1,7852 -1,7295 -1,5911 -1,4114 -1,2206 -1,0425 -0,8876 -0,7422 -0,5782 -0,3738 -0,1266 0,1394 0,3808 0,5645 0,6938 0,8018 0,9215 1,0632 1,2170 1,3680 1,5034 1,6106 1,6825 1,7312 1,7854 1,8663 1,9704 2,0779 2,1685 2,2293 2,2571 2,2540 2,2210 2,1577 2,0654 1,9539 1,8440 1,7695 1,7728 1,8866 2,1130 2,4168 2,7406 3,0282 3,2388 3,3512 3,3685 3,3146 3,2155 3,0841 2,9260 2,7480 2,5563 2,3546 2,1457 1,9352 1,7335 1,5518 1,3963 1,2628 1,1244 0,9282 0,6221 0,1913 -0,3299 -0,8760 -1,3723 -1,7486 -1,9476 -1,9363 -1,7153 -1,3256 -0,8414 -0,3448 0,0930 0,4157 0,5871 0,6024 0,4926 0,3134 0,1255 -0,0235 -0,1092 -0,1377 -0,1462 -0,1792 -0,2546 -0,3537 -0,4418 -0,4884 -0,4788 -0,4224 -0,3536 -0,3177 -0,3510 -0,4680 -0,6568 -0,8766 -1,0627 -1,1565 -1,1417 -1,0520 -0,9466 -0,8712 -0,8374 -0,8277 -0,8107 -0,7537 -0,6379 -0,4725 -0,2952 -0,1560 -0,0958 -0,1423 -0,3139 -0,6092 -0,9899 -1,3834 -1,7118 -1,9242 -2,0130 -2,0105 -1,9718 -1,9470 -1,9566 -1,9864 -1,9976 -1,9409 -1,7785 -1,5069 -1,1669 -0,8343 -0,5938 -0,5101 -0,6135 -0,8926 -1,2975 -1,7637 -2,2372 -2,6748 -3,0363 -3,2938 -3,4420 -3,4938 -3,4713 -3,4005 -3,2971 -3,1489 -2,9202 -2,5842 -2,1516 -1,6655 -1,1709 -0,6954 -0,2595 0,1061 0,3671 0,5068 0,5301 0,4513 0,2887 0,0616 -0,2184 -0,5503 -0,9359 -1,3693 -1,8284 -2,2736 -2,6594 -2,9544 -3,1485 -3,2487 -3,2794 -3,2820 -3,2959 -3,3314 -3,3600 -3,3398 -3,2560 -3,1329 -3,0056 -2,8932 -2,7964 -2,7086 -2,6310 -2,5742 -2,5410 -2,5093 -2,4411 -2,3098 -2,1217 -1,9096 -1,7072 -1,5307 -1,3885 -1,2969 -1,2794 -1,3478 -1,4822 -1,6329 -1,7477 -1,8042 -1,8181 -1,8201 -1,8252 -1,8193 -1,7674 -1,6381 -1,4249 -1,1489 -0,8495 -0,5779 -0,3840 -0,2929 -0,2905 -0,3261 -0,3297 -0,2387 -0,0294 0,2712 0,6001 0,8878 1,0829 1,1669 1,1547 1,0829 0,9892 0,8959 0,8115 0,7368 0,6646 0,5859 0,5008 0,4216 0,3657 0,3502 0,3886 0,4913 0,6741 0,9555 1,3350 1,7708 2,1825 2,4872 2,6473 2,6899 2,6829 2,6905 2,7384 2,8053 2,8472 2,8278 2,7226 2,5150 2,2085 1,8337 1,4390 1,0827 0,8242 0,7102 0,7580 0,9452 1,2196 1,5315 1,8542 2,1767 2,4990 2,8336 3,1901 3,5529 3,8765 4,1051 4,2020 4,1702 4,0517 3,9116 3,8221 3,8475 4,0221 4,3356 4,7364 5,1465 5,4848 5,6919 5,7448 5,6571 5,4715 5,2393 4,9981 4,7656 4,5427 4,3094 4,0273 3,6680 3,2416 2,7924 2,3684 1,9958 1,6816 1,4335 1,2628 1,1680 1,1354 1,1563 1,2381 1,4019 1,6730 2,0613 2,5432 3,0671 3,5724 4,0012 4,2992 4,4293 4,3935 4,2412 4,0517 3,9000 3,8287 3,8387 3,8949 3,9436 3,9354 3,8420 3,6579 3,3970 3,0886 2,7741 2,4967 2,2897 2,1679 2,1231 2,1251 2,1326 2,1131 2,0590 1,9888 1,9351 1,9279 1,9839 2,1022 2,2601 2,4146 2,5166 2,5330 2,4606 2,3273 2,1733 2,0222 1,8701 1,6985 1,4982 1,2835 1,0884 0,9516 0,9109 1,0010 1,2425 1,6183 2,0652 2,4944 2,8194 2,9728 2,9229 2,6913 2,3452 1,9634 1,6103 1,3286 1,1342 1,0117 0,9222 0,8266 0,7017 0,5367 0,3281 0,0898 -0,1374 -0,3046 -0,3860 -0,3917 -0,3609 -0,3431 -0,3755 -0,4667 -0,5950 -0,7202 -0,8017 -0,8129 -0,7477 -0,6203 -0,4646 -0,3245 -0,2268 -0,1571 -0,0694 0,0820 0,3181 0,6282 0,9733 1,2989 1,5514 1,6953 1,7326 1,7057 1,6703 1,6637 1,7012 1,7829 1,8847 1,9516 1,9175 1,7366 1,4023 0,9460 0,4214 -0,1105 -0,5857 -0,9418 -1,1382 -1,1838 -1,1377 -1,0799 -1,0776 -1,1652 -1,3344 -1,5335 -1,6892 -1,7480 -1,7085 -1,6144 -1,5208 -1,4645 -1,4555 -1,4795 -1,5026 -1,4808 -1,3746 -1,1635 -0,8622 -0,5352 -0,2824 -0,1961 -0,3199 -0,6338 -1,0733 -1,5617 -2,0266 -2,4007 -2,6261 -2,6675 -2,5284 -2,2528 -1,9042 -1,5340 -1,1689 -0,8232 -0,5118 -0,2453 -0,0191 0,1793 0,3528 0,4948 0,5993 0,6645 0,6962 0,7153 0,7525 0,8263 0,9304 1,0340
F3    1,4499 2,0190 2,5681 2,9529 3,0603 2,8501 2,3982 1,8653 1,3956 1,0494 0,8141 0,6488 0,5246 0,4338 0,3691 0,3060 0,2116 0,0663 -0,1209 -0,3137 -0,4675 -0,5518 -0,5641 -0,5365 -0,5335 -0,6310 -0,8690 -1,2085 -1,5422 -1,7630 -1,8209 -1,7215 -1,5008 -1,2147 -0,9324 -0,7152 -0,5976 -0,5748 -0,6039 -0,6306 -0,6259 -0,5976 -0,5735 -0,5840 -0,6442 -0,7276 -0,7621 -0,6662 -0,3995 0,0111 0,4844 0,9300 1,2848 1,5165 1,6086 1,5599 1,3998 1,1856 0,9782 0,8222 0,7414 0,7423 0,8234 0,9779 1,1826 1,3960 1,5784 1,7048 1,7505 1,6883 1,5120 1,2482 0,9348 0,6008 0,2716 -0,0209 -0,2451 -0,3854 -0,4428 -0,4170 -0,3038 -0,1096 0,1418 0,4160 0,6834 0,9333 1,1684 1,3824 1,5528 1,6655 1,7361 1,7977 1,8683 1,9358 1,9776 1,9956 2,0326 2,1529 2,3908 2,7064 2,9936 3,1333 3,0526 2,7562 2,3131 1,8156 1,3503 0,9857 0,7620 0,6788 0,6969 0,7598 0,8204 0,8589 0,8869 0,9269 0,9817 1,0237 1,0104 0,9026 0,6752 0,3301 -0,0968 -0,5523 -0,9974 -1,4107 -1,7633 -2,0117 -2,1218 -2,0923 -1,9551 -1,7531 -1,5154 -1,2594 -1,0057 -0,7687 -0,5376 -0,2848 0,0091 0,3408 0,6789 0,9708 1,1738 1,2868 1,3486 1,4056 1,4842 1,5893 1,7171 1,8600 2,0044 2,1359 2,2498 2,3545 2,4592 2,5640 2,6650 2,7607 2,8510 2,9322 2,9941 3,0239 3,0129 2,9595 2,8713 2,7668 2,6739 2,6214 2,6306 2,7097 2,8472 3,0085 3,1484 3,2306 3,2435 3,2084 3,1652 3,1395 3,1264 3,1070 3,0683 3,0017 2,8954 2,7356 2,5184 2,2593 1,9878 1,7320 1,5061 1,2987 1,0708 0,7786 0,4007 -0,0519 -0,5402 -1,0046 -1,3725 -1,5742 -1,5672 -1,3525 -0,9709 -0,4845 0,0385 0,5258 0,9039 1,1128 1,1269 0,9698 0,7047 0,4061 0,1333 -0,0797 -0,2293 -0,3433 -0,4606 -0,6020 -0,7581 -0,8965 -0,9764 -0,9686 -0,8781 -0,7514 -0,6565 -0,6484 -0,7472 -0,9330 -1,1495 -1,3210 -1,3910 -1,3560 -1,2625 -1,1702 -1,1153 -1,0977 -1,0922 -1,0686 -1,0040 -0,8888 -0,7325 -0,5658 -0,4286 -0,3537 -0,3657 -0,4851 -0,7186 -1,0404 -1,3899 -1,6937 -1,9013 -2,0091 -2,0528 -2,0793 -2,1203 -2,1825 -2,2505 -2,2908 -2,2574 -2,1120 -1,8474 -1,4980 -1,1357 -0,8518 -0,7260 -0,8000 -1,0642 -1,4638 -1,9212 -2,3619 -2,7301 -2,9898 -3,1244 -3,1353 -3,0367 -2,8555 -2,6316 -2,4003 -2,1693 -1,9186 -1,6264 -1,2942 -0,9435 -0,5945 -0,2563 0,0552 0,3017 0,4407 0,4559 0,3600 0,1784 -0,0611 -0,3321 -0,6178 -0,9174 -1,2470 -1,6241 -2,0419 -2,4585 -2,8179 -3,0763 -3,2102 -3,2164 -3,1206 -2,9779 -2,8451 -2,7456 -2,6598 -2,5532 -2,4163 -2,2735 -2,1542 -2,0688 -2,0084 -1,9559 -1,9026 -1,8561 -1,8244 -1,7930 -1,7287 -1,6106 -1,4515 -1,2854 -1,1363 -1,0021 -0,8713 -0,7471 -0,6514 -0,6064 -0,6144 -0,6521 -0,6899 -0,7172 -0,7466 -0,7953 -0,8672 -0,9425 -0,9787 -0,9377 -0,8173 -0,6480 -0,4657 -0,3022 -0,1885 -0,1436 -0,1604 -0,2024 -0,2160 -0,1520 0,0095 0,2480 0,5118 0,7414 0,8963 0,9692 0,9794 0,9577 0,9306 0,9085 0,8876 0,8613 0,8212 0,7582 0,6734 0,5854 0,5252 0,5268 0,6177 0,8158 1,1318 1,5645 2,0855 2,6288 3,1029 3,4244 3,5581 3,5307 3,4102 3,2690 3,1518 3,0594 2,9631 2,8314 2,6415 2,3839 2,0718 1,7312 1,3872 1,0689 0,8182 0,6765 0,6663 0,7830 1,0017 1,2978 1,6561 2,0610 2,4934 2,9408 3,3959 3,8349 4,2047 4,4419 4,5104 4,4260 4,2488 4,0533 3,9081 3,8694 3,9709 4,2088 4,5374 4,8776 5,1431 5,2741 5,2532 5,1000 4,8596 4,5860 4,3210 4,0849 3,8778 3,6811 3,4612 3,1923 2,8805 2,5602 2,2644 2,0045 1,7774 1,5846 1,4314 1,3177 1,2417 1,2144 1,2626 1,4199 1,7151 2,1548 2,7087 3,3186 3,9216 4,4572 4,8614 5,0784 5,0934 4,9519 4,7401 4,5423 4,4076 4,3411 4,3118 4,2686 4,1632 3,9671 3,6774 3,3157 2,9245 2,5554 2,2534 2,0469 1,9414 1,9169 1,9322 1,9401 1,9102 1,8446 1,7738 1,7422 1,7898 1,9351 2,1685 2,4544 2,7375 2,9571 3,0682 3,0550 2,9339 2,7435 2,5238 2,2944 2,0536 1,7982 1,5422 1,3148 1,1478 1,0725 1,1222 1,3204 1,6559 2,0707 2,4787 2,7929 2,9380 2,8627 2,5654 2,1049 1,5735 1,0621 0,6433 0,3597 0,2106 0,1575 0,1514 0,1556 0,1434 0,0915 -0,0051 -0,1162 -0,1919 -0,2004 -0,1477 -0,0686 -0,0079 -0,0038 -0,0737 -0,2037 -0,3533 -0,4748 -0,5357 -0,5280 -0,4671 -0,3892 -0,3394 -0,3441 -0,3854 -0,4091 -0,3635 -0,2298 -0,0223 0,2273 0,4809 0,7000 0,8591 0,9620 1,0412 1,1319 1,2518 1,4040 1,5849 1,7741 1,9249 1,9813 1,9054 1,6893 1,3479 0,9117 0,4281 -0,0353 -0,4018 -0,6147 -0,6708 -0,6268 -0,5688 -0,5697 -0,6653 -0,8443 -1,0471 -1,1868 -1,1990 -1,0812 -0,8853 -0,6798 -0,5234 -0,4564 -0,4945 -0,6174 -0,7724 -0,8959 -0,9404 -0,8964 -0,8066 -0,7514 -0,8071 -1,0060 -1,3254 -1,7114 -2,1124 -2,4886 -2,7969 -2,9879 -3,0236 -2,9006 -2,6574 -2,3555 -2,0466 -1,7520 -1,4708 -1,2026 -0,9560 -0,7397 -0,5561 -0,4048 -0,2844 -0,1945 -0,1371 -0,1051 -0,0684 0,0101 0,1405 0,2955 0,4279
F7    -1,7576 -1,1249 -0,5681 -0,2113 -0,0324 0,1016 0,3507 0,7851 1,3240 1,8147 2,1472 2,2833 2,2341 2,0467 1,7824 1,4872 1,1840 0,8859 0,6062 0,3572 0,1437 -0,0471 -0,2517 -0,5179 -0,8709 -1,2891 -1,7102 -2,0546 -2,2365 -2,1777 -1,8525 -1,3252 -0,7187 -0,1511 0,2867 0,5319 0,5628 0,4157 0,1807 -0,0358 -0,1647 -0,1945 -0,1593 -0,1213 -0,1422 -0,2386 -0,3645 -0,4465 -0,4328 -0,3142 -0,1156 0,1232 0,3674 0,5930 0,7694 0,8575 0,8426 0,7560 0,6600 0,6111 0,6276 0,6931 0,7932 0,9306 1,1035 1,2905 1,4537 1,5426 1,5146 1,3619 1,1102 0,7907 0,4332 0,0888 -0,1700 -0,2884 -0,2734 -0,1908 -0,1113 -0,0647 -0,0474 -0,0505 -0,0762 -0,1438 -0,2733 -0,4546 -0,6379 -0,7640 -0,8059 -0,7776 -0,6999 -0,5738 -0,3968 -0,1828 0,0535 0,3198 0,6380 1,0154 1,4272 1,8227 2,1449 2,3467 2,3940 2,2726 2,0037 1,6425 1,2532 0,8855 0,5672 0,3136 0,1355 0,0306 -0,0297 -0,0892 -0,1772 -0,2995 -0,4512 -0,6194 -0,7768 -0,8976 -0,9780 -1,0344 -1,0868 -1,1560 -1,2691 -1,4428 -1,6522 -1,8344 -1,9355 -1,9447 -1,8824 -1,7704 -1,6242 -1,4726 -1,3644 -1,3393 -1,3910 -1,4658 -1,4998 -1,4623 -1,3650 -1,2328 -1,0718 -0,8654 -0,5967 -0,2735 0,0673 0,3764 0,6176 0,7849 0,8999 0,9962 1,1074 1,2615 1,4684 1,7059 1,9278 2,0916 2,1822 2,2116 2,1988 2,1516 2,0638 1,9224 1,7145 1,4359 1,1086 0,7978 0,5974 0,5785 0,7497 1,0620 1,4431 1,8231 2,1470 2,3837 2,5328 2,6092 2,6174 2,5549 2,4390 2,3104 2,2004 2,1015 1,9775 1,8037 1,5857 1,3419 1,0810 0,7916 0,4490 0,0378 -0,4250 -0,8947 -1,3240 -1,6762 -1,9173 -2,0104 -1,9242 -1,6481 -1,2123 -0,6898 -0,1713 0,2605 0,5435 0,6471 0,5787 0,3798 0,1103 -0,1632 -0,3797 -0,5050 -0,5520 -0,5698 -0,6016 -0,6587 -0,7365 -0,8328 -0,9407 -1,0374 -1,0944 -1,1020 -1,0829 -1,0771 -1,1178 -1,2162 -1,3543 -1,4895 -1,5816 -1,6225 -1,6374 -1,6528 -1,6691 -1,6637 -1,6147 -1,5124 -1,3547 -1,1482 -0,9194 -0,7123 -0,5652 -0,5001 -0,5344 -0,6953 -1,0050 -1,4431 -1,9338 -2,3841 -2,7315 -2,9511 -3,0427 -3,0285 -2,9525 -2,8702 -2,8305 -2,8520 -2,9110 -2,9594 -2,9562 -2,8889 -2,7791 -2,6685 -2,6002 -2,6121 -2,7292 -2,9479 -3,2347 -3,5386 -3,7994 -3,9543 -3,9596 -3,8112 -3,5466 -3,2374 -2,9744 -2,8243 -2,7884 -2,8084 -2,8173 -2,7829 -2,7116 -2,6203 -2,5090 -2,3619 -2,1713 -1,9557 -1,7603 -1,6407 -1,6325 -1,7255 -1,8685 -2,0054 -2,1141 -2,2185 -2,3667 -2,5956 -2,9049 -3,2535 -3,5729 -3,7891 -3,8526 -3,7782 -3,6459 -3,5452 -3,5165 -3,5372 -3,5502 -3,5079 -3,3944 -3,2164 -2,9878 -2,7195 -2,4184 -2,1010 -1,8036 -1,5660 -1,4054 -1,3110 -1,2604 -1,2322 -1,2087 -1,1720 -1,1054 -1,0102 -0,9192 -0,8846 -0,9417 -1,0843 -1,2688 -1,4368 -1,5426 -1,5738 -1,5469 -1,4841 -1,3972 -1,2852 -1,1400 -0,9589 -0,7472 -0,5139 -0,2764 -0,0648 0,0888 0,1648 0,1624 0,1034 0,0270 -0,0258 -0,0333 0,0008 0,0608 0,1357 0,2250 0,3370 0,4748 0,6171 0,7266 0,7793 0,7729 0,7158 0,6278 0,5439 0,4958 0,4857 0,4872 0,4747 0,4514 0,4561 0,5403 0,7288 0,9963 1,2821 1,5279 1,7049 1,8149 1,8808 1,9310 1,9719 1,9806 1,9348 1,8322 1,6755 1,4639 1,2032 0,9111 0,6120 0,3355 0,1143 -0,0192 -0,0466 0,0221 0,1519 0,3110 0,4859 0,6726 0,8712 1,0848 1,3081 1,5173 1,6770 1,7605 1,7692 1,7355 1,7087 1,7322 1,8310 2,0122 2,2617 2,5442 2,8200 3,0607 3,2459 3,3534 3,3634 3,2773 3,1244 2,9393 2,7398 2,5345 2,3333 2,1388 1,9391 1,7242 1,5067 1,3185 1,1850 1,1050 1,0585 1,0289 1,0106 1,0004 0,9919 0,9801 0,9713 0,9927 1,0878 1,2928 1,6149 2,0295 2,4848 2,9067 3,2194 3,3761 3,3789 3,2758 3,1368 3,0204 2,9461 2,8918 2,8198 2,7055 2,5481 2,3611 2,1582 1,9512 1,7570 1,5979 1,4946 1,4574 1,4806 1,5450 1,6249 1,6955 1,7480 1,7919 1,8412 1,9052 1,9949 2,1248 2,3066 2,5375 2,7873 3,0004 3,1190 3,1135 2,9994 2,8236 2,6245 2,4061 2,1536 1,8701 1,5935 1,3779 1,2672 1,2828 1,4243 1,6665 1,9547 2,2169 2,3987 2,4844 2,4767 2,3691 2,1550 1,8528 1,5048 1,1557 0,8365 0,5554 0,2974 0,0388 -0,2272 -0,4748 -0,6622 -0,7643 -0,7803 -0,7145 -0,5679 -0,3522 -0,1015 0,1346 0,3109 0,4010 0,4027 0,3373 0,2379 0,1325 0,0386 -0,0334 -0,0833 -0,1263 -0,1828 -0,2523 -0,2989 -0,2745 -0,1581 0,0268 0,2288 0,3985 0,5126 0,5760 0,6191 0,6935 0,8504 1,1018 1,4097 1,7222 2,0079 2,2462 2,4020 2,4377 2,3473 2,1645 1,9342 1,6844 1,4311 1,1975 1,0222 0,9443 0,9739 1,0780 1,1979 1,2789 1,2898 1,2344 1,1561 1,1180 1,1563 1,2466 1,3228 1,3263 1,2377 1,0724 0,8658 0,6629 0,5098 0,4463 0,4963 0,6481 0,8413 0,9897 1,0218 0,9059 0,6551 0,3157 -0,0560 -0,4096 -0,7005 -0,8925 -0,9660 -0,9251 -0,8000 -0,6337 -0,4570 -0,2746 -0,0817 0,1057 0,2503 0,3205 0,3099 0,2380 0,1424 0,0576 -0,0059 -0,0528 -0,0758 -0,0553 0,0192 0,1395 0,2864
