Fp1   0,2051 0,0178 -0,1355 -0,2308 -0,2424 -0,1558 0,0078 0,1922 0,3386 0,4086 0,3880 0,2879 0,1411 -0,0092 -0,1228 -0,1781 -0,1827 -0,1677 -0,1636 -0,1759 -0,1848 -0,1613 -0,0824 0,0599 0,2584 0,5038 0,7838 1,0608 1,2754 1,3799 1,3571 1,2154 0,9793 0,6756 0,3149 -0,1024 -0,5535 -0,9843 -1,3471 -1,6243 -1,8020 -1,8506 -1,7377 -1,4450 -0,9821 -0,4019 0,2009 0,7159 1,0576 1,1986 1,1702 1,0267 0,8101 0,5538 0,3023 0,0974 -0,0594 -0,2068 -0,3792 -0,5715 -0,7443 -0,8492 -0,8557 -0,7615 -0,5804 -0,3276 -0,0132 0,3560 0,7562 1,1259 1,3775 1,4415 1,3157 1,0677 0,7672 0,4290 0,0397 -0,3788 -0,7478 -0,9620 -0,9468 -0,7026 -0,2982 0,1675 0,5986 0,9364 1,1780 1,3457 1,4575 1,5463 1,6655 1,8378 2,0035 2,0358 1,8131 1,3038 0,6014 -0,1204 -0,6901 -1,0020 -1,0519 -0,9297 -0,7493 -0,5657 -0,3584 -0,0821 0,2811 0,7005 1,0946 1,3469 1,3529 1,0754 0,5613 -0,0927 -0,7882 -1,4416 -1,9819 -2,3629 -2,5712 -2,6137 -2,5197 -2,3437 -2,1382 -1,9376 -1,7786 -1,6954 -1,6772 -1,6646 -1,5972 -1,4516 -1,2498 -1,0398 -0,8456 -0,6344 -0,3476 0,0426 0,5042 0,9543 1,2935 1,4452 1,3823 1,1386 0,7982 0,4607 0,1925 0,0033 -0,1320 -0,2387 -0,3337 -0,4309 -0,5354 -0,6290 -0,6678 -0,6087 -0,4462 -0,2205 0,0191 0,2630 0,5507 0,9254 1,3821 1,8609 2,2912 2,6413 2,9247 3,1622 3,3428 3,4213 3,3546 3,1404 2,8119 2,4066 1,9608 1,5261 1,1718 0,9723 0,9850 1,2157 1,5979 2,0071 2,3119 2,4295 2,3455 2,1048 1,8005 1,5349 1,3667 1,2980 1,2950 1,2991 1,2376 1,0331 0,6054 -0,1081 -1,1091 -2,3095 -3,5358 -4,5720 -5,2299 -5,4127 -5,1352 -4,4990 -3,6459 -2,7213 -1,8646 -1,2043 -0,8244 -0,7286 -0,8480 -1,0846 -1,3530 -1,5943 -1,7702 -1,8596 -1,8613 -1,7812 -1,6034 -1,2939 -0,8551 -0,3559 0,1046 0,4467 0,6366 0,6876 0,6376 0,5117 0,3080 0,0250 -0,3027 -0,6102 -0,8320 -0,9177 -0,8305 -0,5472 -0,0660 0,5777 1,2992 1,9688 2,4484 2,6471 2,5522 2,2066 1,6723 1,0362 0,4289 -0,0129 -0,2235 -0,2425 -0,1760 -0,1292 -0,1532 -0,2241 -0,2670 -0,2085 -0,0343 0,1808 0,3120 0,2699 0,0500 -0,2805 -0,6275 -0,9079 -1,0560 -1,0074 -0,7202 -0,2350 0,3221 0,8112 1,1451 1,3101 1,3460 1,2998 1,1897 1,0081 0,7433 0,3976 -0,0094 -0,4505 -0,8945 -1,2963 -1,5914 -1,7127 -1,6125 -1,2811 -0,7650 -0,1758 0,3340 0,6229 0,6266 0,4117 0,1627 0,0691 0,1899 0,4305 0,6492 0,7613 0,7472 0,6174 0,3970 0,1245 -0,1469 -0,3490 -0,4174 -0,3321 -0,1508 0,0194 0,1015 0,0926 0,0292 -0,0556 -0,1380 -0,1997 -0,2330 -0,2336 -0,1805 -0,0421 0,1954 0,5159 0,8831 1,2375 1,4880 1,5441 1,3802 1,0678 0,7335 0,4789 0,3390 0,2998 0,3258 0,3856 0,4812 0,6555 0,9723 1,4737 2,1213 2,7803 3,2907 3,5480 3,5252 3,2687 2,8969 2,5528 2,3141 2,1413 1,9069 1,4896 0,8820 0,2307 -0,2474 -0,3955 -0,1850 0,2994 0,9133 1,5071 1,9677 2,2419 2,3369 2,2970 2,1771 2,0256 1,8744 1,7379 1,6290 1,5632 1,5374 1,5140 1,4329 1,2460 0,9516 0,6017 0,2701 0,0220 -0,0784 0,0367 0,4053 1,0005 1,7256 2,4454 3,0364 3,4293 3,6234 3,6690 3,6225 3,5054 3,2956 2,9487 2,4331 1,7622 1,0058 0,2815 -0,2689 -0,5283 -0,4593 -0,1073 0,4475 1,1228 1,8267 2,4525 2,9073 3,1534 3,2188 3,1550 2,9896 2,7330 2,4334 2,2001 2,1411 2,2825 2,5670 2,9096 3,2294 3,4569 3,5499 3,5005 3,3165 3,0035 2,5711 2,0536 1,5150 1,0341 0,6905 0,5499 0,6446 0,9569 1,4135 1,8948 2,2734 2,4721 2,5016 2,4488 2,4207 2,4865 2,6552 2,8884 3,1200 3,2730 3,2853 3,1370 2,8548 2,4957 2,1352 1,8591 1,7437 1,8284 2,0891 2,4364 2,7551 2,9676 3,0817 3,1898 3,4007 3,7426 4,1478 4,5261 4,8219 5,0129 5,0901 5,0360 4,8172 4,4104 3,8329 3,1435 2,4216 1,7480 1,2025 0,8592 0,7626 0,9074 1,2403 1,6789 2,1304 2,5004 2,7039 2,6959 2,4965 2,1684 1,7641 1,3218 0,9126 0,6486 0,6218 0,8476 1,2619 1,7551 2,2110 2,5344 2,6655 2,5839 2,3097 1,9083 1,4810 1,1263 0,9112 0,8772 1,0333 1,3236 1,6307 1,8402 1,9053 1,8592 1,7921 1,8273 2,0767 2,5768 3,2550 3,9548 4,5050 4,7922 4,7827 4,4816 3,8884 3,0177 1,9468 0,8126 -0,2287 -1,0302 -1,4801 -1,5345 -1,2368 -0,7166 -0,1539 0,2989 0,5710 0,6668 0,6373 0,5589 0,5052 0,5220 0,6235 0,8056 1,0463 1,2926 1,4555 1,4258 1,1090 0,4835 -0,3524 -1,2019 -1,8481 -2,1258 -1,9599 -1,3764 -0,4875 0,5318 1,4967 2,2998 2,9485 3,5043 4,0001 4,4138 4,6998 4,8310 4,8034 4,6202 4,2966 3,8742 3,4197 3,0152 2,7273 2,5676 2,4921 2,4388 2,3611 2,2429 2,0930 1,9234 1,7457 1,5829 1,4653 1,4082 1,3874 1,3355 1,1708 0,8438 0,3667 -0,1982 -0,7737 -1,2806 -1,6266 -1,7280 -1,5744 -1,2622 -0,9594 -0,8282 -0,9376 -1,2204 -1,5308 -1,7591 -1,8830 -1,9159 -1,8349 -1,5733 -1,0845 -0,4092 0,3148 0,9282 1,3583 1,6491 1,8838 2,1005
Fz    -1,0775 -0,7816 -0,5331 -0,3588 -0,2588 -0,2106 -0,1861 -0,1670 -0,1487 -0,1364 -0,1410 -0,1738 -0,2407 -0,3320 -0,4187 -0,4685 -0,4674 -0,4224 -0,3510 -0,2752 -0,2193 -0,1993 -0,2148 -0,2518 -0,2823 -0,2632 -0,1582 0,0300 0,2577 0,4753 0,6592 0,8187 0,9791 1,1527 1,3162 1,4174 1,4086 1,2773 1,0417 0,7316 0,3847 0,0460 -0,2435 -0,4567 -0,5791 -0,6056 -0,5444 -0,4210 -0,2728 -0,1350 -0,0276 0,0446 0,0828 0,0907 0,0754 0,0402 -0,0233 -0,1270 -0,2706 -0,4377 -0,6026 -0,7410 -0,8443 -0,9227 -0,9904 -1,0546 -1,1128 -1,1488 -1,1375 -1,0677 -0,9626 -0,8702 -0,8261 -0,8298 -0,8632 -0,9237 -1,0264 -1,1770 -1,3495 -1,4910 -1,5481 -1,4900 -1,3175 -1,0650 -0,7899 -0,5402 -0,3295 -0,1494 0,0086 0,1561 0,3094 0,4765 0,6508 0,8145 0,9432 1,0203 1,0543 1,0730 1,1023 1,1526 1,2109 1,2403 1,2114 1,1362 1,0597 1,0174 1,0092 1,0035 0,9515 0,8056 0,5397 0,1608 -0,2964 -0,7863 -1,2681 -1,7044 -2,0528 -2,2777 -2,3716 -2,3602 -2,2921 -2,2176 -2,1617 -2,1245 -2,1089 -2,1266 -2,1700 -2,2015 -2,1830 -2,1034 -1,9780 -1,8372 -1,7090 -1,5983 -1,4848 -1,3468 -1,1827 -1,0126 -0,8668 -0,7766 -0,7663 -0,8449 -1,0052 -1,2263 -1,4762 -1,7157 -1,9023 -1,9981 -1,9892 -1,8982 -1,7669 -1,6233 -1,4634 -1,2662 -1,0256 -0,7652 -0,5255 -0,3378 -0,2101 -0,1314 -0,0883 -0,0741 -0,0801 -0,0798 -0,0340 0,0801 0,2455 0,4151 0,5513 0,6539 0,7441 0,8277 0,8885 0,9115 0,9065 0,9106 0,9687 1,1025 1,2957 1,5015 1,6667 1,7585 1,7705 1,7082 1,5806 1,3936 1,1504 0,8673 0,5802 0,3217 0,1019 -0,0919 -0,2896 -0,5216 -0,7931 -1,0862 -1,3820 -1,6674 -1,9234 -2,1294 -2,2842 -2,4111 -2,5304 -2,6373 -2,7174 -2,7740 -2,8291 -2,9029 -2,9987 -3,1069 -3,2123 -3,2962 -3,3351 -3,3063 -3,2070 -3,0611 -2,8955 -2,7174 -2,5210 -2,3056 -2,0747 -1,8340 -1,6025 -1,4138 -1,2959 -1,2524 -1,2618 -1,2874 -1,2841 -1,2123 -1,0589 -0,8445 -0,6034 -0,3568 -0,1035 0,1679 0,4559 0,7259 0,9167 0,9773 0,9020 0,7294 0,5162 0,3231 0,2127 0,2300 0,3678 0,5602 0,7200 0,7860 0,7454 0,6242 0,4614 0,2942 0,1500 0,0349 -0,0680 -0,1810 -0,3178 -0,4839 -0,6808 -0,9046 -1,1337 -1,3195 -1,4135 -1,4139 -1,3686 -1,3340 -1,3450 -1,4093 -1,5110 -1,6228 -1,7219 -1,7950 -1,8386 -1,8610 -1,8823 -1,9289 -2,0207 -2,1598 -2,3289 -2,4937 -2,6059 -2,6157 -2,5005 -2,2845 -2,0305 -1,8156 -1,7030 -1,7136 -1,8097 -1,9228 -2,0097 -2,0774 -2,1489 -2,2265 -2,3001 -2,3723 -2,4593 -2,5726 -2,7081 -2,8448 -2,9497 -2,9941 -2,9762 -2,9226 -2,8585 -2,7885 -2,7094 -2,6263 -2,5499 -2,4890 -2,4443 -2,4000 -2,3308 -2,2251 -2,0947 -1,9582 -1,8243 -1,7002 -1,6083 -1,5790 -1,6178 -1,6838 -1,7113 -1,6544 -1,5067 -1,2884 -1,0313 -0,7666 -0,5106 -0,2599 0,0026 0,2994 0,6376 0,9910 1,3124 1,5608 1,7148 1,7813 1,8048 1,8502 1,9577 2,1139 2,2571 2,3121 2,2422 2,0789 1,8923 1,7314 1,6020 1,4895 1,3870 1,2969 1,2161 1,1316 1,0332 0,9235 0,8164 0,7280 0,6644 0,6161 0,5702 0,5204 0,4618 0,3824 0,2616 0,0793 -0,1671 -0,4472 -0,7099 -0,9106 -1,0171 -1,0082 -0,8856 -0,6819 -0,4465 -0,2248 -0,0437 0,0894 0,1779 0,2302 0,2566 0,2626 0,2454 0,1989 0,1231 0,0237 -0,0926 -0,2115 -0,2953 -0,2877 -0,1469 0,1267 0,4915 0,8859 1,2491 1,5358 1,7253 1,8260 1,8659 1,8677 1,8280 1,7295 1,5789 1,4251 1,3249 1,2941 1,2999 1,2932 1,2413 1,1478 1,0511 0,9973 1,0078 1,0662 1,1286 1,1519 1,1207 1,0574 1,0081 1,0139 1,0899 1,2227 1,3784 1,5164 1,6047 1,6287 1,5980 1,5460 1,5120 1,5184 1,5712 1,6733 1,8221 1,9991 2,1778 2,3413 2,4839 2,6080 2,7313 2,8865 3,0977 3,3624 3,6533 3,9288 4,1398 4,2432 4,2243 4,1109 3,9556 3,7940 3,6320 3,4677 3,3099 3,1729 3,0615 2,9555 2,8147 2,6073 2,3340 2,0248 1,7175 1,4349 1,1824 0,9561 0,7521 0,5771 0,4476 0,3701 0,3293 0,3022 0,2742 0,2432 0,2163 0,1960 0,1631 0,0859 -0,0443 -0,1936 -0,3030 -0,3229 -0,2365 -0,0591 0,1731 0,4123 0,6087 0,7223 0,7396 0,6840 0,6022 0,5376 0,5199 0,5779 0,7409 1,0179 1,3831 1,7860 2,1747 2,5138 2,7979 3,0598 3,3496 3,6941 4,0749 4,4386 4,7271 4,9033 4,9531 4,8642 4,6149 4,1935 3,6197 2,9400 2,2120 1,5018 0,8766 0,3885 0,0588 -0,1340 -0,2493 -0,3510 -0,4779 -0,6386 -0,8157 -0,9801 -1,1127 -1,2142 -1,2960 -1,3653 -1,4203 -1,4605 -1,4969 -1,5512 -1,6472 -1,7949 -1,9750 -2,1404 -2,2322 -2,1983 -2,0143 -1,6941 -1,2836 -0,8479 -0,4560 -0,1506 0,0716 0,2515 0,4417 0,6781 0,9696 1,3080 1,6735 2,0332 2,3513 2,6060 2,7945 2,9283 3,0201 3,0725 3,0820 3,0443 2,9505 2,7920 2,5711 2,2984 1,9840 1,6358 1,2617 0,8736 0,4855 0,1055 -0,2634 -0,6111 -0,9155 -1,1563 -1,3371 -1,4849 -1,6221 -1,7460 -1,8414 -1,9048 -1,9513 -2,0018 -2,0600 -2,1033 -2,1071 -2,0769 -2,0494 -2,0515 -2,0581 -1,9966 -1,8008 -1,4628 -1,0382 -0,6022 -0,1923 0,2058 0,6168 1,0349
F3    -0,9474 -0,6235 -0,3545 -0,1589 -0,0384 0,0221 0,0457 0,0524 0,0529 0,0504 0,0462 0,0417 0,0391 0,0474 0,0815 0,1427 0,2092 0,2542 0,2624 0,2255 0,1330 -0,0233 -0,2373 -0,4778 -0,6861 -0,7923 -0,7487 -0,5591 -0,2728 0,0534 0,3884 0,7315 1,0859 1,4274 1,6933 1,8029 1,6999 1,3897 0,9377 0,4341 -0,0382 -0,4240 -0,7070 -0,9021 -1,0286 -1,0857 -1,0562 -0,9338 -0,7397 -0,5155 -0,3023 -0,1311 -0,0226 0,0181 0,0061 -0,0390 -0,1083 -0,1981 -0,2969 -0,3871 -0,4577 -0,5094 -0,5541 -0,6087 -0,6880 -0,8036 -0,9603 -1,1380 -1,2853 -1,3448 -1,2916 -1,1465 -0,9544 -0,7567 -0,5880 -0,4834 -0,4701 -0,5499 -0,6941 -0,8588 -1,0024 -1,0935 -1,1158 -1,0809 -1,0252 -0,9788 -0,9398 -0,8892 -0,8149 -0,7101 -0,5686 -0,3918 -0,1891 0,0267 0,2388 0,4277 0,5740 0,6579 0,6644 0,5980 0,4798 0,3252 0,1374 -0,0721 -0,2740 -0,4368 -0,5454 -0,6056 -0,6395 -0,6778 -0,7497 -0,8794 -1,0881 -1,3900 -1,7783 -2,2081 -2,5995 -2,8800 -3,0318 -3,0920 -3,1174 -3,1459 -3,1740 -3,1716 -3,1201 -3,0270 -2,9026 -2,7471 -2,5639 -2,3674 -2,1750 -2,0070 -1,8830 -1,8055 -1,7505 -1,6846 -1,5834 -1,4368 -1,2517 -1,0579 -0,8961 -0,7954 -0,7697 -0,8235 -0,9487 -1,1215 -1,3065 -1,4706 -1,6008 -1,7058 -1,7965 -1,8644 -1,8749 -1,7825 -1,5645 -1,2440 -0,8773 -0,5199 -0,2017 0,0710 0,2970 0,4646 0,5600 0,5949 0,6122 0,6549 0,7306 0,8147 0,8868 0,9588 1,0604 1,2053 1,3783 1,5502 1,7022 1,8431 2,0016 2,1981 2,4227 2,6373 2,7930 2,8551 2,8105 2,6607 2,4206 2,1150 1,7699 1,4173 1,0999 0,8497 0,6675 0,5249 0,3777 0,1916 -0,0347 -0,2788 -0,5243 -0,7690 -1,0101 -1,2403 -1,4638 -1,6992 -1,9553 -2,2148 -2,4485 -2,6421 -2,8050 -2,9544 -3,0990 -3,2371 -3,3622 -3,4643 -3,5288 -3,5407 -3,4970 -3,4098 -3,2871 -3,1185 -2,8884 -2,5943 -2,2420 -1,8438 -1,4341 -1,0703 -0,8055 -0,6607 -0,6220 -0,6517 -0,6983 -0,7134 -0,6732 -0,5882 -0,4858 -0,3850 -0,2880 -0,1851 -0,0661 0,0645 0,1778 0,2371 0,2307 0,1834 0,1412 0,1557 0,2748 0,5167 0,8400 1,1502 1,3486 1,3864 1,2807 1,0860 0,8534 0,6184 0,4099 0,2488 0,1413 0,0794 0,0417 -0,0044 -0,0841 -0,1986 -0,3237 -0,4178 -0,4438 -0,3995 -0,3179 -0,2414 -0,2078 -0,2459 -0,3630 -0,5390 -0,7400 -0,9350 -1,1054 -1,2490 -1,3772 -1,5080 -1,6555 -1,8198 -1,9862 -2,1279 -2,2104 -2,2023 -2,0947 -1,9103 -1,6957 -1,5076 -1,3990 -1,4026 -1,5108 -1,6776 -1,8541 -2,0186 -2,1621 -2,2621 -2,2964 -2,2688 -2,2058 -2,1367 -2,0856 -2,0683 -2,0838 -2,1146 -2,1455 -2,1762 -2,2057 -2,2173 -2,1929 -2,1356 -2,0686 -2,0169 -1,9864 -1,9559 -1,8909 -1,7719 -1,6079 -1,4249 -1,2525 -1,1232 -1,0729 -1,1229 -1,2526 -1,3922 -1,4547 -1,3859 -1,1862 -0,8968 -0,5729 -0,2586 0,0287 0,2904 0,5262 0,7269 0,8813 0,9849 1,0440 1,0670 1,0538 1,0079 0,9639 0,9832 1,1124 1,3439 1,6112 1,8232 1,9209 1,9114 1,8421 1,7448 1,6156 1,4418 1,2318 1,0133 0,8126 0,6431 0,5126 0,4348 0,4278 0,4995 0,6282 0,7632 0,8513 0,8583 0,7684 0,5782 0,2987 -0,0434 -0,4057 -0,7321 -0,9737 -1,1145 -1,1651 -1,1395 -1,0517 -0,9236 -0,7840 -0,6598 -0,5631 -0,4879 -0,4175 -0,3336 -0,2253 -0,0999 0,0163 0,0950 0,1210 0,0888 -0,0030 -0,1437 -0,2939 -0,3863 -0,3574 -0,1887 0,0857 0,4086 0,7323 1,0246 1,2619 1,4330 1,5409 1,5838 1,5375 1,3734 1,1017 0,7874 0,5120 0,3217 0,2112 0,1450 0,0929 0,0603 0,0911 0,2313 0,4862 0,8082 1,1180 1,3428 1,4518 1,4691 1,4545 1,4614 1,5042 1,5557 1,5657 1,4887 1,3075 1,0400 0,7318 0,4415 0,2159 0,0739 0,0179 0,0589 0,2149 0,4831 0,8261 1,1904 1,5307 1,8276 2,0962 2,3696 2,6624 2,9572 3,2247 3,4404 3,5809 3,6199 3,5414 3,3559 3,1006 2,8183 2,5408 2,2897 2,0795 1,9180 1,8018 1,7066 1,5929 1,4305 1,2165 0,9757 0,7446 0,5515 0,4080 0,3127 0,2588 0,2422 0,2587 0,2929 0,3204 0,3229 0,2948 0,2396 0,1689 0,1002 0,0387 -0,0305 -0,1251 -0,2400 -0,3407 -0,3811 -0,3301 -0,1855 0,0276 0,2661 0,4811 0,6301 0,6883 0,6597 0,5757 0,4773 0,4052 0,4019 0,5060 0,7330 1,0620 1,4457 1,8298 2,1686 2,4352 2,6319 2,7844 2,9200 3,0512 3,1752 3,2799 3,3521 3,3753 3,3160 3,1270 2,7826 2,3051 1,7448 1,1484 0,5557 0,0077 -0,4585 -0,8239 -1,0993 -1,3173 -1,5046 -1,6690 -1,8078 -1,9089 -1,9562 -1,9508 -1,9249 -1,9279 -1,9968 -2,1328 -2,3010 -2,4507 -2,5427 -2,5644 -2,5255 -2,4436 -2,3346 -2,2037 -2,0422 -1,8400 -1,5984 -1,3304 -1,0615 -0,8284 -0,6568 -0,5372 -0,4268 -0,2760 -0,0643 0,1895 0,4485 0,6804 0,8622 0,9844 1,0570 1,1090 1,1805 1,3014 1,4729 1,6738 1,8773 2,0527 2,1665 2,1903 2,1045 1,9004 1,5815 1,1611 0,6660 0,1383 -0,3739 -0,8286 -1,1958 -1,4628 -1,6394 -1,7610 -1,8763 -2,0177 -2,1835 -2,3551 -2,5238 -2,6936 -2,8632 -3,0120 -3,1081 -3,1310 -3,0935 -3,0433 -3,0301 -3,0545 -3,0498 -2,9254 -2,6310 -2,1872 -1,6593 -1,1045 -0,5490 -0,0089 0,4855
F7    0,4308 0,6583 0,7941 0,8473 0,8406 0,7969 0,7309 0,6494 0,5544 0,4397 0,2944 0,1263 -0,0279 -0,1270 -0,1590 -0,1495 -0,1352 -0,1336 -0,1382 -0,1414 -0,1548 -0,1995 -0,2776 -0,3551 -0,3787 -0,3113 -0,1566 0,0434 0,2311 0,3581 0,3990 0,3539 0,2428 0,0943 -0,0696 -0,2394 -0,4094 -0,5680 -0,7046 -0,8181 -0,9040 -0,9412 -0,9049 -0,7851 -0,5909 -0,3417 -0,0638 0,2117 0,4529 0,6354 0,7488 0,7896 0,7487 0,6171 0,4080 0,1594 -0,0875 -0,2988 -0,4459 -0,5110 -0,4960 -0,4206 -0,3164 -0,2159 -0,1343 -0,0647 0,0120 0,1174 0,2630 0,4333 0,5801 0,6451 0,6002 0,4685 0,3020 0,1396 -0,0172 -0,1920 -0,3949 -0,5973 -0,7467 -0,8016 -0,7554 -0,6338 -0,4748 -0,3049 -0,1360 0,0168 0,1296 0,1903 0,2047 0,1799 0,1167 0,0127 -0,1365 -0,3242 -0,5155 -0,6568 -0,7086 -0,6734 -0,5974 -0,5462 -0,5603 -0,6265 -0,6897 -0,6927 -0,6099 -0,4555 -0,2687 -0,0928 0,0354 0,0863 0,0417 -0,1012 -0,3264 -0,5951 -0,8494 -1,0385 -1,1426 -1,1701 -1,1477 -1,1115 -1,0868 -1,0750 -1,0697 -1,0684 -1,0568 -1,0020 -0,8788 -0,6966 -0,4985 -0,3390 -0,2518 -0,2244 -0,2067 -0,1510 -0,0465 0,0796 0,1909 0,2662 0,3017 0,3003 0,2629 0,1861 0,0569 -0,1431 -0,4139 -0,7224 -1,0243 -1,2904 -1,5055 -1,6475 -1,6796 -1,5687 -1,3167 -0,9722 -0,6077 -0,2779 0,0021 0,2494 0,4952 0,7608 1,0440 1,3337 1,6301 1,9372 2,2450 2,5289 2,7659 2,9445 3,0586 3,1020 3,0764 2,9965 2,8897 2,7977 2,7699 2,8362 2,9832 3,1601 3,3129 3,4104 3,4456 3,4276 3,3786 3,3198 3,2508 3,1562 3,0244 2,8481 2,6180 2,3243 1,9512 1,4785 0,8981 0,2299 -0,4764 -1,1528 -1,7226 -2,1106 -2,2683 -2,2028 -1,9726 -1,6505 -1,2961 -0,9583 -0,6824 -0,4996 -0,4163 -0,4232 -0,5050 -0,6338 -0,7635 -0,8453 -0,8474 -0,7643 -0,6102 -0,4065 -0,1738 0,0683 0,3041 0,5232 0,7127 0,8550 0,9343 0,9384 0,8596 0,7070 0,5163 0,3393 0,2267 0,2154 0,3241 0,5617 0,9292 1,4056 1,9315 2,4111 2,7403 2,8537 2,7584 2,5207 2,2242 1,9519 1,7824 1,7619 1,8671 2,0130 2,1035 2,0805 1,9468 1,7604 1,6015 1,5360 1,5891 1,7324 1,8982 2,0188 2,0533 1,9935 1,8632 1,7083 1,5840 1,5490 1,6447 1,8619 2,1445 2,4253 2,6457 2,7602 2,7528 2,6483 2,4970 2,3454 2,2141 2,0959 1,9685 1,8104 1,6160 1,4060 1,2217 1,1086 1,1066 1,2371 1,4817 1,7755 2,0359 2,1977 2,2281 2,1303 1,9481 1,7535 1,6043 1,5111 1,4527 1,4106 1,3732 1,3257 1,2548 1,1623 1,0655 0,9906 0,9636 0,9941 1,0558 1,0949 1,0717 0,9896 0,8782 0,7622 0,6530 0,5572 0,4821 0,4401 0,4536 0,5497 0,7327 0,9577 1,1489 1,2438 1,2186 1,0895 0,9094 0,7565 0,6988 0,7515 0,8718 0,9997 1,1041 1,1941 1,2973 1,4326 1,6038 1,8092 2,0403 2,2694 2,4554 2,5623 2,5699 2,4786 2,3186 2,1439 2,0020 1,9018 1,8063 1,6578 1,4297 1,1619 0,9373 0,8247 0,8476 0,9880 1,1997 1,4277 1,6334 1,8085 1,9630 2,1014 2,2134 2,2824 2,2896 2,2180 2,0701 1,8804 1,6998 1,5623 1,4599 1,3459 1,1703 0,9182 0,6180 0,3211 0,0858 -0,0362 -0,0194 0,1244 0,3525 0,6108 0,8611 1,0933 1,3106 1,5103 1,6777 1,7877 1,8112 1,7211 1,5024 1,1669 0,7644 0,3760 0,0888 -0,0336 0,0255 0,2303 0,5117 0,8024 1,0570 1,2538 1,3903 1,4802 1,5447 1,5965 1,6303 1,6311 1,5978 1,5571 1,5435 1,5688 1,6201 1,6814 1,7423 1,7925 1,8196 1,8183 1,7989 1,7834 1,7859 1,7964 1,7924 1,7676 1,7439 1,7535 1,8127 1,9130 2,0250 2,1107 2,1345 2,0757 1,9455 1,7901 1,6624 1,5853 1,5469 1,5252 1,5105 1,5016 1,4928 1,4744 1,4419 1,3992 1,3598 1,3435 1,3691 1,4516 1,5949 1,7718 1,9196 1,9788 1,9452 1,8834 1,8810 1,9854 2,1840 2,4270 2,6570 2,8299 2,9205 2,9162 2,8149 2,6359 2,4184 2,2000 1,9933 1,7889 1,5800 1,3819 1,2249 1,1383 1,1365 1,2097 1,3216 1,4203 1,4581 1,4118 1,2940 1,1394 0,9722 0,8044 0,6654 0,6079 0,6746 0,8653 1,1366 1,4273 1,6834 1,8633 1,9367 1,8902 1,7358 1,5174 1,3049 1,1664 1,1403 1,2354 1,4380 1,7078 1,9824 2,2036 2,3432 2,4104 2,4462 2,5065 2,6312 2,8166 3,0135 3,1491 3,1603 3,0251 2,7714 2,4486 2,0929 1,7177 1,3301 0,9445 0,5811 0,2614 0,0052 -0,1731 -0,2701 -0,3017 -0,2979 -0,2823 -0,2637 -0,2486 -0,2459 -0,2630 -0,3053 -0,3692 -0,4290 -0,4432 -0,3846 -0,2605 -0,1069 0,0236 0,0749 0,0166 -0,1286 -0,2952 -0,4132 -0,4379 -0,3549 -0,1708 0,0972 0,4174 0,7409 1,0277 1,2748 1,5107 1,7598 2,0099 2,2172 2,3455 2,3916 2,3772 2,3295 2,2704 2,2144 2,1726 2,1466 2,1155 2,0482 1,9306 1,7757 1,6150 1,4787 1,3745 1,2877 1,1952 1,0760 0,9270 0,7663 0,6043 0,4227 0,1976 -0,0593 -0,2990 -0,4741 -0,5647 -0,5656 -0,4770 -0,3224 -0,1597 -0,0587 -0,0618 -0,1580 -0,2965 -0,4322 -0,5587 -0,6915 -0,8259 -0,9164 -0,8997 -0,7394 -0,4563 -0,1269 0,1576 0,3463 0,4568 0,5534 0,6996
