Fp1   1,0751 0,7017 0,3737 0,1471 0,0455 0,0327 0,0289 -0,0332 -0,1726 -0,3663 -0,5665 -0,7102 -0,7323 -0,5863 -0,2626 0,2069 0,7581 1,3064 1,7594 2,0424 2,1289 2,0482 1,8598 1,6149 1,3355 1,0247 0,6843 0,3132 -0,0939 -0,5276 -0,9490 -1,3064 -1,5643 -1,7183 -1,7934 -1,8256 -1,8267 -1,7645 -1,5991 -1,3370 -1,0260 -0,7118 -0,4254 -0,1991 -0,0527 0,0483 0,1884 0,4357 0,7906 1,2005 1,6088 1,9796 2,2926 2,5413 2,7321 2,8630 2,9040 2,8096 2,5587 2,1879 1,7887 1,4685 1,3046 1,3123 1,4421 1,6036 1,7070 1,6953 1,5501 1,2826 0,9305 0,5586 0,2434 0,0337 -0,0822 -0,1604 -0,2459 -0,3290 -0,3515 -0,2557 -0,0298 0,2879 0,6429 1,0063 1,3806 1,7694 2,1538 2,4960 2,7589 2,9336 3,0631 3,2338 3,5310 3,9918 4,5856 5,2267 5,8050 6,2202 6,4114 6,3708 6,1356 5,7700 5,3567 4,9920 4,7568 4,6852 4,7683 4,9720 5,2330 5,4618 5,5836 5,5783 5,4834 5,3714 5,3172 5,3708 5,5448 5,8109 6,1091 6,3688 6,5294 6,5547 6,4462 6,2415 5,9914 5,7358 5,4917 5,2487 4,9731 4,6381 4,2561 3,8748 3,5501 3,3287 3,2375 3,2686 3,3726 3,4834 3,5584 3,5865 3,5744 3,5429 3,5259 3,5521 3,6221 3,7128 3,8035 3,8809 3,9222 3,9036 3,8251 3,7056 3,5516 3,3395 3,0429 2,6826 2,3408 2,1161 2,0595 2,1518 2,3251 2,4895 2,5544 2,4540 2,1588 1,6568 0,9430 0,0440 -0,9703 -2,0187 -3,0448 -4,0197 -4,9223 -5,7208 -6,3676 -6,7974 -6,9322 -6,7187 -6,1868 -5,4580 -4,6825 -3,9685 -3,3591 -2,8608 -2,4808 -2,2277 -2,0814 -1,9833 -1,8734 -1,7303 -1,5641 -1,3780 -1,1562 -0,8894 -0,5964 -0,3248 -0,1340 -0,0609 -0,0906 -0,1570 -0,1644 -0,0179 0,3288 0,8354 1,3941 1,8928 2,2615 2,4820 2,5882 2,6528 2,7512 2,9327 3,2089 3,5416 3,8443 4,0221 4,0330 3,9099 3,7299 3,5634 3,4367 3,3273 3,1992 3,0479 2,9039 2,8003 2,7518 2,7467 2,7503 2,7345 2,7183 2,7670 2,9459 3,2679 3,6772 4,0774 4,3864 4,5753 4,6634 4,6758 4,6120 4,4534 4,1818 3,7843 3,2669 2,6819 2,1325 1,7359 1,5688 1,6381 1,8943 2,2645 2,6790 3,0871 3,4563 3,7585 3,9637 4,0482 4,0054 3,8472 3,5934 3,2586 2,8529 2,3862 1,8604 1,2640 0,5901 -0,1306 -0,8281 -1,4308 -1,9031 -2,2473 -2,4789 -2,6055 -2,6316 -2,5812 -2,5106 -2,4840 -2,5223 -2,5655 -2,4884 -2,1676 -1,5489 -0,6642 0,3940 1,5095 2,5708 3,4849 4,1804 4,6111 4,7696 4,6933 4,4411 4,0695 3,6424 3,2269 2,8528 2,4831 2,0407 1,4675 0,7680 -0,0002 -0,7804 -1,5585 -2,3371 -3,0781 -3,7055 -4,1754 -4,5212 -4,8127 -5,0948 -5,3683 -5,5948 -5,7067 -5,6384 -5,3560 -4,8684 -4,2303 -3,5284 -2,8548 -2,2839 -1,8625 -1,6022 -1,4623 -1,3500 -1,1581 -0,8158 -0,3134 0,3037 0,9625 1,5932 2,1461 2,5868 2,8815 2,9953 2,9059 2,6105 2,1196 1,4412 0,5747 -0,4688 -1,6271 -2,7748 -3,7570 -4,4414 -4,7510 -4,6773 -4,2899 -3,7270 -3,1421 -2,6360 -2,2317 -1,8997 -1,6060 -1,3508 -1,1666 -1,0790 -1,0794 -1,1250 -1,1523 -1,0961 -0,9095 -0,5741 -0,1058 0,4491 1,0308 1,5911 2,1170 2,6256 3,1268 3,5960 3,9894 4,2726 4,4345 4,4851 4,4389 4,2953 4,0374 3,6515 3,1410 2,5317 1,8861 1,3000 0,8550 0,5718 0,4103 0,3030 0,1951 0,0638 -0,0898 -0,2510 -0,3901 -0,4598 -0,4081 -0,1972 0,1870 0,7331 1,3947 2,0833 2,6934 3,1422 3,3912 3,4468 3,3486 3,1558 2,9287 2,7040 2,4878 2,2764 2,0806 1,9272 1,8406 1,8263 1,8696 1,9385 1,9816 1,9379 1,7727 1,5136 1,2413 1,0332 0,9163 0,8767 0,9074 1,0273 1,2452 1,5140 1,7376 1,8231 1,7282 1,4770 1,1396 0,7893 0,4727 0,2143 0,0324 -0,0562 -0,0373 0,0980 0,3496 0,7100 1,1597 1,6510 2,1115 2,4684 2,6705 2,7092 2,6314 2,5184 2,4438 2,4452 2,5292 2,6981 2,9597 3,3090 3,7197 4,1622 4,6154 5,0557 5,4405 5,7137 5,8299 5,7736 5,5657 5,2539 4,8842 4,4866 4,0954 3,7761 3,6097 3,6525 3,9211 4,3979 5,0201 5,6788 6,2579 6,6802 6,9302 7,0540 7,1271 7,1917 7,2236 7,1612 6,9615 6,6398 6,2772 5,9894 5,8727 5,9632 6,2327 6,6136 7,0275 7,4045 7,6937 7,8667 7,9123 7,8436 7,7077 7,5591 7,4096 7,2210 6,9415 6,5342 5,9896 5,3436 4,6772 4,0781 3,5884 3,1803 2,7811 2,3330 1,8363 1,3425 0,9194 0,6252 0,4936 0,5302 0,7252 1,0649 1,5225 2,0444 2,5648 3,0345 3,4330 3,7546 3,9926 4,1414 4,2084 4,2196 4,2080 4,1841 4,1261 4,0087 3,8334 3,6254 3,4112 3,2033 3,0049 2,8235 2,6812 2,6219 2,6928 2,8991 3,1880 3,4845 3,7302 3,8914 3,9555 3,9325 3,8552 3,7711 3,7284 3,7615 3,8722 4,0169 4,1303 4,1771 4,1731 4,1613 4,1842 4,2703 4,4229 4,6150 4,7976 4,9235 4,9694 4,9444 4,8799 4,8057 4,7323 4,6583 4,6014 4,6052 4,7009 4,8749 5,0780 5,2508 5,3516 5,3799 5,3713 5,3655 5,3764 5,3882 5,3766 5,3282 5,2337 5,0688 4,7922 4,3719 3,8179 3,1950 2,6046 2,1433 1,8653 1,7680 1,8032 1,9084 2,0394 2,1776 2,3179
Fz    2,4058 1,9566 1,4867 1,0437 0,6636 0,3515 0,0893 -0,1343 -0,3089 -0,4163 -0,4483 -0,4049 -0,2841 -0,0799 0,2077 0,5629 0,9508 1,3170 1,5932 1,7241 1,7016 1,5718 1,4020 1,2360 1,0758 0,9005 0,6941 0,4538 0,1844 -0,1037 -0,3977 -0,6869 -0,9625 -1,2128 -1,4281 -1,6064 -1,7453 -1,8274 -1,8260 -1,7325 -1,5655 -1,3542 -1,1308 -0,9364 -0,8055 -0,7287 -0,6502 -0,5112 -0,2889 0,0043 0,3445 0,7089 1,0729 1,4075 1,6824 1,8664 1,9235 1,8221 1,5611 1,1871 0,7811 0,4306 0,2050 0,1333 0,1952 0,3331 0,4786 0,5758 0,5932 0,5246 0,3841 0,2004 0,0096 -0,1595 -0,3034 -0,4435 -0,5960 -0,7421 -0,8332 -0,8283 -0,7231 -0,5467 -0,3347 -0,1087 0,1227 0,3474 0,5437 0,6919 0,7888 0,8512 0,9132 1,0168 1,1951 1,4577 1,7871 2,1411 2,4628 2,6977 2,8130 2,8054 2,6938 2,5119 2,3106 2,1542 2,0946 2,1457 2,2870 2,4788 2,6681 2,8010 2,8474 2,8109 2,7144 2,5853 2,4491 2,3287 2,2481 2,2274 2,2738 2,3823 2,5382 2,7185 2,9004 3,0660 3,1941 3,2552 3,2232 3,0897 2,8658 2,5800 2,2768 2,0024 1,7838 1,6217 1,4960 1,3688 1,1934 0,9461 0,6580 0,4027 0,2524 0,2493 0,4013 0,6844 1,0469 1,4255 1,7679 2,0382 2,2124 2,2862 2,2864 2,2558 2,2163 2,1511 2,0287 1,8498 1,6712 1,5789 1,6341 1,8457 2,1765 2,5547 2,8841 3,0684 3,0408 2,7749 2,2811 1,6046 0,8167 -0,0094 -0,8213 -1,5884 -2,2893 -2,9027 -3,4064 -3,7739 -3,9665 -3,9439 -3,6986 -3,2734 -2,7389 -2,1579 -1,5739 -1,0261 -0,5657 -0,2437 -0,0768 -0,0256 -0,0083 0,0627 0,2530 0,5947 1,0786 1,6517 2,2316 2,7320 3,0851 3,2626 3,2885 3,2344 3,1976 3,2697 3,4943 3,8378 4,2075 4,5069 4,6779 4,7140 4,6581 4,5852 4,5670 4,6438 4,8158 5,0380 5,2239 5,2830 5,1760 4,9342 4,6276 4,3205 4,0483 3,8141 3,6065 3,4248 3,2810 3,1836 3,1320 3,1182 3,1260 3,1424 3,1790 3,2723 3,4484 3,6837 3,8991 3,9929 3,8920 3,5876 3,1287 2,5829 2,0065 1,4419 0,9223 0,4642 0,0682 -0,2623 -0,5028 -0,6145 -0,5747 -0,3964 -0,1163 0,2236 0,5823 0,9224 1,2157 1,4414 1,5795 1,6152 1,5506 1,4120 1,2421 1,0859 0,9785 0,9321 0,9238 0,8962 0,7818 0,5387 0,1717 -0,2765 -0,7548 -1,2238 -1,6535 -2,0128 -2,2777 -2,4502 -2,5656 -2,6741 -2,8010 -2,9191 -2,9591 -2,8491 -2,5505 -2,0719 -1,4639 -0,8028 -0,1699 0,3664 0,7690 1,0394 1,2084 1,3163 1,3883 1,4257 1,4252 1,3932 1,3299 1,2106 0,9978 0,6709 0,2428 -0,2518 -0,7871 -1,3625 -1,9849 -2,6368 -3,2759 -3,8670 -4,3995 -4,8697 -5,2639 -5,5609 -5,7313 -5,7374 -5,5551 -5,1943 -4,6969 -4,1221 -3,5302 -2,9701 -2,4741 -2,0642 -1,7573 -1,5556 -1,4327 -1,3342 -1,1979 -0,9814 -0,6851 -0,3484 -0,0209 0,2619 0,4814 0,6235 0,6733 0,6193 0,4531 0,1666 -0,2473 -0,7910 -1,4511 -2,1785 -2,8794 -3,4409 -3,7729 -3,8358 -3,6473 -3,2789 -2,8391 -2,4310 -2,1090 -1,8691 -1,6709 -1,4698 -1,2472 -1,0194 -0,8181 -0,6625 -0,5425 -0,4204 -0,2456 0,0269 0,4203 0,9229 1,4874 2,0480 2,5494 2,9719 3,3280 3,6293 3,8690 4,0350 4,1205 4,1238 4,0501 3,9113 3,7160 3,4637 3,1492 2,7690 2,3320 1,8767 1,4667 1,1476 0,9133 0,7134 0,4859 0,1951 -0,1465 -0,4892 -0,7735 -0,9457 -0,9624 -0,7996 -0,4653 0,0044 0,5604 1,1427 1,6796 2,1091 2,4063 2,5861 2,6807 2,7180 2,7176 2,6961 2,6598 2,6015 2,5156 2,4134 2,3148 2,2298 2,1551 2,0851 2,0132 1,9229 1,7869 1,5877 1,3402 1,0878 0,8701 0,6975 0,5620 0,4649 0,4241 0,4497 0,5185 0,5832 0,6068 0,5820 0,5216 0,4461 0,3788 0,3416 0,3561 0,4446 0,6208 0,8779 1,1908 1,5255 1,8535 2,1585 2,4286 2,6458 2,7844 2,8191 2,7391 2,5568 2,3051 2,0304 1,7789 1,5863 1,4817 1,4894 1,6128 1,8212 2,0651 2,3021 2,5068 2,6604 2,7466 2,7552 2,6842 2,5365 2,3186 2,0426 1,7350 1,4490 1,2604 1,2391 1,4225 1,8195 2,4132 3,1443 3,9086 4,5940 5,1260 5,4886 5,7194 5,8825 6,0275 6,1686 6,2955 6,3932 6,4645 6,5447 6,6942 6,9645 7,3656 7,8569 8,3615 8,7947 9,0910 9,2183 9,1732 8,9691 8,6364 8,2250 7,7884 7,3549 6,9199 6,4620 5,9573 5,3880 4,7584 4,1028 3,4705 2,8942 2,3652 1,8407 1,2837 0,6989 0,1309 -0,3618 -0,7313 -0,9538 -1,0274 -0,9535 -0,7280 -0,3572 0,1224 0,6482 1,1579 1,6134 2,0006 2,3138 2,5526 2,7325 2,8887 3,0594 3,2585 3,4688 3,6629 3,8241 3,9456 4,0226 4,0511 4,0344 3,9947 3,9751 4,0331 4,2166 4,5305 4,9247 5,3182 5,6331 5,8189 5,8647 5,7982 5,6755 5,5626 5,5145 5,5573 5,6780 5,8248 5,9297 5,9412 5,8419 5,6450 5,3891 5,1285 4,9133 4,7690 4,6894 4,6474 4,6145 4,5731 4,5200 4,4633 4,4174 4,4013 4,4364 4,5336 4,6760 4,8197 4,9138 4,9124 4,7853 4,5391 4,2244 3,9125 3,6615 3,4950 3,4065 3,3760 3,3803 3,3879 3,3556 3,2420 3,0336 2,7621 2,4946 2,3005 2,2232 2,2707 2,4203 2,6345 2,8780 3,1217 3,3379
F3    2,3790 1,8869 1,2856 0,6126 -0,0901 -0,7771 -1,3901 -1,8571 -2,1162 -2,1412 -1,9460 -1,5704 -1,0694 -0,5068 0,0595 0,6028 1,1327 1,6560 2,1341 2,4955 2,6930 2,7374 2,6725 2,5216 2,2620 1,8545 1,2963 0,6471 0,0149 -0,4854 -0,7849 -0,8938 -0,8847 -0,8456 -0,8474 -0,9377 -1,1298 -1,3810 -1,6016 -1,7035 -1,6415 -1,4173 -1,0762 -0,7044 -0,4000 -0,2185 -0,1470 -0,1332 -0,1306 -0,1152 -0,0736 0,0112 0,1636 0,4100 0,7642 1,2009 1,6357 1,9443 2,0305 1,8888 1,6007 1,2716 0,9679 0,6984 0,4410 0,1850 -0,0441 -0,1930 -0,2137 -0,1016 0,0903 0,2754 0,3764 0,3545 0,2128 -0,0153 -0,2763 -0,5135 -0,6892 -0,7919 -0,8194 -0,7632 -0,6124 -0,3613 -0,0176 0,3847 0,7860 1,1257 1,3727 1,5350 1,6410 1,7137 1,7605 1,7812 1,7782 1,7584 1,7354 1,7365 1,7948 1,9285 2,1298 2,3735 2,6275 2,8577 3,0268 3,0933 3,0241 2,8172 2,5102 2,1667 1,8539 1,6211 1,4892 1,4584 1,5234 1,6835 1,9404 2,2817 2,6720 3,0669 3,4255 3,7113 3,9056 4,0215 4,0881 4,1141 4,0704 3,9119 3,6162 3,2082 2,7530 2,3165 1,9215 1,5394 1,1144 0,5943 -0,0405 -0,7483 -1,4179 -1,9051 -2,0955 -1,9458 -1,4892 -0,8218 -0,0784 0,6093 1,1599 1,5578 1,8369 2,0588 2,2878 2,5493 2,8004 2,9491 2,9242 2,7322 2,4452 2,1423 1,8739 1,6783 1,5960 1,6387 1,7532 1,8387 1,7979 1,5671 1,1225 0,4963 -0,2143 -0,8827 -1,4176 -1,8015 -2,0690 -2,2566 -2,3783 -2,4292 -2,3876 -2,2215 -1,9175 -1,5056 -1,0472 -0,5980 -0,1823 0,1944 0,5118 0,7233 0,7911 0,7327 0,6336 0,6126 0,7657 1,1258 1,6537 2,2563 2,8230 3,2694 3,5644 3,7275 3,8060 3,8519 3,9199 4,0688 4,3393 4,7138 5,1023 5,3798 5,4511 5,3071 5,0383 4,7926 4,7005 4,8132 5,0804 5,3699 5,5264 5,4428 5,1078 4,6067 4,0744 3,6258 3,3078 3,1013 2,9613 2,8601 2,7972 2,7832 2,8265 2,9285 3,0776 3,2445 3,3922 3,4957 3,5478 3,5394 3,4448 3,2374 2,9241 2,5613 2,2308 1,9871 1,8302 1,7299 1,6688 1,6486 1,6627 1,6868 1,7027 1,7179 1,7492 1,7992 1,8611 1,9372 2,0381 2,1657 2,3025 2,4039 2,4082 2,2730 2,0050 1,6582 1,3073 1,0142 0,8050 0,6621 0,5367 0,3765 0,1476 -0,1536 -0,4953 -0,8281 -1,1230 -1,3880 -1,6324 -1,8239 -1,9005 -1,8286 -1,6479 -1,4589 -1,3636 -1,3978 -1,5054 -1,5782 -1,5187 -1,2759 -0,8581 -0,3338 0,1901 0,6184 0,9181 1,1264 1,3154 1,5423 1,8092 2,0593 2,2219 2,2614 2,1796 1,9901 1,7035 1,3275 0,8696 0,3431 -0,2324 -0,8396 -1,4629 -2,0783 -2,6626 -3,2189 -3,7735 -4,3390 -4,8846 -5,3354 -5,5879 -5,5497 -5,2012 -4,6266 -3,9808 -3,4124 -2,9897 -2,6786 -2,3912 -2,0575 -1,6545 -1,1861 -0,6579 -0,0752 0,5485 1,1839 1,7832 2,2886 2,6484 2,8328 2,8392 2,6912 2,4354 2,1288 1,8059 1,4525 1,0207 0,4713 -0,1889 -0,8911 -1,5229 -1,9790 -2,2126 -2,2482 -2,1624 -2,0555 -2,0217 -2,1149 -2,3252 -2,5818 -2,7770 -2,8081 -2,6264 -2,2583 -1,7777 -1,2635 -0,7723 -0,3321 0,0542 0,4004 0,7243 1,0370 1,3470 1,6659 2,0014 2,3498 2,7006 3,0365 3,3354 3,5788 3,7501 3,8294 3,8045 3,6882 3,5167 3,3315 3,1562 2,9901 2,8296 2,6916 2,6107 2,6080 2,6588 2,6841 2,5768 2,2616 1,7502 1,1474 0,5996 0,2295 0,0965 0,1917 0,4556 0,8108 1,1872 1,5183 1,7363 1,8052 1,7564 1,6782 1,6682 1,7859 2,0264 2,3204 2,5582 2,6429 2,5514 2,3525 2,1584 2,0472 2,0247 2,0383 2,0174 1,9092 1,7048 1,4460 1,2115 1,0824 1,1029 1,2503 1,4376 1,5548 1,5208 1,3133 0,9721 0,5820 0,2402 0,0152 -0,0799 -0,0805 -0,0382 0,0141 0,0910 0,2518 0,5525 0,9978 1,5388 2,1066 2,6460 3,1221 3,5023 3,7496 3,8377 3,7664 3,5624 3,2670 2,9266 2,5872 2,2872 2,0540 1,9165 1,9101 2,0550 2,3259 2,6527 2,9566 3,1847 3,3209 3,3782 3,3757 3,3056 3,1252 2,7888 2,2912 1,6907 1,1058 0,6893 0,5753 0,8224 1,3950 2,1859 3,0560 3,8732 4,5420 5,0119 5,2747 5,3716 5,3865 5,4007 5,4521 5,5381 5,6412 5,7542 5,9022 6,1397 6,5099 6,9963 7,5162 7,9674 8,2848 8,4564 8,4966 8,4182 8,2367 7,9905 7,7396 7,5298 7,3588 7,1781 6,9219 6,5326 5,9803 5,2834 4,5122 3,7580 3,0857 2,5029 1,9701 1,4487 0,9464 0,5141 0,2016 0,0217 -0,0478 -0,0355 0,0503 0,2225 0,4942 0,8592 1,2867 1,7276 2,1281 2,4453 2,6564 2,7591 2,7670 2,7039 2,6010 2,4910 2,4012 2,3444 2,3186 2,3225 2,3636 2,4441 2,5511 2,6762 2,8325 3,0460 3,3255 3,6437 3,9501 4,2031 4,3924 4,5354 4,6537 4,7518 4,8241 4,8748 4,9180 4,9555 4,9589 4,8839 4,7049 4,4383 4,1337 3,8505 3,6437 3,5548 3,6064 3,7949 4,0831 4,4061 4,7001 4,9249 5,0683 5,1422 5,1784 5,2147 5,2699 5,3239 5,3271 5,2329 5,0212 4,6961 4,2854 3,8537 3,4923 3,2775 3,2337 3,3280 3,4921 3,6554 3,7702 3,8148 3,7772 3,6479 3,4412 3,2154 3,0461 2,9697 2,9691 3,0098 3,0692 3,1349 3,1963 3,2464 3,2794
F7    0,8523 0,5968 0,3251 0,0963 -0,0476 -0,1154 -0,1572 -0,2172 -0,3030 -0,3918 -0,4475 -0,4346 -0,3330 -0,1448 0,1154 0,4294 0,7695 1,0920 1,3431 1,4800 1,4917 1,4011 1,2447 1,0477 0,8119 0,5277 0,1934 -0,1787 -0,5652 -0,9330 -1,2459 -1,4779 -1,6210 -1,6816 -1,6755 -1,6212 -1,5263 -1,3766 -1,1514 -0,8535 -0,5142 -0,1705 0,1467 0,4059 0,5833 0,6875 0,7582 0,8332 0,9245 1,0272 1,1382 1,2565 1,3674 1,4446 1,4705 1,4442 1,3661 1,2261 1,0186 0,7672 0,5232 0,3409 0,2526 0,2573 0,3237 0,4051 0,4599 0,4648 0,4114 0,2946 0,1118 -0,1216 -0,3662 -0,5846 -0,7692 -0,9354 -1,0901 -1,2136 -1,2700 -1,2281 -1,0725 -0,8053 -0,4463 -0,0244 0,4305 0,8897 1,3225 1,6923 1,9622 2,1185 2,1895 2,2357 2,3183 2,4723 2,6970 2,9568 3,1947 3,3611 3,4380 3,4379 3,3837 3,2957 3,1949 3,1094 3,0609 3,0459 3,0388 3,0158 2,9733 2,9284 2,9097 2,9450 3,0462 3,2047 3,3989 3,6089 3,8298 4,0641 4,3011 4,5105 4,6508 4,6871 4,6101 4,4382 4,1962 3,8978 3,5527 3,1763 2,7868 2,4003 2,0321 1,6902 1,3733 1,0842 0,8362 0,6373 0,4736 0,3234 0,1827 0,0660 -0,0149 -0,0555 -0,0472 0,0225 0,1555 0,3374 0,5517 0,7819 1,0049 1,2026 1,3755 1,5291 1,6447 1,6733 1,5681 1,3281 1,0077 0,6862 0,4285 0,2706 0,2196 0,2507 0,3096 0,3373 0,2903 0,1369 -0,1433 -0,5402 -1,0038 -1,4664 -1,8798 -2,2363 -2,5598 -2,8771 -3,1953 -3,4906 -3,7069 -3,7779 -3,6706 -3,4085 -3,0541 -2,6723 -2,3010 -1,9469 -1,6027 -1,2640 -0,9355 -0,6257 -0,3360 -0,0547 0,2393 0,5722 0,9603 1,3878 1,8048 2,1490 2,3717 2,4520 2,4000 2,2618 2,1220 2,0816 2,2061 2,4864 2,8449 3,1732 3,3756 3,4027 3,2682 3,0337 2,7735 2,5458 2,3788 2,2687 2,1922 2,1350 2,1090 2,1402 2,2389 2,3861 2,5386 2,6415 2,6540 2,5763 2,4433 2,2974 2,1726 2,0903 2,0541 2,0546 2,0838 2,1478 2,2647 2,4441 2,6664 2,8864 3,0640 3,1882 3,2677 3,3040 3,2819 3,1860 3,0216 2,8178 2,6137 2,4456 2,3433 2,3285 2,4074 2,5638 2,7659 2,9818 3,1871 3,3637 3,4997 3,5879 3,6230 3,6021 3,5185 3,3585 3,1117 2,7880 2,4206 2,0461 1,6817 1,3222 0,9543 0,5737 0,1914 -0,1709 -0,4904 -0,7487 -0,9278 -1,0040 -0,9595 -0,8092 -0,6158 -0,4680 -0,4289 -0,4943 -0,5907 -0,6161 -0,4883 -0,1719 0,3154 0,9116 1,5297 2,0810 2,5014 2,7681 2,8961 2,9199 2,8714 2,7701 2,6347 2,4866 2,3289 2,1303 1,8432 1,4414 0,9438 0,4074 -0,1066 -0,5663 -0,9665 -1,2997 -1,5544 -1,7469 -1,9274 -2,1387 -2,3788 -2,6058 -2,7620 -2,7949 -2,6787 -2,4253 -2,0743 -1,6786 -1,2885 -0,9355 -0,6308 -0,3785 -0,1776 -0,0070 0,1798 0,4360 0,7956 1,2574 1,7787 2,2862 2,7042 2,9821 3,1005 3,0598 2,8766 2,5876 2,2386 1,8588 1,4395 0,9377 0,3141 -0,4181 -1,1782 -1,8506 -2,3304 -2,5509 -2,4976 -2,2202 -1,8282 -1,4490 -1,1732 -1,0270 -0,9777 -0,9587 -0,9106 -0,8140 -0,6873 -0,5621 -0,4575 -0,3686 -0,2703 -0,1326 0,0601 0,2970 0,5496 0,7903 1,0080 1,2171 1,4487 1,7218 2,0264 2,3329 2,6073 2,8209 2,9611 3,0324 3,0410 2,9793 2,8289 2,5773 2,2392 1,8645 1,5234 1,2723 1,1291 1,0712 1,0508 1,0195 0,9495 0,8427 0,7288 0,6516 0,6485 0,7355 0,9037 1,1310 1,4029 1,7095 2,0223 2,2933 2,4830 2,5812 2,6027 2,5664 2,4813 2,3462 2,1584 1,9280 1,6888 1,4869 1,3505 1,2735 1,2274 1,1845 1,1242 1,0254 0,8680 0,6559 0,4381 0,2953 0,2864 0,4071 0,6024 0,8144 1,0102 1,1684 1,2572 1,2438 1,1255 0,9395 0,7419 0,5830 0,4974 0,5021 0,6012 0,7923 1,0661 1,4045 1,7822 2,1684 2,5316 2,8398 3,0597 3,1655 3,1521 3,0399 2,8705 2,6931 2,5378 2,4008 2,2593 2,1068 1,9786 1,9436 2,0600 2,3371 2,7350 3,1907 3,6357 4,0039 4,2486 4,3543 4,3303 4,2016 4,0039 3,7717 3,5273 3,2894 3,0868 2,9543 2,9209 3,0089 3,2323 3,5815 4,0156 4,4741 4,8951 5,2272 5,4466 5,5673 5,6244 5,6465 5,6443 5,6172 5,5646 5,4976 5,4394 5,4107 5,4115 5,4180 5,3999 5,3439 5,2570 5,1499 5,0272 4,8953 4,7748 4,6958 4,6704 4,6694 4,6360 4,5148 4,2689 3,8908 3,4140 2,9087 2,4508 2,0820 1,7888 1,5176 1,2179 0,8783 0,5282 0,2150 -0,0198 -0,1564 -0,1946 -0,1328 0,0467 0,3633 0,8143 1,3637 1,9491 2,4922 2,9159 3,1655 3,2276 3,1334 2,9465 2,7354 2,5415 2,3699 2,2073 2,0407 1,8663 1,6884 1,5127 1,3443 1,1920 1,0675 0,9842 0,9551 0,9820 1,0516 1,1466 1,2571 1,3826 1,5237 1,6681 1,7881 1,8557 1,8634 1,8284 1,7731 1,7068 1,6254 1,5272 1,4236 1,3392 1,3077 1,3637 1,5306 1,8052 2,1501 2,5039 2,8083 3,0285 3,1580 3,2158 3,2401 3,2787 3,3749 3,5498 3,7897 4,0580 4,3203 4,5488 4,7199 4,8280 4,8955 4,9542 5,0128 5,0482 5,0295 4,9435 4,7938 4,5800 4,2875 3,8988 3,4232 2,9147 2,4524 2,1029 1,9013 1,8543 1,9443 2,1303 2,3569 2,5674 2,7152
