Fp1   2,3457 2,4700 2,5129 2,4615 2,3114 2,0854 1,8423 1,6497 1,5394 1,4856 1,4188 1,2636 0,9789 0,5870 0,1639 -0,2090 -0,4814 -0,6263 -0,6229 -0,4642 -0,1772 0,1707 0,4866 0,6822 0,7111 0,5922 0,3953 0,1944 0,0215 -0,1428 -0,3429 -0,6142 -0,9556 -1,3185 -1,6319 -1,8555 -2,0014 -2,0956 -2,1229 -2,0272 -1,7780 -1,4274 -1,0835 -0,8387 -0,7266 -0,7280 -0,8067 -0,9379 -1,0999 -1,2539 -1,3457 -1,3250 -1,1736 -0,9269 -0,6661 -0,4746 -0,3943 -0,4013 -0,4063 -0,2938 0,0087 0,4813 1,0159 1,4682 1,7310 1,7905 1,7159 1,5941 1,4886 1,4433 1,4799 1,5917 1,7569 1,9477 2,1281 2,2666 2,3523 2,3875 2,3716 2,3093 2,2306 2,1799 2,1692 2,1567 2,0873 1,9427 1,7425 1,5118 1,2682 1,0342 0,8449 0,7379 0,7281 0,7919 0,8803 0,9431 0,9396 0,8476 0,6849 0,5153 0,4220 0,4664 0,6532 0,9201 1,1640 1,2882 1,2388 1,0190 0,6829 0,3023 -0,0753 -0,4345 -0,7648 -1,0492 -1,2820 -1,4761 -1,6410 -1,7622 -1,8162 -1,7957 -1,7155 -1,6131 -1,5480 -1,5770 -1,7150 -1,9285 -2,1625 -2,3626 -2,4813 -2,4794 -2,3299 -2,0157 -1,5276 -0,8746 -0,1017 0,7035 1,4327 1,9951 2,3503 2,5229 2,5848 2,6030 2,6001 2,5650 2,4907 2,3932 2,3101 2,2848 2,3372 2,4490 2,5864 2,7355 2,9061 3,1055 3,3120 3,4826 3,5828 3,5985 3,5150 3,3068 2,9680 2,5487 2,1423 1,8376 1,6855 1,7003 1,8730 2,1732 2,5508 2,9556 3,3604 3,7539 4,1160 4,4069 4,5793 4,6038 4,4854 4,2624 3,9988 3,7646 3,6034 3,5153 3,4705 3,4312 3,3651 3,2555 3,1107 2,9663 2,8769 2,8958 3,0470 3,3122 3,6447 3,9797 4,2418 4,3709 4,3435 4,1708 3,8918 3,5636 3,2469 3,0018 2,8812 2,9070 3,0653 3,3258 3,6524 4,0011 4,3283 4,5993 4,7835 4,8466 4,7629 4,5268 4,1535 3,6798 3,1587 2,6347 2,1249 1,6225 1,1167 0,6212 0,1867 -0,1165 -0,2324 -0,1558 0,0548 0,3125 0,5490 0,7275 0,8325 0,8678 0,8510 0,7942 0,7003 0,5825 0,4691 0,3881 0,3671 0,4363 0,6127 0,8859 1,2213 1,5714 1,8899 2,1460 2,3270 2,4229 2,4091 2,2540 1,9562 1,5788 1,2280 0,9907 0,8977 0,9324 1,0637 1,2759 1,5705 1,9518 2,4214 2,9706 3,5574 4,0896 4,4442 4,5184 4,2853 3,8140 3,2414 2,7141 2,3285 2,1026 1,9996 1,9698 1,9730 1,9761 1,9422 1,8336 1,6362 1,3737 1,0902 0,8216 0,5807 0,3635 0,1638 -0,0096 -0,1313 -0,1840 -0,1796 -0,1437 -0,1026 -0,0961 -0,1662 -0,3195 -0,5193 -0,7114 -0,8440 -0,8756 -0,7910 -0,6207 -0,4403 -0,3322 -0,3285 -0,3937 -0,4665 -0,5170 -0,5591 -0,6084 -0,6421 -0,6049 -0,4520 -0,1781 0,1867 0,5989 1,0224 1,4340 1,8142 2,1349 2,3570 2,4487 2,4181 2,3251 2,2502 2,2348 2,2550 2,2539 2,1934 2,0858 1,9895 1,9685 2,0523 2,2338 2,4874 2,7805 3,0898 3,4164 3,7745 4,1527 4,4892 4,6942 4,7001 4,4959 4,1230 3,6523 3,1671 2,7536 2,4859 2,4070 2,5224 2,7973 3,1503 3,4679 3,6493 3,6462 3,4624 3,1252 2,6581 2,0800 1,4307 0,7843 0,2300 -0,1557 -0,3302 -0,2962 -0,0983 0,1955 0,5133 0,7931 0,9960 1,1066 1,1232 1,0615 0,9658 0,8909 0,8689 0,9019 0,9790 1,0926 1,2335 1,3724 1,4694 1,5107 1,5107 1,4696 1,3541 1,1402 0,8576 0,5839 0,4005 0,3515 0,4275 0,5849 0,7883 1,0403 1,3658 1,7616 2,1705 2,5152 2,7452 2,8487 2,8344 2,7255 2,5643 2,3997 2,2634 2,1702 2,1285 2,1316 2,1555 2,1753 2,1861 2,2158 2,3017 2,4493 2,6181 2,7414 2,7561 2,6324 2,3919 2,1036 1,8596 1,7469 1,8210 2,0835 2,4710 2,8742 3,1768 3,2817 3,1246 2,6998 2,0869 1,4320 0,8801 0,5104 0,3214 0,2538 0,2217 0,1427 -0,0220 -0,2323 -0,3818 -0,3655 -0,1414 0,2473 0,6909 1,0717 1,3262 1,4572 1,5068 1,5221 1,5383 1,5830 1,6768 1,8255 2,0214 2,2461 2,4672 2,6445 2,7476 2,7784 2,7746 2,7924 2,8849 3,0829 3,3741 3,6984 3,9678 4,1003 4,0505 3,8224 3,4637 3,0443 2,6308 2,2726 1,9971 1,8033 1,6665 1,5616 1,4829 1,4419 1,4546 1,5309 1,6643 1,8201 1,9373 1,9548 1,8424 1,6153 1,3269 1,0457 0,8254 0,6752 0,5540 0,3976 0,1465 -0,2352 -0,7320 -1,2568 -1,6734 -1,8605 -1,7690 -1,4316 -0,9413 -0,4200 0,0187 0,2959 0,3739 0,2636 0,0289 -0,2352 -0,4376 -0,5172 -0,4539 -0,2569 0,0542 0,4451 0,8592 1,2476 1,6104 1,9823 2,3667 2,7055 2,9276 3,0068 2,9655 2,8464 2,6946 2,5514 2,4489 2,4045 2,4199 2,4867 2,5844 2,6775 2,7269 2,7072 2,6116 2,4551 2,2739 2,1150 2,0167 1,9983 2,0643 2,2104 2,4198 2,6599 2,8894 3,0793 3,2297 3,3651 3,5099 3,6644 3,8016 3,8844 3,8863 3,8108 3,6936 3,5769 3,4770 3,3773 3,2468 3,0623 2,8136 2,4946 2,1118 1,7083 1,3596 1,1276 1,0176 0,9792 0,9432 0,8617 0,7198 0,5191 0,2609 -0,0400 -0,3315 -0,5355 -0,5882 -0,4679 -0,1907 0,2096 0,6854 1,1590 1,5196 1,6574 1,5119 1,1027 0,5284 -0,0754 -0,5961 -0,9772 -1,2126 -1,3292 -1,3765 -1,4130 -1,4823 -1,5981 -1,7468 -1,8955
Fz    3,0127 2,8268 2,6651 2,5039 2,3019 2,0424 1,7500 1,4683 1,2224 1,0046 0,7891 0,5561 0,3103 0,0812 -0,0925 -0,1791 -0,1667 -0,0736 0,0564 0,1717 0,2281 0,1969 0,0727 -0,1279 -0,3749 -0,6363 -0,8866 -1,1084 -1,2862 -1,4029 -1,4432 -1,4025 -1,2894 -1,1260 -0,9469 -0,7947 -0,7061 -0,7010 -0,7792 -0,9183 -1,0710 -1,1794 -1,2024 -1,1313 -0,9771 -0,7543 -0,4835 -0,2009 0,0341 0,1473 0,0896 -0,1182 -0,3841 -0,5927 -0,6600 -0,5643 -0,3374 -0,0184 0,3808 0,8643 1,4227 2,0234 2,6185 3,1472 3,5358 3,7209 3,6861 3,4726 3,1575 2,8263 2,5527 2,3886 2,3647 2,4904 2,7495 3,1096 3,5346 3,9838 4,4077 4,7616 5,0202 5,1696 5,1845 5,0286 4,6885 4,1970 3,6277 3,0697 2,6036 2,2806 2,1062 2,0424 2,0340 2,0396 2,0435 2,0445 2,0338 1,9804 1,8335 1,5440 1,0956 0,5290 -0,0629 -0,5815 -0,9704 -1,2194 -1,3374 -1,3360 -1,2386 -1,0973 -0,9895 -0,9880 -1,1271 -1,3885 -1,7173 -2,0559 -2,3620 -2,6048 -2,7669 -2,8450 -2,8349 -2,7366 -2,5827 -2,4314 -2,3210 -2,2486 -2,1827 -2,0731 -1,8716 -1,5714 -1,2226 -0,8953 -0,6330 -0,4407 -0,2961 -0,1556 0,0321 0,2971 0,6342 1,0208 1,4438 1,8995 2,3694 2,8081 3,1612 3,3924 3,4914 3,4657 3,3322 3,1129 2,8368 2,5452 2,2882 2,1066 2,0194 2,0257 2,1137 2,2658 2,4609 2,6810 2,9195 3,1794 3,4614 3,7558 4,0476 4,3197 4,5432 4,6678 4,6375 4,4293 4,0851 3,7024 3,3852 3,1888 3,1049 3,0847 3,0742 3,0497 3,0396 3,1056 3,2967 3,6200 4,0368 4,4719 4,8346 5,0527 5,1000 4,9950 4,7788 4,4972 4,1902 3,8900 3,6242 3,4123 3,2623 3,1840 3,1986 3,3251 3,5616 3,8849 4,2619 4,6576 5,0374 5,3680 5,6201 5,7660 5,7799 5,6442 5,3608 4,9639 4,5182 4,0891 3,7148 3,3967 3,1053 2,8068 2,4945 2,1939 1,9296 1,6971 1,4700 1,2274 0,9679 0,7049 0,4608 0,2603 0,1137 0,0082 -0,0751 -0,1351 -0,1456 -0,0810 0,0552 0,2256 0,3814 0,4952 0,5792 0,6739 0,8147 1,0011 1,1864 1,3007 1,2993 1,1923 1,0280 0,8526 0,6951 0,5779 0,5246 0,5537 0,6746 0,8959 1,2289 1,6791 2,2278 2,8229 3,3985 3,9100 4,3396 4,6740 4,8917 4,9800 4,9522 4,8354 4,6465 4,3856 4,0537 3,6702 3,2736 2,9061 2,6037 2,3983 2,3090 2,3208 2,3840 2,4379 2,4413 2,3921 2,3220 2,2639 2,2242 2,1886 2,1440 2,0831 1,9980 1,8856 1,7554 1,6193 1,4797 1,3412 1,2120 1,0775 0,8938 0,6266 0,2924 -0,0405 -0,2850 -0,3675 -0,2520 0,0412 0,4326 0,8180 1,1225 1,3223 1,4217 1,4245 1,3383 1,1957 1,0624 1,0162 1,1173 1,3842 1,7849 2,2508 2,7069 3,0979 3,3908 3,5688 3,6371 3,6331 3,6059 3,5762 3,5252 3,4210 3,2463 3,0080 2,7360 2,4802 2,2951 2,2110 2,2230 2,3092 2,4557 2,6702 2,9825 3,4244 4,0002 4,6664 5,3361 5,9078 6,3038 6,4930 6,4908 6,3405 6,0819 5,7369 5,3229 4,8637 4,3837 3,9084 3,4770 3,1438 2,9574 2,9311 3,0276 3,1734 3,2899 3,3244 3,2705 3,1584 3,0219 2,8744 2,7095 2,5101 2,2591 1,9584 1,6431 1,3757 1,2188 1,2076 1,3367 1,5739 1,8855 2,2488 2,6465 3,0528 3,4232 3,7060 3,8636 3,8803 3,7604 3,5353 3,2615 2,9992 2,7980 2,6983 2,7221 2,8614 3,0883 3,3706 3,6732 3,9672 4,2432 4,5073 4,7660 5,0133 5,2307 5,4005 5,5081 5,5311 5,4449 5,2509 4,9980 4,7638 4,6023 4,5118 4,4565 4,4103 4,3832 4,4131 4,5363 4,7620 5,0579 5,3555 5,5756 5,6534 5,5539 5,2850 4,8916 4,4298 3,9459 3,4743 3,0401 2,6597 2,3448 2,1072 1,9561 1,8862 1,8689 1,8622 1,8374 1,7920 1,7330 1,6546 1,5426 1,3950 1,2256 1,0510 0,8941 0,7965 0,7969 0,8930 1,0392 1,1787 1,2758 1,3307 1,3652 1,3988 1,4466 1,5330 1,6893 1,9323 2,2454 2,5858 2,9091 3,1890 3,4150 3,5821 3,6888 3,7414 3,7507 3,7325 3,7176 3,7537 3,8836 4,1197 4,4284 4,7337 4,9487 5,0210 4,9570 4,8062 4,6203 4,4257 4,2278 4,0210 3,7928 3,5344 3,2560 2,9914 2,7868 2,6773 2,6613 2,6869 2,6716 2,5451 2,2838 1,9184 1,5144 1,1408 0,8537 0,6937 0,6777 0,7879 0,9695 1,1425 1,2329 1,2083 1,0873 0,9122 0,7178 0,5275 0,3678 0,2758 0,2883 0,4231 0,6661 0,9738 1,2902 1,5688 1,7903 1,9668 2,1343 2,3444 2,6538 3,0947 3,6499 4,2593 4,8487 5,3482 5,7019 5,8825 5,9097 5,8523 5,7995 5,8128 5,8926 5,9912 6,0611 6,0947 6,1177 6,1515 6,1830 6,1710 6,0830 5,9285 5,7607 5,6507 5,6500 5,7634 5,9504 6,1558 6,3371 6,4678 6,5265 6,4943 6,3601 6,1215 5,7759 5,3224 4,7886 4,2543 3,8297 3,5987 3,5852 3,7612 4,0714 4,4509 4,8315 5,1448 5,3389 5,3979 5,3425 5,2092 5,0284 4,8185 4,5925 4,3564 4,0960 3,7800 3,3835 2,9104 2,3967 1,8961 1,4530 1,0843 0,7858 0,5494 0,3769 0,2789 0,2581 0,3034 0,4042 0,5578 0,7512 0,9484 1,1054 1,1969 1,2249 1,2032 1,1328 0,9910 0,7442 0,3755 -0,0959 -0,6213 -1,1435 -1,6088 -1,9675 -2,1808
F3    2,1239 1,7993 1,5498 1,3699 1,2298 1,1112 1,0180 0,9650 0,9619 1,0030 1,0664 1,1238 1,1513 1,1304 1,0563 0,9495 0,8414 0,7380 0,6127 0,4334 0,1865 -0,1137 -0,4270 -0,7069 -0,9279 -1,0975 -1,2406 -1,3713 -1,4758 -1,5203 -1,4727 -1,3240 -1,0950 -0,8293 -0,5800 -0,3904 -0,2775 -0,2382 -0,2743 -0,3992 -0,6081 -0,8509 -1,0509 -1,1476 -1,1153 -0,9544 -0,6844 -0,3513 -0,0390 0,1419 0,1071 -0,1401 -0,5016 -0,8378 -1,0305 -1,0259 -0,8381 -0,5134 -0,0988 0,3604 0,8183 1,2411 1,6199 1,9633 2,2746 2,5402 2,7399 2,8573 2,8850 2,8359 2,7474 2,6628 2,6159 2,6331 2,7332 2,9235 3,2005 3,5478 3,9326 4,3087 4,6230 4,8214 4,8490 4,6601 4,2467 3,6611 3,0093 2,4167 1,9874 1,7720 1,7509 1,8426 1,9464 1,9932 1,9698 1,9025 1,8179 1,7085 1,5251 1,2007 0,6938 0,0280 -0,6970 -1,3470 -1,8218 -2,0794 -2,1125 -1,9386 -1,6213 -1,2759 -1,0235 -0,9361 -1,0196 -1,2323 -1,5203 -1,8491 -2,2017 -2,5521 -2,8640 -3,1075 -3,2519 -3,2641 -3,1375 -2,9023 -2,5992 -2,2622 -1,9193 -1,5874 -1,2703 -0,9784 -0,7467 -0,6234 -0,6399 -0,7931 -1,0387 -1,2857 -1,4186 -1,3516 -1,0670 -0,6093 -0,0496 0,5413 1,0905 1,5226 1,7858 1,8793 1,8406 1,7108 1,5173 1,2740 0,9935 0,7028 0,4411 0,2427 0,1297 0,1137 0,1940 0,3559 0,5828 0,8712 1,2277 1,6487 2,1054 2,5491 2,9311 3,2167 3,3800 3,3909 3,2218 2,8780 2,4226 1,9665 1,6253 1,4705 1,5091 1,6903 1,9338 2,1801 2,4290 2,7194 3,0777 3,4908 3,9087 4,2593 4,4775 4,5390 4,4670 4,3034 4,0750 3,7862 3,4399 3,0579 2,6852 2,3750 2,1749 2,1260 2,2579 2,5701 3,0225 3,5531 4,0967 4,5858 4,9576 5,1772 5,2416 5,1550 4,9135 4,5158 3,9829 3,3720 2,7679 2,2487 1,8504 1,5576 1,3187 1,0824 0,8362 0,6143 0,4607 0,3893 0,3776 0,3851 0,3685 0,2930 0,1524 -0,0202 -0,1750 -0,2818 -0,3390 -0,3540 -0,3231 -0,2383 -0,1117 0,0163 0,0984 0,1117 0,0754 0,0377 0,0377 0,0719 0,0942 0,0499 -0,0780 -0,2569 -0,4411 -0,6091 -0,7563 -0,8620 -0,8787 -0,7582 -0,4850 -0,0822 0,4100 0,9551 1,5237 2,0822 2,5990 3,0609 3,4634 3,7774 3,9378 3,8844 3,6239 3,2431 2,8513 2,5159 2,2475 2,0252 1,8230 1,6233 1,4293 1,2693 1,1727 1,1368 1,1301 1,1232 1,1082 1,0951 1,0979 1,1160 1,1318 1,1344 1,1338 1,1394 1,1368 1,1014 1,0278 0,9303 0,8208 0,7034 0,5784 0,4308 0,2266 -0,0612 -0,4217 -0,8013 -1,1187 -1,2869 -1,2417 -0,9757 -0,5519 -0,0762 0,3473 0,6432 0,7716 0,7330 0,5737 0,3759 0,2324 0,2147 0,3531 0,6349 1,0122 1,4178 1,7877 2,0794 2,2774 2,3890 2,4423 2,4811 2,5363 2,5892 2,5811 2,4700 2,2693 2,0326 1,8161 1,6609 1,5862 1,5826 1,6108 1,6242 1,6062 1,5931 1,6602 1,8791 2,2801 2,8336 3,4582 4,0542 4,5402 4,8757 5,0629 5,1267 5,0771 4,8925 4,5441 4,0276 3,3751 2,6565 1,9719 1,4243 1,0871 0,9804 1,0651 1,2620 1,4875 1,6846 1,8340 1,9420 2,0182 2,0592 2,0448 1,9434 1,7273 1,3983 1,0061 0,6393 0,3924 0,3304 0,4654 0,7586 1,1422 1,5479 1,9259 2,2457 2,4806 2,6013 2,5885 2,4441 2,1947 1,8933 1,6078 1,3952 1,2879 1,2964 1,4080 1,5930 1,8289 2,1036 2,3957 2,6746 2,9175 3,1111 3,2460 3,3185 3,3383 3,3299 3,3174 3,3046 3,2817 3,2482 3,2218 3,2282 3,2743 3,3316 3,3583 3,3436 3,3214 3,3414 3,4345 3,6031 3,8231 4,0462 4,2130 4,2718 4,1960 3,9922 3,6894 3,3183 2,9036 2,4657 2,0157 1,5518 1,0750 0,6061 0,1864 -0,1355 -0,3251 -0,3778 -0,3121 -0,1525 0,0700 0,2983 0,4544 0,4793 0,3691 0,1699 -0,0490 -0,2222 -0,3170 -0,3486 -0,3644 -0,4106 -0,4977 -0,5880 -0,6230 -0,5596 -0,3815 -0,0902 0,3008 0,7575 1,2230 1,6300 1,9252 2,0926 2,1617 2,1874 2,2210 2,2893 2,3859 2,4790 2,5384 2,5591 2,5608 2,5673 2,5850 2,6025 2,6127 2,6308 2,6854 2,7937 2,9432 3,0954 3,2057 3,2376 3,1663 2,9844 2,7115 2,3895 2,0630 1,7597 1,4796 1,1913 0,8456 0,4082 -0,1122 -0,6580 -1,1432 -1,4933 -1,6707 -1,6670 -1,4884 -1,1575 -0,7216 -0,2502 0,1756 0,4781 0,5974 0,5011 0,1902 -0,2966 -0,8758 -1,4257 -1,8244 -1,9967 -1,9348 -1,6846 -1,3186 -0,9108 -0,5159 -0,1563 0,1737 0,5016 0,8690 1,3166 1,8568 2,4537 3,0317 3,5028 3,8041 3,9251 3,9074 3,8197 3,7306 3,6834 3,6785 3,6794 3,6502 3,5894 3,5279 3,4950 3,4885 3,4822 3,4623 3,4495 3,4874 3,6158 3,8426 4,1337 4,4320 4,6825 4,8462 4,9059 4,8654 4,7390 4,5411 4,2770 3,9318 3,4796 2,9274 2,3532 1,8846 1,6298 1,6285 1,8501 2,2236 2,6669 3,0993 3,4465 3,6603 3,7387 3,7201 3,6516 3,5537 3,4136 3,2105 2,9424 2,6273 2,2924 1,9688 1,6851 1,4588 1,2902 1,1599 1,0344 0,8809 0,6839 0,4580 0,2406 0,0618 -0,0734 -0,1724 -0,2376 -0,2707 -0,2735 -0,2397 -0,1571 -0,0279 0,1192 0,2385 0,2779 0,1864 -0,0679 -0,4758 -0,9860 -1,5247 -2,0165 -2,3954 -2,6179
F7    3,1942 2,9270 2,5838 2,1911 1,7893 1,4125 1,0734 0,7668 0,4839 0,2203 -0,0241 -0,2389 -0,3872 -0,4107 -0,2667 0,0409 0,4571 0,8902 1,2420 1,4545 1,5361 1,5278 1,4472 1,2776 1,0027 0,6409 0,2496 -0,1050 -0,3868 -0,5986 -0,7591 -0,8849 -0,9839 -1,0532 -1,0927 -1,1268 -1,2041 -1,3571 -1,5665 -1,7726 -1,9142 -1,9552 -1,8892 -1,7400 -1,5550 -1,3763 -1,2090 -1,0296 -0,8370 -0,6845 -0,6506 -0,7825 -1,0612 -1,4129 -1,7566 -2,0440 -2,2488 -2,3314 -2,2292 -1,8944 -1,3386 -0,6319 0,1343 0,8690 1,4863 1,9215 2,1500 2,1887 2,0867 1,9130 1,7321 1,5799 1,4648 1,3868 1,3551 1,3899 1,4995 1,6604 1,8289 1,9678 2,0585 2,0915 2,0573 1,9533 1,7872 1,5707 1,3226 1,0722 0,8513 0,6920 0,6269 0,6751 0,8219 1,0062 1,1403 1,1528 1,0184 0,7602 0,4307 0,0837 -0,2416 -0,5166 -0,7211 -0,8555 -0,9504 -1,0548 -1,2058 -1,4067 -1,6357 -1,8658 -2,0748 -2,2427 -2,3533 -2,3994 -2,3839 -2,3189 -2,2210 -2,1059 -1,9934 -1,9087 -1,8635 -1,8525 -1,8736 -1,9296 -2,0172 -2,1284 -2,2482 -2,3353 -2,3336 -2,2297 -2,0778 -1,9497 -1,8701 -1,8001 -1,6656 -1,4045 -1,0038 -0,5051 0,0125 0,4603 0,7757 0,9464 0,9935 0,9396 0,8044 0,6141 0,3933 0,1607 -0,0499 -0,1898 -0,2308 -0,1843 -0,0897 0,0007 0,0430 0,0327 0,0123 0,0380 0,1383 0,2997 0,4741 0,5951 0,6073 0,5042 0,3445 0,2188 0,1919 0,2637 0,3846 0,5085 0,6263 0,7600 0,9428 1,2033 1,5516 1,9683 2,3985 2,7690 3,0272 3,1686 3,2255 3,2291 3,1840 3,0715 2,8700 2,5756 2,2171 1,8536 1,5530 1,3677 1,3155 1,3682 1,4642 1,5504 1,6122 1,6641 1,7264 1,8145 1,9367 2,0961 2,2961 2,5390 2,8181 3,1152 3,3993 3,6249 3,7404 3,7134 3,5482 3,2822 2,9670 2,6526 2,3709 2,1241 1,8858 1,6282 1,3498 1,0746 0,8241 0,5947 0,3600 0,0960 -0,1937 -0,4789 -0,7284 -0,9302 -1,0946 -1,2437 -1,3888 -1,5067 -1,5449 -1,4592 -1,2540 -0,9852 -0,7184 -0,4873 -0,2946 -0,1325 0,0080 0,1328 0,2359 0,3018 0,3216 0,3040 0,2646 0,2097 0,1367 0,0486 -0,0421 -0,1180 -0,1620 -0,1509 -0,0474 0,1875 0,5585 1,0130 1,4648 1,8409 2,1108 2,2831 2,3910 2,4792 2,5874 2,7173 2,8164 2,8080 2,6425 2,3229 1,9006 1,4566 1,0839 0,8627 0,8265 0,9432 1,1311 1,2896 1,3362 1,2403 1,0254 0,7354 0,4084 0,0808 -0,1978 -0,3796 -0,4539 -0,4589 -0,4571 -0,5119 -0,6632 -0,8893 -1,1019 -1,2051 -1,1643 -1,0214 -0,8538 -0,7225 -0,6469 -0,6064 -0,5603 -0,4789 -0,3713 -0,2871 -0,2873 -0,4037 -0,6199 -0,8819 -1,1236 -1,2882 -1,3333 -1,2347 -1,0028 -0,6898 -0,3595 -0,0463 0,2501 0,5333 0,7843 0,9680 1,0688 1,1170 1,1726 1,2826 1,4619 1,6960 1,9450 2,1531 2,2691 2,2728 2,1862 2,0595 1,9497 1,9075 1,9635 2,1159 2,3303 2,5538 2,7413 2,8750 2,9625 3,0258 3,0890 3,1603 3,2309 3,2979 3,3702 3,4505 3,5321 3,6022 3,6278 3,5592 3,3693 3,0841 2,7646 2,4646 2,1985 1,9390 1,6471 1,3139 0,9748 0,6780 0,4449 0,2753 0,1749 0,1573 0,2243 0,3577 0,5269 0,7035 0,8780 1,0644 1,2811 1,5257 1,7709 1,9829 2,1448 2,2616 2,3500 2,4272 2,4999 2,5485 2,5264 2,3915 2,1505 1,8680 1,6301 1,4931 1,4561 1,4766 1,5142 1,5577 1,6157 1,6970 1,7995 1,9115 2,0177 2,1061 2,1795 2,2714 2,4328 2,6890 3,0190 3,3810 3,7385 4,0541 4,2742 4,3420 4,2315 3,9660 3,6106 3,2543 2,9876 2,8732 2,9134 3,0458 3,1765 3,2218 3,1399 2,9535 2,7345 2,5514 2,4293 2,3543 2,3032 2,2639 2,2288 2,1798 2,0957 1,9706 1,8036 1,5775 1,2760 0,9175 0,5511 0,2248 -0,0273 -0,1739 -0,1923 -0,0985 0,0470 0,1744 0,2360 0,2135 0,1164 -0,0254 -0,1720 -0,2800 -0,3157 -0,2630 -0,1150 0,1322 0,4650 0,8390 1,1809 1,4128 1,4979 1,4651 1,3738 1,2611 1,1400 1,0337 0,9810 1,0126 1,1414 1,3645 1,6557 1,9741 2,2865 2,5747 2,8240 3,0108 3,1051 3,0916 2,9886 2,8359 2,6597 2,4510 2,1795 1,8321 1,4427 1,0846 0,8341 0,7373 0,7932 0,9498 1,1188 1,2098 1,1689 1,0002 0,7484 0,4551 0,1362 -0,2053 -0,5616 -0,9071 -1,2018 -1,4153 -1,5370 -1,5622 -1,4955 -1,3724 -1,2543 -1,1851 -1,1584 -1,1364 -1,0938 -1,0395 -1,0037 -1,0120 -1,0680 -1,1503 -1,2196 -1,2382 -1,1868 -1,0556 -0,8265 -0,4860 -0,0559 0,3963 0,7731 0,9805 0,9718 0,7858 0,5446 0,3982 0,4472 0,6964 1,0624 1,4256 1,6969 1,8560 1,9353 1,9634 1,9271 1,7950 1,5694 1,3057 1,0833 0,9538 0,9163 0,9418 1,0091 1,1215 1,3014 1,5626 1,8771 2,1840 2,4394 2,6463 2,8339 3,0198 3,1926 3,3190 3,3688 3,3384 3,2521 3,1465 3,0541 2,9989 2,9896 3,0078 3,0054 2,9285 2,7567 2,5192 2,2769 2,0973 2,0358 2,1087 2,2736 2,4447 2,5335 2,4826 2,2781 1,9472 1,5447 1,1344 0,7815 0,5474 0,4757 0,5709 0,7872 1,0476 1,2846 1,4628 1,5723 1,6155 1,5969 1,5210 1,3995 1,2527 1,0899 0,8910 0,6158 0,2435 -0,1939 -0,6335 -1,0331 -1,3853 -1,6931 -1,9518
