Fp1   -2,6794 -2,6932 -2,6599 -2,5914 -2,5090 -2,4239 -2,3275 -2,1990 -2,0243 -1,8095 -1,5759 -1,3463 -1,1387 -0,9617 -0,8071 -0,6528 -0,4784 -0,2791 -0,0727 0,1080 0,2345 0,2954 0,3006 0,2797 0,2754 0,3286 0,4620 0,6708 0,9293 1,2054 1,4722 1,7087 1,9002 2,0393 2,1188 2,1276 2,0602 1,9277 1,7531 1,5612 1,3686 1,1818 1,0063 0,8537 0,7337 0,6409 0,5571 0,4677 0,3741 0,2872 0,2133 0,1502 0,0981 0,0662 0,0645 0,0899 0,1282 0,1698 0,2197 0,2907 0,3931 0,5303 0,7007 0,9048 1,1492 1,4419 1,7823 2,1594 2,5605 2,9721 3,3729 3,7339 4,0298 4,2546 4,4225 4,5466 4,6211 4,6307 4,5720 4,4610 4,3223 4,1788 4,0480 3,9404 3,8555 3,7791 3,6885 3,5668 3,4147 3,2444 3,0648 2,8730 2,6610 2,4269 2,1761 1,9149 1,6498 1,3879 1,1344 0,8916 0,6524 0,3945 0,0918 -0,2614 -0,6416 -1,0079 -1,3190 -1,5512 -1,7116 -1,8349 -1,9590 -2,1044 -2,2682 -2,4314 -2,5720 -2,6760 -2,7383 -2,7556 -2,7192 -2,6170 -2,4416 -2,1931 -1,8778 -1,5119 -1,1211 -0,7258 -0,3272 0,0793 0,4802 0,8449 1,1518 1,4047 1,6250 1,8393 2,0758 2,3567 2,6849 3,0370 3,3769 3,6787 3,9361 4,1556 4,3500 4,5378 4,7397 4,9662 5,2037 5,4152 5,5603 5,6224 5,6187 5,5831 5,5401 5,4969 5,4505 5,3959 5,3260 5,2267 5,0802 4,8790 4,6340 4,3698 4,1137 3,8867 3,6991 3,5494 3,4315 3,3431 3,2817 3,2343 3,1773 3,0895 2,9593 2,7833 2,5668 2,3259 2,0837 1,8610 1,6697 1,5097 1,3736 1,2543 1,1533 1,0828 1,0599 1,0943 1,1735 1,2622 1,3222 1,3362 1,3109 1,2633 1,2101 1,1664 1,1440 1,1447 1,1576 1,1652 1,1553 1,1261 1,0799 1,0169 0,9353 0,8359 0,7272 0,6228 0,5332 0,4631 0,4139 0,3809 0,3507 0,3085 0,2474 0,1741 0,1115 0,0888 0,1234 0,2071 0,3071 0,3790 0,3872 0,3228 0,2033 0,0594 -0,0778 -0,1803 -0,2265 -0,2080 -0,1321 -0,0143 0,1339 0,3088 0,5089 0,7300 0,9692 1,2300 1,5188 1,8335 2,1539 2,4460 2,6804 2,8467 2,9531 3,0173 3,0605 3,1018 3,1500 3,1950 3,2135 3,1850 3,1043 2,9811 2,8329 2,6787 2,5362 2,4169 2,3230 2,2533 2,2126 2,2062 2,2289 2,2630 2,2850 2,2736 2,2158 2,1084 1,9579 1,7783 1,5823 1,3774 1,1733 0,9899 0,8529 0,7837 0,7902 0,8678 1,0077 1,1954 1,4005 1,5804 1,7061 1,7758 1,8052 1,8098 1,7984 1,7804 1,7730 1,7922 1,8374 1,8931 1,9408 1,9655 1,9578 1,9120 1,8248 1,6981 1,5511 1,4222 1,3522 1,3635 1,4497 1,5782 1,7057 1,8001 1,8533 1,8787 1,9079 1,9881 2,1695 2,4776 2,8880 3,3267 3,6996 3,9322 3,9970 3,9160 3,7467 3,5600 3,4207 3,3762 3,4526 3,6466 3,9229 4,2239 4,4926 4,6924 4,8121 4,8583 4,8498 4,8142 4,7864 4,7990 4,8699 4,9952 5,1525 5,3113 5,4467 5,5452 5,5988 5,5955 5,5216 5,3727 5,1633 4,9251 4,6943 4,4990 4,3538 4,2576 4,1925 4,1342 4,0706 4,0067 3,9510 3,9001 3,8440 3,7854 3,7453 3,7429 3,7762 3,8254 3,8668 3,8808 3,8542 3,7844 3,6845 3,5802 3,4989 3,4612 3,4813 3,5659 3,7035 3,8572 3,9849 4,0673 4,1128 4,1433 4,1853 4,2572 4,3515 4,4362 4,4785 4,4616 4,3810 4,2418 4,0654 3,8882 3,7480 3,6676 3,6495 3,6784 3,7248 3,7521 3,7296 3,6456 3,5153 3,3756 3,2639 3,1984 3,1793 3,2056 3,2838 3,4181 3,5954 3,7857 3,9587 4,0964 4,1926 4,2465 4,2573 4,2191 4,1195 3,9483 3,7148 3,4594 3,2428 3,1195 3,1184 3,2392 3,4549 3,7176 3,9690 4,1558 4,2435 4,2277 4,1363 4,0179 3,9204 3,8774 3,9064 4,0101 4,1780 4,3862 4,5933 4,7409 4,7720 4,6578 4,4103 4,0748 3,7131 3,3841 3,1228 2,9328 2,7993 2,7087 2,6566 2,6492 2,7005 2,8272 3,0358 3,3101 3,6077 3,8738 4,0657 4,1715 4,2012 4,1676 4,0858 3,9828 3,8894 3,8252 3,7931 3,7797 3,7590 3,7028 3,5976 3,4544 3,3080 3,2052 3,1863 3,2685 3,4393 3,6572 3,8586 3,9755 3,9603 3,8064 3,5456 3,2248 2,8818 2,5390 2,2116 1,9104 1,6349 1,3758 1,1336 0,9280 0,7900 0,7458 0,8007 0,9269 1,0707 1,1874 1,2759 1,3738 1,5214 1,7391 2,0281 2,3754 2,7538 3,1246 3,4504 3,7115 3,9077 4,0501 4,1601 4,2703 4,4135 4,6106 4,8634 5,1514 5,4390 5,6901 5,8799 6,0004 6,0680 6,1251 6,2210 6,3839 6,6054 6,8482 7,0686 7,2371 7,3451 7,3990 7,4068 7,3721 7,3008 7,2099 7,1208 7,0452 6,9834 6,9346 6,9058 6,9079 6,9463 7,0136 7,0899 7,1533 7,1986 7,2460 7,3239 7,4396 7,5668 7,6574 7,6662 7,5682 7,3647 7,0775 6,7419 6,4015 6,0973 5,8482 5,6424 5,4490 5,2379 4,9954 4,7340 4,4932 4,3190 4,2301 4,1995 4,1665 4,0684 3,8684 3,5679 3,2039 2,8365 2,5253 2,3058 2,1821 2,1330 2,1218 2,1112 2,0750 2,0008 1,8934 1,7816 1,7121 1,7228 1,8178 1,9639 2,1043 2,1837 2,1718 2,0733 1,9249 1,7850 1,7107 1,7318 1,8412 2,0048 2,1782 2,3180 2,3887 2,3711 2,2728 2,1243 1,9513 1,7525 1,5124
Fz    -1,1702 -1,3138 -1,4619 -1,5832 -1,6484 -1,6329 -1,5179 -1,2994 -0,9996 -0,6656 -0,3561 -0,1271 -0,0175 -0,0323 -0,1376 -0,2762 -0,3922 -0,4456 -0,4188 -0,3169 -0,1609 0,0235 0,2156 0,4079 0,6100 0,8403 1,1064 1,3897 1,6509 1,8543 1,9856 2,0487 2,0531 2,0052 1,9006 1,7274 1,4821 1,1830 0,8620 0,5476 0,2515 -0,0296 -0,2976 -0,5427 -0,7560 -0,9450 -1,1287 -1,3171 -1,4994 -1,6555 -1,7765 -1,8670 -1,9266 -1,9373 -1,8760 -1,7375 -1,5442 -1,3354 -1,1518 -1,0233 -0,9605 -0,9516 -0,9636 -0,9488 -0,8637 -0,6889 -0,4329 -0,1147 0,2533 0,6608 1,0851 1,4912 1,8500 2,1556 2,4208 2,6519 2,8326 2,9369 2,9557 2,9046 2,8121 2,7096 2,6291 2,5963 2,6196 2,6804 2,7358 2,7391 2,6660 2,5211 2,3221 2,0829 1,8130 1,5249 1,2365 0,9688 0,7396 0,5566 0,4183 0,3196 0,2475 0,1712 0,0512 -0,1363 -0,3835 -0,6521 -0,8873 -1,0435 -1,1109 -1,1196 -1,1181 -1,1446 -1,2127 -1,3138 -1,4280 -1,5359 -1,6261 -1,6946 -1,7386 -1,7549 -1,7417 -1,6978 -1,6172 -1,4878 -1,2966 -1,0329 -0,6901 -0,2753 0,1813 0,6328 1,0401 1,3924 1,7053 2,0062 2,3224 2,6734 3,0598 3,4549 3,8139 4,0992 4,2965 4,4136 4,4756 4,5198 4,5839 4,6892 4,8306 4,9774 5,0886 5,1368 5,1222 5,0666 4,9982 4,9388 4,8974 4,8720 4,8513 4,8141 4,7339 4,5944 4,3973 4,1557 3,8863 3,6065 3,3357 3,0938 2,9010 2,7756 2,7243 2,7298 2,7487 2,7280 2,6267 2,4311 2,1602 1,8586 1,5774 1,3534 1,1993 1,1042 1,0427 0,9881 0,9276 0,8704 0,8396 0,8506 0,8935 0,9318 0,9235 0,8478 0,7133 0,5426 0,3598 0,1905 0,0613 -0,0102 -0,0251 -0,0022 0,0314 0,0491 0,0313 -0,0308 -0,1318 -0,2514 -0,3604 -0,4344 -0,4623 -0,4446 -0,3911 -0,3249 -0,2769 -0,2685 -0,3032 -0,3691 -0,4402 -0,4824 -0,4728 -0,4171 -0,3520 -0,3282 -0,3856 -0,5348 -0,7569 -1,0162 -1,2711 -1,4769 -1,5906 -1,5828 -1,4474 -1,2015 -0,8774 -0,5109 -0,1309 0,2429 0,6007 0,9448 1,2825 1,6098 1,9025 2,1275 2,2630 2,3122 2,3018 2,2735 2,2713 2,3256 2,4396 2,5856 2,7168 2,7925 2,7943 2,7233 2,5910 2,4156 2,2206 2,0282 1,8506 1,6911 1,5515 1,4333 1,3313 1,2360 1,1411 1,0471 0,9547 0,8589 0,7535 0,6359 0,5038 0,3517 0,1784 -0,0052 -0,1777 -0,3160 -0,4038 -0,4284 -0,3763 -0,2442 -0,0549 0,1489 0,3305 0,4742 0,5822 0,6643 0,7324 0,8010 0,8890 1,0108 1,1626 1,3190 1,4477 1,5297 1,5672 1,5770 1,5750 1,5708 1,5736 1,5957 1,6474 1,7277 1,8218 1,9043 1,9524 1,9585 1,9305 1,8855 1,8531 1,8799 2,0160 2,2826 2,6458 3,0226 3,3187 3,4734 3,4812 3,3825 3,2407 3,1210 3,0770 3,1477 3,3534 3,6853 4,0984 4,5226 4,8908 5,1627 5,3297 5,4031 5,4034 5,3570 5,2940 5,2419 5,2178 5,2272 5,2678 5,3332 5,4144 5,4994 5,5729 5,6152 5,6038 5,5250 5,3870 5,2198 5,0585 4,9262 4,8301 4,7634 4,7066 4,6363 4,5385 4,4127 4,2633 4,0947 3,9167 3,7514 3,6250 3,5474 3,5047 3,4737 3,4376 3,3877 3,3198 3,2365 3,1508 3,0830 3,0532 3,0799 3,1805 3,3646 3,6195 3,9033 4,1608 4,3495 4,4536 4,4842 4,4739 4,4563 4,4404 4,4070 4,3313 4,1992 4,0091 3,7730 3,5175 3,2796 3,0960 2,9919 2,9716 3,0158 3,0838 3,1296 3,1252 3,0758 3,0168 2,9957 3,0433 3,1587 3,3206 3,5086 3,7130 3,9297 4,1545 4,3850 4,6213 4,8637 5,1082 5,3441 5,5507 5,6993 5,7612 5,7198 5,5834 5,3904 5,1968 5,0528 4,9856 4,9976 5,0749 5,1920 5,3124 5,3968 5,4213 5,3908 5,3336 5,2863 5,2805 5,3383 5,4681 5,6607 5,8890 6,1125 6,2779 6,3210 6,1859 5,8579 5,3812 4,8431 4,3385 3,9356 3,6559 3,4752 3,3499 3,2497 3,1708 3,1271 3,1384 3,2195 3,3700 3,5634 3,7561 3,9101 4,0118 4,0742 4,1235 4,1807 4,2536 4,3373 4,4188 4,4861 4,5347 4,5653 4,5772 4,5685 4,5435 4,5200 4,5240 4,5778 4,6892 4,8469 5,0243 5,1850 5,2857 5,2842 5,1610 4,9361 4,6569 4,3679 4,0907 3,8247 3,5631 3,3028 3,0429 2,7850 2,5428 2,3458 2,2294 2,2184 2,3108 2,4677 2,6242 2,7225 2,7472 2,7335 2,7392 2,8091 2,9585 3,1792 3,4476 3,7286 3,9869 4,2019 4,3696 4,4944 4,5911 4,6882 4,8174 4,9989 5,2315 5,4895 5,7311 5,9195 6,0406 6,1113 6,1753 6,2883 6,4953 6,8108 7,2098 7,6373 8,0318 8,3501 8,5794 8,7354 8,8463 8,9364 9,0212 9,1092 9,1988 9,2796 9,3460 9,4080 9,4862 9,5955 9,7361 9,8921 10,0342 10,1279 10,1517 10,1130 10,0416 9,9619 9,8733 9,7549 9,5822 9,3404 9,0300 8,6663 8,2756 7,8901 7,5372 7,2243 6,9328 6,6307 6,2913 5,9054 5,4886 5,0787 4,7178 4,4241 4,1762 3,9247 3,6197 3,2361 2,7832 2,3001 1,8441 1,4715 1,2148 1,0719 1,0114 0,9829 0,9337 0,8278 0,6597 0,4582 0,2782 0,1805 0,2052 0,3508 0,5749 0,8159 1,0211 1,1644 1,2485 1,2974 1,3465 1,4266 1,5504 1,7106 1,8878 2,0559 2,1845 2,2442 2,2173 2,1101 1,9506 1,7651 1,5569 1,3153
F3    -1,0131 -1,0928 -1,1425 -1,1619 -1,1522 -1,1089 -1,0230 -0,8891 -0,7166 -0,5333 -0,3751 -0,2726 -0,2445 -0,2894 -0,3774 -0,4555 -0,4725 -0,4010 -0,2459 -0,0407 0,1706 0,3527 0,4909 0,5956 0,6962 0,8263 1,0028 1,2130 1,4205 1,5854 1,6841 1,7142 1,6864 1,6125 1,4971 1,3366 1,1264 0,8701 0,5808 0,2768 -0,0288 -0,3268 -0,5987 -0,8156 -0,9583 -1,0325 -1,0564 -1,0410 -0,9854 -0,8874 -0,7571 -0,6124 -0,4574 -0,2715 -0,0330 0,2480 0,5285 0,7622 0,9235 1,0077 1,0266 1,0029 0,9688 0,9650 1,0321 1,1893 1,4249 1,7143 2,0465 2,4212 2,8266 3,2341 3,6150 3,9572 4,2599 4,5134 4,6911 4,7640 4,7218 4,5820 4,3839 4,1748 3,9947 3,8653 3,7859 3,7352 3,6756 3,5686 3,3947 3,1616 2,8916 2,6028 2,3049 2,0078 1,7262 1,4726 1,2493 1,0492 0,8669 0,7073 0,5781 0,4732 0,3725 0,2580 0,1257 -0,0141 -0,1431 -0,2470 -0,3270 -0,4017 -0,4964 -0,6290 -0,8012 -0,9955 -1,1837 -1,3438 -1,4700 -1,5643 -1,6227 -1,6320 -1,5772 -1,4468 -1,2316 -0,9284 -0,5472 -0,1084 0,3643 0,8413 1,2827 1,6494 1,9261 2,1320 2,3104 2,5091 2,7649 3,0946 3,4855 3,8938 4,2632 4,5549 4,7621 4,9034 5,0111 5,1245 5,2793 5,4942 5,7619 6,0516 6,3209 6,5335 6,6743 6,7488 6,7693 6,7462 6,6911 6,6193 6,5373 6,4277 6,2578 6,0092 5,6950 5,3484 5,0047 4,6907 4,4243 4,2161 4,0718 3,9918 3,9673 3,9717 3,9630 3,8987 3,7526 3,5243 3,2387 2,9335 2,6430 2,3904 2,1864 2,0284 1,9038 1,8007 1,7169 1,6627 1,6539 1,6933 1,7540 1,7823 1,7281 1,5782 1,3634 1,1330 0,9291 0,7810 0,7073 0,7117 0,7768 0,8707 0,9622 1,0319 1,0684 1,0621 1,0092 0,9188 0,8111 0,7066 0,6175 0,5474 0,4938 0,4475 0,3947 0,3254 0,2401 0,1537 0,0964 0,1015 0,1843 0,3274 0,4817 0,5833 0,5777 0,4432 0,1977 -0,1154 -0,4445 -0,7398 -0,9557 -1,0556 -1,0210 -0,8552 -0,5812 -0,2336 0,1487 0,5281 0,8784 1,1969 1,4997 1,8005 2,0929 2,3545 2,5667 2,7264 2,8437 2,9376 3,0346 3,1571 3,3049 3,4478 3,5379 3,5373 3,4381 3,2614 3,0419 2,8146 2,6046 2,4233 2,2698 2,1374 2,0228 1,9280 1,8557 1,8067 1,7808 1,7758 1,7830 1,7838 1,7532 1,6702 1,5223 1,3071 1,0392 0,7515 0,4869 0,2854 0,1745 0,1669 0,2647 0,4545 0,6999 0,9498 1,1611 1,3143 1,4099 1,4565 1,4645 1,4506 1,4400 1,4550 1,4991 1,5570 1,6053 1,6239 1,6040 1,5513 1,4770 1,3902 1,3029 1,2384 1,2230 1,2683 1,3610 1,4687 1,5603 1,6271 1,6815 1,7422 1,8343 1,9965 2,2697 2,6660 3,1458 3,6229 4,0002 4,2105 4,2403 4,1264 3,9390 3,7592 3,6552 3,6696 3,8190 4,0922 4,4469 4,8181 5,1396 5,3678 5,4909 5,5227 5,4908 5,4281 5,3678 5,3369 5,3490 5,4028 5,4853 5,5793 5,6683 5,7359 5,7611 5,7186 5,5883 5,3711 5,0996 4,8307 4,6202 4,4988 4,4659 4,4971 4,5556 4,6064 4,6272 4,6092 4,5497 4,4510 4,3276 4,2102 4,1321 4,1034 4,1042 4,1037 4,0765 4,0078 3,8971 3,7598 3,6213 3,5085 3,4440 3,4439 3,5160 3,6610 3,8668 4,1015 4,3208 4,4898 4,5965 4,6542 4,6933 4,7404 4,7955 4,8325 4,8220 4,7467 4,6010 4,3885 4,1243 3,8351 3,5569 3,3263 3,1695 3,0937 3,0835 3,1076 3,1375 3,1624 3,1902 3,2366 3,3093 3,4017 3,5021 3,6087 3,7295 3,8690 4,0192 4,1672 4,3062 4,4369 4,5628 4,6831 4,7881 4,8607 4,8787 4,8202 4,6784 4,4780 4,2716 4,1139 4,0383 4,0490 4,1265 4,2361 4,3352 4,3833 4,3582 4,2670 4,1443 4,0376 3,9896 4,0247 4,1443 4,3311 4,5603 4,8032 5,0206 5,1592 5,1672 5,0181 4,7241 4,3304 3,8993 3,4913 3,1459 2,8707 2,6509 2,4713 2,3292 2,2305 2,1868 2,2164 2,3365 2,5464 2,8174 3,1039 3,3668 3,5895 3,7685 3,8993 3,9782 4,0090 4,0015 3,9675 3,9204 3,8711 3,8220 3,7701 3,7195 3,6875 3,6966 3,7637 3,8936 4,0772 4,2925 4,5081 4,6843 4,7762 4,7467 4,5832 4,3032 3,9441 3,5470 3,1481 2,7774 2,4536 2,1770 1,9342 1,7177 1,5380 1,4187 1,3835 1,4407 1,5707 1,7292 1,8759 2,0060 2,1523 2,3547 2,6307 2,9693 3,3402 3,7029 4,0150 4,2461 4,3891 4,4575 4,4768 4,4825 4,5163 4,6122 4,7828 5,0140 5,2665 5,4910 5,6540 5,7521 5,8096 5,8721 5,9978 6,2362 6,6000 7,0526 7,5259 7,9520 8,2869 8,5158 8,6488 8,7103 8,7278 8,7235 8,7128 8,7001 8,6774 8,6349 8,5793 8,5358 8,5324 8,5822 8,6786 8,7987 8,9104 8,9891 9,0351 9,0687 9,1018 9,1184 9,0805 8,9509 8,7120 8,3736 7,9690 7,5431 7,1403 6,7956 6,5254 6,3201 6,1495 5,9779 5,7814 5,5616 5,3472 5,1750 5,0583 4,9686 4,8478 4,6434 4,3393 3,9628 3,5710 3,2309 2,9971 2,8899 2,8882 2,9392 2,9776 2,9490 2,8265 2,6167 2,3595 2,1190 1,9606 1,9214 1,9939 2,1316 2,2724 2,3660 2,3920 2,3619 2,3091 2,2783 2,3100 2,4211 2,5969 2,8017 2,9956 3,1442 3,2213 3,2149 3,1351 3,0077 2,8509 2,6627 2,4355
F7    -1,5184 -1,5574 -1,5892 -1,6158 -1,6458 -1,6829 -1,7175 -1,7303 -1,7107 -1,6688 -1,6259 -1,5966 -1,5839 -1,5769 -1,5428 -1,4344 -1,2206 -0,9103 -0,5511 -0,2067 0,0723 0,2620 0,3608 0,3866 0,3795 0,3970 0,4871 0,6618 0,8948 1,1457 1,3827 1,5873 1,7527 1,8795 1,9618 1,9824 1,9272 1,7998 1,6218 1,4200 1,2080 0,9840 0,7527 0,5427 0,3921 0,3272 0,3531 0,4529 0,5897 0,7205 0,8171 0,8815 0,9461 1,0510 1,2101 1,3939 1,5536 1,6620 1,7267 1,7740 1,8351 1,9409 2,1136 2,3590 2,6689 3,0266 3,4081 3,7909 4,1617 4,5063 4,7979 5,0054 5,1174 5,1548 5,1580 5,1558 5,1505 5,1349 5,1096 5,0771 5,0334 4,9751 4,9065 4,8330 4,7540 4,6633 4,5539 4,4242 4,2833 4,1439 4,0107 3,8755 3,7241 3,5473 3,3445 3,1203 2,8791 2,6222 2,3512 2,0769 1,8175 1,5871 1,3913 1,2298 1,1006 0,9998 0,9213 0,8554 0,7894 0,7102 0,6069 0,4713 0,3028 0,1157 -0,0637 -0,2107 -0,3130 -0,3657 -0,3611 -0,2895 -0,1472 0,0649 0,3450 0,6787 1,0266 1,3417 1,6008 1,8075 1,9711 2,0989 2,2104 2,3419 2,5276 2,7793 3,0865 3,4291 3,7818 4,1080 4,3680 4,5432 4,6457 4,7072 4,7613 4,8371 4,9568 5,1235 5,3107 5,4697 5,5564 5,5562 5,4913 5,4074 5,3478 5,3372 5,3768 5,4515 5,5401 5,6219 5,6765 5,6847 5,6340 5,5238 5,3668 5,1853 5,0009 4,8272 4,6683 4,5249 4,3960 4,2705 4,1291 3,9606 3,7695 3,5699 3,3759 3,1929 3,0135 2,8270 2,6317 2,4365 2,2598 2,1280 2,0687 2,0998 2,2187 2,3966 2,5829 2,7197 2,7601 2,6857 2,5093 2,2647 1,9955 1,7432 1,5360 1,3858 1,2923 1,2475 1,2436 1,2775 1,3421 1,4150 1,4678 1,4849 1,4661 1,4166 1,3401 1,2392 1,1163 0,9698 0,7968 0,6003 0,3928 0,1949 0,0371 -0,0466 -0,0360 0,0591 0,1972 0,3234 0,3979 0,4108 0,3722 0,2946 0,1894 0,0734 -0,0292 -0,0951 -0,1092 -0,0610 0,0637 0,2805 0,5934 0,9859 1,4268 1,8817 2,3192 2,7107 3,0309 3,2629 3,4073 3,4838 3,5230 3,5585 3,6250 3,7501 3,9375 4,1566 4,3545 4,4890 4,5501 4,5530 4,5151 4,4429 4,3336 4,1848 4,0023 3,8042 3,6252 3,5063 3,4763 3,5388 3,6764 3,8580 4,0390 4,1646 4,1937 4,1200 3,9650 3,7578 3,5252 3,2908 3,0781 2,9122 2,8136 2,7931 2,8545 2,9924 3,1815 3,3797 3,5498 3,6702 3,7268 3,7085 3,6184 3,4850 3,3536 3,2608 3,2187 3,2187 3,2406 3,2609 3,2638 3,2415 3,1842 3,0820 2,9401 2,7863 2,6614 2,5992 2,6085 2,6710 2,7588 2,8570 2,9651 3,0844 3,2163 3,3763 3,6000 3,9208 4,3336 4,7751 5,1429 5,3427 5,3308 5,1310 4,8224 4,5058 4,2622 4,1329 4,1297 4,2466 4,4540 4,6932 4,8944 5,0077 5,0226 4,9625 4,8618 4,7526 4,6672 4,6365 4,6823 4,8102 5,0066 5,2390 5,4633 5,6323 5,7022 5,6398 5,4341 5,1056 4,7057 4,3031 3,9587 3,7039 3,5368 3,4344 3,3650 3,3029 3,2428 3,2013 3,1991 3,2424 3,3216 3,4258 3,5520 3,6953 3,8410 3,9719 4,0752 4,1373 4,1408 4,0755 3,9499 3,7945 3,6588 3,5997 3,6631 3,8656 4,1814 4,5455 4,8819 5,1380 5,2965 5,3689 5,3788 5,3403 5,2440 5,0740 4,8325 4,5433 4,2380 3,9447 3,6826 3,4567 3,2579 3,0736 2,9017 2,7566 2,6579 2,6137 2,6114 2,6230 2,6238 2,6086 2,5884 2,5741 2,5771 2,6221 2,7410 2,9416 3,1881 3,4184 3,5796 3,6457 3,6191 3,5265 3,4056 3,2793 3,1399 2,9606 2,7270 2,4642 2,2329 2,0958 2,0858 2,2005 2,4148 2,6873 2,9560 3,1466 3,2041 3,1241 2,9585 2,7888 2,6900 2,7060 2,8416 3,0699 3,3484 3,6288 3,8583 3,9880 3,9929 3,8809 3,6848 3,4474 3,2089 3,0002 2,8421 2,7401 2,6820 2,6454 2,6137 2,5915 2,6091 2,7110 2,9302 3,2651 3,6762 4,1043 4,4967 4,8198 5,0525 5,1782 5,1977 5,1401 5,0511 4,9715 4,9284 4,9300 4,9612 4,9909 4,9943 4,9687 4,9359 4,9347 5,0034 5,1568 5,3711 5,5854 5,7222 5,7184 5,5522 5,2524 4,8804 4,5001 4,1557 3,8714 3,6572 3,5027 3,3721 3,2236 3,0416 2,8469 2,6795 2,5749 2,5474 2,5802 2,6313 2,6638 2,6804 2,7229 2,8334 3,0207 3,2637 3,5340 3,8049 4,0503 4,2487 4,3906 4,4759 4,5160 4,5472 4,6263 4,7979 5,0667 5,3977 5,7349 6,0260 6,2414 6,3760 6,4360 6,4387 6,4197 6,4235 6,4796 6,5866 6,7194 6,8509 6,9681 7,0721 7,1654 7,2417 7,2891 7,3038 7,2954 7,2702 7,2129 7,0958 6,9123 6,6980 6,5160 6,4209 6,4336 6,5405 6,7071 6,9006 7,1069 7,3210 7,5224 7,6692 7,7212 7,6629 7,5058 7,2737 6,9898 6,6782 6,3722 6,1105 5,9175 5,7877 5,6912 5,5932 5,4723 5,3337 5,2104 5,1426 5,1432 5,1771 5,1759 5,0776 4,8631 4,5645 4,2504 3,9967 3,8516 3,8174 3,8580 3,9175 3,9416 3,9012 3,8014 3,6667 3,5240 3,3998 3,3230 3,3163 3,3828 3,5025 3,6413 3,7581 3,8145 3,7909 3,7003 3,5834 3,4863 3,4360 3,4303 3,4490 3,4735 3,4960 3,5086 3,4885 3,4076 3,2508 3,0141 2,6977 2,3216
