Fp1   -4,7880 -4,4759 -4,1813 -3,8861 -3,6058 -3,3980 -3,3125 -3,3401 -3,4191 -3,4802 -3,4704 -3,3323 -2,9901 -2,3834 -1,5194 -0,4879 0,5665 1,5001 2,2239 2,7189 3,0143 3,1642 3,2338 3,2886 3,3745 3,4949 3,6045 3,6294 3,4972 3,1614 2,6196 1,9280 1,1882 0,5070 -0,0301 -0,3646 -0,4855 -0,4576 -0,3965 -0,3899 -0,4430 -0,4860 -0,4212 -0,1796 0,2377 0,7719 1,3499 1,8954 2,3040 2,4507 2,2596 1,7768 1,1606 0,5868 0,1653 -0,0677 -0,1087 0,0350 0,3259 0,6803 1,0071 1,2756 1,5204 1,7587 1,9319 1,9635 1,8544 1,6981 1,6129 1,6719 1,8895 2,2536 2,7428 3,3005 3,8110 4,1273 4,1381 3,8263 3,2836 2,6643 2,0985 1,6302 1,2251 0,8300 0,4358 0,0884 -0,1469 -0,2171 -0,0989 0,1835 0,5520 0,9023 1,1566 1,3042 1,3942 1,4917 1,6422 1,8576 2,1209 2,4051 2,6824 2,9151 3,0553 3,0582 2,8977 2,5751 2,1145 1,5550 0,9568 0,3963 -0,0566 -0,3584 -0,5047 -0,5365 -0,5315 -0,5882 -0,8108 -1,2761 -1,9913 -2,8788 -3,8029 -4,6188 -5,2192 -5,5527 -5,6049 -5,3843 -4,9445 -4,3979 -3,8776 -3,4860 -3,2741 -3,2429 -3,3495 -3,5148 -3,6438 -3,6613 -3,5382 -3,2846 -2,9085 -2,3794 -1,6327 -0,6253 0,5966 1,8875 3,0693 4,0161 4,6962 5,1529 5,4469 5,6186 5,6989 5,7300 5,7533 5,7749 5,7568 5,6583 5,4798 5,2623 5,0602 4,9216 4,8827 4,9658 5,1737 5,4884 5,8723 6,2736 6,6432 6,9586 7,2193 7,4137 7,5088 7,4889 7,3934 7,2987 7,2594 7,2674 7,2613 7,1775 6,9969 6,7387 6,4275 6,0849 5,7433 5,4388 5,1804 4,9340 4,6338 4,2078 3,6008 2,8011 1,8683 0,9270 0,1053 -0,5382 -1,0322 -1,4532 -1,8747 -2,3307 -2,8058 -3,2570 -3,6421 -3,9250 -4,0669 -4,0402 -3,8628 -3,6087 -3,3787 -3,2553 -3,2679 -3,3833 -3,5177 -3,5680 -3,4521 -3,1430 -2,6813 -2,1549 -1,6571 -1,2575 -1,0044 -0,9396 -1,0926 -1,4522 -1,9313 -2,3577 -2,5232 -2,2845 -1,6498 -0,7773 0,1134 0,8424 1,3135 1,5030 1,4292 1,1194 0,5926 -0,1319 -1,0044 -1,9161 -2,7032 -3,2050 -3,3429 -3,1472 -2,7180 -2,1730 -1,6217 -1,1722 -0,9335 -0,9644 -1,2172 -1,5487 -1,7863 -1,7874 -1,4741 -0,8506 0,0032 0,9658 1,9114 2,7198 3,2762 3,4973 3,3758 2,9964 2,5052 2,0504 1,7274 1,5550 1,4996 1,5297 1,6440 1,8565 2,1694 2,5588 2,9835 3,4013 3,7695 4,0390 4,1637 4,1216 3,9307 3,6372 3,2859 2,9070 2,5216 2,1482 1,8069 1,5152 1,2672 1,0247 0,7488 0,4438 0,1658 -0,0005 0,0242 0,2764 0,7175 1,2392 1,7146 2,0487 2,1941 2,1389 1,9009 1,5319 1,1046 0,6760 0,2710 -0,1023 -0,4278 -0,6770 -0,8225 -0,8540 -0,7849 -0,6412 -0,4414 -0,1952 0,0686 0,2812 0,3565 0,2499 -0,0025 -0,3056 -0,5553 -0,6632 -0,5774 -0,3197 0,0164 0,3215 0,5299 0,6513 0,7617 0,9512 1,2833 1,7865 2,4500 3,2236 4,0324 4,7973 5,4440 5,8996 6,1028 6,0458 5,8135 5,5717 5,4890 5,6388 5,9716 6,3728 6,7284 6,9660 7,0735 7,0806 7,0219 6,9306 6,8445 6,7897 6,7557 6,7060 6,6215 6,5305 6,5034 6,6136 6,8757 7,2049 7,4501 7,4823 7,2639 6,8452 6,3228 5,8023 5,3647 5,0377 4,7990 4,6156 4,4707 4,3502 4,2270 4,0820 3,9269 3,8005 3,7544 3,8326 4,0514 4,3900 4,7927 5,1846 5,4950 5,6729 5,6916 5,5628 5,3656 5,2469 5,3646 5,8172 6,6085 7,6471 8,7715 9,7991 10,5925 11,1020 11,3557 11,4259 11,4028 11,3674 11,3638 11,3916 11,4154 11,3764 11,2065 10,8624 10,3575 9,7625 9,1699 8,6403 8,1643 7,6712 7,0902 6,4133 5,7110 5,0923 4,6450 4,3988 4,3212 4,3328 4,3385 4,2797 4,1695 4,0692 4,0353 4,0881 4,2080 4,3600 4,5242 4,7068 4,9316 5,2243 5,5939 6,0220 6,4775 6,9381 7,3900 7,8031 8,1155 8,2554 8,1803 7,8990 7,4683 6,9707 6,4982 6,1551 6,0510 6,2644 6,8059 7,6053 8,5153 9,3521 9,9658 10,2845 10,3028 10,0467 9,5565 8,8855 8,1012 7,2893 6,5392 5,9114 5,4252 5,0672 4,7909 4,5242 4,1927 3,7468 3,1923 2,6014 2,0632 1,6166 1,2452 0,9236 0,6399 0,3740 0,0680 -0,3598 -0,9541 -1,6897 -2,4945 -3,2859 -4,0004 -4,6187 -5,1719 -5,7224 -6,3290 -7,0227 -7,8032 -8,6366 -9,4550 -10,1790 -10,7473 -11,1293 -11,3203 -11,3260 -11,1392 -10,7331 -10,1005 -9,3095 -8,4975 -7,7937 -7,2557 -6,8726 -6,5915 -6,3296 -5,9888 -5,4894 -4,7971 -3,9209 -2,9012 -1,8134 -0,7707 0,1050 0,7219 1,0501 1,1491 1,1681 1,2915 1,6630 2,3305 3,2329 4,2223 5,0978 5,6622 5,8046 5,5416 4,9880 4,3064 3,6623 3,1725 2,8739 2,7485 2,7598 2,8595 2,9900 3,1065 3,1944 3,2608 3,3107 3,3315 3,2947 3,1680 2,9257 2,5579 2,0725 1,4860 0,8252 0,1342 -0,5506 -1,2252 -1,9043 -2,5928 -3,2830 -3,9675 -4,6394 -5,2785 -5,8454 -6,2962 -6,6045 -6,7741 -6,8307 -6,7977 -6,6897 -6,5349 -6,3888 -6,3103 -6,3230 -6,3926 -6,4433 -6,4088 -6,2795 -6,1127 -6,0145 -6,1065 -6,4821 -7,1644 -8,0972 -9,1795 -10,3134 -11,4271 -12,4678 -13,3941 -14,1716 -14,7711 -15,1773 -15,3932 -15,4330 -15,3153 -15,0703 -14,7520 -14,4320 -14,1678 -13,9749 -13,8351 -13,7218 -13,6137 -13,4949
Fz    0,7660 0,8740 0,9225 0,9387 0,9497 0,9675 0,9917 1,0136 1,0209 1,0053 0,9692 0,9277 0,9079 0,9384 1,0276 1,1476 1,2391 1,2437 1,1428 0,9714 0,7914 0,6537 0,5844 0,5875 0,6411 0,6940 0,6818 0,5618 0,3340 0,0318 -0,2978 -0,6111 -0,8781 -1,0833 -1,2181 -1,2842 -1,3088 -1,3422 -1,4229 -1,5447 -1,6669 -1,7479 -1,7643 -1,7132 -1,6101 -1,4822 -1,3512 -1,2181 -1,0709 -0,9106 -0,7594 -0,6335 -0,5152 -0,3623 -0,1440 0,1380 0,4641 0,8139 1,1601 1,4616 1,6810 1,8127 1,8823 1,9153 1,9080 1,8318 1,6607 1,3996 1,0910 0,8024 0,6046 0,5489 0,6460 0,8495 1,0636 1,1855 1,1508 0,9494 0,6192 0,2318 -0,1285 -0,3895 -0,5140 -0,5119 -0,4255 -0,3003 -0,1720 -0,0698 -0,0164 -0,0252 -0,0991 -0,2253 -0,3717 -0,4969 -0,5672 -0,5669 -0,4968 -0,3714 -0,2156 -0,0550 0,0950 0,2314 0,3568 0,4730 0,5762 0,6490 0,6629 0,5958 0,4446 0,2232 -0,0425 -0,3233 -0,6017 -0,8808 -1,1718 -1,4775 -1,7885 -2,0902 -2,3698 -2,6213 -2,8395 -3,0093 -3,1108 -3,1390 -3,1048 -3,0135 -2,8603 -2,6449 -2,3782 -2,0784 -1,7687 -1,4706 -1,1933 -0,9284 -0,6553 -0,3477 0,0209 0,4621 0,9599 1,4842 2,0183 2,5627 3,1054 3,6059 4,0173 4,3179 4,5223 4,6699 4,8009 4,9363 5,0753 5,2099 5,3378 5,4592 5,5697 5,6673 5,7648 5,8804 6,0197 6,1761 6,3472 6,5394 6,7588 7,0011 7,2481 7,4750 7,6623 7,7976 7,8632 7,8314 7,6862 7,4496 7,1765 6,9180 6,6913 6,4776 6,2486 6,0018 5,7655 5,5676 5,4127 5,2935 5,2069 5,1497 5,1032 5,0309 4,8923 4,6555 4,3068 3,8598 3,3538 2,8337 2,3304 1,8562 1,4108 0,9847 0,5642 0,1491 -0,2324 -0,5355 -0,7283 -0,8066 -0,7839 -0,6769 -0,5030 -0,2864 -0,0574 0,1558 0,3352 0,4764 0,5923 0,7065 0,8343 0,9712 1,1041 1,2243 1,3233 1,3834 1,3745 1,2617 1,0306 0,7153 0,3940 0,1544 0,0588 0,1222 0,3050 0,5299 0,7174 0,8143 0,8006 0,6933 0,5418 0,4031 0,3129 0,2763 0,2749 0,2744 0,2400 0,1520 0,0116 -0,1608 -0,3309 -0,4632 -0,5367 -0,5585 -0,5614 -0,5753 -0,5966 -0,5864 -0,4906 -0,2609 0,1183 0,6070 1,1177 1,5625 1,8954 2,1107 2,2162 2,2169 2,1232 1,9582 1,7501 1,5216 1,2906 1,0741 0,8907 0,7606 0,6989 0,7076 0,7763 0,8896 1,0369 1,2180 1,4384 1,6967 1,9734 2,2306 2,4299 2,5533 2,6032 2,5894 2,5239 2,4241 2,3078 2,1780 2,0169 1,7952 1,4985 1,1489 0,8005 0,5202 0,3726 0,3958 0,5767 0,8559 1,1611 1,4352 1,6485 1,7957 1,8862 1,9351 1,9607 1,9790 1,9954 2,0021 1,9812 1,9108 1,7762 1,5866 1,3787 1,1990 1,0886 1,0721 1,1441 1,2592 1,3451 1,3417 1,2424 1,0971 0,9767 0,9352 0,9914 1,1282 1,3079 1,4938 1,6656 1,8228 1,9774 2,1474 2,3535 2,6124 2,9260 3,2744 3,6251 3,9501 4,2343 4,4642 4,6215 4,6971 4,7106 4,7100 4,7449 4,8365 4,9723 5,1221 5,2536 5,3417 5,3719 5,3412 5,2626 5,1693 5,1043 5,0869 5,0882 5,0505 4,9403 4,7819 4,6417 4,5846 4,6357 4,7643 4,9026 4,9882 4,9935 4,9238 4,7999 4,6431 4,4638 4,2576 4,0163 3,7487 3,4853 3,2570 3,0701 2,9045 2,7282 2,5135 2,2469 1,9328 1,5910 1,2507 0,9396 0,6767 0,4755 0,3476 0,3008 0,3407 0,4787 0,7349 1,1259 1,6499 2,2786 2,9585 3,6216 4,2002 4,6398 4,9103 5,0080 4,9515 4,7801 4,5498 4,3172 4,1221 3,9813 3,8883 3,8197 3,7545 3,6918 3,6501 3,6489 3,6823 3,7099 3,6838 3,5905 3,4564 3,3129 3,1660 3,0007 2,8087 2,6049 2,4168 2,2647 2,1541 2,0805 2,0281 1,9712 1,8904 1,7905 1,7045 1,6815 1,7646 1,9734 2,2982 2,6975 3,1036 3,4487 3,6937 3,8297 3,8612 3,7971 3,6591 3,4861 3,3233 3,2059 3,1531 3,1753 3,2781 3,4587 3,7069 4,0118 4,3609 4,7238 5,0460 5,2688 5,3541 5,2882 5,0751 4,7316 4,2859 3,7782 3,2579 2,7641 2,3108 1,9012 1,5480 1,2612 1,0285 0,8195 0,5991 0,3369 0,0132 -0,3763 -0,8215 -1,2989 -1,7757 -2,2136 -2,5745 -2,8361 -3,0098 -3,1365 -3,2640 -3,4267 -3,6437 -3,9297 -4,3026 -4,7782 -5,3563 -6,0096 -6,6862 -7,3255 -7,8792 -8,3262 -8,6675 -8,9078 -9,0488 -9,0958 -9,0620 -8,9626 -8,8013 -8,5602 -8,2186 -7,7843 -7,2998 -6,8184 -6,3789 -5,9904 -5,6258 -5,2334 -4,7630 -4,1912 -3,5248 -2,7841 -1,9946 -1,1932 -0,4283 0,2590 0,8566 1,3859 1,8814 2,3591 2,8042 3,1889 3,5024 3,7585 3,9773 4,1661 4,3194 4,4254 4,4741 4,4645 4,4077 4,3200 4,2108 4,0806 3,9288 3,7579 3,5678 3,3556 3,1236 2,8783 2,6197 2,3349 2,0046 1,6130 1,1513 0,6174 0,0152 -0,6452 -1,3444 -2,0542 -2,7492 -3,4142 -4,0325 -4,5759 -5,0165 -5,3441 -5,5660 -5,6938 -5,7338 -5,6871 -5,5578 -5,3672 -5,1672 -5,0291 -5,0190 -5,1810 -5,5291 -6,0385 -6,6410 -7,2430 -7,7592 -8,1389 -8,3728 -8,4898 -8,5467 -8,6069 -8,7199 -8,9142 -9,1929 -9,5340 -9,9024 -10,2649 -10,5998 -10,9009 -11,1729 -11,4203 -11,6420 -11,8302 -11,9738 -12,0627 -12,0993 -12,1046 -12,1079 -12,1223 -12,1330 -12,1087 -12,0201 -11,8548 -11,6248
F3    -1,2307 -1,1900 -1,0807 -0,9090 -0,7007 -0,4831 -0,2711 -0,0655 0,1368 0,3306 0,4958 0,6025 0,6275 0,5705 0,4544 0,3148 0,1902 0,1193 0,1372 0,2668 0,5067 0,8252 1,1739 1,5064 1,7857 1,9774 2,0489 1,9824 1,7874 1,4926 1,1291 0,7241 0,2994 -0,1255 -0,5261 -0,8756 -1,1562 -1,3623 -1,4882 -1,5229 -1,4620 -1,3192 -1,1249 -0,9204 -0,7488 -0,6387 -0,5902 -0,5763 -0,5662 -0,5513 -0,5444 -0,5514 -0,5537 -0,5244 -0,4514 -0,3379 -0,1869 0,0036 0,2332 0,4946 0,7771 1,0666 1,3349 1,5368 1,6313 1,6163 1,5300 1,4139 1,2818 1,1330 0,9871 0,8923 0,8946 0,9957 1,1396 1,2438 1,2423 1,1085 0,8638 0,5729 0,3178 0,1613 0,1255 0,1938 0,3287 0,4871 0,6233 0,6875 0,6342 0,4394 0,1169 -0,2725 -0,6306 -0,8559 -0,8877 -0,7297 -0,4381 -0,0923 0,2302 0,4726 0,6179 0,6933 0,7460 0,8069 0,8683 0,8928 0,8461 0,7245 0,5506 0,3457 0,1121 -0,1601 -0,4764 -0,8268 -1,1813 -1,4989 -1,7492 -1,9315 -2,0791 -2,2463 -2,4791 -2,7845 -3,1257 -3,4426 -3,6736 -3,7680 -3,7020 -3,4868 -3,1544 -2,7383 -2,2659 -1,7597 -1,2408 -0,7346 -0,2702 0,1304 0,4611 0,7287 0,9423 1,1174 1,2912 1,5190 1,8369 2,2294 2,6409 3,0177 3,3415 3,6345 3,9361 4,2673 4,6171 4,9626 5,2941 5,6120 5,9094 6,1716 6,3890 6,5551 6,6590 6,6906 6,6515 6,5595 6,4426 6,3269 6,2261 6,1435 6,0848 6,0570 6,0524 6,0477 6,0288 6,0071 6,0038 6,0194 6,0270 5,9913 5,8994 5,7689 5,6230 5,4597 5,2513 4,9690 4,6028 4,1656 3,6848 3,1966 2,7389 2,3392 2,0025 1,7106 1,4284 1,1210 0,7761 0,4088 0,0388 -0,3308 -0,7053 -1,0760 -1,4126 -1,6777 -1,8475 -1,9212 -1,9169 -1,8611 -1,7753 -1,6664 -1,5317 -1,3733 -1,2030 -1,0364 -0,8825 -0,7442 -0,6301 -0,5597 -0,5446 -0,5706 -0,6022 -0,6046 -0,5687 -0,5192 -0,4902 -0,4881 -0,4790 -0,4150 -0,2715 -0,0661 0,1535 0,3400 0,4667 0,5283 0,5329 0,4987 0,4478 0,3909 0,3265 0,2585 0,2037 0,1745 0,1659 0,1642 0,1634 0,1708 0,1961 0,2334 0,2575 0,2434 0,1858 0,1029 0,0230 -0,0299 -0,0362 0,0223 0,1512 0,3275 0,5082 0,6638 0,8013 0,9542 1,1531 1,4062 1,7024 2,0215 2,3431 2,6495 2,9251 3,1540 3,3256 3,4400 3,5006 3,5078 3,4614 3,3640 3,2231 3,0569 2,8926 2,7590 2,6737 2,6350 2,6280 2,6365 2,6452 2,6379 2,6069 2,5615 2,5150 2,4642 2,3895 2,2743 2,1261 1,9794 1,8779 1,8531 1,9091 2,0183 2,1309 2,1963 2,1787 2,0629 1,8575 1,5928 1,3117 1,0593 0,8726 0,7660 0,7240 0,7130 0,7047 0,6907 0,6744 0,6578 0,6394 0,6215 0,6147 0,6376 0,7057 0,8166 0,9438 1,0508 1,1176 1,1512 1,1742 1,2036 1,2378 1,2593 1,2531 1,2232 1,1892 1,1766 1,2118 1,3168 1,5056 1,7806 2,1202 2,4763 2,8000 3,0710 3,2966 3,4867 3,6426 3,7667 3,8707 3,9751 4,1071 4,2890 4,5222 4,7743 4,9877 5,1098 5,1236 5,0535 4,9493 4,8600 4,8102 4,7844 4,7305 4,5898 4,3421 4,0265 3,7178 3,4815 3,3432 3,2920 3,3073 3,3770 3,4889 3,6122 3,7034 3,7273 3,6671 3,5192 3,2974 3,0383 2,7894 2,5829 2,4255 2,3085 2,2185 2,1448 2,0843 2,0362 1,9913 1,9330 1,8498 1,7455 1,6407 1,5665 1,5594 1,6550 1,8787 2,2326 2,6907 3,2122 3,7589 4,2976 4,7873 5,1743 5,4120 5,4852 5,4153 5,2458 5,0286 4,8187 4,6661 4,6024 4,6280 4,7155 4,8284 4,9360 5,0129 5,0356 4,9885 4,8739 4,7104 4,5219 4,3251 4,1210 3,8899 3,5984 3,2227 2,7731 2,2963 1,8561 1,5086 1,2848 1,1867 1,1958 1,2863 1,4327 1,6129 1,8123 2,0266 2,2587 2,5106 2,7755 3,0341 3,2603 3,4293 3,5273 3,5596 3,5492 3,5324 3,5558 3,6565 3,8328 4,0450 4,2495 4,4287 4,5894 4,7373 4,8578 4,9248 4,9229 4,8558 4,7426 4,6139 4,5003 4,4102 4,3181 4,1820 3,9787 3,7217 3,4440 3,1662 2,8867 2,5995 2,3092 2,0235 1,7452 1,4782 1,2331 1,0223 0,8518 0,7132 0,5804 0,4180 0,1999 -0,0778 -0,3990 -0,7448 -1,1107 -1,5059 -1,9383 -2,4052 -2,8961 -3,3976 -3,8968 -4,3838 -4,8525 -5,2966 -5,7065 -6,0704 -6,3750 -6,6086 -6,7594 -6,8189 -6,7968 -6,7289 -6,6663 -6,6527 -6,6990 -6,7687 -6,7981 -6,7342 -6,5555 -6,2695 -5,9028 -5,4890 -5,0515 -4,5865 -4,0647 -3,4575 -2,7613 -1,9986 -1,2094 -0,4386 0,2807 0,9377 1,5386 2,0938 2,6004 3,0318 3,3497 3,5379 3,6259 3,6744 3,7344 3,8226 3,9298 4,0406 4,1434 4,2295 4,2897 4,3199 4,3304 4,3409 4,3567 4,3523 4,2824 4,1095 3,8263 3,4554 3,0324 2,5863 2,1299 1,6594 1,1628 0,6315 0,0685 -0,5077 -1,0593 -1,5368 -1,9068 -2,1721 -2,3610 -2,5064 -2,6334 -2,7601 -2,9022 -3,0715 -3,2657 -3,4631 -3,6305 -3,7437 -3,8142 -3,8914 -4,0329 -4,2716 -4,6077 -5,0149 -5,4487 -5,8601 -6,2125 -6,4876 -6,6815 -6,8061 -6,8925 -6,9817 -7,1105 -7,3033 -7,5731 -7,9232 -8,3426 -8,8005 -9,2501 -9,6468 -9,9602 -10,1752 -10,2953 -10,3478 -10,3731 -10,4031 -10,4498 -10,5129 -10,5876 -10,6589 -10,6974 -10,6709 -10,5612 -10,3769 -10,1539
F7    -2,1145 -1,8956 -1,7366 -1,6372 -1,6085 -1,6589 -1,7659 -1,8782 -1,9513 -1,9712 -1,9408 -1,8446 -1,6356 -1,2664 -0,7366 -0,1081 0,5207 1,0572 1,4484 1,6926 1,8250 1,8925 1,9322 1,9645 1,9929 2,0031 1,9717 1,8819 1,7275 1,5056 1,2185 0,8847 0,5408 0,2301 -0,0068 -0,1384 -0,1598 -0,1124 -0,0721 -0,0999 -0,2036 -0,3402 -0,4426 -0,4539 -0,3537 -0,1542 0,1162 0,4137 0,6688 0,7988 0,7503 0,5359 0,2247 -0,1043 -0,4041 -0,6620 -0,8679 -0,9962 -1,0296 -0,9902 -0,9211 -0,8384 -0,7223 -0,5631 -0,3961 -0,2740 -0,2120 -0,1688 -0,0756 0,1178 0,4219 0,8194 1,2780 1,7444 2,1419 2,3870 2,4197 2,2270 1,8558 1,3960 0,9323 0,5077 0,1280 -0,2126 -0,5108 -0,7519 -0,9139 -0,9657 -0,8769 -0,6487 -0,3333 -0,0146 0,2325 0,3737 0,4195 0,4053 0,3687 0,3417 0,3486 0,4028 0,4995 0,6098 0,6891 0,6978 0,6168 0,4483 0,2038 -0,0987 -0,4295 -0,7493 -1,0193 -1,2128 -1,3261 -1,3813 -1,4163 -1,4732 -1,5897 -1,7887 -2,0667 -2,3959 -2,7326 -3,0234 -3,2150 -3,2661 -3,1508 -2,8647 -2,4444 -1,9717 -1,5428 -1,2333 -1,0895 -1,1264 -1,3215 -1,6133 -1,9157 -2,1450 -2,2437 -2,1892 -1,9819 -1,6206 -1,0962 -0,4167 0,3647 1,1574 1,8733 2,4626 2,9272 3,3046 3,6271 3,8929 4,0797 4,1815 4,2191 4,2083 4,1344 3,9770 3,7499 3,5067 3,3183 3,2508 3,3484 3,6166 4,0167 4,4783 4,9202 5,2725 5,4966 5,5945 5,5938 5,5217 5,3948 5,2319 5,0673 4,9392 4,8633 4,8144 4,7346 4,5709 4,3104 3,9761 3,6009 3,2204 2,8753 2,6026 2,4177 2,3056 2,2256 2,1233 1,9471 1,6690 1,3042 0,9091 0,5461 0,2456 -0,0013 -0,2253 -0,4594 -0,7241 -1,0178 -1,3212 -1,6088 -1,8549 -2,0362 -2,1421 -2,1845 -2,1960 -2,2187 -2,2924 -2,4423 -2,6613 -2,8995 -3,0752 -3,1083 -2,9578 -2,6419 -2,2262 -1,7894 -1,3982 -1,1061 -0,9564 -0,9703 -1,1311 -1,3772 -1,6053 -1,6910 -1,5372 -1,1302 -0,5506 0,0763 0,6397 1,0705 1,3420 1,4591 1,4355 1,2749 0,9762 0,5561 0,0722 -0,3764 -0,6837 -0,7903 -0,7102 -0,5126 -0,2838 -0,0932 0,0139 0,0068 -0,1154 -0,3019 -0,4649 -0,5195 -0,4068 -0,1026 0,3749 0,9635 1,5773 2,1361 2,5788 2,8554 2,9247 2,7775 2,4578 2,0506 1,6413 1,2854 1,0040 0,8013 0,6873 0,6813 0,7938 1,0149 1,3193 1,6794 2,0677 2,4534 2,8013 3,0771 3,2550 3,3234 3,2831 3,1421 2,9159 2,6284 2,3088 1,9897 1,6973 1,4371 1,1911 0,9386 0,6803 0,4450 0,2790 0,2270 0,3066 0,4886 0,7036 0,8772 0,9657 0,9652 0,8903 0,7460 0,5223 0,2102 -0,1830 -0,6285 -1,0793 -1,4832 -1,7981 -1,9986 -2,0746 -2,0302 -1,8817 -1,6497 -1,3581 -1,0473 -0,7796 -0,6201 -0,5971 -0,6799 -0,7980 -0,8795 -0,8739 -0,7610 -0,5613 -0,3320 -0,1430 -0,0412 -0,0228 -0,0363 -0,0131 0,1067 0,3635 0,7663 1,2841 1,8554 2,4088 2,8793 3,2149 3,3859 3,4011 3,3156 3,2184 3,1919 3,2653 3,4055 3,5509 3,6491 3,6794 3,6585 3,6203 3,5826 3,5420 3,4909 3,4222 3,3203 3,1631 2,9416 2,6804 2,4428 2,3055 2,3094 2,4243 2,5638 2,6427 2,6265 2,5325 2,3975 2,2546 2,1254 2,0150 1,9137 1,8142 1,7235 1,6494 1,5888 1,5380 1,5061 1,5123 1,5779 1,7174 1,9307 2,2009 2,4969 2,7771 2,9974 3,1187 3,1168 3,0015 2,8389 2,7429 2,8241 3,1365 3,6572 4,2997 4,9464 5,4881 5,8568 6,0386 6,0607 5,9740 5,8435 5,7315 5,6766 5,6859 5,7408 5,8004 5,8068 5,7064 5,4794 5,1537 4,7885 4,4327 4,0885 3,7149 3,2721 2,7642 2,2468 1,8015 1,4997 1,3771 1,4213 1,5715 1,7441 1,8762 1,9519 1,9877 2,0018 2,0016 1,9888 1,9670 1,9471 1,9450 1,9783 2,0673 2,2309 2,4753 2,7878 3,1421 3,5028 3,8298 4,0777 4,1993 4,1668 3,9909 3,7108 3,3684 3,0042 2,6771 2,4676 2,4482 2,6493 3,0457 3,5573 4,0678 4,4688 4,6985 4,7402 4,5999 4,2924 3,8465 3,3137 2,7698 2,2936 1,9378 1,7221 1,6394 1,6482 1,6747 1,6420 1,4999 1,2381 0,8894 0,5111 0,1527 -0,1604 -0,4178 -0,6173 -0,7716 -0,9181 -1,1070 -1,3721 -1,7136 -2,1045 -2,5032 -2,8660 -3,1662 -3,4074 -3,6181 -3,8341 -4,0849 -4,3895 -4,7523 -5,1546 -5,5578 -5,9229 -6,2271 -6,4613 -6,6127 -6,6503 -6,5321 -6,2399 -5,8146 -5,3501 -4,9382 -4,6186 -4,3743 -4,1535 -3,8934 -3,5423 -3,0764 -2,5008 -1,8375 -1,1171 -0,3873 0,2795 0,8001 1,1156 1,2267 1,2044 1,1703 1,2504 1,5282 2,0177 2,6668 3,3794 4,0330 4,5024 4,6983 4,5995 4,2508 3,7402 3,1685 2,6198 2,1460 1,7747 1,5207 1,3854 1,3512 1,3877 1,4688 1,5821 1,7155 1,8448 1,9405 1,9822 1,9622 1,8818 1,7464 1,5597 1,3285 1,0670 0,7870 0,4861 0,1554 -0,2062 -0,5900 -0,9818 -1,3659 -1,7226 -2,0263 -2,2529 -2,3902 -2,4443 -2,4370 -2,3938 -2,3366 -2,2922 -2,2952 -2,3718 -2,5154 -2,6841 -2,8272 -2,9198 -2,9770 -3,0446 -3,1809 -3,4399 -3,8535 -4,4213 -5,1116 -5,8733 -6,6517 -7,3967 -8,0662 -8,6319 -9,0786 -9,3978 -9,5865 -9,6517 -9,6069 -9,4622 -9,2232 -8,9052 -8,5420 -8,1727 -7,8255 -7,5156 -7,2488 -7,0235 -6,8339
