Fp1   -1,0655 -1,1384 -1,2099 -1,2353 -1,1880 -1,0785 -0,9398 -0,7993 -0,6706 -0,5636 -0,4872 -0,4343 -0,3789 -0,2916 -0,1513 0,0519 0,3067 0,5688 0,7658 0,8290 0,7309 0,5002 0,2035 -0,0871 -0,3191 -0,4630 -0,5064 -0,4532 -0,3324 -0,1999 -0,1132 -0,1010 -0,1528 -0,2235 -0,2467 -0,1658 0,0341 0,3157 0,6065 0,8278 0,9271 0,9039 0,8046 0,6879 0,5967 0,5502 0,5415 0,5443 0,5270 0,4619 0,3355 0,1659 0,0035 -0,0940 -0,0884 0,0193 0,1808 0,3172 0,3581 0,2776 0,1076 -0,0804 -0,2146 -0,2510 -0,1786 -0,0169 0,1882 0,3808 0,5193 0,5942 0,6289 0,6589 0,7026 0,7503 0,7899 0,8337 0,9129 1,0422 1,1952 1,3158 1,3478 1,2570 1,0381 0,7214 0,3830 0,1228 0,0079 0,0411 0,1751 0,3412 0,4761 0,5430 0,5405 0,4992 0,4653 0,4853 0,6041 0,8521 1,2077 1,5826 1,8618 1,9593 1,8466 1,5468 1,1094 0,5843 0,0138 -0,5681 -1,1387 -1,6862 -2,1999 -2,6618 -3,0534 -3,3682 -3,6152 -3,8070 -3,9441 -4,0156 -4,0214 -3,9940 -3,9927 -4,0670 -4,2238 -4,4288 -4,6237 -4,7398 -4,7121 -4,5048 -4,1260 -3,6164 -3,0245 -2,3900 -1,7372 -1,0694 -0,3697 0,3817 1,1794 1,9735 2,6790 3,2187 3,5772 3,8115 4,0075 4,2405 4,5628 4,9950 5,5089 6,0321 6,4821 6,8026 6,9740 6,9981 6,8847 6,6503 6,3159 5,9066 5,4595 5,0263 4,6627 4,4101 4,2804 4,2524 4,2748 4,2834 4,2316 4,1135 3,9576 3,7997 3,6604 3,5407 3,4339 3,3401 3,2662 3,2150 3,1740 3,1157 3,0189 2,8971 2,8002 2,7860 2,8928 3,1247 3,4409 3,7593 3,9903 4,0819 4,0395 3,9062 3,7239 3,5091 3,2583 2,9684 2,6521 2,3447 2,0995 1,9597 1,9225 1,9375 1,9392 1,8782 1,7361 1,5334 1,3236 1,1729 1,1333 1,2195 1,3979 1,5979 1,7411 1,7669 1,6450 1,3801 1,0056 0,5650 0,0990 -0,3517 -0,7433 -1,0445 -1,2564 -1,4068 -1,5196 -1,5917 -1,6016 -1,5323 -1,3913 -1,2055 -0,9957 -0,7688 -0,5415 -0,3566 -0,2632 -0,2868 -0,4173 -0,6152 -0,8235 -0,9962 -1,1303 -1,2623 -1,4324 -1,6596 -1,9354 -2,2228 -2,4621 -2,5899 -2,5631 -2,3769 -2,0695 -1,7219 -1,4473 -1,3500 -1,4756 -1,7911 -2,2026 -2,6048 -2,9351 -3,1857 -3,3697 -3,4901 -3,5420 -3,5270 -3,4521 -3,3148 -3,1018 -2,8102 -2,4666 -2,1283 -1,8648 -1,7265 -1,7237 -1,8348 -2,0241 -2,2439 -2,4306 -2,5183 -2,4687 -2,2993 -2,0862 -1,9318 -1,9134 -2,0514 -2,3123 -2,6308 -2,9319 -3,1519 -3,2589 -3,2608 -3,1871 -3,0624 -2,9071 -2,7575 -2,6626 -2,6535 -2,7223 -2,8310 -2,9274 -2,9598 -2,9010 -2,7696 -2,6159 -2,4861 -2,3921 -2,2979 -2,1383 -1,8638 -1,4695 -0,9871 -0,4748 -0,0089 0,3418 0,5462 0,6153 0,5814 0,4796 0,3494 0,2424 0,2112 0,2758 0,3987 0,4941 0,4685 0,2669 -0,0965 -0,5413 -0,9640 -1,2889 -1,4943 -1,6085 -1,6838 -1,7625 -1,8547 -1,9388 -1,9804 -1,9516 -1,8447 -1,6750 -1,4730 -1,2712 -1,0898 -0,9261 -0,7671 -0,6233 -0,5401 -0,5612 -0,6885 -0,8755 -1,0482 -1,1369 -1,0996 -0,9290 -0,6486 -0,3038 0,0508 0,3672 0,6188 0,8001 0,9089 0,9380 0,8839 0,7560 0,5786 0,3882 0,2272 0,1301 0,1090 0,1496 0,2198 0,2882 0,3445 0,3998 0,4592 0,5082 0,5265 0,5089 0,4770 0,4704 0,5154 0,5988 0,6736 0,6912 0,6353 0,5284 0,4090 0,3134 0,2655 0,2733 0,3317 0,4259 0,5340 0,6375 0,7335 0,8336 0,9503 1,0809 1,1993 1,2638 1,2395 1,1206 0,9333 0,7197 0,5162 0,3378 0,1779 0,0238 -0,1177 -0,2127 -0,2276 -0,1597 -0,0343 0,1174 0,2713 0,4139 0,5355 0,6228 0,6641 0,6557 0,5975 0,4868 0,3231 0,1123 -0,1402 -0,4326 -0,7447 -1,0085 -1,1179 -0,9819 -0,5810 0,0149 0,6775 1,2767 1,7176 1,9493 1,9695 1,8277 1,6030 1,3597 1,1184 0,8719 0,6164 0,3579 0,0978 -0,1614 -0,3923 -0,5378 -0,5391 -0,3742 -0,0756 0,2824 0,6085 0,8197 0,8666 0,7491 0,5131 0,2276 -0,0513 -0,3059 -0,5425 -0,7611 -0,9496 -1,0955 -1,1889 -1,2172 -1,1658 -1,0275 -0,8127 -0,5552 -0,3124 -0,1477 -0,0940 -0,1319 -0,2121 -0,2852 -0,3097 -0,2596 -0,1418 0,0035 0,1289 0,2095 0,2449 0,2397 0,1900 0,0833 -0,0931 -0,3368 -0,6192 -0,8956 -1,1273 -1,3060 -1,4683 -1,6833 -2,0140 -2,4760 -3,0253 -3,5886 -4,1118 -4,5822 -5,0100 -5,3934 -5,7168 -5,9763 -6,1860 -6,3549 -6,4732 -6,5222 -6,4854 -6,3475 -6,0971 -5,7367 -5,2951 -4,8273 -4,3909 -4,0175 -3,7035 -3,4257 -3,1581 -2,8656 -2,4954 -2,0023 -1,3895 -0,7130 -0,0534 0,5124 0,9300 1,1776 1,2700 1,2542 1,1910 1,1188 1,0281 0,8760 0,6369 0,3319 0,0117 -0,2663 -0,4469 -0,4958 -0,4156 -0,2425 -0,0263 0,1889 0,3703 0,4996 0,5906 0,6901 0,8373 1,0213 1,1846 1,2663 1,2354 1,0848 0,8178 0,4572 0,0579 -0,3039 -0,5610 -0,6875 -0,7131 -0,7037 -0,7252 -0,8107 -0,9463 -1,0832 -1,1736 -1,2021 -1,1894 -1,1686 -1,1558 -1,1428 -1,1127 -1,0628 -1,0178 -1,0194 -1,0989 -1,2645 -1,5112 -1,8238 -2,1683 -2,5010 -2,7948 -3,0578 -3,3283 -3,6431 -3,9957 -4,3218 -4,5253 -4,5212 -4,2731 -3,8124 -3,2310 -2,6491 -2,1729 -1,8669 -1,7473 -1,7920 -1,9546 -2,1742 -2,3852 -2,5431 -2,6433 -2,7167 -2,8088
Fz    -1,2204 -1,2897 -1,4053 -1,5618 -1,7381 -1,9102 -2,0541 -2,1362 -2,1224 -2,0064 -1,8180 -1,5949 -1,3598 -1,1283 -0,9213 -0,7569 -0,6399 -0,5650 -0,5311 -0,5465 -0,6172 -0,7285 -0,8465 -0,9413 -1,0107 -1,0774 -1,1646 -1,2742 -1,3880 -1,4831 -1,5394 -1,5412 -1,4800 -1,3548 -1,1690 -0,9360 -0,6833 -0,4436 -0,2386 -0,0724 0,0654 0,1947 0,3315 0,4705 0,5852 0,6468 0,6402 0,5700 0,4569 0,3247 0,1873 0,0552 -0,0541 -0,1213 -0,1379 -0,1133 -0,0769 -0,0693 -0,1246 -0,2524 -0,4308 -0,6161 -0,7663 -0,8548 -0,8764 -0,8494 -0,8064 -0,7728 -0,7506 -0,7183 -0,6406 -0,4856 -0,2495 0,0331 0,3087 0,5339 0,6850 0,7553 0,7555 0,7133 0,6650 0,6337 0,6114 0,5723 0,5097 0,4449 0,3973 0,3677 0,3485 0,3315 0,3077 0,2722 0,2330 0,2124 0,2366 0,3219 0,4729 0,6824 0,9184 1,1219 1,2310 1,2119 1,0736 0,8575 0,6093 0,3575 0,1114 -0,1339 -0,3968 -0,7029 -1,0660 -1,4740 -1,8982 -2,3118 -2,6978 -3,0428 -3,3284 -3,5313 -3,6376 -3,6577 -3,6235 -3,5709 -3,5263 -3,5050 -3,5058 -3,5042 -3,4622 -3,3499 -3,1523 -2,8608 -2,4658 -1,9622 -1,3588 -0,6773 0,0571 0,8222 1,5956 2,3516 3,0623 3,7093 4,2994 4,8574 5,4007 5,9251 6,4147 6,8570 7,2439 7,5668 7,8187 8,0029 8,1329 8,2213 8,2665 8,2479 8,1389 7,9300 7,6433 7,3254 7,0273 6,7857 6,6167 6,5219 6,4943 6,5179 6,5716 6,6370 6,6984 6,7383 6,7435 6,7181 6,6848 6,6668 6,6704 6,6862 6,7006 6,7025 6,6900 6,6788 6,6968 6,7703 6,9101 7,0975 7,2795 7,3869 7,3666 7,2028 6,9185 6,5630 6,1907 5,8402 5,5267 5,2451 4,9750 4,6933 4,3908 4,0788 3,7742 3,4843 3,2009 2,9053 2,5804 2,2268 1,8681 1,5408 1,2766 1,0911 0,9811 0,9277 0,9050 0,8919 0,8779 0,8566 0,8154 0,7360 0,6023 0,4116 0,1766 -0,0818 -0,3422 -0,5839 -0,7829 -0,9114 -0,9433 -0,8656 -0,6925 -0,4680 -0,2448 -0,0589 0,0754 0,1560 0,1849 0,1688 0,1209 0,0591 0,0013 -0,0478 -0,1053 -0,1969 -0,3315 -0,4957 -0,6645 -0,8114 -0,9194 -0,9919 -1,0503 -1,1187 -1,2095 -1,3281 -1,4845 -1,6927 -1,9540 -2,2440 -2,5182 -2,7387 -2,8996 -3,0211 -3,1224 -3,2102 -3,2880 -3,3603 -3,4212 -3,4456 -3,3964 -3,2494 -3,0163 -2,7482 -2,5138 -2,3651 -2,3164 -2,3526 -2,4490 -2,5771 -2,6984 -2,7682 -2,7551 -2,6595 -2,5143 -2,3660 -2,2511 -2,1811 -2,1425 -2,1119 -2,0792 -2,0553 -2,0621 -2,1181 -2,2280 -2,3772 -2,5379 -2,6842 -2,8009 -2,8826 -2,9314 -2,9540 -2,9539 -2,9277 -2,8727 -2,7949 -2,7046 -2,6054 -2,4905 -2,3436 -2,1458 -1,8895 -1,5857 -1,2583 -0,9397 -0,6685 -0,4781 -0,3812 -0,3607 -0,3783 -0,3959 -0,3905 -0,3507 -0,2716 -0,1586 -0,0325 0,0757 0,1363 0,1299 0,0575 -0,0547 -0,1681 -0,2602 -0,3380 -0,4257 -0,5411 -0,6803 -0,8186 -0,9198 -0,9533 -0,9120 -0,8198 -0,7190 -0,6447 -0,6076 -0,5948 -0,5796 -0,5368 -0,4601 -0,3661 -0,2746 -0,1933 -0,1181 -0,0387 0,0570 0,1770 0,3214 0,4826 0,6497 0,8108 0,9502 1,0487 1,0861 1,0413 0,8980 0,6580 0,3484 0,0188 -0,2710 -0,4746 -0,5808 -0,6146 -0,6154 -0,6102 -0,6017 -0,5688 -0,4795 -0,3129 -0,0746 0,2037 0,4749 0,6939 0,8357 0,8956 0,8823 0,8157 0,7236 0,6359 0,5788 0,5737 0,6337 0,7544 0,9149 1,0967 1,2935 1,4974 1,6856 1,8263 1,8988 1,9043 1,8607 1,7868 1,6905 1,5675 1,4106 1,2238 1,0331 0,8829 0,8115 0,8260 0,8980 0,9831 1,0405 1,0381 0,9547 0,7942 0,5922 0,4019 0,2699 0,2162 0,2296 0,2815 0,3458 0,4056 0,4509 0,4784 0,4948 0,5113 0,5288 0,5365 0,5318 0,5372 0,5870 0,6979 0,8565 1,0350 1,2130 1,3844 1,5460 1,6908 1,8147 1,9198 2,0061 2,0623 2,0705 2,0209 1,9163 1,7639 1,5678 1,3338 1,0820 0,8492 0,6704 0,5540 0,4777 0,4082 0,3304 0,2618 0,2382 0,2856 0,4044 0,5665 0,7217 0,8191 0,8337 0,7751 0,6760 0,5763 0,5133 0,5099 0,5653 0,6524 0,7297 0,7589 0,7229 0,6370 0,5413 0,4725 0,4433 0,4475 0,4718 0,4988 0,5088 0,4899 0,4493 0,4079 0,3784 0,3512 0,3013 0,2071 0,0701 -0,0827 -0,2191 -0,3254 -0,4167 -0,5279 -0,6951 -0,9458 -1,2973 -1,7492 -2,2751 -2,8256 -3,3472 -3,8006 -4,1647 -4,4375 -4,6385 -4,8008 -4,9515 -5,0955 -5,2148 -5,2804 -5,2693 -5,1758 -5,0109 -4,7934 -4,5387 -4,2473 -3,9035 -3,4921 -3,0183 -2,5099 -2,0033 -1,5261 -1,0908 -0,6982 -0,3422 -0,0162 0,2766 0,5206 0,6988 0,8104 0,8770 0,9288 0,9805 1,0198 1,0225 0,9829 0,9229 0,8686 0,8344 0,8311 0,8705 0,9587 1,0906 1,2515 1,4162 1,5508 1,6252 1,6331 1,5972 1,5525 1,5188 1,4876 1,4413 1,3793 1,3128 1,2426 1,1567 1,0458 0,9114 0,7582 0,5829 0,3742 0,1225 -0,1706 -0,4927 -0,8218 -1,1272 -1,3769 -1,5521 -1,6547 -1,6995 -1,7019 -1,6738 -1,6266 -1,5761 -1,5460 -1,5646 -1,6509 -1,8083 -2,0336 -2,3209 -2,6524 -2,9914 -3,2960 -3,5409 -3,7252 -3,8600 -3,9486 -3,9846 -3,9667 -3,9088 -3,8377 -3,7836 -3,7636 -3,7717 -3,7857 -3,7874 -3,7734 -3,7542 -3,7456 -3,7560 -3,7818 -3,8169 -3,8566 -3,8912 -3,9059
F3    -0,3242 -0,4549 -0,6727 -0,9193 -1,1450 -1,3301 -1,4683 -1,5417 -1,5265 -1,4230 -1,2644 -1,0914 -0,9316 -0,8018 -0,7120 -0,6560 -0,6086 -0,5438 -0,4604 -0,3889 -0,3693 -0,4178 -0,5146 -0,6261 -0,7367 -0,8618 -1,0266 -1,2319 -1,4423 -1,6092 -1,6975 -1,6931 -1,5976 -1,4248 -1,2005 -0,9619 -0,7540 -0,6177 -0,5705 -0,5939 -0,6412 -0,6569 -0,6017 -0,4714 -0,2886 -0,0778 0,1438 0,3556 0,5295 0,6344 0,6452 0,5577 0,3974 0,2070 0,0284 -0,1114 -0,2144 -0,3123 -0,4430 -0,6192 -0,8140 -0,9781 -1,0726 -1,0851 -1,0263 -0,9258 -0,8234 -0,7493 -0,7047 -0,6583 -0,5620 -0,3812 -0,1254 0,1518 0,3904 0,5567 0,6415 0,6434 0,5703 0,4497 0,3233 0,2195 0,1297 0,0243 -0,1039 -0,2258 -0,3045 -0,3188 -0,2639 -0,1507 -0,0063 0,1368 0,2557 0,3474 0,4281 0,5212 0,6470 0,8135 1,0001 1,1562 1,2275 1,1866 1,0442 0,8393 0,6181 0,4113 0,2243 0,0370 -0,1897 -0,4971 -0,8998 -1,3706 -1,8562 -2,3111 -2,7163 -3,0697 -3,3612 -3,5640 -3,6519 -3,6207 -3,4899 -3,2871 -3,0386 -2,7723 -2,5232 -2,3269 -2,2101 -2,1790 -2,2067 -2,2331 -2,1888 -2,0298 -1,7498 -1,3640 -0,8838 -0,3103 0,3523 1,0827 1,8440 2,6016 3,3422 4,0688 4,7746 5,4342 6,0223 6,5273 6,9402 7,2452 7,4308 7,5053 7,4928 7,4175 7,2914 7,1117 6,8673 6,5571 6,2048 5,8581 5,5745 5,4023 5,3620 5,4409 5,5967 5,7677 5,8939 5,9372 5,8840 5,7361 5,5136 5,2633 5,0526 4,9381 4,9360 5,0229 5,1572 5,2972 5,4187 5,5282 5,6590 5,8499 6,1190 6,4423 6,7486 6,9418 6,9427 6,7274 6,3387 5,8663 5,4060 5,0247 4,7455 4,5519 4,4006 4,2439 4,0544 3,8325 3,5918 3,3415 3,0786 2,7912 2,4734 2,1395 1,8204 1,5437 1,3206 1,1479 1,0172 0,9196 0,8468 0,7945 0,7665 0,7688 0,7941 0,8145 0,7938 0,7090 0,5574 0,3464 0,0863 -0,2030 -0,4833 -0,7039 -0,8235 -0,8289 -0,7476 -0,6420 -0,5811 -0,6044 -0,7056 -0,8420 -0,9624 -1,0347 -1,0583 -1,0519 -1,0307 -1,0005 -0,9693 -0,9499 -0,9488 -0,9631 -0,9872 -1,0174 -1,0534 -1,1025 -1,1813 -1,3081 -1,4904 -1,7207 -1,9847 -2,2659 -2,5416 -2,7781 -2,9388 -3,0063 -3,0040 -2,9836 -2,9883 -3,0344 -3,1245 -3,2542 -3,3996 -3,5106 -3,5318 -3,4386 -3,2586 -3,0622 -2,9271 -2,8964 -2,9594 -3,0679 -3,1664 -3,2106 -3,1726 -3,0458 -2,8499 -2,6294 -2,4410 -2,3296 -2,3047 -2,3378 -2,3818 -2,3944 -2,3556 -2,2748 -2,1849 -2,1309 -2,1516 -2,2601 -2,4345 -2,6270 -2,7859 -2,8785 -2,9003 -2,8645 -2,7857 -2,6716 -2,5292 -2,3689 -2,1971 -2,0093 -1,7960 -1,5475 -1,2578 -0,9345 -0,6037 -0,3042 -0,0805 0,0284 0,0138 -0,0863 -0,2017 -0,2706 -0,2695 -0,2137 -0,1340 -0,0514 0,0305 0,1126 0,1866 0,2367 0,2497 0,2271 0,1870 0,1536 0,1367 0,1236 0,0899 0,0219 -0,0749 -0,1863 -0,2970 -0,3918 -0,4612 -0,5103 -0,5531 -0,5937 -0,6192 -0,6121 -0,5613 -0,4666 -0,3438 -0,2203 -0,1179 -0,0430 0,0110 0,0594 0,1224 0,2196 0,3638 0,5599 0,8043 1,0772 1,3361 1,5295 1,6194 1,5853 1,4187 1,1309 0,7644 0,3877 0,0693 -0,1532 -0,2816 -0,3393 -0,3480 -0,3190 -0,2535 -0,1427 0,0300 0,2751 0,5868 0,9423 1,3021 1,6150 1,8282 1,8970 1,8017 1,5620 1,2326 0,8842 0,5859 0,3912 0,3230 0,3645 0,4734 0,6143 0,7725 0,9414 1,1065 1,2485 1,3576 1,4411 1,5137 1,5776 1,6095 1,5750 1,4555 1,2632 1,0373 0,8313 0,6888 0,6198 0,5973 0,5836 0,5566 0,5118 0,4534 0,3945 0,3570 0,3625 0,4202 0,5192 0,6333 0,7401 0,8329 0,9139 0,9815 1,0296 1,0570 1,0674 1,0569 1,0114 0,9298 0,8409 0,7888 0,7999 0,8689 0,9732 1,0956 1,2315 1,3808 1,5431 1,7214 1,9167 2,1149 2,2830 2,3875 2,4132 2,3586 2,2198 1,9920 1,6888 1,3544 1,0527 0,8367 0,7203 0,6771 0,6660 0,6603 0,6588 0,6750 0,7221 0,8029 0,9000 0,9727 0,9762 0,8936 0,7483 0,5881 0,4620 0,4060 0,4376 0,5493 0,7050 0,8507 0,9345 0,9249 0,8263 0,6819 0,5499 0,4737 0,4701 0,5295 0,6162 0,6802 0,6843 0,6303 0,5522 0,4759 0,3925 0,2709 0,0929 -0,1224 -0,3253 -0,4681 -0,5363 -0,5550 -0,5723 -0,6335 -0,7685 -0,9947 -1,3218 -1,7463 -2,2436 -2,7700 -3,2775 -3,7259 -4,0952 -4,3954 -4,6542 -4,8888 -5,0881 -5,2175 -5,2357 -5,1168 -4,8684 -4,5302 -4,1520 -3,7694 -3,3938 -3,0203 -2,6446 -2,2680 -1,8910 -1,5140 -1,1434 -0,7927 -0,4733 -0,1861 0,0743 0,3067 0,5015 0,6547 0,7813 0,9132 1,0730 1,2443 1,3719 1,3957 1,2939 1,0950 0,8552 0,6322 0,4759 0,4229 0,4851 0,6469 0,8750 1,1276 1,3570 1,5152 1,5746 1,5451 1,4605 1,3463 1,2105 1,0667 0,9450 0,8696 0,8354 0,8180 0,7941 0,7516 0,6889 0,6091 0,5155 0,4096 0,2930 0,1694 0,0461 -0,0688 -0,1701 -0,2574 -0,3363 -0,4185 -0,5144 -0,6270 -0,7480 -0,8622 -0,9622 -1,0576 -1,1690 -1,3174 -1,5196 -1,7816 -2,0892 -2,4063 -2,6893 -2,9032 -3,0305 -3,0675 -3,0186 -2,9025 -2,7597 -2,6430 -2,6007 -2,6612 -2,8185 -3,0289 -3,2340 -3,3891 -3,4747 -3,4970 -3,4841 -3,4709 -3,4848 -3,5450 -3,6569 -3,7956 -3,9094
F7    0,0961 0,1501 0,2346 0,2979 0,3117 0,2859 0,2537 0,2520 0,3088 0,4297 0,5986 0,8023 1,0401 1,2998 1,5376 1,6908 1,7111 1,5884 1,3571 1,0878 0,8643 0,7517 0,7654 0,8620 0,9634 1,0004 0,9461 0,8168 0,6467 0,4664 0,3019 0,1790 0,1180 0,1294 0,2097 0,3318 0,4522 0,5415 0,6058 0,6745 0,7740 0,9115 1,0662 1,1932 1,2475 1,2091 1,0847 0,9007 0,7071 0,5660 0,5173 0,5597 0,6632 0,7859 0,8840 0,9260 0,9060 0,8451 0,7780 0,7346 0,7256 0,7403 0,7604 0,7775 0,7974 0,8277 0,8595 0,8631 0,8044 0,6739 0,5061 0,3693 0,3225 0,3749 0,4866 0,6017 0,6773 0,6974 0,6753 0,6447 0,6406 0,6797 0,7477 0,8032 0,8081 0,7499 0,6417 0,5159 0,4152 0,3693 0,3814 0,4435 0,5558 0,7235 0,9352 1,1579 1,3603 1,5323 1,6770 1,7935 1,8707 1,8875 1,8240 1,6766 1,4574 1,1888 0,9017 0,6259 0,3716 0,1277 -0,1211 -0,3832 -0,6617 -0,9599 -1,2801 -1,6200 -1,9676 -2,3002 -2,5925 -2,8318 -3,0276 -3,2071 -3,3994 -3,6137 -3,8238 -3,9741 -4,0065 -3,8895 -3,6310 -3,2630 -2,8132 -2,2930 -1,7114 -1,0927 -0,4771 0,0958 0,6085 1,0721 1,5092 1,9334 2,3476 2,7531 3,1522 3,5476 3,9418 4,3347 4,7218 5,0967 5,4581 5,8071 6,1337 6,4116 6,6035 6,6673 6,5651 6,2802 5,8301 5,2654 4,6596 4,0931 3,6309 3,3089 3,1366 3,1033 3,1786 3,3195 3,4867 3,6544 3,8086 3,9398 4,0377 4,0895 4,0892 4,0503 4,0030 3,9711 3,9575 3,9536 3,9522 3,9527 3,9627 3,9904 4,0372 4,1021 4,1909 4,3063 4,4302 4,5252 4,5590 4,5231 4,4308 4,3074 4,1789 4,0562 3,9270 3,7661 3,5602 3,3242 3,0915 2,8850 2,7031 2,5288 2,3494 2,1673 1,9979 1,8574 1,7498 1,6612 1,5642 1,4299 1,2414 1,0033 0,7375 0,4679 0,2073 -0,0416 -0,2775 -0,4953 -0,6845 -0,8315 -0,9248 -0,9604 -0,9429 -0,8820 -0,7940 -0,7008 -0,6167 -0,5401 -0,4718 -0,4349 -0,4661 -0,5862 -0,7776 -0,9876 -1,1552 -1,2463 -1,2721 -1,2690 -1,2661 -1,2716 -1,2770 -1,2638 -1,2185 -1,1450 -1,0584 -0,9696 -0,8742 -0,7630 -0,6452 -0,5603 -0,5656 -0,7018 -0,9626 -1,2969 -1,6439 -1,9585 -2,2088 -2,3677 -2,4135 -2,3382 -2,1506 -1,8730 -1,5373 -1,1843 -0,8646 -0,6327 -0,5325 -0,5814 -0,7662 -1,0537 -1,4051 -1,7784 -2,1241 -2,3824 -2,4950 -2,4313 -2,2138 -1,9129 -1,6115 -1,3689 -1,2105 -1,1447 -1,1818 -1,3284 -1,5678 -1,8567 -2,1372 -2,3540 -2,4709 -2,4795 -2,3957 -2,2496 -2,0764 -1,9064 -1,7546 -1,6182 -1,4871 -1,3561 -1,2276 -1,1082 -1,0008 -0,8936 -0,7599 -0,5800 -0,3572 -0,1125 0,1264 0,3340 0,4941 0,6025 0,6655 0,6948 0,7032 0,7022 0,7035 0,7189 0,7539 0,7984 0,8271 0,8126 0,7414 0,6247 0,4948 0,3839 0,3009 0,2286 0,1396 0,0141 -0,1476 -0,3191 -0,4580 -0,5288 -0,5207 -0,4510 -0,3534 -0,2586 -0,1794 -0,1105 -0,0372 0,0528 0,1539 0,2396 0,2812 0,2667 0,2073 0,1368 0,0992 0,1284 0,2331 0,3962 0,5881 0,7797 0,9446 1,0558 1,0869 1,0219 0,8716 0,6810 0,5082 0,3944 0,3580 0,4002 0,5051 0,6379 0,7548 0,8207 0,8248 0,7832 0,7298 0,6989 0,7096 0,7565 0,8125 0,8456 0,8390 0,7991 0,7493 0,7152 0,7094 0,7290 0,7614 0,7895 0,7990 0,7792 0,7202 0,6170 0,4789 0,3286 0,1903 0,0805 0,0067 -0,0330 -0,0497 -0,0514 -0,0280 0,0370 0,1358 0,2273 0,2704 0,2563 0,2055 0,1487 0,1117 0,1112 0,1543 0,2370 0,3433 0,4505 0,5341 0,5726 0,5562 0,4911 0,3935 0,2814 0,1622 0,0238 -0,1585 -0,3937 -0,6517 -0,8737 -1,0068 -1,0300 -0,9508 -0,7884 -0,5677 -0,3194 -0,0754 0,1410 0,3218 0,4734 0,6081 0,7333 0,8483 0,9401 0,9817 0,9446 0,8210 0,6411 0,4693 0,3735 0,3876 0,5000 0,6696 0,8479 0,9854 1,0331 0,9572 0,7617 0,5005 0,2578 0,1017 0,0514 0,0804 0,1407 0,1857 0,1876 0,1462 0,0799 0,0095 -0,0513 -0,0908 -0,0967 -0,0633 -0,0005 0,0697 0,1266 0,1644 0,1957 0,2364 0,2835 0,3133 0,3045 0,2579 0,1991 0,1630 0,1721 0,2277 0,3132 0,4009 0,4573 0,4494 0,3548 0,1761 -0,0602 -0,3219 -0,5894 -0,8661 -1,1752 -1,5401 -1,9668 -2,4434 -2,9455 -3,4383 -3,8803 -4,2378 -4,5004 -4,6780 -4,7891 -4,8567 -4,9073 -4,9600 -5,0169 -5,0632 -5,0726 -5,0180 -4,8826 -4,6638 -4,3752 -4,0394 -3,6660 -3,2395 -2,7417 -2,1877 -1,6323 -1,1338 -0,7132 -0,3515 -0,0242 0,2766 0,5495 0,7949 1,0108 1,1822 1,2824 1,2878 1,1919 1,0067 0,7545 0,4703 0,2105 0,0333 -0,0451 -0,0585 -0,0477 -0,0248 0,0268 0,1309 0,2923 0,4864 0,6738 0,8219 0,9166 0,9596 0,9644 0,9485 0,9224 0,8924 0,8756 0,8938 0,9516 1,0365 1,1349 1,2329 1,3028 1,3039 1,1990 0,9712 0,6304 0,2078 -0,2509 -0,6881 -1,0464 -1,2903 -1,4195 -1,4531 -1,4031 -1,2694 -1,0599 -0,8092 -0,5765 -0,4242 -0,3913 -0,4829 -0,6814 -0,9562 -1,2673 -1,5734 -1,8497 -2,0981 -2,3411 -2,6008 -2,8742 -3,1342 -3,3521 -3,5144 -3,6205 -3,6733 -3,6702 -3,5971 -3,4397 -3,2105 -2,9557 -2,7277 -2,5589 -2,4606 -2,4326 -2,4695 -2,5566 -2,6677 -2,7770
