Fp1   1,0531 0,1082 -0,7441 -1,4593 -1,9832 -2,2216 -2,0508 -1,3820 -0,2408 1,1959 2,6553 3,8883 4,7508 5,2025 5,2686 5,0071 4,4999 3,8569 3,1932 2,5793 2,0156 1,4466 0,8028 0,0556 -0,7576 -1,5565 -2,2479 -2,7239 -2,8681 -2,6008 -1,9251 -0,9424 0,1672 1,2134 2,0624 2,6408 2,9112 2,8612 2,4833 1,7455 0,6009 -0,9424 -2,7396 -4,4884 -5,8072 -6,3900 -6,1511 -5,2532 -4,0127 -2,7766 -1,8337 -1,3358 -1,2508 -1,4134 -1,6477 -1,8609 -2,0510 -2,2577 -2,5053 -2,7601 -2,9229 -2,8760 -2,5555 -1,9912 -1,2900 -0,5810 0,0321 0,4801 0,7236 0,7623 0,6538 0,5058 0,4323 0,5007 0,7023 0,9692 1,2169 1,3615 1,3141 0,9957 0,3837 -0,4480 -1,3366 -2,0871 -2,5474 -2,6733 -2,5310 -2,2222 -1,8036 -1,2878 -0,7093 -0,1420 0,3707 0,8674 1,4213 2,0696 2,8037 3,5901 4,3544 4,9306 5,0502 4,4422 3,0099 0,9555 -1,2585 -3,0955 -4,1574 -4,3020 -3,6293 -2,3918 -0,9011 0,5395 1,6932 2,4368 2,7604 2,7223 2,4128 1,9525 1,4932 1,1918 1,1696 1,4928 2,1829 3,2305 4,5918 6,1796 7,8702 9,5074 10,9131 11,9237 12,4383 12,4564 12,0741 11,4141 10,5565 9,5497 8,4529 7,3260 6,2033 5,1081 4,0780 3,1579 2,3833 1,7819 1,3743 1,1625 1,1223 1,2053 1,3460 1,4948 1,6792 2,0363 2,7458 3,8872 5,3405 6,8038 7,9099 8,3754 8,0979 7,1535 5,7124 3,9539 2,0559 0,2425 -1,2286 -2,1780 -2,5890 -2,5635 -2,2223 -1,6747 -1,0467 -0,4597 0,0311 0,4464 0,8234 1,1556 1,4024 1,5511 1,6392 1,7196 1,8293 1,9778 2,1483 2,2954 2,3357 2,1798 1,7965 1,2469 0,6790 0,2983 0,3154 0,8829 2,0299 3,6194 5,3890 7,0720 8,4885 9,5312 10,0977 10,0771 9,4260 8,2426 6,7496 5,2124 3,8525 2,7801 1,9768 1,3567 0,8498 0,4461 0,2078 0,2489 0,6695 1,4931 2,6585 4,0410 5,4594 6,6872 7,5137 7,8277 7,6409 7,0423 6,1614 5,1616 4,2320 3,5656 3,3130 3,5107 4,0334 4,6236 5,0013 5,0027 4,6539 4,1257 3,6002 3,1724 2,8662 2,6942 2,6576 2,7111 2,7683 2,7587 2,6825 2,6028 2,5925 2,6977 2,9219 3,2094 3,4619 3,5869 3,5268 3,2691 2,8664 2,4314 2,0777 1,8520 1,7129 1,5570 1,2794 0,8522 0,3766 0,0481 0,0520 0,4626 1,2151 2,1529 3,0893 3,8517 4,3146 4,4138 4,1477 3,5827 2,8527 2,1516 1,7057 1,6970 2,1664 2,9750 3,8667 4,5977 5,0294 5,1329 4,9399 4,4938 3,8232 2,9481 1,9101 0,7977 -0,2598 -1,1230 -1,6734 -1,8319 -1,5716 -0,9350 -0,0509 0,8680 1,5813 1,9209 1,8711 1,5702 1,2343 1,0640 1,1964 1,7051 2,5810 3,6839 4,7479 5,4836 5,6953 5,3203 4,3932 3,0088 1,3065 -0,5481 -2,3805 -4,0227 -5,3392 -6,2440 -6,6975 -6,7029 -6,3073 -5,5888 -4,6305 -3,5147 -2,3500 -1,2783 -0,4094 0,2641 0,8640 1,5231 2,2793 3,0498 3,6751 3,9889 3,8921 3,4035 2,6501 1,8141 1,0814 0,5962 0,4303 0,5793 0,9726 1,4895 1,9749 2,2614 2,2205 1,8308 1,2015 0,5052 -0,1315 -0,6769 -1,1500 -1,5474 -1,8092 -1,8260 -1,4707 -0,6537 0,6190 2,2225 3,9306 5,4539 6,5020 6,8651 6,4581 5,3096 3,5576 1,4577 -0,6599 -2,4753 -3,7415 -4,3241 -4,2494 -3,7279 -3,0883 -2,6332 -2,5152 -2,7130 -3,0827 -3,4341 -3,6080 -3,5324 -3,2243 -2,7457 -2,1658 -1,5493 -0,9413 -0,3473 0,2604 0,8962 1,5145 2,0112 2,2842 2,2911 2,0481 1,5976 0,9794 0,2249 -0,6097 -1,4140 -2,0591 -2,4691 -2,6535 -2,6815 -2,6216 -2,4752 -2,1491 -1,4945 -0,3940 1,1518 2,9893 4,8481 6,3996 7,3063 7,2831 6,1881 4,1010 1,3303 -1,6609 -4,3540 -6,2792 -7,1424 -6,9260 -5,8724 -4,3485 -2,6978 -1,1664 0,1090 1,0904 1,8038 2,2921 2,5817 2,6769 2,5841 2,3385 1,9949 1,5825 1,0716 0,3924 -0,5046 -1,5881 -2,7233 -3,7087 -4,3633 -4,6011 -4,4321 -3,9219 -3,1732 -2,3237 -1,5196 -0,8853 -0,5079 -0,4209 -0,5865 -0,9165 -1,3350 -1,8229 -2,4007 -3,0720 -3,7695 -4,3561 -4,6951 -4,7176 -4,4409 -3,9697 -3,4787 -3,1506 -3,0910 -3,2840 -3,6307 -4,0305 -4,4228 -4,7837 -5,1130 -5,4158 -5,6940 -5,9708 -6,3016 -6,7312 -7,2327 -7,6774 -7,8782 -7,7024 -7,1588 -6,3749 -5,5001 -4,6290 -3,7982 -3,0315 -2,3580 -1,7757 -1,2238 -0,6256 0,0506 0,7728 1,4611 2,0223 2,3971 2,5922 2,6864 2,8087 3,0783 3,5283 4,0844 4,6098 4,9584 5,0051 4,6830 4,0278 3,1683 2,2341 1,2591 0,1794 -1,0755 -2,4928 -3,9655 -5,3312 -6,4130 -7,0750 -7,2861 -7,1259 -6,7111 -6,1116 -5,3389 -4,3967 -3,3233 -2,1876 -1,0658 -0,0514 0,7101 1,0455 0,8360 0,0768 -1,1214 -2,5712 -4,0545 -5,3637 -6,3474 -6,9471 -7,1937 -7,1700 -6,9530 -6,5649 -5,9805 -5,1859 -4,2276 -3,2291 -2,3771 -1,8650 -1,8301 -2,3147 -3,2356 -4,3734 -5,4212 -6,0669 -6,0759 -5,3768 -4,0995 -2,4993 -0,8430 0,6424 1,7919 2,5406 2,9280 3,0454 2,9933 2,8905 2,8804 3,0835 3,5395 4,2065 4,9929 5,7838 6,4811 7,0300 7,4017 7,5698 7,5078 7,1846 6,5654 5,6378 4,4304 3,0004 1,4352 -0,1275 -1,4987 -2,4629 -2,8174 -2,4444 -1,4022 0,0511 1,5559 2,7989 3,6040 3,9417 3,8979 3,6118 3,2006 2,7297 2,2509
Fz    0,6933 0,4062 0,1173 -0,1383 -0,3323 -0,4562 -0,5218 -0,5524 -0,5729 -0,6052 -0,6621 -0,7378 -0,8081 -0,8472 -0,8458 -0,8102 -0,7482 -0,6598 -0,5426 -0,3995 -0,2352 -0,0524 0,1454 0,3516 0,5584 0,7525 0,9088 0,9973 0,9956 0,8992 0,7273 0,5202 0,3236 0,1694 0,0628 -0,0148 -0,0873 -0,1612 -0,2229 -0,2515 -0,2326 -0,1632 -0,0521 0,0833 0,2259 0,3636 0,4864 0,5844 0,6522 0,6887 0,6926 0,6618 0,5986 0,5114 0,4094 0,2972 0,1758 0,0428 -0,1072 -0,2754 -0,4524 -0,6224 -0,7702 -0,8816 -0,9441 -0,9509 -0,9059 -0,8235 -0,7216 -0,6166 -0,5247 -0,4615 -0,4342 -0,4345 -0,4441 -0,4473 -0,4394 -0,4271 -0,4234 -0,4375 -0,4644 -0,4773 -0,4345 -0,2979 -0,0511 0,2934 0,6978 1,1073 1,4573 1,6808 1,7174 1,5304 1,1330 0,5989 0,0388 -0,4391 -0,7576 -0,8834 -0,8293 -0,6471 -0,4121 -0,2013 -0,0713 -0,0428 -0,1024 -0,2204 -0,3698 -0,5317 -0,6929 -0,8416 -0,9647 -1,0490 -1,0841 -1,0617 -0,9702 -0,7942 -0,5167 -0,1250 0,3803 0,9795 1,6370 2,3092 2,9528 3,5289 4,0024 4,3417 4,5239 4,5456 4,4321 4,2350 4,0170 3,8292 3,6996 3,6339 3,6249 3,6649 3,7493 3,8668 3,9961 4,1210 4,2416 4,3623 4,4802 4,5886 4,6805 4,7464 4,7758 4,7640 4,7130 4,6231 4,4913 4,3206 4,1274 3,9352 3,7648 3,6282 3,5301 3,4773 3,4837 3,5621 3,7083 3,8942 4,0775 4,2254 4,3296 4,4027 4,4634 4,5272 4,6010 4,6743 4,7164 4,6964 4,6131 4,5042 4,4223 4,4060 4,4691 4,6059 4,7988 5,0266 5,2734 5,5314 5,7935 6,0424 6,2453 6,3685 6,3971 6,3362 6,2031 6,0242 5,8365 5,6826 5,5943 5,5796 5,6225 5,6969 5,7839 5,8789 5,9795 6,0700 6,1260 6,1274 6,0643 5,9375 5,7600 5,5523 5,3375 5,1427 5,0005 4,9362 4,9494 5,0089 5,0700 5,0992 5,0859 5,0420 4,9967 4,9801 5,0041 5,0593 5,1235 5,1724 5,1889 5,1650 5,0985 4,9960 4,8771 4,7633 4,6614 4,5612 4,4443 4,3005 4,1413 3,9966 3,8909 3,8248 3,7835 3,7578 3,7517 3,7731 3,8198 3,8769 3,9235 3,9380 3,9004 3,8045 3,6665 3,5185 3,3895 3,2955 3,2370 3,2027 3,1779 3,1531 3,1232 3,0876 3,0552 3,0384 3,0375 3,0337 3,0048 2,9495 2,8933 2,8695 2,8978 2,9778 3,0955 3,2311 3,3678 3,4930 3,5951 3,6565 3,6555 3,5818 3,4487 3,2867 3,1279 2,9950 2,8969 2,8327 2,7985 2,7906 2,8031 2,8253 2,8403 2,8279 2,7726 2,6698 2,5278 2,3650 2,2043 2,0695 1,9835 1,9606 1,9995 2,0807 2,1676 2,2144 2,1834 2,0620 1,8603 1,5978 1,3001 1,0027 0,7495 0,5799 0,5189 0,5716 0,7150 0,8992 1,0672 1,1811 1,2333 1,2380 1,2180 1,1968 1,1947 1,2222 1,2742 1,3308 1,3692 1,3822 1,3859 1,4068 1,4626 1,5488 1,6379 1,6957 1,7037 1,6703 1,6209 1,5791 1,5556 1,5508 1,5596 1,5726 1,5833 1,6009 1,6477 1,7361 1,8552 1,9856 2,1145 2,2316 2,3191 2,3555 2,3287 2,2459 2,1289 2,0015 1,8788 1,7654 1,6622 1,5719 1,5002 1,4551 1,4450 1,4749 1,5403 1,6290 1,7337 1,8603 2,0202 2,2189 2,4477 2,6777 2,8678 2,9870 3,0259 2,9887 2,8837 2,7231 2,5232 2,3013 2,0735 1,8565 1,6672 1,5200 1,4236 1,3766 1,3662 1,3725 1,3762 1,3633 1,3266 1,2684 1,1994 1,1316 1,0713 1,0194 0,9701 0,9110 0,8340 0,7467 0,6755 0,6592 0,7305 0,8940 1,1218 1,3737 1,6201 1,8458 2,0403 2,1925 2,2936 2,3427 2,3463 2,3135 2,2509 2,1592 2,0358 1,8877 1,7388 1,6176 1,5357 1,4835 1,4437 1,4061 1,3726 1,3561 1,3740 1,4365 1,5401 1,6721 1,8152 1,9491 2,0528 2,1101 2,1145 2,0657 1,9673 1,8291 1,6678 1,5082 1,3828 1,3206 1,3268 1,3733 1,4131 1,4042 1,3261 1,1836 1,0038 0,8245 0,6761 0,5705 0,5056 0,4733 0,4645 0,4726 0,4982 0,5472 0,6253 0,7296 0,8455 0,9498 1,0252 1,0707 1,0994 1,1273 1,1644 1,2101 1,2578 1,3037 1,3481 1,3878 1,4118 1,4052 1,3535 1,2477 1,0879 0,8809 0,6341 0,3545 0,0598 -0,2192 -0,4542 -0,6383 -0,7888 -0,9333 -1,0893 -1,2521 -1,3952 -1,4808 -1,4759 -1,3646 -1,1501 -0,8466 -0,4721 -0,0463 0,4134 0,8943 1,3836 1,8618 2,3059 2,6979 3,0278 3,2903 3,4827 3,6077 3,6673 3,6497 3,5280 3,2842 2,9332 2,5194 2,0920 1,6910 1,3473 1,0799 0,8882 0,7546 0,6560 0,5752 0,5071 0,4604 0,4497 0,4834 0,5545 0,6392 0,7088 0,7493 0,7709 0,7976 0,8474 0,9228 1,0128 1,1021 1,1758 1,2190 1,2214 1,1843 1,1206 1,0505 0,9950 0,9654 0,9578 0,9611 0,9635 0,9536 0,9235 0,8763 0,8291 0,8035 0,8138 0,8618 0,9368 1,0201 1,0929 1,1379 1,1348 1,0685 0,9445 0,7917 0,6499 0,5517 0,5080 0,5095 0,5454 0,6127 0,7080 0,8233 0,9534 1,1001 1,2604 1,4132 1,5253 1,5717 1,5454 1,4549 1,3236 1,1882 1,0875 1,0534 1,1061 1,2513 1,4770 1,7537 2,0391 2,2908 2,4824 2,6124 2,6985 2,7650 2,8333 2,9172 3,0194 3,1280 3,2222 3,2817 3,2893 3,2359 3,1275 2,9837 2,8283 2,6831 2,5654 2,4815 2,4263 2,3947
F3    0,5124 0,1365 -0,3058 -0,7384 -1,0990 -1,3691 -1,5674 -1,7230 -1,8576 -1,9810 -2,0929 -2,1800 -2,2145 -2,1797 -2,0996 -2,0229 -1,9726 -1,9177 -1,7927 -1,5352 -1,1066 -0,4993 0,2500 1,0592 1,8235 2,4361 2,8043 2,8818 2,6879 2,2916 1,7901 1,2933 0,8962 0,6448 0,5215 0,4628 0,3979 0,2846 0,1314 -0,0027 -0,0381 0,0735 0,3109 0,5989 0,8627 1,0687 1,2318 1,3964 1,6009 1,8465 2,0860 2,2382 2,2274 2,0180 1,6176 1,0684 0,4404 -0,1883 -0,7568 -1,2239 -1,5618 -1,7698 -1,8862 -1,9577 -1,9901 -1,9371 -1,7424 -1,3938 -0,9351 -0,4379 0,0197 0,3647 0,5539 0,5950 0,5249 0,3668 0,1161 -0,2362 -0,6707 -1,1274 -1,5201 -1,7651 -1,8049 -1,6167 -1,2108 -0,6202 0,1049 0,8916 1,6324 2,1936 2,4425 2,2873 1,7225 0,8426 -0,1915 -1,1921 -1,9754 -2,3999 -2,4146 -2,0745 -1,4987 -0,8081 -0,1016 0,5355 1,0235 1,2949 1,3158 1,1086 0,7451 0,3128 -0,1053 -0,4373 -0,6331 -0,6706 -0,5462 -0,2627 0,1784 0,7717 1,4918 2,2850 3,0806 3,8134 4,4355 4,9095 5,1992 5,2771 5,1413 4,8211 4,3655 3,8352 3,3060 2,8508 2,5035 2,2546 2,0856 1,9982 2,0130 2,1392 2,3562 2,6372 2,9717 3,3504 3,7430 4,1046 4,3954 4,5915 4,6888 4,7021 4,6553 4,5632 4,4234 4,2290 3,9798 3,6786 3,3318 2,9624 2,6250 2,4077 2,4040 2,6666 3,1762 3,8414 4,5203 5,0635 5,3767 5,4561 5,3621 5,1690 4,9373 4,7024 4,4681 4,2247 3,9859 3,7962 3,6997 3,7160 3,8347 4,0112 4,1727 4,2565 4,2505 4,1982 4,1625 4,1755 4,2084 4,1986 4,1089 3,9584 3,8103 3,7372 3,7856 3,9567 4,2110 4,4942 4,7571 4,9586 5,0843 5,1653 5,2504 5,3635 5,4994 5,6374 5,7477 5,8016 5,7825 5,6879 5,5378 5,3929 5,3462 5,4732 5,7701 6,1305 6,3928 6,4227 6,1575 5,6179 4,9142 4,2182 3,6856 3,3914 3,3224 3,4141 3,6014 3,8468 4,1374 4,4757 4,8712 5,3066 5,7119 5,9942 6,0918 5,9998 5,7657 5,4602 5,1346 4,8007 4,4541 4,1112 3,8198 3,6268 3,5407 3,5310 3,5539 3,5586 3,4781 3,2507 2,8718 2,4142 1,9849 1,6741 1,5390 1,6003 1,8291 2,1468 2,4571 2,6942 2,8530 2,9816 3,1376 3,3387 3,5484 3,7212 3,8502 3,9579 4,0623 4,1617 4,2385 4,2767 4,2820 4,2820 4,2954 4,2939 4,2012 3,9451 3,5077 2,9322 2,3039 1,7233 1,2819 1,0473 1,0550 1,2964 1,7114 2,2087 2,7022 3,1277 3,4419 3,6282 3,7005 3,6917 3,6309 3,5372 3,4329 3,3505 3,3206 3,3556 3,4327 3,4895 3,4508 3,2633 2,8966 2,3353 1,5980 0,7668 -0,0201 -0,6142 -0,9069 -0,8656 -0,5558 -0,1217 0,2910 0,6099 0,8383 1,0057 1,1344 1,2424 1,3511 1,4809 1,6309 1,7669 1,8383 1,8159 1,7078 1,5486 1,3878 1,2756 1,2293 1,2186 1,1918 1,1120 0,9720 0,7888 0,5920 0,4177 0,2959 0,2290 0,1984 0,2082 0,2979 0,4917 0,7657 1,0842 1,4297 1,7727 2,0447 2,1692 2,1134 1,9091 1,6319 1,3673 1,1803 1,1032 1,1339 1,2307 1,3146 1,2973 1,1215 0,7814 0,3138 -0,2133 -0,6942 -0,9985 -1,0249 -0,7402 -0,1765 0,5870 1,4490 2,3105 3,0821 3,6769 4,0143 4,0427 3,7671 3,2571 2,6253 2,0006 1,5107 1,2607 1,2907 1,5474 1,9099 2,2386 2,4037 2,3101 1,9404 1,3753 0,7507 0,1782 -0,3029 -0,7121 -1,0842 -1,4372 -1,7643 -2,0387 -2,2171 -2,2448 -2,0781 -1,7209 -1,2340 -0,6955 -0,1536 0,3707 0,8442 1,2214 1,4805 1,6278 1,6642 1,5684 1,3210 0,9261 0,4179 -0,1295 -0,6053 -0,9057 -0,9872 -0,8756 -0,6387 -0,3599 -0,1112 0,0746 0,1988 0,2660 0,2795 0,2618 0,2468 0,2460 0,2415 0,2062 0,1213 -0,0191 -0,2077 -0,4284 -0,6556 -0,8490 -0,9522 -0,9092 -0,6993 -0,3640 -0,0019 0,2750 0,3947 0,3521 0,1993 0,0128 -0,1519 -0,2861 -0,4133 -0,5560 -0,7162 -0,8726 -0,9893 -1,0227 -0,9375 -0,7364 -0,4711 -0,2156 -0,0227 0,1038 0,1961 0,2769 0,3335 0,3387 0,2953 0,2519 0,2739 0,3979 0,6102 0,8485 1,0236 1,0622 0,9460 0,6995 0,3484 -0,0933 -0,5952 -1,0905 -1,4988 -1,7726 -1,9166 -1,9670 -1,9621 -1,9329 -1,8994 -1,8680 -1,8384 -1,8172 -1,8099 -1,7977 -1,7416 -1,6127 -1,3987 -1,0868 -0,6663 -0,1481 0,4305 1,0259 1,6074 2,1524 2,6364 3,0407 3,3438 3,4918 3,4058 3,0469 2,4685 1,7925 1,1408 0,5955 0,1990 -0,0431 -0,1623 -0,2051 -0,2046 -0,1774 -0,1286 -0,0414 0,1197 0,3755 0,6973 1,0018 1,1959 1,2418 1,1703 1,0327 0,8594 0,6650 0,4708 0,3055 0,1857 0,1066 0,0587 0,0419 0,0608 0,1242 0,2441 0,4173 0,6179 0,8192 1,0069 1,1696 1,2886 1,3437 1,3201 1,2083 1,0102 0,7515 0,4787 0,2464 0,1049 0,0779 0,1373 0,2179 0,2574 0,2238 0,1201 -0,0290 -0,1942 -0,3422 -0,4289 -0,4101 -0,2624 0,0039 0,3492 0,7241 1,0791 1,3522 1,4710 1,3847 1,0940 0,6586 0,1783 -0,2497 -0,5659 -0,7426 -0,7623 -0,6135 -0,3003 0,1426 0,6457 1,1278 1,5281 1,8229 2,0278 2,1901 2,3678 2,6058 2,9148 3,2544 3,5474 3,7204 3,7249 3,5441 3,2089 2,7958 2,3899 2,0543 1,8253 1,7108 1,6878 1,7214
F7    0,1684 0,1039 -0,0094 -0,1530 -0,2949 -0,3996 -0,4426 -0,4227 -0,3624 -0,2899 -0,2207 -0,1495 -0,0544 0,0899 0,2955 0,5523 0,8276 1,0698 1,2190 1,2283 1,0888 0,8366 0,5353 0,2518 0,0375 -0,0793 -0,0927 -0,0184 0,1092 0,2474 0,3600 0,4256 0,4405 0,4172 0,3718 0,3102 0,2287 0,1214 -0,0210 -0,2098 -0,4433 -0,6917 -0,9014 -1,0217 -1,0329 -0,9573 -0,8476 -0,7589 -0,7231 -0,7383 -0,7729 -0,7778 -0,7025 -0,5148 -0,2243 0,1071 0,3870 0,5327 0,4978 0,2838 -0,0555 -0,4270 -0,7313 -0,9020 -0,9328 -0,8725 -0,7880 -0,7253 -0,6996 -0,7047 -0,7219 -0,7277 -0,7046 -0,6535 -0,5984 -0,5728 -0,5926 -0,6325 -0,6308 -0,5311 -0,3295 -0,0723 0,1838 0,3922 0,5157 0,5317 0,4418 0,2695 0,0529 -0,1625 -0,3384 -0,4555 -0,5072 -0,4814 -0,3610 -0,1447 0,1377 0,4318 0,6796 0,8407 0,8992 0,8557 0,7234 0,5311 0,3200 0,1301 -0,0164 -0,1180 -0,1794 -0,1998 -0,1775 -0,1148 -0,0141 0,1180 0,2589 0,3661 0,3940 0,3186 0,1506 -0,0685 -0,2848 -0,4498 -0,5293 -0,5007 -0,3476 -0,0635 0,3417 0,8370 1,3746 1,9009 2,3644 2,7206 2,9403 3,0183 2,9748 2,8496 2,6854 2,5126 2,3509 2,2205 2,1411 2,1203 2,1539 2,2364 2,3624 2,5142 2,6555 2,7459 2,7662 2,7296 2,6695 2,6150 2,5794 2,5691 2,5917 2,6538 2,7538 2,8781 3,0053 3,1153 3,1916 3,2185 3,1935 3,1447 3,1240 3,1732 3,2996 3,4808 3,6817 3,8618 3,9789 4,0041 3,9405 3,8200 3,6829 3,5560 3,4494 3,3713 3,3412 3,3813 3,4959 3,6659 3,8640 4,0698 4,2728 4,4646 4,6260 4,7204 4,7058 4,5641 4,3249 4,0600 3,8472 3,7310 3,7198 3,8065 3,9783 4,2115 4,4707 4,7118 4,8913 4,9784 4,9633 4,8575 4,6834 4,4577 4,1848 3,8671 3,5237 3,1986 2,9498 2,8286 2,8607 3,0397 3,3312 3,6811 4,0210 4,2747 4,3774 4,3032 4,0745 3,7444 3,3714 3,0029 2,6702 2,3907 2,1729 2,0222 1,9376 1,9070 1,9142 1,9547 2,0423 2,1976 2,4203 2,6739 2,9036 3,0702 3,1637 3,1912 3,1568 3,0523 2,8650 2,5957 2,2729 1,9445 1,6513 1,4124 1,2349 1,1210 1,0644 1,0454 1,0387 1,0252 0,9952 0,9491 0,8983 0,8577 0,8369 0,8436 0,8914 0,9972 1,1675 1,3857 1,6154 1,8137 1,9436 1,9846 1,9399 1,8306 1,6835 1,5307 1,4137 1,3760 1,4398 1,5865 1,7667 1,9298 2,0485 2,1185 2,1459 2,1378 2,1026 2,0511 1,9907 1,9218 1,8418 1,7489 1,6426 1,5272 1,4191 1,3427 1,3124 1,3188 1,3414 1,3674 1,3956 1,4259 1,4531 1,4711 1,4820 1,5014 1,5482 1,6251 1,7084 1,7579 1,7388 1,6377 1,4654 1,2556 1,0587 0,9151 0,8296 0,7751 0,7187 0,6401 0,5348 0,4105 0,2836 0,1785 0,1251 0,1487 0,2613 0,4537 0,6913 0,9213 1,0980 1,2084 1,2786 1,3525 1,4585 1,5923 1,7248 1,8180 1,8432 1,7944 1,6909 1,5663 1,4513 1,3603 1,2897 1,2259 1,1605 1,1013 1,0668 1,0705 1,1174 1,2161 1,3829 1,6213 1,9009 2,1603 2,3340 2,3862 2,3254 2,1972 2,0630 1,9779 1,9711 2,0348 2,1305 2,2117 2,2485 2,2298 2,1469 1,9838 1,7286 1,4003 1,0592 0,7860 0,6476 0,6726 0,8436 1,1069 1,3937 1,6329 1,7545 1,7005 1,4520 1,0502 0,5815 0,1460 -0,1653 -0,2906 -0,2230 -0,0136 0,2583 0,5218 0,7362 0,8888 0,9740 0,9777 0,8870 0,7107 0,4853 0,2620 0,0827 -0,0381 -0,1119 -0,1616 -0,2045 -0,2445 -0,2747 -0,2839 -0,2602 -0,1884 -0,0553 0,1347 0,3518 0,5551 0,7110 0,7999 0,8154 0,7608 0,6413 0,4610 0,2348 -0,0033 -0,2136 -0,3655 -0,4388 -0,4256 -0,3401 -0,2153 -0,0835 0,0343 0,1229 0,1696 0,1683 0,1225 0,0453 -0,0434 -0,1251 -0,1881 -0,2267 -0,2447 -0,2585 -0,2907 -0,3594 -0,4763 -0,6422 -0,8369 -1,0217 -1,1645 -1,2554 -1,2968 -1,2912 -1,2423 -1,1569 -1,0403 -0,9020 -0,7690 -0,6819 -0,6679 -0,7263 -0,8394 -0,9831 -1,1269 -1,2352 -1,2733 -1,2165 -1,0638 -0,8432 -0,6008 -0,3829 -0,2254 -0,1519 -0,1691 -0,2591 -0,3824 -0,4956 -0,5712 -0,6078 -0,6274 -0,6614 -0,7364 -0,8701 -1,0672 -1,3109 -1,5610 -1,7671 -1,8851 -1,8896 -1,7792 -1,5767 -1,3207 -1,0523 -0,8034 -0,5882 -0,4043 -0,2409 -0,0851 0,0696 0,2148 0,3286 0,3889 0,3852 0,3256 0,2337 0,1379 0,0610 0,0170 0,0136 0,0512 0,1211 0,2063 0,2869 0,3470 0,3806 0,3905 0,3815 0,3552 0,3139 0,2677 0,2340 0,2274 0,2545 0,3146 0,4047 0,5196 0,6458 0,7578 0,8317 0,8655 0,8807 0,9010 0,9263 0,9306 0,8885 0,7984 0,6834 0,5784 0,5148 0,5082 0,5548 0,6370 0,7310 0,8116 0,8543 0,8367 0,7472 0,6025 0,4548 0,3679 0,3776 0,4761 0,6304 0,8026 0,9581 1,0676 1,1107 1,0823 0,9968 0,8817 0,7655 0,6671 0,5868 0,5093 0,4194 0,3135 0,1978 0,0882 0,0114 -0,0077 0,0377 0,1346 0,2622 0,3999 0,5288 0,6359 0,7242 0,8127 0,9220 1,0596 1,2137 1,3547 1,4443 1,4582 1,4041 1,3158 1,2297 1,1638 1,1112 1,0538 0,9808 0,8914 0,7862 0,6706 0,5672 0,5084 0,5092 0,5553 0,6131 0,6450 0,6207 0,5302 0,3869 0,2185 0,0535 -0,0906
