Fp1   -7,5379 -5,7365 -3,9390 -2,4995 -1,5115 -0,8708 -0,4772 -0,3981 -0,8280 -1,8762 -3,3960 -5,0253 -6,3818 -7,2327 -7,5569 -7,4897 -7,1961 -6,7747 -6,2376 -5,5642 -4,7853 -4,0062 -3,3190 -2,6750 -1,8928 -0,8536 0,3517 1,4803 2,2924 2,6919 2,7787 2,7626 2,8206 3,0305 3,4121 3,9763 4,7025 5,5206 6,3610 7,1877 7,9518 8,5448 8,8028 8,5317 7,6022 6,0997 4,3346 2,6820 1,4328 0,7105 0,4217 0,3016 0,0719 -0,4327 -1,2465 -2,2735 -3,2676 -3,8772 -3,7842 -2,8465 -1,1724 0,8988 2,9373 4,5929 5,6700 6,1282 6,0479 5,5536 4,7418 3,6614 2,3314 0,7847 -0,8425 -2,2616 -3,1339 -3,2414 -2,5901 -1,4185 -0,1176 0,9165 1,4347 1,4117 1,0200 0,5410 0,2472 0,2929 0,6736 1,2402 1,7323 1,8615 1,4444 0,5112 -0,6883 -1,7662 -2,3268 -2,1562 -1,3713 -0,3466 0,5253 1,0193 1,1384 1,0972 1,2192 1,7613 2,7556 3,9701 5,0072 5,4789 5,1982 4,3157 3,2917 2,6617 2,7149 3,3304 4,1253 4,7760 5,2101 5,5601 6,0038 6,6259 7,3706 8,0957 8,6322 8,7573 8,1947 6,7909 4,7271 2,4925 0,6541 -0,3288 -0,1642 1,2506 3,7697 6,9369 10,0676 12,4965 13,7865 13,7639 12,5070 10,3591 7,8408 5,4583 3,5758 2,3668 1,7751 1,5752 1,5318 1,4774 1,3047 0,9923 0,6178 0,2844 0,0661 0,0260 0,2003 0,5372 0,9060 1,1683 1,2422 1,1351 0,9414 0,8257 0,9922 1,5920 2,5711 3,6102 4,2603 4,1569 3,1860 1,5448 -0,3491 -2,0502 -3,2523 -3,8393 -3,8467 -3,4687 -3,0686 -3,0180 -3,4703 -4,2959 -5,1677 -5,6963 -5,5725 -4,6643 -3,0806 -1,2009 0,4146 1,2604 1,1306 0,1771 -1,2753 -2,9424 -4,5869 -5,8987 -6,5098 -6,1855 -4,9593 -3,0546 -0,7299 1,7480 4,0418 5,7784 6,6908 6,6951 5,8429 4,2854 2,3250 0,4080 -1,0492 -1,8555 -2,0657 -1,8715 -1,5302 -1,3259 -1,4693 -1,9778 -2,6662 -3,2537 -3,4850 -3,2080 -2,4331 -1,3764 -0,4026 0,1397 0,0594 -0,6346 -1,7698 -3,1203 -4,5108 -5,7823 -6,6960 -6,9758 -6,4611 -5,2161 -3,5355 -1,8337 -0,4794 0,2959 0,4089 -0,0592 -0,8584 -1,6616 -2,2371 -2,5820 -2,9141 -3,5154 -4,5170 -5,7725 -6,9166 -7,5499 -7,3932 -6,3638 -4,6118 -2,4903 -0,4524 1,0549 1,7159 1,4923 0,6433 -0,4264 -1,3501 -1,9098 -2,0606 -1,8723 -1,4352 -0,8099 -0,0496 0,7691 1,5850 2,4100 3,2894 4,1745 4,8698 5,1277 4,7940 3,8808 2,5171 0,8505 -0,9961 -2,9427 -4,9651 -7,0243 -8,9632 -10,4762 -11,1676 -10,7276 -9,1732 -6,9221 -4,6009 -2,7686 -1,7519 -1,6078 -2,1518 -3,0561 -4,0015 -4,7883 -5,3475 -5,7058 -5,9719 -6,3051 -6,7940 -7,3300 -7,6315 -7,3691 -6,2673 -4,2224 -1,4421 1,5364 4,0188 5,4315 5,5385 4,4463 2,4513 -0,0531 -2,5846 -4,6549 -5,9409 -6,3807 -6,0961 -5,2652 -4,1186 -3,0056 -2,3590 -2,5294 -3,5853 -5,2277 -6,9008 -8,0327 -8,2846 -7,6923 -6,5860 -5,3478 -4,2216 -3,2853 -2,5463 -2,0479 -1,8781 -2,0905 -2,6344 -3,3442 -3,9778 -4,2952 -4,1531 -3,5313 -2,4662 -1,0030 0,7643 2,6094 4,1406 4,8958 4,5688 3,2076 1,2081 -0,8756 -2,5551 -3,5460 -3,8002 -3,4826 -2,8923 -2,3208 -1,9504 -1,8709 -2,1329 -2,7436 -3,6526 -4,7912 -6,1144 -7,5415 -8,8535 -9,7370 -9,9758 -9,5510 -8,5592 -7,1427 -5,4958 -3,8066 -2,1674 -0,5956 0,8917 2,2688 3,5323 4,6811 5,6365 6,2140 6,2222 5,5801 4,3408 2,6523 0,7116 -1,2674 -3,0674 -4,4896 -5,3958 -5,7378 -5,5344 -4,8039 -3,5355 -1,7384 0,4762 2,8322 4,9212 6,3693 7,0070 6,8743 6,1187 4,9400 3,5554 2,1011 0,5822 -1,0195 -2,6072 -3,9730 -4,9458 -5,5219 -5,8463 -6,0831 -6,2819 -6,3360 -6,0578 -5,2959 -4,0176 -2,3390 -0,5049 1,1712 2,3893 2,9208 2,6268 1,4998 -0,2900 -2,4115 -4,4465 -5,9819 -6,7236 -6,6069 -5,8231 -4,7492 -3,8180 -3,3268 -3,2957 -3,5329 -3,8237 -4,0383 -4,1252 -4,0793 -3,9197 -3,6876 -3,4717 -3,3908 -3,5185 -3,8459 -4,3079 -4,8145 -5,2697 -5,5879 -5,7163 -5,6493 -5,4106 -5,0183 -4,4640 -3,7269 -2,8179 -1,8060 -0,8267 -0,0892 0,1859 -0,0994 -0,8485 -1,8399 -2,8777 -3,8719 -4,7991 -5,6263 -6,2495 -6,5055 -6,3054 -5,7489 -5,0726 -4,5072 -4,1587 -3,9647 -3,7702 -3,4452 -2,9144 -2,1331 -1,0821 0,2123 1,6344 2,9557 3,8897 4,2144 3,8935 3,0912 2,0319 0,8176 -0,6068 -2,2972 -4,1218 -5,7357 -6,7299 -6,8186 -5,9429 -4,2676 -2,1406 -0,0375 1,5638 2,3368 2,1799 1,2060 -0,2970 -1,9390 -3,3480 -4,2722 -4,5822 -4,2415 -3,3235 -2,0031 -0,4864 1,0290 2,3543 3,3281 3,8775 4,0522 3,9568 3,6503 3,1216 2,3169 1,1976 -0,1555 -1,4898 -2,4788 -2,8978 -2,7518 -2,3124 -2,0404 -2,3876 -3,5388 -5,2323 -6,8112 -7,5390 -6,9922 -5,2359 -2,7072 0,0057 2,3261 3,8437 4,4436 4,2729 3,6019 2,7075 1,7725 0,8238 -0,2366 -1,5476 -3,2207 -5,2848 -7,6133 -9,9055 -11,7901 -12,9740 -13,3499 -13,0404 -12,3403 -11,5771 -10,9713 -10,5591 -10,2487 -9,9716 -9,7421 -9,5560 -9,2928 -8,7877 -8,0058 -7,1330 -6,4791 -6,2260 -6,2364 -6,1506 -5,6862 -4,8281 -3,7621 -2,6986 -1,7796 -1,0796 -0,6149 -0,3824 -0,4414 -0,9258 -1,9560 -3,5465 -5,5762 -7,8148 -9,9497 -11,5763 -12,2483 -11,6882 -9,9837 -7,5666 -5,0121 -2,7690 -0,9956
Fz    -3,1859 -2,2976 -1,4581 -0,8514 -0,5029 -0,3151 -0,2044 -0,2194 -0,5200 -1,2335 -2,3136 -3,5184 -4,5208 -5,0654 -5,0698 -4,6239 -3,8998 -3,0423 -2,1187 -1,1675 -0,2825 0,3839 0,7243 0,7832 0,7296 0,7077 0,7322 0,7223 0,5957 0,3438 0,0527 -0,1480 -0,1666 0,0164 0,3768 0,8804 1,4820 2,1290 2,7906 3,4637 4,1241 4,6922 5,0433 5,0327 4,5536 3,6223 2,3993 1,1215 0,0140 -0,7917 -1,3188 -1,7162 -2,1382 -2,6550 -3,2541 -3,8590 -4,3290 -4,4926 -4,2240 -3,5004 -2,4116 -1,1376 0,1043 1,1206 1,7852 2,0594 1,9849 1,6607 1,2064 0,7143 0,2154 -0,2948 -0,7844 -1,1600 -1,3363 -1,3151 -1,1914 -1,1099 -1,2210 -1,6302 -2,3411 -3,2373 -4,1260 -4,8144 -5,1812 -5,2114 -4,9775 -4,5882 -4,1482 -3,7399 -3,4148 -3,1900 -3,0604 -3,0052 -2,9658 -2,8533 -2,6098 -2,2470 -1,8227 -1,3967 -0,9911 -0,5637 -0,0328 0,6510 1,4420 2,1976 2,7350 2,9054 2,6503 2,0417 1,2906 0,6700 0,3595 0,3381 0,4406 0,5279 0,6029 0,7780 1,1641 1,7945 2,6198 3,5319 4,3621 4,8625 4,7616 3,9180 2,4379 0,6435 -1,0544 -2,2811 -2,7880 -2,5055 -1,5634 -0,2586 1,0588 2,1245 2,8062 3,0521 2,8646 2,3325 1,6354 0,9888 0,5881 0,5563 0,8872 1,4527 2,0809 2,6099 2,9078 2,9188 2,6972 2,3623 2,0173 1,7166 1,4713 1,2603 1,0435 0,7786 0,4405 0,0359 -0,3800 -0,6799 -0,6747 -0,2088 0,7046 1,8464 2,8966 3,5811 3,7790 3,5615 3,1233 2,6496 2,2279 1,8506 1,4530 0,9142 0,0665 -1,2017 -2,8283 -4,5825 -6,1574 -7,2655 -7,7218 -7,4990 -6,7365 -5,6997 -4,6997 -3,9964 -3,7182 -3,8336 -4,2044 -4,6642 -5,0269 -5,0520 -4,4926 -3,2452 -1,4641 0,4963 2,2682 3,6118 4,4231 4,6706 4,3497 3,4830 2,1522 0,5258 -1,1574 -2,6643 -3,8624 -4,7410 -5,3332 -5,6632 -5,7893 -5,8325 -5,9005 -5,9962 -6,0203 -5,8465 -5,3952 -4,6744 -3,7912 -2,9285 -2,2892 -2,0266 -2,2030 -2,7745 -3,6017 -4,5107 -5,3635 -6,0513 -6,4435 -6,4085 -5,8947 -4,9783 -3,8532 -2,7649 -1,9190 -1,4317 -1,3357 -1,5819 -2,0306 -2,4874 -2,7929 -2,9097 -2,9329 -3,0043 -3,1929 -3,4409 -3,6070 -3,5558 -3,2235 -2,6320 -1,8790 -1,1089 -0,4739 -0,1111 -0,1079 -0,4572 -1,0651 -1,7953 -2,4869 -2,9714 -3,1197 -2,8738 -2,2401 -1,2784 -0,1043 1,1226 2,2433 3,1428 3,7452 3,9714 3,7374 3,0193 1,9099 0,5944 -0,7398 -1,9851 -3,1291 -4,2229 -5,3267 -6,4368 -7,4520 -8,2081 -8,5347 -8,3249 -7,6193 -6,6269 -5,6400 -4,9095 -4,5537 -4,5181 -4,6052 -4,5866 -4,3350 -3,8785 -3,3594 -2,9672 -2,8896 -3,2518 -4,0424 -5,0802 -6,0679 -6,6925 -6,7144 -6,0399 -4,7767 -3,2204 -1,7522 -0,7006 -0,2440 -0,4052 -1,0944 -2,1192 -3,1830 -3,9757 -4,3270 -4,2818 -4,0351 -3,8084 -3,7730 -4,0203 -4,5528 -5,2979 -6,1256 -6,8624 -7,3265 -7,3866 -7,0216 -6,3482 -5,5706 -4,8780 -4,3782 -4,1011 -4,0298 -4,1223 -4,3086 -4,4903 -4,5656 -4,4561 -4,1140 -3,5269 -2,7253 -1,7732 -0,7380 0,3244 1,3411 2,1854 2,6792 2,6559 2,0593 0,9947 -0,3228 -1,6693 -2,8701 -3,8127 -4,4553 -4,8340 -5,0373 -5,1503 -5,2208 -5,2732 -5,3392 -5,4775 -5,7633 -6,2538 -6,9535 -7,7816 -8,5513 -9,0289 -9,0655 -8,6662 -7,9367 -7,0075 -5,9903 -4,9413 -3,8716 -2,8223 -1,8958 -1,1948 -0,7518 -0,5264 -0,4516 -0,4681 -0,5233 -0,5813 -0,6569 -0,8261 -1,1824 -1,7709 -2,5487 -3,4034 -4,2121 -4,8817 -5,3422 -5,5151 -5,3061 -4,6397 -3,5192 -2,0828 -0,5984 0,6402 1,4360 1,7233 1,5394 1,0097 0,3117 -0,4106 -1,1017 -1,7514 -2,3158 -2,7026 -2,8419 -2,7602 -2,5710 -2,3896 -2,2484 -2,0870 -1,8263 -1,4431 -0,9659 -0,4272 0,1462 0,6937 1,1017 1,2377 1,0010 0,3578 -0,6304 -1,7950 -2,8954 -3,6951 -4,0394 -3,9075 -3,4148 -2,7626 -2,1652 -1,7804 -1,6695 -1,8149 -2,1688 -2,6820 -3,2943 -3,9175 -4,4575 -4,8681 -5,1801 -5,4576 -5,7165 -5,8969 -5,9136 -5,7202 -5,3325 -4,8152 -4,2624 -3,7739 -3,4139 -3,1850 -3,0497 -2,9655 -2,8956 -2,8036 -2,6591 -2,4635 -2,2681 -2,1556 -2,1897 -2,3805 -2,7023 -3,1305 -3,6469 -4,2147 -4,7450 -5,1042 -5,1971 -5,0344 -4,7132 -4,3578 -4,0547 -3,8078 -3,5581 -3,2342 -2,7788 -2,1706 -1,4351 -0,6292 0,1594 0,8055 1,1814 1,2197 0,9502 0,4746 -0,1054 -0,7480 -1,4771 -2,3290 -3,2737 -4,1806 -4,8633 -5,1545 -4,9519 -4,2420 -3,1336 -1,8674 -0,7488 -0,0425 0,0992 -0,3303 -1,1853 -2,2060 -3,1140 -3,6978 -3,8188 -3,3951 -2,4427 -1,1074 0,3731 1,7332 2,7384 3,2426 3,2327 2,8139 2,1330 1,3150 0,4506 -0,4152 -1,2892 -2,1841 -3,0539 -3,7896 -4,2849 -4,5208 -4,6032 -4,7197 -5,0439 -5,6371 -6,3817 -6,9926 -7,1502 -6,6869 -5,6684 -4,3113 -2,8520 -1,4724 -0,2751 0,7003 1,4201 1,8331 1,9077 1,6575 1,1258 0,3571 -0,6200 -1,7906 -3,1365 -4,6055 -6,0936 -7,4666 -8,5963 -9,3897 -9,8058 -9,8528 -9,5840 -9,0946 -8,4877 -7,8400 -7,2086 -6,6416 -6,1563 -5,7336 -5,3605 -5,0716 -4,9430 -5,0418 -5,3518 -5,7281 -5,9485 -5,8417 -5,3798 -4,6727 -3,9043 -3,2746 -2,9500 -2,9987 -3,3775 -4,0026 -4,8101 -5,7452 -6,7283 -7,6522 -8,4075 -8,8847 -8,9507 -8,4860 -7,4962 -6,1585 -4,7431 -3,4952 -2,5417 -1,8693
F3    -2,8124 -2,0477 -1,3159 -0,7757 -0,4330 -0,2023 -0,0431 -0,0573 -0,4435 -1,3279 -2,6157 -3,9974 -5,1016 -5,6670 -5,6352 -5,1343 -4,3734 -3,5134 -2,5999 -1,6255 -0,6578 0,1352 0,6162 0,8147 0,8949 0,9923 1,1180 1,2034 1,1815 1,0379 0,8224 0,6168 0,4893 0,4800 0,6177 0,9228 1,3775 1,9206 2,4954 3,0800 3,6539 4,1613 4,5113 4,5854 4,2789 3,5860 2,6273 1,5863 0,6439 -0,0708 -0,5430 -0,8839 -1,2456 -1,7224 -2,3188 -2,9572 -3,4925 -3,7535 -3,6139 -3,0454 -2,1300 -1,0365 0,0400 0,9364 1,5448 1,8260 1,8103 1,5715 1,1932 0,7452 0,2690 -0,2132 -0,6581 -0,9794 -1,0909 -0,9742 -0,7061 -0,4472 -0,3994 -0,7204 -1,4329 -2,4040 -3,4107 -4,2386 -4,7491 -4,8936 -4,7003 -4,2680 -3,7473 -3,2869 -2,9738 -2,8139 -2,7655 -2,7741 -2,7691 -2,6779 -2,4729 -2,1822 -1,8592 -1,5569 -1,2984 -1,0416 -0,6895 -0,1641 0,5125 1,1984 1,6895 1,8118 1,4961 0,8233 0,0312 -0,5768 -0,8087 -0,6947 -0,4125 -0,1036 0,2293 0,6748 1,3172 2,1799 3,2070 4,2679 5,1647 5,6353 5,4137 4,3763 2,6646 0,6615 -1,1567 -2,3831 -2,7866 -2,3544 -1,2813 0,1098 1,4978 2,6571 3,4537 3,7989 3,6559 3,0921 2,2823 1,4529 0,8305 0,5889 0,7734 1,2855 1,9477 2,5581 2,9272 2,9519 2,6654 2,1884 1,6511 1,1566 0,7586 0,4559 0,2197 0,0167 -0,1853 -0,4086 -0,6443 -0,8146 -0,7647 -0,3498 0,4209 1,3383 2,1061 2,4938 2,4346 2,0451 1,5419 1,1004 0,7690 0,4901 0,1645 -0,3379 -1,1761 -2,4383 -4,0315 -5,7065 -7,1681 -8,1603 -8,5172 -8,2039 -7,3421 -6,1870 -5,0529 -4,2223 -3,8583 -3,9566 -4,3894 -4,9875 -5,5462 -5,7878 -5,4166 -4,2826 -2,5116 -0,4605 1,4687 2,9837 3,9295 4,2383 3,8885 2,9163 1,4541 -0,2632 -1,9496 -3,3642 -4,4061 -5,1171 -5,5727 -5,8123 -5,8947 -5,9343 -6,0172 -6,1146 -6,1070 -5,8729 -5,3599 -4,6133 -3,7687 -3,0121 -2,5145 -2,3748 -2,6120 -3,1839 -3,9955 -4,9268 -5,8781 -6,7532 -7,4030 -7,6435 -7,3529 -6,5523 -5,4212 -4,2271 -3,2125 -2,5347 -2,2680 -2,4052 -2,8439 -3,4081 -3,9172 -4,2732 -4,5006 -4,6917 -4,8975 -5,0698 -5,1006 -4,9012 -4,4436 -3,7608 -2,9447 -2,1339 -1,4753 -1,0897 -1,0394 -1,2964 -1,7528 -2,2659 -2,6974 -2,9418 -2,9449 -2,6923 -2,1851 -1,4403 -0,5124 0,4990 1,4733 2,3077 2,9280 3,2557 3,1874 2,6461 1,6599 0,3729 -1,0359 -2,4446 -3,8125 -5,1528 -6,4810 -7,7474 -8,8235 -9,5549 -9,8024 -9,4801 -8,6327 -7,4763 -6,3274 -5,4656 -5,0248 -4,9491 -5,0212 -4,9737 -4,6411 -4,0426 -3,3500 -2,8007 -2,6128 -2,9106 -3,6679 -4,6948 -5,6915 -6,3413 -6,3957 -5,7501 -4,5078 -2,9762 -1,5637 -0,6223 -0,3298 -0,6826 -1,5481 -2,6845 -3,7691 -4,5110 -4,7870 -4,6820 -4,3966 -4,1179 -3,9753 -4,0562 -4,4075 -5,0189 -5,8030 -6,5941 -7,1937 -7,4471 -7,3079 -6,8644 -6,2911 -5,7456 -5,3058 -4,9889 -4,7905 -4,6916 -4,6509 -4,6256 -4,5907 -4,5104 -4,3078 -3,8981 -3,2477 -2,3902 -1,3903 -0,3094 0,7757 1,7292 2,3566 2,4769 2,0308 1,1297 -0,0096 -1,1646 -2,1544 -2,8597 -3,2593 -3,4431 -3,5581 -3,7148 -3,9393 -4,2077 -4,5117 -4,8937 -5,4319 -6,1859 -7,1385 -8,1559 -9,0042 -9,4508 -9,3969 -8,9032 -8,0943 -7,0831 -5,9531 -4,7358 -3,4327 -2,1054 -0,9069 0,0066 0,5738 0,8344 0,8638 0,7282 0,4999 0,2607 0,0490 -0,1833 -0,5408 -1,1060 -1,8756 -2,7579 -3,6194 -4,3369 -4,8200 -4,9908 -4,7579 -4,0414 -2,8527 -1,3591 0,1426 1,3506 2,0792 2,2818 2,0101 1,3955 0,6173 -0,1900 -0,9886 -1,7678 -2,4526 -2,9230 -3,1137 -3,0755 -2,9430 -2,8403 -2,7958 -2,7417 -2,5984 -2,3366 -1,9546 -1,4397 -0,7959 -0,0969 0,5106 0,8503 0,7706 0,2011 -0,7997 -2,0358 -3,2251 -4,0944 -4,4706 -4,3322 -3,8003 -3,0850 -2,4149 -1,9661 -1,8107 -1,9249 -2,2375 -2,6744 -3,1692 -3,6575 -4,0903 -4,4653 -4,8341 -5,2476 -5,6856 -6,0518 -6,2364 -6,1797 -5,8870 -5,4050 -4,8075 -4,1929 -3,6581 -3,2637 -3,0166 -2,8752 -2,7726 -2,6457 -2,4587 -2,2259 -2,0122 -1,8970 -1,9248 -2,0899 -2,3705 -2,7626 -3,2687 -3,8565 -4,4237 -4,8191 -4,9334 -4,7669 -4,4176 -4,0330 -3,7333 -3,5427 -3,4031 -3,2287 -2,9333 -2,4529 -1,7662 -0,9007 0,0482 0,9133 1,5078 1,7036 1,4773 0,9027 0,0943 -0,8616 -1,9342 -3,1065 -4,2951 -5,3233 -5,9793 -6,0964 -5,6054 -4,5622 -3,1607 -1,7101 -0,5501 0,0594 0,0057 -0,6695 -1,7845 -3,0484 -4,1415 -4,8099 -4,8952 -4,3332 -3,1825 -1,6282 0,0714 1,6374 2,8164 3,4348 3,4539 2,9823 2,2093 1,3140 0,4223 -0,4124 -1,2122 -2,0180 -2,8116 -3,5069 -4,0164 -4,3246 -4,5167 -4,7564 -5,2151 -5,9645 -6,8807 -7,6460 -7,9024 -7,4647 -6,4069 -4,9700 -3,4169 -1,9567 -0,7251 0,2103 0,8154 1,0687 0,9726 0,5565 -0,1341 -1,0531 -2,1609 -3,4284 -4,8349 -6,3352 -7,8240 -9,1566 -10,2057 -10,8989 -11,2219 -11,1974 -10,8758 -10,3404 -9,6914 -9,0303 -8,4591 -8,0514 -7,7995 -7,6243 -7,4581 -7,3055 -7,2304 -7,3009 -7,5123 -7,7390 -7,7940 -7,5628 -7,0734 -6,4501 -5,8397 -5,3837 -5,1928 -5,2805 -5,5525 -5,9103 -6,3399 -6,8810 -7,5420 -8,2693 -8,9734 -9,5321 -9,7686 -9,5089 -8,7132 -7,5268 -6,1998 -4,9821 -4,0367 -3,3902
F7    -2,3973 -1,5827 -0,7945 -0,1982 0,1725 0,3830 0,4842 0,4214 0,0561 -0,7104 -1,8187 -3,0401 -4,0801 -4,7074 -4,8365 -4,5357 -3,9620 -3,2598 -2,4972 -1,6986 -0,9297 -0,3152 0,0480 0,1896 0,2531 0,3667 0,5435 0,7007 0,7408 0,6288 0,4282 0,2610 0,2293 0,3729 0,6843 1,1357 1,6782 2,2445 2,7800 3,2633 3,6809 3,9971 4,1432 4,0190 3,5397 2,7186 1,6893 0,6417 -0,2496 -0,8817 -1,2705 -1,5371 -1,8163 -2,1766 -2,6113 -3,0574 -3,4034 -3,5135 -3,2869 -2,7069 -1,8479 -0,8542 0,1066 0,8930 1,4175 1,6584 1,6536 1,4788 1,2178 0,9300 0,6291 0,3033 -0,0254 -0,2792 -0,3807 -0,3227 -0,1806 -0,0834 -0,1759 -0,5622 -1,2411 -2,0879 -2,9053 -3,5047 -3,7725 -3,6983 -3,3550 -2,8544 -2,3072 -1,7977 -1,3787 -1,0759 -0,8933 -0,8083 -0,7549 -0,6466 -0,4398 -0,1627 0,1174 0,3383 0,4751 0,5584 0,6558 0,8204 1,0435 1,2493 1,3336 1,2133 0,8615 0,3369 -0,2014 -0,5449 -0,5584 -0,2716 0,1624 0,6071 1,0377 1,5180 2,1197 2,8643 3,7080 4,5523 5,2488 5,5976 5,3947 4,5507 3,1860 1,5986 0,1437 -0,8775 -1,2804 -1,0236 -0,2176 0,8966 2,0390 2,9985 3,6583 3,9445 3,8133 3,2985 2,5323 1,7069 1,0275 0,6581 0,6492 0,9185 1,3105 1,6577 1,8191 1,7343 1,4545 1,0920 0,7408 0,4447 0,2060 -0,0001 -0,2053 -0,4336 -0,6921 -0,9683 -1,2227 -1,3659 -1,2565 -0,7758 0,0579 1,0535 1,9379 2,4846 2,6030 2,3645 1,9378 1,4788 1,0618 0,6831 0,2896 -0,2236 -1,0024 -2,1348 -3,5464 -5,0126 -6,2545 -7,0319 -7,2120 -6,8014 -5,9381 -4,8515 -3,7943 -2,9717 -2,4901 -2,3438 -2,4522 -2,7100 -2,9803 -3,0593 -2,7211 -1,8544 -0,5632 0,8787 2,1789 3,1439 3,6951 3,8231 3,5427 2,8814 1,8997 0,7120 -0,5259 -1,6665 -2,6335 -3,4276 -4,0614 -4,5228 -4,8217 -5,0225 -5,1906 -5,3240 -5,3506 -5,1814 -4,7712 -4,1539 -3,4448 -2,8100 -2,4105 -2,3463 -2,6337 -3,2095 -3,9502 -4,7227 -5,4368 -6,0288 -6,4055 -6,4529 -6,1045 -5,3918 -4,4477 -3,4645 -2,6225 -2,0443 -1,7903 -1,8503 -2,1240 -2,4488 -2,6816 -2,7789 -2,8114 -2,8958 -3,0926 -3,3552 -3,5648 -3,6067 -3,4190 -3,0008 -2,4096 -1,7464 -1,1269 -0,6602 -0,4273 -0,4484 -0,6835 -1,0561 -1,4630 -1,7890 -1,9438 -1,8816 -1,5884 -1,0713 -0,3711 0,4279 1,2195 1,9081 2,4129 2,6467 2,5245 2,0203 1,2088 0,2312 -0,7875 -1,7900 -2,7762 -3,7739 -4,8052 -5,8333 -6,7424 -7,3794 -7,6067 -7,3526 -6,6714 -5,7622 -4,8969 -4,3043 -4,0810 -4,1550 -4,3187 -4,3415 -4,0983 -3,6163 -3,0307 -2,5256 -2,2903 -2,4604 -3,0426 -3,8802 -4,6969 -5,1911 -5,1268 -4,4160 -3,1729 -1,6918 -0,3411 0,5669 0,8676 0,5591 -0,2394 -1,3131 -2,3673 -3,1097 -3,3850 -3,2487 -2,9128 -2,6231 -2,5630 -2,8093 -3,3312 -4,0251 -4,7536 -5,3655 -5,7255 -5,7555 -5,4712 -4,9900 -4,4823 -4,0872 -3,8619 -3,7880 -3,8094 -3,8642 -3,8932 -3,8420 -3,6735 -3,3719 -2,9315 -2,3563 -1,6708 -0,9200 -0,1496 0,6070 1,3118 1,8939 2,2410 2,2348 1,8247 1,0801 0,1558 -0,7850 -1,6139 -2,2457 -2,6542 -2,8865 -3,0385 -3,1975 -3,4033 -3,6567 -3,9533 -4,3133 -4,7816 -5,3960 -6,1493 -6,9569 -7,6469 -8,0230 -7,9806 -7,5542 -6,8493 -5,9694 -4,9915 -3,9527 -2,8666 -1,7840 -0,8161 -0,0757 0,3928 0,6218 0,6789 0,6281 0,5233 0,4027 0,2623 0,0425 -0,3410 -0,9366 -1,7120 -2,5639 -3,3692 -4,0291 -4,4726 -4,6321 -4,4287 -3,7974 -2,7439 -1,3997 -0,0125 1,1537 1,9279 2,2545 2,1601 1,7381 1,1253 0,4340 -0,2958 -1,0575 -1,8008 -2,4175 -2,8161 -2,9946 -3,0322 -3,0144 -2,9606 -2,8188 -2,5310 -2,0920 -1,5383 -0,9045 -0,2173 0,4657 1,0318 1,3437 1,2938 0,8394 0,0212 -1,0241 -2,0841 -2,9328 -3,4042 -3,4456 -3,1290 -2,6135 -2,0858 -1,6947 -1,5062 -1,5079 -1,6536 -1,9013 -2,2142 -2,5423 -2,8289 -3,0502 -3,2406 -3,4587 -3,7162 -3,9503 -4,0674 -4,0089 -3,7800 -3,4390 -3,0729 -2,7682 -2,5733 -2,4801 -2,4476 -2,4370 -2,4245 -2,3929 -2,3253 -2,2196 -2,1068 -2,0388 -2,0518 -2,1434 -2,2942 -2,5032 -2,7865 -3,1417 -3,5056 -3,7558 -3,7913 -3,6092 -3,2963 -2,9735 -2,7321 -2,5855 -2,4789 -2,3324 -2,0698 -1,6443 -1,0604 -0,3722 0,3209 0,8825 1,1806 1,1506 0,8284 0,3177 -0,2877 -0,9523 -1,6911 -2,5215 -3,4054 -4,2256 -4,8183 -5,0326 -4,7755 -4,0417 -2,9457 -1,7229 -0,6625 -0,0056 0,1234 -0,2598 -1,0048 -1,8672 -2,5947 -3,0079 -3,0075 -2,5511 -1,6767 -0,5270 0,6874 1,7505 2,4836 2,7785 2,6322 2,1478 1,4709 0,7213 -0,0229 -0,7285 -1,4105 -2,0944 -2,7588 -3,3305 -3,7369 -3,9709 -4,1153 -4,3104 -4,6847 -5,2765 -5,9741 -6,5268 -6,6638 -6,2551 -5,3720 -4,2040 -2,9436 -1,7311 -0,6438 0,2874 1,0248 1,4999 1,6517 1,4665 0,9773 0,2368 -0,7093 -1,8269 -3,0798 -4,4071 -5,7132 -6,8895 -7,8463 -8,5299 -8,9239 -9,0402 -8,9207 -8,6382 -8,2663 -7,8507 -7,4184 -6,9862 -6,5428 -6,0538 -5,5110 -4,9705 -4,5394 -4,3216 -4,3440 -4,5061 -4,6186 -4,5160 -4,1414 -3,5505 -2,8735 -2,2800 -1,9328 -1,9158 -2,2071 -2,7351 -3,4394 -4,2699 -5,1604 -6,0246 -6,7721 -7,3059 -7,5008 -7,2406 -6,5155 -5,4644 -4,3106 -3,2676 -2,4639 -1,9143
