Fp1   0,7715 -0,0620 -0,4892 -0,5505 -0,3487 -0,0155 0,3277 0,6089 0,8179 0,9816 1,1152 1,1752 1,0471 0,5881 -0,2828 -1,5013 -2,8429 -3,9896 -4,6404 -4,6081 -3,8686 -2,5737 -1,0352 0,3609 1,3031 1,6769 1,5729 1,1980 0,7680 0,4329 0,2484 0,1899 0,1851 0,1492 0,0226 -0,2062 -0,4875 -0,7152 -0,7728 -0,6034 -0,2315 0,2791 0,8490 1,3722 1,7438 1,9299 1,9946 2,0298 2,0592 2,0263 1,8652 1,5576 1,1379 0,6671 0,1990 -0,2340 -0,6075 -0,9034 -1,1303 -1,3129 -1,4426 -1,4558 -1,2727 -0,8606 -0,2628 0,4392 1,1895 1,9649 2,7195 3,3570 3,7734 3,9109 3,7827 3,4678 3,0906 2,7956 2,7186 2,9440 3,4546 4,1114 4,7067 5,0555 5,0427 4,6186 3,7992 2,6752 1,3914 0,1086 -1,0337 -1,9606 -2,6921 -3,3110 -3,8810 -4,3971 -4,8210 -5,1364 -5,3439 -5,4278 -5,3566 -5,1111 -4,6967 -4,1133 -3,3259 -2,2919 -1,0129 0,4554 2,0111 3,5089 4,7841 5,7072 6,2321 6,4079 6,3476 6,1710 5,9581 5,7404 5,5340 5,3840 5,3641 5,5235 5,8274 6,1344 6,2454 6,0258 5,5231 4,9758 4,6872 4,8576 5,4840 6,3703 7,2317 7,8297 8,0557 7,9477 7,6556 7,3618 7,2007 7,2387 7,4990 7,9707 8,5989 9,2828 9,8891 10,2676 10,2717 9,7943 8,7995 7,3275 5,4976 3,5067 1,5938 -0,0285 -1,2386 -2,0312 -2,4927 -2,7235 -2,7475 -2,5028 -1,9283 -1,0434 0,0445 1,1819 2,2067 2,9656 3,3254 3,1888 2,5309 1,4383 0,1021 -1,2290 -2,2920 -2,8435 -2,7201 -1,9142 -0,5823 1,0465 2,7749 4,4541 5,9497 7,1500 7,9959 8,4627 8,5210 8,1365 7,3050 6,0831 4,5899 2,9976 1,5294 0,4422 -0,0324 0,2380 1,2562 2,9185 5,0578 7,4796 9,9873 12,3858 14,4632 15,9903 16,7650 16,6705 15,7138 14,0348 11,8874 9,5938 7,4813 5,8258 4,8015 4,4416 4,6441 5,2296 5,9994 6,7609 7,3406 7,6076 7,4956 7,0237 6,3035 5,5068 4,8149 4,3787 4,2816 4,5056 4,9186 5,3039 5,4433 5,2149 4,6284 3,7750 2,7540 1,6516 0,5625 -0,4043 -1,1538 -1,6357 -1,8554 -1,8516 -1,6424 -1,1899 -0,4373 0,6155 1,8576 3,0665 3,9700 4,3466 4,1123 3,3520 2,2891 1,2095 0,3842 0,0114 0,1705 0,8081 1,7828 2,9400 4,1701 5,4312 6,7159 7,9818 9,1196 9,9983 10,5389 10,7472 10,6782 10,3725 9,8468 9,1300 8,2640 7,2672 6,1270 4,8355 3,4341 2,0332 0,8035 -0,0647 -0,4297 -0,2425 0,4620 1,5925 3,0182 4,5737 6,0627 7,3037 8,2030 8,7619 9,0107 8,9732 8,7013 8,3127 7,9690 7,8109 7,8960 8,1661 8,4646 8,6122 8,5002 8,1407 7,6496 7,1767 6,8295 6,6487 6,6401 6,8035 7,1292 7,5930 8,1864 8,9518 9,9610 11,2344 12,6706 14,0545 15,1414 15,7410 15,7508 15,1547 14,0075 12,4162 10,5336 8,5625 6,7540 5,3696 4,5963 4,4786 4,9398 5,8598 7,1281 8,6451 10,2691 11,7702 12,8747 13,3744 13,2185 12,5336 11,5434 10,4408 9,3320 8,2769 7,3441 6,6278 6,2188 6,1571 6,4152 6,9236 7,6041 8,3827 9,1910 9,9621 10,6201 11,0774 11,2500 11,0949 10,6469 10,0084 9,2929 8,5877 7,9529 7,4226 6,9963 6,6459 6,3427 6,0849 5,8911 5,7644 5,6635 5,5044 5,1905 4,6679 3,9695 3,2103 2,5499 2,1484 2,1111 2,4258 2,9498 3,4868 3,9049 4,2075 4,5095 4,9547 5,6543 6,6525 7,8874 9,1783 10,2808 10,9724 11,1108 10,6603 9,6871 8,3118 6,6751 4,9625 3,4222 2,3066 1,7844 1,8956 2,5585 3,6206 4,9267 6,3623 7,8508 9,3075 10,5862 11,4822 11,8146 11,5217 10,6989 9,5524 8,3027 7,1077 6,0462 5,1662 4,5643 4,3942 4,7546 5,5723 6,6115 7,5810 8,2404 8,4739 8,3212 7,9488 7,5769 7,3994 7,5052 7,8467 8,2892 8,6838 8,9035 8,8622 8,5378 7,9811 7,3063 6,6649 6,2045 6,0263 6,1605 6,5534 7,0704 7,5279 7,7372 7,5457 6,8776 5,7598 4,3237 2,7776 1,3501 0,2189 -0,5368 -0,9342 -1,0260 -0,8209 -0,2544 0,7603 2,2532 4,1638 6,3476 8,5806 10,5738 12,0272 12,7059 12,4920 11,3988 9,5700 7,2878 4,9484 2,9681 1,6544 1,1205 1,2837 1,9334 2,8398 3,8399 4,8322 5,7212 6,4108 6,8352 6,9604 6,7620 6,2286 5,3998 4,3881 3,3581 2,4926 1,9638 1,8884 2,2640 2,9292 3,6118 4,0709 4,2296 4,1787 4,0738 4,0496 4,1990 4,5786 5,2103 6,0634 7,0337 7,9676 8,7261 9,2227 9,4080 9,2585 8,7928 8,0652 7,1499 6,1647 5,2873 4,6992 4,5042 4,6968 5,1920 5,8721 6,6089 7,2808 7,8063 8,1623 8,3617 8,4238 8,3630 8,1866 7,8911 7,4683 6,9159 6,2534 5,5423 4,8937 4,4219 4,1588 4,0093 3,8058 3,4276 2,9063 2,4314 2,2347 2,4507 3,0646 3,9421 4,8783 5,6646 6,1682 6,3750 6,3633 6,2387 6,0785 5,9048 5,6738 5,2779 4,6013 3,6197 2,4565 1,3472 0,5416 0,2024 0,3520 0,8826 1,6015 2,2964 2,8069 3,0716 3,1233 3,0560 3,0032 3,1195 3,5276 4,2575 5,2277 6,2664 7,1574 7,7127 7,8321 7,5007 6,7623 5,7121 4,4803 3,1973 1,9881 1,0010 0,4250 0,4514 1,1881 2,5893 4,4545 6,4811 8,3401 9,7690 10,6425 10,9771 10,8881 10,5438 10,1123 9,7003 9,3403 9,0325 8,7745 8,5487 8,3157 8,0440 7,7297
Fz    0,2246 0,1779 0,1403 0,0990 0,0561 0,0267 0,0220 0,0404 0,0777 0,1452 0,2660 0,4476 0,6599 0,8487 0,9754 1,0352 1,0397 0,9972 0,9136 0,8003 0,6755 0,5601 0,4671 0,3945 0,3318 0,2691 0,2003 0,1256 0,0530 -0,0084 -0,0576 -0,1017 -0,1539 -0,2311 -0,3497 -0,5134 -0,7052 -0,8916 -1,0382 -1,1228 -1,1372 -1,0807 -0,9628 -0,8085 -0,6514 -0,5205 -0,4339 -0,4002 -0,4199 -0,4816 -0,5580 -0,6148 -0,6258 -0,5808 -0,4851 -0,3565 -0,2213 -0,1101 -0,0550 -0,0839 -0,2079 -0,4115 -0,6577 -0,9088 -1,1452 -1,3633 -1,5569 -1,7058 -1,7875 -1,7926 -1,7266 -1,6071 -1,4578 -1,3034 -1,1648 -1,0498 -0,9461 -0,8268 -0,6724 -0,4872 -0,2929 -0,1076 0,0627 0,2171 0,3487 0,4413 0,4773 0,4473 0,3569 0,2253 0,0738 -0,0832 -0,2371 -0,3822 -0,5195 -0,6551 -0,7908 -0,9243 -1,0623 -1,2285 -1,4506 -1,7358 -2,0593 -2,3800 -2,6610 -2,8776 -3,0188 -3,0917 -3,1158 -3,1047 -3,0467 -2,9023 -2,6225 -2,1745 -1,5588 -0,8135 -0,0009 0,8152 1,5823 2,2590 2,8122 3,2172 3,4582 3,5320 3,4572 3,2787 3,0523 2,8220 2,6130 2,4388 2,3074 2,2182 2,1616 2,1294 2,1266 2,1666 2,2566 2,3883 2,5395 2,6834 2,8017 2,8936 2,9715 3,0460 3,1185 3,1877 3,2538 3,3161 3,3707 3,4142 3,4504 3,4910 3,5504 3,6387 3,7556 3,8910 4,0357 4,1881 4,3471 4,5054 4,6570 4,8035 4,9467 5,0801 5,1863 5,2442 5,2472 5,2144 5,1811 5,1784 5,2221 5,3157 5,4552 5,6305 5,8284 6,0377 6,2537 6,4743 6,6936 6,9057 7,1099 7,3096 7,5084 7,7077 7,9039 8,0833 8,2251 8,3095 8,3256 8,2737 8,1655 8,0231 7,8760 7,7558 7,6840 7,6601 7,6645 7,6743 7,6728 7,6509 7,6032 7,5213 7,3888 7,1927 6,9407 6,6665 6,4106 6,1943 6,0106 5,8362 5,6483 5,4358 5,2031 4,9689 4,7639 4,6193 4,5454 4,5232 4,5173 4,4925 4,4219 4,2901 4,0916 3,8307 3,5199 3,1781 2,8281 2,4939 2,1986 1,9602 1,7864 1,6715 1,5943 1,5243 1,4345 1,3100 1,1486 0,9606 0,7712 0,6197 0,5478 0,5828 0,7224 0,9303 1,1467 1,3100 1,3820 1,3604 1,2743 1,1673 1,0829 1,0566 1,1105 1,2445 1,4325 1,6319 1,8035 1,9284 2,0054 2,0371 2,0289 1,9997 1,9806 1,9959 2,0466 2,1159 2,1885 2,2632 2,3465 2,4436 2,5562 2,6796 2,7992 2,8942 2,9522 2,9825 3,0132 3,0742 3,1845 3,3465 3,5479 3,7652 3,9715 4,1515 4,3120 4,4751 4,6585 4,8634 5,0735 5,2635 5,4102 5,4987 5,5240 5,4952 5,4395 5,3989 5,4137 5,5029 5,6562 5,8424 6,0266 6,1827 6,2961 6,3607 6,3748 6,3397 6,2589 6,1442 6,0193 5,9131 5,8458 5,8263 5,8566 5,9338 6,0452 6,1668 6,2700 6,3330 6,3430 6,2901 6,1723 6,0036 5,8078 5,6058 5,4124 5,2402 5,1015 5,0101 4,9782 5,0097 5,1027 5,2532 5,4516 5,6806 5,9162 6,1301 6,2936 6,3851 6,3966 6,3369 6,2256 6,0793 5,9071 5,7169 5,5215 5,3367 5,1806 5,0720 5,0201 5,0155 5,0328 5,0452 5,0427 5,0371 5,0522 5,1056 5,1979 5,3130 5,4259 5,5130 5,5616 5,5783 5,5894 5,6251 5,6970 5,7836 5,8376 5,8089 5,6721 5,4390 5,1514 4,8587 4,6021 4,4099 4,2980 4,2680 4,3129 4,4241 4,5901 4,7939 5,0189 5,2521 5,4765 5,6664 5,7959 5,8505 5,8343 5,7707 5,6918 5,6184 5,5503 5,4792 5,4049 5,3376 5,2881 5,2595 5,2423 5,2183 5,1744 5,1195 5,0842 5,0950 5,1460 5,1949 5,1838 5,0708 4,8526 4,5674 4,2753 4,0301 3,8588 3,7590 3,7149 3,7160 3,7622 3,8563 3,9935 4,1549 4,3098 4,4281 4,4913 4,4940 4,4447 4,3657 4,2827 4,2111 4,1604 4,1439 4,1744 4,2522 4,3606 4,4705 4,5513 4,5834 4,5646 4,5006 4,3913 4,2334 4,0325 3,8083 3,5888 3,4031 3,2768 3,2300 3,2722 3,3964 3,5813 3,8020 4,0354 4,2580 4,4450 4,5731 4,6200 4,5617 4,3799 4,0802 3,7008 3,2962 2,9172 2,6046 2,3914 2,2962 2,3100 2,3936 2,4933 2,5635 2,5764 2,5208 2,4014 2,2383 2,0598 1,8967 1,7772 1,7146 1,6964 1,6908 1,6623 1,5856 1,4556 1,2891 1,1200 0,9878 0,9244 0,9424 1,0337 1,1802 1,3657 1,5771 1,7975 2,0091 2,2033 2,3805 2,5373 2,6604 2,7326 2,7395 2,6748 2,5426 2,3532 2,1206 1,8653 1,6101 1,3743 1,1743 1,0250 0,9320 0,8896 0,8892 0,9286 1,0111 1,1367 1,2941 1,4625 1,6222 1,7609 1,8711 1,9454 1,9760 1,9569 1,8881 1,7772 1,6349 1,4722 1,3015 1,1383 0,9977 0,8931 0,8370 0,8346 0,8737 0,9250 0,9583 0,9633 0,9582 0,9760 1,0392 1,1443 1,2677 1,3789 1,4504 1,4639 1,4142 1,3114 1,1797 1,0496 0,9441 0,8689 0,8163 0,7722 0,7188 0,6414 0,5376 0,4114 0,2617 0,0832 -0,1210 -0,3378 -0,5523 -0,7531 -0,9297 -1,0723 -1,1757 -1,2403 -1,2702 -1,2692 -1,2365 -1,1673 -1,0586 -0,9172 -0,7607 -0,6079 -0,4693 -0,3500 -0,2578 -0,1992 -0,1735 -0,1763 -0,2067 -0,2668 -0,3507 -0,4351 -0,4869 -0,4799 -0,4044 -0,2646 -0,0741 0,1540 0,4113 0,6892 0,9756 1,2606 1,5345 1,7734 1,9375 1,9969 1,9579 1,8628 1,7681 1,7223 1,7531
F3    1,0485 1,1389 1,1030 0,9041 0,5567 0,1275 -0,2991 -0,6528 -0,8824 -0,9495 -0,8292 -0,5300 -0,1135 0,3299 0,7426 1,1122 1,4170 1,5986 1,6023 1,4185 1,0847 0,6719 0,2656 -0,0581 -0,2568 -0,3412 -0,3647 -0,3800 -0,4054 -0,4326 -0,4498 -0,4505 -0,4373 -0,4261 -0,4483 -0,5372 -0,7000 -0,9012 -1,0815 -1,1871 -1,1775 -1,0236 -0,7247 -0,3320 0,0581 0,3423 0,4528 0,3789 0,1580 -0,1401 -0,4254 -0,6140 -0,6585 -0,5475 -0,2917 0,0685 0,4524 0,7678 0,9442 0,9369 0,7392 0,4018 0,0105 -0,3714 -0,7294 -1,0748 -1,4030 -1,6694 -1,8036 -1,7476 -1,4960 -1,1091 -0,6869 -0,3323 -0,1274 -0,1088 -0,2446 -0,4486 -0,6218 -0,6838 -0,5817 -0,2994 0,1373 0,6682 1,2106 1,6784 2,0100 2,1766 2,1735 2,0185 1,7476 1,4047 1,0429 0,7174 0,4541 0,2440 0,0771 -0,0421 -0,1266 -0,2397 -0,4845 -0,9406 -1,5996 -2,3644 -3,1075 -3,7208 -4,1305 -4,3070 -4,2751 -4,0973 -3,8300 -3,4862 -3,0351 -2,4363 -1,6813 -0,8071 0,1262 1,0668 1,9786 2,8267 3,5620 4,1239 4,4566 4,5277 4,3485 3,9800 3,5046 2,9913 2,4996 2,1042 1,8825 1,8610 1,9939 2,2066 2,4426 2,6719 2,8801 3,0513 3,1540 3,1490 3,0187 2,7836 2,4902 2,1852 1,9034 1,6777 1,5473 1,5448 1,6737 1,9050 2,1988 2,5284 2,8874 3,2803 3,7014 4,1134 4,4531 4,6687 4,7492 4,7196 4,6226 4,4971 4,3700 4,2614 4,1864 4,1468 4,1386 4,1685 4,2531 4,4022 4,5996 4,7965 4,9319 4,9702 4,9164 4,8077 4,7029 4,6640 4,7304 4,9087 5,1824 5,5309 5,9431 6,4118 6,9145 7,4011 7,8004 8,0460 8,0973 7,9397 7,5816 7,0599 6,4515 5,8680 5,4169 5,1490 5,0468 5,0690 5,1880 5,3865 5,6389 5,8992 6,0973 6,1621 6,0715 5,8821 5,6931 5,5725 5,5245 5,5086 5,4729 5,3778 5,2124 5,0080 4,8386 4,7838 4,8664 5,0322 5,1855 5,2299 5,0920 4,7352 4,1659 3,4340 2,6228 1,8267 1,1304 0,5895 0,2193 0,0039 -0,0740 -0,0181 0,1568 0,3988 0,6344 0,7994 0,8551 0,7974 0,6615 0,5071 0,3964 0,3786 0,4791 0,6831 0,9285 1,1187 1,1589 1,0027 0,6821 0,2927 -0,0473 -0,2361 -0,2165 0,0073 0,3648 0,7381 1,0076 1,1017 1,0175 0,8013 0,5204 0,2553 0,0846 0,0525 0,1509 0,3408 0,5823 0,8374 1,0763 1,3064 1,5728 1,9092 2,2985 2,6821 3,0011 3,2364 3,4140 3,5708 3,7190 3,8467 3,9415 4,0036 4,0430 4,0787 4,1381 4,2461 4,4118 4,6206 4,8323 4,9913 5,0542 5,0053 4,8468 4,6013 4,3382 4,1693 4,1951 4,4483 4,8722 5,3448 5,7354 5,9540 5,9719 5,8144 5,5416 5,2214 4,9009 4,5972 4,3142 4,0582 3,8497 3,7356 3,7796 4,0237 4,4523 4,9955 5,5634 6,0783 6,4785 6,7139 6,7581 6,6236 6,3573 6,0219 5,6803 5,3793 5,1356 4,9432 4,7984 4,7140 4,7182 4,8370 5,0737 5,4079 5,8124 6,2584 6,7068 7,1027 7,3851 7,5002 7,4055 7,0780 6,5416 5,8874 5,2399 4,6929 4,2853 4,0207 3,8828 3,8314 3,8046 3,7435 3,6188 3,4423 3,2598 3,1288 3,0894 3,1499 3,2985 3,5198 3,7986 4,1210 4,4812 4,8716 5,2600 5,5833 5,7673 5,7499 5,4989 5,0295 4,4023 3,6938 2,9749 2,3181 1,7962 1,4654 1,3599 1,4911 1,8298 2,3064 2,8424 3,3742 3,8579 4,2698 4,5926 4,8011 4,8794 4,8485 4,7535 4,6259 4,4740 4,3057 4,1472 4,0429 4,0365 4,1463 4,3394 4,5269 4,6116 4,5643 4,4470 4,3546 4,3326 4,3387 4,2673 4,0229 3,5904 3,0456 2,5139 2,1243 1,9700 2,0749 2,3847 2,8023 3,2402 3,6483 3,9975 4,2564 4,3963 4,4082 4,2959 4,0625 3,7321 3,3765 3,0946 2,9540 2,9603 3,0756 3,2544 3,4644 3,6877 3,9066 4,0821 4,1571 4,0942 3,8947 3,5759 3,1549 2,6619 2,1522 1,6997 1,3748 1,2292 1,2956 1,5848 2,0798 2,7384 3,4959 4,2613 4,9246 5,3787 5,5398 5,3579 4,8173 3,9417 2,8112 1,5682 0,3827 -0,5976 -1,2698 -1,5778 -1,5236 -1,1816 -0,6814 -0,1513 0,3242 0,7024 0,9558 1,0685 1,0569 0,9679 0,8508 0,7336 0,6165 0,4809 0,3019 0,0572 -0,2562 -0,5978 -0,8860 -1,0369 -1,0043 -0,7996 -0,4859 -0,1466 0,1574 0,4130 0,6413 0,8660 1,0907 1,3027 1,4859 1,6236 1,6972 1,6940 1,6140 1,4641 1,2478 0,9641 0,6274 0,2808 -0,0229 -0,2485 -0,3862 -0,4497 -0,4702 -0,4754 -0,4754 -0,4655 -0,4264 -0,3332 -0,1745 0,0394 0,2803 0,5073 0,6771 0,7580 0,7346 0,6066 0,3939 0,1403 -0,1037 -0,3007 -0,4272 -0,4703 -0,4326 -0,3345 -0,2070 -0,0902 -0,0285 -0,0504 -0,1527 -0,3001 -0,4408 -0,5324 -0,5585 -0,5230 -0,4466 -0,3714 -0,3511 -0,4230 -0,5873 -0,8053 -1,0031 -1,0943 -1,0266 -0,8094 -0,4884 -0,1168 0,2383 0,5036 0,6378 0,6398 0,5126 0,2457 -0,1616 -0,6786 -1,2400 -1,7521 -2,1195 -2,2907 -2,2780 -2,1365 -1,9343 -1,7303 -1,5564 -1,4167 -1,3120 -1,2552 -1,2532 -1,2757 -1,2631 -1,1817 -1,0598 -0,9600 -0,9302 -0,9814 -1,0957 -1,2475 -1,4168 -1,5851 -1,7331 -1,8452 -1,9055 -1,9026 -1,8444 -1,7532 -1,6422 -1,5042 -1,3107 -1,0232 -0,6236 -0,1515 0,2927 0,5984 0,7127 0,6719 0,5790 0,5502 0,6638
F7    0,1888 0,1326 0,1756 0,3064 0,5030 0,7455 1,0120 1,2724 1,4966 1,6689 1,7866 1,8383 1,7903 1,6083 1,2934 0,8890 0,4605 0,0759 -0,2088 -0,3645 -0,3910 -0,3104 -0,1671 -0,0230 0,0632 0,0651 -0,0074 -0,1315 -0,2899 -0,4702 -0,6577 -0,8333 -0,9781 -1,0768 -1,1159 -1,0849 -0,9862 -0,8416 -0,6896 -0,5746 -0,5285 -0,5558 -0,6334 -0,7245 -0,7886 -0,7932 -0,7285 -0,6127 -0,4741 -0,3305 -0,1830 -0,0206 0,1681 0,3820 0,6026 0,8044 0,9704 1,0895 1,1496 1,1425 1,0703 0,9397 0,7631 0,5691 0,3997 0,2929 0,2689 0,3234 0,4256 0,5336 0,6227 0,6940 0,7554 0,8081 0,8554 0,9129 1,0021 1,1364 1,3085 1,4838 1,6097 1,6405 1,5588 1,3820 1,1548 0,9310 0,7495 0,6205 0,5360 0,4897 0,4815 0,5029 0,5283 0,5254 0,4740 0,3752 0,2439 0,0963 -0,0527 -0,1839 -0,2711 -0,2839 -0,1974 -0,0085 0,2518 0,5222 0,7342 0,8416 0,8389 0,7574 0,6482 0,5622 0,5324 0,5667 0,6511 0,7595 0,8690 0,9751 1,0916 1,2320 1,3930 1,5538 1,6873 1,7766 1,8260 1,8621 1,9226 2,0373 2,2113 2,4242 2,6433 2,8425 3,0111 3,1498 3,2665 3,3728 3,4800 3,6039 3,7679 3,9927 4,2818 4,6193 4,9745 5,3076 5,5793 5,7606 5,8397 5,8215 5,7213 5,5570 5,3459 5,1027 4,8351 4,5490 4,2600 4,0043 3,8367 3,8060 3,9182 4,1259 4,3547 4,5407 4,6525 4,6891 4,6668 4,6090 4,5438 4,4978 4,4881 4,5228 4,6135 4,7815 5,0446 5,3995 5,8216 6,2710 6,6939 7,0316 7,2442 7,3281 7,3152 7,2510 7,1684 7,0788 6,9801 6,8688 6,7454 6,6125 6,4771 6,3565 6,2767 6,2621 6,3312 6,4958 6,7562 7,0929 7,4683 7,8310 8,1201 8,2808 8,2846 8,1317 7,8373 7,4228 6,9157 6,3513 5,7744 5,2384 4,7897 4,4553 4,2424 4,1399 4,1217 4,1563 4,2143 4,2728 4,3147 4,3299 4,3257 4,3284 4,3627 4,4309 4,5093 4,5612 4,5522 4,4620 4,2901 4,0578 3,8034 3,5689 3,3822 3,2543 3,1873 3,1753 3,1940 3,1987 3,1402 2,9911 2,7649 2,5149 2,3108 2,2036 2,2027 2,2770 2,3769 2,4647 2,5345 2,6055 2,6961 2,8030 2,9031 2,9693 2,9865 2,9533 2,8715 2,7484 2,6125 2,5130 2,4881 2,5406 2,6479 2,7888 2,9523 3,1290 3,3042 3,4605 3,5837 3,6658 3,6978 3,6663 3,5628 3,3941 3,1823 2,9624 2,7768 2,6642 2,6486 2,7383 2,9324 3,2189 3,5688 3,9397 4,2887 4,5881 4,8318 5,0253 5,1732 5,2807 5,3634 5,4475 5,5573 5,7010 5,8664 6,0257 6,1444 6,1986 6,1888 6,1398 6,0849 6,0451 6,0201 5,9995 5,9790 5,9615 5,9476 5,9281 5,8893 5,8280 5,7574 5,6961 5,6572 5,6487 5,6771 5,7439 5,8408 5,9493 6,0486 6,1269 6,1856 6,2286 6,2548 6,2595 6,2345 6,1718 6,0745 5,9636 5,8761 5,8568 5,9391 6,1219 6,3670 6,6167 6,8145 6,9239 6,9356 6,8641 6,7361 6,5836 6,4439 6,3586 6,3617 6,4599 6,6197 6,7765 6,8592 6,8212 6,6621 6,4218 6,1496 5,8811 5,6356 5,4273 5,2767 5,2096 5,2425 5,3676 5,5497 5,7328 5,8556 5,8781 5,8028 5,6717 5,5434 5,4690 5,4765 5,5598 5,6771 5,7703 5,7953 5,7398 5,6242 5,4908 5,3820 5,3231 5,3186 5,3552 5,4071 5,4485 5,4645 5,4539 5,4233 5,3834 5,3438 5,3065 5,2675 5,2223 5,1655 5,0937 5,0135 4,9382 4,8726 4,8056 4,7205 4,6067 4,4669 4,3212 4,2076 4,1727 4,2515 4,4454 4,7160 4,9934 5,1975 5,2674 5,1852 4,9742 4,6740 4,3203 3,9410 3,5615 3,2078 2,9064 2,6838 2,5631 2,5485 2,6194 2,7481 2,9186 3,1253 3,3634 3,6225 3,8805 4,1083 4,2873 4,4193 4,5183 4,6003 4,6743 4,7303 4,7431 4,6914 4,5718 4,4011 4,2126 4,0445 3,9255 3,8692 3,8735 3,9177 3,9577 3,9394 3,8298 3,6389 3,4120 3,1973 3,0121 2,8373 2,6449 2,4290 2,2097 2,0196 1,8897 1,8421 1,8859 2,0169 2,2222 2,4775 2,7383 2,9487 3,0706 3,1004 3,0564 2,9580 2,8163 2,6404 2,4494 2,2735 2,1389 2,0535 2,0075 1,9827 1,9667 1,9617 1,9762 2,0117 2,0640 2,1314 2,2051 2,2530 2,2255 2,0882 1,8492 1,5561 1,2739 1,0621 0,9560 0,9566 1,0374 1,1611 1,2918 1,4009 1,4732 1,5069 1,5076 1,4807 1,4292 1,3560 1,2653 1,1574 1,0268 0,8724 0,7069 0,5547 0,4445 0,4038 0,4497 0,5818 0,7850 1,0409 1,3362 1,6566 1,9787 2,2770 2,5411 2,7758 2,9824 3,1472 3,2501 3,2772 3,2213 3,0778 2,8510 2,5665 2,2712 2,0178 1,8444 1,7613 1,7537 1,7953 1,8620 1,9382 2,0176 2,0993 2,1860 2,2819 2,3901 2,5104 2,6412 2,7812 2,9190 3,0271 3,0759 3,0501 2,9539 2,8069 2,6397 2,4814 2,3455 2,2280 2,1221 2,0323 1,9696 1,9360 1,9205 1,9076 1,8866 1,8528 1,8071 1,7525 1,6909 1,6284 1,5817 1,5705 1,6007 1,6574 1,7169 1,7623 1,7831 1,7671 1,7009 1,5810 1,4233 1,2582 1,1122 0,9879 0,8585 0,6864 0,4549 0,1886 -0,0505 -0,1876 -0,1698 0,0106 0,3147 0,6739 1,0185 1,2988 1,4890 1,5845 1,6009 1,5703 1,5290 1,5009 1,4897 1,4836 1,4636 1,4044 1,2781 1,0700 0,7947
