Fp1   -5,1993 -4,5624 -4,0056 -3,5469 -3,0988 -2,4939 -1,5879 -0,3639 1,0390 2,3580 3,2712 3,4860 2,8476 1,4365 -0,4077 -2,1691 -3,3096 -3,4478 -2,5040 -0,7340 1,3745 3,2747 4,5091 4,8003 4,0912 2,5504 0,5389 -1,4954 -3,1632 -4,2206 -4,5808 -4,3037 -3,5738 -2,6473 -1,7715 -1,1134 -0,7392 -0,6362 -0,7164 -0,8092 -0,7075 -0,2595 0,5785 1,7461 3,0966 4,4200 5,4816 6,0625 5,9979 5,2077 3,7063 1,6172 -0,7899 -3,0995 -4,8472 -5,6779 -5,4763 -4,4090 -2,8510 -1,2503 -0,0173 0,5501 0,3447 -0,5021 -1,6745 -2,8122 -3,6230 -3,9187 -3,6123 -2,7083 -1,3008 0,4053 2,0812 3,3404 3,8870 3,6306 2,6637 1,1392 -0,8165 -3,0749 -5,4007 -7,3941 -8,5742 -8,5642 -7,2518 -4,8481 -1,8282 1,2369 3,8601 5,7191 6,6586 6,6758 5,8991 4,5599 2,9689 1,4765 0,3883 -0,1400 -0,1582 0,1102 0,3608 0,3177 -0,1706 -1,0643 -2,1124 -2,9314 -3,1811 -2,7258 -1,6658 -0,2573 1,1928 2,4071 3,1847 3,4227 3,1313 2,4347 1,5303 0,6078 -0,2245 -0,9682 -1,7170 -2,6098 -3,7743 -5,2738 -7,0499 -8,8705 -10,3403 -11,0162 -10,5945 -9,0487 -6,6147 -3,6736 -0,6445 2,0886 4,2291 5,5970 6,1438 5,9369 5,0956 3,7602 2,1453 0,5659 -0,6607 -1,3523 -1,5059 -1,2452 -0,7462 -0,1855 0,2809 0,5159 0,4136 -0,0736 -0,9074 -1,9369 -2,9019 -3,5107 -3,5521 -2,9537 -1,7803 -0,2210 1,4493 2,9605 4,1180 4,7895 4,8793 4,3512 3,2373 1,6035 -0,4508 -2,7469 -5,0215 -6,9779 -8,3337 -8,8687 -8,4773 -7,1840 -5,1624 -2,7924 -0,6263 0,8401 1,4155 1,2328 0,5600 -0,3651 -1,3484 -2,1840 -2,6348 -2,4846 -1,6507 -0,2821 1,2486 2,4689 2,9705 2,5273 1,1359 -0,9880 -3,4499 -5,7689 -7,5072 -8,3943 -8,4040 -7,7474 -6,7693 -5,7881 -4,9596 -4,2571 -3,5939 -2,9712 -2,5137 -2,3856 -2,6757 -3,3335 -4,1934 -5,0529 -5,7306 -6,0519 -5,8220 -4,8881 -3,2701 -1,2385 0,7404 2,1742 2,7232 2,2783 0,9522 -0,9473 -2,9660 -4,6253 -5,5867 -5,7440 -5,1882 -4,1193 -2,7788 -1,4057 -0,2136 0,6176 0,9748 0,8747 0,4763 0,0193 -0,2494 -0,1348 0,4563 1,5071 2,9350 4,6272 6,4058 7,9668 8,9198 8,9530 7,9980 6,2646 4,1316 2,0003 0,1919 -1,1245 -1,9537 -2,4048 -2,5841 -2,5478 -2,3373 -2,0359 -1,7635 -1,6062 -1,5725 -1,6239 -1,7147 -1,7917 -1,7808 -1,5995 -1,1899 -0,5283 0,3874 1,5195 2,7599 3,9656 5,0380 5,9208 6,5057 6,6046 6,0654 4,9062 3,3321 1,6529 0,1716 -0,9104 -1,5123 -1,6212 -1,2545 -0,4700 0,6223 1,8922 3,2515 4,6979 6,2683 7,8889 9,2745 10,0458 9,9594 9,0230 7,4430 5,5053 3,4867 1,6438 0,2393 -0,4784 -0,3697 0,5057 1,8768 3,3274 4,4119 4,7951 4,3513 3,1898 1,6289 0,1151 -0,9250 -1,2209 -0,7242 0,3929 1,8129 3,2019 4,3103 5,0169 5,3400 5,3938 5,3064 5,1673 5,0334 4,9426 4,8902 4,7902 4,4832 3,8073 2,6918 1,2356 -0,2668 -1,3944 -1,7893 -1,3701 -0,3742 0,8211 1,9249 2,8399 3,6232 4,3721 5,1376 5,9194 6,6951 7,4169 7,9882 8,2791 8,1881 7,7066 6,9442 6,0944 5,3566 4,8697 4,6978 4,8534 5,3139 6,0049 6,7757 7,4219 7,7564 7,6585 7,0639 5,9306 4,2269 1,9829 -0,5994 -3,0677 -4,7916 -5,2224 -4,2004 -2,0628 0,5576 3,0662 5,1061 6,5534 7,4583 8,0121 8,4619 8,9700 9,5237 9,9447 9,9805 9,4301 8,2417 6,5417 4,6040 2,7870 1,4475 0,8164 0,8707 1,3260 1,7940 1,9810 1,7857 1,2703 0,5807 -0,1114 -0,6436 -0,8948 -0,7982 -0,3291 0,4976 1,5951 2,7834 3,8391 4,5817 4,9066 4,7732 4,2098 3,3081 2,1652 0,8431 -0,5832 -1,9524 -3,0373 -3,6425 -3,6708 -3,1339 -2,1387 -0,8565 0,5372 1,9295 3,2582 4,4186 5,2287 5,5221 5,2909 4,7611 4,3014 4,1995 4,4890 4,9669 5,3667 5,5214 5,3966 5,0123 4,3599 3,4071 2,1806 0,8143 -0,5106 -1,6744 -2,6556 -3,4539 -3,9845 -4,0544 -3,4451 -2,0393 0,0755 2,5709 4,9345 6,5964 7,0913 6,2244 4,1478 1,2954 -1,7499 -4,3726 -6,0439 -6,4667 -5,6619 -3,8983 -1,5086 1,2429 4,1337 6,8774 9,0917 10,3943 10,5636 9,6569 8,0055 6,0926 4,3691 3,0859 2,2341 1,6365 1,1233 0,6482 0,2593 -0,0073 -0,1670 -0,2230 -0,1124 0,2345 0,7754 1,3038 1,5094 1,0961 -0,0970 -2,0036 -4,2949 -6,4404 -7,8761 -8,2217 -7,4280 -5,7805 -3,7727 -1,9193 -0,5835 0,1115 0,2591 0,0792 -0,1502 -0,1140 0,4798 1,7798 3,7067 5,9520 8,0585 9,5766 10,1966 9,7740 8,3060 5,9240 2,8871 -0,4268 -3,5201 -5,8128 -6,8067 -6,3351 -4,6674 -2,3276 0,2004 2,6125 4,7231 6,3684 7,4068 7,7789 7,5298 6,7850 5,7148 4,4908 3,2525 2,1142 1,1684 0,4319 -0,1853 -0,8169 -1,5385 -2,2927 -2,8694 -2,9579 -2,2632 -0,6587 1,6769 4,2310 6,3001 7,2590 6,8154 5,1013 2,5568 -0,2886 -2,9819 -5,2065 -6,7843 -7,6586 -7,8605 -7,4632 -6,5489 -5,2100 -3,5922 -1,9375 -0,5444 0,3757 0,8111 0,9146 0,9026 0,9882 1,3208 1,9289 2,7012 3,4012 3,7187 3,3886 2,3216 0,6470 -1,3450 -3,2748 -4,7604 -5,5781 -5,7771 -5,5811 -5,1527 -4,4512 -3,3167 -1,6922 0,2205 1,9936 3,1652 3,4444 2,7928 1,3871 -0,4408 -2,2703 -3,6948
Fz    -1,6261 -1,2520 -0,8961 -0,6316 -0,4985 -0,4862 -0,5523 -0,6510 -0,7445 -0,8042 -0,8121 -0,7564 -0,6229 -0,4015 -0,1085 0,2061 0,4821 0,6758 0,7659 0,7515 0,6519 0,5030 0,3500 0,2414 0,2132 0,2707 0,3944 0,5603 0,7466 0,9254 1,0594 1,1094 1,0487 0,8816 0,6474 0,4044 0,2073 0,0866 0,0305 -0,0114 -0,0919 -0,2252 -0,3779 -0,4967 -0,5411 -0,4933 -0,3564 -0,1558 0,0729 0,3074 0,5514 0,8219 1,1250 1,4410 1,7264 1,9309 2,0193 1,9878 1,8727 1,7421 1,6649 1,6766 1,7631 1,8746 1,9543 1,9672 1,9152 1,8299 1,7445 1,6713 1,6046 1,5402 1,4939 1,5024 1,6050 1,8161 2,1098 2,4242 2,6823 2,8190 2,8006 2,6261 2,3189 1,9213 1,4879 1,0725 0,7124 0,4224 0,1999 0,0364 -0,0618 -0,0581 0,0959 0,4148 0,8518 1,3149 1,7086 1,9708 2,0876 2,0854 2,0130 1,9264 1,8736 1,8724 1,8943 1,8726 1,7305 1,4186 0,9402 0,3432 -0,3191 -1,0175 -1,7326 -2,4283 -3,0570 -3,5848 -3,9979 -4,2930 -4,4763 -4,5628 -4,5625 -4,4641 -4,2342 -3,8376 -3,2646 -2,5511 -1,7806 -1,0594 -0,4775 -0,0815 0,1274 0,1819 0,1328 0,0398 -0,0294 -0,0087 0,1414 0,4236 0,8149 1,2725 1,7355 2,1408 2,4497 2,6660 2,8298 2,9893 3,1702 3,3659 3,5575 3,7408 3,9354 4,1723 4,4741 4,8408 5,2437 5,6258 5,9116 6,0370 5,9798 5,7604 5,4224 5,0242 4,6400 4,3471 4,1988 4,2092 4,3574 4,6001 4,8843 5,1601 5,3866 5,5285 5,5435 5,3807 5,0056 4,4338 3,7291 2,9703 2,2295 1,5722 1,0522 0,6986 0,5090 0,4446 0,4325 0,3881 0,2503 0,0007 -0,3410 -0,7329 -1,1252 -1,4720 -1,7411 -1,9142 -1,9791 -1,9332 -1,8048 -1,6647 -1,6039 -1,6859 -1,9166 -2,2476 -2,6006 -2,9081 -3,1510 -3,3562 -3,5515 -3,7315 -3,8624 -3,9103 -3,8652 -3,7472 -3,5953 -3,4559 -3,3748 -3,3887 -3,5140 -3,7360 -4,0057 -4,2488 -4,3846 -4,3448 -4,0982 -3,6763 -3,1699 -2,6850 -2,2954 -2,0259 -1,8633 -1,7732 -1,7118 -1,6391 -1,5328 -1,3941 -1,2353 -1,0615 -0,8632 -0,6247 -0,3379 -0,0133 0,3191 0,6216 0,8579 0,9950 1,0157 0,9411 0,8321 0,7635 0,7962 0,9589 1,2364 1,5728 1,8902 2,1078 2,1586 2,0150 1,7101 1,3275 0,9578 0,6670 0,4949 0,4682 0,6020 0,8879 1,2837 1,7153 2,0972 2,3571 2,4577 2,4073 2,2481 2,0271 1,7814 1,5494 1,3769 1,2985 1,3196 1,4227 1,5911 1,8258 2,1356 2,5115 2,9188 3,3161 3,6766 3,9844 4,2213 4,3686 4,4183 4,3700 4,2201 3,9650 3,6125 3,1745 2,6515 2,0448 1,3984 0,8149 0,4147 0,2778 0,4077 0,7340 1,1443 1,5196 1,7650 1,8307 1,7114 1,4321 1,0385 0,6003 0,2136 -0,0159 -0,0104 0,2368 0,6530 1,1275 1,5682 1,9234 2,1679 2,2918 2,3116 2,2743 2,2349 2,2318 2,2736 2,3429 2,4176 2,4891 2,5584 2,6315 2,7233 2,8519 3,0227 3,2226 3,4295 3,6193 3,7704 3,8717 3,9285 3,9606 3,9925 4,0395 4,0926 4,1180 4,0714 3,9133 3,6187 3,1882 2,6603 2,1122 1,6426 1,3410 1,2512 1,3508 1,5660 1,8105 2,0155 2,1463 2,2059 2,2234 2,2304 2,2458 2,2776 2,3284 2,3953 2,4781 2,5962 2,7928 3,1120 3,5677 4,1251 4,7032 5,1945 5,5002 5,5698 5,4286 5,1668 4,8883 4,6606 4,5008 4,3892 4,2840 4,1385 3,9265 3,6591 3,3738 3,1084 2,8901 2,7405 2,6761 2,6945 2,7615 2,8243 2,8434 2,8164 2,7692 2,7261 2,6888 2,6431 2,5732 2,4702 2,3355 2,1827 2,0394 1,9368 1,8878 1,8797 1,8930 1,9178 1,9545 2,0178 2,1477 2,3953 2,7762 3,2403 3,6937 4,0442 4,2304 4,2335 4,0782 3,8155 3,4900 3,1225 2,7256 2,3229 1,9489 1,6421 1,4402 1,3707 1,4372 1,6118 1,8434 2,0766 2,2700 2,4092 2,5111 2,6131 2,7458 2,9078 3,0649 3,1763 3,2252 3,2313 3,2290 3,2275 3,1946 3,0764 2,8311 2,4500 1,9581 1,3934 0,7816 0,1342 -0,5238 -1,1305 -1,5900 -1,8023 -1,7025 -1,2841 -0,6016 0,2425 1,1197 1,9070 2,5183 2,9261 3,1592 3,2708 3,2998 3,2610 3,1704 3,0738 3,0440 3,1473 3,4056 3,7844 4,2067 4,5723 4,7747 4,7316 4,4240 3,9022 3,2436 2,5124 1,7596 1,0322 0,3600 -0,2563 -0,8244 -1,3351 -1,7618 -2,0726 -2,2398 -2,2471 -2,1040 -1,8609 -1,5979 -1,3865 -1,2567 -1,1930 -1,1499 -1,0679 -0,8879 -0,5729 -0,1298 0,3918 0,9242 1,4061 1,7879 2,0246 2,0775 1,9398 1,6601 1,3282 1,0391 0,8736 0,8960 1,1475 1,6338 2,3184 3,1305 3,9851 4,7978 5,4915 6,0023 6,2891 6,3445 6,1955 5,8964 5,5232 5,1556 4,8474 4,6124 4,4419 4,3366 4,3126 4,3785 4,5110 4,6507 4,7202 4,6549 4,4342 4,0993 3,7330 3,4056 3,1302 2,8680 2,5707 2,2142 1,8074 1,3888 1,0148 0,7290 0,5299 0,3728 0,2096 0,0201 -0,1928 -0,4162 -0,6217 -0,7588 -0,7683 -0,6165 -0,3263 0,0224 0,3330 0,5362 0,6085 0,5627 0,4291 0,2380 0,0031 -0,2885 -0,6599 -1,1071 -1,5795 -2,0011 -2,3189 -2,5311 -2,6741 -2,7851 -2,8758 -2,9339 -2,9437 -2,8987 -2,7932 -2,6167 -2,3689 -2,0794 -1,8113 -1,6407 -1,6245 -1,7743 -2,0477 -2,3598 -2,6158 -2,7542 -2,7679 -2,6836 -2,5306 -2,3302
F3    1,4808 1,9009 2,1944 2,2128 1,8341 1,0343 -0,1009 -1,4036 -2,6545 -3,6170 -4,0883 -3,9366 -3,1148 -1,6972 0,0729 1,8060 3,0846 3,6070 3,2863 2,2742 0,8963 -0,4694 -1,4909 -1,9262 -1,6650 -0,7745 0,5162 1,9126 3,1546 4,0563 4,5052 4,4678 3,9990 3,2364 2,3670 1,5759 1,0046 0,7103 0,6173 0,5183 0,1847 -0,4883 -1,4424 -2,5304 -3,5890 -4,4595 -5,0038 -5,1354 -4,8298 -4,0933 -2,9249 -1,3320 0,5853 2,5692 4,2474 5,2714 5,4613 4,8784 3,7995 2,6170 1,7062 1,3131 1,4895 2,0866 2,8238 3,4173 3,6877 3,5854 3,1482 2,4449 1,5475 0,5536 -0,3680 -0,9800 -1,0610 -0,5145 0,5960 2,1064 3,8296 5,5797 7,1402 8,2366 8,5915 8,0397 6,6112 4,5383 2,1840 -0,0845 -2,0020 -3,4180 -4,2393 -4,3908 -3,8478 -2,7018 -1,1884 0,3536 1,5846 2,2805 2,4051 2,1139 1,6995 1,4878 1,7108 2,3965 3,3248 4,0944 4,2981 3,7110 2,3731 0,5298 -1,5114 -3,4929 -5,2220 -6,5442 -7,3633 -7,6863 -7,6151 -7,2850 -6,8110 -6,2487 -5,5650 -4,6378 -3,3075 -1,4631 0,8683 3,4615 5,8987 7,6794 8,4131 7,9725 6,5018 4,3212 1,8206 -0,6178 -2,6624 -4,0731 -4,7476 -4,7024 -3,9961 -2,7208 -1,0758 0,6125 2,0072 2,9213 3,3744 3,5103 3,4776 3,3788 3,2970 3,3347 3,6047 4,1815 5,0617 6,1536 7,2818 8,2108 8,6997 8,5739 7,7813 6,4141 4,6928 2,9129 1,3720 0,3155 -0,0923 0,2139 1,2004 2,7621 4,7491 6,9654 9,1657 11,0624 12,3391 12,7093 12,0136 10,2847 7,7447 4,7750 1,8605 -0,5388 -2,1411 -2,8952 -2,9119 -2,3860 -1,5831 -0,8272 -0,4386 -0,6456 -1,4978 -2,8154 -4,2351 -5,3541 -5,8760 -5,6701 -4,7627 -3,3347 -1,7139 -0,3037 0,5495 0,6820 0,1624 -0,7503 -1,7126 -2,4464 -2,8790 -3,1446 -3,4151 -3,7278 -3,9696 -3,9879 -3,7073 -3,1675 -2,4891 -1,8282 -1,3482 -1,2118 -1,5642 -2,4769 -3,8728 -5,4946 -6,9491 -7,8246 -7,8391 -6,9460 -5,3487 -3,4264 -1,6167 -0,2847 0,3776 0,3807 -0,1123 -0,8710 -1,6718 -2,3403 -2,7634 -2,8749 -2,6428 -2,0813 -1,2682 -0,3472 0,4840 1,0144 1,0830 0,6213 -0,3368 -1,6497 -3,0684 -4,2636 -4,9040 -4,7794 -3,9009 -2,4934 -0,8870 0,5914 1,6863 2,2759 2,4064 2,2364 1,9242 1,5627 1,2033 0,9118 0,7860 0,9094 1,2899 1,8496 2,4604 2,9733 3,2482 3,2050 2,8512 2,2415 1,4337 0,5154 -0,3655 -1,0588 -1,4965 -1,6892 -1,6361 -1,2727 -0,5296 0,5773 1,9254 3,3333 4,6243 5,6630 6,3541 6,6487 6,5634 6,1608 5,4984 4,6109 3,5160 2,1954 0,5979 -1,2506 -3,1196 -4,6137 -5,3590 -5,1644 -4,0736 -2,3238 -0,2602 1,7330 3,2836 4,0981 4,0270 3,0960 1,5110 -0,3506 -1,9990 -2,9625 -2,9445 -1,9373 -0,2377 1,6657 3,2840 4,2795 4,5120 4,0267 3,0281 1,8159 0,6883 -0,1454 -0,6168 -0,7825 -0,7375 -0,5534 -0,2813 0,0483 0,4550 1,0078 1,7736 2,7689 3,9455 5,1860 6,2990 7,0527 7,2816 7,0020 6,4101 5,7479 5,1549 4,6199 4,0413 3,3183 2,3967 1,2720 0,0003 -1,2703 -2,2982 -2,8276 -2,7206 -2,0443 -1,0486 -0,0585 0,6469 0,9167 0,7485 0,2455 -0,4568 -1,2339 -1,9652 -2,5241 -2,7951 -2,6814 -2,0824 -0,8875 0,9752 3,4519 6,2827 8,9893 10,9786 11,7623 11,1899 9,5364 7,3530 5,1866 3,3786 2,0426 1,1306 0,4873 -0,0813 -0,7036 -1,3725 -1,9623 -2,3001 -2,2387 -1,7071 -0,7426 0,4914 1,7177 2,6203 2,9855 2,8310 2,4003 2,0005 1,8230 1,8900 2,1131 2,3727 2,5699 2,6528 2,6208 2,4983 2,2939 1,9953 1,6059 1,1714 0,7601 0,4418 0,3131 0,4993 1,0730 1,9889 3,1271 4,3598 5,5517 6,5438 7,1913 7,4148 7,1987 6,5708 5,6140 4,4620 3,2444 2,0426 0,9208 -0,0134 -0,6174 -0,7967 -0,5840 -0,1606 0,2112 0,3314 0,1859 -0,0510 -0,1487 0,0177 0,4156 0,9383 1,5266 2,2052 3,0004 3,8371 4,5335 4,9021 4,8491 4,3909 3,5984 2,5225 1,1541 -0,5362 -2,4934 -4,4927 -6,1435 -6,9930 -6,6969 -5,1737 -2,6502 0,4244 3,5153 6,1185 7,8505 8,5291 8,2073 7,1037 5,4596 3,4579 1,2863 -0,7636 -2,3079 -3,0008 -2,6807 -1,4468 0,3623 2,2652 3,7846 4,6141 4,7176 4,2766 3,5206 2,6043 1,6283 0,7029 -0,0814 -0,7386 -1,3790 -2,0965 -2,8651 -3,5286 -3,8673 -3,6890 -2,9141 -1,6302 -0,0888 1,3583 2,3696 2,7373 2,4693 1,7884 1,0429 0,5583 0,5104 0,8923 1,5705 2,3491 2,9865 3,1892 2,6777 1,3355 -0,6786 -2,9591 -4,9906 -6,3046 -6,5893 -5,7242 -3,7721 -0,9605 2,3660 5,8050 8,9257 11,3008 12,6031 12,7390 11,8853 10,3619 8,4773 6,4840 4,5946 2,9746 1,7243 0,8997 0,5615 0,7727 1,5218 2,6637 3,9442 5,0744 5,8156 6,0699 5,9250 5,5922 5,2663 5,0003 4,6749 4,0756 3,0157 1,4497 -0,4564 -2,3358 -3,7477 -4,3713 -4,1348 -3,1954 -1,8308 -0,3415 1,0171 2,0846 2,8169 3,2780 3,5827 3,7862 3,8116 3,5074 2,7929 1,7648 0,6608 -0,2916 -0,9930 -1,4807 -1,8848 -2,3667 -3,0358 -3,8838 -4,7796 -5,5123 -5,8665 -5,7078 -5,0296 -3,9348 -2,5911 -1,2047 0,0129 0,9361 1,5847 2,0439 2,3139 2,2492 1,6500 0,4362 -1,2356 -2,9912 -4,3736 -5,0215 -4,8078 -3,8590 -2,4559 -0,9187 0,4588
F7    -2,7312 -2,5198 -2,3011 -2,0813 -1,8494 -1,5632 -1,1721 -0,6595 -0,0587 0,5476 1,0318 1,2534 1,1281 0,6811 0,0418 -0,6001 -1,0430 -1,1333 -0,8249 -0,1962 0,5850 1,3166 1,8142 1,9563 1,7097 1,1357 0,3796 -0,3713 -0,9553 -1,2815 -1,3324 -1,1526 -0,8371 -0,5021 -0,2388 -0,0799 -0,0156 -0,0311 -0,1137 -0,2275 -0,2984 -0,2353 0,0214 0,4661 1,0372 1,6452 2,1844 2,5369 2,6012 2,3333 1,7640 0,9919 0,1674 -0,5406 -0,9884 -1,0910 -0,8451 -0,3369 0,2861 0,8642 1,2564 1,3636 1,1675 0,7456 0,2303 -0,2503 -0,6010 -0,7594 -0,6902 -0,3874 0,1111 0,7113 1,2761 1,6703 1,8095 1,6840 1,3454 0,8650 0,2999 -0,3093 -0,9175 -1,4494 -1,7908 -1,8190 -1,4635 -0,7532 0,1801 1,1504 1,9834 2,5542 2,8035 2,7484 2,4741 2,1018 1,7561 1,5388 1,5064 1,6506 1,8936 2,1108 2,1749 2,0056 1,6003 1,0359 0,4493 -0,0052 -0,2213 -0,1810 0,0618 0,4191 0,7902 1,0805 1,2261 1,2045 1,0303 0,7522 0,4468 0,1836 -0,0215 -0,2131 -0,4609 -0,8197 -1,3136 -1,9353 -2,6338 -3,2945 -3,7495 -3,8338 -3,4580 -2,6512 -1,5462 -0,3242 0,8404 1,8108 2,5002 2,8702 2,9227 2,6971 2,2581 1,6845 1,0785 0,5626 0,2368 0,1405 0,2534 0,5198 0,8723 1,2482 1,5931 1,8567 1,9947 1,9783 1,8105 1,5495 1,3113 1,2246 1,3723 1,7677 2,3546 3,0188 3,6268 4,0793 4,3282 4,3550 4,1570 3,7570 3,2049 2,5623 1,8924 1,2590 0,7144 0,2864 -0,0107 -0,1535 -0,1061 0,1649 0,6524 1,2552 1,7837 2,0605 2,0241 1,7363 1,3126 0,8590 0,4550 0,1574 0,0120 0,0627 0,3369 0,8146 1,4095 1,9762 2,3465 2,3835 2,0251 1,2970 0,3042 -0,7917 -1,8081 -2,5920 -3,0646 -3,2414 -3,2084 -3,0664 -2,8793 -2,6595 -2,3978 -2,1042 -1,8224 -1,6184 -1,5464 -1,6115 -1,7713 -1,9751 -2,1869 -2,3563 -2,3851 -2,1637 -1,6599 -0,9683 -0,2732 0,2406 0,4590 0,3543 -0,0289 -0,5827 -1,1523 -1,5818 -1,7761 -1,7250 -1,4763 -1,0952 -0,6441 -0,1772 0,2561 0,6018 0,8115 0,8835 0,8788 0,8874 0,9863 1,2137 1,5635 2,0050 2,5161 3,0917 3,7118 4,2964 4,7092 4,8209 4,5835 4,0592 3,3848 2,7138 2,1740 1,8349 1,6857 1,6558 1,6658 1,6622 1,6101 1,4730 1,2242 0,8850 0,5302 0,2409 0,0528 -0,0525 -0,1082 -0,1101 -0,0060 0,2584 0,6871 1,2213 1,7716 2,2674 2,6908 3,0604 3,3697 3,5509 3,5158 3,2333 2,7610 2,2197 1,7407 1,4137 1,2682 1,2993 1,4941 1,8225 2,2186 2,6040 2,9421 3,2638 3,6303 4,0514 4,4329 4,6221 4,5178 4,1316 3,5567 2,8993 2,2401 1,6415 1,1730 0,9152 0,9227 1,1786 1,5807 1,9771 2,2285 2,2619 2,0845 1,7611 1,3923 1,0935 0,9609 1,0509 1,3723 1,8717 2,4334 2,9221 3,2376 3,3424 3,2630 3,0752 2,8757 2,7463 2,7318 2,8388 3,0347 3,2390 3,3347 3,2123 2,8249 2,2285 1,5844 1,1075 0,9790 1,2635 1,8804 2,6500 3,3867 3,9804 4,4182 4,7343 4,9484 5,0562 5,0640 5,0058 4,9197 4,8148 4,6647 4,4356 4,1230 3,7656 3,4296 3,1835 3,0857 3,1825 3,4936 3,9808 4,5301 4,9872 5,2267 5,1982 4,9188 4,4315 3,7672 2,9477 2,0343 1,1707 0,5633 0,3941 0,7212 1,4474 2,3862 3,3609 4,2483 4,9675 5,4788 5,8006 5,9911 6,1047 6,1638 6,1492 6,0110 5,6969 5,1799 4,4807 3,6752 2,8857 2,2588 1,9161 1,8905 2,1024 2,4058 2,6627 2,7977 2,8052 2,7167 2,5710 2,4087 2,2717 2,1969 2,2149 2,3473 2,5860 2,8786 3,1480 3,3267 3,3763 3,2915 3,0947 2,8218 2,4981 2,1234 1,6922 1,2356 0,8264 0,5454 0,4484 0,5559 0,8528 1,2932 1,8135 2,3606 2,9046 3,4079 3,7955 3,9801 3,9275 3,7040 3,4473 3,2797 3,2397 3,2900 3,3725 3,4465 3,4895 3,4827 3,4016 3,2200 2,9315 2,5679 2,1773 1,7737 1,3248 0,8068 0,2725 -0,1408 -0,2744 -0,0307 0,5777 1,4294 2,3355 3,0846 3,4779 3,3794 2,7755 1,7906 0,6546 -0,3538 -0,9791 -1,0722 -0,6355 0,2101 1,3049 2,5078 3,7006 4,7703 5,6080 6,1329 6,3191 6,2058 5,8836 5,4641 5,0450 4,6794 4,3555 4,0109 3,5862 3,0821 2,5642 2,1118 1,7737 1,5726 1,5277 1,6450 1,8802 2,1199 2,2108 2,0140 1,4609 0,5970 -0,4025 -1,2768 -1,7812 -1,7847 -1,3093 -0,5073 0,3966 1,1770 1,6850 1,8943 1,8805 1,7581 1,6383 1,6275 1,8188 2,2593 2,9266 3,7270 4,5186 5,1629 5,5611 5,6416 5,3425 4,6317 3,5441 2,2033 0,8229 -0,3109 -0,9146 -0,8295 -0,0989 1,0733 2,4374 3,7794 4,9298 5,7574 6,1971 6,2782 6,1072 5,8169 5,5161 5,2542 5,0190 4,7722 4,4844 4,1327 3,6875 3,1279 2,4719 1,7914 1,2112 0,8874 0,9675 1,5237 2,4809 3,6002 4,5483 5,0228 4,8775 4,1735 3,1180 1,9448 0,8333 -0,1059 -0,8189 -1,2863 -1,4983 -1,4488 -1,1492 -0,6422 -0,0053 0,6528 1,2156 1,6108 1,8529 2,0185 2,1794 2,3652 2,5709 2,7736 2,9387 3,0153 2,9340 2,6337 2,1127 1,4484 0,7673 0,2072 -0,1129 -0,1451 0,0474 0,3286 0,5880 0,8154 1,0833 1,4531 1,8941 2,2808 2,4671 2,3717 2,0002 1,4180 0,7360 0,0950 -0,3866
