Fp1   1,7907 0,9284 0,3745 0,1949 0,3699 0,7444 1,0394 1,0313 0,7151 0,2006 -0,5108 -1,5354 -2,9359 -4,6095 -6,2958 -7,6539 -8,3874 -8,3519 -7,5377 -5,9817 -3,7563 -1,0294 1,8883 4,5254 6,3058 6,7457 5,7137 3,5445 0,8766 -1,6333 -3,4657 -4,2531 -3,8201 -2,2991 -0,1772 1,8706 3,2847 3,8463 3,7160 3,2793 2,8765 2,6316 2,5128 2,4847 2,5449 2,6350 2,5784 2,1431 1,1696 -0,3287 -2,1471 -3,9555 -5,3773 -6,0888 -5,9859 -5,2777 -4,3745 -3,6865 -3,4848 -3,8424 -4,6660 -5,7718 -6,8829 -7,5941 -7,4448 -6,0757 -3,3973 0,2784 4,2359 7,5066 9,1257 8,4648 5,5050 0,8957 -4,2084 -8,4789 -10,8094 -10,6025 -7,8669 -3,1636 2,5620 8,2113 12,7522 15,3907 15,6936 13,6649 9,7452 4,7081 -0,5289 -5,1353 -8,5683 -10,6535 -11,4806 -11,1651 -9,6870 -6,9957 -3,2666 0,9858 5,0248 8,1142 9,7212 9,6551 8,1394 5,7477 3,1512 0,8141 -1,1155 -2,6618 -3,8354 -4,5818 -4,8196 -4,4709 -3,4687 -1,7943 0,4218 2,8341 4,9806 6,4930 7,2065 7,0550 5,9081 3,6015 0,1671 -3,9727 -8,0427 -11,1816 -12,7355 -12,3784 -10,1197 -6,3673 -1,9332 2,2181 5,3518 7,1821 7,8157 7,5236 6,5418 5,0496 3,2529 1,4037 -0,2617 -1,5827 -2,4988 -3,0126 -3,0671 -2,4538 -0,9108 1,6411 4,9324 8,3914 11,3902 13,5113 14,6271 14,7569 13,9004 12,0396 9,2408 5,7098 1,7958 -2,0311 -5,2487 -7,3829 -8,1112 -7,3759 -5,4306 -2,7332 0,2513 3,1912 5,9136 8,3587 10,5100 12,2899 13,4741 13,7716 13,0771 11,6542 10,0282 8,6599 7,6784 6,8654 5,8448 4,3336 2,2938 -0,1147 -2,6833 -5,2189 -7,5038 -9,2684 -10,2525 -10,3153 -9,5027 -8,0135 -6,1109 -4,0453 -2,0024 -0,1112 1,4765 2,5443 2,8696 2,3071 0,8364 -1,3835 -3,9754 -6,4424 -8,3830 -9,6398 -10,3029 -10,6312 -10,9134 -11,3015 -11,7149 -11,8756 -11,4727 -10,4050 -8,9539 -7,7374 -7,4182 -8,3295 -10,2856 -12,6895 -14,7761 -15,8233 -15,3459 -13,2755 -10,0406 -6,4802 -3,5708 -2,0321 -2,0328 -3,2153 -5,0044 -6,9277 -8,7441 -10,3761 -11,7630 -12,7895 -13,3351 -13,3431 -12,8237 -11,8505 -10,5635 -9,0958 -7,4616 -5,5724 -3,4270 -1,2832 0,4028 1,2184 0,9859 -0,2256 -2,2059 -4,6823 -7,3285 -9,7946 -11,7792 -13,0777 -13,6127 -13,4789 -12,9512 -12,3683 -11,9378 -11,6623 -11,4586 -11,2766 -11,0538 -10,6094 -9,6863 -8,1793 -6,3375 -4,7028 -3,8071 -3,8993 -4,9009 -6,5262 -8,4104 -10,2267 -11,7965 -13,0958 -14,1414 -14,9152 -15,4250 -15,7815 -16,1033 -16,2880 -15,9426 -14,6395 -12,2881 -9,2847 -6,3266 -4,0840 -2,9946 -3,2176 -4,6300 -6,8535 -9,3943 -11,8626 -14,0887 -16,0516 -17,7436 -19,0960 -19,9739 -20,2204 -19,7257 -18,4924 -16,6667 -14,5304 -12,4628 -10,8564 -9,9999 -10,0051 -10,7958 -12,1115 -13,5188 -14,4896 -14,5861 -13,6754 -12,0268 -10,2416 -9,0705 -9,1407 -10,6340 -13,1134 -15,6925 -17,4962 -18,0939 -17,5912 -16,3781 -14,8073 -13,0552 -11,1924 -9,3021 -7,5529 -6,2368 -5,7101 -6,2015 -7,6492 -9,7235 -11,9773 -13,9815 -15,4124 -16,1143 -16,0837 -15,3796 -14,0632 -12,2018 -9,9048 -7,4148 -5,2152 -3,9849 -4,3172 -6,3869 -9,8343 -13,9221 -17,7993 -20,7250 -22,2312 -22,2297 -20,9925 -18,9887 -16,7271 -14,7088 -13,3574 -12,8328 -12,9008 -13,0599 -12,8731 -12,2543 -11,5008 -11,0565 -11,1840 -11,7928 -12,5141 -12,9025 -12,6345 -11,6613 -10,2744 -9,0281 -8,5185 -9,1091 -10,7182 -12,7808 -14,4719 -15,1377 -14,6940 -13,6842 -12,9080 -12,8992 -13,6720 -14,8800 -16,1399 -17,2280 -18,0723 -18,6144 -18,7177 -18,2539 -17,2475 -15,8758 -14,3655 -12,9464 -11,8445 -11,2195 -11,1254 -11,5924 -12,7112 -14,5400 -16,8744 -19,1426 -20,6157 -20,7906 -19,6365 -17,5619 -15,1669 -12,9659 -11,2627 -10,1719 -9,6489 -9,4734 -9,2784 -8,7535 -7,9501 -7,3700 -7,6351 -8,9897 -11,1050 -13,3201 -15,0103 -15,7918 -15,5590 -14,4625 -12,8640 -11,2322 -9,9695 -9,2622 -9,0758 -9,2765 -9,7108 -10,1817 -10,4396 -10,2837 -9,7027 -8,9036 -8,1780 -7,7265 -7,6063 -7,8289 -8,4699 -9,6463 -11,3756 -13,4782 -15,6155 -17,3876 -18,4228 -18,4957 -17,6810 -16,4053 -15,2526 -14,6043 -14,3995 -14,2262 -13,6490 -12,4638 -10,7366 -8,7250 -6,7496 -5,0632 -3,8238 -3,1408 -3,0897 -3,7092 -4,9866 -6,7893 -8,8069 -10,6373 -11,9777 -12,7199 -12,8681 -12,4334 -11,4625 -10,1419 -8,7740 -7,5907 -6,6199 -5,7634 -4,9678 -4,2920 -3,8496 -3,7269 -3,9501 -4,5331 -5,5574 -7,1673 -9,4503 -12,2625 -15,1014 -17,1980 -17,8791 -16,9539 -14,8364 -12,3517 -10,3623 -9,4229 -9,5991 -10,4754 -11,3527 -11,5836 -10,8662 -9,3158 -7,3034 -5,2441 -3,5089 -2,3978 -2,0403 -2,2868 -2,7665 -3,1309 -3,2801 -3,3756 -3,6783 -4,4122 -5,7001 -7,4834 -9,4864 -11,3197 -12,6357 -13,1884 -12,7850 -11,2563 -8,5292 -4,7349 -0,2671 4,2267 7,9516 10,1752 10,4635 8,8427 5,7968 2,0578 -1,6791 -4,9207 -7,3914 -8,9890 -9,7301 -9,6954 -8,9821 -7,6743 -5,8575 -3,6851 -1,4401 0,5007 1,8062 2,3091 2,0067 0,9791 -0,6750 -2,7981 -5,0643 -6,9719 -8,0255 -7,9643 -6,8389 -4,9514 -2,7658 -0,7882 0,5766 1,0857 0,6443 -0,6680 -2,5773 -4,7005 -6,6694 -8,2048 -9,1397 -9,3900 -8,9067 -7,6717 -5,7496 -3,3603 -0,9076 1,1183 2,3332 2,6133 2,1072 1,1334 0,0319 -0,9705 -1,8066 -2,4998 -3,0753 -3,5418 -3,9043 -4,1508 -4,2344 -4,1154 -3,8682 -3,7191 -3,8747 -4,2765 -4,5848 -4,4497 -3,7884
Fz    1,5376 0,7987 0,0981 -0,5172 -1,0136 -1,3854 -1,6608 -1,8799 -2,0698 -2,2502 -2,4490 -2,6896 -2,9711 -3,2634 -3,5152 -3,6669 -3,6753 -3,5425 -3,3122 -3,0247 -2,6705 -2,1914 -1,5337 -0,7031 0,2179 1,0942 1,7944 2,2601 2,5315 2,7077 2,8831 3,1034 3,3480 3,5258 3,5005 3,1582 2,4910 1,6278 0,7907 0,2070 0,0252 0,2664 0,8263 1,5178 2,1287 2,4684 2,4027 1,8855 0,9757 -0,1872 -1,4480 -2,6842 -3,7870 -4,6312 -5,1119 -5,2096 -5,0017 -4,6221 -4,2066 -3,8532 -3,6098 -3,4754 -3,3897 -3,2333 -2,8589 -2,1318 -0,9822 0,5204 2,1268 3,4606 4,1519 3,9875 2,9971 1,4483 -0,2343 -1,5991 -2,3031 -2,1924 -1,3046 0,1798 1,9956 3,8333 5,3768 6,3548 6,5856 6,0087 4,7091 2,9048 0,8857 -1,0587 -2,6914 -3,8473 -4,4221 -4,3618 -3,6921 -2,5670 -1,2638 -0,0939 0,7168 1,0883 1,0539 0,6946 0,1261 -0,4813 -0,9438 -1,1585 -1,1467 -0,9994 -0,7926 -0,5529 -0,2854 -0,0174 0,2077 0,3648 0,4442 0,4260 0,3031 0,1281 0,0028 0,0027 0,1137 0,2469 0,3095 0,2563 0,1004 -0,0990 -0,2595 -0,2943 -0,1228 0,3050 0,9668 1,7472 2,4677 2,9672 3,1869 3,1933 3,1130 3,0471 3,0458 3,1309 3,3068 3,5550 3,8400 4,1356 4,4677 4,9331 5,6419 6,6154 7,7324 8,7766 9,5463 9,9483 10,0227 9,8864 9,6345 9,2774 8,7568 8,0145 7,0573 5,9858 4,9698 4,1923 3,8008 3,8809 4,4454 5,4462 6,7982 8,3919 10,0931 11,7350 13,1271 14,0872 14,4774 14,2340 13,4049 12,1761 10,8291 9,6242 8,6976 8,0398 7,5447 7,0902 6,6014 6,0552 5,4574 4,8429 4,2890 3,8979 3,7512 3,8644 4,1812 4,6141 5,0864 5,5298 5,8680 6,0309 5,9801 5,7101 5,2414 4,6225 3,9227 3,2126 2,5565 2,0154 1,6437 1,4703 1,4742 1,5822 1,7039 1,7818 1,8234 1,8986 2,0949 2,4404 2,8412 3,0983 3,0225 2,5670 1,8658 1,1562 0,6638 0,5353 0,8312 1,5327 2,5235 3,5925 4,5028 5,0843 5,2866 5,1764 4,8875 4,5517 4,2541 4,0298 3,8821 3,7884 3,6941 3,5249 3,2478 2,9320 2,7367 2,8371 3,3509 4,2849 5,5082 6,7835 7,8552 8,5335 8,7307 8,4563 7,7925 6,8764 5,8874 5,0116 4,3845 4,0530 3,9707 4,0157 4,0483 3,9991 3,9088 3,8609 3,8878 3,9620 4,0641 4,2358 4,5535 5,0447 5,6303 6,1498 6,4404 6,4000 6,0072 5,3077 4,3869 3,3426 2,2814 1,3483 0,7441 0,6695 1,2093 2,2532 3,5472 4,8470 6,0422 7,1497 8,2109 9,1983 10,0063 10,5120 10,6400 10,3867 9,8029 8,9616 7,9386 6,8162 5,6927 4,6768 3,8488 3,2216 2,7546 2,4062 2,1769 2,1093 2,2599 2,6759 3,3679 4,2784 5,2795 6,2182 6,9719 7,4693 7,6800 7,6098 7,3137 6,8802 6,3708 5,7680 4,9858 3,9446 2,6706 1,3474 0,2650 -0,3124 -0,2773 0,2758 1,1118 1,9768 2,7024 3,2443 3,6445 3,9486 4,1416 4,1583 3,9536 3,5531 3,0339 2,4728 1,9266 1,4388 1,0377 0,7415 0,5832 0,6121 0,8651 1,3412 1,9687 2,5668 2,8723 2,6553 1,8372 0,5234 -1,0478 -2,5813 -3,7819 -4,4065 -4,3309 -3,6006 -2,4081 -1,0094 0,3466 1,4535 2,1795 2,4929 2,4523 2,1568 1,6835 1,0517 0,2460 -0,7219 -1,7746 -2,7686 -3,5088 -3,7947 -3,5093 -2,6986 -1,5794 -0,4629 0,3645 0,7450 0,6939 0,3688 -0,0306 -0,3879 -0,7374 -1,2086 -1,8916 -2,7551 -3,6860 -4,5704 -5,3208 -5,8425 -6,0106 -5,7224 -4,9986 -4,0017 -2,9434 -2,0006 -1,3020 -0,9215 -0,8632 -1,0721 -1,4679 -1,9777 -2,5393 -3,0638 -3,4129 -3,4557 -3,1644 -2,6460 -2,0846 -1,6351 -1,3484 -1,1788 -1,0399 -0,8414 -0,4950 0,0742 0,8769 1,8039 2,6375 3,1567 3,2585 2,9898 2,4920 1,9342 1,4639 1,1610 0,9990 0,8542 0,5747 0,0733 -0,6183 -1,3757 -2,0539 -2,5283 -2,6900 -2,4558 -1,8115 -0,8475 0,2554 1,2965 2,1440 2,7588 3,1289 3,2015 2,8940 2,1611 1,0524 -0,2765 -1,6032 -2,7018 -3,3945 -3,5891 -3,3078 -2,6832 -1,9076 -1,1670 -0,5921 -0,2254 -0,0007 0,2275 0,5899 1,1259 1,7817 2,4430 2,9694 3,2368 3,1664 2,7361 1,9997 1,1101 0,2875 -0,2861 -0,5565 -0,5855 -0,4740 -0,3167 -0,2081 -0,2317 -0,3948 -0,5982 -0,7159 -0,7032 -0,6129 -0,5320 -0,5249 -0,6145 -0,7963 -1,0743 -1,4866 -2,0882 -2,8867 -3,7755 -4,5612 -5,0892 -5,3405 -5,4131 -5,4397 -5,5236 -5,7237 -6,0535 -6,4581 -6,7956 -6,8733 -6,5340 -5,7433 -4,6172 -3,3718 -2,2361 -1,3734 -0,8212 -0,4751 -0,1605 0,2408 0,7108 1,1206 1,3204 1,2164 0,8058 0,1810 -0,4987 -1,0613 -1,3814 -1,4168 -1,1987 -0,7886 -0,2476 0,3720 1,0224 1,6438 2,1449 2,4028 2,3069 1,8340 1,0932 0,2887 -0,3704 -0,7349 -0,7392 -0,4115 0,1388 0,7739 1,3954 1,9766 2,5481 3,1524 3,7901 4,3959 4,8778 5,1681 5,2239 5,0030 4,4748 3,6638 2,6870 1,7500 1,0808 0,8347 1,0454 1,6485 2,5275 3,5319 4,4885 5,2385 5,6832 5,8000 5,6145 5,1596 4,4649 3,5678 2,5226 1,4141 0,3596 -0,5258 -1,1675 -1,5533 -1,7482 -1,8769 -2,0536 -2,3120 -2,5874 -2,7524 -2,6973 -2,4055 -1,9603 -1,4820 -1,0666 -0,7682 -0,6037 -0,5584 -0,5904 -0,6433 -0,6731 -0,6626 -0,5864 -0,3635 0,1115 0,8609 1,7690
F3    4,4106 3,6967 2,8676 1,9272 0,9591 0,0797 -0,6807 -1,4158 -2,2621 -3,2839 -4,4112 -5,4690 -6,2787 -6,7225 -6,7299 -6,2749 -5,4019 -4,2204 -2,8822 -1,5576 -0,3885 0,5541 1,2678 1,7772 2,0851 2,1557 1,9679 1,5978 1,2312 1,0755 1,2351 1,6457 2,1044 2,3477 2,1318 1,3343 0,0623 -1,3373 -2,4135 -2,8095 -2,3923 -1,2501 0,3880 2,2247 3,9340 5,1923 5,7295 5,4034 4,2618 2,5339 0,5187 -1,5404 -3,4505 -4,9977 -5,9776 -6,3070 -6,0841 -5,5381 -4,9092 -4,3530 -3,9314 -3,6405 -3,4124 -3,1220 -2,6302 -1,8257 -0,6604 0,8038 2,3484 3,5930 4,1090 3,6384 2,2425 0,2671 -1,8011 -3,4877 -4,4448 -4,4818 -3,5380 -1,6882 0,7929 3,4080 5,5696 6,8285 6,9962 6,1161 4,4058 2,2009 -0,1229 -2,2259 -3,8457 -4,8167 -5,0890 -4,7361 -3,9241 -2,8568 -1,7474 -0,8156 -0,2482 -0,1172 -0,3531 -0,8215 -1,3983 -1,9605 -2,3713 -2,5206 -2,3668 -1,9523 -1,3932 -0,8174 -0,2911 0,1841 0,6287 1,0554 1,4216 1,5888 1,4084 0,8850 0,2177 -0,3381 -0,6434 -0,7159 -0,6354 -0,4529 -0,1727 0,2278 0,7795 1,4929 2,3113 3,0868 3,6276 3,7903 3,5342 2,9201 2,1117 1,3616 0,9182 0,9132 1,3372 2,0751 2,9393 3,7334 4,3458 4,8029 5,2456 5,8580 6,7667 7,9257 9,0526 9,7212 9,6059 8,7139 7,4199 6,2548 5,6043 5,5369 5,8471 6,2253 6,4173 6,3097 5,9494 5,5102 5,2203 5,2670 5,7208 6,5276 7,5514 8,6167 9,5480 10,2130 10,5462 10,5307 10,1654 9,4679 8,5172 7,4831 6,5830 5,9827 5,7314 5,7705 5,9691 6,1688 6,2303 6,0638 5,6402 4,9929 4,2168 3,4551 2,8527 2,4976 2,4025 2,5247 2,7763 3,0259 3,1346 3,0165 2,6651 2,1280 1,4737 0,7753 0,0878 -0,5794 -1,2483 -1,9014 -2,4146 -2,5901 -2,2909 -1,5536 -0,5767 0,3976 1,2127 1,8547 2,3923 2,8403 3,0655 2,8385 2,0075 0,6453 -0,9782 -2,5419 -3,7671 -4,4360 -4,4098 -3,6644 -2,3408 -0,7621 0,6647 1,6183 1,9708 1,8052 1,3687 0,9404 0,6725 0,5485 0,4669 0,3331 0,0926 -0,2638 -0,6837 -1,0570 -1,2789 -1,3024 -1,1060 -0,6507 0,0915 1,0786 2,1773 3,1920 3,9189 4,2016 3,9728 3,2718 2,2246 0,9934 -0,2762 -1,4614 -2,4385 -3,1041 -3,4199 -3,4035 -3,1007 -2,6092 -2,0981 -1,7388 -1,5827 -1,5048 -1,2710 -0,6700 0,3746 1,7601 3,2381 4,4883 5,1811 5,0465 3,9569 1,9748 -0,6516 -3,5003 -6,0189 -7,6754 -8,1670 -7,5159 -5,9724 -3,8291 -1,3019 1,4523 4,2234 6,6773 8,4235 9,1721 8,8637 7,6936 6,0099 4,1553 2,3605 0,7238 -0,7532 -2,1100 -3,3838 -4,5704 -5,5937 -6,3259 -6,6407 -6,4411 -5,6654 -4,3000 -2,4174 -0,2227 1,9531 3,7478 4,8930 5,2804 4,9484 4,0462 2,8009 1,4487 0,1384 -1,1104 -2,3610 -3,6619 -4,9561 -6,0735 -6,8095 -7,0163 -6,6809 -5,9642 -5,1295 -4,3878 -3,8125 -3,3884 -3,0889 -2,9059 -2,8501 -2,9393 -3,1707 -3,4882 -3,7945 -4,0163 -4,1469 -4,2218 -4,2832 -4,3485 -4,3609 -4,1875 -3,7025 -2,8796 -1,8431 -0,8912 -0,4528 -0,9367 -2,5266 -5,0387 -7,9375 -10,5216 -12,1851 -12,6156 -11,8357 -10,1123 -7,8397 -5,4570 -3,3745 -1,8941 -1,1466 -1,0770 -1,4903 -2,1564 -2,9317 -3,8109 -4,8653 -6,1331 -7,5614 -9,0142 -10,2838 -11,0983 -11,1977 -10,4635 -8,9926 -7,0878 -5,1858 -3,7113 -2,8964 -2,6994 -2,9038 -3,3168 -3,8931 -4,6925 -5,7406 -6,9517 -8,1877 -9,3472 -10,3716 -11,1859 -11,6559 -11,6228 -11,0074 -9,8694 -8,3669 -6,7197 -5,2262 -4,2132 -3,8779 -4,1847 -4,9340 -5,9175 -6,9996 -8,0580 -8,9037 -9,3388 -9,2894 -8,8391 -8,1640 -7,4606 -6,8942 -6,5676 -6,4999 -6,5938 -6,6134 -6,2505 -5,3085 -3,8663 -2,2557 -0,8870 -0,0654 0,1001 -0,3116 -1,0816 -1,9230 -2,6015 -3,0562 -3,4322 -3,9877 -4,9152 -6,2033 -7,6573 -9,0198 -10,0421 -10,5072 -10,2733 -9,3324 -7,8520 -6,1541 -4,6003 -3,4266 -2,6477 -2,1283 -1,7599 -1,5692 -1,6758 -2,1614 -2,9723 -3,9455 -4,9258 -5,8365 -6,6405 -7,2771 -7,6564 -7,7126 -7,4732 -7,0614 -6,5926 -6,0483 -5,2895 -4,2253 -2,9254 -1,5499 -0,2440 0,8586 1,5646 1,6173 0,8300 -0,7379 -2,7292 -4,6185 -5,9410 -6,4780 -6,2867 -5,5964 -4,6985 -3,8964 -3,4461 -3,4420 -3,7606 -4,1607 -4,4520 -4,5790 -4,5996 -4,6317 -4,7944 -5,1460 -5,6629 -6,2824 -6,9599 -7,6444 -8,1881 -8,3622 -8,0328 -7,3007 -6,4497 -5,7793 -5,4813 -5,6341 -6,2367 -7,1916 -8,2730 -9,1621 -9,5611 -9,3308 -8,5415 -7,3886 -6,0633 -4,6954 -3,3740 -2,1875 -1,2375 -0,6206 -0,3969 -0,5641 -1,0667 -1,8539 -2,9089 -4,1850 -5,5234 -6,6560 -7,3126 -7,3604 -6,8569 -5,9957 -5,0112 -4,0931 -3,3375 -2,7737 -2,4369 -2,4057 -2,7575 -3,4838 -4,4378 -5,3584 -5,9539 -6,0130 -5,4928 -4,5251 -3,3352 -2,1420 -1,1043 -0,3121 0,2190 0,5589 0,8224 1,0797 1,3188 1,4820 1,5045 1,3207 0,8601 0,0654 -1,0493 -2,3364 -3,5296 -4,3517 -4,6295 -4,3186 -3,4586 -2,1561 -0,6052 0,9183 2,1148 2,7391 2,6609 1,9043 0,6526 -0,8365 -2,3523 -3,7647 -4,9797 -5,9054 -6,4518 -6,5935 -6,4712 -6,3773 -6,5719 -7,0826 -7,6464 -7,8533 -7,4123 -6,3353 -4,8905 -3,4014 -2,0929 -1,0738 -0,3907 -0,0732 -0,1453 -0,6205 -1,5172 -2,8554 -4,5596 -6,3395 -7,7319 -8,3428 -8,0632
F7    1,9754 1,9273 1,6837 1,1966 0,4671 -0,4608 -1,5433 -2,7504 -4,0190 -5,2060 -6,1071 -6,5283 -6,3657 -5,6411 -4,4789 -3,0666 -1,6261 -0,3643 0,5915 1,2172 1,5581 1,6702 1,5787 1,2887 0,8351 0,3090 -0,1619 -0,4466 -0,4568 -0,1988 0,2453 0,8040 1,4536 2,1640 2,8337 3,3028 3,4384 3,2094 2,7079 2,1152 1,6156 1,3172 1,2366 1,3143 1,4281 1,4360 1,2497 0,8819 0,4204 -0,0514 -0,5168 -0,9946 -1,4359 -1,6860 -1,5806 -1,0785 -0,3027 0,5206 1,1543 1,4214 1,2507 0,6966 -0,0810 -0,8795 -1,5104 -1,8089 -1,6418 -0,9782 0,0312 1,0798 1,8371 2,0994 1,8814 1,3887 0,8933 0,5953 0,5577 0,7525 1,1515 1,7492 2,5086 3,3188 4,0159 4,4385 4,4664 4,0505 3,2484 2,2110 1,1049 0,0554 -0,8500 -1,5315 -1,8927 -1,8347 -1,3226 -0,4549 0,5415 1,4039 1,9429 2,0887 1,8753 1,4119 0,8605 0,4007 0,1745 0,2318 0,5165 0,9151 1,3276 1,6922 1,9556 2,0518 1,9339 1,6196 1,1792 0,6916 0,2447 -0,0466 -0,0731 0,2086 0,7558 1,4692 2,2275 2,9037 3,3986 3,6999 3,8973 4,1173 4,4332 4,8286 5,2289 5,5491 5,7122 5,6600 5,3910 4,9960 4,6343 4,4459 4,4765 4,6760 4,9381 5,1538 5,2691 5,2975 5,2942 5,3422 5,5264 5,8612 6,2520 6,5637 6,7215 6,7430 6,7094 6,7236 6,8536 7,0837 7,3217 7,4646 7,4612 7,3153 7,0522 6,7188 6,4080 6,2321 6,2528 6,4514 6,7606 7,1112 7,4573 7,7750 8,0539 8,2870 8,4349 8,4037 8,1114 7,5997 7,0438 6,6287 6,4359 6,4408 6,5528 6,6477 6,6010 6,3268 5,8055 5,0860 4,2688 3,4825 2,8363 2,3627 2,0282 1,8247 1,8128 2,0387 2,4406 2,8630 3,1280 3,0820 2,6287 1,7668 0,6001 -0,7009 -1,9494 -2,9693 -3,6158 -3,8211 -3,6383 -3,2310 -2,7978 -2,4837 -2,3325 -2,2886 -2,2497 -2,1506 -2,0257 -1,9913 -2,1539 -2,5361 -3,0782 -3,6745 -4,2105 -4,5989 -4,7973 -4,7961 -4,6072 -4,2519 -3,7420 -3,0931 -2,3720 -1,7155 -1,2827 -1,1742 -1,3727 -1,7515 -2,1625 -2,5371 -2,9196 -3,4207 -4,1124 -4,9216 -5,6259 -5,9739 -5,8225 -5,2063 -4,3139 -3,3860 -2,6215 -2,1534 -2,0499 -2,2926 -2,7799 -3,3856 -4,0070 -4,5552 -4,9287 -5,0317 -4,8523 -4,5257 -4,2844 -4,3175 -4,6692 -5,2446 -5,8720 -6,3673 -6,5873 -6,4562 -5,9753 -5,2341 -4,3988 -3,6693 -3,2313 -3,1987 -3,5651 -4,2267 -5,0631 -5,9813 -6,8947 -7,6927 -8,2452 -8,4360 -8,2161 -7,6500 -6,8905 -6,0762 -5,2668 -4,4835 -3,7726 -3,2121 -2,8807 -2,8274 -3,0508 -3,5082 -4,1457 -4,9018 -5,6848 -6,3796 -6,8995 -7,2324 -7,4495 -7,6798 -8,0562 -8,6410 -9,3723 -10,0809 -10,5601 -10,6331 -10,2122 -9,3520 -8,2576 -7,2059 -6,4327 -6,0769 -6,1864 -6,7229 -7,5572 -8,5048 -9,4089 -10,1895 -10,8239 -11,3179 -11,6934 -11,9646 -12,1072 -12,0619 -11,7789 -11,2694 -10,6226 -9,9621 -9,3712 -8,8660 -8,4478 -8,1560 -8,0536 -8,1806 -8,5329 -9,0703 -9,7364 -10,4714 -11,2201 -11,9297 -12,5358 -12,9506 -13,0812 -12,8748 -12,3403 -11,5429 -10,6119 -9,7456 -9,1740 -9,0836 -9,5382 -10,4414 -11,5645 -12,6241 -13,3696 -13,6468 -13,4292 -12,8219 -12,0153 -11,2085 -10,5668 -10,2025 -10,1399 -10,3040 -10,5679 -10,8347 -11,0863 -11,3633 -11,7004 -12,0792 -12,4425 -12,7377 -12,9224 -12,9427 -12,7367 -12,2728 -11,6010 -10,8622 -10,2295 -9,8187 -9,6297 -9,5632 -9,5086 -9,4367 -9,4198 -9,5651 -9,9272 -10,4813 -11,1659 -11,9281 -12,6979 -13,3225 -13,5741 -13,2808 -12,4566 -11,2855 -10,0125 -8,8879 -8,1524 -7,9739 -8,3761 -9,2283 -10,3002 -11,3473 -12,1844 -12,7012 -12,8410 -12,6104 -12,1102 -11,5198 -11,0173 -10,6896 -10,5121 -10,4081 -10,2983 -10,0993 -9,7289 -9,1456 -8,3936 -7,6093 -6,9680 -6,5983 -6,5343 -6,7365 -7,1482 -7,7193 -8,3799 -9,0305 -9,6021 -10,1207 -10,6815 -11,3439 -12,0551 -12,6738 -13,0480 -13,0619 -12,6477 -11,7953 -10,5722 -9,1469 -7,7770 -6,7218 -6,1309 -6,0081 -6,2598 -6,7503 -7,3238 -7,8288 -8,1641 -8,2984 -8,2444 -8,0271 -7,6785 -7,2565 -6,8527 -6,5625 -6,4336 -6,4404 -6,4973 -6,4872 -6,2850 -5,8059 -5,0743 -4,2345 -3,4760 -2,9523 -2,7587 -2,9408 -3,4969 -4,3798 -5,4937 -6,6730 -7,6911 -8,3544 -8,6086 -8,5298 -8,2177 -7,7429 -7,1932 -6,7028 -6,3800 -6,2213 -6,1452 -6,1031 -6,1184 -6,2411 -6,4998 -6,8880 -7,3726 -7,9227 -8,5328 -9,2034 -9,8780 -10,3942 -10,5370 -10,1740 -9,3438 -8,2296 -7,0730 -6,0966 -5,4483 -5,1681 -5,1866 -5,3582 -5,5276 -5,6040 -5,5785 -5,4847 -5,3684 -5,2883 -5,3029 -5,4236 -5,5829 -5,6669 -5,5968 -5,3936 -5,1747 -5,0775 -5,1641 -5,3820 -5,6168 -5,7825 -5,8645 -5,8915 -5,8847 -5,8286 -5,6811 -5,4099 -5,0229 -4,5716 -4,1466 -3,8647 -3,8326 -4,1000 -4,6367 -5,3566 -6,1580 -6,9318 -7,5347 -7,7989 -7,6158 -7,0203 -6,1663 -5,2202 -4,2899 -3,4227 -2,6346 -1,9469 -1,3947 -0,9846 -0,6730 -0,4259 -0,2831 -0,3223 -0,5721 -0,9822 -1,4496 -1,8560 -2,1073 -2,1586 -1,9971 -1,6299 -1,1283 -0,6561 -0,4054 -0,4996 -0,9469 -1,6459 -2,4317 -3,1505 -3,7250 -4,1571 -4,4654 -4,6368 -4,6464 -4,5013 -4,2649 -4,0577 -4,0185 -4,2339 -4,6773 -5,2037 -5,6221 -5,8011 -5,7230 -5,4586 -5,1183 -4,8108 -4,6090 -4,5357 -4,5894 -4,7639 -5,0405 -5,3898 -5,7746 -6,1181 -6,2862 -6,1534 -5,7054 -5,0655
