Fp1   1,2327 0,6921 0,0214 -0,5908 -0,9883 -1,1095 -0,9665 -0,6096 -0,1473 0,2538 0,4648 0,4636 0,2955 0,0450 -0,1443 -0,1126 0,2112 0,7632 1,3888 1,9165 2,2466 2,3974 2,4113 2,2405 1,8074 1,1571 0,4862 0,0142 -0,1607 -0,0780 0,1622 0,4342 0,5866 0,4902 0,0958 -0,5571 -1,3631 -2,1704 -2,8053 -3,1259 -3,0910 -2,7903 -2,3839 -1,9633 -1,4615 -0,7539 0,1459 1,0484 1,7465 2,1542 2,2885 2,1581 1,6815 0,7486 -0,5938 -2,0730 -3,3758 -4,3556 -5,0116 -5,3349 -5,2439 -4,6683 -3,6727 -2,4913 -1,4331 -0,7394 -0,4930 -0,6029 -0,8582 -1,0259 -0,9284 -0,4641 0,3841 1,5305 2,8195 4,1068 5,2915 6,2661 6,8631 6,8828 6,2160 4,9572 3,3903 1,8814 0,7342 0,0520 -0,2471 -0,2530 0,0089 0,4461 0,8348 0,9880 0,9410 0,9084 1,0742 1,4384 1,7993 1,8435 1,2952 0,0502 -1,7689 -3,8340 -5,6970 -6,9515 -7,4150 -7,2035 -6,6449 -6,0943 -5,7774 -5,7531 -5,9481 -6,2101 -6,4089 -6,5294 -6,6258 -6,7146 -6,7610 -6,7194 -6,5148 -5,9825 -4,8935 -3,0911 -0,6240 2,2269 5,0469 7,4497 9,1899 10,2120 10,6743 10,8855 11,1552 11,6929 12,5777 13,7126 14,8289 15,6442 16,0502 16,1401 16,0861 16,0160 15,9974 16,1045 16,4504 17,1147 18,0504 19,1025 20,1416 21,1414 22,0868 22,8798 23,4114 23,6444 23,5572 23,0847 22,1662 20,8217 19,1723 17,4112 15,7726 14,4929 13,7382 13,5361 13,7624 14,2013 14,6594 15,0481 15,3782 15,7142 16,1468 16,7809 17,6957 18,8506 20,0283 20,9029 21,1490 20,4983 18,8133 16,2174 13,1300 10,1146 7,6761 6,1316 5,5492 5,7541 6,4022 7,0876 7,4812 7,4874 7,2839 7,1628 7,3388 7,8634 8,5936 9,2270 9,4574 9,1300 8,2471 6,8955 5,2522 3,5996 2,2250 1,3051 0,9052 1,0272 1,6142 2,5388 3,6392 4,7586 5,7416 6,4291 6,6566 6,2616 5,1708 3,5324 1,7222 0,1551 -0,9158 -1,4192 -1,3761 -0,8688 -0,0414 0,9587 2,0437 3,1636 4,2433 5,1634 5,8052 6,1322 6,2340 6,2669 6,3449 6,5071 6,7544 7,0676 7,4095 7,7185 7,9071 7,9217 7,8121 7,7025 7,7433 8,1170 8,9563 10,1752 11,4623 12,5114 13,2412 13,7913 14,3515 15,0040 15,6615 16,0991 16,0791 15,5052 14,4862 13,2643 12,1174 11,2915 10,9016 10,8778 11,0561 11,3184 11,6403 12,0385 12,5253 13,1224 13,8515 14,6858 15,5470 16,3692 17,1433 17,8467 18,3306 18,3497 17,7380 16,5558 15,1109 13,8634 13,2232 13,2990 13,7942 14,1923 14,0956 13,4316 12,4200 11,4232 10,7803 10,6628 11,0161 11,6283 12,2784 12,8495 13,3209 13,6674 13,8218 13,7911 13,7743 14,0575 14,7664 15,7912 16,9272 17,9793 18,7538 19,0816 18,9159 18,3989 17,7765 17,1976 16,6194 15,9152 15,0227 14,0006 13,0144 12,2632 11,8660 11,8085 12,0004 12,3660 12,8741 13,4886 14,1374 14,7781 15,4425 16,1814 17,0032 17,8826 18,8033 19,7390 20,5812 21,1856 21,5489 21,8480 22,2455 22,7142 23,0497 23,0078 22,4356 21,2914 19,5993 17,4805 15,2109 13,1284 11,4706 10,3871 10,0362 10,4965 11,6053 13,0164 14,4065 15,5824 16,4648 17,0674 17,4774 17,7938 18,0590 18,2472 18,3156 18,2579 18,0976 17,8338 17,4239 16,8351 16,0799 15,1756 14,1104 12,9131 11,7328 10,7813 10,2046 10,0369 10,2063 10,5324 10,7827 10,7910 10,5207 10,0561 9,5862 9,3268 9,3972 9,7762 10,3301 10,8541 11,1573 11,1599 10,9207 10,5801 10,2690 10,0378 9,8288 9,4973 8,9147 8,1411 7,4953 7,3668 7,9049 8,8623 9,7293 10,0704 9,7741 9,0116 8,0246 6,9942 6,0587 5,3573 4,9894 4,9175 4,9309 4,7542 4,2596 3,5854 2,9899 2,6122 2,4434 2,4484 2,6025 2,8575 3,1681 3,5661 4,1593 5,0291 6,1449 7,3635 8,4704 9,2342 9,4774 9,1563 8,4027 7,4790 6,6637 6,1349 5,9064 5,8331 5,7030 5,3879 4,9107 4,3415 3,6830 2,9107 2,0617 1,2202 0,4416 -0,2590 -0,8425 -1,2140 -1,2951 -1,1235 -0,8734 -0,7752 -0,9719 -1,4050 -1,8186 -1,8951 -1,4311 -0,4132 1,0331 2,7121 4,3867 5,7914 6,6699 6,8399 6,2406 4,9537 3,2140 1,3588 -0,2919 -1,5273 -2,2427 -2,4152 -2,1073 -1,4679 -0,7282 -0,1862 -0,1145 -0,6101 -1,5460 -2,6813 -3,7767 -4,6287 -5,1017 -5,1616 -4,8568 -4,3009 -3,6765 -3,2029 -3,0653 -3,3524 -4,0380 -5,0173 -6,1824 -7,4949 -8,9781 -10,6151 -12,2520 -13,5990 -14,3470 -14,3185 -13,5324 -12,1776 -10,5616 -9,0301 -7,8488 -7,1132 -6,7511 -6,6080 -6,5311 -6,3927 -6,0731 -5,4536 -4,4600 -3,1361 -1,6634 -0,2913 0,7687 1,4264 1,7492 1,9286 2,1767 2,6209 3,2563 3,9428 4,4461 4,5677 4,3157 3,9062 3,5293 3,1558 2,6058 1,7460 0,5900 -0,7236 -1,9943 -3,0381 -3,7564 -4,1469 -4,2701 -4,1989 -3,9649 -3,5587 -3,0151 -2,4664 -2,0674 -1,8726 -1,8076 -1,7573 -1,6732 -1,6057 -1,6542 -1,8944 -2,3206 -2,8433 -3,4044 -4,1149 -5,2096 -6,8561 -9,0451 -11,6127 -14,2931 -16,7684 -18,7321 -19,9597 -20,3670 -20,0263 -19,1359 -17,9714 -16,8085 -15,7984 -14,8944 -13,9593 -12,9667 -12,0667 -11,4721 -11,3339 -11,7012 -12,5009 -13,5119 -14,3979 -14,8169 -14,5794 -13,7636 -12,6602 -11,5733 -10,6696 -9,9779 -9,4352 -8,9113 -8,2955 -7,6023 -6,9709 -6,5998 -6,6910 -7,3566 -8,5130 -9,9036 -11,2585 -12,3971 -13,1886 -13,5186 -13,3481 -12,7690 -11,9843
Fz    2,7879 2,6863 2,4074 1,9922 1,4981 0,9884 0,5344 0,2007 0,0107 -0,0648 -0,0715 -0,0399 0,0076 0,0494 0,0807 0,1216 0,1999 0,3298 0,5034 0,6956 0,8835 1,0544 1,1789 1,1930 1,0385 0,7245 0,3361 -0,0222 -0,2892 -0,4568 -0,5430 -0,5802 -0,6092 -0,6621 -0,7501 -0,8756 -1,0479 -1,2711 -1,5158 -1,7186 -1,8197 -1,8011 -1,6862 -1,5071 -1,2766 -0,9987 -0,7079 -0,4734 -0,3535 -0,3610 -0,4737 -0,6650 -0,9286 -1,2709 -1,6640 -2,0253 -2,2733 -2,3866 -2,3912 -2,3102 -2,1436 -1,8921 -1,5807 -1,2533 -0,9476 -0,6788 -0,4457 -0,2424 -0,0644 0,0889 0,2191 0,3381 0,4663 0,6175 0,7936 0,9935 1,2112 1,4130 1,5253 1,4606 1,1779 0,7290 0,2368 -0,1764 -0,4541 -0,6261 -0,7587 -0,8778 -0,9584 -0,9871 -0,9955 -1,0173 -1,0429 -1,0393 -0,9969 -0,9488 -0,9562 -1,0774 -1,3329 -1,7008 -2,1391 -2,5970 -3,0118 -3,3308 -3,5458 -3,6979 -3,8491 -4,0491 -4,3154 -4,6351 -4,9694 -5,2615 -5,4658 -5,5735 -5,5911 -5,5054 -5,2926 -4,9446 -4,4590 -3,8088 -2,9541 -1,8946 -0,7044 0,4817 1,5124 2,2716 2,7137 2,8790 2,8880 2,8957 3,0250 3,3399 3,8543 4,5311 5,2841 6,0233 6,7056 7,3362 7,9312 8,4909 9,0082 9,4922 9,9741 10,4816 11,0069 11,5079 11,9403 12,2791 12,5019 12,5788 12,5028 12,3116 12,0536 11,7501 11,4034 11,0225 10,6307 10,2592 9,9474 9,7382 9,6623 9,7271 9,9140 10,1800 10,4671 10,7164 10,8818 10,9519 10,9658 10,9967 11,1064 11,2947 11,4882 11,5867 11,5133 11,2229 10,7011 9,9894 9,1863 8,4015 7,7220 7,2146 6,9191 6,8281 6,8861 7,0068 7,0980 7,1061 7,0542 7,0231 7,0977 7,3170 7,6247 7,8693 7,8902 7,6093 7,0394 6,2497 5,3541 4,4938 3,7893 3,3121 3,1035 3,1913 3,5725 4,1855 4,9207 5,6616 6,3144 6,8082 7,0820 7,0781 6,7687 6,1987 5,4854 4,7655 4,1405 3,6693 3,3894 3,3213 3,4558 3,7566 4,1763 4,6609 5,1498 5,5850 5,9256 6,1598 6,3059 6,3977 6,4644 6,5262 6,5970 6,6824 6,7782 6,8698 6,9331 6,9558 6,9593 6,9841 7,0663 7,2384 7,5160 7,8624 8,1910 8,4210 8,5357 8,5908 8,6672 8,8167 9,0360 9,2679 9,4274 9,4436 9,2899 8,9742 8,5287 8,0218 7,5509 7,2069 7,0460 7,0851 7,3061 7,6581 8,0692 8,4706 8,8107 9,0536 9,1877 9,2442 9,2938 9,3979 9,5494 9,6734 9,6868 9,5598 9,3405 9,1327 9,0339 9,0668 9,1580 9,1868 9,0704 8,8137 8,4939 8,2127 8,0535 8,0561 8,2089 8,4636 8,7672 9,0906 9,4256 9,7506 10,0216 10,2168 10,3788 10,5771 10,8265 11,0716 11,2429 11,2957 11,2068 10,9780 10,6508 10,3047 10,0183 9,8159 9,6575 9,4850 9,2777 9,0736 8,9552 9,0062 9,2577 9,6720 10,1733 10,6874 11,1560 11,5297 11,7692 11,8723 11,8853 11,8726 11,8817 11,9404 12,0696 12,2768 12,5318 12,7811 12,9990 13,2012 13,3967 13,5477 13,5825 13,4388 13,0912 12,5453 11,8255 10,9926 10,1623 9,4707 9,0107 8,8164 8,8879 9,1886 9,6288 10,0988 10,5268 10,8912 11,1964 11,4592 11,7021 11,9317 12,1194 12,2191 12,2138 12,1375 12,0425 11,9504 11,8408 11,6848 11,4722 11,2033 10,8738 10,4906 10,0952 9,7454 9,4797 9,3107 9,2308 9,2006 9,1575 9,0557 8,8836 8,6534 8,4005 8,1799 8,0421 8,0096 8,0640 8,1500 8,2076 8,2100 8,1730 8,1319 8,1123 8,1197 8,1414 8,1467 8,1020 8,0142 7,9551 8,0178 8,2333 8,5228 8,7346 8,7488 8,5510 8,2073 7,7877 7,3358 6,8965 6,5370 6,3194 6,2478 6,2427 6,1834 5,9991 5,7274 5,4705 5,3062 5,2536 5,2954 5,3945 5,5002 5,5780 5,6436 5,7509 5,9366 6,1834 6,4311 6,6117 6,6811 6,6340 6,4993 6,3267 6,1739 6,0924 6,1094 6,2079 6,3200 6,3571 6,2664 6,0564 5,7620 5,4092 5,0209 4,6285 4,2543 3,8955 3,5390 3,2004 2,9378 2,8120 2,8293 2,9275 3,0144 3,0286 2,9815 2,9473 3,0078 3,1983 3,5020 3,8807 4,2959 4,7050 5,0539 5,2789 5,3172 5,1206 4,6798 4,0525 3,3570 2,7214 2,2340 1,9368 1,8351 1,9045 2,0980 2,3438 2,5427 2,6036 2,4986 2,2663 1,9672 1,6596 1,3994 1,2285 1,1633 1,2015 1,3230 1,4793 1,5986 1,6126 1,4841 1,2156 0,8380 0,3840 -0,1362 -0,7346 -1,4102 -2,1094 -2,7288 -3,1666 -3,3764 -3,3767 -3,2266 -3,0032 -2,7816 -2,6087 -2,4888 -2,3935 -2,2865 -2,1446 -1,9578 -1,7066 -1,3483 -0,8441 -0,2043 0,5017 1,1787 1,7492 2,1845 2,5128 2,7973 3,1004 3,4562 3,8639 4,2853 4,6458 4,8650 4,9172 4,8517 4,7309 4,5622 4,3110 3,9637 3,5572 3,1601 2,8423 2,6453 2,5643 2,5623 2,5985 2,6466 2,7054 2,7950 2,9247 3,0674 3,1759 3,2202 3,1976 3,1096 2,9415 2,6674 2,2741 1,7799 1,2464 0,7684 0,4141 0,1558 -0,1119 -0,4855 -0,9996 -1,6338 -2,3340 -3,0279 -3,6432 -4,1203 -4,4187 -4,5186 -4,4272 -4,1870 -3,8676 -3,5311 -3,2014 -2,8762 -2,5699 -2,3325 -2,2229 -2,2773 -2,4969 -2,8389 -3,2097 -3,4831 -3,5486 -3,3657 -2,9865 -2,5243 -2,0871 -1,7310 -1,4591 -1,2396 -1,0239 -0,7856 -0,5509 -0,3784 -0,3279 -0,4502 -0,7656 -1,2345 -1,7722 -2,3024 -2,7746 -3,1327 -3,3089 -3,2689 -3,0467 -2,7305
F3    2,6513 2,5354 2,2655 1,8815 1,4443 1,0227 0,6838 0,4682 0,3590 0,2930 0,2184 0,1300 0,0498 0,0041 0,0213 0,1229 0,3052 0,5378 0,7753 0,9677 1,0790 1,1008 1,0310 0,8510 0,5551 0,1982 -0,1140 -0,2913 -0,3187 -0,2489 -0,1507 -0,0809 -0,0822 -0,1756 -0,3534 -0,5937 -0,8809 -1,2023 -1,5289 -1,8123 -2,0091 -2,1014 -2,0940 -1,9920 -1,7848 -1,4658 -1,0715 -0,6798 -0,3633 -0,1570 -0,0681 -0,1013 -0,2756 -0,6100 -1,0727 -1,5619 -1,9677 -2,2388 -2,3738 -2,3735 -2,2210 -1,9031 -1,4443 -0,9160 -0,4088 0,0076 0,3045 0,4907 0,5963 0,6502 0,6728 0,6859 0,7163 0,7805 0,8783 1,0071 1,1678 1,3428 1,4720 1,4663 1,2688 0,9109 0,4992 0,1540 -0,0579 -0,1607 -0,2310 -0,3105 -0,3820 -0,4340 -0,4962 -0,5956 -0,7092 -0,7853 -0,7939 -0,7493 -0,7031 -0,7213 -0,8527 -1,1112 -1,4787 -1,9109 -2,3440 -2,7217 -3,0246 -3,2719 -3,4983 -3,7286 -3,9709 -4,2264 -4,4880 -4,7295 -4,9178 -5,0409 -5,0983 -5,0746 -4,9468 -4,7035 -4,3305 -3,7782 -2,9803 -1,9219 -0,6810 0,5957 1,7534 2,6810 3,3280 3,7054 3,8929 4,0197 4,2079 4,5340 5,0251 5,6511 6,3233 6,9397 7,4436 7,8365 8,1493 8,4116 8,6456 8,8845 9,1769 9,5595 10,0267 10,5390 11,0615 11,5786 12,0604 12,4430 12,6701 12,7293 12,6236 12,3375 11,8550 11,1946 10,4168 9,6054 8,8559 8,2620 7,8895 7,7604 7,8588 8,1420 8,5480 9,0024 9,4333 9,8017 10,1227 10,4473 10,8129 11,1981 11,5193 11,6744 11,5835 11,1944 10,4884 9,5157 8,4047 7,3137 6,3797 5,7029 5,3379 5,2837 5,4822 5,8231 6,1663 6,4028 6,5136 6,5580 6,6131 6,7196 6,8433 6,8770 6,7094 6,2922 5,6415 4,8088 3,8816 2,9825 2,2285 1,6949 1,4228 1,4426 1,7658 2,3562 3,1258 3,9583 4,7338 5,3482 5,7188 5,7846 5,5308 5,0241 4,4004 3,7948 3,2826 2,8861 2,6116 2,4632 2,4357 2,5222 2,7265 3,0525 3,4773 3,9416 4,3681 4,6984 4,9223 5,0696 5,1773 5,2739 5,3813 5,5123 5,6637 5,8121 5,9185 5,9574 5,9451 5,9264 5,9526 6,0792 6,3425 6,7084 7,0713 7,3277 7,4522 7,5109 7,6058 7,8021 8,0855 8,3629 8,5070 8,4239 8,0930 7,5488 6,8600 6,1380 5,5168 5,0956 4,9083 4,9364 5,1341 5,4415 5,7967 6,1566 6,5070 6,8474 7,1755 7,4898 7,8008 8,1074 8,3551 8,4430 8,2879 7,8835 7,3190 6,7521 6,3368 6,1382 6,0960 6,0736 5,9624 5,7562 5,5412 5,4342 5,5220 5,8275 6,3051 6,8655 7,4206 7,9183 8,3350 8,6413 8,7998 8,8116 8,7500 8,7139 8,7437 8,8032 8,8329 8,7923 8,6607 8,4347 8,1370 7,8211 7,5472 7,3336 7,1433 6,9287 6,6815 6,4449 6,2957 6,3078 6,5091 6,8697 7,3324 7,8421 8,3512 8,8164 9,2070 9,5231 9,7895 10,0240 10,2228 10,3804 10,5132 10,6480 10,7890 10,9221 11,0598 11,2430 11,4810 11,7135 11,8357 11,7507 11,4051 10,7948 9,9623 9,0122 8,1096 7,4166 7,0144 6,9027 7,0493 7,3951 7,8407 8,2887 8,6943 9,0568 9,3837 9,6832 9,9654 10,2258 10,4263 10,5094 10,4450 10,2637 10,0371 9,8228 9,6335 9,4517 9,2543 9,0151 8,7050 8,3221 7,9202 7,5812 7,3643 7,2912 7,3469 7,4705 7,5712 7,5794 7,4774 7,2949 7,1008 6,9786 6,9834 7,1148 7,3189 7,5117 7,6196 7,6143 7,5169 7,3722 7,2201 7,0866 6,9818 6,8938 6,7993 6,7107 6,7048 6,8718 7,2221 7,6396 7,9383 7,9892 7,7967 7,4477 7,0133 6,5217 6,0069 5,5432 5,2115 5,0328 4,9390 4,8166 4,5968 4,3125 4,0598 3,9160 3,9105 4,0419 4,2779 4,5489 4,7807 4,9463 5,0701 5,1767 5,2550 5,2704 5,1963 5,0333 4,8063 4,5546 4,3301 4,1945 4,1998 4,3551 4,6044 4,8333 4,9208 4,8118 4,5419 4,1859 3,8021 3,4257 3,0811 2,7766 2,4971 2,2200 1,9505 1,7358 1,6256 1,6149 1,6323 1,5830 1,4124 1,1462 0,8801 0,7274 0,7644 1,0104 1,4446 2,0228 2,6770 3,3083 3,7976 4,0384 3,9685 3,5883 2,9706 2,2450 1,5507 0,9912 0,6235 0,4647 0,4929 0,6508 0,8535 0,9962 0,9890 0,8061 0,4926 0,1215 -0,2377 -0,5248 -0,7000 -0,7513 -0,6833 -0,5193 -0,3171 -0,1619 -0,1319 -0,2646 -0,5476 -0,9337 -1,3703 -1,8318 -2,3337 -2,8994 -3,5053 -4,0684 -4,4936 -4,7268 -4,7659 -4,6458 -4,4252 -4,1734 -3,9438 -3,7500 -3,5705 -3,3795 -3,1714 -2,9516 -2,7031 -2,3723 -1,9033 -1,2932 -0,6084 0,0515 0,6020 1,0036 1,2704 1,4569 1,6262 1,8180 2,0360 2,2519 2,4153 2,4821 2,4625 2,4245 2,4195 2,4100 2,3013 2,0359 1,6392 1,1934 0,7927 0,5070 0,3607 0,3393 0,4064 0,5174 0,6391 0,7630 0,8864 0,9863 1,0268 0,9872 0,8709 0,6879 0,4420 0,1342 -0,2287 -0,6276 -1,0212 -1,3468 -1,5669 -1,7226 -1,9137 -2,2218 -2,6730 -3,2512 -3,9141 -4,5986 -5,2301 -5,7401 -6,0851 -6,2527 -6,2560 -6,1306 -5,9268 -5,6804 -5,3874 -5,0273 -4,6192 -4,2405 -3,9869 -3,9245 -4,0659 -4,3618 -4,7092 -4,9827 -5,0750 -4,9323 -4,5794 -4,1027 -3,5926 -3,1007 -2,6452 -2,2293 -1,8497 -1,5229 -1,3032 -1,2540 -1,4128 -1,7869 -2,3458 -3,0067 -3,6562 -4,2031 -4,5979 -4,8039 -4,7870 -4,5479 -4,1472 -3,6907
F7    0,7502 0,7873 0,6683 0,4583 0,2407 0,0791 0,0105 0,0478 0,1669 0,3020 0,3819 0,3713 0,2782 0,1445 0,0294 -0,0172 0,0269 0,1658 0,3997 0,7114 1,0552 1,3716 1,6019 1,6854 1,5789 1,2943 0,9025 0,4908 0,1157 -0,2064 -0,4758 -0,6960 -0,8744 -1,0232 -1,1594 -1,3024 -1,4649 -1,6341 -1,7630 -1,7866 -1,6585 -1,3850 -1,0259 -0,6542 -0,3091 -0,0009 0,2479 0,3927 0,4015 0,2784 0,0533 -0,2331 -0,5480 -0,8795 -1,2163 -1,5181 -1,7395 -1,8795 -1,9786 -2,0670 -2,1280 -2,1122 -1,9862 -1,7727 -1,5387 -1,3484 -1,2301 -1,1749 -1,1435 -1,0752 -0,9088 -0,6101 -0,1880 0,3030 0,7781 1,1561 1,3838 1,4309 1,2780 0,9216 0,4028 -0,1739 -0,6667 -0,9531 -0,9864 -0,8232 -0,5869 -0,3869 -0,2779 -0,2846 -0,4197 -0,6565 -0,9101 -1,0726 -1,0717 -0,9072 -0,6537 -0,4358 -0,3814 -0,5785 -1,0501 -1,7469 -2,5583 -3,3503 -4,0190 -4,5295 -4,9178 -5,2533 -5,5884 -5,9333 -6,2598 -6,5170 -6,6556 -6,6517 -6,5057 -6,2297 -5,8508 -5,4187 -4,9808 -4,5368 -4,0310 -3,4039 -2,6446 -1,7981 -0,9383 -0,1352 0,5616 1,1319 1,5942 1,9978 2,3977 2,8371 3,3333 3,8553 4,3279 4,6812 4,9005 5,0320 5,1493 5,3103 5,5366 5,8279 6,1857 6,6098 7,0742 7,5303 7,9424 8,3074 8,6300 8,8960 9,0857 9,1898 9,1941 9,0643 8,7682 8,3104 7,7413 7,1319 6,5520 6,0645 5,7189 5,5325 5,4797 5,5067 5,5644 5,6295 5,7064 5,8207 6,0091 6,3020 6,6993 7,1521 7,5674 7,8394 7,8762 7,6058 6,9929 6,0795 5,0012 3,9428 3,0697 2,4785 2,1818 2,1296 2,2384 2,4074 2,5361 2,5611 2,4825 2,3442 2,1980 2,0824 1,9998 1,9025 1,7240 1,4308 1,0338 0,5669 0,0840 -0,3378 -0,6231 -0,7351 -0,6817 -0,4895 -0,1858 0,1936 0,5976 0,9725 1,2766 1,4811 1,5603 1,4844 1,2411 0,8683 0,4486 0,0651 -0,2294 -0,4032 -0,4329 -0,3185 -0,0991 0,1642 0,4227 0,6554 0,8615 1,0491 1,2270 1,4023 1,5814 1,7641 1,9329 2,0587 2,1246 2,1353 2,1084 2,0526 1,9539 1,7985 1,6112 1,4537 1,3991 1,5169 1,8452 2,3432 2,8923 3,3739 3,7516 4,0773 4,4275 4,8364 5,2675 5,6233 5,7856 5,6720 5,2732 4,6471 3,9015 3,1823 2,6286 2,3127 2,2298 2,3349 2,5725 2,8865 3,2338 3,6006 3,9965 4,4221 4,8420 5,1956 5,4343 5,5321 5,4620 5,1982 4,7479 4,1715 3,5774 3,0962 2,8318 2,8087 2,9574 3,1499 3,2636 3,2413 3,1178 2,9990 2,9991 3,1735 3,4999 3,9078 4,3242 4,7014 5,0120 5,2264 5,3145 5,2801 5,1877 5,1307 5,1620 5,2667 5,3967 5,5057 5,5545 5,5188 5,4076 5,2654 5,1413 5,0458 4,9447 4,7974 4,5928 4,3564 4,1342 3,9695 3,8839 3,8763 3,9377 4,0657 4,2699 4,5586 4,9227 5,3406 5,7895 6,2424 6,6630 7,0154 7,2777 7,4397 7,4874 7,4159 7,2705 7,1458 7,1190 7,1892 7,2827 7,3033 7,1840 6,9084 6,5062 6,0425 5,6015 5,2506 5,0133 4,8919 4,9007 5,0406 5,2602 5,4794 5,6427 5,7260 5,7151 5,6110 5,4460 5,2756 5,1498 5,0966 5,1285 5,2544 5,4766 5,7696 6,0690 6,2946 6,3844 6,3074 6,0637 5,6968 5,2947 4,9543 4,7405 4,6754 4,7344 4,8396 4,8882 4,8078 4,5827 4,2444 3,8603 3,5188 3,3012 3,2595 3,3976 3,6593 3,9490 4,1804 4,3135 4,3561 4,3413 4,3084 4,2845 4,2627 4,2073 4,1069 4,0138 4,0124 4,1443 4,3560 4,5202 4,5269 4,3544 4,0530 3,6876 3,3142 2,9872 2,7589 2,6576 2,6621 2,6991 2,6802 2,5650 2,3947 2,2534 2,2002 2,2470 2,3769 2,5522 2,7174 2,8215 2,8505 2,8313 2,8070 2,8129 2,8640 2,9416 2,9932 2,9601 2,8159 2,5868 2,3439 2,1715 2,1278 2,2151 2,3740 2,5094 2,5416 2,4376 2,1989 1,8414 1,4008 0,9370 0,5169 0,1958 0,0054 -0,0496 0,0116 0,1473 0,2934 0,3750 0,3295 0,1383 -0,1467 -0,4132 -0,5433 -0,4717 -0,1993 0,2344 0,7720 1,3379 1,8345 2,1603 2,2462 2,0806 1,7080 1,2104 0,6816 0,1988 -0,1892 -0,4547 -0,5884 -0,6086 -0,5612 -0,5105 -0,5324 -0,6931 -1,0126 -1,4538 -1,9529 -2,4519 -2,9057 -3,2763 -3,5255 -3,6182 -3,5462 -3,3540 -3,1336 -2,9877 -2,9861 -3,1447 -3,4355 -3,8085 -4,2186 -4,6457 -5,0847 -5,5158 -5,8903 -6,1462 -6,2314 -6,1150 -5,7978 -5,3280 -4,7972 -4,3088 -3,9388 -3,7180 -3,6396 -3,6737 -3,7660 -3,8311 -3,7678 -3,5048 -3,0411 -2,4413 -1,8003 -1,2124 -0,7436 -0,4031 -0,1428 0,1041 0,3801 0,6877 0,9961 1,2571 1,4357 1,5482 1,6562 1,7983 1,9356 1,9790 1,8593 1,5660 1,1422 0,6600 0,1889 -0,2273 -0,5761 -0,8678 -1,1158 -1,3126 -1,4251 -1,4228 -1,3094 -1,1283 -0,9444 -0,8233 -0,8146 -0,9414 -1,2022 -1,5777 -2,0332 -2,5117 -2,9357 -3,2488 -3,4694 -3,6867 -3,9996 -4,4652 -5,0812 -5,7858 -6,4819 -7,0789 -7,5178 -7,7671 -7,8164 -7,6837 -7,4228 -7,1062 -6,7865 -6,4715 -6,1478 -5,8317 -5,5869 -5,4929 -5,5986 -5,8940 -6,3010 -6,6894 -6,9190 -6,8896 -6,5782 -6,0525 -5,4451 -4,8914 -4,4735 -4,2081 -4,0653 -3,9893 -3,9300 -3,8746 -3,8470 -3,8868 -4,0266 -4,2667 -4,5630 -4,8544 -5,1038 -5,3044 -5,4496 -5,5234 -5,5257 -5,4874 -5,4534
