Fp1   -2,3726 -2,2997 -2,1991 -2,0710 -1,9114 -1,7201 -1,5108 -1,3052 -1,1173 -0,9444 -0,7757 -0,6059 -0,4434 -0,3051 -0,2032 -0,1359 -0,0910 -0,0544 -0,0128 0,0477 0,1387 0,2607 0,4035 0,5536 0,6972 0,8150 0,8830 0,8879 0,8413 0,7740 0,7147 0,6785 0,6735 0,7063 0,7752 0,8615 0,9375 0,9805 0,9821 0,9454 0,8790 0,7932 0,6988 0,6062 0,5253 0,4630 0,4183 0,3871 0,3717 0,3787 0,4085 0,4508 0,4878 0,5058 0,5106 0,5277 0,5824 0,6813 0,8138 0,9595 1,0926 1,1865 1,2237 1,2048 1,1460 1,0704 0,9996 0,9427 0,8954 0,8537 0,8245 0,8173 0,8337 0,8707 0,9316 1,0242 1,1503 1,3046 1,4734 1,6336 1,7626 1,8486 1,8893 1,8867 1,8480 1,7872 1,7220 1,6701 1,6498 1,6786 1,7682 1,9164 2,0996 2,2798 2,4272 2,5346 2,6087 2,6512 2,6557 2,6160 2,5320 2,4067 2,2407 2,0288 1,7666 1,4613 1,1348 0,8126 0,5099 0,2268 -0,0423 -0,2927 -0,5073 -0,6731 -0,7943 -0,8917 -0,9897 -1,0998 -1,2131 -1,3085 -1,3684 -1,3892 -1,3798 -1,3501 -1,2955 -1,1944 -1,0226 -0,7721 -0,4506 -0,0688 0,3652 0,8399 1,3375 1,8433 2,3544 2,8718 3,3897 3,8994 4,3986 4,8842 5,3383 5,7325 6,0481 6,2837 6,4444 6,5335 6,5608 6,5440 6,5007 6,4435 6,3791 6,3081 6,2244 6,1179 5,9824 5,8246 5,6665 5,5347 5,4448 5,3928 5,3602 5,3311 5,3021 5,2779 5,2689 5,2936 5,3756 5,5279 5,7404 5,9872 6,2463 6,5112 6,7858 7,0722 7,3651 7,6504 7,9049 8,0938 8,1798 8,1426 7,9947 7,7766 7,5337 7,2905 7,0465 6,7918 6,5201 6,2249 5,8990 5,5428 5,1704 4,8053 4,4694 4,1733 3,9135 3,6782 3,4601 3,2643 3,1029 2,9816 2,8951 2,8302 2,7677 2,6802 2,5400 2,3333 2,0653 1,7546 1,4224 1,0842 0,7504 0,4338 0,1513 -0,0827 -0,2608 -0,3836 -0,4625 -0,5197 -0,5817 -0,6691 -0,7855 -0,9109 -1,0150 -1,0793 -1,1034 -1,0942 -1,0548 -0,9839 -0,8830 -0,7639 -0,6446 -0,5377 -0,4471 -0,3715 -0,3062 -0,2456 -0,1839 -0,1094 -0,0091 0,1148 0,2395 0,3366 0,3863 0,3797 0,3179 0,2135 0,0865 -0,0415 -0,1509 -0,2263 -0,2670 -0,2953 -0,3449 -0,4390 -0,5778 -0,7395 -0,8892 -0,9893 -1,0144 -0,9654 -0,8744 -0,7914 -0,7591 -0,7908 -0,8663 -0,9463 -0,9938 -0,9868 -0,9214 -0,8105 -0,6771 -0,5400 -0,4058 -0,2734 -0,1384 0,0051 0,1605 0,3218 0,4716 0,5895 0,6667 0,7115 0,7400 0,7684 0,8159 0,9026 1,0358 1,1987 1,3553 1,4699 1,5258 1,5296 1,5000 1,4549 1,4082 1,3770 1,3828 1,4391 1,5393 1,6579 1,7643 1,8371 1,8703 1,8716 1,8537 1,8250 1,7890 1,7532 1,7391 1,7731 1,8618 1,9778 2,0712 2,0990 2,0495 1,9391 1,7945 1,6467 1,5338 1,4920 1,5394 1,6735 1,8759 2,1151 2,3520 2,5564 2,7204 2,8568 2,9852 3,1205 3,2669 3,4188 3,5636 3,6898 3,8026 3,9249 4,0761 4,2540 4,4400 4,6119 4,7473 4,8191 4,7998 4,6782 4,4711 4,2181 3,9693 3,7749 3,6712 3,6668 3,7416 3,8579 3,9726 4,0484 4,0676 4,0320 3,9502 3,8286 3,6728 3,4915 3,2992 3,1162 2,9630 2,8548 2,7995 2,7979 2,8443 2,9292 3,0438 3,1811 3,3359 3,5043 3,6757 3,8283 3,9393 3,9975 4,0058 3,9796 3,9419 3,9147 3,9111 3,9360 3,9894 4,0646 4,1451 4,2083 4,2372 4,2273 4,1822 4,1059 4,0031 3,8855 3,7733 3,6857 3,6285 3,5936 3,5674 3,5388 3,5059 3,4741 3,4533 3,4573 3,5016 3,5975 3,7462 3,9353 4,1366 4,3124 4,4273 4,4529 4,3731 4,1976 3,9659 3,7293 3,5283 3,3847 3,3035 3,2811 3,3194 3,4288 3,6120 3,8433 4,0737 4,2547 4,3576 4,3796 4,3409 4,2729 4,2027 4,1437 4,0961 4,0521 4,0018 3,9432 3,8874 3,8537 3,8595 3,9145 4,0210 4,1722 4,3491 4,5215 4,6610 4,7577 4,8267 4,8949 4,9801 5,0791 5,1706 5,2287 5,2311 5,1573 4,9926 4,7415 4,4376 4,1342 3,8814 3,7133 3,6490 3,6912 3,8215 4,0035 4,1978 4,3763 4,5278 4,6548 4,7654 4,8648 4,9472 4,9968 4,9994 4,9552 4,8826 4,8147 4,7826 4,7918 4,8141 4,8057 4,7300 4,5661 4,3036 3,9410 3,4913 2,9853 2,4657 1,9757 1,5483 1,1935 0,8944 0,6159 0,3262 0,0165 -0,2953 -0,5794 -0,8086 -0,9622 -1,0245 -0,9843 -0,8408 -0,6154 -0,3520 -0,0946 0,1344 0,3318 0,5028 0,6583 0,8138 0,9872 1,1993 1,4718 1,8211 2,2520 2,7476 3,2682 3,7695 4,2208 4,6022 4,8974 5,1010 5,2241 5,2846 5,2943 5,2556 5,1649 5,0182 4,8167 4,5737 4,3206 4,1053 3,9736 3,9427 3,9963 4,1010 4,2232 4,3386 4,4378 4,5225 4,5943 4,6460 4,6584 4,6050 4,4689 4,2561 3,9928 3,7149 3,4607 3,2635 3,1424 3,0987 3,1172 3,1740 3,2475 3,3188 3,3617 3,3413 3,2310 3,0250 2,7358 2,3852 1,9919 1,5639 1,1020 0,6135 0,1193 -0,3533 -0,7823 -1,1584 -1,4854 -1,7720 -2,0265 -2,2616 -2,4944 -2,7359 -2,9841 -3,2258 -3,4406 -3,6052 -3,7018 -3,7292 -3,7102 -3,6877 -3,7102 -3,8136 -4,0103 -4,2901 -4,6265 -4,9804 -5,3017 -5,5394 -5,6671 -5,6922 -5,6403 -5,5359 -5,4000 -5,2538 -5,1155 -4,9901 -4,8645 -4,7130 -4,5116
Fz    -2,5880 -2,5201 -2,3947 -2,2398 -2,0797 -1,9271 -1,7924 -1,6899 -1,6234 -1,5705 -1,4889 -1,3411 -1,1139 -0,8190 -0,4787 -0,1121 0,2644 0,6280 0,9474 1,1956 1,3601 1,4445 1,4691 1,4664 1,4644 1,4672 1,4549 1,4072 1,3241 1,2257 1,1389 1,0859 1,0795 1,1172 1,1775 1,2251 1,2255 1,1595 1,0275 0,8416 0,6126 0,3473 0,0596 -0,2213 -0,4535 -0,6007 -0,6525 -0,6223 -0,5243 -0,3631 -0,1431 0,1165 0,3789 0,6034 0,7668 0,8682 0,9151 0,9181 0,8980 0,8825 0,8870 0,9053 0,9215 0,9312 0,9454 0,9794 1,0382 1,1112 1,1827 1,2460 1,3001 1,3384 1,3470 1,3197 1,2707 1,2235 1,1942 1,1900 1,2122 1,2536 1,3025 1,3507 1,3931 1,4256 1,4490 1,4719 1,5033 1,5483 1,6131 1,7114 1,8599 2,0621 2,2977 2,5338 2,7475 2,9314 3,0768 3,1619 3,1632 3,0738 2,9061 2,6832 2,4264 2,1403 1,8093 1,4144 0,9567 0,4669 -0,0046 -0,4093 -0,7148 -0,9054 -0,9841 -0,9797 -0,9443 -0,9325 -0,9769 -1,0739 -1,1878 -1,2734 -1,3054 -1,2888 -1,2489 -1,2123 -1,1892 -1,1662 -1,1136 -0,9993 -0,7955 -0,4776 -0,0299 0,5436 1,2184 1,9634 2,7540 3,5685 4,3810 5,1694 5,9218 6,6220 7,2350 7,7191 8,0538 8,2510 8,3432 8,3720 8,3802 8,3925 8,3965 8,3532 8,2280 8,0165 7,7461 7,4576 7,1890 6,9735 6,8407 6,8053 6,8553 6,9557 7,0652 7,1564 7,2212 7,2635 7,2960 7,3455 7,4495 7,6379 7,9149 8,2582 8,6327 9,0012 9,3360 9,6299 9,8981 10,1644 10,4381 10,6947 10,8816 10,9527 10,8978 10,7366 10,4867 10,1436 9,6917 9,1321 8,4974 7,8431 7,2253 6,6844 6,2401 5,8944 5,6350 5,4363 5,2625 5,0820 4,8841 4,6790 4,4798 4,2872 4,0904 3,8771 3,6396 3,3732 3,0760 2,7583 2,4475 2,1734 1,9429 1,7279 1,4865 1,1983 0,8761 0,5476 0,2398 -0,0279 -0,2427 -0,3960 -0,4862 -0,5235 -0,5216 -0,4845 -0,4117 -0,3141 -0,2118 -0,1168 -0,0284 0,0554 0,1267 0,1702 0,1751 0,1461 0,1051 0,0842 0,1137 0,2023 0,3305 0,4710 0,6049 0,7161 0,7876 0,8132 0,8046 0,7792 0,7462 0,7011 0,6281 0,5107 0,3493 0,1673 -0,0090 -0,1741 -0,3453 -0,5458 -0,7846 -1,0466 -1,2962 -1,4913 -1,5972 -1,6021 -1,5267 -1,4171 -1,3222 -1,2717 -1,2631 -1,2680 -1,2506 -1,1860 -1,0672 -0,9028 -0,7118 -0,5158 -0,3325 -0,1719 -0,0348 0,0859 0,1993 0,3071 0,4005 0,4695 0,5173 0,5629 0,6285 0,7271 0,8602 1,0206 1,1922 1,3523 1,4780 1,5550 1,5852 1,5886 1,5930 1,6159 1,6568 1,7113 1,7839 1,8824 2,0074 2,1454 2,2727 2,3671 2,4230 2,4556 2,4863 2,5264 2,5721 2,6127 2,6443 2,6682 2,6779 2,6542 2,5802 2,4611 2,3243 2,1940 2,0718 1,9495 1,8336 1,7452 1,7034 1,7196 1,8025 1,9547 2,1659 2,4190 2,7041 3,0218 3,3717 3,7398 4,1001 4,4263 4,6997 4,9175 5,0992 5,2766 5,4648 5,6526 5,8210 5,9558 6,0409 6,0487 5,9493 5,7379 5,4498 5,1417 4,8663 4,6626 4,5511 4,5234 4,5438 4,5723 4,5869 4,5861 4,5789 4,5700 4,5511 4,5023 4,4061 4,2552 4,0537 3,8165 3,5697 3,3471 3,1864 3,1190 3,1571 3,2952 3,5216 3,8221 4,1748 4,5487 4,9040 5,1947 5,3818 5,4520 5,4233 5,3333 5,2206 5,1125 5,0272 4,9832 4,9939 5,0499 5,1131 5,1354 5,0898 4,9880 4,8710 4,7803 4,7281 4,6919 4,6332 4,5208 4,3459 4,1299 3,9173 3,7536 3,6685 3,6732 3,7630 3,9237 4,1400 4,4003 4,6902 4,9818 5,2306 5,3887 5,4252 5,3364 5,1477 4,9129 4,6946 4,5322 4,4244 4,3420 4,2553 4,1567 4,0674 4,0207 4,0349 4,0989 4,1841 4,2685 4,3509 4,4479 4,5765 4,7367 4,9104 5,0791 5,2333 5,3628 5,4457 5,4531 5,3638 5,1760 4,9143 4,6325 4,4040 4,2965 4,3411 4,5150 4,7532 4,9854 5,1698 5,3017 5,3995 5,4884 5,5893 5,7114 5,8448 5,9598 6,0205 6,0079 5,9313 5,8167 5,6912 5,5812 5,5166 5,5209 5,5945 5,7092 5,8209 5,8899 5,8921 5,8223 5,6963 5,5476 5,4118 5,3093 5,2426 5,2063 5,1993 5,2290 5,3001 5,3975 5,4844 5,5218 5,4912 5,3966 5,2469 5,0406 4,7660 4,4099 3,9716 3,4705 2,9402 2,4094 1,8890 1,3761 0,8680 0,3731 -0,0844 -0,4714 -0,7579 -0,9286 -0,9848 -0,9342 -0,7816 -0,5370 -0,2275 0,1119 0,4587 0,8052 1,1471 1,4808 1,8062 2,1285 2,4569 2,8021 3,1733 3,5754 4,0014 4,4288 4,8321 5,1963 5,5144 5,7861 6,0215 6,2359 6,4309 6,5850 6,6664 6,6571 6,5630 6,4045 6,2080 6,0060 5,8409 5,7542 5,7662 5,8699 6,0417 6,2488 6,4538 6,6264 6,7537 6,8348 6,8635 6,8208 6,6911 6,4833 6,2294 5,9630 5,7079 5,4819 5,3023 5,1874 5,1516 5,1942 5,2884 5,3858 5,4334 5,3848 5,2069 4,8890 4,4510 3,9423 3,4274 2,9579 2,5461 2,1680 1,7948 1,4194 1,0537 0,7095 0,3801 0,0359 -0,3540 -0,7986 -1,2832 -1,7833 -2,2706 -2,7138 -3,0803 -3,3407 -3,4762 -3,4931 -3,4299 -3,3497 -3,3204 -3,3949 -3,6035 -3,9568 -4,4448 -5,0297 -5,6438 -6,1985 -6,6070 -6,8139 -6,8155 -6,6502 -6,3756 -6,0520 -5,7314 -5,4453 -5,1959 -4,9636 -4,7239 -4,4567
F3    -2,5133 -2,5585 -2,5684 -2,5393 -2,4634 -2,3308 -2,1489 -1,9491 -1,7621 -1,5897 -1,4079 -1,1931 -0,9404 -0,6611 -0,3693 -0,0714 0,2327 0,5357 0,8113 1,0212 1,1353 1,1474 1,0796 0,9712 0,8603 0,7687 0,7005 0,6511 0,6161 0,5972 0,6054 0,6575 0,7646 0,9215 1,1036 1,2733 1,3941 1,4449 1,4236 1,3382 1,1962 1,0051 0,7812 0,5534 0,3579 0,2250 0,1662 0,1742 0,2321 0,3200 0,4167 0,4989 0,5448 0,5446 0,5100 0,4695 0,4489 0,4590 0,5004 0,5718 0,6684 0,7772 0,8850 0,9962 1,1301 1,2981 1,4906 1,6830 1,8515 1,9827 2,0683 2,1000 2,0734 1,9967 1,8916 1,7818 1,6806 1,5919 1,5185 1,4661 1,4420 1,4489 1,4824 1,5343 1,5983 1,6712 1,7505 1,8392 1,9511 2,1051 2,3107 2,5536 2,7987 3,0107 3,1753 3,2938 3,3596 3,3486 3,2384 3,0323 2,7605 2,4625 2,1689 1,8925 1,6296 1,3684 1,1019 0,8349 0,5815 0,3577 0,1758 0,0422 -0,0443 -0,0910 -0,1085 -0,1114 -0,1176 -0,1394 -0,1784 -0,2276 -0,2754 -0,3107 -0,3319 -0,3466 -0,3581 -0,3532 -0,3008 -0,1640 0,0852 0,4610 0,9624 1,5700 2,2458 2,9481 3,6506 4,3472 5,0374 5,7150 6,3695 6,9875 7,5487 8,0263 8,3990 8,6635 8,8346 8,9429 9,0290 9,1213 9,2092 9,2428 9,1664 8,9568 8,6362 8,2560 7,8710 7,5273 7,2599 7,0856 6,9985 6,9744 6,9832 7,0037 7,0280 7,0538 7,0860 7,1502 7,2916 7,5457 7,9075 8,3304 8,7481 9,0978 9,3383 9,4617 9,4930 9,4809 9,4792 9,5210 9,6048 9,7043 9,7843 9,8074 9,7387 9,5521 9,2364 8,8014 8,2773 7,7079 7,1369 6,5940 6,0939 5,6457 5,2572 4,9278 4,6469 4,4056 4,2117 4,0858 4,0375 4,0459 4,0659 4,0515 3,9730 3,8179 3,5863 3,2909 2,9596 2,6265 2,3122 2,0090 1,6929 1,3538 1,0057 0,6701 0,3631 0,0951 -0,1250 -0,2873 -0,3856 -0,4263 -0,4256 -0,3963 -0,3443 -0,2755 -0,1929 -0,0887 0,0511 0,2294 0,4244 0,5908 0,6796 0,6670 0,5675 0,4235 0,2839 0,1841 0,1351 0,1307 0,1574 0,1982 0,2399 0,2860 0,3532 0,4478 0,5518 0,6318 0,6565 0,6098 0,5009 0,3627 0,2334 0,1290 0,0305 -0,1007 -0,2908 -0,5346 -0,8014 -1,0524 -1,2524 -1,3808 -1,4424 -1,4615 -1,4610 -1,4456 -1,4008 -1,3032 -1,1330 -0,8816 -0,5556 -0,1828 0,1890 0,5046 0,7190 0,8124 0,7962 0,7068 0,5889 0,4786 0,3948 0,3454 0,3371 0,3822 0,4971 0,6910 0,9551 1,2619 1,5749 1,8560 2,0714 2,2028 2,2588 2,2719 2,2817 2,3159 2,3805 2,4632 2,5445 2,6073 2,6401 2,6360 2,5896 2,4998 2,3795 2,2559 2,1580 2,1030 2,0945 2,1299 2,2085 2,3296 2,4833 2,6476 2,7958 2,9072 2,9740 2,9973 2,9813 2,9334 2,8693 2,8090 2,7655 2,7413 2,7340 2,7413 2,7653 2,8158 2,9071 3,0502 3,2479 3,4937 3,7744 4,0722 4,3657 4,6362 4,8795 5,1041 5,3128 5,4966 5,6451 5,7473 5,7853 5,7320 5,5657 5,2955 4,9704 4,6603 4,4293 4,3212 4,3502 4,4921 4,6903 4,8808 5,0204 5,1005 5,1366 5,1400 5,1018 5,0047 4,8444 4,6362 4,4006 4,1502 3,8939 3,6501 3,4509 3,3306 3,3140 3,4183 3,6532 4,0077 4,4444 4,9090 5,3421 5,6894 5,9129 6,0003 5,9660 5,8421 5,6628 5,4516 5,2273 5,0219 4,8804 4,8326 4,8702 4,9538 5,0415 5,1093 5,1521 5,1730 5,1704 5,1325 5,0466 4,9144 4,7601 4,6189 4,5173 4,4643 4,4595 4,4985 4,5666 4,6398 4,6999 4,7473 4,8030 4,8902 5,0065 5,1197 5,1896 5,1899 5,1184 5,0001 4,8753 4,7765 4,7107 4,6632 4,6161 4,5656 4,5230 4,5014 4,5018 4,5113 4,5131 4,5013 4,4858 4,4839 4,5057 4,5489 4,6047 4,6698 4,7529 4,8636 4,9928 5,1134 5,1991 5,2389 5,2392 5,2190 5,2034 5,2147 5,2666 5,3572 5,4667 5,5712 5,6627 5,7525 5,8521 5,9555 6,0436 6,1006 6,1216 6,1093 6,0701 6,0153 5,9573 5,9004 5,8351 5,7532 5,6645 5,5899 5,5411 5,5113 5,4865 5,4586 5,4288 5,4033 5,3929 5,4108 5,4589 5,5189 5,5649 5,5820 5,5742 5,5566 5,5383 5,5083 5,4372 5,2945 5,0704 4,7869 4,4834 4,1861 3,8928 3,5870 3,2597 2,9159 2,5661 2,2141 1,8547 1,4792 1,0850 0,6833 0,2988 -0,0410 -0,3100 -0,4783 -0,5161 -0,4123 -0,1855 0,1189 0,4420 0,7353 0,9789 1,1814 1,3700 1,5789 1,8337 2,1428 2,5066 2,9272 3,4034 3,9165 4,4238 4,8709 5,2162 5,4492 5,5893 5,6772 5,7627 5,8841 6,0481 6,2279 6,3817 6,4753 6,4924 6,4322 6,3034 6,1250 5,9316 5,7692 5,6781 5,6773 5,7563 5,8721 5,9646 5,9937 5,9627 5,9055 5,8485 5,7847 5,6843 5,5279 5,3242 5,1020 4,8937 4,7228 4,5996 4,5254 4,4978 4,5092 4,5449 4,5857 4,6119 4,5989 4,5195 4,3511 4,0817 3,7125 3,2656 2,7833 2,3075 1,8581 1,4360 1,0437 0,6940 0,3962 0,1292 -0,1648 -0,5476 -1,0427 -1,6230 -2,2271 -2,7810 -3,2201 -3,5056 -3,6270 -3,5982 -3,4544 -3,2475 -3,0372 -2,8763 -2,8018 -2,8410 -3,0167 -3,3363 -3,7769 -4,2879 -4,8053 -5,2653 -5,6194 -5,8416 -5,9237 -5,8694 -5,6971 -5,4405 -5,1382 -4,8166 -4,4835 -4,1406 -3,7962
F7    -1,7440 -1,7017 -1,6641 -1,6377 -1,6160 -1,5808 -1,5192 -1,4348 -1,3406 -1,2413 -1,1262 -0,9786 -0,7899 -0,5643 -0,3155 -0,0611 0,1808 0,3924 0,5554 0,6559 0,6934 0,6836 0,6524 0,6245 0,6124 0,6092 0,5929 0,5433 0,4574 0,3516 0,2565 0,2045 0,2187 0,3041 0,4449 0,6106 0,7687 0,8947 0,9735 0,9977 0,9665 0,8880 0,7791 0,6631 0,5620 0,4887 0,4435 0,4198 0,4112 0,4150 0,4294 0,4480 0,4578 0,4439 0,3991 0,3303 0,2552 0,1932 0,1584 0,1556 0,1783 0,2138 0,2545 0,3043 0,3752 0,4763 0,6037 0,7376 0,8534 0,9378 0,9941 1,0312 1,0531 1,0604 1,0589 1,0631 1,0870 1,1334 1,1919 1,2436 1,2706 1,2640 1,2258 1,1686 1,1130 1,0815 1,0875 1,1297 1,1981 1,2823 1,3751 1,4707 1,5645 1,6568 1,7540 1,8597 1,9612 2,0289 2,0356 1,9731 1,8505 1,6829 1,4848 1,2676 1,0367 0,7912 0,5277 0,2480 -0,0362 -0,3052 -0,5379 -0,7167 -0,8349 -0,9012 -0,9338 -0,9507 -0,9650 -0,9843 -1,0084 -1,0294 -1,0328 -1,0034 -0,9360 -0,8395 -0,7293 -0,6134 -0,4840 -0,3193 -0,0946 0,2078 0,5926 1,0507 1,5617 2,1019 2,6544 3,2080 3,7489 4,2604 4,7302 5,1480 5,4986 5,7656 5,9456 6,0579 6,1359 6,2113 6,3042 6,4154 6,5212 6,5830 6,5676 6,4642 6,2865 6,0664 5,8415 5,6431 5,4883 5,3811 5,3189 5,2950 5,2942 5,2960 5,2850 5,2598 5,2351 5,2411 5,3116 5,4620 5,6747 5,9094 6,1266 6,2993 6,4137 6,4738 6,5036 6,5377 6,6069 6,7245 6,8769 7,0285 7,1361 7,1609 7,0762 6,8675 6,5338 6,0920 5,5767 5,0318 4,5006 4,0158 3,5956 3,2486 2,9799 2,7904 2,6701 2,5975 2,5491 2,5088 2,4644 2,4010 2,3068 2,1816 2,0349 1,8793 1,7247 1,5770 1,4403 1,3170 1,2011 1,0743 0,9173 0,7300 0,5319 0,3449 0,1759 0,0166 -0,1451 -0,3122 -0,4732 -0,6082 -0,6967 -0,7219 -0,6804 -0,5920 -0,4907 -0,4017 -0,3332 -0,2856 -0,2572 -0,2461 -0,2533 -0,2818 -0,3293 -0,3814 -0,4170 -0,4267 -0,4232 -0,4272 -0,4482 -0,4791 -0,5029 -0,5012 -0,4613 -0,3806 -0,2710 -0,1580 -0,0709 -0,0297 -0,0392 -0,0907 -0,1693 -0,2607 -0,3562 -0,4516 -0,5422 -0,6183 -0,6674 -0,6829 -0,6690 -0,6375 -0,6011 -0,5681 -0,5416 -0,5196 -0,4956 -0,4626 -0,4162 -0,3518 -0,2663 -0,1661 -0,0717 -0,0045 0,0288 0,0396 0,0458 0,0595 0,0832 0,1152 0,1536 0,1949 0,2339 0,2711 0,3156 0,3739 0,4428 0,5164 0,5940 0,6757 0,7583 0,8392 0,9204 1,0091 1,1163 1,2464 1,3904 1,5310 1,6492 1,7267 1,7503 1,7164 1,6281 1,4932 1,3283 1,1590 1,0127 0,9119 0,8681 0,8790 0,9340 1,0214 1,1285 1,2402 1,3433 1,4326 1,5095 1,5729 1,6131 1,6198 1,5949 1,5519 1,5049 1,4654 1,4450 1,4509 1,4781 1,5123 1,5396 1,5578 1,5790 1,6220 1,6971 1,7999 1,9174 2,0387 2,1618 2,2898 2,4191 2,5423 2,6640 2,7984 2,9453 3,0742 3,1424 3,1296 3,0523 2,9465 2,8465 2,7780 2,7546 2,7706 2,8075 2,8502 2,8934 2,9375 2,9807 3,0122 3,0125 2,9613 2,8481 2,6795 2,4779 2,2740 2,0969 1,9653 1,8877 1,8662 1,9011 1,9938 2,1462 2,3547 2,6050 2,8748 3,1363 3,3583 3,5173 3,6073 3,6372 3,6226 3,5807 3,5278 3,4762 3,4352 3,4137 3,4142 3,4234 3,4147 3,3661 3,2789 3,1762 3,0826 3,0052 2,9369 2,8688 2,7986 2,7349 2,6949 2,6911 2,7207 2,7707 2,8304 2,8965 2,9672 3,0401 3,1154 3,1960 3,2809 3,3619 3,4273 3,4642 3,4593 3,4084 3,3245 3,2299 3,1394 3,0546 2,9743 2,9034 2,8524 2,8294 2,8300 2,8329 2,8103 2,7465 2,6514 2,5572 2,5001 2,5022 2,5657 2,6772 2,8141 2,9521 3,0677 3,1406 3,1585 3,1231 3,0472 2,9493 2,8568 2,8060 2,8294 2,9389 3,1190 3,3355 3,5522 3,7454 3,9092 4,0452 4,1516 4,2230 4,2565 4,2529 4,2159 4,1514 4,0666 3,9687 3,8605 3,7399 3,6068 3,4721 3,3544 3,2671 3,2099 3,1739 3,1491 3,1291 3,1114 3,0952 3,0805 3,0680 3,0615 3,0683 3,0951 3,1408 3,1964 3,2486 3,2813 3,2748 3,2095 3,0741 2,8736 2,6264 2,3538 2,0714 1,7854 1,4934 1,1909 0,8762 0,5481 0,2046 -0,1545 -0,5235 -0,8881 -1,2271 -1,5167 -1,7327 -1,8519 -1,8607 -1,7646 -1,5856 -1,3538 -1,1002 -0,8488 -0,6136 -0,4007 -0,2083 -0,0231 0,1746 0,3981 0,6502 0,9280 1,2287 1,5471 1,8687 2,1687 2,4240 2,6255 2,7777 2,8957 3,0041 3,1268 3,2713 3,4223 3,5521 3,6370 3,6655 3,6357 3,5537 3,4377 3,3190 3,2302 3,1887 3,1916 3,2210 3,2520 3,2614 3,2355 3,1769 3,1002 3,0180 2,9292 2,8277 2,7212 2,6352 2,5933 2,5940 2,6100 2,6093 2,5785 2,5265 2,4684 2,4096 2,3449 2,2637 2,1505 1,9842 1,7445 1,4260 1,0471 0,6489 0,2790 -0,0343 -0,2966 -0,5342 -0,7682 -1,0038 -1,2403 -1,4852 -1,7570 -2,0687 -2,4115 -2,7590 -3,0825 -3,3575 -3,5648 -3,6929 -3,7388 -3,7107 -3,6321 -3,5396 -3,4747 -3,4709 -3,5410 -3,6817 -3,8892 -4,1614 -4,4841 -4,8191 -5,1102 -5,3043 -5,3752 -5,3332 -5,2126 -5,0502 -4,8736 -4,6999 -4,5381 -4,3888 -4,2414 -4,0807 -3,8984
