Fp1   3,6011 3,6398 3,6231 3,5455 3,3946 3,1570 2,8227 2,3844 1,8443 1,2263 0,5772 -0,0511 -0,6196 -1,1061 -1,4997 -1,7969 -2,0036 -2,1353 -2,2096 -2,2380 -2,2273 -2,1836 -2,1133 -2,0211 -1,9048 -1,7530 -1,5515 -1,2946 -0,9916 -0,6642 -0,3403 -0,0478 0,1936 0,3801 0,5225 0,6364 0,7276 0,7873 0,8024 0,7675 0,6841 0,5498 0,3560 0,1005 -0,2009 -0,5165 -0,8156 -1,0879 -1,3453 -1,6050 -1,8741 -2,1490 -2,4203 -2,6754 -2,9005 -3,0787 -3,1911 -3,2235 -3,1750 -3,0591 -2,8929 -2,6868 -2,4507 -2,2069 -1,9820 -1,7908 -1,6349 -1,5127 -1,4244 -1,3701 -1,3447 -1,3313 -1,3050 -1,2435 -1,1347 -0,9779 -0,7805 -0,5548 -0,3161 -0,0847 0,1130 0,2499 0,3087 0,2879 0,1980 0,0561 -0,1175 -0,3034 -0,4879 -0,6664 -0,8399 -1,0047 -1,1479 -1,2562 -1,3279 -1,3770 -1,4262 -1,4961 -1,6046 -1,7722 -2,0209 -2,3622 -2,7916 -3,2957 -3,8604 -4,4716 -5,1100 -5,7470 -6,3458 -6,8721 -7,3035 -7,6289 -7,8442 -7,9494 -7,9456 -7,8318 -7,6054 -7,2638 -6,8108 -6,2564 -5,6134 -4,8977 -4,1304 -3,3293 -2,5023 -1,6518 -0,7798 0,1084 1,0001 1,8711 2,6921 3,4415 4,1177 4,7440 5,3628 6,0124 6,7019 7,4060 8,0825 8,6856 9,1733 9,5174 9,7147 9,7829 9,7438 9,6118 9,3990 9,1236 8,8074 8,4638 8,0955 7,7027 7,2886 6,8550 6,3992 5,9231 5,4409 4,9768 4,5578 4,2051 3,9270 3,7151 3,5510 3,4168 3,3007 3,1967 3,1037 3,0232 2,9535 2,8836 2,7974 2,6808 2,5262 2,3326 2,1032 1,8437 1,5660 1,2883 1,0232 0,7641 0,4895 0,1774 -0,1847 -0,5987 -1,0625 -1,5709 -2,1085 -2,6500 -3,1735 -3,6693 -4,1353 -4,5688 -4,9631 -5,3111 -5,6101 -5,8651 -6,0909 -6,3089 -6,5374 -6,7823 -7,0341 -7,2714 -7,4678 -7,6039 -7,6735 -7,6805 -7,6347 -7,5561 -7,4755 -7,4206 -7,3996 -7,4003 -7,4035 -7,3918 -7,3540 -7,2880 -7,2038 -7,1185 -7,0489 -7,0064 -6,9913 -6,9891 -6,9757 -6,9300 -6,8411 -6,7098 -6,5438 -6,3499 -6,1314 -5,8891 -5,6248 -5,3421 -5,0442 -4,7347 -4,4219 -4,1193 -3,8365 -3,5717 -3,3170 -3,0706 -2,8378 -2,6215 -2,4115 -2,1897 -1,9423 -1,6668 -1,3712 -1,0724 -0,7954 -0,5629 -0,3860 -0,2635 -0,1863 -0,1444 -0,1346 -0,1563 -0,2011 -0,2549 -0,3042 -0,3360 -0,3378 -0,3035 -0,2358 -0,1409 -0,0286 0,0845 0,1782 0,2377 0,2580 0,2371 0,1701 0,0531 -0,1051 -0,2814 -0,4519 -0,6029 -0,7301 -0,8321 -0,9070 -0,9544 -0,9774 -0,9776 -0,9506 -0,8886 -0,7874 -0,6498 -0,4857 -0,3136 -0,1591 -0,0430 0,0337 0,0904 0,1505 0,2255 0,3119 0,3997 0,4817 0,5530 0,6021 0,6062 0,5394 0,3877 0,1632 -0,0953 -0,3414 -0,5449 -0,6962 -0,7980 -0,8610 -0,9019 -0,9384 -0,9861 -1,0531 -1,1338 -1,2082 -1,2571 -1,2762 -1,2736 -1,2555 -1,2234 -1,1726 -1,0870 -0,9420 -0,7207 -0,4282 -0,0910 0,2527 0,5661 0,8258 1,0241 1,1600 1,2333 1,2515 1,2337 1,2016 1,1686 1,1360 1,0985 1,0521 0,9968 0,9345 0,8688 0,8064 0,7558 0,7224 0,7036 0,6890 0,6636 0,6132 0,5326 0,4255 0,2996 0,1645 0,0313 -0,0865 -0,1738 -0,2176 -0,2155 -0,1824 -0,1444 -0,1262 -0,1432 -0,1959 -0,2670 -0,3280 -0,3544 -0,3359 -0,2758 -0,1841 -0,0718 0,0536 0,1953 0,3677 0,5824 0,8313 1,0850 1,3097 1,4858 1,6127 1,6970 1,7404 1,7406 1,6967 1,6123 1,4981 1,3731 1,2633 1,1938 1,1730 1,1856 1,2039 1,2065 1,1854 1,1415 1,0736 0,9745 0,8366 0,6574 0,4385 0,1843 -0,0959 -0,3866 -0,6697 -0,9299 -1,1562 -1,3367 -1,4539 -1,4917 -1,4504 -1,3534 -1,2344 -1,1174 -1,0084 -0,9010 -0,7826 -0,6420 -0,4757 -0,2885 -0,0893 0,1129 0,3099 0,4926 0,6541 0,7961 0,9329 1,0850 1,2723 1,5097 1,8028 2,1440 2,5151 2,8958 3,2687 3,6180 3,9273 4,1798 4,3634 4,4736 4,5109 4,4777 4,3786 4,2206 4,0161 3,7847 3,5542 3,3543 3,2035 3,1058 3,0568 3,0465 3,0604 3,0842 3,1086 3,1322 3,1585 3,1883 3,2187 3,2494 3,2843 3,3265 3,3755 3,4298 3,4956 3,5871 3,7173 3,8882 4,0914 4,3150 4,5525 4,8036 5,0672 5,3351 5,5960 5,8438 6,0771 6,2883 6,4542 6,5454 6,5411 6,4371 6,2458 5,9892 5,6843 5,3314 4,9173 4,4297 3,8665 3,2360 2,5575 1,8598 1,1733 0,5228 -0,0714 -0,5915 -1,0225 -1,3513 -1,5643 -1,6523 -1,6195 -1,4820 -1,2580 -0,9602 -0,5919 -0,1499 0,3707 0,9750 1,6678 2,4499 3,3146 4,2448 5,2151 6,1977 7,1699 8,1149 9,0177 9,8596 10,6165 11,2588 11,7566 12,0922 12,2718 12,3246 12,2915 12,2091 12,0981 11,9615 11,7903 11,5706 11,2849 10,9159 10,4551 9,9153 9,3382 8,7841 8,3047 7,9251 7,6454 7,4493 7,3091 7,1897 7,0571 6,8881 6,6725 6,4121 6,1178 5,8026 5,4747 5,1379 4,7965 4,4600 4,1436 3,8594 3,6094 3,3886 3,1902 3,0074 2,8378 2,6864 2,5617 2,4700 2,4133 2,3882 2,3844 2,3818 2,3562 2,2910 2,1857 2,0538 1,9155 1,7857 1,6641 1,5369 1,3862 1,1964 0,9577 0,6712 0,3478 0,0020 -0,3540 -0,7105 -1,0576 -1,3805 -1,6593 -1,8759 -2,0210 -2,0946 -2,1055 -2,0750 -2,0338 -2,0123 -2,0306 -2,0866 -2,1485 -2,1680 -2,1050 -1,9419 -1,6820 -1,3411 -0,9419 -0,5109
Fz    3,6087 3,6606 3,6830 3,6722 3,6133 3,4869 3,2692 2,9300 2,4531 1,8631 1,2212 0,5877 -0,0062 -0,5538 -1,0501 -1,4807 -1,8312 -2,1009 -2,3003 -2,4409 -2,5298 -2,5740 -2,5833 -2,5651 -2,5136 -2,4065 -2,2190 -1,9434 -1,5956 -1,2116 -0,8389 -0,5223 -0,2838 -0,1127 0,0245 0,1615 0,3113 0,4635 0,5973 0,6937 0,7329 0,6897 0,5435 0,2983 -0,0048 -0,2975 -0,5186 -0,6468 -0,7039 -0,7299 -0,7633 -0,8338 -0,9576 -1,1367 -1,3629 -1,6120 -1,8363 -1,9803 -2,0087 -1,9203 -1,7321 -1,4550 -1,0972 -0,6852 -0,2566 0,1603 0,5443 0,8674 1,0983 1,2191 1,2357 1,1765 1,0845 1,0006 0,9501 0,9410 0,9697 1,0289 1,1130 1,2153 1,3190 1,3948 1,4120 1,3492 1,1989 0,9722 0,7016 0,4346 0,2169 0,0742 0,0081 0,0094 0,0700 0,1781 0,3097 0,4296 0,5062 0,5243 0,4780 0,3541 0,1316 -0,2020 -0,6430 -1,1802 -1,8021 -2,4961 -3,2393 -3,9905 -4,6910 -5,2830 -5,7268 -6,0055 -6,1201 -6,0835 -5,9130 -5,6235 -5,2212 -4,7072 -4,0897 -3,3884 -2,6305 -1,8483 -1,0705 -0,3025 0,4786 1,3038 2,1884 3,1257 4,0932 5,0554 5,9661 6,7825 7,4915 8,1226 8,7330 9,3699 10,0383 10,7047 11,3196 11,8305 12,1882 12,3684 12,3904 12,3005 12,1353 11,9041 11,6079 11,2618 10,8905 10,5068 10,1061 9,6786 9,2211 8,7337 8,2122 7,6527 7,0678 6,4902 5,9535 5,4734 5,0465 4,6627 4,3204 4,0323 3,8182 3,6958 3,6782 3,7711 3,9646 4,2264 4,5092 4,7686 4,9753 5,1169 5,1927 5,2094 5,1835 5,1392 5,0898 5,0208 4,9016 4,7126 4,4598 4,1615 3,8221 3,4285 2,9771 2,4868 1,9801 1,4635 0,9336 0,3945 -0,1339 -0,6245 -1,0575 -1,4316 -1,7706 -2,1152 -2,5015 -2,9451 -3,4419 -3,9703 -4,4939 -4,9741 -5,3804 -5,6912 -5,8939 -5,9926 -6,0119 -5,9820 -5,9194 -5,8281 -5,7121 -5,5754 -5,4227 -5,2638 -5,1109 -4,9735 -4,8615 -4,7869 -4,7546 -4,7558 -4,7756 -4,8048 -4,8430 -4,8975 -4,9796 -5,0919 -5,2190 -5,3320 -5,4016 -5,4069 -5,3344 -5,1808 -4,9605 -4,6980 -4,4076 -4,0842 -3,7227 -3,3413 -2,9756 -2,6509 -2,3607 -2,0728 -1,7523 -1,3803 -0,9598 -0,5168 -0,0952 0,2624 0,5346 0,7280 0,8680 0,9776 1,0593 1,0999 1,0897 1,0271 0,9163 0,7724 0,6239 0,5065 0,4510 0,4779 0,5945 0,7918 1,0437 1,3160 1,5784 1,8092 1,9865 2,0908 2,1216 2,1019 2,0604 2,0157 1,9803 1,9679 1,9881 2,0388 2,1081 2,1847 2,2667 2,3621 2,4855 2,6548 2,8820 3,1556 3,4351 3,6735 3,8470 3,9607 4,0331 4,0787 4,0971 4,0772 4,0125 3,9057 3,7567 3,5501 3,2627 2,8840 2,4341 1,9637 1,5269 1,1525 0,8445 0,5997 0,4166 0,2939 0,2319 0,2276 0,2690 0,3432 0,4471 0,5796 0,7286 0,8779 1,0243 1,1760 1,3446 1,5467 1,7979 2,0976 2,4246 2,7446 3,0238 3,2421 3,4029 3,5277 3,6373 3,7400 3,8346 3,9173 3,9852 4,0371 4,0727 4,0934 4,1036 4,1067 4,0940 4,0475 3,9563 3,8277 3,6834 3,5509 3,4544 3,4029 3,3856 3,3838 3,3761 3,3393 3,2587 3,1378 2,9932 2,8438 2,7059 2,5885 2,4849 2,3776 2,2555 2,1227 1,9987 1,9180 1,9157 2,0054 2,1723 2,3878 2,6276 2,8747 3,1139 3,3363 3,5536 3,7933 4,0719 4,3772 4,6807 4,9558 5,1826 5,3369 5,3905 5,3251 5,1376 4,8374 4,4456 3,9969 3,5423 3,1384 2,8192 2,5781 2,3867 2,2222 2,0775 1,9576 1,8646 1,7877 1,7087 1,6091 1,4716 1,2831 1,0428 0,7616 0,4577 0,1502 -0,1440 -0,4009 -0,5826 -0,6557 -0,6213 -0,5205 -0,4079 -0,3206 -0,2649 -0,2229 -0,1656 -0,0722 0,0585 0,2147 0,3861 0,5656 0,7411 0,8914 0,9942 1,0440 1,0615 1,0838 1,1506 1,2937 1,5253 1,8310 2,1819 2,5545 2,9354 3,3134 3,6729 3,9973 4,2774 4,5048 4,6573 4,6993 4,6017 4,3583 3,9871 3,5273 3,0400 2,5973 2,2558 2,0449 1,9684 2,0042 2,1102 2,2397 2,3557 2,4399 2,4916 2,5131 2,4994 2,4477 2,3725 2,3018 2,2586 2,2521 2,2877 2,3703 2,4937 2,6381 2,7850 2,9297 3,0809 3,2506 3,4424 3,6498 3,8664 4,0948 4,3426 4,6004 4,8262 4,9597 4,9524 4,7920 4,5096 4,1585 3,7782 3,3702 2,9044 2,3431 1,6620 0,8599 -0,0371 -0,9802 -1,9104 -2,7695 -3,5072 -4,0860 -4,4867 -4,7073 -4,7545 -4,6455 -4,4127 -4,0964 -3,7310 -3,3354 -2,9113 -2,4497 -1,9350 -1,3430 -0,6484 0,1588 1,0630 2,0266 3,0044 3,9611 4,8796 5,7566 6,5900 7,3687 8,0664 8,6419 9,0526 9,2779 9,3326 9,2586 9,1048 8,9116 8,7079 8,5172 8,3577 8,2304 8,1079 7,9397 7,6732 7,2842 6,8014 6,2979 5,8467 5,4806 5,1936 4,9616 4,7544 4,5387 4,2885 3,9947 3,6617 3,2992 2,9196 2,5346 2,1538 1,7849 1,4347 1,1122 0,8281 0,5885 0,3917 0,2347 0,1135 0,0187 -0,0584 -0,1198 -0,1671 -0,2073 -0,2506 -0,3043 -0,3701 -0,4467 -0,5350 -0,6391 -0,7627 -0,9046 -1,0548 -1,2038 -1,3602 -1,5534 -1,8194 -2,1867 -2,6657 -3,2428 -3,8878 -4,5648 -5,2400 -5,8875 -6,4882 -7,0203 -7,4557 -7,7694 -7,9498 -7,9995 -7,9359 -7,7998 -7,6491 -7,5383 -7,5020 -7,5409 -7,6104 -7,6366 -7,5519 -7,3195 -6,9376 -6,4322 -5,8472 -5,2331
F3    3,8492 3,9468 3,9637 3,8992 3,7529 3,5271 3,2218 2,8293 2,3449 1,7868 1,1967 0,6189 0,0807 -0,4067 -0,8373 -1,2044 -1,5027 -1,7339 -1,9054 -2,0235 -2,0907 -2,1078 -2,0796 -2,0142 -1,9156 -1,7758 -1,5806 -1,3230 -1,0109 -0,6675 -0,3275 -0,0287 0,2026 0,3611 0,4593 0,5139 0,5326 0,5101 0,4372 0,3102 0,1302 -0,1047 -0,3984 -0,7448 -1,1170 -1,4712 -1,7653 -1,9806 -2,1274 -2,2297 -2,3087 -2,3788 -2,4482 -2,5206 -2,5962 -2,6645 -2,6999 -2,6741 -2,5746 -2,4124 -2,2088 -1,9768 -1,7220 -1,4570 -1,2001 -0,9629 -0,7511 -0,5725 -0,4370 -0,3478 -0,2957 -0,2615 -0,2250 -0,1749 -0,1110 -0,0386 0,0361 0,1063 0,1653 0,2048 0,2119 0,1698 0,0654 -0,1038 -0,3289 -0,5913 -0,8659 -1,1248 -1,3449 -1,5139 -1,6316 -1,7021 -1,7289 -1,7181 -1,6830 -1,6426 -1,6162 -1,6197 -1,6684 -1,7826 -1,9831 -2,2799 -2,6681 -3,1350 -3,6661 -4,2443 -4,8464 -5,4373 -5,9724 -6,4104 -6,7250 -6,9059 -6,9562 -6,8885 -6,7190 -6,4621 -6,1253 -5,7085 -5,2116 -4,6408 -4,0096 -3,3401 -2,6560 -1,9688 -1,2707 -0,5432 0,2305 1,0606 1,9476 2,8765 3,8172 4,7345 5,6029 6,4165 7,1865 7,9257 8,6311 9,2828 9,8551 10,3221 10,6583 10,8521 10,9187 10,8919 10,7993 10,6488 10,4385 10,1728 9,8640 9,5205 9,1417 8,7220 8,2569 7,7450 7,1874 6,5937 5,9856 5,3932 4,8456 4,3645 3,9608 3,6340 3,3769 3,1819 3,0445 2,9646 2,9461 2,9914 3,0929 3,2286 3,3684 3,4850 3,5593 3,5807 3,5469 3,4640 3,3496 3,2300 3,1220 3,0172 2,8873 2,7032 2,4486 2,1208 1,7203 1,2473 0,7128 0,1416 -0,4437 -1,0334 -1,6228 -2,1999 -2,7436 -3,2319 -3,6518 -4,0053 -4,3126 -4,6054 -4,9103 -5,2365 -5,5758 -5,9070 -6,2026 -6,4415 -6,6152 -6,7241 -6,7733 -6,7750 -6,7497 -6,7164 -6,6813 -6,6385 -6,5808 -6,5041 -6,4103 -6,3074 -6,2072 -6,1214 -6,0611 -6,0348 -6,0401 -6,0615 -6,0779 -6,0740 -6,0454 -5,9988 -5,9448 -5,8835 -5,8011 -5,6810 -5,5166 -5,3124 -5,0769 -4,8199 -4,5567 -4,3064 -4,0781 -3,8627 -3,6423 -3,4080 -3,1633 -2,9110 -2,6420 -2,3383 -1,9872 -1,5900 -1,1610 -0,7258 -0,3165 0,0388 0,3263 0,5478 0,7142 0,8368 0,9217 0,9719 0,9931 0,9929 0,9792 0,9643 0,9638 0,9912 1,0536 1,1536 1,2890 1,4525 1,6306 1,8060 1,9639 2,0952 2,1911 2,2412 2,2431 2,2100 2,1603 2,1070 2,0580 2,0203 1,9996 1,9955 2,0018 2,0133 2,0322 2,0676 2,1296 2,2256 2,3586 2,5204 2,6876 2,8320 2,9392 3,0145 3,0728 3,1252 3,1736 3,2148 3,2466 3,2667 3,2668 3,2289 3,1300 2,9532 2,7035 2,4130 2,1255 1,8722 1,6638 1,4989 1,3710 1,2730 1,1976 1,1348 1,0734 1,0109 0,9602 0,9399 0,9586 1,0129 1,0991 1,2172 1,3689 1,5580 1,7859 2,0444 2,3131 2,5649 2,7753 2,9296 3,0272 3,0758 3,0809 3,0431 2,9640 2,8523 2,7229 2,5923 2,4750 2,3794 2,3098 2,2669 2,2469 2,2421 2,2448 2,2494 2,2499 2,2405 2,2174 2,1768 2,1119 2,0164 1,8860 1,7185 1,5183 1,3011 1,0902 0,9089 0,7736 0,6899 0,6471 0,6230 0,5973 0,5594 0,5099 0,4585 0,4183 0,3988 0,4060 0,4460 0,5221 0,6307 0,7633 0,9151 1,0914 1,2995 1,5339 1,7720 1,9865 2,1592 2,2834 2,3542 2,3616 2,2967 2,1604 1,9646 1,7305 1,4848 1,2584 1,0813 0,9669 0,9017 0,8573 0,8112 0,7570 0,6991 0,6397 0,5705 0,4778 0,3492 0,1754 -0,0448 -0,3007 -0,5733 -0,8415 -1,0864 -1,2941 -1,4500 -1,5331 -1,5275 -1,4409 -1,3076 -1,1708 -1,0604 -0,9849 -0,9353 -0,8914 -0,8344 -0,7586 -0,6693 -0,5737 -0,4762 -0,3829 -0,3030 -0,2454 -0,2103 -0,1850 -0,1477 -0,0742 0,0563 0,2536 0,5111 0,8096 1,1286 1,4522 1,7676 2,0616 2,3215 2,5404 2,7160 2,8399 2,8954 2,8652 2,7419 2,5335 2,2623 1,9634 1,6788 1,4449 1,2844 1,2065 1,2043 1,2570 1,3379 1,4236 1,5035 1,5806 1,6609 1,7426 1,8175 1,8810 1,9366 1,9908 2,0481 2,1138 2,1955 2,2957 2,4084 2,5269 2,6539 2,8008 2,9812 3,2015 3,4588 3,7466 4,0585 4,3867 4,7122 4,9990 5,2046 5,2945 5,2545 5,0942 4,8400 4,5159 4,1293 3,6708 3,1290 2,5004 1,7929 1,0281 0,2383 -0,5400 -1,2732 -1,9333 -2,4977 -2,9502 -3,2799 -3,4770 -3,5363 -3,4669 -3,2915 -3,0347 -2,7114 -2,3226 -1,8624 -1,3236 -0,6979 0,0202 0,8272 1,7062 2,6290 3,5639 4,4833 5,3687 6,2106 7,0038 7,7395 8,3998 8,9576 9,3854 9,6688 9,8141 9,8450 9,7917 9,6829 9,5408 9,3815 9,2147 9,0392 8,8394 8,5872 8,2546 7,8323 7,3439 6,8379 6,3595 5,9314 5,5573 5,2302 4,9355 4,6539 4,3681 4,0697 3,7587 3,4402 3,1218 2,8087 2,4983 2,1815 1,8483 1,4982 1,1447 0,8068 0,5001 0,2362 0,0240 -0,1342 -0,2436 -0,3125 -0,3536 -0,3835 -0,4184 -0,4698 -0,5431 -0,6427 -0,7735 -0,9388 -1,1360 -1,3533 -1,5701 -1,7669 -1,9388 -2,0989 -2,2713 -2,4813 -2,7442 -3,0594 -3,4151 -3,7958 -4,1884 -4,5865 -4,9889 -5,3893 -5,7691 -6,1014 -6,3620 -6,5351 -6,6193 -6,6330 -6,6116 -6,5919 -6,5981 -6,6281 -6,6497 -6,6167 -6,4925 -6,2630 -5,9357 -5,5313 -5,0767 -4,5979
F7    3,7180 3,8665 3,9089 3,8441 3,6794 3,4268 3,0956 2,6885 2,2109 1,6859 1,1536 0,6525 0,2041 -0,1879 -0,5278 -0,8211 -1,0726 -1,2869 -1,4675 -1,6150 -1,7273 -1,8038 -1,8482 -1,8643 -1,8461 -1,7729 -1,6191 -1,3690 -1,0290 -0,6292 -0,2175 0,1547 0,4489 0,6474 0,7492 0,7617 0,6917 0,5438 0,3290 0,0687 -0,2141 -0,5076 -0,8141 -1,1380 -1,4733 -1,7998 -2,0967 -2,3589 -2,5977 -2,8243 -3,0385 -3,2331 -3,4025 -3,5479 -3,6723 -3,7688 -3,8186 -3,8021 -3,7097 -3,5475 -3,3353 -3,0975 -2,8572 -2,6355 -2,4489 -2,3030 -2,1955 -2,1244 -2,0902 -2,0902 -2,1116 -2,1329 -2,1328 -2,1006 -2,0391 -1,9578 -1,8656 -1,7694 -1,6754 -1,5917 -1,5334 -1,5213 -1,5727 -1,6927 -1,8722 -2,0947 -2,3451 -2,6110 -2,8800 -3,1379 -3,3707 -3,5686 -3,7286 -3,8545 -3,9545 -4,0364 -4,1080 -4,1804 -4,2709 -4,4010 -4,5858 -4,8253 -5,1072 -5,4182 -5,7480 -6,0869 -6,4253 -6,7523 -7,0544 -7,3181 -7,5332 -7,6916 -7,7859 -7,8082 -7,7511 -7,6072 -7,3689 -7,0310 -6,5963 -6,0779 -5,4958 -4,8734 -4,2328 -3,5874 -2,9387 -2,2781 -1,5906 -0,8593 -0,0730 0,7683 1,6506 2,5503 3,4385 4,2879 5,0763 5,7867 6,4056 6,9260 7,3511 7,6885 7,9424 8,1160 8,2216 8,2807 8,3101 8,3111 8,2718 8,1776 8,0177 7,7865 7,4854 7,1212 6,6994 6,2212 5,6899 5,1201 4,5405 3,9852 3,4834 3,0551 2,7117 2,4570 2,2872 2,1921 2,1554 2,1571 2,1781 2,2024 2,2147 2,1970 2,1329 2,0117 1,8289 1,5861 1,2934 0,9690 0,6380 0,3272 0,0508 -0,1992 -0,4445 -0,7076 -1,0069 -1,3575 -1,7718 -2,2585 -2,8175 -3,4387 -4,1088 -4,8131 -5,5273 -6,2159 -6,8404 -7,3723 -7,7994 -8,1242 -8,3629 -8,5430 -8,6905 -8,8185 -8,9258 -9,0025 -9,0363 -9,0203 -8,9596 -8,8696 -8,7703 -8,6797 -8,6075 -8,5476 -8,4807 -8,3890 -8,2696 -8,1324 -7,9934 -7,8687 -7,7689 -7,6966 -7,6483 -7,6160 -7,5861 -7,5410 -7,4645 -7,3442 -7,1726 -6,9518 -6,6923 -6,4006 -6,0716 -5,6965 -5,2749 -4,8204 -4,3574 -3,9165 -3,5285 -3,2152 -2,9792 -2,7993 -2,6411 -2,4768 -2,2935 -2,0869 -1,8515 -1,5803 -1,2688 -0,9174 -0,5295 -0,1150 0,3053 0,7053 1,0635 1,3664 1,6053 1,7751 1,8739 1,9075 1,8897 1,8379 1,7736 1,7253 1,7241 1,7929 1,9381 2,1447 2,3784 2,5983 2,7726 2,8843 2,9294 2,9132 2,8482 2,7524 2,6454 2,5414 2,4410 2,3296 2,1880 2,0080 1,7996 1,5858 1,3911 1,2354 1,1326 1,0876 1,0957 1,1487 1,2398 1,3598 1,4918 1,6151 1,7178 1,8035 1,8821 1,9582 2,0312 2,1047 2,1882 2,2867 2,3885 2,4643 2,4784 2,4056 2,2498 2,0462 1,8419 1,6691 1,5320 1,4137 1,2950 1,1668 1,0280 0,8759 0,7074 0,5275 0,3534 0,2066 0,1031 0,0508 0,0525 0,1066 0,2050 0,3369 0,4906 0,6512 0,7983 0,9105 0,9748 0,9941 0,9852 0,9668 0,9464 0,9159 0,8598 0,7673 0,6364 0,4734 0,2895 0,0973 -0,0889 -0,2536 -0,3827 -0,4688 -0,5135 -0,5243 -0,5120 -0,4881 -0,4643 -0,4543 -0,4731 -0,5308 -0,6295 -0,7644 -0,9260 -1,1031 -1,2842 -1,4552 -1,6025 -1,7184 -1,8066 -1,8785 -1,9435 -2,0039 -2,0555 -2,0924 -2,1122 -2,1183 -2,1136 -2,0952 -2,0597 -2,0098 -1,9495 -1,8762 -1,7817 -1,6630 -1,5319 -1,4110 -1,3210 -1,2689 -1,2467 -1,2428 -1,2520 -1,2715 -1,2949 -1,3129 -1,3186 -1,3101 -1,2840 -1,2309 -1,1430 -1,0237 -0,8866 -0,7485 -0,6230 -0,5206 -0,4545 -0,4437 -0,5051 -0,6456 -0,8601 -1,1319 -1,4347 -1,7399 -2,0205 -2,2519 -2,4164 -2,5067 -2,5250 -2,4816 -2,3974 -2,3011 -2,2190 -2,1635 -2,1336 -2,1216 -2,1168 -2,1098 -2,0932 -2,0600 -2,0043 -1,9241 -1,8214 -1,6986 -1,5587 -1,4062 -1,2468 -1,0820 -0,9047 -0,7014 -0,4602 -0,1799 0,1275 0,4421 0,7466 1,0301 1,2867 1,5126 1,7079 1,8741 2,0074 2,0969 2,1310 2,1052 2,0269 1,9112 1,7768 1,6424 1,5215 1,4212 1,3479 1,3111 1,3172 1,3625 1,4349 1,5201 1,6070 1,6894 1,7642 1,8290 1,8838 1,9340 1,9873 2,0496 2,1258 2,2181 2,3211 2,4259 2,5306 2,6455 2,7891 2,9792 3,2234 3,5144 3,8333 4,1577 4,4677 4,7464 4,9769 5,1432 5,2331 5,2402 5,1637 5,0087 4,7816 4,4851 4,1177 3,6791 3,1736 2,6122 2,0151 1,4101 0,8259 0,2853 -0,1967 -0,6132 -0,9635 -1,2467 -1,4540 -1,5710 -1,5912 -1,5204 -1,3666 -1,1299 -0,8029 -0,3799 0,1365 0,7361 1,4038 2,1243 2,8835 3,6701 4,4744 5,2847 6,0848 6,8564 7,5844 8,2582 8,8687 9,4049 9,8535 10,2041 10,4533 10,6053 10,6725 10,6746 10,6336 10,5651 10,4719 10,3454 10,1701 9,9286 9,6085 9,2133 8,7691 8,3150 7,8826 7,4864 7,1289 6,8093 6,5272 6,2810 6,0658 5,8753 5,7013 5,5360 5,3755 5,2180 5,0575 4,8812 4,6717 4,4182 4,1263 3,8135 3,4972 3,1911 2,9083 2,6575 2,4395 2,2484 2,0751 1,9097 1,7432 1,5685 1,3813 1,1805 0,9694 0,7543 0,5424 0,3415 0,1621 0,0143 -0,1004 -0,1926 -0,2825 -0,3918 -0,5326 -0,7039 -0,8970 -1,1057 -1,3311 -1,5817 -1,8657 -2,1785 -2,4947 -2,7781 -2,9995 -3,1503 -3,2432 -3,3065 -3,3703 -3,4521 -3,5487 -3,6329 -3,6639 -3,6073 -3,4500 -3,1998 -2,8800 -2,5194 -2,1449 -1,7764
