Fp1   0,4801 0,5738 0,6286 0,6214 0,5439 0,3902 0,1500 -0,1757 -0,5512 -0,9072 -1,1806 -1,3477 -1,4086 -1,3593 -1,2051 -0,9827 -0,7431 -0,5205 -0,3214 -0,1336 0,0555 0,2480 0,4443 0,6510 0,8735 1,1051 1,3299 1,5338 1,7066 1,8322 1,8849 1,8399 1,6945 1,4783 1,2347 0,9920 0,7579 0,5253 0,2794 0,0067 -0,2951 -0,6094 -0,9090 -1,1779 -1,4154 -1,6167 -1,7605 -1,8166 -1,7722 -1,6519 -1,5060 -1,3741 -1,2565 -1,1177 -0,9235 -0,6849 -0,4569 -0,2915 -0,1989 -0,1581 -0,1443 -0,1327 -0,1024 -0,0576 -0,0275 -0,0388 -0,0986 -0,1942 -0,2971 -0,3676 -0,3671 -0,2827 -0,1361 0,0365 0,2109 0,3857 0,5684 0,7528 0,9179 1,0466 1,1369 1,1982 1,2495 1,3180 1,4250 1,5709 1,7366 1,8905 2,0010 2,0625 2,1075 2,1792 2,3024 2,4835 2,7229 3,0146 3,3347 3,6402 3,8850 4,0412 4,1035 4,0779 3,9801 3,8404 3,6923 3,5661 3,4942 3,5048 3,6072 3,7933 4,0471 4,3474 4,6683 4,9783 5,2407 5,4254 5,5250 5,5544 5,5342 5,4764 5,3829 5,2540 5,1005 4,9533 4,8520 4,8169 4,8315 4,8534 4,8373 4,7543 4,6078 4,4359 4,2899 4,2014 4,1713 4,1808 4,2026 4,2068 4,1698 4,0861 3,9707 3,8515 3,7655 3,7592 3,8762 4,1315 4,4948 4,8941 5,2364 5,4439 5,4916 5,4171 5,2980 5,2187 5,2394 5,3747 5,5967 5,8528 6,0802 6,2206 6,2372 6,1302 5,9395 5,7298 5,5615 5,4636 5,4222 5,3936 5,3338 5,2313 5,1197 5,0516 5,0577 5,1310 5,2411 5,3542 5,4407 5,4825 5,4834 5,4662 5,4555 5,4626 5,4852 5,5174 5,5493 5,5592 5,5275 5,4521 5,3464 5,2287 5,1202 5,0438 5,0217 5,0659 5,1755 5,3396 5,5329 5,7172 5,8595 5,9443 5,9744 5,9686 5,9507 5,9332 5,9100 5,8678 5,8053 5,7300 5,6421 5,5381 5,4260 5,3151 5,1844 4,9778 4,6452 4,1758 3,5966 2,9556 2,3066 1,6918 1,1390 0,6760 0,3267 0,0864 -0,0800 -0,2086 -0,3110 -0,3774 -0,3935 -0,3493 -0,2416 -0,0783 0,1115 0,2773 0,3658 0,3449 0,2132 -0,0070 -0,2862 -0,6045 -0,9465 -1,2770 -1,5333 -1,6537 -1,6187 -1,4574 -1,2102 -0,8989 -0,5360 -0,1480 0,2198 0,5219 0,7375 0,8840 1,0034 1,1251 1,2409 1,3187 1,3412 1,3291 1,3266 1,3666 1,4474 1,5368 1,6011 1,6309 1,6431 1,6739 1,7642 1,9317 2,1558 2,3940 2,6038 2,7546 2,8268 2,8071 2,6877 2,4737 2,1892 1,8733 1,5634 1,2835 1,0530 0,9002 0,8453 0,8684 0,9156 0,9316 0,8781 0,7393 0,5293 0,2955 0,0938 -0,0540 -0,1702 -0,2899 -0,4307 -0,5862 -0,7329 -0,8401 -0,8813 -0,8437 -0,7297 -0,5599 -0,3768 -0,2359 -0,1754 -0,1910 -0,2435 -0,2903 -0,3050 -0,2812 -0,2295 -0,1678 -0,1091 -0,0550 0,0066 0,1002 0,2480 0,4483 0,6707 0,8761 1,0377 1,1488 1,2182 1,2662 1,3189 1,3985 1,5179 1,6851 1,9043 2,1666 2,4407 2,6759 2,8252 2,8779 2,8673 2,8480 2,8775 3,0044 3,2403 3,5405 3,8373 4,0893 4,2824 4,4000 4,4160 4,3132 4,1006 3,8083 3,4645 3,0802 2,6550 2,1936 1,7177 1,2606 0,8538 0,5195 0,2707 0,1107 0,0281 -0,0025 -0,0088 -0,0130 -0,0342 -0,0868 -0,1686 -0,2494 -0,2832 -0,2447 -0,1472 -0,0220 0,1066 0,2286 0,3532 0,5056 0,7064 0,9466 1,1875 1,3862 1,5233 1,6041 1,6436 1,6575 1,6633 1,6856 1,7542 1,8970 2,1302 2,4418 2,7883 3,1185 3,3998 3,6214 3,7831 3,8860 3,9331 3,9334 3,8995 3,8449 3,7850 3,7333 3,6958 3,6691 3,6380 3,5806 3,4873 3,3733 3,2630 3,1663 3,0749 2,9702 2,8224 2,6037 2,3197 2,0120 1,7262 1,4906 1,3078 1,1495 0,9733 0,7522 0,4898 0,2155 -0,0333 -0,2323 -0,3760 -0,4671 -0,5084 -0,5091 -0,4858 -0,4479 -0,3914 -0,3124 -0,2243 -0,1534 -0,1117 -0,0799 -0,0252 0,0650 0,1808 0,3159 0,4853 0,7188 1,0400 1,4499 1,9287 2,4493 2,9860 3,5208 4,0498 4,5801 5,1058 5,5906 5,9807 6,2357 6,3500 6,3505 6,2815 6,1896 6,1066 6,0352 5,9552 5,8493 5,7244 5,5980 5,4718 5,3392 5,2024 5,0648 4,9159 4,7325 4,4894 4,1722 3,7845 3,3371 2,8373 2,2915 1,7065 1,0929 0,4802 -0,0918 -0,5978 -1,0271 -1,3700 -1,6208 -1,7808 -1,8543 -1,8571 -1,8225 -1,7883 -1,7787 -1,7943 -1,8149 -1,8140 -1,7687 -1,6575 -1,4567 -1,1524 -0,7502 -0,2671 0,2783 0,8576 1,4270 1,9369 2,3450 2,6241 2,7699 2,8060 2,7768 2,7331 2,7166 2,7463 2,8212 2,9335 3,0740 3,2324 3,4045 3,5966 3,8187 4,0749 4,3653 4,6895 5,0354 5,3686 5,6348 5,7727 5,7405 5,5408 5,2150 4,8251 4,4413 4,1240 3,9020 3,7626 3,6620 3,5555 3,4222 3,2702 3,1328 3,0577 3,0870 3,2335 3,4760 3,7791 4,1090 4,4291 4,6914 4,8506 4,8951 4,8557 4,7777 4,6887 4,5922 4,4765 4,3272 4,1379 3,9126 3,6654 3,4271 3,2408 3,1387 3,1234 3,1644 3,2133 3,2295 3,2038 3,1592 3,1281 3,1288 3,1603 3,2066 3,2474 3,2731 3,2887 3,3086 3,3522 3,4323 3,5392 3,6496 3,7453 3,8079 3,8161 3,7675 3,6900 3,6242 3,6097 3,6790 3,8351 4,0358 4,2128 4,3036 4,2692 4,1091 3,8664 3,6014 3,3483 3,0973 2,8193 2,5010
Fz    1,4147 1,2860 1,0670 0,7388 0,3134 -0,1777 -0,7055 -1,2428 -1,7441 -2,1416 -2,3741 -2,4115 -2,2600 -1,9601 -1,5827 -1,2079 -0,8929 -0,6550 -0,4728 -0,3044 -0,1158 0,1016 0,3427 0,6067 0,8951 1,2003 1,5009 1,7697 1,9858 2,1359 2,2084 2,1878 2,0594 1,8250 1,5164 1,1869 0,8841 0,6275 0,4103 0,2172 0,0388 -0,1295 -0,2947 -0,4705 -0,6737 -0,9135 -1,1726 -1,4048 -1,5653 -1,6469 -1,6743 -1,6708 -1,6396 -1,5705 -1,4609 -1,3301 -1,2123 -1,1323 -1,0911 -1,0775 -1,0872 -1,1213 -1,1728 -1,2265 -1,2750 -1,3281 -1,4031 -1,5062 -1,6262 -1,7356 -1,7947 -1,7623 -1,6158 -1,3654 -1,0468 -0,6981 -0,3442 -0,0013 0,3166 0,6049 0,8750 1,1516 1,4552 1,7835 2,1074 2,3891 2,6091 2,7794 2,9313 3,0943 3,2800 3,4762 3,6610 3,8193 3,9469 4,0497 4,1436 4,2429 4,3472 4,4427 4,5086 4,5255 4,4913 4,4251 4,3500 4,2838 4,2439 4,2458 4,2925 4,3718 4,4676 4,5720 4,6822 4,7922 4,8962 4,9936 5,0868 5,1753 5,2539 5,3158 5,3532 5,3523 5,3000 5,1993 5,0727 4,9463 4,8321 4,7212 4,5866 4,3999 4,1567 3,8807 3,6011 3,3400 3,1221 2,9751 2,9047 2,8846 2,8835 2,8930 2,9242 2,9947 3,1214 3,3139 3,5684 3,8699 4,1969 4,5231 4,8198 5,0652 5,2525 5,3865 5,4811 5,5670 5,6892 5,8788 6,1272 6,3886 6,6030 6,7157 6,6949 6,5513 6,3338 6,0980 5,8829 5,7074 5,5650 5,4305 5,2879 5,1494 5,0417 4,9853 4,9887 5,0522 5,1730 5,3437 5,5477 5,7651 5,9881 6,2194 6,4541 6,6810 6,8993 7,1184 7,3370 7,5328 7,6793 7,7631 7,7817 7,7330 7,6196 7,4619 7,3013 7,1790 7,1126 7,1011 7,1370 7,2017 7,2693 7,3243 7,3686 7,4145 7,4775 7,5714 7,6948 7,8225 7,9195 7,9564 7,9107 7,7710 7,5445 7,2450 6,8723 6,4153 5,8739 5,2653 4,6125 3,9411 3,2874 2,7023 2,2441 1,9595 1,8606 1,9116 2,0360 2,1508 2,2059 2,1902 2,1113 1,9877 1,8546 1,7519 1,6943 1,6535 1,5728 1,4029 1,1298 0,7738 0,3664 -0,0712 -0,5295 -0,9907 -1,4102 -1,7306 -1,9137 -1,9539 -1,8652 -1,6645 -1,3634 -0,9742 -0,5240 -0,0580 0,3698 0,7097 0,9274 1,0129 0,9869 0,8951 0,7961 0,7477 0,7912 0,9344 1,1530 1,4102 1,6788 1,9475 2,2139 2,4772 2,7361 2,9860 3,2179 3,4183 3,5703 3,6624 3,6960 3,6793 3,6148 3,4991 3,3297 3,1117 2,8674 2,6379 2,4710 2,3988 2,4165 2,4770 2,5131 2,4734 2,3408 2,1275 1,8628 1,5845 1,3299 1,1207 0,9616 0,8541 0,8029 0,8056 0,8496 0,9184 0,9988 1,0835 1,1684 1,2437 1,2905 1,2930 1,2550 1,1927 1,1125 1,0138 0,9151 0,8598 0,8857 0,9994 1,1783 1,3854 1,5839 1,7525 1,8913 2,0084 2,1042 2,1693 2,1931 2,1703 2,1053 2,0189 1,9492 1,9327 1,9821 2,0888 2,2367 2,4090 2,5903 2,7691 2,9386 3,0987 3,2615 3,4499 3,6899 4,0036 4,3981 4,8526 5,3232 5,7666 6,1435 6,4131 6,5456 6,5342 6,3887 6,1261 5,7695 5,3435 4,8676 4,3558 3,8283 3,3184 2,8622 2,4805 2,1772 1,9476 1,7820 1,6653 1,5800 1,5097 1,4428 1,3824 1,3489 1,3676 1,4493 1,5805 1,7345 1,8934 2,0562 2,2303 2,4245 2,6487 2,9089 3,2001 3,5023 3,7895 4,0480 4,2816 4,4941 4,6726 4,7939 4,8414 4,8199 4,7637 4,7254 4,7508 4,8625 5,0598 5,3287 5,6509 6,0027 6,3444 6,6214 6,7873 6,8336 6,7965 6,7318 6,6865 6,6856 6,7277 6,7893 6,8441 6,8777 6,8827 6,8471 6,7523 6,5864 6,3562 6,0781 5,7633 5,4211 5,0623 4,6916 4,3103 3,9242 3,5407 3,1676 2,8224 2,5297 2,3070 2,1555 2,0612 2,0009 1,9500 1,8867 1,7961 1,6760 1,5353 1,3916 1,2636 1,1619 1,0888 1,0455 1,0349 1,0567 1,1044 1,1765 1,2938 1,4964 1,8245 2,3009 2,9164 3,6222 4,3547 5,0722 5,7598 6,4103 7,0107 7,5388 7,9710 8,2902 8,4819 8,5337 8,4471 8,2429 7,9561 7,6272 7,2910 6,9688 6,6723 6,4153 6,2145 6,0767 5,9904 5,9321 5,8734 5,7860 5,6469 5,4392 5,1522 4,7852 4,3443 3,8350 3,2605 2,6207 1,9208 1,1851 0,4529 -0,2344 -0,8387 -1,3297 -1,6971 -1,9551 -2,1340 -2,2653 -2,3713 -2,4628 -2,5386 -2,5859 -2,5905 -2,5458 -2,4502 -2,3011 -2,0929 -1,8169 -1,4604 -1,0167 -0,4982 0,0602 0,6112 1,1110 1,5356 1,8860 2,1787 2,4307 2,6495 2,8430 3,0342 3,2562 3,5367 3,8872 4,2993 4,7481 5,2039 5,6386 6,0268 6,3556 6,6378 6,9038 7,1670 7,3989 7,5432 7,5501 7,4059 7,1409 6,8051 6,4407 6,0818 5,7624 5,5085 5,3260 5,2027 5,1182 5,0542 5,0053 4,9819 5,0033 5,0860 5,2321 5,4244 5,6391 5,8578 6,0651 6,2398 6,3579 6,4059 6,3887 6,3243 6,2311 6,1150 5,9676 5,7761 5,5360 5,2577 4,9649 4,6960 4,4983 4,4028 4,4026 4,4580 4,5178 4,5427 4,5154 4,4388 4,3306 4,2200 4,1397 4,1083 4,1248 4,1837 4,2838 4,4186 4,5704 4,7204 4,8543 4,9581 5,0185 5,0324 5,0157 5,0007 5,0205 5,0909 5,2100 5,3640 5,5254 5,6507 5,6938 5,6225 5,4318 5,1439 4,7937 4,4192 4,0603 3,7481 3,4914 3,2769
F3    1,2490 1,2200 1,1367 0,9708 0,7119 0,3655 -0,0593 -0,5510 -1,0748 -1,5658 -1,9558 -2,1971 -2,2614 -2,1405 -1,8618 -1,4913 -1,1021 -0,7396 -0,4126 -0,1097 0,1770 0,4475 0,7111 0,9847 1,2704 1,5455 1,7746 1,9274 1,9874 1,9510 1,8263 1,6297 1,3763 1,0781 0,7534 0,4355 0,1650 -0,0322 -0,1534 -0,2075 -0,2108 -0,1942 -0,2006 -0,2699 -0,4289 -0,6893 -1,0302 -1,3759 -1,6294 -1,7496 -1,7733 -1,7598 -1,7331 -1,6741 -1,5551 -1,3818 -1,2063 -1,0867 -1,0318 -1,0071 -0,9890 -0,9821 -0,9911 -1,0098 -1,0378 -1,0886 -1,1764 -1,2997 -1,4387 -1,5597 -1,6183 -1,5742 -1,4075 -1,1249 -0,7577 -0,3499 0,0537 0,4111 0,6919 0,8964 1,0584 1,2229 1,4223 1,6695 1,9530 2,2385 2,4878 2,6795 2,8157 2,9265 3,0571 3,2274 3,4118 3,5700 3,6886 3,7864 3,8933 4,0259 4,1782 4,3269 4,4426 4,4989 4,4844 4,4102 4,3042 4,2034 4,1434 4,1387 4,1725 4,2186 4,2757 4,3666 4,4962 4,6317 4,7382 4,8121 4,8708 4,9256 4,9757 5,0194 5,0495 5,0453 4,9956 4,9273 4,8854 4,8865 4,9006 4,8761 4,7717 4,5715 4,2902 3,9708 3,6667 3,4220 3,2615 3,1856 3,1716 3,1853 3,2073 3,2513 3,3529 3,5389 3,8115 4,1473 4,5024 4,8308 5,1010 5,2911 5,3838 5,3810 5,3150 5,2346 5,1850 5,2078 5,3367 5,5720 5,8655 6,1428 6,3411 6,4317 6,4234 6,3531 6,2566 6,1481 6,0367 5,9440 5,8793 5,8097 5,6789 5,4609 5,1869 4,9230 4,7317 4,6440 4,6603 4,7711 4,9717 5,2628 5,6468 6,1078 6,5868 7,0019 7,3062 7,5107 7,6483 7,7386 7,7897 7,8060 7,7790 7,6800 7,4832 7,2080 6,9254 6,7079 6,5886 6,5749 6,6611 6,8108 6,9663 7,0882 7,1697 7,2191 7,2500 7,2801 7,3175 7,3539 7,3785 7,3760 7,3108 7,1448 6,8725 6,5129 6,0770 5,5664 4,9947 4,3861 3,7544 3,1021 2,4480 1,8467 1,3738 1,0884 0,9991 1,0491 1,1387 1,1830 1,1574 1,0856 0,9986 0,9178 0,8667 0,8695 0,9174 0,9526 0,9058 0,7446 0,4876 0,1839 -0,1255 -0,4317 -0,7405 -1,0350 -1,2669 -1,3918 -1,4034 -1,3299 -1,1954 -0,9912 -0,6854 -0,2666 0,2272 0,7231 1,1426 1,4200 1,5182 1,4432 1,2474 1,0082 0,8028 0,6980 0,7415 0,9461 1,2812 1,6862 2,0984 2,4741 2,7877 3,0238 3,1751 3,2492 3,2808 3,3237 3,4122 3,5346 3,6445 3,6850 3,6194 3,4539 3,2235 2,9593 2,6845 2,4360 2,2756 2,2656 2,4171 2,6613 2,8847 2,9985 2,9754 2,8302 2,5864 2,2759 1,9458 1,6375 1,3710 1,1602 1,0294 1,0075 1,1114 1,3299 1,6192 1,9138 2,1534 2,3067 2,3685 2,3399 2,2267 2,0531 1,8566 1,6720 1,5290 1,4584 1,4844 1,6095 1,8100 2,0395 2,2466 2,4086 2,5463 2,6976 2,8734 3,0366 3,1279 3,1077 2,9736 2,7610 2,5376 2,3791 2,3347 2,4217 2,6308 2,9201 3,2232 3,4754 3,6359 3,7093 3,7518 3,8398 4,0328 4,3618 4,8198 5,3558 5,9043 6,4193 6,8628 7,1855 7,3427 7,3163 7,1218 6,8018 6,4049 5,9584 5,4639 4,9168 4,3267 3,7184 3,1207 2,5663 2,1045 1,7927 1,6587 1,6722 1,7666 1,8846 1,9974 2,0971 2,1885 2,2899 2,4254 2,6014 2,7965 2,9790 3,1305 3,2519 3,3585 3,4648 3,5687 3,6513 3,6961 3,7111 3,7291 3,7790 3,8600 3,9467 4,0085 4,0220 3,9857 3,9377 3,9455 4,0659 4,3176 4,6815 5,1098 5,5452 5,9409 6,2655 6,4937 6,6114 6,6304 6,5937 6,5543 6,5476 6,5844 6,6536 6,7219 6,7457 6,6983 6,5897 6,4560 6,3261 6,2056 6,0832 5,9383 5,7512 5,5206 5,2604 4,9780 4,6739 4,3592 4,0514 3,7605 3,4895 3,2459 3,0477 2,9116 2,8295 2,7679 2,6953 2,5993 2,4809 2,3492 2,2236 2,1274 2,0742 2,0536 2,0311 1,9751 1,8822 1,7718 1,6700 1,6057 1,6148 1,7402 2,0249 2,4909 3,1075 3,7927 4,4638 5,0813 5,6405 6,1448 6,5956 6,9877 7,3007 7,5035 7,5777 7,5368 7,4222 7,2868 7,1753 7,1022 7,0448 6,9659 6,8529 6,7341 6,6528 6,6232 6,6187 6,6023 6,5516 6,4571 6,3102 6,0908 5,7685 5,3239 4,7604 4,0982 3,3703 2,6139 1,8594 1,1359 0,4711 -0,1207 -0,6335 -1,0614 -1,3994 -1,6411 -1,7749 -1,7960 -1,7187 -1,5767 -1,4160 -1,2769 -1,1697 -1,0715 -0,9543 -0,8070 -0,6212 -0,3704 -0,0268 0,4105 0,9102 1,4174 1,8697 2,2260 2,4871 2,6805 2,8282 2,9365 3,0091 3,0713 3,1792 3,3911 3,7303 4,1800 4,7032 5,2624 5,8272 6,3617 6,8216 7,1842 7,4728 7,7279 7,9553 8,1156 8,1615 8,0658 7,8308 7,4904 7,0931 6,6805 6,2888 5,9567 5,7116 5,5526 5,4563 5,3981 5,3681 5,3695 5,4025 5,4574 5,5266 5,6065 5,6931 5,7942 5,9293 6,1045 6,2973 6,4700 6,5938 6,6562 6,6511 6,5675 6,3934 6,1292 5,7933 5,4156 5,0276 4,6560 4,3299 4,0863 3,9504 3,9151 3,9498 4,0217 4,1044 4,1762 4,2270 4,2679 4,3271 4,4316 4,5838 4,7572 4,9233 5,0760 5,2260 5,3855 5,5581 5,7362 5,9061 6,0507 6,1485 6,1870 6,1813 6,1696 6,1846 6,2354 6,3126 6,3950 6,4478 6,4274 6,2994 6,0557 5,7178 5,3270 4,9363 4,5982 4,3437 4,1690 4,0379
F7    -0,1976 -0,6050 -0,9487 -1,1825 -1,2873 -1,2871 -1,2358 -1,1808 -1,1283 -1,0505 -0,9278 -0,7656 -0,5709 -0,3471 -0,1159 0,0828 0,2121 0,2588 0,2518 0,2480 0,2852 0,3660 0,4733 0,5711 0,6099 0,5710 0,5009 0,4920 0,6243 0,9009 1,2340 1,5101 1,6606 1,6659 1,5275 1,2705 0,9532 0,6458 0,4029 0,2430 0,1344 0,0078 -0,1895 -0,4445 -0,6834 -0,8217 -0,8197 -0,7182 -0,6142 -0,5820 -0,6295 -0,7301 -0,8676 -1,0450 -1,2662 -1,5142 -1,7411 -1,8881 -1,9158 -1,8049 -1,5355 -1,1064 -0,5801 -0,0813 0,2622 0,3788 0,2768 0,0236 -0,2815 -0,5109 -0,5449 -0,3525 -0,0225 0,3010 0,5142 0,5946 0,5798 0,5175 0,4310 0,3314 0,2513 0,2455 0,3428 0,5052 0,6523 0,7264 0,7375 0,7731 0,9648 1,4011 2,0412 2,7380 3,3483 3,7944 4,0493 4,1250 4,0638 3,9086 3,6993 3,4884 3,3253 3,2339 3,2181 3,2729 3,3802 3,4959 3,5499 3,4753 3,2501 2,9215 2,6052 2,4516 2,5770 2,9998 3,6254 4,2908 4,8478 5,2211 5,4039 5,4452 5,4494 5,5340 5,7447 6,0349 6,3205 6,5052 6,4899 6,2157 5,7052 5,0651 4,4365 3,9187 3,5463 3,3238 3,2402 3,2548 3,3123 3,3709 3,3956 3,3600 3,2819 3,2312 3,2899 3,5118 3,8959 4,3704 4,8129 5,1181 5,2552 5,2636 5,2162 5,1861 5,2186 5,3059 5,3954 5,4419 5,4434 5,4297 5,4422 5,5131 5,6259 5,7102 5,7128 5,6512 5,5735 5,5046 5,4527 5,4438 5,5269 5,7331 6,0285 6,3054 6,4408 6,3881 6,2061 5,9929 5,8059 5,6477 5,5210 5,4738 5,5725 5,8320 6,1739 6,4621 6,5898 6,5413 6,3737 6,1551 5,9403 5,7840 5,7392 5,8275 6,0252 6,2865 6,5687 6,8406 7,0855 7,2788 7,3668 7,3035 7,0962 6,7918 6,4479 6,1356 5,9383 5,9003 5,9747 6,0692 6,1350 6,1549 6,0928 5,9086 5,5602 4,9904 4,1830 3,2199 2,2444 1,3867 0,7213 0,2625 -0,0163 -0,1422 -0,1162 0,0634 0,3580 0,6739 0,8890 0,9135 0,7374 0,4142 0,0248 -0,3338 -0,5691 -0,6394 -0,5744 -0,4382 -0,2701 -0,0791 0,1151 0,2668 0,3121 0,1953 -0,0688 -0,3609 -0,5215 -0,4446 -0,1207 0,3568 0,8394 1,2269 1,5086 1,7171 1,8842 2,0277 2,1545 2,2681 2,3628 2,4149 2,4059 2,3700 2,3845 2,4946 2,6719 2,8439 2,9492 2,9699 2,9222 2,8335 2,7474 2,7197 2,7729 2,8699 2,9459 2,9673 2,9633 2,9970 3,0992 3,2325 3,3307 3,3686 3,3704 3,3538 3,2993 3,1765 2,9767 2,7074 2,3872 2,0516 1,7274 1,4171 1,1363 0,9193 0,7769 0,6892 0,6414 0,6486 0,7224 0,8230 0,8814 0,8698 0,8184 0,7784 0,7924 0,8914 1,0958 1,3992 1,7466 2,0483 2,2283 2,2642 2,1984 2,1216 2,1252 2,2387 2,4060 2,5348 2,5702 2,5122 2,3730 2,1609 1,9172 1,7169 1,6231 1,6715 1,8734 2,1929 2,5358 2,7858 2,8643 2,7767 2,6197 2,5294 2,5999 2,8428 3,2035 3,5916 3,9211 4,1650 4,3649 4,5714 4,7907 4,9856 5,1024 5,0950 4,9446 4,6836 4,3957 4,1563 3,9709 3,7997 3,6194 3,4293 3,2294 3,0203 2,8116 2,6334 2,5358 2,5476 2,6278 2,6706 2,5668 2,2670 1,8084 1,2970 0,8544 0,5748 0,5006 0,5953 0,7640 0,9125 0,9851 0,9845 0,9717 1,0086 1,0974 1,2090 1,3508 1,5553 1,8124 2,0551 2,2078 2,2439 2,2087 2,1919 2,2697 2,4482 2,6520 2,7897 2,8357 2,8234 2,7758 2,6899 2,5863 2,5195 2,5327 2,6384 2,8186 3,0223 3,1930 3,3103 3,3950 3,4723 3,5305 3,5277 3,4406 3,2942 3,1329 2,9742 2,8060 2,6157 2,4019 2,1677 1,9240 1,6901 1,4765 1,2734 1,0687 0,8654 0,6700 0,4779 0,2858 0,1009 -0,0765 -0,2521 -0,4065 -0,4868 -0,4467 -0,2881 -0,0552 0,1969 0,4157 0,5527 0,5678 0,4311 0,1435 -0,2326 -0,5892 -0,8322 -0,9217 -0,8632 -0,6814 -0,4105 -0,0932 0,2171 0,4764 0,6929 0,9232 1,2209 1,6035 2,0554 2,5449 3,0315 3,4726 3,8503 4,1646 4,3947 4,5037 4,4735 4,3200 4,0884 3,8425 3,6546 3,5738 3,5786 3,5947 3,5757 3,5386 3,5176 3,5097 3,4751 3,3796 3,2290 3,0538 2,8693 2,6674 2,4357 2,1674 1,8444 1,4308 0,9032 0,2752 -0,4056 -1,0759 -1,6808 -2,1805 -2,5407 -2,7439 -2,8032 -2,7613 -2,6883 -2,6499 -2,6521 -2,6309 -2,5113 -2,2760 -1,9653 -1,6186 -1,2462 -0,8455 -0,4127 0,0442 0,4875 0,8666 1,1501 1,3216 1,3748 1,3420 1,3111 1,3897 1,6351 1,9984 2,3500 2,5787 2,6666 2,6832 2,7239 2,8400 3,0100 3,1630 3,2160 3,1127 2,8693 2,5944 2,4316 2,4695 2,7023 3,0483 3,3898 3,6257 3,7322 3,7611 3,7575 3,7063 3,5727 3,3610 3,1119 2,8611 2,6215 2,4027 2,2391 2,1866 2,2806 2,4923 2,7368 2,9263 3,0222 3,0529 3,0907 3,2000 3,3937 3,6330 3,8612 4,0387 4,1490 4,1716 4,0747 3,8415 3,4876 3,0637 2,6432 2,2835 2,0107 1,8500 1,8403 1,9968 2,2758 2,5895 2,8619 3,0725 3,2462 3,3979 3,5044 3,5424 3,5324 3,5260 3,5605 3,6346 3,7227 3,7878 3,7923 3,7362 3,6592 3,5963 3,5743 3,6371 3,8353 4,1876 4,6466 5,0884 5,3618 5,3723 5,1163 4,6623 4,1227 3,6057 3,1622 2,7876 2,4638 2,1831 1,9468
