Fp1   2,6021 2,9880 2,8051 2,0945 1,0480 -0,0755 -1,0349 -1,6458 -1,7466 -1,1892 0,0439 1,7379 3,5200 5,0324 6,0592 6,5418 6,5002 5,9747 5,0500 3,8703 2,5936 1,3608 0,3259 -0,3372 -0,5201 -0,2756 0,1682 0,4841 0,3764 -0,2979 -1,4514 -2,7761 -3,9012 -4,5781 -4,7160 -4,3373 -3,5930 -2,7801 -2,2430 -2,1600 -2,4013 -2,6603 -2,7294 -2,6087 -2,4197 -2,2738 -2,1545 -1,9194 -1,4717 -0,8792 -0,2977 0,1378 0,3420 0,2980 0,0873 -0,1091 -0,0711 0,3314 1,0326 1,8153 2,4614 2,8475 2,9284 2,6704 2,0213 0,9736 -0,3412 -1,6634 -2,7127 -3,2850 -3,2970 -2,7625 -1,7273 -0,2753 1,3802 2,8771 3,8419 4,0552 3,4978 2,2965 0,6650 -1,1168 -2,7160 -3,8026 -4,1408 -3,6993 -2,7170 -1,5981 -0,7068 -0,2612 -0,3083 -0,7104 -1,2260 -1,6504 -1,8751 -1,8992 -1,8686 -2,0529 -2,7026 -3,9272 -5,6792 -7,7672 -9,8636 -11,5673 -12,5462 -12,6824 -12,0953 -11,0433 -9,8433 -8,8631 -8,4767 -8,9209 -10,1375 -11,7477 -13,2170 -14,0951 -14,1838 -13,5438 -12,3699 -10,8977 -9,3766 -8,0071 -6,8594 -5,8601 -4,8457 -3,6537 -2,1986 -0,4830 1,4239 3,4080 5,3461 7,1521 8,7865 10,2237 11,4450 12,4560 13,2654 13,8471 14,1980 14,4479 14,8201 15,4444 16,2579 17,0708 17,6721 17,9053 17,7222 17,2024 16,5362 15,9652 15,6895 15,7953 16,2433 16,9113 17,6366 18,2561 18,6722 18,8871 18,9469 18,8624 18,5957 18,1142 17,4429 16,6937 16,0541 15,6996 15,6748 15,8522 15,9778 15,7738 15,0629 13,8643 12,4052 11,0138 9,9396 9,2500 8,8587 8,6015 8,3170 7,9412 7,5379 7,2134 7,0308 6,9984 7,0661 7,1070 6,9311 6,3615 5,3692 4,1209 2,8277 1,6162 0,6081 0,0143 0,0617 0,8221 2,0976 3,5012 4,6776 5,4420 5,7729 5,7519 5,5008 5,1462 4,8216 4,6590 4,7695 5,2369 6,0978 7,2811 8,5763 9,7083 10,4723 10,8133 10,8131 10,6025 10,2492 9,7400 9,0820 8,3505 7,6317 6,9657 6,3330 5,7006 5,1119 4,6851 4,4827 4,4261 4,3638 4,2001 3,9499 3,6881 3,4597 3,2506 3,0373 2,8384 2,7157 2,7403 2,9462 3,3074 3,7676 4,2779 4,7991 5,2829 5,6819 5,9701 6,1169 6,0618 5,7651 5,2871 4,8008 4,5196 4,5721 4,9328 5,4698 6,0005 6,2993 6,1636 5,5599 4,6937 3,9053 3,4771 3,4982 3,8883 4,5391 5,3882 6,3575 7,2994 8,0508 8,5279 8,7666 8,8813 8,9589 8,9753 8,8265 8,4345 7,8349 7,2038 6,7788 6,7080 6,9687 7,4246 7,9315 8,3961 8,7577 8,9499 8,9459 8,8462 8,8319 8,9772 9,1212 8,9856 8,4936 7,9372 7,7491 8,1546 9,0681 10,2113 11,2503 11,8884 11,9402 11,4032 10,4745 9,4411 8,5095 7,7311 7,0509 6,4170 5,8599 5,4447 5,1677 4,9784 4,9155 5,1284 5,7174 6,6091 7,5943 8,4285 8,9074 8,9091 8,4151 7,5377 6,5312 5,7087 5,2915 5,3536 5,8925 6,8561 8,0896 9,3339 10,3053 10,7900 10,7147 10,1617 9,3397 8,5556 8,1319 8,2230 8,7054 9,3039 9,8179 10,2281 10,6346 11,1133 11,6251 12,0509 12,2749 12,2000 11,7386 10,8539 9,6109 8,1951 6,8812 5,9123 5,3614 5,1064 4,9143 4,5607 3,9750 3,3248 2,9217 3,0160 3,6733 4,7961 6,1909 7,6306 8,9309 9,9886 10,7086 10,9142 10,4179 9,1965 7,4692 5,6145 4,0137 2,9372 2,5195 2,7656 3,5460 4,6306 5,7777 6,8275 7,7322 8,5142 9,2205 9,9170 10,6725 11,4768 12,1507 12,3878 11,9647 10,9421 9,6645 8,5584 7,8658 7,5129 7,2164 6,6768 5,6932 4,2452 2,5604 1,0607 0,1825 0,1922 1,0788 2,5654 4,2523 5,7902 6,9731 7,7311 8,0627 7,9641 7,4338 6,5564 5,5379 4,6177 3,9828 3,7764 4,1021 4,9485 6,1228 7,2997 8,1807 8,6407 8,7717 8,8413 9,1621 9,8790 10,8458 11,7091 12,0992 11,8059 10,8619 9,4891 7,9614 6,4910 5,2126 4,2150 3,5358 3,1804 3,1593 3,4559 4,0009 4,7050 5,4642 6,1435 6,6136 6,7962 6,6553 6,1880 5,4691 4,7115 4,2250 4,2457 4,7988 5,7164 6,7111 7,4545 7,7096 7,4423 6,7857 5,9185 5,0237 4,3096 3,9232 3,8184 3,8004 3,7164 3,5681 3,4570 3,4520 3,5147 3,5258 3,3269 2,7513 1,6973 0,1991 -1,5690 -3,3593 -4,9633 -6,2716 -7,2529 -7,9580 -8,5399 -9,1618 -9,8395 -10,3997 -10,5708 -10,1257 -9,0254 -7,4577 -5,7255 -4,1075 -2,8046 -1,9685 -1,7037 -1,9800 -2,5826 -3,2416 -3,8025 -4,2101 -4,3954 -4,2710 -3,7850 -2,9201 -1,6960 -0,2345 1,2460 2,5860 3,7835 4,8837 5,8376 6,5216 6,8656 6,9333 6,8603 6,7498 6,6661 6,6835 6,8880 7,3169 7,8924 8,4277 8,7223 8,6707 8,2865 7,6481 6,8484 5,9840 5,1540 4,4483 3,9232 3,5948 3,4881 3,6876 4,2901 5,2904 6,5302 7,7582 8,7077 9,1123 8,7416 7,5471 5,7770 3,8600 2,1703 0,9333 0,2524 0,1097 0,3474 0,6934 0,8332 0,5067 -0,3836 -1,7143 -3,2182 -4,6562 -5,9089 -6,9026 -7,5124 -7,5960 -7,1118 -6,1746 -4,9997 -3,8132 -2,7907 -2,0221 -1,5097 -1,2287 -1,2067 -1,5291 -2,2406 -3,2172 -4,1755 -4,8676 -5,2312 -5,3382 -5,2784 -5,1113 -4,8639 -4,5577 -4,2485 -4,0165 -3,9094 -3,9296 -4,0625 -4,2614 -4,4145 -4,3893 -4,1330 -3,7077 -3,2660 -3,0162 -3,1149 -3,5238 -4,0039 -4,2412 -3,9931 -3,2330 -2,2069
Fz    1,5793 1,7131 1,6807 1,4876 1,1870 0,8595 0,5764 0,3786 0,2982 0,3807 0,6504 1,0587 1,4960 1,8548 2,0768 2,1562 2,1131 1,9741 1,7725 1,5439 1,3121 1,0899 0,9026 0,7986 0,8125 0,9193 1,0288 1,0220 0,8054 0,3529 -0,2723 -0,9339 -1,4924 -1,8700 -2,0485 -2,0402 -1,8907 -1,6878 -1,5408 -1,5251 -1,6320 -1,7905 -1,9384 -2,0575 -2,1607 -2,2616 -2,3367 -2,3220 -2,1719 -1,9090 -1,6061 -1,3452 -1,1924 -1,1768 -1,2756 -1,4238 -1,5437 -1,5780 -1,5096 -1,3601 -1,1731 -0,9974 -0,8795 -0,8678 -1,0117 -1,3323 -1,7875 -2,2795 -2,7007 -2,9772 -3,0849 -3,0302 -2,8237 -2,4894 -2,1003 -1,7794 -1,6482 -1,7747 -2,1558 -2,7269 -3,3874 -4,0297 -4,5598 -4,9058 -5,0178 -4,8802 -4,5386 -4,0968 -3,6712 -3,3497 -3,1673 -3,0919 -3,0448 -2,9517 -2,7806 -2,5565 -2,3618 -2,3096 -2,4952 -2,9609 -3,6853 -4,5906 -5,5579 -6,4491 -7,1472 -7,5991 -7,8194 -7,8592 -7,7886 -7,6981 -7,6878 -7,8283 -8,1138 -8,4557 -8,7272 -8,8210 -8,6894 -8,3441 -7,8233 -7,1812 -6,5049 -5,8976 -5,4293 -5,1055 -4,8724 -4,6487 -4,3589 -3,9480 -3,3815 -2,6453 -1,7518 -0,7444 0,3080 1,3266 2,2464 3,0351 3,6889 4,2113 4,6171 4,9610 5,3308 5,7936 6,3563 6,9675 7,5401 7,9896 8,2773 8,4265 8,5028 8,5830 8,7306 8,9801 9,3294 9,7431 10,1681 10,5618 10,9188 11,2638 11,6096 11,9204 12,1180 12,1225 11,8974 11,4791 10,9739 10,5064 10,1588 9,9469 9,8231 9,6932 9,4640 9,0975 8,6268 8,1223 7,6411 7,2035 6,8060 6,4419 6,1176 5,8624 5,7118 5,6728 5,7138 5,7860 5,8353 5,7984 5,6164 5,2696 4,8128 4,3601 4,0078 3,7829 3,6822 3,7298 3,9722 4,4195 4,9967 5,5653 6,0010 6,2472 6,3173 6,2695 6,1738 6,0874 6,0430 6,0471 6,0896 6,1669 6,2897 6,4603 6,6476 6,7992 6,8761 6,8670 6,7840 6,6556 6,5074 6,3475 6,1750 5,9940 5,8111 5,6269 5,4276 5,1924 4,9253 4,6657 4,4487 4,2641 4,0654 3,8115 3,4952 3,1369 2,7640 2,4007 2,0734 1,8212 1,6943 1,7306 1,9255 2,2320 2,5914 2,9587 3,3005 3,5866 3,7981 3,9368 4,0107 4,0103 3,9162 3,7327 3,5076 3,3105 3,1885 3,1448 3,1565 3,1878 3,1846 3,0883 2,8839 2,6355 2,4613 2,4635 2,6706 3,0369 3,4942 3,9904 4,4794 4,8992 5,1842 5,3003 5,2699 5,1523 4,9906 4,7854 4,5219 4,2018 3,8515 3,5243 3,2966 3,2316 3,3372 3,5637 3,8409 4,1099 4,3291 4,4697 4,5302 4,5568 4,6230 4,7601 4,9015 4,9206 4,7577 4,5025 4,3252 4,3413 4,5528 4,8808 5,2180 5,4633 5,5479 5,4601 5,2517 5,0024 4,7666 4,5547 4,3528 4,1579 3,9973 3,9027 3,8646 3,8401 3,8133 3,8197 3,8954 4,0305 4,1794 4,2872 4,3060 4,2090 4,0061 3,7482 3,5135 3,3784 3,3851 3,5349 3,8053 4,1559 4,5227 4,8308 5,0207 5,0708 5,0033 4,8680 4,7188 4,6070 4,5770 4,6399 4,7622 4,8979 5,0325 5,1880 5,3900 5,6259 5,8332 5,9344 5,8806 5,6597 5,2815 4,7746 4,1866 3,5825 3,0404 2,6224 2,3393 2,1539 2,0116 1,8684 1,7139 1,5849 1,5486 1,6631 1,9476 2,3805 2,9051 3,4412 3,9104 4,2575 4,4371 4,3941 4,0880 3,5392 2,8423 2,1324 1,5381 1,1565 1,0465 1,2161 1,6096 2,1249 2,6586 3,1412 3,5455 3,8761 4,1590 4,4343 4,7404 5,0753 5,3617 5,4704 5,3046 4,8739 4,2983 3,7440 3,3302 3,0762 2,9277 2,8108 2,6560 2,4197 2,1156 1,8185 1,6295 1,6324 1,8584 2,2689 2,7745 3,2793 3,7178 4,0597 4,2871 4,3713 4,2834 4,0296 3,6629 3,2587 2,8911 2,6309 2,5360 2,6194 2,8283 3,0692 3,2660 3,3973 3,4912 3,6023 3,7831 4,0468 4,3504 4,6171 4,7737 4,7814 4,6499 4,4240 4,1516 3,8642 3,5861 3,3495 3,1833 3,1027 3,1105 3,1893 3,3036 3,4201 3,5117 3,5470 3,4986 3,3632 3,1599 2,9171 2,6796 2,5247 2,5451 2,7922 3,2393 3,7950 4,3286 4,6982 4,8066 4,6508 4,3074 3,8721 3,4235 3,0209 2,6916 2,4153 2,1529 1,8994 1,6983 1,6031 1,6307 1,7483 1,8958 2,0052 2,0069 1,8463 1,5070 1,0200 0,4523 -0,1247 -0,6533 -1,0897 -1,4201 -1,6798 -1,9268 -2,1855 -2,4213 -2,5573 -2,5177 -2,2792 -1,8909 -1,4498 -1,0624 -0,8208 -0,7927 -1,0107 -1,4449 -1,9917 -2,5214 -2,9395 -3,1846 -3,2011 -2,9556 -2,4641 -1,7764 -0,9490 -0,0468 0,8513 1,6788 2,4060 3,0231 3,5145 3,8630 4,0737 4,1856 4,2490 4,2951 4,3411 4,4192 4,5808 4,8635 5,2587 5,7106 6,1445 6,4946 6,7101 6,7506 6,6017 6,2984 5,9218 5,5652 5,2968 5,1447 5,1140 5,2099 5,4334 5,7613 6,1403 6,4979 6,7520 6,8135 6,6077 6,1306 5,4770 4,7839 4,1536 3,6397 3,2640 3,0130 2,8397 2,6811 2,4725 2,1626 1,7401 1,2541 0,7874 0,4008 0,1070 -0,0998 -0,2015 -0,1586 0,0473 0,3823 0,7685 1,1193 1,3777 1,5360 1,6276 1,6923 1,7398 1,7348 1,6244 1,3963 1,1014 0,8104 0,5654 0,3779 0,2454 0,1576 0,1028 0,0732 0,0588 0,0421 0,0023 -0,0799 -0,2183 -0,4014 -0,5812 -0,6958 -0,7045 -0,6037 -0,4354 -0,2823 -0,2223 -0,2709 -0,3708 -0,4226 -0,3278 -0,0448 0,3780
F3    1,7552 1,9061 1,9274 1,7790 1,4756 1,0857 0,6936 0,3683 0,1744 0,1831 0,4256 0,8439 1,3154 1,7271 2,0254 2,2138 2,3131 2,3309 2,2646 2,1134 1,8809 1,5823 1,2640 1,0053 0,8694 0,8477 0,8548 0,7720 0,5058 0,0302 -0,5924 -1,2293 -1,7467 -2,0767 -2,2185 -2,2059 -2,0937 -1,9556 -1,8688 -1,8787 -1,9666 -2,0692 -2,1367 -2,1610 -2,1626 -2,1652 -2,1603 -2,1044 -1,9682 -1,7738 -1,5728 -1,4103 -1,3117 -1,2781 -1,2839 -1,2820 -1,2195 -1,0630 -0,8203 -0,5385 -0,2816 -0,1032 -0,0336 -0,0905 -0,2954 -0,6616 -1,1603 -1,7136 -2,2199 -2,5883 -2,7639 -2,7252 -2,4656 -2,0071 -1,4421 -0,9321 -0,6400 -0,6573 -0,9766 -1,5151 -2,1628 -2,8204 -3,4059 -3,8423 -4,0524 -3,9828 -3,6542 -3,1713 -2,6766 -2,2941 -2,0876 -2,0378 -2,0657 -2,0865 -2,0486 -1,9546 -1,8710 -1,9013 -2,1263 -2,5684 -3,1996 -3,9588 -4,7569 -5,4852 -6,0520 -6,4205 -6,6054 -6,6445 -6,5941 -6,5453 -6,6145 -6,8941 -7,3882 -7,9895 -8,5238 -8,8278 -8,8151 -8,4939 -7,9305 -7,2131 -6,4417 -5,7073 -5,0632 -4,5165 -4,0350 -3,5650 -3,0588 -2,4889 -1,8432 -1,1192 -0,3283 0,5047 1,3483 2,1686 2,9353 3,6278 4,2318 4,7313 5,1235 5,4485 5,7754 6,1478 6,5527 6,9378 7,2402 7,4156 7,4619 7,4242 7,3798 7,4147 7,5993 7,9662 8,4937 9,1081 9,7118 10,2245 10,6190 10,9217 11,1680 11,3555 11,4433 11,3881 11,1767 10,8425 10,4659 10,1390 9,9160 9,7898 9,6898 9,5020 9,1291 8,5558 7,8617 7,1732 6,5946 6,1711 5,8914 5,7110 5,5849 5,5020 5,4817 5,5338 5,6327 5,7302 5,7677 5,6804 5,4120 4,9457 4,3371 3,7094 3,1828 2,8125 2,6101 2,5999 2,8247 3,2912 3,9160 4,5473 5,0483 5,3546 5,4797 5,4899 5,4633 5,4501 5,4616 5,4830 5,4996 5,5218 5,5851 5,7140 5,8866 6,0440 6,1322 6,1278 6,0435 5,9161 5,7774 5,6376 5,5047 5,4000 5,3426 5,3243 5,3000 5,2052 5,0050 4,7211 4,3968 4,0479 3,6591 3,2168 2,7333 2,2427 1,7801 1,3692 1,0306 0,7967 0,7138 0,8175 1,1002 1,5089 1,9821 2,4779 2,9666 3,4140 3,7880 4,0693 4,2361 4,2537 4,1015 3,8105 3,4648 3,1614 2,9584 2,8568 2,8229 2,8100 2,7587 2,6082 2,3386 2,0044 1,7179 1,5893 1,6706 1,9455 2,3678 2,8905 3,4527 3,9670 4,3461 4,5461 4,5876 4,5305 4,4217 4,2684 4,0540 3,7688 3,4313 3,1011 2,8633 2,7764 2,8315 2,9626 3,0934 3,1768 3,2029 3,1813 3,1358 3,1190 3,1938 3,3702 3,5607 3,6305 3,5280 3,3593 3,3044 3,4686 3,8252 4,2604 4,6443 4,8746 4,9008 4,7384 4,4586 4,1377 3,8111 3,4773 3,1332 2,8011 2,5323 2,3709 2,3101 2,3015 2,3197 2,3888 2,5317 2,7220 2,8963 2,9870 2,9456 2,7623 2,4777 2,1758 1,9599 1,9126 2,0602 2,3737 2,8009 3,2751 3,7098 4,0142 4,1263 4,0376 3,7956 3,4775 3,1553 2,8902 2,7361 2,7168 2,8123 2,9858 3,2162 3,5009 3,8381 4,1987 4,5148 4,7080 4,7329 4,5827 4,2682 3,8088 3,2391 2,6199 2,0356 1,5530 1,1792 0,8706 0,5775 0,2772 -0,0071 -0,2047 -0,2307 -0,0352 0,3712 0,9296 1,5569 2,1714 2,7197 3,1794 3,5149 3,6420 3,4673 2,9674 2,2237 1,3892 0,6262 0,0674 -0,1986 -0,1446 0,1790 0,6652 1,2025 1,7172 2,1764 2,5663 2,8806 3,1336 3,3682 3,6172 3,8449 3,9438 3,8109 3,4336 2,9131 2,4102 2,0475 1,8403 1,7157 1,5765 1,3451 0,9964 0,5853 0,2337 0,0725 0,1826 0,5614 1,1262 1,7551 2,3386 2,8077 3,1308 3,2894 3,2584 3,0218 2,6084 2,1016 1,6092 1,2313 1,0479 1,1029 1,3735 1,7599 2,1259 2,3725 2,4812 2,5014 2,5176 2,6128 2,8254 3,1322 3,4670 3,7512 3,9233 3,9612 3,8770 3,6911 3,4204 3,0947 2,7689 2,4982 2,3170 2,2368 2,2408 2,2919 2,3601 2,4284 2,4761 2,4817 2,4369 2,3411 2,1927 2,0069 1,8417 1,7875 1,9111 2,2115 2,6226 3,0333 3,3138 3,3714 3,2000 2,8725 2,4861 2,1250 1,8538 1,6978 1,6179 1,5375 1,4120 1,2641 1,1559 1,1310 1,1849 1,2717 1,3151 1,2151 0,8849 0,2990 -0,4887 -1,3688 -2,2251 -2,9671 -3,5364 -3,9208 -4,1631 -4,3260 -4,4352 -4,4633 -4,3558 -4,0735 -3,6323 -3,1085 -2,6056 -2,2116 -1,9775 -1,9277 -2,0715 -2,3790 -2,7604 -3,1091 -3,3652 -3,5071 -3,5038 -3,3139 -2,9180 -2,3297 -1,5929 -0,7880 -0,0210 0,6247 1,1280 1,5163 1,8256 2,0818 2,3094 2,5445 2,8180 3,1263 3,4407 3,7438 4,0440 4,3536 4,6652 4,9482 5,1661 5,2932 5,3151 5,2176 4,9902 4,6467 4,2316 3,8035 3,4109 3,0885 2,8742 2,8183 2,9583 3,2826 3,7221 4,1732 4,5234 4,6654 4,5217 4,0936 3,4802 2,8214 2,2262 1,7615 1,4645 1,3301 1,3010 1,2824 1,1670 0,8701 0,3722 -0,2566 -0,8878 -1,4075 -1,7635 -1,9455 -1,9448 -1,7545 -1,4035 -0,9714 -0,5589 -0,2437 -0,0536 0,0373 0,0848 0,1335 0,1791 0,1667 0,0329 -0,2348 -0,5815 -0,9301 -1,2277 -1,4472 -1,5754 -1,6106 -1,5590 -1,4364 -1,2769 -1,1287 -1,0315 -1,0052 -1,0527 -1,1547 -1,2641 -1,3253 -1,3038 -1,1991 -1,0506 -0,9359 -0,9271 -1,0303 -1,1793 -1,2746 -1,2292 -1,0157 -0,6893
F7    1,7651 1,6515 1,3725 0,9609 0,4796 0,0035 -0,3990 -0,6720 -0,7593 -0,6077 -0,2086 0,3654 0,9867 1,5388 1,9586 2,2296 2,3501 2,3233 2,1715 1,9358 1,6522 1,3414 1,0287 0,7605 0,5852 0,5176 0,5226 0,5275 0,4531 0,2477 -0,0876 -0,4943 -0,8948 -1,2393 -1,5072 -1,6862 -1,7757 -1,8071 -1,8403 -1,9173 -2,0151 -2,0634 -2,0101 -1,8531 -1,6274 -1,3795 -1,1324 -0,8718 -0,5840 -0,2961 -0,0645 0,0578 0,0413 -0,1101 -0,3536 -0,6097 -0,7854 -0,8213 -0,7223 -0,5445 -0,3537 -0,1975 -0,1033 -0,0914 -0,1837 -0,3898 -0,6828 -0,9969 -1,2510 -1,3791 -1,3542 -1,1888 -0,9119 -0,5586 -0,1885 0,1093 0,2465 0,1679 -0,1398 -0,6532 -1,3171 -2,0474 -2,7378 -3,2756 -3,5636 -3,5567 -3,2965 -2,8965 -2,4826 -2,1463 -1,9222 -1,7844 -1,6769 -1,5554 -1,4033 -1,2344 -1,0982 -1,0691 -1,2180 -1,5959 -2,2254 -3,0776 -4,0519 -4,9933 -5,7546 -6,2620 -6,5244 -6,5916 -6,5278 -6,4253 -6,4032 -6,5624 -6,9279 -7,4273 -7,9215 -8,2680 -8,3836 -8,2689 -7,9784 -7,5784 -7,1254 -6,6477 -6,1377 -5,5705 -4,9277 -4,2082 -3,4332 -2,6440 -1,8903 -1,2098 -0,6104 -0,0654 0,4657 1,0043 1,5404 2,0506 2,5103 2,8922 3,1831 3,4153 3,6645 4,0020 4,4520 4,9844 5,5342 6,0282 6,4069 6,6387 6,7284 6,7146 6,6525 6,5976 6,6014 6,7114 6,9525 7,3028 7,6965 8,0521 8,2979 8,3813 8,2813 8,0213 7,6692 7,3172 7,0521 6,9243 6,9294 7,0125 7,0812 7,0299 6,7795 6,3148 5,6942 5,0190 4,3812 3,8309 3,3784 3,0094 2,6991 2,4342 2,2260 2,0976 2,0644 2,1289 2,2760 2,4610 2,6118 2,6601 2,5832 2,4112 2,1798 1,8993 1,5886 1,3110 1,1537 1,1651 1,3133 1,5107 1,6788 1,7852 1,8407 1,8761 1,9139 1,9542 1,9879 2,0179 2,0690 2,1848 2,4056 2,7314 3,1066 3,4524 3,7138 3,8742 3,9403 3,9228 3,8223 3,6340 3,3664 3,0456 2,6992 2,3462 1,9936 1,6430 1,3047 1,0010 0,7431 0,5097 0,2580 -0,0380 -0,3573 -0,6428 -0,8387 -0,9161 -0,8763 -0,7446 -0,5601 -0,3607 -0,1704 0,0069 0,1818 0,3636 0,5477 0,7119 0,8276 0,8741 0,8416 0,7276 0,5479 0,3486 0,1986 0,1573 0,2390 0,4057 0,5913 0,7260 0,7487 0,6236 0,3660 0,0531 -0,2048 -0,3165 -0,2531 -0,0465 0,2525 0,6074 0,9879 1,3495 1,6421 1,8346 1,9275 1,9387 1,8746 1,7199 1,4602 1,1138 0,7437 0,4435 0,2989 0,3420 0,5406 0,8279 1,1355 1,4060 1,5912 1,6565 1,6031 1,4849 1,3807 1,3305 1,2962 1,1993 1,0186 0,8409 0,7937 0,9412 1,2565 1,6621 2,0717 2,4067 2,6068 2,6456 2,5408 2,3387 2,0867 1,8178 1,5552 1,3232 1,1490 1,0393 0,9574 0,8491 0,7047 0,5768 0,5263 0,5718 0,6902 0,8371 0,9628 1,0300 1,0257 0,9600 0,8604 0,7607 0,6843 0,6456 0,6657 0,7651 0,9335 1,1230 1,2728 1,3385 1,3052 1,1802 0,9898 0,7982 0,7022 0,7712 0,9978 1,3113 1,6296 1,9037 2,1338 2,3481 2,5603 2,7458 2,8532 2,8331 2,6629 2,3550 1,9473 1,4934 1,0541 0,6727 0,3542 0,0777 -0,1824 -0,4475 -0,7201 -0,9670 -1,1295 -1,1566 -1,0274 -0,7525 -0,3696 0,0669 0,5073 0,9195 1,2643 1,4680 1,4493 1,1820 0,7247 0,1965 -0,2766 -0,6023 -0,7386 -0,6953 -0,5274 -0,3049 -0,0720 0,1745 0,4692 0,8413 1,2835 1,7527 2,1907 2,5360 2,7207 2,6870 2,4277 2,0088 1,5465 1,1545 0,8924 0,7476 0,6627 0,5710 0,4145 0,1654 -0,1468 -0,4397 -0,6172 -0,6115 -0,4124 -0,0711 0,3300 0,7198 1,0575 1,3256 1,5136 1,6074 1,5949 1,4845 1,3134 1,1316 0,9874 0,9256 0,9768 1,1322 1,3328 1,4891 1,5284 1,4409 1,2887 1,1716 1,1771 1,3415 1,6376 1,9909 2,3095 2,5206 2,5969 2,5532 2,4230 2,2338 2,0014 1,7385 1,4596 1,1908 0,9715 0,8323 0,7795 0,8047 0,8880 0,9941 1,0847 1,1376 1,1410 1,0799 0,9497 0,7837 0,6533 0,6269 0,7271 0,9226 1,1419 1,2968 1,3189 1,1927 0,9517 0,6465 0,3310 0,0644 -0,1120 -0,2069 -0,2599 -0,2896 -0,2764 -0,1941 -0,0500 0,1071 0,2137 0,2133 0,0600 -0,2668 -0,7495 -1,3391 -1,9748 -2,6056 -3,2002 -3,7427 -4,2311 -4,6799 -5,1053 -5,4982 -5,8126 -5,9800 -5,9448 -5,7060 -5,3235 -4,8829 -4,4618 -4,1193 -3,9011 -3,8297 -3,8770 -3,9646 -4,0208 -4,0312 -4,0133 -3,9628 -3,8463 -3,6265 -3,2779 -2,7982 -2,2297 -1,6516 -1,1210 -0,6321 -0,1507 0,3320 0,7872 1,1782 1,4923 1,7448 1,9614 2,1702 2,4033 2,6850 3,0124 3,3494 3,6427 3,8467 3,9401 3,9235 3,8048 3,5958 3,3185 3,0050 2,6876 2,3903 2,1317 1,9430 1,8741 1,9650 2,2053 2,5257 2,8281 3,0184 3,0170 2,7680 2,2680 1,5887 0,8506 0,1704 -0,3637 -0,6974 -0,8216 -0,7859 -0,6903 -0,6549 -0,7772 -1,0955 -1,5737 -2,1271 -2,6736 -3,1626 -3,5616 -3,8356 -3,9539 -3,9153 -3,7553 -3,5291 -3,2890 -3,0695 -2,8785 -2,6986 -2,5094 -2,3154 -2,1572 -2,0894 -2,1384 -2,2892 -2,5146 -2,7965 -3,1087 -3,4048 -3,6330 -3,7586 -3,7806 -3,7335 -3,6702 -3,6388 -3,6754 -3,7979 -3,9875 -4,1829 -4,3095 -4,3182 -4,1999 -3,9845 -3,7360 -3,5213 -3,3676 -3,2544 -3,1352 -2,9591 -2,7023 -2,3956
