Fp1   2,7380 2,9499 3,2831 3,7450 4,2119 4,5511 4,7117 4,7017 4,5322 4,2189 3,8240 3,4570 3,1985 3,0166 2,7789 2,3682 1,7926 1,1625 0,5462 -0,1250 -0,9829 -2,0731 -3,2828 -4,3932 -5,1837 -5,5084 -5,3393 -4,7795 -4,0199 -3,2722 -2,7180 -2,4378 -2,3493 -2,2567 -1,9802 -1,4497 -0,7291 0,0117 0,5816 0,8844 0,9638 0,9003 0,6797 0,2209 -0,4848 -1,3244 -2,1398 -2,8003 -3,1932 -3,2069 -2,8032 -2,1153 -1,4090 -0,9177 -0,7285 -0,8000 -1,0458 -1,4007 -1,8331 -2,3403 -2,9561 -3,7169 -4,5859 -5,4401 -6,1485 -6,6486 -6,9615 -7,1535 -7,2649 -7,2707 -7,1157 -6,7695 -6,2501 -5,6299 -5,0242 -4,5402 -4,2038 -3,9314 -3,5831 -3,0340 -2,1971 -1,0294 0,4485 2,1565 3,9912 5,8446 7,6002 9,1384 10,3448 11,1117 11,3602 11,0805 10,3581 9,3647 8,3130 7,3970 6,7464 6,3872 6,2108 5,9909 5,4804 4,5488 3,2587 1,8065 0,3787 -0,9386 -2,1291 -3,1726 -4,0380 -4,7241 -5,2722 -5,7578 -6,2790 -6,8926 -7,5395 -8,0730 -8,3538 -8,2994 -7,8921 -7,1910 -6,3360 -5,5360 -5,0145 -4,9018 -5,1678 -5,6641 -6,2114 -6,6493 -6,8664 -6,8274 -6,5618 -6,1221 -5,5543 -4,8697 -4,0322 -3,0079 -1,8224 -0,5465 0,7500 2,0226 3,2579 4,4580 5,6115 6,6935 7,6881 8,5996 9,4363 10,1752 10,7430 11,0480 11,0232 10,6408 9,9364 9,0555 8,2553 7,8112 7,8936 8,5182 9,5888 10,9669 12,5062 14,0546 15,4743 16,6879 17,6989 18,5659 19,3408 20,0078 20,4735 20,6148 20,3429 19,6519 18,6641 17,6393 16,8552 16,4198 16,2132 15,9947 15,5431 14,7246 13,4928 11,8712 9,9545 7,9091 5,9400 4,2346 2,9253 2,0722 1,6503 1,5579 1,6414 1,7239 1,6508 1,3393 0,7958 0,0930 -0,6511 -1,3024 -1,7679 -2,0380 -2,1884 -2,3542 -2,6704 -3,2123 -3,9844 -4,9380 -5,9850 -7,0169 -7,9367 -8,6908 -9,2769 -9,7110 -9,9782 -10,0198 -9,7645 -9,1674 -8,2345 -7,0512 -5,7864 -4,6423 -3,7816 -3,2710 -3,0533 -2,9745 -2,8677 -2,6459 -2,3442 -2,0671 -1,8797 -1,7540 -1,6091 -1,3718 -0,9973 -0,4435 0,3471 1,4040 2,6718 4,0187 5,2920 6,3735 7,2081 7,8123 8,2609 8,6313 8,9592 9,2509 9,4958 9,6625 9,7320 9,7377 9,7473 9,8222 10,0145 10,3965 11,0705 12,1355 13,6451 15,5814 17,8468 20,2869 22,7349 25,0174 26,9198 28,2036 28,6859 28,3074 27,1666 25,5244 23,7419 22,1465 20,8933 19,9296 19,0813 18,1658 17,0711 15,7931 14,3986 12,9594 11,5378 10,1836 8,9030 7,6586 6,4329 5,2783 4,2895 3,5371 3,0242 2,6756 2,3465 1,8663 1,1184 0,1005 -1,0916 -2,2990 -3,3169 -3,9417 -4,0598 -3,7272 -3,1653 -2,6474 -2,3677 -2,3875 -2,6463 -3,0013 -3,2979 -3,4567 -3,5107 -3,5639 -3,7208 -4,0403 -4,5281 -5,1677 -5,9370 -6,7688 -7,5130 -7,9960 -8,1569 -8,1116 -8,0529 -8,0837 -8,1353 -8,0264 -7,5984 -6,8087 -5,7113 -4,3625 -2,7569 -0,8730 1,2455 3,4905 5,7259 7,7827 9,4743 10,6848 11,4405 11,8845 12,1931 12,5044 12,8841 13,3439 13,8977 14,6050 15,5526 16,7841 18,2325 19,7365 21,1457 22,4039 23,5211 24,4801 25,1761 25,4484 25,1827 24,4081 23,3144 22,1696 21,1943 20,4899 20,0579 19,8447 19,7515 19,6538 19,4648 19,1761 18,8268 18,4425 17,9825 17,3238 16,3209 14,9162 13,2075 11,4106 9,7453 8,3469 7,2670 6,5194 6,1072 6,0256 6,2221 6,5430 6,7647 6,7141 6,3712 5,8951 5,5627 5,6080 6,0338 6,5630 6,7986 6,4570 5,5012 4,1237 2,6505 1,4462 0,8124 0,8628 1,4578 2,2850 3,0279 3,5036 3,7055 3,7492 3,7698 3,8591 4,0770 4,4830 5,1245 5,9861 6,9259 7,6797 8,0284 8,0075 7,8953 7,9847 8,3977 9,0870 9,9376 10,8398 11,7136 12,5009 13,1438 13,5966 13,8798 14,1031 14,4235 14,9759 15,8183 16,9083 18,1156 19,2581 20,1531 20,6804 20,8506 20,8106 20,7392 20,7204 20,7145 20,6312 20,4265 20,1456 19,8937 19,7913 19,9521 20,4555 21,3044 22,4166 23,6594 24,8899 25,9798 26,8106 27,2533 27,2022 26,6583 25,7455 24,6132 23,3377 21,9268 20,3989 18,8476 17,4277 16,2658 15,3709 14,6395 13,9667 13,3587 12,9383 12,8555 13,1680 13,7717 14,4432 14,9512 15,1413 14,9741 14,5163 13,8740 13,1334 12,3713 11,6759 11,1083 10,6370 10,1128 9,3157 8,0587 6,3018 4,2021 2,0459 0,0946 -1,5434 -2,9281 -4,1834 -5,3710 -6,4504 -7,3225 -7,8847 -8,0960 -8,0474 -7,9435 -7,9731 -8,2001 -8,5434 -8,8244 -8,8815 -8,6663 -8,2020 -7,4742 -6,3997 -4,9096 -3,0717 -1,1149 0,6955 2,1992 3,3788 4,3218 5,1707 6,0760 7,1549 8,4797 10,0847 11,9574 14,0206 16,1494 18,2048 20,0386 21,5009 22,4860 22,9805 23,0550 22,7878 22,2106 21,3572 20,3473 19,4032 18,7840 18,6786 19,1290 20,0156 21,0937 22,0783 22,7378 22,9359 22,6346 21,8870 20,7931 19,4288 17,8236 16,0207 14,1196 12,2192 10,3526 8,5111 6,6828 4,8459 2,9912 1,1835 -0,4436 -1,7750 -2,7933 -3,6139 -4,4480 -5,4796 -6,7618 -8,2266 -9,7405 -11,1468 -12,3143 -13,1910 -13,8254 -14,3447 -14,9007 -15,5858 -16,3555 -17,0316 -17,3884 -17,2509 -16,5889 -15,5624 -14,4369 -13,4154 -12,5325 -11,6706 -10,6572 -9,3791 -7,8722 -6,3382 -5,0534 -4,2364 -3,9636 -4,1687 -4,7080 -5,4308 -6,1919 -6,8379 -7,2315 -7,3065 -7,0960 -6,7182 -6,3339 -6,0767 -5,9892 -6,0212
Fz    0,6238 0,8159 1,0709 1,3983 1,7436 2,0352 2,2350 2,3442 2,3804 2,3648 2,3272 2,3050 2,3183 2,3403 2,3085 2,1754 1,9525 1,6901 1,4093 1,0690 0,6148 0,0494 -0,5475 -1,0568 -1,3764 -1,4594 -1,3307 -1,0791 -0,8210 -0,6612 -0,6721 -0,8664 -1,1738 -1,4703 -1,6441 -1,6380 -1,4566 -1,1561 -0,8241 -0,5474 -0,3798 -0,3459 -0,4717 -0,7839 -1,2732 -1,8775 -2,5047 -3,0591 -3,4557 -3,6398 -3,6160 -3,4667 -3,3185 -3,2690 -3,3437 -3,5089 -3,7112 -3,9085 -4,0817 -4,2374 -4,4068 -4,6261 -4,9052 -5,2188 -5,5288 -5,8107 -6,0612 -6,2826 -6,4647 -6,5867 -6,6375 -6,6232 -6,5632 -6,4867 -6,4196 -6,3628 -6,2798 -6,1067 -5,7850 -5,2885 -4,6234 -3,8206 -2,9318 -2,0125 -1,1032 -0,2319 0,5724 1,2787 1,8628 2,3099 2,6095 2,7546 2,7533 2,6365 2,4459 2,2191 1,9876 1,7701 1,5510 1,2749 0,8811 0,3511 -0,2712 -0,9022 -1,4664 -1,9251 -2,2682 -2,4985 -2,6397 -2,7426 -2,8644 -3,0473 -3,3137 -3,6521 -4,0024 -4,2742 -4,3880 -4,3025 -4,0246 -3,6063 -3,1280 -2,6857 -2,3743 -2,2504 -2,2999 -2,4497 -2,6104 -2,7149 -2,7367 -2,6852 -2,5816 -2,4411 -2,2794 -2,1122 -1,9347 -1,7149 -1,4199 -1,0431 -0,6091 -0,1537 0,3062 0,7830 1,2953 1,8415 2,3957 2,9226 3,3927 3,7827 4,0706 4,2452 4,3186 4,3135 4,2489 4,1607 4,1283 4,2527 4,6008 5,1695 5,8970 6,7042 7,5281 8,3298 9,0915 9,8191 10,5397 11,2854 12,0722 12,8869 13,6810 14,3759 14,8904 15,1802 15,2685 15,2522 15,2509 15,3269 15,4588 15,5718 15,5717 15,3729 14,9276 14,2413 13,3688 12,3978 11,4271 10,5454 9,8131 9,2502 8,8389 8,5363 8,2795 7,9880 7,5862 7,0348 6,3422 5,5513 4,7283 3,9442 3,2442 2,6290 2,0603 1,4795 0,8340 0,0991 -0,7147 -1,5697 -2,4238 -3,2527 -4,0450 -4,7815 -5,4291 -5,9541 -6,3292 -6,5343 -6,5573 -6,3916 -6,0384 -5,5262 -4,9229 -4,3152 -3,7751 -3,3332 -2,9667 -2,6182 -2,2453 -1,8558 -1,4995 -1,2342 -1,0875 -1,0395 -1,0368 -1,0261 -0,9747 -0,8602 -0,6574 -0,3532 0,0322 0,4495 0,8387 1,1493 1,3560 1,4648 1,5027 1,4958 1,4607 1,4234 1,4217 1,4751 1,5686 1,6729 1,7655 1,8320 1,8685 1,8992 1,9881 2,2242 2,6852 3,3962 4,3121 5,3422 6,3947 7,3901 8,2403 8,8469 9,1340 9,0815 8,7423 8,2338 7,6967 7,2368 6,8836 6,5969 6,3080 5,9555 5,4986 4,9312 4,2811 3,5862 2,8732 2,1508 1,4070 0,6157 -0,2378 -1,1345 -2,0272 -2,8664 -3,6178 -4,2688 -4,8319 -5,3428 -5,8405 -6,3455 -6,8565 -7,3507 -7,7768 -8,0654 -8,1665 -8,0918 -7,9259 -7,7829 -7,7406 -7,8108 -7,9486 -8,0795 -8,1309 -8,0626 -7,8829 -7,6393 -7,3924 -7,1918 -7,0655 -7,0279 -7,0872 -7,2323 -7,4156 -7,5681 -7,6514 -7,6930 -7,7505 -7,8414 -7,9127 -7,8806 -7,6951 -7,3675 -6,9421 -6,4437 -5,8512 -5,1231 -4,2396 -3,2105 -2,0655 -0,8590 0,3281 1,4146 2,3509 3,1255 3,7526 4,2567 4,6557 4,9560 5,1708 5,3422 5,5350 5,8018 6,1539 6,5709 7,0367 7,5530 8,1152 8,6836 9,1743 9,4776 9,5033 9,2368 8,7650 8,2430 7,8178 7,5688 7,4994 7,5584 7,6590 7,7031 7,6277 7,4353 7,1687 6,8528 6,4596 5,9231 5,1913 4,2723 3,2379 2,1894 1,2182 0,3907 -0,2441 -0,6545 -0,8378 -0,8204 -0,6587 -0,4420 -0,2697 -0,2114 -0,2839 -0,4425 -0,5868 -0,6152 -0,5105 -0,3726 -0,3567 -0,5797 -1,0638 -1,7375 -2,4720 -3,1183 -3,5477 -3,7059 -3,6415 -3,4706 -3,3046 -3,2002 -3,1563 -3,1505 -3,1700 -3,2085 -3,2420 -3,2195 -3,0826 -2,7991 -2,3947 -1,9580 -1,5829 -1,2857 -0,9997 -0,6514 -0,2217 0,2660 0,7882 1,3371 1,9046 2,4652 2,9797 3,4194 3,7878 4,1177 4,4533 4,8302 5,2552 5,6963 6,0940 6,3819 6,5051 6,4434 6,2420 6,0134 5,8878 5,9447 6,1814 6,5305 6,9075 7,2477 7,5165 7,7060 7,8386 7,9647 8,1391 8,3879 8,6944 9,0095 9,2730 9,4281 9,4262 9,2359 8,8610 8,3414 7,7203 7,0134 6,2161 5,3407 4,4430 3,6074 2,9028 2,3540 1,9568 1,7121 1,6400 1,7622 2,0776 2,5510 3,1137 3,6798 4,1681 4,5196 4,7091 4,7470 4,6649 4,5027 4,3075 4,1219 3,9655 3,8217 3,6309 3,2966 2,7241 1,8822 0,8397 -0,2566 -1,2496 -2,0432 -2,6304 -3,0583 -3,3697 -3,5783 -3,6799 -3,6683 -3,5515 -3,3730 -3,2070 -3,1215 -3,1519 -3,2936 -3,4997 -3,7055 -3,8644 -3,9407 -3,8799 -3,6123 -3,0977 -2,3730 -1,5515 -0,7617 -0,0823 0,4751 0,9467 1,3872 1,8461 2,3558 2,9395 3,6238 4,4326 5,3613 6,3638 7,3666 8,2962 9,1058 9,7879 10,3608 10,8396 11,2133 11,4442 11,4958 11,3714 11,1328 10,8808 10,7118 10,6890 10,8284 11,0878 11,3797 11,6032 11,6685 11,5172 11,1418 10,5833 9,8991 9,1339 8,3232 7,5134 6,7532 6,0688 5,4592 4,9004 4,3490 3,7693 3,1666 2,5869 2,0864 1,7024 1,4265 1,1975 0,9365 0,5969 0,1804 -0,2706 -0,6915 -1,0323 -1,2956 -1,5316 -1,8024 -2,1582 -2,6231 -3,1659 -3,6931 -4,0903 -4,2794 -4,2575 -4,1018 -3,9267 -3,8162 -3,7833 -3,7753 -3,7107 -3,5202 -3,1805 -2,7328 -2,2673 -1,8864 -1,6653 -1,6241 -1,7342 -1,9494 -2,2223 -2,5071 -2,7670 -2,9816 -3,1441 -3,2622 -3,3632 -3,4820 -3,6357 -3,8143
F3    0,8472 1,1075 1,4332 1,8214 2,2101 2,5306 2,7574 2,9045 2,9927 3,0384 3,0639 3,0967 3,1458 3,1755 3,1163 2,9159 2,5842 2,1767 1,7279 1,2162 0,6076 -0,0834 -0,7768 -1,3613 -1,7411 -1,8694 -1,7644 -1,5100 -1,2259 -1,0255 -0,9890 -1,1331 -1,3898 -1,6374 -1,7666 -1,7232 -1,5177 -1,2170 -0,9198 -0,7143 -0,6430 -0,7143 -0,9442 -1,3561 -1,9363 -2,6143 -3,2905 -3,8703 -4,2774 -4,4576 -4,4009 -4,1696 -3,8812 -3,6411 -3,4946 -3,4327 -3,4263 -3,4599 -3,5411 -3,6913 -3,9347 -4,2820 -4,7067 -5,1456 -5,5311 -5,8241 -6,0249 -6,1559 -6,2289 -6,2339 -6,1571 -5,9985 -5,7747 -5,5162 -5,2555 -5,0071 -4,7521 -4,4430 -4,0313 -3,4955 -2,8439 -2,1087 -1,3381 -0,5758 0,1583 0,8603 1,5231 2,1283 2,6492 3,0553 3,3193 3,4285 3,3986 3,2738 3,1070 2,9388 2,7910 2,6613 2,5108 2,2660 1,8539 1,2465 0,4818 -0,3531 -1,1637 -1,8827 -2,4737 -2,9210 -3,2325 -3,4449 -3,6124 -3,7894 -4,0180 -4,3028 -4,5912 -4,7945 -4,8343 -4,6733 -4,3255 -3,8510 -3,3383 -2,8874 -2,5890 -2,4885 -2,5616 -2,7314 -2,9128 -3,0509 -3,1298 -3,1558 -3,1318 -3,0504 -2,9090 -2,7144 -2,4671 -2,1564 -1,7777 -1,3433 -0,8777 -0,4042 0,0689 0,5483 1,0387 1,5295 2,0007 2,4386 2,8425 3,2124 3,5335 3,7868 3,9663 4,0715 4,0978 4,0623 4,0325 4,1053 4,3544 4,7988 5,4084 6,1310 6,9159 7,7194 8,5053 9,2538 9,9672 10,6611 11,3477 12,0200 12,6420 13,1484 13,4638 13,5395 13,3960 13,1412 12,9151 12,7968 12,7696 12,7556 12,6612 12,4078 11,9525 11,2982 10,4928 9,6209 8,7850 8,0768 7,5536 7,2260 7,0589 6,9864 6,9259 6,7922 6,5186 6,0756 5,4728 4,7500 3,9707 3,2069 2,5087 1,8845 1,3049 0,7200 0,0834 -0,6242 -1,3864 -2,1580 -2,8890 -3,5496 -4,1315 -4,6327 -5,0525 -5,3933 -5,6516 -5,8115 -5,8452 -5,7191 -5,4122 -4,9477 -4,3994 -3,8572 -3,3871 -3,0124 -2,7095 -2,4242 -2,1098 -1,7614 -1,4184 -1,1370 -0,9509 -0,8482 -0,7809 -0,6942 -0,5504 -0,3248 0,0028 0,4332 0,9308 1,4345 1,8807 2,2198 2,4294 2,5218 2,5366 2,5124 2,4712 2,4326 2,4190 2,4360 2,4669 2,4918 2,5036 2,5069 2,5155 2,5579 2,6863 2,9703 3,4717 4,2104 5,1450 6,1869 7,2383 8,2120 9,0222 9,5809 9,8232 9,7321 9,3523 8,7861 8,1631 7,5888 7,1038 6,6856 6,2852 5,8577 5,3738 4,8308 4,2499 3,6561 3,0654 2,4807 1,8848 1,2485 0,5612 -0,1455 -0,8123 -1,3858 -1,8428 -2,1971 -2,4941 -2,7940 -3,1423 -3,5487 -3,9927 -4,4323 -4,7965 -4,9960 -4,9654 -4,7131 -4,3344 -3,9632 -3,7020 -3,5858 -3,5871 -3,6407 -3,6800 -3,6710 -3,6244 -3,5786 -3,5719 -3,6260 -3,7492 -3,9503 -4,2378 -4,5926 -4,9481 -5,2135 -5,3393 -5,3575 -5,3398 -5,3184 -5,2479 -5,0413 -4,6404 -4,0559 -3,3465 -2,5628 -1,7145 -0,7937 0,1885 1,2032 2,2204 3,2001 4,0827 4,8118 5,3665 5,7661 6,0527 6,2721 6,4543 6,6062 6,7292 6,8453 7,0011 7,2394 7,5676 7,9610 8,3988 8,8793 9,3964 9,9100 10,3332 10,5539 10,4888 10,1411 9,6146 9,0686 8,6402 8,3907 8,3077 8,3368 8,4022 8,4257 8,3589 8,2036 7,9897 7,7324 7,4075 6,9613 6,3507 5,5815 4,7136 3,8336 3,0195 2,3256 1,7917 1,4481 1,3091 1,3658 1,5708 1,8283 2,0228 2,0715 1,9573 1,7358 1,5193 1,4166 1,4472 1,5087 1,4356 1,0983 0,4702 -0,3677 -1,2650 -2,0473 -2,5660 -2,7545 -2,6566 -2,3887 -2,0685 -1,7640 -1,4921 -1,2515 -1,0494 -0,8952 -0,7746 -0,6398 -0,4294 -0,1070 0,3016 0,7032 1,0005 1,1783 1,3108 1,4849 1,7379 2,0608 2,4347 2,8478 3,2865 3,7235 4,1179 4,4375 4,6842 4,8996 5,1460 5,4777 5,9133 6,4244 6,9455 7,3932 7,6896 7,7928 7,7303 7,6011 7,5244 7,5728 7,7438 7,9818 8,2218 8,4206 8,5636 8,6569 8,7229 8,8018 8,9411 9,1715 9,4892 9,8535 10,2011 10,4602 10,5602 10,4520 10,1318 9,6403 9,0279 8,3238 7,5420 6,7096 5,8824 5,1304 4,5015 3,9976 3,5925 3,2723 3,0567 2,9853 3,0903 3,3711 3,7806 4,2348 4,6434 4,9355 5,0742 5,0578 4,9091 4,6693 4,3955 4,1428 3,9376 3,7647 3,5657 3,2501 2,7327 1,9848 1,0633 0,0917 -0,7986 -1,5343 -2,1251 -2,6265 -3,0830 -3,5051 -3,8774 -4,1699 -4,3533 -4,4312 -4,4479 -4,4563 -4,4891 -4,5497 -4,6066 -4,6128 -4,5370 -4,3579 -4,0371 -3,5180 -2,7681 -1,8367 -0,8608 0,0034 0,6601 1,0982 1,3691 1,5548 1,7411 1,9996 2,3850 2,9395 3,6847 4,6031 5,6344 6,6914 7,6798 8,5217 9,1785 9,6497 9,9505 10,0864 10,0454 9,8227 9,4537 9,0232 8,6428 8,4112 8,3879 8,5794 8,9293 9,3353 9,6886 9,9009 9,9200 9,7414 9,3982 8,9289 8,3569 7,7055 7,0167 6,3358 5,6821 5,0481 4,4105 3,7375 3,0083 2,2398 1,4845 0,8064 0,2545 -0,1627 -0,4866 -0,7774 -1,0718 -1,3721 -1,6529 -1,8699 -1,9873 -2,0134 -2,0043 -2,0311 -2,1519 -2,3916 -2,7192 -3,0495 -3,2846 -3,3623 -3,2879 -3,1365 -3,0107 -2,9794 -3,0416 -3,1301 -3,1439 -2,9966 -2,6672 -2,2231 -1,7868 -1,4775 -1,3663 -1,4583 -1,7061 -2,0412 -2,3928 -2,6958 -2,9071 -3,0172 -3,0431 -3,0179 -2,9877 -2,9977 -3,0696 -3,1926
F7    0,4464 0,5698 0,7404 0,9832 1,2704 1,5594 1,8313 2,0861 2,3187 2,5131 2,6595 2,7645 2,8341 2,8458 2,7529 2,5254 2,1874 1,8026 1,4136 1,0017 0,5179 -0,0525 -0,6574 -1,2004 -1,5895 -1,7741 -1,7605 -1,6115 -1,4217 -1,2814 -1,2533 -1,3482 -1,5062 -1,6230 -1,6079 -1,4234 -1,0931 -0,6907 -0,3113 -0,0334 0,1037 0,0829 -0,1178 -0,5148 -1,0796 -1,7307 -2,3695 -2,9167 -3,3167 -3,5252 -3,5216 -3,3425 -3,0765 -2,8105 -2,5890 -2,4167 -2,2871 -2,2070 -2,1981 -2,2846 -2,4861 -2,8058 -3,2108 -3,6318 -3,9961 -4,2619 -4,4259 -4,5066 -4,5145 -4,4429 -4,2883 -4,0674 -3,8109 -3,5523 -3,3198 -3,1279 -2,9636 -2,7856 -2,5475 -2,2200 -1,7927 -1,2719 -0,6807 -0,0485 0,6024 1,2526 1,8721 2,4213 2,8606 3,1576 3,2944 3,2747 3,1278 2,9047 2,6653 2,4628 2,3331 2,2819 2,2659 2,1985 1,9913 1,6029 1,0590 0,4354 -0,1858 -0,7499 -1,2286 -1,6019 -1,8586 -2,0130 -2,1098 -2,2105 -2,3705 -2,6075 -2,8799 -3,1073 -3,2152 -3,1629 -2,9532 -2,6342 -2,2869 -2,0056 -1,8693 -1,9077 -2,0918 -2,3605 -2,6537 -2,9274 -3,1526 -3,3129 -3,3967 -3,3943 -3,3016 -3,1204 -2,8507 -2,4941 -2,0626 -1,5781 -1,0696 -0,5694 -0,1000 0,3359 0,7468 1,1393 1,5142 1,8721 2,2157 2,5415 2,8313 3,0641 3,2288 3,3158 3,3128 3,2321 3,1372 3,1230 3,2663 3,5990 4,1139 4,7820 5,5637 6,4130 7,2803 8,1190 8,8930 9,5838 10,1897 10,7109 11,1315 11,4129 11,5083 11,3875 11,0697 10,6464 10,2457 9,9528 9,7697 9,6397 9,4874 9,2465 8,8726 8,3533 7,7183 7,0369 6,3937 5,8562 5,4550 5,1777 4,9809 4,8146 4,6384 4,4239 4,1527 3,8146 3,4065 2,9365 2,4334 1,9407 1,4905 1,0834 0,6923 0,2787 -0,1864 -0,7093 -1,2756 -1,8566 -2,4187 -2,9365 -3,3958 -3,7867 -4,1048 -4,3507 -4,5224 -4,6069 -4,5809 -4,4213 -4,1226 -3,7182 -3,2760 -2,8663 -2,5356 -2,3015 -2,1512 -2,0423 -1,9235 -1,7683 -1,5946 -1,4507 -1,3726 -1,3507 -1,3345 -1,2649 -1,1031 -0,8349 -0,4593 0,0108 0,5422 1,0887 1,6040 2,0520 2,4135 2,6903 2,9022 3,0722 3,2162 3,3531 3,5024 3,6637 3,8161 3,9408 4,0363 4,1168 4,2070 4,3397 4,5550 4,8947 5,3888 6,0383 6,8043 7,6185 8,4098 9,1206 9,6966 10,0796 10,2220 10,1068 9,7639 9,2756 8,7557 8,2992 7,9371 7,6336 7,3259 6,9640 6,5303 6,0406 5,5254 5,0058 4,4909 3,9828 3,4707 2,9381 2,3862 1,8458 1,3610 0,9658 0,6733 0,4697 0,3120 0,1399 -0,0940 -0,3973 -0,7411 -1,0779 -1,3481 -1,4872 -1,4490 -1,2401 -0,9352 -0,6463 -0,4683 -0,4438 -0,5518 -0,7200 -0,8657 -0,9468 -0,9782 -1,0030 -1,0567 -1,1572 -1,3138 -1,5387 -1,8374 -2,1827 -2,5046 -2,7228 -2,8052 -2,7926 -2,7541 -2,7196 -2,6530 -2,4817 -2,1526 -1,6655 -1,0606 -0,3777 0,3653 1,1531 1,9501 2,7156 3,4254 4,0623 4,5984 5,0103 5,3049 5,5174 5,6894 5,8536 6,0278 6,2116 6,3936 6,5755 6,7859 7,0621 7,4133 7,8130 8,2306 8,6557 9,0819 9,4785 9,7755 9,8836 9,7450 9,3790 8,8832 8,3895 8,0069 7,7839 7,7086 7,7313 7,7876 7,8191 7,7980 7,7350 7,6562 7,5697 7,4483 7,2372 6,8851 6,3826 5,7746 5,1372 4,5365 4,0071 3,5599 3,2026 2,9513 2,8277 2,8306 2,9045 2,9561 2,9113 2,7569 2,5462 2,3763 2,3309 2,4072 2,4935 2,4312 2,1105 1,5277 0,7801 0,0183 -0,6019 -0,9590 -1,0090 -0,8064 -0,4718 -0,1280 0,1515 0,3533 0,4992 0,6130 0,7113 0,8151 0,9587 1,1788 1,4899 1,8559 2,1887 2,4061 2,5041 2,5533 2,6285 2,7587 2,9374 3,1523 3,3975 3,6705 3,9638 4,2559 4,5205 4,7501 4,9651 5,2042 5,5081 5,9010 6,3723 6,8716 7,3210 7,6414 7,7857 7,7673 7,6605 7,5573 7,5149 7,5399 7,6078 7,6925 7,7853 7,8920 8,0188 8,1641 8,3236 8,4970 8,6944 8,9337 9,2240 9,5499 9,8652 10,0955 10,1648 10,0349 9,7177 9,2474 8,6534 7,9657 7,2314 6,5164 5,8851 5,3696 4,9533 4,5933 4,2671 4,0038 3,8695 3,9261 4,1891 4,6071 5,0796 5,4946 5,7574 5,8128 5,6597 5,3418 4,9269 4,4945 4,1174 3,8358 3,6380 3,4586 3,1959 2,7549 2,0976 1,2750 0,4129 -0,3513 -0,9409 -1,3677 -1,6979 -1,9935 -2,2824 -2,5605 -2,8007 -2,9720 -3,0703 -3,1242 -3,1661 -3,2139 -3,2653 -3,2925 -3,2566 -3,1379 -2,9350 -2,6401 -2,2293 -1,6870 -1,0455 -0,3942 0,1636 0,5648 0,8063 0,9315 1,0080 1,1094 1,3028 1,6446 2,1774 2,9161 3,8309 4,8476 5,8692 6,7956 7,5455 8,0763 8,3903 8,5185 8,4922 8,3260 8,0370 7,6757 7,3286 7,0875 7,0113 7,1105 7,3502 7,6590 7,9529 8,1668 8,2686 8,2587 8,1639 8,0171 7,8314 7,5942 7,2929 6,9373 6,5460 6,1251 5,6709 5,1722 4,6052 3,9496 3,2217 2,4790 1,7914 1,2081 0,7374 0,3479 -0,0016 -0,3346 -0,6575 -0,9638 -1,2312 -1,4331 -1,5636 -1,6486 -1,7333 -1,8654 -2,0761 -2,3548 -2,6443 -2,8656 -2,9520 -2,8845 -2,7107 -2,5161 -2,3655 -2,2656 -2,1672 -1,9936 -1,6859 -1,2516 -0,7783 -0,3894 -0,1779 -0,1683 -0,3209 -0,5702 -0,8619 -1,1549 -1,4070 -1,5802 -1,6565 -1,6450 -1,5822 -1,5223 -1,5121 -1,5657 -1,6631
