Fp1   0,7903 1,5305 2,0504 2,2514 2,0439 1,4272 0,5197 -0,5344 -1,6619 -2,8478 -4,0783 -5,3109 -6,4495 -7,3296 -7,7616 -7,6029 -6,8203 -5,5248 -3,9139 -2,1640 -0,4277 1,0778 2,0900 2,4849 2,4295 2,3290 2,6057 3,4663 4,8136 6,3557 7,7896 8,8910 9,4579 9,2349 8,0014 5,7906 2,9999 0,2615 -1,8395 -3,0007 -3,2409 -2,7751 -1,8939 -0,9305 -0,2540 -0,2111 -0,9868 -2,4806 -4,3653 -6,2865 -7,9731 -9,2325 -9,9385 -10,0247 -9,4860 -8,4158 -7,0251 -5,5815 -4,2981 -3,2613 -2,4522 -1,8509 -1,4985 -1,4424 -1,6731 -2,1266 -2,6988 -3,2624 -3,7069 -3,9623 -4,0052 -3,8899 -3,7688 -3,8299 -4,1801 -4,7697 -5,4141 -5,8967 -6,0800 -5,9468 -5,5854 -5,1540 -4,8186 -4,7037 -4,8567 -5,2006 -5,5905 -5,9729 -6,4066 -6,9190 -7,4131 -7,6994 -7,6121 -7,1599 -6,5704 -6,1296 -5,9638 -5,9842 -6,0012 -5,8493 -5,4541 -4,8771 -4,3007 -3,9139 -3,8231 -4,0637 -4,6052 -5,3101 -5,9751 -6,4549 -6,7236 -6,8438 -6,9149 -7,0364 -7,2808 -7,6728 -8,1897 -8,7855 -9,4125 -10,0395 -10,6628 -11,2804 -11,8480 -12,2572 -12,3350 -11,8776 -10,7393 -8,9193 -6,5878 -4,0564 -1,7029 0,1216 1,1707 1,3346 0,6203 -0,8532 -2,8227 -4,9132 -6,7695 -8,1594 -8,9822 -9,2498 -9,0747 -8,6456 -8,1579 -7,7191 -7,3257 -6,9172 -6,4190 -5,7411 -4,7812 -3,4725 -1,8679 -0,2031 1,1527 1,8908 1,9541 1,5291 0,8714 0,1704 -0,4712 -1,0138 -1,4330 -1,6918 -1,7793 -1,7095 -1,4545 -0,9625 -0,2670 0,4628 0,9759 1,0719 0,7304 0,1013 -0,6393 -1,4103 -2,2204 -3,0734 -3,9036 -4,6222 -5,2003 -5,6764 -6,1044 -6,5244 -6,9581 -7,3905 -7,7746 -8,0600 -8,2031 -8,1806 -8,0190 -7,7930 -7,5711 -7,3651 -7,1223 -6,7419 -6,1136 -5,1895 -4,0564 -2,9474 -2,1438 -1,8050 -1,8491 -1,9857 -1,8832 -1,3474 -0,4277 0,5736 1,2166 1,1498 0,3045 -1,1105 -2,7724 -4,3828 -5,7374 -6,7620 -7,4972 -8,0177 -8,3306 -8,3388 -7,9255 -7,0908 -6,0061 -4,9505 -4,2211 -4,0842 -4,7299 -6,1799 -8,2242 -10,4742 -12,5012 -13,9884 -14,8498 -15,2639 -15,5825 -16,1372 -17,0454 -18,1308 -18,9987 -19,2087 -18,4800 -16,8814 -14,8707 -13,0775 -11,9722 -11,6696 -11,9532 -12,4353 -12,7431 -12,6787 -12,2953 -11,7998 -11,3446 -10,9264 -10,4865 -10,0569 -9,7432 -9,5668 -9,3899 -8,9996 -8,2315 -7,0597 -5,6553 -4,3833 -3,6895 -3,8838 -4,9512 -6,5318 -8,0575 -8,9600 -8,9142 -7,9871 -6,5377 -4,9615 -3,5314 -2,4020 -1,6594 -1,3419 -1,4709 -2,0577 -2,9965 -3,9938 -4,7364 -5,1231 -5,2655 -5,3069 -5,3225 -5,3521 -5,4173 -5,4661 -5,3589 -4,9869 -4,4038 -3,8067 -3,4153 -3,3674 -3,6692 -4,2022 -4,7694 -5,1446 -5,1526 -4,7911 -4,2773 -3,9492 -4,1036 -4,8581 -6,0823 -7,4574 -8,6523 -9,4529 -9,7499 -9,4873 -8,6721 -7,4207 -5,9887 -4,7372 -3,9952 -3,9049 -4,3811 -5,1502 -5,8371 -6,1378 -5,9685 -5,4603 -4,8637 -4,4587 -4,4977 -5,1453 -6,4063 -8,1168 -9,9905 -11,6645 -12,7920 -13,1707 -12,8120 -11,9280 -10,8441 -9,8513 -9,0972 -8,5912 -8,2393 -7,8811 -7,3524 -6,5365 -5,4126 -4,1255 -2,9784 -2,2791 -2,1627 -2,5980 -3,5508 -5,0598 -7,1113 -9,4724 -11,6967 -13,2915 -13,8910 -13,3709 -11,8839 -9,7841 -7,5063 -5,4612 -3,9242 -2,9708 -2,5035 -2,3054 -2,1339 -1,8617 -1,5427 -1,3539 -1,4721 -1,9476 -2,6598 -3,3914 -3,9181 -4,0379 -3,6135 -2,6343 -1,1951 0,5926 2,6049 4,6113 6,2458 7,1127 6,9248 5,5920 3,2703 0,3808 -2,4923 -4,8650 -6,5730 -7,7407 -8,6082 -9,4005 -10,2516 -11,1608 -12,0040 -12,5746 -12,6466 -12,0549 -10,7492 -8,8358 -6,6124 -4,5041 -2,8886 -1,9437 -1,6172 -1,7230 -2,1007 -2,7117 -3,6084 -4,8498 -6,4406 -8,3251 -10,4129 -12,5322 -14,3486 -15,4407 -15,5447 -14,7192 -13,2536 -11,4613 -9,5811 -7,7962 -6,2517 -5,0141 -4,0377 -3,2301 -2,5728 -2,1269 -1,9163 -1,8676 -1,8880 -1,9351 -1,9741 -1,9184 -1,6644 -1,1773 -0,5143 0,2132 0,8644 1,3060 1,4960 1,5024 1,4200 1,2958 1,1083 0,7778 0,2230 -0,5860 -1,6429 -2,9172 -4,3197 -5,6845 -6,8104 -7,5244 -7,7107 -7,3133 -6,3587 -4,9899 -3,4672 -2,1022 -1,1277 -0,5827 -0,3312 -0,2174 -0,1834 -0,2669 -0,5563 -1,1267 -1,9643 -2,9467 -3,8831 -4,5672 -4,8369 -4,6446 -4,1031 -3,4816 -3,1281 -3,3078 -4,0435 -5,0870 -6,0618 -6,6675 -6,7677 -6,3449 -5,4645 -4,3037 -3,1571 -2,3325 -1,9895 -2,0793 -2,4452 -2,9750 -3,6581 -4,5039 -5,4267 -6,2660 -6,9172 -7,3582 -7,5700 -7,5336 -7,3131 -7,0675 -6,9515 -7,0219 -7,2204 -7,4231 -7,5327 -7,5114 -7,3158 -6,8629 -6,1011 -5,0579 -3,8167 -2,5160 -1,3518 -0,5650 -0,4452 -1,2251 -2,8590 -4,9371 -6,8429 -8,0150 -8,1675 -7,3488 -5,8268 -3,9443 -2,0638 -0,5321 0,4264 0,7931 0,7031 0,3191 -0,2495 -0,9405 -1,7020 -2,4919 -3,2624 -3,9059 -4,2910 -4,3932 -4,3308 -4,2637 -4,3068 -4,5266 -4,9202 -5,3508 -5,5590 -5,3087 -4,5562 -3,5136 -2,5587 -2,0585 -2,2453 -3,1956 -4,8631 -7,1192 -9,7521 -12,4274 -14,7282 -16,3108 -17,0336 -16,9392 -16,1572 -14,8780 -13,3732 -11,9505 -10,8811 -10,3530 -10,4229 -10,9978 -11,9013 -12,9785 -14,1404 -15,3229 -16,4513 -17,4723 -18,3841 -19,1770 -19,7338 -19,8145 -19,1678 -17,6940 -15,5286 -12,9894 -10,4682 -8,3622 -7,0167 -6,6408 -7,2017 -8,3450 -9,4787 -10,0669 -9,9128 -9,1736 -8,1378 -7,0308 -5,9810 -5,0778
Fz    -0,4747 -0,4505 -0,3864 -0,3703 -0,5192 -0,9002 -1,5060 -2,2727 -3,0937 -3,8433 -4,4187 -4,7629 -4,8417 -4,6235 -4,1047 -3,3509 -2,4981 -1,6990 -1,0443 -0,5232 -0,0748 0,3189 0,6038 0,7310 0,7468 0,7911 1,0077 1,4532 2,0770 2,7781 3,4639 4,0609 4,4890 4,6404 4,4177 3,8193 2,9848 2,1399 1,4731 1,0511 0,8457 0,8079 0,8944 1,0471 1,1644 1,0921 0,6782 -0,1257 -1,2304 -2,4626 -3,6293 -4,5699 -5,1939 -5,4787 -5,4478 -5,1644 -4,7250 -4,2335 -3,7647 -3,3302 -2,8866 -2,3956 -1,8624 -1,3175 -0,7979 -0,3514 -0,0284 0,1423 0,1728 0,1142 0,0232 -0,0863 -0,2683 -0,6207 -1,2149 -2,0248 -2,9134 -3,6825 -4,1567 -4,2557 -4,0173 -3,5601 -3,0195 -2,5059 -2,0873 -1,7856 -1,6222 -1,6725 -2,0238 -2,6824 -3,5568 -4,5107 -5,4158 -6,1830 -6,7660 -7,1343 -7,2441 -7,0381 -6,4753 -5,5741 -4,4537 -3,3426 -2,5087 -2,1397 -2,2814 -2,8713 -3,7821 -4,8280 -5,8049 -6,5742 -7,0939 -7,3747 -7,4375 -7,3044 -7,0070 -6,6040 -6,1926 -5,8835 -5,7396 -5,7420 -5,8272 -5,9413 -6,0443 -6,0815 -5,9644 -5,5804 -4,8326 -3,6866 -2,1982 -0,5205 1,1054 2,3834 3,0443 2,9479 2,1297 0,7807 -0,7906 -2,2285 -3,2513 -3,7462 -3,7693 -3,4843 -3,0765 -2,6722 -2,3090 -1,9596 -1,5709 -1,0865 -0,4570 0,3621 1,4122 2,7092 4,1974 5,7194 7,0366 7,9129 8,2147 7,9429 7,1794 6,0329 4,6303 3,1115 1,6104 0,2506 -0,8503 -1,5739 -1,8198 -1,5737 -0,9576 -0,1993 0,4443 0,7719 0,7187 0,3641 -0,1551 -0,7350 -1,3243 -1,8819 -2,3330 -2,5836 -2,5802 -2,3450 -1,9618 -1,5502 -1,2367 -1,1140 -1,2082 -1,4778 -1,8431 -2,2399 -2,6550 -3,0905 -3,4999 -3,7880 -3,8686 -3,6906 -3,2289 -2,4922 -1,5510 -0,5428 0,3717 1,0789 1,5548 1,8534 2,0550 2,2109 2,3183 2,3237 2,1490 1,7407 1,1040 0,2791 -0,6823 -1,6877 -2,5920 -3,2720 -3,7014 -3,9280 -3,9796 -3,8135 -3,3619 -2,6258 -1,7252 -0,8716 -0,3098 -0,2764 -0,9383 -2,3035 -4,1877 -6,2778 -8,2175 -9,6855 -10,4948 -10,6698 -10,4155 -9,9904 -9,5674 -9,1624 -8,6643 -7,9433 -6,9732 -5,8936 -4,9574 -4,3933 -4,2953 -4,6015 -5,1382 -5,6826 -6,0336 -6,0870 -5,8759 -5,5225 -5,1298 -4,7243 -4,2980 -3,8563 -3,3944 -2,8551 -2,1566 -1,2609 -0,2009 0,9343 2,0014 2,8009 3,1363 2,9222 2,2397 1,2942 0,3317 -0,4295 -0,8513 -0,8950 -0,5887 0,0108 0,8129 1,6765 2,4265 2,8994 2,9875 2,6766 2,0815 1,4191 0,8840 0,5352 0,3154 0,1553 0,0329 -0,0505 -0,1067 -0,1483 -0,1676 -0,1586 -0,1568 -0,2323 -0,4406 -0,7832 -1,2094 -1,6489 -2,0388 -2,3124 -2,4029 -2,3040 -2,1123 -1,9838 -2,0427 -2,3171 -2,7302 -3,1484 -3,4532 -3,5737 -3,4741 -3,1509 -2,6622 -2,1430 -1,7672 -1,6759 -1,9168 -2,4404 -3,1450 -3,8979 -4,5267 -4,8515 -4,7491 -4,1955 -3,2932 -2,2750 -1,4433 -1,0535 -1,2125 -1,8565 -2,7907 -3,7570 -4,5324 -5,0157 -5,2357 -5,3001 -5,3451 -5,4942 -5,8179 -6,3049 -6,8524 -7,2907 -7,4408 -7,1700 -6,4441 -5,3748 -4,2024 -3,1876 -2,4957 -2,1789 -2,2401 -2,6679 -3,3999 -4,2798 -5,0710 -5,5133 -5,3956 -4,6516 -3,4271 -2,0416 -0,8658 -0,1882 -0,1151 -0,5489 -1,2557 -1,9551 -2,4072 -2,4987 -2,2815 -1,9327 -1,6513 -1,5400 -1,5605 -1,5933 -1,5201 -1,2542 -0,7493 -0,0262 0,8323 1,7351 2,5967 3,2854 3,6100 3,4003 2,6070 1,3372 -0,1788 -1,6443 -2,7771 -3,4295 -3,6653 -3,7014 -3,7763 -4,0598 -4,6194 -5,4104 -6,2994 -7,1090 -7,6598 -7,8147 -7,5231 -6,8474 -5,9564 -5,0803 -4,4223 -4,0624 -3,9173 -3,8068 -3,5943 -3,2790 -2,9700 -2,8044 -2,8897 -3,2854 -4,0014 -4,9728 -6,0332 -6,9585 -7,5669 -7,7837 -7,6212 -7,1330 -6,4005 -5,5332 -4,6373 -3,7669 -2,9188 -2,0981 -1,3785 -0,8671 -0,6161 -0,5973 -0,7432 -0,9725 -1,1900 -1,3062 -1,2740 -1,1038 -0,8299 -0,4648 0,0016 0,5751 1,2513 2,0110 2,7839 3,4289 3,7706 3,6679 3,0785 2,0729 0,7893 -0,6189 -2,0105 -3,2661 -4,2809 -4,9539 -5,2015 -4,9918 -4,3689 -3,4544 -2,4367 -1,5419 -0,9627 -0,7662 -0,8731 -1,1450 -1,4765 -1,8180 -2,1655 -2,5318 -2,9061 -3,2471 -3,5182 -3,7105 -3,8358 -3,9153 -3,9751 -4,0371 -4,1169 -4,2293 -4,3825 -4,5612 -4,7296 -4,8566 -4,9209 -4,8842 -4,6876 -4,3006 -3,7788 -3,2628 -2,9030 -2,7805 -2,8910 -3,1858 -3,6069 -4,0794 -4,4993 -4,7705 -4,8662 -4,8322 -4,7353 -4,6337 -4,5730 -4,5725 -4,6101 -4,6333 -4,5763 -4,3888 -4,0863 -3,7552 -3,4728 -3,2396 -3,0068 -2,7311 -2,3894 -1,9969 -1,6277 -1,4172 -1,5395 -2,1146 -3,0758 -4,1474 -4,9677 -5,2502 -4,8902 -3,9682 -2,6576 -1,1377 0,4027 1,7431 2,6960 3,1959 3,3004 3,1177 2,7365 2,2085 1,5726 0,8710 0,1476 -0,5448 -1,1501 -1,6474 -2,0628 -2,4262 -2,7410 -3,0092 -3,2415 -3,3958 -3,3414 -2,9459 -2,2169 -1,3553 -0,6728 -0,4408 -0,7787 -1,6292 -2,8117 -4,1175 -5,3698 -6,4201 -7,1587 -7,5727 -7,7712 -7,9148 -8,1055 -8,3467 -8,5820 -8,7383 -8,7599 -8,6369 -8,4033 -8,1059 -7,7943 -7,5358 -7,4138 -7,4933 -7,7937 -8,2953 -8,9528 -9,6771 -10,3195 -10,7044 -10,6976 -10,2630 -9,4680 -8,4402 -7,3319 -6,3229 -5,6051 -5,3204 -5,4869 -5,9570 -6,4566 -6,7184 -6,6356 -6,3013 -5,8920 -5,5274 -5,2360 -5,0083
F3    0,7434 0,8721 0,9625 0,8915 0,5250 -0,1670 -1,1056 -2,1728 -3,2485 -4,2120 -4,9607 -5,4237 -5,5394 -5,2500 -4,5499 -3,5404 -2,4248 -1,4251 -0,6629 -0,1138 0,3092 0,6289 0,7793 0,7091 0,4865 0,2902 0,3099 0,6425 1,2528 2,0158 2,7932 3,4794 3,9893 4,2229 4,0838 3,5624 2,7931 2,0066 1,4020 1,0563 0,9428 0,9983 1,1516 1,3198 1,4033 1,2723 0,7937 -0,0810 -1,2613 -2,5506 -3,7247 -4,6217 -5,1897 -5,4456 -5,4096 -5,1033 -4,5884 -3,9714 -3,3535 -2,7690 -2,1842 -1,5740 -0,9817 -0,4828 -0,1196 0,1148 0,2450 0,2793 0,2175 0,0859 -0,0682 -0,2326 -0,4726 -0,9073 -1,6262 -2,6070 -3,6975 -4,6756 -5,3457 -5,6070 -5,4682 -5,0170 -4,3806 -3,7011 -3,1049 -2,6630 -2,4125 -2,4137 -2,7219 -3,3022 -4,0288 -4,7623 -5,4077 -5,9236 -6,2951 -6,4919 -6,4570 -6,1376 -5,5161 -4,6205 -3,5482 -2,4899 -1,6889 -1,3387 -1,5210 -2,2179 -3,3161 -4,5942 -5,7894 -6,7163 -7,3098 -7,5835 -7,5918 -7,4062 -7,0910 -6,7028 -6,3096 -5,9911 -5,8053 -5,7563 -5,8061 -5,9125 -6,0417 -6,1377 -6,0899 -5,7541 -5,0242 -3,8884 -2,4254 -0,7797 0,8399 2,1646 2,9312 2,9873 2,3438 1,1569 -0,3079 -1,7340 -2,8603 -3,5618 -3,8432 -3,7933 -3,5361 -3,1807 -2,7832 -2,3346 -1,7889 -1,1114 -0,3034 0,6156 1,6450 2,8060 4,0895 5,3909 6,5075 7,2244 7,4237 7,1093 6,3492 5,2359 3,8890 2,4369 0,9916 -0,3397 -1,4335 -2,1451 -2,3393 -1,9749 -1,1749 -0,2070 0,6066 1,0072 0,9052 0,3876 -0,3775 -1,2381 -2,0866 -2,8323 -3,3722 -3,6139 -3,5282 -3,1679 -2,6478 -2,1230 -1,7499 -1,6252 -1,7564 -2,0815 -2,5013 -2,9237 -3,3054 -3,6390 -3,9027 -4,0517 -4,0449 -3,8439 -3,3984 -2,6739 -1,7118 -0,6574 0,2911 0,9843 1,3943 1,6108 1,7726 1,9786 2,2277 2,4139 2,3865 2,0502 1,4206 0,5854 -0,3494 -1,2551 -1,9879 -2,4639 -2,7178 -2,8510 -2,9103 -2,8291 -2,4946 -1,8761 -1,0884 -0,3476 0,1111 0,0739 -0,6153 -1,9798 -3,8660 -5,9874 -7,9972 -9,5627 -10,4716 -10,7230 -10,5124 -10,1103 -9,7088 -9,3248 -8,8193 -8,0214 -6,8823 -5,5552 -4,3396 -3,5274 -3,2655 -3,5151 -4,0905 -4,7308 -5,1882 -5,3280 -5,1826 -4,8899 -4,5617 -4,2213 -3,8605 -3,4990 -3,1486 -2,7471 -2,1842 -1,3945 -0,4065 0,6729 1,6800 2,4147 2,7073 2,5120 1,9350 1,1687 0,4109 -0,1805 -0,5175 -0,5886 -0,4199 -0,0343 0,5365 1,2088 1,8345 2,2430 2,3009 1,9675 1,3479 0,6670 0,1197 -0,2579 -0,5506 -0,8383 -1,1387 -1,4319 -1,6868 -1,8600 -1,9096 -1,8363 -1,7052 -1,6102 -1,6180 -1,7458 -1,9677 -2,2323 -2,4793 -2,6376 -2,6339 -2,4451 -2,1443 -1,8715 -1,7523 -1,8331 -2,0682 -2,3567 -2,6002 -2,7307 -2,7000 -2,4795 -2,0995 -1,6760 -1,3821 -1,3866 -1,7835 -2,5422 -3,5148 -4,4830 -5,2105 -5,5013 -5,2439 -4,4345 -3,2035 -1,8293 -0,6784 -0,0664 -0,1280 -0,7849 -1,7983 -2,8635 -3,7283 -4,2735 -4,5082 -4,5295 -4,4916 -4,5540 -4,8154 -5,2795 -5,8534 -6,3777 -6,6815 -6,6218 -6,1255 -5,2513 -4,2034 -3,2371 -2,5332 -2,1714 -2,1885 -2,5982 -3,3444 -4,2677 -5,1318 -5,6783 -5,6900 -5,0759 -3,9419 -2,5746 -1,3416 -0,5604 -0,3777 -0,7285 -1,3979 -2,1105 -2,6257 -2,8340 -2,7876 -2,6411 -2,5478 -2,5661 -2,6315 -2,6169 -2,4106 -1,9514 -1,2350 -0,3157 0,7243 1,8230 2,9190 3,8638 4,4076 4,3135 3,4975 2,0839 0,3570 -1,3328 -2,6733 -3,5071 -3,8977 -4,0626 -4,2406 -4,6089 -5,2442 -6,1019 -7,0372 -7,8520 -8,3483 -8,3836 -7,9125 -7,0031 -5,8409 -4,6945 -3,8075 -3,2736 -3,0021 -2,8122 -2,5781 -2,3024 -2,0797 -2,0310 -2,2700 -2,8818 -3,8800 -5,1543 -6,4788 -7,6024 -8,3431 -8,6168 -8,4146 -7,7869 -6,8524 -5,7779 -4,7114 -3,7245 -2,8141 -1,9679 -1,2244 -0,6504 -0,2735 -0,0736 -0,0295 -0,1284 -0,3343 -0,5774 -0,7836 -0,9051 -0,9127 -0,7801 -0,5046 -0,1162 0,3665 0,9523 1,6148 2,2422 2,6693 2,7470 2,3982 1,6370 0,5466 -0,7476 -2,0976 -3,3512 -4,3658 -5,0197 -5,2344 -4,9925 -4,3424 -3,4045 -2,3752 -1,4958 -0,9661 -0,8453 -1,0317 -1,3548 -1,6816 -1,9611 -2,2227 -2,5250 -2,8743 -3,2062 -3,4474 -3,5721 -3,6028 -3,5841 -3,5654 -3,5900 -3,6874 -3,8724 -4,1422 -4,4623 -4,7683 -4,9980 -5,1101 -5,0646 -4,8169 -4,3627 -3,7931 -3,2803 -2,9825 -2,9551 -3,1486 -3,4803 -3,8993 -4,3750 -4,8444 -5,2147 -5,4255 -5,4710 -5,3757 -5,1831 -4,9557 -4,7484 -4,5772 -4,4223 -4,2443 -4,0068 -3,7147 -3,4205 -3,1610 -2,9132 -2,6358 -2,3138 -1,9520 -1,5814 -1,2851 -1,2048 -1,5116 -2,3054 -3,4910 -4,7745 -5,7814 -6,2009 -5,9031 -4,9710 -3,6090 -2,0284 -0,4336 0,9542 1,9575 2,5253 2,7261 2,6668 2,4270 2,0494 1,5665 1,0075 0,3883 -0,2683 -0,9202 -1,5405 -2,1416 -2,7404 -3,3267 -3,8786 -4,3641 -4,6948 -4,7188 -4,3222 -3,5527 -2,6412 -1,9028 -1,5954 -1,8336 -2,5818 -3,6986 -5,0058 -6,3352 -7,5279 -8,4444 -9,0229 -9,3188 -9,4509 -9,4957 -9,4469 -9,2572 -8,8953 -8,3870 -7,8251 -7,3298 -6,9924 -6,8503 -6,9029 -7,1357 -7,5237 -8,0323 -8,6341 -9,3067 -9,9866 -10,5440 -10,8304 -10,7527 -10,3052 -9,5473 -8,5606 -7,4439 -6,3509 -5,4874 -5,0356 -5,0622 -5,4613 -5,9820 -6,3543 -6,4396 -6,2688 -5,9386 -5,5043 -4,9854 -4,4340
F7    0,3657 0,3563 0,3497 0,2931 0,0903 -0,3261 -0,9606 -1,7569 -2,6063 -3,3745 -3,9542 -4,2911 -4,3575 -4,1257 -3,5905 -2,8167 -1,9501 -1,1617 -0,5581 -0,1363 0,1707 0,4031 0,5382 0,5491 0,4842 0,4682 0,6250 0,9998 1,5493 2,1930 2,8572 3,4724 3,9450 4,1455 3,9608 3,3835 2,5511 1,6870 0,9822 0,5157 0,2737 0,2138 0,2871 0,4248 0,5343 0,5038 0,2304 -0,3232 -1,1059 -2,0086 -2,8978 -3,6487 -4,1766 -4,4386 -4,4210 -4,1473 -3,6895 -3,1525 -2,6359 -2,1924 -1,8204 -1,5034 -1,2402 -1,0308 -0,8619 -0,7192 -0,5967 -0,4936 -0,4088 -0,3384 -0,2809 -0,2538 -0,3127 -0,5410 -0,9952 -1,6405 -2,3352 -2,8835 -3,1261 -3,0145 -2,6234 -2,0989 -1,5837 -1,1752 -0,9183 -0,8115 -0,8521 -1,0845 -1,5638 -2,2802 -3,1473 -4,0421 -4,8437 -5,4604 -5,8381 -5,9465 -5,7619 -5,2667 -4,4681 -3,4280 -2,2872 -1,2581 -0,5660 -0,3602 -0,6662 -1,4102 -2,4547 -3,6081 -4,6632 -5,4750 -5,9955 -6,2390 -6,2431 -6,0556 -5,7294 -5,3279 -4,9333 -4,6322 -4,4727 -4,4419 -4,4952 -4,5949 -4,7086 -4,7802 -4,7170 -4,4071 -3,7657 -2,7771 -1,5078 -0,1036 1,2208 2,2147 2,6648 2,4739 1,6870 0,4646 -0,9493 -2,2760 -3,2894 -3,8869 -4,0929 -4,0162 -3,7854 -3,4874 -3,1440 -2,7379 -2,2538 -1,6961 -1,0743 -0,3830 0,4033 1,3153 2,3541 3,4521 4,4636 5,2121 5,5672 5,4816 4,9698 4,0858 2,9286 1,6341 0,3441 -0,8172 -1,7436 -2,3307 -2,4828 -2,1776 -1,5240 -0,7378 -0,0709 0,2726 0,2142 -0,1827 -0,7765 -1,4292 -2,0438 -2,5496 -2,8755 -2,9637 -2,8087 -2,4623 -2,0051 -1,5267 -1,1198 -0,8620 -0,7938 -0,9043 -1,1361 -1,4277 -1,7587 -2,1327 -2,5185 -2,8399 -3,0135 -2,9698 -2,6575 -2,0666 -1,2543 -0,3390 0,5437 1,2887 1,8473 2,2324 2,5039 2,7246 2,9105 3,0099 2,9320 2,6117 2,0504 1,2918 0,3906 -0,5665 -1,4474 -2,1336 -2,5908 -2,8507 -2,9267 -2,7717 -2,3249 -1,5975 -0,7145 0,1162 0,6616 0,7044 0,0958 -1,1679 -2,9132 -4,8454 -6,6347 -7,9932 -8,7593 -8,9605 -8,7824 -8,4507 -8,1072 -7,7539 -7,2842 -6,5807 -5,6295 -4,5790 -3,6829 -3,1614 -3,0940 -3,4096 -3,9393 -4,4780 -4,8433 -4,9380 -4,7890 -4,5113 -4,2102 -3,9207 -3,6342 -3,3442 -3,0353 -2,6499 -2,1120 -1,3899 -0,5177 0,4248 1,3155 1,9881 2,2838 2,1422 1,6343 0,9161 0,1680 -0,4456 -0,8150 -0,9038 -0,7296 -0,3357 0,2100 0,8063 1,3277 1,6520 1,6847 1,3870 0,8215 0,1552 -0,4370 -0,8768 -1,1787 -1,3734 -1,4685 -1,4681 -1,3928 -1,2653 -1,0940 -0,8917 -0,7045 -0,6049 -0,6507 -0,8525 -1,1672 -1,5179 -1,8193 -1,9885 -1,9646 -1,7578 -1,4691 -1,2391 -1,1707 -1,2834 -1,5088 -1,7294 -1,8433 -1,8050 -1,6168 -1,3078 -0,9396 -0,6168 -0,4632 -0,5690 -0,9444 -1,5209 -2,1995 -2,8778 -3,4341 -3,7305 -3,6511 -3,1467 -2,2746 -1,2211 -0,2684 0,3091 0,3580 -0,1081 -0,9356 -1,8974 -2,7837 -3,4723 -3,9321 -4,1944 -4,3361 -4,4567 -4,6408 -4,9233 -5,2648 -5,5496 -5,6268 -5,3711 -4,7438 -3,8339 -2,8368 -1,9626 -1,3437 -1,0239 -1,0149 -1,3230 -1,9141 -2,6705 -3,3958 -3,8598 -3,8681 -3,3523 -2,4309 -1,3740 -0,4916 -0,0162 -0,0235 -0,4242 -1,0244 -1,5957 -1,9448 -1,9939 -1,8159 -1,5883 -1,4879 -1,5811 -1,7861 -1,9393 -1,8993 -1,5939 -1,0179 -0,2247 0,6975 1,6678 2,6090 3,3914 3,8236 3,7387 3,0966 2,0158 0,7289 -0,4892 -1,4023 -1,9089 -2,0929 -2,1600 -2,3185 -2,7012 -3,3394 -4,1645 -5,0374 -5,7881 -6,2521 -6,3171 -5,9653 -5,2828 -4,4421 -3,6579 -3,1066 -2,8381 -2,7482 -2,6538 -2,4275 -2,0795 -1,7304 -1,5298 -1,5953 -1,9948 -2,7421 -3,7671 -4,8918 -5,8811 -6,5465 -6,8066 -6,6642 -6,1644 -5,3925 -4,4776 -3,5475 -2,6693 -1,8429 -1,0677 -0,4070 0,0374 0,2050 0,1085 -0,1945 -0,6189 -1,0549 -1,3941 -1,5707 -1,5767 -1,4316 -1,1449 -0,7193 -0,1680 0,4945 1,2511 2,0390 2,7258 3,1432 3,1515 2,7001 1,8481 0,7314 -0,4905 -1,6721 -2,7007 -3,4872 -3,9482 -4,0198 -3,6912 -3,0128 -2,0854 -1,0604 -0,1353 0,4997 0,7558 0,6837 0,4070 0,0350 -0,3727 -0,8022 -1,2534 -1,6993 -2,0843 -2,3622 -2,5249 -2,5958 -2,6113 -2,6065 -2,6054 -2,6209 -2,6643 -2,7458 -2,8636 -2,9969 -3,1169 -3,1931 -3,1822 -3,0297 -2,7132 -2,2933 -1,9111 -1,7142 -1,7739 -2,0658 -2,5138 -3,0378 -3,5609 -3,9984 -4,2827 -4,4077 -4,4243 -4,3925 -4,3556 -4,3416 -4,3523 -4,3494 -4,2724 -4,0700 -3,7291 -3,2982 -2,8722 -2,5206 -2,2343 -1,9573 -1,6440 -1,2817 -0,9037 -0,5956 -0,4822 -0,7007 -1,3308 -2,2945 -3,3417 -4,1579 -4,5047 -4,3019 -3,6142 -2,5673 -1,2854 0,0857 1,3474 2,3055 2,8651 3,0518 2,9590 2,6853 2,3005 1,8439 1,3301 0,7596 0,1432 -0,4874 -1,1047 -1,7018 -2,2707 -2,7834 -3,2104 -3,5253 -3,6695 -3,5431 -3,0800 -2,3458 -1,5550 -0,9825 -0,8380 -1,1887 -1,9574 -2,9761 -4,0639 -5,0688 -5,8627 -6,3567 -6,5560 -6,5801 -6,5901 -6,6845 -6,8665 -7,0854 -7,2730 -7,3636 -7,3183 -7,1372 -6,8513 -6,5178 -6,2205 -6,0515 -6,0767 -6,3160 -6,7515 -7,3375 -7,9884 -8,5718 -8,9401 -8,9878 -8,6923 -8,1065 -7,3168 -6,4252 -5,5692 -4,9167 -4,6071 -4,6768 -5,0149 -5,3938 -5,5780 -5,4486 -5,0469 -4,5061 -3,9545 -3,4737 -3,1089
