Fp1   1,9653 1,9441 1,8173 1,5825 1,2881 0,9961 0,7494 0,5588 0,4116 0,3053 0,2663 0,3231 0,4647 0,6300 0,7324 0,6980 0,5024 0,1878 -0,1636 -0,4783 -0,7200 -0,8857 -0,9909 -1,0514 -1,0648 -1,0094 -0,8724 -0,6777 -0,4695 -0,2753 -0,1006 0,0467 0,1590 0,2503 0,3467 0,4518 0,5308 0,5288 0,4043 0,1569 -0,1641 -0,4807 -0,7248 -0,8729 -0,9539 -1,0284 -1,1446 -1,2957 -1,4206 -1,4531 -1,3698 -1,2052 -1,0391 -0,9512 -0,9599 -0,9982 -0,9622 -0,7914 -0,5132 -0,2200 -0,0100 0,0611 -0,0103 -0,1875 -0,4087 -0,6178 -0,7866 -0,8985 -0,9353 -0,8987 -0,8288 -0,7876 -0,8218 -0,9354 -1,0961 -1,2599 -1,3888 -1,4474 -1,3911 -1,1736 -0,7922 -0,3257 0,0987 0,3884 0,5300 0,5669 0,5466 0,4830 0,3556 0,1419 -0,1352 -0,3846 -0,4843 -0,3574 -0,0194 0,4404 0,9170 1,3354 1,6639 1,9035 2,0575 2,1000 1,9847 1,6836 1,2043 0,5820 -0,1269 -0,8593 -1,5648 -2,2062 -2,7548 -3,1881 -3,4750 -3,5707 -3,4519 -3,1588 -2,7848 -2,4261 -2,1486 -1,9960 -1,9916 -2,1138 -2,2885 -2,4248 -2,4502 -2,3217 -2,0344 -1,6350 -1,2111 -0,8485 -0,5937 -0,4422 -0,3370 -0,1849 0,0936 0,5140 1,0292 1,5836 2,1563 2,7539 3,3831 4,0285 4,6445 5,1742 5,5871 5,8992 6,1690 6,4789 6,8962 7,4298 8,0333 8,6601 9,2972 9,9367 10,5406 11,0506 11,4356 11,7183 11,9424 12,1247 12,2533 12,3099 12,2758 12,1384 11,9005 11,5725 11,1636 10,6914 10,1954 9,7323 9,3459 9,0373 8,7571 8,4346 8,0304 7,5591 7,0531 6,5191 5,9458 5,3355 4,7122 4,1050 3,5314 2,9941 2,4940 2,0439 1,6532 1,3095 0,9940 0,7035 0,4308 0,1393 -0,2179 -0,6548 -1,1348 -1,5992 -1,9966 -2,2765 -2,3706 -2,2090 -1,7735 -1,1320 -0,4027 0,3189 0,9842 1,5551 1,9745 2,1918 2,1984 2,0259 1,7215 1,3359 0,9169 0,5019 0,1150 -0,2268 -0,5073 -0,7229 -0,8883 -1,0044 -1,0225 -0,8710 -0,5102 0,0579 0,8081 1,6816 2,5585 3,2776 3,7111 3,8281 3,6886 3,3829 2,9787 2,5158 2,0324 1,5777 1,1959 0,9214 0,7877 0,8187 1,0203 1,3803 1,8540 2,3587 2,8056 3,1327 3,3075 3,3186 3,1810 2,9509 2,7053 2,4735 2,1921 1,7497 1,0908 0,2809 -0,5251 -1,1747 -1,5822 -1,7186 -1,5709 -1,1398 -0,4840 0,2564 0,9093 1,3573 1,5800 1,6260 1,5553 1,4069 1,2035 0,9687 0,7365 0,5369 0,3727 0,2308 0,1133 0,0399 0,0211 0,0490 0,1113 0,1921 0,2584 0,2696 0,2064 0,0764 -0,1003 -0,2949 -0,4720 -0,6067 -0,6903 -0,7114 -0,6532 -0,5218 -0,3556 -0,1993 -0,0837 -0,0298 -0,0518 -0,1467 -0,2935 -0,4626 -0,6189 -0,7277 -0,7730 -0,7643 -0,7196 -0,6464 -0,5366 -0,3761 -0,1662 0,0677 0,2920 0,4789 0,6095 0,6783 0,6939 0,6635 0,5819 0,4513 0,3117 0,2329 0,2582 0,3618 0,4659 0,4982 0,4328 0,2841 0,0740 -0,1731 -0,4150 -0,5991 -0,6896 -0,6839 -0,6167 -0,5354 -0,4530 -0,3434 -0,1967 -0,0541 0,0263 0,0233 -0,0316 -0,0824 -0,0871 -0,0297 0,0982 0,3049 0,5704 0,8147 0,9249 0,8364 0,5757 0,2192 -0,1564 -0,4808 -0,7000 -0,8029 -0,8137 -0,7514 -0,6126 -0,3905 -0,1012 0,2204 0,5518 0,8911 1,2330 1,5655 1,8910 2,2173 2,5256 2,7712 2,9111 2,9253 2,8168 2,6135 2,3734 2,1701 2,0518 2,0179 2,0460 2,1243 2,2388 2,3553 2,4364 2,4584 2,4063 2,2729 2,0690 1,8230 1,5724 1,3671 1,2690 1,3270 1,5488 1,8922 2,2662 2,5473 2,6258 2,4587 2,0956 1,6557 1,2690 1,0204 0,9254 0,9354 0,9833 1,0492 1,1915 1,5005 2,0001 2,5936 3,1317 3,5355 3,8285 4,0662 4,2716 4,4332 4,5317 4,5608 4,5356 4,4825 4,4065 4,2792 4,0695 3,7760 3,4365 3,1236 2,9248 2,9024 3,0580 3,3293 3,6173 3,8313 3,9328 3,9508 3,9513 3,9817 4,0327 4,0545 4,0096 3,9008 3,7589 3,6252 3,5442 3,5415 3,5961 3,6453 3,6286 3,5252 3,3575 3,1591 2,9395 2,6900 2,4188 2,1633 1,9733 1,8915 1,9369 2,0846 2,2729 2,4538 2,6379 2,8721 3,1752 3,5131 3,8271 4,0701 4,2201 4,2787 4,2589 4,1665 3,9987 3,7583 3,4594 3,1275 2,8064 2,5554 2,4288 2,4595 2,6547 2,9887 3,3967 3,7944 4,1187 4,3555 4,5237 4,6336 4,6691 4,6061 4,4350 4,1667 3,8276 3,4475 3,0400 2,5866 2,0514 1,4241 0,7534 0,1339 -0,3318 -0,5530 -0,4601 -0,0281 0,6922 1,5785 2,4929 3,3410 4,0864 4,7291 5,2826 5,7616 6,1765 6,5398 6,8740 7,1994 7,5189 7,8197 8,0872 8,3153 8,5090 8,6776 8,8313 8,9878 9,1760 9,4289 9,7667 10,1808 10,6315 11,0584 11,3978 11,6030 11,6583 11,5744 11,3838 11,1458 10,9348 10,7950 10,7001 10,5734 10,3484 10,0022 9,5352 8,9382 8,1955 7,3185 6,3601 5,4002 4,5176 3,7576 3,1123 2,5314 1,9592 1,3633 0,7381 0,0978 -0,5219 -1,0733 -1,5235 -1,8717 -2,1434 -2,3765 -2,6058 -2,8519 -3,1185 -3,3967 -3,6716 -3,9271 -4,1522 -4,3365 -4,4687 -4,5624 -4,6686 -4,8286 -5,0285 -5,2275 -5,4083 -5,5807 -5,7593 -5,9469 -6,1178 -6,2104 -6,1513 -5,8945 -5,4419 -4,8382 -4,1621 -3,5155 -2,9916 -2,6319 -2,4164 -2,2931 -2,2139 -2,1559 -2,1202 -2,1076 -2,0923 -2,0192 -1,8207 -1,4368
Fz    2,5408 2,6837 2,7122 2,6264 2,4648 2,2721 2,0743 1,8810 1,6993 1,5417 1,4246 1,3595 1,3399 1,3348 1,2933 1,1666 0,9362 0,6275 0,2911 -0,0315 -0,3233 -0,5871 -0,8287 -1,0447 -1,2209 -1,3423 -1,4034 -1,4128 -1,3845 -1,3219 -1,2191 -1,0766 -0,9008 -0,6928 -0,4589 -0,2310 -0,0672 -0,0282 -0,1463 -0,4056 -0,7447 -1,0876 -1,3770 -1,5871 -1,7226 -1,8159 -1,9018 -1,9771 -1,9998 -1,9288 -1,7538 -1,4990 -1,2205 -0,9844 -0,8198 -0,6920 -0,5327 -0,2998 -0,0134 0,2537 0,4186 0,4372 0,3243 0,1388 -0,0505 -0,1964 -0,2780 -0,2871 -0,2265 -0,1181 0,0026 0,1006 0,1565 0,1726 0,1628 0,1396 0,1190 0,1352 0,2405 0,4786 0,8412 1,2482 1,5890 1,7917 1,8511 1,8057 1,6982 1,5480 1,3472 1,0870 0,7995 0,5732 0,5146 0,6815 1,0493 1,5397 2,0733 2,6010 3,1030 3,5636 3,9412 4,1624 4,1582 3,9010 3,4036 2,7020 1,8555 0,9398 0,0270 -0,8198 -1,5458 -2,1130 -2,5005 -2,6976 -2,7158 -2,6097 -2,4637 -2,3445 -2,2812 -2,2881 -2,3794 -2,5430 -2,7183 -2,8216 -2,7964 -2,6408 -2,3959 -2,1219 -1,8746 -1,6876 -1,5640 -1,4776 -1,3764 -1,1952 -0,8836 -0,4371 0,1033 0,6933 1,3215 2,0040 2,7523 3,5496 4,3561 5,1371 5,8846 6,6101 7,3299 8,0590 8,8043 9,5548 10,2897 11,0073 11,7319 12,4830 13,2387 13,9360 14,5114 14,9429 15,2521 15,4706 15,6114 15,6622 15,5997 15,4165 15,1352 14,7939 14,4263 14,0624 13,7396 13,4965 13,3488 13,2686 13,1822 12,9960 12,6475 12,1369 11,5009 10,7660 9,9459 9,0675 8,1747 7,3055 6,4764 5,6948 4,9822 4,3737 3,8867 3,4974 3,1602 2,8382 2,5073 2,1409 1,7155 1,2377 0,7552 0,3267 -0,0109 -0,2300 -0,2792 -0,0875 0,3810 1,0786 1,8935 2,7126 3,4538 4,0513 4,4459 4,6122 4,5774 4,3935 4,1038 3,7423 3,3477 2,9613 2,6091 2,2919 1,9996 1,7261 1,4751 1,2801 1,2220 1,3888 1,8155 2,4769 3,3148 4,2432 5,1388 5,8640 6,3204 6,4779 6,3632 6,0301 5,5394 4,9562 4,3586 3,8314 3,4420 3,2301 3,2106 3,3689 3,6663 4,0617 4,5093 4,9428 5,2904 5,5018 5,5585 5,4707 5,2777 5,0470 4,8525 4,7241 4,6093 4,4013 4,0211 3,4827 2,8816 2,3305 1,9188 1,7206 1,8004 2,1799 2,7925 3,4878 4,1006 4,5274 4,7472 4,7877 4,6879 4,4867 4,2178 3,9048 3,5688 3,2316 2,9036 2,5854 2,2851 2,0198 1,7970 1,6099 1,4511 1,3133 1,1741 1,0046 0,7969 0,5682 0,3372 0,1120 -0,1062 -0,3197 -0,5258 -0,6971 -0,7843 -0,7546 -0,6214 -0,4309 -0,2287 -0,0419 0,1198 0,2538 0,3553 0,4182 0,4453 0,4545 0,4687 0,5076 0,5835 0,7003 0,8574 1,0479 1,2507 1,4402 1,6053 1,7478 1,8673 1,9618 2,0321 2,0761 2,0865 2,0681 2,0558 2,1035 2,2406 2,4391 2,6266 2,7304 2,7142 2,5865 2,3754 2,1114 1,8357 1,5926 1,4048 1,2721 1,1883 1,1566 1,1968 1,3239 1,5097 1,6778 1,7499 1,6981 1,5554 1,3834 1,2339 1,1377 1,1159 1,1822 1,3205 1,4606 1,5057 1,4088 1,2128 1,0060 0,8608 0,8203 0,8998 1,0714 1,2730 1,4558 1,6198 1,8040 2,0499 2,3732 2,7611 3,1834 3,6014 3,9816 4,3018 4,5394 4,6673 4,6742 4,5807 4,4278 4,2490 4,0576 3,8630 3,6858 3,5496 3,4658 3,4364 3,4620 3,5314 3,6112 3,6590 3,6405 3,5323 3,3284 3,0540 2,7592 2,4899 2,2760 2,1480 2,1407 2,2709 2,5150 2,7986 3,0098 3,0445 2,8615 2,5059 2,0862 1,7225 1,5043 1,4650 1,5767 1,7767 2,0256 2,3457 2,7922 3,3796 4,0447 4,6953 5,2921 5,8606 6,4261 6,9605 7,3953 7,6691 7,7651 7,7186 7,5871 7,4045 7,1685 6,8657 6,4917 6,0594 5,6180 5,2566 5,0694 5,1026 5,3305 5,6739 6,0448 6,3903 6,7066 7,0136 7,3177 7,5931 7,7954 7,8903 7,8643 7,7174 7,4618 7,1260 6,7432 6,3290 5,8748 5,3686 4,8202 4,2663 3,7436 3,2594 2,8040 2,3881 2,0521 1,8474 1,8128 1,9500 2,2059 2,4893 2,7301 2,9305 3,1494 3,4342 3,7726 4,1055 4,3684 4,5233 4,5677 4,5241 4,4231 4,2915 4,1452 3,9834 3,7980 3,5973 3,4191 3,3146 3,3235 3,4635 3,7231 4,0569 4,4019 4,7144 4,9860 5,2211 5,4064 5,5069 5,4900 5,3503 5,1139 4,8223 4,5067 4,1655 3,7605 3,2428 2,6032 1,9036 1,2570 0,7822 0,5739 0,6916 1,1409 1,8582 2,7310 3,6509 4,5543 5,4189 6,2399 7,0170 7,7478 8,4224 9,0264 9,5511 10,0007 10,3916 10,7436 11,0696 11,3759 11,6687 11,9548 12,2411 12,5423 12,8826 13,2812 13,7339 14,2062 14,6489 15,0191 15,2895 15,4468 15,4862 15,4079 15,2308 15,0087 14,8182 14,7067 14,6455 14,5472 14,3316 13,9670 13,4544 12,7938 11,9770 11,0035 9,8955 8,7014 7,4904 6,3321 5,2686 4,3044 3,4214 2,5977 1,8098 1,0361 0,2723 -0,4648 -1,1549 -1,7837 -2,3368 -2,7966 -3,1494 -3,3971 -3,5626 -3,6833 -3,7968 -3,9288 -4,0839 -4,2421 -4,3752 -4,4820 -4,5979 -4,7510 -4,9278 -5,1011 -5,2708 -5,4609 -5,6933 -5,9706 -6,2592 -6,4784 -6,5249 -6,3241 -5,8650 -5,1987 -4,4239 -3,6625 -3,0145 -2,5155 -2,1422 -1,8512 -1,6111 -1,4090 -1,2403 -1,0902 -0,9228 -0,6808 -0,2973 0,2797
F3    0,9463 0,9715 0,9056 0,7647 0,5875 0,4292 0,3356 0,3170 0,3444 0,3680 0,3442 0,2636 0,1664 0,1214 0,1725 0,3039 0,4541 0,5469 0,5184 0,3404 0,0297 -0,3699 -0,8032 -1,1988 -1,4733 -1,5634 -1,4594 -1,2035 -0,8615 -0,4983 -0,1670 0,0990 0,3022 0,4743 0,6346 0,7593 0,7945 0,6916 0,4355 0,0598 -0,3545 -0,7077 -0,9212 -0,9568 -0,8202 -0,5610 -0,2533 0,0360 0,2596 0,3955 0,4589 0,4883 0,5083 0,5212 0,5332 0,5663 0,6356 0,7222 0,7737 0,7396 0,6177 0,4668 0,3623 0,3437 0,3989 0,4762 0,5168 0,5002 0,4536 0,4152 0,4033 0,4172 0,4475 0,4811 0,5028 0,5003 0,4667 0,3928 0,2679 0,0981 -0,0944 -0,2978 -0,5124 -0,7273 -0,9117 -1,0338 -1,0789 -1,0568 -0,9929 -0,9068 -0,7883 -0,5993 -0,3054 0,0933 0,5611 1,0515 1,5289 1,9697 2,3523 2,6499 2,8304 2,8596 2,7127 2,3898 1,9236 1,3767 0,8252 0,3194 -0,1470 -0,6155 -1,1053 -1,5777 -1,9555 -2,1813 -2,2583 -2,2364 -2,1698 -2,0902 -2,0129 -1,9477 -1,8956 -1,8364 -1,7323 -1,5529 -1,3000 -0,9989 -0,6638 -0,2852 0,1393 0,5751 0,9574 1,2239 1,3449 1,3319 1,2267 1,0894 0,9967 1,0360 1,2803 1,7660 2,4884 3,4043 4,4398 5,5084 6,5254 7,4242 8,1761 8,7930 9,2988 9,7003 9,9965 10,2207 10,4537 10,7774 11,2209 11,7532 12,3179 12,8605 13,3249 13,6483 13,7803 13,7107 13,4680 13,0993 12,6594 12,2094 11,8084 11,4917 11,2548 11,0624 10,8708 10,6389 10,3311 9,9197 9,3929 8,7662 8,0863 7,4075 6,7570 6,1264 5,4937 4,8450 4,1793 3,5097 2,8655 2,2809 1,7693 1,3212 0,9325 0,6125 0,3537 0,1093 -0,1793 -0,5293 -0,8946 -1,1987 -1,3854 -1,4314 -1,3247 -1,0558 -0,6358 -0,1052 0,4819 1,0700 1,6031 2,0336 2,3380 2,5206 2,6078 2,6338 2,6273 2,6036 2,5612 2,4836 2,3555 2,1812 1,9821 1,7729 1,5594 1,3674 1,2489 1,2383 1,3240 1,4808 1,7068 2,0135 2,3915 2,7979 3,1671 3,4381 3,5843 3,6229 3,5985 3,5575 3,5323 3,5391 3,5764 3,6340 3,7041 3,7770 3,8372 3,8717 3,8745 3,8462 3,7940 3,7244 3,6376 3,5360 3,4352 3,3713 3,3931 3,5228 3,7101 3,8406 3,8039 3,5624 3,1683 2,7232 2,3214 2,0273 1,8859 1,9147 2,0783 2,2972 2,5004 2,6657 2,8121 2,9664 3,1423 3,3341 3,5191 3,6663 3,7514 3,7679 3,7218 3,6237 3,4924 3,3504 3,2049 3,0361 2,8093 2,4968 2,0888 1,6000 1,0755 0,5836 0,1930 -0,0453 -0,1100 -0,0217 0,1658 0,4019 0,6626 0,9375 1,2114 1,4700 1,7126 1,9380 2,1217 2,2177 2,1839 2,0050 1,7074 1,3581 1,0391 0,8104 0,6894 0,6662 0,7399 0,9298 1,2430 1,6422 2,0466 2,3629 2,5280 2,5337 2,4168 2,2316 2,0296 1,8503 1,7220 1,6620 1,6682 1,7087 1,7326 1,6973 1,5898 1,4259 1,2305 1,0249 0,8270 0,6536 0,5219 0,4516 0,4714 0,6251 0,9505 1,4231 1,9207 2,2707 2,3434 2,1057 1,6105 0,9572 0,2549 -0,4020 -0,9482 -1,3475 -1,5828 -1,6540 -1,5815 -1,3968 -1,1349 -0,8458 -0,5889 -0,3929 -0,2347 -0,0741 0,1004 0,2702 0,4115 0,5126 0,5709 0,5867 0,5753 0,5813 0,6615 0,8473 1,1242 1,4330 1,6886 1,8218 1,8258 1,7596 1,7034 1,7147 1,8118 1,9738 2,1489 2,2781 2,3315 2,3283 2,3130 2,3120 2,3172 2,3033 2,2508 2,1638 2,0716 2,0095 1,9899 1,9973 2,0104 2,0164 2,0017 1,9371 1,7774 1,4835 1,0595 0,5645 0,0905 -0,2717 -0,4557 -0,4288 -0,1966 0,1913 0,6583 1,1380 1,5986 2,0327 2,4317 2,7792 3,0664 3,3110 3,5529 3,8223 4,1122 4,3862 4,6066 4,7503 4,8054 4,7637 4,6085 4,3211 3,9101 3,4246 2,9303 2,4886 2,1556 1,9803 1,9863 2,1576 2,4516 2,8266 3,2579 3,7348 4,2444 4,7538 5,2024 5,5161 5,6319 5,5087 5,1389 4,5710 3,9153 3,2961 2,7874 2,3912 2,0637 1,7473 1,3885 0,9474 0,4219 -0,1267 -0,5936 -0,8811 -0,9239 -0,6909 -0,1994 0,4690 1,1879 1,8385 2,3517 2,7097 2,9187 3,0016 3,0023 2,9662 2,9113 2,8350 2,7446 2,6641 2,6136 2,5944 2,5966 2,6113 2,6371 2,6793 2,7378 2,8001 2,8562 2,9178 3,0120 3,1613 3,3737 3,6408 3,9291 4,1689 4,2709 4,1688 3,8588 3,4102 2,9343 2,5226 2,2036 1,9457 1,6873 1,3736 0,9855 0,5493 0,1248 -0,2124 -0,3890 -0,3546 -0,0988 0,3544 0,9717 1,7244 2,5778 3,4840 4,3907 5,2440 5,9856 6,5708 7,0000 7,3210 7,5941 7,8556 8,1130 8,3606 8,5933 8,8114 9,0231 9,2459 9,5003 9,7950 10,1121 10,4054 10,6260 10,7584 10,8387 10,9377 11,1096 11,3449 11,5793 11,7387 11,7756 11,6808 11,4732 11,1761 10,8045 10,3671 9,8596 9,2544 8,5183 7,6419 6,6434 5,5589 4,4410 3,3519 2,3475 1,4630 0,7146 0,1104 -0,3510 -0,6951 -0,9656 -1,2034 -1,4356 -1,6733 -1,9156 -2,1679 -2,4548 -2,8044 -3,2198 -3,6657 -4,0858 -4,4357 -4,7004 -4,8876 -5,0208 -5,1380 -5,2730 -5,4194 -5,5236 -5,5316 -5,4462 -5,3283 -5,2469 -5,2352 -5,2867 -5,3725 -5,4515 -5,4781 -5,4224 -5,2944 -5,1411 -5,0080 -4,9004 -4,7814 -4,6010 -4,3235 -3,9415 -3,4847 -3,0143 -2,5975 -2,2802 -2,0696 -1,9180 -1,7332
F7    0,5642 0,6045 0,5617 0,4368 0,2633 0,0821 -0,0765 -0,2011 -0,2994 -0,3812 -0,4486 -0,5144 -0,6136 -0,7773 -0,9981 -1,2260 -1,3948 -1,4540 -1,3858 -1,2046 -0,9481 -0,6662 -0,4043 -0,1894 -0,0238 0,1118 0,2414 0,3733 0,5052 0,6456 0,8079 0,9800 1,1180 1,1824 1,1668 1,0848 0,9416 0,7368 0,4871 0,2306 0,0040 -0,1711 -0,2801 -0,3050 -0,2322 -0,0737 0,1222 0,2886 0,3727 0,3562 0,2501 0,0767 -0,1407 -0,3776 -0,5998 -0,7587 -0,8134 -0,7631 -0,6507 -0,5358 -0,4693 -0,4743 -0,5356 -0,6059 -0,6252 -0,5540 -0,4043 -0,2284 -0,0805 0,0015 -0,0123 -0,1489 -0,4163 -0,7822 -1,1789 -1,5303 -1,7796 -1,9043 -1,9110 -1,8131 -1,6220 -1,3660 -1,1051 -0,9092 -0,8178 -0,8236 -0,8938 -0,9967 -1,1099 -1,2197 -1,3192 -1,4046 -1,4697 -1,4981 -1,4624 -1,3315 -1,0810 -0,7097 -0,2504 0,2394 0,6989 1,0754 1,3252 1,4151 1,3290 1,0749 0,6811 0,1821 -0,3921 -1,0095 -1,6235 -2,1744 -2,5977 -2,8429 -2,8965 -2,7895 -2,5821 -2,3372 -2,0944 -1,8592 -1,6199 -1,3716 -1,1268 -0,9056 -0,7179 -0,5585 -0,4155 -0,2851 -0,1708 -0,0586 0,0919 0,3161 0,6152 0,9629 1,3339 1,7204 2,1253 2,5500 2,9954 3,4639 3,9558 4,4626 4,9626 5,4227 5,8156 6,1432 6,4439 6,7755 7,1873 7,6946 8,2732 8,8768 9,4576 9,9727 10,3892 10,6993 10,9258 11,1018 11,2368 11,3071 11,2846 11,1686 10,9830 10,7510 10,4714 10,1199 9,6773 9,1503 8,5631 7,9403 7,3001 6,6593 6,0357 5,4499 4,9311 4,5090 4,1862 3,9194 3,6414 3,3024 2,8855 2,3941 1,8417 1,2493 0,6465 0,0740 -0,4298 -0,8520 -1,2035 -1,4940 -1,7243 -1,8982 -2,0237 -2,1042 -2,1434 -2,1513 -2,1381 -2,1065 -2,0501 -1,9584 -1,8298 -1,6828 -1,5440 -1,4171 -1,2735 -1,0815 -0,8426 -0,5928 -0,3749 -0,2189 -0,1524 -0,2074 -0,3946 -0,6755 -0,9742 -1,2144 -1,3591 -1,4283 -1,4759 -1,5404 -1,6116 -1,6369 -1,5612 -1,3554 -1,0125 -0,5454 -0,0115 0,4764 0,7969 0,8907 0,7828 0,5413 0,2314 -0,0939 -0,3806 -0,5657 -0,5908 -0,4306 -0,1080 0,3191 0,7876 1,2510 1,6839 2,0732 2,4057 2,6559 2,7843 2,7534 2,5563 2,2260 1,8095 1,3379 0,8314 0,3245 -0,1310 -0,4923 -0,7417 -0,8763 -0,8987 -0,8202 -0,6590 -0,4336 -0,1675 0,0959 0,3000 0,4084 0,4302 0,4079 0,3847 0,3817 0,4021 0,4478 0,5216 0,6106 0,6731 0,6556 0,5331 0,3360 0,1306 -0,0286 -0,1286 -0,1856 -0,2207 -0,2521 -0,2987 -0,3782 -0,4933 -0,6186 -0,7133 -0,7512 -0,7297 -0,6601 -0,5625 -0,4627 -0,3788 -0,3094 -0,2438 -0,1806 -0,1242 -0,0749 -0,0304 0,0110 0,0617 0,1463 0,2768 0,4277 0,5441 0,5763 0,5098 0,3741 0,2206 0,0869 -0,0189 -0,1129 -0,2219 -0,3653 -0,5404 -0,7292 -0,9137 -1,0792 -1,2084 -1,2794 -1,2721 -1,1877 -1,0663 -0,9778 -0,9882 -1,1277 -1,3742 -1,6609 -1,9091 -2,0644 -2,1016 -2,0153 -1,8292 -1,6000 -1,3934 -1,2529 -1,1887 -1,1814 -1,1958 -1,2081 -1,2198 -1,2404 -1,2630 -1,2635 -1,2208 -1,1390 -1,0477 -0,9817 -0,9684 -1,0288 -1,1793 -1,4267 -1,7583 -2,1373 -2,5180 -2,8684 -3,1674 -3,3887 -3,4991 -3,4737 -3,3094 -3,0209 -2,6266 -2,1513 -1,6409 -1,1462 -0,6949 -0,3016 0,0112 0,2228 0,3279 0,3351 0,2690 0,1694 0,0833 0,0634 0,1559 0,3714 0,6682 0,9706 1,2027 1,3167 1,3088 1,2215 1,1232 1,0674 1,0638 1,0866 1,1058 1,1085 1,0939 1,0607 1,0073 0,9389 0,8647 0,7890 0,7098 0,6230 0,5249 0,4184 0,3216 0,2586 0,2322 0,2135 0,1694 0,0969 0,0326 0,0421 0,1903 0,4983 0,9251 1,3911 1,8205 2,1683 2,4228 2,5967 2,7090 2,7629 2,7529 2,6889 2,5984 2,4973 2,3729 2,2060 2,0105 1,8333 1,7187 1,6879 1,7465 1,8853 2,0689 2,2411 2,3516 2,3877 2,3834 2,3885 2,4216 2,4555 2,4475 2,3759 2,2529 2,1257 2,0580 2,0867 2,1883 2,2957 2,3468 2,3251 2,2591 2,1845 2,1062 2,0032 1,8622 1,6929 1,5160 1,3565 1,2452 1,2098 1,2605 1,3887 1,5787 1,8133 2,0645 2,2920 2,4564 2,5356 2,5376 2,5006 2,4665 2,4534 2,4580 2,4713 2,4822 2,4792 2,4585 2,4223 2,3751 2,3332 2,3333 2,4243 2,6508 3,0304 3,5218 4,0211 4,4086 4,6156 4,6521 4,5757 4,4337 4,2363 3,9777 3,6618 3,2970 2,8811 2,4062 1,8797 1,3365 0,8363 0,4490 0,2361 0,2329 0,4389 0,8178 1,3078 1,8396 2,3542 2,8137 3,2110 3,5790 3,9827 4,4802 5,0771 5,7184 6,3229 6,8232 7,1844 7,4017 7,4916 7,4874 7,4384 7,4031 7,4310 7,5452 7,7414 7,9998 8,2991 8,6241 8,9623 9,2884 9,5604 9,7407 9,8143 9,7845 9,6640 9,4697 9,2149 8,8999 8,5184 8,0789 7,6142 7,1542 6,6931 6,2000 5,6598 5,0889 4,5200 3,9818 3,4861 3,0261 2,5807 2,1168 1,5990 1,0177 0,4116 -0,1470 -0,6037 -0,9676 -1,3039 -1,6862 -2,1522 -2,6850 -3,2229 -3,6886 -4,0240 -4,2111 -4,2746 -4,2699 -4,2588 -4,2857 -4,3725 -4,5217 -4,7116 -4,8975 -5,0403 -5,1334 -5,1954 -5,2453 -5,2896 -5,3190 -5,3072 -5,2158 -5,0109 -4,6784 -4,2288 -3,6995 -3,1578 -2,6828 -2,3239 -2,0769 -1,9104 -1,8079 -1,7725 -1,8037 -1,8829 -1,9710 -2,0110 -1,9344 -1,6759
