Fp1   -1,4285 -1,1478 -0,7995 -0,4339 -0,0935 0,1930 0,4059 0,5398 0,6165 0,6773 0,7604 0,8913 1,0765 1,2983 1,5212 1,7038 1,8118 1,8335 1,7868 1,6989 1,5747 1,3898 1,1254 0,8044 0,4839 0,2109 -0,0044 -0,1628 -0,2380 -0,2004 -0,0790 0,0344 0,0515 -0,0548 -0,2497 -0,4718 -0,6696 -0,8196 -0,9182 -0,9616 -0,9521 -0,9193 -0,9114 -0,9668 -1,1016 -1,3070 -1,5534 -1,8045 -2,0307 -2,2102 -2,3381 -2,4446 -2,5860 -2,7949 -3,0443 -3,2699 -3,4182 -3,4683 -3,4302 -3,3358 -3,2215 -3,1147 -3,0333 -2,9899 -2,9855 -3,0027 -3,0179 -3,0205 -3,0115 -2,9884 -2,9448 -2,8779 -2,7902 -2,6842 -2,5590 -2,4137 -2,2535 -2,0910 -1,9383 -1,7955 -1,6478 -1,4779 -1,2798 -1,0542 -0,7920 -0,4686 -0,0597 0,4373 0,9931 1,5531 2,0569 2,4620 2,7554 2,9420 3,0298 3,0257 2,9356 2,7631 2,5124 2,1978 1,8494 1,5067 1,2040 0,9655 0,8052 0,7179 0,6735 0,6337 0,5843 0,5439 0,5383 0,5726 0,6318 0,6946 0,7363 0,7232 0,6192 0,4001 0,0582 -0,4039 -0,9801 -1,6626 -2,4292 -3,2232 -3,9501 -4,5035 -4,8041 -4,8277 -4,6085 -4,2172 -3,7326 -3,2216 -2,7293 -2,2821 -1,8984 -1,5906 -1,3607 -1,2068 -1,1283 -1,1105 -1,1053 -1,0397 -0,8516 -0,5174 -0,0558 0,4788 1,0023 1,4233 1,6811 1,7672 1,7140 1,5700 1,3809 1,1926 1,0656 1,0624 1,2120 1,4964 1,8687 2,2758 2,6720 3,0279 3,3297 3,5658 3,7177 3,7676 3,7132 3,5740 3,3873 3,1989 3,0441 2,9287 2,8321 2,7298 2,6126 2,4946 2,4047 2,3705 2,4097 2,5285 2,7218 2,9797 3,2947 3,6613 4,0646 4,4662 4,8074 5,0322 5,1059 5,0172 4,7823 4,4517 4,1010 3,8036 3,6127 3,5650 3,6801 3,9381 4,2691 4,5823 4,8043 4,8911 4,8196 4,5870 4,2236 3,7912 3,3558 2,9602 2,6156 2,3194 2,0781 1,9058 1,8071 1,7720 1,7779 1,7923 1,7849 1,7385 1,6457 1,4951 1,2621 0,9105 0,4131 -0,2228 -0,9504 -1,6988 -2,3938 -2,9800 -3,4299 -3,7436 -3,9472 -4,0802 -4,1624 -4,1721 -4,0599 -3,7866 -3,3585 -2,8331 -2,2848 -1,7589 -1,2611 -0,7849 -0,3478 -0,0029 0,1867 0,1893 0,0269 -0,2310 -0,4949 -0,6859 -0,7525 -0,6755 -0,4653 -0,1578 0,1939 0,5324 0,8126 1,0114 1,1336 1,2131 1,2940 1,3948 1,4967 1,5662 1,5729 1,4872 1,2823 0,9574 0,5541 0,1371 -0,2369 -0,5330 -0,7334 -0,8327 -0,8346 -0,7493 -0,5921 -0,3831 -0,1409 0,1170 0,3598 0,5368 0,5949 0,5056 0,2758 -0,0565 -0,4428 -0,8476 -1,2510 -1,6355 -1,9791 -2,2573 -2,4454 -2,5202 -2,4723 -2,3234 -2,1233 -1,9250 -1,7640 -1,6559 -1,6051 -1,6112 -1,6693 -1,7699 -1,9085 -2,0832 -2,2737 -2,4332 -2,5154 -2,5059 -2,4283 -2,3269 -2,2420 -2,1895 -2,1548 -2,1061 -2,0142 -1,8624 -1,6445 -1,3710 -1,0764 -0,8088 -0,6063 -0,4837 -0,4299 -0,4057 -0,3466 -0,1868 0,1077 0,5216 0,9989 1,4681 1,8712 2,1730 2,3628 2,4630 2,5263 2,5990 2,6862 2,7532 2,7504 2,6429 2,4314 2,1508 1,8538 1,5940 1,4131 1,3315 1,3476 1,4467 1,6054 1,7957 1,9955 2,1864 2,3384 2,4130 2,3873 2,2708 2,0884 1,8563 1,5888 1,3042 1,0026 0,6630 0,2806 -0,1089 -0,4426 -0,6624 -0,7399 -0,6922 -0,5771 -0,4634 -0,4011 -0,4163 -0,5150 -0,6827 -0,8835 -1,0617 -1,1507 -1,0968 -0,8896 -0,5713 -0,2066 0,1605 0,5204 0,8783 1,2232 1,5186 1,7276 1,8356 1,8414 1,7545 1,6032 1,4266 1,2598 1,1324 1,0631 1,0513 1,0877 1,1641 1,2661 1,3744 1,4884 1,6352 1,8444 2,1240 2,4643 2,8485 3,2433 3,5907 3,8342 3,9589 4,0030 4,0291 4,0794 4,1545 4,2248 4,2580 4,2426 4,2001 4,1720 4,1849 4,2301 4,2837 4,3367 4,3962 4,4674 4,5417 4,6024 4,6392 4,6462 4,6051 4,4815 4,2427 3,8796 3,4226 2,9374 2,5070 2,2037 2,0563 2,0377 2,0905 2,1651 2,2389 2,3136 2,4031 2,5223 2,6819 2,8813 3,1028 3,3065 3,4375 3,4503 3,3375 3,1366 2,9131 2,7305 2,6281 2,6204 2,6994 2,8318 2,9731 3,0918 3,1853 3,2849 3,4454 3,7120 4,0882 4,5324 4,9888 5,4146 5,7803 6,0658 6,2553 6,3208 6,2175 5,9081 5,3918 4,7139 3,9561 3,2168 2,5849 2,1126 1,8031 1,6173 1,4910 1,3618 1,2051 1,0426 0,9107 0,8231 0,7656 0,7172 0,6699 0,6315 0,6146 0,6329 0,6972 0,7977 0,8961 0,9485 0,9358 0,8731 0,8096 0,8187 0,9664 1,2766 1,7201 2,2231 2,6956 3,0735 3,3350 3,4817 3,5228 3,4710 3,3341 3,1081 2,7963 2,4335 2,0796 1,7878 1,5924 1,5231 1,6149 1,8865 2,3030 2,7670 3,1578 3,3867 3,4346 3,3520 3,2153 3,0684 2,9037 2,6969 2,4541 2,2260 2,0866 2,0953 2,2615 2,5331 2,8151 3,0188 3,1208 3,1849 3,3192 3,6042 4,0465 4,5875 5,1449 5,6447 6,0327 6,2747 6,3463 6,2266 5,9112 5,4382 4,8910 4,3732 3,9756 3,7503 3,6980 3,7844 3,9723 4,2349 4,5445 4,8529 5,0831 5,1508 5,0060 4,6549 4,1572 3,6201 3,1691 2,8826 2,7469 2,6713 2,5390 2,2680 1,8498 1,3400 0,8167 0,3508 -0,0058 -0,2263 -0,3204 -0,3383 -0,3457 -0,3829 -0,4511 -0,5323 -0,6145 -0,6968 -0,7784 -0,8503 -0,8968 -0,8968 -0,8375 -0,7348 -0,6312
Fz    -2,2976 -2,2433 -2,1314 -1,9043 -1,5221 -0,9884 -0,3681 0,2343 0,7254 1,0571 1,2298 1,2829 1,2841 1,3083 1,4116 1,6105 1,8759 2,1505 2,3754 2,5047 2,5087 2,3818 2,1496 1,8546 1,5328 1,1997 0,8562 0,5090 0,1835 -0,0863 -0,2796 -0,3990 -0,4637 -0,5040 -0,5607 -0,6745 -0,8604 -1,0874 -1,2851 -1,3795 -1,3330 -1,1668 -0,9516 -0,7735 -0,6992 -0,7685 -1,0130 -1,4629 -2,1166 -2,9054 -3,7063 -4,3956 -4,8943 -5,1768 -5,2569 -5,1763 -4,9952 -4,7756 -4,5664 -4,3980 -4,2803 -4,2090 -4,1746 -4,1604 -4,1283 -4,0164 -3,7610 -3,3357 -2,7811 -2,2005 -1,7204 -1,4419 -1,4081 -1,5924 -1,9059 -2,2312 -2,4718 -2,5840 -2,5732 -2,4662 -2,2836 -2,0236 -1,6638 -1,1806 -0,5696 0,1479 0,9233 1,6796 2,3287 2,8021 3,0696 3,1365 3,0271 2,7725 2,4182 2,0335 1,7015 1,4928 1,4434 1,5480 1,7727 2,0658 2,3576 2,5699 2,6355 2,5140 2,1994 1,7187 1,1224 0,4771 -0,1451 -0,6859 -1,1115 -1,4027 -1,5454 -1,5425 -1,4323 -1,2781 -1,1390 -1,0494 -1,0201 -1,0447 -1,1100 -1,2140 -1,3774 -1,6276 -1,9708 -2,3834 -2,8260 -3,2565 -3,6351 -3,9266 -4,0952 -4,0953 -3,8747 -3,4026 -2,7054 -1,8838 -1,0880 -0,4545 -0,0444 0,1729 0,2814 0,3727 0,5162 0,7393 1,0153 1,2860 1,5058 1,6587 1,7381 1,7416 1,6887 1,6241 1,5977 1,6410 1,7517 1,8934 2,0123 2,0630 2,0268 1,9152 1,7590 1,5939 1,4571 1,3872 1,4046 1,4889 1,5902 1,6732 1,7499 1,8663 2,0609 2,3399 2,6793 3,0415 3,3985 3,7426 4,0618 4,3035 4,3874 4,2687 3,9821 3,6274 3,3250 3,1695 3,2027 3,4208 3,7968 4,2853 4,8140 5,2899 5,6263 5,7739 5,7375 5,5688 5,3345 5,0855 4,8537 4,6624 4,5281 4,4518 4,4156 4,3949 4,3762 4,3531 4,3047 4,1878 3,9533 3,5765 3,0766 2,5031 1,9104 1,3502 0,8641 0,4666 0,1439 -0,1308 -0,3927 -0,6808 -1,0225 -1,4277 -1,8971 -2,4261 -3,0067 -3,6283 -4,2718 -4,9001 -5,4522 -5,8594 -6,0830 -6,1325 -6,0441 -5,8556 -5,6016 -5,3197 -5,0507 -4,8260 -4,6526 -4,5097 -4,3621 -4,1790 -3,9501 -3,6927 -3,4435 -3,2385 -3,0939 -3,0024 -2,9463 -2,9145 -2,9070 -2,9212 -2,9367 -2,9156 -2,8156 -2,6048 -2,2706 -1,8312 -1,3409 -0,8740 -0,5016 -0,2790 -0,2299 -0,3330 -0,5394 -0,8115 -1,1385 -1,5132 -1,9052 -2,2629 -2,5370 -2,6971 -2,7316 -2,6448 -2,4548 -2,1925 -1,9026 -1,6313 -1,4048 -1,2248 -1,0939 -1,0376 -1,0906 -1,2594 -1,5045 -1,7612 -1,9779 -2,1423 -2,2865 -2,4685 -2,7355 -3,0950 -3,5134 -3,9281 -4,2663 -4,4725 -4,5319 -4,4722 -4,3414 -4,1871 -4,0559 -3,9947 -4,0284 -4,1312 -4,2271 -4,2282 -4,0865 -3,8266 -3,5317 -3,2947 -3,1725 -3,1686 -3,2446 -3,3476 -3,4339 -3,4701 -3,4314 -3,3104 -3,1212 -2,8889 -2,6397 -2,3920 -2,1511 -1,9130 -1,6727 -1,4211 -1,1335 -0,7713 -0,3092 0,2324 0,7870 1,2858 1,6995 2,0372 2,3133 2,5256 2,6520 2,6608 2,5296 2,2584 1,8683 1,3976 0,9010 0,4503 0,1265 -0,0078 0,0535 0,2532 0,5081 0,7544 0,9593 1,1077 1,1843 1,1674 1,0313 0,7598 0,3642 -0,1119 -0,6193 -1,1251 -1,5998 -2,0075 -2,3195 -2,5202 -2,5945 -2,5303 -2,3379 -2,0613 -1,7676 -1,5286 -1,4026 -1,4159 -1,5536 -1,7714 -2,0171 -2,2437 -2,4109 -2,4812 -2,4263 -2,2423 -1,9595 -1,6342 -1,3203 -1,0420 -0,7901 -0,5461 -0,3084 -0,0940 0,0790 0,1955 0,2357 0,1850 0,0549 -0,1193 -0,2921 -0,4081 -0,4003 -0,2062 0,2075 0,8272 1,5906 2,4051 3,1791 3,8419 4,3364 4,6066 4,6184 4,3986 4,0454 3,6899 3,4400 3,3408 3,3762 3,5033 3,6853 3,8980 4,1232 4,3429 4,5377 4,6849 4,7610 4,7532 4,6711 4,5344 4,3464 4,0865 3,7374 3,3170 2,8823 2,5028 2,2174 2,0157 1,8666 1,7590 1,7150 1,7702 1,9405 2,2047 2,5106 2,7894 2,9722 3,0127 2,9035 2,6719 2,3544 1,9771 1,5659 1,1720 0,8677 0,7034 0,6755 0,7452 0,8841 1,0900 1,3643 1,6910 2,0362 2,3641 2,6560 2,9130 3,1445 3,3589 3,5614 3,7537 3,9311 4,0787 4,1756 4,2126 4,2066 4,1955 4,2109 4,2484 4,2682 4,2238 4,0894 3,8687 3,5868 3,2712 2,9317 2,5601 2,1445 1,6817 1,1848 0,6891 0,2472 -0,0941 -0,3228 -0,4629 -0,5480 -0,5991 -0,6263 -0,6403 -0,6531 -0,6672 -0,6771 -0,6853 -0,7079 -0,7610 -0,8519 -0,9744 -1,1037 -1,2057 -1,2600 -1,2686 -1,2430 -1,1876 -1,0891 -0,9215 -0,6659 -0,3271 0,0693 0,4909 0,9099 1,3077 1,6675 1,9662 2,1761 2,2771 2,2705 2,1787 2,0291 1,8354 1,5919 1,2898 0,9463 0,6149 0,3651 0,2541 0,3095 0,5251 0,8642 1,2662 1,6538 1,9409 2,0598 2,0037 1,8393 1,6689 1,5810 1,6153 1,7501 1,9191 2,0549 2,1319 2,1794 2,2586 2,4279 2,7187 3,1284 3,6265 4,1664 4,7049 5,2200 5,7085 6,1647 6,5658 6,8756 7,0549 7,0734 6,9171 6,5840 6,0841 5,4575 4,7809 4,1417 3,5994 3,1636 2,7925 2,4204 2,0018 1,5373 1,0652 0,6414 0,3181 0,1168 0,0180 -0,0247 -0,0629 -0,1353 -0,2645 -0,4738 -0,7910 -1,2236 -1,7409 -2,2907 -2,8214 -3,2841 -3,6288 -3,8206 -3,8573 -3,7624 -3,5726 -3,3406 -3,1341 -3,0176 -3,0268 -3,1561 -3,3691 -3,6237 -3,8925
F3    -3,0280 -3,0408 -2,9908 -2,8218 -2,4895 -1,9847 -1,3531 -0,6867 -0,0870 0,3776 0,6920 0,8903 1,0351 1,1891 1,3896 1,6350 1,8871 2,0859 2,1764 2,1365 1,9880 1,7849 1,5837 1,4161 1,2848 1,1749 1,0602 0,9107 0,7093 0,4677 0,2264 0,0341 -0,0780 -0,1119 -0,1092 -0,1358 -0,2418 -0,4225 -0,6180 -0,7506 -0,7667 -0,6605 -0,4789 -0,3015 -0,2021 -0,2281 -0,4125 -0,7813 -1,3341 -2,0197 -2,7429 -3,3983 -3,9012 -4,2052 -4,3058 -4,2339 -4,0466 -3,8148 -3,6059 -3,4638 -3,3972 -3,3885 -3,4146 -3,4496 -3,4533 -3,3691 -3,1384 -2,7277 -2,1641 -1,5494 -1,0290 -0,7294 -0,7083 -0,9430 -1,3493 -1,8137 -2,2238 -2,4912 -2,5689 -2,4602 -2,2031 -1,8359 -1,3769 -0,8413 -0,2595 0,3276 0,8772 1,3399 1,6603 1,7930 1,7238 1,4780 1,1077 0,6752 0,2489 -0,0956 -0,2824 -0,2511 0,0202 0,4981 1,1067 1,7519 2,3342 2,7589 2,9503 2,8713 2,5375 2,0055 1,3440 0,6239 -0,0783 -0,6940 -1,1816 -1,5228 -1,7082 -1,7456 -1,6759 -1,5602 -1,4473 -1,3569 -1,2823 -1,1967 -1,0716 -0,9135 -0,7899 -0,8023 -1,0251 -1,4655 -2,0714 -2,7643 -3,4679 -4,1142 -4,6331 -4,9402 -4,9461 -4,5900 -3,8835 -2,9316 -1,9116 -1,0118 -0,3637 -0,0078 0,0947 0,0312 -0,0939 -0,1946 -0,2278 -0,1878 -0,0800 0,0900 0,3077 0,5522 0,8117 1,0840 1,3602 1,6152 1,8157 1,9356 1,9629 1,8984 1,7543 1,5507 1,3083 1,0474 0,7968 0,5970 0,4828 0,4608 0,5122 0,6217 0,7989 1,0688 1,4438 1,9069 2,4097 2,8848 3,2774 3,5666 3,7418 3,7688 3,6062 3,2577 2,7929 2,3189 1,9399 1,7280 1,7073 1,8622 2,1641 2,5850 3,0823 3,5823 3,9891 4,2173 4,2234 4,0159 3,6421 3,1665 2,6615 2,2058 1,8702 1,6963 1,6832 1,7973 1,9939 2,2262 2,4406 2,5734 2,5621 2,3736 2,0253 1,5721 1,0769 0,5937 0,1576 -0,2202 -0,5449 -0,8323 -1,1183 -1,4519 -1,8591 -2,3196 -2,7813 -3,1926 -3,5296 -3,8059 -4,0544 -4,2968 -4,5246 -4,7094 -4,8340 -4,9071 -4,9492 -4,9789 -5,0127 -5,0693 -5,1674 -5,3105 -5,4725 -5,6021 -5,6413 -5,5474 -5,3135 -4,9789 -4,6123 -4,2709 -3,9722 -3,6996 -3,4329 -3,1728 -2,9428 -2,7723 -2,6767 -2,6453 -2,6411 -2,6083 -2,4910 -2,2645 -1,9554 -1,6288 -1,3601 -1,2097 -1,1977 -1,2903 -1,4250 -1,5551 -1,6686 -1,7710 -1,8642 -1,9431 -2,0023 -2,0359 -2,0299 -1,9644 -1,8260 -1,6238 -1,3969 -1,2018 -1,0835 -1,0592 -1,1297 -1,2954 -1,5565 -1,8966 -2,2736 -2,6332 -2,9298 -3,1392 -3,2683 -3,3552 -3,4512 -3,5983 -3,8167 -4,0980 -4,4032 -4,6764 -4,8718 -4,9740 -4,9956 -4,9615 -4,9051 -4,8690 -4,8865 -4,9491 -4,9958 -4,9467 -4,7602 -4,4688 -4,1607 -3,9238 -3,7999 -3,7713 -3,7825 -3,7846 -3,7613 -3,7151 -3,6500 -3,5732 -3,4982 -3,4342 -3,3729 -3,2860 -3,1390 -2,9133 -2,6170 -2,2751 -1,9088 -1,5254 -1,1292 -0,7446 -0,4155 -0,1733 -0,0102 0,1126 0,2325 0,3606 0,4719 0,5187 0,4623 0,2962 0,0459 -0,2470 -0,5384 -0,7801 -0,9175 -0,9112 -0,7736 -0,5741 -0,3999 -0,3102 -0,3172 -0,3991 -0,5244 -0,6733 -0,8437 -1,0401 -1,2562 -1,4702 -1,6617 -1,8245 -1,9568 -2,0549 -2,1184 -2,1428 -2,1084 -1,9923 -1,7966 -1,5631 -1,3573 -1,2385 -1,2405 -1,3658 -1,5866 -1,8526 -2,1085 -2,3081 -2,4183 -2,4184 -2,3030 -2,0885 -1,8115 -1,5209 -1,2657 -1,0745 -0,9437 -0,8501 -0,7769 -0,7220 -0,6928 -0,7024 -0,7674 -0,8945 -1,0638 -1,2335 -1,3562 -1,3839 -1,2676 -0,9723 -0,5003 0,0994 0,7452 1,3525 1,8577 2,2240 2,4256 2,4362 2,2483 1,9050 1,5050 1,1680 0,9793 0,9537 1,0448 1,1870 1,3317 1,4617 1,5897 1,7419 1,9307 2,1366 2,3174 2,4368 2,4853 2,4691 2,3791 2,1847 1,8697 1,4675 1,0553 0,7092 0,4578 0,2829 0,1631 0,1102 0,1672 0,3715 0,7137 1,1317 1,5453 1,8902 2,1258 2,2292 2,1935 2,0242 1,7317 1,3355 0,8802 0,4445 0,1166 -0,0540 -0,0796 -0,0016 0,1579 0,4036 0,7374 1,1350 1,5468 1,9188 2,2165 2,4330 2,5860 2,7107 2,8442 3,0055 3,1780 3,3119 3,3547 3,2899 3,1537 3,0127 2,9153 2,8546 2,7759 2,6175 2,3500 1,9912 1,5983 1,2370 0,9427 0,7042 0,4811 0,2316 -0,0648 -0,3942 -0,7104 -0,9567 -1,0978 -1,1359 -1,0992 -1,0245 -0,9530 -0,9298 -0,9912 -1,1491 -1,3918 -1,6986 -2,0412 -2,3769 -2,6579 -2,8465 -2,9164 -2,8583 -2,6950 -2,4875 -2,3108 -2,2148 -2,1983 -2,2159 -2,2102 -2,1417 -2,0002 -1,7951 -1,5363 -1,2276 -0,8775 -0,5124 -0,1731 0,1020 0,2922 0,3975 0,4294 0,3938 0,2744 0,0376 -0,3286 -0,7810 -1,2283 -1,5642 -1,7010 -1,5973 -1,2761 -0,8185 -0,3333 0,0741 0,3322 0,4282 0,4051 0,3291 0,2626 0,2518 0,3190 0,4605 0,6553 0,8814 1,1250 1,3797 1,6413 1,9076 2,1782 2,4540 2,7398 3,0505 3,4116 3,8459 4,3519 4,8916 5,3955 5,7809 5,9824 5,9703 5,7356 5,2750 4,6095 3,8052 2,9572 2,1515 1,4402 0,8366 0,3234 -0,1227 -0,5069 -0,8127 -1,0172 -1,1096 -1,1038 -1,0343 -0,9411 -0,8625 -0,8372 -0,9058 -1,1104 -1,4835 -2,0229 -2,6777 -3,3690 -4,0210 -4,5694 -4,9620 -5,1744 -5,2215 -5,1443 -4,9917 -4,8161 -4,6734 -4,6126 -4,6642 -4,8292 -5,0767 -5,3625 -5,6546
F7    -1,4414 -1,5773 -1,6317 -1,5466 -1,3105 -0,9728 -0,6179 -0,3180 -0,0963 0,0743 0,2402 0,4334 0,6640 0,9249 1,1972 1,4582 1,6901 1,8818 2,0232 2,0975 2,0827 1,9691 1,7746 1,5307 1,2524 0,9357 0,5839 0,2235 -0,1045 -0,3674 -0,5572 -0,6965 -0,8252 -0,9726 -1,1325 -1,2602 -1,2930 -1,1840 -0,9301 -0,5725 -0,1802 0,1676 0,3982 0,4639 0,3512 0,0761 -0,3365 -0,8701 -1,5061 -2,1932 -2,8367 -3,3306 -3,6059 -3,6543 -3,5191 -3,2742 -2,9979 -2,7440 -2,5300 -2,3576 -2,2398 -2,1981 -2,2303 -2,2941 -2,3356 -2,3225 -2,2427 -2,0945 -1,8921 -1,6654 -1,4407 -1,2365 -1,0822 -1,0196 -1,0676 -1,1937 -1,3314 -1,4258 -1,4615 -1,4610 -1,4674 -1,5118 -1,5840 -1,6401 -1,6315 -1,5215 -1,2952 -0,9661 -0,5661 -0,1216 0,3632 0,8953 1,4564 1,9827 2,3948 2,6417 2,7074 2,6014 2,3580 2,0370 1,7102 1,4334 1,2269 1,0833 0,9845 0,9131 0,8611 0,8273 0,8000 0,7512 0,6538 0,4963 0,2890 0,0654 -0,1296 -0,2674 -0,3549 -0,4253 -0,5145 -0,6527 -0,8701 -1,1839 -1,5752 -1,9934 -2,3925 -2,7528 -3,0714 -3,3531 -3,6117 -3,8598 -4,0921 -4,2850 -4,4017 -4,3920 -4,2054 -3,8227 -3,2726 -2,6212 -1,9525 -1,3522 -0,8868 -0,5866 -0,4344 -0,3660 -0,3013 -0,2005 -0,0895 -0,0267 -0,0467 -0,1425 -0,2895 -0,4615 -0,6153 -0,6815 -0,5908 -0,3122 0,1273 0,6503 1,1647 1,5996 1,9157 2,1033 2,1769 2,1591 2,0734 1,9498 1,8189 1,6955 1,5800 1,4787 1,4139 1,4065 1,4555 1,5413 1,6397 1,7268 1,7865 1,8267 1,8787 1,9718 2,1119 2,2837 2,4671 2,6450 2,8002 2,9185 3,0043 3,0927 3,2337 3,4464 3,6810 3,8326 3,8004 3,5440 3,1016 2,5697 2,0587 1,6530 1,3994 1,3073 1,3521 1,4865 1,6484 1,7683 1,7945 1,7163 1,5574 1,3547 1,1458 0,9621 0,8193 0,7080 0,5981 0,4599 0,2752 0,0305 -0,2781 -0,6255 -0,9584 -1,2159 -1,3496 -1,3507 -1,2713 -1,2104 -1,2669 -1,4964 -1,8907 -2,3830 -2,8779 -3,2891 -3,5665 -3,7010 -3,7223 -3,6840 -3,6278 -3,5549 -3,4415 -3,2757 -3,0735 -2,8652 -2,6794 -2,5313 -2,4087 -2,2710 -2,0746 -1,8046 -1,4823 -1,1482 -0,8465 -0,6203 -0,5048 -0,5170 -0,6477 -0,8643 -1,1205 -1,3573 -1,4938 -1,4437 -1,1641 -0,6813 -0,0728 0,5549 1,0812 1,4032 1,4718 1,3049 0,9715 0,5605 0,1481 -0,2130 -0,4798 -0,6072 -0,5639 -0,3668 -0,0869 0,1840 0,3755 0,4635 0,4715 0,4449 0,4099 0,3550 0,2480 0,0674 -0,1881 -0,5056 -0,8528 -1,1794 -1,4496 -1,6746 -1,8968 -2,1440 -2,4124 -2,6846 -2,9482 -3,1967 -3,4308 -3,6588 -3,8778 -4,0511 -4,1289 -4,0887 -3,9383 -3,6933 -3,3672 -2,9685 -2,5090 -2,0266 -1,5896 -1,2672 -1,0956 -1,0704 -1,1651 -1,3567 -1,6336 -1,9723 -2,3083 -2,5489 -2,6255 -2,5359 -2,3294 -2,0558 -1,7336 -1,3578 -0,9227 -0,4420 0,0411 0,4678 0,7971 1,0208 1,1460 1,1824 1,1563 1,1240 1,1565 1,3063 1,5760 1,9034 2,1794 2,2992 2,2157 1,9542 1,5870 1,2024 0,8885 0,7188 0,7228 0,8703 1,0978 1,3502 1,5878 1,7767 1,8949 1,9421 1,9302 1,8659 1,7474 1,5648 1,2982 0,9425 0,5364 0,1451 -0,1829 -0,4226 -0,5525 -0,5579 -0,4505 -0,2673 -0,0516 0,1578 0,3298 0,4545 0,5489 0,6255 0,6598 0,6141 0,4871 0,3239 0,1750 0,0576 -0,0442 -0,1503 -0,2607 -0,3544 -0,4068 -0,3992 -0,3144 -0,1414 0,1069 0,3840 0,6261 0,7809 0,8338 0,8155 0,7794 0,7631 0,7715 0,7967 0,8537 0,9887 1,2419 1,5967 1,9785 2,3109 2,5609 2,7295 2,8174 2,8173 2,7396 2,6365 2,5825 2,6251 2,7596 2,9474 3,1446 3,3175 3,4504 3,5389 3,5769 3,5585 3,4914 3,4061 3,3630 3,4321 3,6364 3,9211 4,1969 4,3979 4,4945 4,4768 4,3429 4,1019 3,7870 3,4634 3,2069 3,0665 3,0404 3,0844 3,1345 3,1285 3,0240 2,8123 2,5210 2,2063 1,9374 1,7699 1,7240 1,7874 1,9328 2,1223 2,3142 2,4873 2,6491 2,8204 3,0203 3,2566 3,5177 3,7741 3,9876 4,1125 4,1031 3,9479 3,6999 3,4595 3,3240 3,3445 3,5186 3,8171 4,2024 4,6200 4,9933 5,2493 5,3507 5,2974 5,1087 4,8071 4,4160 3,9706 3,5209 3,1188 2,7996 2,5702 2,4123 2,2999 2,2150 2,1451 2,0660 1,9354 1,7141 1,3981 1,0293 0,6655 0,3479 0,1044 -0,0345 -0,0445 0,0711 0,2840 0,5593 0,8668 1,1792 1,4630 1,6684 1,7450 1,6724 1,4753 1,2184 0,9889 0,8632 0,8723 0,9911 1,1522 1,2685 1,2660 1,1175 0,8537 0,5481 0,2882 0,1428 0,1393 0,2619 0,4697 0,7110 0,9327 1,0964 1,1968 1,2575 1,3038 1,3422 1,3680 1,3777 1,3610 1,2928 1,1481 0,9313 0,6939 0,5204 0,4912 0,6492 0,9835 1,4255 1,8679 2,2132 2,4301 2,5742 2,7503 3,0416 3,4602 3,9532 4,4475 4,8850 5,2402 5,5241 5,7684 5,9918 6,1740 6,2554 6,1722 5,9123 5,5369 5,1415 4,8013 4,5529 4,4026 4,3322 4,2937 4,2119 4,0078 3,6417 3,1509 2,6390 2,2141 1,9357 1,8084 1,8031 1,8831 2,0183 2,1789 2,3189 2,3738 2,2755 1,9825 1,5155 0,9592 0,4128 -0,0669 -0,4730 -0,8195 -1,1191 -1,3783 -1,5930 -1,7506 -1,8464 -1,8955 -1,9292 -1,9825 -2,0787 -2,2175 -2,3789 -2,5355
