Fp1   -2,2704 -1,9028 -1,3900 -0,8056 -0,2229 0,2891 0,6484 0,7432 0,4707 -0,1764 -1,0683 -1,9817 -2,6888 -3,0408 -3,0092 -2,6613 -2,0856 -1,3312 -0,4191 0,5836 1,5355 2,2967 2,8145 3,1121 3,2273 3,1775 2,9407 2,4396 1,5698 0,2949 -1,2457 -2,7305 -3,7944 -4,2077 -3,9626 -3,2368 -2,2851 -1,3269 -0,4882 0,1980 0,7734 1,3279 1,9398 2,5967 3,1669 3,4661 3,3574 2,8013 1,8631 0,6977 -0,4811 -1,4425 -1,9933 -2,0273 -1,5510 -0,6989 0,2892 1,1578 1,7336 1,9669 1,9306 1,7846 1,6826 1,6771 1,7180 1,7415 1,7308 1,6974 1,6518 1,6016 1,5503 1,4769 1,3146 0,9838 0,4666 -0,1675 -0,8115 -1,3723 -1,7779 -1,9728 -1,9323 -1,6820 -1,2902 -0,8391 -0,3999 -0,0212 0,2732 0,4932 0,6922 0,9493 1,3260 1,8270 2,3896 2,9096 3,2851 3,4528 3,3980 3,1327 2,6737 2,0673 1,4300 0,9134 0,5991 0,4611 0,4217 0,3848 0,2341 -0,1247 -0,6829 -1,3084 -1,8260 -2,1064 -2,0785 -1,7058 -1,0028 -0,0884 0,7997 1,3927 1,5388 1,2874 0,8201 0,2901 -0,2502 -0,7846 -1,2595 -1,5783 -1,6253 -1,3072 -0,6185 0,3044 1,2035 1,8214 2,0446 1,9254 1,5900 1,1666 0,7822 0,5575 0,5785 0,8850 1,4683 2,2564 3,1092 3,8516 4,3398 4,5182 4,4239 4,1582 3,8569 3,6502 3,6026 3,6802 3,7761 3,7710 3,5877 3,2230 2,7323 2,1773 1,5998 1,0615 0,6876 0,6388 1,0369 1,9094 3,1677 4,6177 6,0207 7,1808 8,0047 8,4908 8,6691 8,5722 8,2553 7,7935 7,2459 6,6365 5,9703 5,2665 4,5683 3,9152 3,3188 2,7842 2,3514 2,1169 2,1905 2,5862 3,1439 3,5955 3,7264 3,4744 2,9149 2,2017 1,5007 0,9300 0,5472 0,3793 0,4401 0,7323 1,2501 1,9475 2,6863 3,2609 3,5119 3,4111 3,0393 2,5192 1,9714 1,4725 1,0179 0,5436 0,0036 -0,5718 -1,0760 -1,3565 -1,2768 -0,8007 -0,0143 0,9308 1,8858 2,7446 3,4621 4,0434 4,5108 4,8675 5,1049 5,2408 5,3129 5,3275 5,2452 5,0199 4,6322 4,1000 3,5050 3,0116 2,7993 2,9293 3,2745 3,5985 3,7097 3,5536 3,1803 2,6539 2,0173 1,3352 0,7402 0,4056 0,4533 0,8792 1,5488 2,2609 2,8438 3,2098 3,3271 3,1742 2,7607 2,1794 1,5833 1,0888 0,7181 0,4459 0,2674 0,2088 0,3056 0,5803 0,9970 1,4514 1,8616 2,2591 2,7434 3,3540 4,0084 4,5544 4,8724 4,9320 4,7724 4,4774 4,1706 3,9783 3,9632 4,0906 4,2438 4,2697 4,0405 3,5080 2,7081 1,7233 0,6601 -0,3444 -1,1255 -1,5308 -1,4791 -0,9909 -0,1601 0,8861 1,9804 2,9162 3,5172 3,6989 3,4523 2,8167 1,9011 0,9086 0,1020 -0,2910 -0,1871 0,2912 0,8653 1,2662 1,3952 1,3446 1,2897 1,3745 1,6488 2,0533 2,4550 2,7152 2,7471 2,5364 2,1229 1,5613 0,9028 0,2470 -0,1852 -0,1119 0,6126 1,8664 3,3209 4,6153 5,5050 5,9063 5,8680 5,5372 5,1212 4,8217 4,7615 4,9362 5,2026 5,3147 5,0278 4,2345 3,0386 1,7158 0,6078 0,0002 0,0112 0,5558 1,4224 2,3888 3,2865 4,0105 4,5052 4,7355 4,6869 4,4191 4,0903 3,8679 3,8017 3,7938 3,6828 3,3507 2,7833 2,0829 1,4298 1,0010 0,8964 1,1106 1,5403 2,0187 2,3885 2,5792 2,6332 2,6715 2,8219 3,1496 3,6277 4,1538 4,5944 4,8361 4,8073 4,4765 3,8583 3,0226 2,0843 1,1795 0,4391 -0,0446 -0,2442 -0,1957 0,0192 0,2944 0,5390 0,7226 0,8607 0,9461 0,9388 0,8480 0,7868 0,9108 1,3060 1,9359 2,6645 3,3163 3,7418 3,8497 3,6028 3,0090 2,1168 1,0080 -0,1879 -1,2831 -2,0865 -2,4972 -2,5404 -2,3183 -1,9209 -1,3767 -0,6837 0,1323 1,0076 1,8664 2,6427 3,2720 3,6633 3,7004 3,2985 2,4708 1,3585 0,1943 -0,8052 -1,5510 -2,0875 -2,4773 -2,6895 -2,5949 -2,0606 -1,0703 0,2058 1,4522 2,3468 2,6991 2,5113 1,9597 1,3196 0,8620 0,7447 0,9358 1,2408 1,4332 1,3824 1,0984 0,7200 0,4657 0,5205 0,9182 1,5305 2,1593 2,6376 2,8957 2,9812 3,0050 3,0472 3,1153 3,1720 3,1707 3,0689 2,8366 2,4608 1,9458 1,3142 0,6070 -0,1076 -0,7257 -1,1341 -1,2572 -1,0858 -0,6879 -0,2030 0,2151 0,4928 0,6909 0,9663 1,4495 2,1179 2,7701 3,1415 3,0725 2,5762 1,7702 0,7864 -0,2662 -1,3120 -2,3009 -3,1718 -3,8322 -4,1840 -4,1870 -3,8994 -3,4413 -2,9136 -2,3554 -1,7607 -1,1205 -0,4565 0,1649 0,6437 0,8742 0,7688 0,2769 -0,5880 -1,7301 -2,9837 -4,1419 -4,9956 -5,3969 -5,3190 -4,8433 -4,0850 -3,1378 -2,0889 -1,0671 -0,2513 0,1907 0,2026 -0,1116 -0,5416 -0,8775 -0,9983 -0,9155 -0,7584 -0,7034 -0,8844 -1,3254 -1,9181 -2,4673 -2,8093 -2,9219 -2,9173 -2,9293 -3,0095 -3,1052 -3,1023 -2,8814 -2,3663 -1,5634 -0,5653 0,4941 1,4736 2,2220 2,5937 2,5134 2,0305 1,2971 0,4862 -0,2852 -0,9804 -1,6061 -2,1450 -2,5313 -2,7117 -2,7321 -2,7400 -2,8764 -3,1730 -3,5599 -3,9328 -4,1896 -4,2501 -4,0848 -3,7206 -3,2189 -2,6499 -2,0826 -1,5820 -1,1950 -0,9472 -0,8668 -0,9833 -1,2950 -1,7664 -2,3506 -2,9887 -3,6016 -4,1121 -4,4615 -4,5921 -4,4544 -4,0577 -3,4783 -2,8013 -2,0828 -1,3803 -0,7727 -0,3244 -0,0526 0,0462 -0,0305 -0,2615 -0,5768 -0,9091 -1,2535
Fz    -1,6613 -1,3478 -1,0932 -0,8949 -0,7121 -0,4915 -0,2007 0,1471 0,4975 0,7880 0,9864 1,1020 1,1612 1,1735 1,1265 1,0069 0,8143 0,5641 0,2904 0,0376 -0,1619 -0,3005 -0,3858 -0,4288 -0,4423 -0,4405 -0,4312 -0,4084 -0,3611 -0,2904 -0,2080 -0,1253 -0,0575 -0,0285 -0,0539 -0,1235 -0,2082 -0,2773 -0,3114 -0,3117 -0,2948 -0,2699 -0,2268 -0,1485 -0,0259 0,1434 0,3580 0,6052 0,8558 1,0659 1,1803 1,1406 0,9029 0,4590 -0,1455 -0,8141 -1,4260 -1,8692 -2,0739 -2,0341 -1,7971 -1,4310 -1,0096 -0,6151 -0,3277 -0,2021 -0,2547 -0,4645 -0,7786 -1,1239 -1,4284 -1,6401 -1,7377 -1,7258 -1,6163 -1,4180 -1,1477 -0,8464 -0,5798 -0,4154 -0,3889 -0,4849 -0,6420 -0,7814 -0,8436 -0,8075 -0,6752 -0,4486 -0,1284 0,2636 0,6733 1,0327 1,2900 1,4218 1,4347 1,3604 1,2447 1,1289 1,0301 0,9369 0,8259 0,6851 0,5218 0,3568 0,2134 0,1040 0,0232 -0,0465 -0,1264 -0,2375 -0,3912 -0,5844 -0,8047 -1,0299 -1,2192 -1,3211 -1,2988 -1,1483 -0,8901 -0,5448 -0,1242 0,3497 0,8302 1,2637 1,6189 1,8993 2,1323 2,3483 2,5624 2,7670 2,9383 3,0586 3,1361 3,1974 3,2658 3,3530 3,4603 3,5837 3,7229 3,8850 4,0761 4,2908 4,5109 4,7139 4,8807 4,9984 5,0643 5,0960 5,1300 5,1955 5,2799 5,3281 5,2853 5,1402 4,9275 4,6999 4,5034 4,3647 4,2958 4,3050 4,4090 4,6330 4,9900 5,4536 5,9614 6,4468 6,8705 7,2320 7,5570 7,8704 8,1722 8,4369 8,6330 8,7361 8,7326 8,6237 8,4232 8,1500 7,8236 7,4651 7,0920 6,7123 6,3251 5,9249 5,5108 5,0951 4,7045 4,3700 4,1123 3,9279 3,7957 3,7039 3,6602 3,6742 3,7387 3,8278 3,9046 3,9319 3,8880 3,7730 3,5968 3,3704 3,1121 2,8550 2,6413 2,5072 2,4674 2,5108 2,6106 2,7421 2,8931 3,0642 3,2614 3,4889 3,7394 3,9913 4,2144 4,3789 4,4637 4,4708 4,4320 4,3879 4,3608 4,3471 4,3290 4,2923 4,2384 4,1875 4,1645 4,1844 4,2466 4,3349 4,4145 4,4388 4,3704 4,2005 3,9494 3,6564 3,3692 3,1278 2,9446 2,8044 2,6848 2,5660 2,4266 2,2507 2,0495 1,8662 1,7430 1,6784 1,6199 1,5024 1,2950 1,0187 0,7310 0,4979 0,3713 0,3734 0,4951 0,7139 1,0105 1,3616 1,7341 2,0967 2,4354 2,7530 3,0533 3,3320 3,5864 3,8199 4,0316 4,2187 4,3888 4,5497 4,6873 4,7708 4,7796 4,7112 4,5722 4,3735 4,1290 3,8495 3,5347 3,1725 2,7526 2,2886 1,8288 1,4372 1,1618 1,0206 1,0014 1,0644 1,1515 1,2136 1,2329 1,2211 1,2037 1,2109 1,2696 1,3907 1,5630 1,7565 1,9192 1,9778 1,8717 1,5973 1,2075 0,7694 0,3346 -0,0601 -0,3841 -0,6130 -0,7359 -0,7572 -0,6812 -0,4970 -0,1851 0,2613 0,8200 1,4312 2,0061 2,4572 2,7361 2,8417 2,7999 2,6465 2,4267 2,1939 1,9972 1,8628 1,7832 1,7300 1,6875 1,6732 1,7229 1,8560 2,0537 2,2687 2,4531 2,5822 2,6539 2,6707 2,6267 2,5078 2,3020 2,0140 1,6698 1,3106 0,9820 0,7269 0,5784 0,5539 0,6502 0,8449 1,1010 1,3778 1,6413 1,8642 2,0245 2,1109 2,1222 2,0557 1,9059 1,6758 1,3859 1,0728 0,7820 0,5573 0,4263 0,3875 0,4144 0,4716 0,5231 0,5338 0,4823 0,3803 0,2727 0,2066 0,1955 0,2158 0,2373 0,2437 0,2239 0,1604 0,0392 -0,1370 -0,3517 -0,5810 -0,7920 -0,9476 -1,0240 -1,0201 -0,9533 -0,8546 -0,7582 -0,6796 -0,6083 -0,5267 -0,4330 -0,3423 -0,2770 -0,2567 -0,2874 -0,3613 -0,4627 -0,5710 -0,6704 -0,7602 -0,8477 -0,9313 -1,0010 -1,0565 -1,1194 -1,2218 -1,3811 -1,5861 -1,8091 -2,0278 -2,2308 -2,4065 -2,5312 -2,5734 -2,5115 -2,3513 -2,1348 -1,9254 -1,7743 -1,6971 -1,6836 -1,7202 -1,8010 -1,9216 -2,0670 -2,2078 -2,3059 -2,3275 -2,2613 -2,1278 -1,9617 -1,7811 -1,5798 -1,3541 -1,1266 -0,9334 -0,7895 -0,6740 -0,5488 -0,3910 -0,2091 -0,0337 0,1018 0,1751 0,1800 0,1220 0,0127 -0,1287 -0,2774 -0,4096 -0,5135 -0,6017 -0,7078 -0,8604 -1,0538 -1,2479 -1,3960 -1,4755 -1,4995 -1,5006 -1,4980 -1,4835 -1,4377 -1,3520 -1,2411 -1,1407 -1,0835 -1,0771 -1,1063 -1,1487 -1,1838 -1,1909 -1,1535 -1,0730 -0,9748 -0,8977 -0,8735 -0,9107 -0,9919 -1,0865 -1,1637 -1,1987 -1,1794 -1,1167 -1,0489 -1,0293 -1,0969 -1,2591 -1,5008 -1,7957 -2,1152 -2,4440 -2,7822 -3,1268 -3,4583 -3,7455 -3,9580 -4,0747 -4,0929 -4,0315 -3,9191 -3,7837 -3,6636 -3,6101 -3,6607 -3,8154 -4,0387 -4,2693 -4,4295 -4,4490 -4,2937 -3,9768 -3,5516 -3,0971 -2,6953 -2,4072 -2,2568 -2,2271 -2,2685 -2,3238 -2,3538 -2,3468 -2,3108 -2,2634 -2,2269 -2,2192 -2,2441 -2,2927 -2,3536 -2,4239 -2,5060 -2,5954 -2,6806 -2,7503 -2,7957 -2,8126 -2,8088 -2,8041 -2,8173 -2,8589 -2,9417 -3,0884 -3,3099 -3,5799 -3,8481 -4,0718 -4,2304 -4,3215 -4,3511 -4,3227 -4,2422 -4,1285 -4,0074 -3,8908 -3,7752 -3,6682 -3,6058 -3,6358 -3,7888 -4,0635 -4,4282 -4,8364 -5,2441 -5,6134 -5,9161 -6,1431 -6,2990 -6,3852 -6,3895 -6,2889 -6,0697 -5,7529 -5,4008 -5,0917 -4,8856 -4,8095 -4,8600 -5,0096 -5,2064 -5,3820 -5,4766 -5,4744 -5,4182 -5,3768 -5,3885 -5,4419 -5,5091 -5,5749 -5,6337 -5,6792 -5,7123 -5,7522
F3    -2,0529 -1,7038 -1,4274 -1,1855 -0,9324 -0,6187 -0,1997 0,3245 0,8869 1,3926 1,7731 2,0071 2,1060 2,0856 1,9493 1,6861 1,2777 0,7218 0,0634 -0,6007 -1,1530 -1,4949 -1,5707 -1,3765 -0,9607 -0,4110 0,1728 0,7018 1,1031 1,3207 1,3384 1,1937 0,9495 0,6574 0,3491 0,0471 -0,2317 -0,4783 -0,6925 -0,8821 -1,0605 -1,2284 -1,3563 -1,3901 -1,2741 -0,9781 -0,5229 0,0243 0,5800 1,0704 1,4360 1,6164 1,5383 1,1435 0,4515 -0,4043 -1,2099 -1,7626 -1,9597 -1,8271 -1,4762 -1,0392 -0,6316 -0,3399 -0,2156 -0,2733 -0,4950 -0,8380 -1,2481 -1,6628 -2,0078 -2,2098 -2,2257 -2,0545 -1,7218 -1,2648 -0,7350 -0,2046 0,2411 0,5295 0,6276 0,5597 0,4021 0,2577 0,2164 0,3160 0,5394 0,8536 1,2327 1,6324 1,9792 2,2050 2,2783 2,2019 2,0033 1,7263 1,4197 1,1248 0,8675 0,6584 0,4991 0,3885 0,3199 0,2746 0,2267 0,1611 0,0882 0,0415 0,0437 0,0727 0,0724 -0,0062 -0,1768 -0,4111 -0,6441 -0,7944 -0,8010 -0,6505 -0,3709 -0,0033 0,4148 0,8438 1,2399 1,5713 1,8337 2,0367 2,1844 2,2742 2,3054 2,2875 2,2465 2,2259 2,2792 2,4514 2,7563 3,1649 3,6142 4,0356 4,3843 4,6370 4,7794 4,8045 4,7122 4,5153 4,2533 3,9887 3,7846 3,6799 3,6763 3,7387 3,8051 3,8157 3,7528 3,6533 3,5772 3,5729 3,6713 3,8903 4,2260 4,6385 5,0570 5,4128 5,6679 5,8201 5,8935 5,9227 5,9425 5,9883 6,0953 6,2955 6,6122 7,0368 7,5054 7,9213 8,2055 8,3200 8,2568 8,0260 7,6564 7,1940 6,6806 6,1383 5,5850 5,0568 4,5991 4,2424 3,9959 3,8578 3,8069 3,7874 3,7367 3,6379 3,5211 3,4126 3,3037 3,1693 2,9929 2,7686 2,4985 2,1998 1,9048 1,6488 1,4570 1,3431 1,3150 1,3832 1,5611 1,8504 2,2266 2,6444 3,0557 3,4325 3,7774 4,1054 4,4140 4,6749 4,8508 4,9195 4,8858 4,7803 4,6499 4,5364 4,4556 4,4012 4,3596 4,3185 4,2768 4,2487 4,2524 4,2980 4,3821 4,4873 4,5805 4,6195 4,5739 4,4460 4,2715 4,1022 3,9847 3,9372 3,9346 3,9242 3,8638 3,7431 3,5678 3,3366 3,0454 2,7068 2,3490 1,9857 1,5937 1,1404 0,6337 0,1314 -0,2919 -0,5699 -0,6552 -0,5263 -0,1894 0,3244 0,9599 1,6435 2,3040 2,8937 3,3919 3,7941 4,0950 4,2783 4,3265 4,2438 4,0664 3,8556 3,6732 3,5479 3,4586 3,3571 3,2075 3,0022 2,7538 2,4909 2,2493 2,0509 1,8946 1,7707 1,6765 1,6175 1,5984 1,6132 1,6469 1,6735 1,6538 1,5467 1,3306 1,0173 0,6613 0,3562 0,2058 0,2851 0,6205 1,1886 1,9100 2,6393 3,1828 3,3720 3,1547 2,6196 1,9269 1,2170 0,5625 -0,0249 -0,5508 -1,0009 -1,3400 -1,5251 -1,5037 -1,2152 -0,6188 0,2730 1,3791 2,5567 3,6239 4,4014 4,7646 4,6790 4,1956 3,4249 2,5166 1,6396 0,9411 0,5002 0,3050 0,2737 0,3200 0,4187 0,6098 0,9362 1,3810 1,8725 2,3436 2,7611 3,1039 3,3456 3,4609 3,4322 3,2560 2,9492 2,5490 2,0984 1,6297 1,1667 0,7382 0,3843 0,1507 0,0753 0,1702 0,4189 0,7821 1,1942 1,5663 1,8121 1,8743 1,7356 1,4201 0,9847 0,5015 0,0491 -0,2896 -0,4536 -0,4376 -0,2866 -0,0607 0,1825 0,3826 0,4789 0,4339 0,2635 0,0469 -0,1058 -0,1163 0,0198 0,2456 0,4851 0,6734 0,7701 0,7622 0,6562 0,4661 0,2072 -0,0958 -0,4006 -0,6606 -0,8528 -0,9840 -1,0744 -1,1442 -1,2115 -1,2920 -1,3982 -1,5360 -1,6978 -1,8604 -1,9865 -2,0303 -1,9486 -1,7172 -1,3463 -0,8904 -0,4322 -0,0452 0,2252 0,3548 0,3327 0,1617 -0,1397 -0,5392 -0,9952 -1,4667 -1,9212 -2,3308 -2,6628 -2,8818 -2,9590 -2,8782 -2,6460 -2,3055 -1,9333 -1,6110 -1,3968 -1,3128 -1,3492 -1,4761 -1,6534 -1,8327 -1,9682 -2,0333 -2,0199 -1,9334 -1,8005 -1,6539 -1,4965 -1,3053 -1,0787 -0,8619 -0,7137 -0,6476 -0,6047 -0,4891 -0,2401 0,1243 0,5241 0,8602 1,0482 1,0383 0,8263 0,4542 0,0021 -0,4368 -0,7998 -1,0852 -1,3332 -1,5797 -1,8330 -2,0713 -2,2444 -2,2946 -2,1948 -1,9661 -1,6576 -1,3078 -0,9300 -0,5272 -0,1100 0,2919 0,6266 0,8314 0,8592 0,7030 0,3995 0,0066 -0,4228 -0,8406 -1,1909 -1,4196 -1,5012 -1,4509 -1,3057 -1,0892 -0,7973 -0,4171 0,0435 0,5398 0,9952 1,3196 1,4376 1,3124 0,9601 0,4413 -0,1669 -0,8091 -1,4732 -2,1648 -2,8620 -3,5055 -4,0212 -4,3414 -4,4143 -4,2154 -3,7713 -3,1775 -2,5815 -2,1303 -1,9081 -1,9091 -2,0676 -2,3077 -2,5619 -2,7630 -2,8442 -2,7655 -2,5398 -2,2216 -1,8750 -1,5538 -1,2929 -1,1051 -0,9927 -0,9592 -0,9997 -1,0844 -1,1605 -1,1702 -1,0720 -0,8684 -0,6207 -0,4142 -0,2961 -0,2585 -0,2826 -0,3663 -0,5081 -0,6976 -0,9315 -1,2207 -1,5775 -1,9902 -2,4094 -2,7662 -3,0044 -3,1072 -3,1005 -3,0307 -2,9358 -2,8425 -2,7793 -2,7716 -2,8211 -2,8953 -2,9395 -2,9003 -2,7525 -2,5186 -2,2526 -2,0083 -1,8337 -1,7891 -1,9503 -2,3766 -3,0706 -3,9721 -4,9757 -5,9466 -6,7492 -7,2996 -7,5902 -7,6488 -7,4819 -7,0623 -6,3638 -5,4066 -4,2883 -3,1836 -2,2963 -1,7813 -1,6941 -1,9912 -2,5545 -3,2211 -3,8271 -4,2620 -4,5044 -4,6131 -4,6813 -4,7808 -4,9325 -5,1163 -5,2880 -5,3947 -5,3972 -5,2910 -5,1153
F7    -2,3385 -1,6355 -0,9500 -0,3890 -0,0422 0,0559 -0,0567 -0,2900 -0,5536 -0,7998 -1,0223 -1,2144 -1,3319 -1,2976 -1,0378 -0,5164 0,2313 1,0843 1,8811 2,4866 2,8150 2,8297 2,5412 1,9840 1,1928 0,2194 -0,8297 -1,7871 -2,4687 -2,7411 -2,5655 -1,9944 -1,1520 -0,2163 0,6221 1,2253 1,5547 1,6648 1,6368 1,5079 1,2810 0,9911 0,7170 0,5109 0,3506 0,1681 -0,0915 -0,4273 -0,7728 -1,0293 -1,1258 -1,0576 -0,8663 -0,5720 -0,1406 0,4545 1,1527 1,8125 2,2770 2,4279 2,2276 1,7522 1,1674 0,6471 0,3124 0,2149 0,3303 0,5695 0,8333 1,0654 1,2483 1,3591 1,3484 1,1761 0,8641 0,5038 0,2060 0,0422 0,0219 0,0979 0,1873 0,2238 0,2170 0,2572 0,4492 0,8307 1,3382 1,8435 2,2316 2,4528 2,5235 2,5013 2,4632 2,4838 2,6090 2,8349 3,1032 3,3176 3,3720 3,1906 2,7750 2,2270 1,7135 1,3910 1,3270 1,4661 1,6688 1,7905 1,7447 1,5331 1,2357 0,9484 0,7159 0,5375 0,4201 0,3842 0,4159 0,4514 0,4222 0,3001 0,0923 -0,1904 -0,5366 -0,9037 -1,2042 -1,3320 -1,1984 -0,7538 -0,0128 0,9205 1,8642 2,6203 3,0549 3,1442 2,9652 2,6481 2,3174 2,0593 1,9266 1,9419 2,0838 2,2885 2,4769 2,5755 2,5300 2,3344 2,0534 1,7981 1,6645 1,6894 1,8561 2,1242 2,4545 2,8160 3,1738 3,4696 3,6126 3,5042 3,1015 2,4714 1,7879 1,2716 1,1010 1,3534 2,0098 2,9843 4,1354 5,2803 6,2461 6,9339 7,3401 7,5285 7,5798 7,5392 7,3987 7,1372 6,7705 6,3501 5,9233 5,5125 5,1323 4,8033 4,5397 4,3264 4,1179 3,8603 3,5080 3,0367 2,4559 1,8088 1,1632 0,6073 0,2402 0,1431 0,3386 0,7576 1,2472 1,6436 1,8627 1,9216 1,8877 1,8257 1,7726 1,7394 1,7328 1,7738 1,8726 1,9950 2,0834 2,1080 2,0801 2,0323 2,0042 2,0378 2,1586 2,3459 2,5386 2,6798 2,7548 2,7970 2,8631 2,9980 3,2211 3,5345 3,9204 4,3240 4,6592 4,8487 4,8671 4,7656 4,6554 4,6370 4,7319 4,8854 5,0188 5,0648 4,9761 4,7296 4,3338 3,8343 3,3061 2,8291 2,4548 2,1766 1,9317 1,6539 1,3474 1,1109 1,0784 1,3236 1,8049 2,3871 2,9143 3,2848 3,4704 3,4804 3,3291 3,0460 2,7019 2,4037 2,2389 2,2068 2,2194 2,1831 2,0728 1,9373 1,8499 1,8608 1,9856 2,1994 2,4308 2,5993 2,6841 2,7407 2,8460 3,0517 3,3857 3,8471 4,3665 4,7926 4,9428 4,6893 4,0186 3,0320 1,9012 0,8202 -0,0428 -0,5883 -0,8004 -0,7335 -0,4894 -0,1820 0,1109 0,3705 0,6123 0,8438 1,0522 1,2174 1,3067 1,2642 1,0503 0,7110 0,3830 0,2093 0,2558 0,5046 0,8907 1,3253 1,7104 1,9694 2,0841 2,1053 2,1116 2,1337 2,1311 2,0519 1,8953 1,7070 1,5276 1,3582 1,1818 1,0319 1,0292 1,3147 1,9207 2,7109 3,4463 3,9196 4,0566 3,9279 3,6809 3,4651 3,3930 3,5176 3,8205 4,2242 4,6138 4,8568 4,8356 4,4944 3,8775 3,1288 2,4360 1,9437 1,6962 1,6408 1,6787 1,7323 1,7809 1,8537 2,0046 2,2838 2,7052 3,2357 3,8088 4,3353 4,7108 4,8410 4,6808 4,2444 3,5837 2,7773 1,9430 1,2323 0,7802 0,6503 0,8105 1,1367 1,4538 1,6156 1,5780 1,4116 1,2523 1,2347 1,4371 1,8531 2,4099 3,0192 3,6086 4,1152 4,4767 4,6402 4,5715 4,2632 3,7538 3,1413 2,5488 2,0539 1,6572 1,3205 1,0213 0,7793 0,6443 0,6470 0,7641 0,9443 1,1659 1,4527 1,8354 2,3014 2,7751 3,1385 3,2789 3,1303 2,6983 2,0577 1,3043 0,5182 -0,2085 -0,7413 -0,9478 -0,7922 -0,3835 0,0951 0,5149 0,8555 1,1601 1,4692 1,7882 2,0898 2,3328 2,4726 2,4746 2,3426 2,1238 1,8731 1,6273 1,4136 1,2503 1,1134 0,9179 0,5740 0,0776 -0,4594 -0,8638 -0,9825 -0,7601 -0,2879 0,2344 0,6345 0,8870 1,1078 1,4431 1,9613 2,6218 3,3049 3,8593 4,1509 4,1124 3,7668 3,2200 2,6441 2,2359 2,1349 2,3599 2,8286 3,4412 4,1353 4,8547 5,4834 5,8455 5,7879 5,2656 4,3568 3,2340 2,1269 1,2614 0,7861 0,7302 1,0008 1,4199 1,8018 2,0367 2,1378 2,2271 2,4522 2,8862 3,4811 4,1005 4,5977 4,8844 4,9519 4,8467 4,6262 4,3219 3,9296 3,4205 2,7712 2,0143 1,2553 0,6086 0,1255 -0,2073 -0,4254 -0,5489 -0,5767 -0,5056 -0,3366 -0,0613 0,3322 0,8329 1,3869 1,8933 2,2279 2,3032 2,1206 1,7495 1,2718 0,7777 0,3790 0,1589 0,1010 0,0976 0,0280 -0,1681 -0,4622 -0,7568 -0,9332 -0,8993 -0,6141 -0,0954 0,5835 1,3144 1,9878 2,5235 2,8905 3,0998 3,1731 3,1187 2,9311 2,6089 2,1741 1,6728 1,1665 0,7289 0,4398 0,3561 0,4782 0,7473 1,0700 1,3533 1,5523 1,6992 1,8606 2,0660 2,2851 2,4658 2,5698 2,5780 2,4970 2,3754 2,2882 2,2844 2,3560 2,4489 2,4858 2,3994 2,1622 1,7811 1,2649 0,6125 -0,1656 -1,0343 -1,9404 -2,8061 -3,5161 -3,9392 -3,9755 -3,5990 -2,8837 -1,9819 -1,0499 -0,1909 0,5426 1,1195 1,5106 1,6923 1,6568 1,4055 0,9540 0,3656 -0,2337 -0,6980 -0,9397 -0,9708 -0,8647 -0,6777 -0,4173 -0,0746 0,3430 0,8036 1,2449 1,5772 1,7082 1,5719 1,1569 0,5329 -0,1556 -0,7605 -1,2150
