Fp1   1,6550 0,9771 0,3608 -0,1765 -0,6568 -1,1279 -1,6103 -2,0694 -2,4384 -2,6554 -2,6944 -2,5848 -2,4044 -2,2402 -2,1433 -2,0987 -2,0266 -1,8264 -1,4405 -0,8892 -0,2641 0,3234 0,8093 1,1953 1,5033 1,7342 1,8715 1,9023 1,8311 1,6899 1,5350 1,4239 1,3897 1,4337 1,5397 1,6917 1,8727 2,0452 2,1447 2,0992 1,8587 1,4175 0,8302 0,2023 -0,3520 -0,7598 -1,0105 -1,1513 -1,2672 -1,4490 -1,7520 -2,1620 -2,5995 -2,9764 -3,2595 -3,4723 -3,6483 -3,8020 -3,9288 -4,0084 -4,0057 -3,8815 -3,6097 -3,1892 -2,6451 -2,0245 -1,3958 -0,8419 -0,4311 -0,1825 -0,0666 -0,0297 -0,0010 0,1023 0,3398 0,7067 1,1293 1,5080 1,7754 1,9305 2,0414 2,2014 2,4512 2,7405 2,9745 3,0798 3,0249 2,8143 2,4881 2,1168 1,7756 1,5163 1,3567 1,2882 1,2888 1,3313 1,3825 1,4082 1,3929 1,3547 1,3377 1,3941 1,5598 1,8290 2,1580 2,5064 2,8695 3,2543 3,6339 3,9598 4,2180 4,4430 4,6745 4,9180 5,1391 5,2882 5,3375 5,2982 5,2157 5,1633 5,2218 5,4376 5,7959 6,2339 6,6723 7,0374 7,2721 7,3436 7,2502 7,0179 6,6904 6,3237 5,9808 5,7186 5,5696 5,5302 5,5470 5,5132 5,3066 4,8715 4,2691 3,6346 3,0938 2,7180 2,5153 2,4342 2,3906 2,3130 2,1744 1,9955 1,8198 1,6888 1,6438 1,7254 1,9394 2,2304 2,4919 2,5977 2,4473 2,0130 1,3589 0,6180 -0,0543 -0,5296 -0,7494 -0,7469 -0,6267 -0,5133 -0,4951 -0,5911 -0,7632 -0,9494 -1,0853 -1,1195 -1,0315 -0,8412 -0,5984 -0,3580 -0,1502 0,0424 0,2756 0,5989 1,0127 1,4635 1,8751 2,1870 2,3721 2,4316 2,3871 2,2931 2,2461 2,3523 2,6739 3,1993 3,8392 4,4540 4,9124 5,1368 5,1099 4,8649 4,4681 3,9976 3,5379 3,1750 2,9653 2,8985 2,9147 2,9612 3,0263 3,1325 3,3101 3,5701 3,8965 4,2519 4,5814 4,8154 4,8811 4,7228 4,3332 3,7764 3,1652 2,6045 2,1471 1,7967 1,5385 1,3631 1,2675 1,2507 1,3116 1,4403 1,6052 1,7529 1,8255 1,7792 1,6023 1,3201 0,9743 0,6133 0,3057 0,1294 0,1316 0,3108 0,6366 1,0696 1,5639 2,0743 2,5707 3,0422 3,4911 3,9245 4,3332 4,6701 4,8687 4,8952 4,7726 4,5583 4,3090 4,0571 3,8088 3,5713 3,3774 3,2696 3,2655 3,3520 3,4998 3,6739 3,8363 3,9426 3,9443 3,8133 3,5638 3,2283 2,8128 2,2992 1,6958 1,0675 0,5062 0,0784 -0,1956 -0,3282 -0,3478 -0,2911 -0,1988 -0,1038 -0,0150 0,0799 0,1937 0,3168 0,4165 0,4680 0,4836 0,5025 0,5619 0,6822 0,8607 1,0641 1,2415 1,3574 1,4073 1,4013 1,3479 1,2573 1,1475 1,0402 0,9403 0,8250 0,6693 0,4766 0,2682 0,0584 -0,1430 -0,3175 -0,4327 -0,4566 -0,3891 -0,2668 -0,1238 0,0250 0,1494 0,1974 0,1401 -0,0043 -0,1942 -0,3939 -0,5905 -0,7958 -1,0184 -1,2238 -1,3363 -1,2874 -1,0634 -0,7170 -0,3417 -0,0348 0,1407 0,1844 0,1516 0,1110 0,1225 0,2460 0,5314 0,9827 1,5409 2,1090 2,5881 2,8976 2,9916 2,8787 2,6059 2,2131 1,7238 1,1752 0,6261 0,1258 -0,3040 -0,6603 -0,9470 -1,1649 -1,3022 -1,3386 -1,2604 -1,0684 -0,7741 -0,3965 0,0339 0,4706 0,8614 1,1845 1,4723 1,7817 2,1411 2,5258 2,8833 3,1871 3,4612 3,7398 4,0160 4,2427 4,3683 4,3646 4,2340 4,0132 3,7722 3,5845 3,4794 3,4265 3,3633 3,2322 3,0090 2,7244 2,4671 2,3508 2,4537 2,7693 3,2138 3,6839 4,1008 4,4051 4,5431 4,4835 4,2353 3,8341 3,3257 2,7749 2,2643 1,8630 1,5983 1,4559 1,4042 1,4270 1,5334 1,7389 2,0375 2,3850 2,7082 2,9434 3,0746 3,1416 3,2042 3,3006 3,4365 3,6077 3,8325 4,1545 4,6073 5,1767 5,7900 6,3317 6,6778 6,7458 6,5459 6,1831 5,7939 5,4626 5,1757 4,8517 4,4198 3,8826 3,3273 2,8783 2,6151 2,5208 2,5060 2,4792 2,3998 2,2812 2,1604 2,0643 1,9973 1,9617 1,9800 2,0780 2,2532 2,4791 2,7352 3,0158 3,3069 3,5629 3,7111 3,6807 3,4453 3,0544 2,6269 2,3082 2,2195 2,4279 2,9442 3,7229 4,6638 5,6402 6,5429 7,3020 7,8790 8,2410 8,3447 8,1579 7,6993 7,0522 6,3405 5,6959 5,2235 4,9737 4,9485 5,1304 5,4859 5,9508 6,4339 6,8387 7,0799 7,0944 6,8578 6,3985 5,7965 5,1596 4,5838 4,1214 3,7702 3,4905 3,2440 3,0306 2,8932 2,8849 3,0373 3,3546 3,8076 4,3071 4,7073 4,8747 4,7620 4,4112 3,9062 3,3281 2,7401 2,1998 1,7728 1,5219 1,4711 1,5867 1,8048 2,0752 2,3688 2,6529 2,8768 2,9874 2,9511 2,7595 2,4387 2,0583 1,7148 1,4920 1,4255 1,4933 1,6332 1,7609 1,7881 1,6500 1,3193 0,8069 0,1598 -0,5518 -1,2555 -1,8927 -2,4291 -2,8559 -3,1757 -3,3916 -3,5084 -3,5332 -3,4702 -3,3131 -3,0443 -2,6401 -2,0860 -1,3989 -0,6382 0,1194 0,8225 1,4593 2,0326 2,5378 2,9674 3,3313 3,6680 4,0200 4,3889 4,7194 4,9227 4,9069 4,6083 4,0279 3,2406 2,3589 1,4996 0,7717 0,2534 -0,0342 -0,1315 -0,1226 -0,0982 -0,1141 -0,1726 -0,2385 -0,2776 -0,2785 -0,2388 -0,1412 0,0374 0,2943 0,6020 0,9494 1,3647 1,8842 2,4992 3,1274 3,6431 3,9422 3,9832 3,7896 3,4394 3,0499
Fz    2,9306 2,3118 1,7624 1,2998 0,8947 0,4843 0,0239 -0,4737 -0,9454 -1,3193 -1,5548 -1,6618 -1,6931 -1,7127 -1,7582 -1,8192 -1,8408 -1,7582 -1,5398 -1,2096 -0,8361 -0,4918 -0,2119 0,0087 0,1793 0,2939 0,3455 0,3392 0,2949 0,2491 0,2473 0,3237 0,4847 0,7086 0,9531 1,1716 1,3309 1,4132 1,4096 1,3148 1,1244 0,8418 0,4928 0,1302 -0,1832 -0,3983 -0,4981 -0,5057 -0,4773 -0,4757 -0,5421 -0,6851 -0,8847 -1,1158 -1,3754 -1,6833 -2,0591 -2,5051 -2,9960 -3,4755 -3,8689 -4,1061 -4,1409 -3,9650 -3,6139 -3,1579 -2,6806 -2,2569 -1,9334 -1,7140 -1,5678 -1,4494 -1,3088 -1,0980 -0,7914 -0,4065 0,0018 0,3744 0,6791 0,9228 1,1458 1,3932 1,6656 1,9020 2,0200 1,9682 1,7429 1,3773 0,9340 0,4965 0,1476 -0,0539 -0,0862 0,0325 0,2520 0,5091 0,7428 0,9051 0,9774 0,9821 0,9702 0,9940 1,0905 1,2700 1,5121 1,7803 2,0478 2,3018 2,5245 2,6928 2,8011 2,8694 2,9250 2,9812 3,0293 3,0517 3,0428 3,0168 3,0042 3,0491 3,1976 3,4726 3,8530 4,2758 4,6609 4,9407 5,0733 5,0400 4,8413 4,5012 4,0670 3,6021 3,1735 2,8369 2,6213 2,5207 2,4902 2,4480 2,3061 2,0271 1,6573 1,2957 1,0314 0,9026 0,8933 0,9547 1,0365 1,1097 1,1728 1,2450 1,3486 1,4919 1,6702 1,8706 2,0623 2,1907 2,1901 2,0063 1,6204 1,0630 0,4134 -0,2161 -0,7067 -0,9684 -0,9766 -0,7867 -0,5153 -0,2908 -0,1945 -0,2337 -0,3676 -0,5480 -0,7315 -0,8750 -0,9414 -0,9120 -0,7898 -0,5900 -0,3238 0,0128 0,4302 0,9227 1,4521 1,9528 2,3573 2,6265 2,7561 2,7611 2,6667 2,5182 2,3899 2,3701 2,5345 2,9190 3,4924 4,1476 4,7357 5,1255 5,2501 5,1229 4,8181 4,4293 4,0448 3,7413 3,5674 3,5182 3,5446 3,5968 3,6519 3,7116 3,7829 3,8565 3,9045 3,8963 3,8098 3,6334 3,3639 3,0091 2,5971 2,1834 1,8326 1,5802 1,4102 1,2743 1,1330 0,9736 0,7976 0,6077 0,4101 0,2203 0,0587 -0,0568 -0,1200 -0,1455 -0,1621 -0,1964 -0,2679 -0,3872 -0,5432 -0,6993 -0,8105 -0,8372 -0,7461 -0,5155 -0,1499 0,3182 0,8394 1,3618 1,8428 2,2592 2,6028 2,8607 3,0109 3,0464 2,9920 2,8906 2,7757 2,6579 2,5338 2,4128 2,3357 2,3568 2,5049 2,7625 3,0744 3,3691 3,5842 3,6783 3,6307 3,4463 3,1619 2,8245 2,4570 2,0566 1,6239 1,1807 0,7633 0,4088 0,1424 -0,0358 -0,1482 -0,2201 -0,2717 -0,3227 -0,3860 -0,4572 -0,5197 -0,5601 -0,5732 -0,5533 -0,4843 -0,3429 -0,1084 0,2272 0,6516 1,1265 1,5983 2,0215 2,3716 2,6371 2,8081 2,8753 2,8326 2,6789 2,4135 2,0340 1,5493 0,9942 0,4217 -0,1079 -0,5322 -0,7946 -0,8601 -0,7314 -0,4621 -0,1435 0,1362 0,3164 0,3546 0,2244 -0,0598 -0,4347 -0,8199 -1,1608 -1,4428 -1,6775 -1,8734 -2,0074 -2,0286 -1,8928 -1,5977 -1,1929 -0,7667 -0,4166 -0,2122 -0,1685 -0,2511 -0,3982 -0,5324 -0,5681 -0,4370 -0,1222 0,3287 0,8251 1,2698 1,5877 1,7389 1,7223 1,5622 1,2853 0,9192 0,5120 0,1261 -0,1973 -0,4579 -0,6825 -0,9027 -1,1331 -1,3593 -1,5482 -1,6711 -1,7218 -1,7134 -1,6651 -1,5953 -1,5186 -1,4362 -1,3208 -1,1198 -0,7899 -0,3291 0,2245 0,8201 1,4184 1,9943 2,5179 2,9391 3,2005 3,2670 3,1465 2,8879 2,5640 2,2572 2,0387 1,9390 1,9393 1,9935 2,0543 2,0925 2,1141 2,1679 2,3212 2,6123 3,0161 3,4516 3,8274 4,0846 4,1996 4,1638 3,9810 3,6792 3,2999 2,8748 2,4252 1,9739 1,5429 1,1489 0,8078 0,5390 0,3684 0,3259 0,4348 0,6936 1,0618 1,4660 1,8314 2,1146 2,3161 2,4632 2,5864 2,7112 2,8680 3,1009 3,4536 3,9384 4,5184 5,1125 5,6180 5,9411 6,0306 5,9025 5,6329 5,3210 5,0394 4,7965 4,5420 4,2203 3,8241 3,4085 3,0581 2,8310 2,7258 2,6922 2,6749 2,6517 2,6300 2,6197 2,6193 2,6212 2,6255 2,6495 2,7161 2,8309 2,9798 3,1470 3,3217 3,4867 3,6062 3,6335 3,5347 3,3198 3,0557 2,8455 2,7851 2,9287 3,2862 3,8390 4,5431 5,3279 6,1134 6,8376 7,4664 7,9828 8,3643 8,5651 8,5309 8,2442 7,7536 7,1565 6,5624 6,0631 5,7181 5,5564 5,5795 5,7540 6,0105 6,2581 6,4042 6,3730 6,1238 5,6636 5,0492 4,3738 3,7416 3,2346 2,8936 2,7182 2,6822 2,7557 2,9229 3,1826 3,5331 3,9599 4,4340 4,9093 5,3081 5,5230 5,4615 5,0966 4,4764 3,6931 2,8520 2,0535 1,3827 0,9027 0,6518 0,6350 0,8155 1,1268 1,4971 1,8582 2,1402 2,2813 2,2522 2,0637 1,7495 1,3505 0,9153 0,4966 0,1401 -0,1286 -0,3091 -0,4232 -0,5088 -0,6080 -0,7543 -0,9667 -1,2444 -1,5609 -1,8786 -2,1680 -2,4105 -2,5915 -2,7010 -2,7339 -2,6893 -2,5695 -2,3753 -2,1029 -1,7481 -1,3154 -0,8151 -0,2566 0,3424 0,9397 1,4762 1,9102 2,2422 2,5056 2,7409 2,9784 3,2424 3,5606 3,9518 4,3931 4,8093 5,1013 5,1804 4,9914 4,5351 3,8803 3,1415 2,4445 1,9015 1,5861 1,5120 1,6335 1,8639 2,1067 2,2882 2,3731 2,3575 2,2528 2,0818 1,8862 1,7252 1,6563 1,7095 1,8809 2,1511 2,5040 2,9242 3,3831 3,8312 4,2080 4,4626 4,5704 4,5376 4,4011 4,2200
F3    2,0396 1,7595 1,6110 1,5168 1,3465 0,9838 0,4082 -0,2777 -0,9065 -1,3433 -1,5571 -1,6259 -1,6760 -1,7998 -2,0064 -2,2286 -2,3669 -2,3486 -2,1678 -1,8844 -1,5862 -1,3440 -1,1809 -1,0733 -0,9820 -0,8798 -0,7535 -0,5990 -0,4183 -0,2106 0,0294 0,3016 0,5999 0,9171 1,2424 1,5560 1,8305 2,0360 2,1546 2,1920 2,1652 2,0754 1,8970 1,5998 1,1890 0,7208 0,2712 -0,1119 -0,4256 -0,6896 -0,9213 -1,1268 -1,2962 -1,4123 -1,4826 -1,5539 -1,6830 -1,8990 -2,1897 -2,5108 -2,8048 -3,0164 -3,1023 -3,0440 -2,8551 -2,5666 -2,2019 -1,7723 -1,2881 -0,7603 -0,1990 0,3751 0,9207 1,3795 1,6906 1,8098 1,7312 1,5001 1,2020 0,9305 0,7628 0,7483 0,8922 1,1435 1,4100 1,5920 1,6061 1,4036 0,9980 0,4923 0,0600 -0,1320 -0,0123 0,3636 0,8625 1,3610 1,7937 2,1413 2,4035 2,5847 2,6789 2,6642 2,5204 2,2540 1,9105 1,5694 1,3195 1,2197 1,2744 1,4524 1,7208 2,0498 2,3987 2,7172 2,9607 3,1065 3,1657 3,1786 3,1951 3,2588 3,4035 3,6481 3,9804 4,3480 4,6734 4,8913 4,9766 4,9310 4,7480 4,4130 3,9404 3,3958 2,8777 2,4767 2,2429 2,1766 2,2407 2,3795 2,5321 2,6504 2,7104 2,7026 2,6162 2,4446 2,1999 1,9217 1,6786 1,5486 1,5744 1,7376 1,9836 2,2633 2,5398 2,7592 2,8361 2,6822 2,2495 1,5573 0,6902 -0,2255 -1,0509 -1,6568 -1,9486 -1,8931 -1,5391 -1,0044 -0,4273 0,0799 0,4547 0,6856 0,7893 0,7845 0,6826 0,5019 0,2862 0,1057 0,0329 0,1138 0,3599 0,7553 1,2594 1,8087 2,3342 2,7824 3,1239 3,3493 3,4603 3,4590 3,3454 3,1390 2,9026 2,7331 2,7233 2,9258 3,3283 3,8491 4,3637 4,7501 4,9291 4,8848 4,6551 4,3109 3,9527 3,7055 3,6699 3,8513 4,1530 4,4449 4,6335 4,6822 4,5949 4,3937 4,1077 3,7633 3,3785 2,9739 2,5885 2,2681 2,0366 1,8848 1,7781 1,6695 1,5099 1,2630 0,9190 0,5024 0,0713 -0,2939 -0,5157 -0,5580 -0,4468 -0,2466 -0,0145 0,2178 0,4334 0,6131 0,7198 0,7034 0,5319 0,2231 -0,1513 -0,4903 -0,6991 -0,7216 -0,5622 -0,2826 0,0348 0,3386 0,6319 0,9546 1,3459 1,8085 2,3011 2,7626 3,1398 3,3991 3,5187 3,4741 3,2430 2,8431 2,3671 1,9610 1,7596 1,8338 2,1729 2,6869 3,2305 3,6531 3,8551 3,8202 3,6085 3,3043 2,9574 2,5718 2,1355 1,6467 1,1251 0,6162 0,1764 -0,1622 -0,4073 -0,5823 -0,7008 -0,7731 -0,8264 -0,9037 -1,0383 -1,2332 -1,4653 -1,6973 -1,8787 -1,9432 -1,8250 -1,4872 -0,9401 -0,2390 0,5418 1,3508 2,1661 2,9500 3,6093 4,0214 4,1021 3,8481 3,3183 2,5811 1,6861 0,6866 -0,3308 -1,2496 -1,9516 -2,3498 -2,4102 -2,1566 -1,6650 -1,0512 -0,4499 0,0126 0,2461 0,2216 -0,0195 -0,3841 -0,7675 -1,0911 -1,3272 -1,5074 -1,6953 -1,9277 -2,1753 -2,3534 -2,3591 -2,1196 -1,6361 -0,9952 -0,3336 0,2180 0,5831 0,7572 0,7845 0,7204 0,6114 0,4942 0,3922 0,3078 0,2259 0,1270 0,0013 -0,1422 -0,2879 -0,4314 -0,5706 -0,6796 -0,7189 -0,6785 -0,6005 -0,5620 -0,6386 -0,8630 -1,1940 -1,5278 -1,7530 -1,8001 -1,6574 -1,3617 -0,9840 -0,6032 -0,2730 -0,0022 0,2350 0,4769 0,7665 1,1477 1,6375 2,1975 2,7335 3,1234 3,2630 3,1165 2,7422 2,2791 1,8883 1,6758 1,6560 1,7682 1,9224 2,0519 2,1511 2,2726 2,4886 2,8387 3,2964 3,7773 4,1863 4,4584 4,5599 4,4795 4,2393 3,8981 3,5250 3,1744 2,8776 2,6366 2,4253 2,2171 2,0071 1,8021 1,6105 1,4497 1,3526 1,3580 1,4973 1,7832 2,1941 2,6577 3,0619 3,3100 3,3820 3,3508 3,3310 3,4000 3,5637 3,7948 4,0844 4,4433 4,8612 5,2882 5,6607 5,9365 6,1014 6,1550 6,1044 5,9690 5,7841 5,5813 5,3612 5,0996 4,7892 4,4684 4,2096 4,0786 4,0867 4,1685 4,2086 4,1160 3,8854 3,5810 3,2698 2,9849 2,7305 2,5012 2,3009 2,1503 2,0821 2,1274 2,3024 2,5982 2,9753 3,3662 3,6973 3,9262 4,0601 4,1366 4,1917 4,2419 4,2880 4,3382 4,4230 4,5773 4,8139 5,1238 5,4952 5,9228 6,3961 6,8748 7,2654 7,4356 7,2854 6,8167 6,1364 5,4082 4,7925 4,3920 4,2322 4,2790 4,4671 4,7188 4,9605 5,1274 5,1619 5,0233 4,7074 4,2505 3,7107 3,1510 2,6419 2,2703 2,1243 2,2547 2,6442 3,2120 3,8566 4,4990 5,0923 5,6025 5,9839 6,1672 6,0743 5,6670 4,9836 4,1237 3,2011 2,3127 1,5284 0,8943 0,4440 0,2074 0,1976 0,3900 0,7212 1,1174 1,5161 1,8641 2,1132 2,2335 2,2176 2,0600 1,7489 1,2906 0,7386 0,1866 -0,2769 -0,6135 -0,8312 -0,9469 -0,9658 -0,8972 -0,7786 -0,6678 -0,6093 -0,6203 -0,7083 -0,8869 -1,1659 -1,5209 -1,8735 -2,1083 -2,1187 -1,8478 -1,3027 -0,5448 0,3320 1,2235 2,0286 2,6498 2,9997 3,0299 2,7691 2,3320 1,8790 1,5565 1,4539 1,5949 1,9554 2,4820 3,0965 3,7045 4,2143 4,5534 4,6813 4,6041 4,3752 4,0695 3,7529 3,4678 3,2307 3,0413 2,8959 2,7883 2,7032 2,6155 2,4876 2,2597 1,8690 1,3095 0,6825 0,1671 -0,0745 0,0256 0,4331 1,0520 1,7714 2,4998 3,1821 3,7902 4,3020 4,6942 4,9515 5,0720 5,0651 4,9467
F7    1,2023 0,7335 0,3093 -0,0406 -0,3066 -0,5175 -0,7127 -0,9028 -1,0622 -1,1563 -1,1786 -1,1717 -1,2110 -1,3555 -1,6029 -1,8797 -2,0730 -2,0882 -1,8977 -1,5457 -1,1189 -0,7035 -0,3441 -0,0340 0,2549 0,5359 0,7972 1,0141 1,1685 1,2593 1,2951 1,2880 1,2597 1,2438 1,2688 1,3407 1,4392 1,5189 1,5224 1,4129 1,1954 0,9030 0,5746 0,2508 -0,0207 -0,1938 -0,2478 -0,2067 -0,1308 -0,0853 -0,1168 -0,2437 -0,4521 -0,7048 -0,9682 -1,2283 -1,4813 -1,7194 -1,9268 -2,0835 -2,1724 -2,1769 -2,0790 -1,8669 -1,5430 -1,1245 -0,6442 -0,1502 0,3096 0,7082 1,0398 1,3073 1,5206 1,6937 1,8315 1,9220 1,9410 1,8688 1,7107 1,5085 1,3333 1,2581 1,3138 1,4679 1,6504 1,7998 1,8879 1,9204 1,9319 1,9735 2,0871 2,2878 2,5634 2,8773 3,1748 3,4028 3,5244 3,5181 3,3811 3,1370 2,8303 2,5126 2,2327 2,0277 1,9190 1,9186 2,0345 2,2604 2,5605 2,8804 3,1789 3,4415 3,6692 3,8648 4,0279 4,1516 4,2257 4,2453 4,2192 4,1745 4,1578 4,2197 4,3836 4,6281 4,8984 5,1355 5,3026 5,3912 5,4041 5,3389 5,1997 5,0125 4,8151 4,6323 4,4628 4,2886 4,0893 3,8460 3,5432 3,1861 2,8183 2,5068 2,3055 2,2315 2,2608 2,3392 2,4088 2,4353 2,4161 2,3692 2,3203 2,2951 2,3157 2,3895 2,4989 2,6070 2,6719 2,6551 2,5332 2,3122 2,0298 1,7418 1,4999 1,3328 1,2330 1,1626 1,0777 0,9555 0,8075 0,6763 0,6189 0,6789 0,8653 1,1466 1,4630 1,7508 1,9657 2,0946 2,1586 2,2065 2,2939 2,4554 2,6891 2,9624 3,2341 3,4818 3,7091 3,9233 4,1125 4,2578 4,3637 4,4636 4,6065 4,8393 5,1767 5,5739 5,9375 6,1706 6,2190 6,0894 5,8338 5,5215 5,2248 5,0081 4,9023 4,8767 4,8539 4,7662 4,6022 4,4061 4,2432 4,1609 4,1765 4,2752 4,4106 4,5192 4,5487 4,4741 4,3025 4,0733 3,8405 3,6435 3,4899 3,3611 3,2314 3,0875 2,9340 2,7912 2,6839 2,6242 2,5987 2,5730 2,5051 2,3636 2,1475 1,8888 1,6278 1,3932 1,2055 1,0817 1,0318 1,0592 1,1666 1,3523 1,6047 1,9042 2,2345 2,5884 2,9645 3,3554 3,7359 4,0606 4,2812 4,3743 4,3503 4,2433 4,0952 3,9397 3,7858 3,6200 3,4341 3,2473 3,0963 3,0102 2,9955 3,0378 3,1140 3,1991 3,2692 3,3089 3,3218 3,3191 3,2918 3,2030 3,0156 2,7267 2,3770 2,0301 1,7359 1,5042 1,3112 1,1321 0,9623 0,8137 0,6991 0,6216 0,5766 0,5586 0,5618 0,5815 0,6234 0,7006 0,8157 0,9524 1,0857 1,1895 1,2428 1,2488 1,2399 1,2498 1,2827 1,3182 1,3381 1,3444 1,3498 1,3532 1,3330 1,2655 1,1408 0,9662 0,7661 0,5744 0,4203 0,3242 0,2982 0,3430 0,4484 0,5917 0,7345 0,8342 0,8663 0,8332 0,7516 0,6319 0,4678 0,2412 -0,0537 -0,3799 -0,6571 -0,8053 -0,7891 -0,6290 -0,3831 -0,1175 0,1224 0,3245 0,4982 0,6532 0,7945 0,9333 1,0928 1,2914 1,5217 1,7484 1,9273 2,0201 2,0066 1,8967 1,7228 1,5125 1,2762 1,0127 0,7145 0,3728 -0,0093 -0,4116 -0,8059 -1,1584 -1,4240 -1,5504 -1,4933 -1,2325 -0,7858 -0,2139 0,3946 0,9510 1,3978 1,7359 2,0204 2,3101 2,6212 2,9288 3,1978 3,4071 3,5544 3,6454 3,6839 3,6780 3,6467 3,6139 3,5946 3,5921 3,6099 3,6504 3,6984 3,7233 3,7027 3,6387 3,5502 3,4587 3,3875 3,3619 3,3960 3,4738 3,5521 3,5917 3,5847 3,5438 3,4740 3,3678 3,2276 3,0783 2,9527 2,8705 2,8213 2,7674 2,6750 2,5430 2,3998 2,2848 2,2349 2,2757 2,4111 2,6151 2,8423 3,0584 3,2601 3,4657 3,6869 3,9076 4,0888 4,1975 4,2342 4,2359 4,2488 4,2964 4,3683 4,4323 4,4555 4,4210 4,3389 4,2446 4,1777 4,1518 4,1323 4,0495 3,8431 3,5049 3,0933 2,7048 2,4168 2,2437 2,1412 2,0551 1,9676 1,8955 1,8550 1,8431 1,8459 1,8563 1,8840 1,9480 2,0647 2,2391 2,4633 2,7198 2,9847 3,2247 3,3969 3,4599 3,3968 3,2315 3,0260 2,8582 2,7913 2,8577 3,0585 3,3584 3,6889 3,9764 4,1752 4,2837 4,3396 4,3889 4,4467 4,4861 4,4670 4,3675 4,1939 3,9763 3,7531 3,5498 3,3784 3,2570 3,2161 3,2812 3,4526 3,6979 3,9611 4,1799 4,2989 4,2816 4,1228 3,8508 3,5134 3,1577 2,8137 2,4979 2,2288 2,0407 1,9717 2,0358 2,2122 2,4659 2,7695 3,0915 3,3733 3,5477 3,5798 3,4775 3,2720 2,9964 2,6795 2,3499 2,0450 1,8042 1,6429 1,5328 1,4196 1,2672 1,0794 0,8820 0,6952 0,5302 0,3965 0,2995 0,2427 0,2390 0,3108 0,4695 0,6914 0,9181 1,0865 1,1580 1,1253 0,9989 0,7911 0,5179 0,2109 -0,0908 -0,3645 -0,6113 -0,8424 -1,0580 -1,2354 -1,3378 -1,3369 -1,2281 -1,0276 -0,7555 -0,4243 -0,0345 0,4179 0,9168 1,4068 1,8137 2,0910 2,2464 2,3241 2,3701 2,4122 2,4593 2,5148 2,5833 2,6618 2,7351 2,7816 2,7760 2,6905 2,5092 2,2417 1,9163 1,5658 1,2267 0,9413 0,7495 0,6720 0,6970 0,7854 0,8974 1,0102 1,1038 1,1384 1,0740 0,9226 0,7737 0,7501 0,9323 1,3216 1,8601 2,4688 3,0725 3,6094 4,0303 4,2996 4,4023 4,3505 4,1852 3,9723 3,7803
