Fp1   1,8120 1,8517 1,8760 1,8655 1,8004 1,6725 1,4875 1,2604 1,0100 0,7540 0,5044 0,2696 0,0602 -0,1136 -0,2506 -0,3596 -0,4519 -0,5346 -0,6133 -0,6929 -0,7692 -0,8249 -0,8374 -0,7879 -0,6658 -0,4760 -0,2415 0,0044 0,2294 0,4103 0,5395 0,6237 0,6767 0,7111 0,7312 0,7291 0,6876 0,5913 0,4345 0,2196 -0,0466 -0,3516 -0,6771 -1,0058 -1,3305 -1,6565 -1,9947 -2,3501 -2,7138 -3,0663 -3,3926 -3,6899 -3,9595 -4,1978 -4,3923 -4,5225 -4,5638 -4,4994 -4,3331 -4,0923 -3,8118 -3,5161 -3,2156 -2,9170 -2,6331 -2,3827 -2,1833 -2,0465 -1,9773 -1,9729 -2,0197 -2,0914 -2,1522 -2,1684 -2,1243 -2,0235 -1,8832 -1,7345 -1,6209 -1,5792 -1,6202 -1,7282 -1,8741 -2,0262 -2,1520 -2,2213 -2,2132 -2,1250 -1,9723 -1,7840 -1,5916 -1,4195 -1,2824 -1,1886 -1,1444 -1,1585 -1,2502 -1,4503 -1,7871 -2,2687 -2,8757 -3,5666 -4,2941 -5,0217 -5,7240 -6,3812 -6,9785 -7,5093 -7,9744 -8,3804 -8,7386 -9,0600 -9,3497 -9,6054 -9,8222 -9,9966 -10,1315 -10,2377 -10,3257 -10,3917 -10,4113 -10,3485 -10,1705 -9,8587 -9,4080 -8,8198 -8,0990 -7,2559 -6,3060 -5,2679 -4,1611 -2,9991 -1,7898 -0,5461 0,7086 1,9449 3,1346 4,2543 5,2839 6,2021 6,9841 7,6063 8,0564 8,3395 8,4804 8,5186 8,4933 8,4250 8,3121 8,1441 7,9117 7,6075 7,2272 6,7733 6,2573 5,6972 5,1173 4,5472 4,0130 3,5295 3,0970 2,7044 2,3342 1,9714 1,6121 1,2660 0,9474 0,6632 0,4041 0,1478 -0,1246 -0,4141 -0,7049 -0,9765 -1,2155 -1,4205 -1,6038 -1,7837 -1,9713 -2,1681 -2,3769 -2,6103 -2,8816 -3,1925 -3,5312 -3,8824 -4,2343 -4,5788 -4,9115 -5,2375 -5,5754 -5,9457 -6,3557 -6,7996 -7,2672 -7,7509 -8,2483 -8,7568 -9,2631 -9,7410 -10,1628 -10,5091 -10,7705 -10,9490 -11,0645 -11,1484 -11,2264 -11,3085 -11,3943 -11,4828 -11,5762 -11,6754 -11,7734 -11,8523 -11,8851 -11,8441 -11,7165 -11,5152 -11,2733 -11,0309 -10,8204 -10,6574 -10,5357 -10,4305 -10,3075 -10,1372 -9,9064 -9,6208 -9,2974 -8,9549 -8,6091 -8,2720 -7,9517 -7,6488 -7,3559 -7,0640 -6,7740 -6,5002 -6,2637 -6,0845 -5,9747 -5,9318 -5,9372 -5,9603 -5,9614 -5,8995 -5,7468 -5,4949 -5,1495 -4,7310 -4,2793 -3,8434 -3,4622 -3,1539 -2,9191 -2,7487 -2,6308 -2,5532 -2,5010 -2,4588 -2,4194 -2,3879 -2,3719 -2,3706 -2,3744 -2,3726 -2,3654 -2,3691 -2,4106 -2,5111 -2,6720 -2,8760 -3,0986 -3,3130 -3,4931 -3,6174 -3,6740 -3,6614 -3,5878 -3,4670 -3,3103 -3,1197 -2,8906 -2,6242 -2,3355 -2,0470 -1,7784 -1,5426 -1,3483 -1,2000 -1,0946 -1,0205 -0,9586 -0,8849 -0,7801 -0,6421 -0,4893 -0,3521 -0,2620 -0,2463 -0,3259 -0,5076 -0,7749 -1,0875 -1,3939 -1,6483 -1,8206 -1,8952 -1,8702 -1,7628 -1,5994 -1,3947 -1,1449 -0,8435 -0,5019 -0,1496 0,1814 0,4658 0,6832 0,8219 0,8834 0,8828 0,8438 0,7912 0,7406 0,6969 0,6602 0,6305 0,6051 0,5797 0,5513 0,5186 0,4836 0,4522 0,4311 0,4253 0,4365 0,4604 0,4843 0,4919 0,4709 0,4188 0,3433 0,2564 0,1719 0,1051 0,0652 0,0449 0,0207 -0,0329 -0,1257 -0,2474 -0,3797 -0,5073 -0,6226 -0,7266 -0,8268 -0,9362 -1,0680 -1,2269 -1,4047 -1,5828 -1,7380 -1,8481 -1,8965 -1,8785 -1,8067 -1,7128 -1,6360 -1,6048 -1,6310 -1,7133 -1,8423 -2,0073 -2,1986 -2,4077 -2,6287 -2,8575 -3,0852 -3,2936 -3,4571 -3,5492 -3,5512 -3,4598 -3,2823 -3,0288 -2,7124 -2,3540 -1,9779 -1,6054 -1,2535 -0,9353 -0,6580 -0,4209 -0,2135 -0,0196 0,1694 0,3476 0,5016 0,6213 0,7035 0,7472 0,7530 0,7234 0,6659 0,5961 0,5334 0,4898 0,4651 0,4516 0,4452 0,4512 0,4811 0,5461 0,6515 0,7946 0,9606 1,1254 1,2647 1,3656 1,4323 1,4835 1,5468 1,6458 1,7878 1,9644 2,1629 2,3718 2,5773 2,7630 2,9162 3,0330 3,1181 3,1822 3,2360 3,2836 3,3205 3,3376 3,3259 3,2765 3,1815 3,0411 2,8703 2,6915 2,5233 2,3753 2,2518 2,1546 2,0821 2,0279 1,9873 1,9615 1,9538 1,9642 1,9884 2,0210 2,0582 2,1027 2,1631 2,2469 2,3515 2,4679 2,5931 2,7357 2,9060 3,1043 3,3228 3,5542 3,7965 4,0474 4,3004 4,5496 4,7950 5,0370 5,2703 5,4871 5,6804 5,8410 5,9518 5,9880 5,9247 5,7485 5,4592 5,0620 4,5635 3,9739 3,3083 2,5883 1,8475 1,1296 0,4786 -0,0694 -0,4884 -0,7667 -0,9127 -0,9501 -0,9016 -0,7794 -0,5871 -0,3280 -0,0081 0,3697 0,8102 1,3231 1,9197 2,6104 3,4016 4,2918 5,2688 6,3099 7,3888 8,4869 9,6017 10,7422 11,9081 13,0711 14,1782 15,1700 15,9940 16,6093 16,9913 17,1373 17,0642 16,7976 16,3696 15,8227 15,2079 14,5733 13,9546 13,3692 12,8131 12,2662 11,7084 11,1333 10,5496 9,9702 9,4028 8,8487 8,3065 7,7744 7,2575 6,7728 6,3406 5,9726 5,6708 5,4265 5,2163 5,0074 4,7716 4,4960 4,1839 3,8561 3,5496 3,3046 3,1474 3,0828 3,0973 3,1660 3,2600 3,3513 3,4184 3,4524 3,4599 3,4564 3,4558 3,4650 3,4809 3,4893 3,4650 3,3783 3,2047 2,9352 2,5824 2,1722 1,7256 1,2438 0,7090 0,0984 -0,5959 -1,3533 -2,1266 -2,8551 -3,4801 -3,9571 -4,2621 -4,3921 -4,3652 -4,2203 -4,0098 -3,7842 -3,5769 -3,3967 -3,2339 -3,0721 -2,8935 -2,6761 -2,3999 -2,0598 -1,6730 -1,2723
Fz    1,1099 1,1635 1,2632 1,3759 1,4462 1,4286 1,3112 1,1146 0,8781 0,6388 0,4115 0,1889 -0,0376 -0,2639 -0,4782 -0,6677 -0,8207 -0,9313 -1,0060 -1,0588 -1,0926 -1,0885 -1,0140 -0,8386 -0,5492 -0,1618 0,2796 0,7180 1,0965 1,3742 1,5440 1,6302 1,6672 1,6815 1,6879 1,6858 1,6537 1,5557 1,3596 1,0521 0,6393 0,1366 -0,4405 -1,0783 -1,7590 -2,4572 -3,1451 -3,8035 -4,4192 -4,9804 -5,4871 -5,9493 -6,3649 -6,7099 -6,9510 -7,0555 -6,9948 -6,7601 -6,3813 -5,9198 -5,4303 -4,9296 -4,4071 -3,8570 -3,2991 -2,7737 -2,3244 -1,9857 -1,7762 -1,6953 -1,7277 -1,8422 -1,9781 -2,0551 -2,0124 -1,8369 -1,5616 -1,2589 -1,0218 -0,9288 -1,0130 -1,2562 -1,6011 -1,9698 -2,2818 -2,4709 -2,5030 -2,3854 -2,1582 -1,8700 -1,5546 -1,2259 -0,8923 -0,5705 -0,2835 -0,0628 0,0407 -0,0371 -0,3456 -0,8927 -1,6367 -2,4989 -3,3933 -4,2549 -5,0435 -5,7391 -6,3431 -6,8769 -7,3678 -7,8343 -8,2811 -8,7002 -9,0746 -9,3870 -9,6308 -9,8166 -9,9691 -10,1149 -10,2636 -10,3975 -10,4805 -10,4729 -10,3412 -10,0667 -9,6498 -9,1007 -8,4279 -7,6357 -6,7271 -5,7069 -4,5789 -3,3388 -1,9836 -0,5356 0,9492 2,4006 3,7629 5,0064 6,1161 7,0741 7,8536 8,4308 8,8001 8,9794 9,0104 8,9513 8,8522 8,7285 8,5629 8,3317 8,0218 7,6311 7,1691 6,6568 6,1198 5,5820 5,0693 4,6093 4,2213 3,9059 3,6481 3,4276 3,2290 3,0489 2,8979 2,7873 2,7133 2,6563 2,5872 2,4757 2,3070 2,0966 1,8858 1,7194 1,6227 1,5903 1,5882 1,5696 1,5006 1,3700 1,1766 0,9170 0,5876 0,1904 -0,2693 -0,7895 -1,3698 -2,0018 -2,6631 -3,3276 -3,9834 -4,6269 -5,2480 -5,8320 -6,3704 -6,8674 -7,3455 -7,8302 -8,3195 -8,7780 -9,1658 -9,4566 -9,6349 -9,7046 -9,7081 -9,7177 -9,8021 -9,9999 -10,3154 -10,7287 -11,2068 -11,7063 -12,1763 -12,5624 -12,8125 -12,8897 -12,7971 -12,5910 -12,3598 -12,1862 -12,1228 -12,1830 -12,3415 -12,5444 -12,7278 -12,8382 -12,8508 -12,7766 -12,6543 -12,5304 -12,4390 -12,3868 -12,3505 -12,2886 -12,1633 -11,9626 -11,7064 -11,4364 -11,1986 -11,0299 -10,9463 -10,9327 -10,9486 -10,9447 -10,8678 -10,6662 -10,3090 -9,7957 -9,1460 -8,3957 -7,6017 -6,8297 -6,1294 -5,5249 -5,0239 -4,6281 -4,3423 -4,1700 -4,0995 -4,1005 -4,1385 -4,1863 -4,2244 -4,2374 -4,2154 -4,1588 -4,0894 -4,0531 -4,0983 -4,2417 -4,4553 -4,6889 -4,8988 -5,0530 -5,1274 -5,1138 -5,0270 -4,8959 -4,7494 -4,6034 -4,4574 -4,2971 -4,1000 -3,8480 -3,5390 -3,1878 -2,8186 -2,4560 -2,1204 -1,8252 -1,5723 -1,3519 -1,1441 -0,9248 -0,6857 -0,4531 -0,2824 -0,2257 -0,3020 -0,4982 -0,7887 -1,1436 -1,5242 -1,8771 -2,1419 -2,2712 -2,2471 -2,0760 -1,7797 -1,3988 -0,9779 -0,5343 -0,0484 0,5051 1,1193 1,7491 2,3346 2,8163 3,1417 3,2789 3,2270 3,0112 2,6779 2,2886 1,9064 1,5851 1,3598 1,2311 1,1648 1,1167 1,0564 0,9763 0,8912 0,8263 0,7963 0,7972 0,8118 0,8161 0,7884 0,7205 0,6205 0,5048 0,3908 0,2923 0,2241 0,2058 0,2537 0,3625 0,5007 0,6300 0,7311 0,8029 0,8448 0,8527 0,8286 0,7817 0,7195 0,6374 0,5230 0,3702 0,1887 0,0008 -0,1679 -0,2938 -0,3585 -0,3589 -0,3213 -0,3034 -0,3693 -0,5558 -0,8595 -1,2441 -1,6606 -2,0739 -2,4718 -2,8550 -3,2309 -3,6065 -3,9798 -4,3377 -4,6563 -4,9030 -5,0494 -5,0868 -5,0214 -4,8622 -4,6241 -4,3324 -4,0147 -3,6902 -3,3710 -3,0665 -2,7840 -2,5263 -2,2840 -2,0399 -1,7883 -1,5445 -1,3293 -1,1551 -1,0301 -0,9633 -0,9554 -0,9921 -1,0516 -1,1161 -1,1781 -1,2407 -1,3114 -1,3937 -1,4796 -1,5471 -1,5662 -1,5084 -1,3525 -1,0942 -0,7575 -0,3963 -0,0746 0,1634 0,3108 0,3949 0,4647 0,5710 0,7452 0,9894 1,2846 1,5991 1,8953 2,1407 2,3174 2,4242 2,4771 2,5055 2,5362 2,5791 2,6248 2,6511 2,6286 2,5240 2,3073 1,9702 1,5406 1,0695 0,6047 0,1751 -0,2062 -0,5340 -0,8090 -1,0356 -1,2143 -1,3353 -1,3805 -1,3319 -1,1836 -0,9524 -0,6781 -0,4086 -0,1805 -0,0087 0,1074 0,1815 0,2461 0,3437 0,5001 0,7107 0,9566 1,2235 1,4997 1,7674 2,0049 2,2007 2,3572 2,4782 2,5617 2,6098 2,6319 2,6310 2,5916 2,4787 2,2512 1,8853 1,3821 0,7597 0,0451 -0,7304 -1,5414 -2,3655 -3,1685 -3,9009 -4,5099 -4,9473 -5,1694 -5,1527 -4,9180 -4,5296 -4,0651 -3,5859 -3,1238 -2,6856 -2,2608 -1,8218 -1,3292 -0,7499 -0,0674 0,7234 1,6171 2,5967 3,6360 4,7057 5,7829 6,8625 7,9650 9,1236 10,3504 11,6087 12,8211 13,9004 14,7742 15,3912 15,7239 15,7734 15,5684 15,1522 14,5750 13,8975 13,1849 12,4901 11,8453 11,2621 10,7290 10,2141 9,6868 9,1364 8,5722 8,0128 7,4727 6,9517 6,4340 5,8972 5,3341 4,7698 4,2495 3,8140 3,4881 3,2714 3,1301 3,0071 2,8473 2,6115 2,2876 1,9083 1,5532 1,3107 1,2307 1,3116 1,5128 1,7706 2,0133 2,1772 2,2219 2,1464 1,9909 1,8114 1,6500 1,5294 1,4648 1,4640 1,5144 1,5770 1,5941 1,5123 1,3069 0,9870 0,5753 0,0791 -0,5241 -1,2697 -2,1652 -3,1616 -4,1663 -5,0827 -5,8355 -6,3732 -6,6665 -6,7105 -6,5314 -6,1920 -5,7808 -5,3796 -5,0362 -4,7562 -4,5176 -4,2954 -4,0689 -3,8175 -3,5255 -3,1911 -2,8249 -2,4431
F3    1,1978 1,3008 1,4112 1,5001 1,5371 1,5067 1,4130 1,2738 1,1137 0,9540 0,8027 0,6557 0,5079 0,3578 0,2062 0,0549 -0,0894 -0,2167 -0,3210 -0,4026 -0,4610 -0,4860 -0,4612 -0,3725 -0,2132 0,0110 0,2821 0,5722 0,8457 1,0647 1,2036 1,2562 1,2318 1,1483 1,0252 0,8753 0,6998 0,4909 0,2389 -0,0623 -0,4120 -0,8030 -1,2253 -1,6699 -2,1285 -2,5920 -3,0509 -3,4990 -3,9309 -4,3417 -4,7334 -5,1140 -5,4821 -5,8188 -6,0930 -6,2681 -6,3078 -6,1892 -5,9203 -5,5412 -5,1020 -4,6380 -4,1670 -3,7050 -3,2746 -2,9006 -2,6005 -2,3831 -2,2508 -2,1982 -2,2100 -2,2582 -2,3002 -2,2908 -2,2036 -2,0393 -1,8221 -1,5972 -1,4203 -1,3371 -1,3640 -1,4841 -1,6576 -1,8352 -1,9701 -2,0251 -1,9802 -1,8393 -1,6308 -1,3971 -1,1765 -0,9919 -0,8541 -0,7685 -0,7387 -0,7715 -0,8860 -1,1115 -1,4706 -1,9673 -2,5843 -3,2857 -4,0262 -4,7663 -5,4773 -6,1405 -6,7472 -7,2954 -7,7835 -8,2087 -8,5702 -8,8720 -9,1202 -9,3199 -9,4741 -9,5860 -9,6633 -9,7191 -9,7648 -9,7990 -9,8038 -9,7485 -9,5997 -9,3335 -8,9395 -8,4157 -7,7627 -6,9838 -6,0844 -5,0711 -3,9482 -2,7169 -1,3827 0,0294 1,4714 2,8858 4,2233 5,4511 6,5480 7,4969 8,2803 8,8846 9,3072 9,5605 9,6721 9,6820 9,6282 9,5274 9,3726 9,1498 8,8509 8,4735 8,0187 7,4964 6,9258 6,3311 5,7388 5,1742 4,6560 4,1921 3,7812 3,4178 3,0951 2,8076 2,5527 2,3264 2,1175 1,9100 1,6872 1,4358 1,1547 0,8622 0,5901 0,3676 0,2063 0,0962 0,0117 -0,0764 -0,1862 -0,3247 -0,4988 -0,7208 -0,9988 -1,3293 -1,7015 -2,1074 -2,5419 -2,9967 -3,4572 -3,9125 -4,3643 -4,8192 -5,2760 -5,7254 -6,1572 -6,5672 -6,9632 -7,3593 -7,7573 -8,1427 -8,4985 -8,8135 -9,0794 -9,2938 -9,4694 -9,6340 -9,8148 -10,0255 -10,2650 -10,5260 -10,8000 -11,0753 -11,3320 -11,5417 -11,6734 -11,7041 -11,6316 -11,4828 -11,3035 -11,1393 -11,0202 -10,9561 -10,9363 -10,9356 -10,9225 -10,8677 -10,7521 -10,5739 -10,3480 -10,0974 -9,8408 -9,5856 -9,3297 -9,0661 -8,7868 -8,4874 -8,1744 -7,8662 -7,5856 -7,3497 -7,1637 -7,0163 -6,8849 -6,7452 -6,5726 -6,3407 -6,0299 -5,6343 -5,1592 -4,6235 -4,0645 -3,5272 -3,0442 -2,6262 -2,2691 -1,9644 -1,7096 -1,5077 -1,3583 -1,2522 -1,1784 -1,1307 -1,1053 -1,0950 -1,0903 -1,0853 -1,0849 -1,1080 -1,1784 -1,3067 -1,4811 -1,6788 -1,8777 -2,0568 -2,1944 -2,2728 -2,2839 -2,2289 -2,1178 -1,9640 -1,7782 -1,5631 -1,3165 -1,0400 -0,7469 -0,4587 -0,1971 0,0217 0,1868 0,2954 0,3566 0,3884 0,4144 0,4589 0,5368 0,6412 0,7431 0,8063 0,8061 0,7332 0,5869 0,3742 0,1173 -0,1445 -0,3665 -0,5135 -0,5674 -0,5220 -0,3817 -0,1672 0,0908 0,3746 0,6895 1,0461 1,4352 1,8236 2,1711 2,4429 2,6126 2,6674 2,6106 2,4570 2,2296 1,9575 1,6711 1,3984 1,1602 0,9623 0,7938 0,6377 0,4831 0,3303 0,1912 0,0826 0,0162 -0,0075 0,0017 0,0259 0,0444 0,0414 0,0107 -0,0463 -0,1219 -0,2051 -0,2844 -0,3494 -0,3940 -0,4209 -0,4424 -0,4727 -0,5162 -0,5680 -0,6237 -0,6835 -0,7505 -0,8283 -0,9199 -1,0270 -1,1484 -1,2781 -1,4067 -1,5243 -1,6221 -1,6935 -1,7337 -1,7431 -1,7331 -1,7317 -1,7749 -1,8895 -2,0850 -2,3538 -2,6776 -3,0381 -3,4203 -3,8097 -4,1939 -4,5629 -4,9038 -5,1987 -5,4265 -5,5677 -5,6127 -5,5674 -5,4457 -5,2609 -5,0256 -4,7549 -4,4638 -4,1642 -3,8668 -3,5807 -3,3120 -3,0612 -2,8222 -2,5883 -2,3632 -2,1622 -2,0010 -1,8892 -1,8321 -1,8323 -1,8834 -1,9685 -2,0678 -2,1667 -2,2564 -2,3325 -2,3938 -2,4403 -2,4661 -2,4553 -2,3899 -2,2625 -2,0800 -1,8594 -1,6264 -1,4126 -1,2478 -1,1479 -1,1073 -1,1007 -1,0911 -1,0431 -0,9378 -0,7755 -0,5659 -0,3215 -0,0604 0,1929 0,4140 0,5876 0,7140 0,8070 0,8829 0,9507 1,0085 1,0450 1,0431 0,9836 0,8514 0,6447 0,3805 0,0858 -0,2157 -0,5084 -0,7800 -1,0207 -1,2256 -1,3970 -1,5378 -1,6452 -1,7109 -1,7239 -1,6747 -1,5610 -1,3917 -1,1832 -0,9524 -0,7153 -0,4873 -0,2791 -0,0869 0,1047 0,3083 0,5263 0,7545 0,9890 1,2254 1,4563 1,6721 1,8680 2,0453 2,2056 2,3473 2,4691 2,5701 2,6414 2,6616 2,5995 2,4258 2,1287 1,7169 1,2076 0,6142 -0,0544 -0,7892 -1,5712 -2,3632 -3,1142 -3,7725 -4,2948 -4,6462 -4,8077 -4,7911 -4,6381 -4,3992 -4,1109 -3,7884 -3,4322 -3,0368 -2,5907 -2,0781 -1,4868 -0,8116 -0,0526 0,7844 1,6857 2,6334 3,6097 4,6024 5,6086 6,6365 7,6971 8,7860 9,8677 10,8849 11,7818 12,5188 13,0700 13,4176 13,5564 13,4995 13,2751 12,9193 12,4732 11,9792 11,4732 10,9784 10,5032 10,0390 9,5638 9,0561 8,5078 7,9251 7,3225 6,7158 6,1179 5,5353 4,9664 4,4127 3,8886 3,4169 3,0171 2,7016 2,4694 2,2981 2,1474 1,9774 1,7619 1,4944 1,1926 0,8984 0,6603 0,5113 0,4580 0,4843 0,5592 0,6444 0,7034 0,7112 0,6638 0,5797 0,4877 0,4111 0,3617 0,3448 0,3577 0,3829 0,3869 0,3299 0,1823 -0,0605 -0,3801 -0,7541 -1,1774 -1,6674 -2,2497 -2,9316 -3,6839 -4,4452 -5,1425 -5,7116 -6,1086 -6,3148 -6,3335 -6,1853 -5,9082 -5,5539 -5,1755 -4,8109 -4,4731 -4,1527 -3,8316 -3,4915 -3,1146 -2,6906 -2,2261 -1,7452 -1,2818
F7    1,4092 1,4368 1,4632 1,4789 1,4696 1,4293 1,3618 1,2769 1,1892 1,1115 1,0480 0,9944 0,9425 0,8811 0,7976 0,6855 0,5497 0,4041 0,2616 0,1308 0,0212 -0,0543 -0,0840 -0,0616 0,0139 0,1376 0,2996 0,4860 0,6744 0,8335 0,9336 0,9584 0,9060 0,7844 0,6031 0,3664 0,0747 -0,2659 -0,6398 -1,0247 -1,3969 -1,7333 -2,0182 -2,2505 -2,4468 -2,6341 -2,8370 -3,0665 -3,3189 -3,5821 -3,8448 -4,1018 -4,3524 -4,5952 -4,8217 -5,0083 -5,1166 -5,1118 -4,9848 -4,7552 -4,4541 -4,1074 -3,7379 -3,3750 -3,0552 -2,8088 -2,6524 -2,5900 -2,6172 -2,7206 -2,8738 -3,0371 -3,1658 -3,2251 -3,1973 -3,0822 -2,8996 -2,6894 -2,4987 -2,3595 -2,2752 -2,2277 -2,1917 -2,1452 -2,0759 -1,9803 -1,8594 -1,7178 -1,5688 -1,4371 -1,3490 -1,3193 -1,3468 -1,4205 -1,5267 -1,6548 -1,8055 -1,9903 -2,2238 -2,5198 -2,8898 -3,3340 -3,8397 -4,3881 -4,9627 -5,5520 -6,1463 -6,7299 -7,2767 -7,7579 -8,1573 -8,4767 -8,7309 -8,9375 -9,1088 -9,2470 -9,3461 -9,3970 -9,3938 -9,3342 -9,2137 -9,0193 -8,7334 -8,3437 -7,8497 -7,2612 -6,5930 -5,8590 -5,0662 -4,2118 -3,2843 -2,2711 -1,1746 -0,0224 1,1386 2,2610 3,3124 4,2787 5,1556 5,9368 6,6067 7,1457 7,5412 7,7940 7,9173 7,9318 7,8592 7,7148 7,5045 7,2345 6,9177 6,5683 6,1947 5,8011 5,3891 4,9556 4,4948 4,0041 3,4877 2,9580 2,4350 1,9394 1,4845 1,0734 0,7012 0,3563 0,0224 -0,3144 -0,6601 -1,0145 -1,3713 -1,7150 -2,0241 -2,2829 -2,4909 -2,6641 -2,8275 -3,0033 -3,2040 -3,4343 -3,6973 -3,9938 -4,3158 -4,6454 -4,9648 -5,2682 -5,5588 -5,8381 -6,1041 -6,3602 -6,6207 -6,9009 -7,2070 -7,5379 -7,8899 -8,2594 -8,6460 -9,0498 -9,4639 -9,8724 -10,2584 -10,6105 -10,9226 -11,1913 -11,4144 -11,5930 -11,7332 -11,8438 -11,9280 -11,9835 -12,0092 -12,0062 -11,9696 -11,8856 -11,7435 -11,5490 -11,3259 -11,1060 -10,9149 -10,7607 -10,6314 -10,5034 -10,3565 -10,1864 -10,0010 -9,8028 -9,5780 -9,3034 -8,9629 -8,5570 -8,1005 -7,6147 -7,1195 -6,6279 -6,1429 -5,6615 -5,1889 -4,7450 -4,3556 -4,0384 -3,7938 -3,6007 -3,4240 -3,2319 -3,0081 -2,7523 -2,4735 -2,1821 -1,8849 -1,5903 -1,3144 -1,0763 -0,8862 -0,7373 -0,6081 -0,4727 -0,3142 -0,1300 0,0724 0,2811 0,4790 0,6455 0,7643 0,8311 0,8541 0,8472 0,8221 0,7811 0,7176 0,6241 0,4980 0,3447 0,1785 0,0209 -0,1045 -0,1789 -0,1925 -0,1470 -0,0506 0,0911 0,2803 0,5220 0,8127 1,1297 1,4330 1,6811 1,8475 1,9257 1,9258 1,8678 1,7767 1,6760 1,5817 1,5025 1,4427 1,4049 1,3872 1,3779 1,3558 1,2945 1,1715 0,9814 0,7420 0,4849 0,2395 0,0256 -0,1442 -0,2600 -0,3153 -0,3123 -0,2643 -0,1845 -0,0748 0,0688 0,2376 0,4079 0,5570 0,6742 0,7595 0,8169 0,8510 0,8633 0,8552 0,8310 0,7953 0,7490 0,6885 0,6030 0,4749 0,2914 0,0585 -0,1946 -0,4249 -0,5905 -0,6647 -0,6419 -0,5346 -0,3707 -0,1910 -0,0399 0,0461 0,0479 -0,0334 -0,1809 -0,3688 -0,5706 -0,7683 -0,9551 -1,1325 -1,3056 -1,4773 -1,6486 -1,8216 -1,9992 -2,1823 -2,3688 -2,5528 -2,7244 -2,8724 -2,9893 -3,0750 -3,1358 -3,1809 -3,2172 -3,2458 -3,2602 -3,2507 -3,2160 -3,1704 -3,1366 -3,1367 -3,1876 -3,2984 -3,4706 -3,6995 -3,9749 -4,2848 -4,6151 -4,9428 -5,2317 -5,4387 -5,5292 -5,4916 -5,3401 -5,1040 -4,8152 -4,5006 -4,1808 -3,8715 -3,5844 -3,3236 -3,0836 -2,8529 -2,6211 -2,3834 -2,1437 -1,9141 -1,7116 -1,5524 -1,4498 -1,4134 -1,4474 -1,5439 -1,6792 -1,8248 -1,9625 -2,0898 -2,2098 -2,3212 -2,4158 -2,4764 -2,4793 -2,4039 -2,2461 -2,0214 -1,7579 -1,4879 -1,2448 -1,0597 -0,9506 -0,9131 -0,9215 -0,9410 -0,9425 -0,9112 -0,8447 -0,7421 -0,6005 -0,4231 -0,2268 -0,0352 0,1400 0,3078 0,4874 0,6883 0,8991 1,0924 1,2376 1,3137 1,3159 1,2535 1,1422 0,9994 0,8405 0,6772 0,5172 0,3651 0,2218 0,0836 -0,0566 -0,2034 -0,3528 -0,4919 -0,6016 -0,6625 -0,6633 -0,6023 -0,4835 -0,3142 -0,1056 0,1272 0,3700 0,6143 0,8588 1,1069 1,3622 1,6243 1,8910 2,1597 2,4268 2,6883 2,9422 3,1891 3,4296 3,6628 3,8860 4,0902 4,2554 4,3546 4,3648 4,2767 4,0963 3,8391 3,5210 3,1477 2,7116 2,1994 1,6066 0,9494 0,2639 -0,4069 -1,0235 -1,5486 -1,9504 -2,2163 -2,3589 -2,4020 -2,3596 -2,2289 -1,9973 -1,6550 -1,2010 -0,6452 -0,0083 0,6828 1,4015 2,1265 2,8472 3,5674 4,3023 5,0712 5,8910 6,7741 7,7249 8,7286 9,7447 10,7148 11,5847 12,3179 12,8957 13,3106 13,5615 13,6545 13,6007 13,4153 13,1165 12,7245 12,2590 11,7394 11,1876 10,6261 10,0718 9,5341 9,0173 8,5212 8,0400 7,5643 7,0864 6,6025 6,1138 5,6317 5,1786 4,7802 4,4567 4,2209 4,0744 3,9990 3,9567 3,9035 3,8061 3,6484 3,4323 3,1782 2,9187 2,6839 2,4888 2,3315 2,2004 2,0820 1,9669 1,8520 1,7426 1,6509 1,5876 1,5508 1,5255 1,4941 1,4446 1,3695 1,2600 1,1048 0,8958 0,6356 0,3367 0,0115 -0,3403 -0,7347 -1,1923 -1,7198 -2,2973 -2,8816 -3,4230 -3,8815 -4,2350 -4,4773 -4,6094 -4,6312 -4,5439 -4,3575 -4,0922 -3,7716 -3,4144 -3,0338 -2,6426 -2,2531 -1,8709 -1,4955 -1,1293 -0,7822 -0,4695
