Fp1   7,0080 7,2379 7,4754 7,4472 7,0446 6,3448 5,5146 4,6691 3,8004 2,8443 1,8102 0,8220 0,0185 -0,5601 -0,9541 -1,1946 -1,2844 -1,2290 -1,0505 -0,8022 -0,5811 -0,5079 -0,6685 -1,0612 -1,5986 -2,1374 -2,5018 -2,5433 -2,2548 -1,8338 -1,5920 -1,7636 -2,3680 -3,2234 -4,0598 -4,6262 -4,7478 -4,3472 -3,4516 -2,2049 -0,8527 0,3257 1,0899 1,2738 0,8298 -0,1100 -1,2415 -2,2271 -2,8611 -3,1159 -3,0828 -2,8988 -2,6934 -2,5729 -2,6416 -2,9899 -3,6242 -4,4373 -5,2754 -6,0141 -6,5882 -7,0059 -7,3391 -7,6638 -8,0167 -8,4063 -8,8014 -9,0702 -8,9787 -8,3172 -7,0471 -5,3218 -3,4037 -1,5804 -0,0893 0,9536 1,5725 1,8786 1,9952 2,0068 1,9390 1,7934 1,6058 1,4256 1,2492 1,0179 0,6614 0,1131 -0,6790 -1,6998 -2,8268 -3,8719 -4,6697 -5,1541 -5,3938 -5,5473 -5,7628 -6,1105 -6,5835 -7,1254 -7,6330 -7,9540 -7,9405 -7,5445 -6,8688 -6,1137 -5,4899 -5,1884 -5,3633 -6,0742 -7,2415 -8,6652 -10,1076 -11,3868 -12,4176 -13,2197 -13,9217 -14,6937 -15,6112 -16,5865 -17,4314 -17,9781 -18,1531 -17,9573 -17,4163 -16,5923 -15,6179 -14,6591 -13,8279 -13,1388 -12,5354 -11,9326 -11,2492 -10,4548 -9,5852 -8,6505 -7,5245 -5,9894 -3,9293 -1,4712 1,0546 3,2774 4,9597 6,0724 6,7252 7,0461 7,1409 7,1359 7,2217 7,6260 8,4955 9,7796 11,2506 12,6705 13,9514 15,1457 16,3091 17,4049 18,3052 18,8659 19,0325 18,8978 18,6637 18,5265 18,5532 18,6510 18,6640 18,5061 18,2063 17,8422 17,4562 17,0556 16,6600 16,2978 15,9541 15,5501 14,9946 14,2466 13,3006 12,1344 10,7519 9,2962 8,0484 7,2786 7,1054 7,4341 7,9704 8,3440 8,2998 7,8156 7,0790 6,3974 6,1019 6,4189 7,3472 8,6660 10,0850 11,3795 12,4022 13,0423 13,2093 12,8379 11,9145 10,5287 8,8786 7,1994 5,7004 4,5689 3,9885 4,1063 4,9556 6,4001 8,1552 9,8852 11,3043 12,2174 12,5074 12,1311 11,1559 9,7747 8,2427 6,7976 5,6222 4,7966 4,2564 3,8618 3,5402 3,3444 3,3897 3,7535 4,4160 5,2785 6,2232 7,1422 7,9364 8,5287 8,8980 9,0960 9,2251 9,4007 9,7150 10,1796 10,6826 11,0243 11,0201 10,6060 9,8540 8,8673 7,7009 6,3938 5,0187 3,6711 2,4340 1,3473 0,3924 -0,4851 -1,2994 -1,9372 -2,1344 -1,5834 -0,1689 1,8668 4,0514 5,9721 7,4265 8,3816 8,8661 8,8932 8,4605 7,5975 6,4029 5,0562 3,7807 2,7496 2,0148 1,5359 1,2793 1,2604 1,4828 1,8855 2,3788 2,9036 3,4399 3,9858 4,5495 5,1473 5,7711 6,3269 6,6226 6,4586 5,7702 4,6843 3,4262 2,1916 1,0965 0,1735 -0,6124 -1,3178 -1,9737 -2,5683 -3,0683 -3,4498 -3,6960 -3,7777 -3,6678 -3,3705 -2,9266 -2,3930 -1,7919 -1,0860 -0,2718 0,5105 1,0484 1,2430 1,1666 0,9387 0,5907 0,0748 -0,6314 -1,4615 -2,2583 -2,8085 -2,9226 -2,5089 -1,5948 -0,3148 1,1194 2,4865 3,6352 4,5313 5,2563 5,9436 6,6874 7,5062 8,3714 9,2441 10,1034 10,9817 11,9782 13,1960 14,6465 16,2207 17,7458 19,0549 20,0375 20,6886 21,1084 21,4173 21,6838 21,9326 22,1752 22,4116 22,6110 22,7150 22,6712 22,4434 22,0013 21,3614 20,6606 20,1147 19,8522 19,8212 19,8694 19,8704 19,7613 19,5180 19,1613 18,8011 18,6240 18,7997 19,3766 20,2388 21,1339 21,7532 21,8316 21,2223 19,9247 18,0887 15,9813 13,9038 12,1143 10,7884 10,0058 9,7502 9,9311 10,4182 11,0625 11,6963 12,1464 12,3027 12,1950 11,9738 11,7894 11,6893 11,6325 11,5859 11,5885 11,7216 12,0309 12,4804 12,9703 13,4018 13,7364 13,9859 14,1666 14,3119 14,5280 14,9790 15,7658 16,8055 17,8409 18,5804 18,8584 18,7020 18,2698 17,7242 17,1560 16,6043 16,1056 15,7139 15,4830 15,4415 15,6050 15,9959 16,6094 17,3629 18,0986 18,6280 18,7855 18,4685 17,6472 16,3572 14,6979 12,8623 11,1641 9,9621 9,5047 9,8439 10,8548 12,3005 13,9178 15,4684 16,7230 17,4650 17,5575 16,9963 15,9129 14,5689 13,3251 12,5389 12,4380 13,0704 14,3403 16,0470 17,8870 19,4968 20,5890 21,0711 21,0565 20,7929 20,5497 20,5119 20,7313 21,1417 21,6028 21,9444 22,0309 21,8534 21,5678 21,4046 21,5143 21,8891 22,3811 22,7549 22,7795 22,3427 21,4793 20,2962 18,9091 17,4402 16,0119 14,6968 13,4827 12,3094 11,1347 9,9653 8,8638 7,9504 7,3720 7,2482 7,6221 8,4118 9,4113 10,3876 11,1802 11,7067 11,9240 11,8372 11,5314 11,1369 10,7356 10,3048 9,7584 9,0396 8,1799 7,2992 6,5558 6,0700 5,8776 5,9502 6,2369 6,6792 7,2156 7,8040 8,4468 9,1601 9,8876 10,4758 10,7999 10,9228 11,0885 11,5432 12,3953 13,6338 15,1817 16,8810 18,4845 19,7184 20,3936 20,5023 20,2380 19,9279 19,9136 20,4399 21,6085 23,3623 25,4418 27,4104 28,8410 29,5140 29,4449 28,7765 27,6600 26,1966 24,4499 22,4881 20,4282 18,4652 16,8486 15,7635 15,1752 14,8116 14,3510 13,6246 12,6311 11,4324 10,1105 8,7973 7,6866 6,9620 6,6554 6,5585 6,3081 5,6065 4,3946 2,8296 1,1284 -0,5430 -2,0762 -3,3978 -4,4509 -5,1695 -5,4953 -5,4508 -5,1702 -4,8227 -4,5032 -4,2008 -3,8451 -3,3444 -2,6040 -1,5748 -0,3068 1,0676 2,4126 3,6407 4,6878 5,4839 5,9774 6,1606 6,0654 5,7646 5,3819 5,0687 4,9369 4,9871 5,0976 5,1029 4,9061 4,5450
Fz    2,4358 2,4547 2,5108 2,5110 2,4263 2,2885 2,1473 2,0182 1,8663 1,6515 1,3868 1,1396 0,9732 0,8938 0,8577 0,8143 0,7302 0,5963 0,4319 0,2736 0,1482 0,0529 -0,0416 -0,1650 -0,3289 -0,5223 -0,7046 -0,8139 -0,8094 -0,7172 -0,6269 -0,6361 -0,7942 -1,0865 -1,4537 -1,8160 -2,0880 -2,1924 -2,0814 -1,7606 -1,3004 -0,8221 -0,4607 -0,3215 -0,4488 -0,8114 -1,3082 -1,8083 -2,2108 -2,4781 -2,6248 -2,6873 -2,6987 -2,6881 -2,7024 -2,8026 -3,0205 -3,3315 -3,6740 -3,9839 -4,2188 -4,3711 -4,4636 -4,5297 -4,6004 -4,7026 -4,8422 -4,9705 -4,9801 -4,7666 -4,3105 -3,6977 -3,0695 -2,5596 -2,2576 -2,1949 -2,3460 -2,6470 -3,0187 -3,3883 -3,7122 -3,9821 -4,2024 -4,3776 -4,5190 -4,6426 -4,7574 -4,8716 -5,0046 -5,1734 -5,3663 -5,5429 -5,6565 -5,6802 -5,6343 -5,5854 -5,6012 -5,7037 -5,8632 -6,0279 -6,1498 -6,1885 -6,1201 -5,9610 -5,7693 -5,6067 -5,5079 -5,4956 -5,5952 -5,8127 -6,1088 -6,4033 -6,6081 -6,6663 -6,5751 -6,3888 -6,2092 -6,1467 -6,2608 -6,5307 -6,8705 -7,1732 -7,3607 -7,4035 -7,2990 -7,0576 -6,7071 -6,2800 -5,7876 -5,2160 -4,5490 -3,7884 -2,9577 -2,1034 -1,2878 -0,5484 0,1480 0,8897 1,7449 2,7015 3,6656 4,5038 5,1081 5,4500 5,5748 5,5473 5,4247 5,2771 5,2119 5,3568 5,7945 6,5015 7,3560 8,2223 9,0297 9,7677 10,4344 11,0151 11,4912 11,8524 12,1095 12,3018 12,4892 12,7276 13,0339 13,3708 13,6743 13,8987 14,0313 14,0681 13,9961 13,8151 13,5628 13,2967 13,0529 12,8281 12,5934 12,3180 11,9739 11,5295 10,9745 10,3683 9,8375 9,5067 9,4318 9,5718 9,7934 9,9241 9,8362 9,5011 8,9881 8,4326 7,9918 7,7867 7,8567 8,1625 8,6272 9,1692 9,7092 10,1707 10,4783 10,5550 10,3457 9,8596 9,1797 8,4230 7,6975 7,0876 6,6606 6,4689 6,5401 6,8625 7,3806 8,0023 8,6189 9,1221 9,4093 9,3951 9,0462 8,4086 7,5931 6,7423 6,0006 5,4651 5,1442 4,9830 4,9378 5,0137 5,2399 5,6227 6,1208 6,6663 7,1971 7,6604 8,0023 8,1827 8,1994 8,0882 7,9020 7,6916 7,4983 7,3403 7,1976 7,0171 6,7397 6,3378 5,8378 5,2929 4,7392 4,1885 3,6471 3,1251 2,6339 2,1840 1,7831 1,4301 1,1268 0,9045 0,8407 1,0282 1,4992 2,1715 2,8944 3,5379 4,0305 4,3370 4,4252 4,2575 3,8155 3,1243 2,2558 1,3204 0,4381 -0,3089 -0,9034 -1,3725 -1,7389 -1,9939 -2,1190 -2,1140 -1,9922 -1,7656 -1,4439 -1,0372 -0,5587 -0,0313 0,5081 1,0001 1,3592 1,4949 1,3598 0,9795 0,4350 -0,1742 -0,7568 -1,2491 -1,6222 -1,8740 -2,0158 -2,0583 -2,0084 -1,8789 -1,6851 -1,4257 -1,0809 -0,6419 -0,1350 0,3884 0,8913 1,3699 1,8137 2,1611 2,3323 2,3071 2,1482 1,9456 1,7432 1,5272 1,2732 0,9822 0,6851 0,4404 0,3205 0,3858 0,6584 1,1047 1,6454 2,1972 2,7102 3,1750 3,6159 4,0744 4,5777 5,1132 5,6288 6,0578 6,3602 6,5601 6,7406 6,9866 7,3232 7,7059 8,0646 8,3503 8,5493 8,6779 8,7608 8,8079 8,8212 8,8204 8,8413 8,9060 9,0012 9,0851 9,1159 9,0723 8,9543 8,7856 8,6166 8,4995 8,4435 8,4095 8,3523 8,2610 8,1576 8,0644 7,9899 7,9458 7,9589 8,0526 8,2154 8,3917 8,5020 8,4711 8,2455 7,8070 7,1890 6,4843 5,8106 5,2525 4,8398 4,5711 4,4477 4,4853 4,6949 5,0559 5,5107 5,9748 6,3567 6,5967 6,7004 6,7259 6,7365 6,7643 6,8083 6,8592 6,9266 7,0399 7,2192 7,4462 7,6525 7,7406 7,6349 7,3255 6,8708 6,3753 5,9614 5,7342 5,7360 5,9176 6,1581 6,3223 6,3210 6,1428 5,8391 5,4777 5,1145 4,7951 4,5538 4,4027 4,3271 4,2932 4,2751 4,2766 4,3153 4,3899 4,4673 4,4880 4,3839 4,1004 3,6101 2,9119 2,0341 1,0615 0,1554 -0,4902 -0,7378 -0,5558 -0,0103 0,7767 1,6785 2,5909 3,4184 4,0615 4,4366 4,5072 4,3024 3,9174 3,4897 3,1514 2,9906 3,0523 3,3557 3,8843 4,5582 5,2442 5,8161 6,2124 6,4517 6,6170 6,8142 7,1185 7,5387 8,0154 8,4435 8,7139 8,7745 8,6759 8,5499 8,5225 8,6386 8,8594 9,0993 9,2508 9,2165 8,9575 8,5026 7,9122 7,2528 6,6008 6,0347 5,6022 5,2999 5,0906 4,9335 4,8045 4,7074 4,6739 4,7445 4,9425 5,2566 5,6346 5,9992 6,2864 6,4687 6,5450 6,5191 6,3989 6,2075 5,9795 5,7391 5,4857 5,2006 4,8709 4,5103 4,1594 3,8656 3,6597 3,5533 3,5513 3,6503 3,8206 4,0096 4,1705 4,2851 4,3612 4,4046 4,3977 4,3258 4,2318 4,2183 4,3832 4,7696 5,3767 6,1742 7,0852 7,9812 8,7179 9,1892 9,3771 9,3710 9,3331 9,4203 9,7210 10,2499 10,9695 11,7802 12,5176 13,0140 13,1795 13,0211 12,6036 11,9991 11,2606 10,4236 9,5199 8,5994 7,7585 7,1424 6,8805 6,9859 7,3289 7,7287 8,0630 8,2884 8,4022 8,4167 8,3577 8,2687 8,2030 8,1803 8,1399 7,9632 7,5552 6,9108 6,1095 5,2584 4,4426 3,7112 3,0852 2,5765 2,2036 1,9852 1,9103 1,9272 1,9747 2,0255 2,0950 2,2176 2,4293 2,7559 3,1985 3,7290 4,3057 4,8892 5,4401 5,8985 6,1845 6,2332 6,0292 5,6102 5,0502 4,4456 3,8971 3,4810 3,2202 3,0773 2,9764 2,8455 2,6569
F3    1,8162 1,6756 1,6257 1,5933 1,5508 1,5182 1,5292 1,5850 1,6356 1,6185 1,5204 1,3961 1,3201 1,3224 1,3762 1,4302 1,4340 1,3580 1,2100 1,0241 0,8287 0,6263 0,3987 0,1273 -0,1905 -0,5314 -0,8396 -1,0432 -1,1056 -1,0693 -1,0369 -1,1017 -1,2917 -1,5648 -1,8415 -2,0404 -2,0961 -1,9662 -1,6423 -1,1697 -0,6495 -0,2090 0,0376 0,0118 -0,3100 -0,8703 -1,5320 -2,1333 -2,5600 -2,7750 -2,8025 -2,6966 -2,5141 -2,3116 -2,1625 -2,1439 -2,2857 -2,5441 -2,8323 -3,0690 -3,2123 -3,2735 -3,3063 -3,3736 -3,5224 -3,7762 -4,1165 -4,4574 -4,6616 -4,6172 -4,3141 -3,8441 -3,3368 -2,9033 -2,6151 -2,4925 -2,5025 -2,5822 -2,6740 -2,7448 -2,7917 -2,8287 -2,8621 -2,8952 -2,9478 -3,0498 -3,2204 -3,4718 -3,8197 -4,2591 -4,7320 -5,1441 -5,4160 -5,5251 -5,5225 -5,5144 -5,5981 -5,7993 -6,0668 -6,3227 -6,5046 -6,5693 -6,4906 -6,2804 -5,9994 -5,7291 -5,5387 -5,4869 -5,6226 -5,9551 -6,4280 -6,9355 -7,3654 -7,6438 -7,7577 -7,7562 -7,7336 -7,7853 -7,9549 -8,2150 -8,4851 -8,6744 -8,7285 -8,6388 -8,4160 -8,0803 -7,6747 -7,2571 -6,8674 -6,5113 -6,1728 -5,8324 -5,4730 -5,0913 -4,7048 -4,3210 -3,8960 -3,3492 -2,6341 -1,7848 -0,9015 -0,1065 0,5057 0,9081 1,1356 1,2444 1,2891 1,3362 1,4788 1,8170 2,4018 3,1899 4,0621 4,9068 5,6907 6,4412 7,1772 7,8743 8,4776 8,9367 9,2401 9,4278 9,5777 9,7680 10,0292 10,3265 10,5950 10,7899 10,9032 10,9447 10,9247 10,8615 10,7887 10,7373 10,7101 10,6742 10,5815 10,3983 10,1098 9,7048 9,1876 8,6188 8,1132 7,7813 7,6757 7,7682 7,9499 8,0735 8,0302 7,8014 7,4535 7,1035 6,8782 6,8629 7,0600 7,4003 7,7983 8,1905 8,5300 8,7689 8,8490 8,7018 8,2714 7,5588 6,6415 5,6449 4,6981 3,9154 3,3972 3,2218 3,4202 3,9561 4,7285 5,5958 6,4130 7,0609 7,4538 7,5373 7,2992 6,7854 6,0893 5,3283 4,6214 4,0502 3,6215 3,2863 3,0041 2,7807 2,6527 2,6473 2,7576 2,9574 3,2273 3,5509 3,8933 4,2040 4,4443 4,6081 4,7182 4,8144 4,9363 5,0935 5,2415 5,2939 5,1645 4,8187 4,2958 3,6707 3,0031 2,3293 1,6803 1,0871 0,5759 0,1613 -0,1601 -0,4072 -0,5927 -0,6923 -0,6348 -0,3302 0,2585 1,0580 1,9189 2,7025 3,3218 3,7254 3,8723 3,7291 3,2920 2,6144 1,8072 1,0130 0,3652 -0,0563 -0,2484 -0,2679 -0,1818 -0,0298 0,1682 0,3927 0,6322 0,8914 1,1837 1,5195 1,8993 2,3047 2,6919 2,9887 3,1070 2,9760 2,5848 1,9985 1,3271 0,6800 0,1400 -0,2520 -0,4971 -0,6198 -0,6452 -0,5865 -0,4502 -0,2505 -0,0054 0,2806 0,6167 1,0033 1,4152 1,8069 2,1440 2,4267 2,6574 2,7932 2,7722 2,5880 2,3069 2,0063 1,7116 1,4030 1,0651 0,7151 0,4030 0,1989 0,1660 0,3345 0,6890 1,1698 1,6910 2,1769 2,5933 2,9545 3,3141 3,7396 4,2706 4,8875 5,5154 6,0605 6,4655 6,7477 6,9895 7,2795 7,6517 8,0746 8,4943 8,8759 9,2127 9,5178 9,8079 10,0822 10,3271 10,5422 10,7457 10,9518 11,1463 11,2881 11,3364 11,2716 11,0942 10,8305 10,5465 10,3283 10,2228 10,2070 10,2198 10,2110 10,1555 10,0430 9,8823 9,7172 9,6180 9,6425 9,7931 10,0051 10,1730 10,1932 9,9940 9,5512 8,8985 8,1314 7,3760 6,7346 6,2572 5,9543 5,8202 5,8489 6,0295 6,3312 6,6942 7,0319 7,2521 7,2972 7,1800 6,9780 6,7797 6,6316 6,5303 6,4577 6,4159 6,4271 6,5091 6,6503 6,8003 6,8880 6,8615 6,7146 6,4829 6,2329 6,0551 6,0394 6,2244 6,5637 6,9413 7,2252 7,3248 7,2251 6,9736 6,6286 6,2281 5,8043 5,4026 5,0735 4,8526 4,7516 4,7697 4,9081 5,1589 5,4835 5,8104 6,0513 6,1265 5,9860 5,6151 5,0258 4,2492 3,3543 2,4754 1,7862 1,4244 1,4409 1,8012 2,4163 3,1837 4,0096 4,7974 5,4420 5,8580 6,0134 5,9433 5,7454 5,5532 5,4856 5,6066 5,9299 6,4509 7,1484 7,9470 8,7057 9,2774 9,5857 9,6540 9,5843 9,5083 9,5294 9,6845 9,9345 10,1827 10,3193 10,2811 10,0976 9,8799 9,7509 9,7713 9,9189 10,1122 10,2382 10,1911 9,9203 9,4437 8,8165 8,1032 7,3737 6,6995 6,1287 5,6665 5,2812 4,9292 4,5799 4,2377 3,9506 3,7889 3,8049 4,0029 4,3315 4,7074 5,0583 5,3432 5,5364 5,6112 5,5528 5,3810 5,1465 4,9017 4,6749 4,4699 4,2837 4,1225 4,0010 3,9293 3,9057 3,9264 3,9993 4,1371 4,3358 4,5684 4,7998 5,0079 5,1857 5,3183 5,3669 5,3077 5,1962 5,1634 5,3313 5,7505 6,4138 7,2761 8,2442 9,1816 9,9504 10,4606 10,7063 10,7711 10,7941 10,9101 11,2014 11,6886 12,3405 13,0639 13,7013 14,0892 14,1396 13,8609 13,3204 12,6010 11,7796 10,9211 10,0761 9,2909 8,6358 8,2133 8,1019 8,2687 8,5596 8,7984 8,8878 8,8139 8,5973 8,2701 7,8827 7,5076 7,2165 7,0272 6,8650 6,5948 6,1091 5,3926 4,5188 3,5947 2,7130 1,9364 1,3000 0,8239 0,5270 0,4181 0,4665 0,5950 0,7186 0,7918 0,8190 0,8355 0,8917 1,0403 1,3158 1,7192 2,2200 2,7744 3,3367 3,8523 4,2546 4,4854 4,5127 4,3363 3,9941 3,5655 3,1491 2,8168 2,5813 2,3988 2,2027 1,9442 1,6281
F7    2,4531 2,4102 2,4031 2,3674 2,2867 2,1885 2,1039 2,0284 1,9147 1,7126 1,4267 1,1323 0,9231 0,8416 0,8673 0,9549 1,0597 1,1457 1,1939 1,2024 1,1690 1,0754 0,8943 0,6117 0,2436 -0,1606 -0,5248 -0,7729 -0,8779 -0,8910 -0,9130 -1,0293 -1,2600 -1,5601 -1,8554 -2,0772 -2,1732 -2,1090 -1,8786 -1,5224 -1,1272 -0,7976 -0,6285 -0,6922 -1,0157 -1,5480 -2,1595 -2,7010 -3,0755 -3,2596 -3,2804 -3,1808 -2,9981 -2,7720 -2,5706 -2,4780 -2,5345 -2,7021 -2,8970 -3,0461 -3,1210 -3,1442 -3,1729 -3,2660 -3,4580 -3,7524 -4,1150 -4,4602 -4,6668 -4,6409 -4,3765 -3,9510 -3,4696 -3,0219 -2,6672 -2,4255 -2,2738 -2,1681 -2,0728 -1,9747 -1,8853 -1,8285 -1,8148 -1,8427 -1,9173 -2,0505 -2,2514 -2,5349 -2,9176 -3,3803 -3,8421 -4,1909 -4,3438 -4,2846 -4,0729 -3,8196 -3,6315 -3,5621 -3,6052 -3,7219 -3,8600 -3,9574 -3,9554 -3,8292 -3,6071 -3,3566 -3,1570 -3,0891 -3,2216 -3,5708 -4,0765 -4,6248 -5,1033 -5,4463 -5,6495 -5,7603 -5,8592 -6,0245 -6,2897 -6,6268 -6,9651 -7,2271 -7,3580 -7,3336 -7,1530 -6,8397 -6,4494 -6,0577 -5,7297 -5,4974 -5,3585 -5,2872 -5,2445 -5,1947 -5,1161 -4,9806 -4,7265 -4,2794 -3,6145 -2,7925 -1,9351 -1,1707 -0,5837 -0,1885 0,0528 0,1885 0,2619 0,3290 0,4690 0,7609 1,2368 1,8526 2,5136 3,1406 3,7208 4,2903 4,8785 5,4757 6,0364 6,5044 6,8503 7,0947 7,2986 7,5252 7,7926 8,0638 8,2819 8,4175 8,4820 8,5031 8,4972 8,4725 8,4444 8,4314 8,4377 8,4449 8,4221 8,3466 8,2040 7,9733 7,6417 7,2430 6,8558 6,5555 6,3760 6,2995 6,2559 6,1506 5,9189 5,5663 5,1655 4,8271 4,6616 4,7305 5,0059 5,3875 5,7688 6,0859 6,3107 6,4220 6,3881 6,1636 5,7086 5,0265 4,1819 3,2794 2,4301 1,7392 1,3051 1,1978 1,4249 1,9178 2,5564 3,2104 3,7726 4,1696 4,3520 4,2900 3,9895 3,5053 2,9182 2,3077 1,7457 1,2845 0,9321 0,6583 0,4363 0,2693 0,1786 0,1743 0,2371 0,3335 0,4489 0,5947 0,7842 1,0099 1,2465 1,4695 1,6741 1,8781 2,1088 2,3764 2,6527 2,8726 2,9561 2,8500 2,5592 2,1317 1,6245 1,0919 0,5810 0,1214 -0,2779 -0,6240 -0,9365 -1,2333 -1,5037 -1,6902 -1,6998 -1,4434 -0,8946 -0,1308 0,7057 1,4912 2,1541 2,6494 2,9315 2,9546 2,7004 2,2077 1,5766 0,9429 0,4349 0,1297 0,0313 0,0855 0,2227 0,3946 0,5757 0,7523 0,9241 1,1039 1,3064 1,5389 1,7982 2,0693 2,3209 2,4995 2,5323 2,3550 1,9570 1,4017 0,7937 0,2251 -0,2519 -0,6252 -0,9041 -1,0951 -1,1942 -1,1989 -1,1207 -0,9827 -0,8030 -0,5854 -0,3328 -0,0623 0,1964 0,4112 0,5659 0,6751 0,7579 0,7966 0,7533 0,6287 0,4784 0,3640 0,2990 0,2492 0,1759 0,0725 -0,0243 -0,0515 0,0429 0,2722 0,6061 0,9817 1,3284 1,6025 1,8098 2,0025 2,2568 2,6351 3,1466 3,7374 4,3173 4,8033 5,1569 5,4010 5,6075 5,8598 6,2075 6,6482 7,1437 7,6405 8,0848 8,4472 8,7342 8,9640 9,1473 9,2958 9,4288 9,5599 9,6788 9,7529 9,7500 9,6534 9,4609 9,1907 8,9028 8,6865 8,5986 8,6198 8,6826 8,7270 8,7208 8,6506 8,5270 8,3989 8,3433 8,4238 8,6466 8,9480 9,2198 9,3504 9,2599 8,9188 8,3523 7,6357 6,8727 6,1610 5,5709 5,1442 4,8971 4,8200 4,8810 5,0338 5,2239 5,3925 5,4890 5,4932 5,4275 5,3451 5,2925 5,2726 5,2489 5,1903 5,1113 5,0659 5,1083 5,2565 5,4820 5,7301 5,9535 6,1275 6,2422 6,3057 6,3595 6,4702 6,6846 6,9884 7,3069 7,5455 7,6358 7,5643 7,3654 7,0820 6,7384 6,3567 5,9778 5,6529 5,4209 5,2979 5,2883 5,4018 5,6421 5,9791 6,3403 6,6306 6,7646 6,6934 6,4157 5,9712 5,4179 4,8212 4,2663 3,8545 3,6675 3,7373 4,0394 4,5068 5,0582 5,6172 6,1065 6,4474 6,5838 6,5014 6,2343 5,8655 5,5164 5,3091 5,3243 5,5904 6,1004 6,8159 7,6447 8,4413 9,0631 9,4307 9,5464 9,4863 9,3710 9,3150 9,3781 9,5418 9,7202 9,8024 9,7130 9,4650 9,1647 8,9502 8,9077 9,0314 9,2346 9,3867 9,3686 9,1299 8,6969 8,1308 7,4929 6,8437 6,2464 5,7477 5,3563 5,0444 4,7698 4,4988 4,2241 3,9765 3,8153 3,8012 3,9653 4,2834 4,6801 5,0699 5,3922 5,6112 5,7041 5,6634 5,5056 5,2668 4,9834 4,6789 4,3670 4,0656 3,8059 3,6262 3,5546 3,5950 3,7298 3,9353 4,1922 4,4846 4,7941 5,0971 5,3716 5,6002 5,7599 5,8169 5,7580 5,6365 5,5638 5,6428 5,9208 6,3982 7,0385 7,7609 8,4521 9,0047 9,3557 9,5101 9,5383 9,5492 9,6500 9,9111 10,3548 10,9586 11,6433 12,2717 12,6994 12,8432 12,6983 12,3101 11,7422 11,0603 10,3220 9,5675 8,8279 8,1560 7,6402 7,3609 7,3159 7,4013 7,4828 7,4755 7,3546 7,1242 6,8071 6,4532 6,1378 5,9287 5,8355 5,7841 5,6541 5,3520 4,8598 4,2249 3,5137 2,7842 2,0886 1,4760 0,9900 0,6716 0,5461 0,5895 0,7234 0,8609 0,9594 1,0289 1,1052 1,2309 1,4457 1,7701 2,1954 2,6901 3,2194 3,7544 4,2615 4,6877 4,9694 5,0549 4,9262 4,6185 4,2223 3,8489 3,5757 3,4103 3,2989 3,1682 2,9716 2,7227
