Fp1   -0,5650 1,2584 3,1008 4,6788 5,7031 6,0239 5,7170 5,0697 4,4678 4,2302 4,4478 4,9003 5,1598 4,8457 3,8209 2,2133 0,3153 -1,5855 -3,3540 -5,0139 -6,6172 -8,0902 -9,1536 -9,3824 -8,4420 -6,3570 -3,5600 -0,6782 1,7436 3,3886 4,1518 4,0678 3,2789 2,0111 0,4966 -1,0927 -2,5914 -3,7230 -4,1292 -3,6027 -2,2934 -0,6603 0,7720 1,6153 1,6748 0,9510 -0,3463 -1,8388 -3,1198 -3,9078 -4,1152 -3,8248 -3,2016 -2,3677 -1,3269 -0,0021 1,6539 3,5506 5,4119 6,8290 7,4104 6,9552 5,5334 3,4482 1,1493 -0,8723 -2,2382 -2,8496 -2,9197 -2,8163 -2,8526 -3,1992 -3,9127 -4,9418 -6,0645 -6,8607 -6,8119 -5,5206 -2,9446 0,5370 4,2883 7,6607 10,1548 11,5023 11,7001 10,9776 9,6948 8,2124 6,7819 5,4829 4,2106 2,7558 0,9999 -0,9165 -2,6430 -3,8608 -4,4612 -4,5168 -4,1465 -3,4180 -2,3348 -0,9094 0,7320 2,3232 3,5548 4,2104 4,2338 3,7212 2,8943 2,0564 1,5283 1,5559 2,1727 3,1029 3,8460 3,9225 3,0928 1,4149 -0,8345 -3,2815 -5,5456 -7,2845 -8,2457 -8,3350 -7,6415 -6,3961 -4,8968 -3,4069 -2,0549 -0,8077 0,4655 1,8669 3,3454 4,6558 5,4392 5,3894 4,4226 2,7500 0,8151 -0,8761 -1,9694 -2,4027 -2,3456 -1,9905 -1,4059 -0,5548 0,6140 2,0880 3,7380 5,2955 6,4005 6,7466 6,2510 5,1069 3,6681 2,2511 1,0034 -0,0777 -1,0495 -1,9552 -2,7625 -3,2960 -3,2675 -2,4292 -0,7229 1,6557 4,2831 6,6111 8,0988 8,3351 7,1542 4,7282 1,5610 -1,6771 -4,4332 -6,4948 -7,9693 -9,0326 -9,6873 -9,7554 -9,0876 -7,7569 -6,0327 -4,2056 -2,4867 -1,0447 -0,0652 0,2552 -0,2524 -1,6784 -3,9370 -6,6652 -9,2601 -11,0887 -11,7356 -11,1509 -9,6599 -7,8095 -6,0911 -4,7309 -3,6817 -2,7387 -1,6789 -0,3929 1,0436 2,3815 3,2660 3,3430 2,3926 0,4378 -2,2407 -5,1754 -7,8095 -9,6169 -10,2497 -9,6259 -7,8900 -5,3409 -2,3971 0,4471 2,6995 3,9780 4,1165 3,1921 1,4789 -0,6001 -2,5511 -3,9556 -4,5933 -4,4578 -3,6925 -2,5216 -1,2066 -0,0108 0,8421 1,2008 0,9997 0,2555 -0,9364 -2,3953 -3,8572 -5,0095 -5,5521 -5,2641 -4,0739 -2,1057 0,3366 2,8440 5,0432 6,7371 7,8800 8,4216 8,2684 7,4133 6,0484 4,5294 3,2204 2,3363 1,8880 1,7450 1,7448 1,7490 1,6244 1,2475 0,5788 -0,2968 -1,2484 -2,2030 -3,1343 -3,9427 -4,3683 -4,0594 -2,7576 -0,4602 2,5032 5,5050 7,8099 8,8612 8,4996 6,9910 4,8605 2,6661 0,8479 -0,3526 -0,9294 -1,0716 -1,0452 -1,0488 -1,1107 -1,1075 -0,9040 -0,4761 0,0857 0,6516 1,1271 1,5037 1,8747 2,4014 3,2418 4,4609 5,9397 7,3348 8,1594 7,9990 6,7397 4,6343 2,1698 -0,1526 -2,0102 -3,3141 -4,0837 -4,2718 -3,7169 -2,2599 0,0600 2,8891 5,6311 7,6656 8,5758 8,2653 6,9294 4,9332 2,6750 0,4970 -1,3467 -2,6884 -3,4374 -3,5668 -3,0828 -1,9841 -0,2949 1,7967 3,8421 5,2393 5,5028 4,5123 2,5706 0,2335 -1,9520 -3,6044 -4,5087 -4,5613 -3,7643 -2,2684 -0,3770 1,5467 3,2378 4,6523 5,9444 7,2984 8,7544 10,1382 11,1105 11,3009 10,4383 8,4413 5,5039 2,1335 -0,9594 -3,1099 -3,9587 -3,5740 -2,3613 -0,8083 0,7720 2,3092 3,8321 5,2882 6,4852 7,1659 7,1229 6,2696 4,6637 2,5157 0,1802 -1,9013 -3,3130 -3,7779 -3,2061 -1,6866 0,5314 3,0614 5,4357 7,1960 8,0229 7,8706 7,0017 5,8642 4,8894 4,3182 4,1235 4,0582 3,8134 3,2217 2,3892 1,6436 1,3503 1,7429 2,8397 4,4528 6,2604 7,8921 9,0198 9,4572 9,2357 8,6140 7,9867 7,7035 7,8842 8,3545 8,7639 8,7882 8,2640 7,2196 5,8285 4,3088 2,8385 1,5283 0,4147 -0,5266 -1,2869 -1,7245 -1,6041 -0,7704 0,7032 2,5461 4,4520 6,1634 7,4410 8,0551 7,8608 6,8920 5,3772 3,6322 1,9159 0,3852 -0,8359 -1,6051 -1,8226 -1,5188 -0,8536 -0,0498 0,6917 1,3068 1,9552 2,9620 4,6258 7,0110 9,8402 12,5648 14,5918 15,5152 15,2035 13,7521 11,3945 8,4386 5,2457 2,2246 -0,2184 -1,7718 -2,3027 -1,8749 -0,6748 1,0954 3,2553 5,6144 7,9541 10,0401 11,6119 12,3752 12,0829 10,6869 8,4368 5,8328 3,4537 1,7606 0,9684 1,0147 1,6295 2,4813 3,3300 4,0845 4,7232 5,1665 5,2411 4,7555 3,6037 1,8481 -0,2533 -2,3141 -3,9567 -4,9270 -5,1263 -4,5905 -3,4648 -1,9822 -0,4311 0,8951 1,7787 2,1792 2,2808 2,4118 2,8819 3,8336 5,1733 6,6109 7,8024 8,5249 8,7684 8,6794 8,4222 8,0657 7,5596 6,8115 5,7870 4,5371 3,1814 1,9210 1,0507 0,8853 1,5940 3,0514 4,8444 6,4632 7,5334 7,9252 7,7230 7,1203 6,2952 5,3267 4,2164 2,9766 1,6609 0,3134 -1,0665 -2,4720 -3,7810 -4,6854 -4,7620 -3,6998 -1,5492 1,1993 3,8077 5,6556 6,5287 6,6130 6,2283 5,5815 4,7356 3,7028 2,4955 1,1022 -0,5078 -2,2817 -3,9758 -5,1836 -5,5488 -5,0494 -4,0786 -3,2027 -2,8109 -2,9152 -3,2029 -3,3001 -3,0444 -2,5510 -2,0651 -1,7761 -1,7333 -1,8845 -2,1647 -2,5517 -3,0466 -3,5946 -4,0199 -4,0729 -3,5768 -2,5397 -1,1623 0,2224 1,2592 1,7153 1,5792 1,0396 0,3604 -0,2553 -0,7276 -1,0938 -1,4788 -2,0681 -3,0483 -4,4834 -6,1808 -7,6705 -8,3925 -8,0243 -6,6921 -4,8856 -3,1827 -2,0104
Fz    1,4815 1,6373 1,7555 1,8293 1,8507 1,8128 1,7103 1,5366 1,2880 0,9792 0,6512 0,3553 0,1311 -0,0050 -0,0585 -0,0440 0,0313 0,1652 0,3397 0,5104 0,6217 0,6213 0,4608 0,1102 -0,4135 -1,0302 -1,6109 -2,0227 -2,1886 -2,1204 -1,8930 -1,5817 -1,2250 -0,8376 -0,4432 -0,0895 0,1630 0,2640 0,1910 -0,0345 -0,3483 -0,6688 -0,9261 -1,0735 -1,0857 -0,9494 -0,6617 -0,2400 0,2678 0,7864 1,2332 1,5456 1,7007 1,7138 1,6209 1,4684 1,3130 1,2136 1,2109 1,3083 1,4779 1,6859 1,9111 2,1402 2,3570 2,5340 2,6307 2,6113 2,4795 2,2939 2,1466 2,1214 2,2595 2,5503 2,9415 3,3573 3,7249 4,0019 4,1789 4,2580 4,2463 4,1750 4,1038 4,0953 4,1859 4,3775 4,6472 4,9635 5,3012 5,6541 6,0369 6,4651 6,9206 7,3338 7,6097 7,6921 7,6074 7,4429 7,2879 7,1785 7,0767 6,8978 6,5670 6,0584 5,3943 4,6143 3,7519 2,8387 1,9195 1,0444 0,2411 -0,4916 -1,1471 -1,6740 -1,9870 -2,0196 -1,7614 -1,2514 -0,5570 0,2411 1,0694 1,8742 2,6042 3,1980 3,6091 3,8404 3,9464 4,0033 4,0713 4,1774 4,3190 4,4743 4,6199 4,7470 4,8633 4,9817 5,1095 5,2414 5,3616 5,4578 5,5403 5,6450 5,8100 6,0406 6,2931 6,4983 6,6055 6,6041 6,5140 6,3746 6,2383 6,1505 6,1287 6,1650 6,2431 6,3470 6,4651 6,5922 6,7281 6,8736 7,0190 7,1256 7,1254 6,9512 6,5765 6,0352 5,4124 4,8156 4,3476 4,0853 4,0525 4,2015 4,4246 4,5985 4,6510 4,5975 4,4990 4,3844 4,2252 3,9760 3,6302 3,2376 2,8656 2,5398 2,2247 1,8609 1,4215 0,9415 0,5096 0,2303 0,1668 0,3019 0,5456 0,7737 0,8712 0,7796 0,5191 0,1588 -0,2308 -0,6028 -0,9375 -1,2392 -1,5292 -1,8276 -2,1250 -2,3658 -2,4726 -2,4001 -2,1650 -1,8225 -1,4288 -1,0265 -0,6503 -0,3308 -0,0949 0,0289 0,0136 -0,1499 -0,4362 -0,7846 -1,1138 -1,3444 -1,4180 -1,3169 -1,0740 -0,7619 -0,4672 -0,2652 -0,1929 -0,2333 -0,3319 -0,4310 -0,4884 -0,4715 -0,3499 -0,1029 0,2640 0,7196 1,2216 1,7304 2,2185 2,6725 3,0880 3,4601 3,7760 4,0130 4,1445 4,1500 4,0297 3,8196 3,5955 3,4474 3,4318 3,5339 3,6721 3,7463 3,6951 3,5224 3,2811 3,0353 2,8346 2,7100 2,6805 2,7494 2,8954 3,0766 3,2443 3,3524 3,3600 3,2272 2,9109 2,3802 1,6538 0,8186 0,0053 -0,6656 -1,1255 -1,3596 -1,3818 -1,2145 -0,8934 -0,4757 -0,0298 0,3854 0,7348 1,0149 1,2464 1,4404 1,5687 1,5866 1,4917 1,3423 1,2125 1,1409 1,1240 1,1355 1,1417 1,1098 1,0135 0,8433 0,6295 0,4557 0,4313 0,6336 1,0673 1,6696 2,3488 3,0168 3,5990 4,0305 4,2537 4,2229 3,9163 3,3558 2,6232 1,8419 1,1245 0,5396 0,1212 -0,1171 -0,1839 -0,1065 0,0872 0,3706 0,7001 1,0086 1,2277 1,3079 1,2210 0,9633 0,5614 0,0693 -0,4337 -0,8470 -1,0738 -1,0589 -0,8071 -0,3743 0,1617 0,7278 1,2593 1,6943 1,9883 2,1416 2,2036 2,2358 2,2646 2,2703 2,2208 2,1167 2,0100 1,9811 2,0933 2,3634 2,7552 3,1930 3,5853 3,8464 3,9134 3,7655 3,4443 3,0436 2,6600 2,3451 2,0989 1,8989 1,7363 1,6342 1,6418 1,8073 2,1441 2,6138 3,1355 3,6125 3,9581 4,1164 4,0798 3,8897 3,6069 3,2744 2,9094 2,5265 2,1531 1,8221 1,5651 1,4133 1,3861 1,4780 1,6726 1,9722 2,3949 2,9430 3,5816 4,2456 4,8543 5,3278 5,6070 5,6777 5,5794 5,3905 5,1973 5,0655 5,0243 5,0702 5,1798 5,3112 5,4027 5,3953 5,2753 5,0984 4,9694 4,9906 5,2081 5,5866 6,0293 6,4282 6,7086 6,8433 6,8379 6,7093 6,4693 6,1245 5,6845 5,1692 4,6049 4,0201 3,4502 2,9437 2,5615 2,3710 2,4285 2,7633 3,3707 4,2010 5,1551 6,1152 6,9893 7,7250 8,2896 8,6611 8,8422 8,8610 8,7455 8,5094 8,1646 7,7369 7,2691 6,8150 6,4283 6,1546 6,0193 6,0184 6,1284 6,3272 6,5991 6,9233 7,2639 7,5761 7,8214 7,9827 8,0754 8,1390 8,2031 8,2584 8,2594 8,1566 7,9350 7,6301 7,3060 7,0178 6,7936 6,6379 6,5296 6,4185 6,2480 5,9946 5,6849 5,3703 5,0827 4,8120 4,5223 4,1818 3,7842 3,3512 2,9203 2,5241 2,1801 1,8966 1,6824 1,5430 1,4697 1,4363 1,4091 1,3602 1,2800 1,1864 1,1238 1,1505 1,3142 1,6299 2,0776 2,6179 3,2099 3,8231 4,4400 5,0494 5,6384 6,1820 6,6375 6,9538 7,1007 7,0970 7,0093 6,9176 6,8799 6,9258 7,0526 7,2068 7,2845 7,1838 6,8734 6,4114 5,9077 5,4674 5,1495 4,9525 4,8398 4,7765 4,7438 4,7325 4,7403 4,7744 4,8545 5,0045 5,2283 5,4916 5,7273 5,8515 5,7815 5,4670 4,9275 4,2513 3,5468 2,8921 2,3174 1,8213 1,4031 1,0767 0,8533 0,7241 0,6733 0,6969 0,8016 0,9826 1,1978 1,3673 1,4175 1,3378 1,1908 1,0606 0,9918 0,9723 0,9594 0,9161 0,8331 0,7325 0,6529 0,6198 0,6207 0,6218 0,6093 0,5985 0,6057 0,6173 0,5784 0,4141 0,0787 -0,4068 -0,9634 -1,4960 -1,9331 -2,2494 -2,4661 -2,6228 -2,7388 -2,7975 -2,7620 -2,6095 -2,3560 -2,0446 -1,7146 -1,3950 -1,1265 -0,9732 -0,9925 -1,1835 -1,4663 -1,7108 -1,7888 -1,6240
F3    2,9247 1,9871 0,9063 -0,1236 -0,9170 -1,3666 -1,4953 -1,4676 -1,5220 -1,8329 -2,3892 -2,9880 -3,3566 -3,3120 -2,8257 -1,9719 -0,8495 0,4587 1,8876 3,3729 4,8234 6,0652 6,8012 6,6799 5,4825 3,3027 0,5723 -2,1072 -4,2211 -5,5118 -5,9591 -5,6486 -4,6858 -3,2053 -1,3985 0,4885 2,1587 3,2719 3,5329 2,8726 1,5455 0,0100 -1,2896 -2,0525 -2,1352 -1,5340 -0,3814 1,0760 2,5469 3,7806 4,6273 5,0545 5,1098 4,8401 4,2378 3,2806 2,0259 0,6502 -0,5991 -1,4848 -1,8403 -1,5949 -0,7791 0,4760 1,9408 3,3009 4,2315 4,5480 4,3206 3,8405 3,4755 3,5351 4,1831 5,3800 6,8613 8,1808 8,8518 8,5534 7,2697 5,2619 2,9388 0,7424 -0,9371 -1,8482 -1,9447 -1,3770 -0,4002 0,7452 1,9182 3,1196 4,4820 6,1673 8,1923 10,3130 12,1160 13,2750 13,7302 13,6419 13,2230 12,5980 11,7509 10,5863 9,0639 7,2916 5,4946 3,8928 2,5969 1,5839 0,7311 -0,1376 -1,2062 -2,5990 -4,2707 -5,9250 -7,0886 -7,3401 -6,5026 -4,6714 -2,1364 0,7130 3,4863 5,8625 7,6088 8,5916 8,8128 8,4298 7,7141 6,9447 6,2892 5,7488 5,2016 4,5259 3,7362 3,0244 2,6642 2,8558 3,6108 4,7303 5,8882 6,7845 7,2929 7,5067 7,6243 7,7655 7,8804 7,8159 7,4482 6,7581 5,8326 4,8524 4,0665 3,6993 3,8304 4,3584 5,0813 5,8194 6,4978 7,1453 7,8431 8,6643 9,5889 10,4238 10,8358 10,5020 9,2666 7,2265 4,7249 2,2614 0,3658 -0,5358 -0,2577 1,0494 2,9254 4,7962 6,2638 7,2770 8,0105 8,5800 8,8875 8,7151 7,9478 6,7083 5,2629 3,8119 2,4021 1,0216 -0,2704 -1,3064 -1,8438 -1,6357 -0,5739 1,1675 3,1410 4,7943 5,6713 5,5755 4,6342 3,2033 1,6734 0,3117 -0,8029 -1,7530 -2,6866 -3,7005 -4,7589 -5,6684 -6,1322 -5,8772 -4,7853 -2,9464 -0,6207 1,8374 4,0440 5,6473 6,3971 6,1922 5,0868 3,2841 1,1107 -1,0464 -2,8116 -3,8873 -4,1142 -3,5094 -2,2634 -0,7021 0,7764 1,8004 2,1501 1,8343 1,0430 0,0344 -0,9371 -1,6378 -1,8718 -1,5288 -0,6275 0,7018 2,2763 3,9034 5,4017 6,6154 7,4130 7,6812 7,3503 6,4442 5,0982 3,5278 1,9601 0,5726 -0,4865 -1,0359 -0,9070 -0,0965 1,1463 2,4090 3,3185 3,7113 3,6634 3,3898 3,1120 2,9993 3,1803 3,7235 4,5841 5,6118 6,6311 7,5033 8,1246 8,3762 8,0796 7,0394 5,1720 2,6221 -0,2241 -2,8415 -4,7453 -5,6458 -5,5023 -4,4895 -2,9318 -1,2137 0,3255 1,4739 2,1893 2,5964 2,9112 3,2851 3,6814 3,9312 3,9123 3,6405 3,2022 2,6649 2,0768 1,4907 0,9325 0,3524 -0,3673 -1,3181 -2,4191 -3,3418 -3,6143 -2,8722 -1,0762 1,4701 4,2847 6,9058 9,0127 10,4439 11,1283 10,9995 9,9767 8,0420 5,3590 2,3159 -0,5699 -2,8145 -4,0984 -4,3311 -3,6490 -2,3378 -0,7104 0,9720 2,5036 3,7159 4,4745 4,6800 4,2641 3,1940 1,5099 -0,6030 -2,7599 -4,4413 -5,1959 -4,8471 -3,5524 -1,6868 0,3470 2,2341 3,7393 4,6685 4,9102 4,5297 3,7795 2,9585 2,2233 1,5158 0,6718 -0,3924 -1,5710 -2,6002 -3,1750 -3,0627 -2,1629 -0,5350 1,5755 3,7420 5,4537 6,3119 6,2223 5,4234 4,3169 3,2336 2,2904 1,4192 0,5246 -0,3680 -1,0783 -1,3511 -0,9804 0,1009 1,7990 3,8735 5,9630 7,6536 8,6089 8,6808 7,9113 6,4539 4,5209 2,3864 0,3805 -1,1561 -1,9453 -1,8709 -1,0603 0,1485 1,3772 2,3992 3,2147 3,9812 4,8725 5,9445 7,0687 7,9686 8,3437 8,0115 6,9962 5,5255 3,9468 2,6146 1,7911 1,5849 1,9201 2,5390 3,0733 3,2069 2,8599 2,2527 1,7776 1,7805 2,4063 3,5663 5,0079 6,4487 7,6929 8,6611 9,3573 9,8090 9,9937 9,7959 9,0545 7,6870 5,7875 3,6048 1,4366 -0,4407 -1,7719 -2,3220 -1,9291 -0,5761 1,5771 4,2140 6,9306 9,3551 11,2534 12,5316 13,1695 13,2041 12,7730 12,1108 11,4397 10,8345 10,1811 9,2649 7,9207 6,1493 4,1575 2,3114 0,9874 0,4026 0,5728 1,3953 2,7352 4,4542 6,3905 8,3339 10,0391 11,2855 11,9516 12,0423 11,6365 10,8088 9,6069 8,0948 6,3995 4,7261 3,3433 2,5304 2,4817 3,2073 4,4822 5,8921 6,9929 7,4946 7,3470 6,6943 5,7623 4,7477 3,7485 2,7658 1,7926 0,9174 0,3221 0,1762 0,5411 1,3516 2,4459 3,6064 4,6021 5,2362 5,3925 5,0621 4,3495 3,4559 2,6355 2,1347 2,1060 2,5180 3,1516 3,7187 4,0119 3,9894 3,7679 3,5519 3,5335 3,7910 4,2396 4,6852 4,9580 5,0400 5,0936 5,3512 5,9637 6,9382 8,1495 9,3463 10,1699 10,2651 9,4699 7,9462 6,1315 4,5301 3,4858 3,0748 3,1590 3,5232 3,9924 4,4862 5,0050 5,5826 6,2618 7,0892 8,0789 9,1571 10,1390 10,7386 10,6212 9,5437 7,5407 4,9853 2,4277 0,3233 -1,1517 -2,0733 -2,5807 -2,7333 -2,5399 -2,0444 -1,3157 -0,3752 0,8124 2,2347 3,7093 4,8861 5,4360 5,3054 4,7718 4,2181 3,8545 3,6316 3,3568 2,8829 2,2333 1,5861 1,1516 1,0419 1,2165 1,5508 1,9536 2,4058 2,9014 3,3659 3,6155 3,4115 2,5977 1,2144 -0,5004 -2,2002 -3,5513 -4,3611 -4,6570 -4,6260 -4,4515 -4,2012 -3,8393 -3,3103 -2,5954 -1,6913 -0,5669 0,7921 2,2477 3,4285 3,8662 3,3132 1,9713 0,4170 -0,6959 -0,9335
F7    0,5350 1,0674 1,5654 1,9611 2,1822 2,2116 2,1117 1,9995 1,9938 2,1676 2,5067 2,8818 3,0843 2,9309 2,3604 1,4582 0,4054 -0,6241 -1,5448 -2,3495 -3,0452 -3,6091 -3,9714 -4,0151 -3,6387 -2,8568 -1,8263 -0,7676 0,1329 0,7687 1,1026 1,1457 0,9541 0,6175 0,2126 -0,2331 -0,7089 -1,1527 -1,4397 -1,4563 -1,1916 -0,7535 -0,2982 0,0421 0,1793 0,0762 -0,2331 -0,6439 -1,0247 -1,2704 -1,3245 -1,1837 -0,8918 -0,5072 -0,0562 0,4845 1,1569 1,9599 2,7997 3,4921 3,8339 3,7013 3,1038 2,1686 1,0971 0,1175 -0,5828 -0,9353 -1,0191 -1,0050 -1,0548 -1,2552 -1,6174 -2,0956 -2,5844 -2,9269 -2,9486 -2,5091 -1,5629 -0,1948 1,4036 2,9900 4,3315 5,2641 5,7314 5,7843 5,5472 5,1660 4,7588 4,3891 4,0515 3,6833 3,2303 2,7181 2,2404 1,8768 1,6351 1,4675 1,3277 1,2205 1,2105 1,3753 1,7288 2,1896 2,6290 2,9467 3,0961 3,0665 2,8770 2,5874 2,3036 2,1515 2,2011 2,3969 2,5747 2,5569 2,2476 1,6623 0,8965 0,0763 -0,6700 -1,2207 -1,4826 -1,4216 -1,0706 -0,5123 0,1425 0,7895 1,3727 1,8939 2,3907 2,9047 3,4430 3,9459 4,2931 4,3601 4,0845 3,4962 2,7116 1,9033 1,2345 0,7840 0,5342 0,4360 0,4725 0,6647 1,0488 1,6467 2,4253 3,2665 3,9881 4,4233 4,5025 4,2712 3,8369 3,2986 2,7183 2,1431 1,6298 1,2365 1,0061 0,9779 1,1969 1,6869 2,4158 3,2876 4,1607 4,8737 5,2749 5,2542 4,7741 3,8874 2,7366 1,5199 0,4285 -0,4216 -1,0161 -1,3967 -1,5884 -1,5786 -1,3615 -0,9810 -0,5185 -0,0490 0,3732 0,6941 0,8450 0,7485 0,3400 -0,3979 -1,3977 -2,4863 -3,4109 -3,9256 -3,9029 -3,3961 -2,6216 -1,8666 -1,3461 -1,1119 -1,0825 -1,1229 -1,0969 -0,9096 -0,5482 -0,0922 0,3167 0,5245 0,4198 -0,0237 -0,7398 -1,5923 -2,4042 -2,9981 -3,2500 -3,1154 -2,6047 -1,7643 -0,6983 0,4130 1,3410 1,8860 1,9576 1,5929 0,9217 0,1326 -0,5690 -1,0288 -1,1868 -1,0660 -0,7385 -0,3047 0,1222 0,4453 0,6104 0,6002 0,4121 0,0535 -0,4406 -0,9928 -1,4835 -1,7705 -1,7294 -1,2968 -0,4994 0,5499 1,6871 2,7378 3,5673 4,1239 4,4163 4,4505 4,2178 3,7395 3,0977 2,4130 1,7956 1,3091 0,9701 0,7673 0,6791 0,6772 0,7115 0,7067 0,6024 0,3972 0,1248 -0,2124 -0,6470 -1,1653 -1,6423 -1,8801 -1,7125 -1,0868 -0,0967 1,0247 1,9665 2,4592 2,3896 1,8314 0,9738 0,0248 -0,8374 -1,4865 -1,8726 -2,0248 -2,0109 -1,8864 -1,6671 -1,3388 -0,8997 -0,4047 0,0323 0,2946 0,3401 0,2388 0,1347 0,1648 0,4017 0,8380 1,3890 1,9087 2,2270 2,2076 1,8066 1,1030 0,2764 -0,4715 -1,0176 -1,3616 -1,5611 -1,6186 -1,4401 -0,9067 -0,0001 1,1340 2,2387 3,0625 3,4529 3,3821 2,9125 2,1483 1,2063 0,2038 -0,7494 -1,5629 -2,1779 -2,5537 -2,6325 -2,3351 -1,6297 -0,6197 0,4456 1,2593 1,5819 1,3329 0,6100 -0,3697 -1,3676 -2,1951 -2,7268 -2,8896 -2,6611 -2,0771 -1,2402 -0,3062 0,5775 1,3485 2,0434 2,7340 3,4497 4,1331 4,6448 4,8254 4,5635 3,8277 2,6912 1,3500 0,0835 -0,8427 -1,2738 -1,2183 -0,8231 -0,2742 0,3064 0,8912 1,4974 2,1125 2,6623 3,0404 3,1615 2,9889 2,5376 1,8737 1,1086 0,3816 -0,1705 -0,4446 -0,3904 -0,0238 0,5676 1,2471 1,8747 2,3462 2,6170 2,7097 2,6931 2,6427 2,6149 2,6368 2,6969 2,7419 2,6967 2,5184 2,2464 1,9903 1,8685 1,9572 2,2691 2,7517 3,3017 3,7924 4,1189 4,2394 4,1882 4,0671 4,0167 4,1578 4,5178 5,0025 5,4450 5,6894 5,6452 5,3024 4,7236 4,0200 3,3194 2,7236 2,2597 1,8740 1,5085 1,1827 0,9799 0,9621 1,1202 1,4038 1,7737 2,2007 2,6270 2,9608 3,1230 3,1009 2,9568 2,7716 2,5783 2,3723 2,1898 2,1277 2,2506 2,5135 2,8058 3,0406 3,1846 3,2540 3,3268 3,5382 4,0277 4,8497 5,9058 6,9722 7,8016 8,2128 8,1198 7,5258 6,5105 5,2140 3,8177 2,5227 1,5221 0,9640 0,9087 1,3060 2,0268 2,9321 3,9211 4,9283 5,8954 6,7505 7,4066 7,7679 7,7507 7,3247 6,5523 5,5877 4,6217 3,8165 3,2652 2,9801 2,9078 2,9651 3,0819 3,2251 3,3815 3,5172 3,5634 3,4378 3,0801 2,4890 1,7369 0,9464 0,2387 -0,3056 -0,6436 -0,7465 -0,6007 -0,2364 0,2597 0,7757 1,2251 1,5807 1,8805 2,2053 2,6430 3,2480 4,0030 4,8109 5,5344 6,0625 6,3491 6,4017 6,2463 5,9051 5,3961 4,7534 4,0371 3,3107 2,6284 2,0593 1,6997 1,6363 1,8973 2,4233 3,0753 3,6890 4,1436 4,3917 4,4495 4,3695 4,1992 3,9440 3,5825 3,1206 2,6061 2,0850 1,5640 1,0267 0,5005 0,1118 0,0522 0,4623 1,3193 2,4098 3,4184 4,0857 4,3272 4,2257 3,9286 3,5431 3,1007 2,5888 1,9945 1,3134 0,5523 -0,2357 -0,9215 -1,3307 -1,3378 -0,9744 -0,4522 -0,0606 -0,0098 -0,3173 -0,8046 -1,2200 -1,4022 -1,3547 -1,1907 -1,0285 -0,9309 -0,9022 -0,9164 -0,9534 -1,0148 -1,0924 -1,1224 -1,0049 -0,6854 -0,2008 0,3392 0,7946 1,0452 1,0392 0,8119 0,4622 0,1114 -0,1416 -0,2569 -0,2726 -0,2906 -0,4326 -0,7823 -1,3362 -1,9852 -2,5451 -2,8373 -2,7822 -2,4326 -1,9172 -1,3592 -0,8486
