Fp1   -0,2147 -0,4431 -0,5871 -0,6618 -0,6940 -0,7162 -0,7422 -0,7540 -0,7372 -0,7190 -0,7407 -0,7941 -0,8099 -0,7106 -0,4592 -0,0642 0,4428 1,0198 1,6186 2,1881 2,6712 3,0042 3,1302 3,0194 2,6980 2,2530 1,7834 1,3503 0,9794 0,6690 0,3775 0,0447 -0,3586 -0,8161 -1,2925 -1,7676 -2,2487 -2,7420 -3,2111 -3,5797 -3,7748 -3,7669 -3,5811 -3,2806 -2,9330 -2,5902 -2,2997 -2,1171 -2,0868 -2,2137 -2,4519 -2,7084 -2,8769 -2,8955 -2,7573 -2,4731 -2,0695 -1,6156 -1,1989 -0,8781 -0,6773 -0,6032 -0,6515 -0,8020 -1,0123 -1,2311 -1,4213 -1,5658 -1,6583 -1,7007 -1,7017 -1,6691 -1,6076 -1,5275 -1,4452 -1,3777 -1,3404 -1,3465 -1,3983 -1,4757 -1,5300 -1,5000 -1,3565 -1,1330 -0,9008 -0,7173 -0,6052 -0,5640 -0,5822 -0,6508 -0,7750 -0,9600 -1,1832 -1,3972 -1,5673 -1,6994 -1,8237 -1,9621 -2,1261 -2,3368 -2,6117 -2,9406 -3,3076 -3,7234 -4,2075 -4,7494 -5,3072 -5,8424 -6,3433 -6,8192 -7,2913 -7,7840 -8,3113 -8,8694 -9,4353 -9,9606 -10,3757 -10,6166 -10,6437 -10,4323 -9,9608 -9,2261 -8,2686 -7,1753 -6,0518 -4,9752 -3,9722 -3,0383 -2,1587 -1,3050 -0,4435 0,4333 1,2887 2,0595 2,6884 3,1502 3,4654 3,6873 3,8600 3,9902 4,0708 4,1162 4,1655 4,2565 4,3982 4,5546 4,6519 4,6165 4,4280 4,1522 3,9145 3,8209 3,9056 4,1444 4,4911 4,8865 5,2563 5,5378 5,7154 5,8198 5,9040 6,0217 6,2033 6,4437 6,7286 7,0669 7,4711 7,9133 8,3205 8,6174 8,7694 8,7894 8,7057 8,5347 8,2891 7,9861 7,6413 7,2785 6,9446 6,6840 6,4993 6,3597 6,2398 6,1239 5,9811 5,7658 5,4582 5,1003 4,7829 4,5928 4,5728 4,7226 5,0250 5,4477 5,9170 6,3201 6,5508 6,5517 6,3253 5,9273 5,4433 4,9488 4,4834 4,0562 3,6609 3,2852 2,9166 2,5482 2,1814 1,8245 1,4905 1,1953 0,9531 0,7679 0,6293 0,5174 0,4162 0,3256 0,2614 0,2461 0,2997 0,4295 0,6165 0,8179 0,9931 1,1213 1,2005 1,2507 1,3145 1,4215 1,5543 1,6657 1,7194 1,6993 1,5973 1,4132 1,1629 0,8822 0,6205 0,4224 0,3143 0,3037 0,3749 0,4762 0,5316 0,4818 0,3191 0,0905 -0,1242 -0,2496 -0,2433 -0,1150 0,0814 0,2933 0,4992 0,6919 0,8592 0,9825 1,0479 1,0619 1,0470 1,0306 1,0472 1,1301 1,2934 1,5213 1,7634 1,9421 1,9678 1,7697 1,3350 0,7198 0,0172 -0,6902 -1,3530 -1,9371 -2,3990 -2,6981 -2,8323 -2,8505 -2,8257 -2,8190 -2,8600 -2,9494 -3,0657 -3,1687 -3,2141 -3,1766 -3,0621 -2,9020 -2,7316 -2,5665 -2,3956 -2,1921 -1,9334 -1,6200 -1,2886 -0,9995 -0,7983 -0,6851 -0,6205 -0,5504 -0,4260 -0,2224 0,0353 0,2735 0,4223 0,4717 0,4725 0,4906 0,5645 0,6929 0,8532 1,0324 1,2399 1,4902 1,7871 2,1231 2,4759 2,8032 3,0640 3,2485 3,3721 3,4413 3,4465 3,3958 3,3321 3,3076 3,3453 3,4187 3,4553 3,3721 3,1304 2,7608 2,3292 1,8872 1,4621 1,0752 0,7468 0,4837 0,2833 0,1561 0,1308 0,2221 0,4031 0,6164 0,8075 0,9430 1,0029 0,9690 0,8343 0,6201 0,3605 0,0782 -0,2035 -0,4372 -0,5661 -0,5660 -0,4668 -0,3341 -0,2303 -0,1799 -0,1666 -0,1706 -0,2081 -0,3215 -0,5388 -0,8524 -1,2184 -1,5667 -1,8377 -2,0265 -2,1875 -2,3888 -2,6667 -3,0201 -3,4245 -3,8314 -4,1640 -4,3379 -4,2988 -4,0538 -3,6724 -3,2520 -2,8735 -2,5862 -2,4182 -2,3761 -2,4317 -2,5347 -2,6434 -2,7339 -2,7849 -2,7611 -2,6246 -2,3687 -2,0208 -1,6019 -1,1025 -0,5109 0,1472 0,8061 1,3943 1,8706 2,2255 2,4607 2,5815 2,5973 2,5149 2,3380 2,0827 1,7864 1,4913 1,2222 0,9759 0,7249 0,4416 0,1297 -0,1713 -0,4210 -0,6107 -0,7523 -0,8440 -0,8727 -0,8526 -0,8249 -0,8134 -0,8131 -0,8186 -0,8367 -0,8660 -0,8714 -0,7959 -0,6107 -0,3377 -0,0164 0,3280 0,6815 1,0284 1,3506 1,6336 1,8709 2,0550 2,1630 2,1625 2,0401 1,8210 1,5596 1,3180 1,1487 1,0760 1,0828 1,1207 1,1352 1,0870 0,9651 0,7908 0,5978 0,4134 0,2663 0,1896 0,1944 0,2529 0,3209 0,3758 0,4357 0,5375 0,6832 0,8210 0,8898 0,8676 0,7803 0,6841 0,6444 0,7085 0,8791 1,1071 1,3151 1,4386 1,4404 1,2871 0,9476 0,4365 -0,1688 -0,7735 -1,3305 -1,8641 -2,4297 -3,0513 -3,7052 -4,3468 -4,9340 -5,4291 -5,7964 -6,0116 -6,0808 -6,0357 -5,9009 -5,6689 -5,3047 -4,7759 -4,0833 -3,2585 -2,3356 -1,3368 -0,2748 0,8330 1,9483 3,0187 3,9924 4,8172 5,4425 5,8416 6,0275 6,0377 5,9028 5,6335 5,2352 4,7313 4,1717 3,6098 3,0721 2,5540 2,0516 1,5876 1,1988 0,9007 0,6752 0,4927 0,3344 0,1893 0,0409 -0,1247 -0,2947 -0,4249 -0,4741 -0,4483 -0,4164 -0,4705 -0,6572 -0,9478 -1,2778 -1,5936 -1,8704 -2,1099 -2,3229 -2,5083 -2,6496 -2,7192 -2,6890 -2,5369 -2,2536 -1,8615 -1,4245 -1,0267 -0,7354 -0,5834 -0,5676 -0,6509 -0,7822 -0,9289 -1,0738 -1,1866 -1,2221 -1,1513 -0,9901 -0,7960 -0,6262 -0,4911 -0,3534 -0,1712 0,0799 0,4180 0,8508 1,3534 1,8710 2,3337 2,6726 2,8421 2,8349 2,6711 2,3694 1,9426 1,4242 0,8777 0,3629 -0,0932 -0,4883 -0,8250 -1,1160 -1,3953 -1,6946 -1,9999 -2,2564 -2,4126 -2,4453 -2,3561 -2,1634 -1,8908 -1,5656
Fz    2,5557 2,2507 1,9516 1,6538 1,3688 1,1210 0,9456 0,8806 0,9385 1,0851 1,2635 1,4442 1,6383 1,8687 2,1469 2,4704 2,8274 3,1956 3,5434 3,8350 4,0331 4,1056 4,0368 3,8399 3,5625 3,2748 3,0371 2,8775 2,7992 2,7893 2,8156 2,8353 2,8186 2,7612 2,6757 2,5735 2,4528 2,3112 2,1671 2,0587 2,0199 2,0609 2,1671 2,3109 2,4688 2,6287 2,7802 2,9056 2,9900 3,0394 3,0849 3,1729 3,3417 3,5953 3,9131 4,2823 4,6984 5,1375 5,5563 5,9156 6,1921 6,3742 6,4563 6,4439 6,3639 6,2570 6,1502 6,0442 5,9247 5,7803 5,6104 5,4264 5,2465 5,0844 4,9415 4,8061 4,6591 4,4839 4,2791 4,0664 3,8856 3,7762 3,7541 3,8019 3,8839 3,9701 4,0474 4,1146 4,1741 4,2195 4,2294 4,1830 4,0874 3,9787 3,8894 3,8167 3,7291 3,5975 3,4097 3,1676 2,8883 2,6039 2,3409 2,1003 1,8658 1,6227 1,3629 1,0771 0,7492 0,3667 -0,0684 -0,5403 -1,0306 -1,5251 -2,0112 -2,4673 -2,8590 -3,1523 -3,3284 -3,3757 -3,2786 -3,0281 -2,6402 -2,1558 -1,6225 -1,0710 -0,5089 0,0658 0,6552 1,2656 1,9067 2,5771 3,2514 3,8852 4,4339 4,8687 5,1875 5,4105 5,5610 5,6547 5,7134 5,7782 5,8969 6,0985 6,3799 6,7040 7,0078 7,2276 7,3351 7,3585 7,3655 7,4170 7,5338 7,7034 7,9026 8,1049 8,2778 8,3940 8,4513 8,4773 8,5168 8,6153 8,7993 9,0692 9,4179 9,8515 10,3781 10,9781 11,5970 12,1696 12,6506 13,0229 13,2768 13,3941 13,3605 13,1818 12,8818 12,4981 12,0775 11,6599 11,2633 10,8896 10,5378 10,2039 9,8726 9,5222 9,1481 8,7789 8,4628 8,2390 8,1214 8,1026 8,1701 8,3051 8,4668 8,5936 8,6295 8,5450 8,3390 8,0340 7,6679 7,2807 6,9051 6,5659 6,2780 6,0424 5,8517 5,6972 5,5688 5,4543 5,3456 5,2440 5,1574 5,0944 5,0599 5,0534 5,0672 5,0892 5,1089 5,1244 5,1466 5,1952 5,2861 5,4235 5,6021 5,8089 6,0272 6,2455 6,4579 6,6454 6,7653 6,7800 6,6932 6,5438 6,3716 6,1972 6,0283 5,8729 5,7456 5,6627 5,6367 5,6760 5,7776 5,9124 6,0300 6,0892 6,0793 6,0179 5,9370 5,8698 5,8391 5,8416 5,8503 5,8415 5,8104 5,7581 5,6781 5,5597 5,4020 5,2261 5,0679 4,9630 4,9386 5,0089 5,1695 5,3919 5,6235 5,7949 5,8333 5,6871 5,3498 4,8627 4,2947 3,7106 3,1483 2,6277 2,1732 1,8184 1,5861 1,4717 1,4505 1,5003 1,6105 1,7753 1,9845 2,2232 2,4728 2,7060 2,8870 2,9815 2,9749 2,8832 2,7493 2,6287 2,5726 2,6060 2,7151 2,8597 3,0053 3,1512 3,3281 3,5724 3,9027 4,3114 4,7619 5,1938 5,5529 5,8245 6,0330 6,2161 6,3989 6,5837 6,7571 6,9102 7,0478 7,1806 7,3158 7,4513 7,5644 7,6130 7,5624 7,4111 7,1826 6,8944 6,5485 6,1536 5,7430 5,3680 5,0741 4,8766 4,7512 4,6537 4,5533 4,4502 4,3569 4,2719 4,1802 4,0702 3,9375 3,7815 3,6090 3,4447 3,3262 3,2772 3,2861 3,3142 3,3240 3,3023 3,2533 3,1754 3,0590 2,9045 2,7296 2,5592 2,4188 2,3327 2,3184 2,3788 2,4931 2,6155 2,6933 2,7007 2,6562 2,5965 2,5348 2,4565 2,3482 2,2173 2,0922 2,0119 2,0036 2,0603 2,1401 2,1906 2,1739 2,0684 1,8650 1,5797 1,2657 0,9966 0,8304 0,7846 0,8373 0,9501 1,0919 1,2464 1,4027 1,5532 1,6980 1,8411 1,9820 2,1130 2,2275 2,3336 2,4554 2,6083 2,7826 2,9630 3,1491 3,3451 3,5373 3,6955 3,7924 3,8166 3,7702 3,6623 3,5078 3,3260 3,1389 2,9705 2,8452 2,7836 2,7953 2,8728 2,9858 3,0855 3,1265 3,0916 2,9942 2,8559 2,6875 2,4949 2,2970 2,1193 1,9656 1,8192 1,6726 1,5317 1,3957 1,2528 1,1013 0,9647 0,8852 0,8945 0,9949 1,1679 1,3915 1,6435 1,8979 2,1251 2,2988 2,4028 2,4338 2,3950 2,2903 2,1253 1,9128 1,6776 1,4548 1,2802 1,1708 1,1124 1,0707 1,0151 0,9360 0,8475 0,7786 0,7529 0,7750 0,8372 0,9305 1,0387 1,1328 1,1816 1,1693 1,1052 1,0171 0,9265 0,8308 0,7146 0,5712 0,4126 0,2707 0,1885 0,2006 0,3148 0,5094 0,7424 0,9640 1,1266 1,1881 1,1243 0,9492 0,7117 0,4598 0,2076 -0,0682 -0,4030 -0,8138 -1,2890 -1,7971 -2,2990 -2,7574 -3,1449 -3,4492 -3,6739 -3,8294 -3,9179 -3,9255 -3,8254 -3,5937 -3,2287 -2,7532 -2,1969 -1,5755 -0,8901 -0,1509 0,5973 1,2867 1,8556 2,2623 2,4897 2,5523 2,4935 2,3641 2,2008 2,0222 1,8390 1,6615 1,5028 1,3745 1,2788 1,2053 1,1466 1,1135 1,1240 1,1745 1,2344 1,2701 1,2675 1,2281 1,1504 1,0267 0,8589 0,6670 0,4760 0,2955 0,1109 -0,1021 -0,3455 -0,5872 -0,7830 -0,9068 -0,9638 -0,9869 -1,0160 -1,0789 -1,1840 -1,3189 -1,4560 -1,5638 -1,6201 -1,6260 -1,6067 -1,5930 -1,5999 -1,6241 -1,6523 -1,6622 -1,6302 -1,5493 -1,4271 -1,2690 -1,0781 -0,8663 -0,6640 -0,5199 -0,4807 -0,5561 -0,7108 -0,8932 -1,0570 -1,1605 -1,1727 -1,0898 -0,9371 -0,7597 -0,6059 -0,5130 -0,5040 -0,5937 -0,7927 -1,1002 -1,4918 -1,9201 -2,3330 -2,6908 -2,9682 -3,1501 -3,2381 -3,2598 -3,2522 -3,2277 -3,1703 -3,0657 -2,9192 -2,7490 -2,5721 -2,3946 -2,2156
F3    1,7961 1,5244 1,2164 0,8707 0,5034 0,1400 -0,1830 -0,4182 -0,5347 -0,5501 -0,5111 -0,4411 -0,3251 -0,1395 0,1254 0,4658 0,8685 1,3079 1,7468 2,1444 2,4582 2,6489 2,6948 2,6004 2,4017 2,1617 1,9425 1,7775 1,6714 1,6060 1,5383 1,4171 1,2159 0,9455 0,6404 0,3308 0,0254 -0,2762 -0,5571 -0,7795 -0,9081 -0,9317 -0,8657 -0,7356 -0,5594 -0,3471 -0,1149 0,1056 0,2806 0,3972 0,4775 0,5730 0,7342 0,9706 1,2541 1,5587 1,8720 2,1710 2,4180 2,5821 2,6511 2,6252 2,5099 2,3196 2,0896 1,8684 1,6899 1,5596 1,4652 1,3926 1,3327 1,2820 1,2387 1,1959 1,1409 1,0595 0,9433 0,7956 0,6349 0,4942 0,4113 0,4099 0,4843 0,5995 0,7133 0,8017 0,8653 0,9170 0,9661 1,0029 0,9954 0,9142 0,7653 0,5883 0,4206 0,2658 0,1025 -0,0845 -0,2931 -0,5151 -0,7370 -0,9359 -1,0946 -1,2207 -1,3400 -1,4755 -1,6389 -1,8387 -2,0882 -2,4004 -2,7819 -3,2343 -3,7533 -4,3246 -4,9226 -5,5077 -6,0272 -6,4294 -6,6814 -6,7648 -6,6664 -6,3866 -5,9517 -5,4103 -4,8143 -4,1975 -3,5690 -2,9257 -2,2637 -1,5777 -0,8611 -0,1187 0,6225 1,3175 1,9228 2,4131 2,7908 3,0812 3,3113 3,4957 3,6496 3,8066 4,0104 4,2879 4,6295 4,9881 5,2934 5,4828 5,5382 5,5024 5,4565 5,4683 5,5582 5,7074 5,8824 6,0457 6,1573 6,1913 6,1576 6,1001 6,0768 6,1378 6,3036 6,5626 6,8994 7,3189 7,8293 8,4085 8,9981 9,5305 9,9578 10,2581 10,4190 10,4277 10,2827 10,0020 9,6155 9,1635 8,6946 8,2497 7,8467 7,4867 7,1675 6,8819 6,6052 6,3029 5,9613 5,6112 5,3112 5,1088 5,0184 5,0291 5,1259 5,2864 5,4619 5,5817 5,5866 5,4545 5,1976 4,8501 4,4576 4,0646 3,7038 3,3942 3,1411 2,9357 2,7622 2,6084 2,4636 2,3163 2,1611 2,0008 1,8422 1,6943 1,5708 1,4865 1,4507 1,4636 1,5167 1,5990 1,7058 1,8387 1,9949 2,1644 2,3379 2,5091 2,6697 2,8138 2,9419 3,0460 3,0967 3,0674 2,9648 2,8244 2,6824 2,5592 2,4602 2,3861 2,3411 2,3322 2,3629 2,4324 2,5319 2,6339 2,6969 2,6909 2,6154 2,4971 2,3766 2,2939 2,2752 2,3173 2,3891 2,4601 2,5174 2,5530 2,5513 2,4958 2,3872 2,2534 2,1366 2,0731 2,0892 2,1990 2,3980 2,6557 2,9144 3,0985 3,1344 2,9791 2,6425 2,1839 1,6833 1,2039 0,7736 0,4008 0,1012 -0,1000 -0,1912 -0,1887 -0,1257 -0,0319 0,0784 0,2045 0,3495 0,5134 0,6896 0,8588 0,9889 1,0457 1,0087 0,8826 0,7005 0,5186 0,3974 0,3724 0,4363 0,5502 0,6775 0,8117 0,9752 1,1939 1,4786 1,8196 2,1834 2,5144 2,7665 2,9362 3,0590 3,1757 3,3036 3,4305 3,5327 3,6016 3,6512 3,7032 3,7757 3,8764 3,9916 4,0846 4,1218 4,0983 4,0302 3,9255 3,7765 3,5837 3,3722 3,1808 3,0384 2,9483 2,8835 2,8031 2,6825 2,5321 2,3778 2,2315 2,0873 1,9364 1,7742 1,5992 1,4205 1,2681 1,1864 1,2055 1,3161 1,4740 1,6304 1,7567 1,8406 1,8668 1,8192 1,7016 1,5390 1,3620 1,2024 1,0954 1,0721 1,1416 1,2797 1,4331 1,5434 1,5796 1,5526 1,4907 1,4042 1,2837 1,1236 0,9378 0,7583 0,6253 0,5674 0,5817 0,6339 0,6820 0,6958 0,6518 0,5310 0,3361 0,1072 -0,0923 -0,2116 -0,2370 -0,1908 -0,1094 -0,0187 0,0713 0,1526 0,2147 0,2546 0,2790 0,2954 0,3067 0,3191 0,3559 0,4538 0,6317 0,8733 1,1487 1,4403 1,7349 2,0055 2,2139 2,3311 2,3519 2,2884 2,1582 1,9819 1,7829 1,5830 1,4002 1,2515 1,1528 1,1125 1,1242 1,1627 1,1870 1,1578 1,0595 0,9039 0,7102 0,4875 0,2406 -0,0092 -0,2288 -0,4046 -0,5486 -0,6718 -0,7765 -0,8695 -0,9615 -1,0511 -1,1131 -1,1049 -0,9975 -0,7970 -0,5299 -0,2171 0,1310 0,5012 0,8662 1,1864 1,4252 1,5626 1,5942 1,5240 1,3637 1,1374 0,8832 0,6469 0,4670 0,3576 0,2994 0,2505 0,1696 0,0389 -0,1235 -0,2727 -0,3635 -0,3763 -0,3148 -0,1943 -0,0449 0,0838 0,1435 0,1152 0,0206 -0,0961 -0,2054 -0,3110 -0,4339 -0,5866 -0,7628 -0,9380 -1,0760 -1,1447 -1,1329 -1,0546 -0,9397 -0,8228 -0,7386 -0,7267 -0,8225 -1,0268 -1,2938 -1,5632 -1,8068 -2,0453 -2,3231 -2,6707 -3,0906 -3,5645 -4,0640 -4,5568 -5,0088 -5,3876 -5,6726 -5,8592 -5,9486 -5,9360 -5,8031 -5,5241 -5,0859 -4,4997 -3,7915 -2,9865 -2,1045 -1,1745 -0,2500 0,5998 1,3117 1,8352 2,1354 2,2074 2,0854 1,8308 1,5064 1,1607 0,8286 0,5356 0,2993 0,1285 0,0186 -0,0467 -0,0805 -0,0799 -0,0358 0,0442 0,1317 0,1975 0,2308 0,2323 0,1942 0,0995 -0,0556 -0,2496 -0,4528 -0,6539 -0,8717 -1,1366 -1,4509 -1,7734 -2,0517 -2,2584 -2,4000 -2,5049 -2,6036 -2,7138 -2,8337 -2,9401 -2,9986 -2,9783 -2,8666 -2,6801 -2,4627 -2,2644 -2,1177 -2,0321 -1,9980 -1,9925 -1,9957 -2,0084 -2,0386 -2,0743 -2,0861 -2,0501 -1,9648 -1,8576 -1,7707 -1,7286 -1,7231 -1,7341 -1,7463 -1,7403 -1,6929 -1,5936 -1,4567 -1,3184 -1,2209 -1,1916 -1,2362 -1,3492 -1,5260 -1,7631 -2,0455 -2,3435 -2,6242 -2,8624 -3,0398 -3,1436 -3,1766 -3,1701 -3,1648 -3,1736 -3,1762 -3,1499 -3,0871 -2,9914 -2,8694 -2,7238 -2,5566
F7    0,5470 0,4481 0,3289 0,1763 -0,0153 -0,2331 -0,4420 -0,5970 -0,6713 -0,6726 -0,6261 -0,5468 -0,4315 -0,2709 -0,0627 0,1844 0,4557 0,7338 1,0004 1,2369 1,4191 1,5169 1,5086 1,3960 1,2073 0,9870 0,7755 0,5929 0,4422 0,3139 0,1830 0,0165 -0,2047 -0,4717 -0,7547 -1,0248 -1,2689 -1,4860 -1,6717 -1,8124 -1,8931 -1,9070 -1,8594 -1,7670 -1,6528 -1,5401 -1,4508 -1,4044 -1,4119 -1,4691 -1,5551 -1,6349 -1,6736 -1,6594 -1,6041 -1,5192 -1,4082 -1,2824 -1,1615 -1,0578 -0,9751 -0,9187 -0,8970 -0,9096 -0,9389 -0,9589 -0,9537 -0,9273 -0,8976 -0,8858 -0,9034 -0,9472 -1,0045 -1,0623 -1,1109 -1,1442 -1,1597 -1,1584 -1,1423 -1,1117 -1,0627 -0,9881 -0,8865 -0,7708 -0,6608 -0,5664 -0,4841 -0,4105 -0,3505 -0,3162 -0,3215 -0,3718 -0,4559 -0,5471 -0,6204 -0,6723 -0,7206 -0,7854 -0,8803 -1,0147 -1,1933 -1,4124 -1,6647 -1,9476 -2,2597 -2,5932 -2,9338 -3,2755 -3,6274 -4,0048 -4,4197 -4,8762 -5,3697 -5,8872 -6,4076 -6,8964 -7,3062 -7,5931 -7,7343 -7,7255 -7,5701 -7,2772 -6,8661 -6,3662 -5,8125 -5,2339 -4,6434 -4,0418 -3,4236 -2,7781 -2,0931 -1,3672 -0,6228 0,0995 0,7614 1,3412 1,8370 2,2622 2,6304 2,9450 3,2084 3,4361 3,6522 3,8714 4,0866 4,2704 4,3886 4,4186 4,3657 4,2683 4,1842 4,1631 4,2255 4,3620 4,5430 4,7253 4,8624 4,9269 4,9253 4,8903 4,8628 4,8770 4,9497 5,0795 5,2587 5,4877 5,7676 6,0811 6,3876 6,6430 6,8226 6,9218 6,9405 6,8742 6,7227 6,4983 6,2257 5,9396 5,6734 5,4398 5,2236 5,0033 4,7725 4,5363 4,2975 4,0574 3,8296 3,6492 3,5596 3,5853 3,7179 3,9247 4,1644 4,3949 4,5761 4,6778 4,6885 4,6172 4,4814 4,2951 4,0683 3,8095 3,5288 3,2435 2,9791 2,7582 2,5906 2,4717 2,3827 2,2976 2,1956 2,0697 1,9251 1,7729 1,6265 1,4995 1,4032 1,3422 1,3130 1,3074 1,3211 1,3557 1,4111 1,4786 1,5458 1,6034 1,6462 1,6794 1,7231 1,7948 1,8902 1,9902 2,0781 2,1439 2,1784 2,1711 2,1124 2,0011 1,8521 1,6932 1,5531 1,4497 1,3813 1,3260 1,2559 1,1567 1,0348 0,9101 0,8049 0,7370 0,7142 0,7258 0,7437 0,7441 0,7226 0,6828 0,6251 0,5511 0,4712 0,4069 0,3811 0,4061 0,4836 0,6078 0,7634 0,9247 1,0599 1,1362 1,1272 1,0247 0,8476 0,6329 0,4179 0,2262 0,0639 -0,0691 -0,1612 -0,1905 -0,1477 -0,0522 0,0599 0,1597 0,2372 0,2979 0,3545 0,4189 0,4950 0,5724 0,6290 0,6420 0,6012 0,5155 0,4047 0,2872 0,1788 0,0947 0,0434 0,0215 0,0196 0,0299 0,0505 0,0855 0,1419 0,2213 0,3112 0,3825 0,4081 0,3865 0,3458 0,3223 0,3347 0,3762 0,4302 0,4910 0,5649 0,6580 0,7713 0,9045 1,0516 1,1966 1,3230 1,4292 1,5312 1,6426 1,7580 1,8603 1,9418 2,0087 2,0701 2,1272 2,1701 2,1800 2,1397 2,0456 1,9079 1,7394 1,5519 1,3576 1,1677 0,9886 0,8291 0,7104 0,6606 0,6929 0,7926 0,9240 1,0532 1,1613 1,2396 1,2832 1,2944 1,2896 1,2934 1,3222 1,3773 1,4556 1,5563 1,6746 1,7931 1,8824 1,9138 1,8782 1,7905 1,6703 1,5239 1,3522 1,1671 0,9914 0,8472 0,7466 0,6866 0,6478 0,6023 0,5280 0,4166 0,2685 0,0883 -0,1093 -0,2947 -0,4321 -0,4955 -0,4815 -0,4130 -0,3265 -0,2512 -0,1998 -0,1762 -0,1809 -0,2095 -0,2524 -0,3000 -0,3480 -0,3925 -0,4191 -0,4057 -0,3404 -0,2285 -0,0757 0,1216 0,3588 0,6053 0,8140 0,9514 1,0136 1,0155 0,9738 0,9020 0,8121 0,7179 0,6360 0,5821 0,5672 0,5966 0,6687 0,7722 0,8839 0,9716 1,0083 0,9857 0,9109 0,7929 0,6430 0,4864 0,3545 0,2587 0,1834 0,1080 0,0245 -0,0623 -0,1389 -0,1833 -0,1679 -0,0708 0,1050 0,3281 0,5598 0,7769 0,9750 1,1576 1,3296 1,4989 1,6757 1,8610 2,0360 2,1697 2,2376 2,2328 2,1682 2,0732 1,9835 1,9217 1,8833 1,8434 1,7751 1,6626 1,5100 1,3447 1,2040 1,1172 1,0984 1,1460 1,2392 1,3426 1,4227 1,4634 1,4708 1,4661 1,4639 1,4557 1,4165 1,3239 1,1726 0,9773 0,7674 0,5745 0,4182 0,2975 0,1965 0,0982 -0,0124 -0,1550 -0,3533 -0,6140 -0,9103 -1,1945 -1,4332 -1,6329 -1,8310 -2,0627 -2,3405 -2,6560 -2,9916 -3,3292 -3,6516 -3,9379 -4,1683 -4,3309 -4,4175 -4,4139 -4,3013 -4,0674 -3,7143 -3,2523 -2,6921 -2,0454 -1,3278 -0,5604 0,2279 1,0016 1,7228 2,3540 2,8639 3,2359 3,4709 3,5805 3,5766 3,4739 3,2977 3,0800 2,8482 2,6149 2,3757 2,1196 1,8462 1,5738 1,3278 1,1245 0,9634 0,8361 0,7379 0,6650 0,6026 0,5287 0,4336 0,3330 0,2563 0,2200 0,2100 0,1925 0,1429 0,0613 -0,0383 -0,1435 -0,2516 -0,3653 -0,4808 -0,5826 -0,6507 -0,6705 -0,6371 -0,5517 -0,4166 -0,2444 -0,0661 0,0799 0,1652 0,1774 0,1184 0,0040 -0,1445 -0,3142 -0,4990 -0,6867 -0,8543 -0,9762 -1,0386 -1,0511 -1,0406 -1,0273 -1,0112 -0,9849 -0,9446 -0,8843 -0,7942 -0,6715 -0,5253 -0,3706 -0,2237 -0,1006 -0,0154 0,0214 0,0027 -0,0760 -0,2108 -0,3841 -0,5706 -0,7505 -0,9118 -1,0458 -1,1468 -1,2214 -1,2869 -1,3551 -1,4189 -1,4599 -1,4620 -1,4188 -1,3367 -1,2311 -1,1202
