Fp1   -0,2850 0,5321 1,2083 1,6374 1,7624 1,6018 1,2349 0,7602 0,2771 -0,1129 -0,3260 -0,3230 -0,0881 0,4034 1,1254 1,9075 2,4704 2,5853 2,2024 1,4689 0,6539 0,0228 -0,2642 -0,1811 0,1949 0,7402 1,3312 1,8893 2,4057 2,8778 3,2120 3,2431 2,8635 2,1083 1,1243 0,0754 -0,9356 -1,8738 -2,7228 -3,4459 -3,9985 -4,3595 -4,5343 -4,5350 -4,3620 -3,9830 -3,3461 -2,4494 -1,3995 -0,3943 0,3603 0,7363 0,6994 0,2816 -0,4048 -1,1623 -1,7989 -2,2180 -2,4005 -2,3518 -2,0902 -1,6394 -1,0105 -0,2194 0,6570 1,4493 1,9615 2,1074 1,9695 1,7139 1,4638 1,2442 1,0213 0,7666 0,4672 0,1101 -0,3035 -0,7471 -1,1906 -1,6121 -1,9882 -2,2798 -2,4295 -2,3924 -2,1870 -1,8875 -1,5620 -1,2454 -0,9528 -0,6671 -0,3233 0,1507 0,7650 1,4549 2,1363 2,7596 3,2784 3,5894 3,5658 3,1690 2,4946 1,6907 0,8326 -0,1083 -1,1798 -2,3572 -3,5319 -4,5521 -5,2766 -5,6408 -5,6942 -5,5652 -5,3924 -5,2709 -5,2089 -5,1255 -4,9291 -4,6100 -4,2440 -3,9312 -3,7505 -3,7477 -3,9390 -4,3072 -4,7788 -5,2287 -5,5376 -5,6345 -5,4818 -5,0525 -4,3403 -3,3900 -2,3171 -1,2730 -0,3682 0,3714 0,9891 1,5600 2,1508 2,7775 3,3881 3,8933 4,2202 4,3368 4,2434 3,9724 3,5856 3,1449 2,7020 2,3169 2,0495 1,9154 1,8641 1,8151 1,7061 1,4949 1,1453 0,6467 0,0443 -0,5724 -1,1146 -1,5306 -1,8183 -2,0091 -2,1206 -2,1352 -2,0517 -1,9236 -1,8116 -1,7252 -1,6370 -1,5266 -1,3882 -1,2197 -1,0196 -0,7847 -0,5079 -0,1883 0,1562 0,4828 0,7346 0,8692 0,8810 0,8128 0,7726 0,9153 1,3641 2,1445 3,1867 4,3660 5,5421 6,5798 7,3603 7,7904 7,8124 7,4282 6,7209 5,8345 4,9213 4,1014 3,4473 2,9808 2,6890 2,5619 2,6020 2,7905 3,0737 3,4065 3,7926 4,2492 4,7364 5,1448 5,3516 5,2683 4,8525 4,1262 3,2039 2,2780 1,5440 1,1202 1,0248 1,2100 1,6012 2,1152 2,6694 3,1819 3,5730 3,7975 3,8706 3,8367 3,7247 3,5564 3,3727 3,2163 3,1056 3,0480 3,0559 3,1364 3,2767 3,4510 3,6382 3,8346 4,0549 4,3065 4,5560 4,7361 4,7939 4,7196 4,5296 4,2422 3,8817 3,4931 3,1418 2,8947 2,7961 2,8414 2,9608 3,0262 2,8953 2,4825 1,8277 1,0946 0,4640 0,0267 -0,2152 -0,2845 -0,2044 -0,0196 0,2005 0,3894 0,5050 0,5408 0,5317 0,5308 0,5647 0,6100 0,6283 0,6321 0,6907 0,8627 1,1495 1,5131 1,9159 2,3333 2,7293 3,0418 3,2178 3,2488 3,1537 2,9542 2,6924 2,4487 2,3054 2,2831 2,3127 2,2789 2,1094 1,8439 1,6203 1,5837 1,7925 2,1988 2,7071 3,2367 3,7361 4,1640 4,4641 4,5772 4,4999 4,2943 4,0151 3,6648 3,2357 2,7670 2,3443 2,0437 1,8772 1,7909 1,7051 1,5501 1,2928 0,9548 0,6065 0,3451 0,2739 0,4620 0,8922 1,4623 2,0542 2,5919 3,0428 3,4018 3,6750 3,8491 3,8746 3,7022 3,3397 2,8766 2,4492 2,1770 2,1283 2,3206 2,7306 3,2999 3,9420 4,5506 5,0181 5,2752 5,3372 5,3069 5,3106 5,4256 5,6622 5,9936 6,3877 6,8211 7,2762 7,7259 8,1247 8,4217 8,5917 8,6683 8,7350 8,8684 9,0987 9,4181 9,7932 10,1614 10,4353 10,5366 10,4313 10,1325 9,6780 9,1159 8,5234 8,0357 7,8184 7,9725 8,4618 9,1404 9,8506 10,4817 10,9431 11,1330 10,9759 10,4904 9,7997 9,0545 8,3496 7,7176 7,1729 6,7476 6,4926 6,4353 6,5469 6,7630 7,0212 7,2731 7,4796 7,6092 7,6361 7,5317 7,2653 6,8089 6,1561 5,3694 4,5993 4,0254 3,7565 3,7739 3,9714 4,2347 4,4759 4,6406 4,7280 4,7911 4,8938 5,0753 5,3273 5,5749 5,7097 5,6829 5,5507 5,4106 5,3088 5,2237 5,1384 5,0945 5,1542 5,3329 5,5935 5,9020 6,2631 6,6851 7,1357 7,5629 7,9366 8,2491 8,4930 8,6599 8,7654 8,8593 8,9837 9,1161 9,1787 9,1026 8,8698 8,5134 8,0997 7,6968 7,3445 7,0603 6,8620 6,7695 6,7931 6,9291 7,1686 7,5081 7,9398 8,4227 8,8659 9,1554 9,2080 9,0049 8,5918 8,0671 7,5613 7,1945 7,0328 7,0749 7,2637 7,5011 7,6610 7,6272 7,3584 6,9189 6,4261 5,9598 5,5215 5,0669 4,5472 3,9237 3,1862 2,3758 1,5747 0,8618 0,2712 -0,2035 -0,5774 -0,8633 -1,0799 -1,2491 -1,3910 -1,5343 -1,7287 -2,0322 -2,4546 -2,9070 -3,2309 -3,2890 -3,0428 -2,5746 -2,0464 -1,6241 -1,4214 -1,4906 -1,8331 -2,3850 -2,9975 -3,4764 -3,6736 -3,5327 -3,0685 -2,3519 -1,5191 -0,7521 -0,1906 0,1580 0,3904 0,5950 0,8003 1,0098 1,2404 1,5170 1,8381 2,1516 2,3696 2,4161 2,2633 1,9396 1,5230 1,1155 0,7836 0,4965 0,1457 -0,3535 -0,9758 -1,5905 -2,0359 -2,2061 -2,0984 -1,7995 -1,4251 -1,0639 -0,7534 -0,4822 -0,2162 0,0749 0,4016 0,7505 1,1002 1,4328 1,7146 1,8774 1,8487 1,6049 1,1877 0,6830 0,1904 -0,2164 -0,5272 -0,7898 -1,0564 -1,3347 -1,5671 -1,6398 -1,4371 -0,9194 -0,1663 0,6578 1,3896 1,9314 2,2558 2,3874 2,3907 2,3482 2,3250 2,3520 2,4346 2,5604 2,7056 2,8545 3,0101 3,1763 3,3490 3,5332 3,7413 3,9617 4,1339 4,1796 4,0660 3,8123 3,4374 2,9334 2,2855 1,4921 0,5932 -0,2884 -0,9573 -1,2356
Fz    0,8529 1,3442 1,7573 2,0658 2,2475 2,2966 2,2257 2,0573 1,8241 1,5705 1,3427 1,1761 1,1011 1,1489 1,3208 1,5539 1,7446 1,8116 1,7340 1,5548 1,3665 1,2726 1,3312 1,5174 1,7400 1,9076 1,9827 1,9834 1,9509 1,9078 1,8242 1,6248 1,2340 0,6234 -0,1711 -1,0733 -2,0074 -2,9153 -3,7418 -4,4242 -4,9076 -5,1718 -5,2341 -5,1284 -4,8783 -4,4779 -3,9033 -3,1587 -2,3121 -1,4919 -0,8460 -0,4870 -0,4576 -0,7214 -1,1638 -1,6260 -1,9772 -2,1605 -2,1734 -2,0288 -1,7365 -1,2984 -0,7144 0,0018 0,8034 1,6020 2,2965 2,8376 3,2562 3,6108 3,9136 4,1089 4,1138 3,8753 3,4031 2,7808 2,1528 1,6657 1,4008 1,3646 1,5229 1,8281 2,2320 2,6817 3,1083 3,4414 3,6422 3,7059 3,6398 3,4614 3,2171 2,9761 2,7912 2,6753 2,6184 2,6152 2,6562 2,6979 2,6704 2,5272 2,2779 1,9614 1,5931 1,1476 0,5918 -0,0779 -0,8242 -1,5874 -2,3101 -2,9448 -3,4503 -3,8007 -4,0039 -4,0984 -4,1221 -4,0902 -4,0127 -3,9295 -3,9095 -4,0118 -4,2549 -4,6148 -5,0428 -5,4808 -5,8635 -6,1226 -6,2066 -6,0930 -5,7764 -5,2512 -4,5122 -3,5764 -2,4991 -1,3606 -0,2308 0,8537 1,8847 2,8690 3,8110 4,6944 5,4842 6,1516 6,6904 7,1100 7,4236 7,6514 7,8203 7,9470 8,0341 8,0870 8,1227 8,1604 8,2075 8,2531 8,2698 8,2212 8,0751 7,8223 7,4944 7,1595 6,8900 6,7262 6,6640 6,6729 6,7295 6,8319 6,9753 7,1350 7,2857 7,4213 7,5448 7,6548 7,7446 7,8032 7,8143 7,7681 7,6769 7,5727 7,4867 7,4271 7,3787 7,3261 7,2757 7,2624 7,3472 7,5965 8,0467 8,6903 9,4911 10,3977 11,3458 12,2552 13,0358 13,6042 13,9027 13,9168 13,6824 13,2714 12,7613 12,2129 11,6657 11,1472 10,6906 10,3490 10,1773 10,1957 10,3810 10,6950 11,1125 11,6096 12,1364 12,6176 12,9827 13,1866 13,2121 13,0731 12,8192 12,5252 12,2608 12,0634 11,9366 11,8708 11,8646 11,9310 12,0841 12,3150 12,5802 12,8256 13,0212 13,1654 13,2644 13,3265 13,3662 13,3952 13,4191 13,4529 13,5237 13,6492 13,8205 14,0101 14,1936 14,3596 14,5021 14,6091 14,6624 14,6463 14,5545 14,3906 14,1667 13,9018 13,6219 13,3592 13,1418 12,9821 12,8675 12,7597 12,6069 12,3633 12,0041 11,5294 10,9730 10,4122 9,9401 9,6166 9,4529 9,4326 9,5265 9,6902 9,8708 10,0273 10,1425 10,2262 10,3149 10,4556 10,6725 10,9394 11,1919 11,3773 11,4893 11,5540 11,5966 11,6254 11,6407 11,6418 11,6239 11,5804 11,5207 11,4807 11,5028 11,6087 11,7926 12,0290 12,2813 12,5082 12,6692 12,7277 12,6635 12,5019 12,3306 12,2689 12,4015 12,7346 13,2056 13,7192 14,1809 14,5172 14,6783 14,6464 14,4545 14,1727 13,8579 13,5312 13,2049 12,9075 12,6742 12,5207 12,4328 12,3846 12,3604 12,3524 12,3557 12,3763 12,4343 12,5522 12,7440 13,0022 13,2824 13,5153 13,6488 13,6749 13,6168 13,5090 13,3850 13,2592 13,1117 12,9067 12,6365 12,3507 12,1424 12,1050 12,2998 12,7444 13,4100 14,2267 15,0979 15,9157 16,5800 17,0236 17,2309 17,2366 17,1018 16,8845 16,6231 16,3380 16,0450 15,7679 15,5396 15,3924 15,3454 15,3964 15,5273 15,7192 15,9523 16,1897 16,3887 16,5330 16,6381 16,7264 16,8061 16,8674 16,8900 16,8557 16,7548 16,5862 16,3619 16,1173 15,9058 15,7686 15,7058 15,6835 15,6696 15,6539 15,6342 15,5953 15,5176 15,4076 15,3066 15,2577 15,2688 15,3125 15,3565 15,3953 15,4504 15,5355 15,6279 15,6826 15,6683 15,5825 15,4336 15,2174 14,9099 14,4803 13,9127 13,2182 12,4338 11,6231 10,8702 10,2530 9,8033 9,4881 9,2375 8,9936 8,7314 8,4514 8,1781 7,9634 7,8679 7,9322 8,1509 8,4611 8,7703 9,0129 9,1789 9,2881 9,3552 9,3864 9,4079 9,4759 9,6386 9,8885 10,1629 10,4004 10,5919 10,7686 10,9560 11,1592 11,3737 11,5895 11,7843 11,9271 12,0005 12,0223 12,0319 12,0479 12,0502 11,9995 11,8615 11,6221 11,2973 10,9245 10,5452 10,2044 9,9491 9,8091 9,7802 9,8313 9,9252 10,0365 10,1584 10,2913 10,4263 10,5354 10,5773 10,5187 10,3593 10,1425 9,9367 9,7915 9,7033 9,6257 9,5046 9,3052 9,0140 8,6315 8,1760 7,6891 7,2149 6,7654 6,3128 5,8213 5,2861 4,7411 4,2391 3,8269 3,5235 3,3070 3,1219 2,9090 2,6337 2,2920 1,9043 1,5041 1,1202 0,7582 0,3980 0,0100 -0,4164 -0,8504 -1,2254 -1,4755 -1,5731 -1,5434 -1,4519 -1,3788 -1,3952 -1,5464 -1,8464 -2,2698 -2,7443 -3,1687 -3,4537 -3,5447 -3,4173 -3,0790 -2,5813 -2,0124 -1,4509 -0,9206 -0,4032 0,1133 0,6144 1,0804 1,5065 1,8985 2,2511 2,5295 2,6761 2,6405 2,4137 2,0391 1,5926 1,1507 0,7571 0,4002 0,0309 -0,3823 -0,8162 -1,2061 -1,4847 -1,6177 -1,6213 -1,5474 -1,4479 -1,3560 -1,2860 -1,2325 -1,1717 -1,0694 -0,8922 -0,6191 -0,2429 0,2279 0,7498 1,2410 1,6199 1,8474 1,9304 1,9003 1,7944 1,6380 1,4338 1,1764 0,8761 0,5701 0,3154 0,1729 0,1827 0,3396 0,5902 0,8610 1,0988 1,2884 1,4374 1,5587 1,6703 1,7929 1,9384 2,1052 2,2855 2,4743 2,6697 2,8731 3,0894 3,3271 3,6027 3,9332 4,3063 4,6567 4,8851 4,9092 4,7098 4,3328 3,8494 3,3175 2,7699 2,2195 1,6745 1,1617 0,7399 0,4831
F3    0,5436 1,1733 1,7121 2,0920 2,2742 2,2744 2,1401 1,9111 1,6206 1,3180 1,0634 0,9071 0,8947 1,0697 1,4208 1,8297 2,1148 2,1370 1,8642 1,3687 0,8009 0,3435 0,1386 0,2155 0,4852 0,8157 1,1151 1,3642 1,6002 1,8503 2,0638 2,1219 1,9154 1,4142 0,6817 -0,1711 -1,0558 -1,9359 -2,7913 -3,5720 -4,2004 -4,6214 -4,8339 -4,8725 -4,7662 -4,5000 -4,0209 -3,3081 -2,4373 -1,5686 -0,8742 -0,4699 -0,3962 -0,6269 -1,0607 -1,5382 -1,9205 -2,1465 -2,2084 -2,1078 -1,8403 -1,3940 -0,7590 0,0440 0,9284 1,7326 2,2863 2,5355 2,5867 2,5987 2,6486 2,6968 2,6405 2,3904 1,9247 1,3082 0,6722 0,1480 -0,1967 -0,3578 -0,3540 -0,1970 0,1121 0,5564 1,0710 1,5644 1,9763 2,2883 2,4891 2,5760 2,5888 2,6002 2,6585 2,7585 2,8726 2,9929 3,1203 3,2205 3,2277 3,1051 2,8760 2,5789 2,2033 1,6927 1,0116 0,1899 -0,6921 -1,5424 -2,2822 -2,8572 -3,2439 -3,4515 -3,5245 -3,5315 -3,5215 -3,4884 -3,4034 -3,2795 -3,1823 -3,1866 -3,3422 -3,6646 -4,1394 -4,7227 -5,3310 -5,8490 -6,1767 -6,2612 -6,0798 -5,6191 -4,8810 -3,9039 -2,7737 -1,6052 -0,4992 0,4824 1,3211 2,0453 2,7115 3,3562 3,9736 4,5390 5,0370 5,4631 5,8147 6,1000 6,3422 6,5602 6,7603 6,9528 7,1556 7,3731 7,5805 7,7362 7,8013 7,7435 7,5346 7,1665 6,6837 6,1885 5,7922 5,5582 5,4874 5,5394 5,6719 5,8621 6,0862 6,3041 6,4843 6,6276 6,7505 6,8654 6,9813 7,1056 7,2344 7,3483 7,4241 7,4512 7,4353 7,3829 7,2853 7,1278 6,9105 6,6676 6,4855 6,4764 6,7112 7,1892 7,8660 8,6826 9,5713 10,4463 11,2090 11,7683 12,0578 12,0469 11,7566 11,2601 10,6569 10,0399 9,4697 8,9689 8,5464 8,2378 8,0990 8,1559 8,3788 8,7154 9,1296 9,5959 10,0670 10,4713 10,7414 10,8330 10,7273 10,4380 10,0230 9,5784 9,2070 8,9811 8,9234 9,0196 9,2412 9,5581 9,9367 10,3309 10,6824 10,9476 11,1241 11,2326 11,2828 11,2805 11,2504 11,2150 11,1683 11,0996 11,0247 10,9738 10,9627 10,9890 11,0467 11,1348 11,2545 11,3975 11,5367 11,6313 11,6471 11,5685 11,3930 11,1280 10,7967 10,4428 10,1178 9,8621 9,6911 9,5877 9,5016 9,3587 9,0843 8,6343 8,0336 7,3911 6,8449 6,4792 6,3064 6,3051 6,4412 6,6610 6,9000 7,1098 7,2734 7,4028 7,5332 7,7046 7,9278 8,1614 8,3366 8,4216 8,4502 8,4844 8,5639 8,6971 8,8812 9,1036 9,3207 9,4649 9,5014 9,4605 9,3979 9,3485 9,3270 9,3448 9,4053 9,4885 9,5446 9,5093 9,3442 9,0807 8,8280 8,7240 8,8624 9,2518 9,8270 10,4785 11,0814 11,5219 11,7175 11,6396 11,3412 10,9328 10,4995 10,0629 9,6246 9,2132 8,8790 8,6564 8,5437 8,5128 8,5243 8,5326 8,5018 8,4282 8,3405 8,2838 8,3081 8,4504 8,7030 9,0086 9,2987 9,5319 9,6998 9,8113 9,8734 9,8704 9,7593 9,4963 9,0830 8,5992 8,1820 7,9610 8,0118 8,3538 8,9572 9,7543 10,6561 11,5614 12,3652 12,9815 13,3703 13,5483 13,5703 13,4934 13,3509 13,1585 12,9399 12,7406 12,6083 12,5624 12,5836 12,6288 12,6657 12,7062 12,7894 12,9306 13,1086 13,2971 13,4781 13,6347 13,7526 13,8277 13,8618 13,8499 13,7759 13,6275 13,4193 13,2056 13,0657 13,0596 13,1875 13,3966 13,6266 13,8362 13,9838 14,0070 13,8468 13,5058 13,0695 12,6468 12,2978 12,0268 11,8242 11,6988 11,6735 11,7484 11,8783 11,9985 12,0755 12,1289 12,1960 12,2790 12,3254 12,2513 11,9833 11,4807 10,7430 9,8322 8,8890 8,0927 7,5715 7,3416 7,3294 7,4364 7,5767 7,6895 7,7556 7,8037 7,8846 8,0359 8,2555 8,4874 8,6517 8,7105 8,6921 8,6456 8,5884 8,5100 8,4245 8,3940 8,4725 8,6364 8,7929 8,8715 8,8935 8,9352 9,0446 9,2219 9,4515 9,7133 9,9691 10,1698 10,2926 10,3731 10,4746 10,6131 10,7347 10,7646 10,6567 10,4087 10,0569 9,6581 9,2643 8,9186 8,6602 8,5139 8,4756 8,5156 8,6012 8,7182 8,8711 9,0632 9,2747 9,4553 9,5412 9,4893 9,3062 9,0544 8,8283 8,7065 8,7113 8,8055 8,9181 8,9734 8,9049 8,6638 8,2455 7,7154 7,1816 6,7180 6,3197 5,9360 5,5268 5,0862 4,6376 4,2196 3,8647 3,5762 3,3246 3,0723 2,8011 2,5216 2,2638 2,0593 1,9194 1,8162 1,6788 1,4224 1,0131 0,5112 0,0418 -0,2774 -0,3916 -0,3309 -0,1954 -0,1124 -0,1905 -0,4889 -1,0086 -1,6912 -2,4154 -3,0192 -3,3631 -3,3771 -3,0601 -2,4736 -1,7434 -1,0320 -0,4590 -0,0356 0,3014 0,6044 0,8891 1,1639 1,4490 1,7643 2,1009 2,4062 2,6029 2,6286 2,4683 2,1673 1,8100 1,4744 1,1847 0,8891 0,4955 -0,0484 -0,7010 -1,3436 -1,8394 -2,0948 -2,1000 -1,9202 -1,6466 -1,3522 -1,0781 -0,8362 -0,6212 -0,4216 -0,2189 0,0144 0,3119 0,6906 1,1185 1,5120 1,7872 1,9188 1,9419 1,9093 1,8597 1,8025 1,7103 1,5381 1,2664 0,9283 0,6066 0,4089 0,4200 0,6530 1,0391 1,4729 1,8737 2,2044 2,4502 2,6101 2,7118 2,8069 2,9413 3,1362 3,3898 3,6823 3,9805 4,2450 4,4387 4,5416 4,5756 4,6054 4,6906 4,8294 4,9497 4,9569 4,8004 4,4983 4,1047 3,6714 3,2303 2,7852 2,3258 1,8705 1,4927 1,2951
F7    -1,4433 -1,1338 -0,7807 -0,3928 0,0054 0,3649 0,6353 0,7979 0,8758 0,9114 0,9296 0,9262 0,9097 0,9435 1,1087 1,4127 1,7462 1,9474 1,9225 1,7064 1,4176 1,1729 1,0307 0,9755 0,9376 0,8578 0,7399 0,6264 0,5516 0,5217 0,5043 0,4337 0,2441 -0,0990 -0,5832 -1,1526 -1,7304 -2,2299 -2,5566 -2,6520 -2,5467 -2,3325 -2,0819 -1,8131 -1,5137 -1,1713 -0,7912 -0,3992 -0,0312 0,2776 0,4990 0,6006 0,5356 0,2842 -0,0759 -0,3873 -0,5254 -0,4713 -0,2871 -0,0572 0,1539 0,3244 0,4694 0,6062 0,7266 0,8040 0,8183 0,7731 0,6938 0,6104 0,5355 0,4501 0,3390 0,2471 0,2461 0,3483 0,5081 0,6774 0,8155 0,8872 0,8778 0,8002 0,6959 0,6242 0,6305 0,7296 0,9285 1,2436 1,6737 2,1703 2,6672 3,1356 3,5743 3,9566 4,2259 4,3512 4,3440 4,2078 3,9180 3,4802 2,9744 2,5050 2,1208 1,7928 1,4527 1,0495 0,5853 0,1083 -0,3185 -0,6558 -0,9084 -1,1029 -1,2512 -1,3398 -1,3531 -1,3050 -1,2407 -1,2119 -1,2586 -1,4053 -1,6626 -2,0225 -2,4539 -2,9021 -3,2863 -3,5135 -3,5300 -3,3603 -3,0740 -2,7189 -2,3014 -1,8160 -1,2689 -0,6680 0,0055 0,7922 1,6993 2,6563 3,5391 4,2390 4,7133 4,9920 5,1424 5,2192 5,2466 5,2518 5,2866 5,3969 5,5915 5,8485 6,1231 6,3422 6,4230 6,3178 6,0399 5,6493 5,2260 4,8458 4,5479 4,3193 4,1207 3,9250 3,7255 3,5270 3,3518 3,2406 3,2221 3,2915 3,4265 3,6053 3,8032 3,9924 4,1554 4,2925 4,4206 4,5637 4,7394 4,9435 5,1438 5,2919 5,3590 5,3720 5,4073 5,5354 5,7792 6,1285 6,5698 7,0860 7,6451 8,2052 8,7271 9,1750 9,5154 9,7160 9,7483 9,6011 9,3033 8,9185 8,5172 8,1614 7,9004 7,7534 7,6874 7,6357 7,5515 7,4367 7,3234 7,2576 7,2870 7,4268 7,6326 7,8245 7,9352 7,9318 7,8091 7,5883 7,3244 7,0935 6,9536 6,9128 6,9380 6,9899 7,0464 7,0998 7,1453 7,1684 7,1422 7,0551 6,9396 6,8576 6,8584 6,9522 7,1073 7,2734 7,4193 7,5471 7,6806 7,8469 8,0482 8,2424 8,3641 8,3747 8,2904 8,1639 8,0361 7,9068 7,7507 7,5500 7,3081 7,0498 6,8155 6,6450 6,5565 6,5366 6,5449 6,5247 6,4172 6,1814 5,8210 5,3891 4,9560 4,5771 4,2869 4,0968 3,9971 3,9727 4,0047 4,0499 4,0552 4,0008 3,9094 3,8258 3,8038 3,8932 4,1063 4,3828 4,6132 4,7248 4,7326 4,6985 4,6647 4,6341 4,6024 4,5944 4,6611 4,8332 5,0829 5,3412 5,5511 5,6927 5,7748 5,8221 5,8588 5,8861 5,8705 5,7577 5,5132 5,1696 4,8339 4,6286 4,6042 4,7127 4,8657 5,0053 5,1304 5,2875 5,5225 5,8253 6,1322 6,3729 6,4904 6,4422 6,2247 5,8987 5,5574 5,2587 4,9986 4,7472 4,4915 4,2433 4,0251 3,8582 3,7592 3,7488 3,8606 4,1172 4,4915 4,9046 5,2746 5,5606 5,7572 5,8599 5,8551 5,7372 5,5263 5,2777 5,0705 4,9627 4,9608 5,0424 5,1925 5,4026 5,6552 5,9307 6,2189 6,5011 6,7321 6,8650 6,8933 6,8586 6,8191 6,8126 6,8548 6,9540 7,1104 7,3075 7,5173 7,7150 7,8902 8,0495 8,2062 8,3630 8,5042 8,6067 8,6630 8,6918 8,7146 8,7309 8,7248 8,6807 8,5873 8,4404 8,2558 8,0767 7,9630 7,9689 8,1183 8,3811 8,6630 8,8425 8,8442 8,6845 8,4499 8,2369 8,1049 8,0687 8,1148 8,2150 8,3261 8,3934 8,3774 8,2810 8,1447 8,0146 7,9278 7,9156 7,9832 8,0757 8,0912 7,9454 7,6140 7,1290 6,5736 6,0784 5,7787 5,7474 5,9597 6,3203 6,7196 7,0684 7,3146 7,4547 7,5168 7,5256 7,4918 7,4297 7,3742 7,3738 7,4479 7,5446 7,5763 7,5102 7,3947 7,2915 7,2125 7,1240 6,9963 6,8498 6,7606 6,8192 7,0687 7,4668 7,9031 8,2614 8,4784 8,5625 8,5784 8,6051 8,6873 8,8224 8,9837 9,1456 9,2918 9,4030 9,4414 9,3686 9,1781 8,8942 8,5516 8,1785 7,7894 7,4020 7,0566 6,7965 6,6419 6,5986 6,6850 6,9334 7,3537 7,8894 8,4225 8,8271 9,0167 8,9627 8,6996 8,3233 7,9609 7,7061 7,5801 7,5550 7,5969 7,6831 7,7974 7,9256 8,0513 8,1448 8,1680 8,0993 7,9305 7,6514 7,2571 6,7627 6,2075 5,6513 5,1537 4,7425 4,4050 4,1120 3,8524 3,6394 3,4867 3,3803 3,2797 3,1465 2,9673 2,7532 2,5354 2,3696 2,3265 2,4490 2,7094 3,0196 3,2803 3,4187 3,3968 3,2006 2,8331 2,3237 1,7478 1,2137 0,8140 0,6063 0,6359 0,9367 1,4948 2,2314 3,0260 3,7582 4,3447 4,7488 4,9593 4,9806 4,8491 4,6399 4,4336 4,2674 4,1148 3,9189 3,6545 3,3593 3,1021 2,9301 2,8366 2,7490 2,5631 2,2306 1,8100 1,4275 1,1947 1,1515 1,2511 1,3916 1,4726 1,4388 1,3006 1,1261 0,9949 0,9591 1,0405 1,2419 1,5635 2,0148 2,5990 3,2818 3,9743 4,5542 4,9315 5,1012 5,1193 5,0431 4,9041 4,7196 4,5125 4,3223 4,2050 4,2201 4,3969 4,7019 5,0414 5,3145 5,4725 5,5263 5,5066 5,4419 5,3636 5,2990 5,2566 5,2221 5,1640 5,0474 4,8614 4,6475 4,5003 4,5244 4,7684 5,1932 5,6983 6,1646 6,4777 6,5509 6,3550 5,9208 5,3056 4,5701 3,7791 3,0063 2,3388 1,8623 1,6158 1,5536
