Fp1   2,6267 2,6407 2,6347 2,5899 2,4899 2,3293 2,1145 1,8572 1,5695 1,2633 0,9529 0,6571 0,3965 0,1845 0,0215 -0,1023 -0,1979 -0,2739 -0,3390 -0,4009 -0,4582 -0,4984 -0,5037 -0,4567 -0,3441 -0,1659 0,0582 0,2949 0,5102 0,6815 0,7997 0,8644 0,8760 0,8333 0,7342 0,5749 0,3535 0,0759 -0,2440 -0,5939 -0,9689 -1,3646 -1,7682 -2,1597 -2,5248 -2,8650 -3,1939 -3,5248 -3,8575 -4,1786 -4,4713 -4,7263 -4,9414 -5,1145 -5,2392 -5,3066 -5,3102 -5,2503 -5,1334 -4,9690 -4,7665 -4,5357 -4,2884 -4,0416 -3,8177 -3,6405 -3,5279 -3,4859 -3,5068 -3,5672 -3,6307 -3,6569 -3,6153 -3,4965 -3,3130 -3,0882 -2,8460 -2,6135 -2,4244 -2,3092 -2,2815 -2,3367 -2,4585 -2,6220 -2,7924 -2,9287 -2,9965 -2,9806 -2,8885 -2,7466 -2,5897 -2,4515 -2,3595 -2,3342 -2,3863 -2,5164 -2,7239 -3,0147 -3,3971 -3,8700 -4,4167 -5,0072 -5,6084 -6,1940 -6,7464 -7,2530 -7,7053 -8,0994 -8,4384 -8,7343 -9,0084 -9,2833 -9,5721 -9,8755 -10,1860 -10,4943 -10,7949 -11,0891 -11,3765 -11,6401 -11,8414 -11,9310 -11,8627 -11,6055 -11,1474 -10,4926 -9,6575 -8,6681 -7,5587 -6,3714 -5,1501 -3,9291 -2,7277 -1,5541 -0,4100 0,7045 1,7840 2,8142 3,7751 4,6424 5,3868 5,9787 6,3992 6,6479 6,7468 6,7369 6,6637 6,5567 6,4222 6,2494 6,0188 5,7090 5,3051 4,8086 4,2396 3,6288 3,0086 2,4065 1,8432 1,3334 0,8856 0,4990 0,1605 -0,1495 -0,4444 -0,7211 -0,9658 -1,1678 -1,3296 -1,4645 -1,5877 -1,7080 -1,8266 -1,9399 -2,0430 -2,1341 -2,2218 -2,3219 -2,4448 -2,5919 -2,7653 -2,9754 -3,2332 -3,5386 -3,8779 -4,2315 -4,5826 -4,9206 -5,2438 -5,5627 -5,8990 -6,2723 -6,6859 -7,1273 -7,5783 -8,0247 -8,4589 -8,8756 -9,2640 -9,6073 -9,8919 -10,1145 -10,2800 -10,3984 -10,4866 -10,5675 -10,6601 -10,7726 -10,9025 -11,0460 -11,2019 -11,3664 -11,5250 -11,6522 -11,7172 -11,6947 -11,5770 -11,3781 -11,1265 -10,8556 -10,5975 -10,3778 -10,2091 -10,0862 -9,9900 -9,8948 -9,7771 -9,6225 -9,4257 -9,1854 -8,9016 -8,5788 -8,2295 -7,8719 -7,5199 -7,1795 -6,8571 -6,5662 -6,3244 -6,1471 -6,0419 -6,0028 -6,0078 -6,0228 -6,0095 -5,9342 -5,7756 -5,5272 -5,1932 -4,7897 -4,3489 -3,9127 -3,5155 -3,1762 -2,8986 -2,6748 -2,4893 -2,3237 -2,1639 -2,0078 -1,8699 -1,7762 -1,7487 -1,7906 -1,8855 -2,0086 -2,1420 -2,2822 -2,4399 -2,6299 -2,8578 -3,1139 -3,3788 -3,6320 -3,8554 -4,0320 -4,1476 -4,1946 -4,1763 -4,1032 -3,9827 -3,8106 -3,5784 -3,2886 -2,9617 -2,6275 -2,3126 -2,0325 -1,7910 -1,5847 -1,4098 -1,2652 -1,1485 -1,0522 -0,9633 -0,8704 -0,7734 -0,6842 -0,6184 -0,5876 -0,5973 -0,6487 -0,7402 -0,8642 -1,0015 -1,1240 -1,2025 -1,2114 -1,1365 -0,9841 -0,7743 -0,5242 -0,2391 0,0772 0,4097 0,7324 1,0199 1,2521 1,4124 1,4904 1,4896 1,4311 1,3459 1,2619 1,1924 1,1360 1,0876 1,0472 1,0199 1,0120 1,0258 1,0571 1,0994 1,1509 1,2173 1,3051 1,4155 1,5421 1,6715 1,7868 1,8737 1,9274 1,9544 1,9655 1,9712 1,9800 1,9921 1,9946 1,9658 1,8885 1,7648 1,6166 1,4714 1,3481 1,2513 1,1735 1,1006 1,0168 0,9086 0,7704 0,6102 0,4498 0,3171 0,2358 0,2164 0,2524 0,3191 0,3788 0,3959 0,3496 0,2348 0,0566 -0,1708 -0,4301 -0,7087 -0,9998 -1,2992 -1,6025 -1,8998 -2,1679 -2,3724 -2,4776 -2,4595 -2,3124 -2,0458 -1,6785 -1,2385 -0,7631 -0,2931 0,1379 0,5092 0,8112 1,0407 1,1999 1,2979 1,3496 1,3711 1,3733 1,3620 1,3398 1,3070 1,2608 1,1979 1,1197 1,0400 0,9873 0,9917 1,0665 1,2018 1,3744 1,5612 1,7491 1,9366 2,1281 2,3254 2,5220 2,7006 2,8364 2,9075 2,9063 2,8456 2,7542 2,6668 2,6098 2,5915 2,6062 2,6465 2,7118 2,8049 2,9252 3,0677 3,2273 3,3978 3,5713 3,7378 3,8850 3,9960 4,0535 4,0466 3,9731 3,8372 3,6483 3,4241 3,1895 2,9708 2,7869 2,6461 2,5506 2,4986 2,4855 2,5059 2,5529 2,6156 2,6784 2,7249 2,7427 2,7300 2,6994 2,6727 2,6656 2,6796 2,7084 2,7507 2,8154 2,9129 3,0450 3,2039 3,3817 3,5755 3,7836 4,0001 4,2191 4,4415 4,6698 4,9013 5,1294 5,3455 5,5354 5,6772 5,7460 5,7231 5,6008 5,3789 5,0573 4,6365 4,1252 3,5424 2,9149 2,2782 1,6742 1,1427 0,7135 0,4026 0,2123 0,1331 0,1506 0,2524 0,4294 0,6754 0,9839 1,3474 1,7597 2,2197 2,7339 3,3183 3,9972 4,7921 5,7092 6,7341 7,8345 8,9697 10,1043 11,2197 12,3132 13,3809 14,4028 15,3434 16,1635 16,8285 17,3131 17,6062 17,7140 17,6538 17,4442 17,1058 16,6690 16,1714 15,6463 15,1126 14,5758 14,0318 13,4707 12,8834 12,2709 11,6456 11,0242 10,4227 9,8539 9,3256 8,8379 8,3859 7,9671 7,5830 7,2333 6,9143 6,6165 6,3216 6,0062 5,6555 5,2704 4,8649 4,4621 4,0942 3,7968 3,5940 3,4880 3,4603 3,4834 3,5332 3,5963 3,6701 3,7622 3,8850 4,0456 4,2390 4,4479 4,6477 4,8110 4,9112 4,9224 4,8214 4,5976 4,2619 3,8411 3,3625 2,8429 2,2897 1,7074 1,1051 0,5000 -0,0825 -0,6147 -1,0725 -1,4412 -1,7170 -1,9074 -2,0288 -2,1024 -2,1474 -2,1740 -2,1797 -2,1499 -2,0619 -1,8931 -1,6273 -1,2559 -0,7796 -0,2136 0,4084 1,0386
Fz    3,6534 3,6488 3,6056 3,5129 3,3600 3,1423 2,8643 2,5376 2,1788 1,8056 1,4327 1,0693 0,7204 0,3877 0,0697 -0,2333 -0,5119 -0,7509 -0,9402 -1,0792 -1,1681 -1,1981 -1,1506 -1,0009 -0,7300 -0,3384 0,1504 0,6946 1,2392 1,7258 2,1055 2,3436 2,4177 2,3202 2,0639 1,6782 1,1947 0,6378 0,0242 -0,6347 -1,3292 -2,0454 -2,7642 -3,4646 -4,1295 -4,7478 -5,3168 -5,8458 -6,3525 -6,8528 -7,3538 -7,8485 -8,3106 -8,6983 -8,9698 -9,0946 -9,0575 -8,8640 -8,5450 -8,1471 -7,7126 -7,2662 -6,8215 -6,3945 -6,0103 -5,6970 -5,4749 -5,3498 -5,3112 -5,3319 -5,3725 -5,3889 -5,3377 -5,1859 -4,9235 -4,5659 -4,1461 -3,7100 -3,3122 -3,0028 -2,8163 -2,7657 -2,8387 -2,9973 -3,1863 -3,3496 -3,4483 -3,4723 -3,4384 -3,3817 -3,3442 -3,3607 -3,4531 -3,6312 -3,8910 -4,2199 -4,6110 -5,0684 -5,5984 -6,1971 -6,8469 -7,5213 -8,1928 -8,8373 -9,4328 -9,9582 -10,4002 -10,7618 -11,0612 -11,3246 -11,5787 -11,8435 -12,1254 -12,4179 -12,7110 -13,0013 -13,2939 -13,5967 -13,9078 -14,2074 -14,4615 -14,6291 -14,6657 -14,5287 -14,1841 -13,6109 -12,8044 -11,7784 -10,5639 -9,2059 -7,7557 -6,2601 -4,7564 -3,2778 -1,8586 -0,5306 0,6813 1,7606 2,6962 3,4767 4,0867 4,5106 4,7422 4,7938 4,6992 4,5077 4,2660 4,0012 3,7150 3,3948 3,0243 2,5901 2,0875 1,5288 0,9426 0,3653 -0,1707 -0,6452 -1,0525 -1,3964 -1,6851 -1,9280 -2,1336 -2,3042 -2,4295 -2,4909 -2,4739 -2,3790 -2,2254 -2,0471 -1,8804 -1,7463 -1,6443 -1,5599 -1,4777 -1,3924 -1,3147 -1,2701 -1,2854 -1,3805 -1,5685 -1,8566 -2,2429 -2,7134 -3,2452 -3,8146 -4,4032 -4,9964 -5,5831 -6,1622 -6,7438 -7,3348 -7,9257 -8,4919 -9,0044 -9,4414 -9,7966 -10,0745 -10,2773 -10,4033 -10,4583 -10,4568 -10,4150 -10,3504 -10,2895 -10,2679 -10,3212 -10,4716 -10,7183 -11,0449 -11,4328 -11,8624 -12,3044 -12,7162 -13,0515 -13,2762 -13,3857 -13,4095 -13,3971 -13,3993 -13,4562 -13,5909 -13,8022 -14,0659 -14,3432 -14,5940 -14,7884 -14,9132 -14,9701 -14,9699 -14,9239 -14,8337 -14,6881 -14,4701 -14,1699 -13,7960 -13,3772 -12,9543 -12,5677 -12,2475 -12,0052 -11,8283 -11,6823 -11,5197 -11,2906 -10,9573 -10,5074 -9,9526 -9,3181 -8,6370 -7,9511 -7,3053 -6,7355 -6,2642 -5,8980 -5,6262 -5,4252 -5,2697 -5,1419 -5,0382 -4,9717 -4,9619 -5,0172 -5,1261 -5,2615 -5,3941 -5,5097 -5,6177 -5,7421 -5,9016 -6,0964 -6,3069 -6,5022 -6,6498 -6,7246 -6,7179 -6,6381 -6,5027 -6,3277 -6,1216 -5,8827 -5,6006 -5,2650 -4,8773 -4,4546 -4,0252 -3,6183 -3,2561 -2,9499 -2,7046 -2,5230 -2,4064 -2,3501 -2,3409 -2,3600 -2,3914 -2,4265 -2,4617 -2,4931 -2,5179 -2,5363 -2,5477 -2,5465 -2,5196 -2,4453 -2,2970 -2,0510 -1,6889 -1,2026 -0,6034 0,0781 0,8062 1,5509 2,2842 2,9714 3,5730 4,0541 4,3866 4,5500 4,5373 4,3611 4,0524 3,6582 3,2346 2,8345 2,4955 2,2350 2,0483 1,9129 1,8017 1,6950 1,5889 1,5003 1,4630 1,5117 1,6658 1,9192 2,2398 2,5797 2,8929 3,1493 3,3405 3,4762 3,5746 3,6549 3,7336 3,8170 3,8988 3,9639 3,9959 3,9872 3,9428 3,8776 3,8105 3,7586 3,7300 3,7183 3,7037 3,6635 3,5850 3,4708 3,3350 3,1980 3,0820 3,0039 2,9648 2,9424 2,8980 2,7930 2,6029 2,3194 1,9477 1,5028 1,0015 0,4563 -0,1233 -0,7280 -1,3449 -1,9545 -2,5291 -3,0325 -3,4246 -3,6726 -3,7616 -3,6937 -3,4844 -3,1637 -2,7760 -2,3715 -1,9935 -1,6697 -1,4115 -1,2196 -1,0874 -0,9991 -0,9294 -0,8526 -0,7540 -0,6329 -0,5019 -0,3845 -0,3078 -0,2877 -0,3176 -0,3701 -0,4109 -0,4141 -0,3709 -0,2837 -0,1568 0,0062 0,2040 0,4400 0,7222 1,0553 1,4312 1,8249 2,1962 2,5020 2,7158 2,8404 2,9030 2,9421 2,9917 3,0715 3,1863 3,3343 3,5094 3,6981 3,8823 4,0454 4,1785 4,2842 4,3749 4,4646 4,5587 4,6467 4,7013 4,6863 4,5661 4,3131 3,9173 3,3968 2,7984 2,1854 1,6204 1,1490 0,7919 0,5475 0,4006 0,3345 0,3400 0,4171 0,5688 0,7908 1,0669 1,3714 1,6781 1,9669 2,2232 2,4349 2,6002 2,7337 2,8580 2,9883 3,1255 3,2626 3,3941 3,5147 3,6125 3,6732 3,6966 3,7032 3,7208 3,7671 3,8463 3,9539 4,0753 4,1816 4,2310 4,1808 4,0021 3,6843 3,2344 2,6787 2,0583 1,4158 0,7866 0,2041 -0,2964 -0,6835 -0,9333 -1,0254 -0,9474 -0,7081 -0,3397 0,1139 0,6113 1,1201 1,6188 2,0994 2,5709 3,0576 3,5910 4,2041 4,9285 5,7853 6,7749 7,8753 9,0464 10,2415 11,4228 12,5735 13,6966 14,7983 15,8657 16,8614 17,7348 18,4376 18,9299 19,1865 19,2024 18,9934 18,5934 18,0541 17,4434 16,8308 16,2662 15,7676 15,3237 14,9040 14,4714 13,9986 13,4788 12,9240 12,3551 11,7901 11,2353 10,6856 10,1308 9,5643 8,9929 8,4359 7,9153 7,4492 7,0453 6,6956 6,3761 6,0572 5,7162 5,3468 4,9649 4,6070 4,3137 4,1088 3,9929 3,9497 3,9525 3,9715 3,9798 3,9617 3,9228 3,8878 3,8831 3,9192 3,9891 4,0762 4,1584 4,2096 4,1982 4,0881 3,8469 3,4607 2,9400 2,3108 1,5994 0,8238 0,0004 -0,8422 -1,6601 -2,4071 -3,0510 -3,5753 -3,9701 -4,2284 -4,3486 -4,3397 -4,2258 -4,0444 -3,8309 -3,6048 -3,3670 -3,1059 -2,8054 -2,4479 -2,0144 -1,4880 -0,8640 -0,1549 0,6105
F3    2,6545 2,7307 2,7881 2,8121 2,7927 2,7254 2,6094 2,4441 2,2298 1,9724 1,6888 1,4040 1,1403 0,9067 0,6997 0,5145 0,3542 0,2262 0,1342 0,0743 0,0406 0,0310 0,0518 0,1182 0,2485 0,4526 0,7234 1,0341 1,3432 1,6046 1,7773 1,8297 1,7407 1,5044 1,1340 0,6592 0,1184 -0,4528 -1,0310 -1,6085 -2,1880 -2,7707 -3,3463 -3,8941 -4,3930 -4,8310 -5,2098 -5,5457 -5,8626 -6,1803 -6,5063 -6,8361 -7,1527 -7,4294 -7,6376 -7,7568 -7,7803 -7,7149 -7,5736 -7,3668 -7,1023 -6,7921 -6,4581 -6,1337 -5,8574 -5,6603 -5,5567 -5,5412 -5,5892 -5,6591 -5,6977 -5,6537 -5,4960 -5,2254 -4,8696 -4,4672 -4,0555 -3,6680 -3,3359 -3,0857 -2,9349 -2,8889 -2,9366 -3,0495 -3,1854 -3,2983 -3,3508 -3,3255 -3,2313 -3,1010 -2,9807 -2,9154 -2,9373 -3,0632 -3,2915 -3,6048 -3,9805 -4,4007 -4,8523 -5,3247 -5,8089 -6,2955 -6,7706 -7,2174 -7,6218 -7,9763 -8,2802 -8,5376 -8,7563 -8,9485 -9,1335 -9,3337 -9,5652 -9,8316 -10,1275 -10,4438 -10,7749 -11,1216 -11,4822 -11,8396 -12,1570 -12,3832 -12,4608 -12,3406 -11,9940 -11,4157 -10,6198 -9,6352 -8,5033 -7,2745 -5,9997 -4,7191 -3,4571 -2,2242 -1,0220 0,1496 1,2813 2,3514 3,3320 4,1968 4,9209 5,4817 5,8668 6,0807 6,1469 6,1041 5,9936 5,8414 5,6501 5,4043 5,0804 4,6554 4,1169 3,4754 2,7672 2,0412 1,3378 0,6782 0,0700 -0,4801 -0,9599 -1,3569 -1,6674 -1,9007 -2,0729 -2,1995 -2,2937 -2,3668 -2,4261 -2,4749 -2,5147 -2,5450 -2,5613 -2,5583 -2,5340 -2,4932 -2,4498 -2,4253 -2,4419 -2,5179 -2,6689 -2,9060 -3,2288 -3,6222 -4,0626 -4,5267 -4,9953 -5,4556 -5,9034 -6,3448 -6,7931 -7,2558 -7,7235 -8,1722 -8,5728 -8,9041 -9,1604 -9,3502 -9,4873 -9,5865 -9,6661 -9,7461 -9,8405 -9,9530 -10,0819 -10,2300 -10,4071 -10,6218 -10,8718 -11,1490 -11,4472 -11,7587 -12,0636 -12,3297 -12,5241 -12,6263 -12,6351 -12,5662 -12,4440 -12,2938 -12,1414 -12,0130 -11,9299 -11,9014 -11,9218 -11,9714 -12,0199 -12,0375 -12,0041 -11,9087 -11,7436 -11,5041 -11,1949 -10,8326 -10,4377 -10,0262 -9,6129 -9,2154 -8,8520 -8,5341 -8,2634 -8,0297 -7,8100 -7,5749 -7,2988 -6,9681 -6,5816 -6,1487 -5,6829 -5,1984 -4,7123 -4,2441 -3,8083 -3,4107 -3,0485 -2,7107 -2,3830 -2,0574 -1,7402 -1,4529 -1,2281 -1,0983 -1,0817 -1,1727 -1,3443 -1,5606 -1,7908 -2,0176 -2,2372 -2,4555 -2,6781 -2,9024 -3,1164 -3,3056 -3,4580 -3,5631 -3,6105 -3,5943 -3,5168 -3,3870 -3,2103 -2,9818 -2,6944 -2,3524 -1,9775 -1,6033 -1,2640 -0,9831 -0,7680 -0,6143 -0,5160 -0,4699 -0,4731 -0,5178 -0,5885 -0,6667 -0,7409 -0,8099 -0,8752 -0,9324 -0,9699 -0,9766 -0,9510 -0,9002 -0,8280 -0,7255 -0,5738 -0,3518 -0,0455 0,3408 0,7843 1,2536 1,7212 2,1650 2,5623 2,8882 3,1200 3,2411 3,2423 3,1241 2,9021 2,6066 2,2737 1,9361 1,6180 1,3338 1,0895 0,8858 0,7199 0,5872 0,4829 0,4050 0,3589 0,3594 0,4246 0,5639 0,7684 1,0130 1,2661 1,4996 1,6946 1,8467 1,9641 2,0602 2,1438 2,2153 2,2658 2,2825 2,2553 2,1829 2,0771 1,9611 1,8603 1,7919 1,7592 1,7520 1,7529 1,7458 1,7209 1,6755 1,6125 1,5415 1,4747 1,4214 1,3822 1,3460 1,2908 1,1895 1,0196 0,7683 0,4324 0,0175 -0,4592 -0,9744 -1,5077 -2,0443 -2,5719 -3,0781 -3,5455 -3,9462 -4,2459 -4,4137 -4,4330 -4,3044 -4,0430 -3,6748 -3,2345 -2,7634 -2,3049 -1,8964 -1,5594 -1,2998 -1,1162 -1,0055 -0,9634 -0,9829 -1,0517 -1,1531 -1,2711 -1,3980 -1,5366 -1,6935 -1,8661 -2,0341 -2,1616 -2,2106 -2,1565 -1,9977 -1,7522 -1,4481 -1,1133 -0,7656 -0,4121 -0,0578 0,2838 0,5893 0,8306 0,9794 1,0137 0,9300 0,7507 0,5201 0,2890 0,0963 -0,0396 -0,1166 -0,1360 -0,0934 0,0169 0,1928 0,4221 0,6905 0,9841 1,2884 1,5857 1,8547 2,0687 2,1978 2,2169 2,1154 1,8987 1,5845 1,1998 0,7795 0,3633 -0,0123 -0,3228 -0,5592 -0,7244 -0,8265 -0,8745 -0,8768 -0,8409 -0,7735 -0,6804 -0,5682 -0,4429 -0,3090 -0,1703 -0,0359 0,0822 0,1798 0,2660 0,3568 0,4649 0,5942 0,7395 0,8906 1,0386 1,1761 1,2982 1,4084 1,5204 1,6502 1,8067 1,9892 2,1854 2,3685 2,4997 2,5415 2,4710 2,2849 1,9935 1,6111 1,1494 0,6202 0,0395 -0,5698 -1,1752 -1,7372 -2,2169 -2,5827 -2,8129 -2,8970 -2,8394 -2,6571 -2,3764 -2,0259 -1,6292 -1,1990 -0,7372 -0,2392 0,3010 0,8903 1,5416 2,2746 3,1066 4,0391 5,0550 6,1251 7,2151 8,2924 9,3333 10,3239 11,2528 12,1029 12,8527 13,4840 13,9859 14,3541 14,5885 14,6938 14,6812 14,5661 14,3666 14,1027 13,7929 13,4474 13,0638 12,6337 12,1512 11,6154 11,0307 10,4069 9,7599 9,1094 8,4783 7,8886 7,3547 6,8765 6,4412 6,0335 5,6452 5,2751 4,9243 4,5917 4,2681 3,9374 3,5845 3,2056 2,8087 2,4096 2,0318 1,7043 1,4492 1,2692 1,1469 1,0568 0,9797 0,9112 0,8628 0,8587 0,9253 1,0754 1,2986 1,5648 1,8336 2,0663 2,2312 2,3003 2,2482 2,0600 1,7417 1,3180 0,8216 0,2823 -0,2751 -0,8278 -1,3529 -1,8294 -2,2416 -2,5826 -2,8542 -3,0661 -3,2335 -3,3731 -3,4954 -3,6000 -3,6771 -3,7098 -3,6764 -3,5506 -3,3029 -2,9075 -2,3526 -1,6463 -0,8143 0,1017 1,0469 1,9586
F7    2,0245 2,0169 2,0254 2,0298 2,0039 1,9360 1,8327 1,7104 1,5867 1,4738 1,3752 1,2894 1,2108 1,1295 1,0350 0,9251 0,8079 0,6944 0,5897 0,4964 0,4214 0,3762 0,3695 0,4045 0,4796 0,5891 0,7213 0,8588 0,9796 1,0611 1,0865 1,0466 0,9359 0,7508 0,4894 0,1508 -0,2603 -0,7249 -1,2095 -1,6809 -2,1178 -2,5110 -2,8578 -3,1599 -3,4259 -3,6739 -3,9245 -4,1884 -4,4599 -4,7202 -4,9488 -5,1366 -5,2879 -5,4127 -5,5157 -5,5897 -5,6171 -5,5814 -5,4762 -5,3013 -5,0577 -4,7522 -4,4050 -4,0551 -3,7502 -3,5298 -3,4157 -3,4130 -3,5083 -3,6683 -3,8417 -3,9726 -4,0193 -3,9666 -3,8204 -3,5976 -3,3254 -3,0450 -2,8022 -2,6304 -2,5388 -2,5166 -2,5432 -2,5942 -2,6445 -2,6710 -2,6546 -2,5872 -2,4795 -2,3582 -2,2511 -2,1775 -2,1500 -2,1792 -2,2689 -2,4116 -2,5962 -2,8153 -3,0660 -3,3517 -3,6815 -4,0586 -4,4747 -4,9149 -5,3689 -5,8349 -6,3136 -6,7943 -7,2512 -7,6570 -8,0020 -8,2997 -8,5750 -8,8507 -9,1400 -9,4419 -9,7416 -10,0182 -10,2503 -10,4158 -10,4894 -10,4408 -10,2384 -9,8608 -9,3080 -8,6026 -7,7789 -6,8686 -5,8959 -4,8779 -3,8234 -2,7360 -1,6269 -0,5213 0,5505 1,5667 2,5170 3,3997 4,2151 4,9551 5,5974 6,1131 6,4810 6,6951 6,7657 6,7186 6,5890 6,4058 6,1841 5,9293 5,6417 5,3170 4,9503 4,5436 4,1066 3,6486 3,1714 2,6723 2,1513 1,6223 1,1144 0,6590 0,2717 -0,0530 -0,3328 -0,5878 -0,8366 -1,0899 -1,3448 -1,5866 -1,7970 -1,9625 -2,0782 -2,1481 -2,1839 -2,2057 -2,2408 -2,3127 -2,4307 -2,5909 -2,7865 -3,0137 -3,2662 -3,5306 -3,7956 -4,0588 -4,3229 -4,5876 -4,8492 -5,1086 -5,3767 -5,6653 -5,9764 -6,3040 -6,6414 -6,9842 -7,3323 -7,6858 -8,0351 -8,3623 -8,6543 -8,9107 -9,1409 -9,3536 -9,5520 -9,7383 -9,9197 -10,1050 -10,2948 -10,4798 -10,6478 -10,7833 -10,8605 -10,8489 -10,7298 -10,5120 -10,2317 -9,9347 -9,6546 -9,4018 -9,1681 -8,9415 -8,7204 -8,5205 -8,3641 -8,2549 -8,1627 -8,0392 -7,8443 -7,5586 -7,1806 -6,7223 -6,2089 -5,6751 -5,1511 -4,6530 -4,1926 -3,7884 -3,4616 -3,2240 -3,0678 -2,9630 -2,8657 -2,7394 -2,5714 -2,3680 -2,1388 -1,8863 -1,6077 -1,3047 -0,9915 -0,6897 -0,4135 -0,1610 0,0827 0,3367 0,6156 0,9249 1,2593 1,6001 1,9147 2,1647 2,3189 2,3650 2,3127 2,1855 2,0089 1,8024 1,5763 1,3349 1,0810 0,8201 0,5624 0,3192 0,1017 -0,0770 -0,2041 -0,2737 -0,2883 -0,2503 -0,1518 0,0219 0,2749 0,5855 0,9088 1,1964 1,4143 1,5547 1,6358 1,6902 1,7464 1,8154 1,8893 1,9504 1,9867 1,9999 1,9961 1,9754 1,9349 1,8777 1,8123 1,7469 1,6824 1,6105 1,5216 1,4143 1,2984 1,1933 1,1189 1,0837 1,0822 1,1074 1,1639 1,2610 1,3936 1,5405 1,6789 1,7945 1,8801 1,9313 1,9469 1,9312 1,8938 1,8445 1,7878 1,7218 1,6419 1,5421 1,4163 1,2656 1,1037 0,9539 0,8427 0,7949 0,8274 0,9408 1,1193 1,3361 1,5592 1,7561 1,8988 1,9699 1,9679 1,9051 1,8006 1,6719 1,5277 1,3683 1,1927 1,0047 0,8162 0,6407 0,4813 0,3290 0,1699 -0,0052 -0,1943 -0,3822 -0,5497 -0,6844 -0,7820 -0,8395 -0,8564 -0,8385 -0,7975 -0,7463 -0,6969 -0,6648 -0,6688 -0,7239 -0,8395 -1,0185 -1,2536 -1,5320 -1,8455 -2,1899 -2,5587 -2,9415 -3,3179 -3,6488 -3,8806 -3,9661 -3,8863 -3,6540 -3,3034 -2,8779 -2,4219 -1,9750 -1,5692 -1,2253 -0,9463 -0,7209 -0,5337 -0,3745 -0,2418 -0,1430 -0,0868 -0,0751 -0,1034 -0,1673 -0,2675 -0,4077 -0,5846 -0,7787 -0,9579 -1,0924 -1,1668 -1,1811 -1,1441 -1,0651 -0,9470 -0,7832 -0,5643 -0,2905 0,0207 0,3381 0,6252 0,8434 0,9589 0,9556 0,8458 0,6657 0,4589 0,2606 0,0901 -0,0460 -0,1425 -0,1850 -0,1565 -0,0543 0,1079 0,3160 0,5643 0,8495 1,1577 1,4593 1,7151 1,8888 1,9608 1,9368 1,8402 1,6952 1,5198 1,3309 1,1453 0,9737 0,8184 0,6796 0,5589 0,4585 0,3785 0,3138 0,2564 0,2030 0,1556 0,1155 0,0850 0,0733 0,0924 0,1463 0,2284 0,3290 0,4418 0,5676 0,7125 0,8808 1,0726 1,2860 1,5199 1,7708 2,0317 2,2941 2,5498 2,7913 3,0143 3,2188 3,4008 3,5435 3,6218 3,6180 3,5328 3,3806 3,1774 2,9297 2,6304 2,2647 1,8219 1,3055 0,7395 0,1652 -0,3726 -0,8385 -1,2068 -1,4609 -1,5972 -1,6276 -1,5720 -1,4448 -1,2436 -0,9534 -0,5607 -0,0645 0,5195 1,1661 1,8534 2,5703 3,3119 4,0737 4,8528 5,6512 6,4719 7,3165 8,1859 9,0776 9,9740 10,8383 11,6245 12,2955 12,8346 13,2439 13,5355 13,7230 13,8164 13,8202 13,7349 13,5629 13,3095 12,9770 12,5643 12,0795 11,5457 10,9893 10,4281 9,8710 9,3195 8,7732 8,2369 7,7226 7,2422 6,7987 6,3891 6,0131 5,6758 5,3857 5,1507 4,9699 4,8239 4,6778 4,4980 4,2667 3,9824 3,6562 3,3149 2,9992 2,7447 2,5627 2,4379 2,3434 2,2593 2,1838 2,1310 2,1247 2,1875 2,3250 2,5165 2,7235 2,9120 3,0678 3,1912 3,2774 3,3061 3,2527 3,1071 2,8791 2,5888 2,2538 1,8834 1,4822 1,0581 0,6299 0,2256 -0,1294 -0,4248 -0,6667 -0,8710 -1,0533 -1,2192 -1,3590 -1,4526 -1,4784 -1,4200 -1,2676 -1,0170 -0,6701 -0,2381 0,2595 0,7990 1,3538 1,8962 2,3965
