Fp1   0,3094 0,2744 0,2061 0,1171 0,0179 -0,1136 -0,3085 -0,5659 -0,8329 -1,0236 -1,0799 -1,0128 -0,8769 -0,7242 -0,5799 -0,4390 -0,2858 -0,1172 0,0606 0,2536 0,4809 0,7408 0,9908 1,1692 1,2244 1,1362 0,9260 0,6455 0,3532 0,0921 -0,1284 -0,3253 -0,5095 -0,6508 -0,6891 -0,5958 -0,4076 -0,1976 -0,0350 0,0466 0,0709 0,1004 0,1725 0,2596 0,3088 0,3089 0,2947 0,2962 0,3124 0,3301 0,3451 0,3755 0,4609 0,6235 0,8163 0,9303 0,8807 0,6755 0,3926 0,1228 -0,0481 -0,0474 0,1506 0,5021 0,9131 1,2726 1,4866 1,5135 1,3705 1,1001 0,7441 0,3463 -0,0374 -0,3399 -0,5191 -0,5965 -0,6231 -0,6012 -0,4834 -0,2509 0,0461 0,3269 0,5239 0,5847 0,4636 0,1433 -0,3178 -0,7754 -1,0774 -1,1579 -1,0529 -0,8468 -0,6081 -0,3585 -0,0957 0,1594 0,3529 0,4361 0,4136 0,3613 0,3908 0,5705 0,8797 1,2435 1,5947 1,8933 2,1004 2,1675 2,0623 1,7925 1,3983 0,9366 0,4751 0,0769 -0,2322 -0,4686 -0,6630 -0,8428 -1,0226 -1,2036 -1,3827 -1,5563 -1,7191 -1,8702 -2,0081 -2,1091 -2,1276 -2,0372 -1,8645 -1,6710 -1,4895 -1,2793 -0,9570 -0,4784 0,1182 0,7333 1,2442 1,5397 1,5737 1,4142 1,2160 1,1203 1,1852 1,3897 1,6699 1,9437 2,1265 2,1650 2,0668 1,8917 1,7060 1,5443 1,4158 1,3287 1,2896 1,3009 1,3729 1,5384 1,8521 2,3448 2,9565 3,5486 3,9978 4,2570 4,3292 4,2245 3,9655 3,6079 3,2336 2,9211 2,7153 2,6061 2,5379 2,4471 2,3034 2,1420 2,0566 2,1196 2,2970 2,4568 2,4567 2,2299 1,8185 1,3405 0,9168 0,6187 0,4726 0,4981 0,7229 1,1483 1,7058 2,2549 2,6450 2,8019 2,7614 2,6235 2,4874 2,4066 2,3723 2,3374 2,2645 2,1581 2,0598 2,0148 2,0473 2,1497 2,2730 2,3316 2,2503 2,0256 1,7313 1,4617 1,2750 1,1798 1,1654 1,2276 1,3568 1,5179 1,6517 1,7002 1,6482 1,5321 1,4001 1,2871 1,2316 1,2766 1,4218 1,5988 1,7142 1,7093 1,5888 1,4072 1,2254 1,0664 0,9030 0,6818 0,3691 -0,0060 -0,3541 -0,5793 -0,6334 -0,5389 -0,3851 -0,2977 -0,3787 -0,6584 -1,0955 -1,6043 -2,0785 -2,4152 -2,5471 -2,4708 -2,2520 -2,0050 -1,8464 -1,8353 -1,9380 -2,0568 -2,1010 -2,0358 -1,8694 -1,6195 -1,3053 -0,9542 -0,5943 -0,2483 0,0631 0,3254 0,5434 0,7381 0,9277 1,1228 1,3292 1,5405 1,7260 1,8245 1,7713 1,5595 1,2619 0,9750 0,7609 0,6450 0,6364 0,7390 0,9617 1,3065 1,7199 2,0683 2,2126 2,1253 1,9079 1,6887 1,5232 1,3769 1,1847 0,9328 0,6799 0,4985 0,4108 0,3778 0,3359 0,2434 0,1133 0,0200 0,0567 0,2621 0,5837 0,9170 1,1781 1,3346 1,3713 1,2583 0,9683 0,5164 -0,0206 -0,5105 -0,8020 -0,7866 -0,4473 0,1410 0,8595 1,5842 2,1883 2,5600 2,6526 2,5092 2,2304 1,9221 1,6622 1,4896 1,4066 1,3839 1,3766 1,3550 1,3253 1,3129 1,3316 1,3805 1,4595 1,5674 1,6883 1,7909 1,8426 1,8183 1,7000 1,4767 1,1522 0,7582 0,3538 0,0102 -0,2039 -0,2428 -0,1120 0,1318 0,4146 0,6892 0,9725 1,3321 1,8170 2,4078 3,0326 3,6088 4,0674 4,3600 4,4628 4,3753 4,1128 3,7175 3,2689 2,8577 2,5432 2,3439 2,2704 2,3489 2,5940 2,9667 3,3903 3,8033 4,1672 4,4301 4,5283 4,4420 4,2384 4,0435 3,9592 3,9904 4,0595 4,0939 4,0917 4,0987 4,1463 4,2237 4,2937 4,3164 4,2616 4,1150 3,8938 3,6548 3,4703 3,3900 3,4303 3,5875 3,8490 4,1916 4,5846 4,9995 5,4113 5,7928 6,1132 6,3415 6,4512 6,4312 6,2998 6,1060 5,9100 5,7563 5,6693 5,6794 5,8147 6,0484 6,2863 6,4256 6,4172 6,2755 6,0426 5,7668 5,5123 5,3547 5,3441 5,4696 5,6568 5,8145 5,8994 5,9244 5,9049 5,8269 5,6723 5,4550 5,2287 5,0643 5,0092 5,0517 5,1203 5,1323 5,0384 4,8228 4,4957 4,0996 3,6921 3,3218 3,0436 2,9309 3,0205 3,2599 3,5434 3,7901 3,9726 4,0954 4,1696 4,2080 4,2352 4,2846 4,3776 4,5201 4,7117 4,9431 5,1898 5,4231 5,6197 5,7623 5,8360 5,8238 5,7213 5,5614 5,4062 5,3065 5,2887 5,3632 5,5138 5,6918 5,8518 5,9792 6,0629 6,0608 5,9151 5,6095 5,2042 4,8059 4,4985 4,3008 4,1825 4,1144 4,0957 4,1287 4,1776 4,1748 4,0773 3,9092 3,7420 3,6368 3,6092 3,6346 3,6731 3,7091 3,7711 3,8939 4,0490 4,1360 4,0668 3,8447 3,5530 3,3018 3,1880 3,2662 3,5264 3,9031 4,3136 4,6793 4,9162 4,9526 4,7813 4,4727 4,1306 3,8440 3,6597 3,5655 3,4981 3,3796 3,1593 2,8468 2,5244 2,3029 2,2439 2,3486 2,6045 2,9888 3,4395 3,8772 4,2560 4,5711 4,8154 4,9517 4,9463 4,8107 4,5962 4,3647 4,1526 3,9489 3,7333 3,5221 3,3498 3,2318 3,1806 3,2426 3,4937 3,9843 4,6617 5,3559 5,8781 6,1302 6,1085 5,8409 5,3743 4,7994 4,2224 3,7247 3,3793 3,2462 3,3049 3,4433 3,5681 3,7019 3,9353 4,2913 4,6706 4,9538 5,1190 5,1909 5,1232 4,8369 4,3333 3,6916 2,9983 2,3280 1,7679 1,4154 1,3290 1,4941 1,8421 2,2812 2,6970 2,9644 3,0226 2,9339 2,8215 2,7598 2,7454 2,7557 2,8127 2,9796
Fz    1,2038 0,1594 -0,8389 -1,6285 -2,0596 -2,0696 -1,7208 -1,1618 -0,5499 0,0058 0,4516 0,7719 0,9754 1,0860 1,1254 1,1003 1,0052 0,8408 0,6294 0,4122 0,2333 0,1202 0,0654 0,0321 -0,0141 -0,0820 -0,1658 -0,2640 -0,3744 -0,4714 -0,5041 -0,4250 -0,2243 0,0550 0,3362 0,5504 0,6701 0,7075 0,6784 0,5751 0,3850 0,1262 -0,1437 -0,3505 -0,4381 -0,3976 -0,2733 -0,1338 -0,0307 0,0201 0,0271 0,0138 0,0167 0,0683 0,1657 0,2665 0,3298 0,3565 0,3809 0,4309 0,5014 0,5540 0,5387 0,4313 0,2506 0,0319 -0,2064 -0,4565 -0,6975 -0,8951 -1,0173 -1,0440 -0,9724 -0,8191 -0,6187 -0,4191 -0,2536 -0,1116 0,0456 0,2275 0,3750 0,3881 0,2011 -0,1640 -0,6133 -1,0460 -1,4018 -1,6548 -1,7907 -1,8108 -1,7434 -1,6325 -1,5051 -1,3552 -1,1641 -0,9261 -0,6517 -0,3697 -0,1446 -0,0695 -0,2101 -0,5520 -1,0085 -1,4792 -1,8974 -2,2308 -2,4674 -2,6169 -2,7060 -2,7539 -2,7463 -2,6372 -2,3803 -1,9641 -1,4269 -0,8519 -0,3464 -0,0064 0,1269 0,0913 -0,0249 -0,1442 -0,2229 -0,2335 -0,1573 0,0058 0,2423 0,5378 0,8817 1,2692 1,7065 2,2075 2,7782 3,4008 4,0326 4,6174 5,0966 5,4201 5,5624 5,5316 5,3645 5,1195 4,8706 4,6915 4,6227 4,6375 4,6430 4,5341 4,2669 3,8848 3,4705 3,0856 2,7619 2,5288 2,4171 2,4389 2,5881 2,8630 3,2717 3,8066 4,4172 5,0183 5,5349 5,9378 6,2351 6,4440 6,5798 6,6586 6,6940 6,6924 6,6547 6,5859 6,5045 6,4358 6,3983 6,4012 6,4477 6,5309 6,6266 6,6941 6,6901 6,5908 6,4012 6,1499 5,8873 5,6798 5,5855 5,6354 5,8376 6,1873 6,6518 7,1411 7,5069 7,6034 7,3739 6,8886 6,2947 5,7240 5,2364 4,8375 4,5140 4,2448 4,0088 3,8029 3,6474 3,5658 3,5505 3,5457 3,4744 3,2930 3,0236 2,7362 2,5067 2,3868 2,3928 2,5053 2,6797 2,8629 3,0067 3,0797 3,0780 3,0168 2,9067 2,7435 2,5249 2,2686 2,0052 1,7632 1,5670 1,4337 1,3617 1,3264 1,2912 1,2253 1,1178 0,9884 0,8915 0,8945 1,0310 1,2723 1,5446 1,7736 1,9164 1,9618 1,9128 1,7759 1,5656 1,3075 1,0344 0,7848 0,6027 0,5266 0,5767 0,7576 1,0668 1,4872 1,9707 2,4420 2,8209 3,0487 3,1078 3,0196 2,8251 2,5726 2,3240 2,1441 2,0637 2,0611 2,0892 2,1187 2,1566 2,2364 2,3947 2,6511 2,9901 3,3529 3,6549 3,8244 3,8303 3,6813 3,4182 3,1106 2,8433 2,6821 2,6425 2,6871 2,7525 2,7817 2,7519 2,6776 2,5765 2,4368 2,2299 1,9421 1,5910 1,2263 0,9200 0,7417 0,7306 0,8794 1,1389 1,4444 1,7506 2,0527 2,3734 2,7272 3,0996 3,4571 3,7739 4,0512 4,3066 4,5417 4,7242 4,8019 4,7378 4,5425 4,2839 4,0587 3,9412 3,9462 4,0393 4,1750 4,3186 4,4474 4,5528 4,6486 4,7715 4,9604 5,2159 5,4899 5,7236 5,8870 5,9870 6,0529 6,1134 6,1735 6,2133 6,2082 6,1493 6,0368 5,8604 5,6007 5,2601 4,8835 4,5386 4,2787 4,1242 4,0733 4,1204 4,2606 4,4763 4,7245 4,9467 5,1046 5,2084 5,3114 5,4797 5,7580 6,1435 6,5769 6,9691 7,2506 7,3929 7,3926 7,2558 6,9961 6,6359 6,2167 5,8134 5,5231 5,4230 5,5362 5,8306 6,2351 6,6584 7,0151 7,2521 7,3598 7,3579 7,2704 7,1133 6,8927 6,6002 6,2185 5,7438 5,2065 4,6714 4,2205 3,9275 3,8301 3,9237 4,1864 4,6002 5,1434 5,7775 6,4425 7,0560 7,5248 7,7721 7,7633 7,5257 7,1411 6,7045 6,2837 5,9223 5,6562 5,5118 5,5012 5,6217 5,8529 6,1542 6,4690 6,7421 6,9459 7,0975 7,2434 7,4157 7,5970 7,7123 7,6549 7,3492 6,8166 6,1721 5,5469 5,0220 4,6336 4,4114 4,3883 4,5702 4,9087 5,3131 5,6934 5,9956 6,2028 6,3127 6,3252 6,2455 6,0936 5,9078 5,7249 5,5523 5,3681 5,1457 4,8678 4,5203 4,0920 3,5934 3,0757 2,6173 2,2895 2,1373 2,1832 2,4282 2,8477 3,3907 3,9795 4,5226 4,9502 5,2394 5,3984 5,4381 5,3710 5,2261 5,0491 4,8855 4,7659 4,7002 4,6832 4,7076 4,7729 4,8784 5,0106 5,1390 5,2213 5,2146 5,0958 4,8814 4,6213 4,3692 4,1614 4,0189 3,9471 3,9188 3,8745 3,7485 3,5042 3,1590 2,7811 2,4574 2,2537 2,1950 2,2744 2,4755 2,7797 3,1544 3,5487 3,9094 4,1897 4,3395 4,3100 4,0862 3,7160 3,3006 2,9504 2,7330 2,6459 2,6289 2,6109 2,5498 2,4421 2,3106 2,1889 2,1011 2,0491 2,0185 1,9919 1,9605 1,9319 1,9293 1,9743 2,0626 2,1509 2,1787 2,1068 1,9364 1,7099 1,5020 1,3934 1,4229 1,5545 1,6949 1,7513 1,6938 1,5723 1,4784 1,5014 1,7061 2,1117 2,6740 3,2915 3,8362 4,1893 4,2770 4,0999 3,7347 3,2969 2,8972 2,6209 2,5179 2,5821 2,7507 2,9503 3,1547 3,3871 3,6650 3,9586 4,2036 4,3440 4,3667 4,3058 4,2213 4,1699 4,1785 4,2300 4,2735 4,2542 4,1453 3,9486 3,6785 3,3578 3,0179 2,6783 2,3301 1,9454 1,5003 0,9942 0,4690 0,0057 -0,3312 -0,5468 -0,6935 -0,8056 -0,8769 -0,8881 -0,8221 -0,6630 -0,4163 -0,1367 0,0897 0,2026 0,2065 0,1540 0,0962 0,0487 -0,0009 -0,0614 -0,1297 -0,2096 -0,3086 -0,4092
F3    0,8456 -0,0905 -0,8543 -1,3736 -1,5883 -1,5037 -1,2018 -0,7906 -0,3546 0,0590 0,4291 0,7475 1,0170 1,2517 1,4544 1,5849 1,5730 1,3859 1,0739 0,7360 0,4564 0,2741 0,1770 0,1090 0,0075 -0,1571 -0,3815 -0,6530 -0,9439 -1,1870 -1,2959 -1,2274 -1,0214 -0,7731 -0,5610 -0,4047 -0,2838 -0,1776 -0,0902 -0,0501 -0,0742 -0,1313 -0,1492 -0,0555 0,1754 0,4886 0,7723 0,9348 0,9561 0,8660 0,6962 0,4765 0,2549 0,0831 -0,0275 -0,1065 -0,1647 -0,1605 -0,0452 0,1782 0,4459 0,6553 0,7027 0,5266 0,1306 -0,4254 -1,0417 -1,5920 -1,9585 -2,0870 -2,0046 -1,7822 -1,4925 -1,1893 -0,8987 -0,6195 -0,3334 -0,0216 0,3134 0,6321 0,8562 0,8948 0,6981 0,2948 -0,2269 -0,7727 -1,2734 -1,6700 -1,9018 -1,9399 -1,8258 -1,6478 -1,4663 -1,2812 -1,0748 -0,8481 -0,6074 -0,3601 -0,1476 -0,0553 -0,1568 -0,4404 -0,8033 -1,1210 -1,3086 -1,3311 -1,2091 -1,0305 -0,9155 -0,9361 -1,0613 -1,1822 -1,1932 -1,0463 -0,7550 -0,3923 -0,0809 0,0619 0,0080 -0,1453 -0,2464 -0,1979 0,0097 0,3361 0,7300 1,1533 1,5994 2,0760 2,5575 2,9799 3,2994 3,5394 3,7584 3,9818 4,1827 4,3185 4,3724 4,3605 4,3065 4,2240 4,1333 4,0841 4,1425 4,3476 4,6719 5,0045 5,1842 5,0949 4,7595 4,3233 3,9226 3,5786 3,2381 2,8899 2,5920 2,3938 2,3020 2,3311 2,5298 2,9322 3,4949 4,1012 4,6418 5,0878 5,4710 5,8136 6,1081 6,3493 6,5425 6,6857 6,7715 6,8173 6,8679 6,9467 7,0253 7,0605 7,0493 7,0368 7,0723 7,1587 7,2212 7,1232 6,7440 6,0787 5,2798 4,5929 4,2232 4,2438 4,6077 5,2175 5,9705 6,7522 7,4206 7,8316 7,9035 7,6698 7,2643 6,8300 6,4408 6,1151 5,8553 5,6449 5,4471 5,2383 5,0304 4,8426 4,6583 4,4240 4,0892 3,6546 3,1843 2,7725 2,4993 2,4143 2,5242 2,7756 3,0650 3,2930 3,4136 3,4332 3,3853 3,3094 3,2314 3,1494 3,0437 2,8901 2,6629 2,3560 2,0094 1,6942 1,4670 1,3462 1,3183 1,3509 1,4066 1,4633 1,5395 1,6906 1,9610 2,3331 2,7276 3,0410 3,1883 3,1293 2,8718 2,4589 1,9540 1,4247 0,9328 0,5411 0,3144 0,2989 0,4996 0,8817 1,3870 1,9425 2,4651 2,8767 3,1259 3,2073 3,1555 3,0110 2,7984 2,5342 2,2439 1,9604 1,7104 1,5096 1,3750 1,3331 1,4069 1,5948 1,8686 2,1920 2,5383 2,8896 3,2236 3,5063 3,6985 3,7708 3,7205 3,5878 3,4457 3,3579 3,3332 3,3245 3,2671 3,1124 2,8450 2,4900 2,0941 1,7041 1,3689 1,1368 1,0271 1,0186 1,0726 1,1616 1,2743 1,4056 1,5593 1,7659 2,0780 2,5334 3,1216 3,7765 4,3971 4,8888 5,1990 5,3240 5,2923 5,1442 4,9241 4,6802 4,4559 4,2808 4,1728 4,1440 4,1893 4,2686 4,3217 4,3153 4,2667 4,2210 4,2257 4,3322 4,5883 4,9978 5,4884 5,9479 6,2935 6,5018 6,5964 6,6310 6,6685 6,7471 6,8637 6,9859 7,0702 7,0667 6,9212 6,5988 6,1217 5,5796 5,0909 4,7483 4,5864 4,5909 4,7298 4,9753 5,2979 5,6489 5,9608 6,1746 6,2662 6,2567 6,2092 6,2082 6,3134 6,5125 6,7359 6,9191 7,0361 7,0824 7,0549 6,9491 6,7627 6,5048 6,2104 5,9388 5,7496 5,6839 5,7521 5,9215 6,1222 6,2846 6,3786 6,4217 6,4549 6,5108 6,5975 6,6952 6,7544 6,7043 6,4867 6,0994 5,6049 5,1018 4,6879 4,4287 4,3452 4,4376 4,7120 5,1675 5,7643 6,4109 6,9831 7,3703 7,5120 7,4110 7,1420 6,8326 6,5848 6,4130 6,2779 6,1625 6,0918 6,0970 6,1813 6,3207 6,4804 6,6216 6,7111 6,7425 6,7467 6,7699 6,8359 6,9313 7,0132 7,0171 6,8805 6,5923 6,2047 5,7803 5,3620 5,0021 4,7853 4,7943 5,0553 5,5142 6,0550 6,5468 6,8939 7,0562 7,0375 6,8774 6,6509 6,4414 6,2964 6,2090 6,1368 6,0336 5,8639 5,6020 5,2407 4,8046 4,3516 3,9596 3,6950 3,5817 3,6028 3,7276 3,9252 4,1703 4,4508 4,7535 5,0453 5,2999 5,5206 5,7058 5,8134 5,7841 5,5866 5,2384 4,8050 4,3950 4,1265 4,0743 4,2522 4,6331 5,1557 5,7118 6,1617 6,3908 6,3612 6,1160 5,7448 5,3451 4,9987 4,7517 4,6041 4,5181 4,4349 4,2909 4,0379 3,6656 3,2128 2,7556 2,3791 2,1534 2,1241 2,3140 2,7216 3,3045 3,9646 4,5795 5,0687 5,4073 5,5780 5,5493 5,3061 4,8782 4,3408 3,7904 3,3086 2,9328 2,6537 2,4433 2,2795 2,1446 2,0212 1,9062 1,8157 1,7705 1,7759 1,8110 1,8427 1,8568 1,8698 1,9168 2,0264 2,1923 2,3787 2,5621 2,7599 3,0163 3,3723 3,8324 4,3306 4,7215 4,8201 4,4928 3,7538 2,7881 1,8804 1,3184 1,3040 1,8864 2,9506 4,2543 5,4909 6,3795 6,7570 6,6161 6,0636 5,2539 4,3650 3,5971 3,1243 2,9999 3,1269 3,3528 3,5916 3,8501 4,1622 4,5256 4,8904 5,1842 5,3495 5,3738 5,3109 5,2691 5,3392 5,5126 5,6900 5,7818 5,7799 5,7162 5,5769 5,2985 4,8394 4,2379 3,6101 3,0757 2,6531 2,2443 1,7714 1,2980 0,9518 0,7784 0,7512 0,8550 1,0783 1,3707 1,6874 2,0475 2,4819 2,9336 3,2612 3,3442 3,1813 2,8977 2,6469 2,4882 2,3706 2,2362 2,0824 1,9230 1,7826 1,7364
F7    1,5497 1,2371 0,8810 0,5257 0,2161 0,0112 -0,0576 -0,0079 0,1172 0,2678 0,3978 0,4842 0,5184 0,4750 0,3288 0,1157 -0,0608 -0,1053 0,0036 0,2135 0,4287 0,5486 0,5152 0,3428 0,0926 -0,1839 -0,4667 -0,7422 -0,9947 -1,2192 -1,4042 -1,4939 -1,3995 -1,0742 -0,5662 0,0155 0,5665 1,0033 1,2604 1,3094 1,1708 0,8909 0,5125 0,0720 -0,3864 -0,8038 -1,1199 -1,3006 -1,3569 -1,3281 -1,2442 -1,1116 -0,9216 -0,6664 -0,3726 -0,1171 0,0183 0,0197 -0,0402 -0,0630 -0,0066 0,0908 0,1522 0,1231 0,0065 -0,1559 -0,3360 -0,5356 -0,7497 -0,9377 -1,0427 -1,0323 -0,9259 -0,7778 -0,6399 -0,5442 -0,4892 -0,4268 -0,3109 -0,1685 -0,0838 -0,1217 -0,2973 -0,5968 -0,9848 -1,3924 -1,7325 -1,9499 -2,0552 -2,0947 -2,0908 -2,0305 -1,9056 -1,7333 -1,5325 -1,3113 -1,0827 -0,8623 -0,6501 -0,4270 -0,1874 0,0209 0,1178 0,0575 -0,1498 -0,4640 -0,8379 -1,2219 -1,5636 -1,8266 -2,0266 -2,2194 -2,4195 -2,5536 -2,5092 -2,2124 -1,6659 -0,9575 -0,2533 0,2577 0,4616 0,3724 0,1036 -0,1939 -0,3953 -0,4455 -0,3646 -0,2102 -0,0110 0,2678 0,6721 1,1814 1,7249 2,2672 2,8335 3,4360 3,9949 4,3573 4,4049 4,1322 3,6300 3,0292 2,4528 1,9739 1,6116 1,3777 1,2974 1,3543 1,4439 1,4320 1,2770 1,0935 1,0743 1,3316 1,8203 2,3971 2,9125 3,2659 3,4257 3,4180 3,3020 3,1518 3,0286 2,9472 2,8870 2,8437 2,8434 2,8995 2,9845 3,0570 3,0967 3,1021 3,0815 3,0681 3,1172 3,2470 3,4032 3,5161 3,5649 3,5708 3,5812 3,6776 3,9464 4,3994 4,9341 5,3911 5,6580 5,7209 5,6264 5,4172 5,1221 4,7833 4,4539 4,1687 3,9323 3,7298 3,5372 3,3291 3,0817 2,7687 2,3807 1,9649 1,6140 1,3932 1,2983 1,2981 1,3834 1,5503 1,7625 1,9533 2,0551 2,0283 1,8665 1,5777 1,1846 0,7662 0,4671 0,4163 0,6349 1,0493 1,5635 2,0844 2,5167 2,7913 2,8997 2,8856 2,8062 2,6961 2,5574 2,3796 2,1631 1,9179 1,6527 1,3844 1,1453 0,9722 0,8886 0,8869 0,9255 0,9469 0,9101 0,8215 0,7402 0,7349 0,8341 1,0191 1,2546 1,5135 1,7685 1,9716 2,0584 1,9798 1,7364 1,3981 1,0962 0,9791 1,1478 1,6025 2,2165 2,7709 3,0673 3,0303 2,7144 2,2502 1,7854 1,4374 1,2639 1,2645 1,3988 1,6035 1,8113 1,9756 2,0919 2,1930 2,2978 2,3566 2,2676 1,9562 1,4361 0,8052 0,1970 -0,2695 -0,5244 -0,5658 -0,4486 -0,2358 0,0393 0,3616 0,7048 1,0319 1,3099 1,5006 1,5486 1,4141 1,1297 0,8025 0,5577 0,4881 0,6306 0,9408 1,2821 1,4830 1,4459 1,2171 0,9499 0,7936 0,8033 0,9485 1,1890 1,5288 1,9909 2,5509 3,1053 3,5094 3,6610 3,5645 3,3259 3,0913 2,9820 3,0558 3,2951 3,6259 3,9591 4,2308 4,4110 4,4899 4,4755 4,4032 4,3230 4,2726 4,2709 4,3292 4,4478 4,6036 4,7539 4,8425 4,8046 4,6045 4,2883 3,9676 3,7316 3,5899 3,5099 3,4840 3,5247 3,6055 3,6511 3,5974 3,4446 3,2498 3,0719 2,9234 2,7796 2,6306 2,5081 2,4720 2,5842 2,8769 3,3287 3,8612 4,3570 4,7010 4,8322 4,7633 4,5463 4,2248 3,8278 3,4041 3,0366 2,8061 2,7477 2,8457 3,0490 3,2901 3,5103 3,6844 3,8103 3,8679 3,8098 3,6131 3,3305 3,0660 2,9068 2,8894 3,0006 3,1766 3,3151 3,3234 3,1697 2,8969 2,5906 2,3422 2,2198 2,2436 2,3783 2,5495 2,6820 2,7424 2,7530 2,7570 2,7723 2,7818 2,7648 2,7230 2,6623 2,5553 2,3495 2,0388 1,7132 1,5167 1,5489 1,7998 2,1653 2,5293 2,8323 3,0720 3,2585 3,3723 3,3471 3,1033 2,6139 1,9495 1,2604 0,7018 0,3579 0,2333 0,2923 0,4911 0,7835 1,1277 1,5039 1,9120 2,3413 2,7455 3,0601 3,2376 3,2562 3,1238 2,9042 2,7063 2,6095 2,6084 2,6358 2,6130 2,4689 2,1482 1,6353 0,9692 0,2329 -0,4627 -0,9997 -1,2810 -1,2580 -0,9513 -0,4412 0,1748 0,8071 1,3740 1,8194 2,1464 2,4101 2,6603 2,8993 3,0995 3,2260 3,2300 3,0688 2,7485 2,3179 1,8306 1,3371 0,8995 0,5878 0,4420 0,4265 0,4513 0,4560 0,4491 0,4656 0,5201 0,6044 0,7043 0,7947 0,8247 0,7307 0,4805 0,1200 -0,2295 -0,4505 -0,5318 -0,5847 -0,7530 -1,1075 -1,5974 -2,0613 -2,3059 -2,2230 -1,8405 -1,2870 -0,7383 -0,3516 -0,1891 -0,1952 -0,2421 -0,2026 -0,0312 0,1961 0,3392 0,3083 0,1322 -0,0674 -0,1564 -0,0685 0,1695 0,4785 0,7813 1,0197 1,1493 1,1468 1,0264 0,8324 0,6122 0,3886 0,1396 -0,1921 -0,6471 -1,2189 -1,8823 -2,5980 -3,2569 -3,6586 -3,5948 -2,9845 -1,9392 -0,7232 0,3425 0,9931 1,1079 0,7370 0,0770 -0,5998 -1,0744 -1,2947 -1,3498 -1,3181 -1,1717 -0,8415 -0,3447 0,1904 0,6351 0,9595 1,1915 1,3191 1,2731 0,9891 0,4630 -0,2328 -0,9546 -1,5211 -1,8046 -1,8217 -1,7081 -1,5790 -1,4393 -1,2467 -1,0260 -0,8630 -0,8147 -0,8747 -0,9820 -1,0451 -1,0245 -1,0025 -1,1032 -1,3206 -1,4809 -1,4286 -1,2075 -1,0051 -0,9991 -1,3040 -1,9520 -2,8404 -3,7576 -4,5133 -5,0265 -5,2923 -5,3179 -5,1117 -4,7220 -4,2740 -3,9394 -3,8293 -3,9043 -4,0232 -4,0957 -4,1284 -4,1485 -4,1967 -4,3585
