Fp1   -1,2345 -1,2200 -1,1464 -1,0062 -0,8210 -0,6260 -0,4544 -0,3324 -0,2684 -0,2377 -0,1879 -0,0706 0,1281 0,3771 0,6161 0,7839 0,8422 0,7819 0,6223 0,4099 0,2083 0,0803 0,0649 0,1589 0,3163 0,4675 0,5472 0,5171 0,3762 0,1624 -0,0537 -0,1964 -0,2235 -0,1378 0,0284 0,2334 0,4423 0,6352 0,8008 0,9173 0,9395 0,8175 0,5402 0,1542 -0,2571 -0,6105 -0,8540 -0,9825 -1,0266 -1,0221 -0,9930 -0,9569 -0,9311 -0,9279 -0,9461 -0,9713 -0,9908 -1,0116 -1,0552 -1,1292 -1,2097 -1,2535 -1,2315 -1,1496 -1,0375 -0,9221 -0,8148 -0,7083 -0,5848 -0,4351 -0,2686 -0,1110 0,0020 0,0405 0,0113 -0,0305 -0,0209 0,0623 0,1962 0,3525 0,5248 0,7174 0,9182 1,0917 1,2014 1,2425 1,2552 1,2988 1,4048 1,5478 1,6620 1,6928 1,6363 1,5315 1,4283 1,3621 1,3433 1,3641 1,4077 1,4476 1,4519 1,3933 1,2532 1,0231 0,7057 0,3086 -0,1593 -0,6816 -1,2294 -1,7661 -2,2620 -2,7050 -3,0940 -3,4308 -3,7216 -3,9736 -4,1836 -4,3387 -4,4260 -4,4340 -4,3505 -4,1718 -3,9183 -3,6276 -3,3330 -3,0555 -2,8088 -2,5950 -2,3994 -2,2049 -2,0078 -1,8145 -1,6202 -1,3916 -1,0777 -0,6428 -0,0987 0,4850 1,0148 1,4378 1,7781 2,1128 2,5079 2,9666 3,4306 3,8301 4,1355 4,3710 4,5851 4,8119 5,0554 5,3036 5,5462 5,7739 5,9647 6,0846 6,1092 6,0447 5,9273 5,7992 5,6832 5,5768 5,4696 5,3672 5,2957 5,2817 5,3295 5,4144 5,4958 5,5459 5,5705 5,5975 5,6479 5,7197 5,7958 5,8656 5,9375 6,0255 6,1282 6,2274 6,3059 6,3599 6,3929 6,4040 6,3829 6,3144 6,1932 6,0418 5,9081 5,8333 5,8246 5,8646 5,9388 6,0472 6,1902 6,3456 6,4545 6,4247 6,1673 5,6582 4,9689 4,2343 3,5845 3,1023 2,8190 2,7207 2,7477 2,8080 2,8137 2,7116 2,4933 2,1955 1,8857 1,6265 1,4465 1,3400 1,2788 1,2231 1,1408 1,0217 0,8722 0,7034 0,5379 0,4150 0,3672 0,3881 0,4346 0,4606 0,4422 0,3794 0,2899 0,1998 0,1286 0,0809 0,0440 -0,0104 -0,1127 -0,2753 -0,4887 -0,7417 -1,0314 -1,3413 -1,6216 -1,8044 -1,8392 -1,7178 -1,4790 -1,1905 -0,9153 -0,6867 -0,5144 -0,4081 -0,3893 -0,4777 -0,6702 -0,9449 -1,2789 -1,6498 -2,0284 -2,3837 -2,6898 -2,9234 -3,0636 -3,1019 -3,0505 -2,9362 -2,7923 -2,6522 -2,5348 -2,4339 -2,3307 -2,2221 -2,1303 -2,0896 -2,1307 -2,2693 -2,4925 -2,7577 -3,0183 -3,2517 -3,4613 -3,6537 -3,8211 -3,9450 -4,0136 -4,0317 -4,0121 -3,9732 -3,9553 -4,0152 -4,1846 -4,4429 -4,7385 -5,0197 -5,2472 -5,3994 -5,4746 -5,4816 -5,4312 -5,3390 -5,2198 -5,0760 -4,9014 -4,7000 -4,4972 -4,3294 -4,2261 -4,1978 -4,2321 -4,3002 -4,3665 -4,3913 -4,3424 -4,2146 -4,0339 -3,8487 -3,7188 -3,6871 -3,7508 -3,8693 -4,0015 -4,1237 -4,2164 -4,2537 -4,2160 -4,1086 -3,9683 -3,8458 -3,7785 -3,7769 -3,8216 -3,8694 -3,8675 -3,7711 -3,5649 -3,2823 -2,9954 -2,7770 -2,6717 -2,6840 -2,7690 -2,8447 -2,8345 -2,7097 -2,4978 -2,2607 -2,0705 -1,9895 -2,0492 -2,2304 -2,4684 -2,6842 -2,8134 -2,8147 -2,6714 -2,4002 -2,0575 -1,7227 -1,4614 -1,2973 -1,2173 -1,1953 -1,2050 -1,2198 -1,2213 -1,2140 -1,2185 -1,2422 -1,2619 -1,2439 -1,1753 -1,0762 -0,9869 -0,9438 -0,9586 -1,0211 -1,1245 -1,2785 -1,4924 -1,7482 -2,0035 -2,2266 -2,4198 -2,6038 -2,7767 -2,8967 -2,9224 -2,8685 -2,8048 -2,7956 -2,8484 -2,9159 -2,9339 -2,8621 -2,7075 -2,5202 -2,3654 -2,2925 -2,3118 -2,3949 -2,4948 -2,5657 -2,5733 -2,5051 -2,3757 -2,2134 -2,0416 -1,8687 -1,6902 -1,5024 -1,3249 -1,1941 -1,1225 -1,0829 -1,0364 -0,9638 -0,8702 -0,7634 -0,6363 -0,4828 -0,3244 -0,2118 -0,1916 -0,2676 -0,3930 -0,4999 -0,5317 -0,4642 -0,3165 -0,1432 -0,0023 0,0709 0,0625 -0,0265 -0,1787 -0,3616 -0,5323 -0,6450 -0,6705 -0,6128 -0,5021 -0,3741 -0,2538 -0,1625 -0,1245 -0,1510 -0,2239 -0,3119 -0,3959 -0,4658 -0,5055 -0,4967 -0,4294 -0,3033 -0,1264 0,0826 0,3011 0,5099 0,6889 0,8075 0,8229 0,6928 0,4035 -0,0065 -0,4519 -0,8394 -1,1118 -1,2618 -1,3118 -1,2881 -1,2084 -1,0816 -0,9133 -0,7105 -0,4839 -0,2492 -0,0300 0,1424 0,2386 0,2476 0,1840 0,0749 -0,0636 -0,2349 -0,4523 -0,7248 -1,0409 -1,3666 -1,6649 -1,9078 -2,0645 -2,1024 -2,0067 -1,7921 -1,5018 -1,2075 -1,0008 -0,9516 -1,0611 -1,2577 -1,4370 -1,5095 -1,4342 -1,2277 -0,9468 -0,6571 -0,4073 -0,2228 -0,1099 -0,0529 -0,0092 0,0784 0,2528 0,5225 0,8649 1,2448 1,6282 1,9879 2,2988 2,5345 2,6759 2,7225 2,6909 2,6086 2,5138 2,4461 2,4318 2,4806 2,5906 2,7429 2,8993 3,0119 3,0348 2,9310 2,6886 2,3371 1,9424 1,5851 1,3365 1,2377 1,2901 1,4626 1,7072 1,9652 2,1747 2,2968 2,3452 2,3845 2,4916 2,7116 3,0393 3,4312 3,8219 4,1291 4,2741 4,2165 3,9677 3,5761 3,1111 2,6527 2,2738 2,0238 1,9176 1,9361 2,0408 2,1974 2,3854 2,5873 2,7771 2,9143 2,9471 2,8407 2,6166 2,3482 2,1136 1,9559 1,8719 1,8210 1,7493 1,6173 1,4213 1,2043 1,0399 0,9806 1,0140 1,0721 1,0801 0,9902 0,7843 0,4692 0,0790 -0,3243 -0,6650 -0,8837 -0,9637 -0,9325 -0,8410 -0,7364 -0,6416 -0,5499
Fz    0,0387 0,0849 0,1162 0,1225 0,0941 0,0332 -0,0394 -0,0985 -0,1309 -0,1354 -0,1149 -0,0764 -0,0322 0,0048 0,0247 0,0187 -0,0215 -0,0988 -0,2012 -0,2972 -0,3437 -0,3066 -0,1816 -0,0006 0,1834 0,3205 0,3808 0,3627 0,2882 0,1923 0,1172 0,1007 0,1556 0,2626 0,3838 0,4806 0,5247 0,5053 0,4334 0,3334 0,2261 0,1184 0,0042 -0,1284 -0,2847 -0,4528 -0,6057 -0,7209 -0,7962 -0,8443 -0,8791 -0,9153 -0,9704 -1,0549 -1,1587 -1,2531 -1,3061 -1,2989 -1,2327 -1,1244 -0,9979 -0,8763 -0,7790 -0,7172 -0,6847 -0,6568 -0,6021 -0,4969 -0,3371 -0,1412 0,0586 0,2272 0,3313 0,3540 0,3161 0,2726 0,2759 0,3437 0,4614 0,6074 0,7712 0,9490 1,1296 1,2883 1,3959 1,4374 1,4227 1,3774 1,3250 1,2740 1,2172 1,1456 1,0683 1,0094 0,9884 1,0043 1,0366 1,0585 1,0499 0,9978 0,8946 0,7399 0,5369 0,2882 -0,0078 -0,3560 -0,7544 -1,1835 -1,6071 -1,9873 -2,3030 -2,5595 -2,7808 -2,9923 -3,2094 -3,4339 -3,6521 -3,8413 -3,9803 -4,0549 -4,0582 -3,9949 -3,8840 -3,7518 -3,6178 -3,4895 -3,3652 -3,2373 -3,0948 -2,9249 -2,7125 -2,4436 -2,1086 -1,7016 -1,2209 -0,6741 -0,0824 0,5190 1,0984 1,6487 2,1884 2,7398 3,3066 3,8633 4,3661 4,7798 5,0992 5,3475 5,5554 5,7394 5,8965 6,0165 6,0976 6,1477 6,1767 6,1926 6,2067 6,2382 6,3110 6,4404 6,6219 6,8293 7,0237 7,1695 7,2495 7,2695 7,2541 7,2389 7,2597 7,3406 7,4900 7,7021 7,9599 8,2388 8,5123 8,7597 8,9727 9,1514 9,2961 9,4036 9,4709 9,4980 9,4869 9,4430 9,3769 9,3042 9,2409 9,2027 9,1990 9,2193 9,2323 9,2107 9,1535 9,0810 9,0099 8,9385 8,8452 8,6912 8,4315 8,0406 7,5354 6,9704 6,4090 5,8958 5,4535 5,0921 4,8118 4,6010 4,4404 4,3079 4,1805 4,0419 3,8858 3,7110 3,5210 3,3287 3,1487 2,9873 2,8494 2,7479 2,6975 2,7040 2,7669 2,8834 3,0396 3,1993 3,3126 3,3451 3,2965 3,1950 3,0781 2,9753 2,8965 2,8341 2,7752 2,7074 2,6155 2,4862 2,3179 2,1207 1,9094 1,7077 1,5510 1,4695 1,4673 1,5233 1,6062 1,6866 1,7450 1,7770 1,7904 1,7918 1,7777 1,7383 1,6696 1,5783 1,4765 1,3776 1,2882 1,1976 1,0801 0,9195 0,7328 0,5655 0,4628 0,4438 0,4951 0,5814 0,6716 0,7574 0,8458 0,9357 1,0101 1,0458 1,0245 0,9364 0,7866 0,5948 0,3811 0,1509 -0,1014 -0,3779 -0,6692 -0,9587 -1,2297 -1,4651 -1,6434 -1,7502 -1,8021 -1,8447 -1,9195 -2,0387 -2,1942 -2,3729 -2,5621 -2,7507 -2,9289 -3,0833 -3,1927 -3,2364 -3,2043 -3,1017 -2,9485 -2,7732 -2,6030 -2,4595 -2,3531 -2,2762 -2,2007 -2,0941 -1,9406 -1,7457 -1,5298 -1,3235 -1,1597 -1,0679 -1,0699 -1,1691 -1,3355 -1,5147 -1,6558 -1,7338 -1,7468 -1,7025 -1,6092 -1,4755 -1,3129 -1,1350 -0,9540 -0,7823 -0,6330 -0,5141 -0,4233 -0,3463 -0,2690 -0,1934 -0,1357 -0,1069 -0,1008 -0,0953 -0,0562 0,0510 0,2374 0,4780 0,7285 0,9516 1,1241 1,2301 1,2652 1,2470 1,2078 1,1749 1,1637 1,1814 1,2251 1,2808 1,3325 1,3793 1,4419 1,5490 1,7123 1,9120 2,1072 2,2586 2,3412 2,3447 2,2759 2,1666 2,0683 2,0247 2,0453 2,1020 2,1457 2,1296 2,0305 1,8556 1,6310 1,3834 1,1350 0,9106 0,7340 0,6082 0,5060 0,3880 0,2395 0,0897 -0,0129 -0,0462 -0,0273 0,0140 0,0656 0,1352 0,2304 0,3405 0,4352 0,4815 0,4583 0,3627 0,2151 0,0511 -0,0993 -0,2210 -0,3064 -0,3506 -0,3555 -0,3303 -0,2822 -0,2087 -0,0993 0,0497 0,2164 0,3584 0,4466 0,4835 0,4876 0,4763 0,4604 0,4502 0,4628 0,5151 0,6072 0,7133 0,7963 0,8352 0,8375 0,8267 0,8248 0,8409 0,8686 0,8936 0,9075 0,9111 0,9063 0,8926 0,8725 0,8525 0,8402 0,8418 0,8570 0,8771 0,8909 0,8946 0,8919 0,8812 0,8479 0,7768 0,6697 0,5417 0,4066 0,2747 0,1574 0,0625 -0,0118 -0,0697 -0,1076 -0,1136 -0,0785 -0,0088 0,0690 0,1179 0,1035 0,0025 -0,1937 -0,4706 -0,7875 -1,0888 -1,3285 -1,4903 -1,5893 -1,6528 -1,6992 -1,7308 -1,7394 -1,7151 -1,6527 -1,5602 -1,4609 -1,3827 -1,3444 -1,3471 -1,3788 -1,4289 -1,4985 -1,5923 -1,7111 -1,8535 -2,0129 -2,1736 -2,3165 -2,4272 -2,4931 -2,5027 -2,4504 -2,3358 -2,1660 -1,9683 -1,7923 -1,6820 -1,6439 -1,6484 -1,6577 -1,6452 -1,5986 -1,5169 -1,4082 -1,2853 -1,1606 -1,0452 -0,9497 -0,8733 -0,7935 -0,6710 -0,4717 -0,1861 0,1651 0,5387 0,8847 1,1647 1,3629 1,4842 1,5475 1,5786 1,5981 1,6153 1,6349 1,6638 1,7099 1,7792 1,8745 1,9875 2,0953 2,1678 2,1794 2,1172 1,9862 1,8131 1,6383 1,5027 1,4327 1,4326 1,4891 1,5855 1,7110 1,8574 2,0100 2,1488 2,2582 2,3322 2,3760 2,4030 2,4309 2,4762 2,5445 2,6239 2,6920 2,7294 2,7210 2,6538 2,5249 2,3528 2,1727 2,0207 1,9193 1,8700 1,8551 1,8495 1,8330 1,7978 1,7503 1,6990 1,6365 1,5386 1,3812 1,1589 0,8942 0,6317 0,4178 0,2803 0,2227 0,2280 0,2648 0,3007 0,3192 0,3237 0,3235 0,3236 0,3202 0,2933 0,2068 0,0275 -0,2460 -0,5728 -0,8883 -1,1376 -1,2971 -1,3686 -1,3614 -1,2835 -1,1434 -0,9475
F3    0,1290 0,2014 0,2686 0,3180 0,3348 0,3116 0,2565 0,1876 0,1215 0,0710 0,0467 0,0514 0,0737 0,0932 0,0926 0,0679 0,0302 -0,0024 -0,0129 0,0140 0,0910 0,2218 0,3919 0,5663 0,6979 0,7423 0,6770 0,5147 0,2976 0,0801 -0,0864 -0,1663 -0,1550 -0,0816 0,0087 0,0769 0,0999 0,0727 0,0070 -0,0767 -0,1667 -0,2680 -0,3913 -0,5362 -0,6868 -0,8176 -0,9042 -0,9406 -0,9506 -0,9724 -1,0292 -1,1181 -1,2243 -1,3350 -1,4412 -1,5336 -1,6019 -1,6411 -1,6572 -1,6621 -1,6593 -1,6361 -1,5739 -1,4631 -1,3076 -1,1199 -0,9159 -0,7078 -0,4971 -0,2794 -0,0560 0,1534 0,3082 0,3708 0,3416 0,2658 0,2031 0,1937 0,2510 0,3744 0,5569 0,7806 1,0104 1,2046 1,3347 1,4008 1,4284 1,4482 1,4748 1,4975 1,4866 1,4211 1,3158 1,2158 1,1642 1,1751 1,2272 1,2776 1,2850 1,2235 1,0878 0,8922 0,6592 0,4028 0,1185 -0,2131 -0,6060 -1,0467 -1,4904 -1,8830 -2,1934 -2,4283 -2,6205 -2,8014 -2,9840 -3,1586 -3,2996 -3,3765 -3,3680 -3,2694 -3,0932 -2,8710 -2,6512 -2,4815 -2,3867 -2,3656 -2,4064 -2,4938 -2,6042 -2,7018 -2,7453 -2,7020 -2,5533 -2,2882 -1,8980 -1,3820 -0,7584 -0,0676 0,6401 1,3256 1,9701 2,5706 3,1268 3,6265 4,0438 4,3582 4,5778 4,7397 4,8857 5,0324 5,1642 5,2576 5,3080 5,3303 5,3429 5,3588 5,3884 5,4425 5,5335 5,6707 5,8494 6,0443 6,2162 6,3336 6,3893 6,3972 6,3785 6,3517 6,3340 6,3447 6,4088 6,5524 6,7889 7,1034 7,4500 7,7669 8,0032 8,1364 8,1702 8,1279 8,0486 7,9761 7,9386 7,9389 7,9672 8,0152 8,0797 8,1633 8,2707 8,3945 8,5100 8,5921 8,6322 8,6348 8,6036 8,5331 8,4050 8,1874 7,8382 7,3275 6,6670 5,9158 5,1538 4,4524 3,8666 3,4362 3,1749 3,0585 3,0340 3,0409 3,0299 2,9750 2,8705 2,7156 2,5120 2,2729 2,0192 1,7675 1,5272 1,3046 1,1036 0,9283 0,7926 0,7197 0,7225 0,7848 0,8668 0,9322 0,9638 0,9593 0,9240 0,8649 0,7839 0,6751 0,5292 0,3405 0,1119 -0,1411 -0,3924 -0,6189 -0,8103 -0,9617 -1,0588 -1,0819 -1,0231 -0,8933 -0,7186 -0,5340 -0,3707 -0,2449 -0,1592 -0,1169 -0,1319 -0,2206 -0,3854 -0,6082 -0,8565 -1,0899 -1,2732 -1,3966 -1,4807 -1,5528 -1,6191 -1,6637 -1,6704 -1,6371 -1,5759 -1,5056 -1,4385 -1,3737 -1,3085 -1,2525 -1,2244 -1,2395 -1,3054 -1,4239 -1,5865 -1,7701 -1,9464 -2,0970 -2,2214 -2,3322 -2,4449 -2,5700 -2,7100 -2,8575 -2,9949 -3,1069 -3,2014 -3,3088 -3,4547 -3,6428 -3,8628 -4,1010 -4,3379 -4,5451 -4,6896 -4,7420 -4,6867 -4,5302 -4,2992 -4,0299 -3,7593 -3,5173 -3,3256 -3,1997 -3,1480 -3,1620 -3,2109 -3,2536 -3,2580 -3,2054 -3,0883 -2,9133 -2,7066 -2,5135 -2,3887 -2,3715 -2,4585 -2,6042 -2,7533 -2,8704 -2,9412 -2,9572 -2,9050 -2,7721 -2,5597 -2,2887 -1,9951 -1,7201 -1,4990 -1,3519 -1,2799 -1,2659 -1,2835 -1,3103 -1,3308 -1,3315 -1,2993 -1,2219 -1,0852 -0,8771 -0,6052 -0,3067 -0,0346 0,1671 0,2746 0,2808 0,1972 0,0606 -0,0763 -0,1661 -0,1765 -0,0927 0,0757 0,2951 0,5215 0,7223 0,8888 1,0284 1,1466 1,2407 1,3065 1,3402 1,3342 1,2790 1,1784 1,0647 0,9912 0,9996 1,0899 1,2179 1,3161 1,3221 1,2013 0,9542 0,6102 0,2158 -0,1748 -0,5067 -0,7416 -0,8785 -0,9543 -1,0151 -1,0773 -1,1128 -1,0808 -0,9733 -0,8253 -0,6814 -0,5622 -0,4648 -0,3826 -0,3182 -0,2815 -0,2802 -0,3151 -0,3817 -0,4684 -0,5578 -0,6363 -0,6987 -0,7459 -0,7793 -0,8007 -0,8103 -0,8048 -0,7780 -0,7195 -0,6221 -0,4995 -0,3859 -0,3058 -0,2545 -0,2112 -0,1589 -0,0885 0,0090 0,1474 0,3368 0,5653 0,7910 0,9589 1,0381 1,0423 1,0116 0,9816 0,9690 0,9736 0,9880 1,0037 1,0103 0,9943 0,9475 0,8778 0,8070 0,7560 0,7304 0,7173 0,6975 0,6640 0,6291 0,6160 0,6378 0,6857 0,7401 0,7900 0,8343 0,8716 0,8979 0,9063 0,8815 0,8006 0,6542 0,4658 0,2849 0,1604 0,1134 0,1277 0,1609 0,1681 0,1171 -0,0042 -0,1812 -0,3732 -0,5302 -0,6198 -0,6435 -0,6300 -0,6108 -0,6025 -0,6060 -0,6125 -0,6089 -0,5861 -0,5480 -0,5130 -0,5016 -0,5228 -0,5676 -0,6159 -0,6542 -0,6851 -0,7215 -0,7776 -0,8674 -0,9957 -1,1511 -1,3130 -1,4628 -1,5828 -1,6574 -1,6749 -1,6235 -1,4983 -1,3229 -1,1550 -1,0544 -1,0420 -1,0934 -1,1632 -1,2101 -1,2076 -1,1495 -1,0522 -0,9456 -0,8571 -0,8015 -0,7804 -0,7810 -0,7727 -0,7113 -0,5568 -0,2936 0,0622 0,4668 0,8615 1,1933 1,4316 1,5725 1,6362 1,6580 1,6668 1,6709 1,6657 1,6478 1,6219 1,6040 1,6175 1,6773 1,7734 1,8744 1,9451 1,9597 1,9070 1,7904 1,6237 1,4289 1,2361 1,0783 0,9824 0,9657 1,0377 1,1956 1,4188 1,6699 1,9044 2,0828 2,1839 2,2151 2,2100 2,2135 2,2587 2,3525 2,4759 2,5965 2,6780 2,6898 2,6205 2,4858 2,3192 2,1545 2,0147 1,9077 1,8247 1,7475 1,6609 1,5659 1,4837 1,4404 1,4378 1,4456 1,4252 1,3560 1,2467 1,1271 1,0291 0,9715 0,9614 0,9950 1,0502 1,0913 1,0898 1,0397 0,9512 0,8390 0,7136 0,5729 0,3987 0,1688 -0,1180 -0,4274 -0,7015 -0,8946 -0,9960 -1,0169 -0,9640 -0,8379 -0,6540 -0,4526
F7    -0,8964 -0,8848 -0,8352 -0,7685 -0,7133 -0,6788 -0,6416 -0,5670 -0,4385 -0,2610 -0,0479 0,1845 0,4181 0,6399 0,8380 0,9885 1,0517 0,9940 0,8187 0,5762 0,3472 0,2078 0,1951 0,2895 0,4349 0,5743 0,6689 0,6943 0,6354 0,4952 0,3078 0,1298 0,0080 -0,0427 -0,0372 -0,0043 0,0269 0,0374 0,0220 -0,0154 -0,0671 -0,1242 -0,1833 -0,2532 -0,3477 -0,4678 -0,6023 -0,7445 -0,8984 -1,0628 -1,2225 -1,3644 -1,4919 -1,6126 -1,7164 -1,7735 -1,7531 -1,6402 -1,4416 -1,1852 -0,9165 -0,6850 -0,5276 -0,4599 -0,4780 -0,5604 -0,6663 -0,7412 -0,7417 -0,6640 -0,5414 -0,4232 -0,3600 -0,3852 -0,4854 -0,5921 -0,6183 -0,5113 -0,2781 0,0291 0,3486 0,6338 0,8540 0,9884 1,0316 1,0029 0,9427 0,8948 0,8874 0,9219 0,9745 1,0180 1,0476 1,0830 1,1439 1,2303 1,3285 1,4289 1,5322 1,6365 1,7256 1,7716 1,7453 1,6268 1,4113 1,1052 0,7203 0,2743 -0,2024 -0,6650 -1,0655 -1,3736 -1,5904 -1,7484 -1,8993 -2,0899 -2,3387 -2,6309 -2,9330 -3,2097 -3,4316 -3,5778 -3,6397 -3,6213 -3,5337 -3,3880 -3,1898 -2,9387 -2,6375 -2,2958 -1,9209 -1,5103 -1,0544 -0,5459 0,0075 0,5755 1,1104 1,5621 1,9020 2,1417 2,3244 2,4976 2,6940 2,9241 3,1769 3,4329 3,6848 3,9443 4,2256 4,5214 4,7936 4,9941 5,0984 5,1182 5,0799 5,0026 4,8996 4,7929 4,7158 4,6970 4,7486 4,8612 5,0000 5,1076 5,1276 5,0393 4,8774 4,7139 4,6139 4,6043 4,6762 4,8016 4,9460 5,0775 5,1799 5,2592 5,3357 5,4264 5,5392 5,6757 5,8350 6,0098 6,1837 6,3330 6,4362 6,4873 6,5039 6,5181 6,5474 6,5682 6,5278 6,3946 6,1951 5,9969 5,8532 5,7658 5,6931 5,5783 5,3738 5,0643 4,6756 4,2589 3,8574 3,4824 3,1173 2,7455 2,3721 2,0217 1,7228 1,4879 1,3007 1,1258 0,9307 0,6968 0,4224 0,1248 -0,1743 -0,4627 -0,7288 -0,9491 -1,0999 -1,1744 -1,1847 -1,1572 -1,1341 -1,1692 -1,3062 -1,5524 -1,8715 -2,2056 -2,5047 -2,7418 -2,9111 -3,0131 -3,0460 -3,0134 -2,9395 -2,8630 -2,8169 -2,8220 -2,8905 -3,0178 -3,1746 -3,3247 -3,4500 -3,5544 -3,6490 -3,7398 -3,8176 -3,8563 -3,8284 -3,7298 -3,5869 -3,4363 -3,3042 -3,2026 -3,1342 -3,0948 -3,0825 -3,1148 -3,2260 -3,4367 -3,7289 -4,0550 -4,3625 -4,6096 -4,7730 -4,8511 -4,8532 -4,7826 -4,6370 -4,4196 -4,1468 -3,8534 -3,5944 -3,4311 -3,3992 -3,4908 -3,6710 -3,9070 -4,1764 -4,4602 -4,7401 -4,9978 -5,2141 -5,3682 -5,4360 -5,4018 -5,2853 -5,1492 -5,0641 -5,0698 -5,1649 -5,3205 -5,5009 -5,6836 -5,8626 -6,0286 -6,1542 -6,2063 -6,1692 -6,0551 -5,8981 -5,7341 -5,5844 -5,4502 -5,3190 -5,1728 -4,9967 -4,7898 -4,5725 -4,3808 -4,2519 -4,2134 -4,2756 -4,4318 -4,6626 -4,9318 -5,1841 -5,3618 -5,4327 -5,4008 -5,2963 -5,1567 -5,0133 -4,8867 -4,7886 -4,7186 -4,6600 -4,5864 -4,4767 -4,3263 -4,1498 -3,9708 -3,8123 -3,6980 -3,6477 -3,6614 -3,7110 -3,7558 -3,7617 -3,7109 -3,5998 -3,4324 -3,2151 -2,9588 -2,6877 -2,4448 -2,2759 -2,2000 -2,2028 -2,2559 -2,3307 -2,4042 -2,4671 -2,5281 -2,5978 -2,6615 -2,6710 -2,5685 -2,3285 -1,9847 -1,6172 -1,3078 -1,1028 -1,0094 -1,0125 -1,0824 -1,1758 -1,2481 -1,2764 -1,2698 -1,2617 -1,2864 -1,3574 -1,4607 -1,5711 -1,6733 -1,7671 -1,8526 -1,9237 -1,9832 -2,0591 -2,1902 -2,3905 -2,6313 -2,8607 -3,0371 -3,1397 -3,1593 -3,0872 -2,9173 -2,6625 -2,3709 -2,1188 -1,9814 -2,0044 -2,1888 -2,4879 -2,8232 -3,1122 -3,2854 -3,2964 -3,1413 -2,8677 -2,5531 -2,2679 -2,0476 -1,8878 -1,7661 -1,6732 -1,6162 -1,5947 -1,5871 -1,5637 -1,5025 -1,3993 -1,2652 -1,1165 -0,9707 -0,8467 -0,7597 -0,7152 -0,7048 -0,7109 -0,7182 -0,7194 -0,7135 -0,7050 -0,7017 -0,7052 -0,7068 -0,6989 -0,6797 -0,6415 -0,5689 -0,4511 -0,2950 -0,1322 -0,0117 0,0213 -0,0482 -0,1943 -0,3681 -0,5305 -0,6649 -0,7680 -0,8419 -0,8945 -0,9312 -0,9406 -0,8976 -0,7872 -0,6197 -0,4258 -0,2368 -0,0690 0,0743 0,1891 0,2639 0,2856 0,2435 0,1308 -0,0499 -0,2815 -0,5344 -0,7730 -0,9662 -1,1007 -1,1847 -1,2344 -1,2592 -1,2566 -1,2170 -1,1307 -0,9989 -0,8415 -0,6908 -0,5737 -0,4986 -0,4589 -0,4506 -0,4793 -0,5422 -0,6152 -0,6704 -0,6974 -0,7055 -0,7134 -0,7335 -0,7637 -0,7958 -0,8249 -0,8420 -0,8314 -0,7914 -0,7476 -0,7295 -0,7398 -0,7569 -0,7621 -0,7550 -0,7489 -0,7557 -0,7768 -0,8027 -0,8146 -0,7944 -0,7353 -0,6364 -0,4892 -0,2759 0,0125 0,3606 0,7304 1,0814 1,3945 1,6756 1,9332 2,1565 2,3191 2,4003 2,3963 2,3192 2,1916 2,0384 1,8808 1,7395 1,6362 1,5840 1,5775 1,5911 1,5860 1,5273 1,4055 1,2452 1,0921 0,9916 0,9727 1,0444 1,2001 1,4204 1,6705 1,9026 2,0666 2,1323 2,1065 2,0323 1,9733 1,9882 2,1060 2,3188 2,5927 2,8819 3,1418 3,3336 3,4237 3,3918 3,2473 3,0322 2,8007 2,5978 2,4497 2,3617 2,3212 2,3101 2,3172 2,3441 2,4011 2,4841 2,5571 2,5641 2,4641 2,2576 1,9910 1,7332 1,5362 1,4138 1,3477 1,3032 1,2464 1,1666 1,0869 1,0445 1,0601 1,1271 1,2201 1,2998 1,3187 1,2410 1,0656 0,8282 0,5769 0,3428 0,1302 -0,0754 -0,2906 -0,5157 -0,7219 -0,8503
