Fp1   -2,9372 -2,8772 -2,5867 -2,1301 -1,6037 -1,1116 -0,7398 -0,5296 -0,4543 -0,4338 -0,3937 -0,3103 -0,1976 -0,0762 0,0446 0,1813 0,3881 0,7368 1,2598 1,9072 2,5608 3,0847 3,3820 3,4259 3,2440 2,8813 2,3840 1,8047 1,1937 0,5765 -0,0413 -0,6416 -1,1757 -1,5843 -1,8248 -1,8817 -1,7636 -1,5095 -1,1823 -0,8368 -0,4987 -0,1811 0,0911 0,2772 0,3425 0,2830 0,1305 -0,0593 -0,2347 -0,3824 -0,5383 -0,7595 -1,0867 -1,5273 -2,0588 -2,6224 -3,1124 -3,3938 -3,3625 -3,0093 -2,4342 -1,7979 -1,2462 -0,8589 -0,6500 -0,6077 -0,7261 -0,9899 -1,3312 -1,6281 -1,7655 -1,6940 -1,4322 -1,0323 -0,5713 -0,1735 0,0019 -0,1589 -0,6506 -1,3650 -2,1766 -3,0097 -3,8395 -4,6388 -5,3279 -5,7924 -5,9567 -5,8366 -5,5209 -5,0999 -4,6043 -4,0140 -3,3246 -2,6021 -1,9820 -1,6093 -1,5580 -1,7952 -2,2261 -2,7712 -3,3968 -4,0918 -4,8358 -5,5968 -6,3533 -7,1109 -7,8869 -8,6793 -9,4486 -10,1235 -10,6291 -10,9360 -11,0983 -11,2232 -11,3837 -11,5704 -11,7168 -11,7446 -11,5999 -11,2715 -10,7891 -10,2133 -9,6208 -9,0747 -8,5960 -8,1661 -7,7641 -7,3962 -7,0821 -6,8094 -6,5140 -6,1298 -5,6450 -5,0849 -4,4656 -3,7879 -3,0545 -2,2812 -1,5039 -0,7724 -0,1226 0,4346 0,8891 1,2246 1,4495 1,6057 1,7189 1,7660 1,7088 1,5381 1,2778 0,9672 0,6411 0,3038 -0,0936 -0,6324 -1,3531 -2,1970 -3,0252 -3,6898 -4,0974 -4,2322 -4,1426 -3,9144 -3,6430 -3,4070 -3,2594 -3,2382 -3,3668 -3,6405 -4,0256 -4,4777 -4,9515 -5,3956 -5,7442 -5,9220 -5,8662 -5,5451 -4,9861 -4,2990 -3,6406 -3,1405 -2,8619 -2,8011 -2,9013 -3,0853 -3,2892 -3,4768 -3,6508 -3,8654 -4,2063 -4,7294 -5,3909 -6,0279 -6,4262 -6,4257 -5,9803 -5,1680 -4,1693 -3,2037 -2,4530 -2,0252 -1,9469 -2,1649 -2,5721 -3,0470 -3,4947 -3,8864 -4,2569 -4,6536 -5,0857 -5,5072 -5,8256 -5,9393 -5,8027 -5,4684 -5,0489 -4,6443 -4,3136 -4,0833 -3,9571 -3,9205 -3,9490 -4,0220 -4,1274 -4,2443 -4,3153 -4,2462 -3,9514 -3,4197 -2,7489 -2,1071 -1,6318 -1,3664 -1,2933 -1,3885 -1,6204 -1,9360 -2,2857 -2,6510 -3,0285 -3,3924 -3,6873 -3,8655 -3,9405 -4,0005 -4,1505 -4,4347 -4,8117 -5,1900 -5,4832 -5,6443 -5,6685 -5,5778 -5,3986 -5,1406 -4,7965 -4,3647 -3,8696 -3,3638 -2,9056 -2,5330 -2,2669 -2,1243 -2,1152 -2,2302 -2,4353 -2,6651 -2,8227 -2,8078 -2,5614 -2,0758 -1,3711 -0,4899 0,4852 1,4369 2,2561 2,8821 3,3032 3,5337 3,6053 3,5705 3,4913 3,4182 3,3755 3,3556 3,3298 3,2640 3,1300 2,9106 2,6032 2,2163 1,7568 1,2259 0,6377 0,0534 -0,3985 -0,5747 -0,4241 -0,0260 0,4717 0,9171 1,1824 1,1978 0,9835 0,6407 0,2935 0,0242 -0,1461 -0,2338 -0,2720 -0,3087 -0,4027 -0,6039 -0,9267 -1,3313 -1,7304 -2,0149 -2,0825 -1,8805 -1,4565 -0,9605 -0,5636 -0,3523 -0,2845 -0,2463 -0,1472 0,0437 0,3304 0,7281 1,2710 1,9737 2,7757 3,5420 4,1294 4,4579 4,5330 4,4213 4,2090 3,9609 3,7077 3,4647 3,2417 3,0324 2,8161 2,5816 2,3390 2,1076 1,9108 1,7788 1,7345 1,7750 1,8768 2,0001 2,0733 1,9949 1,6834 1,1391 0,4562 -0,2278 -0,8013 -1,2067 -1,4237 -1,4458 -1,2789 -0,9559 -0,5400 -0,1025 0,3067 0,6689 0,9825 1,2482 1,4722 1,6704 1,8528 2,0009 2,0779 2,0705 2,0089 1,9370 1,8776 1,8445 1,8719 1,9988 2,2222 2,4788 2,6771 2,7400 2,6246 2,3312 1,9135 1,4621 1,0607 0,7697 0,6468 0,7462 1,0850 1,6362 2,3470 3,1377 3,8916 4,4783 4,8218 4,9647 5,0492 5,2197 5,5398 5,9857 6,4829 6,9289 7,2073 7,2298 6,9862 6,5569 6,0836 5,7221 5,5852 5,6964 5,9807 6,2902 6,4620 6,3958 6,0927 5,6194 5,0550 4,4652 3,8982 3,3901 2,9752 2,6803 2,5034 2,4040 2,3302 2,2594 2,2057 2,1792 2,1492 2,0617 1,8904 1,6650 1,4555 1,3278 1,3069 1,3959 1,6235 2,0311 2,5940 3,1819 3,6176 3,7832 3,6838 3,4297 3,1687 3,0185 3,0242 3,1600 3,3735 3,6141 3,8290 3,9757 4,0516 4,0913 4,1344 4,1952 4,2530 4,2715 4,2357 4,1609 4,0597 3,9151 3,6956 3,3927 3,0347 2,6626 2,3124 2,0213 1,8270 1,7501 1,7713 1,8342 1,8845 1,9023 1,8787 1,7727 1,5216 1,1100 0,6084 0,1245 -0,2761 -0,6008 -0,9028 -1,2365 -1,6268 -2,0713 -2,5591 -3,0789 -3,6097 -4,1070 -4,5087 -4,7562 -4,8108 -4,6756 -4,4118 -4,1192 -3,8942 -3,7986 -3,8408 -3,9759 -4,1341 -4,2558 -4,3048 -4,2535 -4,0614 -3,6863 -3,1174 -2,3802 -1,5190 -0,5973 0,2931 1,0417 1,5323 1,6686 1,4338 0,9294 0,3338 -0,1853 -0,5228 -0,6343 -0,5191 -0,2091 0,2443 0,7961 1,4219 2,0954 2,7646 3,3551 3,7894 4,0007 3,9548 3,6704 3,1993 2,5817 1,8400 1,0194 0,2086 -0,4870 -0,9870 -1,2533 -1,2846 -1,1045 -0,7431 -0,2249 0,4059 1,0549 1,5942 1,9177 1,9854 1,8202 1,4751 1,0193 0,5425 0,1373 -0,1548 -0,3696 -0,5668 -0,7675 -0,9696 -1,1918 -1,4615 -1,7738 -2,0804 -2,3021 -2,3523 -2,1786 -1,8045 -1,3250 -0,8578 -0,4856 -0,2251 -0,0408 0,1031 0,1963 0,1823 0,0095 -0,3151 -0,7251 -1,1442 -1,5201 -1,8136 -1,9853 -2,0177 -1,9480 -1,8551 -1,8063 -1,8242 -1,8984 -2,0142 -2,1640 -2,3395 -2,5304
Fz    -1,3434 -1,2540 -1,0771 -0,8253 -0,5232 -0,2069 0,0784 0,2888 0,3998 0,4149 0,3523 0,2287 0,0543 -0,1641 -0,4128 -0,6557 -0,8315 -0,8766 -0,7611 -0,5070 -0,1744 0,1655 0,4554 0,6710 0,8150 0,8903 0,8937 0,8328 0,7306 0,6064 0,4656 0,3095 0,1434 -0,0238 -0,1765 -0,2878 -0,3269 -0,2794 -0,1565 0,0117 0,1866 0,3280 0,4031 0,3983 0,3257 0,2193 0,1197 0,0539 0,0223 -0,0012 -0,0537 -0,1649 -0,3447 -0,5877 -0,8852 -1,2183 -1,5350 -1,7490 -1,7797 -1,6033 -1,2711 -0,8822 -0,5401 -0,3181 -0,2484 -0,3351 -0,5722 -0,9454 -1,4212 -1,9423 -2,4383 -2,8420 -3,1002 -3,1844 -3,1018 -2,9024 -2,6652 -2,4637 -2,3350 -2,2806 -2,2955 -2,3917 -2,5935 -2,9053 -3,2818 -3,6432 -3,9200 -4,0834 -4,1386 -4,0992 -3,9656 -3,7268 -3,3790 -2,9502 -2,5104 -2,1520 -1,9410 -1,8851 -1,9509 -2,1053 -2,3374 -2,6519 -3,0511 -3,5227 -4,0379 -4,5593 -5,0531 -5,4974 -5,8818 -6,2048 -6,4767 -6,7239 -6,9854 -7,2906 -7,6313 -7,9644 -8,2470 -8,4576 -8,5913 -8,6482 -8,6279 -8,5367 -8,3941 -8,2236 -8,0352 -7,8208 -7,5655 -7,2594 -6,9001 -6,4854 -6,0050 -5,4507 -4,8266 -4,1388 -3,3863 -2,5699 -1,7029 -0,8097 0,0791 0,9333 1,7338 2,4714 3,1366 3,7223 4,2373 4,6995 5,1069 5,4297 5,6394 5,7328 5,7277 5,6463 5,5016 5,2902 4,9923 4,5863 4,0769 3,5065 2,9359 2,4163 1,9750 1,6163 1,3303 1,1047 0,9335 0,8190 0,7645 0,7614 0,7868 0,8197 0,8527 0,8863 0,9178 0,9432 0,9675 1,0084 1,0898 1,2295 1,4249 1,6413 1,8278 1,9472 1,9865 1,9512 1,8598 1,7371 1,6023 1,4612 1,3022 1,0945 0,7983 0,3951 -0,0769 -0,5164 -0,7972 -0,8238 -0,5654 -0,0647 0,5692 1,1906 1,6608 1,8857 1,8370 1,5519 1,1072 0,5910 0,0802 -0,3761 -0,7591 -1,0672 -1,3013 -1,4516 -1,4888 -1,3748 -1,0905 -0,6581 -0,1340 0,4186 0,9448 1,3997 1,7550 2,0089 2,1859 2,3231 2,4557 2,6110 2,8128 3,0841 3,4330 3,8310 4,2070 4,4710 4,5639 4,4857 4,2749 3,9776 3,6410 3,3136 3,0291 2,7900 2,5790 2,3840 2,2075 2,0548 1,9184 1,7749 1,6003 1,3887 1,1545 0,9209 0,7052 0,5110 0,3344 0,1747 0,0382 -0,0625 -0,1156 -0,1184 -0,0790 -0,0122 0,0709 0,1713 0,2989 0,4645 0,6802 0,9622 1,3263 1,7810 2,3257 2,9497 3,6315 4,3438 5,0600 5,7515 6,3826 6,9163 7,3354 7,6550 7,9086 8,1236 8,3140 8,4882 8,6528 8,8101 8,9522 9,0611 9,1187 9,1204 9,0734 8,9874 8,8708 8,7269 8,5461 8,3048 7,9821 7,5864 7,1753 6,8376 6,6382 6,5812 6,6239 6,7047 6,7620 6,7505 6,6565 6,4975 6,3014 6,0859 5,8580 5,6233 5,3838 5,1250 4,8167 4,4336 3,9786 3,4908 3,0380 2,7028 2,5623 2,6583 2,9703 3,4154 3,8835 4,2931 4,6256 4,9092 5,1760 5,4363 5,6837 5,9127 6,1359 6,3833 6,6771 7,0143 7,3773 7,7512 8,1248 8,4807 8,7928 9,0281 9,1515 9,1361 8,9709 8,6616 8,2306 7,7157 7,1635 6,6137 6,0924 5,6201 5,2169 4,8978 4,6651 4,5042 4,3856 4,2797 4,1769 4,0931 4,0537 4,0728 4,1431 4,2439 4,3587 4,4857 4,6362 4,8217 5,0411 5,2758 5,4950 5,6644 5,7570 5,7643 5,7024 5,6079 5,5195 5,4632 5,4524 5,4968 5,5996 5,7419 5,8807 5,9707 5,9886 5,9347 5,8158 5,6345 5,3918 5,0942 4,7510 4,3718 3,9741 3,5895 3,2614 3,0379 2,9656 3,0737 3,3597 3,7942 4,3335 4,9210 5,4836 5,9409 6,2380 6,3848 6,4544 6,5275 6,6390 6,7760 6,9095 7,0098 7,0429 6,9793 6,8145 6,5774 6,3228 6,1118 5,9834 5,9320 5,9103 5,8505 5,6954 5,4232 5,0533 4,6289 4,1975 3,7971 3,4493 3,1607 2,9335 2,7704 2,6659 2,5991 2,5417 2,4715 2,3743 2,2362 2,0434 1,7948 1,5077 1,2058 0,9089 0,6315 0,3833 0,1828 0,0729 0,1073 0,3097 0,6492 1,0573 1,4678 1,8489 2,2051 2,5541 2,9031 3,2381 3,5339 3,7720 3,9457 4,0502 4,0854 4,0747 4,0677 4,1144 4,2364 4,4209 4,6352 4,8465 5,0268 5,1432 5,1590 5,0497 4,8224 4,5162 4,1801 3,8538 3,5696 3,3579 3,2407 3,2210 3,2792 3,3815 3,4872 3,5477 3,5094 3,3348 3,0256 2,6268 2,1983 1,7749 1,3526 0,9078 0,4245 -0,0958 -0,6422 -1,2026 -1,7621 -2,3008 -2,8001 -3,2510 -3,6477 -3,9738 -4,2088 -4,3530 -4,4363 -4,5058 -4,6029 -4,7444 -4,9163 -5,0818 -5,1926 -5,1981 -5,0493 -4,7056 -4,1518 -3,4152 -2,5531 -1,6229 -0,6701 0,2651 1,1418 1,9150 2,5385 2,9863 3,2750 3,4560 3,5838 3,6951 3,8113 3,9493 4,1226 4,3396 4,6051 4,9210 5,2742 5,6297 5,9399 6,1585 6,2458 6,1798 5,9659 5,6243 5,1662 4,5952 3,9287 3,2107 2,5056 1,8813 1,3939 1,0723 0,9068 0,8592 0,8856 0,9453 0,9993 1,0140 0,9724 0,8779 0,7482 0,6073 0,4861 0,4241 0,4566 0,5872 0,7796 0,9865 1,1798 1,3452 1,4637 1,5116 1,4709 1,3365 1,1246 0,8732 0,6276 0,4200 0,2575 0,1325 0,0472 0,0229 0,0883 0,2545 0,4964 0,7526 0,9544 1,0639 1,0843 1,0372 0,9419 0,8180 0,6848 0,5454 0,3783 0,1525 -0,1454 -0,5007 -0,8796 -1,2480 -1,5748 -1,8293 -1,9898
F3    -1,4290 -1,3534 -1,1724 -0,9045 -0,5848 -0,2594 0,0217 0,2182 0,3178 0,3399 0,3167 0,2702 0,2082 0,1323 0,0502 -0,0114 -0,0040 0,1275 0,4121 0,8252 1,2925 1,7217 2,0389 2,2066 2,2149 2,0642 1,7721 1,3875 0,9742 0,5735 0,1949 -0,1580 -0,4723 -0,7328 -0,9262 -1,0391 -1,0664 -1,0233 -0,9397 -0,8405 -0,7388 -0,6473 -0,5839 -0,5646 -0,5924 -0,6515 -0,7124 -0,7477 -0,7554 -0,7701 -0,8487 -1,0413 -1,3690 -1,8204 -2,3615 -2,9328 -3,4380 -3,7593 -3,8072 -3,5668 -3,1072 -2,5500 -2,0168 -1,5911 -1,3158 -1,2127 -1,2906 -1,5343 -1,8852 -2,2457 -2,5172 -2,6429 -2,6127 -2,4446 -2,1818 -1,9050 -1,7181 -1,6997 -1,8608 -2,1529 -2,5156 -2,9139 -3,3350 -3,7542 -4,1102 -4,3267 -4,3595 -4,2215 -3,9622 -3,6263 -3,2269 -2,7566 -2,2258 -1,6902 -1,2451 -0,9873 -0,9633 -1,1469 -1,4704 -1,8704 -2,3049 -2,7461 -3,1756 -3,5816 -3,9607 -4,3237 -4,6910 -5,0768 -5,4743 -5,8570 -6,1979 -6,4955 -6,7863 -7,1185 -7,5040 -7,9054 -8,2687 -8,5540 -8,7404 -8,8201 -8,7944 -8,6754 -8,4845 -8,2397 -7,9404 -7,5706 -7,1215 -6,6079 -6,0619 -5,5090 -4,9491 -4,3667 -3,7534 -3,1063 -2,4190 -1,6865 -0,9163 -0,1258 0,6628 1,4268 2,1538 2,8410 3,4780 4,0417 4,5193 4,9176 5,2387 5,4654 5,5847 5,6066 5,5536 5,4442 5,2888 5,0861 4,8157 4,4436 3,9551 3,3825 2,8002 2,2946 1,9317 1,7351 1,6849 1,7348 1,8342 1,9409 2,0224 2,0519 2,0091 1,8891 1,7085 1,4948 1,2682 1,0393 0,8267 0,6649 0,5909 0,6286 0,7732 0,9771 1,1667 1,2796 1,2855 1,1895 1,0301 0,8576 0,7041 0,5713 0,4326 0,2376 -0,0718 -0,5243 -1,0777 -1,6106 -1,9698 -2,0380 -1,7725 -1,2171 -0,4992 0,2039 0,7208 0,9351 0,8192 0,4376 -0,0903 -0,6372 -1,1065 -1,4604 -1,7165 -1,9123 -2,0672 -2,1634 -2,1514 -1,9796 -1,6317 -1,1461 -0,5957 -0,0513 0,4387 0,8527 1,1918 1,4711 1,7071 1,9059 2,0614 2,1732 2,2679 2,3998 2,6220 2,9450 3,3162 3,6404 3,8386 3,8878 3,8025 3,6007 3,3032 2,9434 2,5582 2,1751 1,8127 1,4884 1,2186 1,0103 0,8482 0,6918 0,4984 0,2534 -0,0252 -0,3040 -0,5574 -0,7792 -0,9774 -1,1594 -1,3219 -1,4464 -1,5071 -1,4880 -1,3896 -1,2252 -1,0050 -0,7270 -0,3864 0,0074 0,4295 0,8537 1,2662 1,6727 2,0967 2,5712 3,1221 3,7562 4,4640 5,2193 5,9717 6,6521 7,2030 7,6053 7,8717 8,0226 8,0797 8,0741 8,0429 8,0157 8,0053 8,0081 8,0122 8,0053 7,9759 7,9129 7,8060 7,6413 7,3964 7,0496 6,5984 6,0807 5,5894 5,2427 5,1097 5,1707 5,3462 5,5370 5,6480 5,6198 5,4590 5,2295 5,0062 4,8293 4,6968 4,5877 4,4763 4,3294 4,1054 3,7715 3,3286 2,8194 2,3205 1,9273 1,7335 1,7937 2,0837 2,4981 2,9027 3,2145 3,4441 3,6649 3,9433 4,2972 4,7037 5,1308 5,5671 6,0169 6,4648 6,8650 7,1740 7,3841 7,5231 7,6279 7,7173 7,7762 7,7655 7,6482 7,4101 7,0631 6,6365 6,1698 5,7043 5,2708 4,8842 4,5538 4,2868 4,0814 3,9274 3,8085 3,6951 3,5480 3,3480 3,1188 2,9160 2,7873 2,7430 2,7635 2,8257 2,9196 3,0473 3,2104 3,3972 3,5810 3,7338 3,8423 3,9139 3,9727 4,0462 4,1497 4,2807 4,4209 4,5454 4,6397 4,7097 4,7660 4,8048 4,8163 4,8063 4,7950 4,7907 4,7732 4,7065 4,5643 4,3409 4,0478 3,7136 3,3798 3,0892 2,8819 2,8004 2,8787 3,1238 3,5163 4,0205 4,5777 5,0976 5,4748 5,6421 5,6310 5,5680 5,5848 5,7304 5,9694 6,2362 6,4671 6,6035 6,6067 6,4766 6,2496 5,9853 5,7523 5,6014 5,5362 5,5051 5,4195 5,1955 4,7976 4,2554 3,6415 3,0377 2,5105 2,0979 1,8045 1,6100 1,4831 1,3897 1,2980 1,1888 1,0680 0,9591 0,8755 0,8025 0,7157 0,6065 0,4875 0,3839 0,3175 0,2929 0,3138 0,4169 0,6569 1,0402 1,4861 1,8671 2,0971 2,1874 2,2221 2,2887 2,4286 2,6244 2,8224 2,9775 3,0782 3,1307 3,1466 3,1526 3,1905 3,2963 3,4809 3,7270 3,9976 4,2532 4,4601 4,5818 4,5770 4,4205 4,1268 3,7501 3,3553 2,9949 2,7073 2,5185 2,4363 2,4406 2,4866 2,5274 2,5341 2,4905 2,3774 2,1765 1,8898 1,5462 1,1750 0,7752 0,3183 -0,2172 -0,8200 -1,4516 -2,0713 -2,6565 -3,2065 -3,7318 -4,2421 -4,7337 -5,1764 -5,5099 -5,6762 -5,6647 -5,5215 -5,3207 -5,1333 -5,0033 -4,9372 -4,9085 -4,8707 -4,7711 -4,5590 -4,1925 -3,6538 -2,9617 -2,1546 -1,2642 -0,3190 0,6343 1,5234 2,2578 2,7518 2,9690 2,9552 2,8120 2,6366 2,4917 2,4153 2,4327 2,5592 2,8025 3,1695 3,6634 4,2659 4,9226 5,5505 6,0578 6,3633 6,4170 6,2144 5,7825 5,1523 4,3584 3,4583 2,5340 1,6677 0,9181 0,3166 -0,1265 -0,4157 -0,5580 -0,5571 -0,4310 -0,2289 -0,0172 0,1488 0,2401 0,2481 0,1760 0,0406 -0,1232 -0,2719 -0,3797 -0,4545 -0,5185 -0,5795 -0,6380 -0,7069 -0,8061 -0,9458 -1,1228 -1,3168 -1,4857 -1,5778 -1,5657 -1,4691 -1,3381 -1,2123 -1,0947 -0,9596 -0,7840 -0,5849 -0,4273 -0,3822 -0,4623 -0,6069 -0,7372 -0,8107 -0,8181 -0,7622 -0,6619 -0,5656 -0,5347 -0,6054 -0,7698 -0,9931 -1,2386 -1,4714 -1,6563 -1,7713
F7    -2,8673 -2,5498 -2,1627 -1,7492 -1,3427 -0,9753 -0,6748 -0,4514 -0,2908 -0,1626 -0,0430 0,0671 0,1440 0,1601 0,1117 0,0392 0,0240 0,1505 0,4504 0,8748 1,3213 1,6824 1,8821 1,8971 1,7562 1,5145 1,2298 0,9487 0,6959 0,4727 0,2784 0,1318 0,0590 0,0613 0,1085 0,1651 0,2132 0,2493 0,2703 0,2714 0,2460 0,1846 0,0778 -0,0771 -0,2705 -0,4774 -0,6668 -0,8248 -0,9760 -1,1772 -1,4820 -1,9018 -2,3916 -2,8717 -3,2633 -3,5071 -3,5655 -3,4227 -3,0884 -2,6066 -2,0557 -1,5245 -1,0832 -0,7693 -0,5904 -0,5336 -0,5805 -0,7138 -0,9027 -1,0865 -1,1914 -1,1677 -1,0061 -0,7286 -0,3849 -0,0553 0,1696 0,2392 0,1766 0,0567 -0,0509 -0,1248 -0,1958 -0,3060 -0,4607 -0,6274 -0,7705 -0,8744 -0,9373 -0,9527 -0,8983 -0,7422 -0,4679 -0,1016 0,2784 0,5727 0,7219 0,7367 0,6654 0,5446 0,3842 0,1769 -0,0859 -0,4014 -0,7609 -1,1624 -1,6110 -2,1043 -2,6155 -3,0904 -3,4740 -3,7443 -3,9207 -4,0406 -4,1294 -4,1961 -4,2537 -4,3270 -4,4346 -4,5735 -4,7264 -4,8830 -5,0452 -5,2125 -5,3691 -5,4867 -5,5351 -5,4939 -5,3594 -5,1366 -4,8244 -4,4129 -3,8932 -3,2634 -2,5329 -1,7203 -0,8475 0,0614 0,9733 1,8490 2,6593 3,3956 4,0659 4,6848 5,2616 5,7878 6,2275 6,5340 6,6882 6,7142 6,6525 6,5285 6,3493 6,1134 5,8127 5,4398 5,0099 4,5715 4,1854 3,8950 3,7104 3,6090 3,5511 3,4996 3,4287 3,3264 3,1948 3,0474 2,9139 2,8389 2,8522 2,9351 3,0247 3,0540 2,9918 2,8577 2,7092 2,6112 2,5967 2,6419 2,6869 2,6780 2,5867 2,4127 2,1894 1,9725 1,8059 1,7004 1,6366 1,5692 1,4381 1,2038 0,8869 0,5715 0,3603 0,3264 0,4986 0,8546 1,3054 1,7163 1,9637 1,9833 1,7869 1,4451 1,0460 0,6624 0,3361 0,0735 -0,1345 -0,2828 -0,3543 -0,3423 -0,2538 -0,1001 0,0950 0,2940 0,4681 0,6096 0,7204 0,8018 0,8585 0,9069 0,9789 1,1081 1,3019 1,5319 1,7608 1,9808 2,2143 2,4745 2,7305 2,9176 2,9848 2,9291 2,7780 2,5605 2,3083 2,0633 1,8581 1,6843 1,4986 1,2680 0,9984 0,7169 0,4380 0,1526 -0,1517 -0,4622 -0,7379 -0,9318 -1,0167 -0,9977 -0,9037 -0,7717 -0,6319 -0,4925 -0,3428 -0,1716 0,0220 0,2331 0,4646 0,7305 1,0444 1,4082 1,8119 2,2428 2,6987 3,1889 3,7137 4,2499 4,7676 5,2606 5,7484 6,2445 6,7249 7,1341 7,4219 7,5732 7,6013 7,5258 7,3721 7,1852 7,0217 6,9223 6,8913 6,9000 6,9083 6,8806 6,7873 6,6121 6,3646 6,0733 5,7592 5,4268 5,0860 4,7749 4,5549 4,4771 4,5476 4,7264 4,9546 5,1689 5,3042 5,3178 5,2136 5,0338 4,8233 4,6097 4,4137 4,2620 4,1737 4,1362 4,1021 4,0143 3,8401 3,5979 3,3637 3,2411 3,2986 3,5240 3,8365 4,1324 4,3264 4,3808 4,3148 4,1866 4,0626 3,9937 4,0065 4,1151 4,3365 4,6806 5,1191 5,5711 5,9321 6,1318 6,1693 6,0964 5,9715 5,8242 5,6473 5,4175 5,1241 4,7797 4,4110 4,0434 3,6886 3,3382 2,9786 2,6191 2,3028 2,0836 1,9862 1,9868 2,0290 2,0586 2,0520 2,0223 2,0020 2,0133 2,0500 2,0904 2,1262 2,1760 2,2618 2,3760 2,4793 2,5324 2,5299 2,5029 2,4921 2,5283 2,6296 2,7934 2,9882 3,1623 3,2717 3,3073 3,2935 3,2551 3,1935 3,1055 3,0126 2,9486 2,9200 2,8955 2,8386 2,7350 2,5851 2,3917 2,1691 1,9490 1,7716 1,6790 1,7108 1,8821 2,1678 2,5234 2,9153 3,3215 3,7167 4,0713 4,3649 4,5977 4,7917 4,9788 5,1759 5,3708 5,5438 5,6922 5,8176 5,9073 5,9462 5,9376 5,9041 5,8751 5,8707 5,8863 5,8901 5,8395 5,7106 5,5100 5,2489 4,9189 4,5167 4,0813 3,6773 3,3524 3,1260 2,9968 2,9378 2,8947 2,8219 2,7236 2,6396 2,5917 2,5614 2,5219 2,4746 2,4461 2,4644 2,5376 2,6429 2,7362 2,7849 2,7898 2,7783 2,7897 2,8596 2,9966 3,1665 3,3068 3,3716 3,3639 3,3184 3,2632 3,2136 3,1881 3,2054 3,2691 3,3702 3,5034 3,6660 3,8411 3,9963 4,1113 4,1937 4,2542 4,2765 4,2198 4,0502 3,7691 3,4148 3,0385 2,6843 2,3861 2,1672 2,0405 2,0101 2,0757 2,2366 2,4851 2,7882 3,0804 3,2861 3,3561 3,2856 3,0927 2,7856 2,3595 1,8243 1,2187 0,5954 -0,0031 -0,5544 -1,0449 -1,4526 -1,7461 -1,9070 -1,9383 -1,8476 -1,6396 -1,3386 -1,0011 -0,6952 -0,4742 -0,3666 -0,3780 -0,4900 -0,6555 -0,8047 -0,8628 -0,7643 -0,4649 0,0421 0,7166 1,4788 2,2342 2,9067 3,4614 3,8950 4,2117 4,4199 4,5470 4,6365 4,7177 4,7903 4,8417 4,8769 4,9249 5,0177 5,1680 5,3715 5,6155 5,8769 6,1163 6,2791 6,3075 6,1646 5,8561 5,4191 4,8910 4,3014 3,6832 3,0696 2,4817 1,9342 1,4531 1,0804 0,8586 0,8115 0,9347 1,1897 1,5005 1,7763 1,9562 2,0362 2,0498 2,0324 2,0117 2,0157 2,0684 2,1703 2,2893 2,3843 2,4292 2,4093 2,3178 2,1683 1,9970 1,8465 1,7479 1,7048 1,6873 1,6468 1,5391 1,3458 1,0865 0,8129 0,5821 0,4334 0,3819 0,4205 0,5216 0,6445 0,7506 0,8155 0,8297 0,8041 0,7691 0,7509 0,7412 0,7017 0,5996 0,4375 0,2466 0,0625 -0,0821 -0,1539 -0,1257
