Fp1   0,1746 -0,2529 -0,6886 -1,0704 -1,3507 -1,4851 -1,4579 -1,3103 -1,1256 -0,9859 -0,9378 -0,9885 -1,1270 -1,3331 -1,5599 -1,7397 -1,8309 -1,8482 -1,8349 -1,8163 -1,7757 -1,6706 -1,4680 -1,1577 -0,7540 -0,3037 0,1271 0,4937 0,8005 1,0844 1,3750 1,6728 1,9507 2,1617 2,2542 2,1986 2,0082 1,7283 1,4132 1,1256 0,9299 0,8584 0,9005 1,0228 1,1776 1,3118 1,3889 1,3844 1,2733 1,0574 0,7921 0,5607 0,4302 0,4246 0,5175 0,6520 0,7757 0,8583 0,8914 0,8864 0,8707 0,8736 0,9169 1,0179 1,1964 1,4646 1,7999 2,1373 2,3996 2,5280 2,4998 2,3427 2,1319 1,9631 1,9123 1,9979 2,1690 2,3272 2,3775 2,2856 2,1009 1,9139 1,7968 1,7858 1,8873 2,0808 2,3268 2,5819 2,8101 2,9894 3,0987 3,0972 2,9527 2,6967 2,4188 2,1988 2,0536 1,9431 1,8199 1,6648 1,4778 1,2702 1,0623 0,8513 0,5971 0,2789 -0,0448 -0,2658 -0,3042 -0,1468 0,1639 0,5595 0,9830 1,4086 1,8321 2,2495 2,6397 2,9599 3,1581 3,1964 3,0598 2,7490 2,2770 1,6839 1,0410 0,4270 -0,0951 -0,4819 -0,7178 -0,8298 -0,8702 -0,8709 -0,8190 -0,6777 -0,4238 -0,0759 0,3068 0,6705 1,0060 1,3347 1,6676 1,9854 2,2522 2,4470 2,5780 2,6555 2,6672 2,6014 2,4801 2,3515 2,2634 2,2560 2,3583 2,5694 2,8481 3,1181 3,2934 3,3264 3,2329 3,0655 2,8840 2,7489 2,7111 2,7878 2,9538 3,1708 3,4207 3,7034 4,0178 4,3516 4,6896 5,0275 5,3665 5,6936 5,9782 6,1955 6,3500 6,4606 6,5327 6,5696 6,5884 6,5994 6,5826 6,4960 6,3090 6,0297 5,6927 5,3276 4,9514 4,5803 4,2284 3,8919 3,5540 3,2174 2,9193 2,6982 2,5607 2,4969 2,5191 2,6590 2,9242 3,2767 3,6625 4,0415 4,3803 4,6390 4,7804 4,7897 4,6854 4,5188 4,3620 4,2782 4,3002 4,4372 4,6782 4,9821 5,2802 5,5005 5,6054 5,6071 5,5418 5,4351 5,2986 5,1576 5,0672 5,0753 5,1783 5,3251 5,4475 5,4808 5,3750 5,1034 4,6821 4,1811 3,6884 3,2467 2,8337 2,4148 2,0080 1,6789 1,4746 1,3745 1,3124 1,2363 1,1370 1,0212 0,8816 0,7082 0,5136 0,3193 0,1243 -0,0792 -0,2725 -0,4146 -0,4634 -0,3946 -0,2266 -0,0260 0,1352 0,2285 0,2710 0,2954 0,3287 0,3812 0,4419 0,4854 0,4921 0,4719 0,4730 0,5569 0,7518 1,0246 1,3093 1,5565 1,7437 1,8500 1,8604 1,8000 1,7307 1,7030 1,7214 1,7471 1,7241 1,6229 1,4706 1,3247 1,2151 1,1181 0,9881 0,8117 0,6217 0,4636 0,3758 0,3932 0,5297 0,7455 0,9562 1,0868 1,1062 1,0154 0,8260 0,5653 0,2893 0,0661 -0,0629 -0,1078 -0,1197 -0,1405 -0,1663 -0,1768 -0,1745 -0,1704 -0,1700 -0,1794 -0,1952 -0,1930 -0,1419 -0,0221 0,1694 0,4036 0,6136 0,7237 0,6915 0,5297 0,2955 0,0611 -0,1162 -0,2036 -0,1838 -0,0530 0,1568 0,3729 0,5257 0,6093 0,6842 0,8165 1,0233 1,2775 1,5499 1,8231 2,0766 2,2901 2,4597 2,5933 2,6862 2,7093 2,6246 2,4160 2,1012 1,7168 1,3108 0,9584 0,7558 0,7721 1,0176 1,4612 2,0542 2,7231 3,3655 3,8797 4,1935 4,2749 4,1514 3,9196 3,7027 3,5820 3,5618 3,5888 3,5962 3,5412 3,4056 3,1716 2,8302 2,4140 1,9982 1,6638 1,4595 1,3839 1,4046 1,4944 1,6432 1,8382 2,0452 2,2170 2,3168 2,3405 2,3068 2,2168 2,0472 1,7872 1,4650 1,1535 0,9487 0,9088 1,0015 1,1276 1,1959 1,1767 1,0986 1,0069 0,9337 0,8982 0,9031 0,9222 0,9153 0,8687 0,8218 0,8458 0,9864 1,2198 1,4644 1,6359 1,6942 1,6501 1,5456 1,4463 1,4275 1,5205 1,6809 1,8317 1,9289 1,9771 2,0006 2,0115 2,0006 1,9429 1,8050 1,5587 1,2122 0,8272 0,4831 0,2300 0,0766 -0,0009 -0,0375 -0,0413 0,0201 0,1780 0,4217 0,7129 1,0238 1,3451 1,6679 1,9745 2,2464 2,4736 2,6562 2,7974 2,8991 2,9767 3,0598 3,1605 3,2612 3,3404 3,3888 3,4065 3,4053 3,4006 3,3895 3,3489 3,2480 3,0549 2,7560 2,3736 1,9541 1,5448 1,1806 0,8791 0,6529 0,5279 0,5285 0,6440 0,8195 0,9820 1,0685 1,0489 0,9414 0,7915 0,6211 0,4044 0,1030 -0,2826 -0,7087 -1,1189 -1,4627 -1,7051 -1,8438 -1,9062 -1,9261 -1,9182 -1,8578 -1,6880 -1,3633 -0,8860 -0,3028 0,3109 0,8662 1,2844 1,5206 1,5743 1,4931 1,3677 1,2976 1,3413 1,4897 1,6808 1,8363 1,8972 1,8556 1,7636 1,7040 1,7463 1,9296 2,2608 2,7110 3,2250 3,7349 4,1646 4,4504 4,5719 4,5507 4,4160 4,1934 3,9277 3,6904 3,5493 3,5331 3,6146 3,7205 3,7672 3,6985 3,5032 3,2179 2,9098 2,6442 2,4524 2,3200 2,2078 2,0836 1,9397 1,8021 1,7321 1,7898 1,9762 2,2261 2,4515 2,5867 2,6142 2,5644 2,4996 2,4863 2,5574 2,6978 2,8737 3,0700 3,2954 3,5582 3,8475 4,1410 4,4118 4,6230 4,7323 4,7210 4,6129 4,4517 4,2633 4,0489 3,8017 3,5182 3,2029 2,8700 2,5372 2,2318 2,0063 1,9179 1,9795 2,1508 2,3775 2,6133 2,8092 2,9165 2,9132 2,8215 2,7074 2,6596 2,7406 2,9455 3,2133 3,4683 3,6551 3,7433 3,7208 3,6124 3,4811 3,3738 3,2827 3,1712 3,0112 2,7909 2,5052
Fz    1,0405 0,7688 0,5051 0,2840 0,1140 -0,0171 -0,1242 -0,2196 -0,3260 -0,4799 -0,6997 -0,9678 -1,2585 -1,5593 -1,8512 -2,0973 -2,2620 -2,3245 -2,2772 -2,1238 -1,8875 -1,6129 -1,3420 -1,0870 -0,8402 -0,6042 -0,4015 -0,2578 -0,1769 -0,1338 -0,0893 -0,0043 0,1486 0,3670 0,6115 0,8281 0,9848 1,0840 1,1457 1,1964 1,2641 1,3686 1,5186 1,7118 1,9232 2,0990 2,1762 2,1222 1,9676 1,7960 1,6926 1,6937 1,7802 1,9082 2,0321 2,1136 2,1324 2,0915 2,0152 1,9374 1,8780 1,8401 1,8324 1,8719 1,9621 2,0932 2,2552 2,4329 2,6033 2,7502 2,8658 2,9464 2,9949 3,0236 3,0466 3,0600 3,0280 2,9007 2,6494 2,2850 1,8563 1,4449 1,1435 1,0109 1,0451 1,2005 1,4269 1,6887 1,9621 2,2197 2,4166 2,4987 2,4460 2,3059 2,1633 2,0806 2,0636 2,0647 2,0150 1,8597 1,5717 1,1627 0,6785 0,1596 -0,3805 -0,9236 -1,4091 -1,7553 -1,9053 -1,8351 -1,5453 -1,0748 -0,5019 0,0882 0,6318 1,0872 1,4279 1,6403 1,7267 1,7021 1,5816 1,3717 1,0828 0,7340 0,3326 -0,1246 -0,6134 -1,0769 -1,4683 -1,7740 -2,0049 -2,1745 -2,2796 -2,2990 -2,2110 -2,0154 -1,7360 -1,3983 -1,0227 -0,6405 -0,2876 0,0286 0,3306 0,6390 0,9514 1,2475 1,5031 1,7009 1,8419 1,9471 2,0488 2,1756 2,3369 2,5181 2,6894 2,8179 2,8826 2,8892 2,8609 2,8178 2,7771 2,7625 2,8035 2,9208 3,1210 3,4062 3,7730 4,1887 4,5879 4,9047 5,1100 5,2228 5,2936 5,3749 5,4973 5,6675 5,8844 6,1506 6,4629 6,8007 7,1256 7,3916 7,5546 7,5839 7,4760 7,2512 6,9344 6,5432 6,0920 5,6063 5,1270 4,6852 4,2889 3,9507 3,7006 3,5575 3,5094 3,5336 3,6224 3,7803 4,0018 4,2648 4,5532 4,8763 5,2508 5,6684 6,0897 6,4644 6,7533 6,9447 7,0604 7,1388 7,2150 7,3169 7,4619 7,6516 7,8811 8,1498 8,4525 8,7662 9,0490 9,2515 9,3318 9,2698 9,0788 8,8036 8,4977 8,2014 7,9400 7,7221 7,5254 7,3058 7,0358 6,7251 6,3995 6,0706 5,7302 5,3725 5,0221 4,7298 4,5208 4,3551 4,1592 3,8896 3,5559 3,1951 2,8441 2,5318 2,2793 2,0994 1,9913 1,9402 1,9184 1,8881 1,8180 1,7100 1,6005 1,5273 1,5085 1,5524 1,6711 1,8738 2,1485 2,4466 2,6973 2,8471 2,8855 2,8479 2,8026 2,8204 2,9315 3,1163 3,3416 3,5892 3,8465 4,0934 4,3120 4,4998 4,6630 4,7925 4,8552 4,8197 4,6849 4,4912 4,3113 4,2123 4,2081 4,2473 4,2545 4,1782 4,0050 3,7531 3,4695 3,2212 3,0702 3,0394 3,0987 3,1945 3,2864 3,3451 3,3383 3,2451 3,0816 2,8924 2,7119 2,5388 2,3504 2,1407 1,9320 1,7521 1,6213 1,5579 1,5700 1,6470 1,7715 1,9314 2,1139 2,2974 2,4571 2,5695 2,6034 2,5238 2,3160 2,0009 1,6324 1,2817 1,0111 0,8552 0,8293 0,9341 1,1395 1,3818 1,5972 1,7592 1,8872 2,0245 2,2100 2,4606 2,7708 3,1178 3,4606 3,7472 3,9369 4,0166 3,9919 3,8736 3,6752 3,4107 3,0933 2,7386 2,3778 2,0787 1,9386 2,0391 2,4078 3,0181 3,8101 4,7011 5,5891 6,3754 6,9918 7,4058 7,6140 7,6355 7,5071 7,2802 7,0053 6,7123 6,4092 6,1056 5,8203 5,5603 5,3210 5,1172 4,9802 4,9217 4,9197 4,9398 4,9566 4,9637 4,9747 5,0107 5,0846 5,1930 5,3186 5,4452 5,5653 5,6595 5,6803 5,5694 5,2930 4,8705 4,3770 3,9086 3,5354 3,2829 3,1439 3,0974 3,1229 3,2043 3,3263 3,4719 3,6217 3,7528 3,8455 3,8989 3,9357 3,9895 4,0856 4,2275 4,3942 4,5539 4,6851 4,7853 4,8687 4,9647 5,1056 5,2966 5,5048 5,6844 5,8050 5,8558 5,8360 5,7451 5,5771 5,3237 4,9784 4,5459 4,0642 3,6105 3,2668 3,0769 3,0319 3,0834 3,1726 3,2643 3,3607 3,4806 3,6314 3,8022 3,9741 4,1368 4,2982 4,4821 4,7182 5,0222 5,3841 5,7729 6,1494 6,4880 6,7895 7,0644 7,3133 7,5240 7,6766 7,7532 7,7489 7,6766 7,5667 7,4615 7,3895 7,3447 7,2960 7,2151 7,0862 6,8977 6,6387 6,3062 5,9139 5,4985 5,1203 4,8469 4,7194 4,7250 4,7999 4,8632 4,8525 4,7387 4,5220 4,2217 3,8637 3,4793 3,1044 2,7639 2,4657 2,2140 2,0173 1,8768 1,7801 1,7106 1,6714 1,6953 1,8241 2,0807 2,4624 2,9425 3,4664 3,9586 4,3476 4,5884 4,6781 4,6671 4,6451 4,6902 4,8240 5,0156 5,2163 5,3889 5,5212 5,6286 5,7407 5,8827 6,0752 6,3336 6,6521 6,9984 7,3282 7,5977 7,7703 7,8263 7,7701 7,6226 7,4140 7,1925 7,0241 6,9585 6,9915 7,0626 7,0883 7,0071 6,8036 6,5006 6,1469 5,8074 5,5422 5,3836 5,3271 5,3399 5,3768 5,3955 5,3694 5,3018 5,2208 5,1609 5,1484 5,1935 5,2849 5,3998 5,5259 5,6718 5,8590 6,1023 6,4040 6,7631 7,1805 7,6508 8,1451 8,6110 8,9974 9,2737 9,4291 9,4675 9,4083 9,2792 9,0984 8,8676 8,5883 8,2790 7,9704 7,6825 7,4126 7,1488 6,8894 6,6476 6,4446 6,2928 6,1881 6,1176 6,0691 6,0289 5,9794 5,9090 5,8218 5,7398 5,6944 5,7055 5,7715 5,8897 6,0698 6,3172 6,6053 6,8783 7,0840 7,1973 7,2054 7,0962 6,8648 6,5195 6,0867 5,6113
F3    0,7206 0,3060 0,0192 -0,1122 -0,1431 -0,1509 -0,1692 -0,1831 -0,1892 -0,2298 -0,3468 -0,5355 -0,7649 -1,0116 -1,2558 -1,4786 -1,6723 -1,8272 -1,9163 -1,9220 -1,8706 -1,8151 -1,7773 -1,7166 -1,5769 -1,3494 -1,0690 -0,7631 -0,4306 -0,0628 0,3408 0,7714 1,2004 1,5785 1,8443 1,9372 1,8297 1,5550 1,1969 0,8681 0,6762 0,6769 0,8534 1,1288 1,3991 1,5756 1,6180 1,5407 1,4047 1,2984 1,2914 1,3737 1,4599 1,4642 1,3627 1,1940 1,0236 0,9097 0,8827 0,9342 1,0299 1,1429 1,2689 1,4054 1,5365 1,6545 1,7680 1,8737 1,9455 1,9556 1,8973 1,7972 1,7085 1,6930 1,7928 1,9878 2,1795 2,2387 2,0828 1,7257 1,2732 0,8768 0,6718 0,7157 0,9599 1,2887 1,5945 1,8276 1,9984 2,1491 2,3015 2,4146 2,4196 2,3038 2,1324 1,9961 1,9488 1,9732 1,9886 1,8869 1,5808 1,0682 0,4427 -0,1910 -0,7831 -1,3105 -1,7132 -1,8932 -1,7757 -1,3483 -0,6628 0,1677 0,9991 1,7077 2,2267 2,5457 2,6803 2,6514 2,4949 2,2588 1,9708 1,6292 1,2371 0,8166 0,3725 -0,1214 -0,6726 -1,2313 -1,7215 -2,0971 -2,3629 -2,5369 -2,6092 -2,5448 -2,3154 -1,9446 -1,5145 -1,0988 -0,7127 -0,3536 -0,0471 0,1851 0,3659 0,5315 0,6870 0,8187 0,9234 1,0059 1,0755 1,1493 1,2394 1,3432 1,4505 1,5457 1,6091 1,6288 1,6187 1,6124 1,6266 1,6459 1,6549 1,6718 1,7458 1,9219 2,2111 2,6000 3,0667 3,5612 3,9998 4,3130 4,4967 4,6081 4,7166 4,8598 5,0347 5,2245 5,4327 5,6786 5,9621 6,2525 6,5113 6,7046 6,8007 6,7768 6,6289 6,3691 6,0168 5,5960 5,1403 4,7056 4,3558 4,1139 3,9547 3,8608 3,8432 3,8924 3,9507 3,9655 3,9530 3,9900 4,1382 4,3903 4,7010 5,0437 5,4083 5,7703 6,0975 6,3712 6,5734 6,6735 6,6624 6,5814 6,5011 6,4864 6,5625 6,6983 6,8439 6,9815 7,1190 7,2588 7,3888 7,4860 7,5135 7,4346 7,2549 7,0367 6,8561 6,7676 6,7902 6,8723 6,8807 6,6800 6,2420 5,6563 5,0390 4,4486 3,8800 3,3233 2,8295 2,4916 2,3442 2,3209 2,3236 2,2993 2,2377 2,1380 2,0094 1,8719 1,7412 1,6248 1,5283 1,4563 1,4118 1,3935 1,3930 1,4019 1,4206 1,4522 1,4961 1,5551 1,6408 1,7699 1,9501 2,1572 2,3365 2,4348 2,4320 2,3589 2,2936 2,3198 2,4628 2,6695 2,8744 3,0696 3,2791 3,4962 3,6908 3,8623 4,0519 4,2890 4,5409 4,7218 4,7447 4,5859 4,3184 4,0679 3,9159 3,8513 3,8154 3,7658 3,6817 3,5476 3,3685 3,1917 3,0809 3,0503 3,0488 3,0234 2,9683 2,8982 2,8096 2,6838 2,5069 2,2744 1,9946 1,6884 1,3840 1,1257 0,9747 0,9642 1,0644 1,2117 1,3615 1,5032 1,6475 1,8076 1,9732 2,1053 2,1748 2,1781 2,1007 1,9079 1,5923 1,2009 0,8169 0,5319 0,4125 0,4691 0,6641 0,9436 1,2451 1,5019 1,6626 1,7131 1,6882 1,6676 1,7397 1,9447 2,2576 2,6227 2,9886 3,3096 3,5395 3,6462 3,6303 3,5126 3,3161 3,0708 2,8135 2,5572 2,2923 2,0423 1,8861 1,9112 2,1651 2,6540 3,3611 4,2352 5,1641 6,0044 6,6419 7,0074 7,0726 6,8586 6,4429 5,9440 5,4785 5,1124 4,8436 4,6328 4,4431 4,2400 3,9968 3,7326 3,5104 3,3757 3,3267 3,3410 3,4027 3,5152 3,6945 3,9459 4,2470 4,5442 4,7759 4,9214 5,0174 5,0983 5,1374 5,0609 4,8031 4,3568 3,7910 3,2121 2,7040 2,3040 2,0148 1,8300 1,7537 1,7987 1,9719 2,2591 2,6166 2,9683 3,2340 3,3827 3,4487 3,4868 3,5295 3,5790 3,6097 3,5776 3,4519 3,2459 3,0228 2,8780 2,8978 3,1033 3,4278 3,7589 4,0064 4,1348 4,1530 4,0846 3,9456 3,7362 3,4401 3,0456 2,5885 2,1681 1,8973 1,8370 1,9779 2,2547 2,5705 2,8440 3,0502 3,2057 3,3316 3,4383 3,5202 3,5623 3,5704 3,5874 3,6738 3,8746 4,2034 4,6409 5,1319 5,6166 6,0791 6,5300 6,9510 7,2900 7,4957 7,5376 7,4091 7,1317 6,7693 6,4186 6,1524 5,9769 5,8653 5,8043 5,7811 5,7494 5,6278 5,3336 4,8384 4,2099 3,6038 3,2047 3,1284 3,3411 3,6652 3,8764 3,8192 3,4775 2,9639 2,4250 1,9413 1,5253 1,1693 0,8628 0,6002 0,3925 0,2603 0,2216 0,2904 0,4610 0,7011 0,9801 1,2861 1,6201 1,9956 2,4202 2,8665 3,2791 3,6031 3,7910 3,8134 3,7019 3,5654 3,5242 3,6309 3,8604 4,1378 4,3644 4,4662 4,4497 4,3963 4,4068 4,5647 4,9131 5,4172 5,9688 6,4489 6,7761 6,9108 6,8601 6,6857 6,4770 6,3032 6,1964 6,1741 6,2593 6,4597 6,7187 6,9132 6,9239 6,6987 6,2598 5,6838 5,0749 4,5390 4,1527 3,9255 3,8045 3,7324 3,6748 3,6085 3,5319 3,4783 3,4972 3,6269 3,8697 4,1847 4,5078 4,7800 4,9715 5,0916 5,1740 5,2582 5,3900 5,6296 6,0227 6,5426 7,0803 7,5127 7,7710 7,8475 7,7736 7,6061 7,4019 7,1733 6,8933 6,5577 6,2129 5,9220 5,7243 5,6181 5,5654 5,5147 5,4414 5,3679 5,3307 5,3378 5,3696 5,4015 5,4066 5,3594 5,2573 5,1310 5,0370 5,0212 5,0709 5,1291 5,1688 5,2214 5,3299 5,4910 5,6450 5,7208 5,6848 5,5443 5,3246 5,0502 4,7380 4,4035 4,0653
F7    0,6176 0,4778 0,1707 -0,2441 -0,7222 -1,2386 -1,7661 -2,2775 -2,7044 -2,9062 -2,7719 -2,3583 -1,8828 -1,5763 -1,5034 -1,5027 -1,3611 -1,0412 -0,6778 -0,4059 -0,2640 -0,2065 -0,1480 -0,0274 0,1482 0,3250 0,4407 0,4484 0,3536 0,2458 0,2400 0,3674 0,5560 0,7130 0,8043 0,8537 0,8859 0,9239 1,0246 1,2429 1,5670 1,9128 2,1718 2,2687 2,1940 1,9920 1,7077 1,3632 0,9809 0,5891 0,2171 -0,0793 -0,2098 -0,1188 0,1075 0,2607 0,1819 -0,1201 -0,5022 -0,8022 -0,9556 -1,0133 -1,0416 -1,0564 -1,0606 -1,0514 -0,9748 -0,7727 -0,4721 -0,1504 0,1441 0,3852 0,5390 0,5758 0,4986 0,3463 0,1652 0,0084 -0,0513 0,0100 0,1126 0,1852 0,2813 0,5109 0,9030 1,3808 1,8372 2,2081 2,4825 2,6647 2,7571 2,7723 2,7323 2,6425 2,4732 2,1962 1,8363 1,4647 1,1673 1,0168 1,0106 1,0365 0,9444 0,6583 0,2252 -0,2216 -0,5324 -0,6053 -0,4465 -0,1745 0,0985 0,3708 0,7037 1,1283 1,6264 2,1546 2,6545 3,0512 3,2615 3,2282 2,9633 2,5539 2,1074 1,6740 1,2208 0,6969 0,1197 -0,4302 -0,8832 -1,2125 -1,4055 -1,4403 -1,3235 -1,1338 -0,9682 -0,8475 -0,7131 -0,5078 -0,2251 0,1062 0,4499 0,7719 1,0472 1,2515 1,3514 1,3235 1,1991 1,0935 1,1490 1,4221 1,8445 2,2928 2,6673 2,9126 3,0140 2,9847 2,8430 2,6384 2,4851 2,4980 2,7027 3,0375 3,4057 3,7171 3,9379 4,1314 4,4022 4,7694 5,1208 5,3030 5,2457 4,9907 4,6369 4,3258 4,2418 4,5334 5,2169 6,1482 7,0739 7,7337 7,9677 7,7800 7,2986 6,6799 6,0441 5,4543 4,9570 4,6290 4,5087 4,5040 4,4650 4,3403 4,1912 4,0628 3,9157 3,7055 3,4541 3,2101 3,0008 2,8397 2,7498 2,7743 2,9591 3,3283 3,8671 4,5032 5,1006 5,5049 5,6380 5,5466 5,3415 5,1072 4,8670 4,6202 4,3970 4,2563 4,2389 4,3327 4,4722 4,5776 4,6020 4,5534 4,4856 4,4459 4,4335 4,4137 4,3386 4,1696 3,9214 3,6721 3,5015 3,4159 3,3418 3,1878 2,9013 2,4846 1,9924 1,4971 1,0285 0,5808 0,1730 -0,1641 -0,4331 -0,6493 -0,8343 -1,0492 -1,3339 -1,6156 -1,7725 -1,7687 -1,6724 -1,5635 -1,4423 -1,2259 -0,8435 -0,3345 0,1602 0,5175 0,7292 0,8766 1,0352 1,2060 1,3176 1,2876 1,0854 0,7377 0,3126 -0,0927 -0,4081 -0,6418 -0,8216 -0,9031 -0,8032 -0,5048 -0,0735 0,4076 0,8714 1,2711 1,5819 1,7694 1,7591 1,4861 0,9876 0,4176 -0,0368 -0,2573 -0,2545 -0,1384 -0,0160 0,0760 0,1581 0,2647 0,4081 0,5559 0,6438 0,6183 0,4649 0,2155 -0,0670 -0,3278 -0,5508 -0,7383 -0,8644 -0,8755 -0,7589 -0,5863 -0,4418 -0,3406 -0,2724 -0,2617 -0,3279 -0,4376 -0,5278 -0,5527 -0,5049 -0,3925 -0,2103 0,0425 0,3396 0,6642 1,0264 1,4080 1,7406 1,9465 1,9784 1,8187 1,4530 0,8984 0,2884 -0,1445 -0,2167 0,1080 0,7492 1,5732 2,4250 3,1414 3,5904 3,7486 3,7269 3,6662 3,6026 3,4676 3,2242 2,9397 2,7067 2,5689 2,5222 2,5047 2,4296 2,2891 2,1753 2,1989 2,4133 2,7839 3,2212 3,6303 3,9224 4,0212 3,9009 3,6184 3,2908 3,0294 2,8711 2,7869 2,7630 2,8016 2,8349 2,7330 2,4271 1,9932 1,6150 1,4512 1,5173 1,7129 1,9416 2,1422 2,2337 2,1256 1,7991 1,3295 0,8313 0,4124 0,1767 0,2125 0,5427 1,0948 1,7376 2,3500 2,8550 3,2018 3,3365 3,2081 2,8278 2,3067 1,7765 1,2943 0,8670 0,5120 0,2481 0,0577 -0,1062 -0,2872 -0,5093 -0,7591 -0,9834 -1,1452 -1,2597 -1,3276 -1,2699 -0,9855 -0,4845 0,0714 0,4857 0,6501 0,5587 0,2710 -0,1044 -0,4195 -0,5252 -0,3225 0,1914 0,9215 1,7152 2,3876 2,7808 2,8459 2,6236 2,1711 1,5510 0,8600 0,2282 -0,2440 -0,5639 -0,8191 -1,0530 -1,2086 -1,2081 -1,0331 -0,7228 -0,3449 0,0459 0,4457 0,8756 1,3311 1,7654 2,0977 2,2562 2,2334 2,0839 1,8597 1,5933 1,3502 1,2297 1,3012 1,5527 1,8795 2,1232 2,1476 1,9197 1,5490 1,2310 1,0990 1,1060 1,0903 0,9476 0,6859 0,3540 -0,0135 -0,3944 -0,7757 -1,1706 -1,6212 -2,1633 -2,7711 -3,3340 -3,7108 -3,8144 -3,6672 -3,4011 -3,1696 -3,0375 -2,9650 -2,8897 -2,8251 -2,8602 -3,0281 -3,2357 -3,3692 -3,3787 -3,2494 -3,0037 -2,7274 -2,5289 -2,4934 -2,6519 -2,9436 -3,2495 -3,4825 -3,6014 -3,5526 -3,2545 -2,6838 -1,9824 -1,3995 -1,0948 -1,0543 -1,1530 -1,2302 -1,1751 -1,0069 -0,8461 -0,8076 -0,9221 -1,1096 -1,2362 -1,2158 -1,0440 -0,7517 -0,3632 0,0652 0,4157 0,6209 0,7729 1,0373 1,4667 1,9149 2,1456 2,0232 1,5821 0,9570 0,2782 -0,4003 -1,0770 -1,7079 -2,1901 -2,4432 -2,4686 -2,3503 -2,1943 -2,0275 -1,8060 -1,5341 -1,2866 -1,1208 -1,0488 -1,0927 -1,2973 -1,6723 -2,1334 -2,4889 -2,5125 -2,0955 -1,3324 -0,4492 0,3290 0,8641 1,1241 1,1516 1,0080 0,7335 0,3606 -0,0609 -0,4898 -0,9168 -1,3256 -1,6631 -1,8896 -2,0185 -2,0678 -2,0198 -1,8609 -1,6248 -1,3602 -1,0767 -0,7644 -0,4609 -0,2601 -0,2534 -0,4644 -0,8120 -1,1447 -1,3559 -1,4676 -1,5662 -1,6596 -1,6504 -1,4603 -1,1140 -0,6913 -0,2662 0,0993 0,3628 0,5185 0,5656 0,4527 0,0991 -0,5510 -1,5103 -2,7005 -3,9218
