Fp1   -0,4792 -0,5038 -0,4385 -0,3252 -0,2330 -0,2092 -0,2475 -0,2964 -0,3075 -0,2736 -0,2183 -0,1606 -0,0930 0,0133 0,1831 0,4112 0,6583 0,8662 0,9782 0,9574 0,8017 0,5454 0,2451 -0,0435 -0,2893 -0,4947 -0,6779 -0,8392 -0,9454 -0,9534 -0,8461 -0,6434 -0,3783 -0,0721 0,2658 0,6212 0,9545 1,1882 1,2338 1,0523 0,6902 0,2619 -0,1020 -0,3185 -0,3828 -0,3456 -0,2713 -0,2084 -0,1748 -0,1553 -0,1163 -0,0268 0,1330 0,3715 0,6758 1,0051 1,3067 1,5299 1,6260 1,5671 1,3754 1,1151 0,8499 0,6181 0,4437 0,3525 0,3646 0,4742 0,6389 0,7875 0,8501 0,7929 0,6355 0,4347 0,2494 0,1145 0,0341 -0,0011 0,0124 0,0959 0,2659 0,5101 0,7859 1,0371 1,2104 1,2731 1,2335 1,1350 1,0205 0,9133 0,8285 0,7735 0,7337 0,6822 0,6171 0,5763 0,6033 0,7019 0,8262 0,8956 0,8239 0,5621 0,1263 -0,4148 -0,9769 -1,4970 -1,9559 -2,3734 -2,7793 -3,1958 -3,6420 -4,1302 -4,6510 -5,1690 -5,6376 -6,0227 -6,3168 -6,5331 -6,6911 -6,8078 -6,9015 -6,9989 -7,1277 -7,2920 -7,4511 -7,5262 -7,4425 -7,1688 -6,7243 -6,1659 -5,5797 -5,0625 -4,6839 -4,4467 -4,2866 -4,1132 -3,8650 -3,5392 -3,1841 -2,8676 -2,6427 -2,5228 -2,4756 -2,4400 -2,3554 -2,1847 -1,9163 -1,5533 -1,1046 -0,5823 -0,0044 0,6012 1,2053 1,7890 2,3412 2,8420 3,2543 3,5357 3,6720 3,7078 3,7361 3,8434 4,0560 4,3367 4,6242 4,8616 5,0010 5,0140 4,9128 4,7481 4,5754 4,4320 4,3471 4,3431 4,4117 4,5064 4,5774 4,6082 4,6108 4,5923 4,5320 4,3947 4,1666 3,8789 3,5945 3,3649 3,1997 3,0783 2,9826 2,9174 2,9019 2,9472 3,0429 3,1662 3,2961 3,4167 3,5115 3,5611 3,5503 3,4767 3,3536 3,2085 3,0739 2,9690 2,8879 2,8174 2,7590 2,7211 2,6999 2,6787 2,6473 2,6221 2,6497 2,7791 3,0181 3,3246 3,6412 3,9327 4,1931 4,4268 4,6220 4,7419 4,7441 4,6122 4,3741 4,0921 3,8315 3,6341 3,5119 3,4498 3,4143 3,3795 3,3572 3,3939 3,5274 3,7429 3,9705 4,1237 4,1424 4,0145 3,7755 3,4895 3,2214 3,0132 2,8859 2,8574 2,9435 3,1299 3,3486 3,5044 3,5349 3,4427 3,2794 3,1102 2,9868 2,9348 2,9540 3,0242 3,1145 3,1948 3,2474 3,2742 3,2954 3,3349 3,4079 3,5221 3,6871 3,9136 4,2027 4,5318 4,8533 5,1137 5,2810 5,3544 5,3535 5,3051 5,2440 5,2178 5,2791 5,4667 5,7887 6,2099 6,6504 7,0081 7,1954 7,1714 6,9583 6,6280 6,2677 5,9501 5,7163 5,5754 5,5238 5,5622 5,6896 5,8875 6,1154 6,3208 6,4510 6,4659 6,3575 6,1551 5,9077 5,6557 5,4196 5,2088 5,0300 4,8953 4,8320 4,8700 5,0051 5,1875 5,3560 5,4721 5,5214 5,5043 5,4351 5,3394 5,2438 5,1724 5,1514 5,2050 5,3362 5,5243 5,7441 5,9715 6,1686 6,2794 6,2514 6,0590 5,7088 5,2383 4,7135 4,2091 3,7834 3,4738 3,2990 3,2508 3,2986 3,4114 3,5633 3,7183 3,8313 3,8813 3,8890 3,8936 3,9178 3,9608 4,0166 4,0886 4,1874 4,3280 4,5249 4,7729 5,0329 5,2463 5,3630 5,3576 5,2320 5,0146 4,7588 4,5393 4,4352 4,5010 4,7430 5,1151 5,5416 5,9529 6,3043 6,5755 6,7674 6,8968 6,9856 7,0557 7,1258 7,1998 7,2577 7,2717 7,2407 7,1971 7,1697 7,1582 7,1412 7,0820 6,9268 6,6285 6,1826 5,6403 5,0900 4,6261 4,3183 4,1963 4,2462 4,4155 4,6294 4,8109 4,9006 4,8708 4,7297 4,5184 4,2991 4,1258 4,0209 3,9810 3,9947 4,0444 4,1088 4,1710 4,2252 4,2796 4,3532 4,4660 4,6298 4,8464 5,1083 5,3987 5,6871 5,9287 6,0762 6,0978 5,9873 5,7622 5,4533 5,0986 4,7456 4,4460 4,2391 4,1348 4,1140 4,1392 4,1669 4,1633 4,1306 4,1043 4,1049 4,1117 4,0970 4,0677 4,0628 4,1227 4,2567 4,4297 4,5799 4,6537 4,6345 4,5466 4,4299 4,3051 4,1678 4,0054 3,8147 3,6090 3,4078 3,2225 3,0627 2,9523 2,9184 2,9581 3,0280 3,0769 3,0882 3,0840 3,0994 3,1600 3,2636 3,3679 3,4078 3,3396 3,1717 2,9536 2,7416 2,5674 2,4318 2,3217 2,2322 2,1722 2,1462 2,1364 2,1055 2,0109 1,8194 1,5274 1,1784 0,8451 0,5848 0,4157 0,3264 0,2884 0,2666 0,2341 0,1732 0,0603 -0,1378 -0,4436 -0,8387 -1,2481 -1,5637 -1,7013 -1,6476 -1,4609 -1,2282 -1,0174 -0,8601 -0,7606 -0,7050 -0,6735 -0,6557 -0,6552 -0,6808 -0,7369 -0,8234 -0,9372 -1,0716 -1,2190 -1,3726 -1,5148 -1,6003 -1,5707 -1,4019 -1,1262 -0,8059 -0,4973 -0,2378 -0,0507 0,0579 0,1038 0,1105 0,0874 0,0350 -0,0397 -0,1320 -0,2538 -0,4184 -0,6094 -0,7823 -0,8977 -0,9436 -0,9332 -0,8906 -0,8355 -0,7771 -0,7227 -0,6843 -0,6783 -0,7285 -0,8643 -1,0986 -1,4080 -1,7404 -2,0426 -2,2877 -2,4771 -2,6190 -2,7191 -2,7898 -2,8545 -2,9419 -3,0753 -3,2614 -3,4855 -3,7201 -3,9397 -4,1305 -4,2767 -4,3499 -4,3297 -4,2262 -4,0720 -3,9064 -3,7736 -3,7084 -3,7018 -3,6985 -3,6389 -3,5024 -3,3138 -3,1184 -2,9522 -2,8325 -2,7655 -2,7482 -2,7670 -2,8110 -2,8839 -2,9912 -3,1184 -3,2289 -3,2773 -3,2234 -3,0460 -2,7574 -2,4094 -2,0727 -1,7996 -1,6025 -1,4600 -1,3425 -1,2366 -1,1440 -1,0585
Fz    0,2311 0,2007 0,1971 0,1839 0,1245 0,0068 -0,1433 -0,2785 -0,3682 -0,4170 -0,4483 -0,4755 -0,4872 -0,4504 -0,3318 -0,1250 0,1372 0,3918 0,5690 0,6224 0,5497 0,3931 0,2164 0,0699 -0,0381 -0,1400 -0,2700 -0,4239 -0,5577 -0,6271 -0,6182 -0,5378 -0,3900 -0,1735 0,1034 0,4104 0,6935 0,8818 0,9183 0,7964 0,5633 0,2922 0,0504 -0,1231 -0,2186 -0,2459 -0,2284 -0,1945 -0,1622 -0,1294 -0,0831 -0,0119 0,0892 0,2235 0,3955 0,6075 0,8564 1,1239 1,3704 1,5522 1,6457 1,6511 1,5822 1,4636 1,3296 1,2151 1,1414 1,1093 1,0981 1,0726 1,0021 0,8809 0,7310 0,5852 0,4680 0,3861 0,3359 0,3180 0,3459 0,4365 0,5955 0,8142 1,0720 1,3326 1,5414 1,6491 1,6479 1,5726 1,4669 1,3622 1,2800 1,2296 1,2000 1,1668 1,1166 1,0643 1,0432 1,0733 1,1392 1,1925 1,1741 1,0459 0,8072 0,4863 0,1214 -0,2550 -0,6293 -1,0085 -1,4063 -1,8314 -2,2855 -2,7613 -3,2356 -3,6741 -4,0490 -4,3547 -4,6075 -4,8329 -5,0547 -5,2900 -5,5520 -5,8531 -6,1965 -6,5618 -6,8979 -7,1395 -7,2354 -7,1663 -6,9387 -6,5805 -6,1449 -5,7023 -5,3103 -4,9918 -4,7385 -4,5260 -4,3250 -4,1108 -3,8721 -3,6120 -3,3387 -3,0549 -2,7534 -2,4256 -2,0695 -1,6890 -1,2872 -0,8644 -0,4193 0,0560 0,5804 1,1715 1,8290 2,5307 3,2385 3,9050 4,4877 4,9644 5,3398 5,6479 5,9442 6,2804 6,6750 7,1103 7,5476 7,9377 8,2301 8,3919 8,4270 8,3694 8,2559 8,1115 7,9590 7,8236 7,7180 7,6308 7,5361 7,4093 7,2362 7,0145 6,7541 6,4736 6,1957 5,9423 5,7327 5,5736 5,4481 5,3290 5,2089 5,1087 5,0574 5,0661 5,1219 5,2021 5,2914 5,3817 5,4606 5,5063 5,4960 5,4163 5,2745 5,1052 4,9607 4,8809 4,8684 4,8922 4,9088 4,8821 4,7950 4,6558 4,4951 4,3534 4,2715 4,2819 4,3977 4,6071 4,8796 5,1761 5,4526 5,6650 5,7801 5,7892 5,7096 5,5765 5,4362 5,3365 5,3072 5,3435 5,4129 5,4716 5,4813 5,4254 5,3229 5,2193 5,1547 5,1352 5,1279 5,0810 4,9559 4,7545 4,5173 4,2980 4,1393 4,0615 4,0622 4,1269 4,2407 4,3873 4,5408 4,6709 4,7586 4,8011 4,8072 4,7952 4,7887 4,8069 4,8609 4,9531 5,0740 5,2040 5,3208 5,4104 5,4745 5,5270 5,5872 5,6787 5,8234 6,0295 6,2843 6,5568 6,8058 6,9921 7,0912 7,0980 7,0242 6,9027 6,7897 6,7548 6,8598 7,1378 7,5779 8,1206 8,6680 9,1145 9,3878 9,4772 9,4290 9,3118 9,1813 9,0708 8,9988 8,9782 9,0191 9,1242 9,2822 9,4667 9,6370 9,7431 9,7372 9,5967 9,3421 9,0344 8,7489 8,5410 8,4226 8,3644 8,3213 8,2679 8,2191 8,2079 8,2412 8,2860 8,2950 8,2356 8,1010 7,9081 7,6877 7,4748 7,3024 7,2004 7,1914 7,2830 7,4640 7,7125 8,0020 8,2930 8,5271 8,6460 8,6206 8,4562 8,1772 7,8173 7,4213 7,0387 6,7067 6,4403 6,2355 6,0778 5,9550 5,8647 5,8071 5,7724 5,7398 5,6918 5,6260 5,5566 5,5082 5,5061 5,5678 5,6954 5,8751 6,0921 6,3422 6,6229 6,9137 7,1774 7,3814 7,5089 7,5519 7,5058 7,3848 7,2366 7,1254 7,0972 7,1612 7,2993 7,4871 7,7090 7,9591 8,2350 8,5328 8,8409 9,1346 9,3839 9,5653 9,6633 9,6661 9,5792 9,4426 9,3167 9,2428 9,2226 9,2292 9,2151 9,1198 8,8912 8,5159 8,0334 7,5214 7,0595 6,6987 6,4555 6,3241 6,2872 6,3178 6,3776 6,4212 6,4089 6,3243 6,1839 6,0264 5,8841 5,7696 5,6855 5,6316 5,6047 5,6026 5,6321 5,7083 5,8452 6,0435 6,2861 6,5478 6,8092 7,0615 7,2984 7,5040 7,6491 7,7026 7,6498 7,4969 7,2631 6,9706 6,6446 6,3175 6,0274 5,8109 5,6918 5,6727 5,7313 5,8252 5,9063 5,9437 5,9292 5,8624 5,7450 5,5908 5,4247 5,2685 5,1342 5,0263 4,9450 4,8888 4,8519 4,8211 4,7830 4,7283 4,6450 4,5165 4,3327 4,1010 3,8455 3,5983 3,3903 3,2474 3,1880 3,2122 3,2904 3,3765 3,4370 3,4675 3,4800 3,4856 3,4936 3,5091 3,5188 3,4908 3,3991 3,2444 3,0530 2,8653 2,7223 2,6503 2,6500 2,6985 2,7607 2,8032 2,8010 2,7383 2,6056 2,4025 2,1490 1,8909 1,6801 1,5400 1,4553 1,3943 1,3335 1,2676 1,2028 1,1373 1,0469 0,8946 0,6576 0,3492 0,0215 -0,2598 -0,4512 -0,5511 -0,5873 -0,5940 -0,5946 -0,6004 -0,6134 -0,6298 -0,6460 -0,6665 -0,7020 -0,7608 -0,8471 -0,9629 -1,1065 -1,2693 -1,4384 -1,5959 -1,7110 -1,7357 -1,6243 -1,3653 -0,9922 -0,5620 -0,1259 0,2839 0,6490 0,9539 1,1825 1,3180 1,3446 1,2607 1,0852 0,8415 0,5450 0,2188 -0,0850 -0,2950 -0,3619 -0,2852 -0,1064 0,1176 0,3370 0,5180 0,6391 0,6865 0,6580 0,5668 0,4377 0,2974 0,1647 0,0450 -0,0661 -0,1776 -0,2961 -0,4172 -0,5271 -0,6183 -0,6993 -0,7897 -0,9095 -1,0693 -1,2654 -1,4810 -1,6947 -1,8868 -2,0351 -2,1167 -2,1247 -2,0773 -2,0028 -1,9235 -1,8547 -1,8021 -1,7518 -1,6774 -1,5654 -1,4285 -1,2940 -1,1858 -1,1185 -1,0995 -1,1326 -1,2132 -1,3260 -1,4573 -1,6072 -1,7785 -1,9575 -2,1091 -2,1896 -2,1646 -2,0227 -1,7863 -1,5122 -1,2703 -1,1105 -1,0414 -1,0329 -1,0407 -1,0326 -0,9954 -0,9260
F3    0,1931 0,0301 -0,0869 -0,1809 -0,2944 -0,4467 -0,6079 -0,7170 -0,7385 -0,6958 -0,6435 -0,6150 -0,5949 -0,5316 -0,3739 -0,1071 0,2349 0,5813 0,8503 0,9820 0,9640 0,8316 0,6451 0,4584 0,2915 0,1254 -0,0630 -0,2613 -0,4242 -0,5165 -0,5367 -0,4958 -0,3879 -0,1861 0,1287 0,5371 0,9672 1,3071 1,4510 1,3495 1,0270 0,5678 0,0832 -0,3308 -0,6180 -0,7588 -0,7683 -0,6871 -0,5529 -0,3848 -0,1971 -0,0120 0,1500 0,2839 0,4006 0,5203 0,6668 0,8440 1,0106 1,0980 1,0634 0,9151 0,6922 0,4394 0,2025 0,0273 -0,0535 -0,0370 0,0396 0,1109 0,1238 0,0742 0,0013 -0,0496 -0,0608 -0,0448 -0,0254 -0,0096 0,0247 0,1158 0,2919 0,5509 0,8556 1,1396 1,3205 1,3350 1,1845 0,9371 0,6793 0,4757 0,3616 0,3393 0,3746 0,4180 0,4423 0,4581 0,4943 0,5673 0,6610 0,7190 0,6669 0,4547 0,0826 -0,4050 -0,9381 -1,4491 -1,9059 -2,3205 -2,7245 -3,1434 -3,5884 -4,0490 -4,4891 -4,8605 -5,1311 -5,3052 -5,4169 -5,5020 -5,5804 -5,6662 -5,7949 -6,0239 -6,3916 -6,8696 -7,3568 -7,7230 -7,8702 -7,7637 -7,4226 -6,9019 -6,2899 -5,6979 -5,2213 -4,8964 -4,6872 -4,5133 -4,3010 -4,0229 -3,6994 -3,3672 -3,0526 -2,7647 -2,5004 -2,2538 -2,0211 -1,7961 -1,5643 -1,3087 -1,0156 -0,6690 -0,2450 0,2804 0,9157 1,6402 2,4004 3,1193 3,7186 4,1450 4,3910 4,5053 4,5780 4,6956 4,8962 5,1670 5,4758 5,7916 6,0824 6,3152 6,4691 6,5426 6,5449 6,4914 6,4146 6,3585 6,3481 6,3728 6,4047 6,4229 6,4165 6,3750 6,2844 6,1357 5,9365 5,7144 5,5036 5,3220 5,1573 4,9829 4,7936 4,6238 4,5224 4,5070 4,5493 4,6090 4,6690 4,7308 4,7891 4,8244 4,8157 4,7549 4,6539 4,5450 4,4731 4,4715 4,5388 4,6445 4,7475 4,8041 4,7729 4,6388 4,4382 4,2518 4,1648 4,2289 4,4418 4,7501 5,0793 5,3668 5,5756 5,6859 5,6896 5,5926 5,4144 5,1830 4,9399 4,7436 4,6509 4,6853 4,8233 5,0037 5,1517 5,2165 5,2025 5,1648 5,1638 5,2172 5,2866 5,3009 5,1986 4,9667 4,6514 4,3302 4,0704 3,9089 3,8588 3,9242 4,1001 4,3580 4,6355 4,8530 4,9494 4,9066 4,7492 4,5301 4,3098 4,1429 4,0717 4,1167 4,2686 4,4965 4,7582 5,0082 5,2063 5,3264 5,3649 5,3508 5,3435 5,4103 5,5926 5,8792 6,2010 6,4595 6,5778 6,5285 6,3296 6,0395 5,7542 5,5865 5,6274 5,9139 6,4114 7,0194 7,6044 8,0450 8,2668 8,2591 8,0718 7,7865 7,4810 7,2142 7,0242 6,9319 6,9482 7,0756 7,3018 7,5946 7,9004 8,1452 8,2468 8,1484 7,8616 7,4677 7,0671 6,7287 6,4781 6,3094 6,1972 6,1193 6,0855 6,1261 6,2390 6,3674 6,4407 6,4219 6,3189 6,1671 6,0097 5,8862 5,8306 5,8710 6,0192 6,2571 6,5365 6,8127 7,0738 7,3228 7,5354 7,6558 7,6344 7,4566 7,1363 6,7018 6,2008 5,7014 5,2697 4,9464 4,7379 4,6225 4,5704 4,5665 4,6113 4,6973 4,7929 4,8614 4,8913 4,9008 4,9184 4,9669 5,0585 5,1907 5,3486 5,5231 5,7228 5,9552 6,1977 6,3992 6,5129 6,5191 6,4195 6,2249 5,9623 5,6903 5,4911 5,4347 5,5507 5,8254 6,2170 6,6763 7,1540 7,6036 7,9918 8,2977 8,5020 8,5936 8,5892 8,5255 8,4292 8,3125 8,1975 8,1180 8,0911 8,1062 8,1385 8,1510 8,0895 7,9021 7,5723 7,1341 6,6610 6,2364 5,9237 5,7543 5,7294 5,8198 5,9674 6,0955 6,1332 6,0437 5,8405 5,5808 5,3385 5,1638 5,0593 4,9962 4,9485 4,9111 4,8931 4,9030 4,9402 4,9994 5,0746 5,1625 5,2737 5,4364 5,6806 6,0154 6,4135 6,8146 7,1461 7,3485 7,3874 7,2582 6,9835 6,6053 6,1786 5,7656 5,4259 5,1992 5,0916 5,0710 5,0761 5,0464 4,9644 4,8583 4,7529 4,6420 4,5076 4,3413 4,1496 3,9561 3,7954 3,6966 3,6700 3,7106 3,8046 3,9323 4,0659 4,1689 4,2058 4,1545 4,0138 3,8055 3,5659 3,3338 3,1489 3,0491 3,0535 3,1431 3,2630 3,3552 3,3959 3,4003 3,4003 3,4250 3,4830 3,5478 3,5668 3,4993 3,3433 3,1267 2,8868 2,6638 2,4963 2,4028 2,3689 2,3609 2,3503 2,3227 2,2712 2,1860 2,0540 1,8732 1,6700 1,4920 1,3729 1,3152 1,3048 1,3318 1,3912 1,4688 1,5255 1,5031 1,3533 1,0620 0,6562 0,2021 -0,2116 -0,5126 -0,6790 -0,7387 -0,7372 -0,7063 -0,6592 -0,6035 -0,5491 -0,5086 -0,4962 -0,5235 -0,5928 -0,6968 -0,8269 -0,9759 -1,1345 -1,2892 -1,4213 -1,5008 -1,4784 -1,2995 -0,9470 -0,4668 0,0553 0,5417 0,9498 1,2615 1,4591 1,5194 1,4256 1,1825 0,8296 0,4359 0,0624 -0,2675 -0,5505 -0,7679 -0,8871 -0,8923 -0,7951 -0,6244 -0,4187 -0,2195 -0,0608 0,0363 0,0634 0,0248 -0,0649 -0,1852 -0,3103 -0,4148 -0,4872 -0,5397 -0,6050 -0,7132 -0,8631 -1,0218 -1,1570 -1,2667 -1,3802 -1,5334 -1,7414 -1,9923 -2,2640 -2,5424 -2,8187 -3,0658 -3,2343 -3,2913 -3,2496 -3,1419 -2,9910 -2,8192 -2,6552 -2,5051 -2,3383 -2,1204 -1,8535 -1,5800 -1,3502 -1,1889 -1,0915 -1,0453 -1,0417 -1,0789 -1,1738 -1,3603 -1,6538 -2,0208 -2,3864 -2,6673 -2,8008 -2,7600 -2,5606 -2,2581 -1,9238 -1,6162 -1,3716 -1,2038 -1,1055 -1,0548 -1,0257 -0,9908
F7    -1,5286 -1,3312 -1,0462 -0,6764 -0,2399 0,1955 0,5524 0,7939 0,9146 0,9205 0,8316 0,6743 0,4762 0,2709 0,0847 -0,0935 -0,3034 -0,5680 -0,8633 -1,1296 -1,3076 -1,3629 -1,2863 -1,0886 -0,8035 -0,4784 -0,1421 0,2049 0,5535 0,8560 1,0429 1,0690 0,9509 0,7591 0,5731 0,4414 0,3621 0,2906 0,1875 0,0584 -0,0579 -0,1195 -0,0969 0,0116 0,1713 0,3262 0,4189 0,3999 0,2316 -0,0996 -0,5584 -1,0403 -1,4031 -1,5446 -1,4564 -1,2013 -0,8622 -0,5199 -0,2344 -0,0127 0,1840 0,3851 0,5763 0,7268 0,8331 0,9204 1,0130 1,1135 1,1972 1,2154 1,1186 0,8992 0,6174 0,3755 0,2466 0,2182 0,2138 0,1835 0,1543 0,1772 0,2555 0,3476 0,4223 0,4861 0,5578 0,6423 0,7360 0,8343 0,9334 1,0409 1,1748 1,3435 1,5287 1,6856 1,7599 1,7177 1,5717 1,3814 1,2161 1,0993 0,9852 0,8013 0,5229 0,1956 -0,1212 -0,4178 -0,7338 -1,1087 -1,5483 -2,0322 -2,5308 -3,0097 -3,4344 -3,7757 -4,0159 -4,1662 -4,2783 -4,4170 -4,6149 -4,8599 -5,1302 -5,4291 -5,7771 -6,1677 -6,5313 -6,7509 -6,7290 -6,4427 -5,9467 -5,3442 -4,7546 -4,2705 -3,9199 -3,6652 -3,4402 -3,1854 -2,8646 -2,4714 -2,0244 -1,5603 -1,1356 -0,8096 -0,6061 -0,4980 -0,4361 -0,3832 -0,3157 -0,2008 0,0081 0,3452 0,8058 1,3522 1,9452 2,5632 3,1881 3,7911 4,3423 4,8275 5,2571 5,6635 6,0716 6,4641 6,7959 7,0388 7,1936 7,2672 7,2528 7,1328 6,8985 6,5649 6,1632 5,7323 5,3244 4,9998 4,7937 4,6888 4,6369 4,6113 4,6296 4,7244 4,8991 5,1282 5,4006 5,7285 6,0932 6,4028 6,5319 6,4173 6,1168 5,7775 5,5492 5,5119 5,6481 5,8621 6,0492 6,1542 6,1626 6,0818 5,9463 5,7902 5,6025 5,3473 5,0200 4,6605 4,3213 4,0367 3,8080 3,6151 3,4460 3,3089 3,2144 3,1568 3,1264 3,1310 3,1838 3,2730 3,3706 3,4854 3,6788 4,0038 4,4398 4,9024 5,3078 5,6113 5,8042 5,8935 5,8893 5,8043 5,6531 5,4400 5,1550 4,7858 4,3415 3,8734 3,4704 3,2118 3,1064 3,0844 3,0618 3,0079 2,9414 2,8750 2,7894 2,6547 2,4656 2,2589 2,0946 2,0093 1,9934 2,0221 2,1021 2,2654 2,5190 2,8177 3,0889 3,2755 3,3524 3,3147 3,1664 2,9200 2,6099 2,3068 2,0992 2,0394 2,1069 2,2302 2,3419 2,4133 2,4496 2,4666 2,4746 2,4758 2,4639 2,4148 2,2874 2,0491 1,7084 1,3362 1,0627 1,0287 1,3113 1,8850 2,6391 3,4317 4,1325 4,6281 4,8386 4,7602 4,4725 4,0900 3,7130 3,4116 3,2225 3,1480 3,1661 3,2476 3,3653 3,4917 3,5945 3,6434 3,6236 3,5467 3,4552 3,3983 3,3787 3,3323 3,1800 2,9116 2,6156 2,4085 2,3439 2,4050 2,5582 2,7876 3,0865 3,4258 3,7411 3,9644 4,0676 4,0575 3,9417 3,7228 3,4290 3,1348 2,9344 2,8848 2,9793 3,1750 3,4176 3,6304 3,7289 3,6836 3,5428 3,3793 3,2397 3,1316 3,0212 2,8441 2,5464 2,1313 1,6663 1,2443 0,9244 0,7016 0,5363 0,4146 0,3765 0,4837 0,7649 1,1820 1,6463 2,0846 2,4978 2,9390 3,4271 3,8919 4,2048 4,2423 3,9327 3,2943 2,4677 1,6883 1,1763 1,0312 1,2198 1,6319 2,1367 2,6174 2,9990 3,2760 3,5020 3,7307 3,9709 4,2033 4,4073 4,5540 4,6142 4,6023 4,5845 4,6145 4,6785 4,7199 4,6831 4,5180 4,1853 3,6882 3,1052 2,5819 2,2576 2,1765 2,2698 2,4149 2,5104 2,5139 2,4380 2,3278 2,2350 2,1878 2,1806 2,1949 2,2226 2,2764 2,3995 2,6533 3,0590 3,5492 4,0114 4,3756 4,6369 4,8052 4,8607 4,7595 4,4812 4,0834 3,7045 3,4900 3,5040 3,7114 4,0211 4,3236 4,5119 4,5037 4,2554 3,7815 3,1768 2,5969 2,1894 2,0284 2,0992 2,3337 2,6652 3,0579 3,4879 3,8980 4,1956 4,3185 4,3031 4,2661 4,3109 4,4497 4,6070 4,6861 4,6417 4,5022 4,3266 4,1503 3,9702 3,7639 3,5134 3,2219 2,9223 2,6692 2,5151 2,4831 2,5613 2,7112 2,8699 2,9531 2,8904 2,6826 2,4143 2,1946 2,1038 2,1833 2,4241 2,7659 3,1341 3,4695 3,7342 3,9259 4,0810 4,2263 4,3278 4,3114 4,1271 3,7796 3,3112 2,7793 2,2419 1,7421 1,2973 0,9101 0,5976 0,3926 0,3055 0,3107 0,3718 0,4681 0,5982 0,7531 0,8864 0,9181 0,7640 0,3771 -0,1994 -0,8126 -1,2628 -1,4041 -1,2063 -0,7548 -0,2063 0,2777 0,5861 0,6815 0,5921 0,3809 0,1145 -0,1485 -0,3709 -0,5599 -0,7607 -1,0068 -1,2883 -1,5786 -1,8597 -2,0900 -2,1801 -2,0556 -1,7323 -1,2956 -0,8189 -0,3273 0,1689 0,6335 1,0087 1,2554 1,3778 1,4149 1,4138 1,3903 1,2967 1,0517 0,6287 0,1005 -0,4229 -0,8823 -1,2835 -1,6580 -2,0214 -2,3485 -2,5833 -2,6802 -2,6337 -2,4687 -2,2236 -1,9529 -1,7302 -1,6245 -1,6611 -1,8064 -2,0002 -2,1952 -2,3592 -2,4711 -2,5288 -2,5443 -2,5236 -2,4719 -2,4194 -2,4145 -2,4875 -2,6401 -2,8496 -3,0602 -3,2024 -3,2423 -3,1910 -3,0723 -2,9182 -2,7805 -2,7031 -2,6793 -2,6668 -2,6530 -2,6832 -2,8186 -3,0754 -3,4044 -3,7144 -3,9028 -3,8755 -3,5887 -3,1016 -2,5655 -2,1295 -1,8475 -1,6713 -1,5192 -1,3313 -1,0769 -0,7569 -0,4051 -0,0719 0,1963 0,3645 0,4054 0,2966 0,0330 -0,3550 -0,7918
