Fp1   6,3055 6,0087 5,6657 5,2861 4,8743 4,4305 3,9505 3,4275 2,8655 2,2994 1,7978 1,4310 1,2376 1,2232 1,3692 1,6269 1,9193 2,1657 2,3065 2,3129 2,1888 1,9686 1,6990 1,4094 1,0928 0,7184 0,2671 -0,2461 -0,7774 -1,2755 -1,7032 -2,0455 -2,3073 -2,5098 -2,6875 -2,8768 -3,1010 -3,3640 -3,6506 -3,9337 -4,1857 -4,3832 -4,5051 -4,5367 -4,4795 -4,3480 -4,1536 -3,9000 -3,5988 -3,2793 -2,9784 -2,7172 -2,4871 -2,2560 -1,9878 -1,6610 -1,2800 -0,8705 -0,4598 -0,0635 0,3113 0,6627 0,9983 1,3290 1,6514 1,9418 2,1777 2,3615 2,5232 2,7062 2,9433 3,2323 3,5343 3,8045 4,0253 4,2093 4,3743 4,5139 4,5940 4,5824 4,4797 4,3232 4,1643 4,0361 3,9373 3,8494 3,7635 3,6860 3,6279 3,6037 3,6301 3,7087 3,8079 3,8713 3,8468 3,7139 3,4882 3,1991 2,8659 2,4979 2,1122 1,7433 1,4328 1,2054 1,0532 0,9468 0,8515 0,7325 0,5599 0,3168 0,0036 -0,3554 -0,7067 -0,9776 -1,1068 -1,0751 -0,9206 -0,7222 -0,5520 -0,4323 -0,3365 -0,2237 -0,0653 0,1430 0,3758 0,5875 0,7483 0,8818 1,0567 1,3361 1,7473 2,2960 2,9850 3,8102 4,7435 5,7209 6,6578 7,4914 8,2087 8,8346 9,4078 9,9587 10,4817 10,9194 11,1885 11,2376 11,0911 10,8422 10,6004 10,4388 10,3746 10,3750 10,3827 10,3425 10,2142 9,9785 9,6417 9,2358 8,8105 8,4203 8,1095 7,8949 7,7561 7,6487 7,5309 7,3826 7,2026 6,9938 6,7579 6,5033 6,2426 5,9851 5,7378 5,5136 5,3319 5,2100 5,1493 5,1221 5,0720 4,9378 4,6826 4,3039 3,8178 3,2409 2,5921 1,9051 1,2277 0,6028 0,0485 -0,4368 -0,8539 -1,1921 -1,4304 -1,5540 -1,5820 -1,5688 -1,5718 -1,6200 -1,7103 -1,8268 -1,9573 -2,0933 -2,2212 -2,3223 -2,3765 -2,3618 -2,2544 -2,0441 -1,7510 -1,4193 -1,0988 -0,8359 -0,6667 -0,6041 -0,6315 -0,7053 -0,7668 -0,7684 -0,6962 -0,5654 -0,4014 -0,2275 -0,0653 0,0650 0,1542 0,2167 0,2877 0,4021 0,5782 0,8158 1,0990 1,4036 1,7124 2,0272 2,3594 2,7049 3,0348 3,3063 3,4808 3,5425 3,5061 3,4024 3,2595 3,1019 2,9551 2,8439 2,7866 2,7881 2,8332 2,8870 2,9004 2,8241 2,6359 2,3517 2,0123 1,6634 1,3365 1,0396 0,7763 0,5640 0,4242 0,3625 0,3663 0,4057 0,4433 0,4585 0,4611 0,4791 0,5390 0,6548 0,8232 1,0328 1,2793 1,5678 1,9041 2,2868 2,6990 3,1087 3,4833 3,8010 4,0484 4,2180 4,3098 4,3301 4,2842 4,1701 3,9871 3,7546 3,5190 3,3395 3,2671 3,3299 3,5208 3,7863 4,0362 4,1836 4,1866 4,0600 3,8592 3,6535 3,4926 3,3798 3,2765 3,1389 2,9507 2,7216 2,4620 2,1752 1,8716 1,5762 1,3175 1,1149 0,9676 0,8476 0,7071 0,5080 0,2544 -0,0066 -0,2160 -0,3400 -0,3790 -0,3481 -0,2621 -0,1400 -0,0045 0,1263 0,2344 0,3007 0,3251 0,3458 0,4180 0,5691 0,7875 1,0457 1,3164 1,5693 1,7671 1,8849 1,9356 1,9655 2,0169 2,1012 2,2029 2,2939 2,3388 2,2989 2,1523 1,9232 1,6870 1,5385 1,5512 1,7524 2,1177 2,5799 3,0516 3,4521 3,7299 3,8821 3,9533 4,0059 4,0911 4,2437 4,4804 4,7933 5,1486 5,4972 5,7907 5,9965 6,1137 6,1701 6,1928 6,1864 6,1437 6,0623 5,9494 5,8212 5,6952 5,5778 5,4598 5,3229 5,1561 4,9810 4,8545 4,8329 4,9316 5,1179 5,3244 5,4781 5,5360 5,5007 5,4068 5,3052 5,2501 5,2811 5,4127 5,6382 5,9325 6,2545 6,5656 6,8466 7,0891 7,2834 7,4200 7,4954 7,5113 7,4749 7,4011 7,3166 7,2545 7,2364 7,2603 7,3081 7,3605 7,4034 7,4285 7,4341 7,4234 7,3971 7,3472 7,2602 7,1300 6,9699 6,8087 6,6683 6,5449 6,4175 6,2751 6,1238 5,9684 5,7991 5,6055 5,3917 5,1677 4,9356 4,6986 4,4764 4,2970 4,1758 4,1151 4,1224 4,2140 4,4017 4,6797 5,0212 5,3905 5,7663 6,1508 6,5467 6,9353 7,2823 7,5568 7,7429 7,8431 7,8732 7,8482 7,7737 7,6495 7,4818 7,2917 7,1077 6,9573 6,8597 6,8227 6,8443 6,9214 7,0528 7,2343 7,4534 7,6965 7,9551 8,2144 8,4397 8,5818 8,5970 8,4667 8,2081 7,8691 7,5116 7,1948 6,9644 6,8455 6,8435 6,9474 7,1240 7,3176 7,4695 7,5364 7,4991 7,3676 7,1836 7,0035 6,8688 6,7890 6,7476 6,7122 6,6496 6,5508 6,4433 6,3757 6,3957 6,5409 6,8347 7,2757 7,8260 8,4123 8,9497 9,3713 9,6492 9,7931 9,8262 9,7674 9,6319 9,4410 9,2254 9,0114 8,8035 8,5790 8,3021 7,9434 7,4884 6,9286 6,2535 5,4606 4,5762 3,6617 2,7853 1,9815 1,2380 0,5256 -0,1620 -0,7959 -1,3401 -1,7901 -2,1746 -2,5139 -2,7910 -2,9746 -3,0627 -3,0934 -3,1168 -3,1674 -3,2576 -3,3798 -3,5057 -3,5944 -3,6054 -3,5104 -3,3061 -3,0187 -2,6884 -2,3523 -2,0422 -1,7852 -1,5982 -1,4854 -1,4443 -1,4708 -1,5599 -1,7081 -1,9151 -2,1736 -2,4554 -2,7207 -2,9472 -3,1429 -3,3341 -3,5496 -3,8096 -4,1153 -4,4445 -4,7646 -5,0514 -5,2960 -5,5002 -5,6687 -5,7999 -5,8800 -5,8839 -5,7836 -5,5623 -5,2312 -4,8377 -4,4526 -4,1437 -3,9556 -3,8982 -3,9486 -4,0687 -4,2246 -4,3958 -4,5705 -4,7365 -4,8795 -4,9857 -5,0387 -5,0197 -4,9130 -4,7143 -4,4382 -4,1179
Fz    5,9907 5,5707 5,1354 4,6862 4,2162 3,7204 3,1994 2,6623 2,1301 1,6377 1,2347 0,9725 0,8800 0,9522 1,1537 1,4270 1,7063 1,9385 2,0978 2,1808 2,1945 2,1494 2,0562 1,9197 1,7325 1,4807 1,1621 0,7949 0,4136 0,0534 -0,2703 -0,5744 -0,9016 -1,2931 -1,7616 -2,2845 -2,8220 -3,3404 -3,8192 -4,2416 -4,5848 -4,8230 -4,9436 -4,9567 -4,8883 -4,7634 -4,5964 -4,3996 -4,1921 -3,9928 -3,8052 -3,6109 -3,3781 -3,0766 -2,6901 -2,2262 -1,7158 -1,2034 -0,7365 -0,3558 -0,0859 0,0761 0,1647 0,2230 0,2651 0,2686 0,2108 0,1035 -0,0069 -0,0666 -0,0431 0,0624 0,2245 0,4149 0,6180 0,8290 1,0404 1,2254 1,3425 1,3604 1,2757 1,1083 0,8886 0,6433 0,3898 0,1458 -0,0567 -0,1758 -0,1803 -0,0634 0,1543 0,4227 0,6710 0,8348 0,8850 0,8339 0,7165 0,5571 0,3528 0,0913 -0,2222 -0,5596 -0,8832 -1,1662 -1,4068 -1,6250 -1,8474 -2,0972 -2,3895 -2,7284 -3,1090 -3,5150 -3,9088 -4,2315 -4,4240 -4,4541 -4,3350 -4,1207 -3,8690 -3,6052 -3,3247 -3,0168 -2,6769 -2,3091 -1,9279 -1,5534 -1,1932 -0,8292 -0,4324 0,0102 0,4969 1,0356 1,6531 2,3740 3,1920 4,0628 4,9257 5,7346 6,4691 7,1244 7,7021 8,2063 8,6347 8,9642 9,1528 9,1693 9,0293 8,7958 8,5411 8,3120 8,1201 7,9539 7,8014 7,6633 7,5462 7,4493 7,3633 7,2803 7,2040 7,1553 7,1645 7,2523 7,4093 7,5975 7,7781 7,9368 8,0806 8,2156 8,3330 8,4120 8,4304 8,3782 8,2652 8,1165 7,9627 7,8311 7,7332 7,6514 7,5387 7,3368 7,0015 6,5209 5,9135 5,2080 4,4229 3,5690 2,6659 1,7469 0,8466 -0,0062 -0,7862 -1,4670 -2,0189 -2,4193 -2,6787 -2,8508 -3,0102 -3,2138 -3,4772 -3,7808 -4,0947 -4,3946 -4,6606 -4,8762 -5,0286 -5,1071 -5,1038 -5,0247 -4,8960 -4,7572 -4,6462 -4,5913 -4,6066 -4,6856 -4,8006 -4,9155 -4,9965 -5,0175 -4,9660 -4,8472 -4,6825 -4,4960 -4,3036 -4,1117 -3,9215 -3,7321 -3,5419 -3,3516 -3,1632 -2,9744 -2,7755 -2,5559 -2,3093 -2,0354 -1,7411 -1,4424 -1,1620 -0,9272 -0,7682 -0,7103 -0,7578 -0,8843 -1,0387 -1,1625 -1,2127 -1,1763 -1,0624 -0,8877 -0,6739 -0,4536 -0,2713 -0,1756 -0,2026 -0,3600 -0,6223 -0,9427 -1,2782 -1,6015 -1,8909 -2,1217 -2,2771 -2,3568 -2,3697 -2,3274 -2,2428 -2,1226 -1,9627 -1,7599 -1,5201 -1,2523 -0,9695 -0,6916 -0,4378 -0,2187 -0,0379 0,1032 0,2013 0,2488 0,2362 0,1601 0,0322 -0,1182 -0,2579 -0,3691 -0,4575 -0,5436 -0,6462 -0,7700 -0,9019 -1,0202 -1,1054 -1,1446 -1,1342 -1,0846 -1,0166 -0,9498 -0,8895 -0,8265 -0,7472 -0,6462 -0,5313 -0,4177 -0,3202 -0,2485 -0,2097 -0,2125 -0,2714 -0,4015 -0,6023 -0,8507 -1,1109 -1,3505 -1,5516 -1,7177 -1,8681 -2,0188 -2,1637 -2,2695 -2,2978 -2,2347 -2,0954 -1,8994 -1,6547 -1,3670 -1,0496 -0,7245 -0,4212 -0,1636 0,0509 0,2592 0,5071 0,8121 1,1547 1,5034 1,8349 2,1343 2,3921 2,6081 2,7927 2,9578 3,1062 3,2287 3,3072 3,3173 3,2316 3,0280 2,7021 2,2724 1,7789 1,2818 0,8552 0,5674 0,4523 0,4909 0,6212 0,7696 0,8788 0,9276 0,9328 0,9286 0,9439 0,9988 1,1078 1,2721 1,4750 1,6915 1,9013 2,0990 2,2973 2,5129 2,7410 2,9472 3,0953 3,1739 3,1981 3,1981 3,2083 3,2485 3,3081 3,3528 3,3485 3,2882 3,1975 3,1124 3,0498 2,9970 2,9226 2,8021 2,6377 2,4581 2,3019 2,2032 2,1842 2,2496 2,3894 2,5916 2,8461 3,1360 3,4332 3,7085 3,9446 4,1403 4,3068 4,4640 4,6346 4,8306 5,0424 5,2473 5,4283 5,5780 5,6920 5,7678 5,8076 5,8208 5,8238 5,8374 5,8743 5,9235 5,9501 5,9200 5,8241 5,6837 5,5395 5,4298 5,3666 5,3358 5,3170 5,3003 5,2880 5,2878 5,3037 5,3273 5,3360 5,3025 5,2119 5,0664 4,8755 4,6487 4,4035 4,1729 3,9985 3,9123 3,9183 3,9893 4,0837 4,1693 4,2330 4,2741 4,2918 4,2786 4,2215 4,1093 3,9376 3,7095 3,4373 3,1456 2,8630 2,6110 2,4039 2,2573 2,1907 2,2188 2,3449 2,5605 2,8450 3,1672 3,4911 3,7865 4,0440 4,2731 4,4819 4,6616 4,7904 4,8433 4,8052 4,6850 4,5162 4,3414 4,1963 4,1043 4,0720 4,0943 4,1665 4,2836 4,4261 4,5569 4,6352 4,6347 4,5606 4,4556 4,3846 4,4033 4,5316 4,7466 4,9961 5,2250 5,4005 5,5186 5,6024 5,7017 5,8845 6,2127 6,7110 7,3492 8,0544 8,7402 9,3308 9,7736 10,0466 10,1519 10,1034 9,9191 9,6224 9,2416 8,8023 8,3159 7,7790 7,1845 6,5276 5,7985 4,9768 4,0423 2,9946 1,8673 0,7228 -0,3728 -1,3799 -2,2919 -3,1160 -3,8541 -4,5036 -5,0674 -5,5612 -6,0068 -6,4135 -6,7675 -7,0411 -7,2169 -7,3073 -7,3497 -7,3835 -7,4295 -7,4865 -7,5387 -7,5685 -7,5644 -7,5170 -7,4161 -7,2592 -7,0567 -6,8281 -6,5999 -6,4012 -6,2527 -6,1644 -6,1454 -6,2046 -6,3437 -6,5541 -6,8213 -7,1285 -7,4552 -7,7830 -8,1057 -8,4302 -8,7667 -9,1282 -9,5303 -9,9780 -10,4490 -10,9033 -11,3091 -11,6579 -11,9586 -12,2184 -12,4248 -12,5447 -12,5457 -12,4173 -12,1756 -11,8561 -11,5082 -11,1878 -10,9434 -10,8022 -10,7640 -10,8016 -10,8776 -10,9662 -11,0599 -11,1555 -11,2434 -11,3089 -11,3382 -11,3229 -11,2632 -11,1660 -11,0357 -10,8724 -10,6753
F3    4,5709 4,2331 3,8682 3,4759 3,0551 2,6124 2,1602 1,7115 1,2815 0,8976 0,6049 0,4514 0,4617 0,6306 0,9297 1,3076 1,6944 2,0259 2,2662 2,4092 2,4699 2,4748 2,4469 2,3845 2,2540 2,0109 1,6353 1,1503 0,6119 0,0814 -0,3995 -0,8179 -1,1832 -1,5126 -1,8174 -2,1008 -2,3659 -2,6245 -2,8913 -3,1715 -3,4525 -3,7063 -3,9036 -4,0303 -4,0954 -4,1170 -4,1023 -4,0484 -3,9616 -3,8661 -3,7880 -3,7292 -3,6581 -3,5245 -3,2849 -2,9244 -2,4654 -1,9582 -1,4581 -1,0064 -0,6272 -0,3286 -0,1011 0,0755 0,2131 0,3088 0,3652 0,4065 0,4698 0,5844 0,7577 0,9724 1,1942 1,3881 1,5307 1,6139 1,6403 1,6102 1,5164 1,3574 1,1506 0,9325 0,7463 0,6185 0,5449 0,5044 0,4866 0,4992 0,5538 0,6525 0,7876 0,9391 1,0742 1,1556 1,1556 1,0682 0,9065 0,6835 0,3981 0,0466 -0,3583 -0,7794 -1,1652 -1,4768 -1,7098 -1,8863 -2,0341 -2,1775 -2,3357 -2,5220 -2,7466 -3,0106 -3,2910 -3,5382 -3,6965 -3,7331 -3,6565 -3,5104 -3,3371 -3,1422 -2,9037 -2,6062 -2,2568 -1,8807 -1,5141 -1,1919 -0,9287 -0,7027 -0,4659 -0,1737 0,2030 0,6912 1,3250 2,1259 3,0709 4,0819 5,0572 5,9235 6,6600 7,2830 7,8207 8,2946 8,6987 8,9890 9,1036 9,0094 8,7395 8,3828 8,0321 7,7414 7,5213 7,3574 7,2302 7,1244 7,0268 6,9206 6,7882 6,6193 6,4181 6,2077 6,0278 5,9159 5,8843 5,9148 5,9766 6,0483 6,1199 6,1768 6,1916 6,1384 6,0048 5,7934 5,5264 5,2492 5,0240 4,9086 4,9280 5,0543 5,2089 5,2916 5,2188 4,9500 4,4874 3,8567 3,0936 2,2471 1,3827 0,5656 -0,1661 -0,8059 -1,3637 -1,8463 -2,2466 -2,5530 -2,7751 -2,9526 -3,1340 -3,3492 -3,5978 -3,8611 -4,1218 -4,3702 -4,5983 -4,7970 -4,9538 -5,0474 -5,0475 -4,9309 -4,7018 -4,3956 -4,0696 -3,7901 -3,6144 -3,5692 -3,6401 -3,7768 -3,9119 -3,9895 -3,9848 -3,9042 -3,7730 -3,6189 -3,4629 -3,3204 -3,2012 -3,1042 -3,0113 -2,8937 -2,7253 -2,4956 -2,2127 -1,8952 -1,5577 -1,2003 -0,8176 -0,4204 -0,0432 0,2635 0,4469 0,4738 0,3516 0,1242 -0,1506 -0,4167 -0,6250 -0,7409 -0,7507 -0,6618 -0,5023 -0,3184 -0,1702 -0,1161 -0,1876 -0,3783 -0,6518 -0,9582 -1,2545 -1,5185 -1,7386 -1,8999 -1,9930 -2,0286 -2,0309 -2,0236 -2,0212 -2,0198 -1,9995 -1,9393 -1,8274 -1,6613 -1,4495 -1,2086 -0,9522 -0,6845 -0,4041 -0,1084 0,1985 0,5022 0,7825 1,0209 1,2082 1,3519 1,4703 1,5754 1,6594 1,6968 1,6619 1,5510 1,3921 1,2313 1,1130 1,0697 1,1119 1,2119 1,3087 1,3426 1,2918 1,1790 1,0517 0,9518 0,8905 0,8450 0,7798 0,6728 0,5253 0,3501 0,1498 -0,0838 -0,3493 -0,6253 -0,8822 -1,1010 -1,2845 -1,4541 -1,6358 -1,8424 -2,0648 -2,2760 -2,4468 -2,5637 -2,6279 -2,6374 -2,5824 -2,4594 -2,2754 -2,0441 -1,7899 -1,5447 -1,3226 -1,1033 -0,8516 -0,5510 -0,2094 0,1589 0,5408 0,9158 1,2498 1,5145 1,7111 1,8678 2,0141 2,1610 2,3007 2,4119 2,4637 2,4192 2,2529 1,9729 1,6299 1,3041 1,0768 1,0041 1,0991 1,3284 1,6272 1,9226 2,1553 2,3018 2,3803 2,4275 2,4724 2,5327 2,6191 2,7352 2,8769 3,0314 3,1767 3,2918 3,3753 3,4445 3,5059 3,5412 3,5294 3,4685 3,3681 3,2394 3,0932 2,9373 2,7752 2,6073 2,4349 2,2710 2,1447 2,0864 2,1066 2,1841 2,2699 2,3099 2,2774 2,1864 2,0753 1,9873 1,9607 2,0171 2,1569 2,3693 2,6422 2,9597 3,3011 3,6444 3,9683 4,2540 4,4907 4,6759 4,8134 4,9113 4,9820 5,0441 5,1194 5,2205 5,3398 5,4541 5,5409 5,5908 5,6109 5,6197 5,6356 5,6644 5,6953 5,7136 5,7157 5,7138 5,7252 5,7518 5,7655 5,7226 5,5991 5,4061 5,1758 4,9429 4,7360 4,5683 4,4289 4,2892 4,1259 3,9382 3,7417 3,5517 3,3804 3,2485 3,1868 3,2183 3,3428 3,5399 3,7834 4,0563 4,3505 4,6499 4,9237 5,1392 5,2731 5,3141 5,2611 5,1217 4,9139 4,6673 4,4129 4,1729 3,9585 3,7749 3,6272 3,5225 3,4688 3,4794 3,5719 3,7547 4,0090 4,2912 4,5648 4,8201 5,0586 5,2684 5,4187 5,4711 5,3986 5,2059 4,9344 4,6428 4,3832 4,1881 4,0654 4,0079 4,0076 4,0529 4,1177 4,1656 4,1627 4,0875 3,9427 3,7661 3,6191 3,5560 3,6021 3,7501 3,9661 4,2059 4,4385 4,6572 4,8737 5,1139 5,4164 5,8220 6,3505 6,9809 7,6564 8,3088 8,8768 9,3164 9,6077 9,7541 9,7686 9,6665 9,4700 9,2140 8,9295 8,6203 8,2621 7,8230 7,2793 6,6171 5,8285 4,9160 3,9003 2,8246 1,7497 0,7337 -0,1949 -1,0445 -1,8363 -2,5739 -3,2379 -3,8077 -4,2886 -4,7115 -5,1002 -5,4435 -5,7096 -5,8824 -5,9775 -6,0286 -6,0695 -6,1272 -6,2166 -6,3290 -6,4300 -6,4720 -6,4139 -6,2392 -5,9629 -5,6258 -5,2803 -4,9779 -4,7540 -4,6181 -4,5583 -4,5582 -4,6103 -4,7198 -4,9002 -5,1596 -5,4870 -5,8532 -6,2287 -6,6030 -6,9842 -7,3835 -7,8045 -8,2394 -8,6685 -9,0676 -9,4220 -9,7336 -10,0152 -10,2801 -10,5340 -10,7627 -10,9283 -10,9844 -10,9011 -10,6797 -10,3534 -9,9819 -9,6384 -9,3882 -9,2653 -9,2618 -9,3363 -9,4402 -9,5426 -9,6372 -9,7273 -9,8082 -9,8688 -9,9003 -9,8936 -9,8345 -9,7064 -9,5008 -9,2265 -8,9050
F7    5,0884 4,8640 4,5667 4,2268 3,8646 3,4802 3,0527 2,5524 1,9659 1,3305 0,7403 0,3031 0,0895 0,1188 0,3649 0,7562 1,1861 1,5502 1,7802 1,8527 1,7832 1,6157 1,4034 1,1849 0,9692 0,7423 0,4876 0,2040 -0,0894 -0,3621 -0,5913 -0,7773 -0,9407 -1,1100 -1,3135 -1,5719 -1,8890 -2,2517 -2,6389 -3,0258 -3,3806 -3,6642 -3,8428 -3,9077 -3,8798 -3,7873 -3,6395 -3,4304 -3,1632 -2,8675 -2,5898 -2,3669 -2,2059 -2,0853 -1,9727 -1,8452 -1,6964 -1,5274 -1,3348 -1,1127 -0,8636 -0,5961 -0,3108 0,0007 0,3391 0,6847 1,0091 1,2971 1,5564 1,8083 2,0712 2,3403 2,5818 2,7568 2,8596 2,9248 2,9905 3,0529 3,0616 2,9642 2,7556 2,4872 2,2364 2,0638 1,9853 1,9809 2,0226 2,0907 2,1741 2,2734 2,3988 2,5551 2,7277 2,8835 2,9834 2,9996 2,9269 2,7749 2,5523 2,2662 1,9339 1,5881 1,2679 0,9999 0,7830 0,5970 0,4151 0,2019 -0,0797 -0,4489 -0,8965 -1,3865 -1,8575 -2,2302 -2,4369 -2,4568 -2,3304 -2,1363 -1,9448 -1,7853 -1,6526 -1,5315 -1,4078 -1,2688 -1,1096 -0,9393 -0,7676 -0,5774 -0,3269 0,0161 0,4591 1,0041 1,6617 2,4400 3,3234 4,2612 5,1786 6,0123 6,7404 7,3827 7,9771 8,5453 9,0628 9,4594 9,6599 9,6362 9,4331 9,1492 8,8886 8,7199 8,6596 8,6757 8,7086 8,6970 8,5954 8,3837 8,0711 7,6929 7,2982 6,9354 6,6376 6,4096 6,2274 6,0568 5,8786 5,6970 5,5245 5,3620 5,1980 5,0246 4,8413 4,6466 4,4391 4,2249 4,0182 3,8379 3,6972 3,5851 3,4618 3,2850 3,0404 2,7426 2,4059 2,0245 1,5863 1,0957 0,5797 0,0704 -0,4149 -0,8740 -1,3035 -1,6879 -2,0000 -2,2147 -2,3351 -2,3991 -2,4543 -2,5281 -2,6211 -2,7272 -2,8530 -3,0108 -3,1930 -3,3661 -3,4902 -3,5366 -3,4898 -3,3494 -3,1335 -2,8734 -2,6053 -2,3673 -2,1967 -2,1190 -2,1388 -2,2358 -2,3622 -2,4527 -2,4530 -2,3473 -2,1632 -1,9501 -1,7538 -1,6068 -1,5244 -1,4944 -1,4808 -1,4480 -1,3809 -1,2834 -1,1641 -1,0272 -0,8726 -0,6983 -0,5057 -0,3016 -0,0936 0,1151 0,3191 0,5066 0,6633 0,7782 0,8466 0,8757 0,8850 0,8983 0,9316 0,9832 1,0313 1,0445 0,9924 0,8526 0,6238 0,3290 -0,0006 -0,3390 -0,6668 -0,9664 -1,2120 -1,3695 -1,4170 -1,3620 -1,2339 -1,0717 -0,9159 -0,7918 -0,6981 -0,6196 -0,5438 -0,4607 -0,3556 -0,2121 -0,0201 0,2239 0,5254 0,8944 1,3271 1,7915 2,2380 2,6180 2,8963 3,0587 3,1114 3,0715 2,9550 2,7715 2,5327 2,2670 2,0212 1,8423 1,7601 1,7840 1,9020 2,0721 2,2262 2,2972 2,2534 2,1109 1,9175 1,7291 1,5854 1,4885 1,3997 1,2736 1,0953 0,8781 0,6309 0,3477 0,0303 -0,2936 -0,5840 -0,8159 -0,9948 -1,1554 -1,3436 -1,5834 -1,8528 -2,0947 -2,2519 -2,3021 -2,2656 -2,1808 -2,0780 -1,9767 -1,8876 -1,8133 -1,7560 -1,7209 -1,7022 -1,6684 -1,5782 -1,4137 -1,1917 -0,9480 -0,7178 -0,5318 -0,4147 -0,3724 -0,3811 -0,4006 -0,3995 -0,3624 -0,2814 -0,1557 -0,0031 0,1355 0,2166 0,2273 0,1993 0,1879 0,2415 0,3835 0,6099 0,8941 1,1959 1,4733 1,6948 1,8545 1,9752 2,0889 2,2150 2,3594 2,5241 2,7087 2,9093 3,1175 3,3175 3,4842 3,5957 3,6474 3,6487 3,6077 3,5265 3,4038 3,2405 3,0522 2,8731 2,7366 2,6542 2,6115 2,5843 2,5675 2,5855 2,6656 2,8054 2,9688 3,1012 3,1502 3,0899 2,9319 2,7180 2,5094 2,3729 2,3583 2,4821 2,7256 3,0392 3,3589 3,6390 3,8736 4,0788 4,2617 4,4118 4,5095 4,5410 4,5087 4,4344 4,3531 4,2951 4,2687 4,2663 4,2848 4,3309 4,4061 4,4990 4,5937 4,6790 4,7462 4,7810 4,7628 4,6775 4,5302 4,3464 4,1557 3,9697 3,7789 3,5758 3,3690 3,1714 2,9878 2,8222 2,6833 2,5698 2,4598 2,3317 2,1955 2,0885 2,0360 2,0342 2,0721 2,1518 2,2868 2,4955 2,7924 3,1782 3,6414 4,1658 4,7233 5,2643 5,7294 6,0741 6,2873 6,3925 6,4262 6,4131 6,3548 6,2350 6,0406 5,7816 5,4906 5,2064 4,9606 4,7730 4,6538 4,6107 4,6483 4,7595 4,9183 5,0854 5,2268 5,3259 5,3777 5,3754 5,3027 5,1429 4,8993 4,6069 4,3213 4,0961 3,9605 3,9092 3,9093 3,9169 3,8857 3,7793 3,5868 3,3231 3,0151 2,6994 2,4241 2,2358 2,1570 2,1764 2,2576 2,3524 2,4183 2,4477 2,4781 2,5698 2,7780 3,1411 3,6752 4,3619 5,1449 5,9473 6,6979 7,3487 7,8813 8,2957 8,5868 8,7388 8,7465 8,6339 8,4482 8,2341 8,0102 7,7639 7,4639 7,0812 6,5970 5,9995 5,2838 4,4618 3,5728 2,6763 1,8217 1,0195 0,2459 -0,5186 -1,2567 -1,9222 -2,4812 -2,9410 -3,3387 -3,7027 -4,0298 -4,3014 -4,5159 -4,6927 -4,8460 -4,9677 -5,0401 -5,0536 -5,0092 -4,9132 -4,7710 -4,5860 -4,3687 -4,1426 -3,9308 -3,7431 -3,5817 -3,4493 -3,3517 -3,2988 -3,3006 -3,3565 -3,4513 -3,5675 -3,7045 -3,8799 -4,1062 -4,3728 -4,6554 -4,9334 -5,2019 -5,4763 -5,7829 -6,1365 -6,5268 -6,9227 -7,2869 -7,5903 -7,8215 -7,9827 -8,0771 -8,1034 -8,0607 -7,9520 -7,7842 -7,5701 -7,3353 -7,1200 -6,9697 -6,9162 -6,9620 -7,0853 -7,2611 -7,4705 -7,6941 -7,9069 -8,0836 -8,2081 -8,2759 -8,2862 -8,2347 -8,1118 -7,9059 -7,6152 -7,2584
