Fp1   -2,6017 -2,9048 -3,1053 -3,1990 -3,2316 -3,2504 -3,2646 -3,2378 -3,1293 -2,9323 -2,6631 -2,3328 -1,9472 -1,5323 -1,1616 -0,9432 -0,9520 -1,1680 -1,4783 -1,7182 -1,7240 -1,3978 -0,7512 0,1120 1,0545 1,9497 2,6916 3,1970 3,4372 3,4657 3,3915 3,3182 3,3106 3,3829 3,4864 3,5371 3,4738 3,2737 2,9284 2,4496 1,8951 1,3540 0,8926 0,5177 0,1895 -0,1196 -0,3910 -0,5927 -0,7302 -0,8486 -0,9884 -1,1389 -1,2391 -1,2192 -1,0491 -0,7706 -0,4781 -0,2649 -0,1897 -0,2709 -0,4931 -0,8199 -1,1870 -1,4953 -1,6592 -1,6636 -1,5506 -1,3822 -1,2277 -1,1395 -1,1215 -1,1523 -1,2246 -1,3326 -1,4387 -1,4773 -1,3868 -1,1564 -0,8533 -0,5913 -0,4563 -0,4549 -0,5224 -0,5664 -0,5032 -0,2719 0,1567 0,7643 1,4700 2,1397 2,6254 2,8115 2,6605 2,2400 1,6974 1,1929 0,8311 0,6231 0,5093 0,4162 0,2897 0,1015 -0,1407 -0,3993 -0,6484 -0,9118 -1,2427 -1,6644 -2,1538 -2,6840 -3,2496 -3,8373 -4,3924 -4,8317 -5,0870 -5,1438 -5,0419 -4,8301 -4,5259 -4,1333 -3,6808 -3,2112 -2,7376 -2,2358 -1,6868 -1,1120 -0,5674 -0,1171 0,1891 0,3245 0,2902 0,1244 -0,0968 -0,2798 -0,3444 -0,2453 0,0133 0,3829 0,8023 1,2270 1,6344 2,0125 2,3436 2,6041 2,7780 2,8713 2,9169 2,9633 3,0594 3,2508 3,5797 4,0676 4,6796 5,3077 5,8139 6,1116 6,1989 6,1120 5,8784 5,5282 5,1159 4,7149 4,3937 4,1903 4,1040 4,1155 4,2102 4,3775 4,5944 4,8241 5,0294 5,1750 5,2219 5,1277 4,8528 4,3723 3,6853 2,8218 1,8441 0,8387 -0,0979 -0,8786 -1,4611 -1,8744 -2,1864 -2,4451 -2,6599 -2,8224 -2,9308 -3,0050 -3,0832 -3,1994 -3,3635 -3,5629 -3,7872 -4,0556 -4,4130 -4,8921 -5,4869 -6,1594 -6,8668 -7,5890 -8,3326 -9,1083 -9,9120 -10,7174 -11,4710 -12,1076 -12,5935 -12,9451 -13,1947 -13,3525 -13,4183 -13,4222 -13,4335 -13,5147 -13,6700 -13,8545 -14,0306 -14,1968 -14,3666 -14,5418 -14,7133 -14,8734 -15,0082 -15,0865 -15,0857 -15,0320 -14,9975 -15,0596 -15,2565 -15,5636 -15,8977 -16,1530 -16,2526 -16,1796 -15,9707 -15,6913 -15,4078 -15,1664 -14,9916 -14,9063 -14,9448 -15,1306 -15,4502 -15,8585 -16,3129 -16,7986 -17,3201 -17,8644 -18,3780 -18,7793 -18,9971 -19,0056 -18,8276 -18,5145 -18,1335 -17,7664 -17,4926 -17,3582 -17,3633 -17,4704 -17,6206 -17,7504 -17,8033 -17,7328 -17,5169 -17,1819 -16,8092 -16,5041 -16,3458 -16,3545 -16,4872 -16,6485 -16,7177 -16,5960 -16,2539 -15,7532 -15,2229 -14,7898 -14,5168 -14,3898 -14,3412 -14,2955 -14,2166 -14,1150 -14,0201 -13,9616 -13,9634 -14,0474 -14,2407 -14,5530 -14,9367 -15,2906 -15,5111 -15,5430 -15,3954 -15,1150 -14,7505 -14,3480 -13,9605 -13,6523 -13,4935 -13,5380 -13,7839 -14,1555 -14,5348 -14,8283 -15,0068 -15,0913 -15,1261 -15,1650 -15,2590 -15,4308 -15,6498 -15,8421 -15,9443 -15,9466 -15,8859 -15,8127 -15,7581 -15,7271 -15,7180 -15,7314 -15,7505 -15,7289 -15,6106 -15,3651 -15,0022 -14,5561 -14,0652 -13,5608 -13,0659 -12,6068 -12,2220 -11,9473 -11,7935 -11,7383 -11,7337 -11,7264 -11,6853 -11,6192 -11,5621 -11,5347 -11,5227 -11,4912 -11,4082 -11,2606 -11,0652 -10,8663 -10,7117 -10,6369 -10,6568 -10,7530 -10,8761 -10,9748 -11,0297 -11,0680 -11,1400 -11,2687 -11,4241 -11,5495 -11,6032 -11,5693 -11,4490 -11,2591 -11,0360 -10,8355 -10,7117 -10,6767 -10,6868 -10,6666 -10,5401 -10,2542 -9,8042 -9,2520 -8,7114 -8,2910 -8,0418 -7,9548 -7,9917 -8,1080 -8,2593 -8,4046 -8,5164 -8,5928 -8,6493 -8,7032 -8,7687 -8,8607 -8,9953 -9,1879 -9,4453 -9,7570 -10,0955 -10,4271 -10,7252 -10,9758 -11,1786 -11,3498 -11,5154 -11,6875 -11,8379 -11,9065 -11,8451 -11,6487 -11,3525 -11,0191 -10,7252 -10,5347 -10,4628 -10,4685 -10,4811 -10,4345 -10,2971 -10,0931 -9,8921 -9,7712 -9,7758 -9,9021 -10,0968 -10,2742 -10,3509 -10,2760 -10,0333 -9,6439 -9,1711 -8,7074 -8,3445 -8,1342 -8,0548 -8,0171 -7,9160 -7,6888 -7,3436 -6,9390 -6,5330 -6,1503 -5,7775 -5,3782 -4,9239 -4,4086 -3,8355 -3,2058 -2,5312 -1,8460 -1,2054 -0,6831 -0,3587 -0,2896 -0,4779 -0,8521 -1,2872 -1,6657 -1,9350 -2,1079 -2,2175 -2,2852 -2,3217 -2,3379 -2,3487 -2,3683 -2,3874 -2,3549 -2,2043 -1,9067 -1,4948 -1,0546 -0,6976 -0,5222 -0,5856 -0,8939 -1,4023 -2,0352 -2,7112 -3,3522 -3,9043 -4,3713 -4,8007 -5,2254 -5,6385 -6,0186 -6,3537 -6,6437 -6,8993 -7,1379 -7,3753 -7,6287 -7,9223 -8,2747 -8,6751 -9,0772 -9,4172 -9,6469 -9,7564 -9,7640 -9,6915 -9,5445 -9,3084 -8,9715 -8,5507 -8,0804 -7,5829 -7,0619 -6,5237 -5,9953 -5,5147 -5,1055 -4,7677 -4,4840 -4,2318 -4,0057 -3,8300 -3,7310 -3,6909 -3,6354 -3,4600 -3,0817 -2,4951 -1,7822 -1,0629 -0,4363 0,0406 0,3449 0,4774 0,4659 0,3691 0,2579 0,1727 0,1100 0,0578 0,0145 -0,0334 -0,1346 -0,3708 -0,8227 -1,5190 -2,4107 -3,3946 -4,3581 -5,1994 -5,8283 -6,1858 -6,2818 -6,2025 -6,0630 -5,9408 -5,8543 -5,7951 -5,7591 -5,7479 -5,7545 -5,7511 -5,6980 -5,5628 -5,3214 -4,9505 -4,4352 -3,7821 -3,0200 -2,1958 -1,3741 -0,6251 0,0001 0,4748 0,7910 0,9672 1,0531 1,1203 1,2479 1,4910 1,8440 2,2404 2,5937 2,8370 2,9309 2,8438 2,5418 2,0123 1,2958 0,4839 -0,3154 -1,0233 -1,6173 -2,1213 -2,5766 -3,0287 -3,5241 -4,0754 -4,6184 -5,0296 -5,1999 -5,1088 -4,8529 -4,6098 -4,5511 -4,7578 -5,1860 -5,7027 -6,1643
Fz    -0,7715 -1,0351 -1,2577 -1,4574 -1,6471 -1,8359 -2,0398 -2,2757 -2,5405 -2,8009 -3,0073 -3,1180 -3,1113 -2,9890 -2,7821 -2,5453 -2,3329 -2,1716 -2,0477 -1,9145 -1,7194 -1,4381 -1,0892 -0,7180 -0,3647 -0,0428 0,2574 0,5511 0,8512 1,1700 1,5128 1,8734 2,2385 2,5867 2,8800 3,0724 3,1376 3,0837 2,9429 2,7587 2,5802 2,4444 2,3563 2,2862 2,1880 2,0313 1,8272 1,6188 1,4511 1,3539 1,3464 1,4450 1,6575 1,9685 2,3339 2,6862 2,9566 3,1009 3,1028 2,9644 2,7082 2,3845 2,0675 1,8347 1,7331 1,7592 1,8700 2,0108 2,1307 2,1916 2,1791 2,1037 1,9913 1,8718 1,7669 1,6815 1,6032 1,5105 1,3857 1,2318 1,0790 0,9728 0,9534 1,0396 1,2265 1,4945 1,8197 2,1715 2,5085 2,7878 2,9835 3,0930 3,1265 3,0945 3,0065 2,8784 2,7317 2,5759 2,3965 2,1739 1,9094 1,6341 1,3943 1,2190 1,0950 0,9763 0,8195 0,6095 0,3550 0,0688 -0,2417 -0,5681 -0,8917 -1,1838 -1,4088 -1,5331 -1,5417 -1,4464 -1,2753 -1,0623 -0,8449 -0,6542 -0,4965 -0,3596 -0,2402 -0,1495 -0,0908 -0,0443 0,0238 0,1453 0,3367 0,5923 0,8832 1,1673 1,4081 1,5868 1,6997 1,7562 1,7834 1,8207 1,9029 2,0488 2,2564 2,5012 2,7481 2,9716 3,1672 3,3485 3,5339 3,7334 3,9469 4,1653 4,3648 4,5121 4,5898 4,6187 4,6448 4,6991 4,7702 4,8167 4,8069 4,7460 4,6603 4,5634 4,4480 4,3101 4,1687 4,0602 4,0172 4,0527 4,1550 4,2917 4,4261 4,5395 4,6379 4,7363 4,8318 4,8938 4,8822 4,7735 4,5758 4,3273 4,0780 3,8604 3,6763 3,5078 3,3347 3,1458 2,9384 2,7121 2,4594 2,1599 1,7903 1,3510 0,8747 0,4034 -0,0411 -0,4608 -0,8729 -1,3008 -1,7614 -2,2537 -2,7592 -3,2497 -3,6949 -4,0718 -4,3748 -4,6206 -4,8450 -5,0917 -5,3962 -5,7695 -6,1902 -6,6133 -6,9912 -7,2937 -7,5094 -7,6342 -7,6676 -7,6184 -7,5113 -7,3825 -7,2672 -7,1844 -7,1305 -7,0832 -7,0112 -6,8839 -6,6863 -6,4323 -6,1551 -5,8835 -5,6252 -5,3711 -5,1192 -4,8860 -4,6902 -4,5376 -4,4288 -4,3638 -4,3346 -4,3333 -4,3662 -4,4487 -4,5898 -4,7861 -5,0207 -5,2623 -5,4736 -5,6310 -5,7388 -5,8224 -5,9103 -6,0281 -6,2044 -6,4671 -6,8246 -7,2587 -7,7400 -8,2466 -8,7598 -9,2505 -9,6818 -10,0277 -10,2832 -10,4549 -10,5502 -10,5783 -10,5535 -10,4918 -10,4092 -10,3220 -10,2429 -10,1785 -10,1362 -10,1277 -10,1630 -10,2399 -10,3388 -10,4286 -10,4800 -10,4730 -10,3952 -10,2389 -10,0038 -9,7056 -9,3778 -9,0560 -8,7579 -8,4853 -8,2380 -8,0190 -7,8260 -7,6423 -7,4360 -7,1756 -6,8504 -6,4787 -6,0943 -5,7255 -5,3851 -5,0720 -4,7758 -4,4870 -4,2125 -3,9823 -3,8355 -3,7942 -3,8480 -3,9574 -4,0704 -4,1397 -4,1349 -4,0507 -3,9035 -3,7136 -3,4949 -3,2594 -3,0252 -2,8157 -2,6517 -2,5440 -2,4923 -2,4827 -2,4887 -2,4788 -2,4293 -2,3320 -2,1944 -2,0341 -1,8715 -1,7243 -1,6051 -1,5181 -1,4570 -1,4071 -1,3546 -1,2939 -1,2262 -1,1577 -1,0989 -1,0615 -1,0524 -1,0728 -1,1204 -1,1847 -1,2471 -1,2939 -1,3261 -1,3546 -1,3891 -1,4352 -1,4979 -1,5822 -1,6885 -1,8113 -1,9408 -2,0676 -2,1884 -2,3050 -2,4148 -2,5052 -2,5627 -2,5798 -2,5512 -2,4682 -2,3222 -2,1151 -1,8661 -1,6053 -1,3660 -1,1764 -1,0437 -0,9462 -0,8515 -0,7432 -0,6267 -0,5132 -0,4085 -0,3187 -0,2548 -0,2292 -0,2523 -0,3290 -0,4553 -0,6184 -0,7974 -0,9638 -1,0856 -1,1376 -1,1144 -1,0353 -0,9339 -0,8436 -0,7905 -0,7926 -0,8561 -0,9736 -1,1328 -1,3285 -1,5578 -1,8015 -2,0143 -2,1437 -2,1595 -2,0678 -1,9059 -1,7312 -1,6017 -1,5470 -1,5530 -1,5787 -1,5892 -1,5746 -1,5462 -1,5236 -1,5241 -1,5510 -1,5827 -1,5820 -1,5181 -1,3801 -1,1693 -0,8919 -0,5645 -0,2203 0,1001 0,3614 0,5366 0,6152 0,6186 0,5976 0,6056 0,6764 0,8227 1,0408 1,3140 1,6195 1,9398 2,2678 2,5979 2,9145 3,1920 3,4047 3,5436 3,6258 3,6870 3,7615 3,8592 3,9548 3,9993 3,9516 3,8055 3,5903 3,3476 3,1118 2,9085 2,7573 2,6685 2,6402 2,6615 2,7160 2,7869 2,8637 2,9480 3,0490 3,1646 3,2641 3,2912 3,1945 2,9593 2,6088 2,1788 1,6965 1,1815 0,6605 0,1680 -0,2691 -0,6374 -0,9319 -1,1525 -1,3054 -1,4010 -1,4571 -1,5085 -1,6012 -1,7661 -2,0018 -2,2871 -2,5963 -2,9043 -3,1913 -3,4478 -3,6734 -3,8744 -4,0523 -4,1852 -4,2296 -4,1484 -3,9384 -3,6294 -3,2582 -2,8461 -2,4045 -1,9530 -1,5200 -1,1284 -0,7829 -0,4665 -0,1493 0,1955 0,5751 0,9709 1,3564 1,7226 2,0822 2,4534 2,8449 3,2491 3,6491 4,0331 4,3965 4,7307 5,0165 5,2341 5,3757 5,4474 5,4579 5,4136 5,3228 5,1960 5,0361 4,8325 4,5674 4,2248 3,8000 3,3121 2,8050 2,3329 1,9416 1,6607 1,5017 1,4529 1,4790 1,5342 1,5771 1,5791 1,5260 1,4131 1,2438 1,0375 0,8360 0,6940 0,6598 0,7595 0,9884 1,3151 1,6960 2,0921 2,4780 2,8380 3,1568 3,4231 3,6411 3,8253 3,9867 4,1286 4,2533 4,3639 4,4624 4,5437 4,5882 4,5653 4,4519 4,2487 3,9744 3,6465 3,2718 2,8555 2,4047 1,9251 1,4249 0,9189 0,4251 -0,0403 -0,4689 -0,8703 -1,2728 -1,6989 -2,1380 -2,5489 -2,8876 -3,1321 -3,2904 -3,3933 -3,4795 -3,5788 -3,6974 -3,8192 -3,9248
F3    -0,6607 -1,0221 -1,3557 -1,6457 -1,8682 -2,0011 -2,0430 -2,0188 -1,9653 -1,9082 -1,8559 -1,8122 -1,7882 -1,7997 -1,8559 -1,9431 -2,0147 -2,0010 -1,8420 -1,5179 -1,0536 -0,5076 0,0452 0,5391 0,9452 1,2733 1,5461 1,7766 1,9658 2,1097 2,2092 2,2786 2,3407 2,4051 2,4561 2,4704 2,4424 2,3763 2,2613 2,0768 1,8188 1,5073 1,1698 0,8220 0,4603 0,0787 -0,3065 -0,6521 -0,9060 -1,0299 -1,0123 -0,8665 -0,6238 -0,3293 -0,0335 0,2187 0,4015 0,5153 0,5782 0,6097 0,6218 0,6201 0,6064 0,5769 0,5230 0,4389 0,3334 0,2271 0,1396 0,0837 0,0685 0,1013 0,1861 0,3219 0,4916 0,6583 0,7813 0,8326 0,8004 0,6947 0,5532 0,4333 0,3867 0,4301 0,5337 0,6424 0,7119 0,7294 0,7103 0,6831 0,6755 0,7053 0,7720 0,8535 0,9188 0,9533 0,9648 0,9628 0,9421 0,8870 0,7834 0,6328 0,4613 0,3020 0,1609 0,0045 -0,2109 -0,5040 -0,8641 -1,2750 -1,7265 -2,2020 -2,6670 -3,0724 -3,3692 -3,5241 -3,5306 -3,4037 -3,1720 -2,8800 -2,5858 -2,3331 -2,1241 -1,9299 -1,7285 -1,5255 -1,3370 -1,1702 -1,0178 -0,8641 -0,6981 -0,5235 -0,3610 -0,2400 -0,1837 -0,1930 -0,2467 -0,3113 -0,3491 -0,3204 -0,1906 0,0574 0,4159 0,8610 1,3649 1,8955 2,4157 2,8961 3,3283 3,7212 4,0852 4,4197 4,7074 4,9242 5,0642 5,1513 5,2267 5,3182 5,4132 5,4602 5,4077 5,2435 4,9969 4,7091 4,4112 4,1257 3,8775 3,6936 3,5923 3,5751 3,6267 3,7146 3,7983 3,8503 3,8671 3,8567 3,8188 3,7399 3,6030 3,3985 3,1301 2,8133 2,4685 2,1094 1,7361 1,3428 0,9320 0,5217 0,1378 -0,1958 -0,4681 -0,6930 -0,9050 -1,1311 -1,3718 -1,6174 -1,8692 -2,1380 -2,4308 -2,7482 -3,0846 -3,4304 -3,7728 -4,0951 -4,3777 -4,6075 -4,7848 -4,9246 -5,0615 -5,2456 -5,5148 -5,8646 -6,2488 -6,6045 -6,8794 -7,0516 -7,1369 -7,1809 -7,2380 -7,3485 -7,5245 -7,7464 -7,9701 -8,1419 -8,2150 -8,1593 -7,9646 -7,6382 -7,2054 -6,7107 -6,2123 -5,7670 -5,4133 -5,1682 -5,0380 -5,0286 -5,1399 -5,3583 -5,6584 -6,0076 -6,3694 -6,7149 -7,0344 -7,3326 -7,6178 -7,8905 -8,1310 -8,2978 -8,3479 -8,2690 -8,0951 -7,8886 -7,7108 -7,6070 -7,6093 -7,7359 -7,9805 -8,3081 -8,6695 -9,0244 -9,3475 -9,6154 -9,8021 -9,8938 -9,8959 -9,8204 -9,6746 -9,4690 -9,2273 -8,9801 -8,7507 -8,5502 -8,3813 -8,2428 -8,1307 -8,0416 -7,9774 -7,9455 -7,9515 -7,9940 -8,0621 -8,1321 -8,1705 -8,1442 -8,0301 -7,8220 -7,5335 -7,1978 -6,8615 -6,5773 -6,3900 -6,3154 -6,3297 -6,3819 -6,4189 -6,4110 -6,3618 -6,2975 -6,2398 -6,1863 -6,1116 -5,9875 -5,8058 -5,5892 -5,3851 -5,2438 -5,1975 -5,2506 -5,3784 -5,5330 -5,6584 -5,7119 -5,6740 -5,5467 -5,3517 -5,1292 -4,9244 -4,7684 -4,6706 -4,6243 -4,6145 -4,6279 -4,6605 -4,7131 -4,7777 -4,8307 -4,8381 -4,7748 -4,6443 -4,4816 -4,3379 -4,2563 -4,2528 -4,3133 -4,4057 -4,4925 -4,5401 -4,5203 -4,4072 -4,1846 -3,8645 -3,4908 -3,1184 -2,7942 -2,5556 -2,4312 -2,4346 -2,5604 -2,7825 -3,0568 -3,3329 -3,5671 -3,7328 -3,8239 -3,8555 -3,8610 -3,8806 -3,9424 -4,0516 -4,1900 -4,3244 -4,4199 -4,4561 -4,4345 -4,3748 -4,2988 -4,2141 -4,1116 -3,9766 -3,8010 -3,5883 -3,3503 -3,0966 -2,8317 -2,5617 -2,3014 -2,0758 -1,9106 -1,8164 -1,7840 -1,7938 -1,8352 -1,9179 -2,0565 -2,2432 -2,4413 -2,6054 -2,7004 -2,7119 -2,6511 -2,5520 -2,4562 -2,3949 -2,3847 -2,4291 -2,5146 -2,6131 -2,6966 -2,7555 -2,8022 -2,8544 -2,9165 -2,9780 -3,0260 -3,0536 -3,0587 -3,0459 -3,0345 -3,0510 -3,1029 -3,1644 -3,1982 -3,1865 -3,1405 -3,0907 -3,0754 -3,1294 -3,2666 -3,4683 -3,6929 -3,8958 -4,0413 -4,0967 -4,0279 -3,8159 -3,4810 -3,0782 -2,6685 -2,2995 -1,9970 -1,7604 -1,5685 -1,3962 -1,2255 -1,0450 -0,8455 -0,6228 -0,3799 -0,1253 0,1330 0,3867 0,6233 0,8239 0,9715 1,0658 1,1339 1,2167 1,3390 1,4911 1,6402 1,7532 1,8082 1,7938 1,7091 1,5676 1,4040 1,2753 1,2427 1,3404 1,5565 1,8401 2,1223 2,3366 2,4373 2,4153 2,2992 2,1313 1,9354 1,7110 1,4578 1,1930 0,9419 0,7165 0,5043 0,2800 0,0280 -0,2502 -0,5504 -0,8764 -1,2299 -1,5948 -1,9361 -2,2172 -2,4233 -2,5798 -2,7455 -2,9755 -3,2900 -3,6768 -4,1073 -4,5437 -4,9426 -5,2632 -5,4800 -5,5930 -5,6207 -5,5782 -5,4621 -5,2584 -4,9694 -4,6280 -4,2804 -3,9546 -3,6501 -3,3568 -3,0747 -2,8140 -2,5780 -2,3475 -2,0874 -1,7749 -1,4212 -1,0680 -0,7590 -0,5116 -0,3124 -0,1324 0,0618 0,3015 0,6046 0,9646 1,3531 1,7352 2,0830 2,3758 2,5952 2,7262 2,7614 2,7024 2,5596 2,3486 2,0895 1,8081 1,5334 1,2857 1,0668 0,8599 0,6418 0,4002 0,1412 -0,1157 -0,3454 -0,5289 -0,6630 -0,7551 -0,8112 -0,8353 -0,8375 -0,8378 -0,8584 -0,9097 -0,9831 -1,0557 -1,1027 -1,1071 -1,0612 -0,9603 -0,7991 -0,5764 -0,3073 -0,0268 0,2268 0,4407 0,6362 0,8518 1,1206 1,4545 1,8378 2,2329 2,5899 2,8544 2,9773 2,9315 2,7265 2,4057 2,0243 1,6196 1,1997 0,7585 0,2965 -0,1725 -0,6313 -1,0764 -1,5238 -1,9938 -2,4931 -3,0137 -3,5385 -4,0353 -4,4544 -4,7472 -4,8943 -4,9137 -4,8483 -4,7483 -4,6572 -4,6065 -4,6144 -4,6870 -4,8218
F7    -1,1150 -1,2827 -1,3872 -1,4398 -1,4846 -1,5557 -1,6480 -1,7233 -1,7464 -1,7090 -1,6176 -1,4719 -1,2671 -1,0133 -0,7505 -0,5402 -0,4309 -0,4271 -0,4885 -0,5442 -0,5124 -0,3275 0,0315 0,5304 1,0876 1,6016 1,9855 2,1927 2,2315 2,1633 2,0677 2,0019 1,9915 2,0324 2,0848 2,0888 2,0000 1,8033 1,5009 1,1129 0,6863 0,2816 -0,0593 -0,3338 -0,5700 -0,7953 -1,0146 -1,2191 -1,4080 -1,5933 -1,7821 -1,9511 -2,0466 -2,0156 -1,8453 -1,5798 -1,2905 -1,0334 -0,8414 -0,7420 -0,7619 -0,9079 -1,1368 -1,3545 -1,4661 -1,4359 -1,2978 -1,1227 -0,9853 -0,9369 -0,9890 -1,1249 -1,3189 -1,5315 -1,7032 -1,7754 -1,7256 -1,5842 -1,4249 -1,3292 -1,3406 -1,4438 -1,5851 -1,7073 -1,7625 -1,7074 -1,5057 -1,1481 -0,6723 -0,1587 0,2986 0,6190 0,7550 0,7125 0,5532 0,3658 0,2208 0,1375 0,0909 0,0461 -0,0202 -0,1186 -0,2518 -0,4215 -0,6365 -0,9130 -1,2587 -1,6531 -2,0551 -2,4346 -2,7884 -3,1203 -3,4159 -3,6442 -3,7817 -3,8325 -3,8241 -3,7814 -3,7104 -3,6135 -3,5080 -3,4109 -3,3158 -3,2009 -3,0591 -2,9061 -2,7609 -2,6325 -2,5240 -2,4417 -2,3929 -2,3725 -2,3557 -2,3083 -2,1996 -2,0065 -1,7159 -1,3295 -0,8642 -0,3522 0,1617 0,6279 1,0017 1,2567 1,3983 1,4634 1,5021 1,5554 1,6465 1,7907 2,0111 2,3343 2,7557 3,2093 3,5915 3,8262 3,9016 3,8439 3,6846 3,4635 3,2369 3,0622 2,9762 2,9842 3,0659 3,1969 3,3699 3,5921 3,8593 4,1362 4,3666 4,5014 4,5143 4,3997 4,1641 3,8228 3,3974 2,9112 2,3860 1,8407 1,3003 0,8086 0,4136 0,1344 -0,0430 -0,1447 -0,1997 -0,2432 -0,3141 -0,4427 -0,6338 -0,8620 -1,0913 -1,2995 -1,4869 -1,6743 -1,8936 -2,1678 -2,4932 -2,8468 -3,2082 -3,5706 -3,9352 -4,3012 -4,6572 -4,9798 -5,2387 -5,4094 -5,4902 -5,5097 -5,5092 -5,5199 -5,5562 -5,6248 -5,7311 -5,8734 -6,0316 -6,1720 -6,2723 -6,3368 -6,3836 -6,4252 -6,4673 -6,5157 -6,5670 -6,6016 -6,6035 -6,5837 -6,5778 -6,6265 -6,7503 -6,9285 -7,1044 -7,2198 -7,2520 -7,2170 -7,1446 -7,0560 -6,9640 -6,8825 -6,8294 -6,8255 -6,8932 -7,0483 -7,2887 -7,5959 -7,9519 -8,3546 -8,8106 -9,3106 -9,8123 -10,2479 -10,5551 -10,7031 -10,6949 -10,5560 -10,3292 -10,0703 -9,8342 -9,6550 -9,5391 -9,4728 -9,4319 -9,3858 -9,2997 -9,1442 -8,9134 -8,6393 -8,3855 -8,2189 -8,1811 -8,2720 -8,4481 -8,6333 -8,7432 -8,7124 -8,5190 -8,2027 -7,8523 -7,5560 -7,3559 -7,2443 -7,1844 -7,1379 -7,0894 -7,0478 -7,0257 -7,0300 -7,0666 -7,1495 -7,3040 -7,5463 -7,8524 -8,1574 -8,3906 -8,5109 -8,5160 -8,4281 -8,2778 -8,0988 -7,9289 -7,8094 -7,7770 -7,8476 -8,0068 -8,2141 -8,4193 -8,5859 -8,7026 -8,7751 -8,8166 -8,8479 -8,8962 -8,9825 -9,1005 -9,2119 -9,2699 -9,2511 -9,1661 -9,0468 -8,9277 -8,8360 -8,7977 -8,8366 -8,9532 -9,1082 -9,2366 -9,2837 -9,2311 -9,0908 -8,8843 -8,6302 -8,3401 -8,0270 -7,7207 -7,4665 -7,3018 -7,2339 -7,2371 -7,2673 -7,2853 -7,2771 -7,2554 -7,2380 -7,2266 -7,2111 -7,1834 -7,1409 -7,0881 -7,0360 -6,9958 -6,9714 -6,9550 -6,9271 -6,8673 -6,7707 -6,6589 -6,5760 -6,5638 -6,6273 -6,7257 -6,8025 -6,8230 -6,7816 -6,6845 -6,5427 -6,3813 -6,2432 -6,1736 -6,1990 -6,3174 -6,4998 -6,6902 -6,8164 -6,8243 -6,7138 -6,5372 -6,3565 -6,2044 -6,0812 -5,9765 -5,8853 -5,8081 -5,7402 -5,6754 -5,6162 -5,5709 -5,5426 -5,5289 -5,5259 -5,5322 -5,5540 -5,6020 -5,6837 -5,8000 -5,9489 -6,1252 -6,3183 -6,5224 -6,7494 -7,0222 -7,3517 -7,7141 -8,0519 -8,2986 -8,4020 -8,3389 -8,1289 -7,8362 -7,5441 -7,3159 -7,1763 -7,1177 -7,1109 -7,1203 -7,1259 -7,1365 -7,1754 -7,2553 -7,3674 -7,4854 -7,5728 -7,5972 -7,5451 -7,4203 -7,2347 -7,0068 -6,7675 -6,5596 -6,4213 -6,3577 -6,3333 -6,2984 -6,2208 -6,0979 -5,9437 -5,7703 -5,5772 -5,3542 -5,0915 -4,7882 -4,4517 -4,0891 -3,7045 -3,3033 -2,8974 -2,5128 -2,1955 -2,0053 -1,9906 -2,1560 -2,4437 -2,7521 -2,9892 -3,1198 -3,1654 -3,1654 -3,1478 -3,1273 -3,1150 -3,1180 -3,1288 -3,1147 -3,0252 -2,8230 -2,5092 -2,1193 -1,7131 -1,3659 -1,1504 -1,1167 -1,2822 -1,6276 -2,0994 -2,6204 -3,1068 -3,4982 -3,7840 -3,9953 -4,1775 -4,3719 -4,6061 -4,8774 -5,1498 -5,3794 -5,5444 -5,6501 -5,7176 -5,7750 -5,8474 -5,9464 -6,0646 -6,1806 -6,2736 -6,3362 -6,3721 -6,3829 -6,3583 -6,2815 -6,1478 -5,9717 -5,7718 -5,5501 -5,2950 -5,0031 -4,6927 -4,3930 -4,1246 -3,8947 -3,7014 -3,5371 -3,4024 -3,3173 -3,3023 -3,3474 -3,4054 -3,4114 -3,3116 -3,0881 -2,7640 -2,3857 -2,0023 -1,6557 -1,3798 -1,2002 -1,1245 -1,1286 -1,1634 -1,1882 -1,1927 -1,1868 -1,1844 -1,2019 -1,2654 -1,4126 -1,6839 -2,0989 -2,6390 -3,2533 -3,8766 -4,4373 -4,8623 -5,1014 -5,1579 -5,0924 -4,9847 -4,8862 -4,8078 -4,7467 -4,7076 -4,6994 -4,7174 -4,7334 -4,7051 -4,5963 -4,3881 -4,0797 -3,6878 -3,2400 -2,7671 -2,3038 -1,8909 -1,5664 -1,3502 -1,2407 -1,2203 -1,2582 -1,3121 -1,3331 -1,2701 -1,0893 -0,8021 -0,4656 -0,1447 0,1208 0,3083 0,3872 0,3147 0,0618 -0,3577 -0,8840 -1,4344 -1,9420 -2,3796 -2,7538 -3,0836 -3,3943 -3,7187 -4,0800 -4,4640 -4,8142 -5,0581 -5,1504 -5,1133 -5,0376 -5,0315 -5,1539 -5,3845 -5,6513 -5,8860
