Fp1   2,5356 2,7696 2,6829 2,2708 1,5955 0,7977 0,0756 -0,4074 -0,6040 -0,5841 -0,4907 -0,4596 -0,5261 -0,6180 -0,6460 -0,5846 -0,4724 -0,3511 -0,2266 -0,1058 -0,0521 -0,1600 -0,4578 -0,8528 -1,1703 -1,2427 -1,0031 -0,5407 -0,0600 0,2327 0,2231 -0,0819 -0,5861 -1,1622 -1,6850 -2,0389 -2,1446 -1,9913 -1,6373 -1,1780 -0,6959 -0,2296 0,2168 0,6574 1,1075 1,5498 1,9192 2,1408 2,1858 2,0856 1,8918 1,6449 1,3882 1,1785 1,0609 1,0346 1,0379 0,9744 0,7683 0,4125 -0,0093 -0,3383 -0,4098 -0,1392 0,4432 1,2344 2,1192 2,9651 3,6006 3,8735 3,7169 3,1193 2,0925 0,7384 -0,6946 -1,8853 -2,5753 -2,6453 -2,1216 -1,1622 -0,0400 0,9243 1,4898 1,5707 1,1834 0,3726 -0,7672 -2,0300 -3,1342 -3,8443 -4,0590 -3,8268 -3,2939 -2,6282 -1,9799 -1,4729 -1,1895 -1,1518 -1,3331 -1,6951 -2,1968 -2,7569 -3,2542 -3,6010 -3,7949 -3,8688 -3,8210 -3,6449 -3,3929 -3,1559 -3,0001 -2,9425 -2,9512 -2,9515 -2,8605 -2,6469 -2,3646 -2,1210 -2,0020 -2,0267 -2,1526 -2,2973 -2,3725 -2,3396 -2,2467 -2,2118 -2,3543 -2,7272 -3,3108 -4,0441 -4,8390 -5,5789 -6,1393 -6,4394 -6,4776 -6,3012 -5,9349 -5,3505 -4,5049 -3,4093 -2,1741 -0,9712 0,0724 0,9217 1,5623 1,9240 1,9021 1,4468 0,6489 -0,2530 -0,9812 -1,3588 -1,3467 -0,9770 -0,3109 0,5418 1,4294 2,2284 2,9024 3,4886 4,0546 4,6680 5,3578 6,0871 6,7882 7,4134 7,9174 8,2028 8,1151 7,5234 6,4374 5,0419 3,6111 2,4017 1,5889 1,2439 1,3427 1,7948 2,4750 3,2371 3,9287 4,4383 4,7434 4,8854 4,8960 4,7837 4,5895 4,4050 4,2999 4,2482 4,1451 3,8876 3,4250 2,7744 2,0345 1,3567 0,8578 0,5602 0,4075 0,3112 0,1934 0,0324 -0,1300 -0,2543 -0,3610 -0,4960 -0,6642 -0,8111 -0,8592 -0,7573 -0,4930 -0,0603 0,5503 1,3144 2,1510 2,9474 3,5990 4,0304 4,1912 4,0653 3,7197 3,2942 2,8997 2,5556 2,2573 2,0706 2,1063 2,3976 2,8364 3,2265 3,3849 3,2254 2,7847 2,1910 1,6165 1,2292 1,1339 1,3263 1,6965 2,0815 2,3427 2,4425 2,4595 2,4978 2,5755 2,6111 2,4986 2,1855 1,7052 1,1627 0,7077 0,4953 0,6128 1,0376 1,6790 2,4340 3,1912 3,8129 4,1433 4,0601 3,5580 2,7846 1,9650 1,2821 0,8314 0,6510 0,7561 1,1569 1,8651 2,8546 3,9971 5,0650 5,8403 6,2263 6,2681 6,1101 5,9422 5,9240 6,1168 6,4729 6,8747 7,1906 7,3147 7,1778 6,7513 6,0625 5,2073 4,3440 3,6521 3,2757 3,2940 3,7080 4,4272 5,3024 6,2090 7,1069 8,0202 8,9572 9,8569 10,6085 11,1253 11,4160 11,5816 11,7300 11,8922 12,0039 11,9398 11,5597 10,7631 9,5524 8,0519 6,4667 5,0354 3,9842 3,4598 3,4761 3,9236 4,6453 5,5088 6,4087 7,2290 7,8378 8,1312 8,0844 7,7719 7,3194 6,8204 6,3212 5,8730 5,5353 5,3316 5,2633 5,3645 5,6874 6,2208 6,8597 7,4544 7,8859 8,1113 8,1497 8,0348 7,8005 7,4851 7,1135 6,7004 6,2931 5,9816 5,8622 5,9963 6,3783 6,9278 7,5229 8,0542 8,4459 8,6425 8,5972 8,2899 7,7640 7,1242 6,4722 5,8516 5,2590 4,6886 4,1604 3,7119 3,3833 3,2243 3,2945 3,6261 4,1733 4,7921 5,2687 5,3991 5,1144 4,5498 3,9593 3,5454 3,3634 3,3360 3,3021 3,0824 2,5811 1,8617 1,1172 0,5544 0,2844 0,3009 0,5424 0,9469 1,4393 1,9053 2,2221 2,3191 2,1999 1,9260 1,5926 1,2947 1,1002 1,0554 1,1798 1,4420 1,7680 2,0860 2,3575 2,5710 2,7256 2,8310 2,9109 2,9888 3,0668 3,1095 3,0410 2,7757 2,2919 1,6959 1,2077 1,0665 1,4004 2,1317 3,0190 3,8183 4,4065 4,7797 4,9917 5,0969 5,1186 5,0665 4,9639 4,8293 4,6317 4,2886 3,7236 2,9371 2,0311 1,1751 0,5354 0,2075 0,1915 0,4254 0,8442 1,4172 2,1424 3,0227 4,0555 5,2164 6,4298 7,5711 8,5243 9,2343 9,6875 9,8452 9,6040 8,8370 7,5169 5,8099 4,0128 2,3900 1,0743 0,0802 -0,6379 -1,1582 -1,5802 -1,9846 -2,3836 -2,7119 -2,8691 -2,7758 -2,4042 -1,7939 -1,0630 -0,3789 0,1153 0,3533 0,3393 0,1144 -0,2761 -0,7872 -1,3376 -1,7974 -2,0593 -2,1164 -2,0386 -1,8723 -1,5981 -1,1914 -0,6975 -0,2364 0,0629 0,1419 0,0278 -0,2282 -0,5956 -1,0330 -1,4450 -1,7022 -1,7070 -1,4423 -0,9805 -0,4685 -0,0782 0,0726 -0,0274 -0,2983 -0,6235 -0,9015 -1,0827 -1,1840 -1,2650 -1,3545 -1,3889 -1,2459 -0,8475 -0,2211 0,5232 1,2483 1,8440 2,2734 2,5734 2,8000 2,9745 3,0973 3,2123 3,4163 3,7779 4,2770 4,8375 5,3899 5,8924 6,3225 6,6806 7,0074 7,3677 7,8036 8,3082 8,8181 9,2094 9,3403 9,1281 8,5781 7,7466 6,7007 5,5247 4,3514 3,3532 2,6566 2,2534 2,0115 1,7702 1,4217 0,9379 0,3824 -0,0912 -0,3230 -0,2742 -0,0603 0,1398 0,2061 0,1398 0,0484 0,0801 0,3419 0,8528 1,5631 2,4013 3,3003 4,2021 5,0446 5,7342 6,1566 6,2428 6,0239 5,6277 5,2249 4,9398 4,7814 4,6585 4,4709 4,1960 3,9043 3,6949 3,6009 3,5558 3,4585 3,2633 3,0141 2,8141 2,7623 2,8806 3,0864 3,2534 3,2999 3,2138 3,0221 2,7528 2,4241 2,0645 1,7155 1,3970 1,0972 0,8130
Fz    3,2715 3,3433 3,0569 2,4330 1,5587 0,5880 -0,2769 -0,8639 -1,1058 -1,0518 -0,8425 -0,6385 -0,5201 -0,4635 -0,4178 -0,3824 -0,3993 -0,4841 -0,5925 -0,6763 -0,7565 -0,9032 -1,1365 -1,3674 -1,4369 -1,2034 -0,6346 0,1424 0,8889 1,3706 1,4510 1,1217 0,4788 -0,3313 -1,1480 -1,8126 -2,2008 -2,2645 -2,0463 -1,6487 -1,1778 -0,7025 -0,2491 0,1946 0,6618 1,1569 1,6228 1,9775 2,1787 2,2386 2,1807 2,0166 1,7733 1,5085 1,2821 1,1172 0,9813 0,8041 0,5252 0,1415 -0,2644 -0,5390 -0,5292 -0,1648 0,5175 1,4217 2,4376 3,4168 4,1546 4,4707 4,2896 3,6151 2,4916 1,0580 -0,4042 -1,5472 -2,1003 -1,9592 -1,1903 0,0033 1,3188 2,4246 3,0748 3,1731 2,7242 1,7677 0,4064 -1,1302 -2,5290 -3,5294 -4,0256 -4,0769 -3,8429 -3,4950 -3,1709 -2,9682 -2,9382 -3,0767 -3,3476 -3,7320 -4,2271 -4,7808 -5,2761 -5,6103 -5,7596 -5,7352 -5,5173 -5,0850 -4,4858 -3,8284 -3,2268 -2,7626 -2,4633 -2,2848 -2,1304 -1,9184 -1,6517 -1,4154 -1,3003 -1,3346 -1,4741 -1,6298 -1,7147 -1,7027 -1,6636 -1,7406 -2,0687 -2,6926 -3,5564 -4,5474 -5,5330 -6,3772 -6,9575 -7,2012 -7,1126 -6,7488 -6,1590 -5,3486 -4,3012 -3,0350 -1,6531 -0,3207 0,8302 1,7486 2,4063 2,7326 2,6351 2,0892 1,2235 0,3172 -0,3237 -0,5162 -0,2383 0,4387 1,4025 2,4937 3,5263 4,3704 5,0110 5,5249 6,0255 6,6204 7,3644 8,2294 9,1396 10,0242 10,8103 11,3778 11,5560 11,2052 10,3350 9,1297 7,8555 6,7571 5,9970 5,6287 5,6124 5,8613 6,2770 6,7530 7,1778 7,4688 7,6137 7,6516 7,6143 7,5141 7,3891 7,3140 7,3297 7,3741 7,3090 7,0091 6,4199 5,5735 4,5955 3,6673 2,9309 2,4201 2,0718 1,7792 1,4491 1,0627 0,6871 0,3981 0,2082 0,0898 0,0405 0,1036 0,3362 0,7640 1,3754 2,1531 3,0852 4,1360 5,2297 6,2686 7,1597 7,8272 8,2036 8,2441 7,9851 7,5491 7,0513 6,5366 6,0341 5,6345 5,4607 5,5565 5,8247 6,0683 6,0876 5,7718 5,1423 4,3341 3,5438 2,9673 2,7297 2,8375 3,1845 3,6089 3,9697 4,2156 4,3971 4,5841 4,7657 4,8395 4,6874 4,2638 3,6362 2,9610 2,4381 2,2541 2,4970 3,1113 3,9551 4,8804 5,7567 6,4573 6,8595 6,8807 6,5453 6,0077 5,4704 5,0681 4,8361 4,7589 4,8174 5,0163 5,3936 5,9770 6,7045 7,4113 7,9297 8,1959 8,2607 8,2439 8,2913 8,5150 8,9291 9,4418 9,9090 10,2006 10,2371 9,9856 9,4483 8,6740 7,7758 6,9257 6,3104 6,0745 6,2943 6,9603 7,9548 9,0889 10,2055 11,2537 12,2598 13,2339 14,1109 14,7780 15,1565 15,2747 15,2609 15,2491 15,2825 15,2893 15,1226 14,6206 13,6761 12,3063 10,6676 9,0002 7,5633 6,5736 6,1422 6,2427 6,7412 7,4756 8,3187 9,1698 9,9122 10,4100 10,5549 10,3193 9,7801 9,0784 8,3402 7,6589 7,1302 6,8388 6,8128 7,0391 7,5200 8,2638 9,2171 10,2419 11,1626 11,8400 12,2186 12,3126 12,1594 11,8106 11,3377 10,8050 10,2551 9,7349 9,3101 9,0538 9,0252 9,2347 9,6216 10,0803 10,5116 10,8356 10,9695 10,8247 10,3546 9,6208 8,7814 7,9854 7,2934 6,6942 6,1650 5,7071 5,3455 5,1208 5,0850 5,2829 5,7161 6,3115 6,9163 7,3247 7,3512 6,9521 6,2872 5,6241 5,1695 4,9831 4,9951 5,0458 4,9407 4,5553 3,9221 3,2132 2,6299 2,2879 2,1894 2,2918 2,5617 2,9450 3,3314 3,5917 3,6485 3,5034 3,2178 2,8806 2,5661 2,3163 2,1617 2,1284 2,2120 2,3762 2,5822 2,8056 3,0272 3,2263 3,3978 3,5618 3,7431 3,9420 4,1182 4,1885 4,0595 3,7048 3,2333 2,8722 2,8679 3,3540 4,2519 5,3084 6,2644 6,9837 7,4517 7,7184 7,8499 7,8872 7,8436 7,7351 7,5818 7,3654 7,0049 6,4057 5,5450 4,5170 3,5021 2,6871 2,1960 2,0669 2,2817 2,8094 3,6218 4,6744 5,8900 7,1731 8,4281 9,5605 10,4818 11,1412 11,5462 11,7328 11,6977 11,3473 10,5345 9,2007 7,4950 5,7128 4,1203 2,8480 1,9018 1,2206 0,7137 0,2792 -0,1595 -0,6075 -0,9888 -1,1909 -1,1250 -0,7611 -0,1418 0,6121 1,3345 1,8873 2,2082 2,3005 2,1947 1,9092 1,4476 0,8549 0,2517 -0,2319 -0,5423 -0,6921 -0,6787 -0,4546 0,0069 0,6387 1,2870 1,7942 2,0847 2,1748 2,1094 1,9160 1,6306 1,3444 1,1939 1,2904 1,6509 2,1801 2,6966 2,9931 2,9240 2,4720 1,7466 0,9249 0,1785 -0,3895 -0,7742 -1,0381 -1,2210 -1,2645 -1,0420 -0,4690 0,4201 1,4892 2,5690 3,5221 4,2904 4,9050 5,4361 5,9217 6,3577 6,7628 7,2025 7,7175 8,2654 8,7562 9,1194 9,3347 9,4332 9,4944 9,6356 9,9587 10,4881 11,1678 11,8914 12,5143 12,8864 12,9114 12,5691 11,8840 10,8949 9,6735 8,3618 7,1567 6,2150 5,5517 5,0456 4,5450 3,9663 3,3211 2,7069 2,2864 2,2066 2,4794 2,9518 3,4045 3,6861 3,7821 3,7992 3,8954 4,1955 4,7377 5,4811 6,3480 7,2628 8,1666 8,9965 9,6501 10,0018 9,9791 9,6143 9,0353 8,4215 7,9235 7,5819 7,3255 7,0634 6,7786 6,5393 6,4236 6,4267 6,4422 6,3407 6,0686 5,6824 5,3068 5,0567 4,9638 4,9559 4,9188 4,7792 4,5298 4,2020 3,8255 3,4127 2,9860 2,5915 2,2597 1,9808 1,7429
F3    2,0583 2,1506 1,8955 1,3285 0,5315 -0,3647 -1,1885 -1,7893 -2,0990 -2,1446 -2,0281 -1,8713 -1,7396 -1,6242 -1,4969 -1,3647 -1,2624 -1,1998 -1,1489 -1,1049 -1,1370 -1,3332 -1,6856 -2,0505 -2,2165 -2,0133 -1,4045 -0,5241 0,3854 1,0940 1,4744 1,5208 1,3057 0,9199 0,4528 0,0110 -0,2853 -0,3512 -0,1858 0,1341 0,5135 0,8915 1,2508 1,6069 1,9854 2,3767 2,7192 2,9461 3,0381 3,0230 2,9374 2,8116 2,6895 2,6283 2,6689 2,8063 2,9811 3,1019 3,0948 2,9483 2,7332 2,5879 2,6575 3,0175 3,6455 4,4615 5,3668 6,2238 6,8515 7,1075 6,9514 6,4044 5,5080 4,3721 3,2170 2,3070 1,8393 1,8913 2,4331 3,3479 4,4269 5,3971 6,0219 6,1789 5,8335 4,9895 3,7255 2,2599 0,9076 -0,0583 -0,5097 -0,4751 -0,0810 0,5197 1,1793 1,7597 2,1443 2,2589 2,0747 1,5919 0,8534 -0,0078 -0,7843 -1,2992 -1,4894 -1,3743 -0,9860 -0,3755 0,3481 1,0490 1,6310 2,0595 2,3490 2,5529 2,7486 2,9898 3,2536 3,4455 3,4696 3,2944 2,9699 2,6094 2,3355 2,2095 2,1962 2,1825 2,0383 1,6808 1,0939 0,3148 -0,5743 -1,4501 -2,1696 -2,6199 -2,7599 -2,6048 -2,1721 -1,4573 -0,4543 0,8026 2,2091 3,6199 4,9270 6,0828 7,0278 7,6303 7,7289 7,2502 6,3073 5,1823 4,1864 3,5170 3,2423 3,3766 3,9117 4,7696 5,7910 6,8177 7,7728 8,6598 9,5248 10,4228 11,3739 12,3320 13,2133 13,9445 14,4588 14,6547 14,3879 13,5444 12,1609 10,4689 8,8082 7,4880 6,6836 6,4140 6,5950 7,1140 7,8664 8,7438 9,6140 10,3461 10,8593 11,1269 11,1392 10,9007 10,4745 9,9882 9,5557 9,1914 8,8202 8,3587 7,7729 7,0956 6,4288 5,9050 5,6055 5,5053 5,4867 5,4046 5,1743 4,8346 4,5123 4,2980 4,1700 4,0474 3,8864 3,7185 3,6211 3,6664 3,9029 4,3724 5,1105 6,1088 7,2902 8,5245 9,6652 10,5841 11,1848 11,4189 11,3258 11,0224 10,6111 10,1189 9,5550 9,0009 8,5993 8,4508 8,5388 8,7392 8,8808 8,8282 8,5478 8,1217 7,7090 7,4761 7,5138 7,7865 8,1571 8,4711 8,6423 8,6980 8,7462 8,8718 9,0501 9,1596 9,0704 8,7407 8,2521 7,7656 7,4551 7,4521 7,7878 8,3835 9,1195 9,8988 10,6379 11,2265 11,5257 11,4278 10,9405 10,2130 9,4477 8,7873 8,2991 8,0235 7,9884 8,2094 8,7081 9,4944 10,4997 11,5547 12,4727 13,1495 13,5752 13,7998 13,9128 14,0158 14,1755 14,3890 14,5805 14,6394 14,4762 14,0448 13,3381 12,4015 11,3533 10,3804 9,6850 9,4181 9,6516 10,3682 11,4424 12,6741 13,8867 15,0069 16,0534 17,0553 17,9762 18,7057 19,1245 19,1957 18,9958 18,6550 18,2603 17,7990 17,1692 16,2386 14,9305 13,2971 11,5147 9,8172 8,4424 7,5869 7,3500 7,7057 8,5263 9,6459 10,9162 12,2014 13,3415 14,1616 14,5329 14,4267 13,9275 13,1799 12,3061 11,3886 10,5081 9,7374 9,1109 8,6518 8,4234 8,5034 8,9034 9,5387 10,2710 10,9707 11,5600 12,0073 12,2940 12,4080 12,3511 12,1232 11,7340 11,2462 10,7789 10,4587 10,3714 10,5281 10,8592 11,2539 11,6096 11,8399 11,8513 11,5426 10,8587 9,8656 8,7473 7,6973 6,8274 6,1701 5,7209 5,4597 5,3537 5,3736 5,5160 5,8012 6,2352 6,7633 7,2467 7,4831 7,2890 6,6343 5,7126 4,8480 4,3062 4,1776 4,3855 4,7417 5,0152 5,0333 4,7713 4,3574 3,9866 3,8013 3,8322 4,0410 4,3768 4,7678 5,1017 5,2631 5,1911 4,9002 4,4626 3,9800 3,5399 3,1871 2,9435 2,8259 2,8269 2,9115 3,0429 3,1982 3,3621 3,5205 3,6704 3,8275 4,0094 4,2080 4,3786 4,4510 4,3657 4,1278 3,8430 3,6986 3,8833 4,4745 5,3568 6,2737 6,9991 7,4590 7,7056 7,8336 7,9174 7,9701 7,9549 7,8405 7,6260 7,3017 6,8125 6,0845 5,0972 3,9310 2,7500 1,7314 0,9964 0,5914 0,5239 0,8061 1,4564 2,4659 3,7758 5,2864 6,8717 8,3871 9,6862 10,6575 11,2501 11,4576 11,2716 10,6488 9,5341 7,9594 6,1230 4,3223 2,7963 1,6388 0,8247 0,2777 -0,0964 -0,4003 -0,7054 -1,0028 -1,2079 -1,2240 -1,0005 -0,5424 0,1019 0,8432 1,5689 2,1904 2,6692 2,9926 3,1381 3,0632 2,7397 2,2255 1,6802 1,2657 1,0391 0,9700 1,0436 1,3038 1,7879 2,4450 3,1333 3,6963 4,0518 4,2071 4,1980 4,0504 3,8159 3,6129 3,5981 3,8852 4,4811 5,2792 6,0870 6,6823 6,8965 6,6833 6,1227 5,3787 4,6403 4,0571 3,6884 3,5091 3,4866 3,6545 4,0893 4,8219 5,7869 6,8502 7,8685 8,7352 9,4127 9,9429 10,4052 10,8480 11,2716 11,6752 12,0784 12,4767 12,8178 13,0456 13,1440 13,1405 13,0958 13,0945 13,2297 13,5644 14,0994 14,7795 15,5029 16,1190 16,4721 16,4755 16,1293 15,4731 14,5510 13,4340 12,2631 11,2332 10,4858 10,0059 9,6463 9,2521 8,7546 8,1782 7,6187 7,2277 7,1417 7,3692 7,7614 8,1086 8,2726 8,2515 8,1555 8,1328 8,2929 8,6709 9,2364 9,9237 10,6626 11,3984 12,0823 12,6399 12,9761 13,0371 12,8597 12,5623 12,2925 12,1481 12,1168 12,0957 11,9865 11,7746 11,5306 11,3462 11,2629 11,2506 11,2421 11,1864 11,0843 10,9979 11,0165 11,1711 11,3784 11,4936 11,4136 11,1216 10,6645 10,1052 9,4908 8,8655 8,2832 7,7770 7,3465 6,9980
F7    1,2001 1,5340 1,5894 1,3539 0,8994 0,3640 -0,0778 -0,2865 -0,2239 0,0278 0,2940 0,3970 0,2734 -0,0007 -0,2974 -0,5305 -0,6741 -0,7235 -0,6727 -0,5406 -0,3983 -0,3335 -0,3774 -0,4721 -0,5027 -0,3639 -0,0331 0,3932 0,7411 0,8515 0,6548 0,1983 -0,3891 -0,9702 -1,4456 -1,7573 -1,8861 -1,8492 -1,6876 -1,4485 -1,1633 -0,8340 -0,4404 0,0438 0,6183 1,2161 1,7143 2,0054 2,0637 1,9464 1,7359 1,4904 1,2472 1,0384 0,8890 0,8070 0,7746 0,7525 0,7014 0,6011 0,4672 0,3593 0,3624 0,5433 0,9213 1,4763 2,1584 2,8584 3,4036 3,6389 3,5072 3,0325 2,2655 1,2882 0,2446 -0,6753 -1,2877 -1,4658 -1,1798 -0,5185 0,3119 1,0408 1,4413 1,4083 0,9441 0,1099 -0,9725 -2,0970 -3,0201 -3,5663 -3,6924 -3,4681 -3,0110 -2,4358 -1,8507 -1,3677 -1,0884 -1,0712 -1,3131 -1,7617 -2,3314 -2,9026 -3,3446 -3,5809 -3,6266 -3,5369 -3,3333 -3,0091 -2,5863 -2,1357 -1,7473 -1,4892 -1,3778 -1,3689 -1,3815 -1,3537 -1,2894 -1,2439 -1,2613 -1,3307 -1,3902 -1,3673 -1,2364 -1,0496 -0,9103 -0,9279 -1,1798 -1,6906 -2,4380 -3,3622 -4,3589 -5,2807 -5,9741 -6,3431 -6,3907 -6,1927 -5,8249 -5,3092 -4,6270 -3,7787 -2,8349 -1,9186 -1,1262 -0,4870 -0,0161 0,2176 0,1044 -0,4169 -1,2631 -2,1874 -2,8845 -3,1551 -2,9759 -2,4371 -1,6675 -0,8099 0,0027 0,6902 1,2433 1,7000 2,1211 2,5747 3,0974 3,6583 4,1833 4,6135 4,9140 5,0308 4,8626 4,3128 3,3942 2,2709 1,1902 0,3728 -0,0571 -0,0752 0,2661 0,8555 1,5479 2,2025 2,7151 3,0472 3,2377 3,3576 3,4351 3,4440 3,3642 3,2238 3,0625 2,8775 2,6356 2,3232 1,9531 1,5463 1,1386 0,7827 0,5190 0,3506 0,2479 0,1657 0,0686 -0,0371 -0,1073 -0,1215 -0,1261 -0,1951 -0,3590 -0,5771 -0,7638 -0,8359 -0,7435 -0,4633 0,0126 0,6605 1,4024 2,1128 2,6563 2,9354 2,9152 2,6340 2,2096 1,7948 1,4861 1,2926 1,2028 1,2488 1,4716 1,8383 2,2283 2,4893 2,5022 2,2265 1,7172 1,1056 0,5575 0,2229 0,1858 0,4280 0,8332 1,2367 1,5055 1,6074 1,6100 1,5991 1,5931 1,5315 1,3265 0,9389 0,4232 -0,0964 -0,4864 -0,6478 -0,5503 -0,2404 0,2008 0,7006 1,1950 1,6174 1,8985 1,9905 1,9139 1,7774 1,7110 1,7730 1,9343 2,1399 2,3687 2,6541 3,0725 3,6946 4,5127 5,4122 6,2376 6,8820 7,3111 7,5504 7,6731 7,7647 7,8790 8,0201 8,1461 8,1884 8,0805 7,7747 7,2556 6,5604 5,7913 5,0995 4,6316 4,4685 4,6087 4,9897 5,5120 6,0833 6,6740 7,3263 8,0937 8,9634 9,8355 10,5718 11,0730 11,3291 11,4076 11,3870 11,2961 11,0980 10,7167 10,0771 9,1538 8,0048 6,7553 5,5581 4,5822 3,9889 3,8746 4,2309 4,9521 5,8841 6,8840 7,8347 8,6167 9,1099 9,2370 9,0023 8,4970 7,8500 7,1550 6,4689 5,8647 5,4279 5,2006 5,1737 5,3284 5,6450 6,0746 6,5338 6,9301 7,1970 7,3262 7,3588 7,3439 7,3121 7,2626 7,1496 6,9208 6,5900 6,2500 6,0210 5,9988 6,2165 6,6261 7,1280 7,6239 8,0349 8,2884 8,3156 8,0743 7,5850 6,9391 6,2565 5,6350 5,1307 4,7627 4,5206 4,3660 4,2469 4,1273 4,0010 3,8755 3,7452 3,5769 3,3063 2,8628 2,2433 1,5693 1,0392 0,8120 0,9323 1,3311 1,8636 2,3692 2,7499 3,0117 3,2299 3,4703 3,7362 3,9761 4,1341 4,1848 4,1309 3,9876 3,7702 3,4872 3,1495 2,7928 2,4807 2,2661 2,1652 2,1769 2,2954 2,4933 2,7221 2,9378 3,1145 3,2434 3,3305 3,3962 3,4680 3,5682 3,6964 3,8027 3,7845 3,5473 3,0891 2,5273 2,0547 1,8615 2,0477 2,5596 3,2158 3,8193 4,2519 4,4904 4,5849 4,6190 4,6591 4,7364 4,8577 4,9963 5,0729 4,9749 4,6115 3,9652 3,1115 2,1944 1,3686 0,7423 0,3598 0,2252 0,3373 0,6932 1,2689 2,0158 2,8737 3,7766 4,6485 5,4181 6,0599 6,6089 7,1068 7,5199 7,7196 7,5469 6,9192 5,8966 4,6475 3,3475 2,1074 0,9778 -0,0086 -0,8264 -1,4747 -1,9681 -2,3003 -2,4322 -2,3255 -1,9861 -1,4733 -0,8847 -0,3363 0,0712 0,2902 0,3349 0,2523 0,0797 -0,1823 -0,5548 -1,0194 -1,4883 -1,8571 -2,0745 -2,1485 -2,1035 -1,9521 -1,7113 -1,4269 -1,1681 -0,9897 -0,8934 -0,8368 -0,7829 -0,7254 -0,6627 -0,5686 -0,3957 -0,1010 0,3259 0,8407 1,3407 1,6965 1,8195 1,7104 1,4470 1,1301 0,8263 0,5394 0,2299 -0,1282 -0,4854 -0,7095 -0,6554 -0,2578 0,4289 1,2608 2,0705 2,7302 3,1907 3,4828 3,6804 3,8523 4,0506 4,3341 4,7589 5,3191 5,9211 6,4345 6,7687 6,9111 6,9177 6,8837 6,9109 7,0671 7,3580 7,7448 8,1643 8,5225 8,7071 8,6367 8,2845 7,6584 6,7940 5,7858 4,8020 4,0338 3,5960 3,4569 3,4671 3,4630 3,3463 3,0927 2,7417 2,4007 2,1945 2,1693 2,2612 2,3573 2,3718 2,2865 2,1474 2,0357 2,0262 2,1562 2,4252 2,8209 3,3386 3,9739 4,6935 5,4058 5,9806 6,3191 6,4045 6,2981 6,0958 5,8696 5,6361 5,3778 5,0928 4,8179 4,6165 4,5412 4,5940 4,7235 4,8783 5,0527 5,2678 5,5326 5,8323 6,1182 6,3052 6,3131 6,1163 5,7489 5,2721 4,7410 4,1975 3,6865 3,2525 2,9113 2,6492 2,4618
