Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-5g79,Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Manipulation: Spreadsheet
3,1726045838280,11/09/2024 09:10:38,1726053038280,2,11/09/2024 13:10:38,143587,32,task-iam7,,39991744,gjop6,9856454,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 128.0.0.0,1280x720,932x578,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1723713968700,15/08/2024 09:26:08,1723721168700,2,15/08/2024 13:26:08,143587,32,task-iam7,,39568708,ahsw7,9856446,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x657,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723713968730,15/08/2024 09:26:08,1723721168730,2,15/08/2024 13:26:08,143587,32,task-iam7,,39568708,ahsw7,9856446,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x657,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,154.65400002384195,99.95399999999972,154.65400002384195,154.65400002384195,99.95399999999972,154.65400002384195,1,154.65400002384195,0,0,,Time Limit,screen,0,screen,dummy,
3,1723713968736,15/08/2024 09:26:08,1723721168736,2,15/08/2024 13:26:08,143587,32,task-iam7,,39568708,ahsw7,9856446,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 109.0.0.0,1366x768,1366x657,,,0,study_site,2,DGS,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1723460775008,12/08/2024 11:06:15,1723467975008,2,12/08/2024 15:06:15,143587,32,task-iam7,,39512957,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,info,BEGIN,,,,,,,0,,,,,,,,,,
2,1723460775096,12/08/2024 11:06:15,1723467975096,2,12/08/2024 15:06:15,143587,32,task-iam7,,39512957,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,101.79999999925485,100.40000000000009,101.79999999925485,101.79999999925485,100.40000000000009,101.79999999925485,1,101.79999999925485,0,0,,Time Limit,screen,0,screen,dummy,
3,1723460775098,12/08/2024 11:06:15,1723467975098,2,12/08/2024 15:06:15,143587,32,task-iam7,,39512957,wbij5,9856551,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 127.0.0.0,3440x1440,3440x1271,,,0,study_site,2,Stroop ,Spreadsheet1,Spreadsheet1,,,,,,info,END,,,,,,,0,,,,,,,,,,
1,1711369845175,25/03/2024 12:30:45,1711373445175,1,25/03/2024 14:30:45,143587,32,task-iam7,,36412488,exdq7,9856556,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1512x982,1465x857,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,BEGIN,,,,,,,0,,,,,,,,,,
2,1711369845269,25/03/2024 12:30:45,1711373445269,1,25/03/2024 14:30:45,143587,32,task-iam7,,36412488,exdq7,9856556,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1512x982,1465x857,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,1,dummy,Screen 1,yzgy6e,1,timedOut,,100.79999985694894,100.30000000000018,100.79999985694894,100.79999985694894,100.30000000000018,100.79999985694894,1,100.79999985694894,0,0,,Time Limit,screen,0,screen,dummy,
3,1711369845271,25/03/2024 12:30:45,1711373445271,1,25/03/2024 14:30:45,143587,32,task-iam7,,36412488,exdq7,9856556,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 122.0.0.0,1512x982,1465x857,,,0,study_site,2,ASRT,Spreadsheet1,Spreadsheet1,,,,,,5,END,,,,,,,0,,,,,,,,,,
END OF FILE
