Fp1   5,1880 5,2161 4,9393 4,5084 4,0479 3,6088 3,1867 2,7575 2,3028 1,8370 1,4148 1,1010 0,9372 0,9260 1,0254 1,1527 1,2154 1,1546 0,9838 0,8160 0,8226 1,1257 1,7126 2,4345 3,0763 3,4360 3,3773 2,8724 2,0129 0,9657 -0,0938 -1,0458 -1,8656 -2,5966 -3,2659 -3,8199 -4,1584 -4,2354 -4,1101 -3,9186 -3,8308 -3,9846 -4,3823 -4,8542 -5,1521 -5,0890 -4,6295 -3,8865 -3,0321 -2,2041 -1,4939 -0,9892 -0,7785 -0,8831 -1,1773 -1,4079 -1,3456 -0,9569 -0,4311 -0,0276 0,1016 -0,0462 -0,3926 -0,8433 -1,3275 -1,8102 -2,2500 -2,5610 -2,6651 -2,5787 -2,4125 -2,2915 -2,2857 -2,3947 -2,5660 -2,7371 -2,8712 -2,9396 -2,8908 -2,6841 -2,3521 -2,0106 -1,8027 -1,7938 -1,9143 -2,0347 -2,0804 -2,0572 -2,0077 -1,9854 -2,0594 -2,3068 -2,7742 -3,4362 -4,1957 -4,9262 -5,5111 -5,8544 -5,9077 -5,7275 -5,4857 -5,3678 -5,4366 -5,6089 -5,7597 -5,8232 -5,8198 -5,8349 -5,9697 -6,2614 -6,6250 -6,8969 -6,9582 -6,7916 -6,4230 -5,8723 -5,1826 -4,4275 -3,6551 -2,8661 -2,0567 -1,2692 -0,5947 -0,1288 0,0760 0,0341 -0,1703 -0,4286 -0,6741 -0,8932 -1,0973 -1,3047 -1,5342 -1,8096 -2,1796 -2,7214 -3,4826 -4,3917 -5,2624 -5,9176 -6,2929 -6,4266 -6,3795 -6,1533 -5,6866 -4,9613 -4,1015 -3,3221 -2,7886 -2,5401 -2,5192 -2,6345 -2,7802 -2,8347 -2,7092 -2,4174 -2,0529 -1,7004 -1,4149 -1,2470 -1,2300 -1,3703 -1,6452 -1,9686 -2,1769 -2,0945 -1,6372 -0,8720 0,0121 0,7975 1,3269 1,5353 1,4268 1,0546 0,5416 0,0859 -0,1416 -0,1448 -0,0957 -0,1605 -0,3808 -0,7097 -1,0753 -1,3926 -1,5947 -1,7037 -1,8200 -2,0109 -2,2522 -2,4907 -2,6982 -2,8570 -2,9482 -2,9519 -2,8411 -2,6053 -2,2880 -1,9683 -1,7001 -1,4947 -1,3628 -1,3248 -1,3737 -1,4666 -1,5542 -1,6064 -1,6115 -1,5480 -1,3756 -1,0832 -0,7244 -0,3793 -0,0852 0,1787 0,4428 0,7007 0,8945 0,9286 0,7234 0,2928 -0,2180 -0,6080 -0,7570 -0,6684 -0,4086 -0,0845 0,1411 0,1152 -0,2134 -0,8112 -1,6266 -2,5818 -3,5329 -4,2908 -4,7125 -4,7897 -4,6406 -4,4240 -4,2509 -4,1328 -4,0111 -3,8330 -3,5737 -3,2069 -2,6967 -2,0534 -1,3917 -0,9001 -0,7406 -0,9730 -1,5217 -2,1884 -2,7396 -3,0458 -3,1471 -3,1850 -3,2779 -3,4473 -3,6420 -3,7996 -3,8525 -3,7242 -3,3616 -2,7625 -1,9940 -1,1990 -0,5542 -0,1944 -0,1521 -0,3407 -0,5922 -0,7550 -0,7882 -0,7622 -0,7622 -0,7922 -0,7704 -0,6028 -0,2385 0,3360 1,1055 1,9962 2,8562 3,4918 3,7368 3,5147 2,8668 1,9385 0,9329 0,0515 -0,5421 -0,7372 -0,5027 0,0889 0,8714 1,6235 2,1166 2,1775 1,7819 1,1099 0,4554 0,0444 -0,0632 0,0720 0,3594 0,7198 1,0825 1,3926 1,6262 1,7858 1,8853 1,9336 1,9154 1,8069 1,6270 1,4413 1,3003 1,1626 0,8685 0,2405 -0,7400 -1,8826 -2,9182 -3,6396 -3,9290 -3,7247 -3,0281 -1,9510 -0,7051 0,4872 1,4605 2,1158 2,4306 2,4770 2,4009 2,3578 2,4525 2,7256 3,1882 3,8571 4,7423 5,7845 6,8008 7,5150 7,6855 7,2220 6,2139 4,8908 3,5469 2,4601 1,8151 1,6429 1,8386 2,2675 2,8435 3,5117 4,2144 4,9170 5,6243 6,3225 6,9260 7,3171 7,4306 7,2889 6,9725 6,5880 6,2450 6,0032 5,8261 5,6232 5,3474 5,0478 4,8336 4,7723 4,8241 4,8906 4,9037 4,8423 4,6954 4,4446 4,0789 3,6110 3,0735 2,5062 1,9605 1,5069 1,2388 1,2781 1,7273 2,5728 3,6428 4,6926 5,5659 6,2657 6,8364 7,2060 7,2059 6,7499 5,9539 5,0609 4,2791 3,7095 3,3795 3,2560 3,2109 3,0613 2,7211 2,2856 1,9397 1,8386 2,0881 2,7330 3,7004 4,8049 5,8468 6,6913 7,2818 7,6327 7,8094 7,9000 8,0012 8,1789 8,3867 8,4396 8,1208 7,3365 6,1824 4,8876 3,7080 2,8491 2,4278 2,4459 2,7840 3,2351 3,5717 3,6361 3,3908 2,8643 2,0705 1,0310 -0,1340 -1,2019 -1,9575 -2,2853 -2,1877 -1,7629 -1,1656 -0,5588 -0,0576 0,2952 0,4965 0,5484 0,4703 0,3189 0,1763 0,1165 0,1691 0,3019 0,4647 0,6295 0,7507 0,7678 0,7106 0,7161 0,8898 1,1829 1,4314 1,5052 1,3805 1,0536 0,4585 -0,4525 -1,5859 -2,7253 -3,6476 -4,2048 -4,3516 -4,1257 -3,6107 -2,9101 -2,1129 -1,2688 -0,4039 0,4479 1,2131 1,7532 1,8993 1,5661 0,8332 -0,1054 -1,0397 -1,7619 -2,0526 -1,7425 -0,8252 0,4760 1,7546 2,6032 2,8388 2,5693 2,0538 1,5294 1,1303 0,8776 0,7029 0,4840 0,0960 -0,5233 -1,3290 -2,1684 -2,8506 -3,2770 -3,4943 -3,6046 -3,6726 -3,7299 -3,7786 -3,7792 -3,7083 -3,6138 -3,5909 -3,7308 -4,0561 -4,4617 -4,7338 -4,6665 -4,1972 -3,4433 -2,6489 -2,0903 -1,9313 -2,1359 -2,5590 -3,0805 -3,6141 -4,0540 -4,2842 -4,2212 -3,8371 -3,1662 -2,2947 -1,3171 -0,3118 0,6229 1,3420 1,6984 1,6051 1,0561 0,1153 -1,0794 -2,3224 -3,3996 -4,1675 -4,6049 -4,8098 -4,9288 -5,0492 -5,1401 -5,1059 -4,8721 -4,4113 -3,7426 -2,9149 -1,9695 -0,9490 0,0544 0,9049 1,4606 1,5374 0,9266 -0,3274 -1,7133 -2,5621 -2,5428 -1,8094 -0,8112 0,0250 0,5114 0,6548 0,5053 0,0968 -0,5266 -1,2695 -2,0020 -2,6088 -2,9883 -3,0393 -2,7446 -2,2799 -1,9693 -2,0986 -2,7328 -3,6562 -4,5162 -5,0726 -5,2860 -5,1949 -4,8236 -4,2084 -3,4029
Fz    3,6397 3,5323 3,3352 3,1257 2,9502 2,8103 2,6851 2,5599 2,4348 2,3176 2,2155 2,1340 2,0777 2,0495 2,0463 2,0610 2,0867 2,1190 2,1605 2,2297 2,3542 2,5464 2,7825 2,9973 3,0949 2,9765 2,5724 1,8758 0,9548 -0,0741 -1,0879 -1,9964 -2,7651 -3,4021 -3,9198 -4,3061 -4,5303 -4,5765 -4,4697 -4,2810 -4,1133 -4,0575 -4,1305 -4,2533 -4,3001 -4,1738 -3,8498 -3,3716 -2,8147 -2,2521 -1,7441 -1,3409 -1,0784 -0,9563 -0,9140 -0,8449 -0,6614 -0,3598 -0,0266 0,2183 0,2885 0,1545 -0,1650 -0,6185 -1,1451 -1,6946 -2,2181 -2,6553 -2,9596 -3,1356 -3,2343 -3,3141 -3,4087 -3,5199 -3,6277 -3,7098 -3,7566 -3,7656 -3,7294 -3,6414 -3,5110 -3,3670 -3,2471 -3,1746 -3,1427 -3,1301 -3,1269 -3,1297 -3,1311 -3,1295 -3,1437 -3,2073 -3,3443 -3,5483 -3,7784 -3,9757 -4,0869 -4,0839 -3,9738 -3,8063 -3,6654 -3,6280 -3,7139 -3,8819 -4,0775 -4,2725 -4,4648 -4,6646 -4,8846 -5,1220 -5,3363 -5,4533 -5,3991 -5,1250 -4,6088 -3,8638 -2,9605 -2,0075 -1,0962 -0,2702 0,4648 1,1171 1,6864 2,1522 2,4780 2,6281 2,5859 2,3578 1,9684 1,4603 0,8884 0,3055 -0,2508 -0,7654 -1,2472 -1,7169 -2,1824 -2,6124 -2,9445 -3,1334 -3,1879 -3,1581 -3,0908 -2,9863 -2,7968 -2,4853 -2,0805 -1,6603 -1,2906 -0,9884 -0,7277 -0,4627 -0,1446 0,2619 0,7508 1,2634 1,7248 2,0832 2,2996 2,3306 2,1455 1,7449 1,1650 0,4808 -0,2005 -0,7724 -1,1741 -1,4159 -1,5666 -1,7179 -1,9408 -2,2560 -2,6350 -3,0194 -3,3333 -3,4937 -3,4545 -3,2607 -3,0322 -2,8792 -2,8454 -2,9211 -3,0699 -3,2409 -3,3936 -3,5336 -3,7054 -3,9410 -4,2321 -4,5557 -4,9041 -5,2825 -5,6910 -6,1065 -6,4806 -6,7638 -6,9335 -6,9940 -6,9583 -6,8426 -6,6783 -6,5102 -6,3682 -6,2452 -6,1103 -5,9402 -5,7317 -5,4859 -5,2017 -4,8952 -4,6049 -4,3673 -4,1931 -4,0716 -3,9882 -3,9380 -3,9314 -3,9939 -4,1518 -4,4020 -4,6933 -4,9512 -5,1274 -5,2149 -5,2279 -5,2015 -5,2017 -5,2930 -5,5002 -5,8181 -6,2351 -6,7250 -7,2241 -7,6317 -7,8529 -7,8594 -7,7080 -7,5038 -7,3392 -7,2432 -7,1876 -7,1345 -7,0617 -6,9509 -6,7798 -6,5468 -6,2987 -6,1183 -6,0846 -6,2425 -6,5855 -7,0530 -7,5578 -8,0340 -8,4587 -8,8353 -9,1630 -9,4192 -9,5728 -9,6107 -9,5359 -9,3536 -9,0682 -8,6821 -8,2030 -7,6591 -7,1011 -6,5831 -6,1442 -5,7910 -5,4925 -5,2084 -4,9302 -4,6835 -4,4851 -4,3089 -4,0980 -3,8072 -3,4249 -2,9610 -2,4362 -1,8989 -1,4319 -1,1243 -1,0340 -1,1677 -1,4821 -1,8914 -2,2887 -2,5785 -2,7013 -2,6382 -2,4048 -2,0478 -1,6410 -1,2784 -1,0594 -1,0578 -1,2714 -1,5960 -1,8740 -1,9877 -1,9124 -1,6976 -1,4152 -1,1254 -0,8694 -0,6716 -0,5454 -0,5047 -0,5648 -0,7327 -1,0040 -1,3596 -1,7541 -2,1238 -2,4237 -2,6667 -2,9283 -3,2960 -3,7914 -4,3404 -4,8191 -5,1220 -5,1907 -5,0032 -4,5730 -3,9668 -3,2947 -2,6576 -2,1125 -1,6831 -1,3760 -1,1745 -1,0345 -0,9003 -0,7264 -0,4865 -0,1709 0,2202 0,6760 1,1590 1,5881 1,8529 1,8648 1,5968 1,0831 0,3985 -0,3535 -1,0492 -1,5724 -1,8648 -1,9462 -1,8747 -1,7000 -1,4634 -1,2123 -0,9872 -0,8004 -0,6472 -0,5313 -0,4677 -0,4608 -0,4932 -0,5360 -0,5606 -0,5426 -0,4773 -0,3993 -0,3712 -0,4396 -0,5947 -0,7722 -0,9034 -0,9682 -0,9980 -1,0424 -1,1446 -1,3325 -1,6103 -1,9609 -2,3577 -2,7710 -3,1627 -3,4813 -3,6742 -3,7085 -3,5753 -3,2908 -2,9100 -2,5278 -2,2423 -2,0980 -2,0592 -2,0568 -2,0636 -2,1077 -2,2114 -2,3381 -2,4189 -2,4168 -2,3429 -2,2193 -2,0575 -1,8822 -1,7409 -1,6642 -1,6325 -1,5951 -1,4999 -1,2995 -0,9657 -0,5213 -0,0357 0,4188 0,7986 1,0910 1,3053 1,4627 1,5858 1,6966 1,8042 1,8763 1,8349 1,5973 1,1315 0,4814 -0,2526 -0,9576 -1,5467 -1,9748 -2,2416 -2,3887 -2,4886 -2,6205 -2,8315 -3,1175 -3,4551 -3,8497 -4,3285 -4,8840 -5,4439 -5,9051 -6,1875 -6,2664 -6,1744 -5,9814 -5,7662 -5,5859 -5,4621 -5,3976 -5,3983 -5,4688 -5,5917 -5,7223 -5,8059 -5,7996 -5,6848 -5,4609 -5,1409 -4,7652 -4,3937 -4,0597 -3,7574 -3,4857 -3,2923 -3,2545 -3,4134 -3,7432 -4,1931 -4,7311 -5,3287 -5,9287 -6,4523 -6,8312 -7,0322 -7,0643 -6,9679 -6,7999 -6,6207 -6,4712 -6,3559 -6,2597 -6,1727 -6,1004 -6,0694 -6,1173 -6,2592 -6,4649 -6,6809 -6,8611 -6,9598 -6,9126 -6,6525 -6,1575 -5,4875 -4,7749 -4,1654 -3,7424 -3,4974 -3,3680 -3,2956 -3,2562 -3,2635 -3,3523 -3,5570 -3,8925 -4,3448 -4,8779 -5,4427 -5,9869 -6,4758 -6,9042 -7,2759 -7,5882 -7,8464 -8,0613 -8,2227 -8,3086 -8,3210 -8,3008 -8,3137 -8,4131 -8,5983 -8,8056 -8,9431 -8,9420 -8,7899 -8,5457 -8,3242 -8,2281 -8,2846 -8,4620 -8,7195 -9,0188 -9,3104 -9,5369 -9,6525 -9,6397 -9,5161 -9,3274 -9,1274 -8,9651 -8,8918 -8,9607 -9,2086 -9,6426 -10,2434 -10,9683 -11,7421 -12,4595 -13,0215 -13,3728 -13,5161 -13,5005 -13,3895 -13,2176 -12,9691 -12,6026 -12,0945 -11,4522 -10,7028 -9,8772 -8,9992 -8,0970 -7,2256 -6,4620 -5,8827 -5,5672 -5,5885 -5,9209 -6,3698 -6,6802 -6,7188 -6,5259 -6,2428 -6,0084 -5,8923 -5,8991 -6,0100 -6,2091 -6,4847 -6,8177 -7,1833 -7,5578 -7,9061 -8,1729 -8,3117 -8,3319 -8,3053 -8,3261 -8,4538 -8,6727 -8,9005 -9,0456 -9,0492 -8,8796 -8,5253 -8,0014 -7,3343
F3    3,1000 2,8852 2,5784 2,2592 1,9729 1,7195 1,4798 1,2514 1,0564 0,9173 0,8365 0,7977 0,7819 0,7801 0,7983 0,8499 0,9395 1,0577 1,1947 1,3643 1,6036 1,9371 2,3409 2,7346 3,0073 3,0529 2,7980 2,2289 1,4064 0,4499 -0,4988 -1,3215 -1,9641 -2,4337 -2,7575 -2,9461 -2,9949 -2,9124 -2,7406 -2,5537 -2,4432 -2,4831 -2,6763 -2,9343 -3,1273 -3,1621 -3,0207 -2,7469 -2,4063 -2,0568 -1,7476 -1,5265 -1,4314 -1,4636 -1,5616 -1,6177 -1,5435 -1,3343 -1,0773 -0,8903 -0,8556 -1,0036 -1,3248 -1,7747 -2,2881 -2,8056 -3,2778 -3,6511 -3,8816 -3,9706 -3,9679 -3,9405 -3,9384 -3,9768 -4,0362 -4,0837 -4,0972 -4,0652 -3,9725 -3,8039 -3,5611 -3,2715 -2,9808 -2,7263 -2,5153 -2,3420 -2,2148 -2,1482 -2,1371 -2,1625 -2,2196 -2,3252 -2,4938 -2,7128 -2,9415 -3,1312 -3,2442 -3,2616 -3,1882 -3,0647 -2,9663 -2,9634 -3,0671 -3,2239 -3,3705 -3,4821 -3,5700 -3,6623 -3,7895 -3,9577 -4,1203 -4,1897 -4,0857 -3,7689 -3,2358 -2,5132 -1,6692 -0,7984 0,0179 0,7334 1,3329 1,8184 2,1915 2,4436 2,5562 2,5103 2,2986 1,9296 1,4295 0,8461 0,2466 -0,3015 -0,7515 -1,0952 -1,3691 -1,6373 -1,9483 -2,2906 -2,6006 -2,8195 -2,9339 -2,9672 -2,9434 -2,8509 -2,6455 -2,3101 -1,8966 -1,4920 -1,1549 -0,8886 -0,6566 -0,4076 -0,0882 0,3444 0,8907 1,4881 2,0454 2,4908 2,7703 2,8343 2,6540 2,2413 1,6509 0,9802 0,3554 -0,1115 -0,3718 -0,4588 -0,4658 -0,5056 -0,6645 -0,9680 -1,3806 -1,8317 -2,2319 -2,4851 -2,5333 -2,4128 -2,2371 -2,1123 -2,0806 -2,1343 -2,2470 -2,3858 -2,5307 -2,6995 -2,9333 -3,2494 -3,6243 -4,0244 -4,4321 -4,8424 -5,2507 -5,6433 -5,9938 -6,2749 -6,4753 -6,5964 -6,6341 -6,5818 -6,4552 -6,2991 -6,1550 -6,0306 -5,9040 -5,7495 -5,5502 -5,2896 -4,9564 -4,5751 -4,2080 -3,9122 -3,7043 -3,5679 -3,4835 -3,4479 -3,4794 -3,6113 -3,8675 -4,2290 -4,6201 -4,9457 -5,1506 -5,2348 -5,2217 -5,1549 -5,1128 -5,1769 -5,3814 -5,7143 -6,1467 -6,6353 -7,1019 -7,4355 -7,5424 -7,4143 -7,1381 -6,8414 -6,6219 -6,5040 -6,4530 -6,4274 -6,4021 -6,3532 -6,2470 -6,0668 -5,8495 -5,6785 -5,6363 -5,7656 -6,0512 -6,4219 -6,7870 -7,0891 -7,3256 -7,5263 -7,7165 -7,8901 -8,0172 -8,0676 -8,0116 -7,8190 -7,4750 -6,9902 -6,4018 -5,7743 -5,1870 -4,7087 -4,3745 -4,1677 -4,0238 -3,8773 -3,7150 -3,5718 -3,4737 -3,3919 -3,2561 -3,0074 -2,6345 -2,1656 -1,6468 -1,1441 -0,7446 -0,5313 -0,5497 -0,7942 -1,2138 -1,7220 -2,2145 -2,5962 -2,8030 -2,8052 -2,6099 -2,2652 -1,8577 -1,4970 -1,2922 -1,3173 -1,5614 -1,9063 -2,1837 -2,2757 -2,1676 -1,9228 -1,6255 -1,3485 -1,1418 -1,0270 -1,0050 -1,0737 -1,2315 -1,4685 -1,7660 -2,0987 -2,4247 -2,6901 -2,8612 -2,9646 -3,0924 -3,3503 -3,7753 -4,2972 -4,7822 -5,1112 -5,2189 -5,0779 -4,6895 -4,1049 -3,4246 -2,7544 -2,1721 -1,7284 -1,4512 -1,3340 -1,3286 -1,3619 -1,3684 -1,3067 -1,1502 -0,8781 -0,4874 -0,0146 0,4539 0,7984 0,9106 0,7339 0,2799 -0,3748 -1,1033 -1,7549 -2,1991 -2,3791 -2,3282 -2,1265 -1,8521 -1,5742 -1,3592 -1,2455 -1,2197 -1,2369 -1,2640 -1,2940 -1,3251 -1,3445 -1,3358 -1,2872 -1,1939 -1,0689 -0,9595 -0,9326 -1,0250 -1,2048 -1,3842 -1,4833 -1,4866 -1,4394 -1,4077 -1,4495 -1,6005 -1,8647 -2,2193 -2,6290 -3,0527 -3,4407 -3,7364 -3,8913 -3,8811 -3,7013 -3,3667 -2,9338 -2,5048 -2,1863 -2,0281 -1,9988 -2,0335 -2,1089 -2,2556 -2,4927 -2,7720 -3,0054 -3,1372 -3,1684 -3,1211 -3,0110 -2,8691 -2,7529 -2,7060 -2,7200 -2,7499 -2,7438 -2,6521 -2,4416 -2,1206 -1,7360 -1,3380 -0,9596 -0,6199 -0,3243 -0,0630 0,1816 0,4280 0,6792 0,8949 0,9881 0,8698 0,5085 -0,0478 -0,6967 -1,3290 -1,8614 -2,2455 -2,4678 -2,5567 -2,5829 -2,6378 -2,7899 -3,0572 -3,4295 -3,9085 -4,5012 -5,1733 -5,8323 -6,3673 -6,7009 -6,8126 -6,7343 -6,5353 -6,3015 -6,1035 -5,9703 -5,8994 -5,8813 -5,9039 -5,9383 -5,9367 -5,8539 -5,6746 -5,4208 -5,1258 -4,8067 -4,4743 -4,1400 -3,7930 -3,4052 -2,9847 -2,6097 -2,3959 -2,4181 -2,6715 -3,1096 -3,6907 -4,3650 -5,0478 -5,6371 -6,0522 -6,2543 -6,2483 -6,0730 -5,7893 -5,4687 -5,1678 -4,9089 -4,6885 -4,4974 -4,3406 -4,2554 -4,3031 -4,5184 -4,8712 -5,2930 -5,7194 -6,0800 -6,2723 -6,1891 -5,7904 -5,1536 -4,4566 -3,8894 -3,5510 -3,4143 -3,3852 -3,3801 -3,3670 -3,3685 -3,4395 -3,6333 -3,9740 -4,4510 -5,0269 -5,6398 -6,2134 -6,6921 -7,0613 -7,3238 -7,4869 -7,5847 -7,6631 -7,7283 -7,7479 -7,6985 -7,5960 -7,4958 -7,4553 -7,4792 -7,5046 -7,4490 -7,2719 -6,9974 -6,7131 -6,5479 -6,6008 -6,8745 -7,2905 -7,7522 -8,1837 -8,5386 -8,7923 -8,9332 -8,9621 -8,8973 -8,7762 -8,6386 -8,5094 -8,4160 -8,4125 -8,5686 -8,9372 -9,5381 -10,3443 -11,2535 -12,0996 -12,7340 -13,0966 -13,2132 -13,1570 -13,0138 -12,8438 -12,6420 -12,3438 -11,8792 -11,2176 -10,3793 -9,4178 -8,3855 -7,3250 -6,3049 -5,4353 -4,8318 -4,5964 -4,8128 -5,4449 -6,2296 -6,8027 -6,9636 -6,7733 -6,4446 -6,1714 -6,0254 -5,9842 -6,0177 -6,1208 -6,2920 -6,5153 -6,7673 -7,0241 -7,2447 -7,3652 -7,3428 -7,2128 -7,0895 -7,0985 -7,2903 -7,5981 -7,8828 -8,0258 -7,9779 -7,7417 -7,3474 -6,8378 -6,2357
F7    2,4867 2,1963 1,7983 1,3685 0,9608 0,5978 0,2934 0,0734 -0,0389 -0,0537 -0,0182 0,0158 0,0220 0,0010 -0,0290 -0,0397 -0,0072 0,0697 0,1791 0,3310 0,5665 0,9193 1,3705 1,8372 2,2050 2,3747 2,2886 1,9418 1,3842 0,7087 0,0259 -0,5729 -1,0432 -1,3786 -1,5774 -1,6227 -1,4979 -1,2251 -0,8818 -0,5787 -0,4240 -0,4885 -0,7701 -1,1842 -1,6069 -1,9400 -2,1483 -2,2528 -2,3001 -2,3364 -2,4034 -2,5396 -2,7691 -3,0765 -3,3879 -3,5968 -3,6316 -3,5114 -3,3392 -3,2391 -3,2941 -3,5270 -3,9058 -4,3557 -4,7909 -5,1541 -5,4184 -5,5586 -5,5455 -5,3739 -5,0792 -4,7267 -4,3876 -4,1148 -3,9272 -3,8146 -3,7560 -3,7226 -3,6674 -3,5343 -3,2904 -2,9481 -2,5536 -2,1527 -1,7712 -1,4222 -1,1212 -0,8854 -0,7251 -0,6482 -0,6670 -0,7910 -1,0064 -1,2703 -1,5299 -1,7486 -1,9131 -2,0241 -2,0868 -2,1169 -2,1487 -2,2181 -2,3221 -2,4129 -2,4484 -2,4298 -2,3852 -2,3471 -2,3482 -2,4036 -2,4871 -2,5410 -2,5111 -2,3605 -2,0628 -1,6122 -1,0471 -0,4387 0,1460 0,6668 1,1079 1,4642 1,7265 1,8832 1,9310 1,8733 1,7092 1,4278 1,0229 0,5184 -0,0181 -0,4928 -0,8324 -1,0285 -1,1439 -1,2732 -1,4834 -1,7702 -2,0667 -2,3010 -2,4423 -2,4990 -2,4861 -2,3890 -2,1654 -1,7972 -1,3329 -0,8617 -0,4531 -0,1261 0,1463 0,4170 0,7476 1,1877 1,7414 2,3508 2,9288 3,4006 3,7040 3,7870 3,6307 3,2618 2,7430 2,1663 1,6371 1,2399 1,0045 0,8967 0,8329 0,7105 0,4484 0,0166 -0,5637 -1,2361 -1,9162 -2,4987 -2,8994 -3,1097 -3,1948 -3,2349 -3,2834 -3,3678 -3,4928 -3,6356 -3,7656 -3,8792 -3,9992 -4,1455 -4,3268 -4,5531 -4,8363 -5,1829 -5,5893 -6,0290 -6,4452 -6,7743 -6,9804 -7,0641 -7,0464 -6,9557 -6,8352 -6,7434 -6,7229 -6,7628 -6,8023 -6,7745 -6,6428 -6,3998 -6,0621 -5,6751 -5,2969 -4,9667 -4,6934 -4,4680 -4,2811 -4,1358 -4,0558 -4,0775 -4,2221 -4,4662 -4,7418 -4,9756 -5,1372 -5,2390 -5,3024 -5,3585 -5,4707 -5,7112 -6,1086 -6,6352 -7,2329 -7,8293 -8,3366 -8,6609 -8,7432 -8,6038 -8,3362 -8,0546 -7,8320 -7,6674 -7,5156 -7,3523 -7,1912 -7,0389 -6,8643 -6,6314 -6,3554 -6,1083 -5,9722 -5,9891 -6,1347 -6,3308 -6,4983 -6,6065 -6,6758 -6,7488 -6,8546 -6,9783 -7,0672 -7,0689 -6,9481 -6,6877 -6,2945 -5,7974 -5,2407 -4,6815 -4,1806 -3,7901 -3,5394 -3,4138 -3,3530 -3,2949 -3,2261 -3,1798 -3,1826 -3,2113 -3,2010 -3,0944 -2,8860 -2,6224 -2,3726 -2,2092 -2,1987 -2,3857 -2,7772 -3,3425 -4,0197 -4,7219 -5,3489 -5,8108 -6,0473 -6,0365 -5,7971 -5,3879 -4,8990 -4,4379 -4,1169 -4,0257 -4,1747 -4,4629 -4,7259 -4,8304 -4,7346 -4,4812 -4,1508 -3,8198 -3,5390 -3,3288 -3,1880 -3,1132 -3,1095 -3,1874 -3,3530 -3,5949 -3,8703 -4,1143 -4,2764 -4,3572 -4,4142 -4,5274 -4,7405 -5,0212 -5,2778 -5,4195 -5,3992 -5,2093 -4,8672 -4,4241 -3,9601 -3,5485 -3,2361 -3,0483 -2,9903 -3,0312 -3,1025 -3,1323 -3,0880 -2,9810 -2,8296 -2,6311 -2,3704 -2,0467 -1,6954 -1,3943 -1,2419 -1,3160 -1,6382 -2,1586 -2,7648 -3,3123 -3,6737 -3,7893 -3,6804 -3,4131 -3,0620 -2,7044 -2,4183 -2,2505 -2,1854 -2,1610 -2,1217 -2,0509 -1,9539 -1,8272 -1,6579 -1,4430 -1,2003 -0,9695 -0,8119 -0,7903 -0,9234 -1,1544 -1,3762 -1,4993 -1,5002 -1,4137 -1,2966 -1,2043 -1,1764 -1,2232 -1,3323 -1,4874 -1,6684 -1,8424 -1,9651 -1,9995 -1,9313 -1,7620 -1,5053 -1,2018 -0,9233 -0,7451 -0,7055 -0,7899 -0,9644 -1,2200 -1,5705 -2,0078 -2,4743 -2,8911 -3,2161 -3,4601 -3,6462 -3,7823 -3,8886 -4,0159 -4,2065 -4,4476 -4,6833 -4,8567 -4,9298 -4,8854 -4,7336 -4,5057 -4,2321 -3,9350 -3,6358 -3,3436 -3,0387 -2,6815 -2,2385 -1,7134 -1,1714 -0,7276 -0,4914 -0,5060 -0,7282 -1,0564 -1,3828 -1,6313 -1,7628 -1,7665 -1,6636 -1,5146 -1,4053 -1,4053 -1,5339 -1,7746 -2,1158 -2,5587 -3,0839 -3,6257 -4,0915 -4,4084 -4,5529 -4,5500 -4,4560 -4,3409 -4,2603 -4,2333 -4,2539 -4,3230 -4,4526 -4,6431 -4,8628 -5,0492 -5,1303 -5,0501 -4,7785 -4,3132 -3,6870 -2,9660 -2,2265 -1,5408 -0,9780 -0,6079 -0,4889 -0,6320 -0,9798 -1,4433 -1,9583 -2,4902 -3,0038 -3,4508 -3,7820 -3,9698 -4,0266 -4,0031 -3,9688 -3,9898 -4,1042 -4,3102 -4,5772 -4,8632 -5,1297 -5,3578 -5,5582 -5,7566 -5,9638 -6,1692 -6,3464 -6,4453 -6,3986 -6,1608 -5,7394 -5,1995 -4,6512 -4,2228 -4,0134 -4,0463 -4,2649 -4,5758 -4,9117 -5,2653 -5,6633 -6,1135 -6,5846 -7,0296 -7,4166 -7,7369 -7,9849 -8,1476 -8,2193 -8,1996 -8,0811 -7,8687 -7,5835 -7,2320 -6,8155 -6,3727 -5,9832 -5,7361 -5,6940 -5,8605 -6,1779 -6,5654 -6,9558 -7,3054 -7,5989 -7,8393 -8,0034 -8,0372 -7,9319 -7,7705 -7,6671 -7,6779 -7,7801 -7,9139 -8,0252 -8,0889 -8,1118 -8,1173 -8,1260 -8,1576 -8,2351 -8,3814 -8,6154 -8,9490 -9,3692 -9,8122 -10,1749 -10,3742 -10,3865 -10,2471 -10,0407 -9,8784 -9,8359 -9,8908 -9,9312 -9,8425 -9,5881 -9,2099 -8,7755 -8,3427 -7,9672 -7,7113 -7,6131 -7,6538 -7,7786 -7,9246 -8,0008 -7,8882 -7,5177 -6,9231 -6,2050 -5,4882 -4,8970 -4,5196 -4,3788 -4,4334 -4,6031 -4,8044 -4,9704 -5,0604 -5,0645 -4,9956 -4,8791 -4,7532 -4,6663 -4,6619 -4,7610 -4,9516 -5,1810 -5,3641 -5,4236 -5,3280 -5,0895 -4,7422 -4,3359 -3,9246
